-0.0018355-0.042059i,0.00010596-0.046441i,-0.0076746-0.047964i,-0.03051-0.022857i,-0.022943+0.010994i,-0.036679-0.033296i,-0.063045-0.057708i,-0.019488-0.070432i,-0.025756-0.051785i,-0.00095433+0.017223i,-0.0098911+0.01209i,-0.014024+0.013223i,0.0025568+0.013497i,-0.0028843-0.0018977i,0.0018536+0.0060468i,0.00023552+0.033621i,0.018423+0.050152i,0.001015-0.00048647i,-0.0034922-0.0095651i,0.0078497+0.0038135i,0.001468+0.0012848i,-0.00096647+0.0034427i,-7.2671e-05-0.00057847i,-0.036001-0.0093916i,-0.0022704-0.0076645i,-0.0012839+0.004495i,0.0025169-0.0015547i,-0.0001338+0.00040651i,0.00072774-0.00068658i,6.1798e-05-0.0021865i,-0.0017807-0.0053428i,-0.0030165-0.0070015i,-0.0019815-0.0067817i,0.0036004-5.0541e-05i,0.0030996-0.001516i,-0.0047907+0.039058i,0.0070774-0.0043185i,0.0031745-0.00077613i,0.0049581-0.00017039i,-0.018374-0.0011506i,-0.00093156-0.00011674i,0.0089885-0.0027339i,0.0039319+0.0018794i,-0.0041626+0.0017289i,0.00032416+0.0086993i,-0.0055348+0.018228i,0.026033-0.081506i,-0.00025415-0.05499i,-0.023343-0.043439i,-0.019578-0.03731i,0.062726-0.016389i,0.030268-0.058373i,0.038595-0.044875i,0.033708-0.051631i,0.019399-0.015318i,0.0077569+0.012168i,0.024442-0.035742i,-0.0088521-0.0052139i,0.0030917-0.0014714i,-0.0024824-0.0054804i,0.004985-0.031589i,-0.025172+0.030421i,0.0089146-0.010262i,-0.012722-0.0032149i,-0.0046791-0.0014882i,0.00013728-0.014779i,-0.010615+0.0053304i,0.0032814+0.006774i,-0.014054+0.030176i,0.0055831+0.007124i,-0.0059789-0.001997i,-0.0011579-0.0023539i,-0.012283-0.0080453i,0.00035504-0.0034659i,-0.03553+0.00040517i,0.0020316-0.012694i,-0.0095649-0.0029265i,-0.0066954-0.0033559i,0.0066859+0.0021944i,-0.0089334+0.0024218i,0.00028798+0.0017204i,0.0060096+0.0105i,0.0047662+0.0006121i,-0.0094839-0.010656i,0.0020067+0.0082938i,-0.021711+0.0066156i,0.0063424+0.0031575i,-0.027935-0.0087284i,-0.036576-0.0020413i,0.027976-0.078738i,0.013867-0.0088933i,-0.042846-0.028338i,-0.024442-0.005735i,0.017142+0.011949i,-0.026619+0.011864i,-0.012637-0.0095597i
-0.016216+0.026025i,-0.00031074+0.057181i,0.032081+0.038276i,0.0035251+0.013099i,-0.0024439+0.0049703i,0.031466-0.0063071i,0.010627+0.016186i,0.010808+0.04924i,0.0067268+0.018601i,-0.0016914+0.009737i,-0.00029365+0.0014447i,0.0019184-0.0046554i,0.0022869-0.002115i,0.0032687-0.001256i,0.0037527-0.0013388i,0.0066982+0.00040435i,0.0099926-0.0062687i,-0.0014807+0.00023768i,-0.0042145+0.00088672i,-0.00013764+0.0025692i,-0.0013396-0.0001171i,-0.0046141-0.0011982i,-0.0025237+0.00054821i,0.0060957+0.0088616i,0.003329+0.002481i,0.0020814+0.00093905i,0.0016635+0.001391i,-0.00096209+0.0031164i,4.1954e-05+0.00097233i,-0.0010297+0.0011652i,0.0013988-0.0032538i,-0.00096245-0.0010073i,-0.0010337-0.0010987i,0.00021513+0.00014496i,-0.00025857-0.0019477i,-0.0092978+0.012523i,0.002657-0.00077408i,0.00054833-0.00056056i,-0.000501+0.0021667i,-0.00074752-0.0036538i,-0.0016066-0.00024184i,-0.0021283-0.0028136i,0.00054298+0.0056645i,0.0040688+0.0023105i,-0.033775+0.014771i,-0.074904+0.016297i,-0.043751+0.038621i,-0.019809+0.035694i,-0.0024425+0.049835i,-0.0084505+0.030521i,0.010918+0.008812i,-0.0073731-0.0081894i,-0.035374-0.0043706i,-0.044447+0.013593i,0.0087552+0.022702i,-0.0028152+0.0041084i,-0.0036933+0.0033372i,-0.013773-0.0025549i,0.0097482+0.0019011i,0.011831+0.015176i,-0.0038023+0.0091743i,-0.0063327-0.011391i,0.0065052-0.0039328i,-0.0066658-0.0043351i,0.0040131-0.0084682i,0.005856-0.0021984i,-0.00037225+0.0097389i,0.013239-0.0051325i,0.0081572-0.0073216i,0.0057704-0.0068836i,0.0036042-0.0010339i,-0.002706-0.0075307i,-0.0042579-0.0017603i,0.0022782-0.00087379i,-0.010767+0.034358i,-0.0061714-0.0054975i,0.0011173+0.00082278i,-0.00085897-0.0081196i,0.0037695-0.0010669i,-0.013183-0.004349i,0.0012103-0.00047796i,0.0043956-0.0036486i,0.0025095-0.0019018i,0.00014313-0.005982i,-0.00044484+0.0060555i,-0.00034786+0.0042532i,-0.0031682+0.0050896i,-0.011412-0.00051316i,-0.0094192+0.0021005i,-0.035871+0.039543i,-0.0085006+0.016156i,-0.02078-0.0075376i,-0.00042877-0.00064452i,0.010331+0.020468i,-0.0015129+0.020161i,-0.0056934-0.00091503i
-0.012397+0.025362i,0.0085445+0.054365i,0.038516+0.032401i,0.0062221+0.013171i,0.0011531+0.0058912i,0.029827-0.013136i,0.011746+0.013312i,0.018456+0.046184i,0.0097568+0.01669i,-0.00010868+0.0098171i,0.00079815+0.0018504i,-0.00030917-0.0033822i,0.001443-0.0020217i,0.0027214-0.0011357i,0.0032419-0.0019536i,0.0062089-0.00046704i,0.007116-0.0077241i,-0.00058126+0.0006446i,-0.0041706+0.0011771i,0.0011546+0.0016311i,-0.0013974-0.00012402i,-0.0046952+2.4853e-05i,-0.0023416+0.00070492i,0.010531+0.0047939i,0.0034227+0.0024905i,0.0027561-0.00010122i,0.0018819+0.00051067i,0.00010678+0.0031661i,-3.5212e-05+0.0011689i,-0.00061645+0.0016457i,-0.00034213-0.0035126i,-0.001527-0.0010062i,-0.0017284-0.00099328i,0.00022822-3.3987e-05i,-0.0010798-0.00062446i,-0.0044013+0.013773i,0.001582-0.001522i,0.00043318-0.00042781i,0.00068747+0.0021637i,-0.0015431-0.0027083i,-0.0014479+2.9863e-06i,-0.0029147-0.0024147i,0.0017575+0.0054179i,0.0034475+0.0017305i,-0.028791+0.021404i,-0.067781+0.02842i,-0.039697+0.046051i,-0.01194+0.037531i,0.011155+0.045413i,0.00092101+0.027774i,0.0057919+0.0016271i,-0.01426-0.011668i,-0.037438-0.0033862i,-0.035474+0.015123i,0.01425+0.018056i,-0.0028104+0.0047578i,-0.0023084+0.0065158i,-0.013772+0.0028348i,0.0082173-0.0018832i,0.015059+0.011697i,0.00084183+0.013334i,-0.01198-0.0094777i,0.0021708-0.0049516i,-0.0060474-0.001245i,-0.00089652-0.0077641i,0.0041911-0.0045311i,0.0037305+0.0072118i,0.0086145-0.0086639i,0.0032195-0.0084743i,0.0020294-0.0055667i,0.0041933-0.002392i,-0.0046571-0.0062259i,-0.0025275+0.0008961i,0.0029641-0.0011816i,0.0042665+0.037712i,-0.007677-0.0037257i,0.002-0.00094828i,-0.004512-0.0064437i,0.0040799-0.0022808i,-0.012939+0.0015573i,0.0014916-0.00012167i,0.0021818-0.0038591i,0.0028493-0.0030608i,-0.0013712-0.0057129i,0.0014546+0.0027844i,0.0016301+0.0036136i,-0.00020975+0.005943i,-0.010265+0.0032561i,-0.0091586+0.0038064i,-0.027483+0.040198i,-0.006079+0.019034i,-0.024884-0.00095511i,-0.0012324-0.005148i,0.013305+0.019309i,0.0028427+0.022055i,-0.0080707-0.00080612i
-0.01001+0.02544i,0.015704+0.049818i,0.044178+0.02374i,0.010421+0.010772i,0.0058425+0.0047424i,0.026401-0.019714i,0.012049+0.010305i,0.02602+0.041401i,0.012727+0.01468i,0.0016385+0.009603i,0.0016122+0.0010258i,-0.00063227-0.0015209i,0.00053512-0.002321i,0.0025711-0.0014746i,0.0026402-0.0024272i,0.0056999-0.001325i,0.004746-0.0087957i,-0.00029755+0.00032935i,-0.0043109+0.003437i,0.0012981+0.00015146i,-0.0018944-0.00014328i,-0.0041678+0.0013208i,-0.00241+0.00096197i,0.010865-0.0012534i,0.0049227+0.0010596i,0.0021682-0.0013394i,0.0018034-0.00021554i,0.0013909+0.0024805i,0.00034248+0.0013179i,-0.00026828+0.0019246i,-0.0018568-0.0026556i,-0.0020636+0.00019326i,-0.0015684-0.00038517i,8.3731e-06-0.00020742i,-0.00070722+0.00041675i,-0.00062285+0.013516i,0.00082206-0.0013616i,0.00035519-0.00063692i,0.0014025+0.0014142i,-0.0021208-0.0018288i,-0.0014286+0.00015196i,-0.0049775-0.0024874i,0.002773+0.0053583i,0.0037186+0.0016936i,-0.021259+0.025178i,-0.059128+0.0385i,-0.031956+0.054099i,-0.0033088+0.036544i,0.0226+0.036576i,0.0056597+0.031305i,-0.0010912-0.00090223i,-0.021287-0.010644i,-0.040329+0.00042501i,-0.028366+0.012813i,0.017148+0.011584i,-0.0026123+0.0053257i,-0.00084559+0.0065802i,-0.012591+0.0070434i,0.0048339-0.0057957i,0.0179+0.0070888i,0.0067093+0.013804i,-0.015481-0.00553i,0.00045491-0.0028265i,-0.0051247+0.0015312i,-0.0030927-0.005349i,0.0016428-0.0052233i,0.0054346+0.0060143i,0.0052061-0.0095398i,-0.0026561-0.0075938i,0.001335-0.0038413i,0.0033428-0.0050835i,-0.0073293-0.0039275i,-0.00077471+0.0010793i,0.0019772-0.0026i,0.024062+0.027977i,-0.0089276-0.00069775i,0.0019767-0.0020926i,-0.0042442-0.0042364i,0.0044615-0.004145i,-0.0094885+0.0063738i,0.002587-8.175e-05i,0.00047894-0.0043664i,0.0014478-0.003558i,-0.0031303-0.0043084i,0.00027773+0.0020792i,0.0028009+0.0021192i,0.002547+0.0059649i,-0.0085007+0.0055781i,-0.0088498+0.0062345i,-0.021276+0.039597i,0.0017998+0.021084i,-0.023997+0.0036662i,-0.0035378-0.009155i,0.018324+0.015804i,0.0086734+0.02353i,-0.01006+0.00099947i
-0.0074501+0.026057i,0.020412+0.045565i,0.046696+0.013697i,0.012713+0.0058941i,0.009181+0.00078598i,0.021098-0.024751i,0.011788+0.0082677i,0.031912+0.034771i,0.015377+0.011315i,0.0039595+0.0090802i,0.001744+0.00054901i,1.1336e-05-0.00071548i,-0.00091425-0.0015075i,0.001923-0.0014883i,0.0017757-0.0029024i,0.0050067-0.0018257i,0.001662-0.0088499i,0.00017888+0.00030939i,-0.0020336+0.0055046i,0.0006129-0.0006324i,-0.002132+0.00073515i,-0.003423+0.0024924i,-0.0022883+0.001611i,0.0080545-0.0055977i,0.0046756-0.0009553i,0.0012314-0.0016174i,0.0014023-0.00064928i,0.0018504+0.0015273i,0.00097136+0.00083802i,0.00028972+0.0022443i,-0.002631-0.0011012i,-0.0014345+0.0010041i,-0.0011674+0.00021377i,-0.00024803-0.00014793i,-0.00018195+0.00064036i,0.0034884+0.012325i,0.00038513-0.0013595i,-3.7303e-05-0.00077208i,0.0014556+0.00093501i,-0.0024872-0.0010559i,-0.001404+0.00054506i,-0.0038496-0.0034052i,0.0041686+0.0050546i,0.0041757+0.0014348i,-0.013835+0.024838i,-0.048169+0.046432i,-0.021816+0.059848i,0.00251+0.03342i,0.031034+0.023745i,0.013366+0.019786i,-0.008558+0.0014079i,-0.028542-0.0061434i,-0.042206+0.0065774i,-0.025059+0.0087254i,0.017558+0.0049604i,-0.0018257+0.0067797i,0.00051941+0.0087795i,-0.009789+0.011046i,-0.00080353-0.005648i,0.019199-0.00010927i,0.012789+0.011277i,-0.017855-0.00060293i,-7.0879e-06-0.0021427i,-0.0028585+0.0029652i,-0.0040951-0.0021743i,-0.0001144-0.00486i,0.0072073+0.002832i,0.0019208-0.0098674i,-0.0049813-0.0024381i,0.0014389-0.0032967i,0.0008125-0.0064997i,-0.0074768-0.0004665i,0.00069381+0.0014424i,0.00091751-0.0027808i,0.031013+0.011621i,-0.0084925+0.0033455i,0.001672-0.0035984i,-0.0044173-0.0025524i,0.0028427-0.0071066i,-0.0047269+0.0076774i,0.0036707-0.0016731i,-0.00093206-0.0031242i,0.00062602-0.0034776i,-0.0032831-0.0022237i,-2.7937e-05+0.0026667i,0.0028756+0.0002687i,0.0055138+0.0044234i,-0.0065547+0.0068101i,-0.007813+0.0088573i,-0.016042+0.040349i,0.013096+0.016637i,-0.021741+0.0078459i,-0.0091352-0.011358i,0.020087+0.010112i,0.015529+0.021776i,-0.0089169+0.0029442i
-0.0039766+0.026749i,0.02546+0.042787i,0.046571+0.0046925i,0.01316+0.0012289i,0.0097493-0.0042704i,0.015391-0.028216i,0.011792+0.007243i,0.035997+0.028342i,0.016772+0.0073681i,0.0057916+0.0070467i,0.0012272+0.00039162i,0.00090503-0.00082885i,-0.0011889+0.00011446i,0.0014079-0.001586i,0.00088929-0.0027372i,0.0046585-0.0019863i,-0.00059417-0.0076414i,0.00017638+0.0002255i,-0.00080206+0.005611i,-0.00018798-0.00075728i,-0.0017813+0.0013696i,-0.0020847+0.0032905i,-0.0017349+0.0022491i,0.0040262-0.0077977i,0.0034036-0.0022832i,0.00065287-0.0017085i,0.00090058-0.00092973i,0.0018248+0.00083428i,0.00097082+0.00028958i,0.0012759+0.0021093i,-0.0023358+0.00013072i,-0.00079948+0.0013229i,-0.00055118+0.00061534i,-0.00023409+0.00021514i,0.00031388+0.00065353i,0.0061214+0.0098059i,-0.00019575-0.0011377i,-0.00041215-0.00058065i,0.0016876+0.00066521i,-0.0023897-0.00030012i,-0.0011616+0.00062414i,-0.006991-0.0034999i,0.0051506+0.0034044i,0.0042665+0.00047395i,-0.0097407+0.023391i,-0.036006+0.05095i,-0.0091409+0.063363i,0.0076362+0.031226i,0.032397+0.0094819i,0.015682+0.012529i,-0.012213+0.0085601i,-0.033035+0.0033534i,-0.043702+0.015974i,-0.026124+0.0055353i,0.014634-0.00030146i,0.00045637+0.0078567i,0.0046797+0.0086932i,-0.0053379+0.013636i,-0.0033027-0.0023327i,0.016634-0.0082416i,0.017078+0.006095i,-0.018414+0.0055364i,4.2859e-05-0.00067264i,-0.0008981+0.0031229i,-0.0025594-0.00013975i,-0.002356-0.0035283i,0.0065836+0.00064021i,-0.0010815-0.0087866i,-0.0038017+0.0012542i,0.0018316-0.0035934i,-0.0019953-0.0064939i,-0.0054488+0.0021394i,0.0024865+0.00022151i,0.0005633-0.0023432i,0.029865-0.0032447i,-0.005282+0.0061014i,7.6656e-05-0.0049431i,-0.0034982-0.0018637i,-0.00021094-0.0080186i,-0.0014479+0.0070475i,0.0031888-0.003325i,-0.0012821-0.001224i,0.0003708-0.0030335i,-0.002128-0.0010752i,0.00085643+0.0033398i,0.0016182-0.00097861i,0.0044685+0.0015919i,-0.0049431+0.0071297i,-0.0049672+0.011314i,-0.009913+0.040821i,0.018732+0.0036262i,-0.01703+0.0089359i,-0.016197-0.010621i,0.020764+0.0048837i,0.021171+0.015144i,-0.0088395+0.0029224i
-4.7437e-05+0.026436i,0.031268+0.039127i,0.045851-0.0037017i,0.012703-0.0035904i,0.0090001-0.0083832i,0.0091173-0.030662i,0.012933+0.0065018i,0.038966+0.021389i,0.017338+0.0032282i,0.0062468+0.006068i,0.0015814+0.00048632i,0.0015105-0.0010573i,-6.3236e-05+0.0013184i,0.001081-0.0013869i,0.00036212-0.0024771i,0.004682-0.0021213i,-0.0016038-0.0066801i,0.00063655-1.4121e-05i,0.00021895+0.0049327i,-0.00072708-0.00050536i,-0.0010648+0.0016913i,-0.00049003+0.0031747i,-0.00094878+0.0025985i,-0.0008741-0.0081536i,0.0025876-0.0030304i,-9.5585e-05-0.0017879i,0.00045236-0.0010006i,0.0017897+0.00030974i,0.00077684+1.2243e-05i,0.0018531+0.0012525i,-0.0017745+0.00095625i,-0.00016547+0.0015158i,1.8725e-05+0.00066717i,1.5894e-06+0.00021866i,0.00046733+0.00010255i,0.0077639+0.0069564i,-0.00053394-0.00084259i,-0.0005477-0.00019366i,0.0014698-5.3448e-05i,-0.0019808+0.00014022i,-0.0011864+0.00078144i,-0.0036102-0.00072846i,0.0057545+0.002258i,0.0039638+4.4526e-05i,-0.006606+0.021974i,-0.024538+0.051724i,0.0048225+0.061663i,0.012952+0.028595i,0.029314-0.0023502i,0.015324+0.0069867i,-0.010282+0.016626i,-0.03172+0.015147i,-0.039806+0.029423i,-0.029452+0.0063063i,0.010653-0.0029386i,0.0030241+0.0073511i,0.0076203+0.0063676i,-0.00072398+0.015258i,-0.0036522+9.7154e-05i,0.0099518-0.015055i,0.017958-0.001459i,-0.016404+0.010472i,0.0011707-0.00027132i,0.00015169+0.0022102i,-0.00097721+0.0001059i,-0.0027928-0.0008241i,0.005489-0.00070904i,-0.0027092-0.0069426i,-0.0011649+0.0034223i,0.0014202-0.004774i,-0.0042031-0.0047568i,-0.0037476+0.0026118i,0.002488-0.0019347i,0.00092488-0.0023038i,0.023917-0.01467i,-0.0016573+0.0068801i,-0.0021209-0.0045161i,-0.0034569-0.0011739i,-0.0033865-0.0075088i,0.00055854+0.0060526i,0.0040922-0.0029485i,2.4997e-05-0.00043948i,-0.00022324-0.0035219i,-0.00074055-0.0015174i,0.0018188+0.0036717i,0.00014917-0.00049276i,0.0058493+0.00084108i,-0.0040568+0.0069982i,-0.001111+0.012058i,-0.0037485+0.040115i,0.014695-0.0079085i,-0.014584+0.0058011i,-0.023142-0.0052841i,0.018933-0.0019344i,0.022172+0.0078549i,-0.0094053+0.0043319i
0.0040151+0.02579i,0.036555+0.033998i,0.04325-0.01287i,0.0098147-0.0088202i,0.007141-0.012781i,0.0024039-0.03134i,0.014833+0.0047027i,0.040924+0.014094i,0.016576-0.00046525i,0.0072189+0.0052741i,0.0018214+0.00033715i,0.0016406-0.0022163i,0.001055+0.0014416i,0.00086576-0.0013358i,-2.346e-05-0.002091i,0.0046596-0.0027227i,-0.0029749-0.0060061i,0.00029581-0.00055601i,0.0014016+0.0039135i,-0.0013496+6.1185e-05i,-0.000907+0.0016561i,0.00060864+0.0021728i,-0.00026192+0.0026609i,-0.0055474-0.0052043i,0.00097615-0.0045189i,-0.00078664-0.0011855i,-0.00015032-0.0010339i,0.0016337-8.5182e-05i,0.00078536-0.00014172i,0.0018686+0.00029257i,-0.00091416+0.0014407i,0.00031196+0.0016259i,-0.00031809+0.00068045i,-2.6921e-05+0.00036195i,-1.1858e-05-0.00029391i,0.0076291+0.0042495i,-0.00079841-0.00048406i,-0.00059912+2.1832e-06i,0.0012661-0.00035184i,-0.0013568+0.00012926i,-0.0010559+0.0012025i,-0.0014199-0.0006238i,0.0061359+0.00098711i,0.0037378-0.00031802i,-0.0041914+0.020774i,-0.014567+0.050713i,0.016607+0.055818i,0.018331+0.025269i,0.022948-0.011084i,0.01401+0.003439i,-0.0043111+0.021696i,-0.023518+0.024904i,-0.027864+0.039669i,-0.032071+0.01099i,0.0070406-0.00344i,0.004906+0.0056924i,0.008706+0.0029491i,0.0039829+0.01446i,-0.0036488+0.0020455i,-0.00051772-0.016584i,0.014835-0.0079552i,-0.013341+0.013949i,0.0018718-0.0015481i,0.00080531+0.0014469i,-0.00078058-0.00067794i,-0.0011843+0.00096688i,0.0046747-0.00093307i,-0.0035306-0.0058922i,0.0015987+0.0033616i,8.6862e-06-0.005975i,-0.0051786-0.0025974i,-0.0020723+0.0030758i,0.0012882-0.0036241i,0.00074786-0.0033398i,0.013633-0.021065i,0.0012214+0.0062715i,-0.0032996-0.0034252i,-0.0029808-0.001054i,-0.0055613-0.0060923i,0.0017955+0.0047047i,0.0022948-0.0071431i,0.00089652-0.00098382i,-0.0010365-0.0035888i,-0.0011644-0.0024263i,0.0031064+0.0037015i,-6.8538e-05+0.00092116i,0.0056037-0.0010236i,-0.0035165+0.0075721i,0.001859+0.010755i,0.0024844+0.039146i,0.0076124-0.015881i,-0.016968+0.0026717i,-0.02513+0.0033763i,0.012835-0.0062419i,0.022284+0.0019146i,-0.0078618+0.0051326i
0.0082618+0.023687i,0.041563+0.02864i,0.038239-0.020347i,0.0044873-0.011764i,0.0033104-0.01627i,-0.003555-0.030308i,0.016783+0.0017909i,0.041427+0.0066843i,0.015621-0.0037839i,0.0088421+0.0039709i,0.00217+0.00029517i,0.00053425-0.0033194i,0.0021271+0.0011364i,0.00071239-0.0012052i,-7.5995e-05-0.0019008i,0.0043802-0.0032941i,-0.0048061-0.0044066i,-5.9163e-05-0.00063136i,0.0022693+0.0024404i,-0.0012831+0.00124i,-0.0006303+0.0021451i,0.00044939+0.00085761i,0.00044881+0.0026567i,-0.0060281+0.00072536i,-0.0019772-0.0040058i,-0.00098015-0.00058987i,-0.00057721-0.00070148i,0.0014394-0.00037334i,0.00064391-0.0006274i,0.0015845-0.00034348i,-6.8951e-05+0.0013949i,0.00086896+0.0014344i,1.5766e-05+0.0011796i,-5.0964e-05+0.00041188i,-0.00019004+0.00025331i,0.0065418+0.0022856i,-0.00078526-2.9592e-05i,-0.00048875+0.00032588i,0.001057-0.00052318i,-0.0010431-0.00011413i,-0.00063347+0.0016983i,-0.00081031-0.00028799i,0.006204-0.00047987i,0.0033454-0.00068806i,-0.0015718+0.019818i,-0.0057687+0.047887i,0.02476+0.048072i,0.023661+0.020606i,0.015583-0.015511i,0.012456+0.0012866i,0.0027505+0.023555i,-0.013294+0.028478i,-0.012681+0.043727i,-0.031661+0.017947i,0.0053567-0.002638i,0.0059979+0.0035054i,0.008245+0.00013736i,0.0082877+0.011442i,-0.0027966+0.0044784i,-0.0093379-0.011859i,0.0097443-0.011671i,-0.0098+0.016982i,0.00090263-0.0027544i,0.00070969+0.00085301i,-0.0012575-0.00065624i,0.0011234+0.0013204i,0.0044203-0.001297i,-0.0050898-0.0043798i,0.0034461+0.001746i,-0.0028422-0.0063773i,-0.0049908-0.00034853i,-7.8653e-05+0.0024435i,0.00023338-0.0044983i,-5.7598e-05-0.0041731i,0.0041629-0.022021i,0.0033013+0.0047001i,-0.0039741-0.0023562i,-0.0037449-0.0010505i,-0.0072404-0.0035169i,0.0019714+0.0038508i,-0.00087867-0.0088188i,0.0012571-0.0017664i,-0.001585-0.0027836i,-0.0017555-0.0026281i,0.0044183+0.0024207i,0.00057583+0.0018167i,0.0038633-0.0025113i,-0.0028082+0.0082986i,0.0041606+0.0090784i,0.0095119+0.037224i,-0.0033062-0.020405i,-0.021101+0.0029915i,-0.022269+0.011456i,0.0069707-0.0057452i,0.019996-0.0050873i,-0.006305+0.0036062i
0.011512+0.020322i,0.046186+0.021561i,0.032638-0.025549i,-8.4357e-05-0.011334i,-0.0012218-0.018129i,-0.0085231-0.028606i,0.018002-0.0025389i,0.040786-3.6591e-05i,0.014153-0.0066667i,0.009978+0.0017515i,0.0029087-0.0002629i,-0.00089829-0.0030736i,0.0027101-1.2916e-05i,0.00072384-0.001324i,-0.00026129-0.0018403i,0.0042218-0.0037259i,-0.0050418-0.002255i,-0.00031433-0.00096348i,0.0022308+0.0010051i,-0.00049965+0.0017962i,0.00074487+0.0023514i,-6.1997e-05+0.00042307i,0.0011847+0.0023472i,-0.0018917+0.0032325i,-0.0032122-0.0018145i,-0.0010008-0.00010543i,-0.00071798-0.00040485i,0.0010284-0.00058539i,3.4299e-05-0.00048356i,0.0010853-0.00092586i,0.00066357+0.0010358i,0.0012034+0.0011215i,0.00084521+0.0011623i,0.00029375+0.0005365i,0.00038995+0.00055904i,0.0056079-0.00010613i,-0.00072759+0.00054521i,-0.00022715+0.00049049i,0.00072585-0.00086605i,-0.00083807-0.00040599i,0.00015033+0.0017455i,-0.0005417+0.0010737i,0.0056773-0.0018527i,0.0029355-0.00093779i,0.00062174+0.018959i,0.00068795+0.043557i,0.029988+0.040621i,0.027205+0.013862i,0.0093708-0.017016i,0.011695+0.0014122i,0.010222+0.023037i,-0.0039255+0.029568i,0.0012466+0.041919i,-0.027844+0.025159i,0.0047924-0.0027539i,0.0063676+0.00071785i,0.0077774-0.0023266i,0.011059+0.0069922i,-0.0004351+0.0051451i,-0.013357-0.0045641i,0.004301-0.012984i,-0.0043978+0.018221i,0.00011192-0.0038147i,8.1644e-05+0.00093652i,-0.0015946-0.00012797i,0.0025336+0.00012444i,0.004153-0.0011964i,-0.0054745-0.0023155i,0.0036358-0.00023545i,-0.0053565-0.0045065i,-0.0034987+0.0011804i,0.00047932+0.00095116i,-0.0010095-0.0049878i,-0.0014554-0.0043509i,-0.0036896-0.019942i,0.0049428+0.0022708i,-0.0049725-0.0010296i,-0.0041681+0.00057418i,-0.0071799-0.00053093i,0.002647+0.0037235i,-0.0050159-0.008537i,0.0010507-0.0031145i,-0.002152-0.0025161i,-0.0025102-0.0033242i,0.0054589+0.0013447i,0.0015911+0.0019995i,0.0023274-0.0021236i,-0.0017609+0.0088548i,0.0055798+0.0068834i,0.016449+0.033098i,-0.015137-0.018449i,-0.024695+0.0057002i,-0.016889+0.015702i,0.0040793-0.0041397i,0.014439-0.0095754i,-0.0077652+0.0026154i
0.013149+0.017052i,0.04913+0.013233i,0.02722-0.029919i,-0.002912-0.0099547i,-0.005964-0.01842i,-0.013281-0.026587i,0.017636-0.0079994i,0.039132-0.0067424i,0.012166-0.0093077i,0.010445-0.00067645i,0.0033472-0.001522i,-0.0019161-0.0021706i,0.0022944-0.0012884i,0.00063094-0.0014245i,-0.00072435-0.0018876i,0.0039695-0.0044099i,-0.0045749-0.00076792i,-0.00098757-0.0011096i,0.0018735+0.00012807i,0.0002898+0.0019127i,0.00080048+0.0016219i,-0.00041403+0.00056273i,0.0016178+0.0017432i,-0.00048039+0.0012377i,-0.0027299-1.8205e-05i,-0.00091215+0.00039868i,-0.00078806-0.00017749i,0.00027938-0.00054497i,-0.00014263-0.00014983i,0.00029835-0.0010159i,0.0010943+0.00044831i,0.0015576+0.00081617i,0.0013409+0.0005785i,0.00052786+0.00020506i,0.0010739+0.0001018i,0.0041612-0.0015564i,-0.0002732+0.00084651i,3.8373e-05+0.00059492i,-4.0965e-05-0.00085063i,-0.00070901-0.0006279i,0.00070509+0.0016465i,0.00016971+0.0013648i,0.0060064-0.0031838i,0.0025733-0.00039181i,0.0027957+0.017779i,0.005077+0.040175i,0.034177+0.033428i,0.028373+0.0080013i,0.0038882-0.017946i,0.01363+0.0016183i,0.017062+0.019405i,0.0063222+0.027424i,0.014013+0.035282i,-0.020191+0.030601i,0.0039974-0.0032234i,0.0048904-0.0026404i,0.0066186-0.0049183i,0.010895+0.0019764i,0.00069346+0.0044036i,-0.013843+0.0035371i,-0.0010964-0.011986i,-0.00020688+0.016404i,-0.0027897-0.0032976i,-0.00019124+0.001686i,-0.0015365+0.00054717i,0.0034277-0.0015716i,0.0050133-0.00090001i,-0.0044535-0.00068535i,0.003327-0.00063183i,-0.0064887-0.0021684i,-0.0021488+0.00098336i,0.00019651+0.00036143i,-0.0032648-0.0050174i,-0.0029455-0.0035018i,-0.010015-0.016176i,0.0050097-0.00060684i,-0.0052714+0.0009238i,-0.0031947+0.0018354i,-0.0062875+0.0014417i,0.0039535+0.0032404i,-0.008076-0.0057254i,-0.00032145-0.004504i,-0.0028706-0.0017766i,-0.0043271-0.0030834i,0.0065347-0.00079482i,0.0024894+0.0020859i,0.0024661-0.0017449i,0.00047844+0.0096326i,0.0058135+0.0047336i,0.022333+0.0268i,-0.021851-0.010123i,-0.027341+0.010871i,-0.010696+0.017668i,0.0020488-0.0020419i,0.0091748-0.0088978i,-0.0084773+0.0029612i
