-0.024624-0.038274i,-0.01151-0.049128i,-0.018386-0.044947i,-0.030793-0.034948i,-0.029982-0.015669i,-0.050333-0.027086i,-0.057443-0.024407i,-0.044169-0.036795i,-0.027468-0.033282i,0.0075752+0.013541i,-0.0046216+0.014949i,-0.0046481+0.014177i,0.010588+0.021285i,0.00058331+0.0040045i,0.0034159+0.0036682i,0.0071643+0.01781i,0.031856+0.039081i,-0.0027533-0.00090415i,-0.0045941-0.0059291i,0.0077471+0.0011025i,-0.00030214-0.00072737i,-0.00061234+0.0018617i,0.00016892-0.00033382i,-0.029928-0.0038763i,-0.0015324-0.0062256i,0.0017845+0.0043372i,0.003072+0.00044473i,-0.00074131+0.00081826i,0.00065624-0.0005338i,-0.00060647-0.0026489i,-0.0018553-0.006166i,-0.0041972-0.0043518i,-0.0019525-0.0043601i,0.0024957-0.00051013i,0.0022423-0.0025097i,-0.00093276+0.024791i,0.0015751-0.0032157i,0.0027791+0.00067655i,0.0056195+0.0012842i,-0.011134-0.0033546i,-0.0034938+0.00035247i,0.0057903+0.0012741i,0.0056776-0.00034326i,-0.0030193+0.0049087i,0.0011586-0.0091842i,-0.011364+0.018225i,0.035642-0.090412i,0.01196-0.070248i,-0.015482-0.059326i,-0.016107-0.054988i,0.04001-0.045346i,0.016873-0.062004i,0.034338-0.054725i,0.029444-0.060193i,0.015999-0.01378i,0.0045363+0.016683i,0.017093-0.026194i,-0.010665+0.0060268i,-0.00055785+0.0057503i,-0.0047185-0.0016421i,-0.0023452-0.029618i,-0.02309+0.031825i,0.010468-0.011379i,-0.012242-0.0020603i,3.725e-05-0.0050906i,-0.0011015-0.015669i,-0.0069399+0.0043448i,0.0050184+0.0068588i,-0.0091677+0.031891i,0.0049901+0.0063572i,-0.0048205-0.00044085i,-0.0032962-0.00090624i,-0.012596-0.0067091i,-0.00070336-0.0045155i,-0.0071353-0.011232i,9.2427e-05-0.01039i,-0.009854-0.0019794i,-0.00661-0.0025283i,0.0070419+0.0030187i,-0.0081675+0.0015619i,0.00016921+0.00041164i,0.0064644+0.011741i,0.0038415+0.0017627i,-0.0098337-0.0102i,0.0029774+0.0079567i,-0.02159+0.0068685i,0.0079481+0.00055043i,-0.029116-0.0036722i,-0.041367+0.0029411i,0.022146-0.096423i,-0.0021488-0.01269i,-0.052468-0.023918i,-0.023419-0.0011087i,0.018186+0.011136i,-0.024257+0.013087i,-0.018186-0.012935i
0.0079351+0.021177i,0.015392+0.050571i,0.024923+0.034502i,0.017078+0.026724i,0.024284+0.02628i,0.031704-0.014339i,0.017078-0.0088045i,0.028344+0.0054878i,0.011606+0.013471i,0.002942+0.0039472i,0.0052651+0.0029131i,0.0041757+0.0032256i,0.0057856+0.0026725i,0.0050583+0.0034218i,0.002968-0.0030941i,0.0081101-0.0011011i,0.0078485-0.0052504i,-0.0015933-0.001401i,-0.0028806+0.00076344i,2.1741e-05+0.0012857i,-0.0010443-0.00022552i,-0.002686+0.001083i,-0.0020364+0.00096468i,0.0050828+0.0080166i,0.0016987+0.0010039i,0.0023885+0.00042274i,0.0019326+0.0012795i,0.0010615+0.0012383i,0.00063392+6.7877e-05i,-0.00041904+0.00081527i,-0.002329-0.0026266i,-0.0008464-0.00054053i,-0.0010448+0.00075813i,-0.00116+0.00015562i,-0.00088193-0.0015994i,-0.0064915+0.0068967i,0.001388+0.00030256i,0.0014475-0.00052747i,-0.00093378+0.0023542i,-0.00029985-0.0031682i,-0.0012781+0.00033459i,-0.002024-0.00034255i,0.0018691+0.0010974i,0.0066198+0.0039353i,-0.013385+0.03408i,-0.080666+0.034794i,-0.050974+0.037868i,-0.037128+0.059513i,-0.018656+0.07255i,-0.0095133+0.050875i,0.015823+0.02651i,0.003237-0.0019398i,-0.035225+0.010949i,-0.043872+0.019215i,0.0021907+0.023954i,-0.0079183+0.0025955i,-0.010355-0.00080604i,-0.01377-0.0014942i,0.0025154+0.00093522i,0.0071673+0.010459i,-0.0012003+0.0082145i,-0.0061129-0.011524i,0.0048739-0.0068691i,-0.0065188-0.0067366i,0.002138-0.0065455i,0.0033918-0.0042897i,-0.0017374+0.010294i,0.0096553-0.0050563i,0.0046531-0.0059091i,0.0027365-0.0066685i,0.0031183-0.00033965i,-0.00089064-0.0049766i,-0.0035782-0.0007986i,0.0027137-0.00029672i,-0.030485+0.03049i,-0.0044573-0.0037855i,0.0021185+0.00034909i,0.00018119-0.0067165i,0.0026148-0.0017896i,-0.015134-0.0026488i,0.00038593+1.8468e-07i,0.0057757-0.0027253i,0.0024297-0.0010434i,0.00019333-0.0047905i,0.00016756+0.0052369i,-0.0012682+0.0067844i,-0.0029362+0.0043599i,-0.01262+0.0028385i,-0.014598-0.0016911i,-0.039341+0.056807i,5.3706e-05+0.0055235i,-0.025917-0.014708i,-0.0061142-0.0060698i,0.0097905+0.020287i,-0.0026128+0.022582i,-0.00090572-0.00056843i
0.010713+0.017742i,0.023165+0.045495i,0.030052+0.029926i,0.021827+0.024436i,0.029974+0.022309i,0.02848-0.019869i,0.014476-0.012032i,0.029017+0.00052941i,0.013627+0.010798i,0.0039159+0.0026194i,0.0059219+0.0014227i,0.0041019+0.003036i,0.0059065+0.0016094i,0.0056299+0.0021348i,0.0019832-0.0035722i,0.0066859-0.0028484i,0.0060347-0.0058811i,-0.0012254-0.0010885i,-0.0025539+0.0010641i,0.00060745+0.00056972i,-0.0013205-0.00019219i,-0.0024161+0.0015264i,-0.0016303+0.0011716i,0.0085265+0.0047371i,0.0015424+0.00098924i,0.0026671-0.00053482i,0.0021177+0.00012285i,0.0012074+0.00069655i,0.0003278+4.7288e-05i,-0.00027178+0.00094304i,-0.0030652-0.0017046i,-0.0013928-0.00051072i,-0.00086275+0.00095605i,-0.00092781+0.00056838i,-0.0014154-0.00045176i,-0.00385+0.0071567i,0.0011367-0.00022176i,0.001114-0.00091953i,0.00022592+0.0022455i,-0.00094973-0.0029158i,-0.0011514+0.00049005i,-0.0021904+0.00038361i,0.0018749+0.00091075i,0.0069021+0.0030708i,-0.0068387+0.035762i,-0.068942+0.049179i,-0.047021+0.046296i,-0.026922+0.063439i,-0.0024774+0.069998i,0.0016168+0.049323i,0.015121+0.029736i,-0.0027476-0.0062787i,-0.035412+0.012439i,-0.035782+0.020819i,0.0077371+0.021693i,-0.0081955+0.0048412i,-0.0097858+0.0048451i,-0.012903+0.0024626i,0.0015395-0.00074236i,0.0091071+0.0091609i,0.0025879+0.010461i,-0.012072-0.0098097i,0.00075904-0.0071933i,-0.0062339-0.0025918i,-0.0013364-0.0062861i,0.00098557-0.0052379i,0.0028881+0.0081679i,0.0056424-0.0075592i,0.00059393-0.006507i,-0.00018752-0.0039834i,0.0039192-0.0015371i,-0.0019464-0.0044286i,-0.0017216+0.0015556i,0.0030723-0.00067264i,0.0071884+0.028145i,-0.0054959-0.0027625i,0.0028236-0.0014831i,-0.0031957-0.0060954i,0.002685-0.0026159i,-0.014169+0.0033432i,0.000656+0.00057274i,0.0037826-0.0031752i,0.0029345-0.0019886i,-0.0012101-0.0042258i,0.0014711+0.0020664i,0.0021028+0.0060422i,-0.00018365+0.0053571i,-0.010672+0.0065215i,-0.015926+0.001284i,-0.028413+0.057849i,0.00074431+0.0062277i,-0.028596-0.010171i,-0.0095328-0.0092701i,0.012355+0.018558i,0.0022722+0.025094i,-0.0029539-0.0016587i
0.0122+0.014831i,0.028952+0.039022i,0.035452+0.023133i,0.027372+0.019884i,0.035632+0.016763i,0.024067-0.024999i,0.011206-0.014969i,0.029011-0.0051772i,0.015385+0.0081895i,0.003965+0.0013339i,0.0055058-0.00036141i,0.0050021+0.0028233i,0.0058467+1.3529e-05i,0.0058521+0.0004398i,0.00093891-0.0037892i,0.0050855-0.0037556i,0.0043344-0.0071676i,-0.0015619-0.0010386i,-0.002363+0.0018271i,0.00056436-0.00047674i,-0.0018574-0.00013461i,-0.0018827+0.0021936i,-0.001414+0.0012799i,0.0089635+0.00033547i,0.0021331+0.00048421i,0.0019419-0.0015152i,0.0016707-0.00077145i,0.0016963+0.00044416i,0.00032252+0.00012308i,-0.00018151+0.001111i,-0.0034928-0.00030568i,-0.0020619+0.0006502i,-0.00035211+0.0012833i,-0.00052169+0.0008401i,-0.0011862+0.00050871i,-0.0024487+0.0072979i,0.00082105-0.00042708i,0.00073811-0.0012344i,0.0011896+0.0015241i,-0.0020117-0.0027272i,-0.00092742+0.00060013i,-0.0018422+0.0011526i,0.0020457+0.0010759i,0.0077309+0.0019043i,0.00121+0.035744i,-0.055807+0.059664i,-0.039121+0.054463i,-0.015437+0.064129i,0.011902+0.063005i,0.01154+0.047308i,0.012724+0.027263i,-0.0081546-0.006591i,-0.035386+0.016376i,-0.029298+0.019722i,0.012385+0.017023i,-0.007796+0.0069829i,-0.0075109+0.0077641i,-0.011627+0.0042675i,-0.00065772-0.0028722i,0.011118+0.0065211i,0.0068499+0.010258i,-0.016415-0.0051497i,-0.0012325-0.0049575i,-0.0051246+6.5039e-05i,-0.0032903-0.0041999i,-0.0012597-0.0045086i,0.0053971+0.0068683i,0.0028238-0.0074385i,-0.0024681-0.0040663i,1.0668e-05-0.0018097i,0.0035877-0.0039265i,-0.0037886-0.0035922i,-8.5867e-05+0.0011089i,0.0025321-0.0016342i,0.015105+0.01971i,-0.0067169-0.00097956i,0.0028325-0.0028714i,-0.0034868-0.0036581i,0.0029484-0.0038408i,-0.010234+0.0085015i,0.001989+0.00077926i,0.0020516-0.0036676i,0.0019051-0.0027531i,-0.0018892-0.0026999i,0.00060896+0.001528i,0.0039733+0.0037181i,0.0023482+0.0051962i,-0.0083267+0.0085909i,-0.016183+0.0059443i,-0.020049+0.057138i,0.0046485+0.0058843i,-0.029523-0.0057786i,-0.013141-0.011276i,0.016182+0.015398i,0.0089554+0.02583i,-0.0050205-0.001177i
0.013225+0.012433i,0.032211+0.032993i,0.03791+0.015139i,0.031212+0.012876i,0.039343+0.0087213i,0.018373-0.028742i,0.0070821-0.016733i,0.027548-0.010994i,0.0168+0.0050378i,0.0036876+0.00074603i,0.0045711-0.0011204i,0.0058829+0.0017761i,0.0050523-0.00089411i,0.0053259-0.001123i,-0.00025738-0.0037877i,0.0037399-0.0040193i,0.0015809-0.00753i,-0.0016372-0.00052129i,-0.0014152+0.0023318i,-0.00028372-0.00094295i,-0.0020311+0.00060931i,-0.0011835+0.0030016i,-0.0012492+0.0015196i,0.0074986-0.0029806i,0.0020323-0.00029553i,0.0010396-0.0016772i,0.0010509-0.0010247i,0.0014244-0.00063433i,0.00034823-3.756e-05i,0.00014108+0.0013961i,-0.0032949+0.0015262i,-0.0012828+0.0015928i,0.00023199+0.0011964i,-0.00029039+0.00091485i,-0.00066862+0.0010746i,-0.00059061+0.0083359i,0.00056425-0.00068082i,0.0001312-0.0015227i,0.0011799+0.0009977i,-0.0030818-0.0016381i,-0.00078907+0.00075228i,-0.0014093+0.0015457i,0.0025445+0.001026i,0.0081924+0.00025195i,0.0084405+0.032181i,-0.040461+0.066731i,-0.030071+0.060772i,-0.0065665+0.063108i,0.023909+0.052165i,0.021375+0.041363i,0.011075+0.02566i,-0.014028-0.0042983i,-0.034753+0.02169i,-0.025117+0.017319i,0.015061+0.011129i,-0.0059254+0.0097715i,-0.004655+0.011222i,-0.010505+0.007159i,-0.0048837-0.001641i,0.012778+0.0027754i,0.011442+0.0077864i,-0.018291+0.00043158i,-0.0017675-0.0034723i,-0.00328+0.0013166i,-0.003965-0.0016476i,-0.0025429-0.0032528i,0.0073972+0.0030805i,0.00066404-0.007139i,-0.0039458-0.00028528i,0.00096075-0.00099025i,0.0015553-0.005735i,-0.0047172-0.00095585i,0.0011698+0.0011367i,0.0020802-0.0022176i,0.019252+0.0096504i,-0.0066682+0.0021553i,0.0022639-0.0048882i,-0.0033378-0.0020235i,0.0015869-0.0060784i,-0.0046588+0.0098076i,0.0036048-0.00049299i,0.0010709-0.0026531i,0.00089831-0.0026417i,-0.0017635-0.0024349i,0.00022236+0.0017033i,0.0041087+0.0010475i,0.0045865+0.003886i,-0.0056344+0.0097474i,-0.015022+0.010764i,-0.012787+0.057755i,0.011149+0.0014648i,-0.02882-0.00091115i,-0.019506-0.010695i,0.017582+0.010763i,0.01597+0.023337i,-0.0048577-0.00038897i
0.014583+0.010385i,0.035466+0.028263i,0.038681+0.0081391i,0.032624+0.0054224i,0.040605+0.00022053i,0.012654-0.030934i,0.0030953-0.016791i,0.024709-0.016098i,0.017751+0.0014609i,0.0033834+0.0001825i,0.0039506-0.001494i,0.0064225+0.00043425i,0.0045512-0.0011389i,0.0044318-0.0023272i,-0.0013523-0.0031136i,0.0025379-0.0039912i,-0.0004737-0.0065398i,-0.0018502-0.00013484i,-0.00071382+0.0021225i,-0.0010908-0.00077048i,-0.0018587+0.0012143i,0.00018046+0.0033853i,-0.00092219+0.0019064i,0.0051913-0.0050751i,0.0014719-0.00077731i,0.00044361-0.0017404i,0.00065454-0.0010691i,0.00084307-0.00085033i,0.0001535-7.6233e-05i,0.00082117+0.0013783i,-0.0020798+0.0027645i,-0.00044391+0.0018529i,0.00062829+0.00092368i,5.3359e-05+0.0012064i,0.00020003+0.0012711i,0.0013494+0.007873i,0.00016761-0.00066538i,-0.00047781-0.0012843i,0.001643+0.00067825i,-0.0032121-0.00015672i,-0.00054147+0.0007944i,-0.00095632+0.0018462i,0.0029223+0.00048452i,0.0080038-0.001974i,0.013046+0.027597i,-0.024646+0.0691i,-0.018089+0.065459i,0.0026224+0.062583i,0.029845+0.039135i,0.027739+0.033815i,0.011115+0.02682i,-0.017056+0.0019368i,-0.033529+0.029851i,-0.024199+0.015404i,0.013895+0.0056408i,-0.0024916+0.011883i,0.00078103+0.011651i,-0.0087495+0.010127i,-0.0059172+0.0019986i,0.0124-0.0027631i,0.014317+0.0031384i,-0.018036+0.0063173i,-0.001773-0.0018602i,-0.0022091+0.0017929i,-0.0027443+3.857e-05i,-0.0038658-0.0011582i,0.0068641+0.00015966i,-0.0014152-0.0062722i,-0.0024987+0.0025225i,0.0022049-0.0014577i,-0.0012643-0.0060801i,-0.0035218+0.0010338i,0.0023188+4.3792e-05i,0.0015799-0.0024302i,0.020105+0.00080278i,-0.0043459+0.0045697i,-0.00029234-0.0061407i,-0.0026316-0.0015208i,-0.0008356-0.0065793i,-0.00062097+0.008669i,0.0037825-0.0033391i,0.00096919-0.0015101i,0.0012186-0.0024321i,-0.0011519-0.0014457i,0.00055793+0.0019924i,0.0026433-0.00052335i,0.0052798+0.0011178i,-0.0032283+0.009596i,-0.011032+0.015709i,-0.0042869+0.057696i,0.012779-0.0092972i,-0.025954+0.001083i,-0.024461-0.0072327i,0.018294+0.0059391i,0.021433+0.017117i,-0.005672-0.00097148i
0.01604+0.0077092i,0.038919+0.022721i,0.039429+0.0013753i,0.032415-0.0021375i,0.040417-0.0080993i,0.0068279-0.03256i,0.00018928-0.016041i,0.020933-0.020493i,0.017942-0.0024367i,0.0027419-0.00024573i,0.0038649-0.0018049i,0.0066139-0.00097709i,0.0049192-0.0016356i,0.0033414-0.0031009i,-0.0020486-0.002341i,0.0017118-0.0035194i,-0.0014887-0.0058159i,-0.0015956+0.00030957i,-0.00019527+0.001931i,-0.0015382-0.00019917i,-0.0013533+0.0017063i,0.001656+0.0027798i,-0.0002836+0.002199i,0.0022622-0.005787i,0.0012136-0.00096125i,-0.00022601-0.0016737i,0.00026843-0.001223i,-0.0005447-0.0021869i,2.9314e-05+4.9079e-05i,0.0012635+0.00084662i,-0.00063648+0.0032168i,0.00026562+0.0017354i,0.00081197+0.00063907i,0.00070786+0.0010543i,0.00072864+0.00060043i,0.0022641+0.0075453i,-8.175e-05-0.00049376i,-0.00088785-0.00091005i,0.0015296+5.0834e-05i,-0.0025603+0.00070211i,-0.00036562+0.0007935i,-0.00029865+0.0019416i,0.0031383+4.1007e-07i,0.0073536-0.0037503i,0.016206+0.022791i,-0.010636+0.067493i,-0.0044522+0.066071i,0.012438+0.060283i,0.031958+0.027164i,0.031485+0.025629i,0.013847+0.02849i,-0.015987+0.0094629i,-0.025887+0.04022i,-0.025101+0.016174i,0.012036+0.0027323i,0.0016938+0.011683i,0.0045539+0.0098894i,-0.0057551+0.012595i,-0.0048682+0.0043678i,0.008957-0.0079936i,0.014415-0.0027469i,-0.015725+0.010692i,-0.0010473-0.00096931i,-0.0009859+0.0014762i,-0.0016046+0.00033594i,-0.0031562+0.0016328i,0.0052383-0.001333i,-0.0027237-0.0045425i,-0.00013407+0.0037695i,0.0023699-0.0031357i,-0.0036164-0.0045161i,-0.0027425+0.001748i,0.002249-0.0012945i,0.001555-0.002661i,0.017035-0.0081127i,-0.0017125+0.0052657i,-0.0025862-0.0049514i,-0.0025978-0.0014774i,-0.0031877-0.0056962i,0.0017569+0.0071349i,0.0019375-0.0042251i,0.002483-0.001508i,0.00030203-0.0034357i,-8.8104e-05-0.0020228i,0.00015311+0.0041415i,0.00098574-0.0001562i,0.0044545-0.0002202i,-0.0018489+0.009035i,-0.0047002+0.017489i,0.0043349+0.055801i,0.0069776-0.018768i,-0.024472-8.6175e-05i,-0.0282-0.0010454i,0.016553-3.8494e-05i,0.023282+0.010265i,-0.0070562-0.00025014i
0.017274+0.0047683i,0.041339+0.016385i,0.038502-0.0065641i,0.029819-0.009906i,0.038598-0.01694i,0.00032503-0.032851i,-0.0019607-0.015215i,0.016381-0.024121i,0.017091-0.0063103i,0.00233+0.00025014i,0.0032877-0.0023265i,0.0063463-0.0029289i,0.0047409-0.0028656i,0.0021009-0.003543i,-0.0025663-0.001306i,0.0014027-0.0030911i,-0.0029228-0.0051011i,-0.0017512+0.00070864i,0.00040984+0.0016078i,-0.0019926+0.00054571i,-0.00090155+0.0019119i,0.0025251+0.0016366i,0.00025016+0.0022085i,-0.00087464-0.0050973i,0.00078464-0.0017082i,-0.00077194-0.0011696i,-0.00033051-0.0011938i,-0.00056365-0.00074454i,0.00023934+0.00017648i,0.0012501+0.00017272i,0.0010326+0.0029647i,0.0007616+0.00146i,0.00086942+0.00032934i,0.0012723+0.00092006i,0.00046807-7.4527e-05i,0.0036433+0.0071256i,-0.00021543-0.00028261i,-0.0012541-0.00049792i,0.0014287-0.0002178i,-0.0019921+0.00093639i,-0.00019586+0.00082239i,0.00021438+0.0017955i,0.0032891-0.00087683i,0.0053523-0.005795i,0.018168+0.018085i,0.0015625+0.064i,0.0078672+0.062119i,0.021672+0.056523i,0.030429+0.01684i,0.033073+0.018996i,0.01879+0.028556i,-0.009935+0.014996i,-0.013275+0.045972i,-0.025099+0.019746i,0.010348+0.00098097i,0.0048081+0.0096692i,0.0068593+0.0068647i,-0.0017201+0.013211i,-0.0043639+0.0057781i,0.0021644-0.010091i,0.011237-0.0076029i,-0.012732+0.014498i,-0.00032734-0.0015811i,-0.00063271+0.00067041i,-0.001309+0.00025226i,-0.00067467+0.0028151i,0.0040087-0.0012696i,-0.0030093-0.0034338i,0.0021379+0.0035529i,0.0011908-0.0049308i,-0.0046385-0.0025236i,-0.0013693+0.0022359i,0.0014783-0.0025309i,0.0011645-0.003635i,0.011036-0.012461i,0.00042634+0.0047736i,-0.0035428-0.0039378i,-0.0022427-0.0012453i,-0.0046857-0.0045428i,0.0035306+0.0056933i,0.0011686-0.0052705i,0.0029541-0.0029152i,-0.00066349-0.0034453i,-0.0010085-0.0031722i,0.0045737+0.002224i,0.00080468+0.0015281i,0.0041664-0.00016842i,-0.00092218+0.0088777i,0.00043048+0.016332i,0.012443+0.053464i,-0.0021153-0.023928i,-0.026823-0.0011642i,-0.029628+0.0060536i,0.011162-0.0035759i,0.023609+0.0037351i,-0.0067534+0.00071618i
0.018024+0.0011173i,0.043492+0.010485i,0.035049-0.013345i,0.02454-0.015673i,0.034006-0.025268i,-0.0055935-0.031267i,-0.0035984-0.014365i,0.011083-0.026363i,0.015578-0.0098871i,0.0029383+0.00075522i,0.0028956-0.0024354i,0.0048874-0.0046236i,0.0040299-0.0039015i,0.001098-0.0034861i,-0.0023925-0.00015031i,0.0011467-0.0026898i,-0.0045026-0.0034594i,-0.0014234+0.0013663i,0.00069691+0.0010563i,-0.0017809+0.0018081i,-0.00027165+0.0022774i,0.0024678+0.00033008i,0.00083761+0.0021667i,-0.0027188-0.0031679i,-0.00049477-0.0017468i,-0.00096032-0.00063957i,-0.00067941-0.0008305i,-0.00071346-0.00030959i,0.00029777-8.0379e-05i,0.0011334-0.00024436i,0.0021414+0.0019926i,0.001121+0.001027i,0.00092128+2.1033e-05i,0.00068223-0.00036324i,0.0001188+8.164e-05i,0.0051989+0.0049259i,-0.00021788-0.00012401i,-0.0013923+7.7604e-05i,0.0011857-0.00048436i,-0.001383+0.0012306i,-3.9717e-05+0.000951i,0.00052763+0.0013766i,0.0028128-0.0019062i,0.0030552-0.0057386i,0.019105+0.013668i,0.012169+0.057932i,0.016726+0.056395i,0.030503+0.051059i,0.027331+0.0098786i,0.033543+0.012635i,0.024094+0.025869i,-0.0031889+0.016081i,0.00088145+0.04638i,-0.022713+0.024111i,0.009302-1.9182e-05i,0.0072345+0.0071822i,0.007357+0.0040051i,0.0019422+0.012319i,-0.0029314+0.0081557i,-0.0035659-0.0079067i,0.0066154-0.0096481i,-0.0082343+0.017427i,-0.0010604-0.002474i,-0.0013413+0.00049908i,-0.0011626+0.00050175i,0.0014397+0.0023432i,0.0034107-0.0014328i,-0.0034455-0.0025714i,0.0041537+0.0020091i,-0.001629-0.0057736i,-0.0045157-0.00084052i,4.759e-05+0.0016925i,0.00082252-0.0032729i,7.467e-05-0.0047867i,0.0049145-0.01373i,0.0019882+0.0038905i,-0.0042186-0.0030837i,-0.0028929-0.0013815i,-0.0060567-0.0029417i,0.0042158+0.0040606i,-0.0010191-0.0062485i,0.0028607-0.0047354i,-0.0012676-0.0030651i,-0.001902-0.0029458i,0.0041567+0.0010985i,0.0019133+0.0024347i,0.0034629-0.0013704i,-0.00015955+0.0091061i,0.004399+0.014123i,0.02178+0.050323i,-0.012716-0.0257i,-0.030611+0.000561i,-0.026775+0.014706i,0.0064454-0.0031197i,0.020975-0.0034631i,-0.0059972-0.00040799i
0.017828-0.0030968i,0.045248+0.0031699i,0.031113-0.018488i,0.019222-0.018552i,0.027867-0.031634i,-0.0104-0.029073i,-0.0047172-0.013942i,0.0059603-0.027438i,0.013321-0.013281i,0.003846+0.00012207i,0.0029185-0.0028397i,0.0031441-0.0053259i,0.0030113-0.0051171i,0.00033639-0.003255i,-0.0017298+0.00062785i,0.0011675-0.0023365i,-0.0047928-0.0012089i,-0.00095755+0.0014151i,0.00058176+0.00045473i,-0.00081097+0.0024436i,0.00037943+0.0022535i,0.0020287-0.00053185i,0.0014747+0.0018192i,-0.0035469-0.000766i,-0.0011657-0.00095386i,-0.00096418-0.00023608i,-0.0008397-0.00057654i,-0.00037778+0.00033026i,6.6792e-05-3.023e-05i,0.00077761-0.00070948i,0.0028334+0.00065338i,0.0012004+0.00079823i,0.00084539-0.00030279i,0.0010347+0.00014441i,0.00017036+0.00043136i,0.0066672+0.002051i,-0.0001992+8.225e-05i,-0.001128+0.000501i,0.0009811-0.00097487i,-0.00063037+0.0012761i,0.00030829+0.00091914i,0.00069321+0.00096216i,0.0019795-0.0025135i,0.0013772-0.0053098i,0.019258+0.0097276i,0.019308+0.050283i,0.023656+0.050965i,0.037728+0.043587i,0.024003+0.004671i,0.033005+0.0083094i,0.028422+0.022256i,0.0025968+0.015454i,0.013289+0.042276i,-0.018719+0.028316i,0.0088488-0.0014555i,0.0085173+0.0037129i,0.0077225+0.0016711i,0.0053392+0.010422i,0.00018534+0.0087523i,-0.0067648-0.0042248i,0.0021465-0.0096765i,-0.0026267+0.018008i,-0.0027915-0.0025195i,-0.0026098+0.0016433i,-0.00085687+0.00070651i,0.0027752+0.0014601i,0.0028794-0.00074701i,-0.003451-0.0015623i,0.0042051-0.00028392i,-0.0040246-0.0042275i,-0.004031+0.000386i,0.00036547+0.00055297i,-0.0001429-0.004169i,-0.001863-0.0048737i,0.00053089-0.012876i,0.0034529+0.0023402i,-0.0052113-0.0017511i,-0.0035449-0.00039334i,-0.0062595-9.3355e-06i,0.0046874+0.0032676i,-0.003699-0.0058607i,0.0015051-0.0066552i,-0.001816-0.0028716i,-0.0025544-0.0031997i,0.004553+0.0006391i,0.0035264+0.0021614i,0.0023346-0.00099272i,0.001007+0.0091272i,0.0066413+0.010766i,0.030816+0.044043i,-0.023837-0.021904i,-0.034283+0.0046063i,-0.020442+0.01873i,0.0046146-0.001819i,0.014109-0.0074199i,-0.0082029-0.0014091i
0.016244-0.0070003i,0.045267-0.0049999i,0.027045-0.022897i,0.014768-0.020094i,0.02084-0.036444i,-0.014991-0.026532i,-0.0061615-0.014402i,0.0012164-0.027778i,0.0099869-0.016186i,0.004248-0.00073141i,0.0027063-0.0037804i,0.0014376-0.0054342i,0.0012222-0.0058816i,-0.00023765-0.0030298i,-0.0012122+0.00071983i,0.0014076-0.0023549i,-0.0040931+0.00053855i,-0.00055138+0.0013707i,0.00038587+0.00029234i,9.2028e-05+0.002538i,0.00094393+0.0020978i,0.0014789-0.00099131i,0.0018802+0.001089i,-0.0030247+0.0014094i,-0.0010607-0.00027441i,-0.00082276+0.00024866i,-0.0010253-0.00031147i,-0.00059674-5.523e-05i,9.971e-05+9.2056e-05i,0.00012044-0.00084859i,0.0027564-0.00080603i,0.0014777+0.00047897i,0.00067766-0.00046077i,0.0011959-0.00057042i,0.00046506+0.00057375i,0.0051625+0.0015619i,-1.9673e-05+0.00017878i,-0.00090261+0.00076769i,0.00018964-0.0011131i,9.6098e-05+0.00092613i,0.0006424+0.00080545i,0.0007167+0.00078387i,0.0011244-0.0025835i,2.465e-05-0.0041998i,0.018934+0.0064492i,0.023709+0.044171i,0.029991+0.045456i,0.042554+0.036042i,0.020064+0.00042594i,0.034063+0.0048328i,0.032345+0.017761i,0.0086113+0.012866i,0.023997+0.033699i,-0.011923+0.031645i,0.0080749-0.0029949i,0.0076241-0.0007105i,0.0077979-0.00099139i,0.0074059+0.0071178i,0.0020522+0.0078085i,-0.0080269+0.00071099i,-0.001396-0.0081644i,0.0014358+0.015714i,-0.0042007-0.00091642i,-0.0020079+0.0037131i,-0.00079456+0.00093924i,0.0042196-0.00074341i,0.0036242+0.00062283i,-0.0028835-0.00076972i,0.0038101-0.00094361i,-0.00469-0.002173i,-0.0025557+0.0014542i,2.9902e-05+0.00020095i,-0.002238-0.0047501i,-0.0034746-0.0037734i,-0.0034094-0.011992i,0.0038951+0.00030287i,-0.0052409+5.3834e-06i,-0.0030263+0.00090023i,-0.0051053+0.0017234i,0.0060093+0.0025122i,-0.0056405-0.0038195i,-0.0012508-0.007728i,-0.0025725-0.002233i,-0.0043584-0.0028929i,0.0052689-0.00095181i,0.0043333+0.0018715i,0.0028329-0.00062606i,0.0027318+0.009383i,0.0069907+0.0074509i,0.037724+0.035575i,-0.0304-0.012991i,-0.036955+0.011285i,-0.014933+0.02053i,0.0031358-0.00025841i,0.0084233-0.0049349i,-0.0098948-0.00056801i
