-0.022757-0.018439i,-0.032576-0.032376i,-0.022473-0.019805i,-0.03257-0.020904i,-0.023842+0.0043244i,-0.028739-0.017562i,-0.058367-0.043989i,-0.041107-0.041048i,-0.03149-0.020291i,0.0048932+0.0046834i,-0.0035993+0.0065745i,-0.011254+0.010532i,0.003918+0.0068162i,-0.0040351-0.0027386i,0.0028564+0.0017188i,0.0041068+0.02854i,0.026799+0.023665i,-0.00012235+0.00021827i,-0.0031784-0.0028138i,0.0081148+0.004528i,0.0019653+0.00054603i,-4.7913e-05+0.0026781i,-0.00059065+0.00042733i,-0.030875-0.0015018i,-0.0035686-0.0044432i,-0.0001391+0.0025185i,0.0049309-0.00086494i,0.00033628-0.00048201i,-0.00036245-0.00051474i,-0.0011603-0.0017753i,-0.002087-0.00062767i,-0.0039599-0.0040502i,-0.0030478-0.0049262i,0.00027964-0.0011815i,0.00015965-0.002768i,-0.0020804+0.025884i,0.0022152-0.0031707i,0.0023269-0.0037363i,0.0038866-0.0025993i,-0.0082816-0.00077543i,0.00051886+0.0012653i,0.014009-0.011408i,-0.0023356-0.00027561i,-0.0032783+0.0011432i,-0.0096486-0.0031696i,-0.019017+0.021471i,-0.0083481-0.086401i,-0.0031666-0.060998i,-0.020852-0.052023i,-0.010458-0.045815i,0.053893-0.025623i,0.024103-0.067162i,0.041014-0.05285i,0.018957-0.039409i,0.024748-0.020626i,0.012125+0.011607i,0.026714-0.027448i,-0.010375+0.00052816i,-0.00045408-0.00081588i,-0.007064-0.0014859i,-0.0053773-0.029079i,-0.020987+0.026774i,0.0069886-0.0098722i,-0.011228-0.0026472i,-0.0023161-0.0016765i,-0.00064023-0.014992i,-0.007411+0.0047927i,0.0054758+0.010213i,-0.0093131+0.031583i,0.0071444+0.0082352i,-0.0036972-0.0018265i,-0.0025189-0.0014414i,-0.012314-0.0053766i,0.00023233-0.0037069i,-0.032433+0.0038164i,0.0026678-0.0087904i,-0.007221-0.0016363i,-0.0053595-0.0029351i,0.0069696+0.001799i,-0.010841+0.0010071i,0.0022487-0.00039137i,0.0061995+0.007627i,0.0056337+0.0010677i,-0.0081147-0.0094642i,0.0023288+0.0078961i,-0.018234+0.0066772i,0.0031368+0.0064089i,-0.021483-0.0084823i,-0.027378-0.005271i,0.0090537-0.060562i,0.018454-0.015255i,-0.050988-0.028629i,-0.025231+0.0023709i,0.018751+0.010417i,-0.027848+0.012304i,-0.012304-0.0080801i
0.0057661+0.0049293i,0.036464+0.013797i,0.019509-0.0044226i,0.013617+0.0021961i,0.0083866-0.0019952i,0.015707-0.0075069i,0.012078+0.014399i,0.017733+0.020437i,0.0009778-0.0028471i,0.0012062+0.0010118i,0.0022439-0.0011936i,0.0012299-0.0041529i,0.00012034-0.0012825i,0.0021763-0.00015497i,0.0050721-0.0012238i,0.0057516+0.00084902i,0.0053522-0.0060544i,4.8058e-06-0.00090984i,-0.0020471+1.3501e-05i,0.000385+0.00065482i,0.00025684-0.0001814i,-0.0022287-0.00042449i,-0.0015767-0.00012084i,0.0060777+0.0073697i,-0.00057002+0.00034666i,0.00042498+0.00086482i,0.00096662+0.00086345i,-6.5443e-05+0.0012588i,-0.00044911-0.00026179i,-0.0012012-2.4843e-05i,0.00066939-0.0013074i,-0.00047986+0.00046023i,0.00016684+0.00067727i,-9.6321e-05+0.00055518i,-0.00045614-0.0010449i,-0.010623+0.0077697i,0.00051886+0.00022608i,-0.00049653-7.2761e-06i,-0.00049365+0.0012898i,0.0001467-0.0030595i,-0.00042593+0.00030296i,-0.00037372-0.00029467i,0.00065482+0.0013147i,0.0032093-0.0024904i,0.0003402+0.0025094i,-0.049787+0.0091703i,-0.0033151+0.029221i,-0.014933+0.04i,-0.0081975+0.065396i,-0.016987+0.043887i,-0.0062544+0.01947i,-0.0090074+0.014204i,-0.046238+0.0044626i,-0.024199-0.0071593i,0.01567+0.024815i,0.00033205+0.0056901i,-0.0063174+0.001554i,-0.014393-0.0029824i,0.003809-0.0002921i,0.0073454+0.014525i,-0.0058287+0.0066716i,-0.0049179-0.0067055i,0.0055982-0.0028248i,-0.0065424-0.0052172i,0.0032828-0.0066259i,0.0042463-0.0020914i,-0.0023134+0.01013i,0.011249-0.0059383i,0.0060376-0.0045569i,0.0061096-0.0085131i,0.0030847+0.0007431i,-0.0017128-0.0061027i,-0.0036036-0.001425i,0.0020839-0.0016749i,-0.0075369+0.03119i,-0.0042441-0.0052484i,0.0033902-9.7105e-08i,-4.7318e-05-0.0066945i,0.0033631-0.0020485i,-0.013134-0.0057238i,0.00079141+0.00097988i,0.0039265-0.0018117i,0.0024441-0.0010062i,0.0013345-0.0051251i,-0.0019234+0.005559i,-0.00019486+0.0056423i,-0.0051355+0.0066282i,-0.0047696+0.0024267i,-0.0055673-0.00014948i,-0.023947+0.019112i,-0.0086031+0.015435i,-0.022032-0.010978i,-0.0093805-0.0088816i,0.0087886+0.019884i,-0.00029144+0.020514i,-0.0079653-0.0038945i
0.0062227+0.0029626i,0.037816+0.0064782i,0.018275-0.0082601i,0.014068+0.00051674i,0.0090728-0.0033333i,0.014242-0.010583i,0.013026+0.011412i,0.021487+0.017076i,0.00011702-0.0028725i,0.001666+0.00048222i,0.0021447-0.0015751i,-0.00050625-0.0028648i,-0.00015449-0.0007172i,0.0020403-0.00019214i,0.0044121-0.0023172i,0.0053562+9.62e-05i,0.0024679-0.0058291i,9.7016e-05-0.00077964i,-0.0021765+2.339e-05i,0.00088273+0.00016754i,7.6817e-05-0.00057989i,-0.0022055+9.6813e-05i,-0.0015578+0.00010633i,0.0094377+0.0040146i,-0.00084389+0.0010368i,0.00096405+0.0004756i,0.0010915+0.00027526i,0.00048228+0.0010911i,-0.00081546+0.00029471i,-0.0012504+0.00042426i,-0.00018244-0.0013767i,-0.00048679+8.3487e-05i,0.00025692+0.00057404i,0.00027643+0.00042317i,-0.00081279+4.5977e-05i,-0.0098435+0.012481i,0.00020034+4.9304e-05i,-0.00035194+0.00041566i,0.00018672+0.0011613i,-0.00078611-0.0025148i,-0.00034546+0.00028363i,-0.00048567-6.3468e-05i,0.00081253+0.0012263i,0.0022228-0.0025678i,0.001492+0.0025488i,-0.044184+0.017067i,-0.00023112+0.030178i,-0.0066423+0.040731i,0.0084817+0.061893i,-0.0063604+0.043311i,-0.0080773+0.015934i,-0.011703+0.011754i,-0.047223+0.0082273i,-0.020412-0.0092889i,0.019851+0.019392i,0.00056711+0.0054334i,-0.0057333+0.0063537i,-0.014047+0.0026966i,0.0023029-0.0019816i,0.010621+0.012249i,-0.0020606+0.010942i,-0.0085652-0.0049946i,0.0022357-0.0043416i,-0.0066433-0.0017435i,-0.00094083-0.0060965i,0.0027664-0.0038321i,0.0023792+0.0079124i,0.0067569-0.0082817i,0.0020874-0.0060783i,0.0011471-0.006543i,0.0040838-0.00027623i,-0.0032508-0.0052823i,-0.001915+0.00064819i,0.0021505-0.0018677i,0.0079726+0.032163i,-0.0053943-0.0043305i,0.0036311-0.0018615i,-0.0031287-0.0064933i,0.0030449-0.0028474i,-0.013337+0.00087304i,0.0016572+0.001312i,0.0029199-0.0018999i,0.0027268-0.0022853i,0.00017776-0.0054212i,-0.0004382+0.002738i,0.0018295+0.0044736i,-0.0016655+0.0083878i,-0.0032229+0.0044124i,-0.0063904+0.00067387i,-0.018681+0.018463i,-0.0057025+0.017245i,-0.024813-0.0062673i,-0.012154-0.011777i,0.011695+0.01992i,0.0036612+0.021377i,-0.011149-0.0040232i
0.0058438+0.0013756i,0.037312-0.0016785i,0.016789-0.01235i,0.015168-0.0025081i,0.010017-0.005382i,0.01196-0.013763i,0.013095+0.0084874i,0.024468+0.011967i,-0.00027945-0.0023063i,0.0014416-0.00022511i,0.001763-0.0022737i,-0.00078767-0.001359i,-0.00010869-0.0006476i,0.0020574-0.00054813i,0.0034543-0.0031374i,0.0049247-0.00071957i,0.00090237-0.005091i,-3.7544e-05-0.00097771i,-0.0023196+0.00074086i,0.00075809-0.0006901i,-0.00057391-0.00090084i,-0.001977+0.00072481i,-0.0016274+0.0004094i,0.0099354-0.00086084i,-0.00011527+0.0013741i,0.00086984-0.0001101i,0.00081739-0.00015767i,0.00095204+0.00055011i,-0.0004821+0.0006727i,-0.0011348+0.00089083i,-0.00080341-0.00098516i,-0.0010597+0.00048242i,0.00049236+0.00046114i,0.00040273+0.00018592i,-0.00033363+0.00060335i,-0.00026076+0.0079413i,8.5099e-06+0.00029588i,6.1938e-06+0.0003423i,0.00045341+0.00085566i,-0.00186-0.0018695i,-0.00024156+0.00010048i,-0.0003671+0.00023568i,0.0010421+0.0013196i,0.0015524-0.0026244i,0.0033922+0.0017083i,-0.038143+0.023017i,0.004205+0.030979i,0.0019287+0.038625i,0.023214+0.052898i,0.0035384+0.042268i,-0.011288+0.014941i,-0.014208+0.012284i,-0.047261+0.014305i,-0.019372-0.012635i,0.023367+0.012056i,0.00090475+0.0051338i,-0.0039211+0.0080716i,-0.013059+0.0065466i,1.5107e-05-0.0038139i,0.013334+0.0088239i,0.0029962+0.011855i,-0.011063-0.0022881i,0.00041827-0.0028395i,-0.0058015+0.0010997i,-0.0027507-0.0037833i,0.00078543-0.0038622i,0.0048332+0.0070761i,0.0038741-0.0088401i,-0.0013388-0.0045086i,0.00023314-0.0036318i,0.0044037-0.0024757i,-0.0057323-0.0043114i,-0.00074533+0.00051507i,0.0010244-0.0024079i,0.019746+0.023694i,-0.0072765-0.0025762i,0.0030452-0.0031808i,-0.0036831-0.0044249i,0.0032244-0.0041647i,-0.010114+0.0060836i,0.003421+0.00083327i,0.0020418-0.0023331i,0.0015866-0.0024103i,-0.0016199-0.0050146i,-0.0013967+0.0026432i,0.0028912+0.0029285i,0.001988+0.0080416i,-0.0019729+0.0047604i,-0.007089+0.0023911i,-0.015947+0.017044i,0.00062747+0.017657i,-0.025601-0.0018387i,-0.015901-0.01269i,0.016627+0.016895i,0.0087015+0.022117i,-0.01383-0.0018915i
0.0052536+0.00039136i,0.034045-0.0083356i,0.013495-0.016379i,0.014821-0.0066949i,0.0099192-0.0085284i,0.008554-0.01597i,0.012792+0.0065187i,0.025742+0.0058787i,-6.5988e-05-0.0023118i,0.00084397-0.0002737i,0.0010151-0.0022392i,-0.00046785-0.00053783i,-0.00053176-0.00038711i,0.0016835-0.00071357i,0.0022315-0.0035922i,0.004293-0.0011184i,-5.6504e-05-0.0043035i,-0.0002358-0.00097779i,-0.0015206+0.0016132i,7.7164e-05-0.0010896i,-0.0010561-0.0004379i,-0.0015341+0.001438i,-0.0015277+0.00089842i,0.0077446-0.0046555i,0.00035632+0.001234i,0.00052569-0.00029847i,0.00060346-0.00016353i,0.00077172-2.6225e-05i,-0.0001204+0.00060684i,-0.00077408+0.0014635i,-0.0012146-0.00040838i,-0.00066576+0.0012087i,0.00055562+0.00020779i,0.00030183+2.8912e-05i,0.00015631+0.00062356i,0.0012397+0.0076378i,0.00037745+0.00036534i,-3.5679e-05+0.00014978i,0.00047326+0.00077157i,-0.0022096-0.0007086i,-0.00025957+3.9202e-05i,-0.00024944+0.00031394i,0.0013508+0.0012215i,0.00085394-0.0024008i,0.00493-0.00046158i,-0.030932+0.027668i,0.0094295+0.030926i,0.007781+0.035573i,0.034942+0.039792i,0.013205+0.037211i,-0.01496+0.017215i,-0.017197+0.015326i,-0.04584+0.021526i,-0.021139-0.015629i,0.024789+0.0035501i,0.0012008+0.0054008i,-0.0011827+0.010957i,-0.010927+0.010231i,-0.0042249-0.0029884i,0.015511+0.00351i,0.0081605+0.0099112i,-0.012756+0.001244i,-0.00017432-0.0021722i,-0.0039851+0.0026761i,-0.0034139-0.0011484i,-0.00032213-0.0034202i,0.0069157+0.0037755i,0.0012334-0.0090504i,-0.0030764-0.0016857i,0.0008285-0.0020935i,0.0031742-0.0044399i,-0.0060791-0.00012926i,0.00036229+0.00088151i,0.00053362-0.0021417i,0.026334+0.012129i,-0.0079108+0.0011272i,0.002199-0.0045768i,-0.0040864-0.0026929i,0.0018282-0.0061943i,-0.0056747+0.0080236i,0.0045731-0.0014599i,0.001284-0.0019233i,0.0011972-0.0023378i,-0.0025436-0.0033613i,-0.0012825+0.0037832i,0.0029437+0.0012021i,0.0047381+0.0067083i,-0.00088882+0.0044223i,-0.0072804+0.0048342i,-0.014124+0.01801i,0.0096356+0.012399i,-0.02433+0.003061i,-0.021211-0.01171i,0.018577+0.012066i,0.015263+0.020583i,-0.01345-0.00019003i
0.0051248-0.00024038i,0.030753-0.012812i,0.0095201-0.018951i,0.013235-0.010624i,0.0084288-0.011649i,0.0053864-0.017095i,0.01271+0.0052727i,0.024211+0.0012511i,0.00021432-0.0028456i,0.00037948-0.00012109i,0.00070839-0.0031583i,5.3991e-06-0.00031533i,-0.00069015+0.00026633i,0.0013712-0.00091879i,0.0011607-0.0034504i,0.0040316-0.0012479i,-0.00064484-0.0036376i,-0.00067901-0.0009348i,-0.00072555+0.0016709i,-0.0005624-0.00092706i,-0.0012385+1.475e-05i,-0.00073443+0.0017457i,-0.0011675+0.0014023i,0.0048338-0.0067829i,0.00067149+0.0010339i,0.00032833-0.00031835i,0.00049136-0.00029358i,0.00046979-0.00013197i,2.3652e-05+0.00056786i,5.3782e-06+0.0017077i,-0.0011718+0.00024158i,2.053e-05+0.0014413i,0.00048158-9.9645e-05i,0.00033133+0.00020508i,0.00063236+0.00057951i,0.0018573+0.0073593i,0.00025962+0.00028153i,-0.00022549+0.00021182i,0.00085999+0.00068598i,-0.0016917+0.00037652i,-0.00040499-0.00011243i,-0.00014887+0.00034579i,0.0015787+0.00078666i,0.00026897-0.001629i,0.0048255-0.0032474i,-0.022947+0.030056i,0.016083+0.029114i,0.013956+0.033036i,0.039582+0.024016i,0.018895+0.030087i,-0.015885+0.023111i,-0.017208+0.021899i,-0.043152+0.029928i,-0.025571-0.016706i,0.020728-0.0044693i,0.0024504+0.0056728i,0.0039725+0.010924i,-0.0078855+0.012784i,-0.0060134+0.00069085i,0.014511-0.0035695i,0.011865+0.0063096i,-0.013293+0.0055584i,-0.00010201-0.00061414i,-0.0024149+0.0033571i,-0.0017853+0.00070608i,-0.0020273-0.0022464i,0.0069132+0.00088857i,-0.0015412-0.0079899i,-0.002645+0.0012372i,0.0022556-0.0023474i,0.0012663-0.0055171i,-0.0035874+0.0019972i,0.0017057+0.00015065i,0.00030185-0.0016885i,0.026434-0.00080242i,-0.0057029+0.0042308i,0.00035579-0.0051876i,-0.0037016-0.0017469i,-0.00045371-0.0066926i,-0.0020641+0.0077842i,0.003741-0.0034142i,0.0013775-0.0010452i,0.0014679-0.0023434i,-0.001572-0.002379i,0.00052582+0.0046525i,0.0018418+0.00016989i,0.0058641+0.0053069i,-0.00047082+0.0032779i,-0.0057126+0.0077673i,-0.010768+0.019101i,0.012283+0.00077356i,-0.020623+0.0052547i,-0.026412-0.008772i,0.019872+0.0068812i,0.020318+0.014438i,-0.013813-0.00013122i
0.0051155-0.0012109i,0.027895-0.017042i,0.0056888-0.020617i,0.010798-0.014323i,0.0063178-0.014056i,0.0020568-0.017835i,0.013545+0.0042183i,0.023199-0.0022423i,9.094e-05-0.0038693i,-0.00010605+0.00021679i,-0.0012711-0.0019656i,0.00038242-0.00024456i,-0.00024835+0.00095099i,0.0010483-0.00088446i,0.00040247-0.0031457i,0.0043091-0.0015766i,-0.00086581-0.0031741i,-0.00078447-0.00065877i,-8.9128e-05+0.0016294i,-0.00090616-0.00054772i,-0.00098815+0.0003439i,0.00019844+0.0014831i,-0.00057032+0.0016669i,0.0016114-0.007393i,0.0010993+0.00087864i,0.00013216-0.00033787i,0.00036765-0.00046985i,0.00032233-0.00017729i,0.00024881+0.00053787i,0.00065305+0.0013825i,-0.00086282+0.00066406i,0.00046038+0.0012111i,0.00028502-0.00018306i,0.0005409+7.3901e-06i,0.00087967-2.1355e-05i,0.0030566+0.0071069i,0.0003504+0.00026566i,-0.00013377+0.00043726i,0.00089197+0.00030028i,-0.00099049+0.00057306i,-0.00062114+2.7237e-05i,2.6152e-06+0.00023924i,0.0016681+0.00047598i,0.0012128-0.004463i,0.0040105-0.005791i,-0.015608+0.030084i,0.022012+0.024859i,0.020114+0.028929i,0.039033+0.0097686i,0.021949+0.023526i,-0.012646+0.029728i,-0.013107+0.029103i,-0.036405+0.039843i,-0.030706-0.014317i,0.015486-0.0083851i,0.0038612+0.0047867i,0.0075887+0.0086456i,-0.0038132+0.014843i,-0.0052274+0.0034664i,0.0096218-0.0096338i,0.013237+0.00068416i,-0.011944+0.0099498i,0.0012352-0.00019282i,-0.00072107+0.0026928i,-0.00024012+0.00061788i,-0.0020442+0.00011599i,0.0056285-0.00079045i,-0.0030116-0.00609i,-0.00050155+0.0028663i,0.0024859-0.0039588i,-0.00097984-0.0053831i,-0.0024089+0.0018602i,0.0020726-0.0011829i,0.00074632-0.0015219i,0.02171-0.011048i,-0.0027007+0.0051663i,-0.0012221-0.0047111i,-0.0035509-0.00093047i,-0.0026996-0.0061598i,0.00056862+0.0068063i,0.0028852-0.0047688i,0.0021857-0.0011838i,0.0012178-0.003358i,-0.0012384-0.0027038i,0.0021148+0.0045272i,0.00076878+0.00047771i,0.0076028+0.00029845i,-0.00097628+0.0023769i,-0.0025175+0.0093926i,-0.0070744+0.018741i,0.0078615-0.008567i,-0.018126+0.0030815i,-0.031448-0.0031006i,0.018311+0.00023356i,0.021329+0.0075406i,-0.014568+0.0019928i
0.0048791-0.0020861i,0.024102-0.021345i,0.00134-0.022181i,0.0068012-0.017812i,0.0035942-0.016347i,-0.0015576-0.01767i,0.015105+0.0023892i,0.022055-0.0059419i,-0.00055915-0.0046969i,-0.00031259+0.0011348i,-0.0013435-0.0011696i,0.00066164-0.00086267i,0.00037703+0.0011046i,0.00074106-0.00077195i,-0.00015755-0.002691i,0.0044328-0.0023596i,-0.0010931-0.0030472i,-0.0011076-0.00051274i,0.00063751+0.0013068i,-0.0012976-0.00010286i,-0.00096696+0.00047041i,0.00066825+0.00081542i,-6.9495e-05+0.0016658i,-0.0017099-0.0069501i,0.0014368+4.2123e-05i,-4.9929e-05-0.00014956i,-0.00019413-0.00066082i,0.0001357-0.00011739i,0.00050663+0.00026448i,0.00097651+0.00088667i,-0.00037501+0.0008201i,0.00070486+0.0011079i,2.0843e-05-9.0122e-05i,0.00045148-0.00018164i,0.00045436-0.00072847i,0.0044703+0.0059914i,0.00041093+0.00021855i,-5.9161e-05+0.00046512i,0.00087643+0.00020255i,-0.0003784+0.00053443i,-0.00074059+0.0002968i,6.6747e-05+0.00023786i,0.001701+7.9933e-06i,-0.0008515-0.0027389i,0.0021308-0.0080145i,-0.0093799+0.02865i,0.025888+0.019189i,0.02547+0.023524i,0.03449-0.0017256i,0.023195+0.01828i,-0.0064077+0.034054i,-0.0043285+0.033643i,-0.025109+0.046659i,-0.034538-0.0090101i,0.010183-0.0097624i,0.0047859+0.0035828i,0.0092435+0.0048091i,0.00097294+0.014977i,-0.0042819+0.0050372i,0.0018591-0.011269i,0.01127-0.0046021i,-0.0084355+0.012451i,0.001941-0.0017964i,0.0008553+0.002265i,0.00010897-0.00028914i,-0.00035333+0.0014144i,0.0044946-0.0010458i,-0.0035437-0.004244i,0.0014347+0.0029648i,0.0012359-0.0059806i,-0.0026434-0.0040895i,-0.0015886+0.002209i,0.0013989-0.0024355i,0.00082856-0.0022183i,0.013791-0.017509i,-0.00036121+0.0049338i,-0.0022064-0.0040395i,-0.0030485-0.00067611i,-0.0043073-0.0053492i,0.002284+0.0053366i,0.0014926-0.0064058i,0.0025781-0.0021093i,-5.5859e-05-0.0037823i,-0.0020529-0.0029839i,0.0039121+0.0039699i,0.00046412+0.0014807i,0.0062707-0.0009223i,-0.0020038+0.0025871i,0.00048752+0.0088635i,-0.0037428+0.018504i,0.00036721-0.014163i,-0.0205+0.00045893i,-0.032798+0.0054606i,0.012591-0.0040512i,0.020808+0.0021605i,-0.01399+0.0040245i
0.0048635-0.0030903i,0.019974-0.024022i,-0.003963-0.022462i,0.0013703-0.019389i,-0.00014307-0.017783i,-0.0044995-0.016443i,0.016618-0.00052362i,0.020122-0.0091681i,-0.0011251-0.0056748i,0.00051513+0.0022407i,-0.0014665-0.00020721i,-8.5916e-05-0.0013423i,0.00094408+0.0011072i,0.0007315-0.00056399i,-0.00038368-0.0022908i,0.004089-0.0030254i,-0.0020376-0.0028715i,-0.0013033+3.7276e-05i,0.00094738+0.00058066i,-0.0012945+0.00073702i,-0.00079529+0.00083291i,0.00054588+0.00011174i,0.00040093+0.0015647i,-0.0042214-0.0047484i,0.00044538-0.0001973i,-6.989e-05-1.1263e-06i,-0.00093524+0.00012456i,6.2897e-05+6.2805e-06i,0.00039121-6.039e-05i,0.0010572+0.00047389i,2.0785e-05+0.00073595i,0.00061142+0.00019669i,3.1054e-05+0.00011606i,0.00033812-0.00023857i,-0.00021055-0.00043139i,0.005751+0.0050031i,0.00043096+6.3699e-05i,-9.8435e-06+0.00064675i,0.0010342+3.9872e-05i,0.00013814+0.00017363i,-0.00076802+0.00066431i,0.00019625+0.00015242i,0.0014254-0.00056577i,-0.0013822-0.0016413i,-0.00039688-0.0092302i,-0.0045195+0.025927i,0.027892+0.013574i,0.030058+0.016929i,0.028244-0.0091055i,0.023577+0.014161i,0.00086554+0.035991i,0.0049878+0.033408i,-0.012305+0.048841i,-0.035571-0.0018797i,0.006848-0.0093221i,0.0056653+0.0021617i,0.0088212+0.001488i,0.0053627+0.013217i,-0.0028056+0.0069275i,-0.0046804-0.0085443i,0.0078383-0.0072086i,-0.0052313+0.013941i,0.0010684-0.0033992i,0.0010216+0.001438i,-0.00022782-0.00044705i,0.0015491+0.001337i,0.0039226-0.0013801i,-0.0043306-0.0029519i,0.0029365+0.0017585i,-0.002031-0.0069168i,-0.003218-0.00251i,-0.0002345+0.0016809i,0.00090502-0.0029507i,0.00028627-0.0034114i,0.0055322-0.019057i,0.0014203+0.0041874i,-0.0028953-0.0034353i,-0.0036495-0.00058838i,-0.0057455-0.0037372i,0.0027221+0.0039952i,-0.00097159-0.007564i,0.0024923-0.0033275i,-0.0010808-0.0033551i,-0.0024459-0.0026937i,0.0049531+0.002909i,0.001216+0.0021194i,0.0051335-0.0024655i,-0.0022054+0.0037624i,0.002622+0.007375i,0.00057315+0.018016i,-0.009299-0.016426i,-0.024491+0.00087623i,-0.03015+0.013647i,0.007562-0.0036735i,0.018232-0.0034237i,-0.012893+0.0044218i
0.0046188-0.0046961i,0.016216-0.026614i,-0.0085529-0.020772i,-0.0035978-0.018662i,-0.0039631-0.018005i,-0.0066144-0.015185i,0.017396-0.0046187i,0.018015-0.011878i,-0.0022543-0.0066406i,0.0020164+0.0023589i,-0.00095121+0.00054672i,-0.00075165-0.00088696i,0.0014445+0.0005789i,0.00081889-0.0005947i,-0.00053277-0.0020558i,0.0038906-0.0035111i,-0.0027882-0.0019049i,-0.000942+0.00035789i,0.00074902-2.2341e-05i,-0.00079621+0.001214i,-0.00055896+0.00098967i,0.00015794-0.00026974i,0.00083466+0.0013214i,-0.005047-0.0018721i,-0.00018191+7.7007e-05i,-1.036e-05+4.5592e-05i,-0.00038336-4.5956e-05i,8.1533e-05+6.5636e-05i,0.00014419+4.9861e-05i,0.0010294-5.4874e-05i,0.00040183+0.00052819i,0.00067581+0.00029174i,0.00024439+9.9247e-05i,0.00039019-0.00012009i,-0.0002941+9.9791e-05i,0.0074073+0.0047198i,0.00028235+2.3433e-05i,0.00035312+0.00071881i,0.0011208-0.00030923i,0.00032838-0.00027775i,-0.00042894+0.00086915i,0.00020664-6.9242e-05i,0.00091441-0.00093889i,-0.0015115-0.00085748i,-0.0031561-0.0097121i,-0.0019157+0.022869i,0.028951+0.0084616i,0.032277+0.0086899i,0.021621-0.014076i,0.023747+0.012071i,0.0087468+0.03602i,0.012981+0.03107i,-0.0007176+0.047177i,-0.034021+0.0049323i,0.004327-0.0092713i,0.0062718-7.5703e-05i,0.0083202-0.00090432i,0.008985+0.0098787i,2.8952e-06+0.0073276i,-0.0082332-0.0037618i,0.0041315-0.0081083i,-0.00067068+0.013829i,-0.0010079-0.0042388i,0.0003477+0.0013179i,-0.0004001-0.00017974i,0.0025311+9.351e-05i,0.0036103-0.00077808i,-0.0042453-0.0013329i,0.0032631+0.00026325i,-0.0047752-0.004992i,-0.0028027-0.0012892i,0.00012248+0.00049635i,0.00024857-0.0037626i,-0.0010926-0.0037788i,-0.0015211-0.017825i,0.0030352+0.0025507i,-0.0038488-0.0027038i,-0.0038106+0.00079214i,-0.0064373-0.0014349i,0.0033589+0.0033158i,-0.0042414-0.0071136i,0.0019968-0.0046124i,-0.0017786-0.0028985i,-0.0027262-0.0031263i,0.0061704+0.0018939i,0.0019343+0.0021475i,0.0032536-0.002644i,-0.0018194+0.004537i,0.0038977+0.0053609i,0.0053319+0.015466i,-0.019505-0.013844i,-0.028122+0.0037698i,-0.024845+0.018083i,0.005079-0.002496i,0.013285-0.0072384i,-0.014263+0.0049288i
0.0035191-0.0062154i,0.011972-0.029214i,-0.012023-0.018598i,-0.0074183-0.01681i,-0.0076393-0.01745i,-0.0087846-0.013988i,0.016822-0.0095999i,0.01566-0.014669i,-0.0040856-0.007279i,0.0035207+0.0018092i,-0.00024939+0.00075354i,-0.0010003-8.9819e-05i,0.0015539-0.00013842i,0.0008325-0.00065806i,-0.00084202-0.0019649i,0.0036063-0.004136i,-0.0031494-0.00060306i,-0.00068004+0.00032097i,0.00053043-0.00027532i,-0.0002745+0.0013479i,-0.00024892+0.0011333i,-0.00021342-0.00028619i,0.0010809+0.00093376i,-0.0045887+0.0011778i,-9.6317e-05+0.00016103i,-3.6374e-06+0.00010621i,-0.00054967+8.8992e-05i,9.0317e-05+0.00011282i,0.00020289+0.00013358i,0.0006468-0.00040753i,0.00053686+8.8422e-05i,0.00072034+0.00042959i,0.00030059+4.0395e-05i,0.00039789-0.00046443i,-4.3601e-05+0.00041998i,0.0082538+0.0017635i,0.00034561+3.038e-05i,0.00071965+0.00064398i,0.0005093-0.00086092i,0.00058542-0.00054632i,0.00013383+0.00099664i,9.3101e-05-0.00016132i,0.00028036-0.00090607i,-0.0014595+0.00013164i,-0.0056598-0.0092329i,-0.00085845+0.02132i,0.029399+0.0036445i,0.031358+0.0016289i,0.014653-0.017191i,0.026235+0.010863i,0.016174+0.033431i,0.020692+0.026566i,0.010182+0.042142i,-0.02961+0.010786i,0.0020136-0.0088396i,0.0053129-0.0033632i,0.0077118-0.0035824i,0.010126+0.0053678i,0.0017472+0.0062789i,-0.0088568+0.0021187i,0.0004117-0.0076587i,0.00211+0.011557i,-0.0034215-0.0031815i,-0.0001033+0.002207i,-0.0004224+0.00012523i,0.00308-0.0012982i,0.0045293-6.0122e-05i,-0.0032632-0.00027788i,0.003257+0.00014466i,-0.0055931-0.0025084i,-0.0020026-0.00083078i,-0.00034291+0.00018914i,-0.0019294-0.0043689i,-0.0022804-0.0030966i,-0.0071054-0.014894i,0.0034767+0.00024705i,-0.0045302-0.0013378i,-0.0027474+0.0016776i,-0.0060173+0.0005978i,0.0042349+0.0026098i,-0.0068429-0.004791i,0.0002776-0.0062201i,-0.0025726-0.0021976i,-0.0043775-0.002977i,0.0073143-0.00050904i,0.002813+0.002336i,0.0026743-0.0023791i,-0.00056665+0.0056455i,0.0039868+0.0031548i,0.0087992+0.011295i,-0.025614-0.0053924i,-0.031052+0.0090696i,-0.019692+0.021433i,0.003018-0.00040419i,0.0085801-0.0074669i,-0.014461+0.0069256i
