-0.024329-0.038482i,-0.01207-0.048806i,-0.017938-0.044868i,-0.031286-0.035039i,-0.030194-0.01633i,-0.050661-0.027352i,-0.057992-0.025424i,-0.04464-0.037366i,-0.029331-0.03587i,0.007251+0.012911i,-0.0049406+0.015778i,-0.0047779+0.01409i,0.0097819+0.021386i,0.00042879+0.0044382i,0.0034766+0.0031154i,0.0063799+0.017515i,0.026728+0.038399i,-0.0024022-0.00067281i,-0.0041699-0.0057949i,0.007684+0.0016512i,-7.8021e-06-0.00086502i,-0.0010318+0.0014778i,8.4705e-05-0.00038697i,-0.030153-0.0023905i,-0.0013613-0.0057665i,0.0015675+0.0047503i,0.0034966+7.9186e-05i,-0.00041542+0.00060415i,0.00045386-0.00058765i,-0.00046251-0.0025276i,-0.0018163-0.0063119i,-0.0045429-0.0040269i,-0.0018361-0.0048361i,0.002307-0.00078476i,0.0023257-0.0028719i,0.0027628+0.025484i,0.0019502-0.0028199i,0.0029095+0.00071384i,0.0061027+0.0010151i,-0.010388-0.0036316i,-0.003144+0.00084505i,0.006619+0.0015327i,0.0052787+0.00030413i,-0.0036534+0.005608i,0.0012145-0.0085236i,-0.01166+0.018032i,0.035481-0.090392i,0.012081-0.070258i,-0.016095-0.059655i,-0.016515-0.055536i,0.039175-0.046465i,0.016857-0.062413i,0.034004-0.055529i,0.031052-0.059741i,0.015547-0.013413i,0.0045717+0.016773i,0.016626-0.026304i,-0.011281+0.0059006i,-0.00052088+0.0051369i,-0.0051595-0.0013495i,-0.0021857-0.028814i,-0.023916+0.031492i,0.0099926-0.011059i,-0.013003-0.0025797i,-0.00018957-0.0049335i,-0.0011075-0.016196i,-0.0075565+0.0046456i,0.0050675+0.0062656i,-0.0084274+0.030632i,0.0053076+0.0057804i,-0.005005-0.00073499i,-0.0030318-0.00041457i,-0.012249-0.0074171i,-0.00090875-0.0043302i,-0.029871+0.0063283i,0.00020959-0.0099504i,-0.0096791-0.0018963i,-0.0067404-0.0025244i,0.0069397+0.0027993i,-0.0081494+0.0014471i,-9.5546e-05+0.00066604i,0.005803+0.010883i,0.0040826+0.0012091i,-0.0096536-0.010217i,0.0031022+0.008101i,-0.021449+0.006005i,0.0082751+0.00027087i,-0.028798-0.0040187i,-0.042208+0.002357i,0.018943-0.096608i,-0.0016997-0.012334i,-0.053023-0.022007i,-0.023309+0.00077345i,0.01805+0.010751i,-0.02507+0.013076i,-0.018464-0.013249i
0.008331+0.019994i,0.015123+0.051148i,0.024399+0.034911i,0.017435+0.027011i,0.024775+0.026655i,0.03243-0.014617i,0.017692-0.0090575i,0.029683+0.0057026i,0.012416+0.013306i,0.0023394+0.0046969i,0.0047977+0.0028036i,0.004274+0.0031674i,0.0059487+0.0028613i,0.0050442+0.0035388i,0.0030755-0.0033566i,0.008029-0.001508i,0.0087818-0.0048064i,-0.0013818-0.0013431i,-0.00314+0.001323i,-0.00014672+0.0013016i,-0.0011225-0.00021951i,-0.0027331+0.0012941i,-0.0018882+0.00089015i,0.0048597+0.0077117i,0.0015272+0.001178i,0.0024353+0.00039477i,0.0018342+0.0011396i,0.0010036+0.001346i,0.00071498+0.00011714i,-0.00022353+0.00079304i,-0.0014944-0.0021214i,-0.00072898-0.00052469i,-0.001138+0.00088947i,-0.0010615+0.00033822i,-0.00063326-0.0018907i,-0.0066215+0.0075316i,0.0013465+0.00043025i,0.0011292-0.00054147i,-0.00083741+0.0024637i,-0.00021815-0.0035091i,-0.0012846+0.00022449i,-0.0019284-0.00019125i,0.0023735+0.0010301i,0.0065204+0.0038893i,-0.013668+0.034469i,-0.08133+0.035327i,-0.051382+0.037934i,-0.037227+0.059378i,-0.018594+0.072482i,-0.0086596+0.051336i,0.010178+0.037092i,0.0032726-0.0021678i,-0.036373+0.0092317i,-0.045438+0.019406i,0.0015589+0.024265i,-0.0080028+0.0024103i,-0.010565-0.00073661i,-0.013548-0.00233i,0.0024137+0.00055831i,0.0062253+0.0097361i,-0.0022322+0.0082919i,-0.0071886-0.012264i,0.0054345-0.0065155i,-0.0064474-0.0067482i,0.0019804-0.006234i,0.0036347-0.0041413i,-0.0018497+0.010124i,0.0095982-0.0040887i,0.0050815-0.0059986i,0.0031593-0.0056332i,0.0032369-0.00044793i,-0.0012724-0.0045715i,-0.0035919-0.00063084i,0.0024164-0.00036688i,-0.0090902+0.025503i,-0.0040922-0.0032078i,0.0020666+0.00045136i,0.00022673-0.006846i,0.0023097-0.0012132i,-0.015609-0.0034586i,0.00055293+1.2041e-05i,0.005205-0.0030113i,0.0031715-0.0011422i,0.00052297-0.0048974i,-0.00063824+0.0057463i,-0.0013881+0.0065866i,-0.0029784+0.0045873i,-0.011873+0.0020163i,-0.014579-0.0013085i,-0.03987+0.055386i,0.00055301+0.0055951i,-0.024899-0.016803i,-0.0066144-0.0072438i,0.010537+0.01949i,-0.0020767+0.022799i,-0.0011134-0.00048628i
0.0106+0.016378i,0.023253+0.04629i,0.030055+0.030499i,0.022195+0.02481i,0.030481+0.02254i,0.029132-0.020372i,0.014883-0.012445i,0.030129+0.00011834i,0.014345+0.010325i,0.0037038+0.0035999i,0.0054477+0.0016738i,0.0040834+0.0030118i,0.0061616+0.0017223i,0.0056753+0.0021939i,0.0019649-0.0038751i,0.0066489-0.0029652i,0.0063111-0.0065197i,-0.0010505-0.0011419i,-0.0024592+0.0013982i,0.00049768+0.0006299i,-0.0013509-0.00021833i,-0.0023522+0.0018564i,-0.0015627+0.00099271i,0.0083005+0.005017i,0.0014973+0.0011318i,0.0027109-0.00066241i,0.0019546+0.00010719i,0.0014839+0.0008294i,0.00027119-6.2118e-05i,-0.00018784+0.00076147i,-0.0022514-0.0010979i,-0.001163-0.00056222i,-0.00084977+0.0011792i,-0.00081704+0.0006904i,-0.0015336-0.00066447i,-0.0038645+0.00877i,0.0011382-0.00022049i,0.00080008-0.0008092i,0.0002682+0.0021261i,-0.0013046-0.002966i,-0.0011386+0.00036585i,-0.0020102+0.00045131i,0.002098+0.00087405i,0.0068813+0.0029788i,-0.0071273+0.035936i,-0.069273+0.049363i,-0.04721+0.046726i,-0.027269+0.063437i,-0.0026465+0.070033i,0.002144+0.049405i,0.011028+0.031192i,-0.0026674-0.0066119i,-0.037537+0.01143i,-0.036491+0.021253i,0.0074465+0.022368i,-0.0082806+0.0047869i,-0.0098207+0.0049661i,-0.013245+0.0017911i,0.0014391-0.00086689i,0.0080211+0.0089266i,0.0021019+0.011367i,-0.0133-0.010123i,0.00098589-0.0071512i,-0.0061783-0.0031562i,-0.0013728-0.0058668i,0.0013221-0.0054276i,0.0026647+0.0080416i,0.0063432-0.0066372i,0.00073829-0.006481i,0.00059125-0.0032907i,0.0040779-0.0015494i,-0.0023863-0.0039121i,-0.0013932+0.001556i,0.0026243-0.00059716i,0.0041452+0.025656i,-0.0048186-0.0025994i,0.0026515-0.0017233i,-0.0031864-0.0060552i,0.0027354-0.0020825i,-0.014495+0.0035619i,0.0009476+0.00036847i,0.0035019-0.0028477i,0.0030615-0.0024162i,-0.0009633-0.0047466i,0.001169+0.0027483i,0.001601+0.0055667i,-6.148e-05+0.0055136i,-0.010648+0.0057574i,-0.015843+0.0017497i,-0.02912+0.056899i,0.0010366+0.006448i,-0.028874-0.011543i,-0.0093182-0.010154i,0.013032+0.017634i,0.002048+0.024703i,-0.0035262-0.0015734i
0.011576+0.013593i,0.029392+0.039587i,0.035608+0.023803i,0.027892+0.020068i,0.036062+0.016776i,0.0245-0.025708i,0.011279-0.015384i,0.029647-0.0058343i,0.015827+0.0073739i,0.0040491+0.0023233i,0.0053697-0.00014027i,0.0048898+0.0028515i,0.0061171+4.0558e-05i,0.0059484+0.00043154i,0.00074495-0.0040343i,0.0050283-0.0039174i,0.0039829-0.0075466i,-0.001459-0.0012993i,-0.0022114+0.0018121i,0.00039927-0.00032521i,-0.0018468-0.00016146i,-0.001693+0.0023958i,-0.0014886+0.0011463i,0.0089591+0.00074227i,0.0021418+0.00044492i,0.0018838-0.0016363i,0.0015645-0.00064498i,0.0018962+5.3145e-07i,0.00014381+8.747e-05i,-0.00010952+0.00091542i,-0.0025021+0.00014542i,-0.0018858+0.00033083i,-0.00023446+0.001523i,-0.00046567+0.00094474i,-0.0012411+0.0005553i,-0.0010607+0.0093011i,0.00083315-0.00038085i,0.00041637-0.0010744i,0.00083525+0.0014581i,-0.0023525-0.0022759i,-0.0010597+0.00053275i,-0.0016552+0.0010062i,0.0020592+0.0011767i,0.0076807+0.0015835i,0.00096193+0.036085i,-0.056369+0.059628i,-0.038954+0.054817i,-0.015866+0.064401i,0.011778+0.063179i,0.011855+0.047358i,0.01063+0.027805i,-0.0083755-0.0070759i,-0.038064+0.016735i,-0.029536+0.020129i,0.012409+0.017878i,-0.0076918+0.0068648i,-0.0075428+0.0080426i,-0.012347+0.0048741i,-0.0004601-0.0026679i,0.010125+0.0070127i,0.0071782+0.0109i,-0.017483-0.0051292i,-0.0010385-0.0049179i,-0.0055797-0.00035642i,-0.0032157-0.0039649i,-0.0012338-0.0047287i,0.0050017+0.006893i,0.0039366-0.0070796i,-0.0030865-0.0045736i,0.0010559-0.0015317i,0.0037623-0.0040972i,-0.0040957-0.0028601i,0.000157+0.00094831i,0.0023268-0.001352i,0.014814+0.01945i,-0.0060985-0.00095412i,0.0023202-0.0029618i,-0.0032552-0.0037382i,0.0032933-0.0036729i,-0.010072+0.0088104i,0.0021487+0.00039258i,0.0021893-0.0034878i,0.0017713-0.0027826i,-0.0023543-0.0035572i,0.00056586+0.001965i,0.0034689+0.003587i,0.0024382+0.0050769i,-0.0086066+0.0080671i,-0.015836+0.006401i,-0.020565+0.056527i,0.0049599+0.0064751i,-0.030501-0.0057424i,-0.012732-0.011451i,0.016655+0.013826i,0.0081953+0.025425i,-0.0053919-0.00081817i
0.012213+0.01146i,0.032758+0.033193i,0.03823+0.015856i,0.031522+0.012797i,0.039794+0.00869i,0.018453-0.02951i,0.0070228-0.017014i,0.02746-0.011526i,0.016756+0.0042581i,0.0040017+0.0015515i,0.0045155-0.00092184i,0.0057519+0.0019092i,0.0052652-0.00096277i,0.0053911-0.0011402i,-0.00056667-0.0037935i,0.0034541-0.0042119i,0.001222-0.0073673i,-0.0016832-0.00081772i,-0.0013314+0.0021841i,-0.0003544-0.00068911i,-0.0021247+0.00066388i,-0.000984+0.0028798i,-0.0013495+0.0014931i,0.0075083-0.0026253i,0.0018806-0.0004098i,0.00087949-0.0016903i,0.0010043-0.00091524i,0.0013681-0.0010087i,0.00022868-3.7544e-05i,0.00023486+0.0011254i,-0.0021774+0.0014532i,-0.0013917+0.0013305i,0.00043021+0.0012878i,-0.00019875+0.0009589i,-0.00058872+0.0011927i,0.00189+0.0089777i,0.0006293-0.00057786i,-8.5778e-05-0.00123i,0.00095479+0.0011539i,-0.0028071-0.0012878i,-0.00096443+0.00081327i,-0.0013352+0.0012505i,0.0026585+0.0012632i,0.0081038-0.00025415i,0.0082979+0.032782i,-0.041104+0.067088i,-0.029744+0.06076i,-0.0069107+0.063676i,0.023933+0.052302i,0.021641+0.041435i,0.0095394+0.026355i,-0.014726-0.0050667i,-0.03695+0.0236i,-0.025526+0.017778i,0.01555+0.011594i,-0.0059938+0.0096669i,-0.0043185+0.011336i,-0.010818+0.0077758i,-0.0042029-0.0017121i,0.012146+0.0037814i,0.011507+0.008062i,-0.019414+0.0010329i,-0.0018492-0.0038738i,-0.0037314+0.0011458i,-0.0038667-0.0014282i,-0.0026294-0.0033298i,0.0070416+0.0034868i,0.0016441-0.0072779i,-0.0045961-0.00036214i,0.0020279-0.0010945i,0.0014849-0.0059048i,-0.0046334-0.00058794i,0.0010947+0.0009344i,0.0020789-0.0019075i,0.020527+0.0095581i,-0.0061173+0.0020564i,0.0018323-0.0043452i,-0.0033181-0.002401i,0.0017566-0.0061371i,-0.0043929+0.0099721i,0.00316-0.00085427i,0.00094381-0.0028093i,0.00088736-0.0026696i,-0.0023059-0.0018973i,0.00025526+0.0019984i,0.0035826+0.0012918i,0.0046029+0.0040411i,-0.0060598+0.0094469i,-0.014147+0.010968i,-0.013177+0.057336i,0.011505+0.0018504i,-0.029242-2.0772e-05i,-0.018423-0.011232i,0.017271+0.0088751i,0.015126+0.02333i,-0.0052667-0.00014061i
0.013358+0.0096893i,0.035907+0.028078i,0.039401+0.0087805i,0.032723+0.0053795i,0.041077+0.00010441i,0.012473-0.031753i,0.0029925-0.016967i,0.02431-0.016154i,0.017419+0.0010154i,0.0039528+0.00087279i,0.0039874-0.0013527i,0.0063566+0.00066344i,0.0047114-0.0012657i,0.0044871-0.0022926i,-0.0015833-0.0029214i,0.00222-0.0037883i,-0.00052803-0.0064335i,-0.0019616-0.00029218i,-0.00078704+0.0020093i,-0.0009878-0.00050605i,-0.0018827+0.0013235i,0.00014329+0.0030926i,-0.0010207+0.0019589i,0.0052215-0.0048043i,0.0013093-0.00074432i,0.00036116-0.0016149i,0.00059831-0.0010539i,0.00051927-0.0011983i,4.576e-05-2.56e-05i,0.00082669+0.0011157i,-0.001094+0.002233i,-0.00060409+0.0017694i,0.00078445+0.00087267i,0.00018542+0.0012032i,0.00024782+0.0013801i,0.0043324+0.0076476i,0.00027984-0.00056369i,-0.00066582-0.0011018i,0.0014124+0.00092068i,-0.0029473-0.00024762i,-0.00066537+0.00081447i,-0.00095093+0.0014204i,0.0033273+0.00082066i,0.0073352-0.0024531i,0.013286+0.027785i,-0.024975+0.069771i,-0.018119+0.065409i,0.0024942+0.06319i,0.029939+0.039327i,0.02786+0.033694i,0.01011+0.027663i,-0.018598+0.0018731i,-0.033541+0.032646i,-0.024464+0.015832i,0.014468+0.0057087i,-0.0026683+0.01174i,0.00093757+0.011732i,-0.0086811+0.01021i,-0.0053949+0.001645i,0.01244-0.0015848i,0.014417+0.0032872i,-0.019003+0.007354i,-0.0022279-0.0020898i,-0.0026424+0.0016201i,-0.0026692+0.00014937i,-0.0038423-0.0012226i,0.006792+0.00052547i,-0.00041775-0.0066843i,-0.0029705+0.0031005i,0.0031939-0.0019185i,-0.0012057-0.0060458i,-0.0036341+0.0010562i,0.0021672+7.1585e-05i,0.0016907-0.0023591i,0.020786-0.00015376i,-0.0038891+0.0042247i,0.00018983-0.005604i,-0.002652-0.0018716i,-0.00079316-0.0067886i,-0.00040613+0.0087294i,0.0028062-0.0023745i,0.00093951-0.0013595i,0.0008617-0.0022131i,-0.0010809-0.0014544i,0.00095739+0.0022381i,0.0022035-6.3837e-05i,0.0054027+0.0016195i,-0.0039019+0.0093125i,-0.010336+0.015451i,-0.0049158+0.057306i,0.013243-0.009027i,-0.025734+0.0022058i,-0.024007-0.008449i,0.017463+0.0046571i,0.020512+0.017109i,-0.0062539-0.00069909i
0.01467+0.0074697i,0.039164+0.022433i,0.040232+0.0015418i,0.032653-0.0020881i,0.040904-0.0081905i,0.0062251-0.033138i,4.4964e-05-0.016115i,0.020746-0.020037i,0.017585-0.0026607i,0.0036412+0.00024739i,0.0039637-0.001671i,0.0066253-0.00082721i,0.004915-0.0018047i,0.0034384-0.0030468i,-0.0021242-0.0020688i,0.0016572-0.0031434i,-0.0015986-0.0057266i,-0.0017749+0.00017187i,-0.00034788+0.0019522i,-0.0013222-9.6631e-05i,-0.0012916+0.0018277i,0.0014216+0.0026418i,-0.00033453+0.0022768i,0.0023104-0.005663i,0.0010785-0.00088888i,-0.00018901-0.0015549i,0.00021572-0.001161i,1.8306e-05-0.0010855i,-4.9445e-05+0.000134i,0.001203+0.00063042i,-2.3453e-05+0.0023109i,0.00025356+0.001813i,0.00092575+0.00055536i,0.00072138+0.00095389i,0.00083931+0.00077393i,0.0058057+0.0056822i,8.2826e-05-0.00041007i,-0.00094963-0.00063329i,0.0013755+0.00034847i,-0.0025977+0.00054193i,-0.00050465+0.00089969i,-0.0004819+0.0013543i,0.0037634+9.0039e-05i,0.0061316-0.0039834i,0.01651+0.02284i,-0.010461+0.068182i,-0.0045226+0.065824i,0.012444+0.060975i,0.032046+0.027404i,0.031691+0.02587i,0.013214+0.02968i,-0.017355+0.010925i,-0.025047+0.042154i,-0.025321+0.016422i,0.012433+0.0025355i,0.0013589+0.011848i,0.0046812+0.0097866i,-0.0057485+0.012371i,-0.0045908+0.0039634i,0.0097063-0.0072874i,0.014385-0.0028468i,-0.016191+0.012293i,-0.0015006-0.0010961i,-0.001484+0.0015241i,-0.0016508+0.00045966i,-0.0031762+0.0015284i,0.0055331-0.0012585i,-0.0018755-0.0052348i,0.00022978+0.0045198i,0.0031858-0.0038239i,-0.0034239-0.0046266i,-0.0026035+0.0017755i,0.0022844-0.0012645i,0.0016884-0.0026322i,0.017257-0.0082492i,-0.0014994+0.0048338i,-0.0019683-0.0054069i,-0.0028455-0.0016476i,-0.0031528-0.006074i,0.001929+0.007021i,0.0023853-0.0035035i,0.0025888-0.0014981i,0.00087121-0.0030157i,-0.00037563-0.002249i,0.001524+0.0023639i,0.00085078+0.00025034i,0.0048017+0.00017617i,-0.0026457+0.0088261i,-0.0045311+0.017382i,0.0036045+0.055711i,0.0072633-0.018234i,-0.023923+0.00085714i,-0.029035-0.0023955i,0.015885-0.00068307i,0.021996+0.010493i,-0.0072353+0.0004301i
0.015844+0.0049019i,0.041363+0.016081i,0.038912-0.0066597i,0.03011-0.0099368i,0.03907-0.017035i,-0.00038143-0.032936i,-0.0020195-0.015208i,0.016634-0.023427i,0.01659-0.0063983i,0.0032922+0.00031468i,0.0034434-0.0022128i,0.0064352-0.0029305i,0.0046461-0.0030613i,0.0022295-0.0034822i,-0.0024498-0.0011127i,0.0015828-0.0028302i,-0.0028595-0.0049995i,-0.0018966+0.00058428i,0.00036464+0.0017207i,-0.0017608+0.0005213i,-0.00086046+0.0019794i,0.0022574+0.0016547i,0.00028959+0.0022819i,-0.00065455-0.0051544i,0.00063413-0.0015596i,-0.00073429-0.0010291i,-0.00029617-0.0011281i,-0.00037639-0.00080719i,0.00022457+0.00030192i,0.0011257+0.00011591i,0.0010859+0.0019288i,0.00084384+0.0016426i,0.00085217+0.00021214i,0.00099277+0.00059027i,0.00079243-4.8937e-05i,0.0064874+0.003756i,-0.00010051-0.00026477i,-0.0011055-0.00029704i,0.0012953+3.6064e-05i,-0.002051+0.00099331i,-0.00033302+0.0009821i,-0.00010347+0.0011988i,0.0040058-0.0010978i,0.0045703-0.0049335i,0.018442+0.018058i,0.0019152+0.064328i,0.0075161+0.062018i,0.021997+0.056981i,0.030756+0.017184i,0.033532+0.018981i,0.018969+0.029748i,-0.010038+0.016887i,-0.011688+0.047161i,-0.025729+0.019945i,0.010566+0.000703i,0.0045959+0.01012i,0.0068347+0.0067907i,-0.0020534+0.013216i,-0.0039865+0.0054551i,0.0031519-0.0097569i,0.010753-0.0077248i,-0.012315+0.01588i,-0.00078036-0.0015882i,-0.00099625+0.00096973i,-0.0012958+0.00029684i,-0.00080652+0.0028451i,0.0042594-0.001557i,-0.0024711-0.0042588i,0.0030366+0.0036714i,0.0017466-0.0057121i,-0.0045485-0.0026899i,-0.0013744+0.0022123i,0.0015147-0.0024887i,0.0012493-0.0035663i,0.011305-0.012802i,0.00049784+0.0044327i,-0.0033326-0.0043196i,-0.0026832-0.0013571i,-0.0047866-0.0048211i,0.0033946+0.0053142i,0.0016859-0.0050138i,0.0031467-0.0031518i,-0.00017674-0.0036128i,-0.0012474-0.0031544i,0.0027475+0.0024599i,0.00072225+0.0018358i,0.0043272-0.00075897i,-0.001718+0.0088698i,0.00072221+0.016538i,0.011743+0.053612i,-0.00163-0.023413i,-0.026417-0.0005146i,-0.030345+0.005792i,0.010476-0.0041526i,0.022495+0.0047133i,-0.0064015+0.0011218i
0.016773+0.0016248i,0.043169+0.01023i,0.035358-0.013546i,0.024848-0.0158i,0.034488-0.02526i,-0.0061101-0.031064i,-0.0035377-0.014329i,0.011841-0.02572i,0.015188-0.0097767i,0.0038221+0.00045333i,0.0030998-0.0023607i,0.0049783-0.0047596i,0.0038954-0.0040852i,0.0012255-0.0034265i,-0.0022491-0.00013674i,0.0014829-0.0026382i,-0.0044499-0.0033805i,-0.001664+0.0013532i,0.00071251+0.0010761i,-0.0015964+0.0016492i,-0.00026259+0.0022959i,0.0023573+0.00041091i,0.00094007+0.0021468i,-0.0026769-0.0033693i,-0.00063609-0.0014417i,-0.00082856-0.00054067i,-0.00070517-0.00087732i,-0.00063368-0.00048148i,0.0003693-3.5169e-05i,0.0010154-0.00018103i,0.0018037+0.001093i,0.0013333+0.0011305i,0.00080901-6.5852e-06i,0.0010783+0.00017123i,0.00024655-7.6331e-05i,0.0065382+0.0018381i,-0.00014966-0.00010368i,-0.0012362+0.00016258i,0.0012094-0.00018402i,-0.0013139+0.0012392i,-6.692e-05+0.0011304i,9.2601e-05+0.0010243i,0.0034385-0.0024411i,0.0028896-0.0050536i,0.019277+0.013628i,0.012565+0.058453i,0.016364+0.056594i,0.030758+0.051384i,0.027751+0.0099532i,0.033923+0.01259i,0.024858+0.02728i,-0.0022155+0.017375i,0.0023307+0.046616i,-0.023722+0.024566i,0.0095834-0.00032664i,0.00695+0.0076461i,0.0073017+0.0040176i,0.0019298+0.012604i,-0.0026269+0.0073937i,-0.0026899-0.0079659i,0.0064714-0.0095363i,-0.0076422+0.018106i,-0.001421-0.0024994i,-0.0012081+0.00086216i,-0.0012275+0.00051435i,0.0016808+0.0025751i,0.003504-0.0018857i,-0.0033063-0.0033435i,0.0046183+0.0015776i,-0.0013264-0.0065847i,-0.0045008-0.00079463i,-1.3903e-05+0.001662i,0.00089639-0.0032039i,7.9492e-05-0.0047723i,0.0051282-0.014131i,0.0020075+0.0035038i,-0.0042215-0.0033577i,-0.0033635-0.0013428i,-0.0061348-0.0029354i,0.0037893+0.003827i,-0.00031578-0.0064316i,0.0027641-0.0047759i,-0.0011909-0.0032078i,-0.0021592-0.002968i,0.0034886+0.0019089i,0.0017799+0.0026257i,0.0033886-0.0015733i,-0.00052654+0.0094516i,0.0046492+0.013939i,0.020555+0.050462i,-0.012071-0.02523i,-0.030262+0.00099894i,-0.027662+0.013668i,0.0059847-0.0033631i,0.020473-0.0014899i,-0.0057764-0.0003008i
0.016797-0.0023006i,0.044694+0.0031907i,0.031358-0.018636i,0.019495-0.01878i,0.028422-0.031676i,-0.01058-0.028738i,-0.0045813-0.013957i,0.0071937-0.027137i,0.013162-0.01315i,0.0045638-0.00026754i,0.003124-0.0028077i,0.0031029-0.0054727i,0.0027588-0.0052201i,0.00046998-0.0032417i,-0.0017484+0.00044955i,0.0015389-0.0024588i,-0.0047661-0.0012436i,-0.0010663+0.0014455i,0.00061517+0.00047273i,-0.00077887+0.0021856i,0.00042796+0.0022483i,0.0019534-0.00046302i,0.0015971+0.0017273i,-0.0035644-0.00086525i,-0.0010778-0.0006392i,-0.00078279-0.00026638i,-0.00093672-0.00060708i,-0.0006381-0.00014298i,6.9447e-05-3.133e-05i,0.00070055-0.00051717i,0.0021866+4.6086e-05i,0.0013721+0.00065415i,0.00082516-0.00021158i,0.0011434-0.00014117i,0.00013648+0.00030448i,0.0059102+0.00018969i,-0.0001345+0.00012366i,-0.0010936+0.00067271i,0.0010461-0.00061666i,-0.00061801+0.0013562i,0.00038316+0.0010302i,0.0001885+0.00074075i,0.0023122-0.003349i,0.001448-0.0047785i,0.019332+0.0096283i,0.020076+0.05067i,0.023405+0.051302i,0.038063+0.043735i,0.024343+0.0046271i,0.033404+0.0082454i,0.029918+0.023535i,0.0042115+0.016041i,0.014446+0.041586i,-0.01923+0.029023i,0.0089825-0.0017543i,0.008494+0.0043142i,0.0077007+0.001818i,0.0055105+0.010451i,0.00015817+0.0079495i,-0.0059344-0.0044963i,0.0023282-0.009803i,-0.002181+0.018107i,-0.0029641-0.0022947i,-0.0020465+0.0018217i,-0.0010502+0.00074515i,0.0031742+0.0011112i,0.0028933-0.0011228i,-0.0036559-0.0019102i,0.0046004-0.0005767i,-0.0039843-0.0051767i,-0.003491+0.00056269i,0.0002997+0.00058931i,4.7405e-05-0.0040336i,-0.001796-0.0048889i,0.00010995-0.013373i,0.0032675+0.0018724i,-0.0053841-0.001896i,-0.003883+7.62e-05i,-0.0061777-0.00025755i,0.0042773+0.0031798i,-0.0033957-0.0063975i,0.0016716-0.0065621i,-0.0018002-0.0029177i,-0.0028941-0.0029726i,0.0044721+0.0012726i,0.0031468+0.0024126i,0.0024246-0.0011743i,0.00094631+0.0093782i,0.0067673+0.01059i,0.029322+0.044692i,-0.02312-0.021961i,-0.033438+0.0046695i,-0.022178+0.018454i,0.0041959-0.0019352i,0.015908-0.0054831i,-0.0080139-0.0012145i
0.015516-0.0060135i,0.044735-0.0045729i,0.027231-0.023038i,0.014967-0.020422i,0.021468-0.036643i,-0.014891-0.026188i,-0.0059768-0.01448i,0.0025232-0.027986i,0.010147-0.016027i,0.0048923-0.0013691i,0.0029627-0.0037404i,0.0013946-0.0054934i,0.00099735-0.0058588i,-0.00017974-0.0030607i,-0.0013898+0.00059302i,0.0016861-0.002665i,-0.0042048+0.00050844i,-0.00073223+0.0013579i,0.00047425+0.00025421i,1.5024e-05+0.0023095i,0.0010132+0.0020356i,0.0014406-0.00089759i,0.0019712+0.0010028i,-0.0028046+0.0014657i,-0.00088395-3.1826e-05i,-0.0007461+0.00013559i,-0.001061-0.00025972i,-0.00060209+1.0275e-05i,8.1122e-05+9.2765e-05i,0.00020833-0.00067189i,0.0020584-0.0010831i,0.0014498+0.00033175i,0.0007169-0.00045777i,0.0010638-0.00073365i,0.0003738+0.00052692i,0.0051951-0.00087872i,2.3031e-05+0.00017955i,-0.0007155+0.0011404i,0.00044935-0.00074945i,0.0001884+0.0010294i,0.00070246+0.00089878i,0.00013252+0.000702i,0.00091737-0.0034848i,0.00059213-0.0038339i,0.018927+0.0066737i,0.02437+0.044095i,0.030025+0.045855i,0.042699+0.036223i,0.020298+0.00042462i,0.034442+0.0047348i,0.034208+0.018508i,0.010438+0.012485i,0.024112+0.03299i,-0.012448+0.032238i,0.0080126-0.0032235i,0.0080707-0.00032623i,0.0078848-0.00090287i,0.0073583+0.00704i,0.0020644+0.0071554i,-0.0073602-1.6809e-05i,-0.0014605-0.0084703i,0.0018583+0.015438i,-0.0040913-0.00089978i,-0.0017496+0.0036914i,-0.00092937+0.001029i,0.0038681-0.00089653i,0.0037968+0.00022949i,-0.0031116-0.00075884i,0.004189-0.0015179i,-0.0052533-0.0031233i,-0.0023002+0.00094263i,3.5101e-05+0.0002307i,-0.0019835-0.0046137i,-0.0034113-0.0038015i,-0.0040213-0.012008i,0.0034739-0.00011287i,-0.0056393+0.00013749i,-0.0029981+0.0011694i,-0.0052275+0.0015636i,0.0054558+0.0026384i,-0.0058074-0.0044079i,-0.00095997-0.0079752i,-0.0026814-0.0023764i,-0.0045022-0.002505i,0.0053736-0.00051654i,0.0046556+0.0020753i,0.0028674-0.00087684i,0.0029763+0.0094856i,0.0068963+0.0072162i,0.036653+0.036778i,-0.030116-0.013214i,-0.036237+0.010779i,-0.016219+0.021283i,0.002468-0.00027739i,0.011688-0.0061634i,-0.0094153-0.00037695i
