-0.025697-0.0043991i,-0.022909+0.0015005i,-0.017727-0.0077099i,-0.030117-0.012708i,-0.029017+0.0034898i,-0.039757-0.0049695i,-0.061374-0.028366i,-0.033371-0.014333i,-0.031148-0.0028531i,0.0067663+0.0034852i,-0.0031527+0.0068208i,-0.0055686+0.014356i,0.0058913+0.010052i,-0.001367+0.0040479i,0.0049109+0.0045519i,0.0047967+0.025604i,0.017708+0.023321i,0.00092453-0.00095487i,0.0008025-0.0066232i,0.0069652-0.0012141i,0.0055729-0.000477i,0.003186+0.0023821i,0.00095966-0.00039967i,-0.025316-0.0017953i,-0.0060029-0.0051384i,-0.0016875+0.0032612i,0.00093526-0.0017782i,-0.00091475+0.00076644i,-0.0011547+0.00070994i,-0.0024577-0.0033866i,-0.0042521-0.001747i,-0.0059505-0.0060551i,-0.002655+0.00015029i,-0.00064105-0.00012063i,0.0014186-0.0030993i,-0.0018836+0.019598i,0.0014243-0.0028035i,0.00024592-0.0027202i,0.0039347-0.0024737i,-0.0025471-0.0039184i,0.00084477+0.00032094i,0.0072019+0.00057832i,0.0044641-0.0045599i,-0.000911+0.0022418i,-0.012962+0.016238i,-0.029377+0.055927i,-0.0043493-0.037375i,-0.014674-0.017746i,-0.036775-0.015967i,-0.027541-0.012653i,0.032028-0.010642i,0.0070639-0.031198i,0.013818-0.039846i,-0.011483-0.029667i,0.024219-0.022715i,0.013436+0.006971i,0.029669-0.036541i,-0.00179-0.0037233i,0.0075612-0.0087334i,0.00024366-0.0047163i,0.0025115-0.036594i,-0.011948+0.029661i,0.0077659-0.012104i,-0.0088859-0.0052598i,-0.0025338-0.0021331i,0.0005571-0.014508i,-0.0081979+0.0052515i,0.0034846+0.0050508i,-0.00060187+0.028721i,0.0024503-0.00027071i,-0.0069705-0.0041239i,-0.0031119-0.0059178i,-0.013736-0.010121i,-0.0030995-0.0059061i,-0.032978+0.010557i,-0.0054348-0.0081254i,-0.013363-0.0016561i,-0.010063-0.006715i,0.0009943-0.0022173i,-0.013301+0.0017084i,-0.0016257-0.00031478i,0.0067195+0.0068481i,0.0035175-0.0052291i,-0.010557-0.011139i,0.0078847+0.0085416i,-0.017784+0.00627i,0.0053484-0.00020292i,-0.018999-0.0013829i,-0.018195-0.0030914i,-0.019375-0.032441i,0.02022-0.01023i,-0.039045-0.021678i,-0.0095396+0.0046181i,0.018387+0.015387i,-0.02106+0.017358i,-0.003576-0.0038224i
0.0069997-0.0094299i,0.0095837-0.0090566i,0.0090542-0.0025045i,0.012609+0.0030382i,0.016988-0.0038304i,0.013108-0.016449i,0.020016-0.0046202i,0.012469+0.0021338i,0.0040468-0.0094515i,-0.00034149+0.0019738i,-0.0011328+0.00013453i,-0.0021946+0.00025316i,-0.0010303+0.0037995i,-0.0022614+0.0026732i,0.0022763+0.0019287i,0.0013798-0.00012442i,0.002201-0.0026168i,0.0012719-0.00081078i,-0.00060752-0.00086823i,-0.00015866-0.0002089i,0.00018142-0.0019107i,-0.0017439-0.0013209i,-0.0017182-0.00016898i,0.0048564+0.0064875i,-0.002461+2.7854e-05i,-0.0015971+0.0022043i,-0.0019944+0.00048043i,-0.0022271+0.00025216i,-0.0016327-0.0016126i,-0.0034418+0.00093836i,0.00028544-0.0015015i,0.00013532+0.00091855i,0.00089361-0.00070318i,0.0025664+0.000643i,0.000491+0.00030174i,-0.0092312+0.0056003i,-0.0016888-0.00048154i,-0.0011729+0.000558i,-0.0020762+0.00017744i,0.0013067-0.0013384i,0.00045603-0.00061602i,0.00046436-0.0012683i,-0.0018008+0.0010862i,0.0050843-0.00045935i,-0.0020381-0.013426i,-0.029284-0.0027384i,-0.0038847-0.007971i,-0.0067767+0.0036233i,0.013445+0.023004i,0.0027922+0.0029916i,0.014174-0.016094i,-0.010351-0.028237i,-0.0053849-0.012136i,0.0085924-0.00716i,0.017415+0.019806i,0.0027824+0.0016267i,-0.0007053+0.00012179i,-0.0048192-0.0009035i,0.011683-0.0029103i,0.012987+0.0089883i,0.0031131+0.0052565i,-0.0037733-0.0065187i,0.0051484-0.0029299i,-0.0043262-0.0067986i,0.002599-0.010173i,0.0063589-0.0069584i,-0.00085794+0.0069267i,0.008326-0.0077718i,0.0047791-0.0083377i,0.00016135-0.0062177i,-0.003414-0.0014559i,-0.0061334-0.0065026i,-0.0067606-0.0016164i,-0.00088621-0.0018736i,-0.0056178+0.027902i,-0.010254-0.0017714i,0.00013991+0.0027517i,-0.0054382-0.005723i,9.3397e-05+0.0010208i,-0.015843+0.0025836i,-0.0031709+0.0013555i,-0.0017005-0.0031529i,-0.0039185-0.00095882i,-0.0054676-0.0033693i,-0.0021935+0.0051671i,-0.0015567+0.0025059i,-0.0050092+0.0057758i,-0.0066574-6.8154e-06i,-0.0029689-0.0015068i,0.0088364-0.0038242i,-0.0055925+0.017401i,-0.027475-0.0034555i,-0.0094005-0.0019092i,0.011404+0.016183i,-0.0018361+0.016401i,-0.0079817-0.0049872i
0.0055688-0.011343i,0.0079124-0.01102i,0.0087128-0.0036886i,0.012604+0.0014057i,0.0168-0.006788i,0.0098699-0.018706i,0.017431-0.0081676i,0.012537+0.00026693i,0.0020338-0.010168i,0.00026394+0.0022263i,-0.00066419+0.00078229i,-0.0024613+0.0015642i,0.00026503+0.0039512i,-0.0011653+0.0035104i,0.0022406+0.000835i,0.00094902+0.00030947i,0.0006414-0.0026377i,0.00090622-0.0017091i,-0.0007098-0.0010036i,0.00011719-0.00067875i,-0.00026302-0.0020645i,-0.0021331-0.00086528i,-0.0015794-0.00021955i,0.008159+0.0037244i,-0.0028086+0.0016397i,-0.00035161+0.002732i,-0.0019318+0.0012813i,-0.0021095+0.0011581i,-0.002881-0.00062849i,-0.0029743+0.002639i,-0.00087617-0.00044011i,5.9617e-05+0.00033532i,0.00032455-0.0008962i,0.0014376-0.00084116i,0.00022276+0.00094726i,-0.0068892+0.008197i,-0.002176+0.00025684i,-0.00099018+0.0011717i,-0.0022209+0.0009227i,0.0008605-0.0018536i,0.00040229-0.00079155i,1.8163e-05-0.0013895i,-0.0017996+0.001551i,0.0040062-0.0010374i,-0.003273-0.012654i,-0.026841+0.00014244i,-0.0053812-0.0047103i,-0.0031836+0.0020978i,0.023398+0.015757i,0.0060831+0.00061i,0.0075753-0.019121i,-0.018482-0.0279i,-0.0098945-0.012891i,0.011629-0.014293i,0.021969+0.012927i,0.00097834+0.00087593i,-0.00012083+0.0024804i,-0.0044447+0.00044196i,0.0086231-0.0069102i,0.014537+0.0048525i,0.0059782+0.0058396i,-0.0076945-0.0056179i,0.0020606-0.0042623i,-0.0053118-0.0043719i,-0.0022954-0.0090467i,0.0030957-0.0082785i,0.0026579+0.0052871i,0.0038749-0.0090523i,0.0013858-0.0071298i,-0.0026889-0.0033373i,-0.0025036-0.00026624i,-0.0074088-0.0044563i,-0.0060774+0.00022406i,-0.00052868-0.0010766i,0.0066746+0.024325i,-0.010244+0.0020836i,0.00085049+0.0013839i,-0.0077885-0.0033511i,0.0007489+0.00040907i,-0.013291+0.0092739i,-0.0021635+0.0024519i,-0.0026888-0.0011991i,-0.0027374+0.00031991i,-0.0060894-0.0010942i,5.705e-05+0.0028758i,-0.00034541+0.0019537i,-0.0013454+0.007558i,-0.00441+0.0024852i,-0.0044238-0.0010691i,0.0094034-0.010084i,-0.00215+0.019383i,-0.02799+0.0023429i,-0.010169-0.0034492i,0.013125+0.013701i,0.00043452+0.018023i,-0.010225-0.0040223i
0.0030122-0.01276i,0.0052683-0.013118i,0.0083463-0.0055033i,0.012971-0.0007497i,0.016447-0.010007i,0.0061351-0.020632i,0.014366-0.011195i,0.012381-0.0018408i,0.00015094-0.0097006i,0.00097912+0.0017796i,-0.00030173+0.00058525i,-0.0018237+0.0028126i,0.0012281+0.0033532i,2.0689e-05+0.003486i,0.0016359+0.00076185i,0.00074588+0.00068786i,-0.00046396-0.0020679i,0.00061671-0.0021748i,-0.0010606-0.00095694i,-0.00025758-0.0013558i,-0.0010908-0.0020941i,-0.002006-0.00018748i,-0.0018117-0.00024867i,0.0086752-0.00057597i,-0.001882+0.0028838i,0.00051602+0.0025954i,-0.0015543+0.0023248i,-0.0015766+0.0020337i,-0.0031972+0.0011926i,-0.0017518+0.0039242i,-0.00026088-0.00078229i,-0.00060073+0.0011042i,-0.00010277-0.00070921i,0.00088243-0.00094546i,0.0006553+0.0015354i,-0.00401+0.0099323i,-0.0021486+0.0014985i,-0.00048009+0.0015294i,-0.0018778+0.0021381i,0.00021882-0.0022144i,0.00041137-0.00097423i,-0.00039493-0.0012919i,-0.0017252+0.0024399i,0.0035783-0.00097038i,-0.0037073-0.01182i,-0.025845+0.004109i,-0.0052155+0.00069711i,-0.00016849-0.00093134i,0.031047+0.0061164i,0.0086914-0.0012474i,0.00082211-0.019494i,-0.025739-0.024498i,-0.013954-0.010327i,0.0097307-0.022836i,0.019738+0.0021777i,-0.00073391+0.00086066i,-0.00028492+0.0017568i,-0.0046522+0.001221i,0.0034297-0.010104i,0.015122-0.00015376i,0.0083825+0.0045024i,-0.01119-0.002719i,0.0008118-0.0033317i,-0.0057578-0.0015121i,-0.0046708-0.0063214i,0.0003362-0.0080267i,0.0047445+0.0046497i,0.00085116-0.0083664i,-0.0012921-0.0067859i,-0.0024417-0.00061618i,-0.0022701-0.00046073i,-0.0091153-0.0017647i,-0.0042902+0.0028808i,-0.0010634-0.0014762i,0.014946+0.01762i,-0.0093767+0.0056203i,0.0012077+0.00077215i,-0.005991-0.00075716i,0.0011076-0.00080557i,-0.0068524+0.013583i,-0.00074918+0.0033478i,-0.0032723+1.2552e-05i,-0.0023539+0.001448i,-0.0055424+0.0021836i,-0.0010719+0.0024644i,4.4146e-05+0.0010878i,0.0022776+0.0071665i,-0.0028541+0.0021298i,-0.0054777+0.00064101i,0.0062075-0.015541i,0.0069634+0.018328i,-0.026519+0.0058849i,-0.011668-0.0045481i,0.015632+0.0097467i,0.0052045+0.019279i,-0.011672-0.0021286i
0.00027546-0.012956i,0.0016978-0.01366i,0.0071141-0.0072424i,0.012799-0.0035931i,0.015011-0.013797i,0.0018206-0.021454i,0.01078-0.012973i,0.01179-0.0038255i,-0.00090225-0.0093287i,0.00081563+0.0013897i,-0.0003457+0.00057827i,-0.00064839+0.003589i,0.0015221+0.0028877i,0.00068823+0.003424i,0.00185+0.001047i,0.00055876+0.001201i,-0.0010596-0.001094i,0.00014236-0.0026257i,-0.00091428-0.00075867i,-0.0011188-0.0014954i,-0.0015878-0.0016165i,-0.0018746+0.00019491i,-0.0021783+0.00011202i,0.0071226-0.0041255i,-0.00067417+0.0035585i,0.0013148+0.0024503i,-0.00046921+0.0031491i,-0.0007884+0.00256i,-0.0023066+0.0026377i,7.1803e-05+0.0044334i,-0.00057954-0.00037483i,0.00053352+0.0018774i,-0.0002927-0.0004823i,0.00025844-0.0010049i,0.0012115+0.0015725i,-0.00073458+0.01079i,-0.0012783+0.0025313i,6.1144e-06+0.001615i,-0.00090144+0.0030127i,-0.00064298-0.0021238i,0.00020473-0.0013207i,-0.00065803-0.0011952i,-0.00097918+0.0033301i,0.0033937-0.0010321i,-0.0037201-0.012196i,-0.025413+0.0021069i,-0.00054982+0.0019556i,-0.00072129-0.005306i,0.034813-0.007454i,0.010573-0.0056049i,-0.0055674-0.016506i,-0.032346-0.018449i,-0.015961-0.0049024i,0.0040198-0.029448i,0.017507-0.0017476i,-0.0013545+0.0021799i,-0.00052092+0.0039067i,-0.0047182+0.0026226i,-0.0032056-0.0088227i,0.013835-0.0057039i,0.010339+0.0016871i,-0.012396+0.0020684i,-0.00014261-0.0034465i,-0.0043769+0.00075104i,-0.0055388-0.0029501i,-0.001701-0.0076724i,0.0061869+0.0013422i,-0.0017638-0.0074531i,-0.0036514-0.0034935i,-0.0016778+0.0013322i,-0.0026208-6.0194e-05i,-0.0088438+0.0023466i,-0.0020422+0.0041912i,-0.0017863-0.001184i,0.019747+0.009912i,-0.0074516+0.0093922i,0.0015091-0.00012868i,-0.0044715+0.0016126i,0.00016415-0.0018026i,-0.0004977+0.01296i,0.0012768+0.0028191i,-0.0028758+0.0025467i,-0.001572+0.0025131i,-0.0022808+0.004631i,0.00028992+0.0049499i,-0.00030579+0.00041474i,0.0056303+0.0050157i,-0.002669+0.0011705i,-0.0060464+0.0028505i,0.0017347-0.016871i,0.016349+0.0098462i,-0.023066+0.010158i,-0.014733-0.0043516i,0.015007+0.0053607i,0.010185+0.01762i,-0.011399-0.00070669i
-0.0019391-0.012451i,-0.0012087-0.012834i,0.0055748-0.0083287i,0.012059-0.0063398i,0.012445-0.017149i,-0.0021639-0.021373i,0.0075531-0.013563i,0.010965-0.0054509i,-0.0017634-0.0090856i,0.00052387+0.0014106i,-0.00050008+0.00072476i,0.00073038+0.0037331i,0.0017763+0.0028663i,0.0013705+0.0032247i,0.0022854+0.00082226i,0.00027309+0.0022373i,-0.00085432-0.00020259i,-0.00086025-0.0027065i,-0.0011021-0.0010222i,-0.0019153-0.0010775i,-0.0021109-0.0013344i,-0.001672+0.00047732i,-0.0023143+0.00078836i,0.0042955-0.0062914i,0.00067412+0.0037845i,0.0022724+0.0018991i,0.00087014+0.0033621i,0.00011137+0.0028007i,-0.0010647+0.003491i,0.0019448+0.0041479i,-0.00045279-2.615e-05i,0.0015457+0.0018722i,-0.00047802-0.00022326i,-0.00018298-0.00048337i,0.0020003+0.0020095i,0.002659+0.010546i,-0.00011619+0.0030435i,0.00044659+0.0016413i,0.00039317+0.0034521i,-0.0012241-0.0017903i,-0.00010882-0.0015642i,-0.00097854-0.0010716i,7.3607e-05+0.0036144i,0.0031016-0.0015844i,-0.00494-0.012977i,-0.013781+0.0024287i,0.0041094+0.001719i,-0.0029945-0.0064073i,0.031414-0.02099i,0.0098985-0.01001i,-0.0084038-0.011579i,-0.035481-0.009686i,-0.014995+0.0014465i,-0.0042039-0.031714i,0.013443-0.0044263i,-0.00057851+0.0033329i,0.0021409+0.00437i,-0.0041826+0.0040523i,-0.0063994-0.0044882i,0.0098441-0.01123i,0.011159-0.00225i,-0.011441+0.0057475i,-0.0010532-0.0025482i,-0.0026999+0.0015149i,-0.0043007-0.00090465i,-0.0047269-0.0059471i,0.0055397-0.00087103i,-0.0041361-0.0059688i,-0.0029242-0.00041626i,0.00020913+0.0021022i,-0.0026276+0.00066816i,-0.006241+0.0054972i,0.00062609+0.0037956i,-0.0021365+0.00013488i,0.020975+0.0015751i,-0.0038117+0.012287i,0.00074472-0.00089625i,-0.0025024+0.0021401i,-0.00084159-0.0014496i,0.0035929+0.010776i,0.0022196+0.0016482i,-0.0007933+0.0046309i,0.00043018+0.0033172i,0.00084347+0.0051394i,0.0018831+0.002809i,-0.0014875+0.00072912i,0.0062494+0.0018088i,-0.0037403+0.0010298i,-0.0048673+0.0056245i,-0.00095678-0.01656i,0.017739-0.0044297i,-0.017432+0.01048i,-0.017836-0.0025769i,0.01442+0.0018666i,0.014204+0.013595i,-0.012172-0.0007571i
-0.0037916-0.011791i,-0.003178-0.011572i,0.0042452-0.0090765i,0.010821-0.0092455i,0.0094048-0.019861i,-0.0062048-0.020716i,0.0050986-0.013442i,0.010186-0.0069999i,-0.0024068-0.0091312i,0.00065208+0.0016503i,-0.00043455+0.0010795i,0.0020298+0.0033618i,0.0025539+0.0028912i,0.0021074+0.0031487i,0.0026171+0.00035194i,-0.0017064+0.005829i,-0.00032284+7.8211e-05i,-0.0017022-0.0025702i,-0.0016591-0.00093347i,-0.002434-0.00034725i,-0.0026396-0.00078654i,-0.0013462+0.00061676i,-0.002149+0.0015196i,0.00091389-0.0070426i,0.0022293+0.0034005i,0.00289+0.0009067i,0.0022512+0.0029548i,0.0011506+0.0028385i,0.0003865+0.0037809i,0.0034303+0.0030399i,-0.00025179+7.48e-05i,0.0025535+0.0024589i,-0.00052882+0.0004235i,-0.00012519-9.9266e-05i,0.0038878+0.0020489i,0.0056298+0.0092086i,0.001284+0.0029749i,0.0010343+0.0015763i,0.0016662+0.0032553i,-0.0016193-0.0013052i,-0.00069402-0.0017247i,-0.001318-0.0008472i,0.0010887+0.0036744i,0.0027661-0.0016908i,-0.0064575-0.013498i,-0.0092121+0.0022647i,0.0082773-0.0014643i,-0.0044577-0.0060789i,0.024315-0.031008i,0.0075604-0.013201i,-0.0083085-0.0070513i,-0.034175-0.0002987i,-0.0099475+0.0076352i,-0.010974-0.02933i,0.0095351-0.0056274i,0.00067715+0.0036878i,0.003775+0.0031285i,-0.0032206+0.0055073i,-0.0073171-0.0010116i,0.0032878-0.014462i,0.0089563-0.0068796i,-0.0098711+0.0087118i,-0.00074322-0.0015874i,-0.001482+0.0011918i,-0.003406-0.00029924i,-0.0054414-0.0029524i,0.0041073-0.0020873i,-0.0072147-0.0038413i,-0.00096005+0.00080324i,0.0020323+0.0010983i,-0.0022718+0.0015702i,-0.0035556+0.0068288i,0.0018697+0.0020844i,-0.0011913+0.0013094i,0.017982-0.0060808i,0.0013251+0.021212i,0.00017753-0.00028247i,-0.0013546+0.0020635i,-0.0014129-8.0269e-05i,0.0067884+0.0080326i,0.0031972+0.00066587i,0.0025271+0.0044876i,0.0018812+0.002457i,0.0033696+0.0039952i,0.001852+0.0027231i,-0.0017253+0.0023299i,0.005305-0.00017394i,-0.0048006+0.0016991i,-0.0022823+0.0069481i,-0.0032466-0.017249i,0.01084-0.015418i,-0.014994+0.0062859i,-0.020934+0.0012741i,0.01202-0.0025446i,0.015919+0.0085544i,-0.013418+0.00056932i
-0.0054539-0.010691i,-0.0048993-0.010376i,0.0026647-0.010133i,0.008292-0.012244i,0.0056993-0.022228i,-0.010173-0.018901i,0.0032337-0.013347i,0.0092193-0.0087721i,-0.0033324-0.0091633i,0.00067298+0.0017773i,-0.00035571+0.0012501i,0.0029907+0.0023073i,0.0033414+0.0024005i,0.0028866+0.0027881i,0.0026981-0.00011662i,0.013282+0.019638i,-0.00011449-2.2849e-05i,-0.0028494-0.002161i,-0.0020076-0.00048739i,-0.0027553+0.00065887i,-0.0030037+0.00015062i,-0.0011055+0.000513i,-0.001763+0.0022143i,-0.0022967-0.0065358i,0.0034669+0.0019876i,0.0030177-0.00010253i,0.0032887+0.0019435i,0.0022806+0.0023708i,0.002083+0.003379i,0.00431+0.0014152i,-5.9814e-06+4.8052e-05i,0.0024749+0.0028745i,-0.00060808-5.8143e-06i,8.192e-05+0.00010951i,0.010659+0.010707i,0.0079959+0.0069802i,0.002439+0.0022181i,0.0015615+0.0011738i,0.0030078+0.0024925i,-0.0017414-0.00069409i,-0.0014191-0.0014492i,-0.0015986-0.00045829i,0.0022899+0.0033603i,0.0023535-0.0018379i,-0.0085352-0.013552i,-0.0067838+0.0004522i,0.0097012-0.0059798i,-0.0047638-0.0049297i,0.014832-0.037635i,0.0044873-0.014824i,-0.0070495-0.0048852i,-0.029548+0.0052157i,-0.0015874+0.0095255i,-0.016073-0.025421i,0.0070601-0.0056467i,0.001855+0.0031263i,0.0039638+0.0011366i,-0.0015401+0.0065167i,-0.0074984+0.002316i,-0.0046719-0.013667i,0.0051837-0.0088782i,-0.0072413+0.011058i,-0.00012669-0.0021007i,-0.0012383+0.00076243i,-0.0033909-0.0001735i,-0.0047755-0.00076643i,0.0029857-0.0022168i,-0.015743-0.0095755i,0.00016539+0.00030997i,0.0025113-0.0010829i,-0.0015785+0.0023159i,-0.00034314+0.00725i,0.0016314+0.00092989i,-0.00016383+0.00099787i,0.011947-0.010636i,0.009205+0.0085182i,0.00083319-5.9252e-06i,0.00010796+0.0014439i,-0.00058557+0.00044197i,0.0083134+0.0047254i,0.003896-0.001223i,0.0046182+0.0029651i,0.0024389+0.0015841i,0.0043283+0.0016806i,0.0030059+0.002559i,-0.00058335+0.0036884i,0.0048957-0.00050423i,-0.005289+0.0033086i,0.0001795+0.0065387i,-0.0059987-0.016225i,-0.00039506-0.021555i,-0.018286+0.002984i,-0.021098+0.0065473i,0.0063217-0.004737i,0.01628+0.0036345i,-0.013017+0.0017008i
-0.0063107-0.0093752i,-0.0060269-0.0085397i,0.00055544-0.010523i,0.0045188-0.014077i,0.0012361-0.02381i,-0.013216-0.016229i,0.0018011-0.013181i,0.0078583-0.010442i,-0.0042702-0.0094085i,0.00117+0.0022708i,-0.00017493+0.0017808i,0.0033206+0.0012514i,0.0040811+0.0016661i,0.0037883+0.0022016i,0.0027762-0.00068002i,0.0087577+0.0042612i,-0.00040095+6.5338e-05i,-0.0038202-0.00089673i,-0.0020638-3.6942e-05i,-0.00241+0.0019341i,-0.0027348+0.00091284i,-0.001474+0.00033002i,-0.0010533+0.0027914i,-0.0051443-0.0045269i,0.0036707+0.00047642i,0.0027714-0.0011608i,0.0040108+0.00051558i,0.0031097+0.0013654i,0.0032733+0.0020727i,0.0044615-0.00033092i,0.00012173-0.0001683i,0.0025642+0.0018348i,-5.5943e-05+0.0003686i,0.00036982+8.4212e-05i,-0.0013547-0.00052439i,0.0093726+0.0039587i,0.0030836+0.0010305i,0.0019561+0.00066905i,0.0038417+0.00098459i,-0.0016748-7.7071e-05i,-0.002012-0.00091692i,-0.0016635-9.7258e-06i,0.0031235+0.0023205i,0.0019698-0.0021118i,-0.010474-0.012998i,-0.0056036-0.0028226i,0.0089061-0.0099764i,-0.0037828-0.0045861i,0.0046833-0.040095i,0.0013106-0.015199i,-0.0060352-0.0033723i,-0.023762+0.007216i,0.0062761+0.006597i,-0.018183-0.020384i,0.0058809-0.0057225i,0.0027817+0.0018646i,0.0031738+0.00020024i,0.0008544+0.0067236i,-0.0059459+0.0057865i,-0.010766-0.0084712i,0.0014318-0.0088706i,-0.0043133+0.012146i,-0.00097756-0.003127i,-0.0014258+0.00081335i,-0.0035375+0.00053149i,-0.0035923+0.00081233i,0.0018492-0.0022845i,-0.006415-0.010645i,0.00053561-0.00033259i,0.00058834-0.002807i,-0.00025495+0.0028565i,0.0026117+0.0057719i,0.0018273+0.00028162i,0.0002077+0.00056817i,0.0060541-0.011367i,0.011156+0.0052697i,0.0012008-0.00059674i,0.00037718+0.0004847i,0.00042261+0.0004155i,0.008218+0.0017932i,0.0031203-0.0037997i,0.0061985+0.00067456i,0.0033025+0.00078281i,0.0047048-0.00057802i,0.0037153+0.0014436i,0.0010809+0.0041033i,0.0042952-0.0022092i,-0.0048997+0.0055188i,0.0018287+0.0053212i,-0.0060463-0.014082i,-0.012636-0.021798i,-0.022833+0.0040206i,-0.018407+0.011608i,0.0019401-0.0028235i,0.012896-0.0010646i,-0.012465+0.0017908i
-0.0066113-0.0087039i,-0.0062687-0.0070531i,-0.0012407-0.010128i,0.00085406-0.014192i,-0.0034878-0.024266i,-0.015289-0.013422i,0.00086422-0.013521i,0.0061203-0.011997i,-0.0055757-0.0094297i,0.0020213+0.0022074i,0.00054275+0.0022383i,0.0033255+0.00039258i,0.004592+0.00038103i,0.0044695+0.0011948i,0.0026775-0.0013752i,0.006854+0.0027371i,-0.00030372+0.0005062i,-0.0037029+0.00049885i,-0.0022442+0.00038153i,-0.001532+0.0026886i,-0.0025982+0.0016496i,-0.0018895+0.00090752i,-9.0141e-05+0.0029647i,-0.0067093-0.0014065i,0.003352-0.00078418i,0.0021954-0.0020802i,0.0039912-0.0011845i,0.0034353+0.00010248i,0.0034893+0.00075213i,0.003934-0.0020448i,0.00017344-0.00027979i,0.0021478+0.00048411i,0.00035471+0.00035043i,0.00050713-6.5243e-05i,-0.00014975-0.00011382i,0.0092361+0.0008283i,0.0031409-0.00020085i,0.0022107-1.9428e-05i,0.0037596-0.00060428i,-0.0013613+0.00050304i,-0.0022057-8.5867e-05i,-0.0016336+0.0004145i,0.0031977+0.0012835i,0.0014149-0.0023552i,-0.012455-0.01217i,-0.0075662-0.0060166i,0.0068016-0.013102i,-0.003308-0.0053522i,-0.0040502-0.039592i,-0.0012816-0.013827i,-0.0044959-0.0022429i,-0.019067+0.00891i,0.010715+0.0008711i,-0.018144-0.015504i,0.0048103-0.0068683i,0.0028124-5.5193e-05i,0.0030929-0.00055657i,0.0031903+0.0055201i,-0.0026786+0.0071799i,-0.012671-0.0021629i,-0.0017556-0.0075627i,-0.00076283+0.012386i,-0.0027865-0.003024i,-0.0019707+0.0016383i,-0.003402+0.0014691i,-0.0024319+0.0014555i,0.0011921-0.0011609i,-0.0062766-0.0056912i,0.00016771-0.00092481i,-0.0011405-0.00212i,0.0011265+0.0025521i,0.0040663+0.0034001i,0.0020186-0.00086444i,0.00041788+0.00062158i,0.0017812-0.010637i,0.012278-0.00027716i,0.00080068-0.001411i,0.00039665+0.00053668i,0.0013685-0.00018611i,0.007937-0.0002774i,0.00042671-0.0053364i,0.0062793-0.002633i,0.0035545-0.001086i,0.0040045-0.0034391i,0.0041575+0.0003508i,0.002485+0.0038195i,0.0025626-0.0025146i,-0.0034635+0.0069516i,0.0025155+0.0036781i,-0.0052474-0.015602i,-0.023228-0.016017i,-0.025509+0.0075989i,-0.014097+0.013445i,0.0010375-0.00068368i,0.0096456+0.0010348i,-0.013855+0.0022768i
-0.007506-0.0084063i,-0.0063139-0.0062219i,-0.0025848-0.0096052i,-0.0021269-0.013322i,-0.0083748-0.023857i,-0.017149-0.010619i,-0.00043524-0.014802i,0.003886-0.013307i,-0.0071735-0.0091437i,0.0027376+0.0017611i,0.0016+0.0021417i,0.0031551-0.00034147i,0.0045302-0.001021i,0.0047974-1.2061e-05i,0.0023311-0.0020045i,0.0060589+0.00091853i,3.9561e-05+0.00080121i,-0.0033663+0.0014796i,-0.0021689+0.001178i,-0.00053305+0.0030057i,-0.0021603+0.0025297i,-0.0016851+0.0018475i,0.00062654+0.0027912i,-0.0062288+0.0017732i,0.0027574-0.0017014i,0.00124-0.002642i,0.0033066-0.0027626i,0.0032042-0.0011664i,0.0034636-0.00049662i,0.0026987-0.003349i,0.00022671-0.00045629i,0.0016782-7.024e-05i,0.00062087+6.7109e-05i,0.00062972-0.00032994i,0.00051705-0.00030885i,0.0082273-0.0016959i,0.0027999-0.0012534i,0.0022147-0.00080918i,0.0030958-0.0018939i,-0.00080125+0.0009837i,-0.0021144+0.00076336i,-0.0015616+0.00085669i,0.0031524+0.00063272i,0.00078819-0.0019698i,-0.014513-0.011112i,-0.01113-0.0060822i,0.0040793-0.014538i,-0.0036117-0.0054356i,-0.012264-0.03813i,-0.0018285-0.011902i,-0.0029331-0.0021826i,-0.014229+0.0099329i,0.013037-0.0057114i,-0.01585-0.012799i,0.0039311-0.0074524i,0.0013949-0.0023841i,0.0028755-0.0016181i,0.0039898+0.003367i,-0.00061633+0.0067481i,-0.012232+0.0037608i,-0.0041417-0.0054705i,0.0020771+0.010501i,-0.0044909-0.0015845i,-0.0017921+0.0031265i,-0.0030439+0.0024351i,-0.0010417+0.0018497i,0.001914+0.00056719i,-0.0054429-0.0042868i,-0.00022234-0.00064783i,-0.0015989-0.0013117i,0.0021588+0.0016661i,0.00431+0.0012091i,0.0010292-0.0022569i,0.0010886+0.00029946i,-0.0018604-0.0094398i,0.0099395-0.0055919i,0.00032439-0.0014885i,0.0011534+0.00027364i,0.0013741-0.0013093i,0.007478-0.0025374i,-0.0022394-0.0047306i,0.0046403-0.0054299i,0.0022813-0.0023119i,0.0013307-0.0049268i,0.0043704-0.0013334i,0.0039241+0.0029318i,0.001994-0.0024037i,-0.0014312+0.0069299i,0.0021141+0.0019855i,-0.0065502-0.01764i,-0.027458-0.0064185i,-0.02717+0.012464i,-0.010365+0.014194i,0.00033925+0.00078223i,0.016939-0.0032218i,-0.014719+0.003961i
