-0.031841-0.040489i,-0.021917-0.020287i,-0.013511-0.035731i,-0.030416-0.020037i,-0.022542-5.5142e-05i,-0.014079-0.0057999i,-0.055983-0.058746i,-0.047865-0.017012i,-0.037497-0.01201i,0.012095+0.011329i,-0.0076487+0.0048211i,-0.019363+0.019017i,0.0022534+0.011653i,-0.0057006-0.0024711i,0.00026447+0.0014049i,-0.0012233+0.030832i,0.025444+0.024941i,0.0024272-0.0024959i,-0.0024075-0.006753i,0.0088097+0.0018646i,0.0025234+0.00093109i,-0.00064474+0.0034971i,-0.00035289+0.00035787i,-0.038147-0.011795i,-0.0003546-0.0081682i,0.0012955+0.0021867i,0.0061695+0.0012963i,0.002057+0.00064478i,0.0011147-0.00035807i,-0.00067803-0.002619i,0.0015502-0.0025781i,-0.0021125-0.005835i,-0.00093918-0.0050386i,0.002913-0.00062248i,0.0045374-0.0034737i,0.0018347+0.030493i,0.0039783-0.0038209i,0.0029214-0.001552i,0.0081493-0.001686i,-0.0063515-0.0036708i,-0.00023151+0.00090399i,0.0088211-0.00018394i,0.0045778-0.0029928i,-0.0017113+0.0086853i,-0.017758-0.0088437i,-0.018593+0.014529i,-0.003978-0.062877i,-0.0054854-0.026754i,-0.026836-0.032947i,-0.010885-0.026597i,0.054189-0.022151i,0.01703-0.043166i,0.022882-0.048007i,0.003786-0.053338i,0.026696-0.021291i,0.0082333+0.0061056i,0.023596-0.03369i,-0.0080246-0.0061327i,0.004056-0.005226i,-0.0039544-0.0071779i,-0.0018484-0.032198i,-0.018971+0.029525i,0.0083281-0.011559i,-0.0095677-0.0030943i,-0.0041613-0.0017678i,0.0010523-0.012829i,-0.010696+0.0043479i,0.00267+0.010204i,-0.0043377+0.025693i,0.0048832+0.0031787i,-0.0053647-0.001579i,-0.0020484-0.001996i,-0.012672-0.0073672i,-0.00064596-0.0041058i,-0.028485+0.0084913i,0.0010634-0.010787i,-0.0082739+0.00027866i,-0.0068544-0.002277i,0.0053498+0.0013813i,-0.0079507-0.00042608i,0.0021881-1.8249e-05i,0.0034819+0.0068452i,0.0042251+0.00043142i,-0.0093837-0.012958i,0.0024989+0.0095191i,-0.01325+0.0042771i,0.0073731-0.00032855i,-0.021519-0.00054659i,-0.017549+0.0072064i,-0.0095072-0.068179i,0.007164-0.012374i,-0.049419-0.022352i,-0.021662+0.0010717i,0.017291+0.011133i,-0.023558+0.014307i,-0.020976-0.0055725i
0.028118+0.037272i,0.014431+0.015072i,0.017494+0.024547i,0.0071006+0.01893i,0.0090818+0.0070765i,0.0047415-0.0010083i,0.015675+0.0125i,0.015494-0.0024325i,0.0088399-0.0083105i,0.0026838+0.0042721i,0.0017405-0.0025688i,0.00068911-0.0050848i,-0.0019777+0.00052783i,0.0011791-0.0016002i,0.0019011-0.00058362i,0.0054258-0.0024856i,0.0066163-0.0034469i,0.00016031+0.00016328i,-0.0051321+0.0001969i,0.00012698+0.00058823i,-0.00077007-0.0010654i,-0.0025496-0.0011207i,-0.0015998+0.00091954i,0.0030943+0.010177i,-0.00093582+0.0011645i,0.00056915+0.0016619i,0.0011842+0.00089885i,-0.0018713+0.0024568i,-0.00087531+0.00026426i,-0.0014669+0.00049985i,-0.0012828-0.0014196i,-0.0044003-0.0006992i,-0.00011285+0.00015272i,0.00016999+0.00050027i,-0.00020873-0.00077347i,-0.0099068+0.0096878i,0.0016473-0.00039543i,0.00070362+0.0010745i,0.0027984+0.0020652i,-0.00019853-0.0010463i,-0.000591-0.00065979i,-0.00021613-0.0031958i,0.0014132+0.0007772i,-0.00085211+0.0010329i,0.021373+0.014493i,-0.022708+0.013347i,-0.011974+0.018114i,-0.02172+0.011542i,-0.0039298+0.038007i,-0.019813+0.018537i,0.0026782-0.003535i,-0.011664-0.016334i,-0.01884-0.00036643i,-0.0082224+0.0136i,0.017426+0.018585i,-0.00061503+0.0023197i,-0.0037105+0.0011493i,-0.01268-0.0042514i,0.011399+0.001335i,0.012516+0.010065i,-0.00039532+0.0057537i,-0.0056324-0.0069833i,0.0062634-0.0028775i,-0.0033763-0.0042096i,0.0035739-0.0085409i,0.0089125-0.0028203i,-0.0014209+0.010414i,0.011784-0.0058514i,0.0041921-0.0079925i,0.0021493-0.0089717i,0.0022359+0.00073285i,-0.0023729-0.0055383i,-0.0037621-0.0016455i,0.0024891-0.00012381i,-0.0029908+0.030527i,-0.0076771-0.0044575i,0.00011404+0.0011608i,-0.0012597-0.0071121i,0.0029514-0.000495i,-0.016069-0.0063673i,-0.0011404-0.0039842i,0.0025068-0.0021933i,0.0032144-0.0016513i,-0.0019318-0.0071717i,0.00043552+0.0069393i,6.2961e-05+0.0031288i,-0.0035975+0.0040069i,-0.0069925+0.0031969i,-0.0066154-0.0011517i,-0.0057261+0.029995i,-0.0020639+0.014149i,-0.027544-0.0098033i,-0.0012069-0.0025482i,0.013851+0.018189i,1.3534e-05+0.017743i,-0.00061155-0.0048843i
0.034089+0.030795i,0.016908+0.011221i,0.02183+0.021623i,0.010253+0.018329i,0.011042+0.0056922i,0.004836-0.0024379i,0.015741+0.008826i,0.014903-0.0049283i,0.006549-0.010009i,0.0037526+0.002893i,0.0014104-0.0026738i,-0.0012225-0.0036105i,-0.0017506+0.0016729i,0.00094326-0.00048494i,0.00175-0.00088444i,0.0042508-0.0028612i,0.0056372-0.0051857i,0.00055728+0.00013837i,-0.0049089-0.00036915i,0.00030087-5.2292e-05i,-0.00086225-0.0012882i,-0.0027243-0.00052551i,-0.0012443+0.0010414i,0.0084737+0.0087879i,-0.00082372+0.0023365i,0.0013847+0.0012585i,0.001089-2.9597e-05i,-0.00074867+0.0029534i,-0.0011661+0.00070298i,-0.0012872+0.0011436i,-0.0019329-0.00071123i,-0.002154+0.00059022i,-0.00032172+4.0791e-05i,0.00037462+0.00012071i,-0.00067466-0.0001515i,-0.005619+0.011311i,0.0010719-0.0008613i,0.0010539+0.00089251i,0.0023317+0.0010632i,-0.00025392-0.00085453i,-0.00098945-0.00073415i,-0.00086727-0.0017464i,0.0011373+0.00063432i,-0.0011253+0.001178i,0.024503+0.01093i,-0.018322+0.016518i,-0.010454+0.021039i,-0.017094+0.013057i,0.0076442+0.033968i,-0.01216+0.017632i,-0.003843-0.0072185i,-0.018926-0.017184i,-0.020306-0.00051818i,-0.0018197+0.010178i,0.018866+0.013385i,-0.00091665+0.0021978i,-0.0025606+0.0047396i,-0.012614+0.00011311i,0.0099291-0.0030022i,0.014193+0.0062987i,0.0027523+0.0080852i,-0.0095457-0.0055108i,0.0022186-0.004637i,-0.00354-0.0020474i,-0.0016174-0.0078753i,0.0069071-0.005312i,0.0033355+0.0085005i,0.0069228-0.0082842i,-0.00045689-0.0081337i,-0.0015006-0.0059441i,0.0037043-6.248e-05i,-0.0038465-0.0044377i,-0.0021228+0.00086158i,0.0031641-0.00051344i,0.010669+0.026906i,-0.0097805-0.0018265i,0.0008943+0.0005321i,-0.0042282-0.0055977i,0.0036652-0.001888i,-0.016989+0.0012287i,-0.0018436-0.0030865i,0.0014024-0.0022335i,0.0030318-0.0031185i,-0.0035325-0.00553i,0.0024372+0.0033512i,0.0012864+0.0023382i,-0.0011542+0.0054305i,-0.0046543+0.0055626i,-0.0073686-2.1638e-05i,0.00045541+0.026118i,0.00036162+0.015601i,-0.028772-0.0036362i,-0.0029213-0.0061263i,0.016463+0.015888i,0.0032429+0.018656i,-0.0032238-0.0052957i
0.038317+0.023158i,0.017785+0.0065139i,0.026295+0.015988i,0.014661+0.015652i,0.01323+0.0036028i,0.00448-0.0041283i,0.01507+0.0051665i,0.01395-0.0078773i,0.0044074-0.010412i,0.0037323+0.0014837i,0.0007795-0.0030188i,-0.0015171-0.0017683i,-0.0007607+0.0016842i,0.0017229-0.00050167i,0.0015276-0.0011602i,0.0032221-0.0033338i,0.0034324-0.00694i,0.00055742-0.0002189i,-0.0030106+0.0013451i,-4.7933e-05-0.00070507i,-0.001636-0.0016748i,-0.0025271+0.00015794i,-0.00097216+0.0011314i,0.011829+0.0035754i,0.00041384+0.002867i,0.0014844+0.00039331i,0.00050921-0.00038957i,0.00048415+0.0026761i,-0.00075044+0.0013495i,-0.0008118+0.0016818i,-0.0022675+0.00035169i,-0.0019118+0.001498i,-0.00031479+0.00011945i,0.00046373-0.00015375i,-0.00056476+0.00050008i,-0.0019618+0.011577i,0.00058418-0.00084882i,0.0014519+0.00031133i,0.0019206+0.00040158i,-0.0004079-0.00076136i,-0.0016479-0.00041208i,-0.00085542-0.0015869i,0.0012596+0.00080762i,-0.0013274+0.0017166i,0.028109+0.0062625i,-0.013884+0.018828i,-0.0067776+0.023912i,-0.011675+0.012686i,0.017774+0.026616i,-0.0059251+0.018103i,-0.011152-0.0063527i,-0.025193-0.014567i,-0.019783+0.0028842i,0.001886+0.005143i,0.020326+0.0076547i,-0.0013095+0.0021705i,-0.00093991+0.004819i,-0.012409+0.0029205i,0.0059802-0.0075083i,0.01457+0.0016836i,0.0064045+0.0080574i,-0.012782-0.0026553i,0.00023196-0.0030423i,-0.0033936-0.00018857i,-0.0040141-0.0050446i,0.0046927-0.0066602i,0.0060524+0.0072877i,0.0037907-0.0080957i,-0.004719-0.005543i,-0.0015898-0.0029624i,0.0042782-0.0022882i,-0.0053754-0.0016601i,-0.00024228+0.00093571i,0.002738-0.0018607i,0.01999+0.016505i,-0.010714+0.0018009i,0.0014499-3.0482e-05i,-0.0042523-0.0036091i,0.0038833-0.003816i,-0.013387+0.0080575i,-0.0018859-0.0021658i,0.00049435-0.0023306i,0.0014444-0.0037296i,-0.0044111-0.0039692i,0.0014041+0.0022861i,0.0018209+0.0013798i,0.0011052+0.0057183i,-0.0022719+0.0056721i,-0.0077956+0.0018619i,0.0033486+0.021697i,0.0072916+0.015015i,-0.028616+0.00092461i,-0.005542-0.0085704i,0.019341+0.010478i,0.0078973+0.019171i,-0.0054441-0.0043421i
0.040406+0.015618i,0.016795+0.0030598i,0.027762+0.0091292i,0.017623+0.010691i,0.014631+0.00031419i,0.0032033-0.0055528i,0.013746+0.0027233i,0.011876-0.010482i,0.0029916-0.010817i,0.0033793+0.0008367i,1.2914e-05-0.0023445i,-0.00091638-0.0009051i,-0.00042148+0.0017616i,0.0017482-0.00058249i,0.001112-0.0014296i,0.0020307-0.0032004i,0.00079018-0.0065523i,0.00046852-0.00033461i,-0.001574+0.0023808i,-0.00071467-0.00086239i,-0.0024251-0.00077979i,-0.0024693+0.00068847i,-0.00074102+0.0012021i,0.011212-0.0016397i,0.0015819+0.002625i,0.00070839-0.00019723i,0.000152-0.00023431i,0.0010834+0.0020353i,-0.0001472+0.0013731i,-0.00010412+0.0019624i,-0.0019251+0.0014239i,-0.0011988+0.0020159i,-0.00033246+0.00014987i,0.00031528-0.00024375i,-0.00017938+0.00082427i,0.0017385+0.01133i,0.00033958-0.00087208i,0.0014126-0.00052138i,0.0014264+0.00032637i,-0.00071002-0.00052785i,-0.0018424+0.00016917i,-0.0015861-0.0017236i,0.001658+0.00070184i,-0.0012495+0.0025496i,0.030097-0.00074673i,-0.0085175+0.020336i,-0.0019271+0.025501i,-0.0095223+0.0099445i,0.025333+0.014969i,0.00046051+0.014472i,-0.017514-0.0016427i,-0.031476-0.0090316i,-0.015527+0.015088i,0.0025582-0.00049921i,0.020064+0.00024097i,-0.0016152+0.0030492i,0.00021788+0.0064036i,-0.011334+0.0067859i,-0.00027507-0.0076394i,0.013867-0.0032581i,0.0096878+0.0060374i,-0.014679+0.0015465i,-0.0008609-0.002293i,-0.0024367+0.0010998i,-0.0049602-0.0016302i,0.00249-0.0074731i,0.008558+0.003811i,0.0016116-0.00788i,-0.0061531-0.00041207i,-0.00064739-0.0019361i,0.0029569-0.0046113i,-0.0060841+0.0011597i,0.0008629+0.00055801i,0.0017878-0.0027673i,0.021349+0.0044248i,-0.0087333+0.006134i,0.0017496-0.0010651i,-0.0042361-0.0019229i,0.00197-0.0062791i,-0.0075418+0.010677i,-0.0015305-0.0016166i,-0.00016258-0.00159i,3.3307e-05-0.0036594i,-0.0046499-0.002598i,0.0012249+0.0022229i,0.0016465+0.00032781i,0.0034342+0.0056159i,-0.00036124+0.004381i,-0.0077217+0.00373i,0.0047469+0.01959i,0.015369+0.0080005i,-0.026402+0.0052902i,-0.010533-0.0095982i,0.018412+0.0050349i,0.012715+0.016897i,-0.0056872-0.003292i
0.04143+0.0086042i,0.016451+0.00085164i,0.027874+0.0035265i,0.018707+0.005506i,0.014716-0.0031281i,0.0018449-0.0063788i,0.012708+0.0015575i,0.0094496-0.012258i,0.0016819-0.011511i,0.003212+0.00037797i,1.7166e-05-0.0023093i,-0.00037145-0.00079507i,-0.00014467+0.0021729i,0.0016973-0.00092361i,0.00071701-0.0013836i,0.0015108-0.002432i,-0.00047402-0.005578i,0.00025772-0.00032793i,-0.00056365+0.0022608i,-0.0012922-0.00056708i,-0.0025407-0.00010137i,-0.0018869+0.0013883i,-0.00047837+0.001344i,0.0082852-0.0051126i,0.0026082+0.0020013i,0.00050495-0.00053696i,-0.00010726-5.4894e-05i,0.0013857+0.0015078i,0.00019333+0.001344i,0.00076803+0.0018528i,-0.0010572+0.0021131i,-0.00090562+0.0021689i,-0.00052804+0.00022871i,0.00029685-4.5824e-05i,0.00039028+0.0010175i,0.0045931+0.0098936i,-0.00010944-0.00083141i,0.00076726-0.00095403i,0.0015299+0.00025908i,-0.00075859-0.00015835i,-0.0018392+0.00049101i,-0.0028782-0.00192i,0.0018457+0.0001712i,-0.00072386+0.0028663i,0.029298-0.0081989i,-0.0026111+0.020073i,0.0041777+0.026267i,-0.0089325+0.0092936i,0.026315+0.0020758i,0.0028372+0.0090885i,-0.019725+0.0064948i,-0.034321+0.00023844i,-0.02131+0.021849i,-1.5644e-05-0.0048456i,0.015694-0.0052757i,-0.00089159+0.0039834i,0.0037382+0.0062204i,-0.0085965+0.009962i,-0.0035536-0.0043384i,0.010736-0.0087399i,0.012295+0.0023466i,-0.015843+0.0079152i,-0.0012102-0.00037677i,-0.0013859+0.0017893i,-0.0031169+0.0005367i,-0.00057298-0.0070954i,0.0086067+0.00036209i,-0.00077599-0.0076617i,-0.0037492+0.0035395i,0.00012485-0.0019845i,0.0007305-0.0055943i,-0.0044132+0.0028557i,0.0019583-0.00033935i,0.0010983-0.0027771i,0.018827-0.0035205i,-0.0043172+0.0083341i,0.0012804-0.0021694i,-0.0033228-0.0015071i,-0.00074094-0.0068554i,-0.0034245+0.010384i,-0.0015624-0.0027378i,-0.00013472-0.00033405i,-0.00028506-0.0029659i,-0.0051899-1.4406e-05i,0.0017182+0.0024392i,0.00075726-0.00019571i,0.0043643+0.0040416i,-0.00062048+0.0026655i,-0.0066874+0.0058833i,0.0073282+0.018391i,0.016792-0.0043635i,-0.022324+0.006172i,-0.015833-0.0078698i,0.017326+0.00079611i,0.016339+0.012052i,-0.0063973-0.0034531i
0.041574+0.0012733i,0.016451-0.0017036i,0.02768-0.0021447i,0.018943+0.00024848i,0.014417-0.0062973i,0.00037213-0.0069004i,0.012926+0.00065317i,0.0070478-0.013646i,9.6718e-05-0.012323i,0.0026472-0.00023332i,-0.00034759-0.002428i,-9.997e-05-0.0008144i,0.00063267+0.0025399i,0.0014838-0.0010584i,0.00053118-0.0013382i,0.0018009-0.0018144i,-0.0011641-0.0055085i,0.00031799-0.00036473i,0.00012157+0.0018512i,-0.0015329-8.2763e-05i,-0.0020869+0.00061872i,-0.00098021+0.0014706i,-0.00012896+0.0014244i,0.0054298-0.0062951i,0.0033544+0.00089002i,0.00080208-0.0006288i,-0.00018728+9.6724e-05i,0.0015795+0.0010413i,0.00059392+0.0012348i,0.0013616+0.0012478i,-2.2683e-06+0.0023118i,-0.00011484+0.0026972i,-0.00048416+0.00067205i,0.00042878-0.0001025i,0.00077635+0.00072689i,0.0061882+0.0074875i,-0.00045706-0.00052288i,0.00033294-0.00084539i,0.0015133+1.1506e-06i,-0.00051893+9.8982e-05i,-0.0017132+0.0010829i,-0.0038827-0.00031751i,0.0018078-0.00013065i,-0.00040619+0.0033749i,0.026692-0.01487i,0.0025586+0.017988i,0.010769+0.023905i,-0.0078368+0.0097678i,0.022959-0.0093084i,0.0023627+0.0053678i,-0.01714+0.014745i,-0.032152+0.010179i,-0.015919+0.026936i,-0.0043649-0.0057915i,0.010938-0.0069677i,0.00029973+0.0042274i,0.0058986+0.0037978i,-0.0050619+0.0128i,-0.004617-0.001586i,0.0045464-0.012981i,0.012268-0.0028212i,-0.011152+0.014061i,-8.6032e-05+0.00073561i,-0.00027854+0.0016101i,-0.001611+0.00083819i,-0.0023973-0.0050297i,0.0072462-0.0019236i,-0.0025123-0.0070742i,-5.2787e-05+0.0041536i,0.00036814-0.0029525i,-0.0016004-0.005174i,-0.0028673+0.0033564i,0.0018001-0.00193i,0.00091249-0.0029153i,0.01306-0.0078666i,-0.00029645+0.0082445i,0.0002784-0.002325i,-0.0035264-0.00098695i,-0.0037412-0.0059641i,-0.00045452+0.0097036i,-0.0014453-0.00026355i,0.0011568-0.00013366i,-0.0009847-0.0031128i,-0.0025657+0.0019197i,0.0024611+0.00048469i,5.5871e-05+0.0003393i,0.0017792-0.0011068i,-0.0018058+0.0018742i,-0.0045044+0.0073687i,0.01027+0.016418i,0.010723-0.013707i,-0.020592+0.0033801i,-0.020329-0.0031744i,0.013865-0.0039546i,0.017309+0.0069674i,-0.0072119-0.0027083i
0.039947-0.0057565i,0.015758-0.0046451i,0.025259-0.0088199i,0.017076-0.0056855i,0.013602-0.0098911i,-0.0013154-0.0069429i,0.013881-0.00088508i,0.0043203-0.014868i,-0.0019404-0.012679i,0.0019265+2.1498e-05i,-0.0012331-0.0021052i,-0.00022436-0.0014254i,0.0014125+0.0023395i,0.0011564-0.0013298i,0.00032488-0.0013029i,0.0023003-0.001897i,-0.0024809-0.0053497i,5.6554e-05-0.0006022i,0.00060551+0.0012994i,-0.0017434+0.00044067i,-0.0019764+0.000871i,-0.00033278+0.0010365i,0.00017959+0.0013508i,0.0060598-0.0059052i,0.003279-0.00091152i,0.00039502-0.00084908i,-0.00050284+0.00030355i,0.0015881+0.00063917i,0.0010221+0.00088345i,0.0015581+0.0005483i,0.0010694+0.0020717i,0.00094452+0.0030034i,-0.00037305+0.0011271i,0.00040997-0.000195i,0.00087244+0.00030655i,0.0068806+0.0047872i,-0.00069075-0.00022983i,-2.2207e-05-0.00065972i,0.0017126-0.00032203i,-0.00018368+0.00012199i,-0.0014153+0.001733i,-0.0035463+0.00038375i,0.0016137-0.00047753i,0.00023793+0.0046426i,0.022451-0.020586i,0.0066761+0.01448i,0.01521+0.019684i,-0.0053595+0.010813i,0.016444-0.016559i,0.0011481+0.0037662i,-0.011212+0.019973i,-0.025145+0.017183i,-0.0063766+0.029992i,-0.0076524-0.0034223i,0.0073899-0.0070157i,0.0013945+0.0039931i,0.0058379+0.00060833i,-0.00065312+0.013842i,-0.0051833+0.0008754i,-0.0040236-0.012526i,0.0096933-0.0068847i,-0.005323+0.015415i,0.0017404-0.00023285i,0.00028212+0.0012909i,-0.001054+0.00035059i,-0.0025056-0.0033997i,0.0058186-0.0027944i,-0.0034342-0.0069678i,0.0016863+0.0029209i,-0.0005735-0.0046294i,-0.0033681-0.0039024i,-0.0010109+0.0036961i,0.00046069-0.0031905i,0.00030489-0.0034471i,0.016193-0.008964i,0.0027906+0.0064249i,-0.00015686-0.0023802i,-0.0028863-0.0006811i,-0.0055326-0.0041826i,0.0019132+0.0085286i,-0.00072185-0.0012915i,0.0018432-0.0008464i,-0.0020716-0.0020912i,-0.00078596+0.0013959i,0.0026138+0.0011113i,0.00010718+0.0013116i,0.0045457-0.002813i,-0.0028795+0.0022953i,-0.002479+0.0075843i,0.012919+0.014785i,0.0021614-0.019081i,-0.023818+0.0017287i,-0.021405+0.0032945i,0.0077294-0.0060858i,0.016872+0.0024461i,-0.0069988-0.0024766i
0.037421-0.011868i,0.015105-0.0067923i,0.020872-0.013106i,0.012654-0.0098556i,0.01147-0.013368i,-0.0027557-0.006458i,0.014885-0.0031467i,0.0012753-0.015378i,-0.0038851-0.012824i,0.0022779+0.00061624i,-0.0016962-0.0010712i,-0.0010611-0.0016056i,0.0021945+0.0020589i,0.00073029-0.0012996i,0.00016127-0.0012782i,0.0025178-0.0020816i,-0.0040947-0.004327i,-0.00017586-0.00046522i,0.00078125+0.00065621i,-0.0015399+0.0012464i,-0.0017999+0.0015271i,-0.00048562+0.00042928i,0.00047481+0.0012636i,-0.0049647+0.0026199i,0.0020822-0.0019477i,-2.151e-05-0.00076705i,-0.0004182+0.00066635i,0.0015269+0.00039143i,0.0010006+0.00030961i,0.0015012-3.6318e-05i,0.0019312+0.0013685i,0.0022108+0.0024063i,0.00015969+0.0015487i,0.00032563-0.00014731i,0.00079718+0.00037929i,0.0069785+0.0028496i,-0.00078749+0.00019469i,-0.00026469-0.00038074i,0.001808-0.00080165i,0.00014503+5.4559e-05i,-0.00065655+0.0023381i,-0.0036166+0.0011009i,0.0012987-0.00061161i,0.0023872+0.004579i,0.016845-0.024894i,0.0092936+0.010102i,0.017972+0.015382i,-0.0020349+0.010461i,0.0099578-0.020013i,7.3184e-05+0.0038044i,-0.0045436+0.02191i,-0.017479+0.019841i,0.0038833+0.029189i,-0.0085606+0.00068678i,0.0056481-0.0068079i,0.0025515+0.0033649i,0.0045423-0.001262i,0.0041086+0.012637i,-0.0043308+0.0040394i,-0.010332-0.0070223i,0.0062538-0.0090743i,-0.0015193+0.01456i,0.0015774-0.0024745i,0.00077768+0.00082776i,-0.0011401+0.00027118i,-0.0021519-0.0023315i,0.0047427-0.003718i,-0.0056557-0.0063424i,0.00223+0.0014623i,-0.0037487-0.0050729i,-0.0041913-0.0022091i,0.001044+0.002538i,-0.0003103-0.0035673i,-0.00087606-0.0039347i,0.0092141-0.01623i,0.0044759+0.0040875i,-0.00082815-0.0026098i,-0.003463-0.00052396i,-0.006444-0.0017904i,0.0034261+0.0071237i,-0.0014449-0.0022654i,0.0022322-0.0019137i,-0.0026403+0.00070002i,-4.8873e-05+0.00052236i,0.0032255+0.00043811i,0.00089076+0.0017166i,0.0033605-0.0029649i,-0.0034467+0.0039369i,-0.00092433+0.0069701i,0.016678+0.01267i,-0.008486-0.020927i,-0.027363+0.003868i,-0.018958+0.0095549i,0.0033884-0.0037588i,0.01376-0.0019951i,-0.0069691-0.0036645i
0.034348-0.017862i,0.014595-0.0096641i,0.01715-0.015567i,0.0082673-0.011058i,0.0085148-0.016117i,-0.0037288-0.0057703i,0.015895-0.0066614i,-0.0016126-0.015245i,-0.0061946-0.012752i,0.003313+0.00035291i,-0.0012367-0.00031328i,-0.0017347-0.00079437i,0.0027721+0.0012763i,0.00041287-0.0012695i,6.528e-05-0.0012411i,0.0027135-0.0023524i,-0.005184-0.0029313i,-2.5536e-05-0.00040633i,0.0006507+0.00014108i,-0.001033+0.0017323i,-0.0012933+0.0017557i,-0.00069378+0.00040156i,0.00079298+0.0010864i,-0.0053265+8.6339e-05i,0.00099357-0.002369i,-0.00027052-0.00049387i,-0.00014663+0.00075387i,0.0015849-4.0455e-05i,0.0007537+0.00023974i,0.0012884-0.00056852i,0.0024476+0.00047898i,0.0027371+0.0015144i,0.00089975+0.0014142i,0.00051358-0.00013042i,0.0011607+0.00052981i,0.0073436+0.00088954i,-0.00058715+0.0010179i,-0.00025185-0.00015894i,0.0014957-0.0015387i,0.00052592-0.00017308i,0.00044364+0.0022625i,-0.0027283+0.0036016i,0.0011807-0.00063729i,0.0031462+0.0036575i,0.01081-0.027292i,0.0095888+0.0056001i,0.01932+0.011307i,0.00048529+0.0088098i,0.0037249-0.021603i,0.00019914+0.005749i,0.0021255+0.021957i,-0.010688+0.020763i,0.012188+0.025111i,-0.006225+0.0045684i,0.0040869-0.0073135i,0.0036418+0.0019928i,0.0036271-0.0024912i,0.0082684+0.0090952i,-0.0017492+0.005259i,-0.011988-0.00012456i,0.0025497-0.0099452i,0.0013346+0.013369i,-0.00026876-0.0043245i,0.00040896+0.00036277i,-0.0011621+0.00070142i,-0.0019311-0.001856i,0.003446-0.0033676i,-0.0068413-0.0044845i,0.0023104+0.0004497i,-0.0063506-0.0023811i,-0.0038779-0.00057482i,0.0015599+0.00074477i,-0.0010884-0.0040277i,-0.0021197-0.0032958i,0.00059135-0.016691i,0.0051942+0.0016541i,-0.001838-0.0025228i,-0.0036823+0.00082176i,-0.005804+0.00080947i,0.00484+0.0060233i,-0.0033384-0.0025363i,0.0019256-0.0035022i,-0.002259-0.00457i,-6.9886e-07-0.00076346i,0.0037848-0.00024475i,0.0014988+0.0015298i,0.0018313-0.0022434i,-0.0030042+0.005699i,0.00019587+0.0063085i,0.020754+0.0082936i,-0.018605-0.017141i,-0.030123+0.0077022i,-0.013927+0.01213i,0.0023934-0.0017244i,0.010461-0.0028039i,-0.0094646-0.0040833i
0.030109-0.023287i,0.013094-0.013042i,0.013918-0.017515i,0.0050905-0.011113i,0.0048866-0.018144i,-0.0045522-0.005137i,0.015688-0.011867i,-0.0043395-0.014562i,-0.0087539-0.012004i,0.0043529-0.001233i,-0.00055807-0.00016436i,-0.0018482+0.00030507i,0.0028463+0.0002835i,0.0001874-0.00097833i,-9.196e-05-0.0013176i,0.0027133-0.0030567i,-0.0057917-0.0013926i,7.8635e-05-0.00050034i,0.00049255-0.00010728i,-0.00038952+0.0018514i,-0.0008974+0.002234i,-0.00082355+0.00054298i,0.0010101+0.00074919i,-0.0043128+0.0021559i,-0.00024626-0.0025444i,-0.000392-0.00035808i,8.3497e-05+0.00061442i,0.001304-0.00053738i,0.00082853+0.00013588i,0.00084646-0.00099898i,0.0026123-0.00056677i,0.0032452+0.0006955i,0.0014222+0.0011255i,0.00056515-0.00052106i,0.0017665+0.00022557i,0.007375-0.0010019i,0.00016052+0.0020092i,-0.00016828+4.1308e-05i,0.0006725-0.0017916i,0.00076449-0.0006357i,0.0011478+0.0019932i,-0.00018124+0.0039568i,0.0011228-0.00077287i,0.0036298+0.0035628i,0.0051313-0.028145i,0.0082189+0.0028397i,0.020099+0.0075547i,0.0020713+0.007882i,-0.0020162-0.022897i,0.0031478+0.0078742i,0.0082248+0.019692i,-0.0035287+0.019771i,0.018149+0.018897i,-0.0018012+0.0063792i,0.0024668-0.0078183i,0.0038191-0.00061009i,0.0025823-0.0038982i,0.0091785+0.0041219i,-0.00015309+0.004723i,-0.010953+0.0064939i,-0.0014798-0.0090902i,0.0040012+0.011231i,-0.0033527-0.0023275i,-0.00015468+0.00082441i,-0.00083734+0.0011914i,-0.0014966-0.0018656i,0.0036334-0.0020818i,-0.0064699-0.0016848i,0.0023088+0.00040293i,-0.0063089+0.00058748i,-0.0029021+0.00034726i,0.0012104-0.00025247i,-0.0031462-0.0044116i,-0.0030236-0.0021692i,-0.0053748-0.014264i,0.0047689-0.00082033i,-0.0028058-0.0017924i,-0.0026477+0.0018675i,-0.0042806+0.0024353i,0.0066965+0.0048514i,-0.0048961-0.00095818i,0.00044958-0.004808i,-0.0030037-0.0023177i,-0.0011474-0.0015389i,0.004415-0.0018891i,0.002053+0.0014143i,0.0018026-0.0014951i,-0.00028624+0.006827i,0.00077435+0.0053724i,0.023205+0.0019891i,-0.02386-0.0086517i,-0.032112+0.01371i,-0.0095231+0.012558i,0.0016043-1.1558e-05i,0.0087575-0.0020973i,-0.011383-0.002985i
