-0.023628-0.038984i,-0.011626-0.049709i,-0.016742-0.045362i,-0.030778-0.035883i,-0.029563-0.01663i,-0.050458-0.028802i,-0.058488-0.02631i,-0.044464-0.039094i,-0.029139-0.036573i,0.0071238+0.013013i,-0.0060415+0.016047i,-0.0050567+0.014593i,0.0098694+0.02192i,0.00017433+0.0045744i,0.0034971+0.0032557i,0.0065103+0.018037i,0.026917+0.039287i,-0.0025296-0.00085768i,-0.0046314-0.0060705i,0.008285+0.0017343i,-5.8576e-05-0.00086417i,-0.0010194+0.0015222i,0.0002467-0.00043838i,-0.030828-0.0028321i,-0.0012592-0.0059031i,0.0013109+0.0046017i,0.0038499-0.00045153i,-0.0002646+0.00067823i,0.00045364-0.00056421i,-0.00022381-0.0024704i,-0.0015614-0.0062868i,-0.0044895-0.0040373i,-0.0018049-0.0051977i,0.0020431-0.00079364i,0.002447-0.0028259i,0.002671+0.026226i,0.0021072-0.0026962i,0.0029263+0.00059059i,0.0061102+0.0010343i,-0.010223-0.003565i,-0.0032831+0.00096137i,0.0069411+0.0017742i,0.0048223+0.00016618i,-0.0039298+0.0058323i,0.0015918-0.0076824i,-0.01198+0.017784i,0.035644-0.090882i,0.012511-0.07005i,-0.015376-0.059596i,-0.016461-0.05566i,0.040429-0.046153i,0.017356-0.062644i,0.034704-0.056027i,0.031305-0.059945i,0.015189-0.013778i,0.0044729+0.016671i,0.016791-0.026667i,-0.011717+0.0057545i,-0.00066462+0.0052961i,-0.0055149-0.0012549i,-0.0021339-0.028957i,-0.024152+0.031869i,0.0098321-0.011354i,-0.013105-0.0025297i,-0.0002221-0.0050337i,-0.0011808-0.016129i,-0.0077819+0.0047353i,0.0052013+0.0062501i,-0.0081416+0.031059i,0.0050017+0.0058245i,-0.0050148-0.00064184i,-0.00329-0.00029088i,-0.012152-0.0073848i,-0.00047729-0.0042655i,-0.029719+0.0062112i,0.00014789-0.0098689i,-0.0093408-0.0020089i,-0.0060347-0.0029272i,0.0068912+0.0031264i,-0.0073901+0.0010019i,0.00029653+0.00060043i,0.0057341+0.010593i,0.0040512+0.001328i,-0.009402-0.0096936i,0.0029282+0.0080006i,-0.02121+0.0062771i,0.0083363+0.00080143i,-0.029153-0.0035839i,-0.042127+0.0024136i,0.019287-0.097148i,-0.0023688-0.012432i,-0.053084-0.022181i,-0.023078+0.0011838i,0.017978+0.010666i,-0.024931+0.012926i,-0.018099-0.013152i
0.0075542+0.020405i,0.013801+0.052223i,0.024173+0.035723i,0.017137+0.027917i,0.024532+0.027999i,0.033331-0.014047i,0.018129-0.0086204i,0.029522+0.0065698i,0.012206+0.013976i,0.0023318+0.0050538i,0.0047496+0.0027397i,0.0043126+0.0033659i,0.0060268+0.0027949i,0.0049605+0.0036733i,0.0031961-0.0033378i,0.0081358-0.0015158i,0.008916-0.0051564i,-0.0013023-0.0013802i,-0.0032204+0.0010327i,-8.6759e-05+0.0013016i,-0.0011141-0.00026195i,-0.0028662+0.0012465i,-0.0018663+0.00093152i,0.0048806+0.0079794i,0.0013881+0.0011135i,0.002605+0.00063996i,0.0018904+0.0011695i,0.0010234+0.0013816i,0.00070328+0.0001583i,-0.00032355+0.00084681i,-0.0015804-0.0024922i,-0.0007437-0.0005224i,-0.0011319+0.0010011i,-0.0010651+0.00030663i,-0.000681-0.0018267i,-0.0068835+0.0076808i,0.0014117+0.00037703i,0.0011769-0.00046807i,-0.00065762+0.0023681i,-0.0001603-0.0037778i,-0.0013539+0.00034863i,-0.0019238-0.00043522i,0.0020941+0.001188i,0.0065126+0.0042845i,-0.015282+0.034265i,-0.081391+0.03519i,-0.051709+0.038236i,-0.037311+0.059209i,-0.01898+0.072652i,-0.0092546+0.051681i,0.0097204+0.036987i,0.0030391-0.0016173i,-0.036783+0.0088301i,-0.045316+0.019576i,0.0020144+0.024306i,-0.0081878+0.0025867i,-0.010658-0.00066333i,-0.013792-0.0022651i,0.0022923+0.00053177i,0.0063519+0.0095661i,-0.002082+0.0080434i,-0.0073527-0.012359i,0.0058493-0.0070445i,-0.0063986-0.0067434i,0.0019828-0.0063684i,0.0035938-0.0041229i,-0.0017007+0.010163i,0.0093774-0.0042505i,0.0051693-0.0062442i,0.0032478-0.0059518i,0.003323-0.00037508i,-0.0012399-0.0046163i,-0.0034855-0.00060727i,0.0024573-0.00049275i,-0.0092632+0.025808i,-0.0044448-0.003339i,0.0020557+0.00039385i,0.00015434-0.006509i,0.002671-0.0015438i,-0.015897-0.0036641i,0.00059612+1.605e-05i,0.0051699-0.0031219i,0.0030294-0.001167i,0.00060928-0.0046798i,-0.00039213+0.0057452i,-0.0012043+0.006581i,-0.0031366+0.0044851i,-0.011746+0.0022378i,-0.015038-0.0015197i,-0.039335+0.055658i,0.0008461+0.005264i,-0.025007-0.017032i,-0.0070473-0.0075075i,0.010184+0.019041i,-0.0024646+0.022865i,-0.00036365-0.00081259i
0.0099705+0.016902i,0.022142+0.047493i,0.02991+0.031292i,0.022159+0.025593i,0.030539+0.023875i,0.030074-0.01996i,0.015303-0.012127i,0.030242+0.0011418i,0.014179+0.010984i,0.0037893+0.0039669i,0.0053756+0.0015583i,0.0042296+0.0031882i,0.0061311+0.001633i,0.0056046+0.0024232i,0.0021046-0.003905i,0.0067286-0.0030002i,0.0061894-0.0068466i,-0.00094498-0.0012239i,-0.0027536+0.0011823i,0.00057202+0.00056825i,-0.0013465-0.0002823i,-0.0024706+0.0018511i,-0.001559+0.00098942i,0.0083577+0.0052334i,0.0013582+0.0012607i,0.0029511-0.00056707i,0.0020264+0.00013473i,0.0014778+0.00084374i,0.00026332+4.9946e-06i,-0.00029707+0.00091765i,-0.0024199-0.0014332i,-0.0011986-0.0005992i,-0.00075217+0.0012495i,-0.00083177+0.00067131i,-0.0014867-0.0005248i,-0.0040479+0.0090697i,0.0011814-0.00025986i,0.00084382-0.00075631i,0.00048159+0.0020852i,-0.0013062-0.0032326i,-0.0011689+0.00046106i,-0.0021357+0.00025906i,0.0019246+0.0012059i,0.0069642+0.0033732i,-0.008602+0.035928i,-0.069673+0.048926i,-0.047657+0.047241i,-0.027438+0.063144i,-0.0029265+0.070181i,0.0017251+0.049861i,0.010412+0.030944i,-0.0026003-0.0062651i,-0.038174+0.01118i,-0.036642+0.021171i,0.0080266+0.022056i,-0.0083081+0.0049585i,-0.0098108+0.0049989i,-0.013291+0.0019776i,0.0012953-0.00087268i,0.0078402+0.0089503i,0.0019869+0.011143i,-0.013427-0.010015i,0.00099957-0.0077188i,-0.0061115-0.0029951i,-0.0014701-0.0060672i,0.0013161-0.0054138i,0.0028267+0.0079469i,0.0061498-0.0066022i,0.00071181-0.0068479i,0.00038151-0.0037062i,0.0040776-0.001695i,-0.00249-0.0038213i,-0.001415+0.0013566i,0.0026917-0.00081228i,0.0041207+0.026023i,-0.0050872-0.0025508i,0.002551-0.0017292i,-0.0030177-0.005998i,0.0029932-0.002475i,-0.014859+0.0035513i,0.00094778+0.00056128i,0.0034362-0.0029059i,0.0031561-0.0024226i,-0.00058769-0.0046028i,0.0012386+0.0025806i,0.001794+0.005516i,-0.00051626+0.0056434i,-0.010462+0.0058824i,-0.01596+0.0019611i,-0.028863+0.056859i,0.0011267+0.0057418i,-0.028768-0.011759i,-0.0097138-0.01003i,0.012703+0.017496i,0.0019275+0.024832i,-0.0028834-0.0019347i
0.011171+0.014132i,0.02847+0.040983i,0.03551+0.024605i,0.028018+0.020729i,0.036429+0.018087i,0.025471-0.025507i,0.011728-0.015165i,0.030113-0.0048345i,0.015624+0.0081488i,0.0042738+0.0025672i,0.0052543-0.00023662i,0.0050459+0.0029043i,0.0060324+2.5014e-05i,0.0060451+0.00068778i,0.00088068-0.004111i,0.0051236-0.0039247i,0.0036485-0.0075674i,-0.0013301-0.0013397i,-0.0025531+0.0018567i,0.00039257-0.00049249i,-0.001886-0.00018052i,-0.0017782+0.0024157i,-0.0014649+0.0010956i,0.0091001+0.00087884i,0.0021296+0.00068945i,0.0021386-0.0017295i,0.0016086-0.00060327i,0.0018605+1.8005e-05i,0.00018792+0.00013864i,-0.00014965+0.001079i,-0.0027985-7.3748e-05i,-0.0018393+0.00033028i,-0.00017305+0.0015497i,-0.00048744+0.00096501i,-0.001156+0.00059912i,-0.001154+0.0096626i,0.00076082-0.00042385i,0.00047991-0.001053i,0.0010076+0.0014091i,-0.0023154-0.0024917i,-0.0010603+0.00054709i,-0.0018684+0.0008827i,0.00216+0.0016028i,0.0078706+0.001783i,-0.00040501+0.036159i,-0.057283+0.059462i,-0.039203+0.055412i,-0.016335+0.064253i,0.011715+0.063454i,0.011569+0.047828i,0.0097567+0.027665i,-0.0080879-0.0070954i,-0.038735+0.016638i,-0.029638+0.020167i,0.012643+0.017398i,-0.0076382+0.0070416i,-0.0077161+0.0080869i,-0.012164+0.0049813i,-0.00063813-0.0025435i,0.01003+0.0072025i,0.0069222+0.010882i,-0.017388-0.0050422i,-0.0012212-0.0052573i,-0.0052792-0.00034352i,-0.0033003-0.0039663i,-0.0011484-0.0047868i,0.0050043+0.0068182i,0.0038447-0.0069624i,-0.0033071-0.0047889i,0.00051065-0.0016093i,0.003677-0.0043047i,-0.0041596-0.0026918i,-9.8019e-05+0.00085403i,0.002219-0.0015225i,0.014877+0.019705i,-0.0062758-0.00082293i,0.0021747-0.0027943i,-0.0031917-0.0039509i,0.0032001-0.0039683i,-0.010193+0.0087972i,0.00223+0.00033039i,0.0021667-0.0034634i,0.0018319-0.0029503i,-0.0019693-0.003811i,0.00061212+0.0017637i,0.003568+0.0034834i,0.0022223+0.0053894i,-0.0085073+0.0079041i,-0.015844+0.0066956i,-0.020525+0.056427i,0.0048955+0.0055795i,-0.030195-0.0061073i,-0.01311-0.011362i,0.016364+0.014038i,0.0080325+0.025583i,-0.0049211-0.0013809i
0.011865+0.011929i,0.032152+0.034841i,0.038269+0.016678i,0.031794+0.013343i,0.040477+0.0098456i,0.019357-0.029504i,0.0075081-0.016856i,0.028222-0.010702i,0.016761+0.0050545i,0.0042331+0.0017182i,0.0045146-0.00090698i,0.0059027+0.0018659i,0.005188-0.00092879i,0.0055625-0.0009605i,-0.00047983-0.0039254i,0.0035248-0.0042129i,0.00091301-0.0071139i,-0.0015166-0.00093835i,-0.0014983+0.0023622i,-0.00040732-0.00085545i,-0.0021194+0.00067641i,-0.0010634+0.0029214i,-0.0013717+0.001429i,0.0077951-0.0026123i,0.0019686-0.00020694i,0.0010638-0.0018871i,0.0010889-0.00084976i,0.0014101-0.00099513i,0.00023942-8.2082e-06i,0.00020464+0.0012683i,-0.0025894+0.0013839i,-0.0013399+0.0013131i,0.00045954+0.0013339i,-0.00015716+0.00097564i,-0.00051849+0.0012415i,0.0019064+0.0092947i,0.00055075-0.00058168i,-4.5325e-05-0.0012556i,0.00097908+0.0012041i,-0.0028428-0.0015559i,-0.00094815+0.00083202i,-0.0015528+0.0012249i,0.0028718+0.0015762i,0.0082949-0.00013615i,0.0068818+0.033124i,-0.042079+0.067495i,-0.029712+0.061299i,-0.0073725+0.063881i,0.024043+0.052504i,0.021456+0.04191i,0.0086661+0.026617i,-0.014625-0.0051503i,-0.037507+0.023886i,-0.02541+0.017515i,0.015477+0.01123i,-0.0059076+0.009648i,-0.0043962+0.011553i,-0.01063+0.0077472i,-0.0042969-0.0016187i,0.012066+0.0037698i,0.011372+0.0082238i,-0.019343+0.0011657i,-0.0021478-0.0039397i,-0.0035389+0.0012181i,-0.0039557-0.0014636i,-0.0026402-0.0035281i,0.0070788+0.003423i,0.0017161-0.0070745i,-0.0047647-0.00028231i,0.0015699-0.00081429i,0.0013426-0.0059238i,-0.0047436-0.00046503i,0.00082509+0.0010212i,0.0020285-0.0018867i,0.020737+0.0098277i,-0.0062318+0.0021312i,0.0017787-0.0042187i,-0.003165-0.0025402i,0.0016041-0.0061648i,-0.0044973+0.010041i,0.0031784-0.00083509i,0.00090347-0.0026697i,0.00090935-0.0027869i,-0.0021037-0.0023277i,0.00030421+0.0017466i,0.0035743+0.001242i,0.0046025+0.0043657i,-0.0060826+0.0092651i,-0.014131+0.011274i,-0.01305+0.057036i,0.011151+0.00069949i,-0.029163-0.00042735i,-0.018496-0.010936i,0.01731+0.0095968i,0.015004+0.023476i,-0.0050905-0.00083661i
0.012988+0.010144i,0.035687+0.029672i,0.039556+0.0096934i,0.033026+0.005724i,0.041914+0.00096725i,0.013363-0.031923i,0.00348-0.016815i,0.025252-0.015578i,0.017501+0.0017941i,0.0041675+0.00098794i,0.0039636-0.0012986i,0.0064767+0.00045851i,0.0046677-0.0012243i,0.0047006-0.002184i,-0.0015902-0.0030723i,0.0022811-0.0038091i,-0.000682-0.0059882i,-0.0019313-0.00047933i,-0.00081584+0.0021778i,-0.001116-0.00061074i,-0.0019083+0.0013538i,0.00012335+0.0031716i,-0.0010891+0.0019129i,0.0055135-0.0048772i,0.0014163-0.00062702i,0.00044941-0.0018423i,0.00067849-0.0010001i,0.00054639-0.0012212i,4.1924e-05-1.7728e-05i,0.00097603+0.0012545i,-0.0015006+0.0023357i,-0.00056439+0.0017601i,0.00085496+0.00090215i,0.00021243+0.0011777i,0.0003062+0.0013873i,0.0044956+0.0078986i,0.00019396-0.00058427i,-0.00066564-0.001114i,0.001432+0.0009532i,-0.0031002-0.00045735i,-0.00059416+0.00088587i,-0.0011583+0.0014225i,0.0036374+0.00099855i,0.0076308-0.002378i,0.011891+0.028483i,-0.025856+0.070569i,-0.017831+0.065996i,0.0021874+0.06346i,0.03005+0.039245i,0.027682+0.034185i,0.0092315+0.028122i,-0.018572+0.001837i,-0.033729+0.033183i,-0.024564+0.015283i,0.01437+0.0053243i,-0.0026893+0.011598i,0.00088883+0.011896i,-0.0085416+0.010189i,-0.0055153+0.0017226i,0.012342-0.0014724i,0.014362+0.0035154i,-0.019067+0.0072775i,-0.0024333-0.0019163i,-0.0023193+0.0016701i,-0.0027869+0.00020662i,-0.0039815-0.0014048i,0.0068735+0.00057228i,-0.00026985-0.0066787i,-0.0030664+0.0032166i,0.0029083-0.0016816i,-0.0013409-0.0060339i,-0.0036989+0.0011654i,0.0021287+0.00031303i,0.0017441-0.0023045i,0.021151+1.3565e-05i,-0.0039003+0.004322i,0.00021526-0.005462i,-0.002592-0.0020961i,-0.00079542-0.0069026i,-0.00043997+0.009015i,0.0028959-0.0023183i,0.00097972-0.0012953i,0.00086112-0.0022581i,-0.001214-0.0018299i,0.00078328+0.0021819i,0.0021925-0.00024842i,0.0054025+0.0019345i,-0.0038182+0.0092055i,-0.01018+0.01547i,-0.0048415+0.056858i,0.012273-0.010144i,-0.025827+0.0018531i,-0.023905-0.0082549i,0.01789+0.0055181i,0.020461+0.017141i,-0.0062886-0.0010917i
0.014364+0.0080073i,0.039298+0.023979i,0.040579+0.0025397i,0.032893-0.0017894i,0.041794-0.0075728i,0.0070446-0.033467i,0.00060554-0.016047i,0.021744-0.019721i,0.017907-0.001911i,0.0038235+0.00029463i,0.0039431-0.0015926i,0.006637-0.0010437i,0.0049366-0.0017347i,0.0036337-0.0029935i,-0.0021539-0.002196i,0.001735-0.0031712i,-0.0014713-0.00535i,-0.0017789+2.1521e-05i,-0.00031071+0.0021275i,-0.0014722-7.579e-05i,-0.0013124+0.0018438i,0.0014364+0.0026808i,-0.00041539+0.0022582i,0.0024934-0.0059424i,0.0012035-0.00083591i,-0.0002291-0.0017666i,0.00027128-0.0011271i,8.5122e-06-0.0011321i,-2.9485e-05+0.00012398i,0.0014526+0.00065493i,-0.00032361+0.0025793i,0.00026847+0.0017885i,0.00092904+0.0005112i,0.00076309+0.0009058i,0.00083913+0.0007062i,0.0060321+0.0058991i,-1.1776e-05-0.0004033i,-0.00095163-0.00059096i,0.0014355+0.00044593i,-0.0028099+0.00041967i,-0.00041858+0.00092249i,-0.00071963+0.0014869i,0.0041142+0.00023732i,0.0063198-0.0040314i,0.015325+0.023747i,-0.011154+0.069247i,-0.0041839+0.066314i,0.012128+0.0613i,0.032057+0.027257i,0.031494+0.026416i,0.012427+0.030358i,-0.017498+0.010781i,-0.024858+0.042676i,-0.025667+0.016059i,0.012137+0.0021624i,0.0012492+0.01171i,0.0047402+0.0099806i,-0.0056607+0.012449i,-0.0046338+0.0041101i,0.0096132-0.0069894i,0.014573-0.0025969i,-0.016316+0.012217i,-0.0016433-0.0007905i,-0.0013157+0.0013318i,-0.0017032+0.00047188i,-0.003288+0.0012845i,0.005542-0.0012206i,-0.001818-0.0053774i,0.00029283+0.0046425i,0.002932-0.0035148i,-0.0035367-0.0046041i,-0.0026271+0.0018942i,0.0022921-0.001165i,0.0017406-0.0025539i,0.017534-0.0082689i,-0.0014114+0.0048412i,-0.0020396-0.0053188i,-0.0028952-0.0017402i,-0.0032282-0.006207i,0.0019861+0.0073191i,0.0025619-0.003515i,0.0025799-0.0014386i,0.00094879-0.0030868i,-0.00075769-0.0024698i,0.0015021+0.002268i,0.00076064+0.00033674i,0.0049238+0.0003523i,-0.0025366+0.0086669i,-0.0043992+0.017325i,0.0034129+0.055336i,0.0060774-0.018994i,-0.024089+0.00077192i,-0.028781-0.0023877i,0.016378-0.00018676i,0.021996+0.010393i,-0.007312+3.987e-05i
0.015634+0.0054773i,0.041835+0.017461i,0.039594-0.0058139i,0.030328-0.0096756i,0.039984-0.016607i,0.00033341-0.033412i,-0.001381-0.015228i,0.017592-0.023364i,0.017114-0.0057403i,0.0035036+0.00036027i,0.0034718-0.002172i,0.0063252-0.0030644i,0.0047422-0.002972i,0.0024235-0.0035109i,-0.002514-0.0011847i,0.0016292-0.0028956i,-0.0025945-0.0048372i,-0.0019826+0.00047314i,0.0004517+0.0018735i,-0.0017974+0.00057949i,-0.00089343+0.0020122i,0.0022423+0.001638i,0.00022552+0.0023113i,-0.00061353-0.0054713i,0.00074999-0.0015631i,-0.00085113-0.0012114i,-0.00025375-0.0011327i,-0.00034093-0.00084193i,0.00022457+0.0002451i,0.0013805+8.3948e-06i,0.00093507+0.0023115i,0.00084002+0.0015952i,0.00082282+0.00024943i,0.00099704+0.00052607i,0.0007165-9.784e-05i,0.0067968+0.0038897i,-0.00018898-0.00023924i,-0.0010734-0.00026338i,0.0013845+0.0001244i,-0.0022808+0.00095704i,-0.00022775+0.00098163i,-0.00027719+0.0013803i,0.004352-0.0010592i,0.0047392-0.005014i,0.017408+0.019327i,0.0018666+0.065621i,0.0079151+0.062223i,0.021714+0.057418i,0.030576+0.017154i,0.033391+0.019528i,0.018456+0.030702i,-0.010301+0.01706i,-0.011581+0.047323i,-0.025838+0.019712i,0.010021+0.00050137i,0.0044402+0.010117i,0.0070066+0.00678i,-0.001917+0.013316i,-0.0039328+0.00557i,0.0032311-0.0096277i,0.01123-0.0076766i,-0.012564+0.015702i,-0.00067275-0.0013004i,-0.001024+0.00081846i,-0.0012979+0.00036277i,-0.0010079+0.0027062i,0.0043057-0.0014361i,-0.0025348-0.0043989i,0.0032643+0.0037577i,0.0015491-0.0053807i,-0.0046176-0.0026862i,-0.0013342+0.0023125i,0.0014748-0.0024546i,0.0013142-0.0035515i,0.011495-0.013055i,0.00059124+0.004502i,-0.0033514-0.0042095i,-0.0025923-0.0013204i,-0.0047738-0.0048288i,0.0035275+0.0055279i,0.0017019-0.0051266i,0.0030625-0.0031452i,-7.8502e-05-0.0037088i,-0.0016985-0.00312i,0.0027536+0.0021654i,0.00066591+0.0019303i,0.004479-0.00076657i,-0.0017253+0.0085547i,0.00058514+0.016392i,0.011375+0.053468i,-0.002789-0.023611i,-0.026592-0.00059516i,-0.030053+0.005635i,0.011019-0.0038007i,0.022541+0.0046087i,-0.006567+0.00069046i
0.016731+0.0022335i,0.043888+0.011382i,0.036252-0.012955i,0.025004-0.015465i,0.035382-0.024995i,-0.0055284-0.031681i,-0.0028797-0.014485i,0.012733-0.025826i,0.015897-0.0093152i,0.0040014+0.00053956i,0.0031211-0.0023413i,0.0048991-0.0047284i,0.0040525-0.0040201i,0.0013371-0.003513i,-0.0023131-0.000177i,0.0014673-0.0027456i,-0.0041179-0.003534i,-0.0018049+0.0012909i,0.00084679+0.0010985i,-0.0015488+0.0017357i,-0.00030455+0.0023509i,0.0022914+0.00041312i,0.00087258+0.0022328i,-0.0027813-0.0036048i,-0.00052746-0.0014902i,-0.00098383-0.00062847i,-0.00065277-0.00087815i,-0.00060183-0.0005174i,0.00029285-8.5525e-05i,0.001184-0.00037414i,0.001844+0.001473i,0.0012849+0.0011206i,0.00085184-3.0394e-05i,0.0010821+0.00016008i,0.00020432-8.0219e-05i,0.0068466+0.0018169i,-0.00020446-6.4334e-05i,-0.0011989+0.00016083i,0.0013192-0.00012861i,-0.0015759+0.0012649i,3.393e-05+0.0011099i,7.9492e-06+0.0011761i,0.0037399-0.0025691i,0.0030071-0.0052249i,0.018517+0.014957i,0.013161+0.05948i,0.01666+0.056626i,0.030673+0.051869i,0.027591+0.0099477i,0.033868+0.013109i,0.024489+0.028281i,-0.0024123+0.017773i,0.0023835+0.046728i,-0.023794+0.024233i,0.0089775-0.00029073i,0.006961+0.0077293i,0.0074529+0.0038548i,0.0020598+0.012676i,-0.0025315+0.0074081i,-0.0026153-0.0079245i,0.0069461-0.0097692i,-0.0080059+0.018058i,-0.0011643-0.0023072i,-0.0013868+0.00082291i,-0.0011874+0.00056878i,0.0015987+0.0025688i,0.0035279-0.0017694i,-0.0035208-0.0035199i,0.0047353+0.001516i,-0.0014237-0.0062758i,-0.0045726-0.00075624i,4.3236e-05+0.0017388i,0.00091301-0.0031476i,0.00018262-0.0047713i,0.0052326-0.01435i,0.002202+0.0035522i,-0.0041938-0.0033662i,-0.0032919-0.0013572i,-0.0060717-0.0030366i,0.0038429+0.0041233i,-0.00032776-0.0064904i,0.0027592-0.0048598i,-0.0010612-0.003321i,-0.0023862-0.0027441i,0.0032028+0.0017153i,0.001761+0.0027981i,0.0034089-0.0016691i,-0.00064119+0.0091075i,0.0044323+0.013832i,0.020212+0.050591i,-0.01304-0.024922i,-0.030681+0.0012063i,-0.027371+0.013443i,0.0064193-0.0033736i,0.020556-0.0016081i,-0.0060761-0.00068261i
0.016861-0.0017145i,0.045547+0.0040092i,0.032228-0.018359i,0.019711-0.018422i,0.029321-0.031555i,-0.010142-0.02941i,-0.0040183-0.014239i,0.0080115-0.027319i,0.013794-0.012872i,0.0048165-0.00021288i,0.0031358-0.0028229i,0.003092-0.0054094i,0.0029468-0.0052526i,0.00056641-0.0033286i,-0.0018137+0.00041507i,0.0014682-0.0025062i,-0.0045657-0.0015735i,-0.0012459+0.0014324i,0.00065771+0.00042962i,-0.00066037+0.0022815i,0.00039048+0.0023076i,0.0019051-0.0004218i,0.0015728+0.0018225i,-0.0038031-0.0010052i,-0.00101-0.00073473i,-0.00093593-0.00024481i,-0.00091091-0.0006296i,-0.00059107-0.00013257i,1.7058e-05-7.6944e-06i,0.00080086-0.00072424i,0.0024366+0.00038439i,0.0013667+0.00067467i,0.0008801-0.00029377i,0.0011562-0.00010268i,0.00011721+0.00025612i,0.0062131+7.9964e-05i,-0.00016176+0.00015412i,-0.00108+0.00067701i,0.0011935-0.00060416i,-0.00081764+0.0014966i,0.00045099+0.0009715i,0.00016638+0.00091415i,0.0025195-0.0035432i,0.0014458-0.0049186i,0.018918+0.010877i,0.020677+0.051145i,0.023469+0.051305i,0.038136+0.044168i,0.024216+0.0046216i,0.033429+0.0087905i,0.029825+0.024443i,0.0041622+0.01657i,0.014376+0.041525i,-0.019577+0.028876i,0.0084137-0.0014732i,0.0085387+0.0043809i,0.007712+0.0015843i,0.0056374+0.010487i,0.00027115+0.0080308i,-0.0058842-0.0044239i,0.0025508-0.010146i,-0.0025807+0.017998i,-0.0026647-0.0022862i,-0.0022106+0.0016979i,-0.0009932+0.00079072i,0.0032202+0.0011462i,0.0028337-0.0010051i,-0.0039805-0.0020184i,0.0047177-0.00087044i,-0.0040589-0.0049303i,-0.0035054+0.00062055i,0.00038285+0.00057226i,0.00018924-0.0040408i,-0.0017785-0.0049838i,0.00010599-0.013555i,0.0034387+0.0018683i,-0.005485-0.0019519i,-0.0038755-5.9583e-06i,-0.006169-0.00036254i,0.0045826+0.0033983i,-0.0034481-0.0065509i,0.0016733-0.006836i,-0.0017188-0.002973i,-0.0029379-0.002914i,0.003944+0.0012467i,0.0032224+0.0026214i,0.002318-0.0012266i,0.0008147+0.0091844i,0.006508+0.01065i,0.029079+0.045041i,-0.023765-0.021352i,-0.033745+0.0050009i,-0.021984+0.018146i,0.0043072-0.0021872i,0.016093-0.0056386i,-0.0082521-0.0013894i
0.015658-0.0054447i,0.045683-0.0039953i,0.028025-0.022912i,0.015279-0.020064i,0.022388-0.036618i,-0.014626-0.026938i,-0.0054841-0.014921i,0.0032544-0.028264i,0.010773-0.015878i,0.0051786-0.0013936i,0.0029708-0.0038127i,0.0014043-0.0054279i,0.0011641-0.0059842i,-9.5247e-05-0.00317i,-0.0014364+0.00056771i,0.0016554-0.0026341i,-0.0042256+0.00012282i,-0.00091931+0.0013414i,0.00051195+0.00021054i,0.00012872+0.0023336i,0.001009+0.0021132i,0.0014155-0.00082541i,0.002005+0.0010942i,-0.003023+0.0015117i,-0.00084084-0.00014194i,-0.00085203+0.00018624i,-0.0010782-0.00035734i,-0.00053236+1.347e-05i,5.8984e-05+0.0001371i,0.00018724-0.00087401i,0.0024396-0.00085356i,0.0014554+0.00036015i,0.00071084-0.00052091i,0.0010471-0.00070041i,0.00036986+0.00052642i,0.0054278-0.0010427i,3.4276e-05+0.00021328i,-0.00070199+0.0011307i,0.00055613-0.00070508i,6.2117e-05+0.0012793i,0.00069878+0.000813i,0.00021054+0.00087972i,0.00098-0.0036556i,0.00053049-0.0038665i,0.018828+0.0078726i,0.024991+0.044534i,0.029864+0.045826i,0.042876+0.036517i,0.020078+0.00033633i,0.03463+0.0052537i,0.034256+0.019283i,0.010603+0.012928i,0.023962+0.032959i,-0.012774+0.032269i,0.0075404-0.0028223i,0.0081156-0.00025763i,0.0078518-0.0011367i,0.0074813+0.007009i,0.0021428+0.0071573i,-0.0072647+4.9826e-05i,-0.0012907-0.0088191i,0.0015745+0.015653i,-0.0038446-0.0010306i,-0.0021211+0.0036294i,-0.00083434+0.001043i,0.0040123-0.00096535i,0.0038016+0.00042977i,-0.0034097-0.00075445i,0.0041079-0.0016672i,-0.0051449-0.0028244i,-0.0023076+0.0010692i,4.39e-05+0.00022619i,-0.00211-0.0048171i,-0.0034342-0.0038779i,-0.0041356-0.012143i,0.0035827-0.0001906i,-0.0058267+0.00012846i,-0.0029576+0.0011582i,-0.005301+0.0015356i,0.0056141+0.0024946i,-0.0059853-0.0045665i,-0.0010178-0.0081861i,-0.0025797-0.002372i,-0.0044449-0.0025775i,0.0050932-0.00035764i,0.0047405+0.0022703i,0.0026198-0.00095396i,0.0027433+0.0092651i,0.0067851+0.0075212i,0.036411+0.037197i,-0.030479-0.012516i,-0.036346+0.010948i,-0.016154+0.020898i,0.0024108-0.00051962i,0.011915-0.0063163i,-0.0096834-0.00062919i
