-0.024871-0.0042174i,-0.023701+0.0024365i,-0.016577-0.0064154i,-0.029617-0.012541i,-0.027821+0.0032282i,-0.040053-0.0059716i,-0.064695-0.033201i,-0.033708-0.017192i,-0.029579-0.0034604i,0.0061679+0.003395i,-0.003726+0.0072876i,-0.0058498+0.013017i,0.0057151+0.011233i,-0.0026377+0.0030037i,0.0045277+0.0043193i,0.0038653+0.025927i,0.025788+0.023799i,0.0010497-0.00084105i,0.00073099-0.0053557i,0.0063093-0.0009348i,0.0054867+0.0012172i,0.0027593+0.0019872i,0.0013885-0.00040436i,-0.03279-0.0024881i,-0.0048496-0.0061004i,-0.0007197+0.0026177i,0.0028739-0.0024244i,-0.00075855+0.00077754i,-0.00095198+0.0013053i,-0.0014144-0.0031385i,-0.0038643-0.0016667i,-0.0074011-0.0068746i,-0.0051245-0.0025451i,-0.00026727+5.7653e-05i,0.0020425-0.0031537i,0.00096643+0.023649i,0.0012953-0.0029896i,9.3888e-05-0.0023246i,0.0048404-0.0025882i,-0.0026384-0.0016306i,0.00073235+0.00037321i,0.0065488-0.0022103i,0.0033554-0.0016105i,-0.00090378+0.003027i,-0.013195+0.016825i,-0.028804+0.055136i,-0.0032663-0.037278i,-0.013846-0.016323i,-0.034123-0.013794i,-0.027622-0.01503i,0.043543-0.0063963i,0.0078923-0.033038i,0.014325-0.041038i,-0.010333-0.029614i,0.025123-0.023939i,0.012655+0.006094i,0.027994-0.033007i,-0.002849-0.0045337i,0.0068439-0.0080847i,-0.0014074-0.0066262i,0.0037151-0.036989i,-0.012232+0.030047i,0.0066532-0.012376i,-0.0094991-0.0044823i,-0.0031929-0.0020496i,0.00049288-0.013879i,-0.0079005+0.0055398i,0.0040928+0.0073401i,-0.0020746+0.028878i,0.001975+0.00040931i,-0.0074192-0.0051407i,-0.0030407-0.006365i,-0.01397-0.0089228i,-0.0021888-0.0066558i,-0.035507+0.0057913i,-0.0046021-0.0093812i,-0.013254-0.0021063i,-0.010277-0.0059823i,0.0012674-0.0017023i,-0.013468+0.0016738i,-0.0013652-4.7773e-05i,0.0059276+0.0066898i,0.0035139-0.005131i,-0.013674-0.011475i,0.0079138+0.0085342i,-0.017437+0.0052984i,0.0047495-1.3405e-05i,-0.019223-0.0026751i,-0.017909-0.0036899i,-0.016961-0.033148i,0.021078-0.0092848i,-0.037722-0.023666i,-0.0085079+0.0048161i,0.017524+0.015586i,-0.022762+0.017249i,-0.0033339-0.0043008i
0.0063277-0.0097599i,0.0089971-0.0089804i,0.0084891-0.0025304i,0.011178+0.0031219i,0.016048-0.0027606i,0.013582-0.015995i,0.018146-0.0017909i,0.013295+0.0033117i,0.0046735-0.0085863i,-0.0020142+0.0023961i,-0.0016242+0.00062509i,-0.0022582+7.2599e-05i,-0.00085505+0.0034285i,-0.0017051+0.0025008i,0.0014486+0.0021596i,0.0022797-0.0010813i,0.0020283-0.0025413i,0.00070025-0.0014277i,0.00036908-0.00034009i,-0.00019128-0.00059635i,0.00023971-0.0020583i,-0.0019696-0.0010417i,-0.0015922-0.00030944i,0.0070459+0.0062978i,-0.0022098+0.00037646i,-0.0011023+0.0019141i,-0.0017568+0.00029869i,-0.0022286+4.4287e-05i,-0.0017466-0.0017074i,-0.003259+0.00097182i,0.0014559-0.00168i,0.000852+0.00084192i,0.0012498-0.00088717i,0.0015589+0.00039479i,0.00095364+0.00037042i,-0.010783+0.0066428i,-0.0019812-0.00012353i,-0.001275+0.00053776i,-0.0019142+0.00057091i,0.0016101-0.0021932i,0.00052076-0.00023733i,0.00022501-0.00071747i,-0.0018149+0.0022764i,0.003255+0.00056394i,-0.0022957-0.014032i,-0.027481-0.0051447i,-0.0037676-0.0080992i,-0.0066838+0.0036999i,0.014896+0.021382i,-0.0011938+0.00566i,0.012006-0.020986i,-0.0091304-0.030189i,-0.0046693-0.014212i,0.0079799-0.0075718i,0.018824+0.01681i,0.002038+0.0018412i,-0.00068909-7.4631e-05i,-0.0065839-0.00044622i,0.012057-0.0022044i,0.013438+0.0084116i,0.0010654+0.0053327i,-0.0051244-0.0073522i,0.0054441-0.0031173i,-0.0042304-0.0065449i,0.0034194-0.011779i,0.0069477-0.0059295i,-0.00043247+0.0070532i,0.011642-0.0081944i,0.0056891-0.0087577i,0.00042056-0.0064022i,-0.0026357-0.001373i,-0.006361-0.0070427i,-0.0081546-0.001142i,-0.0004396-0.0016232i,-0.0080595+0.029925i,-0.010566-0.0029873i,0.00037436+0.0032652i,-0.0032007-0.0049279i,0.00033149+0.0011599i,-0.0163+0.0014292i,-0.0033697+0.0018555i,-0.0013057-0.0027373i,-0.0039859-0.00067523i,-0.0056465-0.0026436i,-0.0012275+0.0048472i,-0.0020073+0.0024403i,-0.0056851+0.0059913i,-0.0057405+0.00046238i,-0.0033824-0.0018065i,0.0090653-0.0039535i,-0.0040586+0.018544i,-0.028084-0.0029156i,-0.010723-0.0025272i,0.012123+0.016057i,-0.0025147+0.017029i,-0.007355-0.0057496i
0.0050644-0.011377i,0.0075731-0.010719i,0.0082604-0.0036042i,0.011166+0.001806i,0.016122-0.0055959i,0.010369-0.018313i,0.016062-0.0052357i,0.013395+0.00099915i,0.0029352-0.0097018i,-0.001187+0.0026522i,-0.0008781+0.0013688i,-0.0025798+0.0013617i,0.00027507+0.0035264i,-0.00067196+0.0032241i,0.0018514+0.0018579i,0.0015614-0.00079592i,0.00059416-0.0026008i,0.00076902-0.0014332i,0.00029656-0.0012081i,-9.7903e-06-0.00099053i,-0.00024469-0.0022598i,-0.001982-0.00057933i,-0.0015086-0.00034835i,0.010077+0.0024587i,-0.0025688+0.0019945i,-3.4765e-05+0.002229i,-0.0017401+0.00099215i,-0.0022242+0.00099408i,-0.0030146-0.00065721i,-0.0027616+0.0025923i,0.00050098-0.0018581i,0.0008526-0.00012125i,0.00057712-0.0012463i,0.0014503-0.00024475i,0.0008355+0.00061858i,-0.0079481+0.0095526i,-0.0022225+0.00068849i,-0.0011365+0.0011984i,-0.0019045+0.0012349i,0.0008262-0.0024485i,0.00072144-0.00055326i,-0.00013742-0.00071742i,-0.0013529+0.0026932i,0.0026253+0.0003427i,-0.0032906-0.012891i,-0.024728-0.0022309i,-0.0057202-0.0048296i,-0.003225+0.0021642i,0.02344+0.015068i,0.0032557+0.0035023i,0.0030126-0.024083i,-0.018612-0.030828i,-0.010081-0.015142i,0.010869-0.014379i,0.020308+0.0096622i,0.00077834+0.000744i,-0.00049636+0.0023709i,-0.005955+0.0016133i,0.0091676-0.0062726i,0.014825+0.0051893i,0.0042248+0.0074172i,-0.0096395-0.0052649i,0.0019577-0.0046482i,-0.0050867-0.0041012i,-0.0025008-0.01077i,0.0040639-0.0077749i,0.003221+0.0050258i,0.0066039-0.010442i,0.00089659-0.0086777i,-0.0029887-0.0032324i,-0.0013807-0.00040109i,-0.0080292-0.0047588i,-0.0059676+0.0025285i,-2.7893e-05-0.0011865i,0.0068731+0.02819i,-0.01171+0.00071282i,0.0012262+0.0016115i,-0.0055923-0.0030346i,0.0011878+0.00047423i,-0.01414+0.0087664i,-0.0022917+0.0029362i,-0.0022126-0.0010222i,-0.0026494+0.00049168i,-0.0059935-0.00050049i,0.00013327+0.0025093i,-0.00085806+0.002305i,-0.0021202+0.0080258i,-0.0040122+0.0022196i,-0.00455-0.0010251i,0.0090905-0.010193i,-0.00027115+0.01994i,-0.028351+0.0026557i,-0.012037-0.0038148i,0.013954+0.013467i,0.00011275+0.018917i,-0.009919-0.0048844i
0.002791-0.012734i,0.005216-0.012817i,0.0080625-0.0053208i,0.011698-0.00017657i,0.016035-0.0088014i,0.0067025-0.020361i,0.013357-0.0084274i,0.013213-0.001493i,0.0010647-0.0096754i,-0.00075288+0.0026587i,-0.00030847+0.0011632i,-0.0019802+0.0026284i,0.0010307+0.0029414i,0.00047882+0.0030173i,0.0021942+0.001488i,0.0011332-0.00046982i,-0.00033701-0.0019742i,0.00060724-0.001923i,-0.00034257-0.0014226i,-0.00041742-0.0016285i,-0.0011352-0.0023207i,-0.0016971-0.0001872i,-0.0017788-0.00036119i,0.0097662-0.0028115i,-0.0014103+0.003293i,0.00063052+0.0019926i,-0.0015102+0.0019327i,-0.0017326+0.0019394i,-0.0033191+0.001232i,-0.001575+0.0038185i,-0.00030357-0.0015567i,-3.6163e-05-8.0928e-05i,-5.1053e-05-0.0011484i,0.001122-0.0007263i,0.0011954+0.00088973i,-0.0046463+0.01144i,-0.0020418+0.0019591i,-0.00052618+0.0016449i,-0.0015976+0.0022755i,-2.9483e-05-0.0025318i,0.00080551-0.0010382i,-0.00023335-0.00057273i,-0.00082643+0.0031969i,0.002682+0.00051659i,-0.0032724-0.012064i,-0.022767+0.0014284i,-0.004479-0.00064119i,-0.00040527-0.00087276i,0.030308+0.0053336i,0.0069632+0.001907i,-0.0057144-0.023131i,-0.027022-0.02776i,-0.01474-0.012192i,0.0094938-0.022625i,0.018978+0.0029899i,-0.00085293+0.00067247i,-0.00060458+0.0019558i,-0.0058404+0.0026667i,0.0039612-0.0099713i,0.015557+0.0007565i,0.0080214+0.0066654i,-0.012117-0.0012335i,0.00022797-0.0036661i,-0.005654-0.0013595i,-0.0055394-0.0075864i,0.0011022-0.0078444i,0.0051286+0.0043203i,0.0033088-0.010402i,-0.0030403-0.0065723i,-0.0023647+0.00024621i,-0.0013169-0.0011278i,-0.0099288-0.0014885i,-0.0035063+0.0035276i,-0.00077305-0.0016821i,0.017605+0.020148i,-0.01126+0.0056605i,0.00168+0.00073377i,-0.0048413-0.00051644i,0.001481-0.00092704i,-0.0074152+0.013588i,-0.00051278+0.0039579i,-0.0027499-0.00017626i,-0.0024865+0.0013225i,-0.005745+0.0022719i,-0.00047057+0.002571i,-0.00019799+0.0018049i,0.0015797+0.0078663i,-0.0027961+0.0017646i,-0.0054473+0.0006281i,0.0053965-0.01501i,0.0089258+0.01817i,-0.026624+0.0063267i,-0.013738-0.0041437i,0.016277+0.0090089i,0.005022+0.020602i,-0.011523-0.0032352i
8.4683e-05-0.012985i,0.0018005-0.013547i,0.0069748-0.0070432i,0.011604-0.0028709i,0.014809-0.012624i,0.0022843-0.02131i,0.0099784-0.010215i,0.012373-0.0038346i,-0.00017924-0.0096849i,-0.00036157+0.0028586i,-0.00020667+0.0010899i,-0.00085245+0.0033373i,0.0011589+0.0026145i,0.00093379+0.0029189i,0.0023816+0.0010323i,0.00095343+3.9741e-05i,-0.00080258-0.0010832i,0.00028145-0.002184i,-0.0004244-0.001308i,-0.0013271-0.0017405i,-0.0017305-0.0017723i,-0.0016411-2.2706e-05i,-0.0021628-1.8236e-05i,0.0067942-0.006411i,5.7177e-05+0.0037006i,0.0012186+0.0018977i,-0.00056405+0.0027732i,-0.00093317+0.0025537i,-0.00236+0.0026701i,0.00011216+0.0042827i,-0.00081052-0.0010113i,4.8707e-05+0.00047968i,-0.0004727-0.00084888i,0.00052736-0.0010229i,0.0015417+0.00056037i,-0.00082543+0.012214i,-0.00095754+0.0029867i,0.00010093+0.0016723i,-0.00071459+0.0031391i,-0.00085456-0.0023977i,0.00036738-0.0015956i,-0.00024105-0.00057683i,-4.9625e-05+0.0035764i,0.0029288+0.00045728i,-0.0031625-0.012807i,-0.018298+0.0046109i,-0.00087316+0.0018383i,-0.00083586-0.004774i,0.032948-0.0074644i,0.0098769-0.0029946i,-0.013372-0.018188i,-0.035181-0.021236i,-0.017297-0.0067469i,0.0039982-0.029128i,0.016315-0.0020177i,-0.0014039+0.0020187i,-0.00069835+0.0040863i,-0.0054212+0.0046718i,-0.0029958-0.008864i,0.014931-0.0048342i,0.011206+0.0036301i,-0.012721+0.0032142i,-0.00093669-0.0032564i,-0.0041411+0.0010208i,-0.0068508-0.003548i,-0.0009975-0.0075117i,0.0062938+0.00096567i,0.00050041-0.010298i,-0.0044293-0.0023619i,-0.00080334+0.0017578i,-0.00237-0.0010673i,-0.0094228+0.0029162i,-0.0014917+0.004297i,-0.0016839-0.0015305i,0.022732+0.0093077i,-0.0078039+0.010776i,0.0018537-0.00050478i,-0.0039556+0.001383i,0.00048008-0.0019532i,-0.0010133+0.013322i,0.0019799+0.0032074i,-0.0027022+0.00203i,-0.0017748+0.002796i,-0.0033408+0.0045446i,-0.00010998+0.0028692i,-0.00010296+0.0010794i,0.0051235+0.0063787i,-0.0028166+0.00097043i,-0.0057997+0.0027537i,0.0012339-0.015658i,0.017928+0.0086726i,-0.023678+0.010474i,-0.016631-0.0030121i,0.014944+0.0044871i,0.010752+0.019244i,-0.011037-0.0019186i
-0.0021334-0.012521i,-0.0010984-0.012808i,0.0055987-0.0082128i,0.010991-0.0054692i,0.012408-0.016054i,-0.0018252-0.02129i,0.0069832-0.010607i,0.011226-0.0056865i,-0.001244-0.0096188i,0.00020933+0.0029726i,-0.00025995+0.0011824i,0.00037706+0.0034925i,0.0014107+0.0027835i,0.00141+0.0028212i,0.0025108+0.0006896i,0.0013018+0.00077903i,-0.00058083-0.00040173i,-0.00031736-0.0024537i,-0.00070131-0.0016554i,-0.0021615-0.0012773i,-0.0022323-0.00149i,-0.0015286+0.00021763i,-0.0023247+0.0006332i,0.0030097-0.0079426i,0.0013197+0.0035856i,0.0020009+0.0014941i,0.00058757+0.0030233i,3.0938e-05+0.0028702i,-0.0010998+0.0034795i,0.0019643+0.0040673i,-0.00082923-0.00048505i,0.00031193+0.00069254i,-0.00073436-0.00048465i,-9.6082e-05-0.00071305i,0.0018089+0.00028984i,0.0028709+0.011902i,0.00038817+0.0032945i,0.00058297+0.0015769i,0.00066049+0.0034923i,-0.0015157-0.0019745i,-0.00011576-0.0018681i,-0.00038676-0.00070088i,0.00096979+0.0036233i,0.003003-6.7506e-05i,-0.0045145-0.013902i,-0.01319+0.0051003i,0.0040473+0.0015661i,-0.0028975-0.0060543i,0.029735-0.019782i,0.0094652-0.0081785i,-0.016527-0.010809i,-0.039331-0.010822i,-0.017136+0.00031728i,-0.0040078-0.03163i,0.01216-0.0047918i,-0.00067681+0.0030843i,0.0019286+0.0047402i,-0.0040935+0.006352i,-0.0062379-0.0043873i,0.011038-0.010844i,0.012546-0.00080813i,-0.011517+0.0075773i,-0.0014926-0.0018473i,-0.0025483+0.0016165i,-0.0054281-0.00093159i,-0.0038204-0.0062907i,0.0055318-0.0013026i,-0.0022254-0.009299i,-0.0031351+0.00065395i,0.001157+0.0020564i,-0.0025851-0.00033685i,-0.0066364+0.0059978i,0.0012286+0.0039747i,-0.0021284-0.00027385i,0.022374-0.0013421i,-0.0015527+0.012564i,0.00090447-0.001317i,-0.0022366+0.0018344i,-0.00055626-0.0016757i,0.0033333+0.011222i,0.0029033+0.0017937i,-0.00093089+0.0044132i,0.0005686+0.0036704i,-0.00018755+0.0047902i,0.00087164+0.0031707i,-0.0010127+0.0011372i,0.006824+0.0035738i,-0.0037518+0.00092383i,-0.0046978+0.005103i,-0.00074573-0.015164i,0.018324-0.0054921i,-0.018087+0.01077i,-0.018918-0.00077023i,0.014297+0.0013324i,0.015191+0.014388i,-0.011928-0.0018517i
-0.0040049-0.011668i,-0.0030577-0.011577i,0.0043376-0.0091082i,0.0098366-0.0082843i,0.0095418-0.018777i,-0.0059703-0.020637i,0.0049586-0.010295i,0.010052-0.0072449i,-0.0022042-0.0098314i,0.00066614+0.0028377i,-6.3979e-05+0.001436i,0.0015301+0.0032782i,0.0022644+0.002911i,0.0020615+0.0028935i,0.0027306+0.00023299i,0.0023409+0.0012716i,-0.00010599-0.00032559i,-0.0011182-0.0025835i,-0.0014264-0.0017845i,-0.0027347-0.00046642i,-0.0027226-0.0010333i,-0.0013237+0.00034423i,-0.0022084+0.0013702i,-0.0010512-0.0077525i,0.0027212+0.0030193i,0.0025128+0.00069426i,0.0018126+0.0027643i,0.0011461+0.0029011i,0.00031617+0.0037368i,0.0034664+0.0029829i,-0.00075088-0.00019591i,0.00073402+0.00081503i,-0.00077665+3.716e-05i,-0.00021741-0.00029469i,0.0019981-0.00026409i,0.0061361+0.010455i,0.0017833+0.0030082i,0.0011271+0.0014082i,0.0019194+0.0031352i,-0.0018886-0.0013919i,-0.00080748-0.0019501i,-0.0006934-0.00077567i,0.0019048+0.0033811i,0.0029477-0.00035754i,-0.0063191-0.014635i,-0.0091125+0.0035895i,0.0079193-0.0016765i,-0.0044889-0.0059333i,0.023217-0.029342i,0.0069851-0.011686i,-0.015703-0.0037692i,-0.037854+0.00052662i,-0.012279+0.0076822i,-0.011564-0.029825i,0.0087042-0.0057282i,0.00037961+0.0034078i,0.00384+0.003355i,-0.0021209+0.0078228i,-0.0070526-0.00084841i,0.0043622-0.01506i,0.011064-0.0062243i,-0.0088747+0.0102i,-0.00080965-0.00079032i,-0.00147+0.001308i,-0.0041338+1.1581e-05i,-0.0050673-0.0034969i,0.0040286-0.0024571i,-0.0042396-0.0072273i,-0.0008192+0.0016287i,0.0030046+0.00046907i,-0.0024761+0.00064864i,-0.0036921+0.0070845i,0.0025499+0.0020803i,-0.0013544+0.00090838i,0.017796-0.0096023i,0.0038854+0.011433i,0.0002834-0.00064246i,-0.0013327+0.0020445i,-0.0012406-0.0006065i,0.0067455+0.008479i,0.0037436+0.00062171i,0.0024771+0.0044342i,0.0022218+0.0025686i,0.002327+0.0037472i,0.0016191+0.0031472i,-0.0012597+0.0024118i,0.0069913+0.0011426i,-0.0048205+0.0016435i,-0.0023981+0.0060634i,-0.0022295-0.015534i,0.01091-0.015793i,-0.01524+0.0066345i,-0.021501+0.0030591i,0.011778-0.0031943i,0.016807+0.0093849i,-0.01314-0.00028723i
-0.0055995-0.010373i,-0.0047363-0.010503i,0.0027875-0.010295i,0.0073382-0.011191i,0.0060952-0.021305i,-0.010048-0.018798i,0.0037161-0.010139i,0.0087951-0.0088619i,-0.0033993-0.0098644i,0.00092002+0.0029324i,2.0168e-05+0.0015562i,0.0024843+0.0024105i,0.003117+0.0025124i,0.0028214+0.0025656i,0.0028331-0.00023658i,0.003513+0.00077091i,-5.0626e-05-0.00049541i,-0.0022009-0.0023761i,-0.0020975-0.001371i,-0.0030776+0.00062928i,-0.0033216-0.0002711i,-0.0012357+0.00025338i,-0.0018857+0.0020868i,-0.0044054-0.0058346i,0.003881+0.0013272i,0.0026218-0.00016682i,0.0027977+0.0019438i,0.0023096+0.0024286i,0.0019534+0.0033634i,0.004288+0.0013552i,-0.00053876-6.7689e-05i,0.0010633+0.00068726i,-0.00056619+0.0004625i,-7.5985e-05+4.6178e-05i,0.0017041-0.00099935i,0.0087579+0.0079439i,0.002897+0.0020482i,0.0015714+0.00096938i,0.0031801+0.0023371i,-0.0019856-0.00077599i,-0.0015508-0.0016523i,-0.0009524-0.0005832i,0.0029045+0.0027519i,0.0028355-0.00069278i,-0.0087394-0.014803i,-0.0064635+0.0010957i,0.009412-0.0060541i,-0.0048533-0.0047184i,0.014264-0.035695i,0.0038477-0.013491i,-0.012475+1.3521e-05i,-0.031746+0.00841i,-0.0035854+0.010517i,-0.017097-0.025196i,0.0060531-0.0055977i,0.0014125+0.0029845i,0.0041013+0.0011428i,0.00050754+0.0080426i,-0.0071715+0.0023329i,-0.0047663-0.014471i,0.0070784-0.0095601i,-0.006113+0.012042i,0.0002142-0.0013935i,-0.0012722+0.00079876i,-0.0038948+0.00019214i,-0.0046889-0.0012022i,0.0029472-0.0024681i,-0.0053507-0.005774i,0.00064801+0.00093109i,0.0031062-0.0020381i,-0.0021152+0.0016278i,-0.00030217+0.0074165i,0.0022715+0.0005329i,-0.00050034+0.0006968i,0.010988-0.014024i,0.0081016+0.0083524i,0.0008147-0.00046435i,0.00020457+0.001573i,-0.00085221+8.4586e-05i,0.008293+0.005033i,0.0043234-0.0015344i,0.0046041+0.0026615i,0.0027725+0.0015026i,0.00367+0.0017739i,0.0032328+0.0027471i,-0.00027572+0.0037211i,0.0065916-0.0010177i,-0.0053479+0.0032145i,-0.00047954+0.0057879i,-0.0035627-0.015265i,0.00053841-0.021975i,-0.018218+0.0030839i,-0.021265+0.0086052i,0.0054311-0.0053287i,0.017631+0.004592i,-0.012629+0.00094082i
-0.0062604-0.00888i,-0.0059161-0.0086999i,0.00059836-0.010832i,0.0035522-0.012818i,0.0017288-0.023068i,-0.013176-0.015969i,0.0029904-0.010081i,0.0072037-0.01032i,-0.0045809-0.010045i,0.0016513+0.0032184i,0.00035476+0.0020521i,0.0028335+0.00149i,0.0039822+0.0018033i,0.0036839+0.0020322i,0.002898-0.00086274i,0.004213-5.094e-05i,-0.00056609-0.00055692i,-0.0031543-0.0014839i,-0.0023945-0.00081122i,-0.0027971+0.0020209i,-0.0034417+0.0008962i,-0.0016723+0.00019213i,-0.0012084+0.0027208i,-0.0063906-0.002553i,0.0036213-0.00045381i,0.0023983-0.0010696i,0.0035176+0.00071776i,0.0031486+0.001421i,0.003138+0.0020611i,0.0043766-0.00032548i,-0.00042253-8.4321e-05i,0.0013251+0.00018889i,-0.00014044+0.00070203i,0.00020735+0.00016122i,0.0010658-0.0011911i,0.010233+0.0046287i,0.0034142+0.00066557i,0.0018421+0.00044256i,0.0040466+0.00095116i,-0.0019443-0.00012875i,-0.0020843-0.00096958i,-0.001138-0.00038156i,0.0035125+0.0016172i,0.0027634-0.0012385i,-0.011147-0.014163i,-0.005211-0.0025045i,0.0085989-0.010176i,-0.0038986-0.0042261i,0.0045802-0.037816i,0.00054967-0.013723i,-0.0095945+0.0020173i,-0.024956+0.011796i,0.0051476+0.0082598i,-0.019146-0.019417i,0.0047451-0.005278i,0.0023419+0.0019223i,0.0032784+1.2173e-07i,0.0032563+0.0071951i,-0.0056655+0.0058058i,-0.011467-0.0085272i,0.0024439-0.009957i,-0.0029613+0.01307i,-0.00046426-0.0024497i,-0.0013888+0.00082278i,-0.0039438+0.00095329i,-0.0035704+0.00036551i,0.001845-0.0028408i,-0.0064502-0.0040696i,0.0013742-0.00017508i,0.00081232-0.0037831i,-0.00099638+0.002368i,0.0027571+0.0057776i,0.0024167-0.00042219i,-9.094e-05+0.00045057i,0.0040778-0.015035i,0.010291+0.0039042i,0.00093205-0.0011573i,0.00025677+0.00054597i,-2.2331e-05+0.00036826i,0.0081625+0.0020708i,0.0032189-0.0043787i,0.0060527+0.00045329i,0.0034227+0.00052651i,0.0041849-0.00053345i,0.0039964+0.0013515i,0.001421+0.0040546i,0.0049836-0.0027439i,-0.0051454+0.0055341i,0.00089126+0.0048952i,-0.0039172-0.01503i,-0.011637-0.022659i,-0.022378+0.0038068i,-0.017717+0.013476i,0.00089013-0.0027723i,0.016024-0.00073829i,-0.012211+0.00079376i
-0.0063324-0.008121i,-0.006088-0.0071747i,-0.0013133-0.010497i,0.00014881-0.012576i,-0.002911-0.023642i,-0.015191-0.013048i,0.0027892-0.010798i,0.0053756-0.011578i,-0.006175-0.0098728i,0.0026211+0.0029978i,0.0012455+0.0022765i,0.0028737+0.00076643i,0.004562+0.00050205i,0.00438+0.0010128i,0.0027379-0.001589i,0.004697-0.00083491i,-0.00085863-9.9161e-05i,-0.0034378-0.00041565i,-0.0027421-0.00027855i,-0.0018722+0.0029703i,-0.0032001+0.0019037i,-0.0020616+0.00082937i,-0.0002695+0.003013i,-0.0065451+0.0010504i,0.0028538-0.0015167i,0.0018779-0.0018475i,0.0036022-0.00081525i,0.0034683+9.2015e-05i,0.0033416+0.00080298i,0.0039224-0.0019864i,-0.00026009+1.1015e-05i,0.0010141-0.00028307i,0.00033175+0.0006065i,0.00051348+0.00010455i,0.00065818-0.0010181i,0.010022+0.0013319i,0.0031748-0.00072541i,0.0019941-0.00016234i,0.003995-0.00067279i,-0.0015973+0.00053707i,-0.0021592-0.00023211i,-0.0013261-9.5595e-05i,0.0035024+0.00038286i,0.0023073-0.0018977i,-0.013422-0.013034i,-0.0073442-0.0057289i,0.0061487-0.013186i,-0.0034209-0.004941i,-0.0032428-0.037411i,-0.0016733-0.011777i,-0.0064444+0.0033293i,-0.019213+0.013478i,0.010598+0.0027786i,-0.01849-0.01452i,0.0037299-0.0056804i,0.00252+0.00019857i,0.0030542-0.00072267i,0.0054907+0.004915i,-0.0024262+0.0071166i,-0.013264-0.001443i,-0.0012098-0.0088014i,0.00063727+0.012686i,-0.0021565-0.002572i,-0.0021473+0.0015165i,-0.0035897+0.0021102i,-0.002601+0.0011211i,0.0009572-0.0015798i,-0.0069404-0.0016859i,0.00083534-0.0013024i,-0.0012241-0.0030717i,0.00046305+0.0022513i,0.0039911+0.0031464i,0.002404-0.001774i,0.00023611+0.00050678i,-0.0015328-0.013447i,0.010565-0.00089351i,0.00028563-0.0015101i,0.00025042+0.00065225i,0.00099113+7.1717e-05i,0.0079412-1.3863e-05i,8.2991e-05-0.00591i,0.0062431-0.0027494i,0.0034025-0.001298i,0.0035244-0.0029154i,0.0045015+1.362e-05i,0.0028064+0.0036093i,0.0029326-0.002878i,-0.0036781+0.0071964i,0.0015483+0.0034534i,-0.0039069-0.016216i,-0.022463-0.01725i,-0.025223+0.0067997i,-0.013068+0.014602i,0.0001681-0.00010662i,0.012444-0.004007i,-0.014141+0.00097175i
-0.0069498-0.0078129i,-0.0060112-0.0064244i,-0.0027827-0.0099114i,-0.0023923-0.011577i,-0.0077007-0.023241i,-0.016877-0.010183i,0.002096-0.012863i,0.0031993-0.012508i,-0.0080285-0.0092553i,0.0035161+0.0024326i,0.0022534+0.0018204i,0.0027586+0.00020097i,0.0045005-0.00090514i,0.0046825-0.00019637i,0.0023148-0.0022698i,0.0049299-0.0019922i,-0.00081839+0.00045691i,-0.0034725+0.00058663i,-0.0029129+0.00065423i,-0.00075545+0.0034472i,-0.0025578+0.0030218i,-0.0018748+0.0017412i,0.00059568+0.0029051i,-0.0048639+0.0041054i,0.0020829-0.0021818i,0.0010749-0.0022963i,0.0030584-0.0022515i,0.0031387-0.0012047i,0.0033291-0.00033413i,0.0027103-0.0033513i,-4.6819e-05-0.00010806i,0.00080791-0.00029446i,0.00063514+0.00033204i,0.00074832-0.00029933i,0.00072383-0.00098647i,0.009012-0.0012777i,0.0025687-0.0016972i,0.0019138-0.00085763i,0.0032817-0.0020076i,-0.00090507+0.0010241i,-0.0021261+0.00049703i,-0.0013989+0.00034544i,0.0028947-0.00047433i,0.001536-0.0018758i,-0.015672-0.011585i,-0.010927-0.0059866i,0.0032679-0.014375i,-0.0037212-0.0048955i,-0.010845-0.036546i,-0.0013533-0.0096734i,-0.0032647+0.0029328i,-0.013055+0.013539i,0.014192-0.004306i,-0.016179-0.011951i,0.0025193-0.0062794i,0.0013002-0.002036i,0.0025474-0.001809i,0.005755+0.0019389i,-0.00048612+0.0065179i,-0.011995+0.0051018i,-0.0040431-0.0068915i,0.0032804+0.010247i,-0.0037778-0.0013031i,-0.0020071+0.003289i,-0.0028868+0.0031427i,-0.0012278+0.0013327i,0.0017212+0.00032425i,-0.0060212+0.0001353i,0.00028147-0.0011145i,-0.0018548-0.0020776i,0.0013926+0.0015338i,0.0040201+0.0011867i,0.00068126-0.0031645i,0.00064572+0.00032148i,-0.0059758-0.010688i,0.0088169-0.0049395i,-0.0001648-0.0014976i,0.00099747+0.00030295i,0.0011763-0.0010699i,0.0073374-0.0021567i,-0.0027603-0.0049778i,0.0046262-0.0057791i,0.0021354-0.0023286i,0.0015455-0.004263i,0.0045383-0.0016202i,0.0040503+0.0027224i,0.0021998-0.0024778i,-0.0011856+0.0076734i,0.0011233+0.0020977i,-0.0050424-0.018289i,-0.02741-0.0080489i,-0.027166+0.011704i,-0.0094346+0.014948i,-0.00028076+0.0016297i,0.0090856-0.0046557i,-0.015518+0.0029138i
