-0.023608-0.037552i,-0.01095-0.050805i,-0.018694-0.044386i,-0.030384-0.035337i,-0.030132-0.01594i,-0.050282-0.027434i,-0.057608-0.025934i,-0.044319-0.037467i,-0.030602-0.019391i,0.0083366+0.012399i,-0.0054066+0.015138i,-0.0043838+0.014175i,0.010898+0.020523i,0.00034896+0.0042847i,0.003303+0.0036233i,0.0059768+0.01849i,0.024278+0.035558i,-0.0026703-0.00088519i,-0.0046526-0.0058871i,0.0089625+0.0033918i,-0.00017203-0.00085853i,-0.00094099+0.0012612i,0.00011497-0.00034695i,-0.028473-0.0040072i,-0.0019337-0.0058577i,0.0011126+0.004683i,0.0037489-0.0003823i,-0.00050623+0.00061333i,0.00061189-0.00026142i,-0.00085625-0.0023474i,-0.001956-0.0052668i,-0.0045967-0.0051662i,-0.0022829-0.0041941i,0.0022164-0.00025287i,0.0018181-0.0031903i,-0.00087087+0.026534i,0.0011533-0.0033924i,0.0026056+0.00084944i,0.0061086+0.0012576i,-0.010315-0.0028701i,-0.0037194+0.00046316i,0.0058503+0.0005795i,0.0060638+0.00023651i,-0.0035137+0.0055994i,0.0025787-0.010822i,-0.011291+0.017629i,0.035781-0.090508i,0.011675-0.069977i,-0.015818-0.059654i,-0.015794-0.055558i,0.039129-0.045324i,0.01708-0.062411i,0.03425-0.054946i,0.029785-0.05969i,0.016201-0.013802i,0.0049214+0.016323i,0.017673-0.026178i,-0.010796+0.0049118i,-4.7778e-05+0.0060363i,-0.0050669-0.0015503i,-0.0018656-0.029174i,-0.024914+0.031609i,0.011007-0.01242i,-0.012116-0.0027595i,-0.00015157-0.0049451i,-0.00046079-0.015177i,-0.0073291+0.0050845i,0.0051624+0.00662i,-0.0076587+0.028152i,0.0051762+0.0052679i,-0.0049705-0.00096727i,-0.0031584-0.00079624i,-0.012718-0.0079836i,-0.0010338-0.0047272i,0.0095134+0.035568i,8.0057e-05-0.010083i,-0.0095978-0.0020802i,-0.0064645-0.0031989i,0.0071207+0.0033345i,-0.007596+0.0015349i,-0.00034578-2.7142e-06i,0.0068281+0.012068i,0.0038203+0.0015858i,-0.0081256-0.010311i,0.0031038+0.0081098i,-0.021511+0.003514i,0.008025+0.00026052i,-0.028904-0.0046778i,-0.04127+0.0032028i,0.021493-0.10289i,-0.0011971-0.01322i,-0.052-0.02139i,-0.022019-0.0021576i,0.017908+0.010786i,-0.024933+0.012941i,-0.019848-0.01198i
0.008457+0.021509i,0.014805+0.051647i,0.024464+0.03481i,0.017156+0.027076i,0.024289+0.026593i,0.032269-0.01436i,0.017094-0.0090845i,0.029269+0.0051726i,0.011758+0.012337i,0.0030111+0.0039434i,0.0050571+0.0028484i,0.0043588+0.0031742i,0.0058826+0.0027726i,0.0050267+0.0035209i,0.003031-0.0033113i,0.0080451-0.0011357i,0.01205-0.0030606i,-0.0015725-0.0013258i,-0.0033517+0.00064982i,-1.7465e-05+0.0013576i,-0.0010858-0.00010499i,-0.0025159+0.0011095i,-0.0019017+0.00085541i,0.0047529+0.0080754i,0.0013877+0.00088909i,0.0024197+0.00057467i,0.0019733+0.0011337i,0.0011805+0.0012945i,0.0005167+3.214e-05i,-0.00020043+0.00094555i,-0.002029-0.0035527i,-0.0008246-0.00027711i,-0.0011741+0.00077217i,-0.0011154+0.00024601i,-0.0003189-0.0012286i,-0.0065857+0.0070373i,0.0012013+0.00021i,0.0014907-0.00044905i,-0.0010073+0.0024871i,1.207e-05-0.0037146i,-0.00094284+0.00026767i,-0.0019449-0.0004169i,0.0015862+0.00077413i,0.0059916+0.0057625i,-0.011163+0.03263i,-0.080627+0.034637i,-0.051026+0.037741i,-0.036998+0.05945i,-0.019277+0.072697i,-0.009158+0.050441i,0.015519+0.035156i,0.0026173-0.0025362i,-0.037214+0.009509i,-0.045629+0.019139i,0.0024483+0.02413i,-0.0079104+0.0022072i,-0.010472-0.00059686i,-0.014847-0.0037616i,0.0021482+0.00034486i,0.0053553+0.010708i,-0.0020073+0.0088197i,-0.0062934-0.011656i,0.005005-0.0067849i,-0.0065396-0.007054i,0.0020748-0.0061841i,0.0040591-0.0039931i,-0.0013104+0.0099942i,0.010763-0.0044511i,0.0053361-0.0053969i,0.0027634-0.0068643i,0.0032383-0.00028959i,-0.0010582-0.0046195i,-0.0034525-0.0010214i,0.0026412-0.00056732i,-0.02047+0.018839i,-0.0046398-0.0041028i,0.0021257+0.00037106i,-0.00012573-0.0064303i,0.0022827-0.0014588i,-0.013998-0.0028176i,0.00046242-0.00019071i,0.0061064-0.0032843i,0.0027961-0.00081064i,0.00054274-0.0046404i,0.00013289+0.0062727i,-0.0006604+0.0065589i,-0.0031794+0.0043962i,-0.012115+0.0026759i,-0.015184-0.0013749i,-0.040185+0.056899i,0.00048991+0.0051155i,-0.024767-0.017196i,-0.010696-0.0082463i,0.009662+0.020055i,-0.0018859+0.022267i,-0.00065891-0.00038003i
0.01105+0.017946i,0.022976+0.046949i,0.030095+0.030235i,0.021848+0.02468i,0.030042+0.022612i,0.028976-0.020046i,0.01429-0.012234i,0.029377-3.9593e-05i,0.013281+0.0098891i,0.0040906+0.0026023i,0.0057217+0.0015424i,0.0042255+0.0029912i,0.0059714+0.0017069i,0.0056116+0.0021784i,0.001923-0.0038238i,0.0068224-0.0025689i,0.0093272-0.0062659i,-0.0012799-0.001048i,-0.0029766+0.0006418i,0.00070112+0.00053091i,-0.0012846-0.00022442i,-0.0022267+0.0015316i,-0.001604+0.0010224i,0.0081732+0.0052485i,0.0013098+0.00094862i,0.0028082-0.00052018i,0.001987+0.00011307i,0.0014008+0.00039538i,0.00029815+4.2466e-05i,-0.00012491+0.00083933i,-0.0034247-0.0018887i,-0.0011574-0.00036821i,-0.00087952+0.0011623i,-0.00087075+0.00065005i,-0.00087415-0.00044582i,-0.0035479+0.0084412i,0.00090074-0.00027068i,0.0010798-0.001016i,0.00025486+0.0025046i,-0.0011078-0.0030622i,-0.0009229+0.00035208i,-0.0021176-3.9682e-05i,0.0015218+0.00080851i,0.0063453+0.0047907i,-0.0048146+0.03331i,-0.069073+0.048792i,-0.047068+0.046391i,-0.026841+0.063031i,-0.0030912+0.070066i,0.0014157+0.048337i,0.011346+0.033137i,-0.0033269-0.006555i,-0.037716+0.012086i,-0.037032+0.02099i,0.0079229+0.021956i,-0.008116+0.0047521i,-0.0097936+0.0048077i,-0.015603-4.0927e-05i,0.00095847-0.00072256i,0.0079143+0.010252i,0.0025228+0.011862i,-0.011742-0.0099927i,0.0005903-0.0073926i,-0.006239-0.0030473i,-0.0013925-0.0060285i,0.0015543-0.0053962i,0.0029584+0.0077022i,0.0067629-0.0075117i,0.0019094-0.0053602i,-0.00026941-0.004241i,0.0041138-0.0015347i,-0.0027437-0.0039839i,-0.0017274+0.0010281i,0.0028487-0.0007443i,0.006535+0.031239i,-0.0051907-0.0031913i,0.0027713-0.0018393i,-0.0030202-0.0056818i,0.0026965-0.0023199i,-0.013295+0.002717i,0.00071782+0.0004146i,0.0038835-0.0033153i,0.0030682-0.0019385i,-0.00032686-0.0042323i,0.0022395+0.0026627i,0.0020083+0.0053912i,-0.00056748+0.0056284i,-0.010718+0.0064461i,-0.015869+0.0020136i,-0.029321+0.058432i,0.0006332+0.0057174i,-0.029162-0.011171i,-0.011312-0.0085696i,0.012346+0.019046i,0.0025826+0.023901i,-0.0028352-0.001742i
0.012493+0.015011i,0.0295+0.040322i,0.035372+0.023443i,0.027485+0.020067i,0.035645+0.017062i,0.024362-0.025426i,0.010893-0.014967i,0.028795-0.0056411i,0.01461+0.0074322i,0.0040361+0.0011969i,0.0054947-0.00029829i,0.0050296+0.0027812i,0.0059788+0.00016043i,0.0058854+0.00044084i,0.0007286-0.0039732i,0.0052045-0.0037555i,0.0061708-0.0087849i,-0.0016686-0.00088947i,-0.0025712+0.00077122i,0.00046847-0.00054266i,-0.0018397-0.0001883i,-0.0018065+0.0022346i,-0.0014479+0.0011417i,0.0089584+0.0010155i,0.0018359+0.00040572i,0.0020402-0.0016493i,0.001516-0.00054036i,0.0014419+4.1862e-05i,0.0002532+9.4749e-05i,-0.00013772+0.0010099i,-0.0037287-0.00012594i,-0.0019191+0.00049438i,-0.00015604+0.0014816i,-0.00066067+0.00089286i,-0.00064254+0.00028933i,-0.0011069+0.008781i,0.00061845-0.00039499i,0.00051614-0.0012406i,0.00090922+0.0017723i,-0.0021596-0.0024037i,-0.00084853+0.00046793i,-0.0019961+0.0006064i,0.0016954+0.0011241i,0.0073818+0.0041067i,0.0021635+0.032093i,-0.05614+0.059313i,-0.039198+0.054743i,-0.015722+0.063857i,0.011343+0.063098i,0.010566+0.04643i,0.010431+0.029705i,-0.0087965-0.006569i,-0.037583+0.017562i,-0.030143+0.020073i,0.012431+0.017151i,-0.0076554+0.0068177i,-0.0074584+0.0078732i,-0.012608+0.0038714i,-0.00067945-0.0024174i,0.010901+0.007983i,0.0075839+0.011325i,-0.016019-0.0056594i,-0.0017632-0.0051482i,-0.0050946-0.00031329i,-0.0033862-0.0038522i,-0.0009258-0.0047957i,0.0051578+0.006725i,0.0037875-0.0076504i,-0.0012316-0.0059772i,-0.00016467-0.0019691i,0.003432-0.004263i,-0.0047701-0.0023394i,-0.00032265+0.00083416i,0.0024225-0.0015428i,0.016196+0.018686i,-0.006784-0.0015884i,0.0022544-0.003092i,-0.0031273-0.004145i,0.002819-0.0038312i,-0.0096647+0.0077388i,0.0021089+0.00055731i,0.0021793-0.0036552i,0.001942-0.0025381i,-0.00050159-0.0039322i,0.0011389+0.0014368i,0.0036088+0.003627i,0.0022014+0.0055885i,-0.0085968+0.008642i,-0.016111+0.0061255i,-0.020391+0.057932i,0.0044149+0.005576i,-0.030616-0.0056199i,-0.014051-0.009824i,0.016846+0.01573i,0.0081753+0.024341i,-0.0049986-0.0012658i
0.013428+0.012524i,0.032985+0.03401i,0.037879+0.015631i,0.031244+0.012998i,0.039607+0.0090309i,0.018307-0.029157i,0.0069129-0.01653i,0.026801-0.010767i,0.01573+0.0046703i,0.0035467+0.00053608i,0.0046567-0.0011407i,0.0057938+0.0018723i,0.0052073-0.00084759i,0.0052943-0.0011507i,-0.00051798-0.0037737i,0.0036086-0.0040648i,0.0024372-0.0089044i,-0.001716-0.00047429i,-0.0014829+0.0016159i,-0.00036459-0.00089731i,-0.002089+0.00063618i,-0.0010899+0.00285i,-0.0013698+0.001479i,0.007644-0.002395i,0.001725-0.00026092i,0.0010246-0.0017944i,0.0010104-0.00078683i,0.0010843-0.00084783i,0.00028379-2.2818e-05i,0.00012075+0.0013365i,-0.0033049+0.0016744i,-0.0013869+0.0015625i,0.00047738+0.0011869i,-0.00036478+0.0011501i,-0.00027659+0.00058001i,0.00108+0.0085315i,0.00043278-0.00055782i,9.3248e-05-0.0014412i,0.001097+0.0012823i,-0.0028166-0.0013697i,-0.00073578+0.00062925i,-0.0018378+0.0011886i,0.0022999+0.0011536i,0.0090775+0.0029938i,0.0075826+0.028708i,-0.041098+0.06669i,-0.029826+0.060784i,-0.0067259+0.063308i,0.023386+0.052366i,0.020419+0.041386i,0.0091849+0.027137i,-0.014875-0.0042696i,-0.035903+0.024009i,-0.02573+0.017686i,0.01524+0.011431i,-0.0058988+0.0096173i,-0.0044466+0.011193i,-0.010648+0.0077151i,-0.0042098-0.0016935i,0.013307+0.0038113i,0.011936+0.008433i,-0.018121+5.5971e-05i,-0.0024136-0.0036827i,-0.0033291+0.0010167i,-0.0038823-0.0013034i,-0.0025495-0.0033765i,0.0070276+0.0034921i,0.0010413-0.007655i,-0.00548-0.0018724i,0.00083701-0.0010279i,0.0011856-0.0057903i,-0.0048621-0.00046993i,0.00076527+0.0010438i,0.0022596-0.0021854i,0.020867+0.010001i,-0.0068807+0.001861i,0.001726-0.0044798i,-0.0035224-0.0026855i,0.0014705-0.0058476i,-0.0044481+0.009078i,0.0034212-0.00081348i,0.0011917-0.0027062i,0.0011268-0.0024442i,-0.0024785-0.0042514i,0.00063164+0.0014667i,0.0035165+0.001301i,0.0044718+0.0041504i,-0.006139+0.0099442i,-0.014671+0.010884i,-0.012858+0.058291i,0.010793+0.0011092i,-0.028991+7.5007e-05i,-0.019171-0.0097475i,0.018127+0.010409i,0.014484+0.02279i,-0.0051998-0.00049753i
0.014749+0.010554i,0.036289+0.028941i,0.038914+0.0086531i,0.032646+0.0055927i,0.040944+0.00035198i,0.012421-0.031418i,0.0030165-0.016539i,0.024025-0.015353i,0.01675+0.001831i,0.0031085+4.1681e-05i,0.0040915-0.0015614i,0.00641+0.00060762i,0.004629-0.0012131i,0.0043826-0.0022619i,-0.0015835-0.0029906i,0.0023187-0.0037318i,0.00026232-0.0075769i,-0.0018793+9.8428e-05i,-0.00087042+0.0017873i,-0.0010654-0.0007063i,-0.0018571+0.0013342i,6.9777e-05+0.0031436i,-0.0010283+0.0020173i,0.0055634-0.0047i,0.0012698-0.00063423i,0.00042253-0.0018057i,0.00062946-0.00097709i,0.00039251-0.00072039i,0.00013811-1.4649e-05i,0.0007454+0.0013095i,-0.0020288+0.0028852i,-0.00048068+0.0019065i,0.00075311+0.00079491i,0.00026016+0.0013967i,0.00015266+0.0007267i,0.0040101+0.0067504i,0.00011256-0.00053875i,-0.00044574-0.001369i,0.0014828+0.00089823i,-0.0027908-0.00019479i,-0.00055247+0.0006495i,-0.0012989+0.0017539i,0.0030006+0.00061724i,0.010271+0.00051056i,0.011297+0.024879i,-0.024989+0.069629i,-0.018021+0.065469i,0.0026045+0.062773i,0.029625+0.03915i,0.026824+0.033891i,0.0095651+0.028756i,-0.018179+0.00259i,-0.032343+0.03212i,-0.024899+0.015357i,0.014215+0.0058837i,-0.0026326+0.011863i,0.00087413+0.011658i,-0.008798+0.010476i,-0.0055078+0.0015229i,0.013379-0.0020597i,0.014796+0.0032451i,-0.01807+0.0053067i,-0.0026819-0.0022355i,-0.0023337+0.0012908i,-0.0026012+0.00024057i,-0.0037274-0.0013584i,0.0069613+0.0004534i,-0.0012477-0.0070392i,-0.0039394+0.0032871i,0.0023153-0.0015285i,-0.0014837-0.0058784i,-0.0036082+0.0010563i,0.0022309+0.00012696i,0.0017701-0.0025057i,0.021544+0.0010605i,-0.0046136+0.0043288i,-5.2833e-05-0.0056152i,-0.0029434-0.0020253i,-0.00080888-0.0062698i,-0.00065735+0.0081378i,0.0030478-0.0026479i,0.0011442-0.0015386i,0.0014668-0.0022574i,-0.0015146-0.0018634i,0.0010152+0.0017112i,0.0022779+3.6092e-05i,0.0051806+0.0017667i,-0.0036987+0.0099484i,-0.010981+0.01541i,-0.0041899+0.057948i,0.012422-0.0098662i,-0.025317+0.0021348i,-0.023881-0.0070761i,0.018401+0.0058341i,0.020073+0.016729i,-0.0059125-0.0012019i
0.016154+0.0078573i,0.039835+0.023343i,0.039661+0.0015832i,0.032517-0.0019033i,0.040686-0.0081051i,0.0061665-0.032799i,0.00024423-0.015822i,0.020791-0.019158i,0.0175-0.0020379i,0.0025549-0.00024362i,0.0039207-0.0017885i,0.0066135-0.00091279i,0.0048523-0.0016558i,0.003441-0.0030353i,-0.0020839-0.0020656i,0.001883-0.003262i,-0.0012145-0.0069141i,-0.0016099+0.00051441i,-0.00040602+0.0018353i,-0.0015041-0.00016759i,-0.0012344+0.0017965i,0.0013952+0.0027683i,-0.00029515+0.0023102i,0.0026597-0.0058878i,0.0011062-0.00082932i,-0.00023346-0.0016638i,0.00026146-0.001085i,0.0008518-0.001289i,8.4468e-05+9.5771e-05i,0.0011809+0.00080566i,-0.00045465+0.0032409i,0.00020298+0.0017832i,0.00094228+0.00048827i,0.000927+0.0011492i,0.00048216+0.00034893i,0.0046945+0.0036656i,-2.4829e-05-0.00042646i,-0.00086395-0.00094466i,0.0013879+0.00033605i,-0.0021812+0.00029191i,-0.0004147+0.00062875i,-0.0005743+0.0018859i,0.003226-9.2817e-05i,0.011063-0.0020339i,0.014161+0.020988i,-0.010353+0.067981i,-0.0043883+0.065987i,0.012294+0.060644i,0.031714+0.027192i,0.030697+0.026301i,0.01304+0.030639i,-0.016522+0.010949i,-0.024396+0.041051i,-0.025795+0.016238i,0.012295+0.0027379i,0.0015401+0.011645i,0.0047476+0.0099121i,-0.0056218+0.01289i,-0.0045949+0.0039371i,0.010197-0.0079235i,0.014761-0.0030553i,-0.016586+0.0095826i,-0.0018366-0.0010283i,-0.0012377+0.001142i,-0.0016159+0.00039054i,-0.003173+0.0015001i,0.0054429-0.0012582i,-0.0025977-0.0052864i,-1.668e-05+0.0052592i,0.0025514-0.0031811i,-0.0034501-0.0043307i,-0.0026387+0.0015693i,0.0025489-0.0014637i,0.0015896-0.0027359i,0.018527-0.0075959i,-0.002042+0.0050514i,-0.0021694-0.0053413i,-0.0029538-0.0012765i,-0.0029055-0.0054255i,0.0017758+0.0066664i,0.0025572-0.0037985i,0.0023768-0.0018196i,0.00087076-0.003607i,-0.00053601-0.0023425i,0.00083888+0.0017042i,0.001296+0.0005452i,0.0047379+0.00016441i,-0.0018189+0.0092304i,-0.0051357+0.017426i,0.0042059+0.05633i,0.0065403-0.018736i,-0.023802+0.00066963i,-0.027736-0.0013381i,0.016875+0.00014613i,0.022045+0.0098973i,-0.007291-0.00031603i
0.017331+0.0048712i,0.042408+0.016884i,0.038479-0.0064272i,0.030011-0.0096726i,0.038817-0.017024i,-0.00034302-0.032654i,-0.0018237-0.01499i,0.017021-0.022886i,0.016717-0.0060866i,0.0020953+0.00017854i,0.0033945-0.0023288i,0.0062804-0.0029103i,0.0047075-0.0028636i,0.0022952-0.0035335i,-0.0023076-0.0010708i,0.0016505-0.003171i,-0.0029786-0.0061685i,-0.0016238+0.00098279i,0.00027618+0.0016755i,-0.0018958+0.00055229i,-0.0008575+0.0019433i,0.0023461+0.0017957i,0.000366+0.0022326i,-0.00031409-0.0056613i,0.00064718-0.0014772i,-0.00074907-0.0011394i,-0.00025416-0.0011203i,-0.00015052-0.001033i,0.00027367+0.00012853i,0.0011677+0.00027112i,0.0011032+0.002852i,0.00068588+0.0016605i,0.00085525+0.00012066i,0.0017009+0.00081699i,0.00033301-4.4587e-05i,0.0050949+0.0013296i,-0.0001705-0.00031414i,-0.00094478-0.00053986i,0.0015035+2.4362e-06i,-0.0019202+0.00054478i,-0.00031142+0.00061079i,2.2098e-05+0.0017985i,0.003146-0.00091161i,0.010155-0.0072453i,0.015825+0.017011i,0.0021907+0.064104i,0.0077687+0.062124i,0.021713+0.057029i,0.030245+0.017016i,0.032724+0.019646i,0.018521+0.030788i,-0.0094109+0.016347i,-0.011872+0.045544i,-0.026232+0.019733i,0.010432+0.00099598i,0.0046554+0.009733i,0.007015+0.0068441i,-0.0017253+0.013517i,-0.0039717+0.005254i,0.0033026-0.010619i,0.01135-0.0080115i,-0.014077+0.014108i,-0.00095318-0.001326i,-0.0010239+0.00038803i,-0.0012826+0.00030589i,-0.00068601+0.0028201i,0.004247-0.0012122i,-0.0027969-0.003885i,0.0033798+0.0040587i,0.0011036-0.0051708i,-0.0042717-0.0026825i,-0.0014839+0.0021092i,0.0014824-0.0028264i,0.0011326-0.0036777i,0.012111-0.012714i,0.00032361+0.0050069i,-0.0033326-0.0041911i,-0.0023141-0.0010584i,-0.0044228-0.004222i,0.0032832+0.0050284i,0.0015186-0.0056106i,0.0027589-0.0031234i,-0.00062122-0.003658i,-0.0012544-0.0033457i,0.0022398+0.0027057i,0.0012181+0.0017399i,0.0046886-0.00077511i,-0.00081783+0.008998i,6.315e-05+0.016301i,0.012607+0.054018i,-0.0024073-0.024077i,-0.026618-0.0008608i,-0.028727+0.006686i,0.011568-0.0038272i,0.021932+0.0035781i,-0.0068218+0.00051435i
0.018154+0.0012829i,0.044295+0.010571i,0.035112-0.013264i,0.024773-0.015527i,0.03414-0.025189i,-0.0059614-0.030823i,-0.0033536-0.014241i,0.012333-0.025468i,0.015149-0.0097473i,0.0025171+0.00075608i,0.0030117-0.0024563i,0.0048529-0.0047027i,0.0039884-0.0038801i,0.0011989-0.0035106i,-0.002049-0.00020981i,0.0013-0.0029912i,-0.0050192-0.0044135i,-0.0010811+0.0014869i,0.00067044+0.0011566i,-0.0016741+0.0017246i,-0.00028553+0.0022994i,0.0024124+0.00041668i,0.0010076+0.0020509i,-0.0027149-0.0038926i,-0.00038711-0.0013594i,-0.00091686-0.0006218i,-0.00065864-0.00089977i,-0.00050782-0.00056587i,0.00027843-7.2154e-05i,0.0011368-0.00017023i,0.0020832+0.0019429i,0.0013592+0.0012106i,0.00074737-0.00012435i,0.0023391-0.0010346i,8.4145e-05+3.4077e-05i,0.0057719+0.00031056i,-0.00015546-0.0001584i,-0.001084-0.00030058i,0.0013992-0.00046512i,-0.0013745+0.00096844i,-0.00025523+0.00069465i,0.00043783+0.0014736i,0.0026844-0.001766i,0.0050255-0.0090025i,0.016863+0.013346i,0.012833+0.057954i,0.016637+0.056447i,0.03056+0.05142i,0.027246+0.010019i,0.033441+0.013274i,0.024598+0.028528i,-0.0022101+0.01664i,0.0010748+0.045255i,-0.024087+0.024618i,0.0094907-5.4945e-05i,0.0070008+0.007338i,0.0075353+0.003965i,0.0021608+0.012762i,-0.0026158+0.0071694i,-0.002935-0.0088236i,0.0067941-0.010228i,-0.0093387+0.017472i,-0.0013239-0.0022525i,-0.0016356+0.00034278i,-0.001149+0.00052448i,0.0016144+0.0025688i,0.0036448-0.0014768i,-0.0032024-0.0029796i,0.0047099+0.0019859i,-0.0018282-0.0056201i,-0.0042841-0.00088861i,8.5158e-06+0.0017028i,0.00085825-0.0035382i,-2.3838e-05-0.0048036i,0.005811-0.013996i,0.0022189+0.0040077i,-0.0041928-0.0032214i,-0.003004-0.0012366i,-0.0054375-0.0025255i,0.0035732+0.0035116i,-0.0009448-0.0066735i,0.0026404-0.0046026i,-0.0013627-0.0029491i,-0.0021175-0.0032836i,0.0035599+0.0018636i,0.0022918+0.002279i,0.0032993-0.0018635i,0.00056177+0.0091546i,0.0037782+0.014124i,0.021774+0.050557i,-0.012716-0.025409i,-0.030601+0.0012103i,-0.025227+0.013561i,0.0066603-0.0033704i,0.01904-0.0025918i,-0.0062154-0.00055353i
0.017949-0.0028815i,0.045798+0.0031724i,0.031218-0.018234i,0.019462-0.018535i,0.028048-0.031545i,-0.010393-0.028535i,-0.004508-0.013881i,0.0076991-0.027234i,0.01267-0.013134i,0.003478+0.00050306i,0.0029439-0.0028568i,0.0030812-0.0054429i,0.0030244-0.0050939i,0.00046575-0.0032783i,-0.0016065+0.00033693i,0.0012019-0.0027192i,-0.0057767-0.0017732i,-0.00045073+0.0013279i,0.00052326+0.00052584i,-0.00080321+0.0022987i,0.00046608+0.0022782i,0.0019566-0.00039009i,0.0016187+0.0016065i,-0.0038937-0.0012575i,-0.000898-0.00079181i,-0.00091362-0.00023462i,-0.00083388-0.00068097i,5.5101e-05-0.0005959i,1.17e-05-3.6863e-05i,0.00078443-0.00067917i,0.0027087+0.00076481i,0.0015339+0.0005894i,0.00070241-0.00028754i,0.0010028-0.00033264i,0.00015548+0.00022813i,0.0050454-0.0017645i,-0.00018249-7.9774e-06i,-0.0011606+0.00019518i,0.00093902-0.0008149i,-0.00071819+0.0011391i,-0.00018173+0.00061703i,0.00071962+0.001052i,0.0018126-0.0022646i,0.0017493-0.0079742i,0.017376+0.0099463i,0.020127+0.050071i,0.023518+0.051135i,0.037917+0.043496i,0.024058+0.0048999i,0.033001+0.0087113i,0.029251+0.024593i,0.003674+0.015522i,0.012773+0.040982i,-0.019828+0.029241i,0.008794-0.0014234i,0.0084119+0.0038228i,0.0078699+0.0016533i,0.0056389+0.010468i,0.00026086+0.0079239i,-0.0064406-0.0050091i,0.0023575-0.010508i,-0.0035633+0.017982i,-0.0029924-0.0022634i,-0.0025305+0.0016471i,-0.00096075+0.00067812i,0.0031565+0.0011266i,0.0030316-0.00068263i,-0.0034685-0.0018939i,0.0049022-0.00040168i,-0.004045-0.0037332i,-0.003188+0.00047672i,0.00040416+0.00058332i,-2.3871e-05-0.0044852i,-0.0020073-0.0048679i,0.00058488-0.013279i,0.0035437+0.0022525i,-0.0053617-0.0018552i,-0.0035295-2.5904e-05i,-0.0053952-7.3237e-05i,0.0041514+0.0028846i,-0.0040139-0.0062145i,0.0014903-0.0065062i,-0.0016776-0.0027183i,-0.0028859-0.0036936i,0.0042727+0.00094912i,0.0035683+0.0022258i,0.002254-0.0011631i,0.0019688+0.0087747i,0.0061127+0.01126i,0.030488+0.044604i,-0.02342-0.022199i,-0.033856+0.0047923i,-0.020163+0.017476i,0.0045542-0.001921i,0.014382-0.0063662i,-0.0083287-0.0014403i
0.016425-0.0068468i,0.045658-0.0048143i,0.027319-0.022681i,0.014866-0.020196i,0.021174-0.036366i,-0.014599-0.026017i,-0.0060123-0.014336i,0.0029037-0.028218i,0.0093022-0.015556i,0.0042343-0.00032224i,0.0026755-0.0036974i,0.0013847-0.0054681i,0.0012755-0.0058491i,-0.00018912-0.003054i,-0.0013161+0.00050366i,0.0012245-0.0026483i,-0.005552+0.00042178i,-0.00015008+0.00093197i,0.00041411+0.00038274i,6.491e-05+0.0025023i,0.0010573+0.0020026i,0.0015172-0.00083357i,0.0019129+0.00083278i,-0.0033729+0.001393i,-0.00088548-0.00015378i,-0.00077914+0.00021615i,-0.00099848-0.00048991i,-0.00084555+0.00016908i,2.801e-05+7.4947e-05i,0.00010307-0.00082013i,0.0027545-0.00053394i,0.0015776+0.00021217i,0.00061296-0.00047543i,0.00099879-0.00061694i,0.00038142+0.00028606i,0.0048112-0.0037912i,-6.0169e-05+0.00010317i,-0.00097977+0.00068035i,0.00015259-0.00080995i,-3.4541e-05+0.0009976i,-0.00015287+0.00078591i,0.00077729+0.00083803i,0.00084327-0.0021771i,3.404e-05-0.0059594i,0.017398+0.006978i,0.024235+0.043578i,0.029932+0.045645i,0.042576+0.035602i,0.020232+0.00058456i,0.033994+0.0052868i,0.033682+0.019435i,0.0096097+0.012446i,0.022325+0.033201i,-0.012831+0.032984i,0.0079998-0.0030509i,0.0076634-0.00040351i,0.0078543-0.0011048i,0.0073403+0.0070279i,0.0021414+0.0072049i,-0.0080266-0.00025774i,-0.0016561-0.0089772i,0.00081289+0.015615i,-0.0041111-0.00093084i,-0.0018157+0.0037548i,-0.00091883+0.00091444i,0.0038054-0.0010485i,0.0042031+0.00089156i,-0.0029408-0.0008646i,0.0042838-0.001115i,-0.0046252-0.0019502i,-0.0011616+0.0013788i,6.4117e-05+0.00015308i,-0.0020831-0.0049505i,-0.0037262-0.0037148i,-0.003406-0.0121i,0.0039371+0.00027899i,-0.0056059+0.00016711i,-0.0028288+0.0011062i,-0.0045163+0.001437i,0.0054023+0.0019798i,-0.0061387-0.0040189i,-0.0010497-0.0079319i,-0.0025037-0.0022682i,-0.0047059-0.0031477i,0.0052196-0.00091518i,0.0045899+0.0017701i,0.0026733-0.00081265i,0.0036336+0.0085014i,0.006806+0.0081565i,0.037355+0.036531i,-0.030356-0.013409i,-0.036705+0.011003i,-0.014958+0.019925i,0.00289-0.00025109i,0.0096436-0.0058968i,-0.0098406-0.00059762i
