-0.00040979-0.042216i,-0.00049358-0.046323i,-0.0072386-0.047459i,-0.029983-0.022819i,-0.02259+0.011126i,-0.036248-0.033418i,-0.063675-0.058632i,-0.020483-0.069836i,-0.023264-0.044356i,-0.0014454+0.016205i,-0.010539+0.012564i,-0.014944+0.013193i,0.0029727+0.013999i,-0.0028673-0.0018992i,0.0018133+0.0060314i,-0.00052277+0.034301i,0.019733+0.057067i,0.0015009-0.00045443i,-0.0032349-0.0097859i,0.0073827+0.0046206i,0.0016201+0.0014883i,-0.00042286+0.003326i,-0.00036211-0.00052038i,-0.037375-0.010237i,-0.0024662-0.0076248i,-0.0010579+0.0043767i,0.0054675-0.00027319i,-0.00026347+0.0002802i,0.00072394-0.00067713i,0.00036387-0.0023214i,-0.0016257-0.0059654i,-0.0031495-0.006252i,-0.0010625-0.0068815i,0.0031654-0.00074873i,0.0029966-0.0016757i,-0.0020181+0.039143i,0.0065692-0.0038314i,0.0032801-0.00070991i,0.0053238-0.00010033i,-0.012304-0.0069575i,-0.00092194+0.00029186i,0.0092245-0.00078046i,0.0034552+0.0010691i,-0.0044138+0.0016169i,7.6457e-05+0.010616i,-0.0053445+0.017774i,0.026367-0.081399i,9.4088e-05-0.054512i,-0.023407-0.04295i,-0.01891-0.036954i,0.063327-0.01472i,0.030474-0.057372i,0.038995-0.044174i,0.033069-0.052959i,0.019788-0.016231i,0.0079043+0.011994i,0.024271-0.03474i,-0.0081114-0.0056496i,0.0030905-0.0010015i,-0.0021667-0.0049471i,0.0055096-0.03257i,-0.02528+0.031762i,0.0087286-0.010537i,-0.012727-0.0026323i,-0.0045584-0.0013074i,0.00038785-0.014708i,-0.0098197+0.0054686i,0.0033933+0.0062941i,-0.014655+0.030195i,0.0052793+0.0070965i,-0.0060302-0.0021222i,-0.0010228-0.002538i,-0.011608-0.0078865i,6.1904e-05-0.0035998i,-0.03701+0.0067487i,0.0016548-0.012731i,-0.0092946-0.0027252i,-0.0071784-0.0034613i,0.006708+0.0019816i,-0.0093028+0.0022904i,3.6069e-06+0.0016696i,0.0058372+0.0098247i,0.0048371+0.00082516i,-0.0092617-0.010017i,0.001663+0.0081465i,-0.020443+0.005126i,0.0062177+0.0034132i,-0.027929-0.008833i,-0.036155-0.0018462i,0.02579-0.077607i,0.014425-0.0093719i,-0.04226-0.02859i,-0.025111-0.0077586i,0.017417+0.012292i,-0.0273+0.011279i,-0.011846-0.0099503i
-0.016461+0.028354i,-0.0014043+0.057843i,0.031442+0.038695i,0.0034025+0.012635i,-0.0027677+0.0054157i,0.031646-0.0058919i,0.0096524+0.016134i,0.01133+0.047561i,0.0050295+0.017954i,-0.0040948+0.0071284i,0.00018392+0.0012882i,0.0026801-0.0045215i,0.0023469-0.0022133i,0.0031257-0.0011897i,0.0036173-0.0014322i,0.0061055+0.0005224i,0.011385-0.0075918i,-0.0013455-0.0003866i,-0.0045001+0.00090142i,0.00022384+0.0021987i,-0.0014377-3.2375e-05i,-0.0044574-0.0013286i,-0.002543+0.00038617i,0.0056171+0.0083585i,0.0020655+0.0024026i,0.0022638+0.0011784i,0.0018017+0.0015185i,-0.00098896+0.0032495i,-2.2725e-05+0.00097078i,-0.00094043+0.0011702i,0.00081304-0.0036994i,-0.0010988-0.0015209i,-0.00075498-0.00039719i,0.00031458+0.00030138i,-8.861e-05-0.0024382i,-0.0077862+0.013984i,0.0026409-0.00034651i,0.0005806-0.00050513i,8.215e-05+0.0025969i,-0.00055098-0.0052569i,-0.0016486-0.00046667i,-0.0023766-0.0018412i,-0.00022996+0.006132i,0.0042839+0.0023269i,-0.0316+0.012177i,-0.074398+0.016282i,-0.043815+0.038699i,-0.019697+0.03406i,-0.0024149+0.049618i,-0.0097161+0.030294i,0.0087708+0.0073872i,-0.0091293-0.010102i,-0.038575-0.004998i,-0.043273+0.014191i,0.0083178+0.022348i,-0.0028695+0.0040036i,-0.0038242+0.0035325i,-0.013279-0.0031095i,0.0097951+0.0017431i,0.010297+0.016915i,-0.0038555+0.0095934i,-0.0078832-0.011205i,0.0064755-0.0036801i,-0.0067344-0.0045445i,0.0035454-0.00829i,0.0062422-0.0022307i,-0.00021757+0.010058i,0.01442-0.0053116i,0.0075503-0.0076823i,0.0057295-0.0068067i,0.0035877-0.0010112i,-0.0025999-0.0071418i,-0.004236-0.0020162i,0.0021443-0.0010101i,-0.010916+0.037999i,-0.006043-0.0049119i,0.0013233+0.00074394i,0.00012949-0.0079276i,0.0038264-0.0012748i,-0.013793-0.0052457i,0.0012937-0.00033857i,0.003577-0.0042185i,0.0023804-0.0024776i,0.00062095-0.0058299i,-0.00026751+0.0068793i,-4.1456e-05+0.0040071i,-0.0034614+0.0053862i,-0.011371-0.0012263i,-0.0090645+0.002034i,-0.035483+0.039255i,-0.0088061+0.016279i,-0.023842-0.0055916i,-0.0015543-0.00028201i,0.0098954+0.020535i,-0.0010974+0.02068i,-0.0056028-0.00036699i
-0.01202+0.027684i,0.0077415+0.055161i,0.037714+0.032739i,0.0060484+0.012817i,0.00093613+0.0063964i,0.030052-0.012863i,0.010848+0.013516i,0.018398+0.044436i,0.0073278+0.01691i,-0.0015536+0.0075916i,0.0012257+0.0014403i,0.00030497-0.0037448i,0.0013455-0.0021163i,0.0026273-0.00095085i,0.0030664-0.0019366i,0.0057343-0.00019661i,0.0077679-0.0094349i,-0.00074977+9.011e-05i,-0.0044238+0.0010806i,0.0012023+0.0012925i,-0.0014491-1.3855e-05i,-0.0047095-0.00014185i,-0.0023788+0.00058284i,0.0095321+0.0048152i,0.002314+0.0027408i,0.0030547+0.00010249i,0.0020026+0.00050911i,0.00032135+0.0032543i,-0.00015721+0.0012293i,-0.00056459+0.0015749i,-0.0008235-0.0033445i,-0.0017948-0.0014834i,-0.0010464-0.00014292i,0.00045288-2.0322e-05i,-0.0012173-0.00087862i,-0.0023072+0.015048i,0.0017213-0.001311i,0.0003493-0.00039476i,0.0013611+0.0020101i,-0.0018778-0.0040234i,-0.0015942-0.00017334i,-0.0029835-0.0010897i,0.0011517+0.0065324i,0.0035848+0.0015196i,-0.027848+0.017864i,-0.067401+0.02841i,-0.039364+0.046438i,-0.012341+0.035759i,0.01107+0.045045i,-0.0010719+0.027793i,0.0038405+0.0012161i,-0.016801-0.012523i,-0.04096-0.0025919i,-0.034071+0.015099i,0.013484+0.018315i,-0.0027794+0.0046595i,-0.0022525+0.0068899i,-0.013375+0.0022748i,0.0081942-0.0018929i,0.014777+0.013637i,0.0010967+0.013709i,-0.013167-0.0085368i,0.0022839-0.0046502i,-0.0060697-0.0011691i,-0.0012321-0.0074048i,0.0044054-0.0047928i,0.0040229+0.0072068i,0.0093165-0.0092198i,0.0022211-0.0088113i,0.0021095-0.0055452i,0.0041306-0.0023667i,-0.004248-0.005632i,-0.0026966+0.00095929i,0.0027735-0.00098382i,0.0090187+0.036947i,-0.0071494-0.0034368i,0.0021427-0.0011678i,-0.0035242-0.0069945i,0.004088-0.0025953i,-0.013762+0.0014214i,0.0016711+1.9906e-05i,0.0014267-0.0036606i,0.0023999-0.0034995i,-0.0010415-0.0058022i,0.0017982+0.0031577i,0.0015937+0.0030794i,-0.00024097+0.0065433i,-0.010392+0.0026502i,-0.0089507+0.0035097i,-0.027334+0.04i,-0.0062426+0.019432i,-0.025098-0.00057252i,-0.0020899-0.0043206i,0.012967+0.019387i,0.0036573+0.022278i,-0.0078587-0.00046531i
-0.0088827+0.027458i,0.015028+0.050794i,0.043744+0.02449i,0.010257+0.01046i,0.0058157+0.0052435i,0.026583-0.019635i,0.011201+0.010803i,0.025505+0.039971i,0.010128+0.016253i,0.00022634+0.0075676i,0.0016319+0.00048485i,-0.00051581-0.0018907i,0.00041242-0.0022927i,0.0026317-0.0013225i,0.0024681-0.0023117i,0.0053169-0.00084595i,0.0045275-0.010128i,-0.00060499-8.5921e-05i,-0.0046251+0.0026802i,0.0012579-0.00011178i,-0.0019014-5.4e-05i,-0.0043671+0.0012121i,-0.0024671+0.0009063i,0.009874-0.00047308i,0.004002+0.0017004i,0.0025057-0.0014032i,0.0018609-0.00020443i,0.001518+0.0024291i,0.00028697+0.0014891i,-0.00027962+0.0018175i,-0.0020628-0.0022647i,-0.0027353-8.6011e-05i,-0.00090792+0.00035401i,0.00020612-0.00027726i,-0.00087874+0.00045886i,0.0023252+0.014099i,0.0008766-0.0012641i,0.00023669-0.00050858i,0.0017174+0.0011839i,-0.0028292-0.0029026i,-0.0015671+0.00011881i,-0.0031394-3.8622e-05i,0.0030084+0.0068651i,0.0034568+0.0015091i,-0.022+0.02183i,-0.058855+0.038736i,-0.030942+0.053822i,-0.0044897+0.035226i,0.022542+0.036346i,0.0065518+0.025585i,-0.0027355-0.00084473i,-0.023862-0.010606i,-0.043403+0.0031876i,-0.027456+0.012272i,0.016468+0.01225i,-0.0024285+0.0051762i,-0.00067087+0.0068565i,-0.012569+0.0063605i,0.0049196-0.0056741i,0.018201+0.0089869i,0.0074636+0.013727i,-0.016122-0.0043929i,0.00062246-0.0026748i,-0.005024+0.0014933i,-0.0031508-0.0049196i,0.0017583-0.0053735i,0.0057443+0.0062284i,0.0055082-0.010058i,-0.002836-0.0068998i,0.0014278-0.0039108i,0.0033707-0.0050451i,-0.0065238-0.0037397i,-0.0007167+0.0012041i,0.0021405-0.0023144i,0.02435+0.0268i,-0.0083112-0.00076576i,0.0020162-0.0023153i,-0.0037736-0.0048555i,0.0042218-0.0044046i,-0.009943+0.0066738i,0.0028485+7.1326e-05i,9.3372e-05-0.0037556i,0.00088034-0.0035694i,-0.0029541-0.0045541i,0.00053916+0.0020342i,0.0025524+0.0017639i,0.0030535+0.0062126i,-0.0087815+0.005189i,-0.0089298+0.0060816i,-0.020635+0.039348i,0.0015615+0.021253i,-0.02435+0.0036711i,-0.0038506-0.0079706i,0.017957+0.015961i,0.0092293+0.022772i,-0.0097929+0.001012i
-0.0057518+0.027663i,0.02+0.046581i,0.046718+0.014488i,0.012393+0.0059028i,0.0092635+0.0011462i,0.021031-0.024816i,0.011146+0.0090404i,0.031012+0.033657i,0.013403+0.014258i,0.0018204+0.0075208i,0.001241+0.00028464i,-9.5108e-05-0.00090983i,-0.00096063-0.0014389i,0.0020098-0.0014347i,0.0017292-0.0027257i,0.0049177-0.0012642i,0.0010996-0.0095936i,-0.00029405+0.00011256i,-0.0027004+0.0041397i,0.00044525-0.00082509i,-0.0020624+0.00083564i,-0.0036602+0.0025571i,-0.0023524+0.0015932i,0.0073495-0.0042828i,0.0039732+6.2172e-05i,0.0014134-0.0018443i,0.0014891-0.00065616i,0.00178+0.001453i,0.00097214+0.0009525i,0.00028252+0.0021672i,-0.0026279-0.00059368i,-0.0021059+0.0012745i,-0.00063534+0.00054812i,-0.00016349-0.00036738i,-0.00033707+0.00073021i,0.006311+0.012081i,0.00054388-0.0012361i,-6.5084e-05-0.00063648i,0.0017818+0.00070764i,-0.0034148-0.0017168i,-0.0015604+0.00062395i,-0.0029077+0.00090868i,0.0054229+0.0062409i,0.0037286+0.0013815i,-0.015298+0.022559i,-0.047658+0.046697i,-0.021319+0.058904i,0.0010685+0.03287i,0.030855+0.023391i,0.013121+0.019239i,-0.0097977+0.0017293i,-0.031028-0.0047663i,-0.043552+0.011499i,-0.024744+0.0081773i,0.017636+0.0057736i,-0.0017538+0.0064339i,0.0010554+0.00912i,-0.010065+0.01071i,-0.00071627-0.0054164i,0.02061+0.0013676i,0.013292+0.010575i,-0.017823+0.00030771i,7.5197e-05-0.0019697i,-0.0027879+0.0028348i,-0.0040616-0.0019174i,-9.7048e-05-0.0049663i,0.0075057+0.0026915i,0.0018362-0.010202i,-0.0049516-0.0020446i,0.0015356-0.0032112i,0.00079471-0.0066151i,-0.0072247-0.00029792i,0.0008869+0.0015704i,0.0012088-0.0026882i,0.031811+0.01131i,-0.0079931+0.00316i,0.0015339-0.0037635i,-0.0044732-0.0032546i,0.0024806-0.0070534i,-0.0049084+0.0081245i,0.0040773-0.0016382i,-0.00099285-0.0024801i,0.00036696-0.0029755i,-0.0033702-0.0022152i,-9.1681e-05+0.0024803i,0.002337+6.7032e-05i,0.0057044+0.0046801i,-0.0067722+0.0067193i,-0.0079683+0.0089318i,-0.01555+0.039677i,0.013131+0.016725i,-0.02169+0.0080906i,-0.0089812-0.010383i,0.019761+0.010376i,0.015389+0.020834i,-0.0089199+0.0027332i
-0.0018241+0.027807i,0.025245+0.043791i,0.047249+0.005263i,0.012815+0.001359i,0.0098881-0.003925i,0.01524-0.028175i,0.011555+0.0081061i,0.034844+0.027507i,0.016554+0.01116i,0.0035061+0.0069688i,0.0010216+0.00052399i,0.00058541-0.00078897i,-0.0012479+0.00024569i,0.0015758-0.001599i,0.00086865-0.0025781i,0.0048708-0.0014826i,-0.0011695-0.0080705i,-0.00029211+0.00030424i,-0.0011956+0.0040361i,-0.00041806-0.0008555i,-0.0016954+0.0014174i,-0.0022133+0.0034069i,-0.001819+0.002322i,0.0041333-0.0060148i,0.0032559-0.0011171i,0.00075086-0.0019633i,0.0010114-0.0010268i,0.0016416+0.00087848i,0.00096102+0.00039458i,0.0012309+0.0020168i,-0.0020075+0.00067001i,-0.0012149+0.0018335i,-0.00041535+0.00056871i,-0.00028388+9.8356e-05i,0.00021726+0.00098269i,0.0092636+0.0090719i,9.7311e-05-0.00097779i,-0.00044255-0.00045401i,0.002059+0.00027725i,-0.0033419-0.00056062i,-0.0011813+0.00076668i,-0.0025406+0.0017607i,0.0072302+0.0043674i,0.003589+0.0005322i,-0.011189+0.021578i,-0.035366+0.051103i,-0.008813+0.062311i,0.0062746+0.031226i,0.032251+0.0094102i,0.015402+0.012274i,-0.013064+0.0089954i,-0.034366+0.0057121i,-0.04177+0.020923i,-0.026355+0.0050254i,0.014857-0.00021652i,0.00023654+0.0074643i,0.005315+0.0086255i,-0.0062679+0.013552i,-0.003411-0.0022456i,0.018483-0.0079652i,0.017301+0.0051538i,-0.017941+0.0057607i,0.00028568-0.00039298i,-0.00098708+0.0029167i,-0.0024826+0.00013936i,-0.0025057-0.0035905i,0.0067913+0.00041339i,-0.0014388-0.0088404i,-0.0036284+0.0017121i,0.0018487-0.0036823i,-0.0019624-0.0065937i,-0.0051554+0.0023744i,0.002818+2.9834e-05i,0.0008124-0.0024008i,0.031091-0.0038122i,-0.0049329+0.005872i,-0.00019845-0.0047889i,-0.0041441-0.0022608i,-0.00021226-0.0077165i,-0.0014085+0.0074201i,0.0035612-0.0036249i,-0.00091626-0.00087214i,0.00056537-0.0024905i,-0.0020799-0.0010553i,0.0007394+0.0031436i,0.0010715-0.00072326i,0.0066823+0.0015565i,-0.005037+0.0070032i,-0.0052149+0.011693i,-0.0099125+0.040116i,0.018689+0.0036354i,-0.016859+0.0088111i,-0.015555-0.0098091i,0.020555+0.0052474i,0.020749+0.014662i,-0.0090534+0.0026659i
0.0023549+0.026821i,0.031338+0.040082i,0.046684-0.0035987i,0.012356-0.0032612i,0.0091859-0.0080508i,0.0089834-0.030457i,0.013001+0.0072318i,0.037872+0.021209i,0.019001+0.0067485i,0.0047106+0.0060304i,0.001617+0.00070251i,0.001016-0.00093692i,-4.2394e-05+0.0014646i,0.0012383-0.0014933i,0.00034046-0.0023264i,0.0051231-0.0019511i,-0.0022792-0.0068694i,0.0003506+0.00032147i,-0.0001353+0.0038782i,-0.000969-0.00050029i,-0.00093585+0.0016834i,-0.00065765+0.003351i,-0.00095403+0.0026672i,0.00056397-0.0064489i,0.0027194-0.0019193i,-5.8388e-05-0.002032i,0.00042988-0.0011999i,0.001714+0.000555i,0.0007924+8.3422e-05i,0.0017245+0.0011763i,-0.001267+0.0012224i,-0.00028405+0.0019983i,-0.00018165+0.00069583i,-1.6293e-05+0.00014158i,0.00074834+0.00035296i,0.010457+0.0055278i,-5.9319e-05-0.00082263i,-0.00050616-6.0402e-05i,0.001565-0.00051071i,-0.0027715+7.7889e-05i,-0.0010943+0.0008313i,-0.0018674+0.0022766i,0.0080577+0.002166i,0.0033697+0.00042i,-0.0081747+0.020074i,-0.023773+0.051859i,0.0047572+0.06057i,0.01175+0.029095i,0.029268-0.0023742i,0.015039+0.0068277i,-0.010641+0.016875i,-0.031305+0.017755i,-0.035541+0.032028i,-0.029972+0.0060396i,0.01083-0.0028136i,0.0026203+0.0071745i,0.0079094+0.0059151i,-0.0015196+0.015218i,-0.0037017+0.00027633i,0.01129-0.015743i,0.017768-0.0023404i,-0.016066+0.0101i,0.0016469-0.00020488i,0.00027019+0.0021607i,-0.00080765+0.00016709i,-0.0028706-0.00074463i,0.0055705-0.0010854i,-0.0030319-0.0065126i,-0.00054122+0.0037508i,0.0012245-0.0048109i,-0.0041494-0.0049509i,-0.0035187+0.0028606i,0.0026344-0.0021056i,0.0010497-0.0023355i,0.024144-0.015962i,-0.0014593+0.0065207i,-0.0021458-0.0042997i,-0.0040249-0.0010178i,-0.0029996-0.007156i,0.00067079+0.0062682i,0.002645-0.0050087i,0.00033398-0.00049566i,0.00047484-0.0035905i,-0.00090162-0.001277i,0.0019013+0.003313i,-4.9765e-05-2.7237e-05i,0.0057822-0.00026173i,-0.0041841+0.0068432i,-0.0010673+0.012752i,-0.0039947+0.039689i,0.015007-0.0081834i,-0.014626+0.0053798i,-0.022153-0.0052049i,0.018816-0.0014219i,0.021912+0.0076985i,-0.0095576+0.0039298i
0.0064619+0.025475i,0.036829+0.034786i,0.043909-0.012972i,0.0096893-0.0082921i,0.0073905-0.012548i,0.0023998-0.031018i,0.015034+0.0052316i,0.040253+0.014334i,0.019663+0.0019045i,0.0056581+0.0055743i,0.0019826+0.00041242i,0.0012882-0.0019338i,0.0011653+0.0015343i,0.00097913-0.0015255i,5.7022e-05-0.001919i,0.0051482-0.0029438i,-0.0035639-0.0060725i,0.00018592-0.00015402i,0.0012233+0.003347i,-0.001514+0.00013253i,-0.00071343+0.0015502i,0.00061763+0.0024461i,-0.00023795+0.00271i,-0.0026299-0.0051187i,0.0014331-0.0033174i,-0.00083053-0.0014464i,-0.00025572-0.0011637i,0.0017064+0.00013153i,0.00084441-0.000139i,0.0017801+0.00033439i,-0.00032718+0.0013939i,0.00032959+0.0020438i,-8.4385e-05+0.0008527i,-3.7864e-05+0.00013682i,0.00032199-0.00051809i,0.010392+0.0025397i,-0.00031854-0.00055926i,-0.00051768+5.9917e-05i,0.0012165-0.00068951i,-0.002064+0.0002852i,-0.00092395+0.0010716i,-0.00096152+0.0027636i,0.0082475-0.00024417i,0.0033395+0.00028996i,-0.0061241+0.018919i,-0.013766+0.050669i,0.015975+0.054703i,0.017556+0.026091i,0.023152-0.01111i,0.013641+0.0032864i,-0.0046753+0.021727i,-0.021819+0.026454i,-0.023649+0.039783i,-0.032665+0.010881i,0.0074137-0.0032795i,0.0045375+0.0057432i,0.0085049+0.0024556i,0.0034071+0.01447i,-0.0036305+0.002198i,0.00019223-0.017647i,0.014208-0.0083562i,-0.013419+0.013608i,0.00245-0.0018588i,0.00079086+0.0012218i,-0.00057983-0.00064275i,-0.001204+0.0010218i,0.0044988-0.0013073i,-0.0035016-0.0052546i,0.0024584+0.003228i,-6.9384e-05-0.0059827i,-0.0052612-0.0028159i,-0.0018414+0.0032694i,0.0012686-0.0037145i,0.0008336-0.0033471i,0.013809-0.022095i,0.0012091+0.0058575i,-0.0032349-0.003171i,-0.0032414-0.00079377i,-0.005035-0.0058774i,0.0018763+0.0049552i,0.0014004-0.0068751i,0.0010931-0.0011863i,-0.00091339-0.0039086i,-0.0010769-0.002215i,0.0036833+0.0031598i,-7.4422e-05+0.0012658i,0.0051863-0.0013464i,-0.0037226+0.0075029i,0.0025293+0.011672i,0.0022558+0.038738i,0.0074273-0.016208i,-0.01743+0.0024776i,-0.02469+0.0027001i,0.012985-0.0057756i,0.021941+0.0018852i,-0.0081065+0.0045688i
0.010482+0.022718i,0.042003+0.029234i,0.038751-0.020648i,0.0045754-0.011336i,0.0035517-0.016098i,-0.003466-0.030008i,0.017048+0.0021596i,0.040947+0.0070248i,0.019461-0.0031945i,0.0074741+0.0048505i,0.00227+0.00028133i,0.00038504-0.0030073i,0.0021962+0.0011662i,0.00072758-0.001369i,9.3845e-05-0.0018136i,0.0046134-0.0038126i,-0.0053224-0.0044851i,3.4889e-05-0.00022789i,0.0021061+0.0021001i,-0.0014079+0.0013583i,-0.00041403+0.0017752i,0.00060982+0.0010352i,0.00050208+0.0026506i,-0.0046408-0.0024404i,-0.0010461-0.0030954i,-0.0011163-0.00074946i,-0.00067802-0.00073773i,0.0015403-0.00016502i,0.00063118-0.00070798i,0.0016009-0.00028485i,0.00045662+0.0010152i,0.00094698+0.0017737i,0.00027372+0.001083i,-8.7668e-06+0.00026729i,-0.0004218-0.00010853i,0.0098402-0.00014776i,-0.00035845-0.00017544i,-0.00047523+0.00033433i,0.0010297-0.00086016i,-0.0015479+0.00018255i,-0.00065599+0.0014547i,3.3232e-06+0.0027265i,0.00747-0.002708i,0.0032276+8.9843e-05i,-0.0042683+0.018125i,-0.0049516+0.047566i,0.023588+0.047497i,0.023338+0.021285i,0.015855-0.015979i,0.012009+0.0013224i,0.0022047+0.023609i,-0.011346+0.028817i,-0.009347+0.041762i,-0.032282+0.017988i,0.0058614-0.0027289i,0.0059138+0.0036864i,0.0077613-0.00015675i,0.0080015+0.011808i,-0.0028346+0.0044299i,-0.0091255-0.013172i,0.0091981-0.011303i,-0.0098491+0.016739i,0.0013033-0.0036003i,0.00070142+0.00062064i,-0.0011488-0.00077991i,0.0010154+0.0013744i,0.0040918-0.0015871i,-0.0045824-0.0039266i,0.0042144+0.0010582i,-0.0027624-0.0061849i,-0.0052025-0.00055744i,-2.3585e-05+0.0024961i,1.4907e-05-0.0043317i,-0.00015639-0.0042175i,0.0036807-0.022919i,0.00308+0.0044185i,-0.0038287-0.0022903i,-0.0038088-0.00067678i,-0.00662-0.0036723i,0.0020602+0.0040478i,-0.0013406-0.0084053i,0.0012824-0.0021531i,-0.0018591-0.0029414i,-0.00165-0.0026988i,0.0046502+0.0021758i,0.00082559+0.0020999i,0.0038568-0.0024429i,-0.0027848+0.0083459i,0.0051683+0.0094113i,0.0090816+0.036995i,-0.0034936-0.020311i,-0.021411+0.0030227i,-0.022633+0.010744i,0.0072402-0.0055677i,0.019662-0.004528i,-0.0068359+0.0032161i
0.013361+0.018798i,0.046688+0.021944i,0.033003-0.025945i,1.7959e-05-0.011133i,-0.00096853-0.018032i,-0.0082435-0.028379i,0.018278-0.0023994i,0.040577+0.00034921i,0.017708-0.0079663i,0.0091476+0.0028313i,0.0030057-0.00022247i,-0.00098992-0.0027753i,0.0028504-0.00010694i,0.00073646-0.001411i,-0.00011603-0.0018802i,0.004102-0.0043482i,-0.0055888-0.0022097i,-2.5222e-05-0.00070758i,0.0019737+0.00077694i,-0.00052499+0.0019778i,2.3059e-05+0.0017793i,0.00011854+0.00048718i,0.0012613+0.0022879i,-0.0051317+0.00081794i,-0.0019724-0.0014835i,-0.0011716-0.00016981i,-0.00076433-0.00039573i,0.0013103-0.0004928i,-4.2403e-05-0.00045147i,0.0011288-0.00091271i,0.00094987+0.00039325i,0.0012536+0.0013914i,0.00086721+0.00090141i,0.00035124+0.00046082i,-0.00035106+0.00062915i,0.0085159-0.0022804i,-0.00038441+0.00024897i,-0.00021415+0.00058826i,0.00066964-0.0011025i,-0.0011313-5.9103e-05i,-3.3727e-05+0.0015904i,0.00072021+0.0022958i,0.0056227-0.0045581i,0.0029322-7.7784e-05i,-0.0029254+0.017998i,0.0013073+0.043045i,0.029024+0.040594i,0.027203+0.014319i,0.0093327-0.017736i,0.011284+0.0016019i,0.0095588+0.023313i,-0.0024517+0.028605i,0.0029059+0.038537i,-0.028667+0.025249i,0.0050951-0.0029477i,0.0064271+0.00085428i,0.0070536-0.0023031i,0.011191+0.0074055i,-0.00064376+0.0050424i,-0.013938-0.0058749i,0.0043737-0.012328i,-0.004728+0.018232i,-0.00069811-0.0039617i,4.2471e-05+0.00089787i,-0.0016524-0.00028546i,0.0025041+0.00021248i,0.0038896-0.0010355i,-0.0048181-0.0019832i,0.0037317-0.001005i,-0.0050685-0.0044971i,-0.0037834+0.0009682i,0.00051521+0.0010459i,-0.0010793-0.0046503i,-0.0015386-0.0042353i,-0.0044928-0.020078i,0.0046669+0.0021401i,-0.0046767-0.0010479i,-0.0040693+0.00079774i,-0.0070227-0.00094027i,0.0027248+0.0039371i,-0.0053319-0.0080375i,0.00091152-0.0034037i,-0.0022681-0.002526i,-0.0025712-0.003319i,0.0056488+0.0011233i,0.0019337+0.0021084i,0.0025736-0.0020031i,-0.0013416+0.0086674i,0.006469+0.0065514i,0.016111+0.032919i,-0.015559-0.018204i,-0.024936+0.0056687i,-0.017383+0.01518i,0.0043158-0.0042258i,0.014549-0.0087869i,-0.0084628+0.0024147i
0.014484+0.015065i,0.04972+0.013346i,0.027376-0.030215i,-0.0028842-0.0097978i,-0.0057365-0.018517i,-0.012999-0.026431i,0.017731-0.0080273i,0.039373-0.0064041i,0.014474-0.011868i,0.009927+0.00034187i,0.0034938-0.00152i,-0.0018949-0.0018563i,0.0024078-0.0013721i,0.00057385-0.0015282i,-0.00062188-0.0019628i,0.0035937-0.0049424i,-0.0050714-0.00053394i,-0.00062278-0.0011149i,0.0016302+6.173e-05i,0.00038711+0.0020809i,0.00035916+0.0018083i,-0.00033359+0.00056799i,0.0016531+0.0016475i,-0.0037901+0.0037584i,-0.0016496-6.586e-05i,-0.0010303+0.00047086i,-0.00076879-0.00014436i,0.00091339-0.00069344i,-0.00016654-1.1728e-05i,0.00038026-0.0010474i,0.00099847-0.00028365i,0.001738+0.0011104i,0.0011365+0.00049918i,0.00058422+0.00010698i,0.00037651+0.00090754i,0.0070003-0.0038092i,-9.9606e-05+0.00044037i,0.00010804+0.00066367i,-0.00014535-0.0011343i,-0.00084165-0.000292i,0.00048601+0.0016187i,0.0011533+0.0017504i,0.003454-0.0051414i,0.0029187+0.00063373i,-0.0012287+0.017987i,0.0052986+0.039603i,0.033419+0.033725i,0.028478+0.008231i,0.0033605-0.018654i,0.013374+0.0018762i,0.0165+0.019932i,0.0067685+0.025992i,0.013477+0.03171i,-0.020946+0.031169i,0.0043603-0.0033608i,0.0051025-0.0026841i,0.0059316-0.0044119i,0.011272+0.0020779i,0.00049647+0.0044892i,-0.01495+0.0028014i,-0.00062893-0.011738i,-0.00043606+0.01669i,-0.002531-0.0030384i,-5.2912e-05+0.0018619i,-0.0016128+0.00039537i,0.0033444-0.0015352i,0.0049486-0.00061622i,-0.0036738-0.00064699i,0.0030923-0.0011159i,-0.0060764-0.0023405i,-0.0023995+0.0012248i,0.00020198+0.00045331i,-0.0031946-0.0046142i,-0.0028834-0.0033921i,-0.010746-0.015891i,0.0047809-0.00071017i,-0.0048479+0.00061745i,-0.0029945+0.0019354i,-0.0065203+0.0012522i,0.004013+0.0034641i,-0.0082904-0.0052532i,-0.00052727-0.0044676i,-0.0030953-0.0018282i,-0.0043094-0.0030218i,0.0066171-0.0010904i,0.0030039+0.0018877i,0.0026617-0.0017198i,0.00063317+0.0090966i,0.00641+0.0039237i,0.022075+0.026691i,-0.022108-0.0095945i,-0.027577+0.011141i,-0.011556+0.017535i,0.0020465-0.0021817i,0.0096654-0.0091289i,-0.0091114+0.003132i
