-0.027535-0.0052123i,-0.022597-0.0082476i,-0.012583-0.015278i,-0.036349-0.01107i,-0.02764-0.00034711i,-0.037642-0.0042503i,-0.069376-0.037983i,-0.035134-0.017097i,-0.026367+0.0025295i,0.0060769+0.0075354i,-0.0061528+0.0084944i,-0.0086327+0.01898i,0.0064059+0.0091793i,-0.0011276+0.003333i,0.0048293+0.0040567i,0.0052231+0.027256i,0.024343+0.021831i,0.0015066-5.9702e-06i,0.0013972-0.0044688i,0.0097146+1.1113e-05i,0.0054665-0.00044142i,0.0026847+0.0012178i,0.002082-0.00068306i,-0.025078+0.0006117i,-0.0040579-0.003974i,0.00021796+0.0032106i,0.005358-0.0041224i,-0.0014025-0.00084227i,0.00025028+0.0010154i,-0.0013522-0.0017875i,-0.0030631-0.00061837i,-0.0065316-0.00839i,-0.0049995-0.0079193i,-1.3633e-05+0.00010303i,0.00075347-0.0025553i,0.00099878+0.02225i,0.0031095-0.0036176i,0.0013379-0.0042443i,0.0038706-0.0017908i,-0.0032469-0.0020099i,0.00068474+0.00080289i,0.0080308-0.0014842i,0.0024795-0.0016131i,-0.0010544+0.0032076i,-0.015848+0.015645i,-0.025187+0.053371i,-0.0082907-0.036988i,-0.015477-0.018057i,-0.040208-0.015862i,-0.028301-0.011466i,0.031425-0.013789i,0.0044155-0.02938i,0.010437-0.039088i,-0.011267-0.0304i,0.024458-0.023481i,0.013655+0.0070314i,0.02745-0.035927i,-0.0012024-0.0040269i,0.005906-0.0087896i,-0.00035145-0.0052609i,-0.0018166-0.034443i,-0.013047+0.029325i,0.0083131-0.011643i,-0.0083699-0.0041356i,-0.0021595-0.0021278i,-0.0004015-0.015307i,-0.0076427+0.0059131i,0.0043411+0.0066603i,0.0002664+0.028553i,0.0022363+0.00042495i,-0.0070287-0.0039187i,-0.0042913-0.0059955i,-0.014751-0.0092663i,-0.0025665-0.0056386i,-0.032879+0.0078432i,-0.0055909-0.0075873i,-0.013026-0.0001984i,-0.010781-0.0053513i,0.0013612-0.0013398i,-0.013843+0.0025824i,-0.0022366+9.998e-05i,0.0052043+0.0059777i,0.0028286-0.0048928i,-0.014616-0.012958i,0.0069536+0.0082885i,-0.016323+0.006064i,0.0046705+0.00062795i,-0.019954-0.0025466i,-0.016425-0.0032447i,-0.018449-0.034565i,0.020166-0.011438i,-0.039818-0.022399i,-0.0090578+0.0059992i,0.018004+0.014324i,-0.020812+0.017718i,-0.0043882-0.0025022i
0.0067144-0.009465i,0.01262+0.0029671i,0.0093289+0.0043171i,0.016339-0.0029611i,0.019964-0.00012184i,0.017484-0.013472i,0.01799-0.0055074i,0.014667-0.00073463i,0.0019956-0.0089024i,-0.0022135+0.0037755i,-1.0351e-05-0.00046812i,-0.0012457-0.00032225i,-0.0014301+0.0040039i,-0.0025576+0.0023394i,-4.0231e-05+0.0022338i,0.001558-0.0013918i,0.0034623-0.0019937i,0.0017195-0.0016659i,-0.00034642-0.001371i,-0.00026722-0.00047571i,0.0003163-0.0028816i,-0.0014378-0.0017834i,-0.00097435-0.00078819i,0.0042224+0.0038361i,-0.0013139-0.0003254i,-0.0015006+0.00064997i,-0.0029032-9.3888e-05i,-0.0022602-0.00032514i,-0.0028136-0.0020519i,-0.0025193-0.00041816i,0.0013428-0.0020729i,0.00037843+0.00016766i,0.001259-0.00029378i,0.0015982-0.00077222i,0.0010888-0.0011472i,-0.0097173+0.0048129i,-0.00090328-0.0012243i,-0.000702-0.00051325i,-0.0019491-0.0010473i,0.0026792-0.0031763i,0.0010237-0.00068888i,0.0014751-0.0015577i,-0.0011468+0.0031411i,0.0022556+0.0013196i,0.00058509-0.01276i,-0.022895-0.0081585i,-0.0012379-0.0051136i,-0.0059538+0.0029862i,0.017457+0.020545i,0.0017717+0.004149i,0.014047-0.013355i,-0.0097577-0.026054i,-0.0043538-0.012144i,0.00717-0.0090446i,0.018727+0.017853i,0.0025216+0.0013017i,-0.0013734+0.00011854i,-0.0060503-0.00042548i,0.010006-0.0038101i,0.013541+0.0068694i,0.0030182+0.0051242i,-0.0051512-0.0060477i,0.0070113-0.0036381i,-0.0031872-0.0070453i,0.0028617-0.011564i,0.0058805-0.0067779i,-0.00034548+0.0065205i,0.0095922-0.0080012i,0.0043094-0.0073884i,0.0016134-0.0071934i,-0.0026551-0.0021118i,-0.006367-0.0067991i,-0.0082114-0.0011196i,0.00046412-0.0016301i,-0.007294+0.025975i,-0.0080788-0.0020935i,0.00074583+0.0029361i,-0.0032945-0.0043931i,0.001077+0.00094341i,-0.014838+0.0013916i,-0.002744+0.0023427i,-0.0013447-0.0011943i,-0.0037752+0.00022527i,-0.0057301-0.0031011i,-0.0014226+0.0056468i,-0.0019844+0.0026588i,-0.0050061+0.0063489i,-0.0064355+0.00070483i,-0.0032102-0.0011513i,0.0080855-0.0033948i,-0.0045615+0.017438i,-0.027927-0.0020237i,-0.010419-0.0035178i,0.010841+0.015361i,-0.0028698+0.01647i,-0.0069651-0.0047427i
0.0053261-0.011168i,0.013129-0.0013037i,0.009953+0.0029596i,0.014993-0.0049319i,0.019931-0.0034887i,0.014941-0.0162i,0.01496-0.0087272i,0.014117-0.0033725i,0.00030984-0.0093163i,-0.00094374+0.0038341i,0.00018057-0.00020037i,-0.0014677+0.00097157i,-0.0001826+0.0042181i,-0.0014976+0.0032085i,0.00045676+0.0022771i,0.00094919-0.0010225i,0.002175-0.0026552i,0.0016358-0.0019797i,-0.00073101-0.0018317i,1.3352e-05-0.00097451i,-0.0004319-0.002887i,-0.0017751-0.0013108i,-0.0010917-0.00087803i,0.0062164+0.0017289i,-0.0018592+0.00079232i,-0.0010655+0.0011988i,-0.0029843+0.00082617i,-0.0024079+0.00055676i,-0.0039816-0.00054223i,-0.0026112+0.00088522i,0.00031485-0.0022947i,0.0001385-0.0006227i,0.00066612-0.00081123i,0.0010305-0.0013016i,0.00053647-0.0010401i,-0.0075313+0.0075478i,-0.0017445-0.00072294i,-0.0010041+0.0001096i,-0.0023593-7.7368e-05i,0.0016277-0.0035788i,0.0010454-0.0010986i,0.00075704-0.0018079i,-0.00041594+0.0033722i,0.0019914+0.0013006i,-0.0009014-0.011981i,-0.020812-0.005578i,-0.0026398-0.0024863i,-0.002573+0.0010001i,0.025801+0.013722i,0.0054311+0.0019603i,0.0080482-0.016375i,-0.017625-0.025918i,-0.0087888-0.012793i,0.0098896-0.015838i,0.020588+0.010633i,0.0010303+4.691e-05i,-0.00073351+0.0025461i,-0.0054203+0.0014421i,0.0068785-0.0070737i,0.014427+0.0028137i,0.0057993+0.0056155i,-0.0088718-0.0045829i,0.003168-0.0055524i,-0.0046252-0.0051145i,-0.0026107-0.010361i,0.002942-0.0079183i,0.002686+0.0047678i,0.0051068-0.0095413i,0.00036828-0.0069889i,-0.0022313-0.0044736i,-0.0022006-0.0010443i,-0.0079505-0.0044856i,-0.0060098+0.0025825i,0.00063423-0.0015135i,0.0053178+0.024687i,-0.0088824+0.00068659i,0.0014649+0.0016147i,-0.0053145-0.0022225i,0.0014174-3.1949e-05i,-0.012732+0.0080419i,-0.0016039+0.0032384i,-0.0016415+0.00021732i,-0.0024345+0.001271i,-0.0060977-0.00078733i,0.00029445+0.0030707i,-0.00071502+0.0024213i,-0.0013566+0.0076548i,-0.0046213+0.0024693i,-0.0042528-0.00060481i,0.008751-0.0094264i,-0.00093329+0.019165i,-0.027898+0.003349i,-0.011682-0.0048616i,0.012671+0.013495i,-0.00020299+0.018237i,-0.0091665-0.0038375i
0.0029235-0.012384i,0.011167-0.0061339i,0.011036+0.00056058i,0.014025-0.0069692i,0.019655-0.0068934i,0.011897-0.018893i,0.01148-0.011431i,0.013206-0.0060601i,-0.0013317-0.0088611i,-0.00029575+0.003727i,0.00017224-0.00060146i,-0.00091458+0.0019067i,0.0008959+0.0038055i,-0.00038086+0.0031624i,0.0010025+0.0021954i,0.00055216-0.00069228i,0.00093766-0.0026843i,0.0013093-0.0027458i,-0.0014336-0.0018078i,-0.00051257-0.0017338i,-0.0013848-0.0028912i,-0.0017944-0.00074253i,-0.0014855-0.00089466i,0.0061785-0.001473i,-0.0013438+0.0018388i,-0.00080715+0.0015553i,-0.0028023+0.0022794i,-0.0021328+0.0014415i,-0.0040552+0.0016035i,-0.0020824+0.002088i,-0.00064749-0.0020107i,-0.00083883-9.1816e-05i,0.00024554-0.00083905i,0.00035312-0.00156i,0.00022168-0.00089462i,-0.0048369+0.0094465i,-0.0021181+0.00060509i,-0.00073716+0.00053203i,-0.0023368+0.0012378i,0.00049282-0.0038233i,0.00091493-0.001663i,0.00040397-0.0018331i,0.0002915+0.0035914i,0.002407+0.0015508i,-0.0015423-0.011085i,-0.019185-0.0025204i,-0.00097435+0.00086168i,-9.66e-05-0.0022665i,0.032626+0.0037804i,0.0084922+0.00012997i,0.0020903-0.01681i,-0.024181-0.02278i,-0.01284-0.010402i,0.0084102-0.023529i,0.01924+0.0037351i,-0.0008731+2.5273e-06i,-0.00088648+0.0019205i,-0.0052581+0.0024123i,0.0017134-0.0095871i,0.014058-0.0016738i,0.0082519+0.0043243i,-0.011382-0.0012643i,0.0013679-0.004549i,-0.0054442-0.00238i,-0.005508-0.0072144i,0.00036768-0.0075627i,0.004336+0.0039907i,0.0021545-0.0092165i,-0.0025747-0.0049947i,-0.0022698-0.0012578i,-0.0022677-0.0010702i,-0.0096499-0.0011126i,-0.0034148+0.0035848i,-0.0004738-0.002029i,0.014654+0.01809i,-0.0085534+0.0044564i,0.0018456+0.00083269i,-0.004131+7.7886e-05i,0.001546-0.0012097i,-0.0066547+0.012563i,6.3348e-05+0.0040809i,-0.0017391+0.00067184i,-0.0018157+0.0019437i,-0.0059668+0.0021384i,-0.00050541+0.0028963i,-1.4469e-05+0.0018923i,0.0017553+0.0074819i,-0.0034035+0.0020669i,-0.0052823+0.00087659i,0.0056801-0.014334i,0.0079556+0.017412i,-0.026116+0.0064921i,-0.013577-0.0053414i,0.015169+0.0096968i,0.0043099+0.019801i,-0.010552-0.0023198i
0.00029997-0.012463i,0.0072594-0.0083111i,0.01068-0.0024625i,0.012667-0.0092908i,0.018437-0.010531i,0.0080251-0.020689i,0.007623-0.012585i,0.011547-0.0084909i,-0.0023587-0.0083551i,0.00020945+0.0038882i,-0.00022598-0.00063365i,-4.4239e-06+0.0023051i,0.0013436+0.0032851i,0.00020007+0.003098i,0.0013975+0.0019919i,0.00025454-0.00017642i,-9.2025e-05-0.0021159i,0.00061599-0.0032508i,-0.0015991-0.0014862i,-0.0015224-0.0018249i,-0.002189-0.0021874i,-0.0018207-0.0004063i,-0.0019958-0.00058788i,0.0046308-0.0037758i,-0.00046187+0.0023358i,-0.00025434+0.0021054i,-0.0015014+0.0035642i,-0.0016458+0.0021434i,-0.0028905+0.0032713i,-0.0010336+0.0028244i,-0.0013403-0.0013598i,-0.00055648+0.00071199i,-0.00010583-0.00081041i,-0.00047101-0.0015209i,-6.3015e-05-0.00080263i,-0.0016582+0.010512i,-0.0014782+0.0017964i,-0.00060401+0.0006976i,-0.001653+0.0023144i,-0.00069848-0.0038477i,0.0002824-0.0021365i,4.7772e-05-0.0020178i,0.0011833+0.0037219i,0.0030285+0.0013835i,-0.0016512-0.011118i,-0.015792+8.3193e-05i,0.0026188+0.0024427i,-0.0011896-0.0063069i,0.035589-0.0099161i,0.010712-0.0043446i,-0.0033805-0.014371i,-0.030065-0.016974i,-0.014626-0.0053495i,0.0027576-0.030027i,0.016665-0.0010004i,-0.0017727+0.0013713i,-0.00093018+0.0042898i,-0.0047866+0.0038919i,-0.0043572-0.0078112i,0.012284-0.0064716i,0.010207+0.0016678i,-0.012095+0.0029678i,-0.00018079-0.0044865i,-0.0046518-4.4772e-07i,-0.0066384-0.0033937i,-0.0014798-0.0071406i,0.0054044+0.0010795i,-0.00031594-0.0088333i,-0.0035972-0.001568i,-0.0011317+0.00044054i,-0.0027795-0.00055392i,-0.0089904+0.0029959i,-0.0013382+0.0041564i,-0.0015302-0.0018341i,0.0192+0.0089627i,-0.0058247+0.0083854i,0.001979-0.00015147i,-0.002996+0.0017045i,0.00047277-0.0022393i,-0.00044559+0.012321i,0.002156+0.0033001i,-0.001545+0.0022446i,-0.00084722+0.0029146i,-0.0033155+0.004635i,-5.8798e-05+0.0036857i,-6.2463e-05+0.0011634i,0.0052774+0.0063503i,-0.0033943+0.0013353i,-0.0059192+0.0029594i,0.0018725-0.015502i,0.016654+0.0081513i,-0.023349+0.010234i,-0.016794-0.0041988i,0.014337+0.0059307i,0.0096536+0.018783i,-0.010194-0.001009i
-0.0016886-0.011966i,0.0047171-0.0082599i,0.0094455-0.0046889i,0.011078-0.011367i,0.016573-0.013814i,0.0042514-0.021669i,0.0043148-0.012397i,0.0095309-0.010235i,-0.0031195-0.0077538i,0.00095019+0.0039326i,-0.00070612-0.00042588i,0.00081922+0.0021631i,0.0016177+0.0031416i,0.00069512+0.0030282i,0.0017835+0.0018521i,0.00044874+0.00050384i,-0.00047426-0.001443i,-0.00036096-0.0036044i,-0.0020414-0.0014558i,-0.0024193-0.0013075i,-0.0026261-0.0015867i,-0.0017627-6.5712e-05i,-0.0023226+4.2064e-05i,0.0025648-0.0050029i,0.00047463+0.0024463i,0.00064602+0.002351i,5.1156e-06+0.0040326i,-0.00091963+0.0027301i,-0.0012808+0.004209i,0.00027238+0.0030934i,-0.0015098-0.00063121i,-0.00016004+0.0010668i,-0.00054362-0.0006036i,-0.0011909-0.0007699i,-0.00018622-0.00049255i,0.0016206+0.01066i,-0.00061867+0.0025019i,-0.00051957+0.0010419i,-0.00044697+0.0029971i,-0.0017561-0.0034712i,-0.00027718-0.0024153i,-0.00062809-0.0021663i,0.0021878+0.0033959i,0.0033765+0.00060038i,-0.0024672-0.011717i,-0.011666+0.00077203i,0.0070634+0.001499i,-0.0036283-0.0074693i,0.031687-0.02305i,0.010224-0.008982i,-0.0058219-0.010266i,-0.032688-0.0088275i,-0.013962+0.00059457i,-0.0053211-0.032395i,0.01316-0.0041918i,-0.0013807+0.002648i,0.0017634+0.0050925i,-0.0039189+0.0051124i,-0.0069174-0.0034277i,0.0082919-0.010932i,0.010822-0.0021337i,-0.011068+0.0069231i,-0.0013702-0.0030832i,-0.0032883+0.0010015i,-0.0053593-0.00084181i,-0.0041509-0.0058382i,0.0048387-0.00082688i,-0.0025185-0.0076049i,-0.0025003+0.00080076i,0.00036045+0.00093201i,-0.0028108+0.00025409i,-0.0063418+0.0058818i,0.0013229+0.003503i,-0.0020209-0.00054519i,0.019185+0.00011717i,-0.001046+0.0099035i,0.0013746-0.0008436i,-0.0012554+0.0017268i,-0.00066429-0.0018958i,0.0034425+0.010137i,0.0030507+0.0019872i,0.0001158+0.003955i,0.0012405+0.0034792i,9.9403e-05+0.0047338i,0.0015115+0.0035695i,-0.00082849+0.0011484i,0.0070181+0.0033724i,-0.0042447+0.0014703i,-0.0046855+0.005467i,-0.00022146-0.015366i,0.016719-0.0057748i,-0.018096+0.010511i,-0.019223-0.0017717i,0.014424+0.0029653i,0.014069+0.014609i,-0.010974-0.00090621i
-0.0032204-0.011274i,0.0034854-0.0083819i,0.0083871-0.0063703i,0.0092437-0.013512i,0.014324-0.016802i,0.00020096-0.022198i,0.0021888-0.011484i,0.0074734-0.01158i,-0.0035073-0.0073916i,0.0015753+0.0037498i,-0.00089817+0.00016707i,0.0014652+0.0019368i,0.0022626+0.0031952i,0.0013199+0.0030543i,0.0023084+0.0015052i,0.0011727+0.0010165i,-0.00040439-0.0010603i,-0.0016014-0.0036661i,-0.0028315-0.0010647i,-0.0030041-0.00046936i,-0.0028925-0.00096262i,-0.0015798+0.00018836i,-0.0023416+0.0007702i,6.6175e-05-0.0054204i,0.0014961+0.0021681i,0.0016464+0.0020951i,0.0015624+0.00379i,0.00011677+0.0031937i,0.00047235+0.0044369i,0.0015053+0.0027736i,-0.0014574-3.7991e-05i,0.00052414+0.0012284i,-0.00074726+6.243e-05i,-0.0012036+8.7402e-05i,-0.00014862-0.00037452i,0.00467+0.0097434i,0.00061606+0.0027567i,-0.00010502+0.0014623i,0.00083842+0.0029738i,-0.0025468-0.0028221i,-0.0011926-0.002502i,-0.0013993-0.0021061i,0.0029544+0.0028288i,0.003526-7.5453e-06i,-0.0035538-0.012273i,-0.0084613-0.00052717i,0.010366-0.0020892i,-0.0053859-0.0069234i,0.02426-0.033138i,0.0079503-0.012297i,-0.0056798-0.0064881i,-0.031191-0.00045574i,-0.0091307+0.0066176i,-0.012818-0.030371i,0.0098059-0.0056303i,-0.00042743+0.0032518i,0.003791+0.003893i,-0.0027707+0.0065259i,-0.0073781+4.7388e-06i,0.0021247-0.013562i,0.0088916-0.0062867i,-0.0088897+0.0096773i,-0.0012232-0.0018582i,-0.0024083+0.0010574i,-0.0042005+1.2449e-05i,-0.0052212-0.0031092i,0.0036454-0.0017612i,-0.003905-0.0058048i,-0.00043214+0.0015038i,0.0018063-6.3314e-05i,-0.0025555+0.0012509i,-0.0035636+0.0070018i,0.0023311+0.0017665i,-0.0012516+0.00064047i,0.015873-0.0069671i,0.0032391+0.0091647i,0.0010137-0.00053047i,-0.00050705+0.0014636i,-0.0013251-0.00079054i,0.0062712+0.0075113i,0.0040702+0.00072248i,0.0029687+0.0035569i,0.0028844+0.0020855i,0.0027313+0.0033825i,0.0022947+0.0028722i,-0.00097405+0.0023648i,0.0070957+0.00092454i,-0.0052652+0.0022819i,-0.0023031+0.0065546i,-0.0019586-0.015912i,0.0090431-0.015057i,-0.015634+0.0066712i,-0.021704+0.0023318i,0.012793-0.0018968i,0.015999+0.0099787i,-0.012074+0.00044315i
-0.004656-0.010275i,0.0019069-0.0088809i,0.0068262-0.008757i,0.0065376-0.015657i,0.011417-0.019653i,-0.0042191-0.021685i,0.0009871-0.010782i,0.0053967-0.01277i,-0.0039357-0.0071814i,0.0020334+0.0038778i,-0.00096949+0.00057877i,0.0017458+0.0011804i,0.0030776+0.002887i,0.0019947+0.0028567i,0.0027237+0.0010232i,0.0019881+0.00085009i,-0.00054016-0.00093144i,-0.0030401-0.003269i,-0.0032648-0.00013981i,-0.0034209+0.00065515i,-0.0032998-0.00023022i,-0.0014107+0.00018962i,-0.0021487+0.0015224i,-0.0023493-0.0047011i,0.002308+0.0011636i,0.0023785+0.0014867i,0.0026652+0.0031233i,0.0014098+0.0032068i,0.0023361+0.0038947i,0.0024788+0.0019403i,-0.0011764+0.00045786i,0.00099784+0.0011743i,-0.00059242+0.00069202i,-0.00085643+0.0007401i,-0.00021068-0.00039766i,0.0072052+0.0077768i,0.0016977+0.0023265i,0.00047684+0.0014757i,0.0020777+0.0024033i,-0.0030119-0.0020763i,-0.0022057-0.0020177i,-0.0020044-0.001625i,0.0037642+0.0019943i,0.0034114-0.00067332i,-0.0051987-0.012662i,-0.0064811-0.0026434i,0.011538-0.0065768i,-0.0054644-0.0053626i,0.014352-0.039689i,0.0049007-0.014158i,-0.0044597-0.0048258i,-0.026614+0.0051919i,-0.001247+0.0085389i,-0.018411-0.025829i,0.006968-0.0059652i,0.00050806+0.0032732i,0.0041264+0.0017833i,-0.00084749+0.0072532i,-0.0071365+0.0031806i,-0.0053255-0.012289i,0.0053252-0.0083643i,-0.0061066+0.011841i,-0.00047375-0.0021365i,-0.0020787+0.0010626i,-0.0039708+0.00029543i,-0.0048168-0.00097037i,0.0028408-0.0019506i,-0.0046831-0.0046106i,0.0007775+0.00088732i,0.0020986-0.0020227i,-0.0018961+0.0020844i,-0.00019008+0.0071566i,0.0021286+0.00039378i,-0.00042747+0.00051593i,0.010816-0.011158i,0.0066732+0.0066818i,0.0014741-0.0005789i,0.00055666+0.00061169i,-0.00062357-1.5895e-05i,0.0076287+0.0044695i,0.0048195-0.0015926i,0.0047174+0.0019741i,0.0034302+0.00072576i,0.0037487+0.0011718i,0.0036133+0.0024156i,-5.2972e-05+0.0034743i,0.0067728-0.0011558i,-0.0057152+0.0040426i,-0.00015384+0.0062131i,-0.0035203-0.015704i,-0.00063361-0.020395i,-0.018353+0.0036302i,-0.021534+0.0077048i,0.0070748-0.0045398i,0.017101+0.0056463i,-0.011881+0.0018092i
-0.0053244-0.0091944i,0.0010777-0.0084376i,0.0041629-0.010037i,0.0029328-0.016931i,0.0076874-0.021882i,-0.0080613-0.019913i,0.00042865-0.010353i,0.0031298-0.013586i,-0.0043881-0.0072969i,0.0031651+0.0040304i,-0.00087462+0.0013801i,0.001805+0.0008955i,0.0038989+0.0022501i,0.0027527+0.0025359i,0.0030287+0.00034768i,0.0024527+0.00056087i,-0.00097469-0.0006902i,-0.0042826-0.0020827i,-0.0031276+0.00081418i,-0.0031122+0.0020876i,-0.0033525+0.00089399i,-0.0017081+0.00011145i,-0.0016587+0.0022436i,-0.004232-0.0028627i,0.0022889+9.1454e-05i,0.0028019+0.00053737i,0.0037828+0.0019833i,0.0026587+0.0026546i,0.0036278+0.0024983i,0.0029892+0.00087598i,-0.00076014+0.0007378i,0.0013532+0.00066803i,-3.4299e-05+0.0011379i,-0.00027594+0.0010966i,-0.00035641-6.7312e-05i,0.0088268+0.004991i,0.002453+0.0014411i,0.00096673+0.0013592i,0.0029623+0.0012399i,-0.0033625-0.001189i,-0.0028355-0.0010017i,-0.0024985-0.001119i,0.0041577+0.00072526i,0.0031696-0.0013548i,-0.0070316-0.01268i,-0.0058179-0.0058779i,0.010574-0.010765i,-0.0041656-0.005057i,0.0039819-0.041823i,0.0015445-0.014448i,-0.0037085-0.0038544i,-0.022077+0.0075223i,0.0063427+0.0060348i,-0.021085-0.019941i,0.0054489-0.0056445i,0.0015695+0.0026727i,0.0035943+0.00051085i,0.0016677+0.007058i,-0.0053611+0.0064282i,-0.010576-0.0071208i,0.0016688-0.0084779i,-0.0027107+0.012989i,-0.0013943-0.003009i,-0.0018818+0.0013188i,-0.0039948+0.001099i,-0.0037319+0.00047319i,0.0019434-0.0020153i,-0.0054148-0.0030795i,0.0012536-4.1396e-05i,-2.1365e-05-0.0034836i,-0.00072594+0.0025967i,0.0026194+0.0054153i,0.0023382-0.00042462i,-3.7745e-05+0.00020783i,0.0050921-0.012701i,0.0084165+0.0030094i,0.0015652-0.0014791i,0.0001938-0.00038931i,0.00031002+5.6136e-05i,0.0075459+0.0016165i,0.0037388-0.004401i,0.0059583-3.0028e-05i,0.0038045-0.00047213i,0.0040968-0.00096477i,0.0044882+0.00093366i,0.0015446+0.0036908i,0.0053875-0.0030033i,-0.005147+0.0063154i,0.0015529+0.0051272i,-0.0041807-0.015172i,-0.012323-0.020984i,-0.021893+0.0043705i,-0.01821+0.01248i,0.0027314-0.0026396i,0.016178+0.00049403i,-0.011322+0.0020824i
-0.0055096-0.0088038i,0.00083573-0.0091414i,0.0019513-0.010058i,-0.00063206-0.01686i,0.0036663-0.023296i,-0.01092-0.017794i,0.00026438-0.010871i,0.0008051-0.014043i,-0.0051987-0.0074042i,0.0046138+0.003336i,-0.00013824+0.0021003i,0.0019389+0.00076295i,0.0045885+0.0011154i,0.0034711+0.0018567i,0.0031434-0.00047133i,0.0029547+0.00043296i,-0.0011036-0.00013239i,-0.0046947-0.00055679i,-0.0029163+0.0015328i,-0.002173+0.0030263i,-0.0029981+0.0017992i,-0.0020291+0.0006702i,-0.00084193+0.0027441i,-0.0051649-0.00030298i,0.0020162-0.00060716i,0.0028072-0.00050012i,0.004235+0.0003073i,0.0036637+0.0015251i,0.0040008+0.0010394i,0.0031248-0.00027883i,-0.00024553+0.00091926i,0.0011665+0.00026011i,0.00074869+0.001092i,0.00042972+0.0011777i,-0.00022023+0.0003037i,0.0090387+0.0020253i,0.0026768+0.00037992i,0.0015595+0.0010332i,0.0031119-0.0001263i,-0.0032897-2.8556e-05i,-0.0028135+3.4804e-06i,-0.0028981-0.0004007i,0.0039091-0.00061995i,0.0027155-0.0019478i,-0.0090817-0.012318i,-0.0081901-0.0086788i,0.0079716-0.013909i,-0.0036338-0.0058995i,-0.0045872-0.04119i,-0.00075631-0.012733i,-0.0025886-0.0030337i,-0.018586+0.0091337i,0.010765+0.00086133i,-0.020491-0.01428i,0.0042509-0.006426i,0.002195+0.0013157i,0.003563-0.00055485i,0.0040154+0.0054736i,-0.0021602+0.0075241i,-0.011926-0.0010872i,-0.0013627-0.0076232i,0.00093009+0.012487i,-0.0030864-0.0028955i,-0.002155+0.0018997i,-0.0035968+0.0021903i,-0.0027668+0.0014117i,0.0014737-0.0010089i,-0.0056557-0.0011294i,0.00086739-0.00083682i,-0.0019518-0.002507i,0.00051033+0.0025052i,0.0037525+0.0030093i,0.0025034-0.0016814i,0.00023801+0.00030117i,0.00019973-0.011941i,0.0085917-0.00087608i,0.0008507-0.0021921i,-0.00022521-0.00022112i,0.001015-0.00052619i,0.0069841-0.00038671i,0.0011359-0.0060025i,0.0060413-0.0030044i,0.0034752-0.0023659i,0.0032625-0.0034112i,0.0047428-0.0006059i,0.0029166+0.0031968i,0.0032242-0.0034902i,-0.0033204+0.00792i,0.002323+0.003719i,-0.0043193-0.015806i,-0.022914-0.015728i,-0.024606+0.0070563i,-0.013594+0.013798i,0.0019705-0.00075959i,0.013218-0.0030254i,-0.012528+0.0025266i
-0.0064262-0.0086825i,-0.00016132-0.010666i,0.00047749-0.0098326i,-0.0037403-0.015977i,-0.00065019-0.024092i,-0.013611-0.015539i,-0.00042689-0.012597i,-0.0015759-0.01418i,-0.006396-0.0073834i,0.0055866+0.0020878i,0.00095989+0.0022001i,0.0021813+0.00065256i,0.004762-0.00030944i,0.004049+0.00093345i,0.00295-0.0013997i,0.0035175+4.6022e-05i,-0.0010216+0.00036468i,-0.0046793+0.00087682i,-0.0024326+0.0024214i,-0.001059+0.0035182i,-0.0024376+0.0026924i,-0.0018868+0.0014883i,-2.5045e-05+0.0028231i,-0.0047287+0.0023798i,0.0016487-0.0011177i,0.0024212-0.0014142i,0.0039723-0.0013813i,0.003972-2.3596e-05i,0.0040049-0.00036752i,0.002767-0.001476i,0.00034881+0.00077532i,0.0011681+0.00021208i,0.0013463+0.00059341i,0.0011027+0.0006818i,0.00018372+0.00044569i,0.0084589-0.00051898i,0.0027212-0.00064093i,0.0021025+0.00036512i,0.0025988-0.0013745i,-0.0026828+0.0010018i,-0.0026742+0.00098314i,-0.002986+0.00054205i,0.0032269-0.0014678i,0.0021437-0.0020417i,-0.011288-0.011461i,-0.011927-0.0085949i,0.0050854-0.015449i,-0.0038195-0.005887i,-0.012686-0.039951i,-0.0010336-0.010836i,-0.0012157-0.0031469i,-0.01428+0.010197i,0.013382-0.00536i,-0.017975-0.011164i,0.0024872-0.0070076i,0.0016042-0.00079858i,0.0031945-0.0019804i,0.004648+0.003011i,-9.9439e-05+0.0069612i,-0.010998+0.004319i,-0.0038385-0.0058016i,0.0035385+0.010167i,-0.0046528-0.0014587i,-0.0019803+0.0032073i,-0.0029033+0.003109i,-0.0012238+0.0017096i,0.00243+0.00042672i,-0.0048371+0.00026972i,0.00065385-0.00054801i,-0.0024925-0.0012592i,0.0015096+0.0019692i,0.0038343+0.0012129i,0.00084683-0.0032902i,0.00065979+8.4055e-05i,-0.0037038-0.010213i,0.0073084-0.0041584i,0.00011301-0.0024114i,0.00031914-0.00022436i,0.00087923-0.0016017i,0.0065525-0.0022325i,-0.0014142-0.0057619i,0.0042844-0.0057956i,0.0019694-0.0034104i,0.001066-0.0045543i,0.0045168-0.00221i,0.0039698+0.0023273i,0.0023724-0.0030922i,-0.00051718+0.0083767i,0.0019937+0.0023115i,-0.0052459-0.017576i,-0.027376-0.006199i,-0.026689+0.011516i,-0.010115+0.01407i,0.00093361+0.00056794i,0.010049-0.0044823i,-0.013181+0.0041856i
