-0.0070032-0.039759i,-0.011296-0.044131i,0.002462-0.046743i,-0.027603-0.028135i,-0.021088+0.013592i,-0.032469-0.033706i,-0.060849-0.062829i,-0.021624-0.073737i,-0.033882-0.0524i,0.0012073+0.015962i,-0.0068645+0.011073i,-0.015324+0.014024i,0.0017144+0.016687i,-0.0038467-0.0033633i,0.00029995+0.0065264i,0.00034585+0.039725i,0.019469+0.060678i,0.00088046-0.00016125i,-0.004561-0.0084769i,0.0087783+0.0047127i,0.0018372+0.00093184i,-0.00099906+0.0035168i,0.00013001-0.001438i,-0.036838-0.0095386i,-0.0020239-0.0073435i,1.6558e-05+0.0044908i,0.0051298+6.8932e-05i,0.00039519+0.00079295i,-0.00029033-0.001034i,0.00010741-0.0029744i,-0.0010125-0.0059491i,-0.0024428-0.0041297i,-0.00019456-0.0081676i,0.0030655-0.0014003i,0.0034601-0.0026294i,-0.0020368+0.034833i,0.0062947-0.0043787i,0.0036123-0.0023915i,0.00502+0.00014318i,-0.013628-0.0042037i,5.8319e-05+0.00039998i,0.010471-0.00039989i,0.0064435-0.00066288i,-0.003658+0.0041142i,0.0023194+0.0032715i,-0.0029281+0.0087106i,0.015373-0.087552i,-0.0065879-0.046759i,-0.023572-0.038371i,-0.019247-0.042144i,0.063995-0.016114i,0.02848-0.061521i,0.038831-0.044713i,0.030203-0.056116i,0.019403-0.015687i,0.0082006+0.0093963i,0.024661-0.032058i,-0.0073288-0.004651i,0.0023488-0.0023607i,-0.0046942-0.0063768i,0.0013481-0.032153i,-0.024606+0.031026i,0.007843-0.010034i,-0.01113-0.001661i,-0.0052685-0.0012804i,-0.0011253-0.013666i,-0.010036+0.0042826i,0.0035506+0.0080592i,-0.011077+0.031574i,0.0053898+0.0077934i,-0.0053416-0.0014945i,-0.0020297-0.0021475i,-0.0115-0.007228i,0.00045928-0.0038887i,-0.035386+0.0046306i,0.0025121-0.01255i,-0.0090673-0.0022331i,-0.0064298-0.0025557i,0.0062483+0.0015589i,-0.00943+0.0018949i,0.0010851+0.0010332i,0.0052591+0.0095052i,0.0045265+0.00018389i,-0.0092423-0.0093029i,0.0025335+0.0086494i,-0.019115+0.0063306i,0.0065827+0.0031272i,-0.028713-0.0088152i,-0.034469+0.0024875i,0.026067-0.077669i,0.01255-0.0099598i,-0.042684-0.027521i,-0.022454-0.0037226i,0.017984+0.012899i,-0.026412+0.012204i,-0.011536-0.0089956i
-0.014358+0.019547i,0.011716+0.048901i,0.026762+0.047215i,0.00048726+0.018238i,-0.0022722+0.0077854i,0.027861+0.0028873i,0.012797+0.018632i,0.011462+0.046024i,0.0046318+0.020412i,-0.0025351+0.0054981i,0.0010614+0.0016989i,0.0029274-0.004306i,0.0029138-0.0027199i,0.0036873-0.00030749i,0.0032111-0.0025522i,0.005136-0.0017145i,0.013335-0.0065927i,-0.00052871-0.00036484i,-0.0049666+0.00055212i,-4.5241e-05+0.0024856i,-0.00056955-0.0011223i,-0.005122-0.001966i,-0.0025557+0.00066164i,0.0048366+0.0081065i,0.0022261+0.0017417i,0.0025626+0.00085284i,0.0020439+0.0015461i,-0.0014817+0.003302i,-0.00053447+0.0009769i,-0.00070906+0.0012659i,0.00067666-0.0039615i,-0.0010512-0.0013459i,-0.00053645-0.00042099i,-8.8277e-05+0.00076237i,-0.00036027-0.0019283i,-0.0057726+0.010895i,0.003211+0.00025939i,0.00094321+0.00013529i,-0.00072012+0.0025845i,-0.00043574-0.0030495i,-0.0022102+0.00046689i,-0.0024255-0.0018353i,0.0010709+0.0091544i,0.0033648+0.00091909i,-0.029014+0.021007i,-0.057055+0.025423i,-0.030692+0.047068i,-0.01839+0.031654i,-0.0046841+0.048564i,-0.0082392+0.032646i,0.0086929+0.01044i,-0.0059833-0.0071744i,-0.037991-0.0079922i,-0.042686+0.016446i,0.0091939+0.021205i,-0.0018058+0.0029096i,-0.0053874+0.0022797i,-0.011435-0.0031011i,0.0098016+0.0017012i,0.012116+0.014484i,-0.0028592+0.0077754i,-0.0065869-0.0121i,0.0053099-0.0027022i,-0.0049656-0.0044561i,0.0040676-0.0076964i,0.0050759-0.0023703i,-0.0010451+0.0099257i,0.012648-0.0046039i,0.0075692-0.0068338i,0.0053255-0.0069502i,0.0034155-0.00045523i,-0.0029254-0.0062851i,-0.0035954-0.0015047i,0.0028992-0.0012308i,-0.012908+0.035967i,-0.0057906-0.0051615i,0.001432+0.00082147i,-0.00073752-0.0076334i,0.003017-0.00099269i,-0.01448-0.0048461i,0.001367-0.0007135i,0.0033038-0.0031538i,0.0024705-0.0022998i,-1.5891e-05-0.0058847i,-0.0013192+0.0068459i,-0.00055381+0.0030974i,-0.0020483+0.0055667i,-0.011317-0.0019833i,-0.0091547+0.0028984i,-0.040154+0.039582i,-0.0074849+0.016344i,-0.023117-0.0051587i,-0.00025805-0.0013771i,0.0099929+0.019643i,-0.0012259+0.019648i,-0.0060814-0.00073376i
-0.011888+0.0195i,0.01893+0.044677i,0.034819+0.041678i,0.004714+0.020106i,0.0017383+0.0080657i,0.027953-0.0031425i,0.014234+0.01533i,0.019373+0.041513i,0.0072274+0.018856i,-0.00067696+0.0055532i,0.0018949+0.0016056i,0.00045932-0.0032628i,0.0014935-0.0027946i,0.0034611-0.00048025i,0.002439-0.0030554i,0.0040814-0.0016514i,0.0096807-0.0091613i,0.0001927-6.2612e-05i,-0.0048129+0.001123i,0.0009334+0.0014294i,-0.0010625-0.0013775i,-0.0054938-0.00058024i,-0.0023143+0.0007717i,0.0087208+0.0048754i,0.0020944+0.0019473i,0.0030792-0.00031384i,0.0022202+0.00053564i,-5.0895e-05+0.0034966i,-0.00072398+0.001581i,-0.00040839+0.0015485i,-0.0010057-0.0036622i,-0.0017366-0.001216i,-0.00092165-0.00030809i,0.00029234+0.00045509i,-0.0012187-0.00041427i,-0.0018685+0.011436i,0.0027832-0.00096762i,0.00094848-1.5038e-07i,0.00056507+0.0022544i,-0.0010036-0.0023879i,-0.0018517+0.00069096i,-0.0030256-0.0007573i,0.0031466+0.0093944i,0.0026471+0.00051884i,-0.024088+0.025568i,-0.049161+0.034324i,-0.024565+0.051794i,-0.01141+0.033184i,0.0080883+0.044699i,0.0011933+0.030241i,0.0039773+0.003833i,-0.01294-0.011235i,-0.041962-0.0062836i,-0.033985+0.017214i,0.013909+0.017317i,-0.0023785+0.0032732i,-0.0043225+0.0063463i,-0.01178+0.0015923i,0.0083078-0.0018515i,0.014594+0.011566i,0.0012756+0.011528i,-0.01247-0.010203i,0.0023122-0.0034941i,-0.0047487-0.0017654i,-0.00073287-0.0073979i,0.0034525-0.0041917i,0.0036613+0.0075647i,0.0086239-0.0079666i,0.0028344-0.0084499i,0.0018829-0.0050696i,0.0042458-0.001538i,-0.0043299-0.0046429i,-0.0018204+0.00083092i,0.0029361-0.0017146i,0.0061421+0.036423i,-0.0071517-0.0037382i,0.0021134-0.00091381i,-0.0040695-0.0064898i,0.0034973-0.001806i,-0.014033+0.0018264i,0.0014458-0.00022778i,0.0016775-0.0029954i,0.0023053-0.0034909i,-0.0018161-0.0054769i,0.0010453+0.0035611i,0.00092878+0.0026204i,0.0010637+0.0059897i,-0.01096+0.0018458i,-0.0087369+0.0044938i,-0.031737+0.041i,-0.0044435+0.019142i,-0.024588-0.00017972i,-0.0015309-0.0055985i,0.012636+0.018736i,0.0027278+0.021592i,-0.0084608-0.00055947i
-0.010151+0.019856i,0.024708+0.039318i,0.043114+0.033416i,0.011626+0.018163i,0.0063233+0.0066428i,0.026568-0.0094009i,0.014769+0.011872i,0.0261+0.035305i,0.010337+0.018031i,0.00055188+0.005227i,0.0023161+0.00053332i,0.00012522-0.0013537i,6.4844e-05-0.0027845i,0.0034947-0.001013i,0.001593-0.0031512i,0.0031724-0.0015502i,0.0064127-0.01039i,0.00023925-0.00052039i,-0.0046924+0.0026406i,0.00088049+0.00012464i,-0.0020602-0.0014261i,-0.0053158+0.0010802i,-0.0023925+0.0010733i,0.0090985-9.8152e-05i,0.0030207+0.001324i,0.0024407-0.0016425i,0.0020744-0.00018813i,0.0014828+0.0028781i,0.0003803+0.0018919i,-5.1135e-05+0.0017883i,-0.0023841-0.0025751i,-0.0023867+7.2275e-05i,-0.00094798+0.00020617i,0.0002618+9.3331e-05i,-0.00069252+0.00066512i,0.0014597+0.010825i,0.0019008-0.0016085i,0.00085876-0.00058784i,0.0010255+0.0014107i,-0.0016968-0.0019114i,-0.001682+0.00091721i,-0.0030345+0.00035828i,0.0057812+0.0092508i,0.0026725+0.0003558i,-0.017489+0.028826i,-0.04025+0.041186i,-0.016068+0.055701i,-0.0038825+0.032007i,0.019287+0.036915i,0.0093148+0.027908i,-0.0024347+0.001351i,-0.019882-0.010295i,-0.045639-0.00084457i,-0.027584+0.015146i,0.016926+0.011564i,-0.0024834+0.0039245i,-0.0022819+0.007712i,-0.01104+0.0052597i,0.0052081-0.0055704i,0.017041+0.0074062i,0.0067751+0.012027i,-0.016452-0.0057598i,0.0010769-0.0022007i,-0.0041236+0.00032897i,-0.0031019-0.0051322i,0.0012648-0.0044852i,0.0057192+0.0061533i,0.0054587-0.0086289i,-0.002117-0.00714i,0.0015637-0.003306i,0.004018-0.0040756i,-0.0061598-0.0027057i,-0.0002698+0.00056739i,0.0017797-0.0026683i,0.02148+0.027604i,-0.0086274-0.001038i,0.0019718-0.0019666i,-0.0040801-0.0040643i,0.0040333-0.0036256i,-0.010174+0.007049i,0.0025692-0.00036516i,0.00014578-0.0031926i,0.00086156-0.0035465i,-0.0035587-0.0038062i,0.00035708+0.0025929i,0.0019659+0.0016404i,0.003703+0.0051716i,-0.009574+0.0044839i,-0.0080936+0.0066863i,-0.025612+0.041284i,0.0031045+0.020251i,-0.023858+0.0039916i,-0.0042295-0.0088684i,0.017272+0.015695i,0.0087671+0.022869i,-0.00992+0.0014009i
-0.0083406+0.020685i,0.028312+0.034052i,0.04779+0.022573i,0.01671+0.012713i,0.0097349+0.0027391i,0.023206-0.014718i,0.014633+0.0095031i,0.03027+0.027855i,0.014184+0.01562i,0.0014932+0.0050269i,0.0020585+0.00025017i,0.00080495-0.00056366i,-0.001531-0.001508i,0.003064-0.0014604i,0.00073093-0.0031787i,0.0027152-0.001013i,0.0026416-0.010276i,0.0002553-0.00054556i,-0.002952+0.0038944i,-2.0097e-06-0.00045044i,-0.0027525-0.00042646i,-0.0045652+0.002848i,-0.002188+0.0016807i,0.0069115-0.0036866i,0.0029619+9.31e-05i,0.0013241-0.0020384i,0.0016582-0.00073062i,0.0020153+0.0017048i,0.0011357+0.0010583i,0.00057579+0.0020832i,-0.0030477-0.00084604i,-0.00188+0.0012585i,-0.00069126+0.00048743i,2.147e-06+0.00010025i,-0.00013733+0.00097066i,0.0044025+0.0094426i,0.0012793-0.0019411i,0.0003307-0.00091069i,0.0010009+0.0012364i,-0.0022032-0.0013396i,-0.0013768+0.001278i,-0.0027364+0.0011865i,0.008528+0.0079472i,0.0027815+1.4232e-05i,-0.010299+0.029112i,-0.029846+0.045945i,-0.0068858+0.058385i,0.0007939+0.029616i,0.027337+0.025622i,0.016739+0.021425i,-0.0096527+0.0033975i,-0.027267-0.0060789i,-0.047784+0.0073589i,-0.024181+0.011543i,0.017858+0.0048707i,-0.0019173+0.0052334i,0.00023959+0.0098057i,-0.0090888+0.0086334i,-0.00050647-0.0056669i,0.018848+0.0011307i,0.012312+0.0095587i,-0.018695-0.00012565i,0.00061745-0.0018094i,-0.0027975+0.0017016i,-0.0041564-0.0018844i,-0.00010031-0.0040696i,0.0074798+0.0028953i,0.0025527-0.0090113i,-0.005045-0.0027194i,0.0019446-0.0030077i,0.0019324-0.00609i,-0.0062129+0.00047194i,0.00068539+0.00051299i,0.00090625-0.002787i,0.029984+0.013509i,-0.0083292+0.0030628i,0.0015988-0.0031627i,-0.0040488-0.002442i,0.0024152-0.0061576i,-0.0050038+0.0085425i,0.0034935-0.0016182i,-0.0010917-0.0021254i,-7.0046e-07-0.0031694i,-0.0034712-0.0014371i,-0.00016084+0.00294i,0.0019987+0.00020253i,0.0058041+0.003516i,-0.0080541+0.0062262i,-0.0069235+0.0087601i,-0.02006+0.043001i,0.013523+0.015058i,-0.021454+0.008035i,-0.0099307-0.010426i,0.019167+0.010453i,0.015672+0.020726i,-0.0089952+0.0027146i
-0.0058394+0.021627i,0.031974+0.029761i,0.049474+0.012508i,0.019179+0.0061007i,0.010538-0.0023344i,0.019466-0.01868i,0.014675+0.0082165i,0.032269+0.021212i,0.017505+0.01205i,0.0024921+0.0046586i,0.0018879+0.00021207i,0.0016911-0.00063054i,-0.0016179+0.00058091i,0.0025734-0.0019647i,-3.0093e-05-0.0026422i,0.0029151-0.00032079i,1.0575e-05-0.0089001i,-8.5355e-05-0.00060696i,-0.0015202+0.0038361i,-0.00076377-0.0002757i,-0.0027983+0.00048346i,-0.0027937+0.0041072i,-0.0015393+0.0022307i,0.0039715-0.0054656i,0.0024209-0.00075707i,0.00059455-0.0021887i,0.0011422-0.001117i,0.0018189+0.00083533i,0.00096329+0.00042056i,0.0016722+0.0019067i,-0.0025449+0.00053506i,-0.0010859+0.0019008i,-0.00047697+0.00060219i,0.00022436+0.00067754i,0.00059394+0.0012006i,0.0066791+0.007459i,0.00042243-0.0020176i,-0.0002129-0.00074814i,0.0016191+0.00096049i,-0.0024168-0.00057751i,-0.0010887+0.0012655i,-0.0022644+0.0018974i,0.010636+0.0052423i,0.002299-0.00080299i,-0.0050726+0.027588i,-0.018704+0.047599i,0.0047098+0.059205i,0.005196+0.028109i,0.029719+0.013358i,0.019896+0.013634i,-0.01317+0.010575i,-0.031952+0.0034272i,-0.047756+0.018425i,-0.02508+0.0088959i,0.014953-0.0006742i,-0.00025505+0.0062694i,0.0047655+0.0093424i,-0.0062657+0.011339i,-0.0033658-0.0024458i,0.017263-0.0068471i,0.016055+0.0044927i,-0.01883+0.0059379i,0.0006504-0.00064399i,-0.0015296+0.0022672i,-0.0024953+0.00017364i,-0.0019612-0.0028698i,0.0072679+0.00028525i,-0.00020539-0.0086796i,-0.0042512+0.0014542i,0.0024959-0.0034127i,-0.00079723-0.0066472i,-0.004263+0.0024347i,0.001816-7.9399e-05i,0.00028708-0.0022691i,0.030773-0.00095779i,-0.0050821+0.0059127i,0.00028017-0.0041205i,-0.0033302-0.0019122i,-7.2426e-06-0.0069419i,-0.0014699+0.0076433i,0.0028934-0.0032001i,-0.0011605-0.00038475i,-7.4992e-05-0.0023904i,-0.0017843-0.00059759i,0.0010459+0.0037065i,0.00084033-0.00080065i,0.0060144+0.0007147i,-0.0064352+0.0067014i,-0.0045339+0.010935i,-0.013197+0.044082i,0.018112+0.0025984i,-0.016833+0.0092233i,-0.016126-0.0089345i,0.020121+0.0053784i,0.02093+0.014225i,-0.0093811+0.0026787i
-0.0028991+0.021731i,0.035818+0.024739i,0.049987+0.0029498i,0.019698-0.00096287i,0.010008-0.0064704i,0.015201-0.021952i,0.016068+0.0070892i,0.033468+0.015003i,0.020243+0.0070506i,0.0031795+0.0039036i,0.0023787+0.0001726i,0.0021848-0.0011121i,-6.4755e-05+0.0020788i,0.0019976-0.0021526i,-0.00022361-0.0022431i,0.0037298+4.8874e-06i,-0.0012153-0.0079528i,0.00027522-0.00073391i,-0.00053506+0.0037406i,-0.0011556+0.0002211i,-0.0021987+0.001254i,-0.00060472+0.0039212i,-0.00081731+0.0023808i,0.00060182-0.0059132i,0.002106-0.0013255i,-0.00035297-0.0021825i,0.00055903-0.0012869i,0.0016557+0.00040821i,0.00086862+0.00021743i,0.0022466+0.00091925i,-0.0018192+0.0013825i,-0.00016695+0.0021463i,-0.00030671+0.000911i,0.0008612+0.000248i,0.0010043+0.00032914i,0.0077277+0.0050005i,-0.00027101-0.0018837i,-0.00038624-0.00032529i,0.0015007+2.536e-05i,-0.0020759-9.9225e-05i,-0.0011595+0.0015186i,-0.0015915+0.0023304i,0.011551+0.0024016i,0.0015831-0.00083992i,-0.00079035+0.025376i,-0.0087508+0.046237i,0.016541+0.055539i,0.010057+0.026268i,0.02843+0.0024707i,0.01995+0.0068241i,-0.011065+0.018711i,-0.030812+0.015628i,-0.04186+0.031673i,-0.027886+0.009746i,0.011318-0.0033882i,0.0017372+0.0060895i,0.0075675+0.0067789i,-0.002508+0.013478i,-0.0037892+0.00023948i,0.011609-0.013908i,0.016496-0.0023763i,-0.016568+0.010699i,0.0015642-0.0005567i,-0.00026439+0.0022266i,-0.00094765+0.00029321i,-0.0021901-0.00059212i,0.0057996-0.0015215i,-0.0022032-0.0072092i,-0.0015705+0.0037129i,0.002042-0.0048983i,-0.0032173-0.0053915i,-0.0027412+0.00271i,0.0019361-0.0017129i,0.00071969-0.0019287i,0.025383-0.013388i,-0.001615+0.0064015i,-0.0014007-0.0038477i,-0.0034968-0.0013997i,-0.0027021-0.0065532i,0.00065907+0.0064763i,0.002406-0.0043339i,0.00022342+0.00027668i,-9.1839e-05-0.003004i,-0.00072759-0.00113i,0.0021645+0.0036534i,-0.00030781-0.00020499i,0.0051306-0.00076521i,-0.0055839+0.0069069i,-0.00083338+0.011917i,-0.0062371+0.043973i,0.01415-0.0084384i,-0.013822+0.0062939i,-0.021547-0.003941i,0.018535-0.001239i,0.021769+0.007108i,-0.0098337+0.004301i
0.00012938+0.021616i,0.038746+0.018697i,0.048336-0.0075293i,0.016996-0.0087293i,0.0085179-0.010957i,0.010226-0.024118i,0.018244+0.0048753i,0.033837+0.0090473i,0.020788+0.0015075i,0.0036606+0.0036917i,0.0024687-0.00048707i,0.0023697-0.0024972i,0.0015198+0.0021178i,0.0013617-0.0023281i,-0.00030179-0.0019057i,0.0047416-0.00051854i,-0.0025981-0.0072637i,-0.00033228-0.0011524i,0.00075988+0.0033001i,-0.0014365+0.00096163i,-0.0018828+0.0015432i,0.00063054+0.0027374i,-0.00042672+0.0023278i,-0.0025246-0.0047186i,0.0012136-0.0026284i,-0.0012281-0.0015201i,-0.00015149-0.001272i,0.0015812+0.00012016i,0.0010904-7.7383e-05i,0.0021625-0.00010926i,-0.00072027+0.0018474i,0.0006125+0.002101i,-0.00015177+0.0012148i,0.00076151-1.5704e-05i,0.00056456-0.00052873i,0.007935+0.0028655i,-0.0010595-0.0014535i,-0.00038679-0.00016936i,0.0012219-0.00021604i,-0.0015111+4.4695e-05i,-0.00084821+0.0020418i,-0.0008052+0.0026578i,0.011861-0.0010093i,0.0011477-0.00055687i,0.0024612+0.022982i,-0.00035961+0.043281i,0.025871+0.048715i,0.014907+0.023495i,0.024144-0.0062778i,0.018332+0.0023615i,-0.0049655+0.023735i,-0.021877+0.025613i,-0.029227+0.040517i,-0.02976+0.014243i,0.0080613-0.004255i,0.0033764+0.0049794i,0.0087154+0.0034375i,0.0021684+0.013403i,-0.0039505+0.0021568i,0.0014716-0.016629i,0.013185-0.0080026i,-0.013593+0.01425i,0.0020219-0.0018057i,0.00066308+0.0015688i,-0.00066236-0.00035348i,-0.00079702+0.00071752i,0.0046023-0.0015579i,-0.0034068-0.0060851i,0.0011358+0.0037305i,0.00041899-0.0062865i,-0.0046066-0.0035738i,-0.0012297+0.0029469i,0.00098394-0.0030141i,0.00096636-0.0027724i,0.016041-0.020531i,0.00091421+0.00561i,-0.0023292-0.0030732i,-0.0030932-0.00095984i,-0.0046408-0.0054825i,0.0019009+0.0051765i,0.0014678-0.0061367i,0.0011605-0.00029871i,-0.0010648-0.0031348i,-0.0010722-0.002042i,0.0039061+0.0036801i,-0.00071134+0.0011348i,0.004539-0.0017225i,-0.004905+0.0078161i,0.0024529+0.010916i,0.00072293+0.043326i,0.0068101-0.0159i,-0.015727+0.0026855i,-0.02339+0.0034448i,0.012896-0.0057545i,0.021747+0.0011436i,-0.0080126+0.0053479i
0.0032079+0.020684i,0.041004+0.012949i,0.043752-0.016408i,0.010784-0.013741i,0.0050083-0.014714i,0.005415-0.02487i,0.020417+0.0013517i,0.033154+0.0036018i,0.020187-0.004153i,0.0048008+0.0034976i,0.0022146-0.0006754i,0.00096838-0.0036952i,0.0028907+0.0014605i,0.00083913-0.0022371i,-0.00011144-0.0019489i,0.0053377-0.0013785i,-0.0048083-0.0057879i,-0.00080846-0.00086171i,0.0015727+0.0022489i,-0.0010095+0.002026i,-0.0014001+0.0020138i,0.00073999+0.0013188i,5.4591e-06+0.0023711i,-0.0042811-0.0021472i,-0.00071035-0.0025156i,-0.0015589-0.00071741i,-0.00067847-0.00094413i,0.0014013-8.4309e-05i,0.00065435-0.00068613i,0.0017004-0.00082266i,0.00033211+0.0016487i,0.0012214+0.0017016i,0.00047509+0.0014159i,0.00063202-6.1542e-05i,-0.00021479-0.00014792i,0.0076944+0.00088593i,-0.0014264-0.0007023i,-0.00042227+0.00021815i,0.0012079-0.00022367i,-0.0010148-0.00010178i,-0.00014769+0.0025108i,7.0727e-05+0.0026323i,0.010621-0.0044315i,0.00089462-8.094e-05i,0.0052908+0.020275i,0.0065415+0.038863i,0.032114+0.041144i,0.019679+0.019443i,0.018295-0.011669i,0.01621-0.00041229i,0.0019923+0.025594i,-0.011204+0.028741i,-0.014994+0.043798i,-0.028574+0.020302i,0.0063424-0.0040558i,0.0045133+0.0034719i,0.0082294+0.00050441i,0.0066565+0.011084i,-0.003116+0.0044881i,-0.0076135-0.012699i,0.0084902-0.010992i,-0.0095907+0.017019i,0.0012624-0.0032839i,0.00092924+0.00092234i,-0.0009656-0.00036491i,0.0009577+0.00089295i,0.0042366-0.001871i,-0.0048239-0.0046008i,0.0031562+0.0022981i,-0.0026662-0.0066603i,-0.0050497-0.0015724i,0.00029396+0.0020498i,0.00019317-0.0035432i,0.00043465-0.0039706i,0.006173-0.022455i,0.0027513+0.0043171i,-0.0028128-0.0024384i,-0.0038233-0.00082386i,-0.0063171-0.0034091i,0.0021772+0.0041286i,-0.0010211-0.0076336i,0.0019604-0.0012051i,-0.0016596-0.0023823i,-0.0015689-0.0022007i,0.0050362+0.0025831i,-0.00016939+0.0020894i,0.003098-0.0026619i,-0.003936+0.0090363i,0.0049087+0.0089266i,0.0087259+0.041651i,-0.0037396-0.019815i,-0.019868+0.0025979i,-0.020895+0.010653i,0.0074592-0.0059425i,0.018723-0.0053232i,-0.0064275+0.0038231i
0.0058241+0.019003i,0.042783+0.0060923i,0.038311-0.0229i,0.0048758-0.014654i,0.00070176-0.016848i,0.0013493-0.025071i,0.02169-0.0037509i,0.032286-0.0012359i,0.017886-0.009325i,0.0061113+0.0022863i,0.0026424-0.00095413i,-0.00056437-0.0034105i,0.0035691-0.0002647i,0.0004785-0.0021762i,-0.00035426-0.00223i,0.0057945-0.0023643i,-0.0054539-0.0032474i,-0.0008443-0.0009826i,0.0015541+0.0011502i,7.1362e-05+0.0023365i,-0.00078377+0.0021956i,0.00029963+0.00047916i,0.0005183+0.0022975i,-0.0046457+0.00099199i,-0.0016166-0.0012546i,-0.0015686+4.4082e-06i,-0.00091708-0.0005858i,0.0011544-0.00035681i,-1.9322e-05-0.00032121i,0.0010284-0.0013509i,0.0011708+0.001051i,0.0015982+0.0011821i,0.0011558+0.0010905i,0.00080994-0.00010964i,-0.00013462+0.0006553i,0.0068936-0.00084258i,-0.0016312+7.4175e-05i,-0.00013388+0.0004081i,0.0011892-0.00079934i,-0.0006806-0.00036434i,0.00079229+0.0023795i,0.00082056+0.0023053i,0.0081506-0.0069493i,0.00087606+0.00032266i,0.0068193+0.017533i,0.010873+0.033652i,0.03671+0.033761i,0.022952+0.013563i,0.012581-0.014732i,0.014628-0.00056799i,0.0094794+0.025314i,-0.001538+0.029205i,-0.001634+0.041839i,-0.024831+0.026241i,0.0052285-0.0047937i,0.0052269+0.0014283i,0.0077138-0.0017252i,0.0098395+0.007223i,-0.00063741+0.005315i,-0.012058-0.005821i,0.0032462-0.012074i,-0.0045215+0.018152i,-0.00048951-0.0038138i,0.00041223+0.0007886i,-0.0012009+1.3506e-05i,0.0020232-1.0507e-05i,0.0037341-0.0016935i,-0.0052442-0.0022767i,0.0038836+0.00044628i,-0.0052375-0.004699i,-0.0041653+0.00018561i,0.00053812+0.00061078i,-0.00061545-0.0041376i,-0.0010709-0.0044509i,-0.00237-0.020639i,0.0042738+0.002196i,-0.0037422-0.0016296i,-0.0041594+0.00080203i,-0.0065444-0.00057635i,0.0029111+0.0037821i,-0.004724-0.0076719i,0.0022363-0.0027323i,-0.0018755-0.0021425i,-0.0021356-0.0026704i,0.0063434+0.0012487i,0.00080269+0.0025676i,0.0018105-0.0019556i,-0.0021662+0.0095644i,0.0063904+0.0065693i,0.016574+0.03749i,-0.015237-0.017595i,-0.023346+0.0049644i,-0.015496+0.014214i,0.0044353-0.0046502i,0.013169-0.0087962i,-0.0078628+0.0028144i
0.0076433+0.017301i,0.043136-0.0013312i,0.03287-0.028361i,0.0007588-0.014015i,-0.0037594-0.017613i,-0.0030847-0.025186i,0.021121-0.010105i,0.031342-0.0063787i,0.014094-0.013646i,0.0067982+0.00061959i,0.0029736-0.0020131i,-0.0015878-0.0024884i,0.0029752-0.0018248i,0.0001674-0.0019809i,-0.0010445-0.0024861i,0.0060243-0.0038524i,-0.0053174-0.0011748i,-0.0013478-0.0011469i,0.0014003+0.00059129i,0.00094761+0.0021409i,-0.00026755+0.0023632i,-0.0003205+0.00041604i,0.00089986+0.0020325i,-0.0032087+0.0037063i,-0.0014231-3.1011e-05i,-0.0013886+0.0007436i,-0.0010386-0.00022853i,0.00083445-0.00045102i,-5.9392e-05-6.0226e-05i,7.4959e-05-0.0014537i,0.0015673+0.00019996i,0.0019469+0.00065163i,0.0014566+0.00057664i,0.0007431-0.00071921i,0.00054111+0.00085937i,0.0059314-0.0021734i,-0.0013146+0.00082699i,0.00018621+0.00046144i,0.00020327-0.0010914i,-0.00033191-0.00085729i,0.0015873+0.0019962i,0.0013643+0.0018601i,0.0052393-0.00774i,0.0012058+0.0012544i,0.0077733+0.015556i,0.013352+0.029664i,0.040066+0.026261i,0.023965+0.0084302i,0.0066482-0.016577i,0.016077-7.0956e-05i,0.016465+0.022094i,0.0089365+0.026483i,0.010113+0.035544i,-0.017552+0.0308i,0.0037237-0.0054702i,0.0045848-0.0016622i,0.0068033-0.0041506i,0.01033+0.0022608i,0.00070334+0.0045983i,-0.012984+0.0017606i,-0.0016795-0.010845i,5.3968e-05+0.016382i,-0.0022914-0.003021i,0.00012717+0.001484i,-0.0011972+0.00051046i,0.0028126-0.0013486i,0.004414-0.000849i,-0.0042622-0.00052881i,0.0038792-0.000454i,-0.0060941-0.0023257i,-0.0030254+0.00098178i,0.00012243+0.00017461i,-0.0029177-0.0046985i,-0.0025198-0.0037865i,-0.0093324-0.017085i,0.0043803-0.0004478i,-0.0041382-0.00024223i,-0.0028982+0.002038i,-0.0058401+0.0014583i,0.0042239+0.0031935i,-0.0076506-0.0050927i,0.0010349-0.0044274i,-0.0026692-0.0016503i,-0.0039034-0.00237i,0.0069874-0.0014265i,0.0021514+0.002885i,0.0021643-0.0014928i,0.00010863+0.010397i,0.0065884+0.0039989i,0.02315+0.031124i,-0.02183-0.0094236i,-0.026358+0.0097309i,-0.010124+0.015715i,0.0019865-0.002688i,0.0083722-0.0087275i,-0.0086133+0.0032383i
