-0.00090825-0.041671i,1.88e-05-0.047078i,-0.0082882-0.048054i,-0.030739-0.023431i,-0.023179+0.01066i,-0.036882-0.033794i,-0.064383-0.058601i,-0.019096-0.071474i,-0.026729-0.050047i,-0.00050848+0.01613i,-0.011352+0.012429i,-0.014664+0.013019i,0.0030394+0.013798i,-0.0028688-0.0017819i,0.0020082+0.0060047i,6.9555e-05+0.033975i,0.017282+0.057792i,0.00094049-0.0006857i,-0.0043431-0.0096583i,0.0082673+0.0050678i,0.001486+0.0011599i,-0.001239+0.0030782i,-0.00013453-0.00055259i,-0.037082-0.010101i,-0.0029805-0.0077261i,-0.0011023+0.0046261i,0.0026299-0.0033849i,-0.00021839+0.00040087i,0.00074741-0.00078168i,9.2305e-05-0.0022068i,-0.001577-0.0055406i,-0.003473-0.0062858i,-0.0012004-0.0068091i,0.0034671-0.00017349i,0.0030365-0.0016191i,-0.0020148+0.040743i,0.0063714-0.0040903i,0.0033464-0.00058137i,0.0049176-0.00058097i,-0.012552-0.0036819i,-0.0010237-6.9341e-05i,0.010615+0.0027048i,0.0041842+0.0010292i,-0.0043542+0.0019402i,-0.00027594+0.0092979i,-0.0048922+0.016596i,0.024947-0.08227i,-0.0002709-0.05451i,-0.02376-0.042572i,-0.01981-0.03783i,0.062703-0.01712i,0.030546-0.058298i,0.03873-0.044199i,0.033593-0.053116i,0.01893-0.015912i,0.0073627+0.01187i,0.023146-0.034365i,-0.0084833-0.0046129i,0.0031025-0.0012705i,-0.002693-0.0051595i,0.0044504-0.031727i,-0.025928+0.030189i,0.0086542-0.010623i,-0.012919-0.0025716i,-0.0043109-0.0017603i,0.00023102-0.014388i,-0.010468+0.0050167i,0.0033647+0.0066583i,-0.014356+0.029765i,0.005314+0.0070945i,-0.0063988-0.0012478i,-0.0010764-0.0025315i,-0.011473-0.0069513i,0.0003407-0.0035348i,-0.040866+0.0033229i,0.0015761-0.012768i,-0.0094883-0.0028329i,-0.0066001-0.0030649i,0.0067343+0.0020814i,-0.0086999+0.0018285i,2.6796e-05+0.0016471i,0.0058952+0.0098138i,0.0050841+0.00075719i,-0.009774-0.0096015i,0.0023019+0.0085606i,-0.017863+0.005946i,0.0064566+0.0040462i,-0.028669-0.008833i,-0.036415-0.0021725i,0.028463-0.083818i,0.013785-0.0092559i,-0.043475-0.028778i,-0.024517-0.0065544i,0.017585+0.011893i,-0.027342+0.010648i,-0.01229-0.0097243i
-0.016126+0.02624i,-0.00090347+0.057699i,0.03155+0.038564i,0.0041419+0.013324i,-0.0020465+0.0049914i,0.032274-0.0060883i,0.010446+0.01658i,0.010194+0.049655i,0.0053222+0.01941i,-0.0051736+0.0091091i,2.7367e-05+0.0013175i,0.0022275-0.0043338i,0.0026513-0.0022221i,0.0032367-0.0014339i,0.0038586-0.0013262i,0.0066252+0.00040881i,0.010737-0.0068238i,-0.0013615+0.00013667i,-0.0050996+0.00075397i,-0.00010116+0.0025254i,-0.0012473-0.00014945i,-0.0046215-0.0010998i,-0.0024968+0.000588i,0.0054554+0.0088284i,0.0029264+0.0027109i,0.002097+0.0009951i,0.0016541+0.0016596i,-0.0010641+0.0036771i,0.00012+0.0010261i,-0.00098633+0.0012088i,0.0011733-0.0036916i,-0.0012589-0.0013758i,-0.0013304-0.00054534i,0.00018292+0.00024281i,-0.00043267-0.0022157i,-0.0078775+0.012765i,0.0028836-0.00061302i,0.00070029-0.00042749i,0.00022933+0.00266i,-0.00062309-0.004132i,-0.0016395-0.00038412i,-0.0022313-0.0024502i,0.00063385+0.0066563i,0.0042159+0.002544i,-0.033103+0.011598i,-0.072797+0.016199i,-0.044531+0.040668i,-0.018987+0.03508i,-0.0023467+0.049149i,-0.0082337+0.030172i,0.010754+0.0095022i,-0.0074304-0.0078841i,-0.035942-0.0044092i,-0.043815+0.013882i,0.0091674+0.021578i,-0.0032144+0.0038677i,-0.003735+0.0034373i,-0.013592-0.0027825i,0.0096162+0.0016863i,0.01146+0.015125i,-0.0040493+0.0093929i,-0.006648-0.011463i,0.0066955-0.0040364i,-0.0063639-0.0045973i,0.0032166-0.0081098i,0.0060701-0.0019732i,-0.00032064+0.0096651i,0.013851-0.0054905i,0.0081841-0.00667i,0.0059205-0.0073356i,0.0032203-0.0010178i,-0.0030258-0.0072758i,-0.0040493-0.0021911i,0.0022182-0.00096426i,-0.013661+0.039636i,-0.0059693-0.005612i,0.0011827+0.00075194i,-0.0002405-0.0080166i,0.0036595-0.0010566i,-0.013708-0.0050154i,0.000981-0.00058711i,0.0038371-0.0039969i,0.0024914-0.0020128i,0.00013224-0.0055308i,-0.00037056+0.0065273i,-7.4697e-05+0.0038471i,-0.0033322+0.0045858i,-0.011468-0.00080771i,-0.0094313+0.0017825i,-0.036027+0.040622i,-0.0086792+0.016524i,-0.020689-0.0027736i,-0.00033244-0.00082835i,0.010318+0.020183i,-0.0013515+0.020511i,-0.0056147-0.0010855i
-0.01231+0.025492i,0.0079735+0.054952i,0.037719+0.033287i,0.006745+0.013301i,0.0016168+0.005807i,0.03065-0.012966i,0.011688+0.013746i,0.017814+0.046459i,0.0084246+0.017792i,-0.0015817+0.0097919i,0.0009687+0.0014272i,0.0001685-0.0034021i,0.0015441-0.0022603i,0.0027633-0.0012506i,0.0033163-0.0019722i,0.0061532-0.00043093i,0.0076368-0.008767i,-0.00063027+0.00059696i,-0.0049185+0.0012672i,0.0010957+0.0016404i,-0.0013276-0.00010793i,-0.0045471+0.00016679i,-0.002319+0.00070472i,0.0095038+0.0053197i,0.0030715+0.0027275i,0.0028438-3.7514e-05i,0.0019478+0.00064008i,0.00043551+0.0036065i,-1.1869e-05+0.0012649i,-0.00058045+0.0016471i,-0.00067199-0.003658i,-0.0018958-0.0013374i,-0.0016866-0.00043703i,0.00032711-1.1822e-05i,-0.0011508-0.000709i,-0.0028061+0.01361i,0.0019616-0.0015111i,0.00052765-0.00033911i,0.0014314+0.0018411i,-0.0015258-0.0031747i,-0.0014899-0.00015374i,-0.0028152-0.0015955i,0.0021085+0.0063158i,0.0036959+0.0020768i,-0.029286+0.017653i,-0.066082+0.027804i,-0.039371+0.048947i,-0.011448+0.036629i,0.010881+0.045012i,0.00072609+0.026882i,0.0058866+0.0025265i,-0.014364-0.011268i,-0.03804-0.0035307i,-0.034871+0.015274i,0.013741+0.017254i,-0.0030262+0.0048095i,-0.0022472+0.006664i,-0.013555+0.0027518i,0.0079506-0.0019645i,0.015014+0.011851i,0.00074571+0.013741i,-0.012301-0.0095103i,0.0023008-0.0052114i,-0.0057257-0.0013941i,-0.0013003-0.0071909i,0.0044862-0.0045767i,0.0037776+0.0070109i,0.0091153-0.0088216i,0.0027256-0.0092047i,0.0019018-0.0059289i,0.0039669-0.0020322i,-0.004438-0.0051562i,-0.0027525+0.00057884i,0.0028956-0.0012941i,0.0080791+0.037656i,-0.007562-0.0038292i,0.0019398-0.0011095i,-0.0033602-0.0070416i,0.0039575-0.0024466i,-0.013722+0.0015482i,0.0013093-0.0001892i,0.0017849-0.0036587i,0.0027086-0.0030446i,-0.001096-0.0053387i,0.0014981+0.0028228i,0.0015306+0.0030557i,-0.00052151+0.0055687i,-0.010335+0.0030589i,-0.0094051+0.0036012i,-0.027581+0.041224i,-0.0056073+0.019698i,-0.024131-0.00020876i,-0.0011834-0.0053912i,0.012824+0.019285i,0.0034213+0.022023i,-0.0080394-0.00087376i
-0.0098782+0.025417i,0.015097+0.050538i,0.043485+0.025016i,0.010998+0.010794i,0.0062649+0.0045442i,0.027246-0.019688i,0.012067+0.010757i,0.025463+0.041724i,0.011662+0.016256i,0.00078838+0.0095827i,0.0012458+0.00067537i,-0.00048426-0.0016448i,0.00052852-0.0023927i,0.0026637-0.0016115i,0.0026539-0.002467i,0.0056621-0.0012379i,0.0047373-0.0096656i,-0.0002578+0.00030422i,-0.0048159+0.0030504i,0.0013518+0.00021791i,-0.0018403-0.00010023i,-0.0039539+0.0012686i,-0.0023474+0.00097078i,0.0099198-0.00014873i,0.0045832+0.0013729i,0.0022176-0.0014476i,0.0018332-0.00011193i,0.0016806+0.0026901i,0.00053508+0.0013919i,-0.00019931+0.0018623i,-0.0021334-0.0025864i,-0.0027313+4.3553e-05i,-0.0014064+0.00041457i,0.00010123-0.00025082i,-0.00076302+0.00042887i,0.0013006+0.012678i,0.00097942-0.0015162i,0.0004028-0.00055578i,0.0017655+0.0010954i,-0.002364-0.0021213i,-0.0015626-1.7756e-05i,-0.0027573-0.0017612i,0.0034925+0.0062662i,0.0041768+0.0019544i,-0.02312+0.021666i,-0.058138+0.037632i,-0.029979+0.055909i,-0.0032343+0.035814i,0.022485+0.036629i,0.0064794+0.036833i,-0.0007293-0.00015523i,-0.021127-0.010318i,-0.040865+0.00047161i,-0.028064+0.012923i,0.016549+0.011363i,-0.0023938+0.0053871i,-0.0008908+0.0066921i,-0.012602+0.0068967i,0.0045442-0.0056594i,0.017616+0.0074364i,0.0070889+0.01405i,-0.015823-0.0054245i,0.00049304-0.0032392i,-0.0049258+0.0013143i,-0.003198-0.0049581i,0.0018037-0.0052462i,0.0053766+0.0057714i,0.0058063-0.0095081i,-0.0030515-0.0063452i,0.0011662-0.0039539i,0.0034915-0.0046966i,-0.0060742-0.0024902i,-0.00093593+0.0010699i,0.001879-0.002636i,0.022755+0.028299i,-0.0089441-0.00068289i,0.0018131-0.0021i,-0.0038895-0.0046452i,0.0042956-0.0043456i,-0.0098854+0.0067053i,0.0024935-0.00015051i,0.00027186-0.0039664i,0.0013564-0.0034202i,-0.0027926-0.0044908i,9.5499e-05+0.0022324i,0.0025008+0.0017252i,0.0020623+0.0052476i,-0.0086966+0.0055037i,-0.0091191+0.0062429i,-0.021016+0.040597i,0.0028874+0.021018i,-0.023778+0.0039162i,-0.0034325-0.0091954i,0.017746+0.015931i,0.0094133+0.023191i,-0.010243+0.00069113i
-0.0073286+0.025745i,0.019981+0.046629i,0.046233+0.015873i,0.013255+0.005857i,0.0095988+0.00044547i,0.021831-0.02491i,0.011923+0.0088081i,0.031194+0.035057i,0.014808+0.013482i,0.0033131+0.0089809i,0.0010875+0.00054751i,0.00012621-0.00071575i,-0.00085716-0.0016257i,0.002008-0.001641i,0.0018295-0.0029375i,0.0050537-0.0017286i,0.0014427-0.0093609i,0.00021567+0.00029961i,-0.002568+0.0046746i,0.00065388-0.00061539i,-0.002078+0.0007846i,-0.0033067+0.0025163i,-0.0022319+0.0015673i,0.0076863-0.0041792i,0.0044919-0.00056561i,0.0011881-0.0017956i,0.0015012-0.00058656i,0.0019302+0.001736i,0.0010944+0.00072545i,0.00031473+0.0021943i,-0.002829-0.00094387i,-0.0019976+0.0015008i,-0.0011021+0.00063708i,-0.00022295-0.00024291i,-0.00022258+0.00080842i,0.004599+0.011377i,0.00050637-0.0014762i,4.8131e-05-0.00071678i,0.0016872+0.00069752i,-0.0026283-0.0012668i,-0.0016136+0.00041221i,-0.0020372-0.00033325i,0.0052391+0.0054987i,0.004856+0.0015802i,-0.016336+0.022413i,-0.047591+0.045532i,-0.020135+0.0602i,0.0026016+0.033015i,0.030789+0.023746i,0.013745+0.020284i,-0.0079529+0.0019813i,-0.028442-0.0057145i,-0.042565+0.0067199i,-0.024863+0.0090657i,0.017572+0.0050124i,-0.0016271+0.006484i,0.0005729+0.0089431i,-0.0096824+0.010744i,-0.00090567-0.0054519i,0.019292+0.00038889i,0.012955+0.011303i,-0.017964-0.0004874i,-0.00014196-0.0024347i,-0.0026067+0.0026879i,-0.0039893-0.0019572i,-2.7206e-05-0.0048198i,0.0071347+0.0026557i,0.0025392-0.0097347i,-0.0046677-0.0022823i,0.0013345-0.0031713i,0.0010447-0.0064723i,-0.0070689+0.0006964i,0.00059764+0.0014866i,0.00085266-0.0027571i,0.030325+0.011547i,-0.0083687+0.0033564i,0.0014147-0.0035359i,-0.0043283-0.0027929i,0.0026851-0.0069973i,-0.0046814+0.0080285i,0.0038608-0.0016424i,-0.00093849-0.002901i,0.00021435-0.0032336i,-0.0032199-0.0024746i,-0.00021039+0.0027736i,0.0025518+5.3581e-05i,0.004342+0.0046095i,-0.00669+0.0069982i,-0.0081969+0.0088659i,-0.01575+0.041088i,0.013674+0.01573i,-0.021278+0.0080815i,-0.0090631-0.011371i,0.019878+0.010612i,0.015894+0.020732i,-0.0094241+0.0025789i
-0.0040401+0.026353i,0.025212+0.043906i,0.047681+0.0070101i,0.01361+0.00098659i,0.010045-0.00467i,0.016073-0.028538i,0.012031+0.0078041i,0.035057+0.028684i,0.017201+0.009793i,0.0051954+0.0072502i,0.0009789+0.00085697i,0.00089995-0.000849i,-0.0012209-2.1723e-05i,0.0015202-0.0017328i,0.00089074-0.0028122i,0.0047906-0.0018905i,-0.00084542-0.0079557i,0.00022828+0.00022127i,-0.0013563+0.0049091i,-0.00016003-0.00076241i,-0.0018112+0.0013318i,-0.0018224+0.003349i,-0.0017206+0.0022292i,0.0044677-0.0064186i,0.0035503-0.0020899i,0.00053208-0.0018753i,0.0010799-0.0009948i,0.0018904+0.00095967i,0.0010286+0.00018715i,0.0012425+0.002105i,-0.0023653+0.00038923i,-0.00093523+0.0018173i,-0.00063781+0.00082596i,-0.00025462+0.00018115i,0.00034744+0.0010075i,0.0066091+0.0086413i,-9.8938e-05-0.0012509i,-0.00032963-0.00061932i,0.0018939+0.00033005i,-0.0025719-0.00053301i,-0.0014187+0.0005337i,-0.0027061-0.00073533i,0.00664+0.0036868i,0.0048703+0.00037167i,-0.012623+0.021717i,-0.0357+0.050061i,-0.0075934+0.063324i,0.0077879+0.030871i,0.032037+0.009678i,0.015987+0.012775i,-0.011535+0.0089655i,-0.032658+0.0038294i,-0.044045+0.016135i,-0.025868+0.0058905i,0.014474-0.00074263i,0.00054037+0.0074289i,0.0047839+0.0089458i,-0.0059692+0.012713i,-0.0034173-0.0022603i,0.01682-0.0078502i,0.017357+0.0060554i,-0.018166+0.0055728i,-3.8972e-05-0.00081513i,-0.00089809+0.0028717i,-0.002507-2.9968e-05i,-0.0023004-0.0035948i,0.0065304+0.00058794i,-0.00072818-0.0087663i,-0.0038966+0.0011906i,0.0016272-0.0033733i,-0.0017609-0.006661i,-0.0050456+0.0025976i,0.0025279+0.00025482i,0.00051688-0.0023097i,0.029355-0.0020962i,-0.005275+0.0062541i,3.3283e-05-0.0046074i,-0.0035926-0.0018687i,-0.00019525-0.0079527i,-0.0016084+0.0070581i,0.0036065-0.0034104i,-0.0012642-0.0011388i,-9.4001e-05-0.002312i,-0.0020853-0.0013898i,0.000644+0.0032576i,0.0015665-0.0010027i,0.0056291+0.002855i,-0.0050177+0.0072581i,-0.0056477+0.011697i,-0.0096758+0.041306i,0.018574+0.0029791i,-0.016719+0.0088685i,-0.016198-0.01025i,0.020802+0.0051864i,0.020949+0.014516i,-0.0093023+0.0024946i
-0.00027275+0.026094i,0.031269+0.040143i,0.047511-0.0022553i,0.013111-0.0039097i,0.0091702-0.0087481i,0.0097648-0.031036i,0.01329+0.0070258i,0.038128+0.022076i,0.018823+0.0051485i,0.0056639+0.0057412i,0.0017532+0.0010325i,0.0013675-0.0011621i,-0.00017398+0.0011547i,0.0011734-0.001551i,0.0003176-0.002556i,0.0048283-0.0020388i,-0.0019058-0.0068098i,0.0007252+1.7456e-05i,-0.00056807+0.0050106i,-0.00070599-0.00046417i,-0.0011034+0.0016551i,-0.0003285+0.0031985i,-0.00089946+0.0025682i,0.00043672-0.0073125i,0.0027019-0.0029798i,-0.00018537-0.0019117i,0.00049546-0.0012066i,0.0019347+0.00047645i,0.00081961-8.3026e-05i,0.0017809+0.001252i,-0.0018047+0.0011998i,-0.00020641+0.0018759i,-0.00013023+0.00095014i,2.576e-05+0.00017795i,0.00065939+0.00034336i,0.0073321+0.0057802i,-0.00046218-0.0010539i,-0.00049945-0.00024581i,0.001465-0.00036885i,-0.0021628-4.1012e-05i,-0.0014241+0.00075554i,-0.0021229+0.0017566i,0.0073375+0.0019106i,0.0045874-0.00014851i,-0.0098459+0.020816i,-0.024624+0.051195i,0.0060561+0.061124i,0.013152+0.028446i,0.028924-0.0018571i,0.015576+0.0071111i,-0.0096135+0.01686i,-0.031166+0.015511i,-0.039917+0.029647i,-0.029187+0.0065216i,0.010239-0.0032547i,0.0028494+0.0068017i,0.007786+0.0063773i,-0.0014443+0.014779i,-0.0036273+0.00018915i,0.010228-0.014723i,0.018492-0.0016175i,-0.015929+0.01031i,0.0011241-0.00026901i,0.00024642+0.0022879i,-0.0009095+0.00013407i,-0.0028016-0.00080801i,0.0053996-0.00055282i,-0.0026103-0.0068867i,-0.0012737+0.0034662i,0.0012685-0.0043566i,-0.0038697-0.005046i,-0.0033716+0.0029851i,0.0024566-0.0018524i,0.00090889-0.0022168i,0.02357-0.013321i,-0.0015025+0.0070235i,-0.001809-0.0043582i,-0.0034788-0.001126i,-0.0033464-0.0074965i,0.00039864+0.006121i,0.0024297-0.0073875i,3.1467e-05-0.00035606i,0.00035184-0.0028143i,-0.00090217-0.0016473i,0.00093202+0.0033889i,0.00026258-0.0005181i,0.0064876-0.0004742i,-0.0040288+0.0071293i,-0.0019103+0.0131i,-0.0035285+0.040661i,0.014279-0.0084318i,-0.014581+0.0058744i,-0.022552-0.0050575i,0.018919-0.0015558i,0.022225+0.0073948i,-0.0096671+0.0040751i
0.0036816+0.025492i,0.036732+0.034961i,0.045218-0.01262i,0.010117-0.0090988i,0.0072643-0.013114i,0.0029694-0.031902i,0.015294+0.0051123i,0.040247+0.015149i,0.018703+0.00063835i,0.0063133+0.0051424i,0.0022872+0.00059276i,0.0013756-0.002131i,0.0008426+0.0013763i,0.00087524-0.0015254i,-0.00010367-0.0021485i,0.0048644-0.0027094i,-0.0031686-0.006028i,0.00034764-0.00064296i,0.0010661+0.0042505i,-0.0012941+0.00011517i,-0.00083824+0.0015995i,0.00063213+0.0021724i,-0.00023595+0.0026565i,-0.0035644-0.0057419i,0.0012889-0.0043658i,-0.00088865-0.0013107i,-0.00024996-0.0011913i,0.0017893-2.6058e-05i,0.00086791-0.00028196i,0.0017541+0.00030455i,-0.00084406+0.0015891i,0.0003365+0.0020585i,-0.00018982+0.00096107i,-9.3374e-05+0.00037158i,0.00015259-0.00031244i,0.0073174+0.0026963i,-0.00078505-0.00063385i,-0.00060619-2.9346e-05i,0.0012422-0.00057128i,-0.0014948+4.7062e-05i,-0.0013067+0.0011995i,-0.0010668+0.0023911i,0.0076778-0.00022436i,0.0042754-0.00070919i,-0.0076159+0.020426i,-0.014727+0.050608i,0.017118+0.054813i,0.018685+0.024834i,0.022945-0.010357i,0.014312+0.003504i,-0.0035507+0.021847i,-0.022916+0.025073i,-0.027945+0.040201i,-0.031629+0.010943i,0.0064554-0.003517i,0.0044377+0.0054494i,0.0087073+0.0027624i,0.0037676+0.01392i,-0.0036268+0.0020411i,-0.00025486-0.01635i,0.015283-0.0081602i,-0.012962+0.013941i,0.0020278-0.0015196i,0.0011315+0.0011829i,-0.00067295-0.00064315i,-0.001169+0.00092387i,0.0047537-0.00079935i,-0.0032222-0.0057432i,0.0015478+0.0034123i,-0.00010394-0.0055609i,-0.005016-0.0031447i,-0.0016105+0.0031782i,0.0012964-0.0035452i,0.00079637-0.0032477i,0.014513-0.01978i,0.0014666+0.0063387i,-0.0029401-0.0033345i,-0.0030286-0.0010544i,-0.0053459-0.0056852i,0.0017357+0.0049709i,0.00080335-0.0069321i,0.00089173-0.0009858i,-0.00075009-0.0035604i,-0.0011926-0.0023837i,0.0035479+0.003603i,-3.6131e-05+0.00073768i,0.0054073-0.0017164i,-0.0036211+0.007682i,0.0017655+0.012405i,0.0027118+0.039709i,0.007122-0.015982i,-0.016864+0.0029122i,-0.024671+0.0034029i,0.013158-0.0059452i,0.021881+0.0013563i,-0.0080998+0.0049814i
0.0078347+0.02347i,0.041937+0.029525i,0.039727-0.020866i,0.0048582-0.012038i,0.0033497-0.016569i,-0.0032049-0.030945i,0.01734+0.002094i,0.040838+0.0078621i,0.017893-0.0036202i,0.0078631+0.0045644i,0.0026117+0.00018196i,0.0004346-0.0031034i,0.0019035+0.0012445i,0.00066323-0.0013707i,-0.00013181-0.0019344i,0.0045005-0.0033629i,-0.0049471-0.0045676i,-0.0001002-0.00069263i,0.0022345+0.002633i,-0.0012153+0.0012865i,-0.00048937+0.0018975i,0.00042795+0.00091288i,0.00046642+0.0026131i,-0.0058805-0.0022045i,-0.0014737-0.0041892i,-0.001086-0.00067272i,-0.00069614-0.00076536i,0.0015398-0.00044361i,0.00062314-0.00079331i,0.0014354-0.00028566i,4.753e-05+0.0013895i,0.0010948+0.0017687i,0.0003281+0.0012721i,-0.00011565+0.00033179i,-0.00035244+0.00026637i,0.0063455+7.0318e-05i,-0.00081035-9.2972e-05i,-0.00056146+0.00027415i,0.0010118-0.00083909i,-0.0010852-0.00023792i,-0.0009092+0.0017926i,-0.00027966+0.0022161i,0.0069965-0.0026426i,0.0037357-0.0010263i,-0.0052068+0.020315i,-0.0053643+0.047956i,0.024335+0.047497i,0.023824+0.019829i,0.015971-0.015062i,0.012685+0.0013872i,0.0034234+0.023461i,-0.012538+0.028602i,-0.012543+0.044289i,-0.031256+0.017712i,0.004918-0.0023692i,0.005646+0.0035355i,0.0082089-3.8975e-05i,0.0078964+0.011252i,-0.0027059+0.0044191i,-0.009019-0.011911i,0.010006-0.011725i,-0.0093592+0.016861i,0.0015103-0.0028773i,0.0010172+0.00050749i,-0.0011459-0.00068362i,0.0010619+0.0014083i,0.004418-0.0012025i,-0.0045492-0.0045175i,0.0036306+0.0018216i,-0.0029953-0.0058593i,-0.0051846-0.00072805i,4.2637e-05+0.0022767i,0.00030382-0.0044027i,-9.4559e-05-0.0041468i,0.0049985-0.022133i,0.0033799+0.0046822i,-0.0035846-0.0025251i,-0.0037725-0.00097047i,-0.0066276-0.0035851i,0.0021283+0.0041169i,-0.0015658-0.0080032i,0.0012201-0.001748i,-0.0019428-0.0028157i,-0.001518-0.0026935i,0.0047948+0.0024833i,0.00047833+0.0015242i,0.0039442-0.0029122i,-0.0028541+0.0085719i,0.0053774+0.010246i,0.0097617+0.038108i,-0.0037807-0.020203i,-0.020876+0.0034109i,-0.022017+0.011479i,0.0071226-0.0058784i,0.019358-0.0049964i,-0.0063855+0.0035307i
0.011001+0.02027i,0.046673+0.022215i,0.033672-0.026521i,0.00015469-0.011725i,-0.0012173-0.018339i,-0.0082404-0.02933i,0.018536-0.0023994i,0.040501+0.0012337i,0.016221-0.0074078i,0.0093969+0.002485i,0.0032819-0.00053022i,-0.00091699-0.0029476i,0.0027916+1.6635e-05i,0.00063878-0.001369i,-0.00034771-0.0018798i,0.0042747-0.0038337i,-0.0053363-0.0024045i,-0.00036487-0.0010294i,0.0021721+0.0011452i,-0.00040042+0.0018348i,2.2273e-05+0.0018722i,-2.4019e-06+0.00048632i,0.0012055+0.0023141i,-0.0054525+0.0019854i,-0.0027924-0.0021359i,-0.0010986-0.00012665i,-0.00083806-0.00041247i,0.0012273-0.00076854i,2.8346e-05-0.00050469i,0.001007-0.00091729i,0.00073764+0.00092942i,0.0014362+0.0012831i,0.0010914+0.001089i,0.00032523+0.00049544i,-3.9833e-05+0.00081966i,0.0056929-0.0024002i,-0.00081923+0.00042237i,-0.00030871+0.00052577i,0.00070357-0.0012304i,-0.00094959-0.00056669i,-0.00010641+0.0019798i,0.00032453+0.0023078i,0.0053237-0.0044687i,0.0030889-0.0012193i,-0.0030056+0.020282i,0.0013254+0.043507i,0.029713+0.040772i,0.026807+0.013121i,0.0097205-0.016872i,0.011956+0.0013882i,0.010725+0.022905i,-0.0030869+0.029353i,0.001304+0.042644i,-0.027452+0.024847i,0.004604-0.0023544i,0.0062128+0.00096287i,0.0076384-0.0025045i,0.01077+0.0069764i,-0.00034722+0.0049998i,-0.013269-0.0047057i,0.0046513-0.013062i,-0.0045503+0.018235i,-0.0012335-0.0037868i,0.00023596+0.00074207i,-0.0015455-0.00019382i,0.0024167+0.00020727i,0.0042389-0.0010094i,-0.0051612-0.0023297i,0.0037849-0.0002686i,-0.0052732-0.0038791i,-0.0037536+0.0011i,0.00048821+0.00089772i,-0.00085343-0.0050114i,-0.0014878-0.0042423i,-0.0036216-0.019834i,0.0050226+0.0023243i,-0.0046311-0.0013317i,-0.0040688+0.00072629i,-0.0073449-0.00081462i,0.002672+0.0038824i,-0.0049859-0.0079613i,0.0010359-0.003153i,-0.0022758-0.0022801i,-0.0023593-0.0033607i,0.0055558+0.0011907i,0.0012238+0.0019511i,0.0023215-0.0024736i,-0.0015617+0.0088246i,0.0071134+0.0068485i,0.017202+0.033987i,-0.015731-0.018004i,-0.024407+0.0057764i,-0.016691+0.015865i,0.0038754-0.0044375i,0.014607-0.0086058i,-0.0077079+0.0023418i
0.012648+0.017075i,0.049749+0.013754i,0.027686-0.030889i,-0.0027654-0.010366i,-0.0059459-0.018659i,-0.013191-0.027381i,0.018125-0.0079932i,0.039313-0.0053179i,0.013618-0.010708i,0.0101-3.6079e-06i,0.0036326-0.0019502i,-0.0018592-0.0021114i,0.0023145-0.0013053i,0.00056359-0.0014694i,-0.0008008-0.0018849i,0.0040006-0.0045425i,-0.0049841-0.00072443i,-0.0011012-0.0013177i,0.0019162+0.00028597i,0.00040122+0.0019077i,0.00058827+0.0018435i,-0.00042342+0.00055238i,0.0016404+0.0017056i,-0.0028489+0.0042349i,-0.0026295-0.00026449i,-0.00092315+0.0004068i,-0.00081781-0.00012573i,0.0008313-0.00077272i,-0.0001356-0.00012406i,0.0002769-0.0010862i,0.0010425+0.00036416i,0.0018585+0.00094719i,0.0014764+0.0004677i,0.00058088+0.00013052i,0.00076049+0.00088896i,0.0044857-0.003299i,-0.00041896+0.00079493i,-5.0356e-06+0.00062222i,-0.00020779-0.0012868i,-0.00079748-0.00080841i,0.00051826+0.0019845i,0.00091346+0.0019501i,0.0037694-0.0046494i,0.0028154-0.00068991i,-0.00055625+0.020103i,0.0058266+0.040045i,0.034049+0.03394i,0.027871+0.0074396i,0.0042575-0.01782i,0.013771+0.0015437i,0.017622+0.019311i,0.0070695+0.027076i,0.014347+0.036116i,-0.019953+0.030354i,0.004015-0.0028214i,0.0050972-0.0024007i,0.0062847-0.0050898i,0.010753+0.0020681i,0.00077941+0.0043165i,-0.013869+0.0033383i,-0.00073478-0.012176i,-0.00043528+0.016646i,-0.0024133-0.0025778i,0.00012612+0.0016885i,-0.0015362+0.00042731i,0.0031622-0.0013376i,0.0051532-0.00076448i,-0.0042589-0.00071554i,0.0034301-0.00071406i,-0.0059132-0.0018569i,-0.0018071+0.0016307i,0.00013468+0.00034522i,-0.003231-0.0051719i,-0.0029104-0.0033578i,-0.010117-0.0159i,0.0051304-0.00070005i,-0.0051528+0.00053685i,-0.0029022+0.0018737i,-0.0065853+0.001525i,0.0039514+0.0034436i,-0.0083347-0.00553i,-0.00045904-0.0045392i,-0.002778-0.0016219i,-0.0042893-0.0031325i,0.0067167-0.0010913i,0.0023751+0.0022239i,0.0023222-0.0018965i,0.00044472+0.0094157i,0.0065471+0.0040086i,0.023067+0.027611i,-0.022296-0.0093522i,-0.027224+0.010922i,-0.010482+0.017342i,0.0017949-0.0022192i,0.0097665-0.0088169i,-0.0085672+0.0027263i
