-0.0090971-0.039652i,-0.013839-0.043058i,0.00065771-0.046216i,-0.02723-0.026783i,-0.020457+0.014265i,-0.033347-0.029883i,-0.060848-0.060156i,-0.023372-0.071688i,-0.039588-0.063223i,0.00061154+0.016041i,-0.006178+0.010087i,-0.013761+0.013671i,0.0018022+0.015111i,-0.0036522-0.0034595i,0.00070322+0.0064753i,0.0015537+0.037253i,0.017226+0.05583i,0.0010894-0.00046337i,-0.0051016-0.0078897i,0.0084644+0.0043117i,0.0014698+0.0010684i,-0.0012841+0.004132i,1.4804e-05-0.0012187i,-0.033956-0.010249i,-0.0025023-0.0068928i,-0.00013397+0.0045796i,0.0047936-0.00053158i,-3.8311e-05+0.00089587i,5.3417e-05-0.00096711i,-9.0848e-05-0.0027258i,-0.0016431-0.0052201i,-0.002093-0.0041799i,-0.00080779-0.0078651i,0.0032677-0.00099371i,0.0031251-0.0028724i,-0.0017439+0.03342i,0.0068229-0.0039744i,0.0036003-0.0023084i,0.0047507-8.2299e-05i,0.0099932+0.022361i,-6.8353e-05-9.3695e-05i,0.0083942-0.0024142i,0.005344-0.00027933i,-0.0033788+0.004107i,0.0029777+0.0013173i,-0.0029255+0.0064338i,0.0096916-0.087477i,-0.0079758-0.049706i,-0.026419-0.041162i,-0.021164-0.041411i,0.061667-0.019103i,0.025945-0.062314i,0.038278-0.04702i,0.028498-0.058219i,0.018008-0.015887i,0.0085575+0.01006i,0.023939-0.032096i,-0.0073501-0.0041442i,0.0027096-0.002965i,-0.0050067-0.0059307i,0.00011029-0.031746i,-0.023546+0.031378i,0.0073421-0.010699i,-0.010511-0.0015583i,-0.0050911-0.0010438i,-0.0006115-0.014182i,-0.0096632+0.0046005i,0.003573+0.007458i,-0.01043+0.031501i,0.0062808+0.0065833i,-0.0051415-0.0012794i,-0.0018882-0.0021626i,-0.011043-0.0078778i,0.00020973-0.0035608i,-0.029724-0.0037543i,0.0015682-0.012853i,-0.0087581-0.0022938i,-0.0062483-0.0022702i,0.0064285+0.001901i,-0.0093216+0.0017077i,0.0012465+0.00026259i,0.0058093+0.0087669i,0.0043932+0.00054989i,-0.009218-0.010278i,0.0030848+0.0085359i,-0.019583+0.0079431i,0.0063012+0.002339i,-0.029477-0.0072025i,-0.033904+0.0039335i,0.021936-0.070748i,0.012269-0.010553i,-0.04361-0.026768i,-0.023094-0.0031741i,0.018233+0.012198i,-0.025685+0.013096i,-0.011509-0.0069218i
-0.013296+0.018568i,0.013964+0.045614i,0.028448+0.04466i,0.00039512+0.016896i,-0.0019372+0.0060237i,0.026602+0.00067812i,0.014538+0.016191i,0.014384+0.045523i,0.0064715+0.020098i,-0.0013972+0.0055343i,0.00096905+0.00163i,0.0025201-0.0044154i,0.0023753-0.002361i,0.0034882-0.00061007i,0.0029797-0.0023643i,0.0049656-0.00031782i,0.013455-0.0051395i,-0.00060114-0.00066332i,-0.0046008+0.00042918i,-0.00012623+0.0025591i,-0.0004625-0.0010005i,-0.0049993-0.0017415i,-0.0024789+0.0007462i,0.0039778+0.011486i,0.0026909+0.0017472i,0.0021604+0.00048075i,0.0019154+0.0015384i,-0.001587+0.0032163i,-0.00032772+0.00087098i,-0.00083308+0.0012056i,0.00092381-0.0036798i,-0.00090997-0.0010569i,-0.0011369-0.00095783i,-7.9211e-05+0.00047595i,-0.0008593-0.0018642i,-0.0056728+0.0093667i,0.0030022-0.00063237i,0.00090414+3.8913e-05i,-0.0012036+0.001632i,-0.00097835-0.002386i,-0.0020931+0.00058853i,-0.0016657-0.0015787i,0.0026043+0.0081715i,0.003338+0.00096287i,-0.02766+0.024387i,-0.053072+0.027669i,-0.026033+0.048045i,-0.017347+0.034388i,-0.0022526+0.051433i,-0.0062855+0.032829i,0.010225+0.012087i,-0.0053513-0.0053489i,-0.039192-0.0053959i,-0.042994+0.019465i,0.0090849+0.020314i,-0.0014823+0.0031618i,-0.0049712+0.0022028i,-0.011887-0.0026421i,0.0094884+0.0015806i,0.012346+0.014719i,-0.0025191+0.00903i,-0.0062641-0.010788i,0.0048872-0.0027059i,-0.004533-0.0041334i,0.0037914-0.0073303i,0.0049482-0.0027484i,-0.00088624+0.0096867i,0.012266-0.004617i,0.0072758-0.0070745i,0.0052504-0.0071864i,0.0033687-0.00047443i,-0.0030457-0.0061552i,-0.0036288-0.0013856i,0.0028879-0.0011292i,-0.010162+0.032041i,-0.0050142-0.0051729i,0.0014935+0.00060808i,-0.0010852-0.007865i,0.003229-0.001044i,-0.013394-0.0040102i,0.0010807-0.0005505i,0.0032234-0.0030917i,0.0020497-0.0018211i,-0.00010179-0.0064224i,-0.00023305+0.0062949i,-0.00061927+0.0029998i,-0.0020653+0.0060363i,-0.012122-0.001484i,-0.0082506+0.0033534i,-0.037837+0.042175i,-0.0070869+0.015972i,-0.024803-0.0085115i,-0.00085203-0.00033817i,0.0092885+0.019112i,-0.0012425+0.019407i,-0.0063942-5.7984e-06i
-0.011195+0.01835i,0.020542+0.041173i,0.035738+0.03867i,0.0042568+0.018854i,0.0015454+0.0062103i,0.026332-0.0049931i,0.015587+0.012714i,0.021506+0.040371i,0.0093128+0.018505i,-0.00015681+0.0053843i,0.0018051+0.0016291i,6.485e-05-0.0031179i,0.0012673-0.0023089i,0.0032184-0.00070442i,0.0022486-0.0028237i,0.0043234-0.00046227i,0.010539-0.0082281i,-9.8424e-05-0.00023676i,-0.0043716+0.0011601i,0.00084389+0.00155i,-0.00085404-0.0013023i,-0.0053163-0.0001996i,-0.0022966+0.00084479i,0.010414+0.0086314i,0.0024014+0.001764i,0.0025659-0.00044834i,0.0021357+0.00045608i,8.4508e-05+0.0037635i,-0.00052102+0.0013148i,-0.00046607+0.0015567i,-0.00074096-0.0036175i,-0.0014358-0.00096149i,-0.0019326-0.0010063i,0.00017889+0.00027046i,-0.0015099-0.00021279i,-0.002149+0.0098719i,0.0022758-0.0014929i,0.00099911-0.00013951i,-0.00031646+0.0019214i,-0.0012696-0.001703i,-0.001721+0.00096859i,-0.00097764-0.0025665i,0.0050556+0.0068835i,0.0026516+0.00056286i,-0.021465+0.028459i,-0.044889+0.036025i,-0.019852+0.051646i,-0.0098026+0.035834i,0.011085+0.046567i,0.0032411+0.030446i,0.0056576+0.0054146i,-0.011606-0.0089055i,-0.042094-0.0031087i,-0.033783+0.020135i,0.013566+0.01606i,-0.0022704+0.0033471i,-0.0038949+0.0060334i,-0.011987+0.0019649i,0.0081162-0.0020311i,0.015235+0.011293i,0.0018512+0.012323i,-0.011208-0.0093002i,0.0018174-0.003521i,-0.0042042-0.0017702i,-0.00074586-0.0071278i,0.0031596-0.0043915i,0.0035859+0.0074638i,0.0080262-0.0079084i,0.0025438-0.0074878i,0.0017172-0.005145i,0.004146-0.0017707i,-0.0038904-0.0050347i,-0.0018067+0.00085999i,0.0030847-0.0016952i,0.0011241+0.036246i,-0.0074246-0.0040118i,0.0019267-0.00092071i,-0.004709-0.0062485i,0.0036311-0.0019317i,-0.012385+0.0016961i,0.0012946-0.00036108i,0.0018711-0.0029245i,0.0020511-0.0027318i,-0.0023101-0.0059787i,0.0013978+0.0031691i,0.00087441+0.0026049i,0.0013129+0.0062586i,-0.011101+0.0029016i,-0.007908+0.0045474i,-0.029578+0.043416i,-0.0041209+0.018111i,-0.023955-0.00040909i,-0.0015916-0.0045i,0.012407+0.018574i,0.0025813+0.020762i,-0.0082661+0.00015129i
-0.0099857+0.01876i,0.025824+0.035565i,0.042979+0.03014i,0.011083+0.017634i,0.005586+0.0048202i,0.02463-0.010683i,0.015871+0.0090978i,0.027575+0.033892i,0.012738+0.017323i,0.00099362+0.0051658i,0.0029587+0.00069333i,-0.00014768-0.0011095i,0.00017993-0.0023734i,0.0032754-0.001156i,0.0015189-0.002857i,0.0037342-0.00055251i,0.0068673-0.01047i,-4.7031e-06-0.00065782i,-0.0037077+0.0026261i,0.00087959+0.00036582i,-0.0018067-0.0015354i,-0.0046991+0.0014514i,-0.002362+0.0011446i,0.013261+0.0022018i,0.0035617+0.0010057i,0.0018759-0.0014912i,0.001861-0.00028797i,0.0017298+0.0029784i,0.00025362+0.00161i,-7.2665e-05+0.0017973i,-0.0021463-0.0026716i,-0.0019845+2.0538e-05i,-0.0045164-0.0018013i,8.3161e-05+1.2219e-05i,-0.00077646+0.0007789i,0.00035352+0.0091413i,0.0014306-0.0018234i,0.00080467-0.00060508i,0.000572+0.001425i,-0.0014761-0.0011285i,-0.0014418+0.0013462i,-0.0030474-0.00081209i,0.0062023+0.0055696i,0.0026398+0.00033023i,-0.013817+0.030353i,-0.035588+0.041986i,-0.012229+0.054881i,-0.0018852+0.034032i,0.02226+0.037945i,0.013179+0.026711i,-0.00045833+0.0027557i,-0.017795-0.0082876i,-0.044213+0.0023036i,-0.02706+0.017317i,0.016141+0.01022i,-0.0027454+0.0040444i,-0.001851+0.0071294i,-0.011432+0.0060259i,0.0049989-0.0055917i,0.017737+0.0070755i,0.0069485+0.012233i,-0.015092-0.0057674i,0.00057669-0.0020202i,-0.0037731+0.00015989i,-0.0029447-0.0049336i,0.0013425-0.0047981i,0.0054978+0.0057968i,0.0050324-0.0082108i,-0.0013505-0.0073614i,0.0013254-0.0034565i,0.0035115-0.0041651i,-0.0051944-0.0048276i,-0.0002286+0.00064249i,0.0018806-0.0027409i,0.01799+0.029768i,-0.0088705-0.00078177i,0.0019143-0.0018575i,-0.0043097-0.0037439i,0.0040262-0.0038732i,-0.0095397+0.0060104i,0.002263-0.00060363i,0.00049843-0.0032903i,0.00088773-0.0029638i,-0.0041379-0.0038293i,0.00049741+0.0024579i,0.0019499+0.0015309i,0.0038092+0.0056589i,-0.0094564+0.0052622i,-0.0072745+0.0064047i,-0.02341+0.04357i,0.0032495+0.019269i,-0.023831+0.0034281i,-0.0038288-0.0081338i,0.017101+0.014996i,0.0079927+0.02228i,-0.0092292+0.0017939i
-0.0084788+0.019732i,0.028719+0.030277i,0.047017+0.018909i,0.016173+0.011944i,0.0084698+0.0012195i,0.0213-0.01556i,0.015288+0.0063971i,0.031345+0.025963i,0.016527+0.014274i,0.0016863+0.0049079i,0.0017318-0.0007428i,0.00069267-0.00038814i,-0.0012227-0.001227i,0.0026799-0.0017166i,0.00093657-0.0029345i,0.0034113-0.00044803i,0.0027616-0.010253i,8.7795e-05-0.00065517i,0.00028208+0.0043554i,0.00019666-0.00017229i,-0.0025757-0.0004628i,-0.0038462+0.0031911i,-0.0021351+0.0017221i,0.010885-0.0046177i,0.0033506-0.00035326i,0.00091832-0.0018416i,0.0013906-0.00071652i,0.0022433+0.0015583i,0.00091772+0.00093444i,0.00056569+0.0021111i,-0.0029024-0.0011775i,-0.0016424+0.0010813i,-0.00013801+0.0010353i,-0.00010198+0.00010352i,-0.0002075+0.00099903i,0.0024647+0.0080332i,0.00081626-0.002085i,0.00042914-0.00083041i,0.00078443+0.0012884i,-0.0016446-0.00089759i,-0.0010694+0.0014926i,-0.0032959+0.00055848i,0.0074673+0.004121i,0.0026277+8.6816e-05i,-0.0063268+0.028724i,-0.02524+0.045543i,-0.0031526+0.057351i,0.0027067+0.031072i,0.030161+0.025927i,0.017948+0.019282i,-0.0069807+0.0045636i,-0.024612-0.0045118i,-0.045318+0.0092352i,-0.02384+0.013488i,0.01661+0.0039555i,-0.0021066+0.0056417i,0.00026479+0.009066i,-0.0092451+0.009445i,-0.00039703-0.0056959i,0.019321+0.00065398i,0.01205+0.0098626i,-0.017761-0.00053789i,0.00031795-0.0015941i,-0.0024976+0.0014498i,-0.0036893-0.0019089i,-0.00039149-0.0043967i,0.0070593+0.0027284i,0.0020321-0.0084648i,-0.0055907-0.0030898i,0.0015598-0.0029338i,0.0016855-0.0058392i,-0.0052275-0.00033944i,0.00088221+0.00068383i,0.00099991-0.0027452i,0.030456+0.014914i,-0.0082079+0.003168i,0.0016481-0.0030079i,-0.0041438-0.002035i,0.0022732-0.0063916i,-0.0049667+0.0078575i,0.0027874-0.001868i,-0.00081894-0.0022728i,0.00013652-0.0028288i,-0.0037036-0.0013267i,0.00019896+0.0024506i,0.0019327+0.00012712i,0.0064672+0.0029602i,-0.0074734+0.0067607i,-0.0064498+0.0083094i,-0.017777+0.045125i,0.013112+0.014063i,-0.021635+0.0079041i,-0.0092932-0.01044i,0.018684+0.010059i,0.015233+0.020415i,-0.0083397+0.0029787i
-0.0061328+0.020883i,0.031728+0.026119i,0.047861+0.0089415i,0.018175+0.0053778i,0.008906-0.0033918i,0.017502-0.019147i,0.014811+0.0048831i,0.033018+0.01912i,0.019534+0.009973i,0.0024653+0.004716i,0.0015803-0.00018133i,0.0015869-0.00030784i,-0.0013596+0.00069785i,0.0020537-0.0019999i,0.00023903-0.0027323i,0.0036071-0.00018563i,0.00025786-0.0087713i,-0.00015108-0.00071049i,-0.0015598+0.0056396i,-0.00040314-0.00012919i,-0.0025774+0.00042457i,-0.0023071+0.0042318i,-0.0014447+0.0021871i,0.0061216-0.0084969i,0.0027677-0.0011949i,0.0002476-0.0019593i,0.00088741-0.0011178i,0.0018667+0.00073651i,0.00087249+0.00039358i,0.0015551+0.0019125i,-0.0027093+0.00014531i,-0.00095104+0.0015639i,-0.0005317+0.00086163i,0.00011496+0.00065188i,0.00053418+0.00098718i,0.0041907+0.0066399i,1.0443e-06-0.002055i,-7.5297e-05-0.00093445i,0.0013138+0.0010762i,-0.0016109-0.0005146i,-0.00082601+0.0013609i,-0.0029542+0.0019344i,0.0082446+0.0010956i,0.0023245-0.00046675i,-0.002084+0.026075i,-0.014535+0.046442i,0.007861+0.05739i,0.0073634+0.029176i,0.032243+0.013i,0.020354+0.0118i,-0.010027+0.01093i,-0.02869+0.0040209i,-0.045567+0.018841i,-0.02483+0.011046i,0.013786-0.0011621i,-0.00021196+0.0067044i,0.0044919+0.0088193i,-0.0065232+0.012032i,-0.0031227-0.0024757i,0.017451-0.0073998i,0.015689+0.0049513i,-0.01847+0.0052239i,0.00041704-0.00060782i,-0.0010592+0.0021669i,-0.0023237-0.00014343i,-0.0023217-0.0030156i,0.0067877+0.0002305i,-0.0010263-0.007851i,-0.0037704+0.0014963i,0.002157-0.0033467i,-0.0005728-0.0064096i,-0.0035148+0.0021405i,0.0021876-0.00019159i,0.00052879-0.0022881i,0.030202-0.0010413i,-0.005207+0.0056402i,0.00021097-0.0039755i,-0.0032585-0.0013481i,-0.0002406-0.0072702i,-0.0014576+0.0071728i,0.0017518-0.0031712i,-0.00094229-0.00063717i,0.00018695-0.002295i,-0.0021067-0.0005857i,0.0011923+0.0027931i,0.00088205-0.00082547i,0.0049552-0.00056859i,-0.0057018+0.0072111i,-0.0043705+0.010493i,-0.01081+0.046225i,0.017271+0.0024497i,-0.016841+0.0090036i,-0.015671-0.00897i,0.019622+0.0050486i,0.020685+0.013763i,-0.0084361+0.002978i
-0.0034676+0.021282i,0.034948+0.0213i,0.047793-7.4668e-05i,0.01858-0.0011501i,0.0081853-0.0070457i,0.013292-0.022171i,0.015402+0.0037661i,0.033817+0.012836i,0.021568+0.004325i,0.003148+0.0042567i,0.0019456-0.00022252i,0.0021336-0.00056265i,5.113e-05+0.0020216i,0.0016075-0.0020932i,-0.00020767-0.0023809i,0.0041573-2.1426e-05i,-0.00099835-0.0078932i,0.00012774-0.00077795i,-0.00043877+0.0045702i,-0.00074714+0.00021809i,-0.0019831+0.0011188i,-0.00028347+0.0040168i,-0.00071337+0.0023466i,-0.00026476-0.0098921i,0.002307-0.0018606i,-0.00060871-0.0017798i,0.00038041-0.0012249i,0.0015749+0.00034516i,0.00071504+0.00021825i,0.0021909+0.00092921i,-0.0022333+0.0011535i,-0.0003023+0.0017589i,-0.00024339+0.0012133i,0.00072865+0.00027941i,0.0008558+0.00016082i,0.0050608+0.0049791i,-0.00073634-0.0016977i,-0.00039122-0.00055289i,0.0013297+0.00028891i,-0.0013294-0.00039473i,-0.00084321+0.0015575i,-0.0013943+0.0025225i,0.0063575-0.00041749i,0.0020264-0.0005282i,0.0010237+0.02324i,-0.0050012+0.044258i,0.019009+0.05361i,0.012264+0.026692i,0.030733+0.0015992i,0.019918+0.0057137i,-0.0079036+0.018099i,-0.027449+0.01521i,-0.040429+0.031873i,-0.027197+0.012233i,0.010274-0.0034699i,0.0020433+0.0063683i,0.0072027+0.0064901i,-0.0020298+0.013832i,-0.0035326-0.00015627i,0.01186-0.014338i,0.016002-0.0018815i,-0.016529+0.010649i,0.0013277-0.00056072i,2.5218e-05+0.001621i,-0.0009132+0.00014901i,-0.0023567-0.00055255i,0.0055513-0.0015058i,-0.0027042-0.0069153i,-0.00088149+0.0031569i,0.0017745-0.0046257i,-0.0032258-0.0052466i,-0.0024978+0.0022425i,0.0019172-0.0018843i,0.00085495-0.0020466i,0.025001-0.012874i,-0.0016812+0.0063019i,-0.0013249-0.0037795i,-0.0030702-0.00081236i,-0.0029805-0.0066335i,0.00062801+0.0059272i,0.0028919-0.0054774i,0.0003548+4.8396e-05i,-0.00016911-0.0033194i,-0.00090771-0.0012047i,0.0046459+0.0032973i,-0.00036451-0.00032485i,0.0045446-0.00055456i,-0.0048943+0.0073681i,-0.00083712+0.011433i,-0.0034636+0.045693i,0.01332-0.0084995i,-0.013919+0.006175i,-0.021074-0.0039138i,0.01808-0.0013803i,0.021702+0.0068474i,-0.0090647+0.0045426i
-0.00050202+0.021454i,0.037391+0.015613i,0.045726-0.0096103i,0.016032-0.0086266i,0.006695-0.010869i,0.0082799-0.024029i,0.016874+0.0018357i,0.033882+0.0070034i,0.021139-0.0014554i,0.0038642+0.0039912i,0.0020091-0.0007088i,0.0024253-0.0019616i,0.0015758+0.0020213i,0.0010742-0.0022089i,-0.00044555-0.0019874i,0.0049014-0.00051714i,-0.0025556-0.0073607i,-0.00038739-0.0011796i,0.00088968+0.0035702i,-0.0010254+0.00076579i,-0.001671+0.0013114i,0.00097879+0.0028114i,-0.00030043+0.0023132i,-0.0077528-0.0066784i,0.0013496-0.0033315i,-0.0012771-0.0010869i,-0.00032866-0.001172i,0.0014563+6.2211e-06i,0.00088935-6.8716e-05i,0.00206-0.00017944i,-0.0012941+0.0018155i,0.00026429+0.0018046i,0.00028918+0.0014212i,0.0007244-7.9422e-05i,0.0002406-0.00049182i,0.0050712+0.0033438i,-0.0014811-0.0011953i,-0.00050691-0.00031265i,0.0011648+1.8116e-05i,-0.00083915-0.00037645i,-0.00048194+0.0018606i,-0.00068592+0.0028146i,0.0045096-0.00014307i,0.0017328-0.00050277i,0.0033159+0.021048i,0.0026564+0.040676i,0.027815+0.046792i,0.017163+0.023444i,0.025921-0.0075724i,0.018269+0.0014017i,-0.0020298+0.02221i,-0.019075+0.02409i,-0.028146+0.041054i,-0.028496+0.01672i,0.0072751-0.0041585i,0.0036471+0.0050643i,0.0083457+0.0033195i,0.0024954+0.013259i,-0.0038383+0.0016965i,0.0014503-0.016923i,0.013239-0.0074663i,-0.013619+0.014378i,0.001791-0.001707i,0.00050492+0.0014835i,-0.00075144-0.00036787i,-0.00084305+0.00082743i,0.0043336-0.0015476i,-0.0037421-0.0062064i,0.0015734+0.0030335i,0.00023962-0.0060143i,-0.0045118-0.0032448i,-0.0013165+0.0024622i,0.00092257-0.0031199i,0.00096605-0.0027691i,0.014764-0.020449i,0.0010726+0.0056243i,-0.0024296-0.0029968i,-0.0025084-0.00079799i,-0.0049144-0.0055392i,0.0017248+0.0046833i,0.0013483-0.0069686i,0.0011756-0.0003345i,-0.0011971-0.0029469i,-0.0013329-0.002152i,0.0053882+0.0043322i,-0.00066676+0.001041i,0.0044185-0.0017643i,-0.0041359+0.0081773i,0.0023607+0.010377i,0.0039251+0.044654i,0.0055644-0.015444i,-0.015858+0.0029125i,-0.022366+0.002886i,0.012336-0.0057603i,0.021734+0.0010094i,-0.0074319+0.0056112i
0.0026728+0.020831i,0.039235+0.010118i,0.040994-0.017439i,0.0098475-0.013577i,0.0034884-0.01406i,0.003529-0.024582i,0.018353-0.0012431i,0.032909+0.0014625i,0.019253-0.0070674i,0.0053372+0.0037015i,0.0018397-0.00068765i,0.0011056-0.0033208i,0.0029435+0.0013679i,0.00058209-0.0020598i,-0.00041764-0.0019762i,0.0053441-0.0014979i,-0.0045213-0.0058794i,-0.00083951-0.00082367i,0.0016466+0.0023342i,-0.00071267+0.0016464i,-0.0014458+0.0018709i,0.00097165+0.0013477i,0.00012708+0.0023411i,-0.0058261+0.0030693i,-0.001195-0.0032251i,-0.0014258-0.00040943i,-0.00075679-0.00092207i,0.0011786-0.00040354i,0.00054567-0.0006076i,0.0015208-0.00089476i,-0.00022122+0.0018449i,0.00095152+0.0016176i,0.00096278+0.0012514i,0.00084445+0.00020861i,-0.00025174+7.8485e-05i,0.0050812+0.0019046i,-0.0018397-0.00040367i,-0.00052563+6.9165e-05i,0.0010604-5.5627e-05i,-0.00056757-0.00083519i,0.00023172+0.0021349i,0.0003154+0.0028i,0.0049432+0.0019835i,0.0014415-0.00031447i,0.005239+0.018693i,0.0086524+0.036022i,0.034024+0.039153i,0.021817+0.019147i,0.019472-0.013211i,0.016155-0.0014693i,0.0047489+0.023486i,-0.0089578+0.026576i,-0.013993+0.044474i,-0.026578+0.022821i,0.0056877-0.0040269i,0.0048558+0.0034919i,0.0078673+0.00060108i,0.0072114+0.011029i,-0.003144+0.0041077i,-0.0078225-0.012768i,0.0089195-0.010651i,-0.0093374+0.017432i,0.00096243-0.003135i,0.00091018+0.00084656i,-0.0011221-0.00042818i,0.0009746+0.00097618i,0.004027-0.0018958i,-0.0048217-0.0045864i,0.0032881+0.0017434i,-0.0027755-0.0064552i,-0.0045686-0.00094133i,9.7357e-05+0.0019345i,0.00015466-0.0035847i,0.00025274-0.0039262i,0.0050771-0.021596i,0.0028649+0.0040195i,-0.0029485-0.0021841i,-0.0033171-0.00085051i,-0.0066897-0.0034895i,0.0020632+0.0038588i,-0.0011354-0.0074455i,0.0020621-0.0012278i,-0.0014535-0.0020961i,-0.0018812-0.0022315i,0.0058212+0.0025279i,0.00011394+0.0020434i,0.0031129-0.002648i,-0.0031448+0.0093721i,0.0047687+0.0084267i,0.012324+0.042297i,-0.0045521-0.018834i,-0.019659+0.0029644i,-0.019707+0.0095699i,0.0070627-0.00529i,0.018935-0.0061318i,-0.005883+0.0041692i
0.0054438+0.019328i,0.040614+0.0036473i,0.035847-0.023052i,0.0041476-0.014311i,-0.00053697-0.015837i,-0.00045656-0.024444i,0.019156-0.0057025i,0.031806-0.0032506i,0.015906-0.011457i,0.0065948+0.0022773i,0.0022702-0.00090608i,-0.00038456-0.0031377i,0.0034454-0.0004256i,0.00048419-0.0018649i,-0.00075173-0.0020771i,0.0055088-0.0023974i,-0.0053277-0.0038067i,-0.00085003-0.00085529i,0.0015915+0.001239i,0.00013345+0.0019034i,-0.0007128+0.0026818i,0.00035971+0.00049122i,0.00068512+0.0022793i,-0.00081227+0.0032806i,-0.0022497-0.0015175i,-0.0014031+0.00017845i,-0.00090907-0.00055671i,0.00054781-0.00094353i,-1.0373e-05-0.00033508i,0.00080455-0.0013623i,0.00066834+0.0014544i,0.0014557+0.001154i,0.0014568+0.00091892i,0.00080595+9.1174e-05i,0.00013431+0.0005589i,0.0048201+0.0003058i,-0.0020559+0.00085761i,-0.00034421+0.00024152i,0.00099771-0.00061826i,-0.00043265-0.0011897i,0.0010566+0.0018983i,0.0012837+0.0021186i,0.008636+0.0012051i,0.0012052-0.00011031i,0.0064242+0.01666i,0.012549+0.030874i,0.03825+0.031484i,0.025184+0.01296i,0.013347-0.016203i,0.014481-0.0016725i,0.011653+0.02277i,-1.1549e-05+0.026687i,-0.00062189+0.042615i,-0.021893+0.028658i,0.0045491-0.0045956i,0.0054983+0.0011007i,0.0074749-0.0015828i,0.010002+0.0067183i,-0.00087264+0.0051708i,-0.012211-0.0059616i,0.0036419-0.012105i,-0.0039297+0.018341i,-0.00013853-0.0032628i,0.00044721+0.00062897i,-0.0011774-7.8354e-05i,0.002119+8.5373e-05i,0.0036606-0.0016281i,-0.0052671-0.0025017i,0.0036048+0.00012755i,-0.0051459-0.0044845i,-0.0033618+0.0011812i,0.00035892+0.00069733i,-0.00081607-0.0042749i,-0.0012501-0.0043812i,-0.0030225-0.019494i,0.004128+0.0020035i,-0.0036365-0.001479i,-0.0037857+0.00063404i,-0.0067429-0.00034866i,0.0028922+0.0034973i,-0.004398-0.0071106i,0.002333-0.0028375i,-0.0015911-0.0020469i,-0.0025431-0.002739i,0.006488+0.00093801i,0.001203+0.0023833i,0.0018824-0.0019252i,-0.0015702+0.009909i,0.0058589+0.0060772i,0.019949+0.037266i,-0.015319-0.016449i,-0.022828+0.0054453i,-0.015003+0.012986i,0.0045763-0.0041625i,0.012402-0.010083i,-0.0072404+0.0032658i
0.0073842+0.01776i,0.040609-0.0033629i,0.030637-0.028198i,0.00029845-0.013567i,-0.0045649-0.016299i,-0.0046779-0.024199i,0.018424-0.011199i,0.030472-0.0082222i,0.011831-0.014183i,0.0072211+0.00037998i,0.0025558-0.0018477i,-0.0013738-0.0023303i,0.0027908-0.0018101i,0.00032741-0.0018011i,-0.0013493-0.0020805i,0.0054583-0.003441i,-0.0055711-0.0018738i,-0.0013484-0.001092i,0.0014081+0.00071125i,0.00084849+0.0017839i,0.00016324+0.0018334i,-0.00024172+0.00042043i,0.0011009+0.0020123i,-8.8467e-06+0.0018602i,-0.0021315-0.00015419i,-0.0011628+0.0008662i,-0.0010042-0.00010635i,0.0005858-0.0011924i,-0.0001449-4.9847e-05i,-0.0001095-0.0013112i,0.0012696+0.00082604i,0.001775+0.00058252i,0.0018254+0.00048708i,0.00085512-0.00045271i,0.00081262+0.00042412i,0.0042371-0.00078328i,-0.0016192+0.0018494i,-5.6347e-05+0.00041232i,0.00018485-0.00083003i,-0.00044412-0.0015855i,0.0016873+0.0014452i,0.0015795+0.0013987i,0.010315-0.0056338i,0.001424+0.0005173i,0.0075151+0.015024i,0.014626+0.026863i,0.041292+0.023891i,0.025945+0.0073639i,0.0071447-0.018052i,0.015856-0.0012647i,0.018018+0.019275i,0.0096274+0.02414i,0.011398+0.035998i,-0.014067+0.032365i,0.0031414-0.0049574i,0.0045109-0.0020835i,0.0065245-0.0039653i,0.010118+0.0021896i,0.00048096+0.0046439i,-0.01307+0.0016933i,-0.0013872-0.011016i,0.00031374+0.016504i,-0.002152-0.0035293i,0.00017428+0.0011418i,-0.001198+0.00043102i,0.0029015-0.0014541i,0.0044325-0.00094591i,-0.0043026-0.00082616i,0.0035817-0.00037215i,-0.0060206-0.0022395i,-0.00107+0.00030993i,-6.0237e-06+0.00028472i,-0.0031989-0.0045393i,-0.0027036-0.0037508i,-0.0093341-0.016049i,0.0043813-0.00046968i,-0.0038921-0.0001079i,-0.0025378+0.0016344i,-0.0056597+0.0017567i,0.0042138+0.0030045i,-0.0070264-0.004831i,0.001162-0.0046013i,-0.0024012-0.0015065i,-0.0043743-0.0023178i,0.0067659-0.0018199i,0.002113+0.0024673i,0.002178-0.0017194i,0.00082156+0.010583i,0.0061081+0.0036953i,0.026105+0.030378i,-0.021445-0.0088425i,-0.025395+0.010023i,-0.010163+0.014735i,0.0021868-0.0024419i,0.0072314-0.0088199i,-0.0078477+0.0033691i
