-0.022958-0.038333i,-0.0092072-0.050809i,-0.017251-0.046695i,-0.030965-0.035756i,-0.029725-0.017518i,-0.051008-0.028761i,-0.060081-0.026511i,-0.045338-0.039409i,-0.02569-0.032361i,0.0078709+0.013028i,-0.0059677+0.016019i,-0.0050619+0.014828i,0.0099979+0.020826i,-2.0551e-05+0.0050327i,0.0036235+0.0035591i,0.0070458+0.01856i,0.028471+0.037038i,-0.0027282-0.001402i,-0.0049404-0.0063534i,0.0081666+0.0017225i,-5.2098e-05-0.0010797i,-0.0010693+0.0022476i,0.00015861-0.00036387i,-0.03064-0.0017208i,-0.0018-0.0063172i,0.001765+0.0044566i,0.003949-0.0009587i,-0.00044795+0.0005924i,0.00061707-0.00037444i,-0.00073984-0.0026836i,-0.0018821-0.0062735i,-0.0049724-0.0050386i,-0.0023179-0.0049579i,0.0024512-0.00051813i,0.0022317-0.0029323i,0.00020187+0.026704i,0.0016751-0.0036351i,0.0026843+0.00088906i,0.0055707+0.00090314i,-0.010675-0.0030331i,-0.0036308+0.00027763i,0.0058669+0.00044305i,0.005871+0.00028444i,-0.0035706+0.0047155i,0.0022112-0.0090637i,-0.011567+0.016509i,0.035224-0.091226i,0.012856-0.071112i,-0.015795-0.060068i,-0.016686-0.05625i,0.037356-0.04852i,0.016584-0.063615i,0.03428-0.056226i,0.03217-0.059675i,0.014846-0.013445i,0.0041741+0.017076i,0.015991-0.026763i,-0.012131+0.0067667i,-0.00044258+0.0057993i,-0.0050415-0.00068393i,-0.0028294-0.02821i,-0.02442+0.030674i,0.010639-0.011898i,-0.012464-0.0026664i,-6.0927e-05-0.0051464i,-0.0021208-0.016401i,-0.0077748+0.0047948i,0.0054629+0.0059242i,-0.0060461+0.030677i,0.0062901+0.0063711i,-0.0049335-0.00079767i,-0.0030106-0.00026265i,-0.012293-0.0083248i,-0.00046455-0.004467i,-0.033543-0.030495i,-2.889e-06-0.0099993i,-0.0092192-0.0019301i,-0.0065969-0.0028465i,0.0068119+0.0032803i,-0.0078929+0.0012136i,0.00043357+0.00025198i,0.0062612+0.010953i,0.0036828+0.0017109i,-0.008653-0.01107i,0.0031222+0.0086815i,-0.020969+0.0067819i,0.0084371-0.00018489i,-0.029013-0.0034478i,-0.042943+0.0029462i,0.014298-0.10454i,-0.0023129-0.012507i,-0.053835-0.022005i,-0.023182+0.00090114i,0.018585+0.010895i,-0.024077+0.012661i,-0.018505-0.012688i
-0.033007+0.017206i,-0.053236+0.01863i,-0.032363+0.04609i,-0.031928+0.025085i,-0.029243+0.040026i,0.004792+0.048056i,-0.0036742+0.024914i,-0.017002+0.03951i,-0.013953+0.021495i,-0.0042006-0.0050635i,-0.003508-0.0033431i,-0.0015976-0.0035094i,-0.004185-0.0011559i,-0.0066913-0.0048576i,-0.0021281+0.0043335i,-0.0033597-0.0018543i,-0.011401-0.0047408i,-0.0015591-0.00072549i,0.0030708-0.00093761i,0.0020723-0.0010243i,0.0026942-0.0037207i,0.0024795-0.003941i,0.0013032-0.0026689i,-0.0097782-0.0083425i,-0.0018591+0.00071104i,-0.0039522+0.0010463i,-0.001851-0.00018543i,-0.0032461-0.00090982i,-0.0012035-0.001401i,0.0012814-0.0017658i,-0.0020623+0.0065125i,0.0016687-4.4466e-05i,0.0027477+4.4417e-05i,0.00096193+0.0016451i,-0.0014972+0.0035076i,-0.00092145-0.0069112i,-0.0016379+0.0013497i,0.00028925-0.00030372i,-6.5533e-06+0.0042996i,0.0080971+0.0047524i,0.0017734-0.0031045i,0.0028701-0.0033663i,-0.0034716+0.0018859i,0.00029724+0.0031513i,-0.032301-0.0071271i,0.010074-0.077805i,-0.094287-0.030275i,-0.053216-0.035503i,-0.076333-0.048442i,-0.058868-0.0044007i,-0.094137+0.02028i,-0.058966+0.012111i,-0.048601-0.025172i,-0.031686-0.057319i,-0.023081-0.030926i,0.0033003+0.0051609i,-0.018487+0.010658i,0.0090033+0.0029691i,0.011718+0.0041924i,0.00055928-0.0069564i,0.0081916-4.2572e-05i,-0.008778-0.0028414i,0.0033611+0.014501i,-0.0010229+0.0095318i,0.0008013+0.0017865i,0.0048837+0.0032786i,0.0017417-0.00055874i,-0.00097511+0.014944i,-0.00027574+0.011495i,0.0036884-0.0054984i,0.0099636-0.0071369i,0.00229+0.0024637i,-0.0086998-0.0073771i,-0.0025495-0.0028348i,0.018222-0.02862i,0.0054555+0.0040755i,0.0038291+0.0039526i,-0.0034461+0.0023182i,0.0017776-0.0038055i,0.023441+0.0028962i,0.0023681-0.0025877i,-5.6309e-05-0.0088603i,0.00039382-0.0027341i,0.011561+0.0035277i,0.0044664-0.00037641i,0.0048948-0.0066703i,0.0030627+0.0095332i,0.0044711-0.00031845i,0.02464+0.0046858i,-0.080532-0.037458i,-0.0051529+0.018406i,0.0074527-0.0022267i,-0.0013051+0.0032154i,-0.034494+0.013846i,-0.0071782+0.00684i,-0.017259+0.013331i
-0.028804+0.021637i,-0.049629+0.023599i,-0.021449+0.044358i,-0.027519+0.029199i,-0.022542+0.041675i,0.013715+0.045302i,-0.00029513+0.024631i,-0.0090946+0.040653i,-0.0094215+0.019125i,-0.00557-0.0025099i,-0.0041968-0.00094961i,-0.0026726-0.004044i,-0.0050362-0.00040988i,-0.0069657-0.0020474i,-0.00088151+0.0052621i,-0.0056931+0.00048696i,-0.013755+0.00066374i,-0.0015547+0.00038809i,0.0035081-0.0017762i,0.0020367-0.0018984i,0.0015391-0.0041666i,0.0016312-0.0040722i,0.00084411-0.0026448i,-0.010968-0.0047673i,-0.00095074+0.0010009i,-0.0036415+0.0025495i,-0.0013622+0.00044728i,-0.0030622+5.1034e-05i,-0.0018649-0.0011835i,0.00066291-0.0018011i,0.00087645+0.0071072i,0.0011963-0.00032239i,0.002207-0.00077909i,0.00097636+0.0015055i,-0.0013289+0.0030146i,-0.0015574-0.0054046i,-0.00088588+0.00081194i,-0.00069552-0.00054282i,7.834e-05+0.0047312i,0.0079837+0.00058888i,0.0008523-0.0033177i,0.00044543-0.0043723i,-0.0033381+0.0029545i,0.0011248+0.0031489i,-0.032785-0.0064317i,-0.013912-0.0886i,-0.090878-0.011619i,-0.062362-0.033571i,-0.08806-0.037557i,-0.057691+0.0058767i,-0.084205+0.037324i,-0.054939+0.024429i,-0.04106-0.02462i,-0.038857-0.053053i,-0.032752-0.021115i,0.0045485+0.0019696i,-0.011411+0.01949i,0.0087621-0.00057017i,0.012312-0.0028398i,-0.0048195-0.011172i,0.0036227-0.00014704i,-0.0077381+0.0042921i,0.0085463+0.012113i,0.0017392+0.01122i,0.0010841+0.0015808i,0.0064677+0.0043822i,0.0026863+0.00022402i,0.0054501+0.011342i,0.0049221+0.0075846i,-0.0021339-0.0075771i,0.0030888-0.0079568i,0.003404+0.0028993i,-0.011319-0.00051626i,-0.0027129+6.0465e-05i,0.0071653-0.029479i,0.0068234+0.0033475i,0.0072348+0.002852i,-0.00040094+0.0025646i,-0.00058-0.0011568i,0.019362-0.0083764i,0.0003029-0.0029096i,-0.0050365-0.0077228i,-0.0027935-0.0016036i,0.010297-0.0011484i,0.0038057+8.7143e-07i,0.001926-0.0047251i,0.0060223+0.0078218i,0.0035958-0.00070058i,0.023989-0.0030933i,-0.085643-0.027539i,0.0025489+0.0080191i,0.0071722-0.0043384i,3.8508e-05+0.00097059i,-0.028698+0.02341i,-0.0050206+0.0072391i,-0.013237+0.015518i
-0.023354+0.024553i,-0.046969+0.028933i,-0.015186+0.040565i,-0.022888+0.031377i,-0.014849+0.043787i,0.021701+0.040502i,0.0035572+0.024355i,-0.0019594+0.039763i,-0.0084416+0.017078i,-0.0060195+0.00012603i,-0.0033668+0.00086659i,-0.0062486-0.0034321i,-0.0051795+0.001742i,-0.0072129+1.9353e-06i,0.0011076+0.0057242i,-0.0062696+0.0041845i,-0.013016+0.0074599i,-0.00015354+0.0011306i,0.0036668-0.0036881i,0.0016777-0.003142i,0.00011614-0.0045458i,0.00062908-0.0047519i,0.00045757-0.0028755i,-0.011575-0.0018398i,-0.00082272+0.0011316i,-0.0021035+0.0042701i,-0.00088444+0.00036801i,-0.0026206+0.0013888i,-0.0022586-0.00083278i,-0.00029922-0.0025426i,0.0036325+0.0061767i,0.00091082-0.0005524i,0.0018241-0.0011723i,0.0015423+0.00088713i,-1.7392e-05+0.0038709i,-0.00072725-0.0055571i,-0.0012884+0.00074224i,-0.0011362-0.0002023i,0.0038077+0.0036441i,0.0062052-0.0019674i,1.3306e-05-0.0034222i,-0.0003323-0.0023994i,-0.0029116+0.0044102i,0.0016353+0.0018677i,-0.035205-0.0038047i,-0.042564-0.086749i,-0.081237+0.0020789i,-0.072121-0.025865i,-0.095506-0.022137i,-0.052891+0.014277i,-0.069396+0.049274i,-0.041133+0.0342i,-0.045129-0.025921i,-0.045627-0.04913i,-0.034703-0.0074787i,0.0046473-0.0013854i,-0.0015328+0.0211i,0.0079192-0.0034517i,0.0076676-0.0076934i,-0.014027-0.010277i,0.0025966-0.00046156i,-0.0033637+0.0059373i,0.011813+0.0069141i,0.0052326+0.01129i,0.00033828+0.0018988i,0.0077706-0.00013526i,0.0042364-0.0016734i,0.0071105+0.0064538i,0.0054574+0.0026408i,-0.0075753-0.0037672i,0.00069466-0.006092i,0.0054808+0.001716i,-0.0067666+0.0099935i,-0.00093076+0.0014272i,-0.00099707-0.026234i,0.0086401+0.00012851i,0.0067258+5.8287e-05i,0.00016515+0.0015198i,0.00070535+0.000394i,0.01234-0.012919i,-0.0020319-0.00016427i,-0.0087984-0.0038758i,-0.0033098+0.001877i,0.0067317-0.0043548i,0.006186-0.0012765i,0.0026268-0.0048635i,0.0095346+0.004263i,0.0049532-0.0026732i,0.020843-0.010029i,-0.089844-0.012978i,0.00038073-0.0011366i,0.0052996-0.0073784i,-3.9992e-05-0.0018655i,-0.019555+0.026824i,-0.0055369+0.0030757i,-0.0025314+0.015544i
-0.017711+0.025164i,-0.042537+0.03563i,-0.01176+0.037527i,-0.017995+0.03454i,-0.0062548+0.042976i,0.028291+0.034109i,0.0081035+0.023358i,0.0048226+0.037717i,-0.0079324+0.01739i,-0.0052495+0.002697i,-0.0025451+0.0011673i,-0.0081398+0.00077501i,-0.0047103+0.0033562i,-0.0073241+0.0026894i,0.0029245+0.0051423i,-0.0046236+0.0080149i,-0.0081486+0.01292i,0.00089719+0.00029975i,0.0017745-0.0049616i,-0.00013735-0.0041777i,-0.0013876-0.0042258i,-0.00059862-0.0047774i,-0.00013268-0.0033949i,-0.011524+0.0019267i,-0.00030541+0.00087483i,0.00065519+0.0031512i,-0.0010407+0.00020679i,-0.0016141+0.0016979i,-0.0025206+0.00027958i,-0.0017394-0.0019279i,0.006406+0.0042405i,0.00050808-0.00042783i,0.001155-0.0018554i,0.0016422+0.00015343i,0.0019797+0.003285i,-0.0018473-0.007425i,-0.00087882+0.0014335i,-0.0013544+0.00032006i,0.0037478-0.00036285i,0.004403-0.0029631i,-0.00093389-0.003254i,-0.00040084-0.0013791i,-0.0091565+0.0010363i,-0.00038782-0.00014071i,-0.037542+6.4626e-05i,-0.067096-0.070573i,-0.07141+0.0081792i,-0.079561-0.014215i,-0.099286-0.0055125i,-0.04673+0.019665i,-0.055159+0.055481i,-0.026986+0.033915i,-0.048131-0.020584i,-0.052839-0.041617i,-0.032591+0.00062983i,0.0023722-0.0040775i,0.0064612+0.018648i,0.0066354-0.0060698i,0.0021932-0.0089395i,-0.020838+0.0061407i,-0.00037596+0.00043136i,-0.00027359+0.005233i,0.011003+0.0011451i,0.0095886+0.011625i,0.00081515+0.0028122i,0.0046452-0.0022853i,0.003816-0.004905i,0.0062366+0.0021199i,0.0026318+0.0009325i,-0.0077933+0.00088705i,-0.0010891-0.004751i,0.0057599-0.00042266i,0.0043161+0.0086341i,-0.00018485+0.00082485i,-0.0078779-0.018764i,0.0080866-0.0026555i,0.0061221-0.0024171i,0.0012902+0.0027814i,0.0012857+0.00020054i,0.0063999-0.013467i,-0.00011663+0.001731i,-0.0098224+0.00036417i,-0.0010865+0.0035757i,0.0039902-0.003988i,0.0055265-0.0044859i,0.00062658-0.0051398i,0.0095217-0.0017098i,0.0031799-0.0055896i,0.016228-0.016246i,-0.086989+0.002413i,-0.0064218-0.0048805i,0.0040266-0.013047i,-0.0011982-0.0042643i,-0.012829+0.025368i,-0.0090418+0.0030283i,-0.0077834+0.01213i
-0.013619+0.02493i,-0.037253+0.040757i,-0.010498+0.036485i,-0.011553+0.036473i,0.00088756+0.040223i,0.032757+0.026952i,0.01272+0.020952i,0.010998+0.034662i,-0.0061593+0.018665i,-0.0028739+0.0040924i,-0.0028292+0.0018955i,-0.0069761+0.0045154i,-0.0038969+0.0049493i,-0.0057401+0.0055306i,0.0044572+0.0040727i,-0.0011798+0.010217i,-0.0016913+0.014738i,0.0008489-0.00048331i,0.00034894-0.0048917i,-0.0019631-0.0036751i,-0.0028343-0.0033526i,-0.0020059-0.0042368i,-0.0014399-0.0034268i,-0.0090188+0.0047731i,-0.00073062+0.0002996i,0.00048058+0.0016047i,-0.0012328+0.00026112i,-0.00085496+0.0017196i,-0.0020586+0.0012428i,-0.0019497-0.00057574i,0.0063049+0.00013904i,0.00040611-0.00056318i,0.00017573-0.0018337i,0.0012976-0.00039457i,0.0025564+0.0018682i,-0.004851-0.0076245i,-0.00044714+0.0015802i,-0.001168+0.0013314i,0.0011695-0.0013328i,0.0028375-0.002693i,-0.001653-0.0026635i,-0.00070772-0.0014726i,-0.001557+0.005274i,-0.0025462+0.0018617i,-0.038493+0.0062458i,-0.076255-0.047085i,-0.065179+0.010057i,-0.084292-1.1097e-05i,-0.099765+0.012936i,-0.042161+0.022341i,-0.041432+0.058381i,-0.017371+0.031104i,-0.049354-0.015524i,-0.056804-0.034183i,-0.02833+0.0089429i,0.00010036-0.005194i,0.014929+0.01339i,0.0044682-0.0075777i,-0.0027681-0.007497i,-0.019306+0.01097i,-0.00086446+0.0027735i,0.0023608+0.0053774i,0.0069894-0.0010822i,0.01509+0.0079543i,0.0017663+0.0030869i,0.0026299-0.0015496i,0.0016964-0.0071314i,0.0035006+0.0013159i,0.00049746+0.0019408i,-0.006654+0.0061185i,-0.0025173-0.0026294i,0.0049766-0.0024779i,0.0073363+0.0039779i,0.00029025+0.00080278i,-0.010717-0.016097i,0.0065647-0.0052342i,0.0042068-0.0046754i,0.004476+0.002475i,0.0017698+2.1415e-05i,0.0030932-0.012213i,0.0016875+0.0013905i,-0.0073975+0.0052952i,0.0012286+0.0036612i,0.003247-0.00345i,0.0028093-0.0082865i,0.00019422-0.0043028i,0.0059968-0.0056009i,-0.00044794-0.006892i,0.0089416-0.021898i,-0.080352+0.01254i,-0.014102-0.00098228i,-0.00019838-0.015651i,-0.002782-0.0065041i,-0.0087719+0.024597i,-0.012023+0.0059294i,-0.0071154+0.013006i
-0.010628+0.024749i,-0.031662+0.045546i,-0.0087824+0.038422i,-0.0052473+0.036116i,0.0055769+0.036182i,0.035945+0.019815i,0.016999+0.017079i,0.015912+0.030784i,-0.0036148+0.018976i,-0.0014094+0.0038454i,-0.0030479+0.0034691i,-0.0049946+0.0068328i,-0.0022371+0.0064762i,-0.0033612+0.0067483i,0.0052381+0.0024712i,0.0024469+0.010545i,0.0046776+0.013602i,0.00093454-0.00062645i,-0.0012378-0.0049501i,-0.0030958-0.0025408i,-0.0033051-0.0017398i,-0.002857-0.0033288i,-0.0023691-0.0026708i,-0.007156+0.0054545i,-0.0014624+0.00078061i,-3.3235e-06+0.0014574i,-0.0018035+0.00076375i,-0.00013765+0.0012393i,-0.0011905+0.0017063i,-0.0016556+0.00017567i,0.004957-0.001154i,4.1159e-05-0.0006545i,-0.00046995-0.0015554i,0.00088545-0.00082617i,0.0025901+0.0012851i,-0.0070952-0.0061821i,-0.00028237+0.0014811i,-0.00019017+0.0018864i,0.00011734-0.0012644i,0.0021274-0.0022835i,-0.0022245-0.0019217i,-0.00093964-0.0014268i,0.00080338+0.0054217i,-0.0021755+0.0050009i,-0.038143+0.013475i,-0.074737-0.030155i,-0.062489+0.012529i,-0.084038+0.017712i,-0.094001+0.032591i,-0.040283+0.025201i,-0.02978+0.05773i,-0.0094781+0.027108i,-0.049063-0.0090862i,-0.061154-0.026348i,-0.024608+0.013267i,-0.0033359-0.0047132i,0.017806+0.0014083i,0.0025822-0.0092564i,-0.0060706-0.0037136i,-0.013583+0.018351i,0.00040086+0.0035404i,0.0054801+0.0032229i,0.0054046+8.9871e-05i,0.017715+0.0003235i,0.0027607+0.0032774i,0.0022706-0.0010006i,-0.0027337-0.0087941i,0.0023853+0.0026439i,0.00086152+0.0037123i,-0.00051721+0.0091058i,-0.0016388-0.00044121i,0.0035706-0.0033872i,0.0082013+0.00015513i,0.0013097-4.5949e-05i,-0.015257-0.016893i,0.0036947-0.0069113i,0.0013259-0.0055523i,0.0044473-0.00025052i,0.0017584+0.00032827i,0.0015428-0.010879i,0.0023308-6.7719e-05i,-0.0032861+0.0073238i,0.0026206+0.0017262i,0.0024504-0.0039805i,-0.0022626-0.0083055i,-0.00057965-0.0055476i,0.0024325-0.0058967i,-0.0027234-0.0069597i,-0.0016065-0.022428i,-0.076316+0.020842i,-0.012084+0.0085123i,-0.0054104-0.016407i,-0.0058915-0.0072173i,-0.0057861+0.024267i,-0.011263+0.010794i,-0.0027802+0.012616i
-0.0074257+0.024934i,-0.024572+0.050571i,-0.0047303+0.041094i,-0.0001037+0.034828i,0.0082094+0.033544i,0.037968+0.012491i,0.020023+0.012334i,0.019669+0.026742i,-0.0009704+0.019542i,-0.00080011+0.0039043i,-0.0018376+0.0057373i,-0.0020144+0.0085728i,-0.00015062+0.0071536i,-0.00106+0.0067674i,0.0053067+0.00093287i,0.0059279+0.0095485i,0.0092959+0.010263i,0.0010292-0.00075374i,-0.0026526-0.0041841i,-0.003688-0.0010266i,-0.0029982-0.00053346i,-0.0035404-0.0025247i,-0.0028462-0.0017748i,-0.0064757+0.0067691i,-0.0014115+0.0016672i,4.0533e-05+0.0019129i,-0.001476+0.001894i,-0.00026477+0.00081283i,-0.00050895+0.0018015i,-0.0012877+0.0004654i,0.0032674-0.0011143i,7.445e-05-0.0004096i,-0.00063102-0.0014356i,0.00050682-0.0010865i,0.0029817-1.1104e-05i,-0.0093148-0.0045354i,0.00022405+0.0015994i,0.00062785+0.001759i,-0.00055545-0.0012513i,0.0019922-0.0024595i,-0.002466-0.0007777i,-0.0012133-0.0011856i,0.0022697+0.0042361i,-0.00052919+0.0061536i,-0.034781+0.019992i,-0.073538-0.023234i,-0.061401+0.017206i,-0.076882+0.03302i,-0.082696+0.04997i,-0.037478+0.030961i,-0.019941+0.057463i,-0.0053727+0.022228i,-0.047415-0.0036581i,-0.063712-0.016906i,-0.020498+0.017771i,-0.0043587-0.0046091i,0.01097-0.0089237i,-0.0007859-0.010944i,-0.0066731-0.00023966i,-0.0056438+0.020584i,0.00079075+0.0030712i,0.006552-0.00051183i,0.0064785-0.00057506i,0.015497-0.0057149i,0.004876+0.0027431i,0.0023776+0.00024268i,-0.0073211-0.0042627i,0.0033209+0.0039368i,0.0024472+0.0047596i,0.0037681+0.0069886i,-0.0010655-0.00021578i,0.00247-0.0040374i,0.0088691-0.0059249i,6.8986e-05-0.00069576i,-0.023407-0.010443i,0.0012661-0.0068016i,-0.00092775-0.0041823i,0.0052771+0.00025456i,0.0019027-0.00034438i,0.00063906-0.011552i,0.0019112-0.0012685i,3.2732e-05+0.0066407i,0.0026605+0.0010952i,0.0018018-0.0035052i,-0.0053448-0.0050967i,-0.0039946-0.0056484i,-0.00016047-0.0051612i,-0.0053369-0.0064915i,-0.0082896-0.018342i,-0.070372+0.029549i,-0.0077074+0.0069812i,-0.0060872-0.015373i,-0.0080774-0.0060946i,-0.0017936+0.022798i,-0.0099416+0.012788i,-0.00079371+0.010335i
-0.0042113+0.024777i,-0.015983+0.054198i,0.0015687+0.043547i,0.0043907+0.033688i,0.010736+0.032119i,0.038466+0.0052127i,0.021897+0.0071256i,0.023399+0.022826i,0.0023282+0.019576i,-3.9088e-05+0.0043476i,0.0010915+0.0067033i,0.0014792+0.0084316i,0.0019645+0.0070545i,0.00045423+0.0066723i,0.0051763-0.00029966i,0.0086929+0.0070059i,0.011839+0.0061618i,0.0011708-0.0017838i,-0.0036384-0.0032518i,-0.0032971+0.00066406i,-0.0024176+0.00029194i,-0.0040217-0.0010832i,-0.0030604-0.00089503i,-0.0040691+0.008387i,-0.00084974+0.002467i,0.00087625+0.0021577i,-0.00077744+0.0022425i,-0.00056623+0.0010272i,9.3003e-05+0.0018619i,-0.00099305+0.00077251i,0.0034806-0.0029268i,0.00030522-0.00072154i,-0.0013459-0.0013282i,-4.6126e-05-0.001194i,0.0020973-0.0012098i,-0.010651-0.0014057i,0.00073643+0.0014365i,0.0011767+0.0016458i,-0.0015926-0.00088829i,0.0017146-0.0025741i,-0.0018145+2.1909e-05i,-0.0013295-0.0010234i,0.0029665+0.0028014i,0.0013374+0.0069217i,-0.030764+0.023893i,-0.078532-0.016768i,-0.059917+0.022946i,-0.068258+0.044772i,-0.067262+0.06133i,-0.033208+0.035874i,-0.009776+0.055539i,-0.0022429+0.019229i,-0.045471+0.00068473i,-0.063439-0.0062365i,-0.016043+0.02083i,-0.0059217-0.0033477i,0.003035-0.010241i,-0.0048467-0.010931i,-0.0052852+0.0036765i,0.0022617+0.018106i,0.0003379+0.0025806i,0.0054901-0.0046132i,0.0054307-0.001901i,0.011491-0.01113i,0.0065126+0.00061023i,0.0035613+0.00048376i,-0.0078883-0.00055979i,0.0049537+0.0045355i,0.0051055+0.0049609i,0.0076846+0.0057748i,-0.00093349+0.0008138i,0.0019332-0.0042021i,0.0056292-0.0062253i,-0.00024352+0.000868i,-0.024183+0.0012082i,-0.00021481-0.0066277i,-0.0019163-0.0024368i,0.0060052-0.00098861i,0.0017855-0.00074643i,-0.0020169-0.013243i,0.0010124-0.0016852i,0.0033416+0.0061483i,0.0033826+0.00044886i,0.0024793-0.0035169i,-0.0068931-0.0027809i,-0.0070451-0.0024006i,-0.0028551-0.0034747i,-0.007111-0.0052199i,-0.01224-0.013724i,-0.063997+0.035958i,-0.0080289+0.0055142i,-0.0070878-0.018512i,-0.009266-0.0045927i,-0.00031887+0.022218i,-0.0095768+0.014473i,0.00055878+0.0079313i
-0.00054026+0.024752i,-0.0064438+0.055653i,0.0099226+0.043826i,0.0087403+0.032507i,0.014469+0.031846i,0.037827-0.0016827i,0.022373+0.0014429i,0.026743+0.018002i,0.0059006+0.018627i,0.00085574+0.0043892i,0.0034369+0.0052662i,0.0037681+0.0064412i,0.0041094+0.0064709i,0.0022965+0.0064085i,0.0047986-0.0015623i,0.0099116+0.0036136i,0.012745+0.0016478i,-0.00020476-0.0023478i,-0.0048917-0.0016196i,-0.0020029+0.0016075i,-0.001478+0.00047423i,-0.0036727+0.00018332i,-0.0030713+9.0423e-05i,-0.00088611+0.0088335i,0.00016042+0.0027963i,0.0015737+0.0016978i,0.00029251+0.0022272i,-0.00028053+0.0017286i,0.00078595+0.0013839i,-0.00060182+0.00083564i,0.0014584-0.0038914i,-0.00015039-0.00096841i,-0.0018277-0.00047159i,-0.00067388-0.00097855i,0.001145-0.0018366i,-0.010656+0.0020829i,0.001048+0.0011524i,0.0016627+0.0010685i,-0.0020121+0.00026451i,0.0012311-0.0028561i,-0.0015359+3.2573e-05i,-0.0015848-0.00098144i,0.0028157+0.0016816i,0.0034165+0.0070707i,-0.02693+0.028176i,-0.086125-0.0035811i,-0.055841+0.028751i,-0.056647+0.053012i,-0.052+0.068996i,-0.028142+0.042066i,-0.00029561+0.05136i,0.0031993+0.015526i,-0.043316+0.0055011i,-0.060765+0.0039532i,-0.011519+0.023706i,-0.0075567-0.002091i,-0.0029392-0.0096225i,-0.009263-0.0094207i,-0.0013247+0.0050588i,0.0054068+0.012954i,-0.00053173+0.0027805i,0.0031036-0.0079109i,0.0056692-0.0014487i,0.004623-0.014045i,0.0066337-0.0027588i,0.0046795-0.00043218i,-0.0080495+0.0038481i,0.0077823+0.0038256i,0.0082394+0.0021975i,0.01023+0.0012995i,0.00014447+0.0016499i,0.0010464-0.0043569i,-0.00045731-0.0081698i,0.0012458+0.002285i,-0.01871+0.0094936i,-0.0014145-0.007077i,-0.0014418-0.00049203i,0.0055406-0.004514i,0.0019651-0.00072708i,-0.0074218-0.013416i,0.00014128-0.0014489i,0.0059517+0.0038055i,0.0034892-6.0246e-05i,0.0020488-0.0044639i,-0.006673+0.0012133i,-0.007154+0.0023081i,-0.0040093-0.0015361i,-0.0091617-0.003934i,-0.014112-0.0085809i,-0.058882+0.042013i,-0.0086491+0.0085139i,-0.012386-0.02216i,-0.0078098-0.0036994i,0.003152+0.022511i,-0.0088891+0.018139i,0.0018088+0.0056841i
0.0034077+0.023655i,0.0030215+0.055177i,0.018023+0.041074i,0.013409+0.030778i,0.019487+0.030669i,0.036427-0.0080906i,0.021326-0.0039301i,0.028813+0.012691i,0.0092174+0.016849i,0.0015108+0.0044844i,0.0041045+0.0038918i,0.0043458+0.0045945i,0.0058133+0.0047844i,0.0039511+0.0053571i,0.0040709-0.0026254i,0.0094807+0.00060392i,0.011963-0.0017764i,-0.0010339-0.0019475i,-0.004777+0.00028641i,-0.00079887+0.0016504i,-0.0007965+0.0001524i,-0.0030786+0.00078484i,-0.0024991+0.00088205i,0.0016996+0.0083898i,0.001392+0.0023383i,0.0020129+0.00113i,0.001116+0.0018921i,0.00050311+0.0018036i,0.00093082+0.00074266i,-0.00053507+0.00093979i,-0.00044689-0.0037647i,-0.00070311-0.00087487i,-0.001679+0.00035297i,-0.0011343-0.00052722i,0.00031553-0.0019817i,-0.009641+0.0049303i,0.0012129+0.00068715i,0.0017781+0.00017246i,-0.0019729+0.0013424i,0.00079622-0.0034165i,-0.0015001+0.00031635i,-0.0018504-0.00096282i,0.0025929+0.0010102i,0.0056+0.0062934i,-0.022261+0.031862i,-0.087392+0.016189i,-0.053075+0.032775i,-0.046181+0.057467i,-0.034892+0.073761i,-0.019661+0.048085i,0.0074123+0.045056i,0.005925+0.0079756i,-0.039103+0.0090348i,-0.055093+0.014098i,-0.0048714+0.025349i,-0.0087156+0.00027937i,-0.0086287-0.0060712i,-0.011844-0.0064746i,0.0014095+0.0034169i,0.0055123+0.010801i,-0.0021527+0.004106i,-0.00041146-0.010445i,0.0064271-0.0035825i,-0.0019216-0.012464i,0.0044484-0.0049741i,0.0051066-0.0025667i,-0.0058758+0.0072555i,0.009935+0.00035346i,0.0088071-0.0030826i,0.0084287-0.0040158i,0.0022251+0.0013549i,-7.4669e-07-0.0044518i,-0.0041961-0.0049718i,0.0031363+0.0012599i,-0.0088699+0.0058254i,4.2805e-05-0.0052354i,4.4662e-05+0.00055656i,0.0024628-0.0056661i,0.0020693-0.00088252i,-0.013197-0.0098778i,0.00011907-0.0004556i,0.0066999-8.525e-05i,0.0032555-0.0009462i,0.0010572-0.0050234i,-0.0043625+0.0043434i,-0.0050859+0.0056476i,-0.0044772+0.0015988i,-0.011096-0.0017221i,-0.014799-0.0044506i,-0.052206+0.050946i,-0.0026809+0.011004i,-0.020158-0.021946i,-0.0060568-0.0052362i,0.0059226+0.021605i,-0.0052296+0.021355i,0.0024815+0.0020816i
