-0.02547-0.0041864i,-0.021029-0.008055i,-0.01276-0.012669i,-0.035189-0.0074146i,-0.027026+0.0020056i,-0.036129-0.0033695i,-0.066561-0.039662i,-0.033779-0.015503i,-0.022695+0.0031984i,0.0069886+0.0058374i,-0.0048446+0.0068214i,-0.007471+0.018314i,0.0051708+0.0072719i,-0.0010254+0.0036097i,0.0040536+0.004252i,0.0032281+0.026135i,0.020256+0.019358i,0.00096922-0.00086326i,0.00047336-0.0054838i,0.0089046+0.00036286i,0.0050348-0.0015944i,0.0025088+0.0023755i,0.0010503-0.00057247i,-0.024295-0.0013549i,-0.0051695-0.0038637i,-0.0010029+0.0029359i,0.00318-0.0037641i,-0.0018922-5.0047e-05i,-0.0007465+0.0010539i,-0.0025066-0.0015169i,-0.0039281-0.00017276i,-0.0067814-0.0092258i,-0.0052961-0.0041375i,-0.00068086+9.8928e-05i,-0.00080976-0.0023428i,-0.00046821+0.019673i,0.0023872-0.004104i,0.00079669-0.004726i,0.0024992-0.0020145i,-0.0012509-0.002835i,0.00097033-0.00029577i,0.0088353+0.00030417i,0.0040493-0.0018521i,0.00027817+0.0024472i,-0.014129+0.015302i,-0.027084+0.052914i,-0.0055788-0.036847i,-0.014857-0.01813i,-0.039534-0.017172i,-0.027833-0.012704i,0.036194-0.011843i,0.0062953-0.030546i,0.013687-0.038168i,-0.0085323-0.030035i,0.026454-0.022375i,0.013243+0.0071356i,0.030242-0.037173i,-0.0017243-0.0040636i,0.0062721-0.0085406i,-0.0014692-0.0058629i,0.0010898-0.036003i,-0.013934+0.028538i,0.0089667-0.011552i,-0.007343-0.0054793i,-0.0028276-0.0020068i,0.00011848-0.015193i,-0.0086341+0.0062191i,0.0042599+0.0067695i,-0.0012513+0.027586i,0.0026599+0.00027664i,-0.0070407-0.0040883i,-0.0039134-0.0064547i,-0.014519-0.010126i,-0.0021967-0.0064221i,-0.03686+0.022253i,-0.0049445-0.0087678i,-0.012871-0.001071i,-0.008762-0.0067469i,0.0014737-0.0017919i,-0.013837+0.0023018i,-0.0010951-0.00064755i,0.005351+0.005804i,0.0037153-0.0050652i,-0.011856-0.013377i,0.0074899+0.0090364i,-0.016626+0.0033412i,0.0048059-0.00032951i,-0.019125-0.003157i,-0.016171-0.0038625i,-0.01592-0.036136i,0.02012-0.0098097i,-0.038716-0.023995i,-0.0090382+0.0035484i,0.018536+0.015119i,-0.021608+0.016755i,-0.0040575-0.0037159i
0.0082975-0.011006i,0.011233-2.0032e-06i,0.0074101+0.0029462i,0.014474-0.0040832i,0.018566-0.0021634i,0.016759-0.013587i,0.017024-0.0056267i,0.012562-0.0010955i,0.001234-0.0094396i,-0.0017842+0.0010546i,-0.0012178-0.0006404i,-0.0015704+0.00031305i,-0.0011698+0.0041895i,-0.001732+0.0021675i,0.0010255+0.0027687i,0.001163-0.00033599i,0.003149-0.0018936i,0.001727-0.0012148i,-0.00017431+0.0021134i,8.0795e-05+4.4364e-06i,0.00095515-0.0029226i,-0.00081547-0.0018602i,-0.00067316-0.00041317i,0.0025427+0.0048511i,-0.0018605+0.00042784i,-0.0019505+0.0015129i,-0.0024685+0.00028694i,-0.0018495+8.5504e-05i,-0.0020912-0.00076696i,-0.0023626+0.0006827i,0.00048969-0.0014371i,0.00051876+0.0016489i,0.0015942+0.00037963i,0.0019154+0.00027016i,0.0010604-0.00047861i,-0.0079271+0.0064569i,-0.0015351-0.00020322i,-0.0010796+0.00034267i,-0.0023198-3.3171e-05i,0.00070168-0.0019685i,0.00028143-0.0010861i,0.0012052-0.0014216i,-0.0011564+0.0012424i,0.0026067-6.5651e-05i,0.0017958-0.012488i,-0.025865-0.0056485i,-0.0012059-0.0053584i,-0.0076076+0.0038604i,0.016208+0.022609i,0.0011633+0.004768i,0.013073-0.014489i,-0.011414-0.028377i,-0.0046971-0.013664i,0.0081489-0.0074402i,0.019275+0.019469i,0.0028669+0.0012333i,-0.0012696-0.00042281i,-0.0059544-0.00010233i,0.011053-0.0034835i,0.013721+0.0083257i,0.0022728+0.0044064i,-0.004543-0.0085305i,0.0065748-0.003167i,-0.0040593-0.0065219i,0.0032254-0.011481i,0.0061235-0.0062538i,-0.0012094+0.0076593i,0.0094223-0.0071473i,0.0056107-0.0092705i,0.0013879-0.0067434i,-0.003126-0.0016138i,-0.0056739-0.0064162i,-0.0065052-0.0037586i,-0.0004157-0.0017563i,-0.0043247+0.032826i,-0.010821-0.0017714i,-1.4006e-05+0.0029841i,-0.0083472-0.0066011i,0.00034035+0.00060564i,-0.016077+0.0010279i,-0.00241+0.0011674i,-0.0017106-0.0019328i,-0.0034063-0.00031279i,-0.0056123-0.0041475i,-0.0018285+0.0055314i,-0.0014951+0.0021362i,-0.0053552+0.0063646i,-0.0058225+0.00013398i,-0.0024634-0.001236i,0.0080815-0.0017536i,-0.0054422+0.018137i,-0.028779-0.0024998i,-0.010767-0.0037261i,0.012077+0.016373i,-0.0019724+0.016923i,-0.007444-0.0046078i
0.0063996-0.012793i,0.011216-0.0035859i,0.0077662+0.002063i,0.013044-0.0056915i,0.018182-0.0051973i,0.014121-0.016215i,0.013903-0.0088161i,0.012212-0.0032184i,-0.00050375-0.0097004i,-0.00090836+0.0010529i,-0.0010933+0.00022547i,-0.0016531+0.0016088i,0.00022852+0.0042851i,-0.00095954+0.0027312i,0.0019123+0.0019871i,0.00072542+4.8814e-05i,0.0019294-0.0026183i,0.0012503-0.0019628i,-0.0010156-0.00069726i,0.00043307-0.00061947i,0.00014138-0.0031345i,-0.0014697-0.0014902i,-0.00073328-0.00067579i,0.0048116+0.0032785i,-0.0019496+0.0015354i,-0.00098264+0.0022858i,-0.0024876+0.0010196i,-0.0019037+0.00085713i,-0.0026915+0.00036022i,-0.0020229+0.0019184i,-0.00087442-0.0015109i,0.00061167+0.00060981i,0.0010166-0.00029475i,0.0021849-0.00083545i,0.000556-0.00029842i,-0.0057209+0.0086591i,-0.0019985+0.00049639i,-0.001029+0.0010093i,-0.0025537+0.0010405i,0.00045073-0.0019575i,9.9364e-05-0.001173i,0.00058864-0.0018832i,-0.0012139+0.001473i,0.0019158-2.8146e-05i,0.00034895-0.012085i,-0.024307-0.0025247i,-0.0025512-0.0029816i,-0.0035291+0.0025149i,0.024591+0.014918i,0.0049657+0.0024112i,0.0062367-0.017497i,-0.019932-0.02772i,-0.0094219-0.01451i,0.011076-0.01426i,0.024459+0.013457i,0.00069505+0.00026122i,-0.00082224+0.0025984i,-0.0051781+0.0018049i,0.007912-0.0071136i,0.014676+0.0042256i,0.0051542+0.0058944i,-0.0093108-0.0070976i,0.0030517-0.0050372i,-0.0050409-0.0042242i,-0.0025364-0.010308i,0.0031813-0.00763i,0.0026539+0.0060831i,0.0051623-0.0088342i,0.0010625-0.0097274i,-0.0021362-0.004126i,-0.0022968-0.00046849i,-0.0069091-0.0045394i,-0.0084273-1.9597e-05i,-9.4102e-05-0.0012524i,0.011605+0.029285i,-0.011459+0.0030737i,0.00075312+0.0018852i,-0.010635-0.0033921i,0.00078076+6.0849e-05i,-0.013947+0.0081716i,-0.0014438+0.0021607i,-0.002184-0.00031805i,-0.0023545+0.00054887i,-0.0063123-0.0018593i,-9.8904e-05+0.0029194i,-0.00043469+0.0016793i,-0.0015406+0.0078144i,-0.004045+0.0021513i,-0.0034494-0.0010083i,0.0089217-0.008167i,-0.0017355+0.020071i,-0.029272+0.0036201i,-0.011956-0.0048726i,0.014191+0.014159i,0.00065969+0.018452i,-0.0097207-0.0033774i
0.003678-0.013932i,0.0090293-0.0074996i,0.0087799+0.00033777i,0.012112-0.0072487i,0.017569-0.0082843i,0.011026-0.018772i,0.010296-0.011432i,0.011513-0.0056353i,-0.0020845-0.009159i,-0.0013633+0.00031371i,-0.00070599+0.00033726i,-0.0008726+0.0026299i,0.0013561+0.0036859i,-7.7826e-05+0.0026529i,0.0017387+0.0010251i,0.00049821+0.00039837i,0.00041419-0.0026966i,0.0008044-0.002545i,-0.0013761-0.00073712i,6.0633e-05-0.0014741i,-0.0010337-0.0033219i,-0.0014858-0.0009493i,-0.0011222-0.00084309i,0.0055168+0.00056652i,-0.0012411+0.0024961i,-0.00023904+0.0024586i,-0.0023781+0.00231i,-0.0014982+0.0015848i,-0.0024729+0.0019144i,-0.001093+0.0028427i,-0.00023545-0.0003119i,-2.8984e-06+0.0013964i,0.00071857-0.00036241i,0.00020455-0.002406i,0.00046181+0.00011626i,-0.0030255+0.010589i,-0.0018482+0.0017893i,-0.00049533+0.0014264i,-0.0020248+0.0023168i,6.2476e-05-0.0022461i,-3.8442e-05-0.0012684i,-1.9046e-05-0.0020091i,-0.0011129+0.002149i,0.0021042+0.00024487i,-0.00037358-0.011562i,-0.02843-0.0019378i,-0.0018786+0.001083i,9.5587e-05-0.00078182i,0.032052+0.0045205i,0.0080259+0.00055122i,-0.00052997-0.017303i,-0.027152-0.024009i,-0.013868-0.012227i,0.010028-0.022919i,0.017726+0.0021446i,-0.0011985+2.4549e-05i,-0.00065693+0.002176i,-0.005128+0.002571i,0.0025133-0.010102i,0.014873-0.00036024i,0.0080028+0.0048855i,-0.012908-0.0032594i,0.0011555-0.004193i,-0.0055443-0.0016296i,-0.0052984-0.0071241i,0.00089248-0.0074793i,0.0049732+0.0051514i,0.0023324-0.0084087i,-0.0038323-0.0076071i,-0.0028146-0.0010939i,-0.00208-0.00055871i,-0.0087558-0.0015773i,-0.0048063+0.0033294i,-0.0009476-0.001607i,0.021597+0.020362i,-0.0097416+0.008194i,0.0012206+0.0013588i,-0.006726-4.6053e-05i,0.0010598-0.00088695i,-0.0076792+0.012935i,-0.00029099+0.002846i,-0.0024206+0.00046497i,-0.0019926+0.0014575i,-0.0062303+0.00073065i,-0.00094324+0.0032386i,8.9652e-05+0.0011094i,0.0017712+0.0079432i,-0.0027219+0.0016114i,-0.0046027+0.00044272i,0.005838-0.013542i,0.0078211+0.018962i,-0.026887+0.0075228i,-0.013667-0.0054175i,0.0169+0.0097701i,0.0054765+0.019676i,-0.010843-0.0015924i
0.00095385-0.014116i,0.0051631-0.0090913i,0.008696-0.0020808i,0.010978-0.0091446i,0.016106-0.011465i,0.0071413-0.020353i,0.0062381-0.012431i,0.010135-0.007737i,-0.0032343-0.0086107i,-0.0019267+0.0012808i,-0.00075685+0.00044675i,0.00035104+0.0029439i,0.0017444+0.0030026i,0.00037733+0.0026089i,0.0013967+0.001167i,0.00024848+0.00080013i,-0.00070254-0.00178i,0.00012863-0.00309i,-0.0012347-0.00060616i,-0.00087008-0.0017869i,-0.0020444-0.0026203i,-0.0016113-0.00068026i,-0.0016348-0.00066564i,0.004728-0.0016896i,-0.00014977+0.0029497i,0.00065451+0.002627i,-0.0012896+0.0034493i,-0.00089473+0.002063i,-0.0013167+0.0029356i,0.00019989+0.0031215i,-0.00040923-0.00023167i,0.0014358+0.00146i,0.00070162-0.00040781i,-0.0011692-0.00083538i,0.00054942+0.00041991i,0.00048436+0.011287i,-0.00083302+0.0026598i,-5.8961e-05+0.0015066i,-0.00094912+0.003186i,-0.00086754-0.0023524i,-0.00037125-0.0014746i,-0.00045093-0.0020121i,-0.00052844+0.0028773i,0.0024276+0.00014045i,-0.00070598-0.011855i,-0.016646-0.0036946i,0.0019329+0.0023775i,-0.00034894-0.0056254i,0.035314-0.0097826i,0.010353-0.0039589i,-0.0064281-0.014024i,-0.033922-0.01746i,-0.016626-0.0067462i,0.0043417-0.030148i,0.01623-0.0018724i,-0.0020928+0.001507i,-0.00066846+0.0043288i,-0.0048155+0.0040998i,-0.0040856-0.0084743i,0.013835-0.0053537i,0.010445+0.0021999i,-0.013222+0.0031285i,-0.00024803-0.0042141i,-0.0046105+0.00057284i,-0.0062478-0.0032865i,-0.0010561-0.0073199i,0.0067452+0.0018418i,-0.0003223-0.0079582i,-0.0054938-0.0023653i,-0.001949+0.0014235i,-0.002345-0.00024394i,-0.0082793+0.0025848i,-0.002251+0.004337i,-0.0017768-0.0010795i,0.026064+0.0088351i,-0.0050357+0.013211i,0.001542+0.0004672i,-0.0047175+0.0018497i,0.00015611-0.0017987i,-0.0013383+0.012829i,0.0015891+0.0026336i,-0.0020716+0.0023244i,-0.0011699+0.0025555i,-0.0030477+0.0037646i,0.00179+0.0047414i,-0.00022541+0.00044239i,0.0051498+0.006787i,-0.0029891+0.00076305i,-0.0055168+0.0022906i,0.0020172-0.015182i,0.01746+0.0098289i,-0.023602+0.011552i,-0.017151-0.004622i,0.015935+0.0051952i,0.010256+0.018425i,-0.01039-0.00015437i
-0.0013775-0.013813i,0.0027115-0.0086946i,0.007851-0.0038696i,0.0096717-0.010972i,0.014127-0.014279i,0.0034331-0.021241i,0.0028863-0.011876i,0.008422-0.0092197i,-0.0042027-0.0078788i,-0.0016026+0.0026264i,-0.00088857+0.00062204i,0.0014232+0.0025912i,0.0019217+0.0027148i,0.00072779+0.0024772i,0.0017959+0.0011919i,-1.7276e-05+0.0015062i,-0.00092367-0.00078442i,-0.00097671-0.0032615i,-0.0014731-0.00070909i,-0.0018259-0.0014919i,-0.002743-0.0019524i,-0.0015895-0.00041129i,-0.0020372-0.00017813i,0.003291-0.0030798i,0.0010137+0.0029147i,0.0017031+0.0024377i,0.00025522+0.0038644i,-0.000269+0.002397i,3.228e-05+0.0033181i,0.0015074+0.0028768i,-0.00029337-5.41e-05i,0.0028573+0.0012594i,0.00043576-0.00037618i,-0.00047897+0.00029281i,0.0010493+0.0011901i,0.0039669+0.010856i,0.00028306+0.0030358i,0.00030832+0.0016403i,0.0004769+0.0035285i,-0.0015724-0.0019836i,-0.00077955-0.0014848i,-0.0010717-0.0019988i,0.00026885+0.0031229i,0.0023917-0.00048847i,-0.0018759-0.012587i,-0.011615-0.00061573i,0.0062709+0.0017323i,-0.0027538-0.0075344i,0.03124-0.023179i,0.0099366-0.0086081i,-0.0088135-0.0089231i,-0.036996-0.0079641i,-0.016283+0.00034089i,-0.0041076-0.033111i,0.012128-0.0043826i,-0.0015767+0.0029567i,0.0020523+0.0049387i,-0.0039118+0.0055132i,-0.0070651-0.0039654i,0.010196-0.01066i,0.011486-0.001774i,-0.011124+0.0069137i,-0.0012013-0.0030639i,-0.0030549+0.0016436i,-0.0048883-0.0010394i,-0.0038859-0.0059998i,0.0062825-0.00052931i,-0.0030836-0.0067339i,-0.0037618+0.0010019i,0.00018139+0.0024527i,-0.0022655+0.0003356i,-0.0055928+0.0053839i,0.00069811+0.0038898i,-0.001896+0.00017752i,0.025379-0.0024821i,0.0022109+0.014034i,0.0011125-0.00028464i,-0.0024724+0.0020705i,-0.0008419-0.0013921i,0.0031163+0.01086i,0.0025103+0.0016486i,-0.00023394+0.0043003i,0.00078563+0.0031022i,0.00054066+0.0045745i,0.0016374+0.0025036i,-0.0012766+0.00054514i,0.0071392+0.0040318i,-0.0040766+0.00092429i,-0.0047801+0.0047824i,-0.00029819-0.015418i,0.018579-0.0046294i,-0.017605+0.011759i,-0.020251-0.0019465i,0.015623+0.0017427i,0.014609+0.014327i,-0.011299-0.0002296i
-0.003374-0.01322i,0.0014028-0.008314i,0.0072413-0.0053136i,0.0080538-0.012995i,0.01177-0.01678i,-0.00056718-0.021623i,0.00091941-0.010644i,0.0067843-0.010314i,-0.0047693-0.0071833i,-0.00077277+0.0032411i,-0.00084915+0.0011345i,0.0023026+0.0020753i,0.0023628+0.0026514i,0.0011805+0.0025288i,0.0021863+0.00081913i,-0.00021095+0.0032311i,-0.00064153-0.00031792i,-0.0021058-0.0030158i,-0.0019501-0.00051403i,-0.0024723-0.00081548i,-0.0031268-0.0010841i,-0.0015291-0.00023019i,-0.00222+0.00047872i,0.0015657-0.0038576i,0.0021458+0.0024677i,0.002638+0.0017038i,0.0018374+0.0035179i,0.0006098+0.0026448i,0.0013704+0.0031119i,0.0025722+0.0020608i,-0.00014601+1.4882e-05i,-0.0060715+0.00188i,-7.8657e-05+0.00010745i,6.0561e-05+0.0004472i,0.0032655+0.0022356i,0.0069384+0.0092941i,0.00165+0.0029037i,0.00097908+0.0017685i,0.0018886+0.0030867i,-0.0019592-0.0014258i,-0.0014262-0.0013779i,-0.0018142-0.0017999i,0.0010771+0.0032765i,0.0021353-0.00087459i,-0.003245-0.013191i,-0.008412-0.0013043i,0.0098954-0.001551i,-0.0049313-0.0075098i,0.023794-0.033422i,0.007665-0.011924i,-0.0081887-0.0042094i,-0.03526+0.0020962i,-0.010972+0.0072848i,-0.012203-0.031532i,0.0089122-0.0055217i,-0.00048887+0.0037187i,0.0039301+0.0035077i,-0.0025434+0.0070661i,-0.0076221-0.00032797i,0.0038463-0.014274i,0.0097865-0.0064169i,-0.0088862+0.0091936i,-0.0011422-0.0021713i,-0.0018225+0.0015944i,-0.0038732-0.00039384i,-0.004931-0.0033618i,0.0048826-0.0019751i,-0.0054408-0.0046816i,-0.0013128+0.0022317i,0.0025136+0.0012035i,-0.0020403+0.0011258i,-0.0031588+0.0063305i,0.0017277+0.0017908i,-0.00094786+0.0011621i,0.019708-0.011041i,0.0077893+0.0069856i,0.00078595+3.7036e-05i,-0.001457+0.0019484i,-0.0013539-0.00024266i,0.0064317+0.0081055i,0.0034368+0.00065841i,0.0029833+0.003953i,0.0021798+0.001913i,0.0032342+0.00399i,0.0020965+0.0023242i,-0.0017668+0.0019099i,0.0073994+0.0010082i,-0.0050696+0.0017096i,-0.0024507+0.0063255i,-0.002313-0.01631i,0.011565-0.015271i,-0.014643+0.0074056i,-0.022827+0.0026699i,0.013199-0.0032091i,0.016679+0.0092122i,-0.012522+0.0012541i
-0.0053627-0.012181i,4.3843e-06-0.008179i,0.0062032-0.0075921i,0.0055903-0.015064i,0.0089136-0.019123i,-0.0048797-0.020848i,-0.00016379-0.0097228i,0.005148-0.011514i,-0.0052011-0.0065663i,-0.0002576+0.0040114i,-0.00070933+0.0014845i,0.0026483+0.00091134i,0.0029517+0.0023716i,0.0017136+0.0023899i,0.0023674+0.00035743i,0.0012097+0.004976i,-0.00057863-0.00013866i,-0.0033415-0.0024122i,-0.002176+5.9565e-06i,-0.0029832+0.0001623i,-0.0034313-0.00024411i,-0.0015278-0.00023405i,-0.0022055+0.0011889i,-0.00025174-0.0038289i,0.0030249+0.0013393i,0.0030872+0.00073059i,0.0028699+0.0027061i,0.0016983+0.0024213i,0.0026263+0.0023396i,0.0031679+0.00081491i,1.8217e-05-3.3033e-05i,0.00029451+0.002006i,-7.3012e-05+0.00029664i,0.00056075+0.00039354i,-0.0074274-0.014224i,0.0092543+0.0066171i,0.0027183+0.0020901i,0.001691+0.0013877i,0.003142+0.0020754i,-0.0020926-0.0008426i,-0.0020162-0.00092844i,-0.0022725-0.0011164i,0.0022667+0.0031762i,0.0017908-0.0010449i,-0.0051533-0.013571i,-0.0064751-0.0032447i,0.011198-0.0060758i,-0.0056187-0.0061284i,0.01369-0.039977i,0.0047302-0.013901i,-0.0060595-0.001963i,-0.029848+0.0085779i,-0.0024478+0.0097687i,-0.018759-0.02704i,0.0065812-0.0054133i,0.00060079+0.0037434i,0.0041207+0.0014371i,-0.00037176+0.0074765i,-0.0075122+0.0029781i,-0.0043764-0.01351i,0.0059721-0.0090164i,-0.0063896+0.011093i,-0.00070802-0.002337i,-0.0014086+0.0012693i,-0.0037863-0.00016437i,-0.0046508-0.0013556i,0.0036193-0.0024203i,-0.0072136-0.002979i,0.00032817+0.0016344i,0.003231-0.0014969i,-0.0015864+0.0018189i,-0.00017894+0.0064609i,0.00081537+0.00059394i,-2.7409e-05+0.0008256i,0.012058-0.014995i,0.0072939+0.0047102i,0.0011035-0.00015298i,7.0697e-06+0.00172i,-0.0006107+0.00026239i,0.0078948+0.0047419i,0.0042355-0.0015871i,0.004779+0.0020845i,0.0027513+0.00086451i,0.0043164+0.0017215i,0.0034829+0.0020385i,-0.00082609+0.003619i,0.0067269-0.00087231i,-0.0055489+0.0033824i,-0.00032803+0.0063053i,-0.0047653-0.016103i,0.001279-0.021733i,-0.01769+0.0036345i,-0.022673+0.0084909i,0.0068524-0.0059982i,0.017398+0.0047002i,-0.011931+0.0024642i
-0.0066407-0.010704i,-0.00055945-0.0074112i,0.0040196-0.0090852i,0.0021066-0.01639i,0.0053917-0.020827i,-0.0084981-0.018929i,-0.00055108-0.0090355i,0.0033292-0.012356i,-0.0055495-0.0062036i,0.0011748+0.0048563i,-0.00050224+0.0020945i,0.0024893+0.00019325i,0.0035947+0.0018204i,0.0023065+0.0021678i,0.0024209-0.0001646i,0.0025138+0.0040938i,-0.00073412+0.00018777i,-0.0042785-0.0010046i,-0.0020967+0.00054401i,-0.0028671+0.0014715i,-0.0034319+0.00067739i,-0.0020605-0.0002393i,-0.0019198+0.0019393i,-0.0019408-0.0030508i,0.0031144+7.9822e-06i,0.0031338-0.00041347i,0.0038587+0.0014116i,0.0025522+0.001721i,0.003328+0.00098471i,0.0031489-0.00046472i,8.8306e-05-0.00017217i,0.001558+0.00095638i,0.00025508+0.00037973i,0.0008814-0.00015255i,-0.0019972-0.0017157i,0.010548+0.0031983i,0.0033069+0.00085824i,0.0021936+0.00076524i,0.0037698+0.0005148i,-0.0020897-0.00013317i,-0.0023773-0.00024804i,-0.0024685-0.00044688i,0.0032821+0.0022469i,0.0015549-0.0011757i,-0.0072615-0.013448i,-0.0056527-0.0063061i,0.010226-0.010246i,-0.0048569-0.0054769i,0.0029983-0.041899i,0.0011852-0.014452i,-0.004338-0.0010226i,-0.024064+0.010925i,0.0060775+0.007411i,-0.02172-0.020282i,0.0053101-0.0052861i,0.0018906+0.0031841i,0.0034912+0.00036102i,0.0021637+0.0071457i,-0.0056574+0.0062886i,-0.010377-0.008118i,0.0020142-0.009377i,-0.0034202+0.012472i,-0.0017798-0.0033322i,-0.0013191+0.0013337i,-0.0040116+0.00065809i,-0.0036861+0.00019242i,0.0024923-0.0025617i,-0.008944-0.0023798i,0.0012201+0.00049894i,0.00095085-0.0036735i,-0.00054465+0.0022445i,0.0027525+0.0048627i,-0.00048669-0.00023133i,0.00038008+0.00032437i,0.005169-0.015686i,0.0085803+0.0022292i,-0.00025074-0.0010675i,4.1027e-05+0.00018225i,0.00018259+0.00033049i,0.0078062+0.001985i,0.003119-0.0042327i,0.0059787-0.00018157i,0.0032791-0.00012497i,0.0049016-0.00051927i,0.0040439+0.00067136i,0.00099494+0.0041279i,0.0047813-0.0026476i,-0.0050482+0.005465i,0.0014674+0.0050928i,-0.0051641-0.014652i,-0.011424-0.022826i,-0.021883+0.0041667i,-0.019216+0.013719i,0.0020742-0.0037508i,0.016151+0.0002536i,-0.011366+0.0023215i
-0.0072201-0.0097195i,-0.00054878-0.0076747i,0.0020071-0.0093927i,-0.001474-0.016261i,0.0017138-0.021803i,-0.011209-0.016792i,-0.00033357-0.0093325i,0.0013431-0.013137i,-0.0059785-0.0058528i,0.0029827+0.0046429i,0.00030842+0.0028491i,0.0022099-0.00013341i,0.0041586+0.00090513i,0.0028674+0.0016004i,0.0023818-0.00070852i,0.0035703+0.0034894i,-0.00060083+0.0005619i,-0.0041243+0.00064084i,-0.002046+0.00095855i,-0.0022071+0.0023938i,-0.0033047+0.0016127i,-0.0025204+0.0005028i,-0.0013577+0.0025449i,-0.0031318-0.0015362i,0.0027523-0.00099833i,0.0027402-0.0014318i,0.0042005-0.00032026i,0.0030788+0.0007182i,0.0032418-0.00025197i,0.0026968-0.0015672i,0.00010182-0.00025168i,0.001508-3.4403e-05i,0.00065022+0.00023054i,0.00066244-0.00066788i,-0.0012605-0.0003925i,0.010155-0.00026375i,0.0033114-0.00047214i,0.0025114-5.0567e-05i,0.0035229-0.001106i,-0.0016562+0.00053212i,-0.0023315+0.00059557i,-0.0026211+0.00022147i,0.0036775+0.0011068i,0.0012221-0.0013061i,-0.0096056-0.012887i,-0.0076286-0.0093354i,0.0075405-0.013422i,-0.0045032-0.0060405i,-0.0060304-0.04083i,-0.0017715-0.013109i,-0.0025111-0.00037153i,-0.018987+0.012299i,0.011355+0.0019356i,-0.021022-0.014639i,0.004323-0.0060266i,0.0025721+0.0014995i,0.0035732-0.00057786i,0.0045217+0.0053257i,-0.0023847+0.0074417i,-0.012235-0.0018358i,-0.0014022-0.0083509i,-0.0002694+0.012295i,-0.0035646-0.0029145i,-0.0015649+0.0019195i,-0.0038597+0.0019272i,-0.0026323+0.0011032i,0.0016459-0.001524i,-0.011563-0.00051132i,0.00078117-0.00042011i,-0.0013626-0.0029789i,0.00048944+0.0021347i,0.0037817+0.0024363i,-0.0005039-0.00062286i,0.00055549+7.5159e-05i,-0.00033347-0.013813i,0.0086506-0.0015389i,-0.0003138+0.0012135i,0.00020874+7.065e-05i,0.0010435-0.0001152i,0.007694-6.3825e-05i,0.00036089-0.0057014i,0.005988-0.0032828i,0.0030476-0.0019003i,0.0041745-0.0036064i,0.0041369-0.0003903i,0.0026695+0.0036589i,0.0029233-0.0027478i,-0.0031879+0.0065846i,0.0023764+0.0034955i,-0.0046795-0.01538i,-0.02267-0.017184i,-0.024853+0.0070105i,-0.014091+0.015242i,0.00090025-0.0015254i,0.015981-0.00384i,-0.01283+0.0025479i
-0.0083109-0.0089701i,-0.0010755-0.0087023i,0.00057459-0.0094206i,-0.0045077-0.015199i,-0.00221-0.022202i,-0.0137-0.014347i,-0.00073575-0.011093i,-0.00090282-0.013574i,-0.0066158-0.0055083i,0.0043436+0.0036526i,0.0017895+0.0030105i,0.0020653-0.00026177i,0.0042821-0.00028718i,0.0033706+0.00092977i,0.0021796-0.0012781i,0.004593+0.0023827i,-0.00028808+0.00089411i,-0.0036082+0.0018502i,-0.0018038+0.0015472i,-0.0012723+0.0029538i,-0.0028855+0.0026603i,-0.0024125+0.0015618i,-0.00069037+0.0028401i,-0.0033588+0.0002097i,0.0021537-0.0016979i,0.002069-0.0022475i,0.0036711-0.0019629i,0.0031376-0.00051249i,0.0028322-0.0013656i,0.0018412-0.0024423i,0.00012293-0.00034805i,0.00131-0.00040292i,0.00089142-0.00019666i,0.00030758-0.00082003i,-0.00056771-0.00011495i,0.0088577-0.0030845i,0.0029526-0.001658i,0.0025312-0.0011344i,0.0026197-0.002287i,-0.0010281+0.00094011i,-0.002058+0.0013431i,-0.0025102+0.0010208i,0.0038397-9.7164e-05i,0.00093589-0.0010336i,-0.011883-0.011905i,-0.01163-0.0095927i,0.0045687-0.014602i,-0.0049413-0.00562i,-0.014106-0.039068i,-0.0040859-0.0083747i,-0.00057482-0.0008952i,-0.013494+0.012445i,0.014313-0.0051719i,-0.018696-0.011242i,0.0030391-0.006688i,0.0017062-0.00083585i,0.0033172-0.0020916i,0.0050788+0.0025758i,-0.0003328+0.0068739i,-0.011542+0.0039692i,-0.0040772-0.0063288i,0.0022314+0.010431i,-0.0051541-0.0012445i,-0.0012804+0.0030442i,-0.0033518+0.0034087i,-0.0012509+0.0011715i,0.0023337+3.9575e-05i,-0.0089046+0.0079348i,0.00049996-6.7054e-05i,-0.0020746-0.0018991i,0.0013546+0.0016371i,0.0037785+0.00059537i,-0.00075857-0.0010903i,0.00078397-0.000141i,-0.0048208-0.011373i,0.0071834-0.0047992i,-4.0232e-05-0.00087159i,0.00062849-0.00020406i,0.0012174-0.0012465i,0.0072123-0.0022888i,-0.0023395-0.0050987i,0.0041892-0.0060544i,0.0017791-0.0029552i,0.0012973-0.0053891i,0.0042449-0.0016887i,0.0042064+0.0024031i,0.0021681-0.0024257i,-0.0012536+0.0063001i,0.0019941+0.0017995i,-0.0054219-0.017198i,-0.02759-0.0072011i,-0.027204+0.011613i,-0.0099749+0.015431i,7.058e-05+0.00012539i,-0.0052296+0.01207i,-0.013668+0.0042168i
