-0.026243-0.0047572i,-0.021165-0.0080645i,-0.013332-0.014145i,-0.036232-0.0095516i,-0.026924+0.0015367i,-0.03698-0.0035198i,-0.067283-0.035205i,-0.034009-0.014159i,-0.023658+0.0031368i,0.0068067+0.0065526i,-0.0049363+0.0072913i,-0.0082634+0.018348i,0.0051003+0.007305i,-0.00095393+0.0037386i,0.0039958+0.0042213i,0.0051726+0.026016i,0.021035+0.017881i,0.0012615-0.00077562i,0.00043745-0.0052964i,0.0093591+0.0009271i,0.0047082-0.0021774i,0.0028596+0.0024237i,0.00096915-0.00040931i,-0.022761-0.00085338i,-0.0051459-0.0042376i,-0.00075658+0.0037106i,0.0031493-0.0034189i,-0.0017747-2.2049e-05i,-0.00068887+0.00097578i,-0.0025265-0.0016675i,-0.004194-9.7129e-05i,-0.0059527-0.0087228i,-0.0056568-0.0035614i,-0.00070537-1.7865e-05i,-0.00054804-0.0023135i,-0.00019305+0.019255i,0.0028993-0.0041368i,0.00095176-0.0046054i,0.0028342-0.0021957i,-0.0021113-0.0035872i,0.00098649-0.00015788i,0.0080432-0.00074453i,0.0035243-0.0028321i,0.0001323+0.0022736i,-0.013265+0.015501i,-0.026965+0.053929i,-0.0062709-0.036644i,-0.015464-0.01882i,-0.040407-0.016378i,-0.027516-0.012199i,0.034951-0.0105i,0.0055417-0.030099i,0.013026-0.037968i,-0.0094291-0.029567i,0.024772-0.023358i,0.013338+0.0073915i,0.024352-0.037152i,-0.0018591-0.0045715i,0.0060846-0.0090717i,-0.0007393-0.0057083i,0.00041197-0.034959i,-0.012758+0.029025i,0.0083656-0.011738i,-0.0081148-0.0049507i,-0.0024491-0.0021542i,-0.00020583-0.014942i,-0.0083067+0.006097i,0.0038372+0.0064461i,-0.00026541+0.02775i,0.0027674+0.00034121i,-0.0072022-0.0041083i,-0.0038866-0.0062109i,-0.014285-0.0097379i,-0.0027157-0.0057328i,-0.031743+0.0079967i,-0.0051217-0.0090073i,-0.012648-0.0010593i,-0.0087688-0.0063958i,0.0016303-0.0015375i,-0.013463+0.0029563i,-0.0016852-0.00047554i,0.0056036+0.0058096i,0.003334-0.0051158i,-0.0071421-0.012171i,0.0072224+0.0086342i,-0.01733+0.0041124i,0.0051178-0.00040531i,-0.018517-0.003081i,-0.01652-0.0034844i,-0.015134-0.035135i,0.020588-0.0098229i,-0.040696-0.022774i,-0.0094525+0.0051241i,0.017917+0.015069i,-0.021443+0.01715i,-0.0049247-0.0028802i
0.0033317+0.014336i,-0.0036898+0.016234i,-0.0013721+0.027227i,0.0010163+0.025635i,1.486e-05+0.02902i,0.011059+0.023826i,-0.010111+0.026685i,-0.0039578+0.02155i,0.01192+0.0054732i,0.00092896-0.0035831i,0.0025791+0.00056647i,0.006802-0.0028156i,0.00076838-0.0015816i,0.00045832-0.0036448i,-3.0435e-05-0.0018283i,0.0065657-0.0075245i,-0.0020005-0.0048701i,-0.00065616+0.00025504i,0.00076854+0.00011566i,8.3484e-05+0.0016437i,0.0024424+0.0018639i,-0.00016966-9.0198e-05i,0.0013521+0.00025269i,-0.0078425-0.003138i,-0.0005194-0.00061424i,-0.0023261+0.00046938i,-0.0044159+0.00038246i,-0.0016825+0.00046703i,-0.0011593+0.001374i,-6.7368e-05-0.00057473i,-0.0027557+0.001012i,0.0012116-0.0022605i,0.00015384-0.0032615i,0.00040983-0.001457i,-0.0012143+0.0006571i,-0.00022866-0.0035295i,-0.0013931+0.0017851i,0.0017505+9.9251e-05i,0.00030403+0.0056486i,0.0028261+0.0034677i,-0.00043133+0.00091902i,-0.0012924+0.00070473i,-0.0016856-0.0011972i,0.003368+0.0047403i,0.014645+0.0068414i,0.043433-0.052934i,-0.026968+0.0061903i,0.017949-0.026789i,-0.021956-0.032238i,-0.012008+0.0033266i,-0.032276+0.03411i,-0.019643+0.0057379i,-0.015111+0.0083322i,-0.0011235-0.019469i,-0.039522-0.021786i,-0.0084817+0.0017959i,-0.028445+0.012234i,0.0022391+0.013875i,0.00069465+0.004976i,-0.0040778-0.0036393i,-0.00041242+0.0019085i,-0.015042-0.003876i,0.0047514+0.013783i,-0.0013864+0.0072725i,-0.0020439+0.0043793i,0.00098268+0.0061348i,0.002057+0.0028594i,-0.00091278+0.019031i,0.0041574+0.016437i,0.0048623-0.0050328i,0.011868-0.0050281i,0.0086032+0.0024228i,-0.0023357-0.0084317i,-0.00038625-0.0016874i,0.022459-0.033265i,0.0094632+0.0036531i,0.0069098-0.0009154i,0.0027836-0.00092415i,0.0056106-0.0085888i,0.021761-0.00037921i,0.0057854-0.0027588i,0.001262-0.0069872i,0.0048302-0.0037015i,0.018731+0.0027718i,0.0060613+0.0038377i,0.0030686-0.0036571i,0.0088999+0.008484i,-0.001451+0.0049922i,0.008298+0.0087425i,-0.013448-0.012385i,-0.0082313+0.0014377i,-0.0081191-0.013949i,-0.0080001-0.0044893i,-0.038538+0.005966i,-0.0058392+0.0039232i,-0.013932+3.5094e-05i
0.0056863+0.013445i,-0.0015739+0.013866i,0.0050258+0.022348i,0.004825+0.023476i,0.0040097+0.027103i,0.014694+0.021282i,-0.0064485+0.027594i,0.000225+0.021145i,0.01185+0.0014401i,0.00032805-0.0035417i,0.0029431+0.00069538i,0.0052478-0.0056124i,0.00025009-0.0025101i,0.00060268-0.0032454i,-0.00065734-0.0016655i,0.0028388-0.0069233i,-0.0045821-0.0033031i,-0.00024711+0.0020202i,0.0017768-7.5449e-05i,0.0012294+0.0013352i,-0.0023256+0.0027614i,0.0003098+0.00052353i,0.0016562-0.00033924i,-0.0071086-0.00040961i,-0.00034725-0.0002378i,-0.0020652+0.0013572i,-0.0034175+0.0025342i,-0.0010649+0.00087314i,0.00070012+0.00037932i,5.5303e-05-0.00031347i,-0.0020359+0.0025397i,-0.0002264-0.0017684i,-0.0014846-0.0033455i,-0.0012728-0.0013582i,-0.0019806+0.00084701i,0.00077889-0.0025703i,5.0561e-06+0.0021363i,0.001218-0.00057146i,0.0036736+0.0081088i,0.0035411+0.0015648i,-7.1286e-05+0.0013109i,-0.0012375+0.00090301i,-0.0021972-0.0006351i,0.0047834+0.0036789i,0.015427+0.0024849i,0.023301-0.063033i,-0.020659+0.014032i,0.0073553-0.034641i,-0.032699-0.024576i,-0.0092933+0.006592i,-0.020881+0.039302i,-0.014768+0.011625i,-0.0051204+0.0034739i,-0.0043369-0.01837i,-0.045608-0.0069428i,-0.0082505+0.002439i,-0.023131+0.024003i,0.0058836+0.009277i,0.0014209+0.0032219i,-0.008176-0.0062135i,-0.0026972+0.0050148i,-0.014093+0.0044774i,0.010581+0.010251i,0.00068616+0.0095608i,-0.0002114+0.00417i,0.0041046+0.0067868i,0.0036271+0.0027321i,0.0070168+0.015137i,0.0095589+0.009919i,-0.001618-0.0076549i,0.005939-0.0065123i,0.007815+0.00058585i,-0.0034282+0.00049567i,-0.0005882+0.00074607i,0.0095656-0.035935i,0.011151+0.0014348i,0.0077161-0.0033437i,0.0046927-0.0027805i,0.000837-0.0058238i,0.019901-0.010117i,0.0027746-0.0042281i,-0.0020033-0.0058045i,0.00086956-0.0031873i,0.015685-0.0033452i,0.0079661+0.0029115i,0.0019898-0.002208i,0.010797+0.0050338i,-0.00011196+0.0057396i,0.009599+0.0049321i,-0.018042-0.010561i,-0.0041075-0.012638i,-0.007242-0.011842i,-0.0075405-0.0028082i,-0.032451+0.019146i,-0.0039099+0.0049028i,-0.0089848+0.0030713i
0.0089625+0.012119i,-0.0004963+0.01252i,0.0078176+0.016461i,0.007868+0.021124i,0.0086357+0.02547i,0.017815+0.018076i,-0.0018637+0.028229i,0.004404+0.019568i,0.010304-0.0014529i,-0.00065457-0.0033994i,0.0039341+0.0002456i,0.00098606-0.0062706i,-0.00064018-0.0026509i,-0.0002006-0.0034584i,-0.0010953-0.0013086i,-0.00052311-0.004957i,-0.0060159-0.00051879i,0.00091959+0.002206i,0.0021566-0.0014856i,0.0022546+0.00011128i,-0.0007591+0.0023247i,0.0012463+0.00017933i,0.0016204-0.0010775i,-0.0063679+0.00076178i,-0.0001916-1.4667e-05i,-0.00088838+0.0026534i,-0.0015491+0.0028958i,-0.00033391+0.0010987i,-3.91e-05+0.00041913i,-5.4041e-05-0.00048266i,-0.0001692+0.0035497i,-0.00063926-0.0010603i,-0.0025576-0.0020098i,-0.0020903-0.00052807i,-0.0016492+0.0020005i,0.0020228-0.0027303i,0.00077419+0.0018008i,0.00058004-0.001066i,0.012055+0.010329i,0.0034468+0.00080892i,0.00049897+0.0012943i,-0.00038492+0.001512i,-0.0025078-0.00013163i,0.0053289+0.001293i,0.014752-0.0013549i,0.0016596-0.063244i,-0.01026+0.017258i,-0.0047589-0.036228i,-0.036923-0.016746i,-0.0036471+0.0075506i,-0.0060305+0.039575i,-0.0048241+0.011847i,-0.004015-0.0033532i,-0.0070979-0.01702i,-0.043297+0.0084453i,-0.0074954+0.0041798i,-0.010854+0.031485i,0.0057123+0.004362i,-0.00053464+0.00099948i,-0.015597-0.0027197i,-0.001327+0.0064708i,-0.0098157+0.0078737i,0.011749+0.0030443i,0.0047929+0.0098383i,-0.0012022+0.0047264i,0.0046591+0.004409i,0.0051055+0.00053657i,0.0093252+0.0083682i,0.0092172+0.0039986i,-0.0069159-0.0024206i,0.0038649-0.0057249i,0.0089487-0.00046202i,-0.0018808+0.006765i,0.0021039+0.002195i,0.0098319-0.056133i,0.011803-0.0038831i,0.0058858-0.0061108i,0.0024733-0.0049905i,0.00068371-0.0041021i,0.012708-0.016731i,-2.7203e-05-0.0011697i,-8.4229e-05-0.0014476i,-0.00043462+0.00021773i,0.011525-0.005512i,0.010805-0.001417i,0.0029709-0.003201i,0.013588+0.00055249i,0.0038349+0.0048282i,0.0092828+0.0012247i,-0.020802-0.00406i,-0.015337-0.020708i,-0.0062552-0.014181i,-0.0053759-0.00351i,-0.024705+0.026201i,-0.0038706+0.00016497i,-0.0077536-0.00050573i
0.012362+0.0089132i,0.0014702+0.012088i,0.0081899+0.011148i,0.010791+0.019057i,0.012911+0.022084i,0.02043+0.01418i,0.0035675+0.027966i,0.0077399+0.016796i,0.0088046-0.0028634i,-0.0016199-0.0026853i,0.0043059-0.0015443i,-0.0015613-0.0041997i,-0.0017325-0.0025443i,-0.0015241-0.0027779i,-0.0015786-0.00085204i,-0.0017102-0.0017025i,-0.0051535+0.0025406i,0.0018054+0.001554i,0.0013754-0.0019753i,0.0019388-0.0015803i,0.00021639+0.0019956i,0.0016682-0.00063167i,0.0011883-0.0018595i,-0.0059043+0.0022175i,0.00016911-0.00015729i,0.0012798+0.0018705i,-0.00013914+0.0026396i,0.00023063+0.0007216i,0.00058145-0.00036288i,-8.1931e-05-0.00023066i,0.0011664+0.0028946i,-0.0011453-0.00080895i,-0.003314-0.00070905i,-0.0022031+0.00063631i,-0.00072855+0.0025138i,0.0023087-0.0045266i,0.0018336+0.0013174i,-0.00010177-0.00092497i,-0.0035693-0.0051311i,0.0035197-0.00018343i,0.00099639+0.00080222i,0.00049196+0.0011095i,-0.0026002+0.0007482i,0.0036176-0.0015222i,0.01344-0.0042186i,-0.016278-0.052615i,-0.0012652+0.014287i,-0.014805-0.032938i,-0.041168-0.0073715i,0.001209+0.0051948i,0.0062093+0.033392i,0.002974+0.0052483i,-0.0044504-0.0046736i,-0.0081947-0.013652i,-0.036664+0.018548i,-0.0063489+0.0056886i,0.0012947+0.030689i,0.0064731+0.0030216i,-0.0037262+0.0021603i,-0.018763+0.0058936i,-0.00080171+0.0083091i,-0.0057829+0.008753i,0.0089496-0.002535i,0.0082386+0.008279i,5.317e-05+0.007087i,0.0039601+0.0045699i,0.0050748-0.0027617i,0.0077017+0.0027416i,0.0060095+0.001057i,-0.0043267+0.0019279i,0.0020575-0.0055438i,0.0084926-0.0027222i,0.0060013+0.0067132i,0.003783+0.00048309i,-0.01656-0.015393i,0.0085378-0.0074956i,0.0030529-0.0085991i,0.0013986-0.0037953i,-1.8181e-05-0.0044258i,0.005114-0.018123i,0.003227+0.00033595i,-0.003978+0.0008996i,0.0024611+0.0020783i,0.0095407-0.0052099i,0.0088938-0.0063081i,0.0011921-0.003801i,0.011011-0.0069241i,0.0045539+0.00098769i,0.0085808-0.0027347i,-0.016821+0.0029743i,-0.026561-0.018292i,-0.010711-0.018115i,-0.0060123-0.0061064i,-0.014175+0.027224i,-0.0090923-0.00018222i,-0.010863+0.00026857i
0.013798+0.0048918i,0.0027003+0.010326i,0.0065085+0.007667i,0.013643+0.016349i,0.015949+0.018008i,0.021894+0.0098502i,0.0090571+0.025885i,0.0098863+0.013705i,0.0077829-0.0037173i,-0.0018515-0.0019325i,0.0030909-0.0028443i,-0.0021909-0.0023004i,-0.0027073-0.0019837i,-0.0016767-0.0017565i,-0.0020084+9.5814e-05i,-0.0011+0.00063276i,-0.0033051+0.0047325i,0.001995+0.00068808i,0.00099738-0.0019019i,0.00059332-0.0025116i,0.0006522+0.0014759i,0.0013733-0.0013663i,0.00027792-0.002245i,-0.0041355+0.0030971i,0.00024715-0.00061511i,0.0016259+8.4376e-06i,0.00092277+0.0014585i,0.00050004+0.00030459i,-0.00042104+0.0012604i,0.00032888-0.00022748i,0.0016945+0.0023196i,-0.0014414-0.00029337i,-0.0031666+0.0012125i,-0.0018798+0.0015501i,6.4035e-05+0.0026249i,0.0013405-0.0062835i,0.002527-0.00020711i,-0.00032513-0.00038917i,0.00036363-0.001839i,0.0032784-0.0010435i,0.00102+0.00018112i,0.00076685+0.00051789i,-0.0018759+0.0020042i,0.0010689-0.00071674i,0.011966-0.0063618i,-0.021171-0.036265i,0.003512+0.0089041i,-0.022843-0.026827i,-0.041525+0.0050518i,0.0036871+0.00038128i,0.014445+0.027404i,0.0058869-0.0021395i,-0.0037374-0.0067444i,-0.0068779-0.01271i,-0.029636+0.028087i,-0.004702+0.0064087i,0.012893+0.024722i,0.0063401+0.00068041i,-0.0047325+0.0057671i,-0.016525+0.013716i,0.0020067+0.0091834i,-0.0018649+0.0113i,0.0041922-0.0033782i,0.010615+0.0054395i,0.0031432+0.0078734i,0.0051546+0.0050553i,0.0039808-0.0047317i,0.0043923+0.0021698i,0.0032976+0.001938i,-0.0031029+0.0030266i,0.00070995-0.0045264i,0.0071023-0.0052567i,0.0093082+0.0012781i,0.0039914-0.0017314i,-0.01607-0.014525i,0.0049892-0.0092996i,-0.0012639-0.0081554i,0.0029975-0.0038152i,-0.0013425-0.0034012i,-0.00055588-0.01573i,0.0046755-0.0021418i,-0.0015782+0.0026196i,0.0052365+0.00047562i,0.0082749-0.0079002i,0.005278-0.011501i,0.00085803-0.0034861i,0.0043875-0.010915i,0.0022849-0.00059714i,0.004375-0.0062015i,-0.011162+0.0037963i,-0.036734-0.0074534i,-0.016237-0.0177i,-0.007952-0.0077274i,-0.0079763+0.026091i,-0.012766+0.0036104i,-0.010429+0.0037337i
0.013901+0.0012609i,0.003573+0.0093866i,0.0049501+0.0065908i,0.015843+0.013077i,0.017585+0.013675i,0.022881+0.0058202i,0.014098+0.022128i,0.011303+0.010658i,0.0072326-0.0047346i,-0.0022014-0.0016291i,0.0012131-0.0034965i,-0.0023187-0.00071463i,-0.0034919-0.001021i,-0.0016769-0.0014419i,-0.0021634+0.00069699i,0.00011899+0.0018484i,-0.00053316+0.0059479i,0.0018942-2.0299e-05i,0.00034934-0.0021895i,-0.00058259-0.0023394i,0.0014185+0.0011943i,0.00098112-0.0018314i,-0.00056468-0.0020183i,-0.0033822+0.0026361i,-4.6873e-05-0.00051377i,0.00086847-0.0012857i,0.00092728+9.264e-05i,0.00069953-0.00024396i,0.00073511+0.00072324i,0.00034-0.0007421i,0.0022993+0.0015926i,-0.0014509+0.00018731i,-0.001995+0.00268i,-0.0009833+0.0021505i,0.00077674+0.0025333i,-0.00068012-0.0068837i,0.00081437-0.0020388i,-0.00016472-0.00022958i,-0.0001333-0.0020041i,0.0023546-0.0015787i,0.0008974+2.2756e-05i,0.00074242+0.00023946i,-0.00089175+0.0005728i,0.0008225+0.0011486i,0.010527-0.0077451i,-0.019565-0.02755i,0.0052438+0.0045659i,-0.027096-0.016774i,-0.035937+0.018346i,0.00086503-0.0041332i,0.017353+0.019876i,0.0062193-0.0089596i,-0.0038566-0.0076516i,-0.0077675-0.011254i,-0.018914+0.032107i,-0.0039454+0.0076239i,0.018004+0.011867i,0.0058308-0.001904i,-0.0030458+0.0091442i,-0.010185+0.019683i,0.0051354+0.0079229i,0.003965+0.010291i,0.00214-0.0016646i,0.01259+0.0007898i,0.0058138+0.007345i,0.0066919+0.0039748i,-1.6477e-05-0.0077503i,0.0040756+0.0038591i,0.0042096+0.0036899i,-0.00081541+0.0056287i,0.0007914-0.0040305i,0.0052896-0.0064862i,0.008621-0.0037166i,0.0031723-0.003958i,-0.021129-0.013294i,0.00144-0.010157i,-0.0042641-0.0067629i,0.00070438-0.0055824i,-0.0013782-0.0019296i,-0.0030299-0.012356i,0.0032149-0.0040929i,0.0005806+0.0022808i,0.0051362-0.0034413i,0.0044078-0.0094734i,-0.0025827-0.012173i,0.00018804-0.0046605i,-0.0019742-0.0086046i,0.0017487-0.0012316i,-0.00037042-0.0054305i,-0.0089622+0.0035136i,-0.032874+0.0093303i,-0.022157-0.014907i,-0.010424-0.0078725i,-0.0041084+0.025301i,-0.011426+0.0092746i,-0.0062276+0.0046088i
0.013122-0.0020802i,0.0048527+0.0087584i,0.004196+0.0064794i,0.01732+0.0093873i,0.018257+0.010009i,0.023336+0.0013388i,0.018064+0.017108i,0.011967+0.0078622i,0.0066557-0.0058544i,-0.0026043-0.0008034i,-0.00046502-0.0027028i,-0.0013456+0.00062194i,-0.00376+0.00026641i,-0.0022208-0.0015005i,-0.0019869+0.0012778i,0.0012359+0.0022318i,0.0025886+0.0058996i,0.001595-0.00027739i,-0.00014052-0.0022059i,-0.0012919-0.0016491i,0.0020065+0.00035622i,0.00045261-0.0022017i,-0.0011183-0.0015178i,-0.0032733+0.0031899i,-0.00027864-0.00050682i,-0.00034879-0.0013634i,0.00068002-0.00056877i,0.00043635-0.00096435i,0.00098722-0.00021335i,-0.00011326-0.0012211i,0.0030471+0.00061493i,-0.0011057+0.00094036i,2.2283e-06+0.0027908i,-0.00010055+0.0022475i,0.0016465+0.0017859i,-0.0033857-0.0066171i,0.00024116-0.00083534i,-0.00022053-0.00040738i,-0.00029413-0.0014603i,0.0017047-0.0015292i,0.00098052-0.00042986i,0.00095119+6.8911e-05i,-0.0010356+0.00061368i,0.001581+0.0015517i,0.0096618-0.0094863i,-0.019608-0.025464i,0.0062983+0.0014585i,-0.025177-0.0077015i,-0.024545+0.02692i,-0.0015854-0.0043173i,0.019602+0.013414i,0.002909-0.014848i,-0.0037542-0.0090015i,-0.0073833-0.0087369i,-0.010675+0.03305i,-0.0012222+0.0077897i,0.012476-9.3889e-05i,0.0035105-0.0044629i,0.00022477+0.01058i,-0.0031893+0.020933i,0.0068573+0.0053773i,0.0056369+0.0057735i,0.0024053-0.00078799i,0.012099-0.0034923i,0.0099329+0.0052143i,0.0079474+0.0027698i,-0.0046169-0.0039072i,0.0056256+0.0042694i,0.0057853+0.003586i,0.0026565+0.0052522i,-0.00010198-0.004232i,0.0035093-0.0077547i,0.005988-0.0092668i,-0.00017737-0.0046202i,-0.026971-0.0062972i,-0.0020001-0.009723i,-0.006411-0.0033827i,0.00022997-0.0030764i,-0.0014511-0.0017907i,-0.0046213-0.011877i,0.0010478-0.0042968i,0.0015625+0.00054734i,0.0025842-0.0049376i,0.0016715-0.0093202i,-0.006771-0.0077079i,-0.0024217-0.0049955i,-0.0025893-0.0058189i,0.00041816-0.0020905i,-0.0023966-0.0028262i,-0.0060525+0.0040924i,-0.024964+0.010944i,-0.022758-0.01077i,-0.01269-0.0069512i,0.00070231+0.023199i,-0.0089534+0.01141i,-0.0046651+0.003272i
0.011719-0.004592i,0.0064631+0.0080297i,0.0043855+0.0069162i,0.017924+0.0057815i,0.018377+0.0068369i,0.022738-0.0029953i,0.02067+0.011306i,0.01224+0.0054592i,0.0058401-0.0072299i,-0.0023106-8.0385e-08i,-0.00099909-0.001485i,-0.00018785+0.00053417i,-0.0036819+0.0016139i,-0.0032076-0.00058358i,-0.0015589+0.0020617i,0.0023626+0.0017653i,0.0053708+0.0037257i,0.0015706-0.00054963i,-0.00068091-0.0021457i,-0.0014628-0.00069923i,0.0020217-0.00054609i,-0.00021827-0.0020113i,-0.001364-0.00093716i,-0.0022553+0.0039063i,-0.00069078-0.00052924i,-0.00079766-0.00099605i,0.00011306-0.001207i,-0.00035521-0.0013414i,0.0005861-0.00095739i,-0.00077685-0.0012841i,0.0030604-0.0014459i,-0.00040453+0.00073983i,0.00070331+0.0019669i,0.00062717+0.002052i,0.0017718+0.00095983i,-0.0060133-0.0039734i,2.5614e-06-0.0011215i,-0.00057195-0.00029621i,-0.00082586-0.0016004i,0.0014122-0.0015397i,0.00083-0.00078072i,0.0010787-0.00023905i,-0.0011754+0.00057855i,0.0021779+0.0015744i,0.0081173-0.011734i,-0.023523-0.023425i,0.0058419-0.0022169i,-0.022975-0.0015808i,-0.013859+0.029864i,-0.004052-0.0039933i,0.021331+0.0063605i,-0.00051715-0.017072i,-0.0044151-0.010383i,-0.0052936-0.0061441i,-0.0017384+0.033767i,0.0010434+0.0067566i,0.006884-0.0014057i,0.00058807-0.0053922i,0.0047942+0.010989i,0.0034763+0.019146i,0.0069332+0.0024234i,0.0059123+0.0013313i,0.0018022-0.00035904i,0.0093607-0.0082023i,0.012349+0.00083937i,0.0089413+0.0011134i,-0.0049466-0.00066885i,0.007529+0.0038522i,0.0076535+0.0028605i,0.0057006+0.0030941i,-0.0011561-0.0038737i,0.0017303-0.0088587i,0.00056135-0.01101i,-0.0016313-0.0025437i,-0.028948+0.0034303i,-0.0042423-0.0082938i,-0.0053214+0.00045031i,0.0010545-0.0024642i,-0.0020965-0.0011119i,-0.0083993-0.011367i,-0.0015315-0.0047021i,0.0018867-0.00057881i,0.00037271-0.0051345i,0.00026258-0.0089712i,-0.0084882-0.0044119i,-0.0046971-0.0028205i,-0.0055351-0.0042652i,-2.7323e-05-0.0024199i,-0.0022249-0.00088633i,-0.0029844+0.0036582i,-0.02338+0.012147i,-0.022404-0.0083086i,-0.015649-0.0038859i,0.0023145+0.021648i,-0.0075351+0.012205i,-0.0037591+0.0021982i
0.010352-0.0064785i,0.0088367+0.0064764i,0.005834+0.006904i,0.017854+0.0023075i,0.018653+0.0040937i,0.021353-0.0069788i,0.021356+0.0046812i,0.012472+0.0032164i,0.0044315-0.0083653i,-0.0020695+0.00028508i,-0.00059452-0.0016464i,-8.8529e-05-0.00026771i,-0.0029299+0.002922i,-0.0031114+0.00068256i,-0.00070044+0.0026389i,0.0025975+0.0006291i,0.0057869+0.00079946i,0.001257-0.0010194i,-0.0012931-0.0017079i,-0.0010472-6.5393e-05i,0.0019093-0.001478i,-0.00047398-0.001655i,-0.0012611-0.0004417i,-0.00079623+0.0040779i,-0.0011502-0.00031794i,-0.0015056-0.00054989i,-0.00094978-0.0015411i,-0.001195-0.0010952i,-0.00011647-0.0014357i,-0.0014515-0.00096846i,0.0012968-0.0018484i,-0.00051316+0.00090532i,0.00084371+0.0015648i,0.001239+0.0016003i,0.0017767+0.00040772i,-0.0078232-0.00025963i,-0.00073571-0.00094784i,-0.0006487-4.8445e-05i,-0.0016111-0.0012766i,0.0010827-0.0015626i,0.00059153-0.00095074i,0.0010684-0.00046889i,-0.0012949+0.00074605i,0.0027747+0.0012593i,0.005416-0.013007i,-0.027635-0.01835i,0.0044888-0.0051574i,-0.017153+0.0038615i,-0.003035+0.031083i,-0.0052516-0.00090871i,0.02147-0.0011527i,-0.0017326-0.019875i,-0.0049975-0.011068i,-0.0022107-0.0037949i,0.0074166+0.031362i,0.0022229+0.0043979i,0.0038815-0.0019504i,-0.0029263-0.0049318i,0.0098564+0.0081465i,0.0071625+0.015575i,0.0051474+0.0011938i,0.0045368-0.0031775i,0.0027876+0.002i,0.0042115-0.010513i,0.012244-0.0052737i,0.0091514-0.0011574i,-0.0049332+0.0023116i,0.010288+0.0020839i,0.010057+7.2073e-05i,0.0065712-0.00068694i,-0.0018362-0.0031922i,-0.0011994-0.0089967i,-0.006518-0.0075932i,-0.00097864-0.00068271i,-0.026792+0.014031i,-0.0062966-0.0071101i,-0.0039179+0.0020568i,0.0012818-0.0055671i,-0.0019311+0.00046181i,-0.012456-0.0080523i,-0.0042837-0.0031013i,0.0011493-0.0019649i,-0.0017722-0.0042807i,-0.0021179-0.0086006i,-0.0088887+0.00045787i,-0.0047569+0.00020379i,-0.0071167-0.0012164i,-0.0015894-0.0040084i,-0.0014809-0.00070124i,-0.00058792+0.0031341i,-0.022859+0.018156i,-0.022657-0.0088274i,-0.011319+0.0013867i,0.0056636+0.020686i,-0.0063371+0.01432i,-0.0026496-0.0001657i
0.0090573-0.0081154i,0.01069+0.0039159i,0.0074795+0.0055759i,0.016993-0.00094548i,0.018726+0.0012486i,0.019417-0.010343i,0.019847-0.0011581i,0.012439+0.0010611i,0.0030676-0.0091552i,-0.0021066+0.00077979i,-0.000987-0.00096957i,-0.00074486-0.00036773i,-0.0018107+0.0036873i,-0.0026438+0.0017149i,0.00025711+0.002712i,0.0018685-0.00010488i,0.0048853-0.0013304i,0.00087644-0.0011208i,-0.0010856-0.0012282i,-0.00050775+0.0001406i,0.0015581-0.0023105i,-0.00048072-0.0015903i,-0.00095222-0.00021339i,0.00040081+0.0040039i,-0.0014279+7.2849e-05i,-0.0020276+0.00030364i,-0.0020923-0.00091404i,-0.001669-0.00053433i,-0.0011174-0.0014737i,-0.0020089-0.00034229i,0.00061104-0.0015433i,-0.00029372+0.0012663i,0.0013048+0.0012524i,0.0017715+0.0010651i,0.0014997-0.00017778i,-0.0081924+0.0034125i,-0.0009801-0.00071i,-0.00078583+1.7696e-05i,-0.0020605-0.00059925i,0.0007137-0.0013765i,0.0003782-0.0010639i,0.0011506-0.00073141i,-0.0013379+0.001044i,0.0032268+0.00072373i,0.0030566-0.013117i,-0.026689-0.010119i,0.0013963-0.0067854i,-0.011035+0.0041538i,0.0073073+0.027948i,-0.0038794+0.0028973i,0.018507-0.0081122i,-0.0052101-0.024039i,-0.0064466-0.0091671i,0.0018212-0.0031503i,0.014257+0.024953i,0.0023137+0.0025611i,0.00079275-0.0013126i,-0.0051156-0.0026383i,0.012103+0.0021595i,0.010046+0.014175i,0.0028862+0.0020539i,0.0012761-0.0062302i,0.0060906+0.00070421i,-0.00090808-0.0096446i,0.008143-0.0095638i,0.0086246-0.0041977i,-0.0043374+0.0044935i,0.011616-0.0028702i,0.0093336-0.0054946i,0.0053747-0.0045839i,-0.0024195-0.0026506i,-0.003963-0.0079351i,-0.0037756-0.0069011i,0.00022708-0.00091706i,-0.01853+0.024574i,-0.0084385-0.0050973i,-0.001954+0.0031205i,-0.0036229-0.0061347i,-0.00077404+0.00083939i,-0.014846-0.0033923i,-0.0044813+0.00026304i,-0.00029152-0.0025086i,-0.0036232-0.0029596i,-0.0044426-0.0066618i,-0.0066396+0.0038687i,-0.0030833+0.0018182i,-0.0074546+0.0026146i,-0.0050607-0.0036179i,-0.0016949-0.00074275i,0.0038964+0.0023563i,-0.012643+0.024119i,-0.026965-0.0078213i,-0.0093996-0.0021166i,0.0080604+0.018506i,-0.0033644+0.01624i,-0.0037305-0.0034464i
