-0.02372-0.038475i,-0.012331-0.048983i,-0.017908-0.044472i,-0.030972-0.035004i,-0.029862-0.015811i,-0.050312-0.027512i,-0.057804-0.024965i,-0.044264-0.036608i,-0.029976-0.036492i,0.0074369+0.012703i,-0.0049365+0.015444i,-0.0048888+0.014075i,0.0097359+0.021725i,0.00035519+0.0042582i,0.0033568+0.0032984i,0.006826+0.017907i,0.025977+0.03861i,-0.0027395-0.00080428i,-0.0041646-0.0060601i,0.0078529+0.0016809i,-0.00024347-0.00080872i,-0.0009379+0.0014871i,0.00017496-0.00019619i,-0.030983-0.0026689i,-0.0013352-0.0057332i,0.0017731+0.004584i,0.0038079-0.00051321i,-0.0005587+0.00081132i,0.0005942-0.00060953i,-0.00063992-0.002504i,-0.0017805-0.0062557i,-0.0044675-0.0041331i,-0.0018001-0.0048795i,0.0022315-0.00062132i,0.0022351-0.0029725i,0.0023241+0.025767i,0.0018085-0.0028582i,0.0027913+0.00065751i,0.0060109+0.0011834i,-0.010569-0.0041328i,-0.0030565+0.00065976i,0.0064703+0.0016119i,0.0052778-0.00011985i,-0.0033542+0.0054306i,0.0011762-0.0082893i,-0.011068+0.017129i,0.035345-0.090964i,0.011935-0.07015i,-0.015838-0.060288i,-0.016578-0.055246i,0.039584-0.045874i,0.017-0.062555i,0.034268-0.055764i,0.029088-0.060473i,0.015677-0.013757i,0.0050118+0.016676i,0.016549-0.026521i,-0.011457+0.0053706i,-0.00024347+0.0055486i,-0.0047454-0.0015285i,-0.0026472-0.028857i,-0.02377+0.032275i,0.010474-0.011103i,-0.013039-0.0026606i,-0.00019786-0.0050804i,-0.0012451-0.016154i,-0.0075111+0.0046542i,0.0052001+0.0066069i,-0.0085076+0.031105i,0.0050836+0.0059766i,-0.0052085-0.00062369i,-0.0033503-0.0004404i,-0.012864-0.0079562i,-0.00060059-0.0043877i,-0.02987+0.0067424i,-0.00016872-0.0097396i,-0.0096287-0.0018543i,-0.0064881-0.0026836i,0.0072863+0.0027685i,-0.0076683+0.0014283i,-0.00023211+0.00049489i,0.005834+0.010703i,0.0040978+0.0011989i,-0.0090725-0.010119i,0.0033052+0.008189i,-0.021603+0.006412i,0.0079568+0.00068088i,-0.029074-0.0038986i,-0.041868+0.0023737i,0.018681-0.096035i,-0.0017751-0.012128i,-0.053226-0.021705i,-0.023054+0.00035721i,0.017603+0.011145i,-0.024569+0.013733i,-0.018126-0.012482i
-0.031291+0.018813i,-0.051055+0.020184i,-0.031226+0.04588i,-0.03071+0.024568i,-0.027369+0.039256i,0.0058485+0.045876i,-0.0018328+0.023429i,-0.014648+0.038757i,-0.012892+0.022469i,-0.0032603-0.0049478i,-0.0042457-0.0029656i,-0.0018229-0.0033861i,-0.0036782-0.00058663i,-0.0066309-0.0041566i,-0.0017706+0.0042122i,-0.0024031-0.0012273i,-0.011396-0.0037604i,-0.0017615-0.0006973i,0.0029268-0.0013993i,0.0021073-0.00059823i,0.0025983-0.0035437i,0.0023843-0.0039099i,0.001425-0.0024452i,-0.0094949-0.0078153i,-0.0019216+0.00053897i,-0.0040684+0.0012076i,-0.001808-0.00011978i,-0.0032483-0.0009964i,-0.0011763-0.0015725i,0.0011727-0.0017787i,-0.0016609+0.0062396i,0.001471+8.0335e-05i,0.002821+0.00017954i,0.00129+0.001427i,-0.0014731+0.0034358i,-0.0007903-0.0059896i,-0.0014567+0.0010155i,0.00029418-3.3534e-05i,-0.00010531+0.0039128i,0.0072274+0.0054939i,0.0014244-0.0027719i,0.0014455-0.0037711i,-0.00399+0.0014063i,0.00081516+0.0024424i,-0.031317-0.0063284i,0.0098909-0.078238i,-0.093467-0.028673i,-0.051847-0.035327i,-0.075908-0.049739i,-0.058208-0.005615i,-0.092932+0.019455i,-0.058703+0.011864i,-0.049657-0.022592i,-0.032546-0.056963i,-0.025331-0.029644i,0.0028131+0.0049502i,-0.018216+0.010457i,0.0092334+0.0033706i,0.011128+0.0042079i,0.0012283-0.0062014i,0.0082132+0.0012877i,-0.0083176-0.0033213i,0.0029894+0.014633i,-0.0013328+0.0092466i,0.00072436+0.0014057i,0.0058403+0.0030094i,0.0020189-0.00092998i,-0.00036274+0.014603i,0.00062026+0.011413i,0.0034072-0.0052863i,0.010227-0.0069789i,0.0024395+0.0023812i,-0.0079161-0.0073926i,-0.002403-0.0029517i,0.018555-0.02635i,0.0061891+0.0038808i,0.0032346+0.0043082i,-0.0034715+0.0024022i,0.002332-0.0037458i,0.021783+0.0023578i,0.0020112-0.0027078i,-0.001043-0.0097092i,0.00048271-0.002565i,0.013029+0.0034707i,0.004553+0.0005609i,0.0046861-0.0065152i,0.0032108+0.0088657i,0.0040897-0.00063067i,0.024324+0.0046011i,-0.079805-0.03559i,-0.0053754+0.01862i,0.0070504-0.0032292i,-0.0026387+0.0042445i,-0.036001+0.01244i,-0.0069641+0.0065798i,-0.017027+0.01414i
-0.026744+0.022719i,-0.047199+0.025106i,-0.020153+0.044104i,-0.026655+0.028565i,-0.020862+0.04054i,0.014375+0.043002i,0.0011618+0.022667i,-0.0071765+0.039362i,-0.0079998+0.019611i,-0.0046512-0.0028771i,-0.0044051-0.00056815i,-0.0027422-0.0035586i,-0.0043078-0.00010464i,-0.0068317-0.0013966i,-0.00053899+0.0050479i,-0.0045935+0.00048993i,-0.013386+0.0015306i,-0.0015145+0.0001559i,0.0031963-0.0020675i,0.0021363-0.0015071i,0.0014008-0.0039899i,0.0016125-0.0038791i,0.00098474-0.0025564i,-0.01058-0.0045767i,-0.0011961+0.00091043i,-0.0037101+0.002475i,-0.0013182+0.00042876i,-0.0032496+5.0545e-05i,-0.0017768-0.0013647i,0.0006286-0.0017502i,0.0010485+0.0066161i,0.0011453-0.00023144i,0.0024151-0.001001i,0.00097309+0.001192i,-0.0011617+0.0028886i,-0.0009537-0.0054199i,-0.00084005+0.00092417i,-0.00049326-0.00027857i,0.00039176+0.0044009i,0.0075844+0.0013678i,0.00056295-0.0029948i,-0.00047274-0.0041506i,-0.0037311+0.0023772i,0.00145+0.0024313i,-0.031965-0.0059216i,-0.014071-0.088747i,-0.089774-0.010273i,-0.060812-0.033466i,-0.087916-0.037997i,-0.05732+0.0044572i,-0.082685+0.036753i,-0.054324+0.024142i,-0.040342-0.020984i,-0.039803-0.052203i,-0.033341-0.018674i,0.0039676+0.0019366i,-0.012122+0.019191i,0.0090069-0.00062382i,0.011865-0.0019901i,-0.0040789-0.010345i,0.0042453+0.00068746i,-0.0080732+0.0028696i,0.0086492+0.01194i,0.0010994+0.011249i,0.00091756+0.0011209i,0.0072439+0.0031952i,0.0023432-0.0001287i,0.0055971+0.010909i,0.00561+0.0066174i,-0.0019447-0.0070441i,0.0033494-0.0077765i,0.0032835+0.0028341i,-0.011002-0.00050225i,-0.0028906-0.00026743i,0.0068365-0.027527i,0.0071457+0.0027943i,0.0070015+0.0026025i,-0.00074181+0.0025203i,-0.00055515-0.0013934i,0.01862-0.007366i,0.00011497-0.0034915i,-0.0056414-0.0075957i,-0.0027861-0.0017169i,0.011184-0.0016854i,0.0042921+0.0008036i,0.0020722-0.0045294i,0.0057269+0.0070051i,0.0028399-0.00096308i,0.02376-0.003223i,-0.084292-0.026078i,0.0026013+0.0081355i,0.0058312-0.0059984i,-0.00063013+0.0024428i,-0.029358+0.02255i,-0.0052743+0.0076824i,-0.012957+0.016671i
-0.021274+0.025124i,-0.04406+0.030165i,-0.013495+0.040052i,-0.022037+0.030971i,-0.013492+0.042322i,0.021854+0.038032i,0.0044167+0.022036i,0.00026929+0.038335i,-0.0069671+0.017379i,-0.0051192-0.00061362i,-0.0032685+0.00128i,-0.0059286-0.003013i,-0.0045315+0.0017132i,-0.0068833+0.00056502i,0.0012812+0.0055434i,-0.0054441+0.0035975i,-0.012068+0.0078223i,-0.0002749+0.00096173i,0.0031945-0.0037854i,0.0018589-0.0027632i,2.8241e-05-0.0043107i,0.00073807-0.0046183i,0.00054931-0.0027462i,-0.01122-0.0017822i,-0.0010275+0.0010032i,-0.0023854+0.004091i,-0.0010332+0.00029052i,-0.0026299+0.0015128i,-0.002175-0.00083268i,-0.00037031-0.0026517i,0.0036786+0.0053722i,0.00085401-0.00038964i,0.0017308-0.0015154i,0.0014309+0.00068907i,-0.00019058+0.0038738i,-0.001128-0.0055913i,-0.0011008+0.0005754i,-0.00095754-0.00010296i,0.0038347+0.0028326i,0.0061887-0.0012517i,-0.0001796-0.0027658i,-0.0009629-0.0026666i,-0.0037117+0.0031961i,0.001905+0.0012435i,-0.034732-0.0034278i,-0.043178-0.087652i,-0.079866+0.002958i,-0.070507-0.026062i,-0.095172-0.022466i,-0.052934+0.012955i,-0.067624+0.048319i,-0.039554+0.033978i,-0.041374-0.024775i,-0.046246-0.048315i,-0.034707-0.006346i,0.0041067-0.0013448i,-0.0023615+0.021485i,0.0079012-0.0033433i,0.0077495-0.0073627i,-0.013847-0.0090964i,0.0033739-0.00041558i,-0.0040256+0.0062445i,0.011472+0.0063114i,0.0045119+0.012075i,-1.0892e-05+0.0016872i,0.0076973-0.00096531i,0.0039518-0.001582i,0.0071452+0.0059449i,0.0052446+0.0018412i,-0.0071815-0.0033633i,0.00086926-0.0060544i,0.0054077+0.0017866i,-0.0072912+0.0089855i,-0.0010524+0.0013498i,-0.0026468-0.024806i,0.0089377-0.00038426i,0.0068502-0.00080741i,-2.4736e-05+0.0021686i,0.00085829+0.00057254i,0.012113-0.012156i,-0.0025712-0.00046947i,-0.0083287-0.0038848i,-0.0038334+0.0018017i,0.007026-0.0044907i,0.0071899-0.0011339i,0.0031985-0.0043445i,0.0091931+0.003814i,0.0043218-0.0017401i,0.020451-0.010165i,-0.087794-0.012773i,0.00026551-0.0020498i,0.0057723-0.0084581i,0.00099964-0.00056479i,-0.019755+0.026807i,-0.0046084+0.0031368i,-0.0071535+0.013479i
-0.0156+0.025317i,-0.039687+0.036209i,-0.01+0.036605i,-0.01701+0.033797i,-0.0051678+0.041338i,0.027887+0.03167i,0.0082605+0.020923i,0.0067536+0.035391i,-0.0064655+0.017411i,-0.0046885+0.0015769i,-0.0024588+0.0014955i,-0.0077972+0.00085758i,-0.0040743+0.003252i,-0.0068442+0.0029848i,0.0029809+0.0049259i,-0.0042506+0.0071599i,-0.0072375+0.012746i,0.00071978+0.00031423i,0.0014007-0.0047477i,0.00029261-0.0040088i,-0.0014773-0.0041006i,-0.00051798-0.0046604i,6.5379e-06-0.0032507i,-0.011152+0.0015959i,-0.00053655+0.00075942i,8.5299e-05+0.0036085i,-0.0010791+0.00023306i,-0.0014069+0.0018777i,-0.0024471+0.00011821i,-0.002026-0.0020019i,0.0051348+0.0033374i,0.00045289-0.00037107i,0.00089621-0.0019635i,0.001468+8.1465e-05i,0.0018534+0.0034402i,-0.0019093-0.0070888i,-0.00087709+0.0011577i,-0.0012695+0.00044397i,0.0032732-0.00070611i,0.0048067-0.0023779i,-0.00072531-0.0026402i,-0.00090312-0.002336i,-0.0028088+0.0045858i,-0.00037919-0.00081366i,-0.037019+0.0008839i,-0.067861-0.070949i,-0.069827+0.0086659i,-0.077922-0.014597i,-0.098536-0.0057689i,-0.046886+0.018695i,-0.053724+0.05385i,-0.025094+0.032954i,-0.045786-0.021407i,-0.053285-0.040912i,-0.032546+0.0021479i,0.0020657-0.0038022i,0.0057478+0.019568i,0.0064531-0.0056803i,0.0022652-0.0086398i,-0.019931-0.00021611i,-0.00020633+0.00026601i,-5.4733e-05+0.0056362i,0.010571+0.00081906i,0.0095614+0.011501i,0.00056997+0.003106i,0.0044672-0.0023851i,0.0034915-0.0048465i,0.0059026+0.0017629i,0.0024907+0.00018426i,-0.0071924+0.00030413i,-0.0013909-0.0048327i,0.00587-0.00025607i,0.0027131+0.010553i,0.00017991+0.00096491i,-0.0080603-0.019653i,0.0078944-0.0034632i,0.0060186-0.0030025i,0.0015034+0.0029151i,0.0014221+0.00011399i,0.0065593-0.012891i,-0.00023861+0.0017271i,-0.0096084+0.00054985i,-0.0014066+0.0043276i,0.0042536-0.0040997i,0.0063681-0.0052019i,0.00085379-0.0053618i,0.0093784-0.001621i,0.0030157-0.0048266i,0.016-0.016368i,-0.08511+0.0018258i,-0.0070403-0.0060171i,0.0034677-0.013192i,0.00061279-0.0047292i,-0.012821+0.026624i,-0.0089412+0.0024303i,-0.0074764+0.011526i
-0.011717+0.024777i,-0.03445+0.041256i,-0.0087005+0.035038i,-0.010795+0.035509i,0.0017396+0.038436i,0.031794+0.024636i,0.01228+0.018715i,0.012097+0.031915i,-0.0045588+0.018646i,-0.0034087+0.0031576i,-0.0025264+0.0021613i,-0.0069184+0.0045095i,-0.0032914+0.0046383i,-0.0051824+0.0056444i,0.0044741+0.0038137i,-0.0012867+0.0094243i,-0.0012383+0.014515i,0.00091739-0.00035792i,0.00023364-0.0046002i,-0.0017045-0.0038252i,-0.0028773-0.0033291i,-0.0019019-0.0041764i,-0.0013037-0.0033885i,-0.0091128+0.0041288i,-0.0010181+0.00035959i,0.0004275+0.0019729i,-0.0011049+0.00032242i,-0.00070406+0.0017559i,-0.0020451+0.0011693i,-0.0020472-0.00046168i,0.0054879+0.0011129i,0.00030178-0.00047198i,-3.4384e-05-0.001861i,0.0011512-0.00043122i,0.00252+0.002043i,-0.0044607-0.0076009i,-0.00053554+0.0016493i,-0.0010809+0.0013748i,0.00099575-0.0013343i,0.0033991-0.0025864i,-0.0012658-0.0024032i,-0.0011775-0.0021241i,-0.00098893+0.0052559i,-0.0028141+0.0015545i,-0.03771+0.0076025i,-0.077502-0.047117i,-0.064045+0.0098773i,-0.082407-0.0008873i,-0.098999+0.012437i,-0.042281+0.021306i,-0.040435+0.056814i,-0.015998+0.029189i,-0.047844-0.016952i,-0.057181-0.033228i,-0.029743+0.010333i,-0.00019683-0.004911i,0.014571+0.01439i,0.0045458-0.0071098i,-0.0027737-0.0071096i,-0.019835+0.0088146i,-0.00099392+0.0028728i,0.0026578+0.0052648i,0.0063854-0.0011307i,0.014365+0.0078207i,0.0020028+0.0034079i,0.0025012-0.0013145i,0.0013452-0.0067963i,0.0029074+0.0014516i,0.00029177+0.0014949i,-0.0068302+0.0047676i,-0.0029277-0.0022994i,0.0052045-0.002446i,0.007717+0.0058205i,0.00065696+0.0004722i,-0.010691-0.017283i,0.0058867-0.0059315i,0.0042607-0.0048989i,0.0043784+0.0022468i,0.001855-5.1894e-05i,0.0030716-0.012009i,0.001683+0.0013143i,-0.007197+0.0060962i,0.0017808+0.0040077i,0.0035613-0.0035162i,0.0031681-0.0090896i,0.00014902-0.0046472i,0.0061637-0.0054574i,-0.00019574-0.0060896i,0.0083787-0.021773i,-0.078936+0.011881i,-0.015331-0.0021893i,-0.0013205-0.015922i,-0.0020202-0.0081763i,-0.0078626+0.025761i,-0.012221+0.0056462i,-0.0067137+0.012078i
-0.0087143+0.024319i,-0.028608+0.046113i,-0.0073579+0.036483i,-0.0045861+0.035006i,0.0060973+0.03427i,0.034552+0.01789i,0.016223+0.015093i,0.016403+0.028i,-0.0017764+0.018441i,-0.0020177+0.0033802i,-0.0027315+0.0035187i,-0.0048528+0.0069309i,-0.0019074+0.006122i,-0.0027537+0.0066926i,0.0051678+0.0022283i,0.0021375+0.0099977i,0.0050794+0.013307i,0.00088267-0.00037942i,-0.0013103-0.0046924i,-0.0030574-0.0028499i,-0.0033088-0.0018293i,-0.0027361-0.0033152i,-0.0022665-0.0026716i,-0.0076206+0.0050924i,-0.0014679+0.00087872i,0.00016897+0.0017031i,-0.0013592+0.00067821i,-0.00012416+0.0014072i,-0.0012096+0.0016811i,-0.0015561+0.00025939i,0.0051809-0.00082872i,0.00013625-0.00060144i,-0.00065302-0.0014078i,0.00069927-0.00092254i,0.0026824+0.0014496i,-0.0071802-0.006595i,-0.00022216+0.0015164i,-0.00024573+0.0018333i,-4.857e-05-0.001194i,0.0024988-0.0025208i,-0.0017671-0.0017187i,-0.0018461-0.0018871i,0.00080157+0.0050372i,-0.0022164+0.0048192i,-0.036331+0.014796i,-0.075347-0.029666i,-0.061438+0.012281i,-0.082499+0.01602i,-0.09309+0.032619i,-0.040844+0.024132i,-0.029108+0.056309i,-0.0087503+0.024803i,-0.048635-0.010733i,-0.061021-0.025405i,-0.024747+0.01516i,-0.0036572-0.0045446i,0.017565+0.0022456i,0.002962-0.0090831i,-0.0060064-0.0032945i,-0.014757+0.016782i,0.00040809+0.0038105i,0.0057095+0.0029994i,0.0048325+0.00022483i,0.017556+0.00057782i,0.0030149+0.0032873i,0.0021963-0.00053597i,-0.0030265-0.008346i,0.0019225+0.0033642i,0.00064638+0.0035179i,-0.002311+0.0087743i,-0.0017719+0.00010248i,0.0036764-0.003354i,0.0088954+0.0010021i,0.0013772-0.00042831i,-0.01596-0.015822i,0.0028546-0.0068435i,0.001402-0.0057865i,0.0041776-0.0001862i,0.0018926+1.3526e-05i,0.001549-0.010349i,0.002394+0.00016437i,-0.0024534+0.0084532i,0.0028179+0.0019134i,0.0025158-0.0038101i,-0.0022499-0.0091197i,-0.00097531-0.005604i,0.0024111-0.0058144i,-0.0019139-0.0061534i,-0.0018989-0.022i,-0.074972+0.020298i,-0.013854+0.0083235i,-0.0063462-0.016692i,-0.0060562-0.0086545i,-0.0044495+0.024804i,-0.011431+0.010883i,-0.0028368+0.011874i
-0.0056812+0.024272i,-0.021426+0.050538i,-0.0035614+0.038935i,0.00030198+0.033546i,0.0083426+0.031654i,0.036202+0.010856i,0.018981+0.010652i,0.01973+0.024063i,0.00081729+0.018392i,-0.0013539+0.0036728i,-0.0014867+0.0056988i,-0.0019417+0.0085387i,3.3276e-05+0.0067799i,-0.0005389+0.0066169i,0.005175+0.00074399i,0.0054227+0.0091557i,0.0095357+0.0099413i,0.0009059-0.00039683i,-0.0026178-0.0040023i,-0.0036886-0.0012152i,-0.0030039-0.00064501i,-0.0034502-0.0025432i,-0.0027241-0.001761i,-0.0069044+0.0067174i,-0.001188+0.0016662i,0.0002159+0.0020377i,-0.0011822+0.00143i,-0.00018956+0.00098475i,-0.00053599+0.0016155i,-0.0011669+0.00052414i,0.0042058-0.0024293i,0.00017205-0.00032219i,-0.00076223-0.0011409i,0.00028765-0.0010312i,0.0030223+0.00018506i,-0.0094845-0.0047391i,0.0001735+0.0015529i,0.00050024+0.0015501i,-0.000779-0.00098222i,0.0020434-0.0025631i,-0.0019507-0.00097971i,-0.0019252-0.00099805i,0.0019545+0.0039268i,-0.00047218+0.005846i,-0.032455+0.020729i,-0.074204-0.022376i,-0.060579+0.01668i,-0.075998+0.031025i,-0.081702+0.049676i,-0.038166+0.03017i,-0.019509+0.055823i,-0.004819+0.019752i,-0.048328-0.0052148i,-0.062864-0.015996i,-0.020298+0.018714i,-0.0042866-0.0040942i,0.011328-0.0081069i,-0.00034475-0.01102i,-0.0064359+0.00019408i,-0.0072984+0.019647i,0.00098345+0.0033318i,0.0068215-0.0012934i,0.0058671-5.4783e-05i,0.015232-0.005485i,0.0050267+0.0027711i,0.0023463+0.00069749i,-0.0072641-0.0036736i,0.0034736+0.0047424i,0.0021319+0.0048082i,0.0028326+0.0086309i,-0.0011522+0.00022774i,0.0025472-0.0038706i,0.0084223-0.0047001i,-5.4702e-05-0.000842i,-0.021903-0.010112i,0.00077315-0.0063818i,-0.0010106-0.00428i,0.004652+0.0002839i,0.0018663-0.00058396i,0.00096528-0.011227i,0.0020869-0.0011841i,0.0011254+0.0066801i,0.0030326+0.0012172i,0.0022791-0.0031623i,-0.0054938-0.0056126i,-0.0041385-0.0056161i,-0.00042632-0.0050113i,-0.0041004-0.0058758i,-0.0087538-0.017897i,-0.069463+0.028929i,-0.0086758+0.0075544i,-0.0074978-0.015274i,-0.0087619-0.007315i,-0.00017459+0.023009i,-0.0099453+0.012812i,-0.0012727+0.009727i
-0.0025797+0.023818i,-0.013028+0.053675i,0.0021194+0.041168i,0.0046948+0.032341i,0.01061+0.030256i,0.036398+0.0040102i,0.020638+0.0057479i,0.022741+0.020305i,0.0035031+0.017878i,-0.00060998+0.0040602i,0.0011403+0.0066258i,0.0015158+0.0083248i,0.0020779+0.0066927i,0.00094269+0.0063511i,0.0050424-0.00049836i,0.0081376+0.0069818i,0.011779+0.0055862i,0.0012406-0.0013529i,-0.0035418-0.00302i,-0.0033123+0.00056353i,-0.0024463+0.00022268i,-0.003939-0.0010991i,-0.0028574-0.00099439i,-0.0041377+0.0084498i,-0.00060819+0.0023217i,0.001049+0.0021026i,-0.00056669+0.0019705i,-0.00055773+0.0010573i,-9.669e-05+0.0016055i,-0.00084191+0.0008343i,0.0026251-0.0034831i,0.00045451-0.00065528i,-0.001271-0.0010251i,-0.00016911-0.0010254i,0.0024207-0.0011408i,-0.010969-0.0015372i,0.0006519+0.0014885i,0.00095755+0.0012695i,-0.0017619-0.00067528i,0.0018452-0.002478i,-0.0016981-0.00046985i,-0.0017045-0.00048003i,0.0025636+0.0028417i,0.0012292+0.0066233i,-0.028378+0.024203i,-0.07901-0.015624i,-0.059199+0.022612i,-0.067686+0.042758i,-0.066288+0.060705i,-0.033928+0.035217i,-0.009862+0.053852i,-0.0025649+0.01662i,-0.047577+0.00059405i,-0.062429-0.0058352i,-0.015627+0.021632i,-0.0058025-0.0030997i,0.0031916-0.009615i,-0.0044579-0.011181i,-0.005097+0.004062i,-0.00031102+0.018712i,0.00065298+0.0026956i,0.0050986-0.0056848i,0.0051525-0.0014923i,0.011284-0.010806i,0.0066317+0.0007628i,0.0035267+0.00081875i,-0.0076767-0.00021309i,0.0055081+0.0050928i,0.0047214+0.005343i,0.0071708+0.006311i,-0.00074266+0.0010448i,0.002021-0.0040733i,0.005075-0.008415i,-0.00043405+0.00095536i,-0.024715-0.0016904i,-0.00055011-0.0060526i,-0.0018419-0.0023583i,0.005356-0.00061641i,0.0017206-0.00086669i,-0.0016319-0.013005i,0.00090591-0.0016831i,0.0036324+0.0058823i,0.0033586+0.00016406i,0.0031053-0.0035933i,-0.0072939-0.0027734i,-0.0071763-0.002438i,-0.0031886-0.0036751i,-0.005779-0.0049753i,-0.012592-0.012837i,-0.063449+0.035655i,-0.0081326+0.0060729i,-0.0082483-0.017414i,-0.010546-0.005469i,0.00097361+0.021895i,-0.0094429+0.014344i,-0.00020304+0.0083367i
0.00072457+0.023373i,-0.003278+0.055089i,0.0098632+0.041613i,0.0087114+0.030907i,0.014064+0.030012i,0.035696-0.0023177i,0.021028+0.00039595i,0.025743+0.016043i,0.0064926+0.01676i,0.00010531+0.0042222i,0.0035381+0.0052582i,0.0037015+0.0062449i,0.0039601+0.0061491i,0.0026617+0.0058581i,0.0046428-0.0016927i,0.0094212+0.003827i,0.012141+0.0011052i,0.00019943-0.0022043i,-0.0044725-0.0015218i,-0.002097+0.0015187i,-0.0014865+0.00048617i,-0.0035847+5.5493e-05i,-0.002923-0.00015401i,-0.00099734+0.0087544i,0.00031891+0.0025192i,0.0017085+0.001471i,0.00035613+0.0020947i,-0.00034179+0.0015481i,0.00053593+0.0012887i,-0.00037552+0.00086169i,0.00097624-0.0037458i,-1.9216e-05-0.0010859i,-0.0016662-0.00030084i,-0.00065625-0.00092439i,0.0014394-0.002031i,-0.010874+0.0023401i,0.00093808+0.0013112i,0.0014022+0.00079052i,-0.0020328+0.0002862i,0.0013791-0.002895i,-0.001624-0.00022577i,-0.0015254-0.00032523i,0.0024189+0.001965i,0.0033983+0.0066041i,-0.024558+0.028161i,-0.086621-0.0023328i,-0.054844+0.02825i,-0.056456+0.051196i,-0.051378+0.068183i,-0.028811+0.041464i,-0.00054324+0.049915i,0.0022625+0.013495i,-0.045084+0.0068926i,-0.059787+0.0041909i,-0.010944+0.024467i,-0.0073929-0.0019142i,-0.0022464-0.0091531i,-0.0087671-0.009771i,-0.0012417+0.005467i,0.0038889+0.015419i,-0.00039483+0.0027265i,0.0024187-0.0083581i,0.0053631-0.00093346i,0.0045885-0.013486i,0.0068256-0.0027765i,0.004626-0.00012922i,-0.007659+0.0037943i,0.0083416+0.0039944i,0.0080711+0.0030078i,0.0092899+0.0019233i,0.00058244+0.0016916i,0.0012342-0.0043348i,-0.0012289-0.0089951i,0.00092712+0.0022807i,-0.024318+0.0076451i,-0.0019831-0.0056747i,-0.0012412-0.00049968i,0.005747-0.0040589i,0.0019177-0.00086762i,-0.0071192-0.013209i,-0.00011341-0.0012833i,0.0058846+0.0034267i,0.0033655-0.00053398i,0.0024129-0.0046301i,-0.0071164+0.0015695i,-0.0069872+0.0021187i,-0.0047993-0.0016866i,-0.0078262-0.0040828i,-0.014306-0.0076687i,-0.057989+0.04183i,-0.0085127+0.008771i,-0.012385-0.021456i,-0.0093593-0.0032774i,0.0038868+0.021889i,-0.0088582+0.01771i,0.0014145+0.0059131i
0.0042654+0.022095i,0.0061911+0.054041i,0.017661+0.039058i,0.012879+0.029035i,0.018763+0.028882i,0.03433-0.0082196i,0.019849-0.0047488i,0.027734+0.010963i,0.0091063+0.015098i,0.00091921+0.0044905i,0.0044078+0.0036964i,0.0042786+0.0044054i,0.0055925+0.0046718i,0.0040099+0.0047047i,0.0038177-0.0026718i,0.0091593+0.00091989i,0.010821-0.0022453i,-0.00079383-0.0018863i,-0.0042511+0.00014295i,-0.00084263+0.0016408i,-0.00078458+0.00016952i,-0.0030693+0.00068692i,-0.0024492+0.00062226i,0.0015791+0.0083712i,0.0013882+0.0020261i,0.0020588+0.00096521i,0.0011192+0.0017417i,0.00039867+0.0017164i,0.00080041+0.00069589i,-0.00024721+0.00084107i,-0.00059004-0.0032317i,-0.00070482-0.00098204i,-0.0015585+0.00042947i,-0.0010776-0.00052335i,0.00033174-0.0022481i,-0.0093436+0.0055105i,0.0012002+0.00086642i,0.0015064+6.5811e-05i,-0.0017323+0.0014361i,0.00078232-0.0033977i,-0.0015628+0.0001373i,-0.0015428-0.00057574i,0.0023343+0.0015385i,0.0055571+0.0056586i,-0.019884+0.031434i,-0.087883+0.017863i,-0.052042+0.032264i,-0.046067+0.055866i,-0.034462+0.07302i,-0.02053+0.047731i,0.0060703+0.043752i,0.005009+0.0061708i,-0.039731+0.011333i,-0.053715+0.014259i,-0.0037971+0.025315i,-0.0087033+0.00046228i,-0.0080862-0.0062503i,-0.011875-0.0065156i,0.0017953+0.0037404i,0.0061645+0.012646i,-0.0020081+0.0040792i,-0.0013784-0.01058i,0.0065148-0.003319i,-0.0018112-0.012017i,0.0044948-0.0050699i,0.0052352-0.0023902i,-0.0061182+0.0071048i,0.010469+6.0281e-05i,0.008757-0.0020815i,0.0083252-0.0036063i,0.0025227+0.001151i,0.00010007-0.0044046i,-0.0048-0.0050713i,0.0029537+0.0012938i,-0.019789+0.017712i,-0.0035095-0.00457i,0.000261+0.00042994i,0.0026366-0.0063886i,0.0018604-0.0010517i,-0.012656-0.0096348i,-0.00010061+2.0829e-05i,0.006397-4.7195e-05i,0.0026392-0.0013124i,0.0011701-0.0047704i,-0.0046076+0.0047015i,-0.0045917+0.0051935i,-0.0048688+0.0018447i,-0.010158-0.0019648i,-0.01452-0.0035776i,-0.051145+0.050011i,-0.0022786+0.011454i,-0.01975-0.020958i,-0.007711-0.003904i,0.0062045+0.02094i,-0.0057001+0.021395i,0.0018524+0.0024712i
