-0.026676-0.0049359i,-0.021-0.0094355i,-0.013195-0.015467i,-0.036592-0.011677i,-0.027927-0.00015339i,-0.037361-0.0034016i,-0.069104-0.037229i,-0.037845-0.018227i,-0.026164+0.0017168i,0.0078392+0.0067766i,-0.0055968+0.0074345i,-0.0080504+0.019166i,0.0046714+0.0084815i,-0.00061509+0.0040993i,0.0044482+0.0047518i,0.0039168+0.027691i,0.016951+0.0147i,0.0011391-0.00067743i,0.00062485-0.0056787i,0.0094347-0.00016688i,0.0053813-0.0021028i,0.0033892+0.0029386i,0.0011692-0.00038687i,-0.021311+0.0035716i,-0.0063307-0.0026005i,-0.0012485+0.0035334i,0.0032804-0.0024344i,-0.001551+0.00069592i,-0.00077911+0.00065677i,-0.0028394-0.0018532i,-0.0039932-0.00058419i,-0.006244-0.0090191i,-0.001136+0.00088716i,-0.00052415-0.00041839i,-0.00031485-0.0019875i,-0.0032388+0.01838i,0.0030486-0.0036674i,0.0019321-0.0050632i,0.0027658-0.0016585i,0.00099965-0.004392i,0.0010205-6.5363e-05i,0.0081361+0.0034243i,0.0058841-0.00079539i,3.7405e-05+0.0024426i,-0.014724+0.016221i,-0.024853+0.0524i,-0.0078872-0.03641i,-0.015907-0.017953i,-0.040194-0.016596i,-0.02895-0.011731i,0.030405-0.01373i,0.0040808-0.029728i,0.011233-0.040013i,-0.011453-0.029866i,0.026526-0.023585i,0.013539+0.0066905i,0.029157-0.036948i,-0.0012341-0.0038687i,0.0061263-0.0085015i,-0.0005332-0.0051839i,-0.00051533-0.0355i,-0.013344+0.030091i,0.008081-0.0117i,-0.0070376-0.0042665i,-0.0026254-0.0023248i,-0.00049521-0.015058i,-0.0084167+0.0062372i,0.004249+0.006271i,-0.0011343+0.026878i,0.0021189-0.00022514i,-0.0068714-0.0037608i,-0.0043737-0.0062i,-0.014104-0.0091988i,-0.003007-0.0059255i,-0.032681+0.021859i,-0.0057626-0.0080048i,-0.01311-2.8403e-05i,-0.0082775-0.0062418i,0.0012864-0.0017905i,-0.013186+0.0026416i,-0.0018364-0.00078598i,0.00497+0.0047557i,0.0030234-0.0052986i,-0.010313-0.017915i,0.0080662+0.0085096i,-0.01519+0.0021489i,0.0050675-0.00043579i,-0.020058-0.0014781i,-0.015364-0.0030481i,-0.018032-0.034886i,0.02022-0.011314i,-0.0398-0.022122i,-0.0090233+0.0056185i,0.018733+0.014584i,-0.020349+0.016957i,-0.0045769-0.0024358i
0.009538-0.010713i,0.0125+0.0013325i,0.0086941+0.0040863i,0.016481-0.0022701i,0.020259-0.00058054i,0.016899-0.014035i,0.019639-0.0055065i,0.01202-0.00016414i,0.0008628-0.0096087i,-0.0014165-0.00051447i,-0.00072711-0.00099652i,-0.0012083+0.00022734i,-0.0017818+0.0044171i,-0.0020952+0.0018243i,0.0031358+0.0036022i,0.0013756-1.2225e-05i,0.0029789-0.0036707i,0.0019899-0.0012115i,0.0042398+0.0068832i,7.9174e-05+2.7198e-05i,0.00094734-0.0033475i,-0.0010321-0.0030645i,-0.00073174-5.0733e-05i,0.0016842+0.0058169i,-0.0016968-0.00029675i,-0.002279+0.0013312i,-0.002836-0.00019912i,-0.0022848-0.00014669i,-0.0021112-0.002039i,-0.0022724+0.00031506i,-0.00018126-0.00039578i,0.00079712+0.0011483i,0.0016799-0.00025587i,0.0027677-0.00026029i,0.00091084-0.00091471i,-0.0093553-0.00014198i,-0.00046296-0.0010624i,-0.00098323-0.00020878i,-0.0015636-0.0010941i,0.003024-0.00084249i,0.00098151-0.0012611i,0.0017859-0.0016532i,-0.0020357+0.0012079i,0.0028033-0.00051508i,0.0016961-0.011886i,-0.022431-0.0045878i,-8.628e-05-0.0052384i,-0.0057372+0.0029785i,0.012962+0.023738i,0.0027805+0.003556i,0.014696-0.013009i,-0.011108-0.025696i,-0.0048653-0.01173i,0.0070515-0.0089633i,0.021869+0.015637i,0.002271+0.0022199i,-0.0012676+0.00041008i,-0.005071-0.00041582i,0.010348-0.0039068i,0.014374+0.0084228i,0.00345+0.0043087i,-0.0044116-0.0078499i,0.0067906-0.0033517i,-0.0039267-0.0063625i,0.0022862-0.01118i,0.0052285-0.0060948i,-0.0013401+0.0075467i,0.0088004-0.0067767i,0.0052335-0.0093192i,0.0020455-0.0064361i,-0.0034203-0.001581i,-0.0055471-0.0063779i,-0.0068254-0.0065896i,-0.00077226-0.0014122i,-0.00014423+0.026915i,-0.0092374-9.6125e-05i,-0.00025498+0.0029364i,-0.013146+5.8744e-05i,1.7262e-05+0.00058085i,-0.014202+0.00108i,-0.0021996+0.0011263i,-0.0019956-0.0014145i,-0.0034835-0.00038661i,-0.0056139-0.0050342i,-0.0016386+0.0072697i,-0.001343+0.0020468i,-0.0057044+0.0059731i,-0.007709+0.0017651i,-0.0022842-0.00097779i,0.0091204-0.0032449i,-0.0052785+0.017455i,-0.028266-0.0020638i,-0.010057-0.0038344i,0.010939+0.015959i,-0.0025705+0.016041i,-0.0072925-0.004184i
0.0075164-0.012795i,0.012554-0.0027113i,0.0093024+0.0029068i,0.015358-0.0043357i,0.020046-0.0039724i,0.014076-0.01661i,0.016354-0.0093316i,0.011811-0.0020779i,-0.0009395-0.0096777i,-0.0001277-0.0010399i,-0.00078663-6.2116e-05i,-0.0013928+0.0013781i,-0.00030469+0.0046547i,-0.0013947+0.0026015i,0.0038701+0.00071375i,0.0010309+0.00043469i,0.00094338-0.0038526i,0.0016484-0.0022736i,-0.0015283-5.4285e-05i,0.00041244-0.00073045i,-5.9265e-05-0.0036084i,-0.0025003-0.0019781i,-0.00073472-0.00035491i,0.0046836+0.0047994i,-0.0021364+0.0005949i,-0.0014098+0.0022671i,-0.0029221+0.0006628i,-0.0023231+0.00068553i,-0.0032985-0.00087973i,-0.0021248+0.0014654i,-0.0010154+0.00084204i,0.00068408+0.00026725i,0.0010299-0.00072815i,0.0020858-0.0032596i,0.00053021-0.00035104i,-0.0083134+0.0039338i,-0.0012323-0.00060955i,-0.0011597+0.00036277i,-0.0022676-4.4357e-05i,0.0027442-0.0020307i,0.00080546-0.0013935i,0.0010003-0.0025037i,-0.0024018+0.0018231i,0.0020842-0.0005122i,0.00023633-0.011598i,-0.021821-0.0010981i,-0.0013533-0.0031551i,-0.0023429+0.0012403i,0.023163+0.016265i,0.0059042+0.00098821i,0.0087304-0.016333i,-0.018407-0.025064i,-0.0088599-0.012547i,0.010043-0.016028i,0.026959-0.00024055i,0.00063775+0.00046326i,-0.00034562+0.0033093i,-0.0045683+0.0010578i,0.0071433-0.0073468i,0.015317+0.0038065i,0.0060222+0.0048031i,-0.0091465-0.0069524i,0.0032573-0.0055649i,-0.0048723-0.0043039i,-0.0029442-0.009672i,0.0024647-0.0071728i,0.0023315+0.006025i,0.0046315-0.0081243i,0.0014206-0.01026i,-0.0016684-0.0047256i,-0.0026585-0.00027836i,-0.0069434-0.0043746i,-0.012485-0.0018713i,-0.00029304-0.00088552i,0.011666+0.021984i,-0.0090503+0.0044513i,0.00058373+0.0019379i,-0.018811+0.0059751i,0.00034711+0.00022686i,-0.012373+0.0071801i,-0.0011725+0.0022463i,-0.0021831+0.0002476i,-0.0024242+0.00057882i,-0.0061409-0.0029389i,0.00093665+0.0038347i,-0.00048157+0.0015416i,-0.0017195+0.0075936i,-0.0043566+0.0036287i,-0.0033597-0.00091689i,0.0092354-0.010185i,-0.0016498+0.019364i,-0.028001+0.0036835i,-0.011371-0.0052319i,0.012952+0.013973i,-8.3459e-05+0.017721i,-0.0093206-0.0032411i
0.0044554-0.014135i,0.010333-0.0072399i,0.01034+0.00070801i,0.014631-0.0064084i,0.01958-0.0074021i,0.010795-0.019061i,0.012454-0.01239i,0.011361-0.0041174i,-0.0025513-0.0088681i,-0.0021837-0.0025442i,-0.00054474-1.0146e-05i,-0.00079027+0.0023176i,0.00094717+0.0042431i,-0.00045781+0.0026145i,0.0022944-0.00087413i,0.00087458+0.00077756i,-0.00064271-0.0030071i,0.0010987-0.003068i,-0.0016871-0.00037195i,-0.00011447-0.0016253i,-0.0015285-0.0038292i,-0.002168-0.00073098i,-0.0010886-0.00055448i,0.006139+0.0018417i,-0.0020118+0.0016647i,-0.00062807+0.0025473i,-0.0028888+0.0020775i,-0.0020052+0.0014909i,-0.0036268+0.0010155i,-0.0014295+0.0024349i,0.00069345-0.00035109i,0.00086401+0.0011164i,0.00077323-0.00081051i,-0.0018406-0.0017477i,0.00073365+0.00011716i,-0.0054191+0.0068322i,-0.001489+0.00022808i,-0.00084947+0.00090345i,-0.002235+0.0012087i,0.0017663-0.0032915i,0.00078865-0.0016938i,8.1562e-05-0.0025264i,-0.0019091+0.0034091i,0.0021609-0.00012804i,-0.00055538-0.011062i,-0.050835-0.0056725i,-0.00033673+0.0004102i,0.00044385-0.0019392i,0.032066+0.0060079i,0.0084467-0.00096571i,0.0027024-0.0169i,-0.025043-0.022128i,-0.012552-0.010243i,0.0085969-0.024086i,0.013177+0.0080967i,-0.0010393+0.00012599i,-0.00021078+0.00241i,-0.0046796+0.0017985i,0.0018454-0.0099648i,0.014933-0.0011124i,0.0083304+0.0035136i,-0.013585-0.0031893i,0.0013333-0.0045545i,-0.0053682-0.0016827i,-0.0053842-0.0064509i,0.00057178-0.0067589i,0.0048149+0.0052105i,0.0018446-0.007714i,-0.0046145-0.0075479i,-0.0030697-0.0017811i,-0.0023427-0.00018017i,-0.0087077-0.0016644i,-0.0065583+0.0037233i,-0.00097472-0.0011376i,0.019247+0.015097i,-0.0067224+0.0086758i,0.0010539+0.0014141i,-0.0092899+0.0010157i,0.00070102-0.00059185i,-0.0069641+0.011654i,-7.5283e-05+0.0026978i,-0.0021452+0.00096703i,-0.0021168+0.0013827i,-0.0059036-0.00063835i,-0.00042512+0.0045589i,-0.00016513+0.00094894i,0.0015857+0.0076165i,-0.0028905+0.0024257i,-0.0046202+0.00026867i,0.0054083-0.015126i,0.0073385+0.018058i,-0.025903+0.0069472i,-0.013466-0.0058101i,0.015524+0.0099717i,0.004248+0.019312i,-0.010456-0.001684i
0.0013982-0.014174i,0.0062272-0.0090898i,0.010119-0.0020544i,0.013519-0.0089509i,0.018179-0.010928i,0.0066888-0.020452i,0.0082558-0.013696i,0.010429-0.0060741i,-0.0034485-0.0080929i,-0.0031528-0.00068497i,-0.0006601+8.2363e-05i,0.00019015+0.0028217i,0.0015888+0.0035299i,-7.9449e-05+0.0025866i,0.00061107-0.00035792i,0.00060956+0.0012713i,-0.0014251-0.0016725i,0.00016557-0.0038161i,-0.0013914-0.00037541i,-0.0011863-0.0018525i,-0.0027174-0.0027955i,-0.0020085-0.00041817i,-0.0016076-0.00036486i,0.0058122-0.00091154i,-0.0012295+0.0026611i,0.00021214+0.0028229i,-0.0016854+0.0035592i,-0.0015393+0.0020931i,-0.0027484+0.0026155i,-0.00031378+0.0029233i,3.2931e-05-0.00040985i,0.002255+0.00056432i,0.0006768-0.0010024i,-0.0011719+0.00032941i,0.0012291+0.00038053i,-0.002157+0.008076i,-0.0013867+0.00098104i,-0.00051624+0.0011178i,-0.0015843+0.0022094i,0.00035714-0.0036237i,0.00025774-0.0024003i,-0.00048356-0.0024912i,-0.00052036+0.004311i,0.0023788-0.00013257i,-0.0008951-0.011246i,-0.014949-0.0039089i,0.0031152+0.0016033i,-0.00063649-0.0063864i,0.035827-0.0080911i,0.01016-0.0053939i,-0.002834-0.014611i,-0.030633-0.016286i,-0.014383-0.0054035i,0.0025963-0.030906i,0.014894+7.4871e-05i,-0.0019644+0.0014347i,-7.6939e-05+0.0047237i,-0.0045034+0.0033913i,-0.0043261-0.0082158i,0.013211-0.0062147i,0.0099782+0.00084462i,-0.014557+0.0034231i,-0.00014605-0.0045995i,-0.0044921+0.00055605i,-0.0059187-0.002855i,-0.0010954-0.0065543i,0.0064434+0.0016866i,-0.00065791-0.0069932i,-0.0058081-0.0023766i,-0.0024628+0.0010012i,-0.0024592+0.00029316i,-0.0082258+0.0023028i,-0.0031272+0.0054278i,-0.0016289-0.00090041i,0.022265+0.0057715i,-0.0021832+0.012069i,0.0013887+0.00063686i,-0.0057615+0.002503i,-3.2512e-05-0.0013957i,-0.00096818+0.011943i,0.0015776+0.0024939i,-0.001578+0.0026204i,-0.0012795+0.0024553i,-0.0031545+0.0016327i,0.0039776+0.0037579i,-0.00053153+0.00034773i,0.0052265+0.0064412i,-0.003088+0.0012829i,-0.00555+0.0022088i,0.001367-0.015983i,0.016657+0.0091775i,-0.022904+0.010716i,-0.016822-0.0047171i,0.014732+0.005954i,0.0092757+0.018417i,-0.0099659-0.00046258i
-0.00077926-0.013845i,0.003503-0.0087064i,0.0091158-0.004096i,0.012069-0.011376i,0.016193-0.013992i,0.0028236-0.020955i,0.0045954-0.013524i,0.0092883-0.0075415i,-0.0041128-0.0073464i,-0.0027889+0.00133i,-0.00085011+0.00031011i,0.0013239+0.0027362i,0.0018918+0.0032114i,0.00022339+0.0026152i,0.00079751+0.0006632i,0.00034427+0.0021536i,-0.0013965-0.00055689i,-0.0013033-0.0038079i,-0.0016215-0.00053638i,-0.0021699-0.0013775i,-0.0034388-0.0018935i,-0.0018364-0.00017181i,-0.0019741+0.00015768i,0.0046623-0.0028917i,-9.7548e-05+0.0031341i,0.0013192+0.00283i,-0.00011733+0.0041317i,-0.00086509+0.0025934i,-0.001348+0.0035986i,0.00095787+0.0029392i,-0.0001134-0.00022106i,0.0040722-0.0017656i,0.00079948-0.00076441i,5.8307e-05+0.00027894i,0.0029459+0.00092381i,0.00066834+0.0084638i,-0.0010277+0.0018298i,-0.00024342+0.0013769i,-0.00050811+0.0028424i,-0.00081435-0.0035568i,-0.00051458-0.0026289i,-0.0012868-0.0024554i,0.00078027+0.0044203i,0.0023477-0.00065342i,-0.0019385-0.011834i,-0.011018-0.0010101i,0.0072847+0.00058904i,-0.0031754-0.0075732i,0.03255-0.021995i,0.0092553-0.0097767i,-0.0053419-0.010627i,-0.033172-0.007976i,-0.013785+0.00039945i,-0.0060404-0.033348i,0.011943-0.0037834i,-0.0016926+0.0026892i,0.0027393+0.0048341i,-0.0038423+0.0047575i,-0.0069792-0.00375i,0.0090965-0.011123i,0.010392-0.0028012i,-0.011967+0.0076782i,-0.0014196-0.0032699i,-0.0029409+0.0015423i,-0.0046014-0.00086561i,-0.0038032-0.0054482i,0.0057975-0.00060439i,-0.0029117-0.0054811i,-0.0042351+0.00083869i,-0.00046623+0.0025486i,-0.0020879+0.00078839i,-0.0054939+0.0051151i,0.00017919+0.0049157i,-0.0018316+0.00030652i,0.020883-0.0033286i,0.0047732+0.011726i,0.0010453+8.1639e-05i,-0.002892+0.0026177i,-0.00087033-0.0010193i,0.0031368+0.010147i,0.0024413+0.001721i,0.00034818+0.0042132i,0.00075374+0.0031452i,0.00032129+0.0026789i,0.0020234+0.0016991i,-0.0015777+0.00060193i,0.0069208+0.0034884i,-0.0042135+0.001423i,-0.0047684+0.0047651i,-0.00096566-0.015782i,0.017609-0.0048809i,-0.017304+0.010762i,-0.019496-0.0022221i,0.014725+0.0028529i,0.013649+0.014499i,-0.010765-0.00031069i
-0.0027774-0.013537i,0.0021685-0.0083909i,0.0083205-0.0057114i,0.010258-0.013879i,0.013866-0.016783i,-0.0011099-0.020868i,0.0021722-0.012614i,0.0083348-0.0088994i,-0.0044135-0.0067361i,-0.001691+0.0021367i,-0.00084497+0.00082559i,0.0023243+0.0022938i,0.0025038+0.0031762i,0.00065834+0.0027976i,0.0014628+0.00080881i,-0.0003665+0.0041471i,-0.00085211+5.7888e-05i,-0.0025042-0.0034087i,-0.0021895-0.00026583i,-0.0027333-0.00051577i,-0.0037968-0.00067998i,-0.0016766-8.6031e-05i,-0.002107+0.00080951i,0.0027711-0.0045171i,0.0012628+0.0031024i,0.002407+0.0022285i,0.001508+0.0039855i,8.0233e-05+0.0030329i,0.00018257+0.0038899i,0.0020961+0.0023672i,-8.5657e-05-7.9545e-05i,-0.0082168+0.0023654i,-0.00016975+0.00049243i,0.00017118+2.01e-05i,0.0076284-0.0019644i,0.0034817+0.0079084i,-7.7701e-05+0.0024245i,0.00027801+0.0016197i,0.0007292+0.0028802i,-0.0018059-0.0029261i,-0.0015085-0.002706i,-0.0021062-0.002089i,0.0020633+0.0042889i,0.0021756-0.00096471i,-0.0031195-0.012313i,-0.0077992-0.0017615i,0.010393-0.0029388i,-0.0050017-0.0070997i,0.02531-0.032743i,0.0065953-0.012691i,-0.0053373-0.0069393i,-0.031597+0.00075176i,-0.0091092+0.0062507i,-0.014012-0.03101i,0.0087543-0.0050814i,-0.00073931+0.0034792i,0.0043235+0.0032287i,-0.0028436+0.006355i,-0.007457-0.0002458i,0.0027412-0.014101i,0.0082047-0.0068164i,-0.0094345+0.0098697i,-0.001441-0.0019741i,-0.0019224+0.0012362i,-0.0037218-0.0002274i,-0.0047197-0.0028242i,0.0045135-0.001818i,-0.0048463-0.0030733i,-0.0013849+0.0019554i,0.0022386+0.0016985i,-0.0017494+0.0014113i,-0.0031088+0.0059488i,0.0014301+0.0028573i,-0.00079151+0.0013266i,0.016722-0.0099678i,0.0071909+0.0053347i,0.0009223+0.00030818i,-0.0017112+0.0021171i,-0.0011127+3.5982e-05i,0.0062229+0.0076503i,0.003489+0.00061676i,0.0033975+0.0035571i,0.0023476+0.0019833i,0.0031439+0.0023308i,0.0020333+0.0016319i,-0.0021039+0.0022583i,0.0071495+0.0010123i,-0.0053011+0.0023063i,-0.0025806+0.0062535i,-0.0034273-0.016056i,0.010033-0.0153i,-0.014941+0.0064922i,-0.022131+0.0020358i,0.012812-0.0021187i,0.015765+0.010202i,-0.011845+0.0010079i
-0.0049834-0.012561i,0.00071576-0.0084576i,0.0070508-0.0081088i,0.0074236-0.016419i,0.011043-0.019384i,-0.0049481-0.019808i,0.00062574-0.011871i,0.007272-0.010491i,-0.0047129-0.006309i,-0.0014745+0.0030289i,-0.00070862+0.0010568i,0.0027958+0.0010867i,0.0033245+0.0028201i,0.001216+0.0028518i,0.0018234+0.00052818i,-0.00058218+0.0074749i,-0.00049185+0.00026688i,-0.0038854-0.002698i,-0.0023994+0.00034476i,-0.0030924+0.00058049i,-0.0036342+0.00058627i,-0.0016899-0.00017429i,-0.0020896+0.0015217i,0.00032225-0.0051958i,0.0025747+0.0023019i,0.0030502+0.0013301i,0.002769+0.0032896i,0.0012575+0.0030311i,0.0018407+0.0035537i,0.0028727+0.001322i,4.0984e-05-2.6938e-05i,-0.00012697+0.0040246i,-0.00056253+0.00058664i,0.00025781-0.00011696i,-0.019584-0.0042582i,0.0056643+0.0063093i,0.00094193+0.0022553i,0.00091923+0.0014951i,0.0019285+0.0023039i,-0.0022808-0.0021036i,-0.0024694-0.0021944i,-0.0027265-0.0012564i,0.0036379+0.0037152i,0.0018146-0.0011264i,-0.0047428-0.012632i,-0.006036-0.0038439i,0.011363-0.0073665i,-0.005144-0.005548i,0.01501-0.039762i,0.0034253-0.013995i,-0.0042134-0.0053134i,-0.027348+0.0064406i,-0.0014149+0.0081573i,-0.019732-0.025881i,0.006404-0.0052068i,0.00032959+0.0036513i,0.0041068+0.0011281i,-0.00094779+0.00717i,-0.0073111+0.0030742i,-0.005075-0.013065i,0.0045434-0.0084731i,-0.0067595+0.011889i,-0.00069055-0.0023166i,-0.0017262+0.0010952i,-0.0036722+1.5139e-05i,-0.0042753-0.0010692i,0.0034844-0.0022528i,-0.0071409-0.00044656i,5.7102e-05+0.0012679i,0.0033128-0.00081065i,-0.0012157+0.0019784i,-0.00016157+0.0061572i,0.0011567+0.0015895i,0.00013657+0.00090076i,0.011037-0.013471i,0.0071867+0.0038768i,0.0011074-0.00012993i,-0.00071485+0.0012571i,-0.00021413+0.00054297i,0.0076745+0.0044679i,0.0041163-0.0015011i,0.0050566+0.0016117i,0.0029969+0.00080607i,0.0042455+0.00084966i,0.0030774+0.0014875i,-0.00099233+0.0040151i,0.00638-0.0012676i,-0.0056521+0.0040986i,-0.00029291+0.006301i,-0.0051502-0.014431i,-0.00043423-0.020663i,-0.018048+0.0032506i,-0.02183+0.0077304i,0.006962-0.0048204i,0.016769+0.006197i,-0.011758+0.0021582i
-0.0062236-0.011273i,-5.8734e-06-0.0077188i,0.0047211-0.0095991i,0.0035013-0.018031i,0.007507-0.021422i,-0.0079596-0.017922i,-0.00026907-0.011333i,0.0058646-0.012185i,-0.0049389-0.0062026i,-6.2945e-05+0.0043625i,-0.00073067+0.0016183i,0.0027256+0.00032177i,0.0041323+0.0020695i,0.0019184+0.0028809i,0.0020261+0.00016634i,0.0024402+0.0070622i,-0.00052686+0.00046512i,-0.0050616-0.0010461i,-0.002191+0.00093584i,-0.0027508+0.0018742i,-0.0030894+0.0012852i,-0.0023592-0.00016333i,-0.0018395+0.0022462i,-0.0024432-0.0044914i,0.0031342+0.0010048i,0.0033131+0.00020554i,0.0040153+0.0020565i,0.0023573+0.0025168i,0.003093+0.0024426i,0.0031078+0.0001245i,0.00015191-7.9985e-05i,0.0016273+0.0023553i,-0.00033347+0.00097614i,-4.1256e-05-0.00035703i,-0.0034998+0.002124i,0.007004+0.0039756i,0.0017162+0.0017384i,0.0014635+0.0011497i,0.0026451+0.0012247i,-0.0024783-0.0012177i,-0.0033891-0.0013041i,-0.0029349-0.00045348i,0.0047067+0.0022282i,0.0015434-0.0012761i,-0.0064906-0.012619i,-0.0056665-0.0069334i,0.0099238-0.011471i,-0.0038571-0.0053072i,0.0043186-0.041943i,7.2727e-05-0.013799i,-0.0035071-0.0043951i,-0.023153+0.0079647i,0.0060746+0.005644i,-0.022004-0.019308i,0.0049386-0.0049645i,0.0017203+0.0033035i,0.0032397+0.00016289i,0.0015908+0.0069741i,-0.0055837+0.0064588i,-0.010637-0.0077426i,0.00097348-0.0083368i,-0.0036781+0.013132i,-0.0017166-0.0031847i,-0.0015941+0.0013518i,-0.0038948+0.00077383i,-0.0034021+0.00014181i,0.0022621-0.0023896i,-0.011918+0.0016094i,0.00061489+0.00041961i,0.0015756-0.0030812i,-0.00018712+0.0022863i,0.0025065+0.0047231i,0.0005815+0.00074012i,0.00053821+0.00036402i,0.0048824-0.014068i,0.0086372+0.0010192i,-0.00014082-0.0015035i,0.0002288-6.6571e-05i,0.00073725+0.00038663i,0.007652+0.0016529i,0.0031216-0.0040066i,0.006028-0.00048459i,0.0036562-0.00028014i,0.0047008-0.001402i,0.0038022+0.00038224i,0.0011498+0.0045928i,0.0046535-0.0027275i,-0.0049038+0.0062787i,0.0016281+0.0052701i,-0.0043591-0.013693i,-0.012277-0.020951i,-0.021866+0.0040528i,-0.018191+0.012378i,0.0025533-0.0029074i,0.015789+0.0017845i,-0.011388+0.0023081i
-0.0070617-0.01047i,-8.1428e-05-0.0080462i,0.002639-0.0099693i,-0.0005783-0.018087i,0.0037858-0.022766i,-0.010068-0.016216i,-0.000834-0.011668i,0.0039182-0.013823i,-0.0054136-0.0061568i,0.0019271+0.0044226i,-0.00025133+0.0025464i,0.0025183-0.00011228i,0.0047448+0.00086024i,0.0028118+0.0025674i,0.0021988-0.00022915i,0.0029032+0.0061068i,-0.00024628+0.00079566i,-0.004921+0.00092192i,-0.0020219+0.0013284i,-0.0018852+0.0026637i,-0.0027938+0.001917i,-0.0028963+0.00082015i,-0.001284+0.0028203i,-0.0045886-0.0024883i,0.003127-0.00013977i,0.0031713-0.00094904i,0.004505+0.00021699i,0.0032739+0.0016102i,0.0035382+0.0010814i,0.0029076-0.00099353i,0.00021567-6.305e-05i,0.0019222+0.00089934i,0.00037776+0.0011607i,-0.00051369-3.7744e-05i,-0.00057594+0.0022875i,0.0071115+0.0015409i,0.0022582+0.00091002i,0.0019015+0.00058366i,0.0028012+0.00010567i,-0.002338-0.00033036i,-0.0037204+0.00012279i,-0.0030256+0.00031926i,0.0048045+0.00050404i,0.0012335-0.0014255i,-0.0083067-0.012403i,-0.0081665-0.0096802i,0.0070803-0.013866i,-0.0034299-0.0063487i,-0.0046526-0.041222i,-0.0018615-0.011458i,-0.0025033-0.0036213i,-0.019212+0.0090061i,0.010435+0.00043203i,-0.020645-0.013703i,0.0036105-0.0056728i,0.0025+0.0017356i,0.003267-0.00069157i,0.0039054+0.0053753i,-0.0023576+0.0076816i,-0.012211-0.0015996i,-0.0019421-0.0072025i,3.1633e-05+0.012849i,-0.0034575-0.002904i,-0.0017923+0.0019834i,-0.0037261+0.0020279i,-0.002655+0.0008446i,0.0016269-0.0012539i,-0.020129+0.00037678i,0.0003298-0.00021837i,-0.00054854-0.0026676i,0.00085858+0.0020613i,0.0037027+0.0025894i,0.0014975-0.00016205i,0.00085274+0.00032199i,0.00051618-0.01262i,0.008132-0.0028115i,-0.0022644+0.0003925i,0.00023687-6.705e-05i,0.0014028-0.00032616i,0.0073162-0.00046474i,0.00056404-0.0055104i,0.0061236-0.003479i,0.0035207-0.0021245i,0.003611-0.0044383i,0.0040682-0.00091522i,0.0030397+0.0041505i,0.002722-0.0027608i,-0.003282+0.0078949i,0.0025264+0.0037082i,-0.004366-0.014814i,-0.022671-0.015392i,-0.024707+0.006862i,-0.013857+0.013606i,0.0016525-0.00090609i,0.01513-0.0013918i,-0.012598+0.0028024i
-0.0085481-0.0096634i,-0.00070128-0.0091136i,0.001093-0.010099i,-0.0041212-0.016998i,-0.000196-0.023718i,-0.012502-0.014554i,-0.0018496-0.012998i,0.0013467-0.015167i,-0.0062195-0.0060504i,0.0034445+0.0036516i,0.0011041+0.003189i,0.0023703-0.00030896i,0.0047863-0.0006013i,0.0037202+0.0019039i,0.0022414-0.00081087i,0.0040132+0.0048163i,0.00010915+0.001006i,-0.0043083+0.0023545i,-0.0016433+0.0018968i,-0.0009353+0.0030416i,-0.0023124+0.002777i,-0.0025542+0.0021199i,-0.00071558+0.0030782i,-0.0053779+8.944e-05i,0.0028455-0.0010641i,0.0025774-0.0019384i,0.0041979-0.0016053i,0.0036742+0.00027297i,0.0035178-0.0002647i,0.0023163-0.001989i,0.0004181-8.2909e-05i,0.0017919+0.00021438i,0.00095337+0.00070492i,-0.00019219+0.00076515i,0.0005848+0.0011494i,0.0068475-0.00058933i,0.0025505-4.5529e-05i,0.0021493-0.00024161i,0.0024712-0.00092962i,-0.001931+0.00054255i,-0.0035491+0.0016309i,-0.0028458+0.0012194i,0.004534-0.0010235i,0.00092717-0.0011447i,-0.010382-0.011953i,-0.012-0.0095818i,0.0046077-0.01491i,-0.0038589-0.0063586i,-0.012695-0.039583i,-0.0012828-0.0092916i,-0.0012696-0.0037746i,-0.014522+0.010006i,0.012875-0.0056871i,-0.017841-0.010975i,0.0016492-0.0069368i,0.0018753-0.00059666i,0.0029146-0.0019615i,0.0045241+0.0029452i,-0.00026455+0.0071577i,-0.011478+0.0039559i,-0.0041517-0.0050994i,0.0028628+0.010843i,-0.0049776-0.0014364i,-0.0013929+0.0031837i,-0.0030831+0.0034346i,-0.0014758+0.0013239i,0.0025388+0.00032289i,1.2224e-05+0.0084347i,0.00039969+0.00038679i,-0.0014154-0.0017599i,0.0016003+0.0015402i,0.0038677+0.00057775i,0.00097188-0.001878i,0.0012601-9.1999e-05i,-0.0030846-0.011012i,0.0060558-0.0054468i,-4.8535e-05-0.0011586i,0.00064863-0.00039253i,0.0013279-0.0013719i,0.0068564-0.0025861i,-0.0019767-0.0050562i,0.0043667-0.0063215i,0.0021354-0.0033147i,0.00067307-0.0054208i,0.0039795-0.0023197i,0.0046142+0.0028627i,0.0021135-0.0022046i,-0.0010999+0.0088706i,0.0021126+0.0019424i,-0.0056745-0.016679i,-0.026818-0.0058646i,-0.026908+0.011383i,-0.010446+0.013986i,0.00064244+0.00046159i,0.013369-0.0072303i,-0.013233+0.0044652i
