-0.023926-0.037576i,-0.01264-0.049283i,-0.017923-0.04435i,-0.030976-0.035218i,-0.03005-0.015905i,-0.05021-0.027125i,-0.057353-0.025147i,-0.044599-0.035738i,-0.029532-0.036808i,0.0076365+0.012519i,-0.0053951+0.015863i,-0.0044509+0.013869i,0.0098892+0.021421i,0.00060359+0.0042743i,0.0033135+0.0032089i,0.0070351+0.018379i,0.026558+0.038143i,-0.0024261-0.0012433i,-0.0044576-0.005613i,0.0080803+0.0015146i,-0.00042474-0.00084911i,-0.00098011+0.0013905i,4.2675e-05-0.00035424i,-0.030849-0.0035376i,-0.0013018-0.0057787i,0.0013962+0.0045891i,0.0038033-0.00026041i,-0.00071788+0.00057366i,0.00060079-0.00061152i,-0.00038575-0.002666i,-0.0012458-0.0062584i,-0.0045023-0.004155i,-0.0017857-0.0046407i,0.002207-0.00057417i,0.002304-0.0027515i,0.0024149+0.02533i,0.0018213-0.0026862i,0.0027753+0.00065768i,0.0062509+0.0011165i,-0.010356-0.004274i,-0.0031997+0.0007634i,0.0064972+0.0014533i,0.0055127-0.00067976i,-0.0034214+0.0055108i,0.0010631-0.0085737i,-0.011903+0.018001i,0.035779-0.090508i,0.012079-0.069888i,-0.016091-0.059514i,-0.016191-0.05539i,0.039677-0.045016i,0.017437-0.061982i,0.034277-0.055184i,0.029406-0.059538i,0.01591-0.013916i,0.0046335+0.01656i,0.016736-0.026239i,-0.0115+0.0055179i,0.00016091+0.0054769i,-0.004682-0.0019706i,-0.0023244-0.029253i,-0.024044+0.032316i,0.0098242-0.01135i,-0.012994-0.0024178i,4.4082e-05-0.0048441i,-0.0012847-0.016136i,-0.0070003+0.00438i,0.0047788+0.0063817i,-0.0090188+0.031087i,0.0050903+0.0062559i,-0.0051714-0.00079644i,-0.0032235-0.0007316i,-0.012059-0.0079753i,-0.00096237-0.004363i,-0.030151+0.0069274i,-0.00027439-0.010172i,-0.0097198-0.0021288i,-0.0068086-0.0028547i,0.007395+0.0026148i,-0.007956+0.0011088i,-0.00015335+0.00013381i,0.0059526+0.010588i,0.0042064+0.0017368i,-0.0092764-0.0098888i,0.0030676+0.0083389i,-0.021516+0.0060712i,0.0082405+0.00048965i,-0.028803-0.0034916i,-0.041612+0.0023655i,0.019227-0.096566i,-0.0016389-0.01283i,-0.053012-0.02219i,-0.023699-0.0015668i,0.017743+0.011026i,-0.024673+0.013522i,-0.018265-0.012245i
0.0081499+0.020855i,0.014873+0.050445i,0.024398+0.034385i,0.017405+0.026952i,0.02435+0.026386i,0.03205-0.014373i,0.017133-0.0088586i,0.028585+0.0054929i,0.011491+0.013094i,0.0027665+0.0042009i,0.0048937+0.0028325i,0.0043851+0.0032076i,0.0058322+0.002673i,0.004884+0.0033953i,0.0029588-0.0033693i,0.0079936-0.00089569i,0.00832-0.004955i,-0.0012943-0.0013274i,-0.0031961+0.0010002i,3.4576e-05+0.001241i,-0.0010317-0.00023188i,-0.0027086+0.0012355i,-0.0020313+0.00091476i,0.0046155+0.0080967i,0.0014351+0.0011775i,0.0025267+0.00061578i,0.0019042+0.0011626i,0.0011143+0.0014701i,0.00062581+0.00017839i,-0.00018818+0.0008017i,-0.0020211-0.0027103i,-0.00077078-0.00038094i,-0.0011247+0.00083704i,-0.0011218+0.00020125i,-0.00087205-0.0019004i,-0.0069581+0.0076162i,0.0013382+0.00038114i,0.0013173-0.00058712i,-0.00060149+0.0024747i,-0.00044127-0.0033206i,-0.001303+0.00037179i,-0.0020064-0.00035602i,0.0018555+0.00089864i,0.0068648+0.0039644i,-0.01382+0.03425i,-0.080837+0.034277i,-0.051201+0.037978i,-0.037079+0.059104i,-0.018588+0.072491i,-0.0087341+0.051272i,0.0094317+0.037208i,0.0020328-0.002078i,-0.037212+0.012009i,-0.043952+0.019902i,0.0024994+0.023974i,-0.0078715+0.002602i,-0.010373-0.00062287i,-0.013589-0.0024974i,0.0024081+0.00054531i,0.0068901+0.011612i,-0.0019259+0.0085699i,-0.0069291-0.010998i,0.0050681-0.0070501i,-0.0065684-0.006745i,0.0017175-0.0062301i,0.0038191-0.0043203i,-0.0015085+0.0097251i,0.010029-0.0049422i,0.0047806-0.0057895i,0.0028646-0.006177i,0.003103-0.00055452i,-0.0012928-0.0046756i,-0.003972-0.0011841i,0.0025418-0.00020459i,-0.0092874+0.025653i,-0.0044148-0.0035762i,0.0021569+0.00017258i,0.00041902-0.0068803i,0.0024823-0.0016598i,-0.015775-0.0038128i,0.00057858+0.00029878i,0.0048635-0.0029203i,0.0026676-0.0011098i,0.00052796-0.004791i,0.0002369+0.0056528i,-0.00077594+0.0059368i,-0.0032581+0.004644i,-0.012074+0.0023061i,-0.014952-0.0016216i,-0.038266+0.05558i,0.00057215+0.005346i,-0.025013-0.016565i,-0.0071251-0.005931i,0.0093171+0.0203i,-0.002193+0.02282i,-0.00081497-0.0005637i
0.010831+0.017405i,0.022864+0.045689i,0.029765+0.030004i,0.022046+0.024522i,0.030027+0.022355i,0.028802-0.020041i,0.014485-0.012085i,0.029178+0.0002769i,0.01334+0.010662i,0.0039907+0.0029881i,0.0054967+0.0015682i,0.0042465+0.00291i,0.0059672+0.0015992i,0.0055051+0.0021668i,0.0018724-0.0038184i,0.0067738-0.0023996i,0.0059434-0.0063291i,-0.0010709-0.0010853i,-0.0026776+0.0011416i,0.00063811+0.0005081i,-0.0012784-0.0002602i,-0.002332+0.0018094i,-0.0016602+0.0010566i,0.0083552+0.0052659i,0.0013921+0.0012295i,0.0029065-0.0004729i,0.0019954+0.00014009i,0.0016374+0.00081385i,0.00028108+8.4651e-05i,-0.00013202+0.00085717i,-0.0029401-0.0014441i,-0.0011494-0.00051401i,-0.0009038+0.0011554i,-0.00090731+0.00052969i,-0.0015996-0.0005736i,-0.0039798+0.0089539i,0.001027-0.00010272i,0.00097368-0.00088797i,0.00049797+0.0021206i,-0.0013927-0.0027321i,-0.0011839+0.00044941i,-0.002279+0.00023955i,0.0017021+0.00088982i,0.0073023+0.0027006i,-0.0071796+0.035894i,-0.069365+0.048269i,-0.046855+0.046847i,-0.027173+0.062974i,-0.0024667+0.069992i,0.0021546+0.049191i,0.010682+0.031335i,-0.0033565-0.005944i,-0.036661+0.014013i,-0.035293+0.021059i,0.0080549+0.021526i,-0.0081191+0.0048701i,-0.0097118+0.0048975i,-0.013226+0.0017452i,0.0013362-0.00076521i,0.0094185+0.0099963i,0.0023701+0.01151i,-0.012146-0.009007i,0.00043053-0.0074838i,-0.0060929-0.002838i,-0.0015501-0.0057875i,0.0013762-0.0057687i,0.0027416+0.0073634i,0.0062161-0.0074653i,0.00081901-0.006193i,-0.00019068-0.0039058i,0.0036966-0.0016167i,-0.0026095-0.0039023i,-0.0020938+0.0014065i,0.0029407-0.00059573i,0.0039838+0.0258i,-0.0051545-0.0027871i,0.0026667-0.0018679i,-0.0026402-0.0063693i,0.0026524-0.0025523i,-0.01482+0.0034764i,0.00090601+0.0006175i,0.0032755-0.0024559i,0.0027876-0.0022673i,-0.00084101-0.0048339i,0.0019101+0.0022576i,0.0017839+0.0049261i,-0.00037107+0.0058601i,-0.010578+0.0059478i,-0.016062+0.0015453i,-0.027774+0.056717i,0.00091713+0.0060573i,-0.028604-0.011437i,-0.0091827-0.009053i,0.012641+0.01906i,0.002257+0.024455i,-0.0030596-0.0016877i
0.012183+0.014422i,0.028962+0.039224i,0.035301+0.023464i,0.027518+0.01984i,0.035664+0.016741i,0.024259-0.025383i,0.011171-0.014975i,0.029082-0.0054707i,0.015087+0.0082524i,0.004122+0.0015997i,0.0054061-0.00019166i,0.0048997+0.0027241i,0.0059239+2.121e-05i,0.005822+0.00042085i,0.00070759-0.0039409i,0.0054099-0.0034401i,0.003734-0.0070943i,-0.0014323-0.0011513i,-0.0023896+0.0017295i,0.00048642-0.00053033i,-0.0018366-0.00022555i,-0.0016601+0.002392i,-0.001514+0.0012059i,0.0090927+0.00080247i,0.0021256+0.00062489i,0.0021953-0.0016461i,0.0015757-0.00064001i,0.0019468-0.00012631i,0.0002454+0.00023169i,-6.1506e-05+0.0010713i,-0.0032482+5.5348e-05i,-0.0017928+0.00030854i,-0.00025981+0.001502i,-0.00061768+0.00081266i,-0.0012803+0.00057442i,-0.0011097+0.0093292i,0.00076653-0.00021616i,0.00054913-0.0012351i,0.0010718+0.0014649i,-0.0021808-0.0020897i,-0.0011011+0.00061786i,-0.0019291+0.0010696i,0.001892+0.001218i,0.007978+0.0011248i,0.00086439+0.036018i,-0.05677+0.058987i,-0.038456+0.054885i,-0.016053+0.063893i,0.012061+0.063027i,0.011805+0.047073i,0.010427+0.02782i,-0.0086192-0.0063272i,-0.035979+0.018224i,-0.028786+0.019325i,0.012521+0.017008i,-0.0074308+0.0069056i,-0.0076233+0.0079354i,-0.012279+0.0047407i,-0.00050421-0.0024527i,0.011768+0.0073076i,0.0075339+0.010847i,-0.015973-0.005063i,-0.0015995-0.0050723i,-0.0052055-0.00024573i,-0.003273-0.0038773i,-0.0013368-0.0048958i,0.0049254+0.0063686i,0.0033804-0.0076799i,-0.002692-0.0043674i,-8.2877e-06-0.001521i,0.0033558-0.003906i,-0.0042984-0.002698i,-0.00029831+0.0011845i,0.0023665-0.001484i,0.014766+0.019697i,-0.0064617-0.0011752i,0.0023058-0.0030479i,-0.0032844-0.0044979i,0.002804-0.0038302i,-0.01023+0.0087086i,0.0022549+0.00058235i,0.0023775-0.0032073i,0.0017031-0.0025311i,-0.00232-0.0037043i,0.0007048+0.0014782i,0.0032719+0.0031964i,0.0023183+0.0054848i,-0.0084705+0.0083352i,-0.016172+0.006154i,-0.019572+0.056019i,0.0045737+0.0058327i,-0.0302-0.0059509i,-0.012273-0.011024i,0.017015+0.015473i,0.008128+0.025279i,-0.0052388-0.0010897i
0.012961+0.012068i,0.032432+0.033083i,0.037875+0.015515i,0.031198+0.012682i,0.03951+0.0086855i,0.018282-0.029163i,0.0071199-0.016681i,0.027161-0.011195i,0.01671+0.0052587i,0.003771+0.00084021i,0.0046266-0.00093216i,0.0057215+0.0018659i,0.0051108-0.0010004i,0.0052766-0.001118i,-0.00055699-0.0037846i,0.0040146-0.0039364i,0.0015377-0.006969i,-0.0015817-0.00066401i,-0.0013548+0.0021807i,-0.00036916-0.00088969i,-0.0021383+0.00061476i,-0.0009901+0.0028841i,-0.0013383+0.001546i,0.007642-0.002644i,0.0020065-0.00031397i,0.0011222-0.001859i,0.0010193-0.00091363i,0.0013749-0.0010235i,0.00033407+6.3095e-05i,0.00026784+0.0013417i,-0.0028781+0.0016447i,-0.0013256+0.0012865i,0.00040773+0.0012786i,-0.00036124+0.00096465i,-0.0007317+0.0010891i,0.0017895+0.0088924i,0.00067865-0.00047411i,-5.3819e-06-0.0014345i,0.001084+0.0010946i,-0.0026935-0.0012434i,-0.00090964+0.00094446i,-0.001542+0.001519i,0.0025742+0.0012271i,0.008095-0.0005913i,0.0083293+0.032881i,-0.041653+0.066655i,-0.029201+0.060567i,-0.0071138+0.063318i,0.024225+0.052041i,0.021412+0.041169i,0.0093474+0.026259i,-0.01456-0.0039648i,-0.034104+0.023796i,-0.024967+0.016601i,0.015483+0.011193i,-0.0058804+0.0095483i,-0.0044344+0.011308i,-0.010883+0.0076801i,-0.0041928-0.0016344i,0.013812+0.0030819i,0.011916+0.0077171i,-0.018455+0.0004032i,-0.0022436-0.0036122i,-0.0032238+0.0011062i,-0.003881-0.0013946i,-0.0027021-0.003477i,0.0068199+0.0031201i,0.00084631-0.0073984i,-0.0042236-0.0003978i,0.0012005-0.00069654i,0.0013477-0.0055721i,-0.0047374-0.00041445i,0.0011441+0.0012356i,0.0021797-0.0020441i,0.020581+0.0097176i,-0.0066478+0.0019904i,0.0017399-0.004357i,-0.0037954-0.0026378i,0.0013258-0.005852i,-0.0047971+0.01004i,0.0032527-0.00090437i,0.0012441-0.0027206i,0.0011346-0.0023932i,-0.0024332-0.0020194i,0.00050485+0.0017086i,0.0032379+0.0012311i,0.0046225+0.0042997i,-0.0059304+0.0096221i,-0.014362+0.010748i,-0.01235+0.056466i,0.010877+0.0013599i,-0.029294-0.00034256i,-0.017922-0.011389i,0.01816+0.01033i,0.01501+0.023523i,-0.0051525-0.00021429i
0.014218+0.010146i,0.035728+0.028077i,0.038874+0.0085756i,0.032435+0.0052646i,0.040731+6.7941e-05i,0.012402-0.031441i,0.0031736-0.016691i,0.024177-0.015876i,0.017856+0.001721i,0.0034365+0.00028404i,0.0040849-0.0013662i,0.0063358+0.00057488i,0.004538-0.0012602i,0.0044211-0.0022376i,-0.0016276-0.0029221i,0.0028235-0.0038591i,-0.00022803-0.0063331i,-0.001917-0.00020885i,-0.0007726+0.0019983i,-0.0011238-0.00065009i,-0.0019093+0.0013098i,0.0001489+0.0031256i,-0.00099183+0.0020192i,0.0053416-0.0048247i,0.001486-0.00078486i,0.00048071-0.0018368i,0.00059834-0.001058i,0.00058739-0.001256i,0.00015122-7.4953e-06i,0.00089857+0.001327i,-0.0016608+0.00266i,-0.00058546+0.0016954i,0.00078735+0.00089696i,5.967e-05+0.0012316i,5.1056e-05+0.0013845i,0.0041964+0.0075732i,0.0003411-0.00052829i,-0.00063281-0.0013082i,0.0013852+0.00077045i,-0.0028044-0.00032919i,-0.00050722+0.00098554i,-0.00101+0.001816i,0.0031415+0.00061452i,0.0072893-0.0026893i,0.013362+0.028292i,-0.025532+0.069526i,-0.017508+0.065025i,0.0022662+0.062878i,0.030078+0.038843i,0.027593+0.033569i,0.0098295+0.027601i,-0.017719+0.0025093i,-0.031012+0.031042i,-0.02471+0.014638i,0.014337+0.0053642i,-0.0026287+0.011527i,0.0009523+0.011773i,-0.0086189+0.010304i,-0.0054651+0.0016154i,0.013399-0.0029136i,0.014579+0.0028138i,-0.018674+0.0064482i,-0.0023277-0.0016099i,-0.0022314+0.0014399i,-0.0026063+0.00020264i,-0.0040288-0.0013659i,0.0066237+0.00042931i,-0.0011397-0.0062935i,-0.0025896+0.0028708i,0.002563-0.0013476i,-0.0011512-0.00584i,-0.0035646+0.0012273i,0.0022434-4.0444e-05i,0.0017636-0.0023573i,0.020844-9.6983e-05i,-0.0043469+0.0044894i,3.5812e-05-0.0053912i,-0.0030806-0.0015488i,-0.00085029-0.0063144i,-0.00067995+0.0091573i,0.002881-0.0026317i,0.0012203-0.0016879i,0.0012261-0.0022988i,-0.0014049-0.0014038i,0.0011045+0.001905i,0.0021909+0.00011358i,0.0055078+0.0016976i,-0.003441+0.0094643i,-0.010572+0.015236i,-0.0043438+0.056172i,0.012409-0.0091934i,-0.025966+0.0017852i,-0.023634-0.0089345i,0.018752+0.0056228i,0.020672+0.017289i,-0.0058824-0.00077667i
0.015562+0.0076121i,0.039138+0.022473i,0.039673+0.001565i,0.032256-0.0021345i,0.040448-0.0082115i,0.0062209-0.032822i,0.00035745-0.016055i,0.020732-0.019795i,0.01824-0.0024425i,0.0029175-0.00010252i,0.0039961-0.0017385i,0.0065297-0.0008434i,0.0048422-0.0016881i,0.0034083-0.0030238i,-0.0021555-0.0020182i,0.0020923-0.0035415i,-0.0012554-0.0057808i,-0.0016746+0.00035322i,-0.00031473+0.0019797i,-0.0014591-6.3775e-05i,-0.0013196+0.0017868i,0.0014323+0.0026517i,-0.00026795+0.0022895i,0.0023889-0.005757i,0.0012148-0.001007i,-0.00016392-0.0017689i,0.00017205-0.0011804i,1.601e-05-0.0011613i,6.7609e-05+8.6014e-05i,0.0014084+0.00080551i,-0.00032035+0.0029695i,0.0001615+0.0017424i,0.00089373+0.00053111i,0.00064169+0.0010693i,0.00073368+0.0007533i,0.0055884+0.0056612i,0.00014659-0.00046841i,-0.001037-0.0008896i,0.0013326+0.00019346i,-0.0025388+0.00031033i,-0.00030275+0.00089362i,-0.00027037+0.0018198i,0.0034008-6.0405e-05i,0.0061478-0.004015i,0.016743+0.023206i,-0.010794+0.068088i,-0.004087+0.065283i,0.012078+0.06086i,0.032072+0.026916i,0.031313+0.025755i,0.013019+0.02942i,-0.016134+0.010472i,-0.023829+0.039404i,-0.025681+0.015671i,0.012059+0.0022489i,0.0013314+0.011485i,0.0048355+0.009881i,-0.0056088+0.012421i,-0.0047006+0.0040017i,0.0096481-0.0085964i,0.014178-0.0033422i,-0.016678+0.011419i,-0.0013043-0.00062856i,-0.0012456+0.0012361i,-0.0015271+0.00042786i,-0.0033223+0.0014646i,0.0053093-0.0011038i,-0.0021824-0.0045675i,0.00055483+0.004079i,0.0027205-0.003069i,-0.0033231-0.0045914i,-0.0025533+0.0019243i,0.0022695-0.0013284i,0.0016664-0.0026062i,0.017197-0.0081346i,-0.0016218+0.0051977i,-0.0020439-0.0051499i,-0.0027088-0.0011405i,-0.0029648-0.0057565i,0.0018981+0.0074822i,0.0022347-0.0037207i,0.0023372-0.0018863i,0.0011643-0.0032779i,-0.00071133-0.0018871i,0.0015101+0.0021239i,0.0011798+0.00067872i,0.0050144-6.8091e-05i,-0.0021719+0.0087565i,-0.0049134+0.017201i,0.0038885+0.05464i,0.006788-0.018152i,-0.024472+0.00054161i,-0.028906-0.0030721i,0.017022-0.00052827i,0.022333+0.010623i,-0.0070803+6.8401e-05i
0.016759+0.004791i,0.041522+0.016137i,0.038522-0.0065876i,0.029797-0.0098563i,0.03864-0.017018i,-0.00029539-0.032653i,-0.0018198-0.015343i,0.01668-0.02334i,0.017285-0.0065338i,0.0025064+0.00017298i,0.0035235-0.0023155i,0.0063451-0.0028159i,0.0046477-0.002861i,0.0021894-0.0034615i,-0.002416-0.0010365i,0.001692-0.0033987i,-0.0026417-0.0051335i,-0.0017253+0.00073922i,0.0004128+0.0017655i,-0.0018315+0.00060784i,-0.00089597+0.0019676i,0.0022787+0.0016124i,0.00035816+0.002252i,-0.00067012-0.0052567i,0.0007096-0.001755i,-0.00080953-0.0012659i,-0.0003293-0.0011438i,-0.00034671-0.00080903i,0.00025462+0.00013518i,0.0013937+8.6777e-05i,0.0011206+0.0026438i,0.00079476+0.0015929i,0.00084328+0.00022932i,0.0010012+0.00072313i,0.00064448-4.1905e-06i,0.0062521+0.0038825i,-5.4448e-05-0.00037706i,-0.0013105-0.0004892i,0.0013345-0.00011405i,-0.0020689+0.00078505i,-0.00019327+0.00092157i,0.00020737+0.0015894i,0.0035064-0.001029i,0.00444-0.0050236i,0.018812+0.018385i,0.0018769+0.064287i,0.0077119+0.061343i,0.021659+0.056952i,0.030523+0.016742i,0.033086+0.018989i,0.018523+0.029519i,-0.0095586+0.015681i,-0.012236+0.044626i,-0.025955+0.019227i,0.010001+0.00071659i,0.0045125+0.0098082i,0.0070039+0.0067023i,-0.0019017+0.013177i,-0.0039967+0.0054344i,0.0026041-0.010859i,0.010607-0.0080057i,-0.013154+0.015472i,-0.00039695-0.0012633i,-0.00091939+0.00063255i,-0.0012316+0.00028597i,-0.00085958+0.002976i,0.0040925-0.0011544i,-0.0024192-0.0035882i,0.0030162+0.0030969i,0.0014279-0.004934i,-0.0043963-0.0027598i,-0.0012557+0.0023644i,0.0014881-0.0025395i,0.0011915-0.003564i,0.011257-0.012713i,0.0005572+0.0048173i,-0.0032826-0.0040504i,-0.0023055-0.0011216i,-0.0044859-0.0046692i,0.0036239+0.0057396i,0.0014077-0.0051298i,0.0026342-0.0031352i,-9.3659e-05-0.0038044i,-0.0014427-0.002718i,0.0026859+0.0022986i,0.0012321+0.0018853i,0.0044287-0.0011224i,-0.0012791+0.0087803i,0.00020653+0.016401i,0.011911+0.052603i,-0.0019835-0.023413i,-0.026875-0.00054712i,-0.030476+0.0053334i,0.011289-0.0042988i,0.022681+0.0048572i,-0.0067295+0.00077756i
0.017617+0.0013157i,0.043445+0.010185i,0.035048-0.013423i,0.02458-0.015707i,0.033962-0.025149i,-0.0059625-0.030854i,-0.003528-0.014504i,0.011814-0.025795i,0.015665-0.010272i,0.002935+0.00061464i,0.003124-0.0024774i,0.0050006-0.0046015i,0.0040029-0.0038777i,0.0011619-0.0033745i,-0.0021665-0.00013292i,0.0012433-0.0031509i,-0.0042863-0.0035411i,-0.0014562+0.0014171i,0.00071092+0.0011031i,-0.0016373+0.0017568i,-0.00029725+0.00231i,0.0023021+0.00039612i,0.00097505+0.0020985i,-0.0027021-0.0033596i,-0.00060483-0.0016564i,-0.0010095-0.00069704i,-0.00071455-0.00088631i,-0.00054641-0.00046318i,0.0002761-0.00012423i,0.0011563-0.00039805i,0.0021504+0.0017267i,0.0012847+0.0010987i,0.0008058+1.1853e-05i,0.0011891+0.00030915i,0.00010433-3.9172e-06i,0.0063628+0.0020716i,-0.00014218-0.0002083i,-0.0014926+0.00011342i,0.0011353-0.00039675i,-0.0014704+0.0011552i,6.1882e-06+0.0011092i,0.00044527+0.0011863i,0.0029837-0.0021088i,0.0026566-0.0051125i,0.019705+0.013646i,0.012773+0.058172i,0.016273+0.055893i,0.030535+0.051473i,0.027362+0.0096902i,0.033573+0.012683i,0.024235+0.027131i,-0.0024696+0.016208i,0.00079618+0.044885i,-0.02375+0.024155i,0.0091069-8.1865e-05i,0.006998+0.0073563i,0.007423+0.0038571i,0.0020273+0.012556i,-0.0026235+0.0072826i,-0.0037516-0.0088076i,0.0061699-0.0096851i,-0.0082977+0.018238i,-0.00092616-0.0023733i,-0.0014422+0.0005271i,-0.0011549+0.00046106i,0.0016748+0.0026143i,0.0034919-0.0013055i,-0.0029689-0.0027802i,0.004277+0.0011261i,-0.0013659-0.0057788i,-0.0043406-0.00091689i,0.00010302+0.001789i,0.00081122-0.0032401i,0.00011228-0.0047517i,0.0051376-0.014018i,0.0022546+0.0039117i,-0.0041256-0.0030913i,-0.0029081-0.0013098i,-0.0058812-0.003009i,0.0040714+0.0042409i,-0.00066288-0.0063708i,0.0023415-0.0046618i,-0.0011953-0.0032583i,-0.0020812-0.0027609i,0.0035538+0.0017677i,0.0021556+0.0024293i,0.0032331-0.0018787i,-0.00025669+0.0091856i,0.004112+0.014073i,0.020966+0.049477i,-0.012422-0.025088i,-0.030497+0.00129i,-0.027698+0.013363i,0.0062512-0.0038193i,0.020742-0.0013821i,-0.0061214-0.00025225i
0.017542-0.0028157i,0.044964+0.0029864i,0.031096-0.018498i,0.019236-0.018662i,0.027904-0.031491i,-0.010464-0.028558i,-0.0047174-0.01408i,0.0070477-0.027279i,0.013165-0.013741i,0.0037664+0.00016255i,0.0030476-0.0029952i,0.0032466-0.005378i,0.0029651-0.0050437i,0.00041238-0.0031896i,-0.0016856+0.00046539i,0.0010385-0.0027012i,-0.0047477-0.0013228i,-0.00084592+0.0014484i,0.0005794+0.00055533i,-0.0007444+0.0023218i,0.00043846+0.0022863i,0.0019589-0.00040143i,0.0015852+0.0016706i,-0.003553-0.0009045i,-0.0011887-0.00084566i,-0.00098967-0.00028611i,-0.0009304-0.00058808i,-0.00055626-0.0001349i,1.6396e-05-5.5622e-05i,0.0007725-0.00077452i,0.0027642+0.00050792i,0.001358+0.00064359i,0.00081286-0.00021421i,0.0013265-5.8887e-05i,3.4966e-05+0.00038904i,0.005863+0.00054831i,-0.00023356+2.592e-05i,-0.00133+0.00076665i,0.00091384-0.00072014i,-0.00073292+0.0013148i,0.0004341+0.0010425i,0.00057019+0.00081116i,0.0019789-0.0027611i,0.0012078-0.0047105i,0.019745+0.009475i,0.020132+0.050205i,0.023035+0.050818i,0.038014+0.043776i,0.023953+0.0045934i,0.033117+0.0083829i,0.029253+0.023516i,0.003202+0.015043i,0.012181+0.041051i,-0.019556+0.028992i,0.0086702-0.0013943i,0.0084569+0.0039075i,0.0076997+0.0015895i,0.0055839+0.010417i,0.00013898+0.0078958i,-0.0073488-0.0047689i,0.002038-0.0098176i,-0.0023759+0.018353i,-0.0026187-0.0024164i,-0.0024415+0.0017493i,-0.0010064+0.00068969i,0.0031098+0.0011191i,0.0031389-0.0004509i,-0.003126-0.001731i,0.0042069-0.00071078i,-0.0038161-0.0044215i,-0.0033781+0.00031463i,0.00046803+0.00065069i,2.0185e-07-0.0041197i,-0.0018686-0.0048718i,0.00020698-0.013178i,0.0037068+0.0021484i,-0.0052087-0.0018189i,-0.0035187-0.00027452i,-0.0060319-0.00039064i,0.0046622+0.0034406i,-0.0035518-0.0061901i,0.0013814-0.0063147i,-0.0018001-0.0028291i,-0.0027562-0.0031081i,0.0042558+0.0010695i,0.0033061+0.0022399i,0.0021615-0.0013171i,0.0011607+0.0090749i,0.0063171+0.010941i,0.02961+0.043601i,-0.023371-0.021953i,-0.0334+0.0050684i,-0.022181+0.018105i,0.0040159-0.0022929i,0.016103-0.005723i,-0.0082792-0.00098909i
0.016058-0.0067319i,0.044952-0.0049708i,0.027004-0.022867i,0.014739-0.020271i,0.02101-0.03626i,-0.014767-0.026026i,-0.0062245-0.01452i,0.002174-0.028155i,0.0098129-0.016399i,0.004272-0.00069173i,0.0027807-0.0038951i,0.0015102-0.0054802i,0.0012269-0.0058144i,-0.00022238-0.0030134i,-0.0013192+0.00060155i,0.0011655-0.002531i,-0.004271+0.00053205i,-0.00052084+0.0013057i,0.00045092+0.00037138i,0.00010229+0.0024134i,0.0010372+0.0020433i,0.0015025-0.00086551i,0.0019069+0.00097799i,-0.0028518+0.0014462i,-0.001112-0.00016355i,-0.00088741+0.00016872i,-0.0010543-0.0002528i,-0.00052858+3.3764e-05i,8.6444e-05+0.00010889i,0.00014677-0.00086728i,0.0027635-0.0008987i,0.0014713+0.0003262i,0.00065647-0.00045193i,0.0012539-0.00069293i,0.00033548+0.00062643i,0.0053263-0.00052717i,-9.141e-05+0.00013236i,-0.00089175+0.0012905i,0.00036983-0.00080492i,5.7918e-05+0.0011109i,0.00074585+0.0008413i,0.00053463+0.00061648i,0.00090665-0.0027079i,0.00022124-0.0036937i,0.019302+0.00599i,0.024401+0.043747i,0.029463+0.045531i,0.042697+0.036046i,0.020048+0.00036948i,0.034209+0.0049304i,0.033582+0.018543i,0.0089179+0.012188i,0.022193+0.033771i,-0.012113+0.032375i,0.0079023-0.0029874i,0.0078538-0.00050267i,0.0076323-0.0010692i,0.0074087+0.0069975i,0.0019352+0.0072082i,-0.0086508+0.00047826i,-0.001723-0.0085353i,0.0016589+0.015535i,-0.0039347-0.0010898i,-0.0020072+0.0038375i,-0.00085182+0.0010072i,0.0038273-0.00082753i,0.0043391+0.0006027i,-0.0027146-0.0010309i,0.0036821-0.0011866i,-0.0047453-0.0025549i,-0.002399+0.00068164i,9.6941e-05+0.0002152i,-0.0020336-0.0046482i,-0.0034842-0.0037923i,-0.0038383-0.011784i,0.0040254-6.9868e-05i,-0.0055029+9.863e-07i,-0.0028515+0.0008259i,-0.005278+0.0014709i,0.0057093+0.0026124i,-0.0058392-0.0042142i,-0.0011636-0.0075474i,-0.0025603-0.0021651i,-0.0044142-0.0026976i,0.0052346-0.00059576i,0.0044577+0.0020468i,0.0024793-0.00079315i,0.0028384+0.0090735i,0.0068098+0.0078027i,0.036736+0.035623i,-0.03054-0.013333i,-0.035885+0.011041i,-0.016474+0.020906i,0.0022852-0.00025108i,0.011706-0.0064423i,-0.0096497-0.00012633i
