-0.030587-0.03918i,-0.022018-0.019288i,-0.012992-0.035875i,-0.029607-0.020368i,-0.022325-0.00044021i,-0.013643-0.0058468i,-0.055671-0.058969i,-0.04713-0.017535i,-0.038093-0.014042i,0.010922+0.011966i,-0.007978+0.0054666i,-0.019325+0.019012i,0.0026519+0.01141i,-0.0062531-0.0034038i,0.00028625+0.0011425i,-0.0014785+0.030393i,0.027583+0.028144i,0.0023397-0.0022045i,-0.0024763-0.0066338i,0.0081567+0.002368i,0.0031769+0.0011613i,0.00040711+0.0035814i,-0.00025786+0.00024101i,-0.037099-0.011722i,2.0842e-05-0.0078485i,0.0014075+0.0022574i,0.0060846+0.0013914i,0.0019451+0.00040931i,0.0012878-0.00068238i,-0.00036762-0.0024359i,0.0015717-0.0026613i,-0.0026559-0.0055893i,-0.00031866-0.0046968i,0.0029262-0.00085043i,0.0044459-0.0027474i,0.0023454+0.030145i,0.0039502-0.0034301i,0.0030928-0.0017313i,0.0082317-0.0012606i,-0.0052047-0.002289i,-0.00022141+0.0011549i,0.0095268+0.00024467i,0.0039652-0.00276i,-0.0015918+0.009466i,-0.018116-0.0066207i,-0.018639+0.0154i,-0.0033843-0.061403i,-0.0050687-0.027334i,-0.026742-0.032282i,-0.011024-0.027127i,0.054949-0.020635i,0.016545-0.043089i,0.022543-0.048632i,0.0056946-0.055319i,0.02556-0.020951i,0.0082369+0.0060009i,0.025132-0.034483i,-0.0083303-0.0063406i,0.0040821-0.0053671i,-0.0041897-0.0075041i,-0.0021133-0.032925i,-0.018414+0.029834i,0.0081123-0.012233i,-0.0091913-0.0038687i,-0.0041523-0.001731i,0.0010087-0.012735i,-0.011036+0.0041019i,0.0026893+0.010115i,-0.0053969+0.026705i,0.0046703+0.0023829i,-0.0053162-0.0020341i,-0.0021115-0.0018109i,-0.012162-0.0072365i,-0.00062235-0.0040343i,-0.03571+0.0015708i,0.00040403-0.010439i,-0.0084947-2.6139e-05i,-0.0065609-0.0021787i,0.0052629+0.00086801i,-0.0083343-0.0004784i,0.0013885-0.0007424i,0.0038083+0.0071234i,0.0040767+0.00046714i,-0.0085408-0.012901i,0.0027501+0.0093459i,-0.015185+0.0046441i,0.0070262+0.00057754i,-0.022348+0.00030936i,-0.017283+0.0056844i,-0.007295-0.064155i,0.0078026-0.013373i,-0.049682-0.022853i,-0.02169+0.0011145i,0.017422+0.011357i,-0.022724+0.014714i,-0.019263-0.0051909i
0.02942+0.033635i,0.01328+0.01536i,0.017544+0.024731i,0.0065208+0.019307i,0.0085565+0.0070348i,0.0045932-0.00095608i,0.015417+0.012201i,0.015892-0.0020681i,0.0072894-0.0082432i,0.0014675+0.0035498i,0.0021128-0.0022072i,0.00059974-0.0052253i,-0.0018062+0.00077228i,0.0011798-0.0015785i,0.0019381-0.00061444i,0.0053738-0.0026628i,0.0055958-0.0071599i,0.00017022+0.0004687i,-0.0035789+0.00084665i,4.9692e-05+0.00064419i,-0.00087746-0.0011679i,-0.0026105-0.001002i,-0.0015823+0.00081064i,0.0062252+0.0097632i,-0.0013698+0.0021488i,0.0009074+0.0017705i,0.001249+0.00096194i,-0.0017808+0.0027512i,-0.0010777+0.00016119i,-0.0010846+0.00070446i,-0.0011675-0.00080136i,-0.001759-0.00061521i,-8.1683e-05+0.00037007i,0.00059237+0.00063634i,-7.1229e-05-0.00049749i,-0.0090195+0.010623i,0.0016001+0.00028121i,0.00074134+0.00085662i,0.00075961+0.0025031i,0.0007998-0.0011373i,-0.00025436-0.00052912i,-0.00098754-0.00047647i,0.00013278+0.0013142i,0.0001888+0.0018911i,0.018929+0.013697i,-0.022735+0.013918i,-0.011854+0.017161i,-0.02206+0.011568i,-0.0038857+0.038269i,-0.020111+0.018013i,0.002682-0.0041341i,-0.011722-0.016704i,-0.018968+0.00015741i,-0.0065025+0.015615i,0.017637+0.021116i,-0.0001708+0.0023742i,-0.0038826+0.0011331i,-0.012834-0.0044648i,0.011389+0.001361i,0.012327+0.0097762i,-0.00047255+0.0055071i,-0.0051719-0.0067446i,0.0063146-0.0023153i,-0.0031076-0.0042424i,0.0036924-0.0085061i,0.0087909-0.0028095i,-0.0013794+0.010237i,0.012324-0.0065512i,0.0038229-0.00703i,0.0033561-0.0077744i,0.0023387+0.0005755i,-0.0023031-0.0057861i,-0.003358-0.0016102i,0.0027149-0.00014213i,-0.0085666+0.036418i,-0.0068348-0.005472i,0.0002978+0.0011216i,-0.0013286-0.0070685i,0.0030945-0.00027952i,-0.017853-0.0055941i,-0.0022335-0.0030003i,0.0030237-0.0021494i,0.003269-0.0014262i,-0.003293-0.0066085i,0.00031499+0.0075316i,0.00025388+0.0033798i,-0.0033154+0.0041899i,-0.0072967+0.0018133i,-0.0057126+0.00036505i,-0.011022+0.028798i,-0.0018666+0.014677i,-0.026369-0.010318i,-0.001329-0.0025871i,0.013039+0.017044i,-0.00061761+0.018552i,-0.00035106-0.0044833i
0.034193+0.027016i,0.016032+0.011795i,0.021635+0.021657i,0.00982+0.018825i,0.010564+0.0057728i,0.0047203-0.0023587i,0.015467+0.008593i,0.015287-0.0046503i,0.0052202-0.0094611i,0.0023928+0.0026842i,0.001997-0.0024483i,-0.0013603-0.0035963i,-0.0012845+0.0014403i,0.00090133-0.00050742i,0.0017752-0.00094281i,0.0041455-0.0030222i,0.0029997-0.0077237i,0.00063389+0.00046032i,-0.003115+0.0012677i,0.00037361+6.7785e-05i,-0.0010121-0.0013099i,-0.0027156-0.00040703i,-0.0012217+0.00095289i,0.011316+0.0063184i,-0.00093433+0.003293i,0.0017684+0.0012025i,0.001117+5.8454e-05i,-0.00057397+0.002959i,-0.0015296+0.0006591i,-0.00078693+0.0012267i,-0.0015108-0.00010309i,-0.0021245-0.00041204i,-0.00019537+0.00025075i,0.00069704+0.00037509i,-0.0006385+0.00040839i,-0.0049257+0.012237i,0.0012665-0.00035962i,0.00096376+0.00066952i,0.0013038+0.0018683i,0.00038837-0.0010246i,-0.00042903-0.0007235i,-0.0012726-0.00016556i,0.00020262+0.0014065i,0.0002587+0.002238i,0.021914+0.01068i,-0.017754+0.016818i,-0.010618+0.019985i,-0.017288+0.013081i,0.007773+0.03427i,-0.01276+0.018063i,-0.0041555-0.0076434i,-0.019298-0.01758i,-0.02155+0.00057091i,3.1293e-05+0.010535i,0.021355+0.013921i,-0.00072537+0.0022419i,-0.0025609+0.0046367i,-0.012703+0.00011135i,0.0099742-0.0029733i,0.01386+0.0063447i,0.0023261+0.0079377i,-0.0090181-0.0049262i,0.0024159-0.0043884i,-0.0032539-0.0020259i,-0.0015399-0.0080635i,0.0068972-0.0053377i,0.0033369+0.0083391i,0.0072446-0.0090482i,-0.00061345-0.0071169i,-0.00062649-0.0053529i,0.0036489-0.00015232i,-0.0038552-0.0050238i,-0.0019073+0.00064975i,0.0033257-0.00075858i,0.010128+0.034275i,-0.0085393-0.0033315i,0.0010908+0.00037975i,-0.004182-0.0056581i,0.0040556-0.0017545i,-0.018129+0.0028323i,-0.0025539-0.0019121i,0.0018225-0.002244i,0.0033408-0.0029295i,-0.0049725-0.0049711i,0.0025768+0.0037901i,0.0015681+0.0026345i,-0.00067876+0.0056526i,-0.0054593+0.0044062i,-0.0061521+0.0013274i,-0.0044906+0.026252i,0.00086029+0.01581i,-0.028361-0.0042054i,-0.0031621-0.0063981i,0.015216+0.014821i,0.0026767+0.0196i,-0.0026924-0.0049576i
0.037195+0.019715i,0.01732+0.0070519i,0.026118+0.016269i,0.014446+0.016053i,0.012765+0.0037925i,0.0043925-0.0040649i,0.01487+0.0050383i,0.014347-0.0075948i,0.0033937-0.0097149i,0.0024696+0.0018123i,0.0014616-0.0034551i,-0.0015101-0.0017187i,-0.00068278+0.0014812i,0.0016767-0.00045206i,0.0015356-0.0012388i,0.0030549-0.0034002i,0.0007094-0.007554i,0.00068648+2.3675e-05i,-0.0026843+0.0021123i,9.271e-05-0.00067025i,-0.001851-0.0016475i,-0.0023632+0.00023559i,-0.00099861+0.0010569i,0.012517+0.00020688i,0.00051858+0.0037735i,0.0018802+0.00019535i,0.00050474-0.00021687i,0.00060753+0.0026275i,-0.001186+0.0015513i,-0.00026553+0.0015485i,-0.0015104+0.00071221i,-0.0029708+0.00097748i,-0.00014618+0.00023953i,0.00069699+4.1148e-05i,-0.00032252+0.0012292i,-0.00099838+0.01243i,0.00085881-0.00048114i,0.0011864+0.00013255i,0.0015413+0.0012456i,-9.9493e-06-0.0010196i,-0.00079471-0.00085834i,-0.0012994+0.00019202i,0.00037029+0.0017596i,0.00084487+0.0024924i,0.025556+0.0066498i,-0.012896+0.018609i,-0.0072809+0.023239i,-0.011923+0.012503i,0.01812+0.026842i,-0.0061602+0.018192i,-0.011478-0.0067767i,-0.025904-0.01486i,-0.023304+0.0039889i,0.0029034+0.0037608i,0.021614+0.0059792i,-0.0011584+0.0021851i,-0.0010944+0.0047742i,-0.012481+0.0032408i,0.0062229-0.0073086i,0.014586+0.0019766i,0.0058758+0.0078848i,-0.011697-0.0019317i,0.00035379-0.0029094i,-0.0031672-0.00052694i,-0.0040965-0.0051948i,0.0047859-0.006594i,0.0060727+0.0071656i,0.0042524-0.008589i,-0.0043395-0.0044391i,-0.00091172-0.0024083i,0.0042098-0.0024157i,-0.0061681-0.0032318i,-0.00016395+0.00065183i,0.0028248-0.0020604i,0.023452+0.023655i,-0.0098754+0.00029055i,0.0016184-0.00026625i,-0.0040487-0.0036608i,0.0042-0.0038186i,-0.013395+0.0098139i,-0.0022776-0.00094875i,0.00073987-0.0024413i,0.0018849-0.0038073i,-0.0064567-0.0026184i,0.0018679+0.0026129i,0.0022673+0.0014789i,0.0020763+0.0054864i,-0.0033137+0.0051013i,-0.0063066+0.0029194i,-0.0011259+0.022786i,0.0079371+0.014921i,-0.02788+0.00010608i,-0.0059917-0.0088662i,0.017875+0.010185i,0.0075645+0.020242i,-0.0046239-0.0043257i
0.038209+0.012852i,0.016501+0.0034361i,0.027676+0.0093922i,0.017513+0.010999i,0.014297+0.00060951i,0.0032259-0.0055201i,0.013523+0.0025472i,0.012378-0.010318i,0.0020922-0.010045i,0.0022905+0.0014704i,0.00012758-0.0034128i,-0.00088382-0.00078507i,-0.00050698+0.001618i,0.0017041-0.00058106i,0.0010938-0.0014527i,0.0018848-0.0031577i,-0.0011951-0.0063659i,0.00064626-9.8172e-05i,-0.0013829+0.0027105i,-0.00061187-0.00086769i,-0.0024734-0.00065111i,-0.0022905+0.00068919i,-0.00078447+0.0011786i,0.010538-0.0047897i,0.0018919+0.0035473i,0.0014788-0.00038022i,0.0001173-8.3578e-05i,0.0011257+0.0019864i,-0.00044168+0.0017257i,0.00037535+0.0016176i,-0.001063+0.0014773i,-0.0021478+0.0024503i,-0.00014833+0.00023558i,0.00046473-0.00013199i,0.00035898+0.0014852i,0.0026406+0.011601i,0.00072476-0.00056656i,0.00096561-0.00044491i,0.0014315+0.0010361i,-0.00043813-0.00080245i,-0.0013284-0.0006476i,-0.0014793+0.00042421i,0.00090626+0.0020498i,0.0015979+0.0023513i,0.027796+0.00017901i,-0.0075988+0.01963i,-0.0023352+0.025439i,-0.0096412+0.0098178i,0.025906+0.015175i,0.00042337+0.014308i,-0.01794-0.0021087i,-0.032242-0.009313i,-0.023442+0.0087919i,0.0015352-0.0025197i,0.019788-0.00088293i,-0.0014662+0.0029951i,5.0764e-05+0.0064895i,-0.011607+0.0070943i,-8.1553e-05-0.007414i,0.013953-0.003077i,0.0093133+0.0060328i,-0.012757+0.0019828i,-0.00054862-0.0021051i,-0.0023634+0.00085198i,-0.0048397-0.0017392i,0.002755-0.007468i,0.0085529+0.0034801i,0.002178-0.0084352i,-0.0053054+8.0696e-06i,0.00011566-0.001149i,0.0028537-0.0045465i,-0.0066078+0.00016391i,0.00092884+0.00035987i,0.0018819-0.0029022i,0.029245+0.0093246i,-0.008694+0.004997i,0.0018536-0.0013276i,-0.0040718-0.0020056i,0.0023202-0.0062612i,-0.0071251+0.011978i,-0.0017053-0.00037952i,-6.8924e-05-0.0017495i,0.00042993-0.0039106i,-0.0058469+0.0006425i,0.0018669+0.0021794i,0.0020222+0.00034179i,0.0048095+0.0044i,-0.0012735+0.0044519i,-0.0059241+0.0044685i,0.00084085+0.0218i,0.015771+0.0077549i,-0.025952+0.0047447i,-0.011143-0.0097996i,0.017022+0.0056234i,0.013165+0.018205i,-0.0049441-0.0035447i
0.038743+0.0065606i,0.016096+0.0011953i,0.027623+0.0037712i,0.018779+0.0057796i,0.014578-0.0028121i,0.0019001-0.0063983i,0.012436+0.0013404i,0.0099532-0.012356i,0.00086389-0.010623i,0.0023695+0.0011188i,-0.00080878-0.0027322i,-0.00023416-0.00071308i,-0.00026855+0.0019806i,0.0017789-0.0010014i,0.00069522-0.0013584i,0.0014232-0.0023388i,-0.0019588-0.0052489i,0.00048057-0.00020392i,-0.00025085+0.0023093i,-0.001185-0.00060119i,-0.0025594-2.0273e-05i,-0.0017707+0.001264i,-0.000491+0.0013492i,0.0069375-0.0077731i,0.0030714+0.002831i,0.0011963-0.00073157i,-9.1922e-05+4.3286e-05i,0.0013874+0.0014477i,-1.1975e-05+0.0017036i,0.0010725+0.0013871i,-0.00020157+0.0018568i,-0.0010228+0.0031094i,-0.00026068+0.00025626i,0.0003569+7.079e-05i,0.0010622+0.0015234i,0.0054104+0.0098235i,0.00043058-0.00071791i,0.00048234-0.00073633i,0.0017009+0.00092116i,-0.00061449-0.00039653i,-0.001624-0.0003388i,-0.0014603+0.000894i,0.0016087+0.0019561i,0.0019368+0.0017444i,0.027358-0.0068758i,-0.0019566+0.019076i,0.0040293+0.025863i,-0.0091048+0.0092738i,0.026826+0.0020039i,0.0028096+0.0088321i,-0.020325+0.0060501i,-0.03515+0.00017235i,-0.021861+0.015223i,-0.0028064-0.0060546i,0.01498-0.0055204i,-0.00082211+0.0039304i,0.0035792+0.0062624i,-0.0089936+0.010446i,-0.003389-0.0042253i,0.010786-0.008717i,0.012195+0.0023614i,-0.012735+0.0060983i,-0.00073302-0.00040471i,-0.0012748+0.0014793i,-0.0031603+0.0004467i,-0.00037114-0.0070959i,0.0085004+0.00024666i,-0.00010028-0.0078945i,-0.0034822+0.0031152i,0.0012597-0.00139i,0.00075179-0.005538i,-0.0049516+0.0026113i,0.0019188-0.00060485i,0.0011465-0.002843i,0.027925-0.0038869i,-0.0046016+0.0077596i,0.0011849-0.0023528i,-0.0031916-0.0016982i,-0.000154-0.0070053i,-0.0025164+0.011417i,-0.0014797-0.00012984i,-7.3386e-05-0.00056732i,8.6747e-05-0.0033131i,-0.003505+0.0022813i,0.0024105+0.00171i,0.0012261-0.00030583i,0.0058442+0.0015779i,-0.00095964+0.0028219i,-0.0047592+0.0062554i,0.0040372+0.021291i,0.016825-0.0049076i,-0.022027+0.0059194i,-0.016168-0.0079547i,0.016398+0.0020365i,0.017223+0.012791i,-0.0058461-0.003829i
0.038571+0.00019059i,0.016187-0.0013443i,0.027501-0.0016716i,0.019079+0.00038141i,0.014371-0.0060507i,0.00039003-0.0069953i,0.012558+0.00054288i,0.0074492-0.013914i,-0.00061269-0.01132i,0.0020465+0.00072637i,-0.00099165-0.0019418i,9.9323e-05-0.00083341i,0.00041667+0.0023985i,0.0015525-0.0011462i,0.00052966-0.0013435i,0.0017029-0.0016904i,-0.0025062-0.0048841i,0.00058306-0.00033238i,0.00040572+0.0016872i,-0.0014707-0.00012833i,-0.0020919+0.00062318i,-0.00093385+0.0013461i,-0.00013405+0.0014223i,0.0025733-0.0089987i,0.004075+0.0016589i,0.0008311-0.0010996i,-0.00010829+0.00018167i,0.001557+0.00098862i,0.00045489+0.0017054i,0.0014652+0.00073695i,0.00066473+0.0017456i,0.00024555+0.0033508i,-0.00028928+0.00060316i,0.00051769+4.118e-05i,0.0015029+0.00095077i,0.0070889+0.0076868i,9.2844e-05-0.0006785i,9.4774e-05-0.00070844i,0.0017778+0.00049965i,-0.000384-4.4238e-05i,-0.0019388+0.00016413i,-0.0012772+0.0011742i,0.002172+0.0016154i,0.0020729+0.0013528i,0.025091-0.013158i,0.0029519+0.016747i,0.010185+0.023585i,-0.0080863+0.0098847i,0.023625-0.0087912i,0.0022861+0.0052327i,-0.01788+0.014575i,-0.032977+0.010631i,-0.016439+0.022135i,-0.0078236-0.0054307i,0.010608-0.0070421i,0.00033199+0.0041802i,0.0057273+0.0038483i,-0.0051876+0.013145i,-0.004532-0.0014805i,0.0048335-0.012947i,0.012208-0.0027954i,-0.010728+0.0094505i,0.00041016+0.00050905i,-0.0002131+0.0013941i,-0.0016227+0.00083282i,-0.0020412-0.0051877i,0.0072543-0.0020623i,-0.0016027-0.0066406i,-0.00076364+0.0041477i,0.0016964-0.0028353i,-0.001457-0.0051787i,-0.003152+0.0035494i,0.0016936-0.0022095i,0.00095864-0.002852i,0.021756-0.014187i,-0.0005819+0.0078614i,0.00025379-0.0024674i,-0.003661-0.0011257i,-0.0029718-0.0063995i,0.0010407+0.010358i,-0.00070728+0.00018388i,0.0010758-0.00029642i,-0.00027761-0.0037002i,-0.0013623+0.0022457i,0.0024358+0.0013272i,0.00032294+4.1525e-05i,0.0051414-0.00020772i,-0.0016632+0.0017956i,-0.0025143+0.007183i,0.0076405+0.019853i,0.010438-0.014497i,-0.020339+0.0033216i,-0.020595-0.0032706i,0.013787-0.0029306i,0.018007+0.0073764i,-0.0068627-0.0031414i
0.037252-0.006088i,0.015511-0.0042635i,0.025497-0.0083163i,0.017131-0.0056946i,0.013458-0.0097444i,-0.0013326-0.0070916i,0.013466-0.00091858i,0.0046339-0.015185i,-0.0025109-0.011612i,0.0016961+0.0010585i,-0.0012773-0.0016431i,-5.4163e-05-0.0015512i,0.0012285+0.0023544i,0.0012672-0.00143i,0.00030594-0.0013055i,0.0022549-0.0017665i,-0.0035542-0.0044943i,0.00027625-0.00065172i,0.00075804+0.0010385i,-0.001708+0.00044639i,-0.0020075+0.00084133i,-0.00029473+0.000911i,0.00018196+0.0013778i,-0.0017731-0.0080591i,0.0044425-0.00029155i,0.00025068-0.0011818i,-0.00039623+0.00030066i,0.0015666+0.00059378i,0.0010855+0.0014224i,0.0014326+6.6806e-05i,0.0014904+0.0012825i,0.0013263+0.0032883i,-0.00022539+0.00087653i,0.00056305-1.0469e-05i,0.0015194+0.00021552i,0.0082209+0.0057596i,-0.00014181-0.00054245i,-0.00023003-0.00055138i,0.0020345+0.00015399i,-2.0525e-05-3.8727e-05i,-0.0019876+0.0009821i,-0.0010778+0.0016636i,0.0027799+0.00096033i,0.0019753+0.0011261i,0.021292-0.018655i,0.0066194+0.013271i,0.014645+0.019589i,-0.0055704+0.010955i,0.017663-0.016855i,0.0010147+0.0036583i,-0.011744+0.019806i,-0.025803+0.017875i,-0.0072768+0.025693i,-0.010721-0.0017798i,0.0071396-0.007159i,0.0015224+0.0038356i,0.0058402+0.00087132i,-0.00065667+0.01387i,-0.0050422+0.00092849i,-0.003872-0.012674i,0.0097904-0.00699i,-0.0080606+0.011965i,0.0019736-0.00047206i,0.00040108+0.00097804i,-0.0010652+0.00036311i,-0.0022532-0.0036381i,0.0056022-0.0030192i,-0.0027137-0.005963i,0.0015246+0.0039823i,0.00058669-0.0049322i,-0.0031484-0.0040759i,-0.001058+0.004149i,0.00038068-0.0030508i,0.00032408-0.0033872i,0.012764-0.019759i,0.0025429+0.006409i,-0.00024112-0.0024752i,-0.0030903-0.00068855i,-0.0049285-0.0048948i,0.0035789+0.0086678i,0.00036779-0.00049953i,0.0016991-0.0010421i,-0.0014915-0.0036251i,-0.00020338+0.0013143i,0.0033782+0.0011417i,0.00018821+0.0010278i,0.0045515-0.0013485i,-0.0025438+0.0018373i,-0.00060265+0.0068768i,0.011228+0.018378i,0.0016374-0.020068i,-0.023617+0.001685i,-0.02175+0.0032811i,0.0078584-0.0052933i,0.017955+0.0026001i,-0.0068975-0.0028431i
0.035154-0.011718i,0.014737-0.0063307i,0.021377-0.012795i,0.012556-0.0098511i,0.01128-0.013224i,-0.0027814-0.0065935i,0.01445-0.0031268i,0.0014747-0.015763i,-0.0043089-0.01165i,0.0022869+0.0015766i,-0.0015084-0.00085121i,-0.0010265-0.0016617i,0.0020164+0.0020459i,0.00085286-0.0015019i,0.00014078-0.0012462i,0.0025656-0.0020002i,-0.004972-0.0031562i,-1.1734e-05-0.00052404i,0.0008056+0.00040192i,-0.0015174+0.0012625i,-0.0017638+0.0015049i,-0.00047645+0.00032283i,0.0004896+0.0012807i,-0.0048128-0.0052463i,0.0035247-0.0018751i,-0.00023013-0.0010256i,-0.00035637+0.00062211i,0.0014711+0.0003268i,0.0012977+0.00070964i,0.0011815-0.00039551i,0.0019909+0.00051163i,0.0024375+0.0025975i,0.00015357+0.0012348i,0.00058635-5.2266e-05i,0.001031+0.00016325i,0.0088071+0.0034917i,-0.00025112-0.00039557i,-0.00044725-0.00025185i,0.0021016-0.00040155i,0.00029974-0.00013191i,-0.0015492+0.0018322i,-0.00052814+0.0020209i,0.0029046-5.6363e-05i,0.0019418+0.0011011i,0.015991-0.022841i,0.0088446+0.0090781i,0.017374+0.015294i,-0.0021261+0.010682i,0.010452-0.02106i,-0.00018151+0.0036566i,-0.0050458+0.021848i,-0.018011+0.020514i,0.0025234+0.024918i,-0.010616+0.0028893i,0.005348-0.0068567i,0.0026331+0.0031559i,0.004719-0.0011072i,0.0043807+0.012697i,-0.0042104+0.0038324i,-0.010572-0.0071464i,0.0062204-0.0091107i,-0.0046276+0.013534i,0.0015704-0.0024757i,0.00071487+0.00062959i,-0.0011246+0.00030361i,-0.0020078-0.0025087i,0.0044876-0.0036127i,-0.0042501-0.0049854i,0.0031933+0.0025256i,-0.0027678-0.0059309i,-0.0039826-0.0022358i,0.0012596+0.003117i,-0.00027432-0.003394i,-0.00085455-0.00396i,0.0037845-0.020619i,0.0042823+0.0040818i,-0.00090836-0.0027002i,-0.0037717-0.00048371i,-0.0061844-0.0026819i,0.0050037+0.0069605i,0.00017406-0.0018795i,0.002045-0.0019935i,-0.0021154-0.0027478i,0.00052047+0.00049015i,0.0035865-1.9174e-07i,0.00082437+0.0015567i,0.0032414-0.0023969i,-0.0033424+0.0025666i,0.0006227+0.0059918i,0.016208+0.016221i,-0.0092819-0.021463i,-0.027473+0.0039328i,-0.019267+0.0093886i,0.0035715-0.0030528i,0.015679-0.0023409i,-0.0072259-0.0038593i
0.032509-0.017143i,0.014191-0.0090555i,0.017751-0.015376i,0.0081916-0.010972i,0.008244-0.015931i,-0.0037959-0.0058535i,0.015412-0.0064471i,-0.0016445-0.015705i,-0.006328-0.011403i,0.0033104+0.0012784i,-0.0010083-0.00017225i,-0.0016585-0.00084163i,0.0026171+0.0012354i,0.00047847-0.0014917i,5.1671e-05-0.0011941i,0.0028757-0.0023757i,-0.0056458-0.0013636i,7.9317e-06-0.00064221i,0.00059456-0.00015053i,-0.00094555+0.0017102i,-0.0013059+0.0017164i,-0.00069769+0.00028855i,0.00082618+0.0010894i,-0.0060258-0.0013928i,0.002364-0.0027227i,-0.00054132-0.0007635i,-5.1086e-05+0.0006923i,0.0015671-2.2396e-05i,0.0010468+0.00052519i,0.00085339-0.00074012i,0.0021609-0.00032713i,0.0029401+0.0016952i,0.00081084+0.0012137i,0.00073463-0.00013201i,0.0011443+0.00056952i,0.0085139+0.00131i,-0.00044374-0.0001577i,-0.00043101+5.9043e-05i,0.0018923-0.0011866i,0.00066739-0.00030416i,-0.00069538+0.0023055i,0.00011564+0.0020684i,0.00255-0.00094897i,0.0020349+0.0011316i,0.010337-0.025083i,0.0090236+0.0047562i,0.019009+0.011193i,0.00041625+0.0089227i,0.0040632-0.02267i,-0.00014432+0.0056096i,0.0016384+0.022088i,-0.011167+0.021575i,0.010486+0.020778i,-0.0073749+0.0066552i,0.0038733-0.0072534i,0.003659+0.0016467i,0.0038771-0.0024227i,0.0085162+0.0090777i,-0.0016047+0.0049637i,-0.012371-0.00037038i,0.0022434-0.0098218i,-0.0010255+0.013532i,-5.2801e-05-0.0034341i,0.00020801+0.00024558i,-0.0011168+0.00075261i,-0.0018255-0.0021181i,0.0033374-0.0032496i,-0.0050604-0.0031351i,0.0036492+0.00092466i,-0.0058205-0.0037174i,-0.0035867-0.00061735i,0.0019493+0.0010471i,-0.001046-0.0036699i,-0.002247-0.0034501i,-0.0034271-0.018315i,0.005152+0.0014924i,-0.0019165-0.0025968i,-0.0039489+0.00097051i,-0.0059972-2.4646e-05i,0.0062121+0.005383i,-0.0014048-0.0026668i,0.0017801-0.0033818i,-0.0025259-0.0022918i,0.00059529-0.0010331i,0.0037263-0.00051662i,0.0015956+0.0014829i,0.0016854-0.0019395i,-0.003935+0.0037518i,0.0014155+0.0051227i,0.021239+0.011452i,-0.01956-0.01737i,-0.030043+0.0075963i,-0.014315+0.012217i,0.0027631-0.0012129i,0.011507-0.0048749i,-0.0098682-0.0042054i
0.028696-0.022107i,0.01292-0.012267i,0.014485-0.017649i,0.0050082-0.010992i,0.0046427-0.017836i,-0.0046218-0.0051534i,0.015301-0.011471i,-0.00455-0.015001i,-0.0084928-0.010646i,0.0039792+0.00042135i,-0.00036398-0.0002226i,-0.0017514+0.0002792i,0.0026859+0.00030191i,0.00022035-0.0011304i,-9.1982e-05-0.0012732i,0.0028372-0.0031432i,-0.005719+0.00053881i,-0.0001913-0.00089609i,0.0002863-0.00029338i,-0.00034763+0.0018672i,-0.0007911+0.0020528i,-0.00089538+0.00043563i,0.0010412+0.00074658i,-0.0048367+0.0019914i,0.0013249-0.002997i,-0.00078962-0.00038798i,0.00011798+0.00059751i,0.0013245-0.00054224i,0.0011791+0.00040739i,0.00036781-0.00099155i,0.0020414-0.0012046i,0.0034346+0.00084273i,0.0013084+0.00090019i,0.00073522-0.00057896i,0.0019208+0.00049713i,0.0080439-0.00035937i,-0.00037982+0.00021306i,-0.00026383+0.00031589i,0.0011549-0.0016868i,0.00098623-0.00075645i,0.00016209+0.0025141i,0.00075522+0.0020103i,0.001821-0.0014356i,0.0022285+0.0013591i,0.0050054-0.025782i,0.0075855+0.002113i,0.019812+0.0075134i,0.0020772+0.0080157i,-0.0020915-0.023709i,0.0028511+0.007855i,0.0078074+0.019819i,-0.0039212+0.020468i,0.016434+0.014319i,-0.0023078+0.0079623i,0.0024687-0.007527i,0.0036526-0.00091933i,0.0028745-0.0039657i,0.0095279+0.0041203i,3.4726e-05+0.004423i,-0.011398+0.0063893i,-0.0017674-0.0088601i,0.0021362+0.011679i,-0.0021971-0.0030642i,-0.00046108+0.00082042i,-0.00070695+0.0012709i,-0.0014815-0.0022005i,0.0034402-0.0020707i,-0.0045681-0.0016639i,0.0039302+0.00027134i,-0.0065291-0.00059954i,-0.0026944+0.00022665i,0.0014873-0.00024987i,-0.0029425-0.0038667i,-0.003227-0.0023692i,-0.0091152-0.014862i,0.0047369-0.0011542i,-0.0027493-0.0018553i,-0.0028305+0.0020966i,-0.0048399+0.0018997i,0.0075902+0.0040431i,-0.0030965-0.0018077i,0.0004424-0.0046248i,-0.0033659-0.0014951i,-0.00079172-0.0018601i,0.0041892-0.0020227i,0.0022666+0.0013576i,0.0016352-0.0013196i,-0.002795+0.0055391i,0.0018119+0.0039757i,0.024654+0.0046762i,-0.024579-0.0088655i,-0.032042+0.013306i,-0.0099468+0.013053i,0.0017406+0.00037223i,0.008169-0.0047868i,-0.01185-0.0031123i
