-0.023788-0.020126i,-0.032784-0.035375i,-0.02311-0.019877i,-0.03234-0.020517i,-0.024347+0.0037192i,-0.029105-0.018749i,-0.05508-0.049305i,-0.041761-0.044662i,-0.030598-0.024501i,0.0052434+0.0055206i,-0.0034403+0.0062637i,-0.010695+0.011509i,0.004186+0.0069171i,-0.0037107-0.0028559i,0.0029696+0.0019543i,0.00075705+0.029278i,0.024738+0.031637i,-0.00023606+0.00025672i,-0.003061-0.0027517i,0.0075181+0.0038981i,0.0017288+0.00057069i,-0.00027905+0.0026748i,-0.00067192+0.00031413i,-0.032102-0.0023557i,-0.0034731-0.004959i,5.6394e-05+0.00238i,0.0035278-0.0010624i,0.00080184-0.00043373i,-0.00066148-0.00033563i,-0.0012074-0.0019994i,-0.0024507-0.00049887i,-0.0039445-0.0041038i,-0.0032733-0.0051069i,0.00036537-0.0014564i,0.00023168-0.0032789i,-0.0020235+0.025807i,0.001648-0.0031401i,0.0021418-0.0039378i,0.0042354-0.0026406i,-0.0060339-0.0019246i,0.00064644+0.0013636i,0.0099632-0.0005409i,-0.0019805-0.00018461i,-0.0032163+0.00081788i,-0.0085982-0.0040778i,-0.017924+0.021089i,-0.0091797-0.087846i,-0.002928-0.062087i,-0.021271-0.054766i,-0.011772-0.045851i,0.052325-0.027794i,0.02335-0.067413i,0.040733-0.055107i,0.018517-0.040074i,0.026366-0.020138i,0.012384+0.01211i,0.02486-0.028431i,-0.01116-0.00068902i,-0.001301-8.5166e-05i,-0.0084358-0.0010454i,-0.0055539-0.029504i,-0.020792+0.026669i,0.0073609-0.0093861i,-0.010643-0.0030594i,-0.0026103-0.0017652i,-0.00063382-0.014733i,-0.0081223+0.005433i,0.0060135+0.010147i,-0.010387+0.029684i,0.0064304+0.0073135i,-0.0036646-0.0016735i,-0.0023282-0.0015002i,-0.012776-0.0058692i,0.00045682-0.0045103i,-0.033472+0.0032596i,0.0030624-0.0088122i,-0.007356-0.0020379i,-0.0050279-0.0031573i,0.007197+0.0019339i,-0.01024+0.00040766i,0.0022617-0.00056323i,0.0058226+0.0078526i,0.0056475+0.0013438i,-0.0074384-0.009818i,0.0028602+0.0078058i,-0.019822+0.007692i,0.0029177+0.005639i,-0.021115-0.0088722i,-0.027427-0.0050397i,0.0083764-0.062135i,0.018835-0.015091i,-0.05049-0.028378i,-0.022088+0.0010019i,0.019268+0.010554i,-0.026767+0.011848i,-0.012368-0.0077466i
0.0061101+0.0053244i,0.03844+0.015688i,0.020575-0.0048592i,0.013747+0.0015297i,0.0093148-0.0019931i,0.016634-0.007258i,0.012141+0.015521i,0.018657+0.021257i,0.0011586-0.0022772i,0.0014882+0.00070493i,0.0024566-0.0013729i,0.0011281-0.0039539i,0.0001032-0.0011937i,0.002251-6.617e-05i,0.005367-0.0011376i,0.0058005+0.0010337i,0.0055676-0.0056203i,0.00011878-0.0011373i,-0.0023322-0.00011837i,0.00045216+0.00074553i,0.00023404-0.00016166i,-0.0022115-0.00046914i,-0.0016309-8.2722e-05i,0.0062574+0.0080462i,-0.00056439+0.00026948i,0.00033919+0.0007407i,0.00095259+0.0009602i,-5.5766e-05+0.0012686i,-0.00037743-0.00031352i,-0.001237-1.6504e-05i,0.00050129-0.0012009i,-0.00059228+0.00042632i,0.00016904+0.00058147i,-6.4468e-05+0.00056872i,-0.00033126-0.0011755i,-0.0089193+0.0070647i,0.00056719+0.00019932i,-0.00050098+3.3837e-06i,-0.0004482+0.0015922i,-0.00041446-0.0030317i,-0.00068347+0.00022725i,-0.00050841-0.00025677i,0.0010864+0.0018774i,0.0040448-0.0027146i,0.00060313+0.0045085i,-0.050257+0.01131i,-0.0028845+0.030823i,-0.0128+0.042282i,-0.0079005+0.065316i,-0.016778+0.04477i,-0.0060409+0.020741i,-0.008047+0.01484i,-0.047699+0.0045348i,-0.025603-0.0072059i,0.015109+0.025218i,0.00063254+0.0055414i,-0.00717+0.0015724i,-0.014012-0.0017783i,0.0036878-0.00026968i,0.0070208+0.014103i,-0.0061356+0.0069463i,-0.0050666-0.0061743i,0.0053065-0.0028323i,-0.0065995-0.0052115i,0.0038034-0.0065571i,0.0042113-0.0024166i,-0.0021586+0.010204i,0.01157-0.0056287i,0.0059723-0.0045557i,0.0054239-0.0081057i,0.003029+0.00073234i,-0.0020089-0.0059272i,-0.0036759-0.0014957i,0.0019675-0.0016437i,-0.0099628+0.030888i,-0.0042692-0.0051484i,0.0033513+6.4308e-05i,-0.00051475-0.0070858i,0.0031738-0.0014647i,-0.013232-0.0059071i,0.0009452+0.00083919i,0.00409-0.001714i,0.0025909-0.0012883i,0.0011945-0.0056521i,-0.0024755+0.0054966i,-0.00028712+0.0060679i,-0.0045985+0.0069631i,-0.0047133+0.0024328i,-0.0057032+3.8347e-05i,-0.023787+0.020792i,-0.0084615+0.013732i,-0.02166-0.01136i,-0.0088522-0.0087109i,0.0090412+0.020733i,-0.00014675+0.019847i,-0.0088651-0.0035112i
0.0064612+0.0031667i,0.040052+0.0078239i,0.019347-0.0086922i,0.014051+0.00013299i,0.010017-0.0035316i,0.01513-0.010584i,0.013191+0.012627i,0.021668+0.01733i,0.00036389-0.0024488i,0.001753+0.00010127i,0.0022752-0.0017024i,-0.00049881-0.0026828i,-6.6659e-05-0.00065909i,0.0021545-7.4943e-05i,0.0046667-0.002285i,0.0054962+0.00024848i,0.0031798-0.0059395i,7.5788e-05-0.00098777i,-0.0024394+0.00016208i,0.00087336+0.00016523i,3.4055e-05-0.00056419i,-0.0022349+0.00011332i,-0.0015798+0.00017317i,0.010003+0.0048783i,-0.00085829+0.0010769i,0.00089357+0.00046515i,0.0010402+0.00032647i,0.00050313+0.0010921i,-0.00077319+0.00021221i,-0.001299+0.00048999i,-0.00016918-0.0012367i,-0.00053681-1.8035e-06i,0.00016754+0.0004438i,0.00025998+0.00049521i,-0.00083062-0.00012054i,-0.0059423+0.008965i,0.00024164-4.5069e-05i,-0.00037204+0.00042054i,0.00018031+0.0013375i,-0.0012226-0.002283i,-0.00049591+0.00015715i,-0.00071197+7.6867e-05i,0.001338+0.0015617i,0.0027452-0.0030314i,0.0022235+0.0043309i,-0.044713+0.019364i,0.00019271+0.031679i,-0.003897+0.042402i,0.0083667+0.061994i,-0.0055774+0.043758i,-0.0077332+0.017056i,-0.011024+0.012357i,-0.04926+0.0086059i,-0.021548-0.0088304i,0.020851+0.019738i,0.00062411+0.0052128i,-0.0060692+0.0068946i,-0.013342+0.0028244i,0.0022441-0.0018165i,0.010312+0.011912i,-0.0019093+0.011261i,-0.0086975-0.004484i,0.0020893-0.0045041i,-0.0065235-0.0017254i,-0.00067831-0.0063911i,0.0024755-0.0040057i,0.002362+0.007772i,0.006977-0.008472i,0.002484-0.0058361i,0.0010196-0.0057204i,0.0040715-0.00015073i,-0.0032234-0.0047155i,-0.0021725+0.00086392i,0.0018984-0.0015499i,0.0060967+0.030743i,-0.0057701-0.0043665i,0.0036398-0.0019004i,-0.0036982-0.0060844i,0.0034584-0.0023353i,-0.013477+0.00049451i,0.0017558+0.0011211i,0.003031-0.0019428i,0.0026966-0.0023358i,-0.00022235-0.0056584i,-0.00070268+0.0030236i,0.0021367+0.0048931i,-0.001047+0.0082726i,-0.0035665+0.0046222i,-0.0064385+0.00077157i,-0.018309+0.019525i,-0.0064932+0.015911i,-0.024744-0.0063904i,-0.011254-0.011698i,0.012224+0.019974i,0.0035897+0.021354i,-0.011448-0.0034721i
0.0060363+0.0015557i,0.039767-0.00064919i,0.01773-0.01314i,0.015249-0.0026505i,0.010874-0.0058349i,0.012705-0.013868i,0.013524+0.0096135i,0.024087+0.01256i,7.1597e-05-0.0021557i,0.0014133-0.00053196i,0.0017737-0.0025786i,-0.00055134-0.0011926i,-7.1939e-05-0.0006363i,0.0021321-0.00054458i,0.0037282-0.0031644i,0.0050145-0.00055491i,0.0012073-0.0058312i,-0.00020643-0.0011149i,-0.0023578+0.001027i,0.00071197-0.00072241i,-0.00065786-0.00090243i,-0.0019812+0.00070153i,-0.0016181+0.00047648i,0.010672-8.8192e-05i,-0.00017139+0.0015125i,0.00084221-0.0001568i,0.00078319-5.0859e-05i,0.00092212+0.00054334i,-0.00046416+0.00065923i,-0.0011085+0.0010021i,-0.00078531-0.00096191i,-0.0010829+0.00047478i,0.00036569+0.00039217i,0.00037737+0.00025767i,-0.00031106+0.00063397i,-0.0029036+0.0099594i,8.9769e-05+0.00018264i,-9.1187e-05+0.0004259i,0.00040517+0.0010055i,-0.0017959-0.0014646i,-0.00041316+6.6695e-06i,-0.00052479+0.00034473i,0.0015769+0.0014539i,0.002066-0.0031223i,0.0044152+0.0031969i,-0.038484+0.02552i,0.004738+0.032543i,0.0048826+0.03924i,0.023252+0.053441i,0.0041142+0.042494i,-0.010788+0.01616i,-0.013695+0.013118i,-0.049471+0.01566i,-0.020265-0.012062i,0.023853+0.011713i,0.0008442+0.0050882i,-0.0036424+0.0087178i,-0.012623+0.0060837i,-4.3114e-05-0.0036635i,0.012904+0.0084616i,0.0036018+0.011913i,-0.011131-0.0014683i,0.00020384-0.0031545i,-0.0057108+0.00093849i,-0.002782-0.0040779i,0.00053516-0.0038053i,0.0047173+0.0070068i,0.0038501-0.0086725i,-0.001172-0.0048381i,0.0004921-0.0032144i,0.0042859-0.0022852i,-0.0051287-0.0032303i,-0.00075039+0.00084932i,0.0011679-0.0021838i,0.019013+0.023079i,-0.0077102-0.002175i,0.0030708-0.0032164i,-0.0039035-0.0042369i,0.0037477-0.0041507i,-0.010483+0.0059105i,0.0034172+0.00073395i,0.0020929-0.0023547i,0.0016584-0.0026406i,-0.0020429-0.0047254i,-0.0014353+0.0027399i,0.0032109+0.003038i,0.002569+0.008137i,-0.0019584+0.0052104i,-0.0072142+0.0027262i,-0.015793+0.017834i,-0.00025905+0.016793i,-0.025694-0.0017961i,-0.01466-0.013116i,0.01731+0.016604i,0.008866+0.022307i,-0.013886-0.0017031i
0.0053713+0.00055944i,0.036614-0.0078316i,0.014222-0.017377i,0.015-0.0068684i,0.010502-0.009146i,0.0093138-0.016097i,0.013302+0.0074994i,0.02476+0.0075609i,0.00023926-0.0024826i,0.00078267-0.00060233i,0.0006892-0.0027857i,-0.0001284-0.00063618i,-0.00051108-0.00039032i,0.0017711-0.00074459i,0.00244-0.0037126i,0.0044287-0.00094308i,-0.00030618-0.0049277i,-0.00042318-0.0010054i,-0.0013247+0.0017992i,1.2546e-05-0.0010939i,-0.0011873-0.00037282i,-0.0016499+0.0012815i,-0.0014948+0.00097349i,0.0087391-0.0040815i,0.00037017+0.0013723i,0.00051455-0.00028257i,0.00064976-0.0001343i,0.00067347+2.2636e-05i,-0.00010228+0.00062663i,-0.00070072+0.0014976i,-0.0011774-0.00033686i,-0.00064357+0.0011542i,0.00047174+9.6798e-05i,0.00034559+0.00010777i,0.00020502+0.00076254i,0.00025077+0.0098992i,0.00021229+0.00021331i,-4.2575e-05+0.00030019i,0.00043807+0.00088932i,-0.002004-0.00056839i,-0.00048226-6.5423e-05i,-0.00034639+0.00046743i,0.0019891+0.0012481i,0.0014891-0.0030738i,0.0061798+0.00059887i,-0.03091+0.03023i,0.010447+0.032353i,0.010205+0.034946i,0.034941+0.040031i,0.013717+0.037323i,-0.014226+0.018404i,-0.016412+0.016028i,-0.047796+0.02362i,-0.022057-0.015115i,0.024374+0.0028989i,0.0013962+0.0055143i,-0.0009158+0.01134i,-0.010927+0.0098493i,-0.0042869-0.0027001i,0.014809+0.0035003i,0.0087539+0.0099281i,-0.012243+0.0022937i,-0.00043385-0.0024076i,-0.0041093+0.0026828i,-0.0034769-0.0012179i,-0.00044566-0.0033554i,0.006802+0.0038046i,0.0011771-0.0085202i,-0.0033315-0.0017352i,0.0011083-0.0021017i,0.0030201-0.0043011i,-0.0055795-0.00025983i,0.00032361+0.0010518i,0.00056537-0.0021511i,0.026039+0.011027i,-0.0079502+0.0014463i,0.0021429-0.0045342i,-0.0042137-0.002522i,0.0020435-0.0064588i,-0.0056568+0.0080526i,0.0045537-0.0012485i,0.00127-0.0017878i,0.0011766-0.0024034i,-0.0026588-0.0029537i,-0.0016093+0.0036201i,0.0031791+0.0012092i,0.0060281+0.0065438i,-0.00060012+0.0047861i,-0.0072574+0.0051879i,-0.014161+0.018688i,0.0084133+0.012071i,-0.02438+0.0034341i,-0.020242-0.012937i,0.018956+0.011456i,0.015325+0.02041i,-0.013473+0.00037034i
0.0052423+2.482e-06i,0.033318-0.012848i,0.0099148-0.020073i,0.013473-0.010745i,0.0088556-0.01223i,0.0060488-0.01738i,0.013321+0.0062799i,0.024549+0.0033143i,0.00036745-0.0030898i,0.0003472-0.00042278i,-0.00032825-0.0024948i,0.00024368-0.0005481i,-0.00064712+0.00024718i,0.0014784-0.00094269i,0.0012603-0.0036042i,0.004305-0.0010158i,-0.00098601-0.0038742i,-0.00082129-0.00085833i,-0.00048843+0.0017882i,-0.00065181-0.00095042i,-0.0013071+4.912e-05i,-0.00092351+0.0017178i,-0.0011137+0.0014767i,0.0056985-0.0064929i,0.00074651+0.0010672i,0.00033413-0.00029207i,0.00049357-0.00030785i,0.00039996-7.6165e-05i,2.4218e-05+0.00061006i,3.0928e-05+0.0016863i,-0.0011085+0.00024229i,-9.5103e-05+0.0013237i,0.00040998-0.00014212i,0.00038104+0.00021784i,0.00068348+0.00071523i,0.0029162+0.00903i,0.00016004+0.00024078i,-0.00015102+0.00034577i,0.00078046+0.00077174i,-0.0017601+0.00022191i,-0.00064883-0.00021165i,-0.00021298+0.00045841i,0.0022319+0.00060693i,0.00058471-0.0033656i,0.0061887-0.0026076i,-0.022279+0.032542i,0.017065+0.030337i,0.01544+0.032126i,0.039429+0.024708i,0.019398+0.030395i,-0.014943+0.024119i,-0.016556+0.022495i,-0.044358+0.032714i,-0.026669-0.016031i,0.020251-0.0042023i,0.0027116+0.0057124i,0.0041507+0.011395i,-0.0076871+0.012631i,-0.0057707+0.00091581i,0.013835-0.0030627i,0.012469+0.006013i,-0.011932+0.0061753i,-0.00061792-0.00082863i,-0.0023757+0.0035703i,-0.0018717+0.000612i,-0.0021141-0.0022066i,0.0069993+0.0010292i,-0.0012736-0.0075524i,-0.0029748+0.0014188i,0.0023196-0.0023314i,0.0011202-0.0054121i,-0.0038677+0.001585i,0.0017351+0.00040511i,0.00018928-0.0018465i,0.026605-0.0012619i,-0.0056012+0.004419i,0.00046675-0.00532i,-0.0035066-0.0016923i,-0.00056601-0.0069806i,-0.001889+0.007654i,0.0037796-0.0033548i,0.001274-0.0009452i,0.001309-0.0021499i,-0.0017211-0.0021972i,-4.1986e-05+0.0046849i,0.0019642-2.5695e-05i,0.0074367+0.0031712i,-0.00024333+0.003548i,-0.0054662+0.0078983i,-0.010415+0.019817i,0.011534+0.00095707i,-0.020345+0.0051508i,-0.026465-0.010268i,0.01974+0.0065456i,0.020067+0.014042i,-0.014091+0.00063282i
0.0053075-0.00096622i,0.030297-0.017477i,0.0058172-0.021647i,0.011193-0.014521i,0.0066103-0.014654i,0.0026028-0.018269i,0.014351+0.0051551i,0.024078-0.0006158i,0.0001538-0.0040971i,-0.00016984-8.3039e-05i,-0.00078021-0.0018177i,0.00045644-0.0005785i,-0.00020861+0.00086948i,0.0010947-0.00097358i,0.00048086-0.0033111i,0.004614-0.0013228i,-0.0011975-0.003481i,-0.0008697-0.00050525i,0.00012576+0.0016123i,-0.0010313-0.00058094i,-0.0010101+0.00047032i,3.1352e-05+0.001531i,-0.00050173+0.0017094i,0.0022879-0.0073675i,0.0011707+0.00073802i,0.00019132-0.00035212i,0.00032051-0.00044977i,0.0002833-0.00012989i,0.00023443+0.00055415i,0.00068251+0.0013741i,-0.00081303+0.00058657i,0.00046957+0.0011774i,0.0002231-0.00019971i,0.00054227-1.3008e-05i,0.00097396+4.603e-05i,0.0047052+0.0074864i,0.00024041+0.00029087i,-3.3271e-05+0.00049908i,0.00082967+0.00037488i,-0.0011694+0.00067203i,-0.00096729-8.9089e-05i,-3.9082e-05+0.00033699i,0.002266+0.00014441i,-0.00031995-0.003057i,0.0052782-0.0054743i,-0.014459+0.032089i,0.022976+0.025818i,0.021158+0.028176i,0.03939+0.010791i,0.022455+0.023694i,-0.011769+0.030544i,-0.012448+0.029811i,-0.036704+0.042575i,-0.031804-0.013345i,0.015395-0.007628i,0.0041746+0.0048904i,0.0077849+0.0087644i,-0.0037561+0.014647i,-0.0050645+0.0036085i,0.0094975-0.0089704i,0.013589+0.00021999i,-0.010198+0.0091038i,0.00043334-3.6891e-05i,-0.00058907+0.0033847i,-0.00038128+0.00053032i,-0.0021171+5.26e-05i,0.0055944-0.00083895i,-0.0028119-0.0055784i,-0.0008087+0.0031724i,0.0026104-0.0040115i,-0.0010919-0.0051636i,-0.0026529+0.0018021i,0.0021357-0.0010857i,0.00071406-0.0016233i,0.021933-0.011638i,-0.0026238+0.0054601i,-0.0012442-0.0048316i,-0.0033639-0.0010244i,-0.0030515-0.0064277i,0.00058194+0.0065396i,0.0028597-0.0045892i,0.0021685-0.0011852i,0.0011714-0.0030866i,-0.0010426-0.0026615i,0.0014416+0.0047877i,0.00088951+0.00022892i,0.0069183+0.00049766i,-0.00084742+0.0026221i,-0.0023646+0.0094613i,-0.0065454+0.019505i,0.0071222-0.0081742i,-0.018098+0.0027677i,-0.032289-0.0037902i,0.018043+5.6045e-05i,0.020959+0.0074867i,-0.015202+0.0023459i
0.0052188-0.0018215i,0.026398-0.022043i,0.0012121-0.023253i,0.0072349-0.01818i,0.00371-0.016938i,-0.0011337-0.018193i,0.01596+0.0032429i,0.023137-0.004689i,-0.00050146-0.004888i,-0.00035486+0.00086814i,-0.0011891-0.001345i,0.00048233-0.0011825i,0.00031312+0.0010232i,0.0007169-0.00085947i,-0.00010455-0.0029271i,0.0048828-0.0020934i,-0.0017557-0.0032488i,-0.0011181-0.00029826i,0.00083381+0.0012385i,-0.0014317-9.726e-05i,-0.0009477+0.00052355i,0.00053155+0.00087457i,1.0302e-05+0.0016776i,-0.0011402-0.0068863i,0.0012369-0.00027053i,-4.1302e-05-0.00022648i,-0.00015394-0.00055567i,0.00015152-8.9724e-05i,0.00047727+0.00032777i,0.0010048+0.0008718i,-0.00036599+0.00075636i,0.00070789+0.00096267i,1.5736e-05-7.1951e-05i,0.00045174-0.00020629i,0.00054357-0.00069987i,0.0058723+0.0059415i,0.00035247+0.00028368i,1.7192e-05+0.00050107i,0.00094872+0.00023089i,-0.00048749+0.00070282i,-0.0011654+0.00036613i,2.6438e-05+0.00031541i,0.0022894-0.00043213i,-0.0011086-0.0024993i,0.003289-0.007952i,-0.0081589+0.0302i,0.02698+0.019927i,0.026389+0.022939i,0.035051-0.00068283i,0.023668+0.018466i,-0.0054269+0.034664i,-0.0033518+0.034323i,-0.024454+0.049141i,-0.035765-0.0076611i,0.010646-0.0090746i,0.0050747+0.0034216i,0.0094002+0.0049475i,0.00057253+0.014857i,-0.0042514+0.0052937i,0.0018637-0.010821i,0.011244-0.0047399i,-0.0077568+0.011613i,0.001536-0.00096831i,0.00050228+0.0024601i,4.1568e-05-0.00021078i,-0.00036344+0.0013675i,0.0044629-0.0010211i,-0.0030819-0.0043062i,0.0014971+0.0032146i,0.0013112-0.006047i,-0.0025999-0.0040267i,-0.0016909+0.0021369i,0.0013651-0.0025373i,0.00075228-0.002489i,0.013861-0.017555i,0.00011454+0.0050831i,-0.0021758-0.0039991i,-0.0029016-0.00080894i,-0.0047051-0.0052912i,0.0020658+0.0051891i,0.0015456-0.0061765i,0.0025427-0.002152i,-8.0577e-05-0.0037645i,-0.0018513-0.0034012i,0.003734+0.0044665i,0.00061471+0.0012499i,0.0063612-0.0012695i,-0.0015863+0.0026132i,0.00067636+0.0089395i,-0.0030841+0.0193i,8.8308e-05-0.014021i,-0.020438+0.00026901i,-0.033937+0.0052818i,0.012344-0.0039574i,0.020818+0.0018844i,-0.01461+0.0044439i
0.0052935-0.0028892i,0.022202-0.025218i,-0.0042904-0.0233i,0.0017096-0.019968i,-0.00012982-0.018265i,-0.004195-0.01707i,0.017587+0.00039107i,0.021311-0.0082728i,-0.0010962-0.0058437i,0.00037741+0.0019022i,-0.0014553-0.00045103i,-0.00039316-0.0015923i,0.00091509+0.0010427i,0.00072554-0.0005129i,-0.00043445-0.0025602i,0.0047795-0.0029121i,-0.0027856-0.0025056i,-0.0011928+0.00019434i,0.0010707+0.0004861i,-0.001405+0.00076839i,-0.00080164+0.00087393i,0.00044189+0.00014352i,0.00045343+0.0015756i,-0.0037107-0.0048484i,0.00034443-0.00067512i,-0.00010311-6.5429e-05i,-0.00045304-0.0003329i,6.7794e-05+3.7762e-05i,0.00045564-7.7978e-06i,0.0010884+0.00045936i,2.7424e-06+0.00068565i,0.00088182+0.00063425i,6.7487e-05+9.0132e-05i,0.0003134-0.00026473i,-0.00022347-0.00046244i,0.0066618+0.0041341i,0.00046978+0.00013949i,0.00010216+0.00063446i,0.0010873-9.3187e-06i,9.213e-05+0.00042773i,-0.00099397+0.00097353i,0.00020674+0.00030964i,0.0019035-0.0011427i,-0.001575-0.0016176i,0.00068762-0.009402i,-0.0031826+0.027382i,0.02907+0.014127i,0.030744+0.016289i,0.02915-0.0082138i,0.02414+0.01422i,0.0020891+0.036415i,0.0061377+0.033831i,-0.010819+0.051066i,-0.036578-0.00049486i,0.0074509-0.0091518i,0.005694+0.001949i,0.0092365+0.00162i,0.0051633+0.013331i,-0.0026428+0.0071437i,-0.0044834-0.0078994i,0.0077028-0.0070771i,-0.0044511+0.013329i,0.0012405-0.0028073i,0.00072461+0.0015265i,-0.00017162-0.0003677i,0.0016041+0.0012066i,0.0039744-0.0013962i,-0.0037939-0.0032599i,0.0030456+0.0020486i,-0.0018437-0.0068685i,-0.0031748-0.0025959i,-0.00018975+0.0017305i,0.00072591-0.003254i,0.00017915-0.0034063i,0.0054921-0.019012i,0.0018631+0.003839i,-0.0028797-0.0034462i,-0.0034726-0.00079101i,-0.0061872-0.0034618i,0.0026764+0.0039158i,-0.0010207-0.0074695i,0.0025612-0.0032256i,-0.00098375-0.003206i,-0.0027152-0.0031325i,0.0050782+0.003066i,0.0011676+0.0021084i,0.0048378-0.0028484i,-0.0018061+0.0033317i,0.002918+0.0072728i,0.0014994+0.018897i,-0.0096946-0.016558i,-0.024376+0.00089019i,-0.03133+0.01384i,0.0072807-0.0032006i,0.018278-0.0038293i,-0.013275+0.0046444i
0.0051083-0.0045587i,0.018043-0.028246i,-0.008973-0.021527i,-0.0034281-0.019394i,-0.0039532-0.018489i,-0.0064701-0.015875i,0.018715-0.0036801i,0.019252-0.01135i,-0.0021782-0.0067225i,0.0017239+0.0020547i,-0.0010229+0.0003052i,-0.0011601-0.00093344i,0.0014471+0.00052438i,0.00082074-0.00051976i,-0.00064712-0.00226i,0.0045878-0.003691i,-0.0031443-0.0012229i,-0.00081303+0.00039654i,0.00074412-0.00012697i,-0.00088081+0.0012702i,-0.00053514+0.00097805i,0.00013569-0.00018833i,0.00086428+0.0013257i,-0.0049994-0.0020323i,-0.00023961-0.0003344i,-7.5913e-05+2.6043e-05i,-0.00059302-0.00016733i,0.00012075+0.00010262i,0.00021424-1.8417e-05i,0.0010441-4.2165e-05i,0.00034056+0.00049322i,0.00071933+0.00042939i,0.00024117+8.2633e-05i,0.00032155-0.00024178i,-0.0003584+0.00014457i,0.0067024+0.0023695i,0.00034747+8.9746e-05i,0.00042463+0.00070624i,0.0010862-0.0004999i,0.00045732-1.6776e-05i,-0.0004427+0.0012385i,0.00025165+4.9551e-06i,0.0011184-0.0016364i,-0.001732-0.00085952i,-0.0021175-0.0099369i,-0.00036853+0.024022i,0.030111+0.0089024i,0.032849+0.0081248i,0.022999-0.013336i,0.024337+0.012005i,0.009819+0.036044i,0.014086+0.031324i,0.0017029+0.048535i,-0.034879+0.0064663i,0.0048767-0.0092427i,0.006155-0.00016845i,0.0087727-0.00089512i,0.0088422+0.0099625i,0.0001891+0.0074423i,-0.0074436-0.003215i,0.0040288-0.0078416i,-0.00049682+0.013372i,-0.00052599-0.0035971i,9.6711e-05+0.0014433i,-0.00036304-0.00019732i,0.0026589+7.2279e-05i,0.0035918-0.0011714i,-0.0040555-0.0016824i,0.0036039+0.00053061i,-0.0046758-0.0050455i,-0.0028502-0.0013965i,0.00018901+0.00042622i,-0.00023237-0.0039447i,-0.0010844-0.0036051i,-0.0014031-0.017337i,0.0031207+0.0021538i,-0.0038971-0.00265i,-0.0038345+0.0005322i,-0.0065341-0.00094384i,0.0031649+0.0030209i,-0.0044744-0.0071007i,0.0020821-0.0048312i,-0.0014185-0.0029452i,-0.0032795-0.0030849i,0.0062618+0.001815i,0.0021348+0.0023131i,0.0030816-0.0026702i,-0.0017753+0.0040433i,0.0042074+0.0052834i,0.0065311+0.016356i,-0.019805-0.013576i,-0.027933+0.0037263i,-0.026022+0.018903i,0.0053986-0.0020557i,0.013214-0.0071318i,-0.014634+0.0050118i
0.0040258-0.0061543i,0.013419-0.031003i,-0.012566-0.019181i,-0.0075513-0.017683i,-0.0077623-0.017922i,-0.0086943-0.014703i,0.018483-0.0090442i,0.016884-0.014241i,-0.0037869-0.0074168i,0.0028451+0.0014555i,-0.00035248+0.00061761i,-0.0013158+4.6794e-05i,0.0014701-0.00014325i,0.00085337-0.00060503i,-0.00096734-0.0021092i,0.0041346-0.0047109i,-0.0029886+8.8048e-06i,-0.00056927+0.00029891i,0.00048688-0.00033492i,-0.00027037+0.0014263i,-0.00031418+0.0011386i,-0.00015386-0.00026723i,0.0011078+0.00093521i,-0.0046397+0.00080906i,-0.00021083+0.00015774i,-1.4454e-05+0.00010734i,-0.00062232+6.8883e-05i,0.00011117+7.6432e-05i,0.00019345+9.3988e-06i,0.00065905-0.00039471i,0.00050257+0.00014583i,0.0008345+0.00050964i,0.00028602+1.2347e-05i,0.00029807-0.00049837i,-1.23e-05+0.00046116i,0.0065863+0.0010124i,0.00040204+4.42e-05i,0.00074883+0.00057565i,0.00056839-0.00086001i,0.00075592-0.00047717i,0.00014105+0.001327i,0.00013373-7.8593e-05i,0.00021498-0.0015032i,-0.0016189+0.00021627i,-0.0047866-0.0095327i,0.00052406+0.022029i,0.030644+0.0039041i,0.03196+0.0014291i,0.016237-0.01702i,0.026777+0.010509i,0.017168+0.033213i,0.022111+0.026764i,0.012547+0.042274i,-0.030212+0.012208i,0.0024598-0.009103i,0.0051727-0.0031731i,0.0080713-0.0036497i,0.010019+0.0054424i,0.0018735+0.0064148i,-0.007964+0.0020958i,0.00054315-0.0071915i,0.0025931+0.011144i,-0.0025322-0.0028467i,-0.0001291+0.002159i,-0.00037337+6.887e-05i,0.0031813-0.001521i,0.0042628-0.00029372i,-0.0032227-0.000562i,0.0038016+3.7816e-05i,-0.005538-0.002876i,-0.0022866-0.00077908i,-0.00028703+7.3205e-05i,-0.0023026-0.0043542i,-0.0022258-0.0028551i,-0.0069974-0.014722i,0.0032881-0.00013624i,-0.004598-0.0013015i,-0.002969+0.0016758i,-0.0059408+0.00083657i,0.0040123+0.0024035i,-0.0069158-0.0046646i,0.00032239-0.0064324i,-0.002273-0.0024262i,-0.0049086-0.0024332i,0.0070772-0.00077557i,0.0033265+0.0024047i,0.0027731-0.0023062i,-0.00063683+0.005351i,0.0041367+0.0031922i,0.010252+0.011954i,-0.025151-0.0050896i,-0.030926+0.0091936i,-0.020147+0.022541i,0.0037305-0.00071319i,0.0090092-0.0070747i,-0.014977+0.0071067i
