-0.0007752-0.042083i,-6.421e-06-0.046475i,-0.0077429-0.048097i,-0.030944-0.02337i,-0.022968+0.010602i,-0.0368-0.033803i,-0.064309-0.058689i,-0.019226-0.071624i,-0.024319-0.04442i,-0.0010704+0.016756i,-0.010228+0.012727i,-0.014512+0.013399i,0.0035207+0.013732i,-0.0028039-0.0019092i,0.0017753+0.0059796i,0.00016572+0.033956i,0.019847+0.057036i,0.0012983-0.00051091i,-0.0030595-0.0095036i,0.0075492+0.004132i,0.0015362+0.0014712i,-0.00056929+0.0031643i,-6.9756e-05-0.00058928i,-0.038344-0.0098926i,-0.0027104-0.0074312i,-0.00097916+0.0045935i,0.0055577-0.00017934i,0.00010366+0.0003262i,0.00059597-0.00084589i,0.00035603-0.0023161i,-0.0015567-0.0057485i,-0.00333-0.0060994i,-0.00104-0.0070257i,0.0031702-0.00035945i,0.0032417-0.0016582i,-0.0018455+0.038979i,0.0066898-0.004041i,0.0031097-0.00084407i,0.0053928-0.00031112i,-0.012833-0.0061399i,-0.00089556+0.00010028i,0.0097399-0.00056328i,0.0038183+0.0014744i,-0.0043816+0.002342i,-0.00032056+0.0105i,-0.0051537+0.017745i,0.02582-0.082229i,-0.00059642-0.054254i,-0.023447-0.042538i,-0.020025-0.037459i,0.062892-0.016792i,0.03068-0.058718i,0.038772-0.044746i,0.033954-0.052625i,0.019516-0.015418i,0.0076594+0.011848i,0.023679-0.034911i,-0.00818-0.0051712i,0.0028667-0.0014775i,-0.002637-0.0053211i,0.004671-0.031787i,-0.025402+0.030749i,0.0088822-0.010123i,-0.012741-0.0027095i,-0.0044947-0.0018114i,0.00025161-0.014255i,-0.010527+0.0051689i,0.0032106+0.0065579i,-0.0143+0.030306i,0.005801+0.0065448i,-0.0059728-0.0018859i,-0.0012737-0.0026197i,-0.012092-0.0076715i,8.36e-05-0.0033369i,-0.036486+0.006478i,0.0016737-0.012516i,-0.0093838-0.0027089i,-0.0068085-0.0033399i,0.0062725+0.0019307i,-0.0092211+0.002138i,-0.0001517+0.0017999i,0.0058586+0.010269i,0.0047928+0.00056249i,-0.0093947-0.010547i,0.0023193+0.0084289i,-0.020351+0.0052546i,0.0061858+0.0030273i,-0.028037-0.0087961i,-0.036369-0.0019255i,0.026274-0.078537i,0.013767-0.008946i,-0.043554-0.028474i,-0.025029-0.0061359i,0.01747+0.012317i,-0.026942+0.011103i,-0.012152-0.0098412i
-0.016563+0.026973i,-0.0013344+0.058219i,0.032209+0.038903i,0.0039507+0.012653i,-0.002133+0.0051674i,0.032412-0.0061564i,0.010334+0.016629i,0.011054+0.049943i,0.0048493+0.019102i,-0.0042409+0.0075697i,4.7336e-05+0.0015339i,0.0024183-0.0043446i,0.0024807-0.0023213i,0.0033776-0.0012545i,0.0038749-0.0014577i,0.0064529+0.00030043i,0.01097-0.0070874i,-0.0013563-4.3415e-05i,-0.0045696+0.00081663i,0.00012391+0.0024147i,-0.0013598-0.00014923i,-0.004463-0.0013696i,-0.0025059+0.00052482i,0.0059344+0.0084208i,0.0027362+0.0025349i,0.0022715+0.0011201i,0.0017563+0.0016346i,-0.0010376+0.0033758i,7.5832e-05+0.0011651i,-0.00085299+0.0012006i,0.0010338-0.0037606i,-0.0011598-0.0016264i,-0.00099392-0.00056192i,0.00029382+0.00021429i,-0.00024242-0.0021958i,-0.0069321+0.013657i,0.0027534-0.00023789i,0.00064433-0.00044386i,0.00014333+0.0028381i,-0.00022477-0.0041697i,-0.001673-0.00040856i,-0.0027447-0.0022951i,0.00058147+0.0064865i,0.0042821+0.0027545i,-0.032124+0.011651i,-0.074013+0.016865i,-0.043942+0.040135i,-0.019446+0.035163i,-0.0022263+0.049029i,-0.008878+0.030613i,0.010483+0.0090769i,-0.0075784-0.0080132i,-0.036422-0.0043201i,-0.043828+0.013956i,0.0082034+0.022255i,-0.0030399+0.0038598i,-0.0037612+0.0034727i,-0.013376-0.0026855i,0.0096402+0.0017928i,0.011643+0.01551i,-0.0038727+0.0092393i,-0.0068877-0.011314i,0.0062465-0.0035161i,-0.0064579-0.0045885i,0.0037704-0.0081776i,0.0057996-0.0022085i,-0.00057825+0.0096971i,0.013506-0.0051973i,0.00791-0.0073505i,0.0052336-0.0068423i,0.0034913-0.00091915i,-0.0026692-0.0069965i,-0.0041138-0.0018465i,0.0023174-0.00091969i,-0.010778+0.036854i,-0.0062549-0.0051838i,0.0011364+0.00081625i,-0.0002893-0.0081094i,0.0036425-0.00099174i,-0.013831-0.0050101i,0.0011063-0.00061788i,0.003958-0.0037728i,0.0024013-0.0021183i,0.00017225-0.0058982i,-0.00051278+0.0063205i,-0.00036982+0.0040541i,-0.0030367+0.0051311i,-0.011566-0.00088682i,-0.0094767+0.0018549i,-0.035111+0.03961i,-0.0082232+0.016047i,-0.023187-0.0056682i,-0.00034678-0.00070006i,0.010234+0.020371i,-0.0012033+0.020406i,-0.0057962-0.0010107i
-0.012519+0.026369i,0.0078126+0.055448i,0.038418+0.032888i,0.0066656+0.012964i,0.0015467+0.0059278i,0.030735-0.013198i,0.011528+0.01386i,0.018898+0.046495i,0.0078585+0.017726i,-0.0015733+0.0081466i,0.0011729+0.0016412i,0.00020157-0.0034191i,0.0015082-0.0023396i,0.0027764-0.0011821i,0.0032932-0.0020789i,0.0059981-0.00048111i,0.0076827-0.0088402i,-0.00058261+0.0004687i,-0.0045829+0.00095863i,0.0012008+0.0014856i,-0.0014185-9.9059e-05i,-0.0045392-0.00012528i,-0.0023107+0.000705i,0.0096127+0.0046736i,0.0029583+0.0025141i,0.00302+1.695e-05i,0.002023+0.00061829i,0.00029879+0.0034085i,-3.6053e-05+0.0013483i,-0.00046303+0.0016213i,-0.00066813-0.0035547i,-0.0019712-0.0015451i,-0.0013185-0.00023176i,0.00042721-7.5758e-06i,-0.0010818-0.00069795i,-0.0017885+0.014417i,0.0019683-0.0012475i,0.00049151-0.00035192i,0.0013541+0.0020357i,-0.0012213-0.0033244i,-0.0015419-0.00016915i,-0.0035712-0.0014274i,0.0019122+0.0064469i,0.0037436+0.0020689i,-0.028207+0.017142i,-0.066941+0.028752i,-0.039333+0.047909i,-0.011625+0.037035i,0.010963+0.044756i,-0.00023878+0.028026i,0.0056507+0.0022102i,-0.014572-0.011478i,-0.03882-0.0031738i,-0.03483+0.015169i,0.013688+0.01833i,-0.0029057+0.0045147i,-0.0022304+0.0067974i,-0.013376+0.0027204i,0.0080963-0.0019887i,0.015013+0.012015i,0.00092975+0.013563i,-0.012459-0.0092595i,0.0021137-0.0045718i,-0.0059638-0.0013006i,-0.00096548-0.0075358i,0.0040905-0.0044789i,0.0036769+0.0071814i,0.0088436-0.0087847i,0.0027201-0.008987i,0.0019291-0.0053941i,0.0041793-0.002124i,-0.0042275-0.0055691i,-0.0024827+0.00078813i,0.0029667-0.0011657i,0.0085275+0.03594i,-0.0076878-0.0036372i,0.0019694-0.0010256i,-0.0039822-0.0069584i,0.0040028-0.0021358i,-0.013731+0.0015846i,0.0013901-0.00017753i,0.0019975-0.0036252i,0.0025375-0.0031314i,-0.0013924-0.0055938i,0.0015499+0.0028636i,0.0014092+0.0032919i,-0.00010958+0.0059691i,-0.010519+0.0031126i,-0.009279+0.0036351i,-0.026903+0.039927i,-0.0058761+0.018967i,-0.024826-0.00037904i,-0.001254-0.0053043i,0.013033+0.019237i,0.0032238+0.02198i,-0.0081735-0.00077538i
-0.0097698+0.026327i,0.015151+0.051018i,0.044445+0.024635i,0.01087+0.010521i,0.0061997+0.0046765i,0.027203-0.020043i,0.011882+0.010935i,0.026267+0.041471i,0.011063+0.01632i,0.00040901+0.0080222i,0.0015419+0.00072633i,-0.00038923-0.0016117i,0.00045051-0.0025292i,0.0026121-0.001522i,0.0026086-0.0025583i,0.0054932-0.0012494i,0.0048428-0.0097673i,-0.00033442+0.00013133i,-0.0048704+0.0025298i,0.0012999+3.9646e-05i,-0.0019097-9.8826e-05i,-0.0040861+0.0011111i,-0.0023322+0.00096427i,0.0098049-0.00059928i,0.0044034+0.0012862i,0.0023918-0.0014378i,0.0018981-0.00017252i,0.001586+0.0026105i,0.00050466+0.0014695i,-6.7596e-05+0.0017912i,-0.0020205-0.0024958i,-0.0028635+9.5415e-06i,-0.0012326+0.00036954i,0.00014649-0.00032865i,-0.00062465+0.0003987i,0.0024608+0.013412i,0.0010811-0.001367i,0.00035592-0.00053168i,0.0017723+0.0011973i,-0.0021568-0.0024838i,-0.0015348+5.0355e-05i,-0.0037907-0.0001431i,0.0035124+0.0065164i,0.0040888+0.0019784i,-0.022467+0.020996i,-0.058694+0.038854i,-0.03086+0.055218i,-0.0031321+0.036076i,0.022394+0.036112i,0.0072615+0.025726i,-0.0009849-0.00033308i,-0.021622-0.010306i,-0.041594+0.0012564i,-0.02809+0.012629i,0.01682+0.012105i,-0.0025706+0.0050845i,-0.00068171+0.0067202i,-0.012172+0.0068527i,0.0047935-0.0058606i,0.017713+0.007449i,0.0070734+0.013828i,-0.015964-0.005141i,0.00047928-0.0026312i,-0.0050673+0.0014702i,-0.0031471-0.0051399i,0.0016914-0.0050799i,0.005409+0.0059392i,0.0053837-0.0095027i,-0.0025011-0.0073878i,0.0014184-0.0036916i,0.0035522-0.0047737i,-0.0064992-0.00377i,-0.00065809+0.0010298i,0.0019626-0.0025925i,0.02361+0.026075i,-0.0089649-0.00073105i,0.0018121-0.0020991i,-0.0041013-0.0044849i,0.0044229-0.0040677i,-0.0099251+0.0068657i,0.0026005-2.3862e-05i,0.00054657-0.0040755i,0.0011614-0.0034189i,-0.0033066-0.0042651i,0.00031703+0.0020313i,0.0024777+0.0019753i,0.0027935+0.0057326i,-0.0087495+0.0055447i,-0.0089275+0.0062649i,-0.020798+0.039055i,0.0018153+0.020937i,-0.023938+0.0036978i,-0.0037102-0.0090611i,0.01807+0.015889i,0.0090912+0.02308i,-0.010292+0.000992i
-0.0069693+0.026752i,0.020084+0.046825i,0.047459+0.014618i,0.013022+0.0058374i,0.0095631+0.00066162i,0.021587-0.025333i,0.011744+0.0090563i,0.031827+0.034819i,0.014184+0.013588i,0.0021389+0.007909i,0.0012735+0.00055123i,0.0001535-0.00072518i,-0.0010261-0.001634i,0.0019758-0.0015579i,0.0017514-0.0029639i,0.0048987-0.0016958i,0.001557-0.0094996i,5.6432e-05+0.00021362i,-0.0030014+0.0041029i,0.00054394-0.00071626i,-0.0020918+0.00082118i,-0.0034603+0.0023787i,-0.0022043+0.0015689i,0.0073241-0.004441i,0.0041815-0.00048018i,0.0013127-0.0017978i,0.0015511-0.00067205i,0.0019105+0.0016409i,0.001084+0.00086993i,0.00046112+0.0020247i,-0.0026885-0.00086249i,-0.002184+0.0014451i,-0.00091538+0.00072236i,-0.00019859-0.00037205i,-7.644e-05+0.00071692i,0.0061749+0.011511i,0.00067794-0.0013806i,3.3233e-05-0.00066497i,0.001796+0.00072111i,-0.0026768-0.0016234i,-0.001528+0.00042167i,-0.0034673+0.00094504i,0.0055365+0.0058325i,0.0046406+0.0016293i,-0.016092+0.021712i,-0.047659+0.046661i,-0.020971+0.060287i,0.0026357+0.033053i,0.030461+0.023371i,0.013695+0.019297i,-0.0082007+0.0017952i,-0.028876-0.0055717i,-0.043204+0.008173i,-0.02494+0.0084994i,0.017715+0.0054502i,-0.0018331+0.0064609i,0.00070671+0.0088313i,-0.0095026+0.010617i,-0.0008674-0.0055772i,0.019354+0.00028888i,0.012915+0.011074i,-0.018227-0.00017362i,3.584e-05-0.0019661i,-0.0028845+0.0028369i,-0.0040504-0.0020477i,-4.9522e-05-0.004582i,0.0072378+0.0026907i,0.0022214-0.0097207i,-0.0050064-0.0025826i,0.0015587-0.0031072i,0.00099773-0.0064552i,-0.0071446-0.00020362i,0.00075919+0.0013683i,0.00091199-0.0027759i,0.030906+0.011132i,-0.0084094+0.0034568i,0.0014664-0.0034688i,-0.0043632-0.0026698i,0.0027548-0.0068547i,-0.0047696+0.0082355i,0.003771-0.0015905i,-0.00092802-0.0030267i,0.00042787-0.0032252i,-0.0034372-0.0019206i,-0.00010047+0.0025787i,0.0026364+0.00026581i,0.0055648+0.0044546i,-0.0067434+0.0068841i,-0.0078662+0.0089145i,-0.01587+0.039866i,0.01292+0.016396i,-0.021428+0.0079185i,-0.0093746-0.011249i,0.019974+0.010305i,0.015641+0.021004i,-0.0092131+0.0028751i
-0.0033395+0.027282i,0.025289+0.044045i,0.048+0.0053267i,0.013506+0.0011597i,0.010161-0.0044781i,0.015697-0.028781i,0.011932+0.0080834i,0.035708+0.028377i,0.016594+0.01017i,0.0039614+0.0072697i,0.0011726+0.00073401i,0.00092969-0.00072856i,-0.0013105+9.6448e-05i,0.0015364-0.0016937i,0.00083649-0.0027793i,0.0046251-0.0018753i,-0.00069885-0.0080869i,-8.1113e-06+0.00025581i,-0.0014512+0.0040546i,-0.00025525-0.00081712i,-0.0017578+0.001442i,-0.0021051+0.0032646i,-0.001662+0.0022384i,0.0040388-0.0062466i,0.0032643-0.0018205i,0.00069152-0.0019315i,0.0010689-0.0010834i,0.0019011+0.0008974i,0.0010223+0.00029835i,0.0013698+0.0018995i,-0.0022145+0.00039066i,-0.0011974+0.0020237i,-0.00055975+0.00083459i,-0.00027355+0.00012937i,0.00050138+0.00093173i,0.0089644+0.0086823i,0.00014728-0.0011382i,-0.0003502-0.00053195i,0.0020817+0.000362i,-0.0027752-0.00083061i,-0.0013237+0.00053311i,-0.003018+0.0019298i,0.0071037+0.0040711i,0.004636+0.00039594i,-0.01245+0.021027i,-0.035467+0.05105i,-0.0082669+0.063613i,0.0077136+0.030861i,0.031871+0.0095302i,0.015778+0.01229i,-0.011761+0.008815i,-0.033223+0.004065i,-0.043777+0.017757i,-0.026218+0.00529i,0.014674-0.00040872i,0.00023892+0.0075367i,0.004874+0.0087122i,-0.0058068+0.013102i,-0.0032842-0.0023133i,0.016958-0.0081144i,0.01712+0.0058271i,-0.018472+0.0057455i,0.0001254-0.00070673i,-0.00094236+0.0030826i,-0.0025456-0.00012489i,-0.0022718-0.003356i,0.0066178+0.00055938i,-0.00064509-0.0086786i,-0.0040641+0.0013554i,0.0018132-0.0034354i,-0.0018594-0.0064837i,-0.0050851+0.0023912i,0.0024244+0.00026005i,0.00052124-0.0024231i,0.030372-0.0032689i,-0.0051611+0.0061316i,4.3082e-06-0.0046558i,-0.0035374-0.0019152i,1.1626e-05-0.0077957i,-0.0014092+0.007375i,0.0034827-0.0032648i,-0.0012834-0.0011887i,0.00020589-0.002642i,-0.0019131-0.00089642i,0.00077419+0.0032359i,0.001633-0.00087205i,0.0064408+0.0014685i,-0.0049907+0.0071917i,-0.0051659+0.011693i,-0.00992+0.040132i,0.018225+0.0035905i,-0.016824+0.0087497i,-0.016379-0.010259i,0.020782+0.0050731i,0.020922+0.014651i,-0.0092193+0.0028621i
0.00065638+0.026755i,0.031334+0.04026i,0.047413-0.0036611i,0.013003-0.0037094i,0.0093989-0.0087011i,0.0093846-0.03114i,0.013235+0.0073184i,0.03865+0.021849i,0.018431+0.0057642i,0.0053468+0.0061567i,0.0017768+0.00080254i,0.0013197-0.001096i,-0.00018479+0.0012794i,0.0011748-0.0015347i,0.00028757-0.0024734i,0.0047131-0.0020571i,-0.0017123-0.007034i,0.0006163+9.5025e-05i,-0.00033187+0.0039192i,-0.00081722-0.00055575i,-0.0010153+0.0017127i,-0.00058464+0.0032707i,-0.00086401+0.002581i,0.0003057-0.0066793i,0.0024811-0.0025715i,-0.00011731-0.0020327i,0.00047946-0.0012557i,0.0018839+0.00036843i,0.00083747+2.3096e-05i,0.0018682+0.0010396i,-0.0015905+0.0010755i,-0.00020196+0.002197i,-0.00028561+0.00099825i,5.9104e-06+0.0001277i,0.00089859+0.00024228i,0.010103+0.0053776i,-0.00012841-0.00094965i,-0.0004851-0.00016981i,0.0016638-0.00042881i,-0.0024358-0.00019699i,-0.0013662+0.00075378i,-0.0022396+0.0025373i,0.0078256+0.0021694i,0.0043339-0.00012155i,-0.0096606+0.020163i,-0.024054+0.051912i,0.0054249+0.061778i,0.012922+0.028353i,0.028925-0.0020315i,0.015433+0.0068566i,-0.0097641+0.016664i,-0.031618+0.015834i,-0.039028+0.03072i,-0.029831+0.0061617i,0.010621-0.0028582i,0.002718+0.0071255i,0.0076441+0.006182i,-0.0012852+0.014587i,-0.0036692+0.00017221i,0.010306-0.014992i,0.018012-0.0017684i,-0.016431+0.01054i,0.0011646-0.00034013i,0.00040211+0.0023262i,-0.00098892+4.0305e-05i,-0.0025917-0.00078508i,0.005464-0.00081531i,-0.0023548-0.0068736i,-0.00124+0.0035712i,0.0013965-0.0045482i,-0.003972-0.0048364i,-0.0034266+0.002847i,0.0024644-0.0016704i,0.00085452-0.0023372i,0.023909-0.01506i,-0.00157+0.006855i,-0.0019973-0.0042858i,-0.0034862-0.0012296i,-0.002988-0.0074458i,0.0006359+0.0062975i,0.0028853-0.0046794i,-4.5416e-05-0.00046232i,3.9464e-05-0.0034449i,-0.00063046-0.0014205i,0.0016412+0.0034767i,0.00033878-0.00044873i,0.005549-0.00028658i,-0.0039942+0.0069705i,-0.0010736+0.012804i,-0.0040959+0.039574i,0.01434-0.0080248i,-0.014437+0.005696i,-0.023073-0.0050221i,0.018908-0.0017769i,0.022127+0.0076497i,-0.0095709+0.0043064i
0.0047396+0.025884i,0.036741+0.035101i,0.044687-0.013163i,0.010099-0.0090983i,0.0074696-0.013123i,0.0026574-0.031808i,0.015371+0.0054177i,0.040788+0.014872i,0.018523+0.0012683i,0.0063168+0.0054455i,0.0021117+0.00040352i,0.0013925-0.0021983i,0.00093015+0.0014355i,0.00093442-0.0015236i,-9.2944e-05-0.0020384i,0.0047684-0.0027515i,-0.0030471-0.0064048i,0.0003178-0.00052203i,0.001133+0.0034911i,-0.0014318+6.9859e-05i,-0.00075902+0.001612i,0.00055748+0.0022937i,-0.00021843+0.0026485i,-0.0029912-0.0052055i,0.0010208-0.0038449i,-0.00090197-0.001453i,-0.00028253-0.0012414i,0.0017593-4.7106e-05i,0.00083463-0.00014876i,0.0018256+0.00010504i,-0.00069177+0.0014455i,0.0005167+0.0021743i,-7.8084e-05+0.0012259i,-6.6054e-05+0.00015252i,0.00033877-0.00057123i,0.010077+0.0025095i,-0.00051352-0.00059766i,-0.00055645-3.0128e-07i,0.0013782-0.00068918i,-0.0017445+3.6232e-05i,-0.0012245+0.0012067i,-0.0012533+0.0030485i,0.008229-8.8009e-05i,0.0039632-0.00067607i,-0.0075612+0.019746i,-0.014136+0.050951i,0.016849+0.055835i,0.018231+0.024953i,0.022818-0.010691i,0.014104+0.0033235i,-0.0037173+0.02172i,-0.023189+0.02538i,-0.026927+0.040726i,-0.032515+0.010817i,0.0070769-0.0033028i,0.0045462+0.0056841i,0.0085463+0.0027767i,0.0034398+0.013795i,-0.0036234+0.0021603i,-0.00030272-0.016538i,0.014699-0.0082023i,-0.013605+0.014153i,0.0019533-0.0016739i,0.00096042+0.0013385i,-0.00077583-0.00060266i,-0.0011329+0.00082561i,0.0046657-0.0010931i,-0.0031636-0.0058376i,0.0016329+0.003563i,6.4046e-05-0.0057722i,-0.005129-0.0027696i,-0.0017536+0.0032193i,0.0013706-0.0032904i,0.00070031-0.0033491i,0.014057-0.021302i,0.0013583+0.00617i,-0.003059-0.0032782i,-0.0030216-0.0010696i,-0.0051914-0.0060466i,0.0019025+0.0049142i,0.001687-0.0066786i,0.00079572-0.00098108i,-0.0010985-0.0036381i,-0.0010295-0.0023584i,0.0031957+0.0034471i,-1.0584e-05+0.00080632i,0.0050696-0.0013589i,-0.0035093+0.0074552i,0.0024415+0.011524i,0.002071+0.038738i,0.0070785-0.015714i,-0.016838+0.0026427i,-0.025223+0.0035529i,0.01289-0.0061023i,0.022127+0.0017668i,-0.0079906+0.0050983i
0.0089231+0.023621i,0.041925+0.029716i,0.039459-0.020995i,0.0046667-0.012017i,0.0035945-0.016676i,-0.0033738-0.030816i,0.017503+0.0023614i,0.041387+0.0076585i,0.01799-0.0031557i,0.0080015+0.0045976i,0.0023821+0.00019537i,0.00033359-0.0032214i,0.001992+0.0011394i,0.00074461-0.0014302i,-8.6131e-05-0.0018271i,0.0044616-0.0034231i,-0.0050242-0.0048761i,-2.838e-05-0.00055013i,0.0022064+0.002204i,-0.0013227+0.0012731i,-0.00040137+0.0018413i,0.00043969+0.00097745i,0.00045617+0.0026298i,-0.0048984-0.0023163i,-0.0015669-0.003431i,-0.0011533-0.00078358i,-0.00074051-0.00082086i,0.0015184-0.00039386i,0.00061908-0.00066739i,0.0014748-0.00042788i,0.00017745+0.0012421i,0.0011728+0.0017653i,0.00044514+0.0013972i,2.8172e-05+0.00032227i,-0.00046574+1.311e-05i,0.0095728-9.8564e-05i,-0.00056206-0.0001232i,-0.00047103+0.00029992i,0.0012072-0.00090201i,-0.0013093-0.00020873i,-0.00081966+0.0017264i,-0.00025629+0.0030018i,0.0076398-0.0025981i,0.0034358-0.00097499i,-0.0052872+0.019433i,-0.0051177+0.048062i,0.024716+0.048434i,0.023334+0.020216i,0.015625-0.015178i,0.012541+0.00126i,0.0033035+0.023494i,-0.012768+0.028722i,-0.011542+0.044477i,-0.032149+0.017818i,0.005457-0.0026201i,0.0058723+0.0036681i,0.0080418+4.7251e-05i,0.0076813+0.011138i,-0.0027308+0.0045273i,-0.0090808-0.011883i,0.0096086-0.011676i,-0.010024+0.017149i,0.0010646-0.003265i,0.0008485+0.00073146i,-0.0012493-0.00061258i,0.00096744+0.001368i,0.004293-0.0015022i,-0.0045327-0.0044646i,0.0037435+0.0018386i,-0.0026838-0.0061817i,-0.0051745-0.00053726i,8.3548e-05+0.002426i,0.00033067-0.0040793i,-0.00010049-0.0041839i,0.0040944-0.02243i,0.0034401+0.0046298i,-0.0036235-0.0024502i,-0.0037693-0.0010742i,-0.0068597-0.003737i,0.0020284+0.0039711i,-0.0010745-0.0082874i,0.00117-0.0017396i,-0.0018503-0.0028142i,-0.0016331-0.0025824i,0.0045023+0.0024441i,0.00055242+0.0017044i,0.003673-0.0024696i,-0.0027218+0.0082247i,0.0049862+0.0092667i,0.0091679+0.037277i,-0.0035214-0.02016i,-0.020915+0.0030413i,-0.022451+0.011678i,0.0070537-0.0058473i,0.019503-0.005002i,-0.0061881+0.0036736i
0.012115+0.020072i,0.046702+0.022523i,0.033588-0.026512i,6.1674e-06-0.011579i,-0.0010948-0.018572i,-0.0083358-0.029161i,0.018803-0.0022121i,0.041043+0.001039i,0.016434-0.0071241i,0.0095876+0.0024803i,0.0030686-0.00040294i,-0.001033-0.0029571i,0.0026769-6.4652e-05i,0.00066912-0.0015091i,-0.00028291-0.0018102i,0.0042339-0.0038853i,-0.0055245-0.0025999i,-0.00023038-0.00099485i,0.0021111+0.00078458i,-0.00050081+0.0018571i,8.8556e-05+0.0017876i,-1.1049e-05+0.00051861i,0.0011763+0.0023302i,-0.0052249+0.00097983i,-0.0025762-0.0015359i,-0.0011911-0.00021803i,-0.00086393-0.00044834i,0.0012507-0.00072417i,2.1019e-05-0.00046481i,0.0010054-0.00094525i,0.00084682+0.0007284i,0.0014751+0.0013212i,0.0011265+0.0010569i,0.00038779+0.00045418i,-0.00032111+0.00077541i,0.0083498-0.0021675i,-0.00057909+0.00035793i,-0.00021907+0.00054028i,0.00092182-0.0012915i,-0.0011052-0.00046892i,-6.8583e-05+0.0019031i,0.0004666+0.002683i,0.005931-0.0046389i,0.0028151-0.0011382i,-0.0033791+0.019339i,0.0014265+0.043627i,0.03025+0.041328i,0.026711+0.013595i,0.0094443-0.016686i,0.011847+0.0013362i,0.01073+0.022982i,-0.0033291+0.029551i,0.0024569+0.042381i,-0.028445+0.025159i,0.0047827-0.0028262i,0.0064201+0.00092783i,0.0075784-0.0023495i,0.01054+0.0070436i,-0.00033896+0.0051205i,-0.013269-0.0046796i,0.0042872-0.012922i,-0.0046981+0.018565i,-0.00071617-0.0036139i,0.0002779+0.00078937i,-0.0016047-0.00011376i,0.0024785+0.00017421i,0.0040296-0.0011961i,-0.0050171-0.0023596i,0.0038617-0.00034855i,-0.0051211-0.0043468i,-0.0037917+0.0010014i,0.00057061+0.00088507i,-0.00084145-0.0046879i,-0.0014612-0.0043419i,-0.0039968-0.019886i,0.0049924+0.0022128i,-0.0046561-0.0012867i,-0.0042066+0.00058194i,-0.0072354-0.00077149i,0.0027012+0.0038612i,-0.0051063-0.0080679i,0.0010385-0.0030214i,-0.0022319-0.0024147i,-0.0024968-0.003173i,0.0054785+0.0013421i,0.0015134+0.0020694i,0.0022414-0.002028i,-0.0016369+0.0085659i,0.0062778+0.0066846i,0.016501+0.033174i,-0.015231-0.018208i,-0.024475+0.0057093i,-0.016591+0.015768i,0.004132-0.0043206i,0.01401-0.0091029i,-0.0077388+0.0025572i
0.013577+0.01656i,0.049883+0.014013i,0.027776-0.030881i,-0.0028387-0.010201i,-0.0059523-0.018865i,-0.013234-0.027228i,0.018418-0.0078944i,0.039891-0.0056212i,0.013838-0.010625i,0.010272-0.00014957i,0.0034937-0.0017031i,-0.0019445-0.0020783i,0.0022977-0.0012813i,0.00050789-0.0015543i,-0.00073427-0.001841i,0.0040412-0.0045946i,-0.0051742-0.00082011i,-0.0009622-0.0012931i,0.0018007+4.6263e-05i,0.00031456+0.0019662i,0.00044199+0.0017815i,-0.00040541+0.00062737i,0.0016086+0.001741i,-0.0037011+0.0038824i,-0.0022387+8.7746e-05i,-0.0010564+0.0004109i,-0.00087857-0.00014641i,0.00078737-0.00081287i,-0.00011233-0.00011461i,0.00030044-0.0010812i,0.0011394+0.00010521i,0.0018871+0.00096599i,0.0013973+0.00053248i,0.00060852+6.4978e-05i,0.00044277+0.0010241i,0.006905-0.0036469i,-0.00021246+0.00059908i,7.5825e-05+0.00064405i,1.7811e-05-0.0014106i,-0.00083617-0.00064916i,0.00055926+0.0019076i,0.0010505+0.0022682i,0.0037505-0.0054527i,0.0025548-0.00037317i,-0.0012738+0.019282i,0.0057541+0.040138i,0.034651+0.03418i,0.027804+0.0079326i,0.0040205-0.017524i,0.013815+0.0015159i,0.017556+0.01935i,0.0069515+0.02731i,0.015248+0.035533i,-0.020829+0.03077i,0.0039881-0.003148i,0.0051658-0.0026035i,0.0064715-0.0047826i,0.010698+0.0021148i,0.00077777+0.0043891i,-0.013858+0.0034667i,-0.0010367-0.011939i,-0.0004893+0.016855i,-0.0024141-0.0027185i,-2.3222e-07+0.0015856i,-0.0015316+0.00054679i,0.0033534-0.0014485i,0.0048874-0.00086699i,-0.0040828-0.0008254i,0.0035584-0.00089779i,-0.0059936-0.0021468i,-0.0024686+0.0013122i,0.00019475+0.00026546i,-0.003123-0.0048896i,-0.0028929-0.0034566i,-0.010288-0.015958i,0.0049902-0.00066937i,-0.0049811+0.00051099i,-0.0031229+0.0019701i,-0.0064311+0.0015471i,0.0040429+0.0034837i,-0.0082627-0.0053966i,-0.00033903-0.0044141i,-0.0029116-0.0016687i,-0.0043181-0.0029069i,0.0065841-0.00085212i,0.0026496+0.0021773i,0.0023273-0.0017232i,0.00022409+0.0091321i,0.0061771+0.0041257i,0.022452+0.026987i,-0.021882-0.010001i,-0.027071+0.01097i,-0.010506+0.01762i,0.0019665-0.0021622i,0.0090188-0.0091573i,-0.0084791+0.0029077i
