-0.0011354-0.041796i,-0.00094535-0.046748i,-0.0081938-0.047711i,-0.030372-0.023906i,-0.022755+0.010824i,-0.036692-0.033413i,-0.064049-0.058181i,-0.019069-0.070902i,-0.026817-0.04781i,-0.00023271+0.015974i,-0.011085+0.012367i,-0.014471+0.013325i,0.0047754+0.014637i,-0.002649-0.0019321i,0.0018324+0.0059775i,-0.00011583+0.033795i,0.01701+0.057644i,0.0011702-0.00075662i,-0.003829-0.0095756i,0.0076004+0.0050229i,0.0016316+0.0011504i,-0.0010115+0.0031775i,-6.0683e-05-0.00062497i,-0.036948-0.01086i,-0.0033407-0.0075384i,-0.001464+0.0043441i,0.0027292-0.00017942i,-0.00015275+0.00054735i,0.00082049-0.00076099i,3.9971e-05-0.0021847i,-0.0016248-0.0055597i,-0.0030225-0.0064848i,-0.0010308-0.0073159i,0.0033171-0.00010076i,0.0030116-0.0016308i,-0.0038331+0.040189i,0.0065494-0.0042423i,0.0033058-0.00081207i,0.0047131-0.00035536i,-0.011311-0.0029542i,-0.0010998-5.0919e-05i,0.0098109+0.0027168i,0.003488+0.0013476i,-0.0042601+0.0017233i,-0.0004999+0.0089667i,-0.0052169+0.017869i,0.026422-0.082385i,-0.0010063-0.052611i,-0.022939-0.04159i,-0.019597-0.037625i,0.062801-0.016905i,0.030737-0.058263i,0.038917-0.044239i,0.0338-0.052483i,0.018974-0.01613i,0.0074541+0.011833i,0.024325-0.033169i,-0.0081384-0.0052803i,0.0031357-0.0013088i,-0.0026734-0.0052908i,0.0047956-0.03228i,-0.025361+0.029929i,0.0083675-0.010242i,-0.012242-0.0025421i,-0.0045308-0.0017837i,0.00024543-0.014301i,-0.010576+0.0052714i,0.0031692+0.0067842i,-0.013744+0.030383i,0.005596+0.0064348i,-0.005666-0.0021456i,-0.0014781-0.0025774i,-0.011499-0.0075202i,2.0971e-05-0.0035181i,-0.03086+0.0023755i,0.0016515-0.012762i,-0.00943-0.0026682i,-0.0068171-0.00318i,0.0060637+0.0019705i,-0.0088936+0.0020543i,-7.1534e-07+0.002033i,0.0058503+0.010182i,0.0050941+0.0006321i,-0.0090586-0.0092684i,0.0017349+0.0085832i,-0.019289+0.0050214i,0.0062154+0.0036696i,-0.028317-0.008705i,-0.036271-0.0018326i,0.026097-0.078212i,0.014321-0.0092904i,-0.042779-0.027947i,-0.024718-0.006584i,0.017531+0.012015i,-0.027332+0.010502i,-0.012118-0.0098106i
-0.016011+0.026101i,-0.00046399+0.057033i,0.031368+0.038329i,0.0035137+0.013118i,-0.0021741+0.0051141i,0.031897-0.0062685i,0.010509+0.016343i,0.010912+0.049811i,0.0053273+0.019074i,-0.0043729+0.0094344i,7.3584e-05+0.0013457i,0.0022049-0.0044045i,0.0024671-0.0022294i,0.0033285-0.0013153i,0.0038785-0.001377i,0.0066381+0.00060538i,0.010823-0.0066065i,-0.0013853+0.00011385i,-0.004496+0.00056351i,-5.9532e-05+0.0025193i,-0.0013374-0.00010299i,-0.0044738-0.0011701i,-0.0024495+0.00062098i,0.0049891+0.0091197i,0.0030017+0.0026088i,0.0020664+0.0010149i,0.0016809+0.0015791i,-0.00079224+0.003229i,0.00010494+0.0010588i,-0.0010764+0.0012074i,0.001194-0.0036371i,-0.0011837-0.00146i,-0.0013457-0.00062807i,0.00015594+0.00017636i,-0.00040689-0.0022249i,-0.0082949+0.012815i,0.0027987-0.00057602i,0.00065972-0.00047719i,-5.8886e-05+0.0025601i,-0.00070342-0.0040943i,-0.0016711-0.00038921i,-0.0021973-0.002461i,0.00050005+0.0064127i,0.0041816+0.0024798i,-0.033061+0.012089i,-0.073326+0.017275i,-0.044226+0.039981i,-0.019018+0.03419i,-0.0021684+0.047834i,-0.0088134+0.03006i,0.010486+0.0091981i,-0.0073835-0.0081068i,-0.035664-0.0043535i,-0.043385+0.013318i,0.0090474+0.021746i,-0.0032522+0.0038158i,-0.0035588+0.0033032i,-0.013206-0.0026807i,0.0097151+0.0017543i,0.011676+0.015557i,-0.0037334+0.009042i,-0.0065918-0.011308i,0.0064098-0.0036307i,-0.0064072-0.0044397i,0.0035187-0.0081029i,0.0058551-0.0020064i,-0.00057575+0.0099305i,0.013491-0.0053744i,0.0077674-0.0069463i,0.0058898-0.0076326i,0.0032811-0.0008694i,-0.0026728-0.0073122i,-0.0038352-0.0016507i,0.0023933-0.00097262i,-0.012376+0.035433i,-0.0050121-0.0054497i,0.0012707+0.00070823i,-0.00046752-0.008051i,0.0036295-0.00090328i,-0.013631-0.0046684i,0.0011195-0.00054155i,0.0041779-0.0037167i,0.0023041-0.0020404i,1.7052e-05-0.0055246i,-0.00037694+0.0064698i,-0.0003572+0.0042698i,-0.0029985+0.0051016i,-0.011511-0.00076268i,-0.009462+0.0019432i,-0.035513+0.039726i,-0.0088868+0.01666i,-0.024067-0.0053084i,-0.00035399-0.00075767i,0.010479+0.01981i,-0.0019574+0.020604i,-0.0055771-0.0010237i
-0.012184+0.025384i,0.0082283+0.054254i,0.037472+0.032493i,0.0061984+0.013265i,0.0014675+0.0058986i,0.030275-0.01312i,0.011692+0.013477i,0.018709+0.046278i,0.0084899+0.017559i,-0.0015463+0.0096007i,0.0010661+0.0015i,2.5535e-05-0.0034068i,0.0015015-0.0021881i,0.0027233-0.0011435i,0.0033184-0.0020355i,0.006255-0.00028297i,0.0076744-0.0085858i,-0.00055002+0.0004927i,-0.0046347+0.0009595i,0.0011662+0.0016747i,-0.0013743-6.5119e-05i,-0.0045564+2.2263e-06i,-0.0022907+0.00078362i,0.0090685+0.0058357i,0.0031626+0.0027162i,0.0028061-4.3475e-05i,0.0018996+0.00063394i,0.00041944+0.0032747i,1.909e-06+0.0012713i,-0.00061255+0.0016531i,-0.00050647-0.0036333i,-0.0018093-0.0013275i,-0.0014736-0.00032409i,0.00029193-6.7676e-06i,-0.0012247-0.0007152i,-0.0030559+0.013878i,0.0018789-0.0014853i,0.00047868-0.00037306i,0.0010879+0.0019712i,-0.0015125-0.0031297i,-0.0015445-7.9285e-05i,-0.0027622-0.0017643i,0.0019815+0.0062718i,0.0035662+0.0018608i,-0.028946+0.018175i,-0.066085+0.028688i,-0.039341+0.047918i,-0.011561+0.035956i,0.010457+0.043684i,8.9209e-05+0.026998i,0.0056155+0.0021135i,-0.014426-0.011558i,-0.037622-0.0035121i,-0.034619+0.014622i,0.013989+0.017772i,-0.0029852+0.0045615i,-0.0021452+0.0064537i,-0.012988+0.0026671i,0.0081842-0.0019511i,0.014857+0.012022i,0.0010164+0.013478i,-0.011972-0.0092072i,0.0021339-0.0047319i,-0.0059931-0.0012272i,-0.0010559-0.0072486i,0.0041859-0.0044494i,0.0036942+0.0072836i,0.0086582-0.0086611i,0.0028005-0.0085575i,0.0020802-0.0060127i,0.004016-0.0021111i,-0.0040113-0.0059567i,-0.002318+0.00078859i,0.0031025-0.0013719i,0.0082756+0.036778i,-0.006957-0.0035239i,0.0020491-0.001165i,-0.0040641-0.0069743i,0.0039486-0.0020756i,-0.013587+0.0018691i,0.0013499-9.8925e-05i,0.0021232-0.0036825i,0.0025458-0.0030993i,-0.0011906-0.0053757i,0.0014457+0.0028043i,0.0015225+0.003504i,-0.00023056+0.0060091i,-0.010423+0.0030996i,-0.0091801+0.0036932i,-0.027252+0.0405i,-0.0061469+0.019753i,-0.024497-0.00042162i,-0.0013182-0.0052537i,0.013142+0.018865i,0.0027061+0.022471i,-0.0080932-0.00089811i
-0.0097516+0.025343i,0.015469+0.049922i,0.043362+0.024621i,0.010399+0.010763i,0.0061211+0.0046661i,0.026854-0.019783i,0.011992+0.010501i,0.026097+0.041118i,0.011545+0.015998i,0.00095565+0.010142i,0.0013336+0.00064377i,-0.00055044-0.0016186i,0.00052166-0.0023847i,0.0025936-0.0014956i,0.0025938-0.0024944i,0.005702-0.0011934i,0.0047426-0.0095919i,-0.00028006+0.00022943i,-0.0050149+0.002965i,0.0013474+0.00014247i,-0.0018333-0.00012082i,-0.0040343+0.0012385i,-0.002321+0.0010592i,0.01006+0.00050176i,0.004816+0.0013999i,0.0022231-0.0014152i,0.0017838-9.7284e-05i,0.0016459+0.0026334i,0.00049362+0.0013808i,-0.00020924+0.0018688i,-0.0020401-0.0026804i,-0.0024647+6.161e-05i,-0.0013984+0.00011712i,6.5594e-05-0.00024707i,-0.00077652+0.00043462i,0.00070131+0.01301i,0.00089332-0.0015554i,0.00034687-0.00056214i,0.0015085+0.0012024i,-0.0023103-0.0022088i,-0.0015161+4.0151e-05i,-0.0031513-0.0016249i,0.0035825+0.006083i,0.0038989+0.0018559i,-0.022498+0.022205i,-0.057774+0.038452i,-0.030563+0.055187i,-0.0034331+0.035152i,0.021582+0.035348i,0.0068096+0.031039i,-0.0011664-0.00053004i,-0.021519-0.010594i,-0.04048+0.00045842i,-0.028021+0.012305i,0.016584+0.01149i,-0.0025867+0.0052518i,-0.00084737+0.0064089i,-0.011867+0.0066288i,0.004834-0.0058322i,0.017656+0.007477i,0.0072013+0.013754i,-0.015536-0.0052827i,0.00047981-0.0028172i,-0.005102+0.0015775i,-0.0030961-0.005122i,0.0015939-0.0050451i,0.0054843+0.0061779i,0.0051421-0.0091808i,-0.002383-0.0066565i,0.0012782-0.0040044i,0.0034974-0.0048576i,-0.0063951-0.0043154i,-0.00059732+0.0010693i,0.0020131-0.0027936i,0.024053+0.026107i,-0.0085815-0.00068632i,0.0018627-0.0022107i,-0.0040915-0.0045106i,0.0044176-0.0040075i,-0.0096673+0.0068446i,0.0025002-8.8021e-06i,0.00056755-0.004224i,0.0012541-0.003495i,-0.0030043-0.0042945i,0.00023667+0.0019909i,0.0027016+0.0021245i,0.0026797+0.0055928i,-0.0086141+0.0053671i,-0.0088675+0.0063391i,-0.020901+0.039943i,0.002017+0.021613i,-0.023907+0.0037204i,-0.0037956-0.009073i,0.018031+0.015585i,0.0088523+0.023627i,-0.010172+0.00082743i
-0.0072068+0.025745i,0.020272+0.045797i,0.046809+0.014994i,0.012634+0.0059981i,0.0095164+0.00054676i,0.021308-0.024963i,0.011757+0.0085632i,0.031657+0.034525i,0.014783+0.01313i,0.0045239+0.0088574i,0.0011959+0.00055929i,6.9311e-05-0.00069428i,-0.00087967-0.0015972i,0.0018976-0.0015596i,0.001734-0.0029439i,0.00498-0.0017318i,0.0016201-0.0092839i,0.00019398+0.00027144i,-0.0028753+0.0045527i,0.00058375-0.00065491i,-0.0020911+0.00071705i,-0.0033207+0.0024454i,-0.0021753+0.0016769i,0.0081549-0.0037006i,0.0047104-0.00068259i,0.0011856-0.0017268i,0.0014827-0.00059019i,0.0020759+0.0016054i,0.0010543+0.0008063i,0.00028327+0.002232i,-0.0028175-0.00094395i,-0.0018211+0.0012416i,-0.00091555+0.00054112i,-0.0002241-0.00025574i,-0.00019757+0.00072783i,0.0042752+0.011864i,0.00040216-0.0014714i,-3.1679e-05-0.00071066i,0.0015634+0.00080765i,-0.0027149-0.0012957i,-0.0016057+0.0004089i,-0.0015575-0.00024643i,0.0053035+0.0052443i,0.0045152+0.001663i,-0.015564+0.022471i,-0.047103+0.04595i,-0.020848+0.059995i,0.0024376+0.032338i,0.029565+0.023072i,0.013413+0.020086i,-0.0085164+0.0016134i,-0.028737-0.0059726i,-0.042203+0.0067725i,-0.024857+0.0083519i,0.017452+0.0052418i,-0.0016432+0.0065409i,0.0003894+0.0086956i,-0.0091614+0.010467i,-0.00079292-0.0055272i,0.019323+0.00022148i,0.01309+0.011034i,-0.017763-0.00039671i,-7.5426e-05-0.0021403i,-0.0027965+0.0029529i,-0.0041628-0.0021454i,-0.00012251-0.0045692i,0.007402+0.0027923i,0.0019933-0.0096879i,-0.0043484-0.0024927i,0.0013732-0.0031926i,0.00093696-0.0065605i,-0.0069851-0.00055708i,0.00071771+0.0013893i,0.0008258-0.0028825i,0.03015+0.01142i,-0.0082514+0.0034522i,0.0014772-0.0035952i,-0.0043909-0.0027242i,0.0028353-0.0067583i,-0.0046518+0.0079948i,0.00372-0.0015756i,-0.00099064-0.0031593i,0.00042071-0.0033503i,-0.0031641-0.0021287i,-3.9002e-05+0.0025839i,0.0027534+0.00023518i,0.0052738+0.0040003i,-0.0066777+0.0067361i,-0.0077733+0.0089978i,-0.015683+0.040595i,0.013661+0.016894i,-0.021523+0.0080672i,-0.0094792-0.011287i,0.019678+0.010184i,0.015959+0.021564i,-0.0091803+0.0025795i
-0.0038622+0.026404i,0.025289+0.042957i,0.047702+0.0057963i,0.013135+0.0012791i,0.0099926-0.004623i,0.01562-0.028414i,0.011809+0.0075244i,0.035514+0.028192i,0.017051+0.0093752i,0.0054032+0.0065684i,0.0010282+0.00071291i,0.00090535-0.00081459i,-0.0011967+5.0647e-05i,0.001434-0.0016639i,0.00084999-0.0027629i,0.004604-0.0019083i,-0.00054658-0.0080679i,0.00018468+0.00019736i,-0.0012179+0.0045512i,-0.00018628-0.00077227i,-0.0018046+0.0013244i,-0.0019296+0.003253i,-0.0016225+0.00225i,0.0050176-0.0063747i,0.0036191-0.0021629i,0.00057752-0.0018201i,0.0010296-0.0010028i,0.0020553+0.00088985i,0.00098418+0.0002394i,0.0012498+0.0021258i,-0.0024009+0.00028751i,-0.00094616+0.0016839i,-0.00060066+0.00071051i,-0.00026156+0.0002114i,0.00036937+0.00089978i,0.0066985+0.0093033i,-0.00014878-0.0011934i,-0.00038841-0.00054637i,0.0018905+0.00045931i,-0.0025537-0.00042451i,-0.0014253+0.00053906i,-0.0021988-0.00091316i,0.0066307+0.0031614i,0.0046158+0.00056869i,-0.011891+0.021518i,-0.035285+0.050235i,-0.0080757+0.063329i,0.0075193+0.030194i,0.031126+0.0095342i,0.01561+0.012732i,-0.012067+0.0087043i,-0.033245+0.0035926i,-0.043724+0.015873i,-0.026035+0.0052735i,0.014814-0.00058962i,0.00043462+0.0073495i,0.0046047+0.008759i,-0.0056323+0.013192i,-0.0032395-0.0022097i,0.016807-0.0082914i,0.017345+0.0058693i,-0.018227+0.0052195i,-2.5299e-05-0.0006829i,-0.00080778+0.0031161i,-0.0025713-0.00013631i,-0.0022709-0.0033867i,0.0067768+0.00051203i,-0.00084768-0.0084572i,-0.0037578+0.0011424i,0.0017353-0.0034804i,-0.0019511-0.006498i,-0.0050701+0.0023531i,0.0023916+0.00033317i,0.00046342-0.0024499i,0.02972-0.0029293i,-0.0051515+0.0061074i,-0.00011325-0.0047126i,-0.0034818-0.0019685i,-1.7643e-05-0.0077331i,-0.0013571+0.0071395i,0.0034168-0.0033999i,-0.0013095-0.0012006i,0.00014119-0.0027396i,-0.0018948-0.0012088i,0.00097139+0.0032509i,0.0015927-0.00099361i,0.004935+0.00085077i,-0.0050054+0.0070921i,-0.0049969+0.011691i,-0.009776+0.040941i,0.019019+0.0034006i,-0.016859+0.0088479i,-0.016624-0.010517i,0.020459+0.0052361i,0.021432+0.014818i,-0.0090486+0.0025894i
-9.3595e-05+0.026091i,0.031268+0.039296i,0.047171-0.0032387i,0.0127-0.0034956i,0.0091109-0.0087785i,0.0094358-0.030888i,0.012969+0.0067322i,0.038478+0.021638i,0.018442+0.0048588i,0.0060052+0.0055722i,0.0016297+0.00083296i,0.0013775-0.0010733i,-0.00013797+0.0012335i,0.0010868-0.0014887i,0.00031004-0.0024879i,0.0046841-0.0020698i,-0.0016986-0.0070707i,0.0006952-1.6233e-05i,-0.00030181+0.004426i,-0.00074303-0.00048265i,-0.0010633+0.0016271i,-0.0004158+0.0031148i,-0.00088113+0.0025598i,0.00093534-0.0074616i,0.0027585-0.0029166i,-0.000137-0.0018572i,0.00050457-0.0011752i,0.0020353+0.00033766i,0.00077223-4.1533e-05i,0.0018249+0.0012639i,-0.0018342+0.001097i,-0.00013358+0.0018913i,-0.00022362+0.00074061i,6.9832e-05+0.00022103i,0.00065592+0.00029756i,0.0073054+0.0057664i,-0.00047756-0.00095281i,-0.00060235-0.00020048i,0.0014651-0.00028967i,-0.002177-5.0132e-05i,-0.0014123+0.00076194i,-0.0019582+0.0014757i,0.0070797+0.0013613i,0.0043363+0.00012763i,-0.0091243+0.020585i,-0.02421+0.051173i,0.0056408+0.061124i,0.012599+0.027722i,0.02821-0.0018856i,0.015316+0.0072599i,-0.010062+0.01666i,-0.031903+0.015421i,-0.039964+0.02912i,-0.029363+0.0060654i,0.010777-0.0032619i,0.0027785+0.0069153i,0.007541+0.006306i,-0.0012608+0.014697i,-0.0035869+0.00019995i,0.010107-0.015165i,0.018189-0.0016098i,-0.016302+0.010212i,0.00093194-0.00033247i,0.00052709+0.0024258i,-0.00095734+4.3267e-05i,-0.0028189-0.00073878i,0.0055576-0.00080133i,-0.0024157-0.0068222i,-0.0013143+0.0033007i,0.0013393-0.0045537i,-0.0040306-0.0048581i,-0.0033455+0.0027652i,0.0026521-0.001676i,0.00075654-0.0023679i,0.023204-0.014722i,-0.0015432+0.0068637i,-0.0021556-0.0043565i,-0.0034675-0.0013146i,-0.003009-0.0071321i,0.00070375+0.0060943i,0.0024583-0.0058624i,2.9106e-05-0.00041162i,-0.0001243-0.0032936i,-0.00070168-0.0015657i,0.002695+0.0033739i,0.00024278-0.00041875i,0.0064918+0.0010023i,-0.004062+0.0068887i,-0.00097993+0.012377i,-0.0034949+0.04038i,0.014872-0.0084307i,-0.014441+0.0057384i,-0.023562-0.0052894i,0.018705-0.0014868i,0.02248+0.0075891i,-0.0094825+0.0039223i
0.0038543+0.025438i,0.036672+0.034035i,0.044452-0.012909i,0.0099293-0.0087337i,0.0071616-0.013062i,0.0025906-0.031581i,0.014944+0.0049357i,0.040567+0.014759i,0.018126+0.00032643i,0.0066903+0.0049064i,0.0020465+0.00053466i,0.0014179-0.0021155i,0.00097835+0.0014049i,0.00083513-0.0014324i,-8.8348e-05-0.0020976i,0.0047272-0.0028233i,-0.0030268-0.0063611i,0.00036322-0.00063165i,0.0010549+0.003836i,-0.0013312+0.00013196i,-0.00085519+0.0015104i,0.00064934+0.0021732i,-0.00023463+0.0026499i,-0.0032612-0.0062673i,0.001379-0.0043472i,-0.00083448-0.0012256i,-0.00020676-0.0012282i,0.0019053-4.88e-05i,0.00077912-0.00022993i,0.0018444+0.00030594i,-0.00091955+0.0015283i,0.00043102+0.001954i,2.072e-05+0.00075379i,-0.00010743+0.00036963i,0.00011406-0.00036114i,0.0066521+0.0029186i,-0.00081424-0.00054194i,-0.0006653+1.4758e-05i,0.0012081-0.00051654i,-0.0015112+0.00011937i,-0.0012743+0.0011671i,-0.00063946+0.0020237i,0.0073223-0.00064107i,0.0040035-0.00036848i,-0.0069707+0.020086i,-0.014532+0.050362i,0.016827+0.055157i,0.017967+0.024389i,0.022134-0.010269i,0.014049+0.0037375i,-0.0039489+0.021758i,-0.023479+0.024998i,-0.028484+0.039905i,-0.031823+0.010681i,0.0070215-0.0038475i,0.0045569+0.0054859i,0.0084695+0.0028761i,0.0032935+0.013596i,-0.0036639+0.0022192i,-0.00033378-0.016611i,0.014859-0.0081277i,-0.01359+0.013853i,0.0018262-0.0014855i,0.0012374+0.0012585i,-0.00060438-0.00063268i,-0.0012206+0.0010137i,0.0047684-0.0010634i,-0.0031835-0.005995i,0.0015114+0.0034253i,4.5521e-05-0.0058599i,-0.0051348-0.0027909i,-0.0017532+0.0030555i,0.001456-0.0033954i,0.00058975-0.0033248i,0.013433-0.020967i,0.0012965+0.0061797i,-0.0032576-0.0033273i,-0.0030018-0.0011623i,-0.0050785-0.0058286i,0.0019812+0.004769i,0.0010368-0.0065765i,0.00088271-0.00096843i,-0.0011255-0.0032371i,-0.0011424-0.0024523i,0.0028575+0.0032039i,-4.8837e-05+0.0008512i,0.0055929-0.0010509i,-0.0035762+0.0073186i,0.0020132+0.011178i,0.0029637+0.039287i,0.0074689-0.016088i,-0.016862+0.0027778i,-0.025782+0.003622i,0.01284-0.0058862i,0.022316+0.001582i,-0.0078231+0.0047978i
0.0080062+0.023443i,0.041521+0.028616i,0.039418-0.021056i,0.0046706-0.011695i,0.0033034-0.016495i,-0.0035103-0.030661i,0.016944+0.0019849i,0.041242+0.007666i,0.017375-0.0039312i,0.0080606+0.0040736i,0.0024537+0.00030983i,0.00041769-0.0031056i,0.0019873+0.0011364i,0.00069499-0.0012694i,-0.00013589-0.0018951i,0.0044042-0.0034085i,-0.0049934-0.0048479i,-4.7449e-05-0.00073413i,0.0021497+0.0024083i,-0.0011883+0.0012757i,-0.00061966+0.0017804i,0.00050321+0.00090592i,0.00045292+0.0026037i,-0.0061803-0.0022246i,-0.0014613-0.0040848i,-0.0010504-0.0006051i,-0.00068479-0.00079934i,0.0016577-0.00036326i,0.00057039-0.00070027i,0.001552-0.00031319i,-4.0104e-06+0.0013868i,0.0010384+0.001698i,0.00039686+0.0011221i,-0.00011449+0.0003271i,-0.00037494+0.00024775i,0.0060601+0.00057271i,-0.00081437-1.2655e-05i,-0.00052226+0.00032988i,0.0010447-0.00072133i,-0.0010876-0.00019274i,-0.00088012+0.0017141i,6.1742e-05+0.0017988i,0.0064855-0.0025377i,0.0035989-0.0007729i,-0.0044817+0.019727i,-0.0056508+0.04758i,0.024472+0.04776i,0.023107+0.019629i,0.015238-0.014578i,0.012515+0.0015509i,0.0031036+0.023597i,-0.013246+0.028371i,-0.012955+0.044611i,-0.03131+0.01743i,0.0052623-0.0030518i,0.0057927+0.0033463i,0.007983+0.0002154i,0.0073658+0.011009i,-0.0027404+0.0046765i,-0.0092217-0.011927i,0.0097098-0.011608i,-0.0099291+0.016883i,0.0011965-0.0027706i,0.0010591+0.0005557i,-0.0011572-0.00067992i,0.00099376+0.0014107i,0.0043544-0.0016099i,-0.0046772-0.0046763i,0.0034938+0.0018094i,-0.0027451-0.0061909i,-0.0051708-0.00038372i,-8.9369e-05+0.0023296i,0.00026048-0.0042197i,-0.00015037-0.004181i,0.0037575-0.021874i,0.0033897+0.004619i,-0.0038732-0.0025098i,-0.0037963-0.0010743i,-0.0065888-0.0035093i,0.002127+0.0039952i,-0.0013248-0.0081325i,0.0012728-0.0017449i,-0.0017729-0.0026882i,-0.0016496-0.0025681i,0.0044067+0.002349i,0.00060597+0.0016124i,0.0042032-0.002243i,-0.0030164+0.0081242i,0.0041997+0.009201i,0.010024+0.037375i,-0.0033267-0.0204i,-0.020907+0.0031877i,-0.022793+0.012057i,0.0071099-0.0056178i,0.01936-0.0051763i,-0.0061815+0.0035174i
0.011252+0.020184i,0.046141+0.021589i,0.03334-0.026678i,9.5271e-05-0.011375i,-0.0012876-0.018244i,-0.0085323-0.02899i,0.018197-0.0024054i,0.040819+0.0010418i,0.015526-0.0074892i,0.009478+0.0021333i,0.0031838-0.00031738i,-0.00089145-0.0029001i,0.0026846-9.0992e-05i,0.00074554-0.0013291i,-0.000333-0.0018493i,0.0041749-0.0037904i,-0.0055077-0.0025776i,-0.00036627-0.0010397i,0.0021023+0.0010605i,-0.00039861+0.001772i,-3.8786e-05+0.002047i,3.3815e-06+0.0004597i,0.0012335+0.0022934i,-0.0054439+0.0024904i,-0.0028138-0.0019931i,-0.0010821-0.0001118i,-0.00078736-0.00043801i,0.0012963-0.00061955i,-5.7753e-06-0.00048523i,0.0011329-0.00094415i,0.00072899+0.00093504i,0.0013408+0.0013413i,0.0011697+0.00093329i,0.0003322+0.00048197i,1.2017e-05+0.00085186i,0.0056068-0.0014726i,-0.00076859+0.00055257i,-0.00026493+0.00055319i,0.00065335-0.0011047i,-0.00089314-0.00055235i,-3.271e-05+0.0018941i,0.0004245+0.0019984i,0.0050871-0.0038721i,0.0030319-0.0011031i,-0.0023145+0.019516i,0.00088149+0.043315i,0.029729+0.040817i,0.026226+0.012899i,0.0093196-0.016235i,0.011838+0.0015876i,0.01059+0.023114i,-0.0040904+0.02939i,0.0013064+0.042891i,-0.02741+0.024751i,0.0045611-0.0031631i,0.0061155+0.00073974i,0.007545-0.0021316i,0.010217+0.0067749i,-0.00033909+0.0052424i,-0.013329-0.0044696i,0.0043837-0.012895i,-0.0046525+0.018313i,0.00048103-0.004048i,0.00038102+0.00063765i,-0.001591-0.00026983i,0.0023261+0.00016398i,0.0041414-0.0013395i,-0.0052263-0.0026457i,0.0036886-0.00020771i,-0.0050952-0.0043326i,-0.003713+0.0012621i,0.00046108+0.00093798i,-0.00091843-0.0046671i,-0.001518-0.0043973i,-0.0039242-0.019635i,0.0049639+0.0021421i,-0.0049438-0.0012581i,-0.0042296+0.00062734i,-0.0069467-0.00080088i,0.0026973+0.0037107i,-0.0052543-0.0080223i,0.0010033-0.0029839i,-0.0021231-0.0023979i,-0.002333-0.0032125i,0.0055485+0.0013009i,0.001352+0.001761i,0.0026959-0.0020216i,-0.0020775+0.0086534i,0.0056125+0.0070028i,0.017074+0.033049i,-0.015313-0.018668i,-0.024519+0.0058029i,-0.016592+0.016235i,0.0043472-0.0041398i,0.013562-0.0091893i,-0.0076469+0.002407i
0.012873+0.01688i,0.049251+0.013288i,0.027513-0.030961i,-0.0027557-0.010027i,-0.0060123-0.018517i,-0.01348-0.026988i,0.017865-0.007956i,0.039567-0.0057178i,0.012978-0.010528i,0.010165-0.0003438i,0.0035903-0.0016652i,-0.0018376-0.0020987i,0.0022832-0.0012984i,0.00064367-0.0014326i,-0.00078802-0.0018582i,0.0040483-0.0044477i,-0.0050854-0.00073105i,-0.0010114-0.0011471i,0.0019229+0.00027363i,0.00036273+0.0018355i,0.00058743+0.0018104i,-0.00041315+0.00055652i,0.0016739+0.0016576i,-0.0024023+0.0044802i,-0.0026217-0.00013343i,-0.00090802+0.00041516i,-0.00085064-0.0001558i,0.00072386-0.00058092i,-0.0001541-0.0001339i,0.00036951-0.0010683i,0.00109+0.00036811i,0.0017383+0.0010291i,0.001532+0.00042987i,0.00061949+0.0001347i,0.00083901+0.00081116i,0.0045013-0.0029213i,-0.00029496+0.00084792i,-2.3029e-06+0.00064666i,-0.00022158-0.0011256i,-0.00074423-0.00082352i,0.00063064+0.0018491i,0.00089206+0.0018192i,0.0042468-0.0040983i,0.0026733-0.00054081i,9.0949e-05+0.019204i,0.0051495+0.04017i,0.034033+0.033901i,0.027055+0.007287i,0.0041436-0.017233i,0.013808+0.0016929i,0.017421+0.01944i,0.0063882+0.027293i,0.014219+0.036347i,-0.019668+0.03015i,0.0036329-0.0034933i,0.0048836-0.0024978i,0.0064369-0.0045655i,0.01042+0.0020694i,0.00076667+0.0044359i,-0.013732+0.0037179i,-0.00098548-0.012i,-0.00029617+0.016669i,-0.0027522-0.0036074i,9.5917e-05+0.0014419i,-0.0016173+0.00037284i,0.0031641-0.0013538i,0.004924-0.0010777i,-0.0042049-0.0011337i,0.0034385-0.00079338i,-0.0062301-0.0019544i,-0.0019711+0.0011658i,0.00015526+0.00031763i,-0.0031453-0.0048147i,-0.0029789-0.0035237i,-0.010157-0.015782i,0.0049208-0.00069543i,-0.0052688+0.0005948i,-0.0031452+0.0019702i,-0.0061834+0.0013559i,0.0039973+0.003317i,-0.008211-0.0053562i,-0.00038456-0.0043029i,-0.002843-0.0017661i,-0.0040898-0.0029918i,0.0066773-0.00097893i,0.0021526+0.002072i,0.0025503-0.0017868i,-0.00012906+0.0095763i,0.0058387+0.004586i,0.022821+0.026704i,-0.022394-0.010312i,-0.027251+0.011066i,-0.010269+0.017732i,0.0022143-0.0022322i,0.0087487-0.0083728i,-0.0084534+0.0027517i
