-0.0010981-0.041644i,-2.375e-05-0.046605i,-0.0075363-0.046861i,-0.030944-0.022436i,-0.023019+0.01066i,-0.036962-0.032944i,-0.063051-0.057315i,-0.019786-0.070262i,-0.026274-0.048558i,-0.00024464+0.015985i,-0.010716+0.012288i,-0.014857+0.012509i,0.0038718+0.014077i,-0.0027271-0.0018891i,0.0019999+0.0064698i,-0.0011453+0.033643i,0.023318+0.053387i,0.0012365-0.00070432i,-0.0031613-0.0097503i,0.0073688+0.0048484i,0.0018031+0.0011197i,-0.00019646+0.0040012i,-0.00020471-0.00048508i,-0.035888-0.010708i,-0.0029647-0.0069406i,-0.0012028+0.0048699i,0.0032994+0.00057788i,-0.00035524+0.00046695i,0.00075046-0.0006619i,9.4524e-05-0.0024157i,-0.0016538-0.005799i,-0.0030993-0.0061339i,-0.0017905-0.0065664i,0.0033046-0.00030688i,0.0031161-0.0018135i,-0.0052997+0.038373i,0.0066174-0.0044788i,0.0035443-0.00054307i,0.004662-0.00016755i,-0.015733-0.0034968i,-0.00086891-1.2417e-05i,0.010614+0.0012557i,0.0034993+0.0014025i,-0.0045277+0.0013745i,-0.0003116+0.0096795i,-0.0057532+0.017748i,0.025316-0.081037i,-0.00019393-0.054736i,-0.022639-0.042478i,-0.01859-0.037931i,0.063485-0.015449i,0.029988-0.056882i,0.03871-0.044543i,0.032772-0.052401i,0.019171-0.015918i,0.00744+0.011998i,0.025945-0.033716i,-0.006944-0.0052804i,0.0031266-0.0010817i,-0.0028114-0.0053797i,0.0056472-0.032458i,-0.025358+0.031267i,0.0091862-0.010515i,-0.011965-0.0022602i,-0.0046738-0.0014348i,-0.00048885-0.014937i,-0.0093699+0.0046689i,0.0034123+0.0066848i,-0.013194+0.029545i,0.0055631+0.0067428i,-0.0064513-0.0035069i,-0.0012105-0.0020748i,-0.01149-0.0064451i,0.00031827-0.0038533i,-0.035769+0.0030426i,0.0013514-0.012584i,-0.009455-0.0029165i,-0.0071092-0.0032666i,0.0068152+0.0021028i,-0.0092611+0.0021369i,0.00020517+0.0016913i,0.0059805+0.009896i,0.004798+0.00086273i,-0.0086176-0.010946i,0.0016031+0.008434i,-0.019461+0.0033993i,0.0071165+0.0031025i,-0.028088-0.0082582i,-0.037719-0.001374i,0.025145-0.078773i,0.013934-0.009262i,-0.042389-0.030965i,-0.024056-0.0066056i,0.017598+0.0122i,-0.02727+0.011001i,-0.01241-0.010556i
-0.016632+0.026172i,-0.00073061+0.057488i,0.029035+0.040924i,0.0044995+0.013791i,-0.0024991+0.0048323i,0.031076-0.0050502i,0.010406+0.015771i,0.010004+0.047473i,0.005979+0.0182i,-0.0034279+0.009221i,-8.2622e-05+0.0011012i,0.0027296-0.0048127i,0.0020182-0.0022276i,0.003103-0.00108i,0.0034828-0.0013174i,0.0067042+0.00074622i,0.010774-0.0062761i,-0.0013113-9.8612e-05i,-0.0041468+0.0010991i,6.6551e-05+0.0029503i,-0.0011502-7.9566e-05i,-0.0044758-0.0015361i,-0.0025005+0.00054487i,0.0055813+0.010787i,0.0028705+0.0028293i,0.0021614+0.00097728i,0.0016751+0.0015026i,-0.0010322+0.0028928i,-2.2315e-05+0.0011591i,-0.00097569+0.0011847i,0.0010442-0.0034932i,-0.0010291-0.0011444i,-0.0010569-0.0010841i,0.00028136+0.0001921i,-0.00033184-0.0022027i,-0.0067355+0.012847i,0.0026644-0.00098957i,0.00062452-0.00033584i,-0.00010841+0.0023394i,-0.0010976-0.0039623i,-0.0014947-0.00041889i,-0.0023661-0.0028673i,0.00055993+0.0058812i,0.0046044+0.002803i,-0.03353+0.013194i,-0.074078+0.015745i,-0.041974+0.038706i,-0.020798+0.034811i,-0.0028732+0.049955i,-0.0078155+0.026027i,0.011246+0.010328i,-0.0083222-0.0088658i,-0.037027-0.0044865i,-0.043652+0.014245i,0.0089687+0.021963i,-0.0034664+0.0038283i,-0.0032076+0.003579i,-0.013877-0.0032536i,0.0095431+0.0025596i,0.011401+0.016642i,-0.003438+0.010092i,-0.0069164-0.010562i,0.0059473-0.0038235i,-0.0067478-0.004834i,0.0037667-0.007998i,0.0059243-0.0025546i,-0.0010697+0.01036i,0.013912-0.0058524i,0.0078868-0.0080526i,0.005539-0.0072713i,0.0035557-0.00086255i,-0.0026493-0.0072307i,-0.004089-0.0017309i,0.0022881-0.0010066i,-0.013451+0.035079i,-0.0060298-0.0056859i,0.0011481+0.00068882i,3.9162e-05-0.0086367i,0.0037922-0.001315i,-0.01391-0.004034i,0.0012665-0.00054276i,0.0041162-0.004118i,0.0022597-0.0021515i,0.00045652-0.0061224i,-0.00028702+0.0063665i,-0.00042803+0.0043482i,-0.0030739+0.0056601i,-0.011429-0.00090617i,-0.0094035+0.001833i,-0.035585+0.039874i,-0.0080723+0.016791i,-0.040682+0.0037618i,-0.00082322-0.000415i,0.01023+0.020795i,-0.0012458+0.020332i,-0.0056666-0.00084249i
-0.012841+0.025444i,0.0084607+0.054626i,0.036797+0.036069i,0.0066996+0.013546i,0.00098722+0.0058043i,0.030004-0.011639i,0.011424+0.012879i,0.016939+0.044539i,0.0084219+0.016928i,-0.0012305+0.0096795i,0.00078464+0.0013367i,-0.00011234-0.0040062i,0.0011893-0.0018463i,0.0027396-0.00093522i,0.0030101-0.001772i,0.0062611-0.00021884i,0.0080812-0.0084249i,-0.00057851+0.00038109i,-0.0040006+0.001435i,0.0013944+0.0017189i,-0.001249-0.0001505i,-0.0047751-0.00027108i,-0.0023375+0.00074547i,0.011129+0.0069723i,0.0032806+0.0027418i,0.0028012-5.6163e-05i,0.0019395+0.000501i,-7.8638e-05+0.003351i,-6.0056e-05+0.0012875i,-0.00064873+0.0016369i,-0.00052601-0.003406i,-0.0016665-0.0011563i,-0.0014772-0.00055956i,0.00035335-5.1268e-05i,-0.0012852-0.00069223i,-0.0011304+0.013511i,0.0013175-0.0016429i,0.00045667-0.00030185i,0.00088219+0.0020933i,-0.0017338-0.0029388i,-0.0014249-0.00010247i,-0.0026828-0.0029127i,0.0019412+0.0056715i,0.0038941+0.0018135i,-0.029365+0.019851i,-0.067235+0.027896i,-0.036902+0.045302i,-0.013185+0.03701i,0.010589+0.045646i,0.00018067+0.019571i,0.0058838+0.0021227i,-0.015643-0.011705i,-0.039037-0.002697i,-0.034665+0.015308i,0.013608+0.017879i,-0.0032293+0.0046579i,-0.0016818+0.0065461i,-0.013848+0.0022082i,0.0084433-0.0013934i,0.015466+0.012693i,0.0017592+0.013904i,-0.011847-0.0085958i,0.0017254-0.0043664i,-0.0063421-0.0013172i,-0.00085253-0.0072934i,0.0038937-0.0047961i,0.00362+0.0079752i,0.0085406-0.0094596i,0.0025711-0.009505i,0.0018597-0.0057443i,0.0041571-0.0021456i,-0.0044635-0.0058762i,-0.0024087+0.00086831i,0.0029698-0.0011225i,0.0081322+0.040506i,-0.0072628-0.0046006i,0.0019754-0.001059i,-0.0042083-0.0075135i,0.0039475-0.0024974i,-0.012843+0.002413i,0.0014324-0.00016496i,0.00191-0.003739i,0.0024032-0.0033794i,-0.0010333-0.0058733i,0.001579+0.0028228i,0.0013595+0.0035953i,0.00035403+0.0067226i,-0.010489+0.0030418i,-0.0092612+0.0033932i,-0.027223+0.040675i,-0.0058686+0.019265i,-0.02368+0.0029843i,-0.001527-0.0047379i,0.013433+0.01961i,0.0033458+0.021898i,-0.0080618-0.00066853i
-0.01054+0.025473i,0.015748+0.050072i,0.044335+0.027743i,0.010456+0.010838i,0.0056275+0.0046969i,0.02744-0.018181i,0.011631+0.0099337i,0.02403+0.04066i,0.011298+0.015929i,0.0020651+0.0096162i,0.0011515+0.00079592i,-0.00087775-0.0017567i,0.00062164-0.0020426i,0.0026273-0.0014113i,0.0025141-0.0021664i,0.0057738-0.0010499i,0.0049532-0.0097326i,-0.00032273+0.00016589i,-0.0040416+0.0035782i,0.0013169+0.00016018i,-0.0018765-0.0002502i,-0.0042877+0.0013116i,-0.0024077+0.0010531i,0.012297+9.4459e-05i,0.0048218+0.0011736i,0.0022098-0.001386i,0.0017328-0.00018625i,0.0014284+0.0028328i,0.00032008+0.0015045i,-0.00028705+0.0019234i,-0.001975-0.0025112i,-0.002261+7.2387e-05i,-0.0012349-4.0319e-05i,9.7447e-05-0.00031652i,-0.00080283+0.00049771i,0.0026037+0.011771i,0.00065253-0.0013886i,0.00035185-0.00048066i,0.0014663+0.0014i,-0.002326-0.0020735i,-0.0013782+0.00012175i,-0.0049881-0.0036239i,0.0031311+0.0054526i,0.003921+0.0017639i,-0.022189+0.024146i,-0.058649+0.038349i,-0.029264+0.051095i,-0.0046588+0.03695i,0.022468+0.036998i,0.020457+0.048422i,-0.0013991-0.00064826i,-0.022512-0.010185i,-0.041337+0.002232i,-0.027844+0.012948i,0.017221+0.011912i,-0.0030349+0.0051476i,-0.00020425+0.006321i,-0.012535+0.0066083i,0.0054754-0.0055809i,0.018633+0.0078287i,0.007812+0.013345i,-0.015176-0.0051486i,0.00044976-0.0023708i,-0.005192+0.0017113i,-0.0026533-0.0049267i,0.0016286-0.0053972i,0.0057801+0.0067797i,0.0045149-0.01016i,-0.002642-0.0070583i,0.0011621-0.003873i,0.0034218-0.0048573i,-0.0065149-0.0044323i,-0.000547+0.0011182i,0.0023306-0.0025404i,0.025121+0.028533i,-0.0090361-0.0015714i,0.0020793-0.0021056i,-0.0044335-0.0046455i,0.0042398-0.004164i,-0.008736+0.0068211i,0.0024877-0.00010328i,0.00028841-0.0040604i,0.0009628-0.0034008i,-0.0031313-0.0049646i,0.00046568+0.001937i,0.002601+0.0021576i,0.0038106+0.006394i,-0.0087546+0.0056634i,-0.0092141+0.0058431i,-0.020683+0.039929i,0.0018914+0.021489i,-0.022554+0.0043222i,-0.0037424-0.0086388i,0.018225+0.015824i,0.0089225+0.022772i,-0.0097659+0.00088502i
-0.0079639+0.026182i,0.020702+0.045746i,0.048324+0.017357i,0.012238+0.006026i,0.0089569+0.00075995i,0.022827-0.023901i,0.011307+0.0080145i,0.029805+0.034878i,0.014492+0.01339i,0.0041317+0.0072937i,0.0012483+0.00084841i,-0.00023707-0.00075039i,-0.00064924-0.0014458i,0.001933-0.0014285i,0.0019058-0.0027043i,0.0051386-0.0016824i,0.0014183-0.0095022i,7.3696e-05+0.00019701i,-0.0018496+0.0053988i,0.00060055-0.00058158i,-0.0021822+0.00075614i,-0.0035058+0.0025927i,-0.0022593+0.0016723i,0.0092501-0.0052263i,0.0045388-0.00075151i,0.0011953-0.0016577i,0.0013817-0.00059742i,0.0019653+0.0016732i,0.00098188+0.0010203i,0.00032998+0.0022637i,-0.0027042-0.00088609i,-0.0015913+0.0010383i,-0.0010674+0.00033096i,-0.00028118-0.00025233i,-0.00028775+0.00073177i,0.0054005+0.010079i,0.00039712-0.0013756i,-3.1631e-05-0.00065779i,0.0014639+0.0010609i,-0.0028084-0.0011489i,-0.0013573+0.00046773i,-0.0015221-0.004776i,0.0045164+0.0047587i,0.004421+0.0015593i,-0.01478+0.024387i,-0.047409+0.046177i,-0.021475+0.055512i,0.0019359+0.034421i,0.031122+0.023841i,0.015229+0.021802i,-0.009172+0.0016747i,-0.029348-0.0045787i,-0.042273+0.0090194i,-0.024718+0.0091631i,0.017995+0.0046395i,-0.0023039+0.0070168i,0.00097449+0.0081153i,-0.0094542+0.010585i,-0.00039474-0.0059149i,0.020285-3.2031e-05i,0.012908+0.0099725i,-0.017882-0.00062219i,8.8978e-05-0.0017509i,-0.0029496+0.003148i,-0.0037521-0.0021758i,-0.0003174-0.0048183i,0.007861+0.0030012i,0.0011012-0.010176i,-0.0044591-0.0024189i,0.0013849-0.0032039i,0.0010665-0.0065882i,-0.0081024-0.0012209i,0.0008389+0.001178i,0.0012669-0.0030215i,0.031755+0.012398i,-0.0090094+0.0031426i,0.0018466-0.0035823i,-0.0048173-0.0027742i,0.0026879-0.0067439i,-0.0040795+0.0078226i,0.0034217-0.0017797i,-0.00090922-0.0027108i,0.00054932-0.0029339i,-0.0036707-0.0022449i,-2.04e-05+0.0023928i,0.0025438+0.00023741i,0.0065969+0.0042267i,-0.0064754+0.0070095i,-0.0085907+0.0086893i,-0.015673+0.040402i,0.0132+0.01678i,-0.020719+0.0078634i,-0.0092806-0.010864i,0.01983+0.010293i,0.015274+0.020885i,-0.0089161+0.0027295i
-0.0044193+0.027071i,0.025767+0.042774i,0.048916+0.00695i,0.012651+0.0016311i,0.0095238-0.0041713i,0.017339-0.028342i,0.011376+0.0070437i,0.034345+0.028959i,0.017067+0.0098112i,0.0041833+0.0053415i,0.0013468+0.00090256i,0.00062255-0.00075799i,-0.00108+0.00011027i,0.0014848-0.0015392i,0.0010716-0.0026892i,0.0048339-0.0019581i,-0.00095891-0.0081604i,8.402e-05+0.00017172i,-0.00090818+0.0058019i,-0.00017223-0.00066407i,-0.0018651+0.0013939i,-0.0021319+0.0034641i,-0.0017011+0.0023179i,0.0049649-0.0079324i,0.0035107-0.0021452i,0.00059965-0.0017248i,0.00096726-0.00090586i,0.0018193+0.00093528i,0.0010074+0.00044936i,0.001352+0.0021131i,-0.0022398+0.0003484i,-0.00084621+0.0012782i,-0.00066444+0.00052488i,-0.00029083+0.00021548i,0.00032304+0.00086922i,0.0069127+0.0066825i,-8.7185e-05-0.0011883i,-0.00039505-0.00051013i,0.0017599+0.00076331i,-0.0026097-0.0002665i,-0.0010814+0.00057642i,-0.0065326-0.0042489i,0.005535+0.0032692i,0.0043231+0.00049851i,-0.010496+0.023075i,-0.035136+0.050395i,-0.010869+0.059546i,0.0079314+0.031977i,0.03266+0.0095264i,0.016481+0.013294i,-0.012687+0.0092981i,-0.032427+0.0051789i,-0.042518+0.018033i,-0.025899+0.0058629i,0.014188-0.0011849i,-0.00010633+0.0081181i,0.0048419+0.0080171i,-0.0054249+0.013726i,-0.0034237-0.0027122i,0.017242-0.0088601i,0.016626+0.0049629i,-0.018449+0.0052514i,0.00041608-0.00045544i,-0.00081636+0.0037143i,-0.0022764-0.00016103i,-0.0024086-0.0033313i,0.007223+0.00034075i,-0.0018487-0.0089101i,-0.0033015+0.0011388i,0.0017351-0.0035615i,-0.0019011-0.0066873i,-0.0056223+0.0025042i,0.0024389+0.00014534i,0.00067675-0.0026182i,0.031553-0.0025987i,-0.0055827+0.0064519i,0.00038653-0.0051009i,-0.0040174-0.0016357i,6.375e-05-0.007632i,-0.00092848+0.0069381i,0.0023464-0.0032433i,-0.00088578-0.0011636i,0.00062949-0.0024914i,-0.0023693-0.0010265i,0.00070508+0.0029113i,0.0012857-0.00087307i,0.0048294+0.00036132i,-0.0047868+0.0070649i,-0.0060551+0.012052i,-0.0096968+0.041062i,0.018457+0.0041101i,-0.016417+0.0086874i,-0.015992-0.010027i,0.020432+0.0050793i,0.020813+0.014903i,-0.0090416+0.0028546i
-0.00042683+0.02684i,0.031672+0.038873i,0.047819-0.0027261i,0.012362-0.0029133i,0.0088346-0.0082336i,0.010673-0.031585i,0.012495+0.0062836i,0.037847+0.02261i,0.018707+0.0052461i,0.0048602+0.0050025i,0.0019625+0.00091892i,0.0011746-0.00087289i,-7.2611e-05+0.0013142i,0.001131-0.0014401i,0.00052029-0.0025548i,0.0047846-0.0023827i,-0.0021647-0.0070415i,0.00059635-5.9411e-05i,-1.4454e-05+0.0053i,-0.000668-0.00041697i,-0.0011364+0.0016958i,-0.00050724+0.0034249i,-0.00088013+0.0026197i,-9.7188e-05-0.0086136i,0.0026869-0.0030026i,-0.00016295-0.0017624i,0.00053363-0.0010623i,0.0019635+0.00056835i,0.00078596+7.2427e-05i,0.0019106+0.0012342i,-0.0016591+0.0010487i,-0.00011682+0.0014033i,-0.00020435+0.00060159i,-2.6898e-06+0.0002435i,0.00066701+0.00022769i,0.0064463+0.0048404i,-0.00041125-0.0009425i,-0.00054967-0.0001325i,0.0014493-2.5709e-05i,-0.0019161+5.6852e-05i,-0.0010828+0.00073026i,-0.0025759+0.00016944i,0.0058938+0.0021784i,0.004072+0.00011008i,-0.0073613+0.021502i,-0.023778+0.05114i,0.0016985+0.059098i,0.013484+0.028962i,0.029584-0.0025631i,0.015833+0.0071931i,-0.010192+0.017265i,-0.029787+0.016329i,-0.037466+0.030382i,-0.029325+0.0065307i,0.0099163-0.0032093i,0.0025418+0.007906i,0.0072651+0.0055882i,-0.0003791+0.014923i,-0.003987-5.394e-05i,0.010013-0.015724i,0.017246-0.0020139i,-0.016649+0.010079i,0.0014332-0.00045256i,0.0010249+0.0024985i,-0.00079665-4.4094e-05i,-0.0026533-0.00069073i,0.0058727-0.0013496i,-0.0031142-0.0068633i,-0.00057848+0.0032759i,0.0012965-0.0045401i,-0.0042435-0.0049886i,-0.0037207+0.0028923i,0.002463-0.0019087i,0.0010114-0.002482i,0.024706-0.015596i,-0.0018413+0.0071494i,-0.002068-0.0047318i,-0.0037133-0.00076238i,-0.002974-0.007132i,0.00084308+0.0057648i,0.003563-0.0036316i,0.00020684-0.00061393i,0.00031962-0.0037682i,-0.00093286-0.0012641i,0.00095086+0.00027668i,-6.514e-05-0.00023344i,0.005375+0.00053325i,-0.0039844+0.0068389i,-0.0016564+0.013664i,-0.0034773+0.040548i,0.01524-0.007541i,-0.014084+0.0055393i,-0.022306-0.0051737i,0.018645-0.0014968i,0.022068+0.0078698i,-0.0097683+0.0041856i
0.0038029+0.026211i,0.036808+0.033564i,0.044551-0.012424i,0.009873-0.0081421i,0.0070986-0.012554i,0.0032882-0.032476i,0.014345+0.0045721i,0.040571+0.015664i,0.018598+0.00063084i,0.0056071+0.0047986i,0.0023431+0.0004009i,0.0015197-0.0019239i,0.0010355+0.0015146i,0.00086965-0.0013489i,6.21e-05-0.0022454i,0.0046821-0.0031711i,-0.0035082-0.0061074i,0.00018386-0.00064578i,0.0014013+0.0041799i,-0.0012301+5.5805e-05i,-0.0008955+0.0016103i,0.00074127+0.0024021i,-0.00015854+0.0026369i,-0.0050666-0.006236i,0.001187-0.0042947i,-0.00085615-0.0012235i,-8.4384e-05-0.0011152i,0.0020382-5.9664e-05i,0.00078555-9.7423e-05i,0.0019739+0.00026481i,-0.00084585+0.0014265i,0.00021174+0.0015048i,-9.24e-05+0.00065103i,3.2455e-05+0.00029089i,0.00024335-0.00038195i,0.0053561+0.0028469i,-0.00070463-0.00058144i,-0.00058105+2.4128e-05i,0.0012062-0.00034096i,-0.0012917+3.2237e-05i,-0.00098398+0.0010569i,-0.00090822+0.00068427i,0.0063242+0.00095904i,0.0039905-0.00020433i,-0.0051837+0.020364i,-0.013876+0.049965i,0.012862+0.055047i,0.018798+0.025222i,0.023049-0.011583i,0.014132+0.0035859i,-0.0039124+0.022201i,-0.021072+0.024665i,-0.025802+0.039384i,-0.031902+0.011068i,0.006646-0.0032491i,0.0048201+0.0063957i,0.0078315+0.0025653i,0.0042797+0.013805i,-0.0040448+0.001994i,-0.00091907-0.016957i,0.014261-0.0078615i,-0.013662+0.013969i,0.0017303-0.0017783i,0.0008289+0.0011394i,-0.00074124-0.00092815i,-0.0011256+0.00092115i,0.0045797-0.0015721i,-0.0038218-0.0059175i,0.0021007+0.0027837i,6.6977e-05-0.0058479i,-0.0052617-0.0026868i,-0.0019705+0.0033201i,0.0012888-0.0035551i,0.00074688-0.0034777i,0.013836-0.021914i,0.0012407+0.006581i,-0.0034308-0.0036378i,-0.0028784-0.00063071i,-0.0050035-0.0058638i,0.001862+0.0045088i,0.0022482-0.0065188i,0.00099079-0.0013395i,-0.00095432-0.0035027i,-0.0012041-0.0024459i,0.0043601+0.0038802i,-0.00011268+0.0011337i,0.0049924-0.00080108i,-0.0036049+0.0074214i,0.0025893+0.012727i,0.0029743+0.03951i,0.0081956-0.016232i,-0.016546+0.002406i,-0.024723+0.0024568i,0.012797-0.0059364i,0.022071+0.0022502i,-0.0081466+0.0050811i
0.0081827+0.024097i,0.041631+0.028053i,0.03937-0.020301i,0.0046843-0.01133i,0.003457-0.016009i,-0.0031985-0.031377i,0.016255+0.0017395i,0.041695+0.0078976i,0.017772-0.0036931i,0.007076+0.0045522i,0.0025998+0.00013904i,0.00048781-0.00312i,0.0021437+0.0012001i,0.00077948-0.0011565i,-6.4629e-05-0.0020755i,0.0041693-0.0037493i,-0.0052301-0.0044382i,-0.00016776-0.00065637i,0.0023332+0.0026874i,-0.0011897+0.0011364i,-0.00066748+0.0020444i,0.00063831+0.00088595i,0.00053261+0.0025656i,-0.0066423-0.00063757i,-0.0015884-0.0038721i,-0.0010311-0.00055229i,-0.00052859-0.00086999i,0.0017111-0.00050984i,0.00064372-0.00065396i,0.0016561-0.00041856i,-5.4111e-05+0.0013008i,0.0007527+0.0015078i,0.00017452+0.00092905i,-0.00016234+0.00055427i,-0.00020656+0.00012791i,0.0041647+0.00092875i,-0.00080399-0.00013811i,-0.00049447+0.0003153i,0.00099929-0.00056036i,-0.0010419-0.00020465i,-0.0006929+0.0014724i,-0.00039853+0.00091616i,0.0064962-0.00071254i,0.0036874-0.00063146i,-0.0030681+0.019646i,-0.0052747+0.046921i,0.021249+0.048904i,0.024308+0.020195i,0.015299-0.016073i,0.012379+0.0016502i,0.0033667+0.023896i,-0.011233+0.027108i,-0.01135+0.042088i,-0.031546+0.018012i,0.0051977-0.0024976i,0.0064034+0.0041269i,0.0072548+0.00022599i,0.0082373+0.011269i,-0.0032431+0.00441i,-0.0097471-0.011903i,0.0095717-0.011081i,-0.0098805+0.016896i,0.00058983-0.0027643i,0.00080317+0.00075315i,-0.0013747-0.00099674i,0.00097096+0.0013083i,0.0040631-0.0018779i,-0.0052455-0.0044999i,0.003564+0.0010036i,-0.0025696-0.0062621i,-0.0049268-0.00042895i,-3.7532e-05+0.0026878i,0.00014219-0.0043535i,-0.00027256-0.0041787i,0.0036315-0.022695i,0.0034948+0.0048001i,-0.0042016-0.0023445i,-0.0034818-0.0007589i,-0.0066832-0.00387i,0.0018659+0.0036244i,-0.00087532-0.008521i,0.0012091-0.0022126i,-0.0017101-0.0028763i,-0.0018528-0.0026492i,0.0054379+0.0024743i,0.00066194+0.001953i,0.0037641-0.0020014i,-0.0027182+0.0084034i,0.0059144+0.010266i,0.010004+0.037684i,-0.0031216-0.021068i,-0.020689+0.0026524i,-0.0233+0.010263i,0.0070407-0.0056i,0.020037-0.0042694i,-0.0065277+0.0035992i
0.011473+0.020652i,0.046036+0.020906i,0.033873-0.02596i,7.1801e-05-0.011091i,-0.00095524-0.017915i,-0.0084809-0.029408i,0.017507-0.0024966i,0.041544+0.00046484i,0.016162-0.007412i,0.0090621+0.0029193i,0.0032631-0.00046855i,-0.00093643-0.0028821i,0.0027218-7.962e-05i,0.00088374-0.0013157i,-0.00039085-0.0019817i,0.0038712-0.0040795i,-0.0053978-0.0021493i,-0.00037529-0.00097068i,0.0022796+0.0012169i,-0.00046039+0.0017313i,0.00019526+0.0022474i,8.0388e-05+0.00039739i,0.0012303+0.0022473i,-0.0039949+0.0031453i,-0.0027762-0.00195i,-0.0010215-7.7929e-05i,-0.00072709-0.000525i,0.0011677-0.00078194i,6.1225e-06-0.00049024i,0.0011209-0.0010509i,0.00055216+0.00093331i,0.0011399+0.0011709i,0.00099825+0.0010484i,0.00023208+0.00055903i,0.00022779+0.00060682i,0.0036392-0.001685i,-0.00086281+0.00041291i,-0.0002183+0.0004845i,0.00070294-0.00086979i,-0.00087945-0.00048669i,-4.1774e-06+0.0016283i,-3.2663e-05+0.0017208i,0.0059482-0.002311i,0.0030667-0.00094691i,-0.0011546+0.019347i,0.0008605+0.042626i,0.027384+0.042645i,0.027749+0.012924i,0.0089643-0.017224i,0.011671+0.0018347i,0.010994+0.022993i,-0.0029291+0.02714i,0.0012096+0.039747i,-0.02775+0.025141i,0.0047157-0.0026744i,0.0070514+0.0009022i,0.006796-0.0016814i,0.010946+0.0071622i,-0.00090098+0.0052262i,-0.013562-0.0045053i,0.0048177-0.012389i,-0.0043883+0.018278i,0.00024505-0.0035205i,0.00034308+0.00090133i,-0.0019393-0.0003578i,0.0022817+0.00032622i,0.0037955-0.0015549i,-0.0055209-0.0021516i,0.0033096-0.00065417i,-0.0049119-0.0043601i,-0.0034288+0.0012329i,0.00047415+0.0012124i,-0.0010395-0.0047452i,-0.0015582-0.0040933i,-0.0042439-0.01991i,0.0050977+0.0020912i,-0.0048854-0.00084416i,-0.0039296+0.00050994i,-0.0075362-0.0010153i,0.002318+0.0035254i,-0.0051423-0.0081126i,0.00091206-0.0034889i,-0.0022794-0.0024421i,-0.0025722-0.0033676i,0.0061679+0.0010765i,0.0017574+0.002163i,0.0024516-0.0017276i,-0.00135+0.0086602i,0.0073165+0.0067047i,0.017114+0.033455i,-0.015531-0.01896i,-0.02451+0.0050453i,-0.017951+0.015523i,0.0042562-0.0041438i,0.014767-0.0089763i,-0.0080979+0.0027202i
0.013041+0.017242i,0.048822+0.012553i,0.028175-0.030554i,-0.0028329-0.0097773i,-0.0056255-0.018384i,-0.01345-0.026995i,0.017168-0.0078726i,0.039851-0.0066863i,0.013551-0.010732i,0.010115+0.00027614i,0.0036477-0.001938i,-0.0017635-0.0019551i,0.002356-0.0014149i,0.00072763-0.0014782i,-0.0008849-0.0018871i,0.003573-0.0046417i,-0.0047926-0.00051261i,-0.00096806-0.0010488i,0.0021093+0.00032493i,0.00030968+0.0018596i,0.00064297+0.0018939i,-0.00034444+0.00049492i,0.0016035+0.0016719i,-0.0012826+0.0035744i,-0.0025466-5.0815e-05i,-0.00090857+0.00037505i,-0.00076512-0.00023144i,0.00014445-0.0009859i,-0.00016558-0.00014823i,0.00024183-0.0010906i,0.0009278+0.00045393i,0.0015441+0.00086543i,0.001468+0.00058507i,0.00049701+0.00017084i,0.00094874+0.00038654i,0.0022716-0.0027764i,-0.00049452+0.00081535i,2.9678e-05+0.00053783i,-4.7829e-05-0.00090743i,-0.00085154-0.00073071i,0.00051941+0.0015747i,0.00064223+0.0017429i,0.0054125-0.0036371i,0.0027979-0.00034558i,0.001101+0.018972i,0.0048655+0.03941i,0.032837+0.036284i,0.028775+0.0068084i,0.0034092-0.017775i,0.013721+0.0020018i,0.01753+0.018926i,0.005979+0.02502i,0.012594+0.033573i,-0.019945+0.030949i,0.0042227-0.0031138i,0.0053336-0.0030306i,0.0061154-0.0037016i,0.010942+0.0023193i,0.00047533+0.0047241i,-0.013874+0.0035691i,-0.00027039-0.011976i,8.2689e-05+0.016492i,-0.0025294-0.0037711i,0.00018115+0.0015084i,-0.0019+0.00052407i,0.003334-0.0013412i,0.0045989-0.0011046i,-0.0038926-0.00039765i,0.003161-0.00061444i,-0.0058236-0.0021648i,-0.0017554+0.0010918i,0.00022253+0.00060876i,-0.0033467-0.0048331i,-0.0028282-0.0033769i,-0.010534-0.015721i,0.0048534-0.00082799i,-0.0049693+0.000827i,-0.0030392+0.0016461i,-0.0067795+0.0015848i,0.0036936+0.0033317i,-0.0081965-0.0052195i,-0.00041864-0.0048075i,-0.0029995-0.0016547i,-0.0043393-0.003102i,0.0067982-0.0014535i,0.0028307+0.0020532i,0.0025197-0.001501i,0.00044938+0.0092497i,0.0069023+0.0035476i,0.022927+0.027086i,-0.022352-0.010343i,-0.027468+0.010495i,-0.011717+0.018004i,0.0022136-0.0019995i,0.0088839-0.009929i,-0.0086962+0.0033549i
