-0.024862-0.018362i,-0.032163-0.033424i,-0.02244-0.020028i,-0.032191-0.020598i,-0.023953+0.0040364i,-0.028932-0.018037i,-0.055955-0.046659i,-0.039894-0.044078i,-0.029366-0.023999i,0.0055291+0.0064054i,-0.0036355+0.0063041i,-0.01126+0.011461i,0.0040074+0.0070903i,-0.0038401-0.0028171i,0.0029458+0.0017398i,0.0020436+0.027934i,0.025382+0.034023i,-0.00013571+8.4821e-05i,-0.0028399-0.0030049i,0.0076736+0.0039864i,0.0020613+0.00071974i,-0.0002488+0.0027014i,-0.00049815+0.00026342i,-0.03161-0.0012852i,-0.0032281-0.0049868i,0.00020081+0.0024675i,0.0035015-0.001087i,0.00081952-0.00033581i,-0.00053323-0.00063967i,-0.0010204-0.0019257i,-0.0021559-0.00059833i,-0.0041622-0.0041691i,-0.0028033-0.0053214i,0.00053366-0.0010007i,0.00058572-0.0032225i,-0.0017118+0.026363i,0.0020219-0.003156i,0.0021831-0.0037539i,0.0043558-0.0023372i,-0.0063251-0.001629i,0.0012452+0.0014485i,0.010511-0.00038217i,-0.0010351+0.0004779i,-0.00328+0.0020932i,-0.0085112-0.0015592i,-0.018989+0.021528i,-0.0078715-0.086973i,-0.0022539-0.061134i,-0.021117-0.053676i,-0.011464-0.046037i,0.054201-0.026936i,0.024238-0.067332i,0.04155-0.054544i,0.018378-0.038629i,0.026165-0.019726i,0.012053+0.011887i,0.025402-0.028975i,-0.011633-0.0009831i,-0.0013812-0.0013891i,-0.0082695-0.002404i,-0.0046078-0.029042i,-0.020553+0.026345i,0.0073756-0.0093663i,-0.010676-0.0034415i,-0.0025214-0.0018889i,-0.00064478-0.0147i,-0.0081904+0.0051411i,0.0061825+0.011035i,-0.01024+0.030687i,0.0063412+0.0074471i,-0.0032944-0.0015911i,-0.0024262-0.001509i,-0.012781-0.0054098i,0.00080125-0.0046175i,-0.03294+0.0031308i,0.0036758-0.0086087i,-0.0072256-0.0020547i,-0.0052534-0.0029943i,0.0068889+0.0013745i,-0.010188+0.00045836i,0.0027712-0.00022341i,0.0061857+0.0075905i,0.0054459+0.0007874i,-0.007973-0.010162i,0.0027544+0.0080462i,-0.019265+0.0079205i,0.0035807+0.0058036i,-0.021224-0.0086982i,-0.027459-0.0039215i,0.009128-0.061777i,0.018937-0.015361i,-0.051008-0.028177i,-0.022221+0.0033575i,0.019501+0.010192i,-0.027141+0.011776i,-0.013027-0.0076351i
0.0058575+0.0056794i,0.037389+0.015532i,0.020081-0.0040813i,0.013025+0.0024215i,0.0086807-0.0015417i,0.01596-0.0073794i,0.012333+0.014157i,0.019022+0.019907i,0.0019914-0.0028291i,0.001311+0.00077769i,0.0024243-0.0013313i,0.001221-0.0038827i,0.00012841-0.0012784i,0.0022-8.4186e-05i,0.005234-0.001231i,0.0053434-3.7661e-05i,0.0065102-0.0051971i,9.0368e-05-0.0010309i,-0.0021554-0.00014487i,0.00047699+0.00074977i,0.0001894-0.00020552i,-0.0020851-0.00055625i,-0.0014611-0.00013558i,0.0065591+0.0074599i,-0.00067742+0.00020011i,0.00035573+0.00077048i,0.00094693+0.00097806i,-0.00010187+0.0012683i,-0.000329-0.00037841i,-0.0012258+2.8518e-05i,0.00052035-0.0011817i,-0.00067082+0.00038497i,0.00020197+0.00061799i,-0.00012619+0.00067086i,-0.00015612-0.0010895i,-0.0091698+0.006753i,0.00075776+0.00014192i,-0.00051101-5.4359e-05i,-0.00058913+0.0015373i,-1.2694e-05-0.0031655i,-0.0008924+2.4619e-05i,-0.00041987-6.8758e-05i,0.00065144+0.0011995i,0.0036803-0.0020257i,0.00057392+0.0032162i,-0.050281+0.0094148i,-0.0034838+0.029678i,-0.013844+0.04114i,-0.0085858+0.065094i,-0.017638+0.044093i,-0.0058883+0.018838i,-0.0085727+0.012605i,-0.04672+0.002016i,-0.02505-0.0075124i,0.015039+0.025696i,0.00042483+0.0054143i,-0.0074285+0.0015131i,-0.013879-0.0019319i,0.0037919-0.00049021i,0.0056877+0.012918i,-0.0063722+0.0066182i,-0.0056903-0.0069838i,0.0057242-0.0027532i,-0.0066096-0.0053231i,0.0038777-0.0066939i,0.004256-0.0021227i,-0.0024697+0.010546i,0.011874-0.0051456i,0.0062034-0.0050875i,0.0052391-0.0084539i,0.0030339+0.00092286i,-0.0019433-0.0059039i,-0.0034075-0.0013946i,0.0020736-0.0018963i,-0.010576+0.03118i,-0.0041403-0.0054643i,0.0033224+0.00027496i,-0.00049676-0.0068407i,0.0033549-0.0016478i,-0.013411-0.0060733i,0.0010084+0.00085673i,0.0040778-0.0018587i,0.0029092-0.0011559i,0.001435-0.0057396i,-0.0024352+0.0054513i,-0.00037069+0.0059723i,-0.0047857+0.0070937i,-0.0049709+0.0025202i,-0.0054415+0.00024549i,-0.023908+0.019557i,-0.0090321+0.014313i,-0.022281-0.011704i,-0.0089937-0.010505i,0.0089014+0.020269i,-0.00014585+0.019932i,-0.009062-0.0030326i
0.0063798+0.0035183i,0.039032+0.0077955i,0.019082-0.0078741i,0.01365+0.0010925i,0.0095416-0.0030489i,0.014425-0.010569i,0.013017+0.011205i,0.021513+0.015859i,0.00065692-0.0035529i,0.0015821+0.0002084i,0.0022963-0.001683i,-0.00040644-0.0026972i,-7.8687e-05-0.00075061i,0.002047-0.00015038i,0.0045042-0.0023279i,0.0046873-0.00053915i,0.0040326-0.0061344i,0.0001372-0.00092274i,-0.0023365+8.3741e-05i,0.00091893+0.00015304i,1.5509e-05-0.0006035i,-0.0021969-1.4942e-05i,-0.0015004+6.4193e-05i,0.0099946+0.0041562i,-0.00096304+0.0010772i,0.00091498+0.00048392i,0.001073+0.00036938i,0.00049191+0.0011563i,-0.00082401+0.0001514i,-0.0012192+0.00048987i,-0.0001403-0.0012443i,-0.00066388+0.00010829i,0.00018382+0.00046123i,0.00022649+0.00067076i,-0.00073022-0.00021077i,-0.0063498+0.0089135i,0.00041111-0.00020192i,-0.00043096+0.00034389i,7.3199e-05+0.0013856i,-0.0010348-0.0025528i,-0.00067719+9.8037e-05i,-0.00052097+0.00020682i,0.00057201+0.0012456i,0.0026971-0.0022384i,0.0017389+0.002934i,-0.045022+0.017581i,-0.00059247+0.030728i,-0.005145+0.041465i,0.0076953+0.061728i,-0.0065068+0.043519i,-0.0084537+0.015095i,-0.012344+0.010528i,-0.049412+0.0063531i,-0.020966-0.009072i,0.020883+0.019831i,0.00039957+0.0052089i,-0.0063098+0.0068306i,-0.013426+0.0027243i,0.0021949-0.0019739i,0.0087817+0.011875i,-0.0021214+0.011128i,-0.0096835-0.0048602i,0.0024451-0.0044572i,-0.0066692-0.0018169i,-0.0007693-0.0066168i,0.0026127-0.0039747i,0.0025796+0.008295i,0.0075794-0.0083917i,0.0022999-0.0063688i,0.00091969-0.0058056i,0.0042775-5.6085e-05i,-0.0030955-0.0046399i,-0.0018196+0.0008506i,0.0016846-0.0019181i,0.0057734+0.031405i,-0.0059077-0.0046528i,0.0037515-0.0018093i,-0.003721-0.0058894i,0.0034823-0.0025263i,-0.013733+0.00057433i,0.0017444+0.0011762i,0.0028603-0.0021755i,0.0029311-0.0023031i,-0.00012766-0.0057199i,-0.00057267+0.0031372i,0.0021469+0.0047644i,-0.00097785+0.0083823i,-0.0038991+0.0047547i,-0.0059883+0.00097895i,-0.018699+0.018331i,-0.0068829+0.016598i,-0.025347-0.0063108i,-0.012339-0.012872i,0.01186+0.019738i,0.0038763+0.021558i,-0.01133-0.0029603i
0.0061011+0.0018147i,0.038746-0.00061023i,0.017717-0.012365i,0.015074-0.0017282i,0.010493-0.0053343i,0.012054-0.01371i,0.012867+0.0083805i,0.023344+0.01137i,-0.00038852-0.0034127i,0.0013261-0.00034099i,0.0017958-0.0025823i,-0.00050879-0.0012803i,-0.00011207-0.00069826i,0.0020692-0.00053896i,0.0035424-0.0031321i,0.0040083-0.00086634i,0.0017393-0.0064497i,-8.3653e-05-0.001126i,-0.0023349+0.0010369i,0.00076646-0.00074917i,-0.00070019-0.00091535i,-0.0019756+0.00060096i,-0.0016127+0.00035739i,0.010331-0.00085921i,-0.00017322+0.0015236i,0.00087105-0.00013931i,0.00083573-2.8018e-05i,0.00099913+0.0006175i,-0.00050397+0.00065898i,-0.001052+0.00095953i,-0.00075642-0.00097781i,-0.0011077+0.00064064i,0.00040703+0.00046566i,0.00048108+0.00041085i,-0.00042395+0.00055895i,-0.0032373+0.010105i,8.8457e-05-4.8697e-05i,-0.00016211+0.00036681i,0.00045967+0.0011318i,-0.0017739-0.0015893i,-0.00053852+0.00010941i,-0.000283+0.00040146i,0.00078923+0.0015832i,0.0022787-0.0023875i,0.003546+0.0020509i,-0.039001+0.023928i,0.0040145+0.031645i,0.0036107+0.038467i,0.022698+0.053286i,0.0034336+0.042506i,-0.011855+0.01459i,-0.015165+0.011686i,-0.050546+0.014318i,-0.019738-0.012474i,0.023839+0.011798i,0.00066406+0.0051277i,-0.003871+0.0087828i,-0.01269+0.0059871i,-0.00032349-0.0037221i,0.01172+0.0092382i,0.0032869+0.011878i,-0.012084-0.0015844i,0.00044713-0.00314i,-0.0058096+0.00098065i,-0.0029971-0.0041677i,0.00062156-0.0038141i,0.0050029+0.0071867i,0.0044942-0.0089656i,-0.0016027-0.005163i,0.00052019-0.0031265i,0.0045887-0.0024955i,-0.0049957-0.0032045i,-0.0005796+0.0006075i,0.00079116-0.0021019i,0.018937+0.023851i,-0.0078322-0.0023399i,0.0030964-0.0032625i,-0.0036509-0.0041286i,0.0036671-0.0041862i,-0.010631+0.0059851i,0.0033956+0.00077899i,0.0017506-0.0023806i,0.0017146-0.0027596i,-0.0019994-0.0047623i,-0.0011095+0.0027746i,0.0032747+0.0027844i,0.0026863+0.0082237i,-0.0023551+0.0053288i,-0.0067597+0.0026681i,-0.016254+0.016995i,-0.0003304+0.017622i,-0.025963-0.0014288i,-0.016406-0.013301i,0.016863+0.016758i,0.0091755+0.022035i,-0.013429-0.0013989i
0.005505+0.0007322i,0.035509-0.0076459i,0.014309-0.016711i,0.015081-0.0060128i,0.010301-0.0085522i,0.0087126-0.015845i,0.01244+0.0066244i,0.023847+0.0069241i,-0.00091032-0.0033328i,0.00075176-0.00032507i,0.00066062-0.0028341i,-0.00013668-0.00070254i,-0.00053723-0.00038805i,0.0017367-0.00075196i,0.0023189-0.0036158i,0.0036303-0.00085064i,-0.00030134-0.0057184i,-0.00034989-0.0010322i,-0.0013676+0.0018539i,4.5668e-05-0.0011309i,-0.0011938-0.00034419i,-0.0016156+0.0012432i,-0.001589+0.00089882i,0.0080815-0.0045709i,0.00037534+0.0013526i,0.00054456-0.00029941i,0.00071155-0.00013605i,0.00080881+1.0005e-05i,-9.818e-05+0.00061663i,-0.00066254+0.0014693i,-0.0011712-0.00035376i,-0.00059937+0.0012548i,0.00054675+0.00018642i,0.0004139+0.00012753i,0.00018643+0.00077384i,0.00010847+0.010177i,7.2098e-05+4.2104e-05i,-0.00014785+0.0002561i,0.00059984+0.00098222i,-0.0018907-0.00057346i,-0.00052971+0.00013442i,-0.00018748+0.00037104i,0.0014088+0.0016944i,0.0018987-0.0025667i,0.0050949-0.00022137i,-0.031747+0.028749i,0.0094544+0.031507i,0.0087648+0.034558i,0.034604+0.039953i,0.01324+0.037282i,-0.015534+0.017279i,-0.018328+0.014963i,-0.048829+0.02337i,-0.021663-0.015853i,0.024431+0.0031583i,0.001327+0.0055121i,-0.0010637+0.011546i,-0.011071+0.0096681i,-0.0044704-0.0027235i,0.014374+0.0047534i,0.0085288+0.0099389i,-0.012977+0.0027581i,-0.00039349-0.0025266i,-0.0040827+0.0026275i,-0.0036768-0.0012937i,-0.00026474-0.0033352i,0.0070584+0.0036775i,0.0015347-0.0090214i,-0.0037875-0.0017754i,0.0013592-0.001826i,0.0031635-0.0046699i,-0.0055575-0.00034397i,0.0002604+0.00097118i,0.00040896-0.0018408i,0.026392+0.011846i,-0.0080399+0.0013869i,0.0021867-0.0045381i,-0.0039363-0.0028009i,0.0020521-0.0063601i,-0.0057872+0.008116i,0.0046324-0.0011453i,0.0010305-0.0017668i,0.00095855-0.0024625i,-0.0027125-0.0030493i,-0.0012238+0.003496i,0.0031432+0.00084115i,0.0060365+0.0065238i,-0.0010008+0.0050274i,-0.0069107+0.0050702i,-0.014499+0.01805i,0.0087328+0.012834i,-0.024398+0.0037502i,-0.021895-0.011698i,0.018823+0.01189i,0.015291+0.020203i,-0.013261+0.00040454i
0.0053833+0.00010171i,0.032206-0.012439i,0.010106-0.019459i,0.013719-0.010083i,0.0087942-0.011651i,0.0054932-0.017049i,0.012402+0.0057587i,0.023739+0.0029687i,-0.00097835-0.0031645i,0.00035694-0.00013176i,-0.0003804-0.0025113i,0.00024514-0.0005938i,-0.00069232+0.00028048i,0.0014193-0.00092343i,0.0011957-0.0034883i,0.0037525-0.00068528i,-0.0013409-0.0044085i,-0.0007576-0.00088257i,-0.00056524+0.0018418i,-0.00062306-0.00099504i,-0.0012779+0.00011502i,-0.00091661+0.0016907i,-0.0012522+0.0014549i,0.0049711-0.0065987i,0.0007494+0.0011045i,0.00035381-0.00033075i,0.00054666-0.00035186i,0.00044083-0.00012533i,-3.3722e-05+0.00059711i,8.6148e-05+0.0016784i,-0.0011153+0.0002417i,-3.9024e-05+0.0013308i,0.0004589-0.0001094i,0.00041175+0.00026965i,0.00075087+0.00069217i,0.00299+0.0092885i,-5.1769e-05+0.00018323i,-0.00024139+0.00036619i,0.0010057+0.00081984i,-0.0017154+0.00015546i,-0.0005402+1.7545e-05i,-0.00012157+0.00031257i,0.0019812+0.0012921i,0.0011167-0.003007i,0.0050557-0.0030856i,-0.023198+0.031438i,0.015994+0.029672i,0.014225+0.032118i,0.039029+0.024463i,0.018951+0.030279i,-0.016359+0.023422i,-0.018826+0.022258i,-0.044658+0.033279i,-0.026505-0.016773i,0.020306-0.0040668i,0.0026097+0.0056243i,0.0042298+0.011439i,-0.007962+0.012568i,-0.0060131+0.00090805i,0.014204-0.0018588i,0.012375+0.005997i,-0.012026+0.0067742i,-0.00066196-0.00091064i,-0.0024861+0.0033927i,-0.0019316+0.00056293i,-0.0019518-0.002286i,0.0071389+0.00080624i,-0.0012791-0.0081219i,-0.00331+0.0017212i,0.0026695-0.0022715i,0.0010188-0.0056126i,-0.0039512+0.0015641i,0.0018064+0.00047766i,0.00026446-0.0016686i,0.027227-0.00079487i,-0.0056695+0.0043611i,0.00054205-0.0053676i,-0.0035215-0.0021607i,-0.00045003-0.0070594i,-0.0019256+0.0076926i,0.0041501-0.0033237i,0.0013348-0.00083808i,0.0011911-0.0019194i,-0.0018688-0.0021828i,0.00019644+0.0046049i,0.0017286-0.00033482i,0.0075459+0.0030209i,-0.00044642+0.0037908i,-0.0052449+0.0078103i,-0.011034+0.01915i,0.011993+0.0015044i,-0.020126+0.0055866i,-0.026788-0.0082165i,0.019876+0.0068658i,0.020028+0.014009i,-0.013985+0.00072787i
0.0054543-0.00089793i,0.029297-0.016863i,0.0061589-0.021131i,0.011451-0.013999i,0.0066022-0.014114i,0.0021119-0.017815i,0.013512+0.0048627i,0.023455-0.00085236i,-0.0008738-0.0035571i,-0.00012221+0.00020742i,-0.00088107-0.0018228i,0.00047184-0.00058696i,-0.00022962+0.00093795i,0.0010605-0.00090626i,0.00043734-0.0031854i,0.0043832-0.00088214i,-0.0016167-0.0036303i,-0.00085322-0.00054338i,6.9957e-05+0.0016617i,-0.0010103-0.0006398i,-0.000987+0.00045347i,3.1128e-05+0.0015331i,-0.00058803+0.0017439i,0.0017066-0.0071677i,0.0012182+0.00080393i,0.00018478-0.00038061i,0.00037453-0.00053883i,0.00030217-0.00014683i,0.00018312+0.00065969i,0.00073558+0.0013542i,-0.00083628+0.00060517i,0.00052898+0.0011735i,0.0002558-0.00014135i,0.00064874+3.3632e-05i,0.00095264+1.8068e-05i,0.0049246+0.0076074i,7.3506e-05+0.0002989i,-6.7836e-05+0.00058397i,0.0010283+0.0003515i,-0.0012308+0.00059044i,-0.00070928+4.0972e-05i,-1.6154e-05+0.0001777i,0.0023877+0.00079672i,0.00020506-0.0028562i,0.0043203-0.0055074i,-0.015204+0.031194i,0.02186+0.025483i,0.020143+0.028158i,0.03891+0.010551i,0.022099+0.023576i,-0.013202+0.030355i,-0.014322+0.03057i,-0.036056+0.043474i,-0.031684-0.013954i,0.015299-0.0075587i,0.0039669+0.004824i,0.007865+0.0087994i,-0.0039765+0.014696i,-0.0052418+0.0036779i,0.010395-0.0083989i,0.013476+3.0016e-05i,-0.010032+0.0094284i,0.00052221-0.00014019i,-0.00070691+0.0032884i,-0.00041916+0.00048569i,-0.0021194+3.6812e-05i,0.0058216-0.0010735i,-0.0032945-0.0060064i,-0.00094564+0.0037073i,0.0028042-0.0040926i,-0.001183-0.0052163i,-0.0027459+0.0018469i,0.0022442-0.0010381i,0.00083112-0.0015184i,0.022628-0.011643i,-0.002636+0.0053764i,-0.0012676-0.0049951i,-0.003623-0.0014059i,-0.0030749-0.0064202i,0.00056454+0.0066676i,0.0032497-0.004801i,0.0024015-0.001193i,0.0013446-0.0028524i,-0.0013253-0.0026192i,0.0016821+0.0047753i,0.00054146+5.8079e-05i,0.0069016+0.00046706i,-0.00089681+0.0027066i,-0.0021559+0.0093198i,-0.0074654+0.019035i,0.0077668-0.0078537i,-0.017536+0.0030886i,-0.031476-0.0021875i,0.018311+0.00031976i,0.020875+0.0075502i,-0.015045+0.0024027i
0.0053329-0.0018406i,0.025542-0.021297i,0.0016334-0.022876i,0.0074532-0.017775i,0.0038614-0.016402i,-0.0015144-0.017612i,0.015347+0.0030252i,0.022535-0.0047557i,-0.0010973-0.0040953i,-0.00026573+0.0011268i,-0.0013302-0.0012782i,0.00054717-0.0011773i,0.00033506+0.0010676i,0.00074063-0.00078608i,-0.00014272-0.0027797i,0.004956-0.0018144i,-0.0020697-0.0031198i,-0.0011184-0.00033878i,0.00080015+0.001259i,-0.0014373-0.00014229i,-0.00096723+0.00053051i,0.00059587+0.00089981i,-4.6401e-05+0.0017112i,-0.0014555-0.0065024i,0.0013582-0.00024299i,-7.2089e-05-0.00021781i,-0.00016802-0.00063249i,0.00015612-0.00012015i,0.00061485+0.00047228i,0.0010153+0.0008694i,-0.00038273+0.00077835i,0.00071254+0.0009183i,0.00010485-6.311e-05i,0.00057491-0.00025777i,0.00053009-0.0006938i,0.0061033+0.0058405i,0.00020123+0.00030386i,4.4245e-05+0.00055342i,0.0010044+0.00015455i,-0.00051876+0.00067267i,-0.00087248+0.00028007i,-7.453e-06+0.00017421i,0.0026153-2.2566e-05i,-0.00059411-0.002469i,0.0025774-0.0077839i,-0.0088453+0.029199i,0.026005+0.019835i,0.025479+0.022958i,0.034734-0.00098439i,0.023225+0.018265i,-0.0065947+0.034851i,-0.0043937+0.03533i,-0.022959+0.049155i,-0.035632-0.008222i,0.010538-0.0089331i,0.0048221+0.0034625i,0.0095175+0.0049109i,0.0005355+0.014981i,-0.0043349+0.0052903i,0.0026165-0.010819i,0.010926-0.0049477i,-0.007499+0.011593i,0.001632-0.0010885i,0.00048249+0.0024728i,-2.9347e-05-0.00015154i,-0.00028167+0.0014289i,0.0046122-0.0013206i,-0.0037821-0.0042702i,0.0017696+0.0036148i,0.0013869-0.0061597i,-0.002647-0.0040219i,-0.0018042+0.0021553i,0.0014301-0.0026061i,0.0009274-0.0024618i,0.014329-0.017946i,-9.8794e-06+0.0050757i,-0.0023099-0.004168i,-0.0032271-0.00096947i,-0.0047607-0.0051622i,0.0021809+0.0051989i,0.0017659-0.0065302i,0.0027262-0.0023039i,0.00018615-0.0036915i,-0.0020873-0.0031834i,0.0039248+0.0044937i,0.0002365+0.0014048i,0.0062683-0.001221i,-0.001907+0.0026771i,0.00077086+0.0088281i,-0.0039937+0.019034i,0.00084263-0.014014i,-0.019735+0.00023309i,-0.032528+0.0059362i,0.012579-0.0039822i,0.020719+0.0019668i,-0.014412+0.0043489i
0.0053649-0.002952i,0.02149-0.024357i,-0.0038043-0.023023i,0.001891-0.0196i,0.00016574-0.017812i,-0.0044178-0.016406i,0.017126+5.2191e-05i,0.020865-0.0082818i,-0.00122-0.0050126i,0.00047092+0.0021193i,-0.001547-0.00031982i,-0.00029291-0.0015627i,0.00091814+0.0010623i,0.00071249-0.00053869i,-0.0004005-0.0023777i,0.0049419-0.0029276i,-0.0029199-0.0021677i,-0.0012478+0.00017915i,0.0010308+0.00048098i,-0.0014344+0.00072083i,-0.00083437+0.00091053i,0.00053325+0.00015253i,0.00039619+0.0016099i,-0.0037031-0.0044473i,0.0004154-0.00076339i,-0.00011036-3.544e-05i,-0.00048057-0.00034101i,4.6009e-05-1.3732e-05i,0.00057707-5.5783e-05i,0.0011334+0.00047187i,2.175e-06+0.00071251i,0.00085433+0.00061069i,0.00011744+1.0944e-05i,0.00033581-0.00033961i,-0.00013821-0.00048695i,0.0067001+0.0038802i,0.00034811+0.00022612i,8.6816e-05+0.00065281i,0.0010569-4.6431e-05i,0.00011104+0.00031944i,-0.00081613+0.00069978i,7.6834e-05+0.00015731i,0.0022512-0.0009318i,-0.0010866-0.0017639i,0.00028705-0.0093095i,-0.0040968+0.026351i,0.028144+0.014188i,0.029872+0.016352i,0.028771-0.0087259i,0.023501+0.014042i,0.0010266+0.036674i,0.0053888+0.034721i,-0.0093992+0.049752i,-0.036389-0.001175i,0.0075033-0.0089719i,0.0055204+0.0020724i,0.0091643+0.0014813i,0.0051759+0.013483i,-0.0026212+0.0070454i,-0.003777-0.0080309i,0.0075078-0.0071081i,-0.0043441+0.013278i,0.0013129-0.0029847i,0.00065474+0.0015236i,-0.00021953-0.00025816i,0.0016959+0.0011687i,0.0040346-0.0016839i,-0.0043932-0.002873i,0.0034646+0.0021357i,-0.0019568-0.0069487i,-0.0032488-0.0024949i,-0.00032438+0.0017513i,0.00060235-0.003263i,0.00027306-0.0035024i,0.0056794-0.019518i,0.0017174+0.0039416i,-0.0030718-0.0034913i,-0.0038941-0.00066767i,-0.0061028-0.0033287i,0.0026143+0.0038742i,-0.00087482-0.0078111i,0.0027185-0.0035743i,-0.00081438-0.0032356i,-0.0027799-0.0030145i,0.0050924+0.0031311i,0.00099659+0.0023778i,0.0046392-0.0026695i,-0.0021293+0.0036033i,0.0030094+0.0073263i,0.0006871+0.018753i,-0.0090976-0.016871i,-0.023961+0.00033808i,-0.029878+0.013535i,0.0074567-0.003493i,0.018135-0.0035218i,-0.013351+0.0044295i
0.0051546-0.0046488i,0.017576-0.027316i,-0.0084744-0.021348i,-0.0031794-0.019058i,-0.0036227-0.0182i,-0.0065409-0.015211i,0.018191-0.0041138i,0.018849-0.011512i,-0.0018682-0.0061438i,0.0018604+0.0021741i,-0.0010524+0.00046322i,-0.0010276-0.00096569i,0.0014374+0.00051371i,0.00081638-0.00054691i,-0.0005456-0.0021356i,0.004597-0.0038081i,-0.0030295-0.00082008i,-0.00084487+0.00039849i,0.00075783-0.00016717i,-0.0009253+0.0012479i,-0.00054622+0.0010204i,0.00012137-0.00024886i,0.00085517+0.0013632i,-0.0047647-0.0017437i,-0.0002-0.00035602i,-6.641e-05+6.9883e-05i,-0.00056223-0.00012787i,8.3827e-05+0.000101i,0.00020803-7.2197e-05i,0.0011058-6.7338e-05i,0.00034786+0.00050653i,0.0007139+0.00043609i,0.00023122+1.549e-05i,0.00033902-0.00022931i,-0.00032773+3.7971e-05i,0.0066205+0.002158i,0.00034295+0.00020326i,0.00043118+0.00075474i,0.0010779-0.00050536i,0.00037322-0.00017751i,-0.00042884+0.00093591i,0.00013805-2.0446e-05i,0.0014269-0.0015481i,-0.001359-0.0010872i,-0.0025422-0.010083i,-0.0013857+0.023217i,0.029316+0.0090981i,0.031887+0.0082305i,0.022384-0.013904i,0.023644+0.011984i,0.0089762+0.036381i,0.013617+0.032102i,0.0022036+0.046279i,-0.034814+0.0056469i,0.0049842-0.0092427i,0.0060627+3.3133e-05i,0.008631-0.00091643i,0.0089422+0.010086i,0.0001184+0.0073438i,-0.0068674-0.0037499i,0.0039219-0.0078693i,-0.00040299+0.013315i,-0.00065711-0.0038176i,4.0551e-06+0.0014744i,-0.00033457-0.00010687i,0.0026713-4.7665e-05i,0.0034259-0.0012632i,-0.0043466-0.0012075i,0.0039408+0.00025755i,-0.0048064-0.0051361i,-0.0028966-0.0011884i,0.00010531+0.0005854i,-0.00027737-0.0039268i,-0.0009889-0.0037557i,-0.0014927-0.017939i,0.0030374+0.0023236i,-0.0040285-0.0025862i,-0.0040078+0.00098592i,-0.0064772-0.001065i,0.0031793+0.0031915i,-0.0045138-0.0074008i,0.0020191-0.0051417i,-0.0013637-0.0030182i,-0.0033734-0.0030344i,0.0062537+0.0018156i,0.0020639+0.0026113i,0.0030357-0.0024279i,-0.0017433+0.0044465i,0.0042924+0.0051619i,0.0056385+0.016223i,-0.019602-0.014003i,-0.02797+0.0032957i,-0.025246+0.017871i,0.0053817-0.002403i,0.013416-0.006788i,-0.014766+0.0049317i
0.0040672-0.0062762i,0.013119-0.030156i,-0.012034-0.019103i,-0.0072353-0.017361i,-0.0074344-0.017749i,-0.0087219-0.014113i,0.01784-0.0094943i,0.016431-0.014423i,-0.0034482-0.0073176i,0.0029988+0.0015626i,-0.00036832+0.00074302i,-0.0012326-2.5904e-05i,0.0014703-0.00017257i,0.00085856-0.00064198i,-0.00085086-0.0020457i,0.0040398-0.0047001i,-0.0027318+0.00014878i,-0.00060637+0.00030725i,0.00051929-0.00041059i,-0.00031529+0.0014348i,-0.00029116+0.0011407i,-0.00024273-0.00028445i,0.0011605+0.00092219i,-0.0043428+0.00085309i,-0.00016018+0.00015833i,1.1671e-05+0.0001586i,-0.00054255+9.9217e-05i,0.00014077+9.0077e-05i,0.00018533+3.3651e-05i,0.00071756-0.00047449i,0.00051124+0.00014116i,0.00086488+0.00054492i,0.00027738-4.136e-05i,0.00035167-0.00049256i,-4.9333e-05+0.00041332i,0.0064327+0.0009013i,0.00046979+9.5904e-05i,0.00077136+0.00063101i,0.0005498-0.00084615i,0.0006155-0.00056676i,2.2743e-05+0.0010719i,9.8901e-05-7.1802e-05i,0.00049377-0.0014278i,-0.0013811-2.6538e-05i,-0.0053156-0.0097036i,-0.00048838+0.02129i,0.029945+0.004228i,0.030905+0.0017106i,0.015407-0.017481i,0.026178+0.010802i,0.016508+0.033606i,0.021821+0.027303i,0.011892+0.039973i,-0.030431+0.011411i,0.0026086-0.0091266i,0.0052144-0.0030505i,0.0080306-0.0035919i,0.010136+0.0055145i,0.0018154+0.0063347i,-0.0077366+0.0013466i,0.00050429-0.0072938i,0.0024441+0.011148i,-0.0027931-0.0030689i,-0.00012108+0.0022899i,-0.00040352+0.00017836i,0.0031523-0.0016768i,0.0040974-0.00024022i,-0.0033086-0.00020515i,0.0037484-0.00034297i,-0.0056541-0.0027946i,-0.0021348-0.00059275i,-0.00021987+0.00022602i,-0.0024633-0.0043169i,-0.0021392-0.0029715i,-0.0072294-0.015128i,0.0034045+0.00014444i,-0.0046064-0.0012258i,-0.0029502+0.0019262i,-0.0061241+0.00071893i,0.0039364+0.0025341i,-0.0072709-0.0048479i,1.8845e-05-0.0064909i,-0.0023093-0.0025595i,-0.0049311-0.0024174i,0.0070384-0.00066186i,0.0033982+0.0026283i,0.0027214-0.0021419i,-0.00048073+0.0055995i,0.0041277+0.002929i,0.0094742+0.012055i,-0.025297-0.0054677i,-0.031106+0.008913i,-0.020291+0.021638i,0.0035135-0.00093883i,0.0093837-0.0069657i,-0.014995+0.0070159i
