-0.023715-0.019142i,-0.031976-0.033812i,-0.022378-0.019893i,-0.03229-0.020803i,-0.024053+0.0039207i,-0.029055-0.018197i,-0.055512-0.047794i,-0.041067-0.04465i,-0.029687-0.023713i,0.0055087+0.0057576i,-0.0036508+0.0065786i,-0.010741+0.011208i,0.0041615+0.0068257i,-0.0036349-0.0028889i,0.0029271+0.0017755i,0.0017392+0.028334i,0.02519+0.031488i,4.7447e-05+0.00015419i,-0.0029439-0.0027021i,0.007807+0.003708i,0.0020822+0.00054387i,-9.7954e-05+0.0024647i,-0.00054662+0.00017901i,-0.031729-0.0012697i,-0.0032784-0.0051508i,4.2223e-05+0.0024458i,0.0037885-0.00062943i,0.00091568-0.00029802i,-0.00065925-0.00048564i,-0.00075965-0.0020528i,-0.0022118-0.0006778i,-0.0040331-0.0037149i,-0.0027008-0.0050396i,0.00040761-0.0012647i,0.00062658-0.0031804i,-0.0014161+0.025912i,0.0020539-0.0028839i,0.0022425-0.0040307i,0.0044821-0.0024208i,-0.0056609-0.001751i,0.00070766+0.0013876i,0.010773-0.00028134i,-0.0013246+0.0001272i,-0.003197+0.0017133i,-0.0083306-0.0020979i,-0.01862+0.020968i,-0.0084236-0.08689i,-0.0023253-0.061419i,-0.020959-0.05408i,-0.011454-0.045794i,0.053606-0.026985i,0.024079-0.067125i,0.040772-0.054804i,0.018657-0.039567i,0.025912-0.019586i,0.012146+0.011788i,0.025589-0.028792i,-0.011391-0.00091185i,-0.0014799-0.00065211i,-0.0083438-0.0016026i,-0.0047453-0.0299i,-0.021316+0.026232i,0.0070663-0.0095621i,-0.010695-0.0032586i,-0.0026649-0.0019117i,-0.00028004-0.014769i,-0.0084039+0.0052611i,0.0061122+0.01067i,-0.010506+0.029875i,0.0064534+0.0075916i,-0.0034195-0.0016463i,-0.00231-0.0013252i,-0.012859-0.0057528i,0.00064694-0.0042626i,-0.033304+0.0029268i,0.0032199-0.0089788i,-0.0073647-0.002214i,-0.0050132-0.0032472i,0.0067498+0.0019379i,-0.010339+0.0003908i,0.0024668-0.0003116i,0.0058702+0.0075898i,0.0053828+0.00088777i,-0.0073911-0.009972i,0.0027983+0.0081562i,-0.019474+0.0074715i,0.0034272+0.0058722i,-0.021096-0.0093696i,-0.027246-0.0052828i,0.0098429-0.061539i,0.018907-0.015181i,-0.050171-0.028884i,-0.021285+0.0016081i,0.019175+0.010225i,-0.027106+0.011581i,-0.012652-0.0080456i
0.0052463+0.0048801i,0.037336+0.015674i,0.020148-0.0044283i,0.013218+0.0021502i,0.0088802-0.0017755i,0.016087-0.0073434i,0.011903+0.014561i,0.018493+0.019948i,0.0012904-0.0026603i,0.0012267+0.00069402i,0.0024054-0.0012202i,0.0012103-0.0037387i,0.00011927-0.001255i,0.0022131-0.00019827i,0.0053073-0.0011947i,0.0052242+0.00055756i,0.0059304-0.0053675i,9.9556e-05-0.00098692i,-0.0022133-0.00013996i,0.00054132+0.00079584i,0.00014818-0.00014379i,-0.0021539-0.00050653i,-0.0015445-0.00013517i,0.0064139+0.0076264i,-0.00081002+0.00016353i,0.00037426+0.00081175i,0.0010375+0.0010202i,-5.0308e-05+0.0013283i,-0.00036121-0.00039214i,-0.0011599+0.0001105i,0.00047752-0.0011692i,-0.0006317+0.00038992i,0.0001787+0.00070278i,-8.4757e-05+0.0006576i,-0.00019013-0.0010849i,-0.0090641+0.0068829i,0.00057415+0.00025937i,-0.00045171+3.7065e-05i,-0.00038758+0.0016408i,-0.00031412-0.0032035i,-0.0006938+0.00011789i,-0.00059281-5.6067e-05i,0.00045181+0.0013119i,0.0034105-0.0023229i,0.00036018+0.0035109i,-0.049896+0.0096014i,-0.0033137+0.02988i,-0.013348+0.041641i,-0.0088325+0.064881i,-0.017438+0.04464i,-0.00668+0.019027i,-0.0089423+0.012663i,-0.048501+0.0026363i,-0.025067-0.0077955i,0.015219+0.025806i,0.00046402+0.0055018i,-0.0075072+0.00157i,-0.01393-0.0019005i,0.0037858-0.00026351i,0.0057228+0.01408i,-0.0062734+0.0069484i,-0.005462-0.006701i,0.0060952-0.0029306i,-0.0066662-0.0051856i,0.003964-0.0069435i,0.004308-0.0021698i,-0.0021625+0.01047i,0.012046-0.0053765i,0.006091-0.0050172i,0.0054136-0.0085281i,0.0030685+0.00085757i,-0.0017256-0.0060293i,-0.0033007-0.0014859i,0.0021913-0.001789i,-0.010578+0.031352i,-0.0044042-0.005472i,0.003308+0.0001064i,-0.00042571-0.0066276i,0.0033263-0.0013903i,-0.013414-0.0058658i,0.00079478+0.00081799i,0.0040611-0.0017728i,0.0025862-0.0013369i,0.0013266-0.0054324i,-0.002347+0.0056454i,-0.00018007+0.0060324i,-0.0049699+0.0068754i,-0.0051054+0.0021696i,-0.0058147+0.00011825i,-0.023217+0.019256i,-0.0084756+0.014431i,-0.021889-0.011116i,-0.0095148-0.008837i,0.0089469+0.019964i,-0.00015509+0.019936i,-0.0090809-0.0034352i
0.0056181+0.0029763i,0.039066+0.007931i,0.019023-0.0082434i,0.013785+0.00080604i,0.0096575-0.0032574i,0.014607-0.010546i,0.012765+0.011753i,0.021033+0.01622i,0.00010329-0.0029448i,0.0014862+0.00012851i,0.0022568-0.0015983i,-0.00026836-0.0025677i,-5.5916e-05-0.00068132i,0.0020591-0.00016862i,0.0045899-0.0022993i,0.0048603+9.7302e-05i,0.0034627-0.005959i,0.00013396-0.00089339i,-0.0024344+0.00017878i,0.0010214+0.00015001i,2.1933e-05-0.00055233i,-0.0022129+5.6749e-05i,-0.0015571+0.00011401i,0.0099582+0.0044576i,-0.0010668+0.0010318i,0.00091313+0.00051605i,0.0011302+0.00036913i,0.00053379+0.0011522i,-0.00080883+0.0001792i,-0.0011639+0.00056768i,-0.00020214-0.0011879i,-0.00065765+6.5128e-05i,0.00020325+0.00049203i,0.00032189+0.00059673i,-0.00077454-1.6288e-05i,-0.0061854+0.0089503i,0.00026693-3.9074e-05i,-0.00034869+0.00044204i,0.00025162+0.0013843i,-0.0012851-0.0024733i,-0.00058376+1.1825e-05i,-0.00066277+0.00024049i,0.00058146+0.0014526i,0.0024316-0.0024974i,0.0016901+0.0034011i,-0.044811+0.017405i,-0.00039234+0.030834i,-0.00443+0.041687i,0.0074455+0.061959i,-0.0061474+0.043771i,-0.0088783+0.015814i,-0.012504+0.010676i,-0.050489+0.0076164i,-0.020985-0.0093674i,0.021394+0.020061i,0.00050232+0.0052872i,-0.0062358+0.0068494i,-0.013348+0.0027137i,0.0023314-0.0018458i,0.0094001+0.012608i,-0.0019468+0.011366i,-0.0092854-0.0046143i,0.0024842-0.0048659i,-0.0066423-0.0016563i,-0.00077983-0.0068415i,0.0026454-0.0039495i,0.0026598+0.0080074i,0.0075926-0.0086892i,0.0023026-0.0061956i,0.00077325-0.0060298i,0.0041489-0.00018413i,-0.0031151-0.0048137i,-0.0017702+0.00064954i,0.0017606-0.0017324i,0.0058508+0.031446i,-0.0058864-0.0044289i,0.0036233-0.0019461i,-0.0035164-0.0058613i,0.0036076-0.0025023i,-0.013754+0.00054576i,0.0017886+0.001142i,0.0029109-0.0020281i,0.0026612-0.0023594i,-5.786e-06-0.0055391i,-0.00032409+0.003089i,0.0022908+0.0047824i,-0.0014389+0.0083694i,-0.0040522+0.0045166i,-0.0064408+0.00095522i,-0.018055+0.018189i,-0.0061157+0.016707i,-0.024698-0.0059612i,-0.01169-0.011435i,0.011691+0.019599i,0.0036711+0.021487i,-0.011491-0.0032674i
0.0052741+0.0015548i,0.038823-0.00060296i,0.017525-0.012681i,0.015166-0.0020293i,0.010535-0.0054847i,0.012253-0.013733i,0.012894+0.0090183i,0.023152+0.011883i,-0.00058487-0.0025188i,0.0011884-0.00041889i,0.0017915-0.002466i,-0.00030313-0.0012723i,-2.6459e-05-0.0006759i,0.0020471-0.00053935i,0.0036607-0.0031396i,0.0044617-0.00037554i,0.0013276-0.0060098i,-0.00010126-0.0011069i,-0.002396+0.0010956i,0.00084013-0.00080323i,-0.00065574-0.00088584i,-0.001953+0.00062614i,-0.0016344+0.00042385i,0.01037-0.00049348i,-0.00033189+0.0015117i,0.00084658-7.6979e-05i,0.00089469-7.7988e-06i,0.001015+0.00057205i,-0.00048861+0.00066296i,-0.00098244+0.0010042i,-0.00077881-0.00087726i,-0.0011831+0.00062136i,0.00037569+0.0003705i,0.0004759+0.00026369i,-0.00025462+0.00079344i,-0.0030744+0.010028i,6.1692e-05+0.00014686i,-5.8659e-05+0.00044367i,0.00051224+0.0010563i,-0.0019157-0.0015217i,-0.00053463-4.6179e-05i,-0.00047935+0.0004964i,0.0010278+0.0017433i,0.0019305-0.0026558i,0.0036793+0.0024854i,-0.038849+0.023849i,0.0041339+0.031825i,0.0041798+0.038471i,0.022695+0.053676i,0.0036808+0.042554i,-0.011936+0.015251i,-0.015341+0.01173i,-0.05047+0.015458i,-0.019628-0.01273i,0.024545+0.01141i,0.00072415+0.0050509i,-0.003762+0.0086032i,-0.012674+0.0059677i,-7.8161e-06-0.0037207i,0.012535+0.0094936i,0.0036229+0.012085i,-0.011694-0.0013549i,0.000361-0.0033675i,-0.0057686+0.00095362i,-0.0030522-0.0043755i,0.00065579-0.0038067i,0.0048993+0.0070292i,0.0043726-0.0091296i,-0.0015547-0.0050602i,0.00018478-0.0032224i,0.0044634-0.0024529i,-0.005182-0.0033189i,-0.00051592+0.00047069i,0.0010359-0.0020577i,0.019121+0.023833i,-0.0077259-0.0022061i,0.0030141-0.0032673i,-0.0035587-0.0042544i,0.0037825-0.0042041i,-0.010642+0.0059046i,0.0034022+0.00065899i,0.0018589-0.0023075i,0.0015581-0.0026707i,-0.0018022-0.0047769i,-0.0010912+0.0025056i,0.0033429+0.0027854i,0.002322+0.0085654i,-0.002532+0.0053212i,-0.0071434+0.0028721i,-0.015493+0.016583i,0.00048278+0.017256i,-0.025336-0.0015927i,-0.015068-0.01256i,0.016522+0.016787i,0.0090458+0.022303i,-0.013806-0.0017075i
0.0047779+0.00071379i,0.035612-0.0076137i,0.014086-0.016926i,0.015137-0.0062996i,0.01028-0.0087173i,0.0089089-0.015914i,0.012697+0.0071761i,0.02387+0.0073008i,-0.00066163-0.002406i,0.000624-0.00043441i,0.00070937-0.0026981i,4.3192e-05-0.00072113i,-0.00048528-0.00043539i,0.001704-0.00073412i,0.0024099-0.0036729i,0.0041124-0.00056629i,-0.00036133-0.0050653i,-0.00032782-0.00096928i,-0.0014335+0.0018759i,7.7938e-05-0.0011834i,-0.0011355-0.00035031i,-0.0016642+0.0012142i,-0.0015397+0.00093314i,0.0082996-0.004178i,0.00029487+0.001442i,0.0005253-0.00022107i,0.00070687-0.00016732i,0.00077782-3.9217e-05i,-8.1229e-05+0.00064216i,-0.00056963+0.0014865i,-0.0011288-0.00027738i,-0.00067685+0.0013088i,0.00050359+0.00012971i,0.00037936+4.9339e-05i,0.0003397+0.00083763i,0.00016603+0.010011i,0.00014545+0.00023321i,-4.7432e-05+0.00029325i,0.00054721+0.00090472i,-0.002076-0.00055748i,-0.00058926+1.8992e-05i,-0.00030331+0.00056424i,0.0017112+0.0017026i,0.0014491-0.0026762i,0.0053032+0.00023779i,-0.031322+0.028683i,0.0098548+0.031633i,0.009265+0.034357i,0.034583+0.040289i,0.013421+0.037372i,-0.015439+0.017666i,-0.018393+0.01522i,-0.048213+0.023935i,-0.021476-0.016157i,0.024484+0.0025834i,0.0013214+0.0054375i,-0.0010901+0.011331i,-0.011034+0.0097586i,-0.0042383-0.0027575i,0.015065+0.0044625i,0.0089121+0.0098978i,-0.012581+0.0026737i,-0.0005038-0.0026426i,-0.0041542+0.0026027i,-0.0038037-0.0013271i,-0.00037103-0.0033019i,0.0068169+0.0038174i,0.0014656-0.0091337i,-0.0036225-0.0017912i,0.0010692-0.0019315i,0.0031104-0.0045186i,-0.0057211-0.00029728i,0.00037168+0.00079516i,0.00058581-0.0019702i,0.026471+0.011597i,-0.0079022+0.0013985i,0.002072-0.0045735i,-0.0040539-0.0028224i,0.0021487-0.0064464i,-0.0058038+0.0080325i,0.0044725-0.0012135i,0.0011506-0.001746i,0.0010673-0.0023306i,-0.0025445-0.0031556i,-0.0014332+0.0033161i,0.0032118+0.0009657i,0.0060951+0.0069788i,-0.0011393+0.0050228i,-0.0071196+0.0053848i,-0.013936+0.017318i,0.0092229+0.01224i,-0.02396+0.0032499i,-0.020304-0.012076i,0.018406+0.012274i,0.015269+0.020427i,-0.013549+0.00042986i
0.0047625+0.00025909i,0.032359-0.012438i,0.0098642-0.019571i,0.013758-0.010364i,0.0087353-0.011808i,0.0056754-0.017136i,0.01286+0.0060839i,0.023824+0.0032973i,-0.00036389-0.0025456i,0.00021126-0.00022881i,-0.00031773-0.0023752i,0.00041302-0.00068995i,-0.00065616+0.00019958i,0.0014337-0.00090412i,0.0012599-0.0035539i,0.0042542-0.00062067i,-0.0010577-0.003891i,-0.0007111-0.00083995i,-0.00059443+0.0018919i,-0.00061595-0.0010672i,-0.0012488+6.6737e-05i,-0.00094994+0.0017354i,-0.0011719+0.0014345i,0.0053665-0.006344i,0.0007102+0.0012056i,0.00036769-0.00023097i,0.00053178-0.00040637i,0.00046187-0.00013871i,5.8503e-05+0.00063418i,0.00013398+0.00165i,-0.0010604+0.0002768i,-5.6807e-05+0.0014404i,0.00045737-0.0001092i,0.00040066+0.00018867i,0.00081893+0.00069655i,0.0029352+0.0091465i,8.2976e-05+0.00031506i,-0.00016521+0.00035885i,0.00090752+0.00080476i,-0.0017989+0.00027727i,-0.00063748-9.1016e-05i,-0.00014145+0.00051632i,0.0023094+0.0010825i,0.00065598-0.0029915i,0.0053629-0.0027786i,-0.022996+0.031056i,0.016437+0.029793i,0.014466+0.031762i,0.039213+0.0248i,0.019139+0.03027i,-0.016199+0.023807i,-0.018442+0.02254i,-0.043945+0.033099i,-0.026466-0.017126i,0.020267-0.0044834i,0.0025947+0.0055796i,0.0041741+0.011561i,-0.0078466+0.012692i,-0.0058986+0.00074017i,0.014573-0.0026548i,0.012648+0.0057705i,-0.011975+0.0065176i,-0.00080054-0.00085792i,-0.0024388+0.0034542i,-0.0020864+0.00062926i,-0.0019931-0.0022107i,0.0070729+0.00093272i,-0.0013571-0.0080994i,-0.0032164+0.0015313i,0.0023846-0.0021908i,0.0010582-0.005507i,-0.0041268+0.00169i,0.0017972+0.00028763i,0.00021268-0.0017931i,0.02722-0.0010215i,-0.0056227+0.0043377i,0.00040672-0.0052685i,-0.0036273-0.0020855i,-0.00045901-0.0070913i,-0.0019719+0.0076387i,0.0041397-0.003338i,0.0013132-0.00095174i,0.0013526-0.0019906i,-0.0017909-0.0024071i,1.3817e-05+0.0044676i,0.0019169-0.00018962i,0.007701+0.0033833i,-0.00063604+0.0036995i,-0.0053101+0.0080363i,-0.010642+0.018443i,0.012153+0.0008104i,-0.020097+0.0049053i,-0.025766-0.009631i,0.019909+0.0074558i,0.020015+0.014153i,-0.014216+0.00084945i
0.0049372-0.00064151i,0.029496-0.016904i,0.0059335-0.021177i,0.011432-0.01429i,0.0065771-0.014256i,0.0022661-0.017939i,0.014018+0.0049662i,0.023528-0.00055091i,-0.0002035-0.003495i,-0.00024493+0.00015553i,-0.00076452-0.001671i,0.00051765-0.00077872i,-0.00022813+0.00082992i,0.001121-0.00090881i,0.00047119-0.0032623i,0.0047901-0.0010729i,-0.0013182-0.003409i,-0.00082752-0.00048313i,6.638e-05+0.0017516i,-0.0010519-0.00070647i,-0.00095834+0.00045458i,5.813e-05+0.0015609i,-0.00055075+0.0016898i,0.0020627-0.0070548i,0.0012023+0.00086261i,0.00025393-0.00030662i,0.00033173-0.00054367i,0.0003008-0.00020149i,0.00032399+0.00064418i,0.00075042+0.0013475i,-0.00076831+0.00060999i,0.00056469+0.0012855i,0.00029677-0.00019757i,0.00061619-5.9215e-05i,0.0010823+4.7348e-06i,0.0047991+0.0075197i,0.00022752+0.00037727i,-4.6375e-05+0.00050681i,0.00094173+0.00040931i,-0.0011675+0.00072126i,-0.00085781-2.0115e-05i,1.3302e-05+0.00042017i,0.0025022+0.00041508i,-0.00016798-0.0027447i,0.0044983-0.0054722i,-0.015496+0.030968i,0.022361+0.025307i,0.020189+0.027955i,0.039279+0.010771i,0.022079+0.023469i,-0.01262+0.030564i,-0.013653+0.030333i,-0.035725+0.042453i,-0.031644-0.014349i,0.015209-0.0079189i,0.004003+0.0048267i,0.0079194+0.0088733i,-0.0038508+0.014845i,-0.0052241+0.0035217i,0.01026-0.0092465i,0.013581-0.00017899i,-0.010277+0.0092458i,0.00031689+9.0498e-05i,-0.0006258+0.0032859i,-0.00053986+0.00062934i,-0.0020887-7.2611e-06i,0.0057038-0.00096709i,-0.0031493-0.0057463i,-0.0008024+0.0034132i,0.0027192-0.0039913i,-0.0011148-0.0052195i,-0.0028086+0.0020539i,0.0020993-0.0011774i,0.00072089-0.0015169i,0.022533-0.011759i,-0.0026469+0.0053982i,-0.0012645-0.0048131i,-0.0037538-0.0011782i,-0.0031079-0.0064748i,0.00037596+0.0065294i,0.0033177-0.0049168i,0.0022889-0.0012075i,0.0014473-0.0029937i,-0.0012065-0.0028624i,0.0014793+0.0045729i,0.00080549+0.00015862i,0.0072285+0.00060855i,-0.0011667+0.0028193i,-0.002195+0.0094688i,-0.0070893+0.018139i,0.0074906-0.0084762i,-0.018125+0.0024306i,-0.031524-0.0038655i,0.018504+0.00079225i,0.02081+0.0076894i,-0.015004+0.0026501i
0.0049438-0.0014974i,0.025721-0.021328i,0.0014461-0.022789i,0.0074129-0.018072i,0.0037705-0.016597i,-0.0013902-0.017778i,0.015676+0.0030158i,0.022693-0.0045163i,-0.00064749-0.0043778i,-0.00039195+0.0010914i,-0.0011113-0.0012147i,0.00041606-0.0013673i,0.00026556+0.00098035i,0.00075766-0.00082509i,-0.00013473-0.0028605i,0.0051309-0.0021574i,-0.0018621-0.0030417i,-0.0010621-0.00031294i,0.00085487+0.0013299i,-0.0015189-0.00015922i,-0.00092416+0.00053645i,0.00058109+0.000889i,-2.7689e-05+0.0016829i,-0.0012315-0.006443i,0.0013244-0.00020172i,3.8146e-05-0.00020439i,-0.00017511-0.00060622i,0.00014444-0.00016406i,0.00063959+0.00036561i,0.0010427+0.00084919i,-0.00030969+0.00076482i,0.00080124+0.0010171i,9.718e-05-0.00011378i,0.00047233-0.00029812i,0.00062943-0.00074431i,0.0059819+0.005852i,0.00034212+0.00037039i,-9.101e-06+0.0005107i,0.0010107+0.00027081i,-0.00044928+0.00072236i,-0.001043+0.00032166i,5.4216e-05+0.00037846i,0.0024384-0.00037023i,-0.00094731-0.0022231i,0.002653-0.0078432i,-0.0089927+0.029534i,0.026318+0.019473i,0.025371+0.022932i,0.034976-0.00089353i,0.023211+0.018318i,-0.0061815+0.034551i,-0.0039893+0.034704i,-0.023561+0.048077i,-0.035739-0.0087194i,0.01031-0.0091998i,0.0048529+0.0034263i,0.0095764+0.0049693i,0.00065266+0.015049i,-0.0043626+0.0052618i,0.0021793-0.011465i,0.01106-0.0050575i,-0.0079339+0.011604i,0.0016434-0.00075775i,0.00051693+0.0023737i,-2.0563e-05-7.3952e-05i,-0.00036634+0.0013388i,0.0045875-0.0013363i,-0.0034058-0.0041039i,0.0016751+0.0032415i,0.0013825-0.006098i,-0.0025951-0.0040306i,-0.0017188+0.0023895i,0.0012464-0.0024786i,0.00087413-0.0023773i,0.014296-0.017931i,3.0859e-05+0.0050192i,-0.0021848-0.0039672i,-0.0031367-0.00074137i,-0.0048011-0.0052696i,0.0019171+0.0052975i,0.0017087-0.006575i,0.0026331-0.0022802i,0.00026228-0.0038503i,-0.0020988-0.0034885i,0.0035856+0.0044078i,0.00061077+0.0012816i,0.0067296-0.0012394i,-0.0019687+0.002964i,0.0008066+0.0089014i,-0.0039686+0.017992i,0.00019143-0.014193i,-0.020777-4.345e-05i,-0.033677+0.0046562i,0.012837-0.0037253i,0.020703+0.0020773i,-0.014354+0.0044482i
0.0050945-0.0025525i,0.02161-0.024353i,-0.0039349-0.022964i,0.0017709-0.019854i,2.3404e-05-0.01801i,-0.0043441-0.016586i,0.017273+3.6323e-05i,0.020986-0.0081714i,-0.0010148-0.0054478i,0.00034208+0.0021239i,-0.0013351-0.000416i,-0.00050147-0.0015921i,0.00082122+0.0010393i,0.00073366-0.00054661i,-0.00043154-0.0024635i,0.00485-0.0032024i,-0.0027567-0.0022222i,-0.001187+0.00016424i,0.0011664+0.00051782i,-0.0014846+0.00078636i,-0.00077762+0.00088445i,0.00046911+0.00012257i,0.00043309+0.0015762i,-0.0035951-0.0044189i,0.00043238-0.00065968i,-5.5715e-06-9.5172e-05i,-0.00045595-0.00033777i,4.3053e-05-4.6864e-06i,0.00051756-6.5436e-05i,0.0011373+0.00044798i,5.9047e-05+0.00065377i,0.00095572+0.0006636i,0.00012855+7.2419e-05i,0.00027462-0.00026833i,-0.00017962-0.00054467i,0.0066473+0.0039962i,0.00045871+0.00022656i,3.9428e-05+0.00067414i,0.0011906+8.3397e-05i,0.00014203+0.00035936i,-0.00096566+0.0008605i,0.00021656+0.00031619i,0.0018724-0.0011229i,-0.0013445-0.0014027i,0.00011938-0.0093516i,-0.0038025+0.026643i,0.028344+0.013751i,0.029858+0.016489i,0.028904-0.0085607i,0.023616+0.014127i,0.0011916+0.03643i,0.0055237+0.034082i,-0.010615+0.04948i,-0.036917-0.001556i,0.0070846-0.0090676i,0.0055633+0.002005i,0.0092807+0.0015857i,0.0052714+0.013539i,-0.0028224+0.0070702i,-0.0045097-0.008542i,0.0075113-0.0072869i,-0.0046908+0.013315i,0.0013148-0.0028055i,0.00067969+0.0014438i,-0.00017228-0.00021223i,0.0016142+0.0011893i,0.003978-0.0016896i,-0.0040134-0.0029601i,0.0032547+0.0019272i,-0.0018598-0.0070039i,-0.0032335-0.0025637i,-0.00015931+0.0019361i,0.0005959-0.0031035i,0.00032415-0.0034116i,0.0056769-0.019497i,0.0017357+0.0038105i,-0.0028681-0.0034242i,-0.0036426-0.00066009i,-0.0062137-0.0034735i,0.0026622+0.0041206i,-0.001007-0.0077124i,0.0025204-0.0035509i,-0.00090644-0.0034228i,-0.002833-0.003135i,0.0049549+0.0031567i,0.0012398+0.0021152i,0.0051368-0.0030041i,-0.0020559+0.0037856i,0.0029837+0.0071977i,0.00034199+0.017909i,-0.0096829-0.016544i,-0.024694+0.00066929i,-0.031615+0.013266i,0.0077238-0.0034526i,0.018259-0.003516i,-0.013198+0.0047311i
0.0049824-0.0042498i,0.01764-0.027338i,-0.0085901-0.021353i,-0.0033938-0.019245i,-0.0037837-0.018321i,-0.0065297-0.01538i,0.018288-0.004085i,0.018926-0.011341i,-0.002067-0.0066417i,0.0017344+0.0022712i,-0.00093819+0.00032229i,-0.0011999-0.00092437i,0.0013822+0.0005528i,0.00083845-0.00056601i,-0.00061691-0.0021732i,0.0044205-0.0040196i,-0.0030393-0.0010409i,-0.00081668+0.000376i,0.00087017-0.00016746i,-0.00088146+0.0013256i,-0.00048581+0.00098232i,9.9344e-05-0.0001909i,0.00086128+0.0013025i,-0.0047352-0.0017505i,-0.00016083-0.00031749i,-2.6105e-06-4.6031e-05i,-0.00050281-0.00014858i,0.00011936+0.00010009i,0.00015573-1.8095e-06i,0.0010821-7.4594e-05i,0.00035359+0.00043346i,0.0007863+0.00047742i,0.00029123+4.8265e-05i,0.00035174-0.00019918i,-0.00034902+7.272e-05i,0.006634+0.0022728i,0.00038825+0.00016888i,0.00040606+0.0007955i,0.0012394-0.0003963i,0.00046621-9.2206e-05i,-0.00052085+0.0011347i,0.00027296+6.6701e-05i,0.0010671-0.0015361i,-0.001506-0.00074047i,-0.0027468-0.009983i,-0.0009978+0.023257i,0.029364+0.0086475i,0.031984+0.0083709i,0.022635-0.013735i,0.023761+0.012007i,0.0090447+0.036238i,0.013518+0.031401i,0.0011433+0.04687i,-0.035425+0.0057943i,0.0046135-0.0092155i,0.0060431-4.9479e-05i,0.0088669-0.00094841i,0.0090445+0.010132i,-8.0497e-05+0.0074972i,-0.00774-0.0038499i,0.0038315-0.007903i,-0.00070835+0.013481i,-0.00056918-0.0035981i,2.8552e-05+0.0013764i,-0.00026565-7.6037e-05i,0.002666+2.2526e-05i,0.0034698-0.0012909i,-0.0041231-0.001379i,0.0036586+0.000245i,-0.0048289-0.0051017i,-0.0029134-0.0012998i,0.00031013+0.00060709i,-0.00027356-0.0037187i,-0.00092785-0.0037341i,-0.0014411-0.017897i,0.0030382+0.0022471i,-0.0038284-0.0026107i,-0.0038281+0.0007101i,-0.0065948-0.0010768i,0.0032966+0.0032633i,-0.0043628-0.0070707i,0.0018668-0.0049539i,-0.0015432-0.0031415i,-0.0032614-0.0030739i,0.006201+0.0017437i,0.0021551+0.0023224i,0.0032004-0.0029035i,-0.0017717+0.0043443i,0.0040955+0.005129i,0.0054035+0.015652i,-0.019949-0.013444i,-0.028269+0.0037365i,-0.026636+0.018626i,0.0054357-0.0026104i,0.013496-0.0069823i,-0.01453+0.0051326i
0.0039688-0.0058837i,0.013157-0.030092i,-0.012178-0.019084i,-0.0074458-0.01748i,-0.0075592-0.017788i,-0.0087505-0.01422i,0.017913-0.0093438i,0.016549-0.014307i,-0.0039624-0.0074789i,0.0029284+0.0016881i,-0.00027101+0.00059403i,-0.0013311+8.7688e-05i,0.0014461-0.00012091i,0.00083746-0.00065534i,-0.0009169-0.0020451i,0.0037681-0.00487i,-0.0029037+7.348e-05i,-0.0005776+0.00029309i,0.00057367-0.00040782i,-0.00026405+0.0014644i,-0.00023489+0.0010996i,-0.00020387-0.00024686i,0.0010832+0.00086186i,-0.0043367+0.00090163i,-0.00012304+0.00015113i,-2.1121e-06+2.8222e-05i,-0.00045696+8.7444e-05i,0.0001289+5.2856e-05i,0.00017625+0.00010814i,0.00070656-0.00046457i,0.0004985+0.00010265i,0.0009234+0.00055232i,0.00031798-5.197e-05i,0.0003843-0.00048926i,-3.7806e-05+0.00045005i,0.0064868+0.00097017i,0.00049997+0.00010079i,0.00079754+0.00067858i,0.00076559-0.00078562i,0.00072184-0.00055353i,-2.6795e-06+0.0013092i,0.00016662-3.9244e-06i,0.00019664-0.0013392i,-0.0014249+0.00027372i,-0.0054681-0.009426i,-0.00012724+0.021423i,0.029831+0.0037139i,0.031109+0.0017748i,0.015705-0.017377i,0.026227+0.010704i,0.016415+0.033469i,0.021379+0.026623i,0.011392+0.041084i,-0.030727+0.011867i,0.0022393-0.008918i,0.0051647-0.0030789i,0.0081565-0.0038372i,0.010254+0.0054622i,0.0017233+0.0065455i,-0.0085706+0.0016832i,0.00035816-0.0071489i,0.0023591+0.011286i,-0.0026307-0.0029099i,-0.0002687+0.0021453i,-0.00026096+0.00013773i,0.0032043-0.0015766i,0.0042168-0.00021464i,-0.0031469-0.000345i,0.003638-0.0002137i,-0.0057134-0.0027942i,-0.0022284-0.0007582i,-6.3785e-05+6.0816e-05i,-0.0022618-0.0042054i,-0.0021259-0.0030405i,-0.0071808-0.015118i,0.003399+4.6523e-06i,-0.0044611-0.0013471i,-0.0028839+0.0017038i,-0.0060453+0.0007289i,0.0040698+0.0025086i,-0.0068819-0.0046563i,0.00010457-0.0063406i,-0.0024767-0.002553i,-0.0048058-0.0024504i,0.0070693-0.00063538i,0.0033599+0.0024097i,0.002677-0.0025559i,-0.00054015+0.0055774i,0.0039486+0.0031182i,0.0092035+0.011344i,-0.025353-0.0049282i,-0.031084+0.0093597i,-0.020854+0.022696i,0.0031186-0.0010242i,0.0093029-0.0071794i,-0.014743+0.0071716i
