-0.030493-0.040393i,-0.021-0.020583i,-0.012736-0.036433i,-0.03032-0.02078i,-0.022105-0.0007384i,-0.01437-0.0066757i,-0.055843-0.061385i,-0.047399-0.018722i,-0.038243-0.01236i,0.011383+0.011385i,-0.0079494+0.0049097i,-0.020401+0.019005i,0.0028049+0.01169i,-0.0058434-0.0029903i,0.00011285+0.0015096i,-0.0025489+0.031633i,0.026489+0.025833i,0.0027724-0.0022668i,-0.0024137-0.0070426i,0.0084494+0.0028178i,0.0025421+0.0011291i,-0.00039215+0.0036233i,-0.00032803+0.00028494i,-0.034943-0.012837i,-0.00056674-0.0083377i,0.0011441+0.0021899i,0.0066303+0.00076824i,0.0021639+0.0011586i,0.0010902-0.00039263i,-0.00062408-0.0027408i,0.0014823-0.0025074i,-0.0022173-0.0065066i,-0.00084455-0.0048207i,0.0030378-0.00064194i,0.004435-0.0030044i,0.0010909+0.031358i,0.0041778-0.003852i,0.0032226-0.0016021i,0.0082523-0.0015343i,-0.0064002-0.0032039i,-0.00020796+0.00089583i,0.0089553+0.00028173i,0.0044528-0.0025152i,-0.0017871+0.0093728i,-0.017426-0.0076021i,-0.019077+0.016431i,-0.0010676-0.061649i,-0.0040546-0.027236i,-0.0257-0.032892i,-0.010549-0.026956i,0.057411-0.018154i,0.017952-0.042103i,0.024469-0.046881i,0.0056359-0.053997i,0.027146-0.020654i,0.0082924+0.0061519i,0.026053-0.033653i,-0.0078563-0.0074327i,0.0037313-0.0046452i,-0.0044322-0.007469i,-0.00090729-0.033658i,-0.018464+0.028995i,0.0086045-0.01157i,-0.0094149-0.0041034i,-0.0042741-0.0016817i,0.00091803-0.012988i,-0.011194+0.0038252i,0.0021829+0.010361i,-0.0054656+0.026687i,0.0049074+0.0030546i,-0.0058901-0.0021634i,-0.0019239-0.0021073i,-0.012088-0.0076647i,-0.00044183-0.004172i,-0.035154+0.0055391i,0.0013073-0.010725i,-0.0086657+4.7297e-05i,-0.0064306-0.0021808i,0.0051752+0.0012971i,-0.0078882-0.00046168i,0.0022055+0.00040349i,0.0043933+0.0077003i,0.0041007+0.00053879i,-0.007368-0.012214i,0.0023041+0.0096762i,-0.014884+0.0038623i,0.0070347+0.00023159i,-0.022217-0.0010832i,-0.018226+0.0065421i,-0.0072384-0.065875i,0.0085331-0.012533i,-0.049442-0.024085i,-0.021286+2.0228e-05i,0.017156+0.012093i,-0.023609+0.014561i,-0.019927-0.006145i
0.028368+0.03688i,0.014134+0.015901i,0.017262+0.025764i,0.0062871+0.019952i,0.008803+0.0079906i,0.0046712-0.0005857i,0.014886+0.013893i,0.016146-0.0015876i,0.0079455-0.007977i,0.0023035+0.0043169i,0.0018935-0.0027316i,0.00085311-0.0051936i,-0.0016623+0.00055597i,0.0015728-0.0016595i,0.0019143-0.00064114i,0.0055184-0.0025208i,0.0061757-0.0046687i,0.00019933+0.00021121i,-0.0044224+0.000143i,8.8334e-05+0.00064509i,-0.00088564-0.0010584i,-0.0027117-0.0012021i,-0.0016682+0.0008604i,0.0044598+0.010804i,-0.0011557+0.0011277i,0.00073521+0.0016818i,0.0011714+0.001019i,-0.001821+0.0025475i,-0.0010232+0.00035286i,-0.0015662+0.00045428i,-0.0015534-0.0015127i,-0.004071-0.0012988i,-6.5972e-05+0.0002279i,0.00035693+0.00042039i,-0.00027509-0.0010619i,-0.0096137+0.0092008i,0.0015944-0.0004005i,0.00062419+0.0010486i,0.0019525+0.0022067i,9.2517e-05-0.0010544i,-0.0002475-0.00071185i,-0.00047918-0.0017124i,0.00073958+0.0010801i,-0.00070286+0.0013872i,0.019433+0.012723i,-0.025106+0.012635i,-0.013641+0.016973i,-0.022962+0.011039i,-0.0050657+0.038284i,-0.02128+0.018744i,0.0021426-0.0052386i,-0.012281-0.017323i,-0.018148-0.0016072i,-0.0075524+0.01352i,0.019116+0.021519i,-0.00064025+0.0022792i,-0.0037786+0.00092116i,-0.013071-0.0048052i,0.01173+0.0015396i,0.012305+0.010419i,-0.00066404+0.0056931i,-0.0048481-0.0077582i,0.0068926-0.0027612i,-0.0033826-0.004177i,0.0040064-0.0089647i,0.0090645-0.0027754i,-0.0018304+0.010659i,0.012222-0.0066763i,0.0042832-0.0079994i,0.0029239-0.0094934i,0.0023347+0.00072483i,-0.0025887-0.0058792i,-0.0035549-0.0019791i,0.0025895-0.00015278i,-0.0070194+0.035687i,-0.0082042-0.0058094i,0.00014069+0.0010732i,-0.0008407-0.0068897i,0.0032752-0.00038727i,-0.016614-0.0067106i,-0.0011394-0.00399i,0.0029903-0.0024988i,0.003388-0.0016269i,-0.002568-0.0068133i,4.9241e-05+0.0075758i,0.00012533+0.0034382i,-0.0034461+0.0040206i,-0.0076647+0.0024476i,-0.006408-0.0016527i,-0.0057443+0.028358i,-0.0026373+0.015493i,-0.02644-0.010323i,-0.0014343-0.0024089i,0.014069+0.018615i,-0.0002453+0.018851i,-0.00059024-0.0045683i
0.034286+0.030222i,0.016776+0.012084i,0.021702+0.022748i,0.0097787+0.019549i,0.01099+0.0066716i,0.0048576-0.0020485i,0.015151+0.010348i,0.015779-0.0044246i,0.0059056-0.0094121i,0.0034798+0.0031012i,0.0015701-0.0029187i,-0.0011721-0.0036002i,-0.0013471+0.001228i,0.0012227-0.00058554i,0.0017632-0.00094574i,0.0043264-0.0029153i,0.0045607-0.0061849i,0.00064284+0.00016025i,-0.0036507+0.00045761i,0.00039003-6.4226e-05i,-0.00099523-0.0012749i,-0.0028291-0.00055076i,-0.0012967+0.0010035i,0.010027+0.0090806i,-0.0011443+0.0023952i,0.0016682+0.0013402i,0.0010712+6.7875e-06i,-0.00079552+0.0029203i,-0.0014396+0.00089874i,-0.0013255+0.0011388i,-0.0020993-0.00072291i,-0.0023211+0.0017101i,-0.00024664+3.0515e-05i,0.00057963+0.00012456i,-0.00093768-0.00016818i,-0.0054956+0.011212i,0.0010366-0.00088752i,0.00094286+0.00098408i,0.0019054+0.0011638i,-5.2875e-05-0.00094051i,-0.00057302-0.0009804i,-0.00095523-0.00099113i,0.00066081+0.0011532i,-0.0009365+0.0016142i,0.022183+0.0094632i,-0.020579+0.01621i,-0.012628+0.020252i,-0.017999+0.012899i,0.0068608+0.034658i,-0.013905+0.018088i,-0.0048225-0.0089919i,-0.019767-0.018475i,-0.019375-0.0014577i,-0.0013402+0.0095566i,0.021246+0.014143i,-0.00099055+0.0023182i,-0.0026187+0.0046195i,-0.012869-0.00010451i,0.010242-0.0029324i,0.014471+0.0068403i,0.0023223+0.0083048i,-0.0090735-0.0066177i,0.0027816-0.0049431i,-0.0036854-0.0019212i,-0.0015069-0.008218i,0.0072771-0.0056015i,0.0032005+0.0087281i,0.0071603-0.0097547i,-0.00042726-0.0081776i,-0.0010938-0.0065694i,0.0038156-3.5445e-05i,-0.0044998-0.0048205i,-0.0021242+0.00057472i,0.0033665-0.00066456i,0.012662+0.033366i,-0.010629-0.0039653i,0.00084584+0.00034249i,-0.0038725-0.0059136i,0.0039435-0.00188i,-0.017593+0.001113i,-0.0017166-0.003148i,0.0015161-0.0024265i,0.0034527-0.0032747i,-0.0041341-0.0048972i,0.0023124+0.0034776i,0.0013721+0.002531i,-0.00088785+0.0055203i,-0.0054581+0.0049692i,-0.0072622-0.00032477i,0.00070795+0.024399i,0.00034369+0.016601i,-0.028983-0.0041347i,-0.0032072-0.0062854i,0.016647+0.016086i,0.0033624+0.019934i,-0.003125-0.004939i
0.038324+0.022828i,0.017772+0.0072193i,0.026585+0.017192i,0.014568+0.016907i,0.013379+0.0045919i,0.0045542-0.0038164i,0.014803+0.0067389i,0.014714-0.007455i,0.0040051-0.0098387i,0.0036192+0.0017654i,0.00081949-0.003587i,-0.0013898-0.0017909i,-0.00079318+0.001433i,0.001898-0.00054691i,0.0015292-0.0012243i,0.0032936-0.0033312i,0.0023929-0.0072876i,0.00063663-0.00028008i,-0.0031627+0.0018888i,1.6645e-05-0.00081812i,-0.0018843-0.0016457i,-0.0025408+0.00010241i,-0.0010393+0.0011093i,0.012689+0.0030217i,5.4548e-05+0.0031188i,0.0020336+0.00053674i,0.00042727-0.00036234i,0.00040484+0.0027521i,-0.00096649+0.0016605i,-0.00087376+0.001663i,-0.0023711+0.00036867i,-0.0013343+0.0029607i,-0.00026936+6.5234e-05i,0.00063057-0.00016535i,-0.00078407+0.00074827i,-0.0014413+0.010989i,0.00062243-0.0008493i,0.0013822+0.00040306i,0.001788+0.00062401i,-0.00035129-0.00094765i,-0.001182-0.00098942i,-0.0010188-0.00080216i,0.0008668+0.0013179i,-0.00089384+0.0021845i,0.025533+0.0052489i,-0.015923+0.018844i,-0.0089743+0.023901i,-0.012535+0.012446i,0.017472+0.027377i,-0.0070593+0.018228i,-0.012652-0.0083484i,-0.026678-0.015834i,-0.016868+0.0026511i,0.0019774+0.0041512i,0.021998+0.0070412i,-0.0013765+0.0023069i,-0.0011092+0.004694i,-0.012828+0.0032257i,0.0064389-0.0074726i,0.015162+0.0023864i,0.0060274+0.0082724i,-0.012758-0.003839i,0.00053222-0.0034597i,-0.0034956-6.6903e-05i,-0.00411-0.0053025i,0.0049919-0.0066658i,0.0060798+0.0074328i,0.0038035-0.0095248i,-0.0050065-0.0054844i,-0.0014875-0.003433i,0.0045185-0.0023281i,-0.0073736-0.0022813i,-0.00031725+0.00082827i,0.0027959-0.0020504i,0.026486+0.021403i,-0.011843-7.175e-05i,0.0013466-0.00017143i,-0.0040155-0.0038926i,0.0042814-0.0040275i,-0.013769+0.0083794i,-0.001654-0.0021434i,0.00051807-0.0023954i,0.0018854-0.0040679i,-0.0051043-0.0027748i,0.0012046+0.002318i,0.0020189+0.0014653i,0.0016621+0.0053596i,-0.0030063+0.0054266i,-0.007685+0.0015149i,0.0032625+0.019673i,0.0077313+0.015811i,-0.028744+0.00016052i,-0.0061549-0.0088126i,0.019627+0.010971i,0.0083716+0.020302i,-0.0053963-0.0043105i
0.040293+0.015195i,0.016818+0.0035926i,0.028364+0.010149i,0.017802+0.011785i,0.014989+0.0011949i,0.0033352-0.0053123i,0.013735+0.0042361i,0.012769-0.01024i,0.0026645-0.010182i,0.0033196+0.0010045i,-0.00021419-0.0030744i,-0.00082438-0.0009649i,-0.0005912+0.0015566i,0.0019017-0.00065748i,0.0011031-0.0014554i,0.00217-0.0031926i,-0.0001328-0.0066376i,0.00052231-0.00035474i,-0.0017476+0.0027745i,-0.00074331-0.00097706i,-0.0025853-0.00073057i,-0.0024624+0.00064572i,-0.00080545+0.0011984i,0.011732-0.0029202i,0.0013789+0.0031331i,0.0018718-0.00010697i,7.1053e-05-0.00019475i,0.0010326+0.0021562i,-0.00020197+0.0016961i,-0.00015804+0.0019279i,-0.0020064+0.0015709i,6.576e-05+0.0036698i,-0.00021922+7.2868e-05i,0.00041456-0.00026477i,-0.00016833+0.0011259i,0.0013684+0.010298i,0.00038287-0.00092872i,0.0012878-0.00031258i,0.0014648+0.00053335i,-0.00074056-0.00066301i,-0.0016963-0.00060767i,-0.0015939-0.00069952i,0.0011827+0.0013324i,-0.00046396+0.0029966i,0.027363-0.0011721i,-0.010489+0.020558i,-0.0040604+0.026055i,-0.010294+0.0098804i,0.025397+0.015789i,-0.00029944+0.01439i,-0.019655-0.0031874i,-0.03363-0.010001i,-0.018929+0.022426i,0.0021515-0.0013904i,0.020994-0.00063885i,-0.0015698+0.0031605i,-3.2733e-05+0.0064517i,-0.011827+0.0072998i,-7.8469e-05-0.0076469i,0.014566-0.0028064i,0.0096605+0.0062789i,-0.015446-7.5983e-05i,-0.00063957-0.0025663i,-0.0026147+0.0012445i,-0.0050343-0.0016829i,0.0030403-0.0075123i,0.0085101+0.004001i,0.0017189-0.0094221i,-0.0058644+0.00031982i,-0.00060535-0.0021356i,0.0030751-0.0047373i,-0.0070108+0.00073358i,0.00081123+0.00069575i,0.0018554-0.0029258i,0.032926+0.0026816i,-0.010135+0.0048111i,0.0016187-0.0012281i,-0.0041591-0.0021124i,0.002383-0.0067229i,-0.0076925+0.010774i,-0.001211-0.0016393i,-0.00022661-0.0016012i,0.00032839-0.0040997i,-0.0046788-0.00097565i,0.00078158+0.0023192i,0.0018307+0.00040677i,0.0040485+0.0046042i,-0.00096733+0.0043559i,-0.0075351+0.0035474i,0.0043311+0.01778i,0.016077+0.008663i,-0.02658+0.0052207i,-0.011316-0.0099321i,0.018597+0.0056278i,0.01398+0.01797i,-0.0057318-0.0032303i
0.041267+0.0079002i,0.016445+0.0014524i,0.028333+0.004329i,0.019207+0.006467i,0.015268-0.0024519i,0.0020027-0.0062039i,0.012951+0.0030427i,0.010221-0.012381i,0.0015156-0.010896i,0.0031796+0.00033414i,-0.0004248-0.0025218i,-0.00030189-0.00086868i,-0.00033337+0.0019459i,0.0019147-0.0010687i,0.00069982-0.0013718i,0.0016305-0.0024168i,-0.0011646-0.0055609i,0.00029221-0.00039629i,-0.00050472+0.0025425i,-0.0013604-0.00064165i,-0.002679-5.8487e-05i,-0.0019365+0.0013339i,-0.0005192+0.0013479i,0.0085237-0.0066841i,0.0024166+0.0024491i,0.0012255-0.00027819i,-0.00017383-7.1487e-05i,0.0013685+0.001621i,0.0002197+0.0016216i,0.00071576+0.0018717i,-0.001011+0.0023124i,-0.00017181+0.002361i,-0.00042995+0.0001027i,0.00038084-4.4135e-05i,0.00047491+0.0013377i,0.0036989+0.0087063i,-1.9134e-05-0.00091295i,0.00074263-0.00067131i,0.0016426+0.00044187i,-0.0008058-0.00025986i,-0.0019336-0.00023917i,-0.0021431-0.00055261i,0.0014631+0.0011719i,0.00024138+0.003032i,0.026543-0.0081154i,-0.0043612+0.020624i,0.0023647+0.027268i,-0.0096075+0.0093207i,0.026673+0.0025469i,0.0022262+0.0089888i,-0.022442+0.0056254i,-0.036597-0.00011239i,-0.025475+0.022322i,-0.00087943-0.0056245i,0.016345-0.0060428i,-0.00083597+0.0040858i,0.0036802+0.006305i,-0.0091139+0.010701i,-0.003521-0.0043563i,0.011309-0.0088141i,0.012345+0.0026683i,-0.018837+0.0065562i,-0.0011733-0.0008818i,-0.001378+0.0019052i,-0.0033265+0.00056243i,-0.00032854-0.0074082i,0.0088604+0.00059951i,-3.7132e-06-0.0090127i,-0.003045+0.0035492i,0.00027129-0.0021837i,0.00079422-0.0057288i,-0.004824+0.0028906i,0.0020451-0.00025204i,0.001211-0.002831i,0.02584-0.01296i,-0.0055401+0.0081158i,0.001112-0.0021791i,-0.0033467-0.0016083i,-0.00049421-0.0075624i,-0.0034955+0.010591i,-0.00088465-0.0023643i,-0.00018616-0.00029534i,-6.358e-05-0.0036812i,-0.0041432+0.000787i,0.0013593+0.0023067i,0.0010192-0.00010602i,0.0041678+0.0022143i,-0.0009931+0.0023379i,-0.0065267+0.0057169i,0.0064855+0.016757i,0.017853-0.0041762i,-0.022372+0.0061707i,-0.016546-0.0082247i,0.017724+0.0013831i,0.017788+0.012381i,-0.0064556-0.0032835i
0.041243+0.00057107i,0.016557-0.0010846i,0.028459-0.0013654i,0.019567+0.00099467i,0.015113-0.0058409i,0.0005017-0.0067539i,0.013409+0.002112i,0.0076806-0.013805i,-6.2993e-05-0.011745i,0.0026242-0.00024799i,-0.00065511-0.002081i,-3.3243e-05-0.00096134i,0.0004019+0.002382i,0.0016546-0.0012564i,0.00053581-0.0013281i,0.0019227-0.0018115i,-0.0018182-0.0052226i,0.00031615-0.00045471i,0.00019993+0.0019733i,-0.0016736-5.8512e-05i,-0.0022471+0.00056631i,-0.0010168+0.001452i,-0.00015607+0.0014056i,0.0051624-0.0087394i,0.0033163+0.0014794i,0.00082816-0.00073575i,-0.00025175+1.8477e-05i,0.0016001+0.0011421i,0.00069134+0.0015308i,0.0013491+0.0012984i,0.0001263+0.0024947i,0.00043281+0.0029374i,-0.00053058+0.0005261i,0.00053031-9.9299e-05i,0.00095775+0.00096904i,0.0053297+0.0064471i,-0.00035732-0.0006098i,0.00041157-0.00067058i,0.0015473+0.00016162i,-0.00058425+4.8303e-05i,-0.0020364+0.00040726i,-0.0026213+0.00020776i,0.0017178+0.0009013i,0.00057658+0.0033209i,0.02412-0.014197i,0.0010016+0.018689i,0.0093945+0.025015i,-0.0085694+0.00995i,0.023626-0.0080261i,0.0018434+0.0052889i,-0.019891+0.014783i,-0.034477+0.01055i,-0.019921+0.027821i,-0.0052541-0.0060287i,0.0114-0.0077301i,0.0003655+0.0043805i,0.0060263+0.0040149i,-0.0053298+0.013447i,-0.0047012-0.0014827i,0.0051054-0.013207i,0.012578-0.0024599i,-0.01345+0.014844i,-0.00017275+0.00020045i,-0.00022293+0.0018206i,-0.0016536+0.00090843i,-0.0022499-0.005327i,0.0076071-0.0018841i,-0.0011605-0.0077936i,5.6878e-05+0.0039236i,0.00042597-0.0031952i,-0.0014412-0.0052705i,-0.0030496+0.0036766i,0.0018513-0.0019757i,0.0010413-0.0029505i,0.01074-0.021662i,-0.0012386+0.0084011i,0.00016088-0.002356i,-0.0036322-0.0010489i,-0.003653-0.0066667i,-0.00030284+0.0099839i,-0.0012002-0.00072932i,0.0011744-0.00011749i,-0.0013984-0.004334i,-0.0021847+0.001528i,0.0019575+0.002084i,0.0002691+0.00035959i,0.0022235-0.004246i,-0.0024464+0.0014566i,-0.0042715+0.0071091i,0.0092991+0.014878i,0.011451-0.014251i,-0.020997+0.0032174i,-0.021142-0.0034314i,0.014558-0.0036491i,0.018319+0.0068168i,-0.0070712-0.0023308i
0.039638-0.0065138i,0.015916-0.0040928i,0.02624-0.0083281i,0.017708-0.0051879i,0.014286-0.0096194i,-0.0012282-0.0068422i,0.014623+0.00054131i,0.0049805-0.015035i,-0.0020729-0.012181i,0.0018738+5.1594e-05i,-0.001202-0.0018991i,-0.00021009-0.0016622i,0.0011703+0.0023744i,0.0012807-0.0015461i,0.00030934-0.0012583i,0.0024244-0.0019144i,-0.0028333-0.0048258i,-6.9542e-06-0.00068204i,0.00068927+0.0013089i,-0.0018652+0.00055684i,-0.0022777+0.00076424i,-0.00032131+0.00096737i,0.00014955+0.0013572i,0.0022366-0.010927i,0.0036243-0.00036318i,0.00043948-0.0008422i,-0.00064034+0.00025773i,0.00162+0.00072166i,0.0012806+0.0011278i,0.0015593+0.00057216i,0.0012577+0.002137i,0.0011753+0.0030164i,-0.00046588+0.000948i,0.00056746-0.00020448i,0.0010863+0.00044747i,0.0062904+0.0045797i,-0.00060825-0.0002933i,3.7923e-05-0.00061037i,0.0017499-6.5464e-05i,-0.00023541+9.5486e-05i,-0.0018782+0.0012237i,-0.0022784+0.00095013i,0.0020233+0.00057854i,0.0012653+0.0043237i,0.020206-0.019423i,0.0052453+0.015497i,0.01432+0.020764i,-0.0059948+0.011112i,0.017979-0.016085i,0.00054219+0.0036693i,-0.013675+0.020663i,-0.02729+0.018112i,-0.010056+0.031327i,-0.0085183-0.0034332i,0.0076657-0.00773i,0.0014686+0.0038986i,0.0061749+0.0008538i,-0.00082889+0.014i,-0.0053227+0.0010409i,-0.0039375-0.012962i,0.010067-0.006706i,-0.0075547+0.016569i,0.0014473-0.00062223i,0.00041021+0.0012333i,-0.0010694+0.00035465i,-0.0025543-0.0035725i,0.0061154-0.0026804i,-0.0021927-0.0078691i,0.0017846+0.0026906i,-0.00066731-0.0048764i,-0.0032064-0.0040748i,-0.0011176+0.0042594i,0.00055303-0.0030921i,0.00042516-0.0034948i,0.0056633-0.012275i,0.0020167+0.0071362i,-0.00022972-0.0023569i,-0.0030104-0.00072347i,-0.0055256-0.0048242i,0.0021714+0.0088211i,-0.0005374-0.0017312i,0.0019336-0.00089813i,-0.0033509-0.0021644i,-0.001173+0.00089061i,0.003192+0.0020212i,0.00034997+0.0012438i,0.0054215-0.00096304i,-0.003928+0.0020288i,-0.0023435+0.0070114i,0.01186+0.013233i,0.0027835-0.019883i,-0.024213+0.0013716i,-0.022229+0.0037123i,0.0083075-0.0060636i,0.018011+0.0015086i,-0.0066961-0.0021293i
0.036983-0.012871i,0.015379-0.006191i,0.021797-0.012933i,0.013217-0.009536i,0.012122-0.013295i,-0.0026598-0.0063778i,0.015935-0.0018663i,0.0018721-0.015785i,-0.0039962-0.012311i,0.0021724+0.00076415i,-0.0016812-0.00099063i,-0.0011535-0.0017551i,0.0020639+0.0020252i,0.00084668-0.0015362i,0.00020447-0.0012038i,0.0026123-0.0022272i,-0.0041902-0.0037499i,-0.00028453-0.00047609i,0.00085949+0.00065735i,-0.0016321+0.0014329i,-0.0019943+0.0015298i,-0.00052221+0.00038657i,0.00043439+0.001258i,-0.00035693+0.00093915i,0.0027221-0.0017922i,0.00011806-0.00083526i,-0.00056872+0.00064315i,0.0016081+0.00039349i,0.0013355+0.00043797i,0.0015275-1.4588e-05i,0.0020809+0.0013724i,0.0021869+0.0024595i,3.6473e-05+0.001461i,0.00045026-0.00020894i,0.00095577+0.00052732i,0.0062873+0.0028346i,-0.00082102+0.00013145i,-0.00017674-0.00033852i,0.0018806-0.00056349i,0.00012126+5.4371e-05i,-0.0012612+0.0019404i,-0.0021236+0.0016176i,0.0022305+0.00014233i,0.0030524+0.0036961i,0.014956-0.023295i,0.008204+0.011383i,0.017222+0.016229i,-0.002609+0.010777i,0.011028-0.020921i,-0.00069492+0.0037557i,-0.0067145+0.023376i,-0.019321+0.021097i,0.00091209+0.030925i,-0.0093852+0.00073536i,0.0057277-0.0073569i,0.0025328+0.0031378i,0.0049398-0.0011803i,0.0045703+0.01283i,-0.004536+0.0042488i,-0.010633-0.0075016i,0.0065157-0.0089223i,-0.0029824+0.016628i,0.0010559-0.0023259i,0.00080624+0.0009681i,-0.0011051+0.00032329i,-0.0021208-0.0025793i,0.0049946-0.0034975i,-0.0043124-0.0073543i,0.0024123+0.0012886i,-0.0039009-0.0054133i,-0.0041523-0.0021955i,0.0012427+0.0030101i,-0.00016904-0.0035564i,-0.00070313-0.004022i,0.0036491-0.014853i,0.0041712+0.0049657i,-0.00090557-0.0025966i,-0.0037778-0.0005763i,-0.0067274-0.0022866i,0.0038195+0.0076291i,-0.0014734-0.0029375i,0.0023337-0.001936i,-0.0024841+0.0021828i,-0.00034416+0.00035155i,0.0039481+0.0010925i,0.0011223+0.0016055i,0.0035957-0.0022672i,-0.0046714+0.0038631i,-0.0011866+0.0064759i,0.015523+0.0112i,-0.0081301-0.021739i,-0.028083+0.0035742i,-0.019563+0.010182i,0.0036884-0.0038209i,0.014978-0.0041569i,-0.0068345-0.0031887i
0.033725-0.018656i,0.014922-0.0091131i,0.018015-0.015481i,0.0088103-0.010859i,0.0090909-0.016227i,-0.0036545-0.0056869i,0.017116-0.0055756i,-0.0012631-0.015686i,-0.0062088-0.012257i,0.0031031+0.00074818i,-0.0011925-0.00020313i,-0.0018431-0.00084328i,0.0026905+0.0011517i,0.00049623-0.0015549i,0.00014486-0.001185i,0.0028091-0.002528i,-0.0050096-0.0023334i,-0.00013488-0.00044316i,0.0007116+9.9281e-05i,-0.00096034+0.0018639i,-0.0014936+0.0016954i,-0.00076587+0.00038107i,0.00079052+0.0011071i,-0.0051216-0.00069294i,0.00158-0.0024584i,-0.00012877-0.00068212i,-0.0002499+0.00071739i,0.0016975-0.00010226i,0.001026+0.00032356i,0.0013341-0.00053553i,0.002561+0.00037963i,0.0026673+0.0015347i,0.00078982+0.0014034i,0.00058064-0.00021344i,0.0013014+0.00076939i,0.006514+0.00052862i,-0.00050622+0.0013341i,-0.0001318-0.00015072i,0.0016402-0.0013674i,0.00050912-0.00015776i,-0.00031494+0.0023016i,-0.0012318+0.0026817i,0.0024102-0.00046569i,0.0033003+0.0027086i,0.0093389-0.025521i,0.0089456+0.0068784i,0.018677+0.011857i,5.5993e-05+0.0091874i,0.004444-0.02245i,-0.00061803+0.0058815i,0.00050643+0.023781i,-0.012145+0.022264i,0.0095958+0.0267i,-0.0070474+0.0047368i,0.0041554-0.0076931i,0.0035366+0.0017657i,0.0041211-0.0025157i,0.0087648+0.0090377i,-0.0017405+0.0054827i,-0.012772-0.0004878i,0.0026235-0.0095998i,0.0010581+0.015341i,0.00032553-0.0030474i,0.00046044+0.00041479i,-0.0011236+0.00073168i,-0.001975-0.0021734i,0.0038411-0.0033387i,-0.005703-0.0058628i,0.0022896+0.00016564i,-0.0067384-0.0027511i,-0.0037457-0.00046439i,0.0018251+0.00098332i,-0.00094299-0.0039725i,-0.0021152-0.0034926i,-0.0018867-0.014511i,0.0054672+0.0023547i,-0.0019274-0.0025368i,-0.0039136+0.00085903i,-0.0063602+0.00056687i,0.0053057+0.0065855i,-0.0035673-0.0030808i,0.0019625-0.0035319i,-0.0015568-0.0037173i,-0.00031506-0.00083314i,0.0046844+5.1758e-05i,0.0016826+0.0012659i,0.0020844-0.0020211i,-0.0043448+0.0059312i,-0.00025995+0.0058811i,0.019615+0.0068586i,-0.018642-0.01794i,-0.03062+0.0071013i,-0.014058+0.013145i,0.0026029-0.0019873i,0.008847-0.005564i,-0.0092901-0.0038306i
0.029356-0.023709i,0.0136-0.012653i,0.014782-0.017649i,0.0055794-0.010983i,0.0054006-0.018302i,-0.0045036-0.0050242i,0.017033-0.011035i,-0.0041549-0.01495i,-0.0086689-0.011546i,0.0040579-9.9856e-05i,-0.00052689-0.0001197i,-0.0019291+0.00028624i,0.0028434+0.00025029i,0.00019894-0.0012384i,-3.3516e-05-0.0013053i,0.0027762-0.0032639i,-0.0053784-0.00081014i,-0.00011466-0.00052672i,0.00047002-0.00012636i,-0.00032913+0.0019981i,-0.00099723+0.0022103i,-0.0009403+0.00052841i,0.0010237+0.00076773i,-0.0046001+0.0017525i,0.00072252-0.0026108i,-0.00035431-0.00044303i,-1.0807e-05+0.00063765i,0.0013559-0.00060694i,0.0011258+0.00023009i,0.00088449-0.0010246i,0.0026358-0.00067391i,0.0031384+0.00081418i,0.0013091+0.001129i,0.00056683-0.00060769i,0.0020727+0.0004966i,0.0063389-0.0013833i,-0.00062707+0.0030973i,-8.97e-05+3.6298e-05i,0.00081376-0.0017306i,0.00082594-0.00061138i,0.00048734+0.0022767i,0.00012118+0.0028883i,0.0020271-0.0012716i,0.003517+0.0028254i,0.0040013-0.02612i,0.0078004+0.0039848i,0.019318+0.0084127i,0.0016936+0.0083607i,-0.0018091-0.023806i,0.0023951+0.0082169i,0.0072581+0.021352i,-0.0045532+0.021224i,0.016177+0.020592i,-0.0025263+0.0066352i,0.0024546-0.0079752i,0.0036017-0.00070949i,0.0030501-0.0041696i,0.0095131+0.0038635i,-5.0367e-05+0.0049269i,-0.011724+0.0065676i,-0.0011718-0.0089175i,0.0043127+0.01261i,-0.0029446-0.0032715i,-0.00025119+0.00075508i,-0.00080399+0.0012862i,-0.0013961-0.0021746i,0.0038168-0.0020969i,-0.0066717-0.0038419i,0.002206+9.496e-05i,-0.0070244+0.00069125i,-0.0028497+0.00022818i,0.0013459-0.00026854i,-0.0030705-0.0043757i,-0.003169-0.0024721i,-0.0067993-0.012178i,0.0052761-0.00048155i,-0.0029693-0.0018132i,-0.0028038+0.0018686i,-0.0048191+0.0025357i,0.0072442+0.0051939i,-0.0052448-0.0013871i,0.0004484-0.0048472i,-0.0026337-0.0018419i,-0.0014827-0.0014684i,0.00514-0.0021883i,0.0019501+0.0012362i,0.0018193-0.001755i,-0.001598+0.0078403i,0.00033488+0.0049869i,0.022018-3.4334e-05i,-0.02415-0.009469i,-0.032876+0.013109i,-0.0093523+0.013629i,0.0014389-0.00031681i,0.0045853-0.0026004i,-0.0113-0.0028644i
