-0.032614-0.040691i,-0.022323-0.019802i,-0.014108-0.03591i,-0.030542-0.020483i,-0.022263-3.0184e-06i,-0.014144-0.0057725i,-0.057614-0.059842i,-0.049139-0.017333i,-0.03946-0.01686i,0.012477+0.010947i,-0.0074815+0.0047608i,-0.018851+0.019091i,0.0025225+0.011015i,-0.0056403-0.0024092i,0.00022802+0.0013699i,-0.00081885+0.03093i,0.025348+0.025737i,0.0025627-0.0023579i,-0.0025162-0.0068575i,0.0093141+0.0023212i,0.0023542+0.00079198i,-0.00085004+0.0042508i,-0.00031863+0.00037839i,-0.035553-0.012405i,-0.0001725-0.0081891i,0.0012656+0.0021981i,0.0064161+2.8736e-05i,0.0020775+0.00095943i,0.0010956-0.0003576i,-0.00057281-0.002616i,0.0014523-0.0024501i,-0.0020552-0.0063162i,-0.0012941-0.0046465i,0.00279-0.00064488i,0.0046713-0.0034317i,0.0011906+0.030572i,0.0042283-0.0037748i,0.0028798-0.0015293i,0.0082346-0.0017415i,-0.0068381-0.0024544i,-0.00015975+0.00084959i,0.0082427-0.00039942i,0.0047907-0.0032558i,-0.0017891+0.0088473i,-0.01877-0.0092858i,-0.018428+0.014908i,-0.0061353-0.058948i,-0.0057371-0.024565i,-0.027224-0.033007i,-0.012028-0.026457i,0.054381-0.022246i,0.016095-0.043508i,0.022365-0.048991i,0.003528-0.055505i,0.023987-0.020362i,0.0084894+0.0058172i,0.020213-0.032589i,-0.0082763-0.0064031i,0.0034234-0.0049147i,-0.0042169-0.0073072i,-0.0026481-0.032697i,-0.017532+0.029033i,0.0082994-0.012827i,-0.0093651-0.0043466i,-0.0037982-0.0011844i,0.00046218-0.013267i,-0.010319+0.004012i,0.0025751+0.0099557i,-0.0039864+0.02494i,0.0053987+0.0018021i,-0.0056055-0.0016296i,-0.0020267-0.0018127i,-0.013145-0.006417i,-0.00070123-0.0041974i,-0.034081+0.012754i,0.00069071-0.011444i,-0.0087543+0.00030835i,-0.0056947-0.0015183i,0.0055566+0.0015599i,-0.0072598+0.00011051i,0.0017748+7.0584e-06i,0.003467+0.0071155i,0.0038656+0.00024014i,-0.0083663-0.012543i,0.0026456+0.0099377i,-0.013808+0.0056782i,0.0060861-0.00014967i,-0.022211+0.00054145i,-0.017093+0.0073952i,-0.0092122-0.065306i,0.0072839-0.013337i,-0.049497-0.02195i,-0.021417+0.00022377i,0.017566+0.010617i,-0.022697+0.014367i,-0.02038-0.0049713i
0.028714+0.037523i,0.014856+0.014906i,0.018781+0.023833i,0.0081125+0.018672i,0.009807+0.0069924i,0.0047634-0.0010665i,0.016002+0.012834i,0.016222-0.0021248i,0.0092076-0.0085989i,0.0024253+0.0037204i,0.0018841-0.0026207i,0.00062912-0.0053382i,-0.0017638+0.00071156i,0.0013007-0.0016945i,0.0018631-0.00064417i,0.0052527-0.0023199i,0.0074611-0.0047344i,0.00015428+0.00018872i,-0.0038463-0.00021177i,5.924e-05+0.00055783i,-0.00073915-0.00099856i,-0.0025777-0.0010822i,-0.0015763+0.00094349i,0.0039139+0.0090619i,-0.0010251+0.0011567i,0.00067657+0.0016838i,0.0012109+0.00092274i,-0.0018463+0.00249i,-0.00086511+0.00035511i,-0.0014657+0.00049186i,-0.001403-0.0013611i,-0.0038374+0.00020675i,-0.00014109+0.00015401i,0.0001872+0.00045698i,-0.00034552-0.0008391i,-0.010189+0.0084876i,0.0017636-0.00050198i,0.00066419+0.0011015i,0.0032498+0.0023675i,-0.00026716-0.0010554i,-0.00062155-0.00063971i,-4.5894e-05-0.0019869i,0.00063315+0.0015191i,-0.00093251+0.0011679i,0.021921+0.015051i,-0.022187+0.01556i,-0.010508+0.016609i,-0.020289+0.011117i,-0.0026585+0.037651i,-0.021939+0.01399i,0.0026597-0.0031449i,-0.012475-0.015666i,-0.018915+0.00062416i,-0.0070037+0.015084i,0.015666+0.017694i,-0.00029663+0.0022458i,-0.0035023+0.00081486i,-0.012573-0.0045178i,0.011192+0.001389i,0.012643+0.009122i,-0.00050893+0.0054146i,-0.0050792-0.0071517i,0.0060525-0.0023696i,-0.0033342-0.0040855i,0.0033174-0.0075157i,0.0088567-0.0028253i,-0.0012655+0.010317i,0.011471-0.0061827i,0.0036775-0.0083057i,0.0029108-0.0085905i,0.0022623+0.00060807i,-0.0021866-0.005487i,-0.0038988-0.0014174i,0.002444+1.1994e-06i,-0.0027139+0.034578i,-0.0083215-0.0049148i,3.2301e-05+0.001077i,-0.0015372-0.0063157i,0.0030077-0.00029367i,-0.016322-0.0061476i,-0.001365-0.0038866i,0.0027056-0.0023653i,0.0027623-0.0012216i,-0.0028969-0.0070345i,0.0004291+0.0074374i,0.00039573+0.003448i,-0.0028307+0.0035276i,-0.0076155+0.0030569i,-0.0062316-0.00099129i,-0.0033613+0.030143i,-0.0023887+0.014444i,-0.024608-0.013585i,-0.0013238-0.0025656i,0.014204+0.017791i,0.00016218+0.01779i,-0.00063369-0.0049077i
0.034801+0.031142i,0.017284+0.011027i,0.022618+0.020303i,0.011276+0.01806i,0.011699+0.0055889i,0.0048467-0.0025393i,0.016033+0.0091058i,0.0156-0.0046883i,0.0069638-0.010312i,0.0033637+0.0026356i,0.0016411-0.0027988i,-0.0013375-0.0036843i,-0.0014508+0.001411i,0.0010438-0.00059516i,0.0017121-0.00093449i,0.0041837-0.0027105i,0.0055401-0.0066308i,0.00056208+6.0872e-05i,-0.0027655-0.00011632i,0.00031323-6.8569e-05i,-0.00086569-0.0012193i,-0.0026901-0.00051857i,-0.0012038+0.001027i,0.0085599+0.0069057i,-0.0010055+0.0024593i,0.0015675+0.0012815i,0.0010975+8.5856e-08i,-0.00072487+0.0028055i,-0.001167+0.00078431i,-0.0012733+0.0011673i,-0.001979-0.00069235i,-0.0023264+0.0011303i,-0.00027848+1.2215e-05i,0.00045725+0.00011816i,-0.00081302-7.3789e-05i,-0.0063702+0.010433i,0.0010752-0.0010059i,0.00099662+0.0010509i,0.0025161+0.00097476i,-0.00019115-0.00090437i,-0.00097905-0.00075876i,-0.00062082-0.0014061i,0.00089958+0.0014892i,-0.0012829+0.0014482i,0.025028+0.011494i,-0.017004+0.018281i,-0.0096227+0.019217i,-0.0157+0.012652i,0.0085328+0.033573i,-0.011098+0.015892i,-0.0035655-0.0066502i,-0.019362-0.016186i,-0.020875+0.00077316i,-0.00051735+0.010966i,0.017576+0.011717i,-0.00089245+0.0023127i,-0.0024337+0.0040743i,-0.012549+4.733e-05i,0.01003-0.0027614i,0.013734+0.0059054i,0.002469+0.0078184i,-0.0092374-0.0060155i,0.0023139-0.0041207i,-0.0036066-0.0019531i,-0.0012667-0.0070249i,0.0069734-0.0054169i,0.0035363+0.0082791i,0.0065215-0.0085826i,-0.0011735-0.0086158i,-0.0010323-0.0062078i,0.0035711-0.00018696i,-0.0035214-0.00475i,-0.0020484+0.00090008i,0.0032341-0.00048799i,0.013192+0.027873i,-0.010767-0.0016608i,0.00078389+0.00050022i,-0.0038006-0.0047803i,0.0038033-0.0017295i,-0.017266+0.0016128i,-0.0022137-0.0033318i,0.0014614-0.0022361i,0.0028955-0.0025277i,-0.0044683-0.0046315i,0.0025279+0.0034739i,0.0017659+0.0024687i,-0.00062519+0.0044584i,-0.0051768+0.0056284i,-0.0068974+3.6241e-05i,0.0024167+0.02585i,1.1031e-05+0.016156i,-0.029172-0.005415i,-0.0031343-0.0062457i,0.016531+0.015201i,0.0036912+0.01862i,-0.0030941-0.005198i
0.039055+0.023694i,0.018098+0.0062282i,0.02653+0.014742i,0.015552+0.015304i,0.013828+0.0034694i,0.0044212-0.0043081i,0.015463+0.0054605i,0.014669-0.007591i,0.0047798-0.010803i,0.0034733+0.0014128i,0.00081048-0.003486i,-0.0015323-0.0018381i,-0.00071628+0.0015754i,0.0017223-0.00062108i,0.0014763-0.0012187i,0.0032012-0.0031765i,0.002805-0.00781i,0.00046943-0.00026947i,-0.0024564+0.0018183i,-1.0082e-05-0.00072257i,-0.0016785-0.0015926i,-0.0024556+7.4772e-05i,-0.00094487+0.001083i,0.010791+0.0017145i,0.00031611+0.0032861i,0.0018784+0.00049843i,0.00046941-0.00035504i,0.00043744+0.0025313i,-0.00078981+0.0014364i,-0.00077684+0.0017039i,-0.0023336+0.00031713i,-0.0016586+0.0016398i,-0.00035402+0.00010409i,0.00052163-0.00019122i,-0.00063274+0.00065031i,-0.0021889+0.011243i,0.00058369-0.00094273i,0.001455+0.00046735i,0.0019821+0.00036718i,-0.00040743-0.00085128i,-0.0014475-0.00063762i,-0.00079196-0.0013521i,0.0011668+0.0014377i,-0.0013944+0.0021667i,0.028725+0.0068092i,-0.011865+0.019755i,-0.0064609+0.022473i,-0.010466+0.012045i,0.018787+0.026263i,-0.0053789+0.016537i,-0.010713-0.0059356i,-0.025549-0.013526i,-0.02098+0.0043721i,0.0028041+0.0053053i,0.017966+0.0066953i,-0.0013233+0.0023727i,-0.0010224+0.0041515i,-0.012259+0.0030414i,0.0061237-0.0075172i,0.014382+0.0015646i,0.0062457+0.0077424i,-0.012596-0.0034271i,0.00043275-0.0028168i,-0.0034643-0.00014661i,-0.0034491-0.0046017i,0.0047269-0.0068188i,0.0060207+0.0070408i,0.0035844-0.0082909i,-0.0059369-0.004677i,-0.0014342-0.0033057i,0.0041521-0.0024723i,-0.0059665-0.0028832i,-0.00035089+0.00080211i,0.002729-0.0019109i,0.02302+0.017505i,-0.011191+0.0016149i,0.001304-6.9403e-05i,-0.0035538-0.0030793i,0.004057-0.0038368i,-0.013032+0.0084508i,-0.0023195-0.0021606i,0.00055301-0.0022477i,0.001669-0.0032709i,-0.0046677-0.0024193i,0.0017026+0.0023358i,0.0021045+0.0013001i,0.0011008+0.0042101i,-0.0025194+0.0057583i,-0.0073944+0.0017881i,0.0050131+0.021404i,0.0073467+0.015495i,-0.028708+0.00026764i,-0.0058592-0.0085224i,0.019526+0.0097368i,0.0081724+0.01879i,-0.0052427-0.0044478i
0.041381+0.016409i,0.017052+0.0027579i,0.027776+0.0080595i,0.018314+0.010179i,0.015275+0.00025147i,0.003077-0.005773i,0.014051+0.0028765i,0.012764-0.010404i,0.0032355-0.011203i,0.0031+0.00085587i,-0.00055003-0.0028979i,-0.00089816-0.00092222i,-0.00048533+0.0016505i,0.0016759-0.00069856i,0.0010811-0.0014235i,0.0020993-0.0030814i,0.00013696-0.007008i,0.00041121-0.00032548i,-0.001241+0.0025758i,-0.00067538-0.00084455i,-0.0023254-0.00078798i,-0.0023911+0.00069039i,-0.0007249+0.0011674i,0.0093628-0.0031166i,0.0018147+0.0031635i,0.001739+0.00028034i,1.1865e-05-0.00019444i,0.00095713+0.0019504i,-0.00011832+0.001515i,-7.5541e-05+0.0019324i,-0.0020098+0.0015081i,-0.00071011+0.0017771i,-0.00027373+0.00018796i,0.00035832-0.00026344i,-0.0001515+0.001005i,0.001345+0.010692i,0.00034117-0.00096764i,0.0014563-0.00044663i,0.0014068+0.00037839i,-0.00073489-0.00058356i,-0.0018086-0.0001805i,-0.0014615-0.0013936i,0.0015862+0.0013431i,-0.0011034+0.0031301i,0.030803-0.00024958i,-0.0065987+0.020322i,-0.0013309+0.024267i,-0.0085433+0.0092988i,0.026221+0.01448i,0.00067275+0.013479i,-0.016894-0.0012435i,-0.031564-0.0077007i,-0.016954+0.013322i,0.0027541-0.00046917i,0.017984+0.00067073i,-0.0014978+0.0032756i,-0.00021108+0.0054351i,-0.011384+0.0068342i,-0.00036701-0.0075534i,0.013589-0.0033533i,0.009717+0.005872i,-0.014721+0.00062694i,-0.00035363-0.0021507i,-0.0024704+0.0012107i,-0.0044231-0.0014685i,0.0025917-0.0075075i,0.0084621+0.003655i,0.0014544-0.0081835i,-0.0057031+0.0009845i,-0.00066043-0.0019993i,0.0028354-0.0047056i,-0.0057511-0.00049362i,0.00088598+0.0005721i,0.0017083-0.0027759i,0.029084+0.0035022i,-0.0094563+0.0058544i,0.0016019-0.001057i,-0.0035388-0.0016983i,0.0020992-0.0063173i,-0.0072649+0.010508i,-0.0017814-0.0015651i,-0.00014355-0.0016346i,0.00048224-0.0034615i,-0.0038824-0.0012843i,0.0013296+0.0023471i,0.001764+0.00024438i,0.0027304+0.003826i,-0.00058019+0.0043326i,-0.0073433+0.0037449i,0.006451+0.019258i,0.015644+0.0086893i,-0.026005+0.0052496i,-0.010663-0.0093602i,0.017874+0.0042101i,0.013285+0.017001i,-0.0056612-0.0034612i
0.042802+0.008774i,0.01668+0.00065664i,0.02769+0.0025049i,0.019235+0.005046i,0.015445-0.0032602i,0.0015845-0.0066128i,0.013029+0.0017326i,0.010174-0.012452i,0.0018873-0.01193i,0.0029219+0.00037117i,-0.00060934-0.0019357i,-0.00032505-0.0008662i,-0.0001783+0.0019588i,0.0017491-0.0010802i,0.00069739-0.001352i,0.0016553-0.0023246i,-0.0010907-0.0059439i,0.00024727-0.00035073i,-0.00033993+0.0022055i,-0.0012527-0.0005721i,-0.0025175-0.00018215i,-0.0017815+0.0013468i,-0.00045938+0.001299i,0.0064995-0.0059088i,0.0029461+0.0023281i,0.00092128-0.00013477i,-0.00021521-4.5973e-05i,0.001319+0.0014545i,0.00024373+0.0014526i,0.000792+0.0018088i,-0.0010295+0.0022708i,-0.00063368+0.0022406i,-0.00043668+0.00012576i,0.00031795-4.8915e-05i,0.00051097+0.0011532i,0.003304+0.0088897i,-8.9905e-05-0.00098081i,0.00090924-0.00084583i,0.0015581+0.00023508i,-0.00081108-0.00018791i,-0.0019358+0.00017962i,-0.0020905-0.0013358i,0.0020601+0.00092063i,-0.00040095+0.0034365i,0.030162-0.00785i,-0.0011511+0.01962i,0.0046014+0.024459i,-0.0081147+0.0085625i,0.027267+0.0017541i,0.0031016+0.0084897i,-0.018905+0.0065744i,-0.034016+0.0013141i,-0.020343+0.02095i,-0.00038564-0.0044792i,0.014258-0.0041337i,-0.00068225+0.0041874i,0.0027502+0.0055838i,-0.0088797+0.01003i,-0.0035445-0.0040915i,0.010571-0.0085779i,0.012212+0.0022051i,-0.017154+0.0069435i,-0.00068261-0.00078524i,-0.001276+0.0018742i,-0.0027754+0.00046384i,-0.00038405-0.007039i,0.0086047+0.00025383i,-0.0010921-0.0076322i,-0.0028322+0.003709i,0.00020051-0.002043i,0.00060786-0.0056936i,-0.0043574+0.0020939i,0.0019837-0.00040816i,0.0010324-0.0027367i,0.022727-0.012978i,-0.0051153+0.0080717i,0.0011025-0.0020933i,-0.0027714-0.00134i,-0.00067859-0.0069284i,-0.0031403+0.010304i,-0.0020362-0.0020623i,-0.00015679-0.00039442i,4.283e-05-0.0030392i,-0.0041991+0.00029112i,0.0020512+0.0028048i,0.00082156-0.00024697i,0.002987+0.0020194i,-0.0007655+0.0024854i,-0.0062435+0.0058543i,0.0089352+0.018029i,0.017374-0.0040902i,-0.021813+0.0056899i,-0.015554-0.0075266i,0.016442+0.00068373i,0.017354+0.011362i,-0.0064748-0.0036754i
0.042927+0.0010937i,0.016751-0.0020147i,0.027468-0.0028922i,0.019248-0.00023717i,0.015169-0.0065268i,-3.5425e-05-0.0070681i,0.013273+0.00084249i,0.007589-0.013846i,0.00027009-0.012791i,0.0024135-8.9493e-05i,-0.00053176-0.0017962i,-2.2502e-05-0.00094213i,0.00049366+0.0023522i,0.0014729-0.0012205i,0.00052974-0.001296i,0.0018934-0.0017975i,-0.0018841-0.0056653i,0.00025699-0.00042308i,0.00018267+0.0017231i,-0.001509-6.6537e-05i,-0.0022027+0.00050217i,-0.00090123+0.0014343i,-0.00014776+0.0013505i,0.0029193-0.0070911i,0.0038889+0.0011341i,0.00074611-0.00066276i,-0.00025647+6.9971e-05i,0.0015029+0.0010028i,0.00066035+0.001314i,0.0013684+0.0012163i,6.7993e-05+0.0024359i,0.00026721+0.0028633i,-0.0005709+0.00049012i,0.0004653-0.00010036i,0.00094242+0.00078637i,0.0050351+0.0073499i,-0.00040916-0.00068353i,0.00046673-0.00090845i,0.0014694+5.4024e-06i,-0.00054564+0.00011006i,-0.0019402+0.00077332i,-0.0028652-0.00058887i,0.0023578+0.00046063i,0.00012058+0.0039042i,0.027645-0.014664i,0.0036191+0.017119i,0.010432+0.022277i,-0.0071724+0.0090112i,0.023861-0.0097319i,0.0026396+0.0050593i,-0.016219+0.014602i,-0.031767+0.011095i,-0.015964+0.025897i,-0.0048253-0.0047927i,0.01046-0.0058434i,0.00060617+0.0043315i,0.0047931+0.0035752i,-0.0050475+0.012738i,-0.0045229-0.0014736i,0.0046442-0.012721i,0.012119-0.0026463i,-0.011643+0.014904i,0.00010628+0.00015964i,-0.0001292+0.0016208i,-0.0014346+0.00074128i,-0.0022408-0.0051854i,0.0070701-0.0020704i,-0.0027513-0.0070147i,0.00014398+0.0034937i,0.00031017-0.0030747i,-0.0017252-0.0052584i,-0.0027413+0.0029455i,0.0018441-0.0020851i,0.0008664-0.0027857i,0.0045664-0.016729i,-0.0010072+0.0082727i,0.00019256-0.0022723i,-0.0029713-0.00091931i,-0.0036825-0.0059248i,-3.1897e-05+0.0096911i,-0.0014071-0.00060238i,0.0010465-0.00018809i,-0.00066207-0.0037493i,-0.0019808+0.0016202i,0.0036689-8.7061e-05i,0.00011026+0.0003027i,0.010831-0.006785i,-0.0020796+0.0015389i,-0.004081+0.0071146i,0.011952+0.01601i,0.011165-0.014079i,-0.020485+0.0028803i,-0.019774-0.0030619i,0.013624-0.0036235i,0.0177+0.0054536i,-0.0073154-0.0028038i
0.041693-0.0063726i,0.015889-0.0050118i,0.025292-0.0093218i,0.017144-0.0060412i,0.014236-0.010233i,-0.0017348-0.0069899i,0.014265-0.00062358i,0.0048457-0.015208i,-0.0018896-0.013153i,0.0018377+0.00022196i,-0.0011093-0.0017017i,-0.00018499-0.001642i,0.001262+0.0022287i,0.0010557-0.0014792i,0.00032657-0.0012534i,0.0023887-0.0019424i,-0.0030989-0.0053775i,-4.3691e-05-0.00058448i,0.00060006+0.0011969i,-0.0016696+0.00049934i,-0.0021869+0.00068148i,-0.00025912+0.000999i,0.00014055+0.0012969i,6.3599e-05-0.0049006i,0.0040726-0.00095261i,0.00030589-0.00085769i,-0.00058874+0.00027732i,0.001516+0.00065594i,0.0011465+0.0009548i,0.0015655+0.00048552i,0.0012105+0.002169i,0.0012483+0.0026781i,-0.00053893+0.001017i,0.00050203-0.00017588i,0.0010063+0.00028621i,0.0064652+0.0056098i,-0.00062971-0.00038005i,-3.4058e-05-0.00078631i,0.0017088-0.00018441i,-0.00018114+0.00014726i,-0.001786+0.0015133i,-0.0026581+0.00044308i,0.0024544-0.00025034i,0.0013157+0.0049056i,0.02356-0.020641i,0.0071748+0.013611i,0.014806+0.018361i,-0.0049633+0.0099365i,0.016629-0.017952i,0.0014005+0.0036257i,-0.010395+0.019456i,-0.024983+0.017857i,-0.0068042+0.029035i,-0.007697-0.0020773i,0.0075489-0.006531i,0.00172+0.0037618i,0.0049426+0.00099139i,-0.00054333+0.013495i,-0.0052063+0.00089121i,-0.0038938-0.012474i,0.0096671-0.006804i,-0.0065309+0.015916i,0.0016322-0.00050778i,0.00055229+0.0011721i,-0.00097206+0.00020764i,-0.0025254-0.0036107i,0.0052796-0.0027182i,-0.0037867-0.0070178i,0.0015057+0.0025252i,-0.00085615-0.0045791i,-0.0034745-0.0040053i,-0.00099059+0.0033846i,0.0003933-0.0031079i,0.00025166-0.0033335i,0.0088227-0.0050906i,0.0020974+0.0066315i,-0.00028493-0.002338i,-0.0024926-0.00067308i,-0.0054715-0.0042456i,0.0024479+0.0082249i,-0.00052268-0.0013279i,0.0018403-0.00086894i,-0.0028645-0.0032738i,-0.00052319+0.00089062i,0.0029468+0.00079874i,0.00017095+0.0012077i,0.0048865-0.00061487i,-0.0032645+0.0020148i,-0.0021473+0.0070729i,0.014944+0.014001i,0.0023746-0.019433i,-0.023755+0.0013895i,-0.020999+0.0034345i,0.0077497-0.0055985i,0.016912+0.00053266i,-0.0069722-0.0024194i
0.039104-0.0134i,0.015045-0.00699i,0.021258-0.013643i,0.01271-0.010148i,0.012053-0.013715i,-0.0030949-0.0064022i,0.015361-0.0029752i,0.0016303-0.015858i,-0.0038742-0.013258i,0.0021596+0.0009119i,-0.0015402-0.00093936i,-0.0011672-0.0017381i,0.0019231+0.0018595i,0.00064392-0.001426i,0.00020216-0.0012137i,0.0025602-0.002166i,-0.0047643-0.0041174i,-0.00023838-0.00037644i,0.00076477+0.00062518i,-0.0014549+0.0013163i,-0.0020225+0.0017286i,-0.00045628+0.00038496i,0.000425+0.0012312i,-0.0065807-0.0034038i,0.0027713-0.0024979i,-3.5394e-05-0.00077465i,-0.00050188+0.00066361i,0.0014824+0.00043068i,0.0011876+0.00030568i,0.0014795-6.6372e-05i,0.0021+0.0014016i,0.0022128+0.0023315i,0.0001681+0.0014796i,0.00041675-0.00017466i,0.0009115+0.00037469i,0.006953+0.0038435i,-0.00078441+3.734e-06i,-0.00027739-0.00046132i,0.0019199-0.00068404i,0.00020655+8.1778e-05i,-0.0010921+0.002324i,-0.0025341+0.0010935i,0.002244-0.000834i,0.0032058+0.0040391i,0.018006-0.025184i,0.0092077+0.0095316i,0.017459+0.01408i,-0.0019344+0.009661i,0.0090588-0.020937i,0.00039665+0.0037087i,-0.0037865+0.021332i,-0.01753+0.020382i,0.0033055+0.027986i,-0.0080374+0.0020572i,0.0057098-0.0067324i,0.0027328+0.0029368i,0.0040175-0.00070489i,0.0040295+0.012366i,-0.004289+0.0041624i,-0.010406-0.0069719i,0.0060766-0.0088537i,-0.0019157+0.015702i,0.0013576-0.0021472i,0.00098239+0.00082764i,-0.001073+0.00020974i,-0.0022405-0.0024388i,0.0043044-0.0033486i,-0.0060241-0.0064725i,0.001998+0.0012442i,-0.0038968-0.004975i,-0.004375-0.0021455i,0.00088356+0.002529i,-0.00030934-0.0033355i,-0.00086322-0.0038102i,0.0059258-0.012637i,0.0039787+0.004605i,-0.00087416-0.0025002i,-0.0030522-0.00050286i,-0.0065237-0.0017531i,0.0036298+0.0068794i,-0.0011133-0.002446i,0.0024143-0.0020397i,-0.0072045+0.0043953i,-9.6475e-05+0.00018461i,0.0034214+0.00033446i,0.00095715+0.0016596i,0.0035685-0.0016532i,-0.0040723+0.0034749i,-0.00066551+0.0064102i,0.018894+0.011379i,-0.0082004-0.021252i,-0.027444+0.0034211i,-0.018571+0.0097961i,0.0035547-0.0033558i,0.013103-0.0044084i,-0.0069571-0.0035332i
0.035614-0.01968i,0.014443-0.0097821i,0.017534-0.016179i,0.0083596-0.01133i,0.0090081-0.016685i,-0.0039885-0.0056717i,0.016418-0.0064617i,-0.0015408-0.015754i,-0.0061857-0.013179i,0.0030697+0.00096732i,-0.0011528-0.00022805i,-0.0018202-0.00084531i,0.0023926+0.0011019i,0.00033433-0.0013976i,0.00010568-0.0011786i,0.0027595-0.0024408i,-0.005664-0.0024103i,-0.00016871-0.00040419i,0.00062777+0.00015717i,-0.00083912+0.0016557i,-0.0011651+0.0018157i,-0.00076476+0.0003794i,0.0007461+0.0011132i,-0.0061388-0.00099279i,0.0013913-0.0030997i,-0.00021171-0.00062736i,-8.6501e-05+0.00071804i,0.0016455+1.6275e-05i,0.00092241+0.00018514i,0.0012591-0.00056434i,0.0026259+0.00040344i,0.0026766+0.0015368i,0.00093381+0.0013908i,0.00054482-0.00018199i,0.0012821+0.00055274i,0.0066567+0.0017946i,-0.00068922+0.00081232i,-0.0002731-0.00024002i,0.0016488-0.0014633i,0.00064207-0.00014431i,-3.0822e-05+0.0024333i,-0.001842+0.0028407i,0.0018497-0.0013108i,0.0036649+0.0031861i,0.011897-0.027815i,0.0094262+0.0052829i,0.019007+0.0099593i,0.00040588+0.00815i,0.0031228-0.021801i,0.00056191+0.0055691i,0.0028248+0.021293i,-0.010516+0.021155i,0.011681+0.023852i,-0.0053082+0.005402i,0.0039929-0.0073074i,0.0035327+0.0014803i,0.0034663-0.0017494i,0.0082096+0.0089632i,-0.0015467+0.0053075i,-0.012156-0.00025043i,0.0023115-0.0095109i,0.0012309+0.014062i,0.00076133-0.0030376i,0.00070712+0.000327i,-0.0010316+0.00061698i,-0.0021077-0.0019235i,0.0033086-0.0030871i,-0.0072585-0.0045914i,0.0020683+0.00033055i,-0.0063738-0.0026798i,-0.0039787-0.00048937i,0.0015414+0.00090477i,-0.0010179-0.0036713i,-0.0020707-0.00328i,-0.00027253-0.01269i,0.0051363+0.0020673i,-0.001734-0.0024615i,-0.003208+0.00073908i,-0.0058685+0.00082006i,0.0051229+0.0061809i,-0.0030958-0.0027295i,0.0019515-0.0035974i,-0.00028511-0.0033073i,-0.00026564-0.00088589i,0.0039834-0.000317i,0.0016985+0.0013466i,0.0023019-0.0015323i,-0.0040458+0.0055452i,0.00017112+0.0055984i,0.023255+0.0067936i,-0.018498-0.017453i,-0.030158+0.0070898i,-0.013311+0.012213i,0.0027343-0.0015273i,0.0079186-0.0047303i,-0.0093673-0.0039797i
0.030895-0.025343i,0.01299-0.01304i,0.014166-0.01833i,0.0052009-0.011365i,0.0052107-0.018778i,-0.0047715-0.0050058i,0.016249-0.011732i,-0.0043345-0.015075i,-0.0087343-0.012393i,0.0043835+0.00091202i,-0.0005555-6.6763e-05i,-0.0018797+0.00027012i,0.0024184+0.00024591i,0.00010946-0.0010739i,-5.065e-05-0.0012422i,0.0027097-0.0031429i,-0.0060562-0.00063383i,-0.00027047-0.00049623i,0.0005137-4.3344e-05i,-0.00028451+0.0017349i,-0.00080749+0.0021554i,-0.00091805+0.00055418i,0.0010165+0.00076761i,-0.0048382+0.001811i,0.00024839-0.0032238i,-0.00040139-0.00044416i,0.00013082+0.00060066i,0.0013687-0.00052999i,0.00096331+6.7081e-05i,0.0008256-0.0010134i,0.0026725-0.00074003i,0.0030975+0.00073083i,0.0015189+0.0010852i,0.00056469-0.00057341i,0.0019351+0.00026486i,0.0062227+0.00035855i,3.8167e-05+0.001807i,-0.00020742-4.6731e-07i,0.00082868-0.0017535i,0.00093321-0.00067302i,0.0007881+0.0023099i,-0.0001041+0.0032086i,0.0013048-0.0015738i,0.0040778+0.0030445i,0.0060382-0.028808i,0.0080825+0.0026689i,0.019511+0.006119i,0.0018349+0.0073759i,-0.0023699-0.022873i,0.0035188+0.0075689i,0.0087967+0.018778i,-0.0034867+0.020112i,0.017347+0.017304i,-0.00082248+0.006749i,0.0023862-0.0076785i,0.00344-0.00083477i,0.0027907-0.0031526i,0.0092353+0.004062i,7.5912e-05+0.0047208i,-0.011241+0.0063269i,-0.0014121-0.0087929i,0.0037798+0.011594i,-0.0047278-0.0041498i,2.3964e-05+0.00053535i,-0.00075603+0.001082i,-0.001684-0.0018983i,0.0034027-0.001959i,-0.0068121-0.0016068i,0.0021679+0.00022296i,-0.0068241+0.00051005i,-0.0029907+0.00024901i,0.0012154-0.00017946i,-0.0030246-0.0040992i,-0.0029619-0.0022407i,-0.0049053-0.011265i,0.0049682-0.00059632i,-0.0025959-0.001797i,-0.00227+0.0016248i,-0.0045036+0.0024031i,0.007121+0.004961i,-0.0047128-0.001103i,0.00050928-0.0048272i,-0.0022272-0.0022577i,-0.0013048-0.0014324i,0.0045323-0.0018971i,0.0021203+0.0012343i,0.0020156-0.0012842i,-0.0013674+0.007494i,0.00052922+0.0047082i,0.026105-0.00074931i,-0.023476-0.0091981i,-0.032387+0.013473i,-0.0090511+0.012441i,0.0017785-0.00010893i,0.0058666+0.00010843i,-0.011255-0.0028081i
