-0.031334-0.040787i,-0.021214-0.021511i,-0.012959-0.037i,-0.029876-0.02078i,-0.022476-0.0012629i,-0.014624-0.0066102i,-0.056037-0.061628i,-0.047742-0.018541i,-0.03829-0.012547i,0.012446+0.01251i,-0.0075764+0.0047615i,-0.020303+0.019624i,0.0015221+0.011795i,-0.0058412-0.0023682i,0.00016706+0.0015849i,-0.0025899+0.031766i,0.025912+0.027647i,0.0023592-0.0021418i,-0.0023293-0.0075759i,0.0091164+0.0028608i,0.0025064+0.00096539i,-0.00015833+0.0030904i,-0.00035707+0.00027362i,-0.035572-0.011545i,0.00058135-0.0083711i,0.0015882+0.0021881i,0.0075319+0.00092022i,0.0021909+0.00079145i,0.0010766-0.00029662i,-0.00057383-0.0028613i,0.0014475-0.0024024i,-0.0024272-0.0068276i,-0.00084009-0.0050457i,0.0029683-0.00055614i,0.0047235-0.00321i,-6.2617e-05+0.031843i,0.0047023-0.0039469i,0.0031468-0.0016781i,0.0082694-0.0014716i,-0.0079012-0.0030106i,-0.00020902+0.00073629i,0.0093406+8.8788e-05i,0.0048754-0.0025629i,-0.001791+0.0090542i,-0.017722-0.0080375i,-0.018359+0.015798i,-0.00090052-0.063047i,-0.0046675-0.027106i,-0.026287-0.032747i,-0.010304-0.027171i,0.056716-0.018861i,0.018256-0.042886i,0.023529-0.047557i,0.0055952-0.054303i,0.027301-0.019677i,0.0086405+0.0062234i,0.02604-0.033961i,-0.0075201-0.0062093i,0.0043013-0.0051931i,-0.0043875-0.0068261i,-0.0014764-0.033835i,-0.018139+0.028681i,0.0090747-0.011734i,-0.0092961-0.0046338i,-0.0042384-0.0016737i,0.0013756-0.013023i,-0.011263+0.0045121i,0.0026605+0.01038i,-0.0056123+0.026626i,0.004907+0.0023666i,-0.0051975-0.002586i,-0.0020494-0.0022583i,-0.014143-0.0086858i,-0.00034968-0.0040774i,-0.034755-7.3628e-05i,0.0015826-0.010922i,-0.0088823-9.4595e-05i,-0.0069728-0.0021881i,0.0051662+0.0016386i,-0.0078236-0.0001412i,0.0025562+4.542e-05i,0.0040471+0.0077435i,0.0042022+0.00080805i,-0.0071276-0.012417i,0.002327+0.0093508i,-0.016533+0.0055139i,0.0067898-0.00037942i,-0.022443-0.0003312i,-0.018223+0.0069289i,-0.008587-0.068288i,0.0079078-0.012531i,-0.047757-0.024295i,-0.02129+0.00054739i,0.017418+0.011546i,-0.024039+0.014681i,-0.019843-0.0061265i
0.027072+0.036879i,0.014921+0.016271i,0.017959+0.025558i,0.0066662+0.020355i,0.0090188+0.0083188i,0.0048837-0.0005465i,0.015241+0.01414i,0.015994-0.0014405i,0.0081818-0.0077767i,0.0025519+0.0039593i,0.0021467-0.0026833i,0.00099396-0.0051008i,-0.0017088+0.00081855i,0.001729-0.001485i,0.0019373-0.00067826i,0.0054406-0.0025621i,0.0076672-0.0047045i,0.00014468+0.00028617i,-0.0044869+0.00092577i,2.5756e-05+0.0005699i,-0.00085268-0.0012504i,-0.0026609-0.0011321i,-0.0016798+0.00095391i,0.0038152+0.0099182i,-0.0012763+0.0011537i,0.00048967+0.0018031i,0.001136+0.00088748i,-0.0016185+0.002823i,-0.0010054+0.00027677i,-0.0015361+0.00044449i,-0.0016092-0.0015779i,-0.0050886-0.0013874i,-8.2312e-05+0.00013447i,0.00031532+0.00041635i,-0.0002762-0.00103i,-0.010679+0.0092785i,0.0018622-0.00027684i,0.00056636+0.0010476i,0.0023329+0.002474i,2.0514e-07-0.0011431i,-0.00038304-0.0006668i,-0.00060231-0.0018378i,0.00045976+0.00129i,-0.00057982+0.0012687i,0.020053+0.01393i,-0.024637+0.013702i,-0.013271+0.017313i,-0.023171+0.011413i,-0.0047804+0.038091i,-0.021606+0.017531i,0.0020991-0.0050505i,-0.011792-0.017202i,-0.018132-0.00074302i,-0.0072851+0.014715i,0.019423+0.021517i,-0.00038011+0.0024663i,-0.0038836+0.00086247i,-0.01282-0.0047371i,0.011736+0.0015298i,0.011996+0.0099182i,-0.00054744+0.0057588i,-0.0048032-0.0076358i,0.006011-0.0029388i,-0.0035291-0.004278i,0.003922-0.0083711i,0.0090624-0.0027789i,-0.0016852+0.010699i,0.012558-0.0068987i,0.0038606-0.0081735i,0.0029893-0.0099069i,0.0022545+0.00084644i,-0.0022446-0.0059111i,-0.0036309-0.0018999i,0.0024982-0.00014474i,-0.0069024+0.03879i,-0.0082667-0.007579i,0.00012696+0.0010613i,-0.0013248-0.007176i,0.0034389-0.00028938i,-0.017141-0.0063505i,-0.0013642-0.0037035i,0.0028659-0.0025193i,0.0034601-0.0013006i,-0.0033328-0.0075145i,-0.00026036+0.0071272i,0.00039865+0.0032979i,-0.003228+0.0044943i,-0.0077611+0.0019863i,-0.0063171-0.0011457i,-0.0066638+0.029898i,-0.0025393+0.015181i,-0.026531-0.0095747i,-0.0011568-0.0027121i,0.01385+0.019077i,-6.3785e-05+0.018845i,-0.00046441-0.0048569i
0.032973+0.030674i,0.017656+0.012397i,0.022201+0.022452i,0.010142+0.019812i,0.011325+0.0070362i,0.0050654-0.0020361i,0.015601+0.010428i,0.015486-0.0041421i,0.0061655-0.0093556i,0.0035688+0.0027801i,0.0018822-0.0027859i,-0.0010786-0.003629i,-0.0012827+0.0013386i,0.0013502-0.00050038i,0.0017645-0.0010105i,0.0041909-0.0029716i,0.0058672-0.0064202i,0.00057393+0.00018654i,-0.0044578+0.00056163i,0.00033206-9.2822e-05i,-0.00095022-0.0014286i,-0.0027786-0.00054819i,-0.0013044+0.0010739i,0.0089331+0.0075822i,-0.0014248+0.0024702i,0.0013534+0.0013548i,0.00099607-4.9001e-05i,-0.00061241+0.0030826i,-0.0014219+0.00085156i,-0.0013181+0.0011779i,-0.0021855-0.00088115i,-0.0024867+0.00083579i,-0.00031158+3.684e-05i,0.00058755+0.00012799i,-0.00091418-0.00020434i,-0.0065648+0.011187i,0.0013042-0.00086773i,0.00099012+0.00093794i,0.0021096+0.0012139i,-9.4491e-05-0.0010403i,-0.00065186-0.00097097i,-0.00098999-0.0012588i,0.0006225+0.0013154i,-0.00084806+0.0014555i,0.023181+0.010737i,-0.019868+0.017278i,-0.012334+0.02031i,-0.018205+0.013386i,0.0068811+0.034427i,-0.013696+0.018205i,-0.0049331-0.0086979i,-0.019364-0.018495i,-0.020181-0.00052447i,-0.001062+0.010588i,0.02224+0.013199i,-0.00091451+0.0024452i,-0.002609+0.0046166i,-0.013099-0.00037795i,0.010344-0.0029755i,0.013887+0.0066611i,0.0023479+0.0083329i,-0.0089243-0.0065908i,0.0021108-0.0045139i,-0.0036976-0.002159i,-0.0013575-0.0079242i,0.0071261-0.0054995i,0.003234+0.0088333i,0.0074178-0.0093775i,-0.0010833-0.0083431i,-0.0011236-0.0065849i,0.0038083+5.2399e-05i,-0.0034429-0.005257i,-0.0021091+0.00084847i,0.0031876-0.00046992i,0.012196+0.035123i,-0.0098496-0.0052764i,0.00094416+0.00038815i,-0.004263-0.0055114i,0.0040217-0.0016256i,-0.017847+0.0011845i,-0.0020336-0.0027948i,0.0014448-0.0024228i,0.0036801-0.0030816i,-0.004941-0.0052677i,0.0016807+0.0034605i,0.0016672+0.0023801i,-0.00023361+0.0057651i,-0.0056927+0.0048524i,-0.0069126-0.00012058i,-0.0002919+0.026124i,0.00010436+0.016555i,-0.02884-0.0041019i,-0.0028471-0.0064909i,0.016618+0.016345i,0.0034154+0.019873i,-0.0029985-0.0053132i
0.036908+0.023626i,0.018582+0.007395i,0.026904+0.016857i,0.015038+0.017181i,0.013813+0.0048805i,0.004764-0.0037989i,0.015129+0.0068148i,0.014585-0.0071437i,0.0041063-0.0098396i,0.0036376+0.0015221i,0.0011461-0.0035523i,-0.0014186-0.0018125i,-0.0007276+0.0015059i,0.0020504-0.00044731i,0.0014903-0.0013292i,0.0031443-0.0032725i,0.003224-0.0079861i,0.00053163-0.00031547i,-0.0032569+0.0019753i,-1.9765e-05-0.00082825i,-0.0017641-0.0017336i,-0.0025498+4.2655e-05i,-0.0010296+0.0011485i,0.011208+0.0023926i,-0.00026305+0.0033945i,0.0014695+0.00045333i,0.00043739-0.0004714i,0.00050385+0.0028406i,-0.0010352+0.0016794i,-0.00085423+0.0017506i,-0.0024921+0.00024892i,-0.0023354+0.0021309i,-0.00037584+8.4223e-05i,0.0006518-0.00020605i,-0.00070708+0.00068041i,-0.0027393+0.011966i,0.00078549-0.00087152i,0.0013321+0.00038119i,0.001903+0.00068036i,-0.00042708-0.00096986i,-0.0011694-0.00092416i,-0.0010046-0.0011626i,0.00085791+0.0015267i,-0.00069216+0.0020096i,0.026628+0.0063046i,-0.014844+0.019629i,-0.0093401+0.024024i,-0.012386+0.01309i,0.017497+0.027148i,-0.0069743+0.018603i,-0.012601-0.0078652i,-0.02599-0.015892i,-0.019705+0.0031005i,0.0023267+0.0045928i,0.021098+0.0058982i,-0.0012697+0.0024631i,-0.0011036+0.0047369i,-0.013057+0.0027932i,0.0063412-0.0074907i,0.014652+0.0023583i,0.006153+0.0081457i,-0.01235-0.0042475i,0.00020221-0.003018i,-0.0035608-0.00020058i,-0.0039094-0.0052174i,0.0046941-0.0069877i,0.0060293+0.0077433i,0.0044037-0.0090278i,-0.0056447-0.0050545i,-0.001455-0.0033333i,0.0043305-0.0022315i,-0.0064767-0.002962i,-0.0001788+0.00083975i,0.0026215-0.0018999i,0.025617+0.022351i,-0.011029-0.00067194i,0.0014526-0.00022925i,-0.0039533-0.0035914i,0.0043768-0.0039381i,-0.014045+0.0083417i,-0.0020936-0.0019091i,0.00035046-0.002446i,0.0021727-0.0040073i,-0.0056963-0.0024944i,0.00098312+0.0023365i,0.0021398+0.0012189i,0.0024156+0.004673i,-0.0030419+0.0053757i,-0.0073905+0.0017015i,0.002484+0.021411i,0.0075317+0.015969i,-0.028749+0.00055302i,-0.0057661-0.009172i,0.019608+0.010925i,0.0084342+0.020413i,-0.0052357-0.0045623i
0.039125+0.016726i,0.01749+0.0036676i,0.028604+0.0098211i,0.018217+0.011889i,0.015423+0.0014427i,0.0035561-0.0053029i,0.014053+0.0042827i,0.012807-0.0099207i,0.0027453-0.01026i,0.0031332+0.00084148i,-0.00026105-0.0031696i,-0.00083353-0.00096975i,-0.00055407+0.0016829i,0.0019396-0.00057412i,0.0010746-0.0015126i,0.0019765-0.0030773i,0.000176-0.0071642i,0.00046694-0.00039557i,-0.0017334+0.002898i,-0.00073961-0.00095536i,-0.0025114-0.00074331i,-0.0024309+0.00056479i,-0.00078742+0.001251i,0.010539-0.0030446i,0.0010932+0.0035507i,0.0013393+6.9176e-05i,9.2378e-05-0.00030219i,0.0011217+0.0021111i,-0.00027652+0.0016742i,-0.00012064+0.0020098i,-0.0021407+0.0015294i,-0.00076271+0.0023204i,-0.00039602+9.597e-05i,0.000414-0.00031048i,-0.00025919+0.0011153i,0.00080374+0.011694i,0.00056387-0.00087942i,0.0012285-0.00022179i,0.0015663+0.00057807i,-0.00089041-0.0006855i,-0.0016805-0.00048368i,-0.0014421-0.00098797i,0.001351+0.0017425i,-0.00030596+0.0026123i,0.028829-0.00049059i,-0.0094899+0.021113i,-0.0039805+0.027008i,-0.01+0.010111i,0.025298+0.015547i,-0.0002052+0.0149i,-0.019521-0.0026577i,-0.032662-0.01016i,-0.019936+0.018962i,0.0019857-0.0012653i,0.019491+0.00014887i,-0.0014391+0.0032916i,8.6581e-05+0.0064981i,-0.012054+0.00662i,-9.828e-05-0.0077462i,0.014172-0.0025664i,0.0097633+0.0061489i,-0.014843-6.9845e-05i,-0.00072112-0.0024229i,-0.0025017+0.0012188i,-0.0049714-0.0017799i,0.0027335-0.0076232i,0.0089119+0.0039971i,0.0021794-0.0092346i,-0.0057421+0.00055584i,-0.00045906-0.0019701i,0.0030881-0.0046313i,-0.0068827+9.3264e-05i,0.0008642+0.00057569i,0.0016745-0.0027846i,0.031396+0.0048516i,-0.0098935+0.0049551i,0.0017091-0.001182i,-0.0041429-0.0020836i,0.0023962-0.0065185i,-0.0080819+0.010812i,-0.0016836-0.0014942i,-0.00030729-0.0015793i,0.00083116-0.004226i,-0.0046099-0.00053416i,0.00078282+0.0022717i,0.0017765+8.0552e-05i,0.0044712+0.0031393i,-0.00086544+0.0042049i,-0.0076028+0.003559i,0.0041532+0.019488i,0.016095+0.0090826i,-0.026476+0.0053535i,-0.011269-0.010331i,0.018653+0.0051631i,0.013746+0.018422i,-0.0055259-0.0033383i
0.040751+0.01012i,0.017203+0.0014754i,0.02847+0.0040514i,0.019547+0.0064497i,0.015759-0.0022738i,0.0022395-0.006227i,0.013311+0.0029416i,0.010575-0.01207i,0.0014924-0.010915i,0.0029401+0.000364i,-0.00067086-0.002218i,-0.00032634-0.00091166i,-0.00029858+0.0021472i,0.0018479-0.0010188i,0.00070566-0.001418i,0.0014991-0.0023236i,-0.0010242-0.0060812i,0.00023923-0.00040317i,-0.00050298+0.0026345i,-0.0013595-0.00063358i,-0.0026625-3.6312e-05i,-0.0018538+0.0012305i,-0.0004904+0.0013963i,0.0074732-0.0064875i,0.0023736+0.0031622i,0.00091647-6.8077e-05i,-0.00018761-8.9234e-05i,0.0013988+0.0015138i,0.0001053+0.0016427i,0.00079039+0.0019361i,-0.0011541+0.0023159i,-0.00044355+0.0021464i,-0.00067919+0.00011179i,0.00032342-9.1559e-05i,0.00047399+0.0013222i,0.0034578+0.010164i,0.00012575-0.00091681i,0.00078715-0.00063958i,0.0016647+0.000544i,-0.00097101-0.00021733i,-0.0018762-0.00021193i,-0.0021719-0.00086264i,0.0018133+0.001385i,0.0002284+0.0026264i,0.028119-0.0076783i,-0.0033759+0.021027i,0.0028357+0.027487i,-0.0093985+0.0096087i,0.026347+0.0025835i,0.0023778+0.0094097i,-0.022162+0.006234i,-0.035863-0.00047879i,-0.025105+0.019669i,-0.0013155-0.0051285i,0.015426-0.0043843i,-0.00061732+0.0041924i,0.0037019+0.0063573i,-0.0091426+0.010312i,-0.003514-0.0044055i,0.011083-0.0083544i,0.012288+0.002624i,-0.016156+0.0058206i,-0.0010082-0.00069937i,-0.0013403+0.0018607i,-0.0031315+0.00037161i,-0.00058894-0.0074286i,0.0089785+0.00052948i,-0.00033556-0.0089056i,-0.0031946+0.0033031i,0.00035058-0.0021884i,0.00080343-0.0058224i,-0.0047181+0.0026553i,0.0021105-0.00026993i,0.00099068-0.0027667i,0.026461-0.011252i,-0.0058552+0.0079598i,0.0011768-0.0022356i,-0.0033038-0.0015959i,-0.00042829-0.007231i,-0.0035895+0.010547i,-0.0018852-0.0020057i,-0.00016101-0.0002996i,0.00044064-0.0036279i,-0.0037484+0.0007802i,0.0012031+0.0025087i,0.0008362-0.00033143i,0.0051127-0.00051605i,-0.00081501+0.0023026i,-0.0065221+0.0059344i,0.0067841+0.018341i,0.018069-0.003763i,-0.02217+0.0063274i,-0.016799-0.0082952i,0.017382+0.0010201i,0.017938+0.012676i,-0.0061913-0.0032764i
0.04147+0.0028707i,0.017313-0.0011921i,0.028407-0.0016066i,0.019903+0.00095325i,0.015597-0.0057777i,0.00069582-0.0068747i,0.013806+0.0020693i,0.0080417-0.013762i,-4.6655e-05-0.011791i,0.0023425-8.8159e-05i,-0.00063206-0.0020032i,-0.00010701-0.00092387i,0.00055698+0.0026241i,0.0015826-0.0011808i,0.00051617-0.0013758i,0.0018297-0.0016964i,-0.0017683-0.0057666i,0.00023371-0.00043208i,0.00025573+0.0020587i,-0.0016785-8.0127e-05i,-0.0022716+0.00064001i,-0.0010107+0.0013897i,-0.00011746+0.00144i,0.0037221-0.0078288i,0.0037843+0.0021762i,0.00070615-0.00025239i,-0.00025729+3.3685e-05i,0.0015149+0.0010663i,0.00061034+0.0016206i,0.0014099+0.0013237i,1.5742e-05+0.0025795i,0.00055341+0.0026248i,-0.00073686+0.00064321i,0.00046619-9.4285e-05i,0.00098906+0.00095104i,0.0050147+0.0078067i,-0.00025305-0.00070571i,0.00046686-0.00063505i,0.0015457+0.00023273i,-0.00067415+0.00011653i,-0.002032+0.00032397i,-0.0028465-0.00019946i,0.0021303+0.0011525i,0.00063189+0.002915i,0.025555-0.014233i,0.0020954+0.018857i,0.0092852+0.025673i,-0.0081634+0.010176i,0.023172-0.0084363i,0.0019626+0.005656i,-0.019532+0.015303i,-0.033603+0.010406i,-0.018824+0.025182i,-0.0056852-0.0052925i,0.011091-0.0065563i,0.00061908+0.004446i,0.0060373+0.0039461i,-0.0051009+0.013099i,-0.0046648-0.0016632i,0.0051-0.012781i,0.012494-0.002488i,-0.012836+0.011955i,-2.8877e-05+0.00038464i,-0.00014838+0.0017962i,-0.0015828+0.00077289i,-0.0023865-0.0053937i,0.0075262-0.0020814i,-0.001765-0.007939i,5.6532e-05+0.0036777i,0.00048551-0.0033291i,-0.0015994-0.0053488i,-0.0029682+0.0031622i,0.0021217-0.0020555i,0.00072112-0.002948i,0.012387-0.021702i,-0.0013918+0.0084825i,0.00021034-0.0023749i,-0.0035735-0.0010412i,-0.0033852-0.0064159i,-0.00027631+0.0099245i,-0.0012852-0.00041029i,0.0011719-7.9106e-05i,5.4459e-05-0.0046111i,-0.0018612+0.0018159i,0.0029161+0.0017387i,0.00014458+0.00026564i,0.010803-0.0016204i,-0.0020726+0.0013392i,-0.0043373+0.0072643i,0.0096816+0.016504i,0.011868-0.013664i,-0.020631+0.0034919i,-0.021629-0.0037492i,0.014324-0.0041545i,0.018327+0.0072583i,-0.0070052-0.0023734i
0.040605-0.0044655i,0.016558-0.0043199i,0.026333-0.0085101i,0.018025-0.0052097i,0.014678-0.0097157i,-0.0010478-0.0069823i,0.014933+0.00039375i,0.0052077-0.015251i,-0.0020955-0.012114i,0.0017195+0.00013i,-0.0012295-0.0019405i,-0.00024098-0.0015602i,0.0014483+0.0025289i,0.0012217-0.0014777i,0.0003474-0.0012924i,0.002342-0.0018236i,-0.0030932-0.0053695i,-0.00013584-0.00058506i,0.00076211+0.0013698i,-0.0018952+0.00057023i,-0.0021659+0.00088939i,-0.00035178+0.0010062i,0.00018329+0.0013625i,0.00085432-0.0061459i,0.004551+5.726e-05i,0.00033499-0.00071598i,-0.00061875+0.00025711i,0.0016006+0.00067182i,0.0012622+0.0012407i,0.0016276+0.00058566i,0.0011928+0.0023415i,0.0013241+0.0026265i,-0.00056419+0.0010889i,0.00053395-0.00012618i,0.0010756+0.00044947i,0.006239+0.0059684i,-0.00053186-0.00043457i,8.3672e-05-0.00060452i,0.0017954-5.0301e-05i,-0.00022431+0.00018018i,-0.00202+0.001094i,-0.0024163+0.00052675i,0.002579+0.00063347i,0.0010374+0.0035913i,0.021603-0.019841i,0.0063085+0.015345i,0.014486+0.02184i,-0.0055754+0.011165i,0.016773-0.01596i,0.00064235+0.0039872i,-0.013261+0.020971i,-0.026421+0.018141i,-0.0093299+0.02837i,-0.0086415-0.0026253i,0.0076286-0.0067552i,0.001734+0.0040355i,0.005921+0.00071604i,-0.00053065+0.013925i,-0.0052188+0.00088285i,-0.0037178-0.012603i,0.010181-0.0066778i,-0.0081541+0.014161i,0.0013802-0.00037018i,0.00062892+0.0012344i,-0.0011462+0.00019866i,-0.0024759-0.0037471i,0.0059394-0.0029085i,-0.0026101-0.0077384i,0.0015573+0.0024449i,-0.00060018-0.0049927i,-0.0033871-0.0040508i,-0.0012252+0.0036475i,0.00069546-0.0033657i,0.00029892-0.0036251i,0.0039441-0.011636i,0.0020974+0.00707i,-0.00025689-0.0023448i,-0.0029986-0.00082557i,-0.0053379-0.0050024i,0.0021987+0.0086774i,-0.00071544-0.0014013i,0.0018917-0.00088743i,-0.0023418-0.005232i,-0.00069939+0.0011969i,0.0031198+0.0015956i,0.00027523+0.0012303i,0.0054946-0.00011531i,-0.0035483+0.0018137i,-0.0024934+0.0073053i,0.012748+0.014873i,0.0032129-0.019741i,-0.023955+0.0013348i,-0.023088+0.0033902i,0.0079691-0.0063476i,0.018306+0.0019921i,-0.0066969-0.0020876i
0.038695-0.011141i,0.015927-0.0064814i,0.021885-0.013187i,0.013543-0.0095871i,0.012485-0.013493i,-0.0025403-0.0065443i,0.016219-0.0021142i,0.0020185-0.015955i,-0.0039837-0.012328i,0.0019398+0.00065819i,-0.0016699-0.0010482i,-0.0011167-0.0016765i,0.0023126+0.0021157i,0.00078616-0.0015086i,0.00022069-0.0012747i,0.0025854-0.0021529i,-0.0046689-0.0041743i,-0.00034875-0.00037235i,0.00093299+0.0007108i,-0.0016046+0.0014046i,-0.0021456+0.0016194i,-0.00046198+0.00042333i,0.00048171+0.0012778i,-0.0065232-0.0016382i,0.0036752-0.0018267i,2.8634e-05-0.00072457i,-0.00048918+0.00072421i,0.0015874+0.0004192i,0.0013701+0.00045815i,0.001578-4.4085e-05i,0.0021328+0.0015445i,0.0023536+0.0021455i,1.672e-05+0.0015518i,0.00049335-0.00017095i,0.00095293+0.00056362i,0.0067187+0.0038783i,-0.00074567-7.8456e-05i,-0.00012328-0.00038729i,0.0019379-0.00052823i,0.00013787+0.00011288i,-0.0015451+0.0019989i,-0.0019942+0.0012128i,0.0026761-0.00017259i,0.0023202+0.0035637i,0.016358-0.024075i,0.0089534+0.011109i,0.017839+0.017241i,-0.0022214+0.010658i,0.010385-0.01979i,-0.00045535+0.0040679i,-0.0062031+0.023488i,-0.018638+0.020924i,0.0012197+0.027909i,-0.0090109+0.001502i,0.0059487-0.0065655i,0.0028879+0.0031963i,0.0046335-0.0011817i,0.0045959+0.012978i,-0.0043989+0.004113i,-0.010215-0.0070734i,0.0064648-0.0089345i,-0.0039032+0.015002i,0.0013787-0.0020732i,0.00092759+0.00066511i,-0.0013158+0.00015963i,-0.0020242-0.0025855i,0.0048168-0.0036997i,-0.0043118-0.0072273i,0.0022311+0.0011534i,-0.0039362-0.0054879i,-0.0041659-0.002319i,0.0010577+0.0027702i,-0.00020134-0.003639i,-0.00080373-0.0041075i,0.0027552-0.014583i,0.0040562+0.0048965i,-0.00080526-0.0026133i,-0.0036994-0.00054359i,-0.0065595-0.0023614i,0.0037422+0.0075122i,-0.0014168-0.002532i,0.0023042-0.0019386i,-0.0058041-0.0046255i,-8.4125e-05+0.0004287i,0.0035661+0.00086816i,0.001196+0.0015467i,0.0035267-0.0016805i,-0.0045733+0.0033522i,-0.00091587+0.0067675i,0.016964+0.012693i,-0.0079282-0.021476i,-0.027929+0.0034087i,-0.019902+0.010259i,0.0034224-0.0039281i,0.015278-0.0037313i,-0.0068629-0.0032713i
0.035786-0.017618i,0.015557-0.0094581i,0.018021-0.015758i,0.0091098-0.010901i,0.0094142-0.016498i,-0.0035773-0.0058874i,0.017391-0.0058934i,-0.0011117-0.015891i,-0.0061602-0.012237i,0.0025521+0.00067742i,-0.001209-0.000228i,-0.0018021-0.00085202i,0.0028435+0.0011699i,0.00048049-0.001541i,0.00011044-0.0012673i,0.00282-0.0024752i,-0.0055662-0.0027194i,-0.00029553-0.00045329i,0.00072288+0.00010501i,-0.00097839+0.0018478i,-0.00146+0.0019204i,-0.00068672+0.0003727i,0.00079742+0.0010933i,-0.0066838-0.0013343i,0.0026998-0.0028043i,-0.0001699-0.00060584i,-0.00016191+0.0007755i,0.0016417-2.9661e-05i,0.0010837+0.00035502i,0.0013828-0.00061204i,0.0026824+0.00052477i,0.0029002+0.0014863i,0.00079767+0.0014637i,0.00061594-0.0001982i,0.0013852+0.00081754i,0.0069418+0.001767i,-0.00067626+0.00070586i,-0.00014966-0.00022209i,0.0015808-0.001288i,0.00063159-0.00015427i,-0.00057037+0.0023341i,-0.0015141+0.0022659i,0.0023431-0.00096585i,0.0028624+0.0030614i,0.010433-0.026436i,0.0095416+0.0066675i,0.019718+0.012869i,0.00023252+0.0088922i,0.0040319-0.022033i,-0.00039426+0.0060778i,0.001108+0.023666i,-0.011582+0.02187i,0.009694+0.024054i,-0.0064921+0.005145i,0.0046026-0.0072871i,0.0037942+0.001631i,0.0037984-0.002416i,0.0086475+0.0094367i,-0.0015716+0.0054104i,-0.012221-0.00029627i,0.0025628-0.0095987i,1.8877e-05+0.014066i,0.00037602-0.0032289i,0.00047024+0.00034954i,-0.0013071+0.00062119i,-0.0018847-0.0022681i,0.0034597-0.0034034i,-0.0058927-0.0056299i,0.0021293+0.00017963i,-0.0066737-0.0028754i,-0.0038013-0.00062679i,0.0017003+0.00084329i,-0.0010805-0.0039382i,-0.0021616-0.0035615i,-0.0024483-0.014301i,0.0052945+0.0023536i,-0.0018305-0.0024848i,-0.0038671+0.0008949i,-0.0060379+0.0004972i,0.0051478+0.0065591i,-0.0033404-0.0028967i,0.0019877-0.0034742i,-0.0004296-0.0018283i,-0.00012145-0.00080745i,0.0042594+0.00016477i,0.001862+0.0011532i,0.0019714-0.0014431i,-0.0049099+0.0054351i,0.00017585+0.0060215i,0.021335+0.0084655i,-0.018367-0.017865i,-0.030711+0.0072238i,-0.01417+0.012852i,0.0023714-0.0018683i,0.0094546-0.0064043i,-0.0092189-0.0038465i
0.031459-0.023557i,0.014179-0.013034i,0.014646-0.017974i,0.0059061-0.011054i,0.0055819-0.018659i,-0.0044604-0.0052168i,0.017334-0.011344i,-0.0041032-0.015208i,-0.0086655-0.011463i,0.0031624+0.00066219i,-0.00056158-0.00014492i,-0.0019169+0.00025462i,0.0028395+0.00011507i,0.00027091-0.0012718i,-5.6087e-05-0.0013497i,0.0027508-0.0031752i,-0.0061125-0.0010207i,-0.00050681-0.00065123i,0.00047493-0.00012623i,-0.00031237+0.0019713i,-0.0010382+0.0023i,-0.00085799+0.00056142i,0.0010002+0.00075345i,-0.0053137+0.0018743i,0.0017419-0.0033657i,-0.00035526-0.00041274i,5.8486e-05+0.00062097i,0.0013339-0.00048289i,0.0012017+0.0003037i,0.00087511-0.0010645i,0.002817-0.00062838i,0.0033555+0.00065874i,0.001328+0.0012354i,0.00063145-0.00059104i,0.0021927+0.00049033i,0.0068518-0.00017391i,-8.3517e-05+0.0019599i,-0.00012484-2.0062e-05i,0.00082213-0.001689i,0.00097687-0.00069266i,0.00020183+0.0025233i,-0.00018677+0.0026266i,0.0018463-0.0015148i,0.00333+0.0030556i,0.0046764-0.027287i,0.0083381+0.0036617i,0.020745+0.0089181i,0.0016556+0.0080724i,-0.0020882-0.023307i,0.002659+0.0083804i,0.0076192+0.021172i,-0.0040285+0.020935i,0.016138+0.017927i,-0.0019118+0.0068401i,0.0031475-0.00792i,0.0036326-0.00091834i,0.0028543-0.0038248i,0.010052+0.0041821i,-3.68e-05+0.0047705i,-0.011214+0.0064067i,-0.001188-0.0089751i,0.0030052+0.012027i,-0.0030968-0.0034974i,-4.1854e-05+0.00076648i,-0.0010749+0.0012148i,-0.0013349-0.002235i,0.0035283-0.0022988i,-0.0061708-0.0028549i,0.0021595+0.00025981i,-0.0069264+0.00040687i,-0.0028659+0.0002976i,0.001251-0.00025499i,-0.0031386-0.0043394i,-0.0032194-0.0024598i,-0.0072553-0.011782i,0.0053624-0.00046248i,-0.0026748-0.0017676i,-0.002718+0.0019883i,-0.0047033+0.0022583i,0.0070446+0.0052578i,-0.0050229-0.0012681i,0.00043975-0.004942i,-0.002393-0.0015799i,-0.0012493-0.0013665i,0.0047907-0.0016504i,0.002318+0.0010284i,0.0017592-0.0009882i,-0.0026583+0.0076975i,0.00072168+0.0049931i,0.024591+0.0019987i,-0.023875-0.0094902i,-0.032907+0.013216i,-0.009565+0.013375i,0.0014707-0.00014561i,0.0049-0.0026751i,-0.011176-0.0028885i
