-0.027496-0.042425i,-0.020808-0.022615i,-0.012508-0.037737i,-0.029583-0.021372i,-0.024691-0.0018765i,-0.01321-0.0037557i,-0.05217-0.053807i,-0.046972-0.01688i,-0.037579-0.012383i,0.01155+0.01341i,-0.0088495+0.0051493i,-0.019786+0.019542i,0.0016608+0.012322i,-0.0042034-0.002118i,0.00090206+0.0010133i,-0.00050666+0.028977i,0.02438+0.025571i,0.0026381-0.0021104i,-0.0024369-0.0072645i,0.0079299+0.0025151i,0.0027449+0.00090332i,-0.00061039+0.0031927i,-0.00042272+6.7542e-05i,-0.033402-0.0098354i,0.00064507-0.008587i,0.0015794+0.0022439i,0.0061294+0.00061656i,0.0021226+0.00044634i,0.0012425-0.00039353i,-0.00035031-0.0027503i,0.0015169-0.0020929i,-0.0022875-0.0063125i,-0.00076979-0.0044766i,0.0033733-0.00042435i,0.0049701-0.00295i,0.0012996+0.029271i,0.0041538-0.0035474i,0.0030268-0.0014643i,0.0083453-0.00088699i,-0.0076746-0.0023427i,-0.00035166+0.0006666i,0.0095412+0.00082889i,0.0051379-0.0019114i,-0.0028868+0.008501i,-0.016635-0.0093219i,-0.018048+0.016138i,0.00037167-0.062741i,-0.0044479-0.027181i,-0.025413-0.03448i,-0.009999-0.027031i,0.052225-0.024273i,0.016796-0.043381i,0.026009-0.046437i,0.0080873-0.053996i,0.028453-0.019701i,0.0088091+0.0063728i,0.025973-0.033767i,-0.0084021-0.0063579i,0.0029349-0.0039675i,-0.0049031-0.0068276i,-0.001042-0.033337i,-0.019944+0.028908i,0.0093526-0.01197i,-0.0093818-0.004035i,-0.0040538-0.0017318i,0.00033121-0.012984i,-0.011218+0.00417i,0.0023752+0.010687i,-0.0054207+0.026563i,0.004833+0.0027386i,-0.0053097-0.0020121i,-0.0020785-0.002026i,-0.013585-0.0081687i,-9.9765e-05-0.0044265i,-0.030674-0.00060093i,0.0015214-0.011043i,-0.0087744+7.1364e-05i,-0.0073677-0.002238i,0.0052366+0.0014727i,-0.0080662-0.00070637i,0.0022518+0.00027007i,0.0042691+0.0078194i,0.0043753+0.00064816i,-0.0074525-0.013665i,0.0027403+0.0097343i,-0.015741+0.0051967i,0.0070665+0.00034386i,-0.02285-0.0019491i,-0.01846+0.0062521i,-0.0060133-0.06861i,0.0080497-0.012397i,-0.047172-0.025392i,-0.019734-0.001463i,0.016703+0.0131i,-0.023942+0.013789i,-0.019689-0.0054074i
0.023365+0.039768i,0.014616+0.017893i,0.017206+0.02644i,0.006785+0.020569i,0.010217+0.0068151i,0.005361-0.0015498i,0.020423+0.011312i,0.01683-0.0035191i,0.0085231-0.0065649i,0.0026791+0.0040577i,0.0019533-0.0029751i,0.0013048-0.005049i,-0.0025386+0.00071642i,0.00054286-0.00097168i,0.002161-0.0003969i,0.0044069-0.0020021i,0.0056482-0.004583i,-0.00032438+0.00017435i,-0.0043527+0.00085879i,3.4675e-05+0.00071006i,-0.00051581-0.00078585i,-0.0023898-0.00070588i,-0.0017515+0.00095587i,0.0028124+0.0090054i,-0.0014145+0.0012404i,0.00066332+0.0019553i,0.00099819+0.00060981i,-0.0017258+0.002745i,-0.00086954+0.00029751i,-0.0015641+0.00027825i,-0.0015579-0.0018003i,-0.0027635-0.0007187i,-0.00029619+0.00013285i,0.00042744+0.00035626i,-0.00026571-0.0012038i,-0.0083797+0.0086348i,0.0018351-0.00010173i,0.00068446+0.0012489i,0.0013156+0.0030432i,0.00026549-0.0012593i,-0.00040533-0.00096222i,-0.0012255-0.0012046i,0.00080437+0.0013002i,-7.4326e-05+0.0016265i,0.017307+0.018584i,-0.026535+0.014501i,-0.015237+0.016202i,-0.024333+0.011331i,-0.0047442+0.039431i,-0.026569+0.028017i,0.00025029-0.00074941i,-0.011917-0.015971i,-0.019898-0.0026196i,-0.0076221+0.013144i,0.017718+0.022204i,-0.00045509+0.0025304i,-0.0039193+0.00097286i,-0.012228-0.0047214i,0.011199+0.0010522i,0.011081+0.010008i,-0.0015868+0.0058849i,-0.0051983-0.0085013i,0.0063353-0.0025282i,-0.0034783-0.0039519i,0.0040478-0.0085652i,0.00896-0.0029424i,-0.0019098+0.010741i,0.012942-0.0062762i,0.0039106-0.0082447i,0.0035055-0.0096112i,0.0022618+0.00060723i,-0.0020636-0.0056594i,-0.0041601-0.0014182i,0.0026116+4.3784e-05i,-0.0091761+0.037524i,-0.0075641-0.0056628i,0.00019029+0.0011277i,-0.0012562-0.0074193i,0.0035596-0.00021277i,-0.018125-0.0077564i,-0.0016552-0.0039813i,0.0027424-0.0025894i,0.0036981-0.0018197i,-0.0027752-0.0082203i,-0.00027949+0.0073394i,0.00040541+0.003452i,-0.0033095+0.0048585i,-0.0084196+0.0013523i,-0.0066112-0.0011662i,-0.009599+0.027048i,-0.0029696+0.01474i,-0.026728-0.010473i,-0.0024065-0.0026265i,0.013902+0.0196i,-0.00064478+0.019165i,-0.00046534-0.0047314i
0.029626+0.033691i,0.017637+0.013964i,0.021659+0.023303i,0.010229+0.020063i,0.011989+0.0053725i,0.0054447-0.002877i,0.020614+0.0069989i,0.015835-0.0064569i,0.0068577-0.0083888i,0.003778+0.0028849i,0.0016999-0.0029382i,-0.00084267-0.0036457i,-0.0020678+0.0015911i,0.00042616-2.6471e-05i,0.0020589-0.00083633i,0.0034507-0.0021957i,0.0042261-0.0054306i,0.00016546+0.00017771i,-0.0039789+0.0015114i,0.000401+0.00011124i,-0.00060584-0.001038i,-0.0023605-0.00030653i,-0.0013699+0.0011234i,0.0071134+0.0072189i,-0.0014313+0.0025056i,0.0016081+0.0016067i,0.0008407-0.00015089i,-0.00051611+0.0029449i,-0.0012511+0.00083039i,-0.001422+0.0010178i,-0.0022697-0.0010082i,-0.0022805-0.00020251i,-0.00047284+1.8159e-05i,0.00059329+8.82e-05i,-0.0010759-0.00032629i,-0.0049031+0.010245i,0.0013892-0.00077261i,0.0011261+0.0011838i,0.001766+0.001949i,2.5312e-05-0.0010494i,-0.00075155-0.0012777i,-0.001314-0.002797i,0.00074496+0.0012905i,-0.00037364+0.0019493i,0.021468+0.015773i,-0.021562+0.018439i,-0.014728+0.019567i,-0.019079+0.013417i,0.0072551+0.035496i,-0.015262+0.019357i,-0.0057597-0.0032917i,-0.0196-0.016639i,-0.021332-0.0017142i,-0.0012002+0.0087889i,0.020646+0.015031i,-0.00094638+0.0024415i,-0.0025994+0.0048971i,-0.012492-0.00044755i,0.0097117-0.0031705i,0.013059+0.0072645i,0.0019664+0.0088329i,-0.0098092-0.0071975i,0.0025956-0.0044763i,-0.0035753-0.001926i,-0.001364-0.0079484i,0.0071131-0.0058036i,0.0030021+0.0088599i,0.0079609-0.0095621i,-0.0010929-0.0080839i,-0.00095983-0.0064399i,0.003722-0.00028148i,-0.0038196-0.004828i,-0.0023696+0.0011661i,0.0033299-0.00034672i,0.0097561+0.035108i,-0.009611-0.0036404i,0.00096257+0.00037919i,-0.0041875-0.0057285i,0.0041547-0.0016828i,-0.019228+0.00064414i,-0.002375-0.0028362i,0.0014285-0.0025892i,0.0035609-0.0035802i,-0.0048837-0.0063925i,0.0019254+0.0037468i,0.0017204+0.0025838i,-0.00010275+0.0058523i,-0.0063385+0.0045038i,-0.0073109-0.00012399i,-0.0036017+0.023806i,-0.00031373+0.016371i,-0.02855-0.0046125i,-0.0038553-0.0060062i,0.016686+0.016904i,0.0030584+0.020408i,-0.0029958-0.0051299i
0.033905+0.026859i,0.018813+0.008884i,0.026393+0.017848i,0.015242+0.01741i,0.014006+0.0034051i,0.0051246-0.0044755i,0.020047+0.002627i,0.014278-0.0095088i,0.0050392-0.0092163i,0.0039104+0.001457i,0.0011326-0.0035792i,-0.0012418-0.0019127i,-0.001314+0.001903i,0.0011966+0.00011642i,0.0017999-0.001276i,0.0026999-0.0023282i,0.0025115-0.006189i,0.00017705-0.00027106i,-0.003236+0.0021542i,0.00014835-0.00063023i,-0.0012909-0.0015105i,-0.0022276+9.905e-05i,-0.0010565+0.0012304i,0.008996+0.0027668i,-0.00024507+0.0033191i,0.0017912+0.00073009i,0.00032311-0.00051497i,0.00059053+0.0026098i,-0.00095141+0.0015638i,-0.0010319+0.0016195i,-0.0025932+0.00021261i,-0.0026642+0.00088543i,-0.00050406+0.00015267i,0.00059592-0.00026614i,-0.0010201+0.00067279i,-0.0013949+0.010542i,0.00085813-0.00086566i,0.0015214+0.00071867i,0.0018078+0.0012777i,-0.00038196-0.00088028i,-0.0012864-0.0013573i,2.7335e-05-0.001547i,0.00091732+0.0016437i,-0.0001143+0.0024758i,0.025897+0.011258i,-0.016221+0.021082i,-0.011592+0.023809i,-0.01304+0.012862i,0.018052+0.027898i,-0.0077723+0.01977i,-0.01191-0.0019358i,-0.026171-0.013462i,-0.014801+0.0053942i,0.001755+0.0024884i,0.021943+0.0081212i,-0.0013671+0.0025709i,-0.00088488+0.0049806i,-0.012524+0.0028482i,0.0058841-0.0073314i,0.014313+0.0031606i,0.0061427+0.0087017i,-0.013434-0.0038999i,0.00054406-0.0030921i,-0.0034678-0.00010117i,-0.0038315-0.0052408i,0.0045394-0.0071815i,0.0058828+0.007884i,0.0046493-0.0097991i,-0.0054281-0.0052409i,-0.0012561-0.0033646i,0.0040479-0.0025766i,-0.0070148-0.0027602i,-0.00020064+0.0010786i,0.0026858-0.0017766i,0.023157+0.026081i,-0.010454+1.9343e-05i,0.0014443-0.00028471i,-0.0040555-0.0037864i,0.0044036-0.0039426i,-0.015169+0.0085107i,-0.0026056-0.0016002i,0.00035961-0.0025303i,0.0017133-0.0042962i,-0.0064681-0.0036313i,0.0013549+0.0025518i,0.0023768+0.0013969i,0.0028488+0.0052544i,-0.0038349+0.0052189i,-0.0078974+0.0018188i,-0.00084256+0.019824i,0.0071879+0.016086i,-0.028223+0.00027528i,-0.0062593-0.0081961i,0.020012+0.0118i,0.0084655+0.020692i,-0.0051676-0.0044317i
0.036518+0.020143i,0.017993+0.0050361i,0.028313+0.011009i,0.018522+0.012098i,0.015359+0.00026571i,0.0040173-0.0059075i,0.018593-0.00074613i,0.011855-0.011991i,0.0035849-0.010006i,0.0034525+0.00085365i,5.7696e-05-0.0032259i,-0.00078166-0.0010496i,-0.001007+0.0020489i,0.0013737-1.3017e-05i,0.0013164-0.0015755i,0.0018844-0.0021233i,0.00065888-0.0058658i,9.0097e-05-0.00024376i,-0.0016366+0.0029685i,-0.00049974-0.00084447i,-0.0019892-0.0007832i,-0.0022713+0.0006046i,-0.00078645+0.0013115i,0.0080844-0.0014578i,0.00095809+0.0033788i,0.0014526+0.00018605i,-9.1598e-05-0.00032374i,0.0010969+0.0019275i,-0.0002809+0.0016147i,-0.00034134+0.0019625i,-0.0023088+0.0015659i,-0.0017287+0.0019984i,-0.00041686+0.00024262i,0.00027942-0.00040008i,-0.00050953+0.0011956i,0.0016314+0.009716i,0.00059543-0.00092273i,0.0014864-5.0284e-05i,0.0016616+0.0011592i,-0.00079758-0.00054691i,-0.0019341-0.00094099i,-0.00054223-0.0022338i,0.0015296+0.0018534i,0.00035189+0.0028073i,0.028857+0.0044758i,-0.010406+0.022678i,-0.0061476+0.026853i,-0.010838+0.0099177i,0.025777+0.015885i,-0.00061241+0.015989i,-0.017029+0.0028903i,-0.032247-0.0072835i,-0.031593+0.019756i,0.0010256-0.0034093i,0.021143+0.00099638i,-0.0014247+0.003458i,0.00019871+0.0066314i,-0.011694+0.0066317i,-0.00023487-0.007417i,0.014484-0.0017032i,0.010053+0.0064593i,-0.015403+0.00083929i,-0.00058412-0.0024954i,-0.0023594+0.0012516i,-0.0049746-0.0017615i,0.0023874-0.0078748i,0.0087092+0.0042015i,0.0020475-0.01026i,-0.0058028+0.00044791i,-0.00039548-0.0021604i,0.0025444-0.0047604i,-0.0070757+0.00049026i,0.00088487+0.00085118i,0.0019796-0.002522i,0.032379+0.010585i,-0.0094654+0.0047028i,0.0016248-0.0012869i,-0.0041726-0.0023482i,0.0025383-0.0065165i,-0.0086849+0.011195i,-0.0021086-0.0010507i,-0.0003459-0.0016804i,0.00053822-0.0040189i,-0.0057718-0.00096637i,0.0013147+0.0022712i,0.0019989+9.8955e-05i,0.0049051+0.0041809i,-0.0015898+0.0044013i,-0.0079502+0.0040406i,0.00064902+0.018486i,0.016108+0.0090847i,-0.025963+0.005247i,-0.01099-0.0094086i,0.019352+0.0060056i,0.014242+0.018454i,-0.0054375-0.003383i
0.038541+0.013602i,0.017712+0.0027295i,0.028616+0.0051581i,0.019802+0.0065505i,0.015662-0.0031495i,0.0027674-0.0068593i,0.01705-0.0030482i,0.0092132-0.013563i,0.0022005-0.010714i,0.0032513+0.00033233i,-0.00053638-0.002647i,-0.00036102-0.00096088i,-0.00069887+0.0025084i,0.0014578-0.0003699i,0.00085031-0.001608i,0.001659-0.0015344i,-0.00028865-0.0052474i,-2.6532e-05-8.2912e-05i,-0.00037019+0.0025937i,-0.0010927-0.00066115i,-0.0021807-0.00012877i,-0.001841+0.0012847i,-0.00049916+0.0014388i,0.0056844-0.0039812i,0.0020937+0.0031275i,0.0011222-0.00028151i,-0.00034986-9.7935e-05i,0.0013551+0.0013884i,0.00017467+0.0016371i,0.00056911+0.0019721i,-0.0013167+0.0024751i,-0.00098864+0.0023736i,-0.00045646+0.00018379i,0.0001882-0.00013151i,0.00017461+0.0014428i,0.0037914+0.0081291i,0.00016019-0.00089509i,0.0010937-0.00054502i,0.0018325+0.00087967i,-0.00077021-5.3181e-05i,-0.0021935-0.00045038i,0.0024065-0.0045584i,0.0021686+0.0014355i,0.00075123+0.0026089i,0.028982-0.0028186i,-0.0038385+0.022535i,0.00056289+0.027951i,-0.010168+0.0094038i,0.026567+0.0027892i,0.0022865+0.010598i,-0.018284+0.010608i,-0.034579+0.0026252i,-0.028647+0.020945i,-0.002514-0.007321i,0.016692-0.004917i,-0.00070963+0.0045061i,0.0039171+0.0064538i,-0.0092147+0.010124i,-0.0035011-0.0041216i,0.012034-0.0079933i,0.012716+0.0025083i,-0.016276+0.0064622i,-0.00082492-0.00050415i,-0.0011427+0.00184i,-0.003161+0.00046845i,-0.00082191-0.0075301i,0.0090629+0.00055501i,-0.00092287-0.0096896i,-0.0030575+0.0033053i,0.00037508-0.0023379i,0.00032156-0.0055719i,-0.0049738+0.002617i,0.0023815-0.00013561i,0.0013691-0.0026796i,0.031361-0.0074999i,-0.0052956+0.0076346i,0.00090768-0.0022572i,-0.0036514-0.0019453i,-0.00041523-0.0074481i,-0.0041323+0.010851i,-0.0021534-0.00094607i,-0.00018938-0.00039155i,0.00030429-0.0034129i,-0.0046445+0.0010415i,0.0016226+0.0022987i,0.00095432-0.00041988i,0.0067626+0.0011853i,-0.0011523+0.0025536i,-0.0066678+0.006497i,0.0029027+0.017893i,0.018302-0.0038659i,-0.02139+0.0060511i,-0.015896-0.007886i,0.018435+0.0015866i,0.017957+0.01246i,-0.006355-0.003381i
0.039709+0.0066604i,0.017952+1.825e-06i,0.028584-0.00080246i,0.0202+0.0010575i,0.01539-0.0063815i,0.001338-0.0076439i,0.016185-0.0047488i,0.0067677-0.014805i,0.00058267-0.011545i,0.0027295-0.00016432i,-0.00067121-0.0023178i,-0.00015622-0.00089918i,0.0001259+0.002994i,0.0014021-0.00062255i,0.0005572-0.0016118i,0.002138-0.001105i,-0.00097236-0.0052932i,0.00012379-0.00013192i,0.00034678+0.0020089i,-0.0014281-0.00022422i,-0.0018174+0.00049157i,-0.0011062+0.0014957i,-0.00012436+0.0014885i,0.0028621-0.0044402i,0.0034378+0.0022847i,0.0008251-0.0006448i,-0.00038112+0.00011469i,0.0015052+0.00092595i,0.00068579+0.0015638i,0.0012641+0.0014351i,-4.4642e-05+0.0027972i,-6.939e-05+0.0029192i,-0.0005398+0.00053203i,0.00034775-9.7221e-05i,0.00080113+0.0011806i,0.0050315+0.006139i,-0.00012518-0.0006993i,0.00075863-0.00064083i,0.0017511+0.00037737i,-0.0003981+0.00019769i,-0.0024605+0.00029052i,-0.0051507-0.0028677i,0.0025372+0.00091608i,0.0010737+0.00274i,0.027302-0.0096943i,0.0019126+0.020225i,0.0075606+0.026207i,-0.0090337+0.010079i,0.02332-0.007991i,0.0021474+0.0069289i,-0.01484+0.01823i,-0.031159+0.013094i,-0.021368+0.027965i,-0.0072923-0.0070675i,0.011876-0.0068696i,0.00069605+0.0047774i,0.0063251+0.0039168i,-0.005563+0.013104i,-0.0044113-0.0014278i,0.0058481-0.013111i,0.01285-0.0029371i,-0.013292+0.012345i,0.0002472+0.00035834i,-8.8235e-05+0.0016125i,-0.0016144+0.00086314i,-0.0028329-0.0055391i,0.0074351-0.0020337i,-0.0025144-0.0078342i,1.9769e-05+0.0037556i,0.00038278-0.0035624i,-0.0018441-0.0049607i,-0.0032837+0.0031863i,0.0022827-0.0021651i,0.0010607-0.0029356i,0.021163-0.022937i,-0.0011026+0.0080669i,-5.8149e-06-0.0021751i,-0.0039333-0.00093914i,-0.0035554-0.0067649i,-0.00077476+0.010174i,-0.001247+1.0558e-05i,0.0010669-0.00027695i,-0.00045896-0.0046737i,-0.0022856+0.0018742i,0.0027434+0.0015242i,0.00012235+0.00027021i,0.0077449+0.0023263i,-0.002194+0.0014319i,-0.004309+0.0078624i,0.0057777+0.016884i,0.012259-0.014274i,-0.019648+0.0028984i,-0.020971-0.0036286i,0.015317-0.0036281i,0.018537+0.0069812i,-0.0072821-0.0025467i
0.03941-0.00038196i,0.017301-0.0032595i,0.026362-0.0077699i,0.018443-0.0052394i,0.014614-0.0099588i,-0.00040948-0.0079249i,0.01573-0.0066936i,0.0039366-0.015941i,-0.0013628-0.011963i,0.0022629+6.5806e-05i,-0.0013938-0.0019619i,-0.00015594-0.0015802i,0.00112+0.0030466i,0.0011515-0.0009465i,0.00022013-0.0015335i,0.0027134-0.0014119i,-0.0023609-0.0053542i,-0.00015919-0.00030682i,0.00088556+0.0012627i,-0.0016727+0.00031408i,-0.0017207+0.00068877i,-0.00041327+0.0012776i,0.00019148+0.001407i,-0.0024056-0.0013774i,0.0040538+0.00037213i,0.00047271-0.00097493i,-0.00058924+0.00033885i,0.0014972+0.00055402i,0.0013067+0.0011478i,0.0015774+0.00072334i,0.0011995+0.0025459i,0.00086738+0.003185i,-0.00064966+0.00095574i,0.00039389-0.00014251i,0.0010145+0.00062786i,0.0058868+0.0043577i,-0.00043289-0.00051407i,0.00029999-0.0007344i,0.0019926+6.8236e-05i,4.1149e-05+0.00018174i,-0.0023879+0.0011897i,-0.0023825-0.00091438i,0.0027906+0.00019369i,0.0014615+0.0029638i,0.024114-0.015736i,0.0062102+0.01653i,0.013066+0.022252i,-0.0063867+0.011223i,0.017484-0.015736i,0.001167+0.0051896i,-0.0085189+0.022431i,-0.023211+0.019731i,-0.01083+0.031507i,-0.01071-0.0037738i,0.0085166-0.0071121i,0.0019032+0.0042211i,0.0061746+0.00059937i,-0.001124+0.013831i,-0.0049083+0.0009178i,-0.0031647-0.013051i,0.0099416-0.0071422i,-0.0087168+0.014693i,0.0015798-0.00045873i,0.00061552+0.0011782i,-0.0011+0.00025087i,-0.0031227-0.0036705i,0.0059114-0.002966i,-0.0032908-0.0070617i,0.001821+0.0026955i,-0.00069864-0.0051925i,-0.0033565-0.003631i,-0.0012674+0.0039036i,0.00073418-0.0036098i,0.00051507-0.0036763i,0.0035369-0.013926i,0.0021687+0.0066755i,-0.00049238-0.0021038i,-0.0031688-0.00077431i,-0.005714-0.0050673i,0.001642+0.0090301i,-0.0004112-0.00086001i,0.0017337-0.0010684i,-0.0030083-0.0045991i,-0.00083934+0.0010874i,0.0030173+0.0016298i,0.00036138+0.0013099i,0.005063-0.0010485i,-0.003713+0.0016591i,-0.0022293+0.0078297i,0.0092215+0.015862i,0.0033716-0.020385i,-0.023415+0.00068024i,-0.02262+0.0033783i,0.0090754-0.0062052i,0.018685+0.0020511i,-0.0068585-0.0023791i
0.038125-0.0070141i,0.016767-0.0056175i,0.021951-0.012412i,0.013963-0.0098275i,0.012673-0.013504i,-0.0019849-0.0076977i,0.015402-0.0088704i,0.00089068-0.016246i,-0.0032055-0.012282i,0.0025575+0.00053045i,-0.0017327-0.00094912i,-0.0010878-0.0017584i,0.0020711+0.0027933i,0.00071839-0.0010564i,-2.5893e-05-0.0014079i,0.0028559-0.0020016i,-0.0042661-0.0044921i,-0.00031363-0.00015219i,0.00097919+0.00058024i,-0.0015727+0.0010469i,-0.0015733+0.0012616i,-0.00034467+0.00074794i,0.00048455+0.0013365i,-0.0047388-0.0025315i,0.0033182-0.001244i,2.4361e-05-0.00093607i,-0.00045279+0.00074503i,0.0014387+0.00028414i,0.0014182+0.00039277i,0.0015852+0.00015606i,0.0022+0.00176i,0.0021073+0.0028678i,-0.00012614+0.0015607i,0.00036725-0.00018504i,0.00095284+0.00071386i,0.0058643+0.0024484i,-0.00061435-0.00019627i,-1.3236e-05-0.00059538i,0.0021529-0.00052985i,0.00038999+5.8084e-05i,-0.0019117+0.0021487i,-0.0017623+7.336e-05i,0.0027468-0.00058523i,0.0022947+0.0029399i,0.019524-0.020521i,0.009002+0.012141i,0.01617+0.017849i,-0.0027398+0.010936i,0.010991-0.020025i,0.00029405+0.0050947i,-0.0018357+0.023796i,-0.014944+0.021465i,0.00062085+0.03079i,-0.011181+0.00090682i,0.0067897-0.006918i,0.0031823+0.003267i,0.0047195-0.0013137i,0.0040013+0.01238i,-0.0041564+0.0038408i,-0.0097317-0.0076034i,0.0059312-0.0090525i,-0.0047339+0.015951i,0.0012604-0.0021532i,0.00098041+0.00057918i,-0.0012527+0.00020357i,-0.0026119-0.0023406i,0.0046987-0.003767i,-0.0044148-0.0063271i,0.002684+0.0009745i,-0.0039986-0.0055481i,-0.003975-0.0019865i,0.0010408+0.0028463i,-0.00030999-0.0039856i,-0.00062942-0.0041566i,0.0032371-0.015997i,0.0039935+0.0045883i,-0.0010464-0.0020923i,-0.0039481-0.00049512i,-0.0068179-0.0023432i,0.0031463+0.007884i,-0.00082303-0.0021601i,0.002045-0.0021473i,-0.0070133-0.00060373i,-0.00017961+0.00018978i,0.0036237+0.00083321i,0.0012414+0.0015886i,0.003542-0.0021192i,-0.004601+0.0031271i,-0.0005945+0.0071578i,0.01368+0.01392i,-0.0078946-0.02246i,-0.027715+0.0025938i,-0.02007+0.0099494i,0.0043799-0.0043257i,0.016104-0.0031399i,-0.0070029-0.0036923i
0.035718-0.013567i,0.016385-0.008853i,0.018161-0.014929i,0.0094617-0.011413i,0.0099382-0.016419i,-0.0032089-0.0071843i,0.015286-0.011812i,-0.0019743-0.016065i,-0.0053052-0.012277i,0.0032851+0.000278i,-0.0011484-0.00016402i,-0.0018217-0.00091675i,0.0028501+0.0020608i,0.00036251-0.0010046i,-0.00016323-0.0012856i,0.0029028-0.0025008i,-0.0055492-0.0028097i,-9.6787e-05-0.00025617i,0.00076241-1.9779e-05i,-0.001091+0.0015009i,-0.0011519+0.0015505i,-0.00042127+0.00061987i,0.00086188+0.0011949i,-0.0047227-0.00045497i,0.0024605-0.0019871i,-0.00027745-0.00078155i,-8.2993e-05+0.00078588i,0.0014868-8.094e-05i,0.0011237+0.00028385i,0.0014951-0.00038877i,0.0028561+0.00068254i,0.0027998+0.002035i,0.00069024+0.0014952i,0.00053587-0.00015685i,0.0013983+0.0009083i,0.0059545+0.00097012i,-0.0006121+0.00030948i,-0.00016728-0.00043384i,0.0017759-0.0013828i,0.00079431-0.00026469i,-0.00099564+0.0026083i,-0.0029841+0.0024802i,0.0023186-0.0012154i,0.0028697+0.0027919i,0.014219-0.023698i,0.0096234+0.0076044i,0.018122+0.01369i,-3.5198e-05+0.0091683i,0.0045128-0.022029i,0.00054967+0.0069662i,0.0046946+0.023247i,-0.007868+0.021262i,0.0092862+0.026464i,-0.0086557+0.0051554i,0.0052619-0.0077877i,0.0040798+0.0015852i,0.0038375-0.0024765i,0.0080221+0.0086866i,-0.0016983+0.0050097i,-0.011855-0.0010195i,0.0022121-0.0094857i,7.2298e-05+0.015298i,0.00021055-0.0030299i,0.0004632+0.00021939i,-0.0012912+0.00064993i,-0.0023354-0.0018011i,0.0034379-0.003415i,-0.0056977-0.0047886i,0.0022414-0.00016893i,-0.0066851-0.0028655i,-0.0034715-0.00046614i,0.0016916+0.00094641i,-0.0012274-0.0041553i,-0.0021717-0.0038009i,-0.0028231-0.015448i,0.0052102+0.0022842i,-0.0017424-0.0018306i,-0.0040871+0.0011523i,-0.0062071+0.00051019i,0.0048203+0.0070354i,-0.0026164-0.002652i,0.0016926-0.0034695i,-0.001618-0.0020907i,-0.0003591-0.0011718i,0.004176+1.3214e-05i,0.001847+0.0012074i,0.0020806-0.0020066i,-0.0049776+0.0049327i,0.00048633+0.0062056i,0.018268+0.010005i,-0.0187-0.018807i,-0.030764+0.0064322i,-0.014894+0.012996i,0.0029492-0.00247i,0.010912-0.0056931i,-0.0095295-0.004118i
0.031801-0.01949i,0.015022-0.012652i,0.014836-0.01709i,0.006111-0.011669i,0.0064884-0.018657i,-0.0043802-0.0066211i,0.014402-0.016028i,-0.0048059-0.015397i,-0.0077987-0.011768i,0.0037591-0.00015256i,-0.00042322-0.00015519i,-0.0019412+0.000241i,0.0032146+0.0011336i,0.00018013-0.00070498i,-0.00029747-0.0012775i,0.0026281-0.0032254i,-0.0060291-0.0007695i,-0.00018157-0.00054241i,0.00050526-0.00021928i,-0.00050471+0.0016963i,-0.00075217+0.0018747i,-0.00052178+0.00069391i,0.0011676+0.00084145i,-0.0036298+0.0020475i,0.0016215-0.0024497i,-0.0005177-0.0005332i,0.00018208+0.00059062i,0.0012371-0.00047955i,0.0012108+0.00017045i,0.001104-0.0009257i,0.0030471-0.00057167i,0.0034086+0.0011794i,0.0013533+0.0011545i,0.00061272-0.00050207i,0.0022424+0.00062469i,0.0058302-0.00031157i,-0.0001497+0.00078491i,-0.00022534-0.00018137i,0.0010278-0.0018162i,0.0010775-0.00074946i,-0.00015803+0.0028992i,-0.00044237+0.0032314i,0.0018062-0.0016287i,0.003581+0.0028781i,0.0088673-0.025493i,0.0084556+0.0046554i,0.019065+0.010079i,0.0015672+0.0083119i,-0.0017666-0.023332i,0.0035998+0.0089648i,0.010522+0.020601i,-0.00098257+0.01911i,0.015759+0.020103i,-0.0040403+0.007604i,0.0035398-0.0083017i,0.0035996-0.0012214i,0.0029904-0.003932i,0.0090033+0.0037539i,-0.00022218+0.0045213i,-0.011293+0.0055108i,-0.0014461-0.0087602i,0.00322+0.012647i,-0.0030557-0.0036265i,-6.1871e-06+0.00069909i,-0.0010384+0.0012514i,-0.0018931-0.0016449i,0.0035438-0.0020544i,-0.0060165-0.0024264i,0.0019687+0.00012631i,-0.006923+0.00049875i,-0.0023992+0.00021741i,0.0013667-0.00012657i,-0.0033937-0.0042666i,-0.0032839-0.0026665i,-0.0077915-0.012704i,0.0051966-0.00046137i,-0.002295-0.0012019i,-0.0028181+0.0022049i,-0.0047736+0.0022116i,0.0068144+0.0060275i,-0.0042344-0.0011398i,0.00033948-0.0047951i,-0.0030244-0.0016719i,-0.0017759-0.0016615i,0.0047263-0.0018794i,0.0022519+0.0010187i,0.0017865-0.0016333i,-0.0029934+0.0071367i,0.00085137+0.0051488i,0.021893+0.0040724i,-0.024411-0.010352i,-0.033167+0.012834i,-0.010246+0.013955i,0.0017077-0.00089571i,0.0076704-0.0043098i,-0.011545-0.002969i
