-0.024211-0.018855i,-0.032451-0.033052i,-0.021955-0.020041i,-0.032491-0.0206i,-0.023868+0.0042116i,-0.028795-0.017549i,-0.057949-0.043815i,-0.04078-0.041877i,-0.030805-0.023784i,0.0055728+0.0058747i,-0.0037212+0.0067006i,-0.011089+0.010832i,0.0040073+0.0069316i,-0.0038427-0.002784i,0.0029448+0.0016385i,0.004216+0.027974i,0.026449+0.032902i,-0.00014028+0.00026773i,-0.0030975-0.0028704i,0.0076174+0.0038667i,0.0022913+0.00076871i,-2.9013e-05+0.0024837i,-0.00053284+0.00038115i,-0.032584-0.00045233i,-0.003123-0.0048922i,3.2535e-05+0.0025494i,0.0040982-0.0010347i,0.00071808-0.0002433i,-0.00046122-0.00058397i,-0.00097924-0.0019408i,-0.0020561-0.00059338i,-0.0039065-0.0038109i,-0.0028919-0.0052903i,0.00037091-0.0013163i,0.00063626-0.0030252i,-0.0013331+0.025616i,0.0021665-0.0028922i,0.0023395-0.0039073i,0.0044993-0.002394i,-0.0066826-0.0017716i,0.00080819+0.0013631i,0.010537-0.00044246i,-0.0019317-4.4346e-06i,-0.0034675+0.001685i,-0.0084443-0.0018264i,-0.019064+0.021377i,-0.0082861-0.086693i,-0.0027472-0.061181i,-0.021197-0.052905i,-0.011021-0.046014i,0.054308-0.026586i,0.024374-0.067553i,0.04154-0.053997i,0.018685-0.038719i,0.0257-0.019736i,0.012259+0.011798i,0.02549-0.029377i,-0.011409-0.0012232i,-0.00084993-0.0011729i,-0.0075014-0.0020555i,-0.0050447-0.028975i,-0.020062+0.026953i,0.007258-0.009644i,-0.010526-0.0034316i,-0.00247-0.001776i,-0.00078135-0.014649i,-0.0081839+0.0049838i,0.0052456+0.010597i,-0.010476+0.030958i,0.0068774+0.0074571i,-0.0037335-0.0016954i,-0.0023123-0.0014356i,-0.012352-0.0054854i,0.00044057-0.0039529i,-0.032799+0.003117i,0.0032338-0.008834i,-0.0071245-0.0017847i,-0.005265-0.0028851i,0.0067756+0.0018007i,-0.010381+0.00063001i,0.0025514-0.00029384i,0.0060279+0.0076664i,0.0055459+0.00093683i,-0.0078828-0.0096894i,0.0024669+0.0083242i,-0.019441+0.0076983i,0.0031893+0.0058467i,-0.021302-0.0088988i,-0.027445-0.0048327i,0.0098671-0.061765i,0.018579-0.014656i,-0.051412-0.028622i,-0.023423+0.0033355i,0.019022+0.010191i,-0.027085+0.011896i,-0.012982-0.0076206i
0.0053288+0.005245i,0.036881+0.014999i,0.01975-0.0040734i,0.013321+0.0026097i,0.0084424-0.0019101i,0.015802-0.0074918i,0.0124+0.014428i,0.018727+0.020587i,0.0010268-0.0023152i,0.0012022+0.00079089i,0.0023794-0.0012912i,0.0013682-0.0039483i,0.00010765-0.0012476i,0.0021309-7.5433e-05i,0.0051566-0.0011872i,0.0061085+0.00033707i,0.0056825-0.0051747i,0.00011019-0.00089825i,-0.0021804-0.00017518i,0.00046114+0.0007027i,0.00016216-0.00021359i,-0.0022728-0.00046252i,-0.0015343-6.1711e-05i,0.0063241+0.0077521i,-0.00068987+0.00028861i,0.00037205+0.00084042i,0.00096682+0.00094991i,-1.013e-05+0.0012895i,-0.00040475-0.00021404i,-0.001222+3.934e-06i,0.00049217-0.0010623i,-0.00060156+0.00035714i,0.00014318+0.00071324i,-5.7405e-05+0.0005654i,-0.00044977-0.00088072i,-0.0087819+0.0068752i,0.00051873+0.00038354i,-0.00048722+3.6974e-05i,-0.00035879+0.0015298i,-0.00035216-0.0027832i,-0.0007238+3.4611e-05i,-0.00054043-0.00020602i,0.00086345+0.0015689i,0.003315-0.0022553i,0.00026172+0.0030083i,-0.04988+0.0088061i,-0.0034774+0.0293i,-0.013907+0.040816i,-0.0091489+0.065553i,-0.016654+0.044323i,-0.0055779+0.019793i,-0.0080797+0.014132i,-0.045338+0.0041994i,-0.024669-0.0075516i,0.015796+0.026259i,0.00045167+0.0053947i,-0.0070035+0.0020193i,-0.013972-0.0022456i,0.003871-0.00026536i,0.0077863+0.013219i,-0.0058235+0.0062178i,-0.0048169-0.0064428i,0.005833-0.0025943i,-0.0066125-0.0052844i,0.0035-0.0065434i,0.0039892-0.0021843i,-0.0024668+0.01002i,0.011122-0.0055301i,0.0062505-0.0046436i,0.005391-0.0085162i,0.002971+0.00080082i,-0.0019134-0.0062144i,-0.0034626-0.0014232i,0.0021972-0.0018247i,-0.010162+0.031039i,-0.0041672-0.00529i,0.0033371+6.1012e-05i,-0.00033282-0.0070749i,0.0031131-0.0019008i,-0.013187-0.0058192i,0.00087489+0.00081856i,0.0040085-0.0016853i,0.0026349-0.00061622i,0.0013679-0.0053885i,-0.0019186+0.0056114i,-0.00036012+0.0058732i,-0.0052629+0.006858i,-0.0050869+0.0022598i,-0.0057061+0.00023894i,-0.023731+0.019162i,-0.008768+0.014788i,-0.021684-0.0114i,-0.0083852-0.0098519i,0.0084965+0.020606i,-0.00043114+0.019891i,-0.0092521-0.0037595i
0.0058922+0.0033336i,0.038441+0.0073362i,0.018583-0.007864i,0.014018+0.0010286i,0.0091967-0.0032809i,0.014261-0.010651i,0.013266+0.011376i,0.021697+0.016552i,0.00033941-0.0026593i,0.0014755+0.00022836i,0.0022196-0.0016535i,-0.00024912-0.0028073i,-7.7417e-05-0.00070291i,0.0020758-0.00013339i,0.0044711-0.0022971i,0.0055116-0.00046317i,0.0032626-0.0056789i,0.00015061-0.00075077i,-0.0023485+0.00019515i,0.00092009+0.00013067i,2.6062e-05-0.00059049i,-0.0022744+0.00010389i,-0.0015008+0.00014017i,0.0098796+0.0044037i,-0.00098022+0.0011239i,0.00093117+0.00052665i,0.0010869+0.00034156i,0.00050282+0.0010591i,-0.00077492+0.00032125i,-0.0012348+0.00052653i,-9.8229e-05-0.0011301i,-0.00064535+8.3649e-05i,0.00026046+0.00057372i,0.00026091+0.00050842i,-0.00074335+0.00022296i,-0.0059309+0.0087554i,0.0003192+0.00015184i,-0.00032186+0.00040716i,0.00020391+0.0012372i,-0.0010593-0.0021369i,-0.00052346+3.9609e-05i,-0.0006033+0.00016144i,0.0010205+0.0013079i,0.0022812-0.0023218i,0.0016146+0.0029524i,-0.044626+0.016802i,-0.00052034+0.03036i,-0.0053143+0.041073i,0.0078129+0.062648i,-0.0055771+0.043384i,-0.0075721+0.015829i,-0.011072+0.011494i,-0.047102+0.0073111i,-0.020915-0.0095035i,0.021581+0.019822i,0.00049227+0.005256i,-0.0059182+0.006892i,-0.013707+0.0025992i,0.0023367-0.002024i,0.010338+0.011163i,-0.0021336+0.010525i,-0.0086521-0.004977i,0.0025733-0.0044513i,-0.0065551-0.0019505i,-0.00081456-0.0062966i,0.0025464-0.0037398i,0.0022811+0.0080133i,0.0068971-0.0081737i,0.0025329-0.0060919i,0.00082622-0.0057915i,0.0041182-0.00013185i,-0.003405-0.0050787i,-0.001918+0.00074499i,0.0020329-0.0020536i,0.005893+0.031113i,-0.0055776-0.0044165i,0.0036372-0.0019306i,-0.0034763-0.0060714i,0.0031085-0.00262i,-0.013335+0.00059858i,0.0016806+0.0010252i,0.0030355-0.002002i,0.0030214-0.0018246i,0.00011765-0.0057423i,-0.00038945+0.0029351i,0.0019055+0.0046458i,-0.0016275+0.0085884i,-0.0036807+0.0044771i,-0.0065198+0.001081i,-0.018403+0.018114i,-0.0061469+0.01699i,-0.024863-0.0065264i,-0.011631-0.012751i,0.011754+0.020035i,0.003132+0.021503i,-0.011997-0.0032119i
0.0056665+0.0017908i,0.038077-0.0010316i,0.017198-0.012162i,0.015344-0.0020564i,0.010098-0.0054227i,0.011879-0.013755i,0.01329+0.0083713i,0.023976+0.011803i,-9.1218e-05-0.0025009i,0.0011646-0.00029815i,0.0016758-0.0025612i,-0.00047163-0.0014817i,-3.7848e-05-0.00070103i,0.0020851-0.00054487i,0.0035131-0.0031233i,0.0047451-0.0012629i,0.0014521-0.0054783i,-9.0599e-06-0.00097896i,-0.0023279+0.00111i,0.0007789-0.00077595i,-0.0006345-0.00090587i,-0.0019999+0.00070223i,-0.0015693+0.0004167i,0.010373-0.00058826i,-0.00025475+0.0015621i,0.00086386-0.00011568i,0.00081665-5.6734e-05i,0.00092394+0.0005807i,-0.00044409+0.00070901i,-0.001061+0.00099076i,-0.00065247-0.00089167i,-0.0011454+0.00063885i,0.00050261+0.00048656i,0.00037914+0.00029838i,-0.00024316+0.00081318i,-0.0030131+0.0097131i,0.0001627+0.00018836i,-6.2609e-05+0.00034943i,0.00041468+0.00097642i,-0.001677-0.0013949i,-0.00042632-0.00011427i,-0.000358+0.00042638i,0.001165+0.001295i,0.0018649-0.0022896i,0.003597+0.0019322i,-0.038622+0.023041i,0.0040642+0.031235i,0.0033021+0.038352i,0.023187+0.05398i,0.0040656+0.042209i,-0.010827+0.014782i,-0.01371+0.011875i,-0.048016+0.013649i,-0.020059-0.012879i,0.024337+0.011665i,0.00081591+0.0050613i,-0.0036161+0.0085745i,-0.012983+0.0063164i,-8.4193e-05-0.003839i,0.012647+0.0081812i,0.002837+0.011507i,-0.011279-0.002148i,0.00049995-0.0032031i,-0.0059228+0.00084815i,-0.0029063-0.0040544i,0.00069447-0.0038167i,0.0048242+0.0071589i,0.0040408-0.0085056i,-0.0012107-0.0050771i,0.00055245-0.0031381i,0.004477-0.0023946i,-0.0053697-0.0033735i,-0.00075473+0.00048323i,0.00081698-0.002439i,0.018891+0.023603i,-0.0074022-0.002357i,0.0029345-0.0032634i,-0.0038664-0.004041i,0.0034961-0.0041223i,-0.010449+0.0059534i,0.0033737+0.00059884i,0.0021659-0.0024794i,0.0019536-0.0024176i,-0.0018436-0.0048779i,-0.0015289+0.0028222i,0.0029963+0.0030236i,0.0022698+0.0085338i,-0.0023172+0.0048952i,-0.0071641+0.0030197i,-0.016036+0.016492i,0.00041683+0.01745i,-0.025651-0.0020693i,-0.016048-0.013768i,0.016447+0.016822i,0.0086103+0.022436i,-0.014105-0.0011483i
0.0052429+0.00078867i,0.034812-0.0079421i,0.013838-0.016407i,0.015084-0.006411i,0.0099425-0.0085317i,0.0085551-0.015864i,0.012879+0.0063937i,0.024578+0.0067909i,-0.00013936-0.0028063i,0.00064696-0.00029984i,0.00053492-0.0027112i,-0.00025153-0.00079555i,-0.00050202-0.00045776i,0.0017871-0.00074019i,0.002312-0.0035983i,0.0039796-0.0015107i,9.4528e-05-0.0047481i,-0.00024127-0.00096581i,-0.0013623+0.0018893i,4.3907e-05-0.0011393i,-0.0011469-0.00039035i,-0.0015758+0.0014121i,-0.001475+0.00090221i,0.008236-0.0043421i,0.00038239+0.0014841i,0.00049485-0.00026621i,0.00064299-0.0001213i,0.00075964+5.5287e-05i,-4.4972e-05+0.00065281i,-0.00069119+0.0015171i,-0.0010492-0.0003414i,-0.00064522+0.0013107i,0.00061368+0.00015586i,0.00033443+0.00011905i,0.00035008+0.00078095i,5.6087e-05+0.0098315i,0.00024688+0.00020806i,-6.582e-05+0.00021544i,0.00050105+0.00090394i,-0.0017425-0.00054571i,-0.00053739-9.1407e-05i,-0.00019711+0.00041958i,0.0014732+0.001233i,0.0015946-0.0023453i,0.0050844-0.00038631i,-0.031479+0.027875i,0.0093363+0.031177i,0.0085197+0.034866i,0.035487+0.04053i,0.013554+0.03698i,-0.014669+0.017032i,-0.016832+0.014526i,-0.046922+0.021393i,-0.021992-0.015808i,0.024831+0.0028877i,0.0012087+0.0052705i,-0.00072441+0.011124i,-0.010854+0.0099897i,-0.0043582-0.0030605i,0.014634+0.003263i,0.0079727+0.0099754i,-0.012781+0.0017521i,-0.00045978-0.0025061i,-0.0042261+0.0026567i,-0.0035922-0.0012753i,-0.00036481-0.0032661i,0.0068559+0.0038654i,0.0014197-0.0084729i,-0.0035777-0.0019526i,0.0014121-0.0020165i,0.003192-0.0043791i,-0.0058067-0.00021386i,0.00022664+0.0007727i,0.00028226-0.0020713i,0.026032+0.01174i,-0.0078598+0.0012368i,0.0020114-0.0044094i,-0.0039866-0.0022983i,0.0020434-0.0063878i,-0.0058675+0.0081366i,0.0045359-0.0014912i,0.0012022-0.0021832i,0.0011217-0.0024924i,-0.0023506-0.0031586i,-0.0013746+0.0038518i,0.0032022+0.0012691i,0.0059032+0.0067002i,-0.0011665+0.0047686i,-0.0068911+0.0055127i,-0.014538+0.017548i,0.0089577+0.012259i,-0.024425+0.0029356i,-0.021829-0.01221i,0.018581+0.01226i,0.01512+0.020488i,-0.013635+0.00080914i
0.0051582+0.0001425i,0.031466-0.012638i,0.0097257-0.019018i,0.013634-0.010488i,0.0084589-0.011564i,0.005363-0.016981i,0.012675+0.0052376i,0.024309+0.002535i,-0.00018525-0.0032182i,0.00023035-0.00011347i,-0.00040298-0.0023247i,7.2495e-05-0.00058228i,-0.00069725+0.00020318i,0.001482-0.00098628i,0.0011997-0.0034974i,0.0036964-0.0013771i,-0.00066732-0.0038506i,-0.00069837-0.00088172i,-0.00053069+0.0018196i,-0.00060999-0.00097898i,-0.0012612+0.0001021i,-0.00075309+0.001745i,-0.001122+0.0013948i,0.0052899-0.00653i,0.00077864+0.0011464i,0.00034441-0.00023878i,0.00050178-0.0002987i,0.00044473-0.00013423i,5.5415e-05+0.00058111i,9.1169e-05+0.0017564i,-0.0010142+0.00023922i,1.3552e-05+0.0014384i,0.00049118-0.00013999i,0.00036155+0.00025331i,0.00088162+0.00064805i,0.0027897+0.009083i,0.00012192+0.00021478i,-0.0001924+0.00026318i,0.00089029+0.0008313i,-0.0015115+8.8395e-05i,-0.00064519-0.00018608i,-8.3191e-05+0.00041751i,0.0017434+0.00083538i,0.00093352-0.0027475i,0.0049998-0.0033345i,-0.023332+0.030389i,0.015845+0.029476i,0.014473+0.032358i,0.040287+0.024442i,0.019178+0.029962i,-0.015677+0.023026i,-0.017492+0.021155i,-0.044274+0.030718i,-0.026654-0.016595i,0.020575-0.0045748i,0.0023202+0.0053793i,0.0042486+0.010862i,-0.0077459+0.012623i,-0.0061529+0.00059972i,0.01354-0.0031001i,0.011846+0.0062831i,-0.012645+0.0061093i,-0.00066532-0.00073011i,-0.0025175+0.0034997i,-0.0018949+0.00063897i,-0.0018481-0.0021909i,0.0069767+0.0010391i,-0.00088503-0.0076121i,-0.003194+0.0013942i,0.0026819-0.0024604i,0.0011721-0.0054415i,-0.0040189+0.001721i,0.0014805+0.0002348i,0.00015928-0.0014413i,0.026862-0.00073832i,-0.0057152+0.004311i,0.00047596-0.0051524i,-0.0032194-0.0016109i,-0.00032975-0.0070706i,-0.0021062+0.0079536i,0.0039232-0.0035585i,0.0011666-0.0011276i,0.0013252-0.002118i,-0.001551-0.0026647i,0.00023586+0.0045756i,0.0020537+2.515e-05i,0.0075062+0.0032357i,-0.00055643+0.0036468i,-0.0052106+0.0080713i,-0.011201+0.018763i,0.011752+0.0012857i,-0.02057+0.0050025i,-0.026983-0.009033i,0.019943+0.0070901i,0.020071+0.01423i,-0.013971+0.0011582i
0.0052803-0.00085663i,0.028573-0.016892i,0.0059223-0.020659i,0.011192-0.014409i,0.0063478-0.014001i,0.0020121-0.017743i,0.013515+0.0043293i,0.023735-0.0015029i,-0.00036053-0.0039497i,-0.00018693+0.00026083i,-0.00080313-0.0016684i,0.00029302-0.0004835i,-0.00027965+0.0008772i,0.0010718-0.00099628i,0.00039968-0.0032i,0.0038857-0.0014349i,-0.00093191-0.003366i,-0.00075106-0.00054271i,9.745e-05+0.0016774i,-0.00098843-0.00060146i,-0.00093492+0.00040053i,0.00019529+0.0014791i,-0.00054669+0.0016525i,0.0018932-0.0073831i,0.0011808+0.00080429i,0.00024486-0.00031567i,0.00035331-0.00044589i,0.00029053-0.00018261i,0.00022485+0.00055419i,0.00074827+0.0014057i,-0.00074803+0.00057536i,0.00058654+0.0012428i,0.00023155-0.00019501i,0.00056695+4.4412e-05i,0.0010698-8.9919e-05i,0.0046352+0.0075145i,0.00017884+0.00023364i,-0.0001113+0.0004706i,0.00096217+0.00046784i,-0.001065+0.00044374i,-0.00096019-7.1886e-05i,4.4943e-05+0.00029019i,0.0018728+0.00053562i,0.00013492-0.0025876i,0.0041118-0.0058772i,-0.015793+0.030524i,0.021837+0.025458i,0.020405+0.028147i,0.039843+0.0098313i,0.022103+0.023341i,-0.012604+0.029727i,-0.013796+0.028767i,-0.037101+0.041203i,-0.031773-0.013821i,0.015218-0.0082952i,0.0036134+0.0047272i,0.0077886+0.0084574i,-0.0038552+0.014726i,-0.0053942+0.0034266i,0.0092924-0.0087742i,0.013264+0.00069842i,-0.010761+0.009349i,0.00066264+8.634e-05i,-0.00074802+0.0033321i,-0.00041872+0.00057983i,-0.0019713+2.1215e-06i,0.0056866-0.00072275i,-0.0025871-0.005929i,-0.00097815+0.0031973i,0.0027756-0.0042192i,-0.0010597-0.0051887i,-0.0026872+0.0019973i,0.0019437-0.00099778i,0.00081826-0.0012503i,0.022265-0.011337i,-0.0026161+0.005407i,-0.0011654-0.0048302i,-0.0031782-0.0011746i,-0.0028038-0.0065086i,0.00068217+0.0068832i,0.0030219-0.0048663i,0.0021099-0.0011057i,0.0012675-0.003136i,-0.0014329-0.0031152i,0.0014265+0.0046946i,0.00088238+0.00020628i,0.0071085+0.00070051i,-0.00091659+0.0028051i,-0.0020829+0.0094946i,-0.007641+0.018572i,0.007717-0.0078737i,-0.018256+0.003053i,-0.03211-0.0026239i,0.018733+0.000134i,0.020871+0.0076446i,-0.015055+0.0028875i
0.0051296-0.0018697i,0.024809-0.021176i,0.0016199-0.02243i,0.0070228-0.018035i,0.0036201-0.016287i,-0.0015852-0.017568i,0.015122+0.0025756i,0.022567-0.0055447i,-0.00093479-0.0045989i,-0.00036845+0.0011198i,-0.0011584-0.0012407i,0.0004407-0.0010031i,0.00027549+0.0010409i,0.00067626-0.00084029i,-0.00017322-0.0027499i,0.0041399-0.0020223i,-0.0013575-0.0031574i,-0.00099903-0.00044331i,0.00081287+0.0012789i,-0.0013985-0.00011502i,-0.00095412+0.00044768i,0.00065182+0.00078786i,-6.3795e-05+0.0016429i,-0.0015192-0.006705i,0.0012242-0.00019794i,1.8272e-05-0.00020665i,-0.00016542-0.00053238i,0.00013066-9.412e-05i,0.00050517+0.00034303i,0.0010525+0.00083689i,-0.00032859+0.00070886i,0.00080572+0.00096419i,-3.4455e-08-5.8942e-05i,0.00048969-0.0001817i,0.00050757-0.00084493i,0.0058267+0.0059441i,0.00026646+0.00023588i,-4.6745e-05+0.00053321i,0.0010112+0.0002783i,-0.00047845+0.00053783i,-0.0011389+0.00039328i,6.8787e-05+0.00026851i,0.0020715+8.8869e-05i,-0.00056136-0.0022595i,0.0021062-0.0080961i,-0.0094637+0.029025i,0.026005+0.019883i,0.025464+0.022666i,0.035264-0.0018408i,0.023187+0.018077i,-0.0063621+0.034137i,-0.0049229+0.033725i,-0.024958+0.048106i,-0.035579-0.0083772i,0.010123-0.009464i,0.0044734+0.0035614i,0.0094258+0.0045501i,0.0007044+0.014928i,-0.0044516+0.0051217i,0.0017178-0.010739i,0.011316-0.0044381i,-0.00828+0.011803i,0.0017654-0.0012074i,0.00047489+0.0025714i,-7.5473e-05-0.00017225i,-0.00028734+0.0013986i,0.0045454-0.00092735i,-0.0032408-0.0045481i,0.0014156+0.0033263i,0.0012383-0.0062217i,-0.0025005-0.0040811i,-0.0016339+0.0023371i,0.0014955-0.0023505i,0.00092101-0.0020757i,0.014111-0.017521i,3.6021e-05+0.005015i,-0.0021744-0.0040465i,-0.0029109-0.0010645i,-0.0045554-0.0054307i,0.0023177+0.0053848i,0.0016553-0.0064348i,0.0025415-0.0020374i,4.7994e-05-0.0036985i,-0.0025051-0.003412i,0.0036362+0.0044679i,0.00047426+0.0012741i,0.006566-0.0012096i,-0.0016625+0.002899i,0.00092007+0.0088592i,-0.0042809+0.018606i,0.00068722-0.01385i,-0.020262+0.00070775i,-0.033103+0.0059834i,0.012712-0.0042346i,0.020924+0.002171i,-0.014254+0.0049402i
0.005127-0.002952i,0.020693-0.024014i,-0.0037535-0.022762i,0.0014052-0.019603i,-2.7341e-05-0.017682i,-0.0045227-0.016387i,0.016727-0.00028553i,0.020514-0.0090675i,-0.0013973-0.00547i,0.00036708+0.0021958i,-0.0013946-0.00034639i,-0.00033107-0.0013276i,0.00083497+0.0011006i,0.00067636-0.00053812i,-0.00041882-0.002345i,0.0041121-0.0025764i,-0.0024535-0.0027035i,-0.0011662+4.0478e-05i,0.0010971+0.0005017i,-0.0013887+0.00076294i,-0.00087212+0.00082104i,0.0004995+7.0294e-05i,0.00037385+0.0015683i,-0.003883-0.0044385i,0.00039743-0.00061305i,-2.0105e-05-6.525e-05i,-0.00042357-0.00029868i,6.4467e-05+2.8659e-06i,0.00044689-2.9735e-06i,0.0010933+0.00040473i,4.6892e-06+0.00065901i,0.00094126+0.00062315i,5.7177e-05+8.9632e-05i,0.00035444-0.00024639i,-0.0002324-0.00052868i,0.0066126+0.0041585i,0.00038784+0.00014446i,6.063e-05+0.0007113i,0.0011339+8.1132e-05i,0.00012472+0.00025865i,-0.00095525+0.001021i,0.00014976+0.0001843i,0.0019031-0.00058985i,-0.0010794-0.0015785i,-0.00039129-0.0091997i,-0.0043762+0.026273i,0.028287+0.01421i,0.029776+0.01615i,0.028927-0.0096703i,0.023426+0.013928i,0.00093384+0.03617i,0.0044767+0.033826i,-0.011431+0.050122i,-0.036245-0.0013172i,0.0069586-0.0092677i,0.0051968+0.002303i,0.0088849+0.0011847i,0.0053482+0.013255i,-0.0028749+0.0070393i,-0.004705-0.0078991i,0.0080085-0.0070084i,-0.0050906+0.013689i,0.0012255-0.002974i,0.00069795+0.0016601i,-0.00028475-0.00019329i,0.0017387+0.0012878i,0.0041383-0.0013989i,-0.0041208-0.0032495i,0.0030348+0.0021303i,-0.0020509-0.0069559i,-0.0031161-0.0026051i,-0.00017372+0.0017319i,0.00081949-0.0031249i,0.00046075-0.0032497i,0.0057277-0.01915i,0.0016657+0.0038349i,-0.0027855-0.003482i,-0.0036946-0.000954i,-0.006011-0.0037073i,0.0029476+0.0040563i,-0.00086099-0.0075734i,0.0025868-0.0031955i,-0.00090861-0.0032548i,-0.0030587-0.0028663i,0.0050212+0.0032374i,0.00098073+0.0020063i,0.004806-0.0027846i,-0.0019264+0.0039214i,0.0031161+0.0071329i,0.00021587+0.018414i,-0.0090744-0.016302i,-0.024077+0.00099859i,-0.029953+0.014123i,0.0077029-0.003817i,0.01836-0.0038604i,-0.012738+0.0049578i
0.0049232-0.0046765i,0.016886-0.026702i,-0.00841-0.021134i,-0.0035365-0.018836i,-0.0037881-0.017984i,-0.0066894-0.015125i,0.017618-0.0043238i,0.018247-0.011968i,-0.0023141-0.0063362i,0.0017694+0.0022905i,-0.00089588+0.00040118i,-0.00095628-0.00078809i,0.0014307+0.00059083i,0.00074004-0.00052747i,-0.00058233-0.0020894i,0.004106-0.0031576i,-0.0030711-0.0014682i,-0.00079472+0.00029737i,0.00083929-0.00010629i,-0.00085901+0.0012516i,-0.0005491+0.00096905i,0.00011345-0.00027846i,0.00081318+0.0013448i,-0.0048521-0.0016344i,-0.00016196-0.0002947i,5.377e-06-1.1716e-05i,-0.00050122-0.00017301i,7.4155e-05+6.3038e-05i,0.00017396+3.8794e-05i,0.0010432-0.00010914i,0.00033455+0.00049382i,0.00078184+0.00039107i,0.00023982+7.8077e-05i,0.00039562-0.00023034i,-0.00036482+9.4138e-05i,0.0067115+0.0023402i,0.00033249+0.00010334i,0.00044631+0.00078746i,0.0011779-0.00043983i,0.0003837-0.00020143i,-0.00038681+0.0012291i,0.00016965-3.4309e-06i,0.0013564-0.001187i,-0.0013158-0.00088593i,-0.0029942-0.0096468i,-0.001575+0.022944i,0.029509+0.0089391i,0.031751+0.0080328i,0.022055-0.01474i,0.023576+0.011895i,0.0088797+0.036109i,0.012682+0.031799i,0.00077882+0.047717i,-0.034666+0.0054047i,0.0043756-0.0092867i,0.0060052+0.00040459i,0.0083226-0.0011053i,0.0090178+0.0098871i,6.8497e-05+0.0075219i,-0.0078257-0.0030606i,0.0041891-0.00818i,-0.0007158+0.013892i,-0.00063516-0.0038059i,6.0553e-05+0.001468i,-0.00034445-7.5706e-09i,0.0027467+1.7438e-05i,0.0037475-0.0011667i,-0.0042792-0.0015041i,0.0036152+0.00053372i,-0.0049381-0.0050366i,-0.00284-0.0014778i,0.00015191+0.00043475i,2.0529e-05-0.0039355i,-0.00079571-0.0036915i,-0.0012969-0.017803i,0.0030495+0.0022489i,-0.0037737-0.0028204i,-0.0040533+0.00064761i,-0.0066084-0.0012935i,0.0034965+0.0031415i,-0.0042818-0.0071203i,0.0021557-0.004698i,-0.0014702-0.002956i,-0.00329-0.0028557i,0.0062012+0.0019668i,0.0018025+0.0022147i,0.0029706-0.0026347i,-0.0016829+0.0045672i,0.0040213+0.0049783i,0.0052747+0.016129i,-0.01924-0.013496i,-0.027792+0.0037269i,-0.024634+0.018171i,0.0051238-0.0028581i,0.013056-0.0070825i,-0.014069+0.0051976i
0.0037902-0.006296i,0.012653-0.029387i,-0.011991-0.018935i,-0.0074575-0.017044i,-0.0075048-0.017508i,-0.00885-0.013984i,0.017188-0.0093701i,0.015713-0.014656i,-0.0039186-0.0071122i,0.0029036+0.0017299i,-0.00024903+0.00064544i,-0.0011162+7.9891e-05i,0.001515-0.00012265i,0.00080289-0.00058922i,-0.00086115-0.0019837i,0.0039785-0.0040059i,-0.0031345-0.00022814i,-0.00058151+0.00022599i,0.00061676-0.00037606i,-0.00029377+0.0014155i,-0.0002731+0.0010484i,-0.00024378-0.00030797i,0.0010909+0.00094168i,-0.0043796+0.0010458i,-9.9669e-05+0.00018788i,-8.8289e-06+3.681e-05i,-0.00054866+7.1529e-05i,0.00010926+7.9224e-05i,0.00021956+0.00011503i,0.00067174-0.00044595i,0.00051074+0.00013803i,0.00083252+0.00046536i,0.00032644-3.913e-06i,0.0003815-0.00053612i,-2.5903e-05+0.0004592i,0.0065807+0.00090485i,0.00048136+7.1351e-05i,0.00081178+0.00062806i,0.00064581-0.00080192i,0.00061542-0.00052142i,0.00016538+0.0012945i,7.2549e-05-1.5844e-05i,0.00056103-0.0012167i,-0.0012969+0.00013486i,-0.0055238-0.0092234i,-0.00063357+0.021361i,0.030053+0.0038972i,0.030834+0.0015209i,0.014812-0.017846i,0.026099+0.010739i,0.016354+0.03339i,0.020969+0.027397i,0.011622+0.041704i,-0.030239+0.010937i,0.0021343-0.008845i,0.0054725-0.002818i,0.0076685-0.0037774i,0.010154+0.0053725i,0.0019122+0.0064155i,-0.0081999+0.0023984i,0.00037591-0.0075474i,0.0025309+0.011506i,-0.0028042-0.0030244i,-0.00021866+0.0022431i,-0.00033447+0.00019752i,0.003168-0.0015828i,0.0044133-0.00040741i,-0.003324-0.00041897i,0.0036746+5.1828e-05i,-0.0057742-0.0026737i,-0.0022965-0.00090958i,-0.00035331+8.9062e-05i,-0.002167-0.0044709i,-0.0020587-0.0031443i,-0.0070013-0.015103i,0.0033748+3.8748e-05i,-0.0045034-0.0015399i,-0.0030025+0.0017816i,-0.0061992+0.00077836i,0.0040602+0.002245i,-0.0068667-0.0048548i,0.00026012-0.0062733i,-0.0024292-0.0024861i,-0.0047712-0.0021734i,0.0071886-0.00052211i,0.0029408+0.0023511i,0.0025964-0.002274i,-0.00059534+0.005721i,0.0039775+0.0028908i,0.0090895+0.011808i,-0.024799-0.0054211i,-0.030838+0.0090159i,-0.019719+0.021552i,0.003015-0.00077411i,0.0088854-0.0067932i,-0.014387+0.0070507i
