-0.023447-0.01865i,-0.03275-0.033703i,-0.022512-0.019599i,-0.032655-0.020359i,-0.023844+0.0041274i,-0.028674-0.017148i,-0.057919-0.044492i,-0.040371-0.040668i,-0.030715-0.019037i,0.0050725+0.0048571i,-0.0042554+0.0066386i,-0.01085+0.010866i,0.0039612+0.0071481i,-0.0037998-0.0025338i,0.0028541+0.0016168i,0.0042194+0.028516i,0.032819+0.024231i,-0.00013348+0.00010029i,-0.0034321-0.0027264i,0.0079483+0.0041766i,0.0019145+0.00063428i,-0.00049486+0.0026159i,-0.00055709+0.00039404i,-0.031274-0.00067626i,-0.0041108-0.0045371i,-0.00024962+0.0024483i,0.0047107-0.00053358i,0.00064214-0.00022438i,-0.00040111-0.00052463i,-0.0012416-0.0018363i,-0.0023018-0.00052528i,-0.0036407-0.0041097i,-0.0029262-0.0046555i,0.00059385-0.0013056i,0.00039891-0.0027782i,-0.0025851+0.02557i,0.0020744-0.0031268i,0.0024037-0.0039406i,0.0041513-0.0024873i,-0.0067343-0.00080428i,0.00065204+0.001235i,0.0044001-0.02005i,-0.0027535-0.00012145i,-0.0032917+0.0010475i,-0.0088627-0.003822i,-0.018668+0.021189i,-0.0083459-0.086621i,-0.0025572-0.061131i,-0.021434-0.054086i,-0.010754-0.046164i,0.053377-0.026668i,0.024063-0.067736i,0.041102-0.052833i,0.018828-0.039753i,0.025619-0.020011i,0.012147+0.012069i,0.025814-0.03005i,-0.011488-0.0040578i,-0.0010924-0.00093674i,-0.007182-0.0015188i,-0.005769-0.02875i,-0.021125+0.02676i,0.0076525-0.0097996i,-0.010555-0.0034548i,-0.0024562-0.0019121i,-0.00071305-0.014793i,-0.0081549+0.0047011i,0.0052925+0.010127i,-0.010103+0.030548i,0.0065566+0.0072273i,-0.0038491-0.001572i,-0.002449-0.0015384i,-0.012602-0.0065288i,0.00027366-0.003802i,-0.032693+0.0013686i,0.0029361-0.0092532i,-0.0069708-0.001649i,-0.005152-0.0028877i,0.0070137+0.0019861i,-0.010152+0.0001774i,0.0024309-0.00043683i,0.0064112+0.0080057i,0.0058189+0.0011646i,-0.007975-0.01003i,0.0025566+0.0081778i,-0.019166+0.0077768i,0.0028215+0.0060319i,-0.021458-0.0086657i,-0.027036-0.005255i,0.0092106-0.0615i,0.018611-0.014526i,-0.052047-0.026459i,-0.024294+0.0011074i,0.01929+0.010494i,-0.027111+0.011775i,-0.012595-0.0075748i
0.0061345+0.0048705i,0.036924+0.014577i,0.019653-0.0046366i,0.013093+0.0022912i,0.0084964-0.0020261i,0.015835-0.0078764i,0.012468+0.01443i,0.017794+0.019466i,0.0010897-0.0022353i,0.0011668+0.00088979i,0.0023891-0.0013185i,0.0012814-0.0038729i,0.00013384-0.0012454i,0.0020791-8.1652e-05i,0.0053224-0.0015532i,0.0056402+0.00079472i,0.0064513-0.0045677i,-1.0778e-05-0.00095203i,-0.0023044-0.00028495i,0.00064465+0.00077913i,0.00018999-0.00015038i,-0.0021424-0.00041895i,-0.0015648-7.4444e-05i,0.005653+0.0072391i,-0.00063878+0.00019662i,0.00031939+0.00083958i,0.00094415+0.00081718i,-6.425e-05+0.00097954i,-0.00048336-0.0003106i,-0.0011681-6.3623e-05i,0.00052725-0.0011755i,-0.00049284+0.00040838i,8.6729e-05+0.00063249i,1.1447e-05+0.00052033i,-0.00046354-0.0011482i,-0.013366+0.0073119i,0.00037933+0.0001851i,-0.00050803+3.6325e-05i,-0.00026324+0.00138i,-0.00049735-0.002787i,-0.0006126+0.00042916i,-0.00045575-0.0002966i,0.00073192+0.0014033i,0.0036015-0.0024376i,0.00047137+0.0031314i,-0.049518+0.0093324i,-0.0034863+0.029764i,-0.013762+0.041233i,-0.0092174+0.064876i,-0.015852+0.044031i,-0.0055915+0.019734i,-0.0084091+0.014053i,-0.046457+0.0044659i,-0.024673-0.0072932i,0.015054+0.025699i,0.00057314+0.0054382i,-0.0074684+0.0017313i,-0.014474-0.0019675i,0.0036146-0.000432i,0.0061594+0.013791i,-0.0061537+0.0064256i,-0.00505-0.0064837i,0.0059072-0.0026282i,-0.0064653-0.0054975i,0.0031949-0.0067563i,0.0042726-0.0020358i,-0.0019722+0.0097709i,0.01184-0.0053823i,0.0062043-0.0044194i,0.0053301-0.0081018i,0.0030144+0.00064679i,-0.0020307-0.0059001i,-0.0034938-0.0017225i,0.0020125-0.0017589i,-0.013312+0.034634i,-0.0042907-0.0053069i,0.0034993+0.00012334i,-0.00035867-0.0065421i,0.0034909-0.0018286i,-0.012873-0.0057917i,0.00076914+0.00083679i,0.0041344-0.0017775i,0.002407-0.00096759i,0.0010582-0.0051831i,-0.002222+0.0056293i,-0.00030565+0.0059542i,-0.0045546+0.0064544i,-0.0048152+0.0022884i,-0.0055708-0.00019252i,-0.024049+0.019987i,-0.0085498+0.014606i,-0.020646-0.012143i,-0.0096086-0.010244i,0.0087411+0.020194i,-0.00046981+0.02025i,-0.0082771-0.0040095i
0.0064531+0.0027677i,0.038554+0.0071139i,0.018407-0.0083037i,0.013787+0.00090399i,0.0091977-0.0034498i,0.014184-0.011078i,0.01329+0.011373i,0.021576+0.016727i,0.0003093-0.0024586i,0.0015182+0.00042327i,0.0021361-0.0017292i,-0.00029671-0.0028231i,-8.2136e-05-0.00067386i,0.0019909-8.7438e-05i,0.0044207-0.0027303i,0.0052396+0.00015591i,0.0038773-0.0053394i,0.00010423-0.00081448i,-0.0025522+4.4489e-05i,0.00095096+8.8792e-05i,7.3258e-05-0.00052176i,-0.002187+0.00016796i,-0.0015254+0.00011909i,0.0090587+0.004437i,-0.0009815+0.001022i,0.00095225+0.0004924i,0.0010351+0.00028343i,0.00047547+0.00091024i,-0.00089729+0.00030704i,-0.0012109+0.0004328i,-0.00019965-0.0012733i,-0.00054853+1.252e-05i,0.00013998+0.00058798i,0.0003376+0.000398i,-0.00086765-3.8545e-05i,-0.01859+0.014112i,0.00015512+4.5196e-05i,-0.00035685+0.00044962i,0.00022127+0.0011584i,-0.001112-0.0022591i,-0.00037571+0.00029303i,-0.00067617+7.6596e-06i,0.00086908+0.0012799i,0.0024152-0.0027869i,0.0017463+0.0031162i,-0.044333+0.017029i,-0.00038745+0.030693i,-0.0049986+0.041516i,0.00704+0.061937i,-0.0051903+0.042381i,-0.0077104+0.015772i,-0.011361+0.011746i,-0.047774+0.008129i,-0.020781-0.0091103i,0.020307+0.019827i,0.00058539+0.0052546i,-0.0063265+0.0069281i,-0.014426+0.002789i,0.0019921-0.0018975i,0.0095039+0.012095i,-0.002611+0.010934i,-0.008696-0.0050801i,0.0027672-0.0045025i,-0.0066744-0.0019375i,-0.0011224-0.006347i,0.0028066-0.0038096i,0.0025021+0.0076434i,0.0077287-0.0084029i,0.0028691-0.0061354i,0.00091538-0.0058492i,0.0039675-0.00022461i,-0.0038818-0.0045558i,-0.00202+0.00064837i,0.0020212-0.0019599i,0.0069815+0.032559i,-0.005907-0.0042556i,0.0037628-0.001935i,-0.0032734-0.0059273i,0.003461-0.0026504i,-0.0133+0.00036637i,0.0017433+0.0013194i,0.003153-0.0018905i,0.0027562-0.001971i,4.9674e-05-0.0052599i,-0.00047854+0.002922i,0.0019624+0.0046195i,-0.0011457+0.0077181i,-0.0033831+0.0045412i,-0.0064215+0.00058594i,-0.018609+0.019028i,-0.006059+0.016839i,-0.024743-0.0072078i,-0.012625-0.012502i,0.011671+0.019694i,0.0036607+0.021846i,-0.011076-0.0039104i
0.0059357+0.0011737i,0.038271-0.0012352i,0.016957-0.012412i,0.015203-0.0021531i,0.010049-0.0055682i,0.011471-0.014156i,0.013341+0.0084414i,0.025483+0.01216i,-6.0032e-05-0.0022117i,0.0013403-0.00021122i,0.0015622-0.0023699i,-0.00056721-0.0013961i,-5.4283e-05-0.00062962i,0.0020768-0.00047031i,0.0032001-0.0034964i,0.0047849-0.00057795i,0.0021799-0.0051643i,-8.0126e-05-0.0010421i,-0.0025779+0.0010204i,0.00071939-0.0007966i,-0.00057417-0.0008547i,-0.0019788+0.0007575i,-0.0016098+0.00041784i,0.0097738-0.00016554i,-0.00028596+0.0014796i,0.00084389-0.00014717i,0.00077839-0.00012884i,0.00083165+0.0004758i,-0.00049555+0.00075082i,-0.0010726+0.00088874i,-0.00072331-0.0009801i,-0.0010949+0.00054189i,0.00039697+0.00052984i,0.00044097+0.00016019i,-0.00040678+0.0006716i,-0.0034963+0.016662i,6.4604e-05+0.00015868i,-1.8178e-05+0.0004151i,0.0004106+0.00089241i,-0.0017536-0.0016214i,-0.00032687+0.00010904i,-0.0004771+0.00027144i,0.00119+0.0012841i,0.0017541-0.0027654i,0.0036767+0.0021683i,-0.038385+0.02306i,0.0041878+0.031509i,0.0036904+0.038471i,0.022187+0.053983i,0.0033944+0.041196i,-0.010814+0.014831i,-0.013937+0.012394i,-0.048146+0.014758i,-0.019621-0.012357i,0.02331+0.011934i,0.0008529+0.0049881i,-0.0038024+0.0088294i,-0.01366+0.0061404i,-0.00025739-0.0033749i,0.012315+0.0091223i,0.0027863+0.01208i,-0.011226-0.0023327i,0.00077973-0.003268i,-0.0059938+0.00083053i,-0.0030091-0.0039871i,0.00076909-0.0037984i,0.0047644+0.0066086i,0.0047208-0.0091637i,-0.0013131-0.0049361i,0.00055239-0.0030373i,0.0043604-0.0024114i,-0.0061579-0.0015027i,-0.00074293+0.00050772i,0.00088469-0.0024332i,0.019686+0.02341i,-0.0076936-0.0020375i,0.0029736-0.0031917i,-0.0037057-0.0043074i,0.003767-0.0041832i,-0.010532+0.005725i,0.0036526+0.00063987i,0.0023282-0.0023015i,0.0018737-0.0024646i,-0.0015138-0.0047891i,-0.0015371+0.0028152i,0.0030059+0.0028651i,0.0021922+0.0074334i,-0.0019172+0.0048983i,-0.0073176+0.0025109i,-0.015966+0.017465i,0.0005335+0.017435i,-0.02594-0.0024445i,-0.016308-0.013022i,0.016546+0.016876i,0.0091574+0.022365i,-0.013646-0.0020467i
0.0052685+0.00029869i,0.034973-0.0081702i,0.013742-0.01651i,0.014967-0.0064343i,0.0098736-0.0086855i,0.0079446-0.015923i,0.013031+0.0064387i,0.026506+0.0055527i,-6.2047e-05-0.002482i,0.00079233-0.00027251i,0.00082408-0.0023574i,-0.00021196-0.00074628i,-0.00050024-0.0003923i,0.0017491-0.00067147i,0.0018149-0.0037288i,0.004364-0.00090945i,0.0007743-0.0047142i,-0.00031723-0.0010088i,-0.0015468+0.0019516i,6.2866e-06-0.001139i,-0.0010515-0.00038067i,-0.0015882+0.0014427i,-0.0015127+0.00091108i,0.0081767-0.004042i,0.00021142+0.0014101i,0.0004813-0.00029028i,0.00066897-0.00012577i,0.00066345-7.6769e-06i,-5.9833e-05+0.00065512i,-0.0007623+0.0014054i,-0.0011415-0.00043983i,-0.00061548+0.0012366i,0.00052745+0.00029873i,0.00032796+2.7869e-05i,0.00019858+0.0007423i,0.0014022+0.012343i,0.00017611+0.0002418i,-2.5576e-05+0.00022594i,0.00050808+0.00080995i,-0.00198-0.00065073i,-0.00047269+4.0239e-05i,-0.00027551+0.00030629i,0.0016152+0.001112i,0.0011776-0.0026403i,0.005269-7.0636e-05i,-0.031135+0.027924i,0.0095493+0.031327i,0.0089562+0.034638i,0.034631+0.040842i,0.012736+0.036847i,-0.014407+0.01707i,-0.016979+0.01529i,-0.046487+0.022587i,-0.0214-0.015594i,0.024731+0.0036924i,0.001268+0.0053034i,-0.00084372+0.011418i,-0.011572+0.0097016i,-0.0040923-0.0024077i,0.014939+0.0040711i,0.0081221+0.010416i,-0.012773+0.0014961i,-9.2298e-05-0.0026673i,-0.0042317+0.002765i,-0.0036291-0.001278i,-0.00012942-0.0034184i,0.0065432+0.0034928i,0.0018354-0.0091872i,-0.0033177-0.0018316i,0.0012359-0.0018666i,0.0030315-0.0045314i,-0.0064377+0.000381i,0.00036426+0.0008377i,0.00037879-0.0020571i,0.026544+0.011509i,-0.0077931+0.0016054i,0.0021403-0.0042927i,-0.0042218-0.0026402i,0.002113-0.0063781i,-0.0057369+0.0078756i,0.0045423-0.0017314i,0.0014099-0.0019728i,0.0012654-0.0025376i,-0.0021587-0.0032618i,-0.0016676+0.0040055i,0.0030115+0.00116i,0.0053294+0.0062576i,-0.00081286+0.0045043i,-0.0073078+0.0050838i,-0.01402+0.018474i,0.0095288+0.012223i,-0.024899+0.003046i,-0.021467-0.011735i,0.018631+0.012075i,0.015606+0.020253i,-0.013442-0.00027206i
0.0051125-0.00027904i,0.031647-0.01286i,0.0096977-0.019092i,0.01357-0.01042i,0.0083714-0.011734i,0.0048565-0.016679i,0.012912+0.0052134i,0.025316+0.00028499i,-8.8454e-06-0.0030387i,0.00035358-0.00017291i,4.6214e-06-0.0026898i,0.00013733-0.00055482i,-0.00066042+0.0002522i,0.0014607-0.0009012i,0.0007748-0.0032853i,0.0043248-0.00098767i,1.4627e-06-0.0039262i,-0.00075382-0.00093105i,-0.00061411+0.0018548i,-0.00064557-0.00096546i,-0.0011756+7.761e-05i,-0.00079441+0.0017564i,-0.0011547+0.0014172i,0.0055923-0.0064537i,0.00054755+0.0012405i,0.00031053-0.00030847i,0.00051651-0.00029914i,0.00039501-0.00011448i,7.1054e-05+0.00062153i,-6.0201e-05+0.0016903i,-0.0011403+0.00015881i,-6.5841e-05+0.0013732i,0.00052323-7.0488e-05i,0.00033214+0.00016455i,0.00076653+0.00062672i,0.0029785+0.0085964i,0.00016812+0.00026127i,-0.00023222+0.00026572i,0.0008502+0.00067056i,-0.0017228+0.00027286i,-0.00066059-0.00017179i,-0.00016771+0.00032346i,0.0018821+0.00056179i,0.00048607-0.0024261i,0.0052635-0.0029556i,-0.022938+0.030378i,0.015852+0.029644i,0.014597+0.032037i,0.03964+0.025009i,0.018611+0.030285i,-0.015543+0.022848i,-0.017396+0.022154i,-0.043194+0.031161i,-0.02629-0.016208i,0.02105-0.0042823i,0.00254+0.0054584i,0.0042587+0.01118i,-0.0083137+0.012567i,-0.0054732+0.00089723i,0.014347-0.0027934i,0.012266+0.0065739i,-0.012529+0.0058735i,-0.00048701-0.0010442i,-0.0024953+0.0036641i,-0.0018866+0.00060578i,-0.0018983-0.0025548i,0.006379+0.00093883i,-0.00070125-0.0081759i,-0.002958+0.0012677i,0.0026688-0.0021984i,0.00093478-0.0054432i,-0.0039434+0.0017079i,0.0016889+0.00012325i,0.00031069-0.0015668i,0.026375-0.0010529i,-0.0054852+0.0043228i,0.00069647-0.0050402i,-0.0034881-0.0017582i,-0.00050946-0.0069367i,-0.0022013+0.0076442i,0.0032714-0.0035015i,0.0014133-0.00099111i,0.0012941-0.0023121i,-0.0014357-0.0024889i,0.0003637+0.0051339i,0.001908+8.6952e-05i,0.0060223+0.0028102i,-0.00051745+0.0034001i,-0.0055624+0.0078077i,-0.010644+0.019484i,0.012298+0.00064483i,-0.020923+0.005473i,-0.02641-0.0091746i,0.019971+0.0071409i,0.020242+0.013787i,-0.013897-1.264e-05i
0.0050625-0.0012366i,0.028695-0.017238i,0.0058519-0.020743i,0.011206-0.014298i,0.0062184-0.014105i,0.0017804-0.017274i,0.013761+0.00417i,0.02314-0.0034384i,-0.0001649-0.0039873i,-0.00015184+0.000143i,-0.00094117-0.001922i,0.00039331-0.00051276i,-0.00018283+0.00090616i,0.0011233-0.000914i,0.00024681-0.0028271i,0.0045362-0.001463i,-0.00028413-0.0038856i,-0.00087553-0.00062021i,8.2448e-06+0.0016731i,-0.0010088-0.00056255i,-0.0009032+0.00037949i,0.0001336+0.0015084i,-0.0005565+0.0016918i,0.0023757-0.0073936i,0.0011294+0.0010879i,0.00016174-0.0003501i,0.00040476-0.00042492i,0.0002633-0.00016095i,0.00031247+0.00056528i,0.00057861+0.0014089i,-0.00089738+0.00057719i,0.00044008+0.0012136i,0.00030133-0.00021709i,0.00048455-2.585e-05i,0.00091944-7.068e-05i,0.0042896+0.0072166i,0.00027783+0.00029281i,-0.00013637+0.00048612i,0.00082107+0.00031829i,-0.0011328+0.00071195i,-0.00090303+5.647e-05i,-6.4105e-05+0.00023627i,0.0018364+0.00024909i,-0.00036244-0.0037034i,0.0044932-0.0055654i,-0.015614+0.030291i,0.021815+0.025536i,0.02035+0.027913i,0.039464+0.010643i,0.021876+0.023753i,-0.01277+0.029556i,-0.013108+0.029701i,-0.036429+0.040855i,-0.031108-0.013314i,0.0158-0.0080023i,0.0038797+0.0046035i,0.0078159+0.0087004i,-0.0043113+0.014959i,-0.004788+0.003411i,0.010192-0.0089341i,0.013644+0.00058219i,-0.011149+0.009083i,0.00042893-0.00012927i,-0.001029+0.003673i,-0.00035987+0.00047972i,-0.0022463-5.9699e-05i,0.0052513-0.00047272i,-0.0024826-0.0061557i,-0.00090369+0.0031318i,0.0028528-0.0041581i,-0.001136-0.0050172i,-0.002604+0.0019264i,0.0020518-0.0011681i,0.0008256-0.0014469i,0.021686-0.011292i,-0.0024989+0.0052867i,-0.00079537-0.0048595i,-0.0033505-0.0011401i,-0.0029591-0.0063679i,0.0004772+0.0066845i,0.0026947-0.004272i,0.0022555-0.0012546i,0.001011-0.0031051i,-0.00095886-0.0029209i,0.002826+0.0045286i,0.00082043+0.00040113i,0.0089045+0.0031084i,-0.00096191+0.0025467i,-0.0024927+0.0093911i,-0.0068691+0.019247i,0.0074928-0.0084614i,-0.018402+0.0032098i,-0.031874-0.0032127i,0.018547+0.00048109i,0.021104+0.0071616i,-0.014933+0.001751i
0.0048745-0.0020639i,0.024735-0.02162i,0.0015208-0.022469i,0.0070954-0.01798i,0.0034926-0.016272i,-0.0015531-0.017131i,0.015288+0.0022372i,0.021463-0.0066515i,-0.00085028-0.0047483i,-0.00030674+0.0010198i,-0.0012692-0.0012881i,0.00048362-0.0010933i,0.00035644+0.00096932i,0.00078761-0.00082548i,-0.00010113-0.0024312i,0.0046716-0.0024206i,-0.00091574-0.0039237i,-0.0011872-0.00043209i,0.00074915+0.0012492i,-0.0013648-5.4686e-05i,-0.0009339+0.00042555i,0.00062775+0.00083956i,-4.7638e-05+0.0016866i,-0.00086068-0.0073594i,0.0014326+0.00024772i,-6.6303e-05-0.00017686i,-3.1614e-05-0.00079962i,9.2873e-05-0.00010291i,0.0005926+0.00027198i,0.00092036+0.00090331i,-0.00043307+0.00081114i,0.00064716+0.00077884i,-2.9865e-06-0.00010189i,0.00037521-0.00014594i,0.00044319-0.00074802i,0.0054671+0.0059928i,0.00041375+0.00025399i,-6.1183e-05+0.00049371i,0.00089688+0.00021442i,-0.000414+0.00072283i,-0.0009662+0.00017912i,5.2546e-05+0.00025271i,0.0018932-0.00025751i,-0.00099166-0.0026432i,0.0026422-0.0078753i,-0.0094231+0.028823i,0.026012+0.020062i,0.025455+0.022413i,0.035316-0.00091714i,0.02316+0.018435i,-0.0067392+0.034071i,-0.0035727+0.034388i,-0.0248+0.047571i,-0.034782-0.0080864i,0.010737-0.0095172i,0.004682+0.0033283i,0.009479+0.0048486i,0.00020378+0.015266i,-0.003833+0.0050509i,0.0024498-0.011228i,0.01151-0.0046234i,-0.0083364+0.011656i,0.0015222-0.0011618i,0.0006376+0.0023588i,-5.7054e-05-0.0002664i,-0.00052225+0.001529i,0.0042891-0.00069271i,-0.0030632-0.0046082i,0.0015422+0.0032734i,0.0012942-0.0062831i,-0.0024286-0.0040449i,-0.0015821+0.0023274i,0.0014633-0.0024011i,0.0008459-0.0022204i,0.013701-0.017156i,2.4853e-05+0.0049044i,-0.0018528-0.004326i,-0.0029727-0.00092023i,-0.0046079-0.0052585i,0.0020887+0.0053005i,0.0015012-0.0060527i,0.0025687-0.0021755i,-0.00010127-0.0036193i,-0.0018541-0.0035454i,0.0034307+0.0036668i,0.00058168+0.0014908i,0.0067421-0.00056252i,-0.0019097+0.0026714i,0.00050911+0.0089676i,-0.0032992+0.018866i,0.0002848-0.013901i,-0.020641+0.00067478i,-0.033057+0.0055243i,0.012629-0.0038142i,0.020848+0.0014057i,-0.014285+0.0039764i
0.0048876-0.0030622i,0.020543-0.024373i,-0.0038668-0.022807i,0.0014976-0.019616i,-0.00016479-0.017582i,-0.0043322-0.016086i,0.016686-0.00063242i,0.019427-0.0095593i,-0.0014309-0.0056593i,0.00038268+0.0020003i,-0.0015165-0.000374i,-0.00034516-0.0013888i,0.00082337+0.0010312i,0.0006966-0.00058543i,-0.00021254-0.0021691i,0.0042735-0.0032964i,-0.0023579-0.003813i,-0.0013484+0.00013811i,0.0010235+0.00049059i,-0.0013067+0.00076994i,-0.00082535+0.00072532i,0.00053717+7.9836e-05i,0.00042552+0.0015863i,-0.0027645-0.005929i,0.00066683-0.00012069i,-7.9838e-05-1.4439e-05i,-0.0027124-0.00126i,2.4253e-05+1.21e-05i,0.00044043-8.8221e-05i,0.0010258+0.0004999i,-1.9925e-06+0.00079326i,0.0012921+0.00028058i,1.6066e-05+9.5617e-05i,0.00025526-0.00018379i,-0.00022208-0.00048536i,0.0067141+0.0040182i,0.0004501+0.00012934i,-5.3151e-06+0.00065428i,0.0010649+5.3728e-05i,0.00020945+0.00029193i,-0.00069615+0.00060753i,0.00021075+0.00019835i,0.0015202-0.00083095i,-0.0014252-0.0016326i,8.5793e-05-0.0091756i,-0.0044739+0.026395i,0.028395+0.014373i,0.029651+0.015938i,0.029373-0.008813i,0.023486+0.014209i,0.00044428+0.036173i,0.006195+0.033937i,-0.011559+0.049408i,-0.035486-0.0011764i,0.0074724-0.0094099i,0.0052988+0.0020293i,0.0091402+0.0014091i,0.0051308+0.013717i,-0.0021969+0.0067568i,-0.0042511-0.0087732i,0.0079866-0.007148i,-0.0052958+0.01345i,0.001161-0.0029667i,0.00097909+0.0015489i,-0.00026755-0.00029779i,0.0017417+0.0014699i,0.0039766-0.0010178i,-0.0038961-0.0031942i,0.0032268+0.0020598i,-0.0021152-0.0072645i,-0.0030953-0.0025784i,-0.00015409+0.0016873i,0.00090255-0.0032392i,0.00039615-0.0033657i,0.0055646-0.018808i,0.0015726+0.0038324i,-0.0027433-0.0038435i,-0.0036634-0.00078697i,-0.0060298-0.0035225i,0.0028257+0.0040685i,-0.0010063-0.0071313i,0.0026953-0.0033338i,-0.00098319-0.0030574i,-0.002683-0.0032372i,0.0044726+0.0031009i,0.0013074+0.0021549i,0.0052995-0.0023647i,-0.0021327+0.0036084i,0.0027889+0.0074096i,0.001097+0.01835i,-0.0093253-0.016254i,-0.02441+0.0011848i,-0.029981+0.013462i,0.0074912-0.0034638i,0.017778-0.0040094i,-0.013196+0.0042779i
0.0046484-0.0046896i,0.016742-0.02707i,-0.0085561-0.021164i,-0.0034816-0.018961i,-0.0038963-0.017831i,-0.0064212-0.014965i,0.017436-0.0046283i,0.017342-0.011993i,-0.0024063-0.0065492i,0.0016607+0.0020471i,-0.0010335+0.00045928i,-0.00096395-0.00080502i,0.0014177+0.00058465i,0.00072845-0.00055804i,-0.00035021-0.0020536i,0.0037779-0.0039621i,-0.0033227-0.0025873i,-0.00092634+0.00043063i,0.00076864-0.00013985i,-0.00079121+0.0011947i,-0.00047864+0.00091476i,0.00016307-0.00028977i,0.00086298+0.0013244i,-0.0042502-0.0022394i,0.00018214-0.00012369i,-3.5928e-05+3.7909e-05i,-0.00073412+8.945e-05i,6.0737e-05+6.8885e-05i,0.00014854+1.3158e-05i,0.0010242-1.7789e-05i,0.00039717+0.00057199i,0.00086497+0.0004284i,0.00021879+9.3288e-05i,0.00037703-0.00018939i,-0.00032027+6.5591e-05i,0.007354+0.002347i,0.00032143+8.891e-05i,0.00034029+0.00074582i,0.0012026-0.00045652i,0.00043058-0.00028673i,-0.00019002+0.0008098i,0.00022333-3.3468e-05i,0.00092146-0.0012377i,-0.0015713-0.00090219i,-0.0026798-0.0096823i,-0.0016125+0.023271i,0.029637+0.0090914i,0.03161+0.007952i,0.022693-0.014179i,0.023556+0.01213i,0.0082843+0.036304i,0.014396+0.031127i,0.00013795+0.047188i,-0.033968+0.0056062i,0.0046599-0.0095925i,0.0059231+0.00020457i,0.0086713-0.0010607i,0.0091732+0.010262i,0.0006016+0.0070059i,-0.0078295-0.003999i,0.0042513-0.0081466i,-0.00083864+0.013834i,-0.00089732-0.0041743i,0.00016024+0.0012465i,-0.00035113-6.3773e-05i,0.0027961-8.9878e-05i,0.0037269-0.00056592i,-0.0041543-0.0014757i,0.0036049+0.00044801i,-0.0052131-0.0054398i,-0.0023878-0.0010434i,0.00018025+0.00047473i,0.000113-0.0040497i,-0.0008867-0.0037526i,-0.0014357-0.017592i,0.0030066+0.0023659i,-0.0039458-0.0031888i,-0.0038426+0.00075653i,-0.0063718-0.0012328i,0.0033771+0.0031511i,-0.0041526-0.0070481i,0.002207-0.0047386i,-0.0014688-0.0028528i,-0.0033277-0.0032465i,0.0058323+0.0020765i,0.0021508+0.0021494i,0.0034619-0.0023957i,-0.0019708+0.0043375i,0.0039432+0.0053456i,0.0058808+0.015882i,-0.019541-0.013584i,-0.027886+0.0040183i,-0.025087+0.017443i,0.0050752-0.0023768i,0.012764-0.0066218i,-0.014659+0.0049432i
0.0035797-0.0062106i,0.012479-0.029704i,-0.012104-0.018963i,-0.0074971-0.017237i,-0.0075664-0.017278i,-0.0086325-0.013912i,0.016893-0.0095619i,0.015173-0.014483i,-0.0041569-0.0072644i,0.0027241+0.0013206i,-0.00030935+0.00075961i,-0.0011096+6.3601e-05i,0.0015528-9.7409e-05i,0.00079723-0.00059425i,-0.00068447-0.0020798i,0.0031852-0.0046288i,-0.0040301-0.0013173i,-0.0006427+0.00033298i,0.0005373-0.00036311i,-0.00025563+0.0013366i,-0.00028479+0.0010611i,-0.00020452-0.00029666i,0.0011155+0.00087459i,-0.0046874+0.00067343i,-0.00011193+9.3715e-05i,-6.5215e-06+0.00011726i,-0.00046755+0.00030795i,9.1997e-05+8.6243e-05i,0.00019018+0.00010978i,0.00069085-0.00041369i,0.00051874+0.00016734i,0.0010165+0.00056657i,0.0002899+3.5913e-05i,0.000441-0.00053886i,-1.1315e-05+0.00041726i,0.0082801+0.00090518i,0.00036223+6.3787e-05i,0.00071819+0.00063128i,0.00060957-0.00072743i,0.00062973-0.00060516i,0.00033359+0.00078057i,0.00010211-0.0001135i,0.00018561-0.0010122i,-0.0015831+0.00017389i,-0.0051584-0.0091404i,-0.0006183+0.021622i,0.030305+0.004081i,0.030773+0.0015339i,0.015513-0.017589i,0.026076+0.010935i,0.015893+0.033747i,0.022323+0.026179i,0.010542+0.041706i,-0.029167+0.011171i,0.0020214-0.0091917i,0.0052101-0.0028726i,0.0079377-0.0039952i,0.01042+0.0055191i,0.0022545+0.0059697i,-0.0087846+0.0015984i,0.00050968-0.0076796i,0.0021943+0.011624i,-0.0032001-0.0031068i,-0.00031297+0.0019938i,-0.00026945+0.00018869i,0.0030002-0.0016557i,0.0048747+0.00019453i,-0.0033425-0.00045671i,0.0036338-6.7068e-05i,-0.0064101-0.002747i,-0.0023317-0.001744i,-0.00024032+0.00010405i,-0.0019308-0.0046001i,-0.0022659-0.0030836i,-0.0068699-0.014939i,0.0035372+0.00017941i,-0.0047867-0.0016601i,-0.0028391+0.0016591i,-0.005967+0.00056357i,0.0040804+0.0022582i,-0.0067474-0.0048136i,0.0003021-0.0065015i,-0.0023643-0.0024285i,-0.0048685-0.0024498i,0.0069373-0.00016745i,0.003109+0.0023217i,0.0029306-0.0023028i,-0.00082386+0.0055751i,0.003905+0.0032506i,0.0095547+0.011555i,-0.025271-0.0053108i,-0.030649+0.0092848i,-0.020418+0.021056i,0.0031808-0.00080563i,0.0093732-0.0062026i,-0.014813+0.0069474i
