-0.00094516-0.042567i,-0.00012522-0.047496i,-0.0084046-0.048317i,-0.031232-0.02345i,-0.02289+0.010482i,-0.037175-0.033218i,-0.065005-0.058134i,-0.019321-0.07146i,-0.024339-0.045888i,-0.0010789+0.016653i,-0.010711+0.012613i,-0.014089+0.013854i,0.0039855+0.013588i,-0.0027948-0.001892i,0.0019911+0.0060759i,0.00029063+0.033553i,0.02161+0.060336i,0.0012848-0.00060618i,-0.0037472-0.0094855i,0.0064266+0.0037697i,0.0015624+0.0015621i,-1.9568e-05+0.0028502i,-0.00017354-0.00050585i,-0.038415-0.0086473i,-0.0028389-0.0076269i,-0.001018+0.0045312i,0.0039973-0.00019507i,-7.546e-05+0.00045376i,0.00069963-0.00074992i,-2.4844e-05-0.0023372i,-0.0017719-0.0056451i,-0.0031274-0.0062681i,-0.001185-0.0073025i,0.0031341-0.00014423i,0.0027892-0.0017471i,-0.0011013+0.037912i,0.0065718-0.0040318i,0.0029464-0.00094894i,0.0048876-0.00056441i,-0.013183-0.0050088i,-0.00089563+3.4686e-05i,0.0088866-0.001805i,0.0035595+0.0011857i,-0.004345+0.001826i,-0.00015731+0.0091809i,-0.0041893+0.016437i,0.024737-0.083127i,-0.00058435-0.05538i,-0.023937-0.044331i,-0.019941-0.037445i,0.061876-0.017723i,0.03047-0.059019i,0.03927-0.045077i,0.033835-0.053486i,0.019269-0.015662i,0.0075876+0.012015i,0.023435-0.035736i,-0.0081653-0.0052231i,0.0029765-0.0013402i,-0.002586-0.0049176i,0.0041141-0.031766i,-0.025327+0.031122i,0.0086279-0.010312i,-0.012071-0.0021053i,-0.0046614-0.0017359i,0.00064571-0.014572i,-0.010599+0.0056634i,0.0032638+0.006509i,-0.013698+0.030366i,0.0057267+0.0066108i,-0.0057963-0.0014827i,-0.0012077-0.0025758i,-0.011878-0.0076763i,6.5563e-05-0.0034922i,-0.034967+0.010237i,0.0019781-0.012696i,-0.0088738-0.0022278i,-0.0070207-0.0034669i,0.006517+0.0017996i,-0.0085807+0.0025687i,0.00011168+0.0018528i,0.0050729+0.010085i,0.0049071+0.00060061i,-0.0097283-0.010197i,0.0018949+0.0085957i,-0.0206+0.0055576i,0.0063421+0.0028621i,-0.028138-0.008216i,-0.036469-0.0012974i,0.026614-0.07981i,0.013925-0.009243i,-0.043344-0.027818i,-0.025264-0.0056195i,0.017571+0.012054i,-0.027043+0.011632i,-0.012288-0.0098349i
-0.015895+0.026489i,-0.00063699+0.058537i,0.032147+0.039688i,0.0042174+0.012881i,-0.0015904+0.0050235i,0.032642-0.0065191i,0.010538+0.016976i,0.010971+0.050313i,0.0051724+0.019665i,-0.00407+0.0071592i,-6.8604e-05+0.0014948i,0.0025259-0.0042469i,0.0025486-0.0022833i,0.0034602-0.0011961i,0.0039858-0.0013799i,0.0065232+0.00038431i,0.010834-0.0072197i,-0.0015044-6.2165e-06i,-0.0048629+0.00059356i,-3.0761e-05+0.0023324i,-0.001329-7.5732e-05i,-0.0045086-0.0011566i,-0.0024471+0.00057024i,0.0055828+0.0083808i,0.0027516+0.0024415i,0.0021155+0.001111i,0.0017144+0.0016493i,-0.001034+0.0035343i,-3.4614e-05+0.0011494i,-0.001002+0.0012213i,0.000979-0.003795i,-0.0013061-0.0017054i,-0.0010963-0.00054532i,0.00024715+0.00025416i,-0.00043388-0.002378i,-0.0065039+0.0141i,0.0028-0.00039051i,0.00069527-0.00040201i,0.00010385+0.0026578i,-0.00050356-0.0042041i,-0.0016476-0.00050402i,-0.002598-0.0023952i,0.00040716+0.0065919i,0.0044216+0.0026675i,-0.032033+0.011779i,-0.072591+0.018424i,-0.043254+0.04217i,-0.018888+0.036416i,-0.0018289+0.050178i,-0.0079681+0.030486i,0.010708+0.0098772i,-0.0073988-0.0075462i,-0.036597-0.0035957i,-0.044756+0.01511i,0.0077633+0.021693i,-0.0031283+0.0039718i,-0.0036186+0.003421i,-0.013842-0.0026065i,0.0094788+0.0018206i,0.011759+0.015342i,-0.0041613+0.00943i,-0.0070741-0.01105i,0.0063857-0.0038884i,-0.0062512-0.0043211i,0.003501-0.0081781i,0.0060795-0.0020498i,-0.00033244+0.0096465i,0.013106-0.0051739i,0.0075329-0.0073476i,0.0054577-0.0071682i,0.0033393-0.00091521i,-0.0027782-0.0065401i,-0.0045262-0.0018475i,0.0022241-0.00083822i,-0.0072823+0.037604i,-0.0060031-0.0048251i,0.0011725+0.00071596i,-0.00025601-0.0079117i,0.0036595-0.0011054i,-0.013591-0.0049521i,0.0011956-0.0005548i,0.004113-0.0036193i,0.002329-0.0021067i,0.00011417-0.0058941i,-0.00038969+0.0062014i,-6.4285e-05+0.0038261i,-0.0029018+0.0052773i,-0.011931-0.00081748i,-0.0094563+0.0020455i,-0.03553+0.041412i,-0.0080856+0.01609i,-0.024916-0.0054023i,-0.000316-0.00072583i,0.010127+0.020167i,-0.00084347+0.020436i,-0.0057982-0.00096917i
-0.012091+0.025653i,0.0083434+0.055707i,0.038824+0.033477i,0.0071299+0.012702i,0.0020141+0.0056511i,0.030855-0.013606i,0.011796+0.014113i,0.018997+0.047179i,0.0083175+0.018086i,-0.0015342+0.0081034i,0.00098119+0.0016283i,0.00032044-0.0033625i,0.0015588-0.0022663i,0.0029011-0.0011294i,0.0034233-0.0020161i,0.0061032-0.00045095i,0.0071783-0.0090706i,-0.00069503+0.00053818i,-0.0047369+0.00082354i,0.0010836+0.0015095i,-0.001398-6.8413e-05i,-0.0046198+1.0363e-05i,-0.0023009+0.00074248i,0.0091902+0.0048079i,0.0030655+0.002405i,0.002864+7.2606e-05i,0.0020196+0.00063468i,0.00037253+0.0034195i,-0.00015728+0.0013252i,-0.00055926+0.0016443i,-0.00080445-0.0037i,-0.0020909-0.0015585i,-0.0014227-0.00017634i,0.00037634+1.0075e-05i,-0.0013108-0.00083359i,-0.0014848+0.01449i,0.0019484-0.0013541i,0.00052804-0.00031497i,0.0013353+0.0020082i,-0.0014706-0.0032004i,-0.0015421-0.00025394i,-0.0034454-0.0015261i,0.0018067+0.0065078i,0.0037438+0.0020071i,-0.028325+0.017351i,-0.06536+0.029971i,-0.038175+0.049533i,-0.010927+0.038048i,0.011717+0.045628i,0.00089023+0.027535i,0.0059495+0.0030323i,-0.014268-0.010845i,-0.038951-0.002497i,-0.035542+0.016583i,0.013348+0.017939i,-0.0030666+0.0047348i,-0.0020918+0.0066067i,-0.013686+0.0027315i,0.007955-0.0018657i,0.015128+0.011807i,0.00074688+0.013631i,-0.0125-0.008785i,0.0020324-0.0047191i,-0.0057382-0.0011851i,-0.0010968-0.0074543i,0.0043368-0.004456i,0.0038105+0.0070727i,0.0084859-0.0087367i,0.0025793-0.0088737i,0.0019466-0.0056146i,0.0039763-0.0021593i,-0.0048726-0.004985i,-0.0026615+0.00085375i,0.002885-0.0011028i,0.010753+0.03293i,-0.0075621-0.0035242i,0.0019613-0.001069i,-0.0039874-0.0068321i,0.0039484-0.0022729i,-0.013516+0.0015614i,0.0015867-8.9885e-05i,0.0021884-0.003491i,0.0023744-0.0031056i,-0.0014575-0.0057454i,0.0014857+0.002775i,0.0015509+0.0031654i,0.00011164+0.0061228i,-0.010926+0.0032396i,-0.0092317+0.003673i,-0.027086+0.041884i,-0.0058362+0.018783i,-0.024847+0.00013198i,-0.001179-0.005234i,0.013052+0.019218i,0.0035321+0.021947i,-0.00819-0.00067122i
-0.009728+0.025567i,0.015708+0.051181i,0.045204+0.024424i,0.011045+0.010156i,0.0065466+0.004244i,0.027184-0.020445i,0.012206+0.011147i,0.02638+0.04208i,0.011606+0.016505i,0.00039856+0.0082897i,0.0013456+0.0007929i,-0.00031593-0.0016414i,0.00055836-0.0024568i,0.0027431-0.0015351i,0.0027496-0.0025535i,0.0055519-0.0012537i,0.00429-0.0095896i,-0.0004027+0.00026216i,-0.0048622+0.0026244i,0.0012412+0.00018473i,-0.0019144-5.7295e-05i,-0.0040814+0.0013142i,-0.0023267+0.00099582i,0.0095436-0.00036925i,0.0045206+0.001053i,0.0023873-0.0013509i,0.0018883-0.00014999i,0.0016059+0.0026728i,0.00034591+0.0014734i,-0.00015539+0.0017856i,-0.0021987-0.0025877i,-0.002862-5.686e-05i,-0.0013406+0.00044388i,0.0001427-0.00028107i,-0.00091994+0.00037406i,0.0024954+0.013303i,0.00097755-0.0015515i,0.00040286-0.00049242i,0.0017657+0.001146i,-0.0023526-0.0022873i,-0.0015621-3.6154e-05i,-0.0035089+0.00024573i,0.0035202+0.0065818i,0.0040592+0.0019567i,-0.022717+0.021093i,-0.05708+0.039901i,-0.029494+0.056519i,-0.0023945+0.037061i,0.023146+0.036575i,0.00027349+0.024486i,-0.00049398+0.00051851i,-0.021201-0.0098181i,-0.041822+0.0020639i,-0.028536+0.014189i,0.016066+0.011543i,-0.0026763+0.0054031i,-0.00060735+0.0065669i,-0.012366+0.0070163i,0.0047337-0.0055856i,0.017832+0.0072146i,0.0069919+0.013999i,-0.016049-0.0048858i,0.00041661-0.0026734i,-0.0049417+0.0015117i,-0.0031745-0.0050794i,0.0017255-0.0051303i,0.0054447+0.0060033i,0.0050925-0.0093825i,-0.0022347-0.0073249i,0.0012822-0.0037355i,0.0033103-0.0047805i,-0.0075698-0.0027829i,-0.00075773+0.0011182i,0.0019622-0.002446i,0.024569+0.024039i,-0.0088843-0.00062636i,0.0019131-0.0021548i,-0.0041408-0.0042864i,0.0043853-0.0041568i,-0.0098893+0.0066391i,0.0027649-4.9836e-06i,0.00077041-0.0039223i,0.00099391-0.0034076i,-0.0033996-0.0042756i,0.00037338+0.0021664i,0.0025703+0.0018599i,0.0029643+0.0058854i,-0.0089371+0.0058243i,-0.0090084+0.0062837i,-0.020706+0.041164i,0.0018166+0.02077i,-0.023798+0.0039186i,-0.003705-0.0090028i,0.018032+0.015759i,0.0089393+0.023055i,-0.010302+0.001206i
-0.0072393+0.026164i,0.020627+0.046886i,0.04744+0.014243i,0.013175+0.0053822i,0.0097173+0.00010331i,0.021359-0.025637i,0.012103+0.0092196i,0.03205+0.035388i,0.014654+0.013643i,0.0019527+0.0077934i,0.0012095+0.00076368i,0.00021038-0.00075294i,-0.00090993-0.0016561i,0.0020194-0.0016822i,0.0018516-0.0030232i,0.0049285-0.001653i,0.0011894-0.0091705i,7.1992e-05+0.00031174i,-0.0031239+0.0042326i,0.00056887-0.00055667i,-0.0020824+0.00083254i,-0.0033404+0.0024925i,-0.0022361+0.0015814i,0.0070238-0.004127i,0.0042237-0.00072776i,0.0013479-0.0017324i,0.0015618-0.00063306i,0.0019168+0.0017023i,0.0010691+0.00092971i,0.00033035+0.0020682i,-0.0029524-0.00094733i,-0.0022702+0.0013946i,-0.0010503+0.000779i,-0.00022115-0.00032614i,-0.00041252+0.00074754i,0.0061846+0.011218i,0.00058184-0.0015418i,6.6644e-05-0.00064315i,0.0017403+0.00069969i,-0.0027936-0.0014041i,-0.0015972+0.00038768i,-0.0040556+0.0019273i,0.005646+0.0059018i,0.0047012+0.0016728i,-0.016501+0.021762i,-0.046043+0.047396i,-0.019468+0.061276i,0.0036279+0.033721i,0.031534+0.02376i,0.013576+0.01942i,-0.0075383+0.0026188i,-0.028263-0.005159i,-0.043102+0.009041i,-0.025317+0.0099618i,0.01707+0.0048989i,-0.0019872+0.0067413i,0.00080357+0.0086559i,-0.0092427+0.010675i,-0.00076689-0.0053387i,0.019319-6.6815e-05i,0.012915+0.011321i,-0.018252+4.6123e-05i,-0.00015981-0.0019367i,-0.0027021+0.0027484i,-0.0041279-0.0020905i,-8.7135e-05-0.0047056i,0.0072275+0.0027114i,0.0019002-0.00961i,-0.0051915-0.0025567i,0.0013686-0.003035i,0.00087122-0.006391i,-0.0074651-0.00029706i,0.00076322+0.0014531i,0.00096147-0.0026774i,0.03067+0.010344i,-0.0084273+0.0034167i,0.001533-0.0036245i,-0.0043105-0.0026192i,0.0026711-0.0069408i,-0.0047686+0.0080546i,0.0039933-0.0017518i,-0.00077487-0.0029308i,0.00015592-0.0031411i,-0.0036309-0.0020375i,6.684e-05+0.002643i,0.0026565+0.00013596i,0.0057639+0.0042392i,-0.0068098+0.0072194i,-0.0078135+0.0088959i,-0.015365+0.041944i,0.013059+0.016325i,-0.021367+0.0081373i,-0.0094733-0.010975i,0.019881+0.01019i,0.015774+0.021085i,-0.0092776+0.0029234i
-0.0038567+0.026762i,0.025899+0.043993i,0.048134+0.0051761i,0.013515+0.00072875i,0.010063-0.0050054i,0.015452-0.028972i,0.01231+0.0081221i,0.036116+0.028938i,0.017135+0.010182i,0.0037613+0.007096i,0.0011465+0.00094373i,0.0009083-0.00077331i,-0.0012184+4.469e-05i,0.0015505-0.0018156i,0.00089999-0.0028594i,0.0046744-0.0018284i,-0.00081544-0.0077846i,0.00012983+0.0002535i,-0.0017028+0.0042627i,-0.00020235-0.00064863i,-0.0017301+0.0013932i,-0.0019471+0.0032463i,-0.0016991+0.0022243i,0.0039246-0.0060035i,0.0032072-0.0020384i,0.0007399-0.001812i,0.001132-0.0010887i,0.0019032+0.00091753i,0.0010307+0.00032638i,0.0012637+0.0019516i,-0.0024778+0.00040201i,-0.0013777+0.0019709i,-0.00070302+0.001015i,-0.00030791+0.00013774i,0.00026566+0.0010203i,0.0090894+0.0085735i,3.9045e-05-0.0012793i,-0.00032919-0.00051853i,0.001988+0.00030914i,-0.0026419-0.00062888i,-0.0013649+0.00052563i,-0.0038682+0.0023858i,0.007297+0.0041337i,0.0047103+0.00044203i,-0.012988+0.021166i,-0.033889+0.051614i,-0.0067957+0.064355i,0.0088423+0.031448i,0.032688+0.0096615i,0.015868+0.0125i,-0.010858+0.0094411i,-0.03242+0.004382i,-0.043488+0.018427i,-0.0265+0.0069963i,0.01409-0.00066457i,0.00016836+0.0077256i,0.0049775+0.0086021i,-0.0056869+0.01319i,-0.0031258-0.0020875i,0.01681-0.0083851i,0.017316+0.006077i,-0.018314+0.006064i,5.8566e-05-0.00057711i,-0.00086878+0.0029885i,-0.0025256-0.00020294i,-0.0025035-0.0033704i,0.0065754+0.00055601i,-0.00083728-0.008674i,-0.0039045+0.0014752i,0.0016528-0.0033479i,-0.0019189-0.0063907i,-0.0051656+0.0022631i,0.0025875+0.00019738i,0.00061087-0.0023829i,0.029527-0.0033576i,-0.005166+0.006165i,1.9074e-05-0.0046223i,-0.0035418-0.0017854i,-0.0001082-0.0077449i,-0.0014137+0.0072899i,0.0034523-0.0035313i,-0.0012019-0.0011805i,6.615e-05-0.0023887i,-0.0022843-0.00096444i,0.00094641+0.0030643i,0.0015887-0.00096971i,0.005484+0.0010108i,-0.0049768+0.0075215i,-0.0052947+0.011595i,-0.0093337+0.042081i,0.018249+0.003586i,-0.016558+0.0088916i,-0.016148-0.009847i,0.02073+0.0049895i,0.02086+0.014634i,-0.0093417+0.0028595i
-3.9245e-05+0.026465i,0.031944+0.04026i,0.047666-0.003765i,0.01287-0.0040492i,0.0091366-0.0091068i,0.0091656-0.031246i,0.013624+0.007274i,0.039128+0.022392i,0.018834+0.0058185i,0.0053862+0.0065355i,0.0017741+0.0010458i,0.0012692-0.0011849i,-0.00013596+0.0011444i,0.0011804-0.0016491i,0.00031477-0.0025771i,0.0047473-0.0020186i,-0.0016558-0.0068048i,0.00075095+1.3949e-05i,-0.00054741+0.0038913i,-0.00071782-0.00038098i,-0.00098377+0.0016608i,-0.00044808+0.0031708i,-0.00092867+0.0025378i,0.00016139-0.0064643i,0.0023692-0.0027612i,2.8548e-05-0.0018527i,0.00051116-0.0012694i,0.0019158+0.00047894i,0.00082538+1.3659e-05i,0.0017975+0.0010898i,-0.0018427+0.0011634i,-0.0003789+0.0022737i,-0.00051293+0.0011054i,-5.5048e-06+0.00016552i,0.00070994+0.00037014i,0.010106+0.0051198i,-0.00026646-0.0010443i,-0.00046936-0.00015973i,0.0016061-0.00050798i,-0.0022352-0.00013064i,-0.0014006+0.00074455i,-0.0026214+0.0022883i,0.0082598+0.0021905i,0.0044495-1.7767e-05i,-0.010205+0.020475i,-0.022472+0.052123i,0.0070797+0.062053i,0.014183+0.028752i,0.029613-0.0018977i,0.015685+0.0070416i,-0.0087341+0.017043i,-0.030794+0.015985i,-0.039021+0.031082i,-0.029767+0.0078631i,0.010198-0.0028998i,0.0025664+0.0072942i,0.0076889+0.0060592i,-0.0012686+0.015269i,-0.0034091+0.00024558i,0.010077-0.01523i,0.018226-0.0016317i,-0.016122+0.010634i,0.0012646-0.00029135i,0.00036289+0.0021063i,-0.00097014-7.2386e-06i,-0.0028543-0.00074079i,0.0053829-0.00075064i,-0.0025056-0.0068188i,-0.0011779+0.0035339i,0.0011825-0.0044098i,-0.0039038-0.0048595i,-0.0032988+0.0027795i,0.0025379-0.0019366i,0.00091348-0.0023162i,0.023885-0.014766i,-0.0015218+0.006725i,-0.0019043-0.0043394i,-0.0034974-0.0010738i,-0.0030535-0.0073478i,0.00056029+0.0062544i,0.0030982-0.0045843i,-4.5342e-05-0.00043253i,0.00036697-0.0029299i,-0.00089001-0.0014478i,0.0020449+0.0027855i,0.00023204-0.0005377i,0.0056414-0.00052411i,-0.0039589+0.0072438i,-0.0011231+0.012922i,-0.0031464+0.041361i,0.014392-0.0081358i,-0.014275+0.0056393i,-0.022719-0.0047764i,0.018818-0.0017208i,0.021887+0.0075259i,-0.0097536+0.0042796i
0.004004+0.025797i,0.037425+0.034947i,0.045057-0.013538i,0.0099575-0.0092348i,0.0071009-0.013403i,0.0023866-0.031893i,0.015698+0.0053027i,0.041301+0.015287i,0.018976+0.0012814i,0.0064423+0.0056345i,0.0021838+0.00060761i,0.0014206-0.0023079i,0.0009215+0.0012897i,0.00089962-0.001644i,-0.00012616-0.0021555i,0.0047737-0.0027562i,-0.0028691-0.0062157i,0.00040163-0.00064566i,0.0010189+0.0034954i,-0.001295+0.00015606i,-0.00072937+0.0015595i,0.00062855+0.0022228i,-0.0002656+0.0026208i,-0.0032673-0.005029i,0.00082259-0.0040583i,-0.00071167-0.0012764i,-0.00028968-0.001245i,0.0018208+1.1962e-05i,0.000838-0.0001759i,0.0017801+0.00019266i,-0.00093709+0.0015869i,0.00039516+0.0022213i,-0.00034886+0.0013594i,-3.1325e-06+0.00020576i,0.00024036-0.00035009i,0.010303+0.0027621i,-0.000721-0.00071467i,-0.00051916-1.0842e-05i,0.0012753-0.00079839i,-0.0015521+2.3683e-05i,-0.0012803+0.0011634i,-0.0013185+0.0026764i,0.0087119-0.000143i,0.0042336-0.00058905i,-0.0080853+0.020172i,-0.012581+0.050884i,0.018195+0.055913i,0.019519+0.025059i,0.02347-0.01059i,0.014375+0.0034029i,-0.002781+0.021855i,-0.022426+0.025286i,-0.026874+0.041285i,-0.032215+0.012355i,0.0067024-0.0031053i,0.0044657+0.0058533i,0.00838+0.0025991i,0.003329+0.014275i,-0.0034068+0.002203i,-0.00041178-0.016686i,0.014844-0.0080253i,-0.013407+0.01422i,0.0020764-0.00191i,0.00090081+0.0013458i,-0.00075127-0.00069765i,-0.0012631+0.00099063i,0.0046019-0.00097227i,-0.0031597-0.0059367i,0.00169+0.0034929i,-0.00012419-0.0056907i,-0.0050282-0.0028146i,-0.0018161+0.0031222i,0.0013471-0.0034351i,0.00072378-0.0033033i,0.014054-0.021228i,0.0012934+0.0060947i,-0.0031673-0.003345i,-0.0029468-0.00099087i,-0.0051308-0.0060407i,0.0017898+0.0048923i,0.0016786-0.0070307i,0.00074409-0.00096896i,-0.00080608-0.003421i,-0.0010973-0.0023548i,0.0036602+0.0039713i,-0.00010498+0.00074323i,0.004842-0.0014379i,-0.003347+0.0076083i,0.0024987+0.011711i,0.00334+0.040252i,0.0073535-0.015832i,-0.016692+0.0025627i,-0.024938+0.003873i,0.012785-0.0060801i,0.02184+0.0020107i,-0.0080907+0.0052146i
0.0081951+0.023759i,0.042403+0.029469i,0.039653-0.021554i,0.0046411-0.012153i,0.0031784-0.016775i,-0.0036492-0.030894i,0.017768+0.0021407i,0.042015+0.0080205i,0.018413-0.0031306i,0.0079134+0.0046338i,0.0025133+0.0003102i,0.00044672-0.0033199i,0.0019639+0.0010209i,0.00068072-0.0014907i,-0.00017228-0.0018989i,0.0045032-0.0033928i,-0.0048409-0.0049171i,4.3106e-05-0.00071716i,0.0021659+0.0022702i,-0.0012341+0.0012893i,-0.00034768+0.0017158i,0.00050259+0.00088697i,0.00043943+0.0026281i,-0.0050336-0.0018946i,-0.0018097-0.0035355i,-0.0010324-0.00064411i,-0.00072851-0.00081277i,0.0015484-0.00038156i,0.00066531-0.00070977i,0.0014445-0.00031247i,-3.2824e-05+0.001435i,0.0010518+0.0018755i,0.00036701+0.0015083i,0.00010612+0.00035574i,-0.00038542+0.00015792i,0.0097907+0.0005043i,-0.0007682-0.00015661i,-0.00047458+0.00027707i,0.0010642-0.00099438i,-0.0010496-0.0003011i,-0.000853+0.0017425i,-4.5586e-05+0.0028164i,0.0078988-0.0027414i,0.0037679-0.00098896i,-0.0057314+0.02i,-0.0038176+0.047636i,0.025945+0.048545i,0.024637+0.020135i,0.016175-0.015137i,0.01283+0.0013186i,0.0041903+0.023436i,-0.011978+0.028646i,-0.011354+0.044884i,-0.031632+0.019189i,0.0052599-0.0023286i,0.0058343+0.0037253i,0.0078157+3.9555e-05i,0.0076763+0.011513i,-0.0025299+0.004515i,-0.0090923-0.0121i,0.0096703-0.011661i,-0.0094625+0.017065i,0.0010585-0.0035222i,0.00082513+0.00069457i,-0.0013046-0.00068535i,0.0010688+0.001432i,0.004342-0.0014118i,-0.0044554-0.0043411i,0.0038036+0.0018098i,-0.0026891-0.006049i,-0.0049994-0.00053068i,-7.5859e-05+0.0023182i,0.00033689-0.0041937i,-0.00012874-0.004143i,0.0038823-0.021975i,0.0034697+0.0044439i,-0.00373-0.0023732i,-0.0035593-0.0010838i,-0.006758-0.0037833i,0.0020468+0.0039914i,-0.001586-0.0083243i,0.0011071-0.0018163i,-0.0015807-0.0027661i,-0.0017133-0.0026795i,0.0046167+0.0023519i,0.00050995+0.0016692i,0.0035247-0.0023894i,-0.0026151+0.0083152i,0.0051463+0.0093405i,0.010529+0.038455i,-0.003489-0.020364i,-0.020698+0.0029437i,-0.022068+0.012025i,0.0069243-0.0056213i,0.019948-0.0048399i,-0.0062677+0.0037193i
0.01146+0.020386i,0.047195+0.022219i,0.033754-0.027104i,9.4401e-06-0.01173i,-0.0014985-0.018537i,-0.0085589-0.029306i,0.018945-0.0024766i,0.04167+0.0013719i,0.016956-0.0071537i,0.0098165+0.0025427i,0.0031713-0.00035226i,-0.00091899-0.0031228i,0.0025685-0.00019364i,0.00063853-0.0015077i,-0.00039819-0.0018742i,0.0043-0.0038987i,-0.0054091-0.002674i,-0.00024181-0.0011385i,0.0021189+0.00094925i,-0.00040523+0.0017942i,-2.7753e-05+0.001904i,6.2928e-07+0.00043259i,0.0011761+0.0023215i,-0.0051264+0.0013865i,-0.0029167-0.0016708i,-0.0010784-0.0001098i,-0.00085543-0.00041772i,0.0011863-0.00061756i,2.6771e-05-0.00054305i,0.0010233-0.00085014i,0.00074227+0.0010106i,0.0014485+0.0014258i,0.0011752+0.0011682i,0.0004106+0.00047265i,-0.00019457+0.00081011i,0.007672-0.0016359i,-0.00080628+0.00038181i,-0.00024802+0.00052549i,0.00073271-0.0013677i,-0.00088245-0.00068894i,-7.8496e-05+0.0018711i,0.00063958+0.0025236i,0.0061748-0.0048671i,0.003163-0.0012123i,-0.0036288+0.020074i,0.0025449+0.043058i,0.031499+0.041376i,0.027949+0.013308i,0.0098517-0.016807i,0.012087+0.0013457i,0.011513+0.022798i,-0.0027251+0.029267i,0.002573+0.042832i,-0.027703+0.026615i,0.004757-0.0024384i,0.0063682+0.0010099i,0.0073043-0.0022547i,0.010554+0.0070975i,-0.00021688+0.0050553i,-0.013275-0.0048587i,0.0043459-0.01282i,-0.0041808+0.018583i,-0.00053201-0.0039278i,0.00028935+0.00082057i,-0.0016669-0.00023277i,0.0025893+6.8151e-05i,0.0041477-0.0011607i,-0.0049956-0.0023082i,0.0038017-0.00046306i,-0.0050899-0.0044324i,-0.0037605+0.0012473i,0.00037953+0.00090309i,-0.00079036-0.0048052i,-0.0015575-0.0042153i,-0.003915-0.019444i,0.0049392+0.0020464i,-0.0045939-0.0011888i,-0.0040958+0.00047461i,-0.0071008-0.0007439i,0.0026557+0.0037595i,-0.0051283-0.0078168i,0.00092294-0.003118i,-0.0020528-0.0022657i,-0.0025337-0.0032511i,0.0055759+0.0013046i,0.0014758+0.0020803i,0.0022524-0.0019982i,-0.001439+0.0085133i,0.0064524+0.0066862i,0.017771+0.034042i,-0.015381-0.018435i,-0.024245+0.0055582i,-0.016258+0.015498i,0.0041154-0.004152i,0.013589-0.0092297i,-0.007726+0.0025646i
0.01306+0.017127i,0.050227+0.013642i,0.02797-0.031488i,-0.0028519-0.010344i,-0.0062876-0.018765i,-0.013573-0.027398i,0.018494-0.0081288i,0.040472-0.0054646i,0.014313-0.010763i,0.010584-9.1705e-05i,0.0036048-0.0017281i,-0.0019202-0.0022546i,0.0021802-0.001196i,0.00050839-0.0015306i,-0.0008812-0.0018535i,0.0040979-0.0046163i,-0.0051401-0.00099279i,-0.0010074-0.0013718i,0.0019064+0.00018961i,0.00040187+0.001854i,0.00055903+0.0018178i,-0.00041282+0.00055032i,0.0016493+0.0017528i,-0.0034829+0.0040568i,-0.002537+1.7383e-05i,-0.00092887+0.00041495i,-0.00085464-9.5065e-05i,0.00083227-0.00069092i,-0.00014487-0.00016929i,0.00032217-0.00097703i,0.0011147+0.00040267i,0.0019323+0.0010403i,0.0014197+0.00049737i,0.00064977+0.00015569i,0.00053845+0.0010376i,0.0064489-0.0035856i,-0.00039293+0.0006981i,4.6437e-05+0.00061515i,-0.00014716-0.0014556i,-0.00076019-0.0008764i,0.00052199+0.0018672i,0.001071+0.0021821i,0.0038915-0.0058i,0.0028494-0.00053334i,-0.0011988+0.020157i,0.006636+0.039495i,0.035895+0.034195i,0.028824+0.0073935i,0.0044312-0.017619i,0.014133+0.0014016i,0.01831+0.019092i,0.007372+0.02689i,0.015323+0.036001i,-0.019766+0.031959i,0.0041182-0.0029425i,0.0051372-0.0025567i,0.0061908-0.0045745i,0.010623+0.0021928i,0.0007984+0.0043279i,-0.013898+0.0032916i,-0.0010584-0.011945i,-4.5401e-06+0.01671i,-0.002665-0.0029269i,0.00013121+0.0015185i,-0.001664+0.0004306i,0.0033894-0.0016358i,0.0050082-0.00083929i,-0.0040587-0.00083351i,0.0034256-0.00083064i,-0.0061242-0.0021214i,-0.0021903+0.0019821i,9.4251e-05+0.00036381i,-0.0031108-0.0049578i,-0.0029471-0.0033353i,-0.009989-0.015607i,0.004955-0.00073412i,-0.0048497+0.00051376i,-0.0030429+0.0018108i,-0.0062228+0.0015561i,0.003949+0.0033623i,-0.0081486-0.0053105i,-0.00031832-0.0045264i,-0.00277-0.0016087i,-0.0043474-0.0028596i,0.0067573-0.0012239i,0.0025983+0.0021567i,0.002329-0.0017527i,0.00043062+0.0091442i,0.0063496+0.0040583i,0.023956+0.027661i,-0.022313-0.010049i,-0.026881+0.010893i,-0.010422+0.017527i,0.0021472-0.0020816i,0.00925-0.0090299i,-0.008471+0.0028914i
