-0.024244-0.0388i,-0.011587-0.049534i,-0.017821-0.045147i,-0.031147-0.035385i,-0.030124-0.016567i,-0.050759-0.028027i,-0.05831-0.025939i,-0.045017-0.038553i,-0.029661-0.037002i,0.0079629+0.013051i,-0.0051717+0.015915i,-0.0047855+0.014409i,0.0097826+0.021546i,0.00037888+0.0046766i,0.0034493+0.003028i,0.0065045+0.018007i,0.027317+0.038898i,-0.0024731-0.00066096i,-0.0041879-0.0058679i,0.0078116+0.001487i,-3.5729e-05-0.00081986i,-0.00098704+0.0015401i,0.00013855-0.00036754i,-0.030479-0.0025354i,-0.001206-0.0057639i,0.0017608+0.0046114i,0.003829-0.00014551i,-0.00027512+0.00052496i,0.00046317-0.00056759i,-0.00030849-0.0026896i,-0.00158-0.0060805i,-0.0045494-0.0041665i,-0.0018416-0.0049785i,0.00231-0.00069671i,0.0024081-0.0028075i,0.0025214+0.026067i,0.0018587-0.0030762i,0.0027982+0.00078147i,0.0061926+0.0009359i,-0.010252-0.0033747i,-0.0032917+0.00056423i,0.0067359+0.0013251i,0.0056+0.00029205i,-0.0035055+0.0057329i,0.0016439-0.0083795i,-0.011375+0.017729i,0.035636-0.09096i,0.012059-0.070254i,-0.01582-0.060207i,-0.016813-0.055682i,0.038623-0.047143i,0.016758-0.062906i,0.034203-0.05613i,0.031406-0.060004i,0.015848-0.013717i,0.0044518+0.016966i,0.016702-0.026255i,-0.011153+0.0060936i,-0.00073544+0.0054383i,-0.0054822-0.00089962i,-0.0024991-0.029002i,-0.023557+0.031512i,0.010314-0.011214i,-0.013121-0.0028046i,-0.00025832-0.0051047i,-0.0010825-0.016111i,-0.0079128+0.0048309i,0.0050758+0.0061043i,-0.0084067+0.031021i,0.004922+0.0057618i,-0.0050679-0.00054969i,-0.0031044-0.0004188i,-0.01243-0.0073439i,-0.00084063-0.0044491i,-0.029702+0.0062416i,0.00022801-0.010075i,-0.0094451-0.0018942i,-0.0065779-0.0027203i,0.0067972+0.0029466i,-0.0076789+0.0014884i,7.3899e-05+0.00057715i,0.0057605+0.010936i,0.0038718+0.0013783i,-0.0093978-0.01004i,0.0031696+0.0082587i,-0.021376+0.0062086i,0.008538+4.9497e-05i,-0.029117-0.0035848i,-0.042308+0.0027581i,0.020264-0.097402i,-0.0017883-0.012235i,-0.053138-0.021603i,-0.022973+0.0013731i,0.018125+0.011041i,-0.024774+0.013007i,-0.018656-0.013245i
0.0077073+0.021112i,0.014737+0.052358i,0.024564+0.035321i,0.01748+0.027398i,0.02493+0.027113i,0.033098-0.014552i,0.018066-0.0088455i,0.029931+0.0061844i,0.012577+0.014119i,0.0026876+0.0045473i,0.0049673+0.0028594i,0.004361+0.0034299i,0.0060687+0.0028291i,0.0049971+0.0036412i,0.003168-0.0033887i,0.0082447-0.0015678i,0.0089282-0.0048844i,-0.0013549-0.0011931i,-0.0032551+0.001158i,6.4905e-05+0.0013003i,-0.0011156-0.00025702i,-0.0028447+0.001265i,-0.0018413+0.00097723i,0.0048012+0.0078265i,0.0015139+0.0011136i,0.0025443+0.0005863i,0.0018813+0.001118i,0.0010428+0.0013914i,0.00068017+0.0001688i,-0.00019121+0.00090024i,-0.0018459-0.0025959i,-0.00070184-0.00050908i,-0.0011268+0.00097011i,-0.0011628+0.0002805i,-0.00073757-0.0018365i,-0.0066509+0.0075225i,0.0013364+0.00055585i,0.001279-0.00054398i,-0.00063066+0.0024177i,-0.0002177-0.0034636i,-0.0012542+0.00036695i,-0.0021494-0.00020253i,0.0024001+0.00073069i,0.0064915+0.0043517i,-0.014851+0.035466i,-0.081514+0.035996i,-0.051569+0.038851i,-0.03697+0.059898i,-0.01873+0.07283i,-0.0084407+0.051479i,0.010366+0.037657i,0.0034493-0.0015242i,-0.037012+0.0095763i,-0.046294+0.019938i,0.0014715+0.024156i,-0.0082198+0.0024679i,-0.010641-0.00075577i,-0.013619-0.0022075i,0.002353+0.0005847i,0.0061508+0.0093736i,-0.0022061+0.0083017i,-0.0069985-0.012539i,0.0054869-0.0069105i,-0.0063607-0.0067134i,0.0020172-0.0061978i,0.0035705-0.0041615i,-0.0018162+0.010314i,0.0094986-0.0040974i,0.0050046-0.00628i,0.0028737-0.0059457i,0.0031683-0.00038559i,-0.001247-0.0046197i,-0.0035631-0.00046539i,0.002551-0.0003761i,-0.0095532+0.025124i,-0.0043078-0.003483i,0.0020009+0.00045283i,0.00018343-0.0064331i,0.0025473-0.0013853i,-0.015892-0.0038051i,0.00050153+6.9441e-05i,0.0053325-0.0030505i,0.0031009-0.0011178i,0.00051883-0.0046346i,-0.00041223+0.0058649i,-0.0013488+0.0065038i,-0.0030024+0.0042572i,-0.012191+0.0023287i,-0.015166-0.0015996i,-0.040676+0.056573i,0.00059168+0.0047458i,-0.024654-0.017051i,-0.0068644-0.0073104i,0.010214+0.019874i,-0.0022678+0.022863i,-0.0006317-0.0007225i
0.010219+0.017588i,0.023103+0.047505i,0.030243+0.030955i,0.022335+0.025071i,0.030739+0.022957i,0.029795-0.020397i,0.015206-0.012322i,0.030526+0.00061384i,0.014532+0.011082i,0.0040048+0.0033643i,0.0056328+0.0015962i,0.0042476+0.0031893i,0.0062041+0.0016553i,0.0056324+0.002345i,0.0020568-0.0039613i,0.0067893-0.0030779i,0.0063583-0.0066165i,-0.0010408-0.0010114i,-0.002711+0.001275i,0.00066988+0.00052843i,-0.0013625-0.00026643i,-0.0024332+0.001871i,-0.0014899+0.0010422i,0.0082883+0.005171i,0.001452+0.0011869i,0.0028437-0.00053586i,0.0020253+7.2414e-05i,0.0015263+0.00085719i,0.00026047+9.1296e-06i,-8.5191e-05+0.00092738i,-0.0027337-0.0014207i,-0.0011477-0.00061375i,-0.00084547+0.0012197i,-0.00097014+0.00066182i,-0.0015985-0.00057407i,-0.0039558+0.0087956i,0.0011716-8.2391e-05i,0.00090857-0.00087718i,0.00039848+0.0021637i,-0.0012576-0.0029286i,-0.0010936+0.00043736i,-0.0022591+0.00053778i,0.0019988+0.00061711i,0.0069748+0.003359i,-0.0081045+0.037253i,-0.069735+0.050051i,-0.047409+0.047652i,-0.026844+0.063781i,-0.0026018+0.07026i,0.0023736+0.049527i,0.011248+0.031665i,-0.0023268-0.0061453i,-0.038158+0.012108i,-0.037266+0.02196i,0.007493+0.022211i,-0.0083859+0.0049124i,-0.0098763+0.004968i,-0.013118+0.001965i,0.0013689-0.00083096i,0.0077414+0.0087206i,0.0019427+0.011286i,-0.013277-0.01025i,0.00084781-0.0076138i,-0.0061609-0.0029411i,-0.0014336-0.0059129i,0.0012695-0.0053481i,0.0027293+0.0081492i,0.0062639-0.0065302i,0.00053439-0.0067594i,0.00027286-0.0035543i,0.0040165-0.0014555i,-0.0023815-0.0038781i,-0.0013791+0.0015351i,0.0027621-0.00064219i,0.0036324+0.025445i,-0.0050804-0.002674i,0.0025804-0.001706i,-0.003128-0.0058579i,0.002844-0.0021495i,-0.015029+0.0034048i,0.00094953+0.00045856i,0.0035378-0.0028965i,0.003036-0.002398i,-0.00071183-0.0045319i,0.0015067+0.0026109i,0.0016909+0.0054419i,-0.00035828+0.0053157i,-0.010899+0.0060793i,-0.016117+0.0018187i,-0.029789+0.058148i,0.00067732+0.0055171i,-0.028606-0.011624i,-0.0095226-0.010055i,0.012928+0.018291i,0.0021728+0.024744i,-0.0031003-0.0018488i
0.01155+0.014826i,0.029473+0.040798i,0.035859+0.02417i,0.028049+0.020337i,0.036389+0.017168i,0.025145-0.025877i,0.011613-0.015355i,0.030217-0.0054205i,0.016098+0.0081528i,0.0042973+0.0019597i,0.0054803-0.00034531i,0.0050929+0.0029482i,0.0060642+2.1613e-05i,0.0060167+0.00060261i,0.00081481-0.0041366i,0.0051315-0.0040526i,0.0039107-0.0075149i,-0.0013987-0.0011115i,-0.0025184+0.0018308i,0.00045077-0.00049928i,-0.0019008-0.00017829i,-0.0017693+0.002404i,-0.0014096+0.0011304i,0.0090177+0.00082559i,0.002179+0.00064858i,0.0020761-0.0015967i,0.0015836-0.00071582i,0.0019384-1.3682e-06i,0.0001663+0.00011878i,1.7125e-05+0.0010509i,-0.0030496+4.3614e-05i,-0.0018323+0.00028453i,-0.00024711+0.0015767i,-0.00064336+0.00099085i,-0.0012141+0.00057987i,-0.0011639+0.0093715i,0.00084215-0.00028083i,0.00046748-0.0011914i,0.00087803+0.0015311i,-0.0022904-0.002269i,-0.0010214+0.00053669i,-0.001926+0.0012025i,0.0019399+0.00096505i,0.0078932+0.0017876i,0.00010646+0.037457i,-0.056747+0.060477i,-0.038911+0.055787i,-0.015501+0.064601i,0.011924+0.063488i,0.012104+0.047414i,0.010884+0.028269i,-0.0078594-0.0068633i,-0.038511+0.017659i,-0.03012+0.020991i,0.012307+0.01769i,-0.0077349+0.0069349i,-0.0076375+0.0080567i,-0.012107+0.0049464i,-0.00061487-0.0026478i,0.0098237+0.0068874i,0.006931+0.01096i,-0.017398-0.0052725i,-0.001376-0.0051612i,-0.0053349-0.00023932i,-0.0032456-0.003911i,-0.0011749-0.0046827i,0.005114+0.0069129i,0.0039374-0.0068924i,-0.0033846-0.0045992i,0.00047197-0.0015478i,0.0037256-0.0040733i,-0.0040306-0.0028345i,-2.2507e-05+0.00094223i,0.002298-0.0014143i,0.014292+0.019406i,-0.0063193-0.0009272i,0.0022345-0.002889i,-0.0032624-0.0037417i,0.0032683-0.0036905i,-0.010431+0.0089259i,0.0021391+0.00037962i,0.0022189-0.0034204i,0.0018593-0.0028312i,-0.002051-0.003563i,0.00086475+0.0016065i,0.0035266+0.0034481i,0.0022007+0.0050401i,-0.0088347+0.0083778i,-0.016005+0.0066729i,-0.021142+0.057925i,0.0043589+0.0055886i,-0.030086-0.0058465i,-0.012848-0.011325i,0.016927+0.014565i,0.0083538+0.025516i,-0.005099-0.0011992i
0.012448+0.012655i,0.033076+0.034423i,0.038585+0.016219i,0.031784+0.013036i,0.040253+0.0090657i,0.019011-0.029772i,0.007349-0.017009i,0.028165-0.01125i,0.017181+0.0049614i,0.0040946+0.0011571i,0.0046028-0.0010852i,0.0059298+0.0018868i,0.0052131-0.00093894i,0.0055421-0.00099574i,-0.00054235-0.0039047i,0.0034761-0.0043307i,0.001272-0.007256i,-0.0015985-0.00066931i,-0.0014848+0.0023547i,-0.00037618-0.00086934i,-0.0021854+0.00067168i,-0.0010272+0.0028798i,-0.0012984+0.0014295i,0.0075806-0.002524i,0.0020414-0.00023046i,0.0010802-0.0017651i,0.0010475-0.00096415i,0.0014674-0.0010109i,0.000242-5.2777e-05i,0.00035524+0.0012533i,-0.0027141+0.0015846i,-0.0013464+0.0012761i,0.00041487+0.0013653i,-0.00030627+0.0010373i,-0.00057816+0.0011626i,0.0017876+0.0090696i,0.00064866-0.00055326i,-7.3477e-05-0.0013643i,0.00089231+0.0011616i,-0.0027475-0.0012949i,-0.00093447+0.00081211i,-0.0015063+0.00151i,0.0024967+0.001129i,0.0083276-0.00015594i,0.0078481+0.034329i,-0.041341+0.068063i,-0.029494+0.061561i,-0.0065585+0.063945i,0.02419+0.052528i,0.021816+0.041424i,0.009917+0.026876i,-0.014369-0.0049543i,-0.037226+0.02469i,-0.025901+0.018456i,0.015308+0.01143i,-0.0059649+0.0096616i,-0.0043888+0.011426i,-0.010615+0.0077185i,-0.0043082-0.0016776i,0.011875+0.0036496i,0.011384+0.0082704i,-0.01927+0.00086537i,-0.0022641-0.0038598i,-0.0035083+0.0012156i,-0.003893-0.0014587i,-0.0025962-0.0033902i,0.0071931+0.003549i,0.0017244-0.0070791i,-0.0047615-0.00017224i,0.0015516-0.0007768i,0.0014223-0.0058382i,-0.0046034-0.00057748i,0.00092537+0.00098591i,0.0020255-0.001853i,0.020171+0.0097948i,-0.0063529+0.0021317i,0.0017785-0.0043208i,-0.0032905-0.0023719i,0.0016425-0.0060423i,-0.0045904+0.010197i,0.0032005-0.0008088i,0.0010457-0.0026449i,0.00088064-0.0027562i,-0.0021439-0.0020104i,0.00054589+0.0015651i,0.0035669+0.0012211i,0.0044873+0.0040434i,-0.0062051+0.0097638i,-0.014366+0.011152i,-0.013457+0.05877i,0.010817+0.0013158i,-0.029145-1.2254e-05i,-0.018301-0.011048i,0.017781+0.0094072i,0.015141+0.023398i,-0.0052824-0.00063726i
0.01376+0.010816i,0.036399+0.029184i,0.039736+0.0091278i,0.033051+0.0055169i,0.04159+0.00030747i,0.012988-0.032123i,0.0032984-0.016968i,0.025067-0.016017i,0.017948+0.0017025i,0.0038843+0.00051623i,0.0039608-0.0014862i,0.00653+0.00050019i,0.0046925-0.0013173i,0.0046332-0.0022244i,-0.0016119-0.0030245i,0.0021764-0.0039003i,-0.00043469-0.0062376i,-0.0018822-0.00018548i,-0.00081673+0.0022182i,-0.0010877-0.00067028i,-0.0019313+0.0013579i,0.00015549+0.0031267i,-0.001024+0.0018784i,0.0053227-0.0047937i,0.0014734-0.000728i,0.00053335-0.0017409i,0.00063995-0.0011024i,0.00059547-0.0012249i,5.7246e-05-2.8016e-05i,0.0010301+0.001122i,-0.0015199+0.0025816i,-0.00059949+0.0017327i,0.00077554+0.00089167i,0.00017065+0.0012546i,0.00019139+0.001359i,0.0043119+0.0077696i,0.0003089-0.000581i,-0.00069701-0.0012171i,0.0013295+0.00090242i,-0.0029456-0.00028586i,-0.00063932+0.00083653i,-0.0010678+0.0017338i,0.0031135+0.00072437i,0.0075397-0.002566i,0.01314+0.029565i,-0.025011+0.070765i,-0.017717+0.066097i,0.0028816+0.063445i,0.030139+0.039365i,0.027966+0.033728i,0.01053+0.02818i,-0.01831+0.0020578i,-0.033445+0.033718i,-0.024777+0.016514i,0.014252+0.0055753i,-0.0025968+0.011685i,0.00089277+0.011807i,-0.0085275+0.010162i,-0.0054085+0.0016444i,0.012224-0.0015641i,0.014362+0.0035099i,-0.018872+0.0071659i,-0.0025125-0.0018212i,-0.0023322+0.0015279i,-0.0027133+0.00018888i,-0.0038932-0.0012399i,0.006958+0.00063695i,-0.0002957-0.0066057i,-0.0031733+0.0033521i,0.0029132-0.0015666i,-0.0012353-0.0060235i,-0.0036296+0.0010264i,0.0021017+0.00021436i,0.0016874-0.002251i,0.020766+0.00021757i,-0.004057+0.0044342i,0.00018582-0.0055601i,-0.0025584-0.001942i,-0.00083928-0.0066061i,-0.00052129+0.0091265i,0.0029117-0.0023331i,0.00099101-0.0012645i,0.00076304-0.0021614i,-0.0011108-0.001553i,0.00098114+0.0018539i,0.0021359-0.00019868i,0.0052698+0.0016016i,-0.0038356+0.0095952i,-0.010541+0.015462i,-0.0049632+0.058559i,0.012584-0.0094909i,-0.025686+0.0022871i,-0.023811-0.008358i,0.018128+0.004922i,0.020457+0.01718i,-0.0064331-0.0010439i
0.015264+0.0085026i,0.039833+0.023478i,0.040601+0.001853i,0.032919-0.0020195i,0.04137-0.0081782i,0.0066724-0.033607i,0.00035699-0.016156i,0.021518-0.020091i,0.018322-0.0020331i,0.0034209-5.2047e-05i,0.0038891-0.0017569i,0.0066644-0.00099867i,0.0048954-0.001859i,0.0035771-0.0030169i,-0.0021688-0.0021295i,0.0016136-0.0032368i,-0.0013741-0.005683i,-0.001666+0.00024662i,-0.00027351+0.0021574i,-0.0015136-0.00014747i,-0.0012854+0.0018613i,0.0014616+0.0026569i,-0.00037962+0.0022026i,0.0023662-0.0057368i,0.0011719-0.00097329i,-8.4286e-05-0.0016954i,0.00023326-0.0012081i,7.5999e-05-0.0011259i,-2.8962e-05+0.00011247i,0.0014116+0.00054507i,-0.00023469+0.0028179i,0.00024581+0.0017971i,0.00088964+0.00058846i,0.00077372+0.0010004i,0.00084496+0.00080009i,0.0058333+0.0058462i,8.7828e-05-0.00042594i,-0.0010269-0.00069788i,0.0012486+0.00032367i,-0.0026407+0.00050882i,-0.00045118+0.00091451i,-0.00049026+0.0016232i,0.0035346+0.00013022i,0.0062778-0.0042127i,0.016697+0.024473i,-0.010398+0.069269i,-0.0041534+0.066453i,0.012852+0.061126i,0.032164+0.02742i,0.031743+0.0259i,0.013775+0.030042i,-0.017034+0.011048i,-0.024672+0.043083i,-0.025599+0.017189i,0.012192+0.0024823i,0.0013579+0.011754i,0.0046631+0.0099317i,-0.0056446+0.012388i,-0.0045825+0.0039875i,0.0096181-0.0070868i,0.014603-0.0025859i,-0.01608+0.012053i,-0.0016789-0.00077769i,-0.0012997+0.0012621i,-0.0016522+0.00043086i,-0.0032135+0.0014262i,0.0055625-0.0012374i,-0.0017802-0.0053351i,0.00014302+0.0047738i,0.0029778-0.0033848i,-0.0034545-0.0045468i,-0.0026275+0.0017702i,0.0021958-0.0011963i,0.00166-0.0025266i,0.0173-0.0079835i,-0.0015125+0.0051519i,-0.0019827-0.0053481i,-0.0028113-0.0017168i,-0.0032091-0.0059434i,0.0020109+0.0074787i,0.0024672-0.0034418i,0.0025246-0.0014515i,0.00084373-0.0029867i,-0.00057854-0.0022905i,0.0015049+0.0019158i,0.0008009+0.00020223i,0.0047083+8.4724e-05i,-0.0024304+0.0090226i,-0.0046873+0.017547i,0.0035041+0.057026i,0.0066785-0.018436i,-0.023951+0.00099284i,-0.028846-0.0023616i,0.016368-0.00066876i,0.021901+0.010506i,-0.007433+8.9194e-05i
0.016608+0.0058159i,0.042219+0.016994i,0.039377-0.0064941i,0.030337-0.0098982i,0.039478-0.017135i,-4.7237e-05-0.033473i,-0.0016753-0.015319i,0.017359-0.02366i,0.017542-0.0058869i,0.0030333+0.00011562i,0.0033769-0.0022511i,0.0064037-0.0030402i,0.0046758-0.0030758i,0.0023674-0.0035185i,-0.0024975-0.0011238i,0.0015571-0.0028981i,-0.0025636-0.0050315i,-0.0017719+0.00063462i,0.00049959+0.0018524i,-0.0018985+0.00054323i,-0.0008812+0.0020156i,0.0022351+0.0016356i,0.00022716+0.0022476i,-0.00072114-0.00529i,0.00065675-0.0016921i,-0.00067212-0.0012062i,-0.00032269-0.001162i,-0.00031659-0.00086843i,0.00020803+0.00021899i,0.001269-9.0895e-05i,0.0011076+0.002494i,0.00083141+0.0016505i,0.00085342+0.0002644i,0.0010681+0.00063741i,0.00076362+2.7833e-05i,0.0065726+0.0039169i,-0.00010822-0.00030029i,-0.0011892-0.00030874i,0.0012051+4.0151e-05i,-0.0020971+0.00096683i,-0.00024955+0.0010232i,3.511e-05+0.0014006i,0.0038407-0.00098998i,0.0045475-0.0052608i,0.018873+0.019641i,0.0022872+0.065569i,0.0079425+0.062533i,0.022285+0.057126i,0.030694+0.017315i,0.033596+0.018988i,0.019622+0.03013i,-0.0097808+0.017037i,-0.011204+0.04774i,-0.02591+0.020799i,0.010209+0.00079498i,0.0045376+0.010156i,0.006927+0.0068932i,-0.0019872+0.013251i,-0.0039333+0.0054721i,0.0032664-0.0096287i,0.011135-0.0075906i,-0.012299+0.015594i,-0.00081062-0.0012335i,-0.00093862+0.00064857i,-0.0012534+0.00030023i,-0.00090577+0.00278i,0.0042812-0.001461i,-0.0024623-0.0044319i,0.0030079+0.0037952i,0.0016914-0.0051876i,-0.0045549-0.0027228i,-0.0013967+0.0022377i,0.0014085-0.0024346i,0.0012036-0.0034552i,0.011429-0.012562i,0.00061058+0.0047277i,-0.003306-0.0042358i,-0.0026006-0.0014022i,-0.0047351-0.0047579i,0.0036218+0.0056345i,0.0016271-0.0049374i,0.0030344-0.0031536i,-0.0001486-0.0036127i,-0.001507-0.0028846i,0.0026465+0.0020085i,0.00070455+0.0018934i,0.0043211-0.00091004i,-0.0014459+0.0089623i,0.00046143+0.016685i,0.011712+0.055225i,-0.0018909-0.023538i,-0.026485-0.00055096i,-0.030115+0.0057127i,0.011034-0.0042939i,0.022404+0.0047035i,-0.0066284+0.00071612i
0.017693+0.0023289i,0.044178+0.010977i,0.035867-0.01346i,0.025042-0.015784i,0.034836-0.02539i,-0.0058925-0.031655i,-0.0032036-0.014519i,0.012477-0.02606i,0.016281-0.0094651i,0.0035035+0.00039814i,0.0030406-0.0023338i,0.0049506-0.0048234i,0.003951-0.0041339i,0.0012911-0.0034979i,-0.0022944-0.00013454i,0.0014412-0.002694i,-0.0042017-0.0036494i,-0.0015552+0.0013385i,0.00089313+0.0011065i,-0.0016707+0.0017073i,-0.00027772+0.0023361i,0.0023083+0.00040305i,0.00087312+0.002152i,-0.002788-0.0034179i,-0.00067526-0.0015992i,-0.00083155-0.00068147i,-0.0006966-0.00091067i,-0.00059795-0.00052214i,0.00030193-8.1846e-05i,0.0010615-0.000447i,0.0020681+0.0016192i,0.0013251+0.0011453i,0.00085176+1.4135e-05i,0.0011485+0.00019418i,0.00025155+4.3293e-05i,0.0066818+0.0019394i,-0.00013257-0.00010821i,-0.0013262+0.0001908i,0.0011137-0.00020162i,-0.001355+0.0012434i,3.8365e-05+0.0011656i,0.00027005+0.0010914i,0.003302-0.0023399i,0.0027438-0.0054285i,0.019966+0.015038i,0.013316+0.059476i,0.016784+0.057005i,0.031046+0.051624i,0.027729+0.010158i,0.034027+0.012529i,0.025539+0.027558i,-0.0019818+0.017624i,0.0026963+0.046997i,-0.0238+0.025452i,0.0093232-0.00013421i,0.006957+0.0077718i,0.0074029+0.0039757i,0.0019638+0.012599i,-0.0025115+0.0074199i,-0.0025015-0.0079185i,0.0068378-0.0096065i,-0.0077252+0.017817i,-0.0012353-0.0021967i,-0.0013237+0.00064193i,-0.0011846+0.00051918i,0.0016063+0.0026103i,0.0034897-0.0017888i,-0.0034415-0.0035125i,0.004642+0.0015805i,-0.0011498-0.0061309i,-0.0045663-0.00078903i,-1.4789e-05+0.001683i,0.00088725-0.0030829i,0.0001326-0.0046729i,0.0053709-0.013957i,0.0022372+0.0037286i,-0.0042008-0.0033821i,-0.003336-0.0014543i,-0.0061475-0.002934i,0.0039817+0.0040784i,-0.00037143-0.006318i,0.0027305-0.004796i,-0.0011874-0.0032436i,-0.0022634-0.0026387i,0.0033095+0.001546i,0.0017337+0.002834i,0.003215-0.001639i,-0.00032134+0.0094617i,0.004393+0.013988i,0.020854+0.052242i,-0.012234-0.025238i,-0.030404+0.0010652i,-0.027403+0.01351i,0.0063193-0.0036438i,0.020289-0.0015773i,-0.0060691-0.00069789i
0.017793-0.0018369i,0.045788+0.0036588i,0.031832-0.01869i,0.019683-0.018759i,0.028738-0.03185i,-0.010486-0.029338i,-0.004321-0.014231i,0.0077455-0.027558i,0.014246-0.013077i,0.0042688-0.00020104i,0.0031246-0.0027955i,0.0031217-0.0054977i,0.0027922-0.0053043i,0.00048871-0.0033189i,-0.0017895+0.00045466i,0.0015128-0.0025053i,-0.0046465-0.0015875i,-0.00098462+0.001393i,0.00071898+0.00041781i,-0.00080197+0.0022763i,0.00044016+0.0022865i,0.0019118-0.00043066i,0.0015474+0.0017306i,-0.0036893-0.00084472i,-0.0011907-0.00080264i,-0.00081633-0.00034558i,-0.00096193-0.00063497i,-0.00063026-0.00013861i,1.6883e-05-2.3048e-05i,0.00069004-0.00074705i,0.0026532+0.00044097i,0.0013942+0.00066167i,0.00086199-0.00022282i,0.0012262-0.00012552i,0.0001919+0.00037431i,0.0060815+0.00024074i,-0.00010857+0.00011758i,-0.0011835+0.00077692i,0.0009704-0.00059505i,-0.00066843+0.0013677i,0.00050228+0.0010024i,0.00038067+0.00077231i,0.0021498-0.0032301i,0.0011934-0.0050614i,0.020181+0.011001i,0.020926+0.05141i,0.023764+0.051668i,0.038454+0.043999i,0.024356+0.0048894i,0.033533+0.0081987i,0.030613+0.023617i,0.0045578+0.016257i,0.014661+0.041944i,-0.01907+0.029999i,0.0088213-0.0014288i,0.0085131+0.0044257i,0.0076785+0.0017562i,0.0055091+0.010441i,0.00025437+0.0079645i,-0.005761-0.0044584i,0.002539-0.0099861i,-0.0024218+0.017917i,-0.0026902-0.0021853i,-0.0021701+0.0016313i,-0.0010017+0.0007657i,0.0031735+0.0011745i,0.0028481-0.0011068i,-0.0038711-0.0019548i,0.0045373-0.00068828i,-0.0037645-0.0048424i,-0.0035486+0.00056948i,0.00032528+0.00052798i,0.00012543-0.0039895i,-0.0017615-0.0049017i,0.0003588-0.013282i,0.0035622+0.001999i,-0.0054365-0.0018836i,-0.0039197-5.7067e-05i,-0.00624-0.00031561i,0.0045237+0.0033304i,-0.0034508-0.0063738i,0.0015734-0.006715i,-0.0017795-0.002882i,-0.0028326-0.0027379i,0.0041473+0.00093786i,0.0032443+0.002587i,0.0021596-0.0011i,0.0011593+0.0094855i,0.0067288+0.010837i,0.029923+0.046393i,-0.023148-0.022077i,-0.033423+0.0047567i,-0.022034+0.0181i,0.0042563-0.002202i,0.015677-0.0055089i,-0.0082939-0.0014266i
0.016535-0.0057604i,0.045897-0.0043443i,0.027658-0.023197i,0.015176-0.020415i,0.02174-0.036803i,-0.014935-0.026783i,-0.0058138-0.014844i,0.0029517-0.028524i,0.011141-0.016206i,0.0046651-0.0012179i,0.0029843-0.0037408i,0.0014097-0.0055429i,0.0010174-0.005949i,-0.0001546-0.0031313i,-0.001434+0.00061799i,0.0017207-0.0026788i,-0.0042531+0.00020014i,-0.00071309+0.0012744i,0.00052525+0.00017291i,2.0874e-05+0.0024234i,0.0010498+0.0020756i,0.0014445-0.00084535i,0.0019575+0.0010263i,-0.0028968+0.0016019i,-0.0010405-0.00011577i,-0.00081357+7.4908e-05i,-0.0010853-0.00028276i,-0.00060267+2.8661e-05i,6.1157e-05+0.00010386i,0.00014161-0.0008354i,0.0026415-0.00088769i,0.0014914+0.00034332i,0.00075057-0.00046022i,0.0011121-0.00071718i,0.00043761+0.00056613i,0.0053475-0.00086817i,3.4321e-05+0.00014913i,-0.00077214+0.001293i,0.00034654-0.0006416i,0.00016306+0.0010749i,0.0007991+0.00083931i,0.0003289+0.00061688i,0.00080455-0.0032766i,0.00025015-0.0039758i,0.01987+0.0076657i,0.02526+0.044575i,0.030354+0.046219i,0.04319+0.036353i,0.020409+0.00060363i,0.034598+0.0046277i,0.034898+0.018419i,0.01087+0.012556i,0.02422+0.033429i,-0.012179+0.033022i,0.0079825-0.002901i,0.0080355-0.00022268i,0.00783-0.0009225i,0.0073625+0.0070211i,0.002067+0.0071096i,-0.0072422-5.1529e-05i,-0.0012888-0.0087458i,0.0016449+0.01548i,-0.003919-0.00092038i,-0.0020574+0.0036563i,-0.00087231+0.00099523i,0.0039572-0.00091956i,0.0037591+0.0003053i,-0.0033249-0.00071241i,0.0041513-0.0015739i,-0.0048526-0.0028282i,-0.002394+0.0010055i,2.8365e-05+0.00017879i,-0.0020771-0.0047069i,-0.0034434-0.003784i,-0.0038298-0.012032i,0.0037264-0.00011728i,-0.0057058+0.00018072i,-0.0030539+0.0011465i,-0.0052814+0.0015464i,0.0056258+0.0025301i,-0.0058276-0.0044043i,-0.0010577-0.0079819i,-0.0026047-0.002364i,-0.0043807-0.0024359i,0.0051422-0.0007744i,0.0047545+0.0021332i,0.0025877-0.00077133i,0.0031714+0.0095775i,0.0071624+0.0077404i,0.037532+0.038458i,-0.030257-0.013242i,-0.036203+0.010868i,-0.016254+0.020898i,0.0024128-0.00040156i,0.011478-0.0061068i,-0.0097632-0.00060431i
