-0.0075366-0.039516i,-0.012423-0.043551i,0.0023184-0.045754i,-0.026329-0.028234i,-0.020674+0.013982i,-0.032576-0.032842i,-0.060611-0.061709i,-0.021837-0.072335i,-0.034138-0.051768i,0.0012889+0.014648i,-0.007223+0.010809i,-0.015009+0.014087i,0.0017775+0.016692i,-0.0034507-0.0034566i,0.00047258+0.0065797i,0.00028775+0.039008i,0.019502+0.06017i,0.00068291-0.00075138i,-0.0051039-0.0084629i,0.0087059+0.0049954i,0.0016803+0.001138i,-0.0010582+0.0034465i,0.00013515-0.001296i,-0.036404-0.0096696i,-0.0024621-0.0075919i,-0.00022426+0.0044562i,0.0047496-1.8119e-05i,0.00018122+0.00088613i,-7.2537e-05-0.0010155i,-8.4775e-05-0.0027526i,-0.001311-0.0060745i,-0.0023642-0.004161i,-0.00055924-0.0078274i,0.0032071-0.0013779i,0.0030261-0.0023611i,-0.0015542+0.033554i,0.0060292-0.0040795i,0.0038001-0.0023642i,0.0049081+0.00019433i,-0.013745-0.0048045i,-0.00026913+0.0004565i,0.0099216-0.00098237i,0.0056469-0.0006016i,-0.0037286+0.0035941i,0.0035248+0.0023999i,-0.003129+0.008388i,0.015216-0.087215i,-0.0064051-0.048061i,-0.023964-0.038968i,-0.019079-0.042032i,0.062968-0.014844i,0.028004-0.060721i,0.038864-0.045136i,0.029902-0.056529i,0.019587-0.015674i,0.00834+0.0095764i,0.024965-0.031289i,-0.0072898-0.0050337i,0.0024353-0.0023448i,-0.0045253-0.0066663i,0.0013272-0.032397i,-0.024687+0.030707i,0.0077639-0.010225i,-0.010909-0.0016142i,-0.0052379-0.0012933i,-0.0011285-0.013819i,-0.0096842+0.0040208i,0.0034029+0.0080544i,-0.011313+0.031115i,0.0053329+0.0076567i,-0.0055164-0.0013535i,-0.0019969-0.0024478i,-0.01122-0.0075839i,0.00053396-0.0035118i,-0.035123+0.0048518i,0.0022438-0.012869i,-0.009098-0.0021302i,-0.006375-0.0028517i,0.0061885+0.0015384i,-0.0096035+0.0014446i,0.0011653+0.00078415i,0.005659+0.0090947i,0.0045333+0.00057966i,-0.0086411-0.0090493i,0.0026943+0.00887i,-0.01906+0.0066881i,0.0065906+0.0032575i,-0.02883-0.0086284i,-0.034097+0.0026209i,0.025908-0.077473i,0.012656-0.01076i,-0.042595-0.027446i,-0.023269-0.0039461i,0.017985+0.012695i,-0.026446+0.011859i,-0.011878-0.0082239i
-0.012597+0.022387i,0.012357+0.047826i,0.02655+0.045776i,-4.9273e-07+0.017944i,-0.0024435+0.0076402i,0.02719+0.0023413i,0.013076+0.017652i,0.0116+0.045489i,0.0047993+0.020331i,-0.0022409+0.0043168i,0.0013859+0.0014832i,0.0027881-0.0043538i,0.0028151-0.002557i,0.0035364-0.00048315i,0.0030182-0.0023824i,0.0052069-0.0011592i,0.013245-0.0066317i,-0.00082335-0.00081205i,-0.0047579+0.00032245i,-0.00013781+0.0024423i,-0.00059598-0.00098033i,-0.005309-0.0018329i,-0.0026388+0.00064155i,0.0043447+0.0083416i,0.0012318+0.0015504i,0.0025557+0.00063517i,0.0019313+0.0015404i,-0.0015748+0.0034203i,-0.00055419+0.0009505i,-0.00066103+0.0010437i,0.00011086-0.0033676i,-0.00097166-0.0012688i,-0.00045639-0.0005327i,-4.2932e-05+0.00071665i,-0.00046905-0.002128i,-0.0060408+0.010455i,0.0032532+0.00032605i,0.00086834+7.4024e-05i,-0.00067395+0.0026725i,-0.0009051-0.0038701i,-0.0021045+0.00054551i,-0.0025113-0.0016115i,0.00080274+0.0087819i,0.0037611-7.2942e-05i,-0.028693+0.022976i,-0.055977+0.024984i,-0.030267+0.046594i,-0.018469+0.032354i,-0.0044455+0.049778i,-0.0086479+0.032038i,0.0090369+0.010645i,-0.0062183-0.0072018i,-0.038349-0.007098i,-0.042452+0.0164i,0.0095922+0.021478i,-0.0017825+0.0028876i,-0.0053308+0.0023034i,-0.011883-0.0031794i,0.0098118+0.0015616i,0.012269+0.015208i,-0.0026168+0.0082423i,-0.0069606-0.01234i,0.0057085-0.0024545i,-0.0049144-0.0042432i,0.0040791-0.0075348i,0.0052108-0.0025443i,-0.00071624+0.0097825i,0.012526-0.0050523i,0.0073703-0.0063455i,0.0057293-0.0071851i,0.0032765-0.00049101i,-0.0029258-0.0063915i,-0.0036906-0.0016627i,0.0030119-0.0011438i,-0.012675+0.036236i,-0.0055052-0.0052113i,0.0015253+0.00069838i,-0.00050497-0.0073242i,0.0031135-0.0011445i,-0.014413-0.004792i,0.0014593-0.00058481i,0.0030111-0.0030832i,0.002256-0.0019472i,-5.6438e-05-0.0055529i,-0.0013812+0.0070138i,-0.0003513+0.0030274i,-0.0024287+0.0053818i,-0.011194-0.0021671i,-0.0088629+0.0031235i,-0.040237+0.039725i,-0.0075289+0.017411i,-0.023336-0.0051099i,-0.00017448-0.0011452i,0.0098298+0.01929i,-0.001426+0.019733i,-0.0057885-0.00074792i
-0.0093123+0.021902i,0.019437+0.043551i,0.034392+0.040182i,0.0040513+0.019876i,0.0015842+0.0079624i,0.027183-0.0035595i,0.014402+0.014337i,0.0194+0.041027i,0.0073488+0.018888i,-0.00080029+0.0043461i,0.0020693+0.0012503i,0.00037072-0.0032335i,0.0014637-0.0025366i,0.0032585-0.00046877i,0.0022937-0.0028527i,0.0043532-0.0012101i,0.0096656-0.0091498i,-0.00027049-0.00039912i,-0.004707+0.00084013i,0.00081647+0.0015194i,-0.0010472-0.0012511i,-0.0055524-0.00034736i,-0.0023723+0.00076619i,0.0084338+0.0051907i,0.0010786+0.0021931i,0.0029846-0.00050119i,0.0020801+0.00056993i,-6.3609e-05+0.0036199i,-0.00070066+0.0015732i,-0.00036889+0.001332i,-0.0012555-0.0028359i,-0.0016165-0.0011512i,-0.0009069-0.00046089i,0.00034387+0.00046116i,-0.0012195-0.00046607i,-0.0022372+0.011056i,0.0028026-0.00088766i,0.00091574-2.6514e-05i,0.00066841+0.0022425i,-0.0016745-0.0029836i,-0.0016907+0.00079146i,-0.0030033-0.00059331i,0.0028584+0.0090732i,0.0027523-0.00053623i,-0.023199+0.027652i,-0.048082+0.033589i,-0.024125+0.051418i,-0.011369+0.033734i,0.0085596+0.045615i,0.00078201+0.029697i,0.0045017+0.003943i,-0.012927-0.010959i,-0.041748-0.0055129i,-0.033916+0.017153i,0.014505+0.017297i,-0.0023674+0.0032371i,-0.0042146+0.0062947i,-0.012008+0.0016477i,0.0081319-0.0019741i,0.0149+0.011977i,0.0015912+0.011841i,-0.012644-0.010091i,0.0023112-0.0037748i,-0.0045981-0.0015442i,-0.00068423-0.0071951i,0.0035668-0.004407i,0.0039084+0.0074105i,0.008182-0.0082636i,0.0027317-0.0079817i,0.0019948-0.0057637i,0.0040597-0.0015817i,-0.0044045-0.0048238i,-0.0019742+0.00073896i,0.0031426-0.0018187i,0.0064462+0.036354i,-0.0068361-0.0038835i,0.0021923-0.0010661i,-0.0037901-0.0062196i,0.0034899-0.0020467i,-0.013948+0.001903i,0.0016023-0.00027386i,0.0015426-0.0028357i,0.0022317-0.0032214i,-0.0016254-0.0053789i,0.0010568+0.0036751i,0.0010249+0.0024775i,0.00052402+0.0061378i,-0.010795+0.001795i,-0.0086156+0.0045789i,-0.031829+0.041213i,-0.0039863+0.019908i,-0.024719-0.00041522i,-0.0014838-0.0055147i,0.012448+0.018339i,0.0024919+0.02164i,-0.0082867-0.00057772i
-0.0069754+0.021546i,0.02512+0.038094i,0.042329+0.032126i,0.010988+0.018209i,0.0061775+0.0065593i,0.025693-0.0096328i,0.014857+0.010851i,0.026221+0.034819i,0.01056+0.018067i,-5.162e-06+0.0041857i,0.0023173+0.00020237i,-5.2301e-06-0.001278i,0.00021576-0.002542i,0.0033753-0.00095878i,0.0015558-0.0029557i,0.0035383-0.0012838i,0.0062237-0.010468i,-0.00029304-0.00071163i,-0.004758+0.0023676i,0.00078468+0.00026433i,-0.0019346-0.0013586i,-0.0052696+0.0013515i,-0.0024255+0.0010578i,0.009062+0.00038051i,0.0022934+0.0019965i,0.0022171-0.0017862i,0.0019645-9.2552e-05i,0.0014775+0.0030331i,0.00033164+0.0019251i,-6.7768e-05+0.0015784i,-0.0022919-0.0017154i,-0.0022661+7.01e-05i,-0.00098258+5.4783e-05i,0.00029794+0.00013314i,-0.00067603+0.00053207i,0.00099234+0.010561i,0.0020346-0.0014687i,0.0008361-0.00055723i,0.0010556+0.0013577i,-0.0025141-0.0022778i,-0.0014758+0.00098025i,-0.0029172+0.00054269i,0.0054781+0.0089141i,0.002399-0.00063478i,-0.015969+0.030829i,-0.039415+0.040077i,-0.0156+0.055283i,-0.0040046+0.032542i,0.019877+0.037619i,0.0088973+0.027452i,-0.0019904+0.0011195i,-0.019861-0.010039i,-0.045068-0.00022079i,-0.027416+0.014928i,0.017339+0.011213i,-0.0024789+0.0038608i,-0.0024328+0.0074973i,-0.011311+0.0053875i,0.005045-0.0056767i,0.017648+0.0076122i,0.0069428+0.012038i,-0.016482-0.0057482i,0.00095804-0.0023442i,-0.0039408+0.00046693i,-0.0030107-0.0049926i,0.0013311-0.0047445i,0.0057062+0.0060439i,0.0051471-0.0087399i,-0.0019732-0.0067061i,0.0011745-0.0039214i,0.0037712-0.0040685i,-0.0062262-0.0028303i,-0.00020878+0.00071424i,0.0019265-0.0029274i,0.021642+0.02746i,-0.0084412-0.0011712i,0.0020727-0.002068i,-0.0040882-0.0039791i,0.0039958-0.0037905i,-0.010061+0.0070736i,0.002725-0.00039193i,0.00025112-0.0031675i,0.00087504-0.0034462i,-0.0033866-0.0038526i,-2.5334e-05+0.0027827i,0.0020156+0.0014424i,0.0032345+0.0055667i,-0.0096299+0.0044826i,-0.0079139+0.0068009i,-0.025685+0.041486i,0.0037784+0.020853i,-0.023977+0.0038049i,-0.0042039-0.0089865i,0.016979+0.015243i,0.008429+0.022817i,-0.010014+0.0012258i
-0.0047422+0.021471i,0.028616+0.032775i,0.046869+0.021464i,0.016148+0.012724i,0.0096559+0.0025589i,0.02235-0.014737i,0.014526+0.0083808i,0.030354+0.027337i,0.014401+0.015482i,0.00062874+0.0042692i,0.0018742-6.9849e-05i,0.00062409-0.00039585i,-0.0013181-0.0013507i,0.0030208-0.0014178i,0.00079674-0.0030531i,0.0030878-0.00094721i,0.00261-0.010359i,-0.00020788-0.00053759i,-0.0030215+0.0036484i,-3.551e-05-0.00027928i,-0.002597-0.00039674i,-0.0045077+0.0031488i,-0.0022601+0.0017067i,0.0070981-0.0032756i,0.0027543+0.0010084i,0.0010248-0.0021067i,0.0015905-0.00060882i,0.0019651+0.0018725i,0.0011248+0.0010967i,0.00048454+0.0019175i,-0.0026036-0.00013451i,-0.001779+0.0011347i,-0.0008223+0.00035953i,5.8683e-05+5.3665e-05i,1.0943e-05+0.0007928i,0.0038911+0.0093606i,0.0013919-0.0018855i,0.00035389-0.00089307i,0.0010961+0.001126i,-0.0029881-0.0014358i,-0.0011913+0.0012694i,-0.0026196+0.0013661i,0.0082969+0.0075918i,0.0020336-0.00074351i,-0.008112+0.030565i,-0.029333+0.044707i,-0.0064422+0.057908i,0.00073734+0.030243i,0.028219+0.026035i,0.016258+0.021035i,-0.0094187+0.0029218i,-0.026995-0.0058152i,-0.046996+0.0077213i,-0.024316+0.011381i,0.018216+0.0044355i,-0.0020496+0.0051795i,1.6698e-05+0.0098205i,-0.009367+0.0088452i,-0.00061136-0.0056684i,0.019487+0.00095745i,0.012044+0.0095421i,-0.018601-0.0003646i,0.00050906-0.0019738i,-0.002677+0.0017262i,-0.003977-0.0018877i,-0.00016095-0.0042848i,0.0074751+0.0028504i,0.0024722-0.0088335i,-0.0045786-0.002684i,0.0015757-0.0031205i,0.0018269-0.0059717i,-0.0062339+0.00036422i,0.00088638+0.00060811i,0.00094687-0.0029873i,0.029895+0.013281i,-0.00811+0.0028219i,0.001633-0.0032648i,-0.0042539-0.0022145i,0.0024443-0.0062329i,-0.0049523+0.0084462i,0.0035641-0.0018083i,-0.00087771-0.0021109i,-1.3864e-05-0.0031942i,-0.0033654-0.0015658i,-0.0003715+0.0033491i,0.001898+0.00014904i,0.0056126+0.004042i,-0.0080707+0.0061677i,-0.0065907+0.0089118i,-0.020058+0.043212i,0.014313+0.015256i,-0.021514+0.0077567i,-0.0099719-0.010689i,0.018782+0.010337i,0.015352+0.020951i,-0.0091514+0.0027004i
-0.0021722+0.021604i,0.032118+0.028413i,0.048342+0.011544i,0.018399+0.0060246i,0.010308-0.0025888i,0.018627-0.018534i,0.014341+0.0070177i,0.032415+0.020578i,0.017802+0.011886i,0.0014865+0.0042385i,0.0016949-1.3311e-05i,0.0014854-0.00044399i,-0.0014967+0.00073487i,0.0025368-0.0019334i,5.9102e-05-0.0025698i,0.0032441-0.00042788i,0.00010535-0.0089849i,-0.00056706-0.0004791i,-0.0015862+0.0035707i,-0.00071263-0.0001122i,-0.0026789+0.0004753i,-0.0025878+0.0043201i,-0.0015815+0.0022856i,0.004233-0.0052552i,0.0025677+0.00011004i,0.00023909-0.0021384i,0.0011159-0.0010035i,0.0019045+0.00094015i,0.00098015+0.00038663i,0.0014659+0.0018093i,-0.0018776+0.00099332i,-0.0010611+0.0017185i,-0.00061844+0.00051935i,0.00020747+0.00066756i,0.00069066+0.00097799i,0.0061161+0.0075263i,0.00058699-0.0020675i,-0.00018334-0.00075508i,0.0017288+0.00078211i,-0.0031129-0.00045854i,-0.00087633+0.001148i,-0.0020488+0.0020121i,0.010333+0.0048382i,0.0013294-0.0012775i,-0.0024478+0.028345i,-0.018534+0.046348i,0.0050714+0.058511i,0.005296+0.028607i,0.030647+0.013305i,0.019332+0.013339i,-0.012916+0.0098886i,-0.031401+0.0034091i,-0.046978+0.01831i,-0.025162+0.008747i,0.015192-0.0011233i,-0.00030976+0.0062569i,0.0044709+0.0093497i,-0.0063744+0.011515i,-0.0033675-0.0024917i,0.0175-0.0072484i,0.015769+0.0046558i,-0.018822+0.0057291i,0.00034662-0.0009138i,-0.0014276+0.0022654i,-0.0024362+0.00019797i,-0.0021077-0.0029805i,0.0071903+0.00017978i,-0.00015519-0.0082481i,-0.0038858+0.0012923i,0.0022464-0.003522i,-0.00085542-0.0065486i,-0.0043314+0.0023885i,0.0019682-0.00018924i,0.00037529-0.0024166i,0.03061-0.0013048i,-0.0052248+0.005693i,0.00028106-0.0041644i,-0.0034946-0.0016884i,-4.1846e-05-0.0071028i,-0.0013889+0.0075334i,0.0030368-0.00344i,-0.00092688-0.00048135i,-6.6661e-05-0.0025303i,-0.0017985-0.0008679i,0.0011252+0.0040287i,0.00075452-0.00070784i,0.0060243+0.0013957i,-0.0066145+0.0066923i,-0.0040997+0.011062i,-0.013281+0.044302i,0.0188+0.0021287i,-0.016984+0.0090049i,-0.016315-0.0092541i,0.019867+0.0054028i,0.020857+0.014319i,-0.0095401+0.002601i
0.00060722+0.02082i,0.035749+0.023353i,0.048671+0.002284i,0.018916-0.0007316i,0.0096126-0.0066704i,0.014409-0.021672i,0.015415+0.0058666i,0.033648+0.014272i,0.020511+0.0068216i,0.0020545+0.0038733i,0.0021681+1.7248e-05i,0.0020317-0.00082195i,5.408e-05+0.0021597i,0.002037-0.0021529i,-0.00014014-0.0021961i,0.0038452-0.00021262i,-0.0011316-0.0078662i,-0.00017637-0.00034079i,-0.00065013+0.0034612i,-0.00098757+0.00033469i,-0.0020994+0.0011911i,-0.00037668+0.0040687i,-0.00083406+0.0024629i,0.00095492-0.0058744i,0.0025394-0.00051226i,-0.00065416-0.0019691i,0.00056934-0.0012068i,0.0017487+0.00045729i,0.0007838+0.00017724i,0.0019911+0.00089812i,-0.0010722+0.001496i,-0.00024254+0.0019408i,-0.00048108+0.00085071i,0.00084833+0.00024293i,0.0011255+5.9457e-05i,0.0071861+0.0052411i,-0.00013021-0.0020771i,-0.0003599-0.00034484i,0.0014321-0.00010137i,-0.0027206+0.0002546i,-0.0010023+0.0013693i,-0.0012837+0.0023635i,0.011171+0.001966i,0.0005506-0.00085855i,0.0019246+0.025282i,-0.0088556+0.045026i,0.016843+0.054747i,0.010149+0.026577i,0.0291+0.0021175i,0.019433+0.0067531i,-0.011146+0.017827i,-0.030247+0.015231i,-0.041248+0.031248i,-0.02783+0.0097915i,0.01165-0.0039217i,0.0017525+0.0059882i,0.0074272+0.0069257i,-0.0024773+0.013664i,-0.0037868+0.00015248i,0.011515-0.014266i,0.016306-0.0023018i,-0.016457+0.010617i,0.0011679-0.0006337i,-0.00015437+0.0021536i,-0.00090018+0.00032713i,-0.0022591-0.00053173i,0.0056927-0.0014181i,-0.0018402-0.0067951i,-0.0012749+0.0033566i,0.0018659-0.00489i,-0.0032758-0.0053565i,-0.0028228+0.0026754i,0.0020471-0.0016418i,0.00062521-0.0019724i,0.0252-0.013602i,-0.0018347+0.0063091i,-0.0013013-0.0037957i,-0.0034764-0.0011804i,-0.0027511-0.0065325i,0.00080067+0.0063162i,0.002407-0.0046239i,0.00041057+0.00013164i,-0.00013239-0.0031154i,-0.00079569-0.0015325i,0.002355+0.003841i,-0.00050411-0.00017508i,0.0054027-0.00020442i,-0.0057337+0.006926i,-0.00046283+0.011764i,-0.0059969+0.04415i,0.014426-0.0090917i,-0.01422+0.0061811i,-0.021891-0.0042271i,0.018629-0.0010588i,0.021854+0.0072212i,-0.010128+0.0042707i
0.0032295+0.019904i,0.038442+0.017286i,0.046934-0.0077794i,0.016385-0.008376i,0.0079957-0.010949i,0.0094841-0.023721i,0.017283+0.0038169i,0.033949+0.0081061i,0.021098+0.0012505i,0.0026052+0.0039646i,0.0022489-0.00055343i,0.0023013-0.0021856i,0.0016076+0.0021162i,0.0013631-0.0023337i,-0.00021158-0.0019209i,0.0046596-0.0007521i,-0.0025054-0.0071718i,-0.00054242-0.00066695i,0.00054412+0.0031424i,-0.001233+0.00094507i,-0.0018046+0.0014411i,0.00085842+0.0028194i,-0.00038762+0.0024063i,-0.0022057-0.0047944i,0.0020174-0.0019806i,-0.0014584-0.0012301i,-9.7673e-05-0.001212i,0.0015729+0.00017239i,0.00087805-7.0859e-05i,0.001897-8.162e-05i,-1.1531e-05+0.0015721i,0.00046934+0.0019731i,-0.00028565+0.0012189i,0.00075795-9.0029e-05i,0.00044644-0.00088212i,0.0075884+0.0032567i,-0.00095031-0.0016908i,-0.00038518-0.00012592i,0.0011518-0.00037006i,-0.0020896+0.00064775i,-0.00071389+0.0018502i,-0.00050413+0.0025836i,0.011393-0.0013545i,0.00019406-0.00021696i,0.0048314+0.022223i,-0.00065537+0.042159i,0.025999+0.047897i,0.015094+0.023729i,0.024568-0.0067311i,0.017823+0.0023817i,-0.0052527+0.022737i,-0.021771+0.024795i,-0.029114+0.040104i,-0.029586+0.014347i,0.0081737-0.0050008i,0.0032786+0.0049264i,0.008607+0.0035143i,0.0022503+0.013603i,-0.0039895+0.0019925i,0.0012819-0.016736i,0.013189-0.0077942i,-0.013489+0.014288i,0.001817-0.0017408i,0.00070673+0.0015251i,-0.00061152-0.00035566i,-0.00088958+0.00087824i,0.0046209-0.001479i,-0.00293-0.0059081i,0.0013494+0.0033789i,0.00030988-0.0063441i,-0.004579-0.0034858i,-0.001337+0.0029628i,0.001089-0.0030614i,0.00087363-0.0026884i,0.015773-0.020661i,0.00073545+0.0056184i,-0.0022305-0.0030002i,-0.0030261-0.00085528i,-0.0047475-0.0053725i,0.0019463+0.0051212i,0.0013916-0.0062636i,0.0013367-0.00042373i,-0.0011343-0.0032463i,-0.0011878-0.0023334i,0.0039943+0.0037314i,-0.00078912+0.0011759i,0.0050152-0.0013537i,-0.0050253+0.0078701i,0.0028669+0.010735i,0.0010746+0.043243i,0.0066252-0.016428i,-0.01633+0.0029254i,-0.023737+0.0033098i,0.012958-0.0055517i,0.02186+0.0011974i,-0.0083525+0.0053481i
0.0057546+0.018325i,0.040351+0.011517i,0.042462-0.016492i,0.01032-0.013294i,0.0044654-0.014544i,0.0047643-0.024395i,0.019227+0.00050921i,0.032984+0.0025535i,0.020499-0.0045244i,0.0039096+0.0039951i,0.0020652-0.00063441i,0.0010332-0.0033781i,0.002909+0.0014575i,0.0008273-0.0022566i,-0.00011337-0.0020214i,0.0051618-0.0015631i,-0.0045575-0.0056907i,-0.00092074-0.00037666i,0.0013597+0.0022612i,-0.00082619+0.0019622i,-0.0014339+0.0019753i,0.00089045+0.0013829i,3.533e-05+0.0024199i,-0.0041471-0.0023362i,0.00029206-0.0023019i,-0.0016624-0.00032817i,-0.00062229-0.00095857i,0.0014602-4.1224e-05i,0.00049398-0.00066212i,0.0014515-0.00072142i,0.00088544+0.0011008i,0.0010949+0.001655i,0.00032853+0.0014721i,0.00057066-0.00018475i,-0.00039283-0.00036966i,0.0075336+0.0012953i,-0.0014277-0.0010129i,-0.00039488+0.0002151i,0.0012206-0.00043048i,-0.0013857+0.00069171i,-4.6367e-05+0.0022744i,0.00042495+0.0024239i,0.0099973-0.0045619i,0.00016729+0.00050104i,0.0073205+0.018944i,0.0061201+0.037826i,0.032051+0.04029i,0.020118+0.019623i,0.018533-0.012202i,0.01585-0.00042993i,0.0015476+0.024775i,-0.011395+0.027902i,-0.014925+0.043313i,-0.0282+0.02044i,0.0061872-0.0048003i,0.0044711+0.0034718i,0.0082214+0.00062322i,0.0068296+0.011302i,-0.0032179+0.0044395i,-0.0079512-0.012634i,0.0085743-0.01086i,-0.0094765+0.017366i,0.0010651-0.0031896i,0.00092987+0.0008492i,-0.00093492-0.0004788i,0.00093916+0.0011464i,0.0043117-0.0018863i,-0.0044174-0.0045453i,0.0033383+0.0019798i,-0.0027311-0.0066089i,-0.0049185-0.001435i,0.00023573+0.0020652i,0.00012424-0.00367i,0.00031106-0.0039107i,0.0058714-0.022641i,0.0026866+0.0041975i,-0.0027968-0.0024351i,-0.0037439-0.00074798i,-0.0063922-0.0033614i,0.0023258+0.004176i,-0.0011075-0.0077164i,0.0020672-0.0012642i,-0.0016961-0.0024217i,-0.0016706-0.0023905i,0.0052763+0.002563i,-0.00015034+0.0022006i,0.0036303-0.0025308i,-0.0038972+0.0090053i,0.0052121+0.008613i,0.0090393+0.041452i,-0.0041647-0.020163i,-0.020252+0.0030036i,-0.021246+0.010693i,0.0076537-0.0056976i,0.018922-0.0053503i,-0.0065659+0.0038906i
0.0077043+0.016184i,0.041854+0.004794i,0.037071-0.02286i,0.0045829-0.014152i,0.00020604-0.016487i,0.00078108-0.024488i,0.020434-0.0043106i,0.031882-0.002363i,0.018133-0.0096689i,0.0053788+0.00302i,0.0025274-0.00090602i,-0.00037969-0.0031576i,0.0035941-0.00023185i,0.00048849-0.0021248i,-0.00041573-0.0022552i,0.0054932-0.0024365i,-0.0053593-0.0032756i,-0.00083786-0.00049571i,0.0013445+0.0013165i,0.00019534+0.0022138i,-0.00084911+0.0021751i,0.00047034+0.00051991i,0.00057969+0.0023286i,-0.0045925+0.00078163i,-0.00069614-0.0014603i,-0.001513+0.00037921i,-0.00087839-0.00060508i,0.0012571-0.00038597i,-0.00013517-0.00032314i,0.00085121-0.0012205i,0.0014223+0.00033964i,0.0014355+0.0012425i,0.0011226+0.0012102i,0.00075275-0.0001281i,-0.00036133+0.00055013i,0.0068462-0.00045044i,-0.0017449-0.00019773i,-0.00013155+0.00043082i,0.0011403-0.0009469i,-0.00072219+0.00051315i,0.0008451+0.0020823i,0.0011458+0.0019659i,0.0074628-0.0069352i,0.00038235+0.0010281i,0.008536+0.016018i,0.010409+0.032817i,0.036509+0.032873i,0.023508+0.013488i,0.012663-0.015329i,0.014324-0.0006034i,0.0089986+0.024822i,-0.0020005+0.028569i,-0.0018994+0.041609i,-0.02437+0.026329i,0.0048685-0.0052981i,0.005259+0.0014414i,0.0077587-0.0015903i,0.010132+0.0073642i,-0.00074025+0.0053052i,-0.012444-0.0056792i,0.0035494-0.012084i,-0.004184+0.018641i,-0.00071868-0.0038017i,0.00045412+0.00064276i,-0.0011862-0.00015211i,0.0021076+0.00011269i,0.0038647-0.0016227i,-0.00497-0.002503i,0.003845+0.00036435i,-0.0052058-0.0047092i,-0.004103+0.00022398i,0.00046109+0.00069448i,-0.00071021-0.0042484i,-0.0011465-0.0043334i,-0.0025352-0.020819i,0.0040912+0.0021321i,-0.0036728-0.0016367i,-0.004153+0.00077406i,-0.0066763-0.00064814i,0.0030329+0.0038033i,-0.0046177-0.0076348i,0.0022838-0.0028909i,-0.0019242-0.002193i,-0.0022135-0.0028024i,0.0064167+0.0010873i,0.00084727+0.0025371i,0.0023008-0.0020355i,-0.0021807+0.0094895i,0.0064979+0.0060031i,0.016972+0.037187i,-0.015657-0.017724i,-0.0237+0.0053621i,-0.015756+0.014433i,0.0046682-0.0046174i,0.013371-0.0090693i,-0.0079691+0.0028668i
0.0088218+0.01407i,0.041973-0.0024016i,0.031641-0.028112i,0.00060272-0.013531i,-0.0041015-0.017073i,-0.0035044-0.024509i,0.019879-0.010309i,0.030625-0.0073652i,0.014174-0.013989i,0.0062693+0.0014662i,0.0028651-0.0019149i,-0.0013286-0.0023498i,0.0030302-0.0018856i,0.0002455-0.0019591i,-0.0011045-0.0024744i,0.0057074-0.0037433i,-0.0053309-0.0012911i,-0.0011099-0.00072827i,0.0012976+0.00090086i,0.00097857+0.0019702i,-0.0002968+0.0023667i,-0.00021772+0.00034123i,0.000966+0.0020541i,-0.0032919+0.0036253i,-0.00065719-0.00049095i,-0.0011763+0.0010258i,-0.00099395-0.00023555i,0.00090013-0.00047149i,-0.00014274-4.9397e-05i,-8.9317e-06-0.0012878i,0.0015223-0.00052635i,0.0018561+0.00076397i,0.0014869+0.00068783i,0.00072264-0.00070506i,0.00031736+0.00083242i,0.0060082-0.0018279i,-0.0015248+0.00062405i,0.00021537+0.00048253i,0.0001065-0.0011858i,-0.00011624+2.9602e-05i,0.0015287+0.0017959i,0.0015367+0.0014396i,0.0046705-0.0075467i,0.0010005+0.001998i,0.0089256+0.013686i,0.012846+0.029179i,0.039695+0.025482i,0.024437+0.0081352i,0.00657-0.017249i,0.015902-0.00010233i,0.015819+0.021902i,0.0082304+0.026188i,0.0098963+0.035562i,-0.017044+0.030873i,0.0033648-0.0057688i,0.0046698-0.0016073i,0.0068467-0.0039471i,0.010637+0.0023191i,0.00063666+0.0046531i,-0.013193+0.0020844i,-0.0017139-0.011007i,0.00034932+0.016707i,-0.002579-0.0031157i,0.00014816+0.0013159i,-0.0012358+0.00034711i,0.0028353-0.0013658i,0.0045724-0.00082366i,-0.0040086-0.00091614i,0.0040307-0.00037096i,-0.0061057-0.0022386i,-0.0029623+0.00098199i,6.8842e-05+0.00018521i,-0.0030361-0.0047244i,-0.002605-0.0036221i,-0.009414-0.017209i,0.0042926-0.00045008i,-0.0040469-0.00025304i,-0.002864+0.0020993i,-0.0060148+0.0015136i,0.0042658+0.0032729i,-0.0075978-0.0051004i,0.0010239-0.0045519i,-0.0027162-0.0016521i,-0.0039081-0.002523i,0.007072-0.0014641i,0.0021216+0.0028173i,0.0024905-0.0017699i,-2.663e-05+0.010304i,0.0065997+0.0034012i,0.023491+0.030693i,-0.022179-0.0093054i,-0.026392+0.010151i,-0.010187+0.015971i,0.001964-0.0028843i,0.0085769-0.0088563i,-0.0086909+0.0032494i
