-0.024296-0.037994i,-0.012087-0.048835i,-0.018103-0.044334i,-0.030568-0.034993i,-0.029973-0.015782i,-0.050251-0.027206i,-0.057063-0.025303i,-0.044242-0.035431i,-0.028322-0.030593i,0.0078318+0.012617i,-0.0048861+0.015213i,-0.0046546+0.014323i,0.0093257+0.02035i,0.00052209+0.0043938i,0.0033039+0.0034203i,0.0067321+0.018638i,0.024664+0.034671i,-0.0025025-0.0011494i,-0.0050973-0.0061242i,0.0060714+0.0038086i,-0.00038483-0.00067312i,-0.001247+0.0017272i,0.00010899-0.00024069i,-0.029682-0.0036336i,-0.0019458-0.0057058i,0.0015138+0.0040563i,0.0035515-0.00083218i,-0.00057197+0.0005117i,0.00062778-0.00049834i,-0.00090369-0.002787i,-0.0020551-0.0062053i,-0.0044375-0.0045816i,-0.0018702-0.004451i,0.0022365-0.00054162i,0.0019879-0.002828i,-0.0004119+0.024733i,0.0017988-0.0030175i,0.0026229+0.0007288i,0.0055767+0.0010034i,-0.010648-0.0037359i,-0.0033786+0.00047093i,0.0051277+0.00039366i,0.0057398-0.00060728i,-0.003371+0.0048049i,0.0012753-0.0086687i,-0.012124+0.018446i,0.035969-0.090056i,0.011967-0.069792i,-0.015549-0.059558i,-0.015573-0.055357i,0.040035-0.044914i,0.01746-0.061352i,0.03436-0.054977i,0.02932-0.05921i,0.016301-0.013882i,0.0047573+0.016494i,0.017266-0.026194i,-0.01169+0.0052034i,-0.00014021+0.0053945i,-0.0045954-0.0016428i,-0.0023381-0.029586i,-0.023471+0.031662i,0.010578-0.012157i,-0.01307-0.0028475i,-1.7569e-06-0.0049759i,-0.00044866-0.015918i,-0.0077537+0.0046468i,0.0046093+0.0062944i,-0.0075894+0.030357i,0.0045329+0.0063152i,-0.0053285-0.00074516i,-0.0032324-0.00080453i,-0.012282-0.0085596i,-0.00077445-0.0041201i,-0.013697+0.0031691i,0.00020249-0.0099705i,-0.0095095-0.0017661i,-0.0069851-0.0030776i,0.0070993+0.003081i,-0.0075414+0.0016081i,2.1405e-05+0.00056531i,0.0063302+0.01105i,0.0040767+0.0014948i,-0.0085462-0.0096063i,0.0030998+0.008241i,-0.022816+0.0059975i,0.0077117+0.000239i,-0.028485-0.0042234i,-0.042019+0.0028083i,0.022767-0.095546i,-0.00092608-0.012789i,-0.051644-0.022078i,-0.023828-0.0022084i,0.017865+0.010728i,-0.024944+0.013199i,-0.017699-0.012047i
0.0081709+0.020934i,0.014574+0.050421i,0.024372+0.03434i,0.017048+0.026859i,0.024122+0.026427i,0.031788-0.014378i,0.017168-0.0086689i,0.0282+0.0052136i,0.011388+0.012834i,0.0027597+0.0041234i,0.00501+0.0025732i,0.0042561+0.0032034i,0.0057574+0.0027179i,0.0049668+0.0034929i,0.0029171-0.0032927i,0.0078992-0.00087912i,0.0099869-0.0033818i,-0.0015852-0.0012823i,-0.0028896+0.00062114i,5.9253e-05+0.0012605i,-0.001037-0.0002269i,-0.0027458+0.0010511i,-0.0020475+0.00096844i,0.0045699+0.008077i,0.0016488+0.00086749i,0.0023264+0.00059631i,0.00187+0.001062i,0.0010723+0.0013983i,0.00057265+5.0785e-05i,-0.00039546+0.00074952i,-0.0023481-0.0028557i,-0.0008715-0.0002923i,-0.0010025+0.00085396i,-0.0010383+0.00010547i,-0.00065951-0.0015465i,-0.0059574+0.0075476i,0.0012284+0.00027427i,0.0013755-0.00062105i,-0.00097892+0.0027819i,-0.00044469-0.0034057i,-0.0012374+0.00038987i,-0.0022371-0.00060528i,0.0016945+0.00083862i,0.0064768+0.0046842i,-0.012468+0.033024i,-0.080287+0.033427i,-0.051226+0.037313i,-0.037039+0.059204i,-0.01892+0.07205i,-0.0090481+0.050815i,0.014397+0.036835i,0.0021009-0.0020025i,-0.035868+0.011475i,-0.044316+0.01826i,0.0018826+0.024195i,-0.0076996+0.0025697i,-0.010385-0.0009124i,-0.012791-0.0024712i,0.0025277+0.00068732i,0.0068231+0.011194i,-0.0020141+0.0088482i,-0.0061155-0.010226i,0.0052952-0.0068366i,-0.0067088-0.006874i,0.0018304-0.0061202i,0.003783-0.0042586i,-0.0015032+0.010017i,0.010127-0.0050029i,0.0053439-0.0050379i,0.003072-0.0064809i,0.0029551-0.00042171i,-0.0012962-0.0048339i,-0.0037265-0.0013259i,0.0025987-0.00039305i,-0.0035517+0.014114i,-0.0041356-0.0039851i,0.0023195+0.00015826i,-4.5932e-05-0.0064734i,0.0025552-0.0016146i,-0.014727-0.0029594i,0.00061713+1.0343e-05i,0.0048557-0.0027466i,0.002583-0.0010781i,0.00027792-0.0046982i,-0.00019729+0.0058318i,-0.00055843+0.006119i,-0.0027495+0.0044699i,-0.012276+0.0027662i,-0.01497-0.0014669i,-0.040313+0.054545i,0.00041135+0.0047155i,-0.025425-0.016298i,-0.004979-0.0016527i,0.0090353+0.020214i,-0.0011492+0.022891i,-0.00072044-0.00089256i
0.010613+0.01738i,0.022731+0.045915i,0.029681+0.029993i,0.021709+0.024469i,0.029793+0.02243i,0.028488-0.019982i,0.014589-0.011956i,0.028766+0.00028776i,0.013273+0.010426i,0.0039752+0.0027922i,0.0054186+0.0013482i,0.0041265+0.0029534i,0.0059639+0.0016387i,0.0055679+0.0022274i,0.0018521-0.0037447i,0.0067265-0.0024124i,0.0084443-0.0062549i,-0.0012966-0.00097353i,-0.002514+0.00058077i,0.00064697+0.00054523i,-0.0012859-0.00025374i,-0.0024418+0.0016222i,-0.0016613+0.0011208i,0.0083066+0.0055566i,0.0014446+0.00093213i,0.0026914-0.00042358i,0.0019741+3.0662e-05i,0.0016215+0.00062408i,0.00020407+4.5039e-05i,-0.00031261+0.00089764i,-0.0031533-0.001663i,-0.0012442-0.00032882i,-0.00074808+0.0011845i,-0.00078019+0.00037706i,-0.0012662-0.0004401i,-0.0031701+0.0083974i,0.00095259-0.00015868i,0.0010238-0.00091238i,0.00069457+0.0024706i,-0.0014907-0.0027809i,-0.0010633+0.00045662i,-0.0024196+0.00038642i,0.0015175+0.00078617i,0.0069341+0.0035796i,-0.0060681+0.034545i,-0.068852+0.047292i,-0.04717+0.045962i,-0.026918+0.063127i,-0.003238+0.069664i,0.0016609+0.048775i,0.011281+0.03301i,-0.003305-0.0060372i,-0.035255+0.012802i,-0.035672+0.019956i,0.0079599+0.021901i,-0.0080805+0.0047988i,-0.0098209+0.0047591i,-0.012522+0.00030039i,0.001327-0.00072497i,0.0094521+0.0097646i,0.002416+0.011644i,-0.010903-0.008752i,0.001184-0.0071692i,-0.006216-0.0028109i,-0.001386-0.005627i,0.0012863-0.0055629i,0.0028203+0.0076701i,0.0064852-0.0075783i,0.0012267-0.0055104i,-9.1074e-05-0.0041454i,0.0037484-0.0014311i,-0.00235-0.0040627i,-0.0018836+0.0014955i,0.0030984-0.00061734i,-0.0021029+0.021399i,-0.0052431-0.0032975i,0.0027939-0.0020006i,-0.0026732-0.0061284i,0.0025825-0.0024895i,-0.01344+0.0031416i,0.001011+0.00031598i,0.003007-0.0024642i,0.0028908-0.0023065i,-0.00093251-0.0042619i,0.0018897+0.0024551i,0.0021781+0.0050047i,1.0612e-05+0.0054692i,-0.010383+0.006218i,-0.016059+0.0016103i,-0.029679+0.056806i,0.00048563+0.0056338i,-0.028833-0.010997i,-0.008709-0.0086527i,0.012112+0.019146i,0.0033733+0.023942i,-0.0037244-0.0023722i
0.01189+0.01455i,0.029+0.039515i,0.035238+0.023402i,0.027215+0.019905i,0.035407+0.016916i,0.024081-0.025255i,0.01128-0.014877i,0.028785-0.0053512i,0.015118+0.0079544i,0.0039826+0.0014438i,0.0052681-0.0003107i,0.0049659+0.002815i,0.005845-1.4099e-05i,0.0058811+0.000534i,0.00072011-0.0038896i,0.0054228-0.0034673i,0.0052199-0.0084513i,-0.0015341-0.0009123i,-0.0023844+0.0011205i,0.00049209-0.00050685i,-0.0018367-0.00018923i,-0.0018524+0.0021992i,-0.0014816+0.0012689i,0.0090979+0.0011084i,0.0020084+0.00040306i,0.0020381-0.0015723i,0.0015427-0.00063806i,0.0016262-0.00038232i,0.00019435+0.00023226i,-0.00017473+0.0011313i,-0.0037045-0.00021949i,-0.0017809+0.0005194i,-0.00013224+0.0014485i,-0.00057226+0.00065306i,-0.00095439+0.00047162i,-0.0016001+0.0089523i,0.00069087-0.0002681i,0.00060448-0.0012288i,0.0013271+0.0014639i,-0.002347-0.0019721i,-0.00096024+0.00054278i,-0.0020288+0.0011425i,0.0016671+0.001108i,0.0078491+0.0023458i,0.0018884+0.034176i,-0.056356+0.057778i,-0.039172+0.054285i,-0.015612+0.06363i,0.011294+0.063288i,0.010994+0.046841i,0.010881+0.028902i,-0.0085229-0.006505i,-0.035209+0.016544i,-0.028686+0.018723i,0.012501+0.017479i,-0.007633+0.0069843i,-0.0074208+0.0078703i,-0.01268+0.0036507i,-0.00055501-0.0024301i,0.011798+0.0073222i,0.0075991+0.010805i,-0.014467-0.0050653i,-0.0007839-0.0051935i,-0.0052637-0.00014137i,-0.0030976-0.0038015i,-0.0012592-0.0047212i,0.0050388+0.0065592i,0.0036361-0.0077903i,-0.0021719-0.0043734i,6.4392e-06-0.0018186i,0.0034356-0.0038581i,-0.0039579-0.0031595i,-0.00026646+0.0010293i,0.002647-0.0017239i,0.01415+0.020694i,-0.0066537-0.0014155i,0.002294-0.0031839i,-0.0032107-0.0042841i,0.0028628-0.0036998i,-0.0096476+0.0079845i,0.0020638+0.00054177i,0.002278-0.0030014i,0.0017902-0.0027692i,-0.0011296-0.003506i,0.00074777+0.0014253i,0.0036253+0.0030456i,0.0023436+0.00461i,-0.0085692+0.0085677i,-0.016245+0.0062496i,-0.02109+0.05658i,0.0043218+0.0057839i,-0.030167-0.0056561i,-0.012039-0.010773i,0.016737+0.015569i,0.0087984+0.024383i,-0.0062715-0.0012594i
0.012786+0.012348i,0.03255+0.033184i,0.037738+0.015418i,0.030948+0.012946i,0.039364+0.0089128i,0.018021-0.029078i,0.0072618-0.016562i,0.026806-0.011148i,0.016667+0.0049115i,0.0036414+0.00065499i,0.0045052-0.0010454i,0.0058194+0.0018352i,0.0050677-0.00090757i,0.0053302-0.0010023i,-0.00054314-0.0037348i,0.0040067-0.0039317i,0.001808-0.0080087i,-0.0015537-0.00046302i,-0.0015352+0.0018123i,-0.00034899-0.00090176i,-0.0021734+0.00064743i,-0.0012218+0.0028335i,-0.001288+0.0015972i,0.0076314-0.0023329i,0.0018741-0.00039551i,0.00090473-0.0018307i,0.001048-0.00086411i,0.0010163-0.0010292i,0.0003102+6.8875e-05i,0.00018214+0.0014505i,-0.0033841+0.0015122i,-0.001278+0.0013827i,0.00046255+0.0011721i,-0.00038958+0.00086808i,-0.00044415+0.00090333i,0.0014152+0.0088539i,0.00059222-0.00047956i,0.00012519-0.0014601i,0.0012048+0.00094434i,-0.0027911-0.0010697i,-0.00079444+0.00078733i,-0.0015477+0.0016307i,0.0023061+0.0011347i,0.0084307+0.00090432i,0.0086793+0.03059i,-0.041867+0.065123i,-0.029889+0.060445i,-0.0069103+0.062804i,0.023722+0.052405i,0.020631+0.0411i,0.0096534+0.026804i,-0.014387-0.0043349i,-0.034136+0.022093i,-0.024756+0.015806i,0.015499+0.011731i,-0.0058768+0.0099535i,-0.004438+0.011131i,-0.011387+0.0073233i,-0.0042589-0.001572i,0.013922+0.0029598i,0.012023+0.0076262i,-0.016842-0.00051637i,-0.0017572-0.0042761i,-0.0032634+0.0011933i,-0.0038316-0.001461i,-0.0025952-0.0033518i,0.0070051+0.0033009i,0.00083569-0.0076177i,-0.0038051-0.00097402i,0.00098131-0.00096992i,0.0013691-0.0055585i,-0.0045373-0.00074933i,0.0010311+0.0011644i,0.0022495-0.0023776i,0.020697+0.0092757i,-0.0067821+0.0019472i,0.0016373-0.0044833i,-0.0036687-0.0025068i,0.0013654-0.0058827i,-0.0044895+0.0094479i,0.0034894-0.00055708i,0.001244-0.0026745i,0.0010492-0.0027344i,-0.0021158-0.0036049i,0.00028419+0.0016669i,0.0033061+0.0010954i,0.0039382+0.003609i,-0.0057962+0.01009i,-0.014616+0.010656i,-0.013495+0.057521i,0.010872+0.0016415i,-0.028948-0.00010445i,-0.017797-0.01085i,0.017739+0.010419i,0.015358+0.0226i,-0.0057189-0.00023466i
0.014233+0.01044i,0.035827+0.028005i,0.038652+0.0085236i,0.032391+0.0056265i,0.040631+0.00024018i,0.012186-0.031377i,0.0033501-0.016616i,0.023744-0.015845i,0.017804+0.0012335i,0.0033519+6.5956e-05i,0.0039506-0.0014436i,0.006329+0.00050351i,0.0045951-0.0012152i,0.0044411-0.0021228i,-0.0015915-0.002905i,0.0027719-0.0039245i,-0.00023018-0.0069227i,-0.0017922-3.5362e-05i,-0.0010034+0.0018074i,-0.0011258-0.00069247i,-0.0019201+0.0013199i,4.7087e-05+0.0032431i,-0.00093384+0.0020518i,0.0052955-0.0046672i,0.0013262-0.00077741i,0.00023009-0.0017415i,0.0007063-0.00098524i,0.00036254-0.00083099i,0.00017012-1.1739e-05i,0.00091024+0.0014554i,-0.0020384+0.0027582i,-0.00057573+0.0016854i,0.00080242+0.00081804i,4.4134e-05+0.0012441i,0.00025586+0.0010406i,0.0043196+0.0074586i,0.00030352-0.00047267i,-0.00051769-0.0012487i,0.0015886+0.00057401i,-0.0026724-0.00012869i,-0.00046533+0.0007766i,-0.00087035+0.001897i,0.0028361+0.00059125i,0.008286-0.001222i,0.013017+0.025855i,-0.026109+0.068115i,-0.017895+0.065141i,0.0020988+0.062436i,0.029777+0.039135i,0.026884+0.033662i,0.0097865+0.028094i,-0.017587+0.0022312i,-0.031487+0.02944i,-0.024421+0.013666i,0.014581+0.0056883i,-0.0023401+0.011851i,0.00075096+0.011697i,-0.0090057+0.010264i,-0.0055001+0.0017186i,0.013283-0.0030291i,0.01435+0.0027458i,-0.017618+0.0049582i,-0.0023751-0.0021816i,-0.0022813+0.0014804i,-0.0026671+0.00022654i,-0.0038603-0.00147i,0.006657+0.00043876i,-0.0013433-0.0066571i,-0.003085+0.0021998i,0.002438-0.001431i,-0.001113-0.0059671i,-0.0034593+0.001193i,0.0023206+3.5722e-05i,0.0016483-0.0025827i,0.02123+0.00017142i,-0.0046295+0.0044667i,-2.8359e-05-0.00543i,-0.0030341-0.0016135i,-0.0011244-0.0061337i,-0.00049887+0.0086354i,0.0032459-0.0029946i,0.0010962-0.0015577i,0.001228-0.0023567i,-0.001328-0.0015612i,0.0010214+0.001991i,0.0021088+9.523e-05i,0.0046014+0.0016946i,-0.0032945+0.0098336i,-0.011207+0.015118i,-0.0047791+0.057542i,0.012835-0.008801i,-0.025465+0.0018828i,-0.023461-0.0085727i,0.018345+0.0061723i,0.02058+0.016179i,-0.0063204-0.00078767i
0.015701+0.0078103i,0.039125+0.022369i,0.039367+0.0016762i,0.032422-0.0018994i,0.040398-0.0080688i,0.006073-0.032674i,0.00049786-0.016007i,0.020257-0.019712i,0.017913-0.0029684i,0.0026832-0.0003399i,0.0038985-0.0017926i,0.0065538-0.00092011i,0.0048741-0.0017209i,0.0034146-0.0028816i,-0.002092-0.0020303i,0.0020289-0.0036082i,-0.0013-0.0062283i,-0.0016024+0.00042551i,-0.0005131+0.0018664i,-0.0015564-0.00011171i,-0.0013206+0.0017891i,0.0014475+0.0027804i,-0.00022604+0.0023378i,0.0024079-0.0057498i,0.0011333-0.00093835i,-0.00027751-0.0016454i,0.00026479-0.0011341i,0.00045279-0.0012352i,6.2626e-05+5.246e-05i,0.0013877+0.00091821i,-0.00059633+0.0031556i,0.00018352+0.0017015i,0.00084459+0.00047127i,0.0007804+0.0011356i,0.00066564+0.00050132i,0.0056617+0.0054536i,0.0001037-0.00046118i,-0.00086518-0.00079487i,0.0013927-9.6256e-05i,-0.0021442+0.00044905i,-0.00031728+0.00070238i,-0.0002135+0.0017746i,0.0030354+2.6751e-06i,0.0076553-0.0028364i,0.015883+0.021158i,-0.011841+0.066834i,-0.0043472+0.065362i,0.011739+0.060693i,0.031912+0.0273i,0.030717+0.026094i,0.013025+0.030127i,-0.016078+0.010139i,-0.025103+0.038366i,-0.025349+0.01448i,0.012538+0.002305i,0.0017772+0.011615i,0.0045608+0.0098713i,-0.005703+0.012538i,-0.0047141+0.00403i,0.0095592-0.0086785i,0.014278-0.0031427i,-0.016233+0.009368i,-0.0015598-0.00088033i,-0.0013506+0.0013748i,-0.0015641+0.00039936i,-0.0032642+0.0014822i,0.005272-0.0010124i,-0.0023824-0.004751i,3.5105e-05+0.004096i,0.0026433-0.0031964i,-0.003424-0.0048297i,-0.002591+0.0017668i,0.0022875-0.0014595i,0.0015726-0.0027087i,0.017808-0.0078301i,-0.0019493+0.0052901i,-0.0019856-0.0051853i,-0.0027743-0.0012432i,-0.0031422-0.0053039i,0.0019585+0.0071056i,0.0023739-0.0036049i,0.002304-0.0018252i,0.0010136-0.0035651i,-0.00018095-0.0021153i,0.0012724+0.0020197i,0.0012734+0.0005657i,0.0043614+0.00094719i,-0.0018822+0.0091881i,-0.0057802+0.017534i,0.0039248+0.055952i,0.0075168-0.018122i,-0.024164+0.00065511i,-0.02903-0.0028892i,0.016863+0.00010322i,0.022126+0.0095918i,-0.0074726+0.00021136i
0.016932+0.0049386i,0.041206+0.015873i,0.038419-0.006301i,0.029943-0.0097393i,0.038568-0.016908i,-0.00023549-0.032466i,-0.001725-0.015297i,0.016252-0.02328i,0.016725-0.0069715i,0.0021941+0.00011997i,0.0034163-0.0023993i,0.0063054-0.0029403i,0.0046081-0.0029322i,0.0022163-0.0033464i,-0.0023365-0.0011068i,0.001624-0.0034403i,-0.0028206-0.0054286i,-0.0016913+0.00080749i,0.00018495+0.0017305i,-0.0019235+0.00062272i,-0.00091578+0.0019541i,0.0023127+0.0017085i,0.0004746+0.0022459i,-0.00069641-0.0054268i,0.00068168-0.0016127i,-0.00085928-0.0011231i,-0.00029966-0.001177i,-0.00031604-0.00083292i,0.0002395+0.00011969i,0.0013527+0.00021941i,0.00091076+0.0029098i,0.00076831+0.0016032i,0.00075568+0.00017139i,0.0010944+0.00093206i,0.0005169-0.00014499i,0.00621+0.0027496i,-8.7149e-05-0.00040239i,-0.0011272-0.00055884i,0.0012717-0.00029866i,-0.0016191+0.00064937i,-0.00023789+0.00077336i,0.00014718+0.0014798i,0.0031959-0.00082589i,0.0065646-0.0049292i,0.017546+0.016543i,0.00039736+0.063603i,0.0076365+0.061488i,0.021287+0.056936i,0.030491+0.016935i,0.032597+0.019385i,0.018651+0.03016i,-0.0095629+0.015387i,-0.013492+0.044423i,-0.025625+0.017741i,0.010464+0.00021128i,0.00467+0.0096309i,0.0068618+0.0068901i,-0.0019267+0.013154i,-0.0039642+0.0054874i,0.0025248-0.010806i,0.010764-0.0079684i,-0.013918+0.013598i,-0.00097982-0.0014499i,-0.00087316+0.00077673i,-0.0013155+0.00020342i,-0.00073994+0.0028783i,0.0040908-0.0010928i,-0.002436-0.0038036i,0.0026729+0.0030936i,0.0013547-0.0051879i,-0.0045734-0.0029214i,-0.0013383+0.00235i,0.0014978-0.0025976i,0.0011688-0.0037015i,0.011592-0.012763i,0.00042141+0.0050673i,-0.003254-0.0040934i,-0.0023051-0.0012053i,-0.0043947-0.0042393i,0.003555+0.005385i,0.0017345-0.0051425i,0.0025507-0.0030963i,-0.00012682-0.0036182i,-0.00098709-0.0032688i,0.0028196+0.0021921i,0.0010915+0.0018225i,0.0049011-0.00040647i,-0.00095348+0.0091602i,-0.00045876+0.017274i,0.012193+0.053735i,-0.0014614-0.023915i,-0.026787-0.00045032i,-0.030666+0.005583i,0.011586-0.0039288i,0.022117+0.0037326i,-0.0069274+0.0010665i
0.017788+0.0013694i,0.042976+0.0099984i,0.035051-0.013161i,0.024672-0.015624i,0.033902-0.025076i,-0.0059092-0.03061i,-0.0034394-0.014494i,0.011331-0.025755i,0.014865-0.010497i,0.0026288+0.00061291i,0.0029777-0.0025624i,0.0047935-0.0047013i,0.0039965-0.003868i,0.001185-0.0033124i,-0.0021074-0.00022177i,0.0011926-0.0031983i,-0.0046655-0.0037084i,-0.001372+0.0014524i,0.00059545+0.0011831i,-0.0017044+0.0018489i,-0.00036036+0.0022696i,0.0024165+0.00043971i,0.001048+0.002046i,-0.0027648-0.0034685i,-0.00042529-0.00151i,-0.00099261-0.0005708i,-0.00073104-0.00092756i,-0.00048379-0.00046287i,0.00027711-0.00014464i,0.0011371-0.00030037i,0.0020607+0.0020986i,0.0013621+0.0010826i,0.00073614-3.2011e-05i,0.001815+0.000653i,0.00011156-3.1453e-05i,0.0056194+0.0013741i,-0.00017541-0.00027i,-0.0013408-7.1124e-05i,0.0010883-0.0005578i,-0.0011511+0.00082288i,-8.8583e-05+0.00093358i,0.00046291+0.0011944i,0.0027189-0.0018076i,0.0040026-0.0059617i,0.018303+0.012337i,0.011368+0.057918i,0.01627+0.055837i,0.030315+0.051602i,0.027228+0.0098574i,0.033247+0.013023i,0.024096+0.027892i,-0.0026458+0.016024i,5.5631e-05+0.044697i,-0.023989+0.022249i,0.0091015-0.00078582i,0.0068624+0.0072653i,0.0074229+0.0040118i,0.0018408+0.012689i,-0.0025133+0.0073181i,-0.0038094-0.0089179i,0.0063516-0.0096019i,-0.0092181+0.017031i,-0.0019155-0.0020745i,-0.0013123+0.00048427i,-0.0012201+0.00045309i,0.0016011+0.0024432i,0.0036356-0.0011083i,-0.0029514-0.002967i,0.003796+0.0012881i,-0.0015252-0.0059449i,-0.0045108-0.0010185i,1.9291e-05+0.0018135i,0.00088218-0.0033327i,2.5529e-06-0.0048793i,0.005456-0.013959i,0.0022217+0.0040657i,-0.0040162-0.0032516i,-0.0029659-0.0013051i,-0.0055407-0.0027768i,0.0040061+0.0038447i,-0.00060685-0.006774i,0.0022259-0.0045334i,-0.00092521-0.0031911i,-0.0019985-0.0032054i,0.0036424+0.0014322i,0.0018624+0.0025029i,0.0038881-0.0016584i,0.00045385+0.0093649i,0.00423+0.015054i,0.02167+0.050383i,-0.012332-0.025648i,-0.030596+0.0014557i,-0.028004+0.014522i,0.0065181-0.0035202i,0.020252-0.0020574i,-0.0059848-0.00020366i
0.017667-0.0028523i,0.044442+0.0031059i,0.031107-0.018458i,0.019319-0.018547i,0.02785-0.031431i,-0.01022-0.028295i,-0.0046255-0.014039i,0.0066252-0.027047i,0.012275-0.013553i,0.0033795+0.00032998i,0.0029209-0.0030098i,0.0030374-0.0053415i,0.0029632-0.0050591i,0.00043299-0.0031581i,-0.0016445+0.00034661i,0.00099834-0.0027787i,-0.0050926-0.0013846i,-0.00074651+0.0014454i,0.0005564+0.00061213i,-0.00081899+0.0024368i,0.00035094+0.0022233i,0.0020754-0.00045216i,0.0016463+0.0016407i,-0.0037387-0.0010604i,-0.0010011-0.00089045i,-0.00087557-0.00019327i,-0.00097715-0.00058414i,-0.00028957-2.8925e-05i,1.3942e-05-6.7425e-05i,0.00071376-0.0007312i,0.0028233+0.00086918i,0.0014375+0.00063333i,0.0007365-0.0002329i,0.0012548-0.00017513i,0.00013999+0.00031019i,0.0055448+0.00029018i,-0.00023047+2.6561e-05i,-0.0012762+0.00046959i,0.00079169-0.00092289i,-0.00062316+0.00095208i,0.00024841+0.00090974i,0.00055258+0.00082276i,0.0018191-0.0023405i,0.0018653-0.0058714i,0.018398+0.0085572i,0.019062+0.05024i,0.022967+0.050543i,0.037765+0.043656i,0.023969+0.0047775i,0.032932+0.0087438i,0.029376+0.024339i,0.0029767+0.014943i,0.011452+0.040643i,-0.020284+0.027362i,0.0084507-0.0018755i,0.0082929+0.0038243i,0.0077752+0.0017318i,0.0054673+0.010561i,0.00018425+0.0079465i,-0.0074707-0.004733i,0.0021115-0.0098089i,-0.0032517+0.017711i,-0.0029253-0.0017863i,-0.0022769+0.0015919i,-0.0010096+0.00068748i,0.0030322+0.0013765i,0.0033096-0.00049937i,-0.0032498-0.0018421i,0.003879-0.0004378i,-0.0043477-0.0045425i,-0.0034117+0.00022917i,0.00044498+0.0006507i,-3.4318e-05-0.0041503i,-0.0019324-0.0049758i,0.00048556-0.012899i,0.0036246+0.0023327i,-0.0051669-0.0020619i,-0.0035193-0.00021124i,-0.0056279-0.00042439i,0.0046785+0.0030481i,-0.0037203-0.0063389i,0.0014244-0.0061719i,-0.0016256-0.0029587i,-0.002694-0.0034014i,0.0042538+0.00065902i,0.0032818+0.0026463i,0.0023902-0.0012358i,0.0018578+0.0088685i,0.0072086+0.011515i,0.030313+0.044035i,-0.023558-0.022442i,-0.033588+0.0051623i,-0.021635+0.019121i,0.0046764-0.0018765i,0.015172-0.0066737i,-0.0080511-0.0011389i
0.016014-0.006775i,0.044592-0.0045171i,0.026871-0.022913i,0.014789-0.020157i,0.021014-0.036168i,-0.014448-0.025795i,-0.0061359-0.014442i,0.0019086-0.027687i,0.0088746-0.015993i,0.0039824-0.0003074i,0.0026224-0.0038399i,0.0014275-0.0053789i,0.0012475-0.0058722i,-0.00026755-0.002986i,-0.0013144+0.00050956i,0.0011142-0.0025281i,-0.004604+0.00054417i,-0.00040516+0.0012903i,0.00042551+0.00038252i,4.2607e-05+0.0025235i,0.00094804+0.0020469i,0.0015449-0.00095436i,0.0019745+0.00097235i,-0.0030978+0.0013457i,-0.00097963-0.00025932i,-0.00077543+0.00016628i,-0.0010787-0.00023605i,-0.00065336-5.1599e-05i,5.0928e-05+8.6443e-05i,5.4306e-05-0.00081706i,0.0028052-0.00061618i,0.001622+0.00036673i,0.00059728-0.00042283i,0.0011802-0.00069249i,0.00043015+0.00044921i,0.0083157-0.0024774i,-6.4191e-05+9.9106e-05i,-0.00090656+0.0008929i,0.00013354-0.00087988i,-3.0359e-05+0.00084972i,0.00050909+0.00076445i,0.00048687+0.00064931i,0.00093518-0.002274i,0.0003374-0.0047133i,0.017965+0.0055117i,0.023416+0.043863i,0.029269+0.045285i,0.04251+0.035879i,0.020103+0.00046738i,0.034069+0.0052978i,0.033643+0.019158i,0.0086048+0.01212i,0.021259+0.033833i,-0.013129+0.031034i,0.0077102-0.0030998i,0.0076218-0.00047683i,0.0079028-0.0010384i,0.0074885+0.0071401i,0.0021057+0.0071076i,-0.0087002+0.00038281i,-0.0014866-0.0086i,0.0010778+0.01538i,-0.0039296-0.00051918i,-0.002041+0.0035004i,-0.00085057+0.0010035i,0.003863-0.00075064i,0.0044787+0.00077342i,-0.0028944-0.001072i,0.0036291-0.00085736i,-0.0052211-0.0022366i,-0.0020825+0.00052167i,0.00011974+0.00019679i,-0.0020414-0.0047172i,-0.0035694-0.0037497i,-0.003534-0.011688i,0.0040304+0.0001379i,-0.0056556-0.00010566i,-0.0028937+0.00092395i,-0.0050537+0.0012225i,0.00569+0.0019242i,-0.0059166-0.0042211i,-0.00095018-0.0077856i,-0.0025702-0.0022089i,-0.0043682-0.0033679i,0.0051641-0.00097552i,0.0046673+0.0023801i,0.0025897-0.00082848i,0.0033793+0.00832i,0.0077478+0.0077431i,0.037361+0.036001i,-0.030764-0.013592i,-0.036311+0.011101i,-0.015128+0.021394i,0.0029611-0.00035111i,0.0098766-0.005718i,-0.0094914-0.00030822i
