-0.023769-0.018814i,-0.032413-0.033091i,-0.022485-0.01953i,-0.03254-0.019984i,-0.024+0.0041834i,-0.028946-0.017647i,-0.057964-0.044053i,-0.041049-0.041971i,-0.030971-0.023087i,0.0053803+0.0057885i,-0.0033929+0.0062146i,-0.010936+0.011015i,0.0039008+0.0068387i,-0.0038644-0.002705i,0.0029484+0.001626i,0.0044924+0.027907i,0.026527+0.031913i,2.6236e-05+0.00024178i,-0.0029652-0.0029461i,0.0074888+0.0039051i,0.0019698+0.00061764i,-3.9677e-05+0.0026575i,-0.00048012+0.00031312i,-0.032368-0.00031177i,-0.0032768-0.0048931i,3.8002e-05+0.0025169i,0.0039386-0.001188i,0.00081519-0.00026573i,-0.00050132-0.00059593i,-0.0010856-0.001852i,-0.0022445-0.00060382i,-0.0039057-0.0037754i,-0.0028225-0.0051909i,0.00033888-0.0012241i,0.00064786-0.0030609i,-0.0014175+0.025513i,0.0020697-0.0030575i,0.0022721-0.0039884i,0.0044167-0.0021752i,-0.0064622-0.0016783i,0.00090359+0.0012553i,0.010256-0.00040778i,-0.0017398-0.00041566i,-0.0032146+0.0016115i,-0.00866-0.0024691i,-0.018848+0.021458i,-0.0078842-0.086493i,-0.0021727-0.061093i,-0.021454-0.054024i,-0.011143-0.045744i,0.054557-0.026293i,0.024437-0.067828i,0.041411-0.053767i,0.018466-0.038755i,0.026134-0.019762i,0.012267+0.011839i,0.025623-0.029466i,-0.01123-0.0013818i,-0.0010229-0.0010212i,-0.007454-0.0018057i,-0.0050558-0.029222i,-0.020212+0.026634i,0.0075704-0.0096702i,-0.010722-0.0033521i,-0.0025337-0.0019145i,-0.00065116-0.014726i,-0.0080838+0.0048695i,0.0051877+0.010682i,-0.0099103+0.031077i,0.0064178+0.0076491i,-0.0034374-0.0015272i,-0.0023624-0.0016156i,-0.013255-0.0058172i,0.00053493-0.0041099i,-0.032894+0.0030784i,0.003202-0.0085275i,-0.0072156-0.0018698i,-0.0051787-0.0030578i,0.007106+0.0017169i,-0.010495+0.00078891i,0.0026289-6.34e-05i,0.0060736+0.0077713i,0.005799+0.00082811i,-0.0081163-0.0099555i,0.002552+0.0079865i,-0.019653+0.0076174i,0.0032008+0.0058165i,-0.02134-0.0091814i,-0.027538-0.0050019i,0.0099253-0.061704i,0.018475-0.014318i,-0.051173-0.028947i,-0.023351+0.0029405i,0.01898+0.010807i,-0.027197+0.011784i,-0.013087-0.0080629i
0.006177+0.0030362i,0.038555+0.0072051i,0.018685-0.0081623i,0.013683+0.00076124i,0.009367-0.0033724i,0.014313-0.010697i,0.013356+0.0114i,0.021893+0.016188i,0.00056425-0.0028261i,0.0014886+0.0001792i,0.0022613-0.0015951i,-0.00041533-0.0025551i,-7.2635e-05-0.00069958i,0.0020875-4.7391e-05i,0.0045187-0.0023271i,0.0054914-0.000486i,0.0032872-0.0055319i,0.00012907-0.00085076i,-0.002254+0.00023005i,0.00091229+0.00014045i,4.8208e-06-0.00057839i,-0.002245+6.4992e-05i,-0.0014995+0.00013447i,0.0097292+0.0042726i,-0.0010049+0.0010585i,0.00089523+0.00048133i,0.001104+0.00035199i,0.00053686+0.0010684i,-0.00080204+0.00020326i,-0.0012468+0.00049515i,-0.00011929-0.0011353i,-0.00063392+4.8694e-05i,0.00023933+0.00055113i,0.0002408+0.00050317i,-0.00069186+3.6847e-05i,-0.0058938+0.0088373i,0.00033585+0.0001766i,-0.00032288+0.00040555i,0.00026666+0.0012226i,-0.0010634-0.0022165i,-0.00047348+3.8874e-05i,-0.00066343+0.00018824i,0.0010546+0.0010216i,0.0022959-0.0023966i,0.001967+0.0030844i,-0.045031+0.01738i,-0.00069702+0.030491i,-0.0051144+0.041172i,0.0076658+0.061871i,-0.0060055+0.043354i,-0.0077385+0.015602i,-0.01117+0.01147i,-0.046989+0.0071876i,-0.020598-0.0096003i,0.021052+0.020153i,0.00045857+0.0051093i,-0.0064383+0.0069276i,-0.013525+0.0027634i,0.0023849-0.0019751i,0.010195+0.011084i,-0.0022297+0.010651i,-0.0086858-0.0049637i,0.0025739-0.0044273i,-0.0066289-0.0017953i,-0.00072128-0.0066963i,0.0025411-0.0040018i,0.002302+0.0081069i,0.0072034-0.0081936i,0.0025275-0.006239i,0.0010226-0.0056642i,0.0040525-9.8241e-05i,-0.0032028-0.0047317i,-0.0020753+0.00096359i,0.0020345-0.0019947i,0.0057605+0.031167i,-0.0056194-0.0046839i,0.0036407-0.0018463i,-0.0037475-0.0061768i,0.0032843-0.002451i,-0.01372+0.00037585i,0.0017766+0.0011222i,0.0031647-0.0020289i,0.0028435-0.002069i,-0.00014567-0.0057893i,-0.00035868+0.0029512i,0.0019899+0.0046942i,-0.0012749+0.0082614i,-0.0039096+0.0046006i,-0.0064313+0.0010416i,-0.018369+0.018321i,-0.0070364+0.016924i,-0.025247-0.0063049i,-0.011666-0.012633i,0.011935+0.020103i,0.0034154+0.021416i,-0.011774-0.0031987i
0.0058453+0.0014068i,0.038171-0.0011244i,0.017315-0.012541i,0.015069-0.0020828i,0.010234-0.0055923i,0.011923-0.013798i,0.013358+0.0084041i,0.024044+0.011448i,5.0071e-05-0.0028519i,0.0011982-0.00038564i,0.0017951-0.0025064i,-0.0004334-0.0011841i,-8.9539e-05-0.00067019i,0.0021063-0.00049739i,0.0035363-0.0031528i,0.0047154-0.0012861i,0.001524-0.0054216i,-7.4205e-05-0.0010386i,-0.0022906+0.001099i,0.00077108-0.00076421i,-0.00068683-0.00088437i,-0.0020041+0.00067587i,-0.0015695+0.00042245i,0.010199-0.00063158i,-0.00023871+0.0015644i,0.00085539-0.00012287i,0.00083102-9.3796e-05i,0.00093885+0.00056175i,-0.00048894+0.00066489i,-0.0010632+0.0009686i,-0.00068389-0.00087477i,-0.0011203+0.00059035i,0.00045524+0.0004992i,0.00037367+0.00028404i,-0.00027439+0.00064831i,-0.002916+0.0098109i,0.00018504+0.00020611i,-4.7187e-05+0.00035191i,0.00052958+0.00092233i,-0.0016869-0.0014185i,-0.00041759-9.6012e-05i,-0.00038507+0.00042564i,0.0011248+0.0010331i,0.0018586-0.0024335i,0.0038694+0.0019335i,-0.038987+0.02377i,0.0038597+0.031497i,0.0035058+0.03813i,0.022771+0.053388i,0.003807+0.042281i,-0.011113+0.014776i,-0.013898+0.011937i,-0.048243+0.013511i,-0.019644-0.012914i,0.024078+0.011908i,0.00066435+0.0050244i,-0.0039083+0.0087843i,-0.012715+0.0062217i,-0.00011026-0.0038324i,0.012645+0.0080685i,0.0030193+0.011667i,-0.01126-0.0021274i,0.00070689-0.0030526i,-0.0058836+0.0010304i,-0.0029167-0.00426i,0.00058015-0.0038554i,0.0047533+0.0070414i,0.0041909-0.0086212i,-0.001334-0.0052215i,0.00067214-0.0030593i,0.0043811-0.0023318i,-0.005252-0.0032213i,-0.00069255+0.00080521i,0.00078693-0.0023457i,0.018853+0.023708i,-0.0076328-0.0025377i,0.003004-0.0032717i,-0.0038977-0.004222i,0.0036605-0.0039125i,-0.010791+0.0057896i,0.0034954+0.00068102i,0.0020943-0.0025895i,0.0019312-0.0026081i,-0.0021564-0.0047985i,-0.0011816+0.0026613i,0.0031577+0.0029653i,0.002397+0.0082202i,-0.0024831+0.0051015i,-0.0069776+0.0029016i,-0.015824+0.016755i,-0.00046944+0.017829i,-0.025996-0.0018605i,-0.016007-0.013616i,0.017034+0.016888i,0.0088437+0.022318i,-0.013907-0.0012338i
0.0052437+0.00038841i,0.034951-0.008049i,0.01387-0.016741i,0.014956-0.0063178i,0.0099555-0.0087511i,0.0085707-0.015903i,0.012967+0.0064367i,0.024603+0.0065286i,-0.00024864-0.0031944i,0.00064005-0.00035771i,0.00065409-0.0027261i,-6.801e-05-0.00063184i,-0.00052799-0.0003951i,0.0017684-0.00069087i,0.0023026-0.0036132i,0.0039764-0.0015109i,0.00011378-0.0047404i,-0.00030471-0.00095952i,-0.0013305+0.0019266i,6.4078e-05-0.0011252i,-0.0011896-0.00038003i,-0.0015946+0.0013657i,-0.0014662+0.00090912i,0.0080653-0.0043281i,0.00037409+0.0014148i,0.00052981-0.00026143i,0.00068848-0.00015475i,0.00078096+5.9948e-05i,-7.7596e-05+0.00060987i,-0.00068377+0.0014846i,-0.001086-0.00032864i,-0.00061192+0.0012741i,0.00058281+0.00018851i,0.00032582+0.00011254i,0.00023707+0.00074431i,0.00022623+0.0098356i,0.00022596+0.00018883i,-6.5095e-05+0.00019786i,0.00057897+0.0008444i,-0.0018154-0.00050497i,-0.00055105-0.00011075i,-0.00020001+0.00038902i,0.0014511+0.0010665i,0.001488-0.002526i,0.0053035-0.00039816i,-0.031584+0.028628i,0.0094038+0.03128i,0.0085148+0.0343i,0.034586+0.040052i,0.01343+0.037063i,-0.014912+0.017051i,-0.017091+0.014641i,-0.047469+0.021481i,-0.021719-0.016114i,0.024582+0.003146i,0.0012544+0.0054667i,-0.0011168+0.01153i,-0.010871+0.0098436i,-0.0043398-0.0028811i,0.01462+0.0032239i,0.0082809+0.0099181i,-0.01265+0.0019303i,-0.0002309-0.0024814i,-0.0041365+0.0027235i,-0.0036037-0.0013227i,-0.00030579-0.0033075i,0.0068602+0.0037301i,0.0014744-0.0086289i,-0.003647-0.0020857i,0.0014593-0.0018288i,0.0031058-0.0043989i,-0.0057224-0.00016785i,0.0003621+0.0010407i,0.00024667-0.001978i,0.026252+0.011799i,-0.0079576+0.0012961i,0.0021089-0.0045024i,-0.0041371-0.0024614i,0.0021863-0.006154i,-0.0059572+0.0080059i,0.0045746-0.001444i,0.0011345-0.0020915i,0.0011809-0.0026094i,-0.0027616-0.0029991i,-0.0013284+0.0036235i,0.0031653+0.0011626i,0.0060078+0.006657i,-0.0012252+0.0048584i,-0.0069995+0.0052688i,-0.014208+0.017794i,0.0087295+0.013115i,-0.024674+0.0032424i,-0.02167-0.012243i,0.018983+0.011902i,0.015232+0.020504i,-0.013563+0.00062467i
0.0051096-0.0001741i,0.031682-0.012793i,0.0096765-0.019336i,0.013611-0.010337i,0.008427-0.011743i,0.0053587-0.017071i,0.012797+0.0053073i,0.024331+0.0022955i,-0.00044215-0.0035032i,0.00023083-0.00013274i,-0.00036268-0.0023638i,0.00029729-0.00059327i,-0.00067488+0.00026448i,0.0014797-0.00095437i,0.0011713-0.0034982i,0.0037232-0.0013809i,-0.00069877-0.0038464i,-0.00072774-0.00080684i,-0.00047438+0.0018229i,-0.00060002-0.00098217i,-0.0012832+0.00012188i,-0.00083439+0.0017161i,-0.0011265+0.0013952i,0.0051531-0.0064616i,0.0007668+0.0011005i,0.00035642-0.0002847i,0.00055581-0.00031987i,0.00049396-0.00013201i,2.2714e-05+0.00058412i,7.5652e-05+0.0017063i,-0.0010379+0.0002258i,2.2121e-05+0.0014009i,0.00048388-0.00011336i,0.00033427+0.00023938i,0.00076774+0.00061597i,0.0029267+0.0090074i,0.00010335+0.00023385i,-0.0002325+0.00025635i,0.00094785+0.00078673i,-0.0016233+0.00016621i,-0.00069958-0.00019743i,-6.8051e-05+0.00040542i,0.0017099+0.00070103i,0.0007945-0.0028754i,0.0051665-0.0033214i,-0.023051+0.031145i,0.015809+0.029455i,0.013978+0.031987i,0.039133+0.024529i,0.019074+0.030133i,-0.015892+0.023076i,-0.01784+0.021265i,-0.044689+0.031003i,-0.02667-0.016753i,0.020451-0.0040502i,0.0026144+0.0056874i,0.0042599+0.011392i,-0.0077566+0.0127i,-0.0059486+0.00069958i,0.01359-0.0031446i,0.012204+0.0061909i,-0.012347+0.00614i,-0.00054074-0.00081511i,-0.0025366+0.0034912i,-0.0019034+0.00051944i,-0.0020127-0.0022274i,0.0068561+0.00088499i,-0.00096837-0.0077757i,-0.0034492+0.0012575i,0.0027499-0.002276i,0.001129-0.0054641i,-0.0039984+0.0017049i,0.0016615+0.00038375i,0.00018404-0.0015038i,0.027107-0.00072987i,-0.0056543+0.0042994i,0.00048819-0.0052842i,-0.0033682-0.0017074i,-0.00016367-0.0068847i,-0.002072+0.0077303i,0.0038524-0.0035249i,0.0011631-0.0010382i,0.0012001-0.0022787i,-0.0017784-0.0021522i,0.00022883+0.0045583i,0.0019971-4.9348e-05i,0.007597+0.0031132i,-0.0006761+0.0036452i,-0.0053458+0.0078832i,-0.010884+0.018994i,0.012121+0.0017834i,-0.020479+0.0053291i,-0.026937-0.009141i,0.020155+0.0066938i,0.020285+0.014312i,-0.014109+0.0010583i
0.0051341-0.0011324i,0.028749-0.017148i,0.0057688-0.02093i,0.011259-0.014249i,0.006281-0.014152i,0.001975-0.017826i,0.013681+0.0043737i,0.023751-0.0017121i,-0.00067066-0.0040675i,-0.00022157+0.00023838i,-0.00075716-0.0016761i,0.00047301-0.00055736i,-0.00022306+0.00090912i,0.0010981-0.001012i,0.00039044-0.003206i,0.0039309-0.0014417i,-0.00095738-0.0033816i,-0.00076297-0.00048862i,0.000137+0.0016229i,-0.0010028-0.00062079i,-0.00094526+0.00043657i,0.00011893+0.0015043i,-0.00054949+0.0016573i,0.0018407-0.0072435i,0.0012278+0.00076952i,0.00021166-0.00034561i,0.00040366-0.00048516i,0.00032085-0.00019225i,0.00020587+0.00055289i,0.00072739+0.001352i,-0.00077762+0.00055395i,0.00063123+0.0012165i,0.0002564-0.00018884i,0.00054141+2.9817e-05i,0.00097125-7.8193e-05i,0.0047368+0.0074215i,0.00019061+0.00026255i,-0.0001479+0.00047922i,0.00099576+0.00040017i,-0.0011715+0.00056456i,-0.0010006-6.3247e-05i,6.4487e-05+0.00026002i,0.0018676+0.00047869i,2.0793e-06-0.0027037i,0.0042339-0.0058975i,-0.015397+0.030922i,0.021644+0.025326i,0.019852+0.028174i,0.039084+0.010523i,0.022165+0.023476i,-0.012959+0.029789i,-0.01414+0.028839i,-0.037351+0.041606i,-0.031806-0.013845i,0.015453-0.0077011i,0.0039991+0.0048265i,0.0078904+0.0087802i,-0.0038456+0.014767i,-0.0052781+0.0035029i,0.0094113-0.0087679i,0.013582+0.00046504i,-0.01047+0.0092315i,0.00051424+4.7694e-05i,-0.00071942+0.0033392i,-0.00047941+0.0005197i,-0.0021038+6.5117e-05i,0.0055895-0.00084259i,-0.0027838-0.0060412i,-0.0012832+0.0033592i,0.0027927-0.0041195i,-0.0010814-0.0051918i,-0.0027796+0.0019266i,0.0020296-0.00095668i,0.00081116-0.0014363i,0.022518-0.011527i,-0.0026415+0.0053298i,-0.0011996-0.0048582i,-0.0032198-0.0012177i,-0.0027728-0.0064693i,0.00056608+0.0066561i,0.0028516-0.0047355i,0.0020779-0.0011748i,0.0011412-0.0031512i,-0.001147-0.0026283i,0.0015891+0.0048088i,0.00084205+0.00017092i,0.0069766+0.00055719i,-0.0010829+0.002804i,-0.0022213+0.0094611i,-0.0073953+0.018869i,0.0080872-0.0076957i,-0.017923+0.00318i,-0.03221-0.0027673i,0.01835+3.0523e-05i,0.021139+0.0076265i,-0.015084+0.0027192i
0.0049788-0.0020022i,0.02494-0.021499i,0.0013076-0.022537i,0.0072022-0.017935i,0.0035638-0.016348i,-0.0016545-0.017652i,0.015292+0.0025534i,0.022561-0.0057611i,-0.0013097-0.0046074i,-0.00035746+0.001145i,-0.0011427-0.0011871i,0.00052521-0.0011537i,0.00033905+0.0010337i,0.00071139-0.00091419i,-0.00017482-0.0027702i,0.0041814-0.0020628i,-0.0014166-0.0031822i,-0.0010272-0.00034062i,0.00080481+0.0011893i,-0.0014069-0.00012082i,-0.00095626+0.00049129i,0.00059567+0.00083145i,-4.5975e-05+0.0016568i,-0.0014918-0.0065277i,0.0013051-0.00023192i,-7.5764e-06-0.00021534i,-0.00012451-0.00056025i,0.00014922-0.00012212i,0.00049931+0.00038646i,0.0010243+0.00080824i,-0.00034152+0.00070922i,0.00083416+0.00094074i,4.1037e-05-4.1313e-05i,0.00047231-0.00017908i,0.0005095-0.00078877i,0.0059009+0.0058133i,0.00027608+0.00025556i,-5.1939e-05+0.00052857i,0.001044+0.00021042i,-0.00049848+0.00065879i,-0.0011551+0.00040332i,0.00014567+0.00018173i,0.002072+1.1372e-05i,-0.00069463-0.0023298i,0.0022409-0.0081031i,-0.0090128+0.029221i,0.025727+0.019704i,0.025178+0.023009i,0.034815-0.0010615i,0.023354+0.018162i,-0.0067074+0.03439i,-0.0051929+0.033925i,-0.025011+0.048404i,-0.035668-0.0082372i,0.010546-0.0090917i,0.0048037+0.0034233i,0.0095339+0.0048486i,0.00055661+0.015029i,-0.0044237+0.0052406i,0.0018117-0.01072i,0.011478-0.0046668i,-0.0079433+0.011724i,0.0016052-0.00096212i,0.00043228+0.0024827i,-0.00010105-0.00018176i,-0.00035717+0.0014278i,0.0045173-0.0010002i,-0.0034695-0.0045809i,0.0012616+0.0034768i,0.0013684-0.0061971i,-0.0025793-0.0041259i,-0.0017527+0.0022233i,0.0014158-0.0024272i,0.00093644-0.0022472i,0.014361-0.017628i,-3.7503e-05+0.0050557i,-0.002169-0.0040932i,-0.0029029-0.0011131i,-0.0045588-0.0054436i,0.0021714+0.0052909i,0.0016148-0.006312i,0.0024875-0.0020867i,3.2286e-05-0.0037389i,-0.0019996-0.0032511i,0.00374+0.0045216i,0.00046063+0.0013095i,0.0063483-0.0011848i,-0.0018439+0.0028261i,0.00076273+0.0088936i,-0.003983+0.01884i,0.0011156-0.013835i,-0.020025+0.000567i,-0.033226+0.0060036i,0.012356-0.0041344i,0.021046+0.0020564i,-0.014322+0.0046578i
0.0049793-0.0030509i,0.020812-0.024431i,-0.0040959-0.022649i,0.0016352-0.019648i,-0.00010821-0.017693i,-0.0045917-0.016474i,0.016842-0.00035872i,0.020471-0.0092856i,-0.0017892-0.0052306i,0.00039912+0.0021769i,-0.0013652-0.00032501i,-0.00032305-0.0015032i,0.00089414+0.0010428i,0.0006552-0.00059629i,-0.00040377-0.002379i,0.0041409-0.0026253i,-0.0024983-0.0027032i,-0.0011515+0.00014849i,0.0010494+0.00041921i,-0.0014086+0.00076742i,-0.00081216+0.00085344i,0.00049072+0.00010487i,0.00039538+0.0015823i,-0.0037439-0.0043234i,0.00043238-0.0007072i,-6.2998e-05-6.8593e-05i,-0.00040523-0.0003138i,0.00010001-2.3707e-06i,0.00046893+5.4663e-06i,0.0010614+0.0004041i,-2.6103e-06+0.00064165i,0.00096137+0.00059884i,8.2307e-05+9.6375e-05i,0.00033916-0.0002368i,-0.00020653-0.00052999i,0.0065956+0.0040132i,0.00039734+0.00019922i,5.3719e-05+0.00069521i,0.0011044-2.2055e-05i,0.00012487+0.00033606i,-0.00093772+0.001024i,0.00018346+0.00011425i,0.0018659-0.00062818i,-0.0011825-0.0015962i,-0.00028664-0.0092204i,-0.0040752+0.026353i,0.027951+0.014064i,0.02969+0.016469i,0.028855-0.0087803i,0.023594+0.013958i,0.00082633+0.036324i,0.0043495+0.033967i,-0.01127+0.050373i,-0.0364-0.0011528i,0.0074667-0.0090819i,0.0054954+0.0020694i,0.0091319+0.0014229i,0.0051424+0.013422i,-0.0028873+0.0071449i,-0.0046789-0.0078551i,0.0079815-0.0071631i,-0.0047359+0.013532i,0.0012344-0.0028498i,0.0006621+0.0014715i,-0.00031078-0.00018379i,0.001639+0.0012858i,0.0041008-0.0013318i,-0.0042932-0.0032233i,0.0029995+0.0022651i,-0.0019647-0.0071178i,-0.0031693-0.0026449i,-0.00025258+0.0016875i,0.00067809-0.0031972i,0.0004715-0.0034031i,0.0058503-0.019235i,0.0016845+0.003995i,-0.002847-0.0035062i,-0.0036795-0.0010158i,-0.0061001-0.0036579i,0.0027973+0.0040233i,-0.00092991-0.0075951i,0.0025601-0.003208i,-0.00092963-0.0032364i,-0.0026866-0.0030479i,0.0050245+0.0032721i,0.0010512+0.0020918i,0.0047193-0.0026918i,-0.0020697+0.0037162i,0.0028865+0.0072912i,0.00057568+0.018529i,-0.0086769-0.016709i,-0.023938+0.00081622i,-0.030104+0.014099i,0.0072633-0.0033957i,0.018458-0.003943i,-0.012922+0.0046837i
0.004723-0.0046628i,0.016825-0.027221i,-0.0086684-0.020934i,-0.0033696-0.019024i,-0.0038338-0.017995i,-0.0067312-0.015228i,0.017683-0.0043881i,0.018143-0.012234i,-0.0025198-0.005939i,0.0018054+0.0022536i,-0.00089027+0.00042845i,-0.0010113-0.00092586i,0.0014339+0.00053247i,0.0007203-0.00055387i,-0.00057315-0.0021347i,0.0040958-0.0031966i,-0.0030717-0.0014815i,-0.00079343+0.00034386i,0.00076806-0.00018394i,-0.0008881+0.0012761i,-0.00051748+0.00098886i,0.00011938-0.00025712i,0.00081638+0.001336i,-0.0047462-0.0015958i,-0.00018892-0.0003551i,-3.7843e-05+3.571e-06i,-0.00051244-0.00015629i,0.00012877+4.577e-05i,0.00018603+3.2421e-05i,0.0010076-7.4345e-05i,0.00033656+0.00047356i,0.00079532+0.00037932i,0.00024848+0.00010096i,0.00038075-0.0002058i,-0.00034742+6.5274e-05i,0.0066847+0.0022873i,0.00034819+0.00015648i,0.00044483+0.00074579i,0.0011237-0.00050609i,0.00040109-0.00016444i,-0.000367+0.0012313i,0.00017216-4.0241e-05i,0.0012741-0.0011857i,-0.0013709-0.00089146i,-0.0029476-0.0097004i,-0.0013344+0.023044i,0.029089+0.0089649i,0.031826+0.0083289i,0.022501-0.013959i,0.023682+0.011929i,0.0087358+0.036243i,0.012597+0.031904i,0.0012481+0.047838i,-0.034688+0.0056635i,0.0049404-0.0093334i,0.0060467-1.2714e-05i,0.008711-0.0010804i,0.0088574+0.010125i,-1.9157e-05+0.0075771i,-0.0077556-0.0030371i,0.0041822-0.0081537i,-0.00057379+0.013636i,-0.00054596-0.0037174i,-0.0001047+0.0013575i,-0.00035643+6.213e-06i,0.0027144+2.8399e-05i,0.0037145-0.001106i,-0.004366-0.0014702i,0.0035769+0.00071082i,-0.004928-0.0052906i,-0.0028677-0.0014475i,0.00010314+0.00040536i,-0.00020976-0.0040263i,-0.00081518-0.0038086i,-0.0012915-0.017754i,0.0030782+0.002255i,-0.0038257-0.0027274i,-0.0040718+0.00049354i,-0.0065402-0.0012117i,0.0033821+0.003135i,-0.0043988-0.0072042i,0.0021464-0.0047174i,-0.0013821-0.0029846i,-0.0032449-0.0031401i,0.0062772+0.0020247i,0.0019382+0.0023354i,0.0029348-0.0024668i,-0.0017425+0.0044293i,0.0041141+0.0053419i,0.0055312+0.016102i,-0.019351-0.014085i,-0.027708+0.0034322i,-0.024954+0.018241i,0.0050471-0.0021482i,0.01323-0.00721i,-0.014161+0.0050434i
0.003641-0.0061828i,0.012397-0.029845i,-0.012131-0.018679i,-0.0074074-0.017325i,-0.0075622-0.017524i,-0.0089093-0.014054i,0.017205-0.0094353i,0.015522-0.014862i,-0.0039473-0.0066737i,0.0029488+0.001669i,-0.00019347+0.00067451i,-0.0012057+2.1758e-05i,0.0014715-0.00014187i,0.00081953-0.00061164i,-0.00087157-0.0020216i,0.0039163-0.0040418i,-0.0030976-0.0002196i,-0.00059433+0.00026554i,0.00051441-0.00039791i,-0.00029469+0.0014503i,-0.00027118+0.0010795i,-0.00021283-0.0002781i,0.0010968+0.00094341i,-0.0043015+0.001065i,-0.00017329+0.0001482i,5.8982e-07+9.0218e-05i,-0.00055141+7.1309e-05i,0.00012104+6.274e-05i,0.00021354+7.6331e-05i,0.00065551-0.00042908i,0.00049326+0.00013762i,0.00085213+0.0004592i,0.00030952+1.2441e-05i,0.00038051-0.00051519i,-4.6983e-05+0.00046638i,0.0065729+0.00089988i,0.00048076+9.1625e-05i,0.00079937+0.00057636i,0.00060143-0.0009031i,0.00065494-0.00050583i,0.00019534+0.0012827i,5.0889e-05-8.4281e-05i,0.00056223-0.0011805i,-0.0013554+0.00010231i,-0.005525-0.0092016i,-0.00052984+0.021208i,0.029679+0.0040887i,0.030921+0.001805i,0.015546-0.017513i,0.026113+0.0108i,0.016218+0.033565i,0.020971+0.027527i,0.012101+0.041614i,-0.030116+0.011157i,0.0024975-0.0091964i,0.0051158-0.0031021i,0.0080084-0.0039539i,0.01012+0.0055732i,0.0017314+0.0065402i,-0.0081236+0.0024358i,0.00047158-0.0075334i,0.0025736+0.011449i,-0.0026313-0.0029406i,-0.00030666+0.0022063i,-0.00030648+0.00023406i,0.0033044-0.0016324i,0.0044656-0.0004179i,-0.0033987-0.00036937i,0.0038356+0.00023075i,-0.0057587-0.0029321i,-0.002284-0.00079087i,-0.00031478+9.9822e-05i,-0.0023245-0.0044541i,-0.0021558-0.0031161i,-0.0070183-0.015045i,0.0033627-4.6239e-05i,-0.0045263-0.0014327i,-0.0031462+0.0016228i,-0.0061254+0.0006988i,0.0040888+0.0023033i,-0.0069442-0.0048542i,0.00032142-0.0063614i,-0.002294-0.0025599i,-0.0048421-0.0024973i,0.0072253-0.00046931i,0.003076+0.002482i,0.0026775-0.0020786i,-0.0006589+0.005631i,0.0041211+0.0031385i,0.0092884+0.011894i,-0.025087-0.0056529i,-0.030857+0.0087902i,-0.020022+0.021617i,0.003282-0.00042437i,0.0089593-0.0069982i,-0.014459+0.0068846i
0.0019395-0.0070845i,0.0070672-0.031767i,-0.015225-0.016391i,-0.010651-0.015228i,-0.011126-0.016277i,-0.010893-0.012195i,0.014407-0.014256i,0.012512-0.016759i,-0.0058091-0.0065668i,0.0036439+0.00059379i,0.00020565+0.00048408i,-0.00082466+0.00065857i,0.001161-0.00065801i,0.00078443-0.00071359i,-0.0012305-0.0015948i,0.0031472-0.0048216i,-0.0027817+0.00096599i,-0.00057665+0.00025032i,0.00014006-0.00047299i,0.00010572+0.0012948i,-0.00016899+0.0011588i,-0.00044735-9.9218e-05i,0.0012266+0.00064795i,-0.0025925+0.0028765i,5.091e-05+0.00047375i,4.9138e-05+0.00016972i,-0.00075959+0.00035438i,9.0346e-06+0.00016213i,0.00022898+6.9166e-05i,0.00037769-0.00029585i,0.00041899-0.00011174i,0.00099873+0.0003979i,0.00021754-0.00012915i,-1.9682e-05-0.00064679i,0.00036964+0.00060021i,0.0064641-0.00057607i,0.00039565-0.00012959i,0.0010044+0.0001595i,0.00019854-0.00069251i,0.00067343-0.0011563i,0.00067492+0.0010726i,4.3919e-05-8.6173e-05i,-9.9702e-05-0.0010392i,-0.00065347+0.00085441i,-0.0076535-0.0077796i,0.00083393+0.021623i,0.029726-0.00042341i,0.030529-0.0036388i,0.0083427-0.017162i,0.030135+0.0073658i,0.022606+0.029539i,0.027287+0.020207i,0.018993+0.032438i,-0.02414+0.01406i,-8.72e-05-0.0088893i,0.0023473-0.0051656i,0.0058465-0.0066513i,0.0096468+0.0017444i,0.0030228+0.0055109i,-0.0057039+0.0070493i,-0.0020161-0.0052407i,0.0040864+0.0094649i,-0.0031329-0.001636i,0.00042125+0.0031616i,0.00010569+0.00056728i,0.0017924-0.0035964i,0.0065158-0.0019213i,-0.0028989-0.00037803i,0.0048828-0.00084319i,-0.0066663-0.00056261i,-0.0018105-0.00082637i,6.0058e-05+8.4825e-05i,-0.0048166-0.0023084i,-0.0029446-0.0020376i,-0.011428-0.01035i,0.002442-0.0018779i,-0.0044735-7.4146e-05i,-0.001796+0.0015922i,-0.0051463+0.0025677i,0.0050562+0.001231i,-0.0081798-0.0016921i,-0.002127-0.0064451i,-0.0025163-0.0017469i,-0.0059373-0.0004297i,0.0060726-0.0035917i,0.0043865+0.001761i,0.0027493-0.0023791i,0.0010987+0.0058321i,0.0031123+0.0014201i,0.011241+0.0067145i,-0.025537+0.0016881i,-0.031641+0.015424i,-0.014109+0.022462i,0.0026152+0.0022996i,0.0068222-0.0063793i,-0.014272+0.0082249i
