-0.030746-0.040661i,-0.021362-0.019826i,-0.012449-0.036021i,-0.029653-0.020168i,-0.022227-0.0004305i,-0.013884-0.0059106i,-0.05503-0.058834i,-0.047464-0.017632i,-0.036553-0.0099735i,0.012322+0.012092i,-0.0076342+0.004861i,-0.020195+0.018841i,0.0022216+0.012096i,-0.0064809-0.002567i,8.9762e-05+0.0012825i,-0.0021673+0.030765i,0.025774+0.024435i,0.002613-0.0024555i,-0.0023179-0.0070173i,0.0091505+0.0028638i,0.0025261+0.00080507i,0.0004188+0.0041743i,-0.00035252+0.00016804i,-0.037219-0.011331i,-0.00047067-0.0080277i,0.0013824+0.0021986i,0.0068803+0.0011128i,0.0020702+0.00044914i,0.00099174-0.00037248i,-0.00054369-0.0026095i,0.0014615-0.002498i,-0.0018521-0.005864i,-0.0010076-0.0049465i,0.0030157-0.00052492i,0.004581-0.0033161i,0.001022+0.030902i,0.0041548-0.0036907i,0.002967-0.0015716i,0.0080375-0.0013081i,-0.0072278-0.0041553i,-0.00023079+0.00073545i,0.0077474-5.136e-05i,0.0047497-0.0025875i,-0.0018042+0.0085768i,-0.017418-0.0085137i,-0.019209+0.014846i,-0.0031149-0.061325i,-0.0051963-0.026873i,-0.026418-0.032823i,-0.010836-0.02697i,0.054869-0.02078i,0.017195-0.042561i,0.023137-0.048145i,0.0050083-0.053127i,0.026258-0.020782i,0.0082644+0.0063155i,0.024274-0.035019i,-0.0090579-0.0068339i,0.0036661-0.0045248i,-0.0046731-0.0070749i,-0.0011032-0.032255i,-0.018409+0.028417i,0.0085384-0.011581i,-0.0090134-0.0034288i,-0.0041646-0.0017516i,0.0011594-0.012714i,-0.011412+0.0045015i,0.0026594+0.010153i,-0.0057509+0.026435i,0.0050147+0.0031229i,-0.0048275-0.0015805i,-0.0020231-0.0019954i,-0.01155-0.0069762i,-0.00049798-0.0045276i,-0.030826+0.011394i,0.0014013-0.010305i,-0.0080977-9.0319e-05i,-0.0069394-0.0017906i,0.0053345+0.0014233i,-0.0086471-0.00047322i,0.0022443+0.00033011i,0.0037773+0.0074353i,0.0043295+0.00033796i,-0.0087023-0.012199i,0.0030423+0.0095898i,-0.014876+0.0040839i,0.0069167-0.00027306i,-0.021647-0.0009436i,-0.017672+0.0068002i,-0.010076-0.067773i,0.0077933-0.011964i,-0.049288-0.022899i,-0.020192+0.00023443i,0.01707+0.011272i,-0.023753+0.014261i,-0.021342-0.0053788i
0.027779+0.037541i,0.014228+0.015221i,0.017537+0.024964i,0.0058698+0.01916i,0.0082925+0.0072028i,0.0045967-0.00085911i,0.014827+0.011652i,0.015664-0.0024047i,0.0084636-0.007067i,0.0023915+0.0041236i,0.0018645-0.0025836i,0.00078364-0.0048285i,-0.0021824+0.00079401i,0.0012498-0.0015464i,0.0018658-0.00058576i,0.0051913-0.0029341i,0.0062607-0.00096309i,0.00014413+0.00019669i,-0.0045353+0.00094956i,4.2564e-05+0.00067751i,-0.00083834-0.00095394i,-0.0025815-0.001138i,-0.0016467+0.00083221i,0.0043934+0.0098843i,-0.00088477+0.0011811i,0.00048961+0.0018093i,0.0012312+0.00090047i,-0.0017502+0.0025274i,-0.00082785+0.00036955i,-0.0015295+0.00050133i,-0.0014061-0.0012177i,-0.0034906+0.00015662i,-0.00019405+0.00017672i,0.00012943+0.00036827i,-0.00015394-0.00072115i,-0.010436+0.0085724i,0.0015317-0.0004357i,0.00064758+0.0011498i,0.0028861+0.0029255i,-0.00020076-0.00078922i,-0.00075684-0.0010224i,-0.00026195-0.0024648i,0.0014538+0.00049871i,-0.0010377+0.0010832i,0.021125+0.013309i,-0.022947+0.011885i,-0.011687+0.017249i,-0.022981+0.011032i,-0.0044156+0.038132i,-0.020219+0.020241i,0.0020632-0.0050094i,-0.011312-0.018272i,-0.018966-0.0013974i,-0.0082924+0.014143i,0.018271+0.020492i,-0.00045142+0.0023521i,-0.0035652+0.00086353i,-0.012451-0.0047535i,0.011416+0.0013034i,0.011147+0.0098384i,-0.001253+0.0060195i,-0.0053579-0.0077371i,0.0060811-0.0026959i,-0.0034655-0.0041107i,0.0038799-0.0084953i,0.0091405-0.0025986i,-0.0015029+0.010559i,0.0128-0.0052732i,0.0041559-0.0090494i,0.0026819-0.0093706i,0.0023735+0.00081176i,-0.00217-0.0058505i,-0.0040321-0.0013106i,0.0026801-0.00019049i,-0.0061368+0.03503i,-0.0076082-0.0051526i,0.00011279+0.0012305i,-0.0016354-0.006886i,0.0031427-0.00036178i,-0.017075-0.0064596i,-0.00149-0.0038927i,0.0028226-0.0022599i,0.0031461-0.0016457i,-0.0024259-0.0075422i,-6.1267e-05+0.0070521i,1.8225e-05+0.0035211i,-0.0035585+0.0043899i,-0.0069322+0.0026433i,-0.0063833-0.0012935i,-0.006211+0.02929i,-0.0023891+0.014779i,-0.028204-0.010212i,-0.0017234-0.0026422i,0.014133+0.018544i,0.00034351+0.018268i,-0.00082496-0.0047099i
0.033926+0.030903i,0.016813+0.011492i,0.02162+0.021795i,0.0092366+0.018954i,0.010343+0.0058533i,0.0047529-0.0022615i,0.014741+0.0081407i,0.014975-0.0052047i,0.0067909-0.0089303i,0.0034736+0.0028144i,0.0016453-0.0026118i,-0.0011981-0.0034357i,-0.0016031+0.0017322i,0.00095509-0.00050294i,0.0017146-0.00086753i,0.0038068-0.0031835i,0.0068641-0.0029226i,0.00061788+0.00013255i,-0.0048259+0.00053769i,0.00032296+3.7841e-05i,-0.00096216-0.0012027i,-0.0027036-0.00064231i,-0.0012691+0.00096178i,0.0097013+0.0074711i,-0.00084943+0.0023524i,0.0012325+0.0013946i,0.0011225+4.5338e-06i,-0.0007118+0.0029406i,-0.0010817+0.00081479i,-0.0013436+0.0011604i,-0.0018672-0.00058102i,-0.0019944+0.0010675i,-0.00035887+6.3432e-05i,0.00043369+1.6484e-05i,-0.00068809-9.2307e-05i,-0.0063663+0.010497i,0.00097715-0.00088968i,0.000938+0.0010896i,0.0026422+0.0013476i,-0.00016585-0.00081651i,-0.0012279-0.0013565i,-0.00073116-0.0013355i,0.0011334+0.0004589i,-0.0014275+0.001252i,0.024008+0.0096058i,-0.018616+0.015389i,-0.010403+0.019633i,-0.018096+0.01305i,0.0072164+0.034225i,-0.013722+0.019539i,-0.0050143-0.0080071i,-0.019777-0.019139i,-0.021109-0.0014164i,-0.0014874+0.010335i,0.020027+0.013559i,-0.0010471+0.0022268i,-0.0024528+0.0046347i,-0.012404-0.00032857i,0.010061-0.0029368i,0.013188+0.007122i,0.0024443+0.0088423i,-0.0096498-0.0061324i,0.0024126-0.0043879i,-0.0036353-0.0019883i,-0.0011927-0.0079217i,0.0072278-0.0056587i,0.0033236+0.008621i,0.0080322-0.008782i,-0.0013704-0.0086713i,-0.0012702-0.0059154i,0.0039261-5.2501e-05i,-0.0030204-0.0052222i,-0.0019073+0.0013056i,0.0032475-0.0006096i,0.010759+0.032878i,-0.010486-0.0020123i,0.00096931+0.00055423i,-0.0048472-0.0052309i,0.0038795-0.0017957i,-0.017669+0.0013385i,-0.0019456-0.0028683i,0.0015952-0.0023303i,0.0030276-0.0031154i,-0.0042811-0.0060109i,0.001926+0.0036572i,0.0013661+0.0026426i,-0.00064237+0.0058099i,-0.0046862+0.0051451i,-0.0070163-0.00020909i,8.047e-05+0.025427i,0.00033818+0.016334i,-0.029631-0.003386i,-0.003442-0.0059089i,0.016874+0.015997i,0.0038108+0.01883i,-0.0033033-0.0050292i
0.038049+0.023261i,0.017821+0.0067178i,0.026024+0.016464i,0.014064+0.016351i,0.012579+0.003909i,0.0044847-0.0039372i,0.013986+0.0048208i,0.013571-0.0081116i,0.0048681-0.0098449i,0.003633+0.0013978i,0.0011715-0.0031826i,-0.0014064-0.0015942i,-0.00075677+0.0017705i,0.0016743-0.00047203i,0.0014809-0.0011447i,0.0026169-0.0032652i,0.0054955-0.0063169i,0.00059001-0.00030779i,-0.0033471+0.0014032i,5.2751e-05-0.0006384i,-0.0017737-0.0016192i,-0.0025293-2.9126e-05i,-0.0010303+0.0010804i,0.011757+0.0017741i,0.00023293+0.0029985i,0.0012971+0.0006502i,0.00055516-0.00039244i,0.00050015+0.0026561i,-0.00070488+0.0014753i,-0.00087706+0.0016959i,-0.0021793+0.00043617i,-0.0017886+0.0018902i,-0.00037402+0.00017469i,0.0005257-0.00021121i,-0.00055788+0.00056295i,-0.0026322+0.010932i,0.00049434-0.00086758i,0.0014237+0.00066847i,0.0021758+0.0004294i,-0.00045458-0.00086545i,-0.0020893-0.00057957i,-0.00062896-0.0013641i,0.0013077+0.00078338i,-0.0015696+0.0018639i,0.027159+0.0047167i,-0.013997+0.017758i,-0.0076798+0.022506i,-0.012309+0.01265i,0.017409+0.026739i,-0.0067208+0.019305i,-0.012308-0.006732i,-0.026687-0.015921i,-0.020368+0.0028338i,0.0024211+0.0047193i,0.021048+0.0074981i,-0.0015615+0.0023346i,-0.00073385+0.0047074i,-0.012529+0.0027637i,0.0062433-0.0073506i,0.014194+0.0031504i,0.0068915+0.0085039i,-0.012985-0.0031381i,0.00032723-0.0029588i,-0.0035428-0.000287i,-0.0038306-0.0051439i,0.0047935-0.0070358i,0.0060392+0.0074388i,0.0045165-0.0090056i,-0.005905-0.0055487i,-0.0013279-0.0030297i,0.0044409-0.0024552i,-0.0047644-0.0034835i,6.7956e-05+0.00096604i,0.0027461-0.0019104i,0.022425+0.022168i,-0.011216+0.0020916i,0.0015484-9.5394e-05i,-0.0042732-0.0032953i,0.0041016-0.0038432i,-0.013851+0.0083651i,-0.0017522-0.0019582i,0.00049999-0.0024039i,0.0014558-0.0035859i,-0.0056902-0.0036664i,0.0013916+0.0024257i,0.0020482+0.0015309i,0.0021732+0.0058167i,-0.0024941+0.0051123i,-0.0075224+0.0016485i,0.0029835+0.021048i,0.0076764+0.015685i,-0.02898+0.0010282i,-0.0059681-0.0079948i,0.019741+0.010696i,0.0084406+0.019066i,-0.0054152-0.0041494i
0.039822+0.015913i,0.016821+0.0030361i,0.027651+0.0094695i,0.017226+0.011397i,0.014115+0.00070603i,0.003306-0.0053941i,0.012764+0.0027141i,0.011354-0.010567i,0.0032165-0.010565i,0.003244+0.00065422i,0.00022454-0.002803i,-0.00085141-0.00074324i,-0.00047767+0.0018624i,0.0016503-0.00048861i,0.00108-0.0013777i,0.0016631-0.0028168i,0.0022818-0.0068925i,0.00047892-0.00039614i,-0.0018838+0.0025088i,-0.00063669-0.00083388i,-0.0024756-0.00073492i,-0.0024813+0.00058766i,-0.00081738+0.0011936i,0.010826-0.0029208i,0.0015319+0.0028745i,0.00080829+0.00026535i,0.00013764-0.00026822i,0.0010757+0.0020007i,-0.00011124+0.0014413i,-0.00017291+0.0019778i,-0.0018256+0.0014999i,-0.00064134+0.0019523i,-0.00031072+0.00019269i,0.00031029-0.0003385i,-9.033e-05+0.00089893i,0.00088857+0.010447i,0.00022823-0.00089414i,0.001364-0.0002482i,0.001858+0.00044645i,-0.00080604-0.00047074i,-0.0021481+0.0001167i,-0.0013155-0.0014915i,0.0017232+0.00073172i,-0.0014456+0.00286i,0.028562-0.0020688i,-0.0089378+0.019083i,-0.0031744+0.025191i,-0.0099804+0.0099327i,0.02487+0.015379i,0.00029342+0.01499i,-0.018582-0.0017711i,-0.033415-0.0097023i,-0.020672+0.016754i,0.0026064-0.0013894i,0.020334+0.00034268i,-0.0017383+0.0032729i,0.00023381+0.0061646i,-0.011728+0.0068318i,-5.3469e-05-0.0074992i,0.014493-0.0017375i,0.010374+0.0061585i,-0.015048+0.0022019i,-0.00040164-0.0020214i,-0.0027084+0.0010112i,-0.0047362-0.001625i,0.0026079-0.0077432i,0.0087231+0.0038268i,0.0016142-0.0092575i,-0.0069317+0.00030243i,-0.00043164-0.0019578i,0.0028985-0.0047054i,-0.005297+0.0006008i,0.0010298+0.00070104i,0.0018785-0.0026993i,0.029119+0.0076358i,-0.0090391+0.0059534i,0.0017497-0.0012864i,-0.0043296-0.0020835i,0.0022658-0.0063198i,-0.0077598+0.010879i,-0.0014686-0.0014679i,-0.00026258-0.0015637i,0.00029737-0.0033829i,-0.0053959-0.0016313i,0.0010671+0.0020501i,0.0018154+0.00031708i,0.0051132+0.0048082i,-0.00088186+0.0039758i,-0.0076718+0.0034364i,0.0043814+0.019037i,0.015808+0.0084392i,-0.026677+0.0057896i,-0.010561-0.008768i,0.018601+0.0051077i,0.013507+0.016996i,-0.0056782-0.0032159i
0.040973+0.008913i,0.01638+0.00090191i,0.027478+0.0036182i,0.018616+0.0062817i,0.014415-0.0026732i,0.0019982-0.00626i,0.012025+0.0017584i,0.0088773-0.012137i,0.0016062-0.01116i,0.0029139+0.00014411i,-0.0001157-0.0027276i,-0.00027652-0.0006597i,-0.00022188+0.0022439i,0.001706-0.00084402i,0.00067526-0.0013084i,0.0014071-0.0018449i,0.00038888-0.0064601i,0.00025857-0.00039059i,-0.00068267+0.0023846i,-0.001202-0.00057777i,-0.0025439-0.00010421i,-0.0019554+0.0013256i,-0.00052209+0.0013286i,0.0076778-0.0057941i,0.0025698+0.0021874i,0.00037809-0.00036885i,-0.00015726-0.00012184i,0.0013497+0.0014282i,0.00022967+0.0014058i,0.00073721+0.001889i,-0.00095123+0.0021845i,-0.00065333+0.0020874i,-0.00055434+0.00024914i,0.00025764-7.8693e-05i,0.00051756+0.0010312i,0.0035137+0.0083138i,-0.00016858-0.00076363i,0.00084809-0.0006405i,0.0020183+0.00025723i,-0.00075912-3.5865e-05i,-0.0020557+0.00063771i,-0.0020747-0.0014761i,0.0019753+5.1278e-05i,-0.00089835+0.0031318i,0.027464-0.0090923i,-0.0032082+0.01899i,0.0034313+0.026042i,-0.0092978+0.0093671i,0.025869+0.0024528i,0.0028554+0.0092693i,-0.020839+0.0066146i,-0.036309+0.00052603i,-0.022969+0.02084i,-0.00049952-0.0060432i,0.015635-0.0048799i,-0.0010535+0.0042337i,0.0036498+0.0059784i,-0.0089014+0.01072i,-0.0033477-0.0043232i,0.011942-0.0078031i,0.012946+0.0022091i,-0.0157+0.0087564i,-0.00063083-0.00042558i,-0.0016309+0.0018007i,-0.0030264+0.00054998i,-0.00055498-0.0074945i,0.0087321+0.00037062i,-0.0012748-0.0088962i,-0.0037311+0.0043862i,0.00033269-0.0020945i,0.00063141-0.0056657i,-0.0043587+0.0029445i,0.0022922-0.00032082i,0.0011032-0.0027002i,0.026871-0.0059434i,-0.0047994+0.0081744i,0.001131-0.0023706i,-0.0037069-0.0018051i,-0.00060598-0.0069684i,-0.003531+0.010755i,-0.001713-0.0020824i,-0.00011009-0.00026901i,7.278e-05-0.0028076i,-0.005117+0.00088828i,0.0012085+0.0022559i,0.0008978-0.00029464i,0.0066677+0.0034601i,-0.00094101+0.0023636i,-0.0066753+0.0057863i,0.0066552+0.017836i,0.017135-0.0039591i,-0.022234+0.0066878i,-0.015619-0.0070659i,0.017379+0.00091192i,0.017017+0.011667i,-0.0063814-0.0034851i
0.041265+0.0015605i,0.016407-0.001674i,0.027088-0.0017908i,0.01913+0.00093494i,0.014175-0.0058926i,0.0004918-0.006878i,0.012436+0.00085107i,0.0066556-0.013229i,-0.00012293-0.011762i,0.0023085-0.00036607i,-0.00062414-0.0024906i,6.432e-05-0.00071687i,0.00055821+0.0026276i,0.0015229-0.0010106i,0.00051305-0.0012797i,0.0020313-0.0012076i,-0.00076434-0.0064554i,0.00027705-0.00043946i,4.3537e-05+0.0019461i,-0.0014648-0.00014121i,-0.0021328+0.0005463i,-0.0010583+0.0014875i,-0.00017308+0.0013916i,0.0045288-0.0066219i,0.0035628+0.0011451i,0.00062901-0.00044364i,-0.00022556+4.2802e-05i,0.00152+0.00097679i,0.0006481+0.0012998i,0.0013744+0.0012704i,7.4506e-05+0.0023405i,0.00022495+0.0024756i,-0.00052646+0.00071426i,0.00041443-0.00011258i,0.00090108+0.0006857i,0.0040126+0.0066261i,-0.00037901-0.00040555i,0.00054332-0.00066961i,0.0018326-0.00012503i,-0.00046436+0.00019796i,-0.0017863+0.0013881i,-0.0029089-0.00071292i,0.0018374-0.00032381i,-0.00065667+0.0037364i,0.024681-0.015187i,0.001883+0.016897i,0.0095584+0.023499i,-0.0082064+0.01001i,0.022616-0.0079222i,0.0024491+0.0053495i,-0.017896+0.01538i,-0.033557+0.01152i,-0.016586+0.026493i,-0.0053891-0.0066512i,0.011118-0.0064485i,0.00028275+0.0045978i,0.0057917+0.0035507i,-0.0047894+0.013548i,-0.0044579-0.0015868i,0.0060984-0.013101i,0.012574-0.0033519i,-0.0094505+0.013978i,0.00028598+0.00043605i,-0.00038341+0.0018079i,-0.0015277+0.00079783i,-0.0024408-0.0054875i,0.0072918-0.0020508i,-0.0032241-0.0077702i,0.00020649+0.0044017i,0.00053114-0.0032584i,-0.0016128-0.0051715i,-0.0030427+0.0035606i,0.0019674-0.0022154i,0.0009252-0.0027831i,0.014645-0.014469i,-0.00056547+0.0086828i,0.00012948-0.0024695i,-0.0039903-0.00094801i,-0.0036391-0.0060433i,-0.00050631+0.010053i,-0.0012418-0.00039589i,0.0012094-3.3052e-05i,-0.00030623-0.003489i,-0.002099+0.0021862i,0.0033708+0.0022356i,9.428e-05+0.00019887i,0.0030153-0.0012018i,-0.0021593+0.0014655i,-0.0045137+0.0072682i,0.0095469+0.016099i,0.010851-0.013781i,-0.020661+0.0035892i,-0.019774-0.0022952i,0.01404-0.0037535i,0.017615+0.0061665i,-0.0071514-0.0027798i
0.03985-0.0055852i,0.015566-0.0046716i,0.024947-0.008148i,0.017288-0.0052522i,0.013389-0.0093936i,-0.0011984-0.0069622i,0.013417-0.00062035i,0.0041907-0.014299i,-0.0020561-0.011933i,0.0017012+5.0136e-05i,-0.0013069-0.0020206i,5.9551e-06-0.0014908i,0.0014432+0.002509i,0.0012439-0.0012698i,0.00031582-0.0012356i,0.0028162-0.001528i,-0.0023589-0.0062165i,-5.0878e-06-0.00062267i,0.00063137+0.0013356i,-0.0017425+0.00036875i,-0.002+0.00076929i,-0.00035176+0.0011079i,0.00011493+0.0013263i,0.0034888-0.0056152i,0.0037513-0.00087479i,0.00039137-0.00074065i,-0.00053844+0.00024184i,0.0015598+0.00054724i,0.0011388+0.00093096i,0.0015927+0.00052878i,0.0011485+0.0020722i,0.0010325+0.0027106i,-0.00052225+0.0011459i,0.00043783-0.00023802i,0.00097918+0.00024853i,0.0044347+0.0046239i,-0.00052181-0.00014213i,0.00015137-0.00072604i,0.0018954-0.00036591i,-0.00010612+0.00018331i,-0.0014311+0.0019981i,-0.0028194+0.00031011i,0.0015303-0.00061891i,0.00044474+0.0054254i,0.020542-0.020452i,0.0057516+0.01344i,0.013903+0.019888i,-0.0054915+0.01112i,0.01739-0.015009i,0.0011052+0.0036078i,-0.011655+0.020446i,-0.025415+0.018708i,-0.0066443+0.029376i,-0.0089395-0.0036852i,0.0078687-0.0068703i,0.0015924+0.004208i,0.0056511+0.00059963i,-0.00048727+0.014089i,-0.0050296+0.00085048i,-0.0032443-0.013288i,0.0095278-0.0073668i,-0.0051663+0.014265i,0.0017307-0.00053132i,0.00035084+0.001405i,-0.0010912+0.00028695i,-0.0026255-0.0037308i,0.0056562-0.0028851i,-0.00418-0.0071058i,0.0020048+0.0029828i,-0.00056441-0.004901i,-0.0034682-0.0039219i,-0.0013637+0.0038869i,0.00034236-0.0033506i,0.0003386-0.0033893i,0.011408-0.011026i,0.0027773+0.0067772i,-0.00036131-0.0024665i,-0.0030664-0.00058827i,-0.005424-0.0042579i,0.0019219+0.0088089i,-0.0004597-0.0014317i,0.0019443-0.00081719i,-0.0018027-0.0033535i,-0.00056077+0.0012562i,0.0030263+0.0013643i,4.6663e-05+0.0012339i,0.0044546-0.0015721i,-0.0033867+0.0019117i,-0.0025865+0.007468i,0.012396+0.014743i,0.0023647-0.019194i,-0.024001+0.0016223i,-0.020536+0.0042451i,0.0078151-0.0060344i,0.0169+0.0016776i,-0.0067247-0.0024459i
0.037426-0.012011i,0.01475-0.0067207i,0.020906-0.012464i,0.012793-0.0095959i,0.011423-0.012821i,-0.0026455-0.006511i,0.014565-0.0028922i,0.0013681-0.014789i,-0.0037703-0.011866i,0.0021024+0.00062224i,-0.0016999-0.0011242i,-0.00099748-0.0017363i,0.00218+0.0021174i,0.00087018-0.0013171i,0.00016908-0.0011843i,0.0031946-0.0020863i,-0.0044883-0.0050477i,-0.00025825-0.00044187i,0.00081818+0.00068624i,-0.0016297+0.0012266i,-0.0019471+0.0014389i,-0.0004171+0.00050248i,0.00041279+0.0012571i,-0.0031303-0.0018588i,0.0025202-0.0021115i,2.3576e-05-0.00071437i,-0.00043004+0.00062465i,0.0015181+0.00025421i,0.0011769+0.0002199i,0.0015137-6.1485e-05i,0.0019674+0.0013108i,0.0021545+0.0022932i,8.4067e-05+0.0015722i,0.00032087-0.0002354i,0.00091993+0.0003186i,0.0042897+0.0028891i,-0.00061639+0.00021984i,-0.00020004-0.00047297i,0.0020562-0.00081365i,0.00025288+4.8982e-05i,-0.00065685+0.0023539i,-0.0027764+0.00097129i,0.0011694-0.00068965i,0.0027864+0.0048362i,0.015173-0.024337i,0.0079224+0.0093268i,0.017009+0.015879i,-0.0020907+0.010712i,0.011587-0.019747i,-0.00014151+0.0036093i,-0.004938+0.022452i,-0.01718+0.02072i,0.0040563+0.02809i,-0.0094323+0.00070269i,0.0060522-0.0066708i,0.0028247+0.0034931i,0.0043925-0.001095i,0.0046209+0.012815i,-0.0043667+0.0038953i,-0.0099975-0.0079528i,0.0056898-0.0091211i,-0.0019672+0.01444i,0.0013579-0.0024809i,0.00091233+0.00090635i,-0.001223+0.0002596i,-0.0022328-0.0025177i,0.0046166-0.0036604i,-0.0056946-0.0064438i,0.0026131+0.001128i,-0.0036623-0.0053114i,-0.0043104-0.00216i,0.00095823+0.0029351i,-0.00060716-0.0037019i,-0.00080862-0.003848i,0.0063907-0.015177i,0.0044018+0.0044788i,-0.00099443-0.0025595i,-0.0036519-0.00047004i,-0.0065894-0.0018154i,0.003542+0.0073144i,-0.0013812-0.0026693i,0.0024733-0.0019446i,-0.010067-0.0023811i,6.1928e-05+0.00015373i,0.0035039+0.00077714i,0.0007078+0.0016924i,0.0035658-0.0020976i,-0.0040075+0.0033406i,-0.00090304+0.0069928i,0.016368+0.012409i,-0.008586-0.021032i,-0.027957+0.0037817i,-0.017775+0.0097945i,0.003353-0.0037155i,0.014133-0.003428i,-0.0067805-0.0038374i
0.03423-0.01822i,0.014216-0.009394i,0.017343-0.01501i,0.0083838-0.010795i,0.0084599-0.015736i,-0.0036649-0.005862i,0.015637-0.0064572i,-0.001351-0.014739i,-0.00565-0.011727i,0.0028766+0.0003138i,-0.0012592-0.00033567i,-0.0017288-0.00086865i,0.0027643+0.0013584i,0.00052647-0.0013831i,0.00010879-0.0011503i,0.003261-0.0027566i,-0.0056941-0.0032966i,-9.6813e-05-0.00042499i,0.00070012+0.00013929i,-0.0010653+0.001705i,-0.0014173+0.0018453i,-0.00061251+0.00039228i,0.00079088+0.0010999i,-0.0044635-0.00079642i,0.0013574-0.002426i,-0.00022759-0.00058011i,-0.00012658+0.00069579i,0.0014927-0.00012027i,0.00087914+0.00014351i,0.0013048-0.00057614i,0.002421+0.00041846i,0.0026985+0.0014995i,0.00081798+0.0015078i,0.00046135-0.00016965i,0.0012441+0.0004354i,0.0044244+0.00064842i,-0.00038785+0.0010598i,-0.00022718-0.00021189i,0.0016651-0.0016657i,0.00055785-0.00028313i,0.00026958+0.0023715i,-0.0020486+0.0030802i,0.0010504-0.00080563i,0.0034544+0.0038548i,0.0093658-0.026569i,0.0083007+0.0052465i,0.01873+0.011979i,0.00048774+0.0089337i,0.0048114-0.022334i,-0.00019006+0.0056297i,0.0018787+0.022654i,-0.010103+0.020978i,0.012492+0.02375i,-0.0070088+0.0045303i,0.0046317-0.0073828i,0.0039177+0.0018291i,0.0037122-0.0022059i,0.008576+0.0087708i,-0.0018433+0.0051294i,-0.012278-0.0012114i,0.0020748-0.0096412i,0.0010015+0.013609i,4.5035e-05-0.0037651i,0.00055612+0.00044444i,-0.0012544+0.00075085i,-0.0018721-0.0020624i,0.0034224-0.0033521i,-0.0069141-0.0046093i,0.0023455+4.1737e-05i,-0.006367-0.0029442i,-0.0039139-0.00049753i,0.001616+0.001002i,-0.0014713-0.0039337i,-0.0021825-0.0034134i,-0.00032941-0.014981i,0.0053445+0.00207i,-0.0018688-0.0023834i,-0.0037283+0.00099383i,-0.0058259+0.00092242i,0.0049246+0.0062454i,-0.0034903-0.0027665i,0.00229-0.0035451i,-0.0012555-0.0029414i,-0.00021756-0.0012542i,0.0041119+2.455e-05i,0.0013122+0.0016609i,0.0023177-0.0017277i,-0.0037304+0.0051432i,0.00019145+0.0061519i,0.020126+0.0082768i,-0.018665-0.016887i,-0.030605+0.007909i,-0.013275+0.012058i,0.0024312-0.0016734i,0.0081147-0.0046304i,-0.0094954-0.0043026i
0.029806-0.023599i,0.012772-0.012664i,0.014194-0.017118i,0.00522-0.01085i,0.0047957-0.017732i,-0.0045222-0.0052069i,0.015297-0.011716i,-0.0039924-0.014291i,-0.0077972-0.011204i,0.0032584-0.00027371i,-0.00061361-0.00017824i,-0.0018628+0.00029539i,0.002865+0.00033296i,0.00028337-0.0011217i,-4.7788e-05-0.0012614i,0.0029193-0.0036119i,-0.0062135-0.0013882i,-4.9609e-05-0.0005692i,0.00051446-0.00010493i,-0.00043448+0.0018432i,-0.00095267+0.0022674i,-0.00074498+0.00048754i,0.0010228+0.00072269i,-0.0038968+0.0016632i,0.00021-0.0025558i,-0.00042155-0.00040695i,0.00011426+0.00058561i,0.0012401-0.0005275i,0.00088136+5.5784e-05i,0.00086458-0.0010402i,0.0025842-0.00064698i,0.0031064+0.00073456i,0.0013371+0.001195i,0.00055511-0.00053008i,0.0017886+7.3912e-05i,0.004566-0.0010967i,0.00035066+0.0018583i,-0.00018409+7.5008e-06i,0.00075472-0.0019503i,0.00073096-0.00071312i,0.001022+0.0021215i,-3.0506e-05+0.0033803i,0.00092872-0.00085338i,0.0041002+0.0037525i,0.0036853-0.027222i,0.0070008+0.0025848i,0.019505+0.0080027i,0.0019124+0.0080091i,-0.0019165-0.023663i,0.0026874+0.0080293i,0.0081157+0.020254i,-0.0029146+0.019291i,0.017945+0.017094i,-0.0025941+0.0066273i,0.002715-0.0078972i,0.0037983-0.00082255i,0.002904-0.0037177i,0.0094168+0.003839i,-0.00023576+0.0046641i,-0.011664+0.0057343i,-0.0015754-0.0087931i,0.0038072+0.011288i,-0.0036227-0.0031143i,9.826e-05+0.00084399i,-0.00087769+0.0012992i,-0.0014739-0.0020432i,0.0035277-0.0019773i,-0.0068997-0.0015853i,0.0020997+0.00015392i,-0.0067731+0.0001915i,-0.0028444+0.00038527i,0.001277-0.00014831i,-0.0032853-0.004112i,-0.0031692-0.0022905i,-0.0057386-0.012888i,0.0049477-0.00063018i,-0.0027306-0.0017433i,-0.0024785+0.0020273i,-0.0042351+0.0022737i,0.0068541+0.005143i,-0.0048802-0.000928i,0.00091997-0.0050241i,-0.0027026-0.0020438i,-0.0014502-0.0018161i,0.0046349-0.0017626i,0.0020167+0.0018426i,0.0020762-0.0013955i,-0.0013832+0.0067063i,0.00054547+0.0052481i,0.02349+0.002682i,-0.023565-0.0083348i,-0.032507+0.013997i,-0.0091807+0.012399i,0.0015887+2.4798e-05i,0.006095-6.3901e-05i,-0.011552-0.0031139i
