-0.023505-0.038402i,-0.0093522-0.049814i,-0.017111-0.046167i,-0.031001-0.035776i,-0.029539-0.017503i,-0.050545-0.028776i,-0.059628-0.026449i,-0.04506-0.039442i,-0.029881-0.037058i,0.0074316+0.013349i,-0.0052849+0.015875i,-0.0049381+0.015015i,0.0098757+0.021992i,0.00027068+0.0049926i,0.0036009+0.003407i,0.0067832+0.018448i,0.027755+0.039371i,-0.0026734-0.00068781i,-0.0040754-0.0060516i,0.0083048+0.0017733i,-0.00011045-0.00098143i,-0.00099921+0.0014421i,0.00012061-0.0004612i,-0.030653-0.0024331i,-0.0013538-0.0057526i,0.0019845+0.0047374i,0.004015+4.8735e-05i,-0.00031793+0.00052214i,0.00059724-0.0007033i,-9.8933e-05-0.0025348i,-0.0014491-0.0063734i,-0.0046742-0.0043068i,-0.0019623-0.0049914i,0.0022233-0.000851i,0.0027799-0.0028361i,0.0025956+0.026969i,0.0019003-0.0028732i,0.0027745+0.00043334i,0.0061883+0.0011442i,-0.010509-0.0030703i,-0.0030613+0.00072493i,0.0068801+0.0017564i,0.0052993+0.0001435i,-0.0037012+0.0057622i,0.0018722-0.0084553i,-0.011615+0.018014i,0.036547-0.091081i,0.012631-0.070754i,-0.015507-0.059642i,-0.016624-0.055999i,0.038764-0.047459i,0.016694-0.063186i,0.034623-0.055985i,0.032004-0.059102i,0.015132-0.01386i,0.0042178+0.016428i,0.016575-0.026628i,-0.011654+0.0062667i,-8.8496e-05+0.0055001i,-0.0055101-0.00063535i,-0.0026556-0.028636i,-0.024+0.031438i,0.010941-0.011011i,-0.013276-0.0025835i,-3.1233e-06-0.0049637i,-0.0012462-0.015864i,-0.0079791+0.0048402i,0.0051806+0.0061491i,-0.0080976+0.031308i,0.0048497+0.0056552i,-0.0050894-0.00072434i,-0.0032173-0.00040114i,-0.012193-0.0072635i,-0.00062401-0.004324i,-0.029419+0.0065482i,-8.4144e-05-0.010128i,-0.0091747-0.0022571i,-0.0068249-0.0028145i,0.0068039+0.0027587i,-0.0075957+0.0013967i,0.00037853+0.00025843i,0.0060229+0.01074i,0.0038583+0.0014631i,-0.0092803-0.010288i,0.0037982+0.0081184i,-0.021441+0.0059121i,0.0082829-1.8925e-05i,-0.029066-0.0036111i,-0.04244+0.0026506i,0.019171-0.096022i,-0.0020752-0.012994i,-0.052637-0.022173i,-0.02345+0.0011863i,0.017616+0.010868i,-0.024852+0.0129i,-0.018825-0.013028i
0.0078485+0.020013i,0.013915+0.052935i,0.024445+0.036367i,0.017784+0.02803i,0.025257+0.028264i,0.033754-0.014486i,0.018713-0.0085686i,0.030326+0.0070212i,0.01229+0.014021i,0.002054+0.0050693i,0.0049455+0.0027885i,0.0044065+0.0033891i,0.0061509+0.0028189i,0.0050977+0.0037608i,0.0032396-0.0034418i,0.0083237-0.0015823i,0.0088567-0.0051426i,-0.0013653-0.001118i,-0.0033179+0.0012568i,7.0606e-05+0.0014577i,-0.0010859-0.00025624i,-0.0028814+0.0013789i,-0.0017958+0.0010334i,0.004872+0.007771i,0.0015016+0.0012999i,0.0023623+0.0007925i,0.0019078+0.0013196i,0.0011201+0.0014534i,0.00068144+0.00018481i,-0.00029321+0.00097829i,-0.0015298-0.0024892i,-0.0007613-0.00043384i,-0.0012566+0.00081062i,-0.001132+0.00025641i,-0.00070151-0.0019248i,-0.0066304+0.0078692i,0.0014277+0.000439i,0.001331-0.00055232i,-0.00083623+0.0024509i,-0.0001785-0.0034061i,-0.0013245+0.00032414i,-0.0021698-9.9769e-05i,0.0023422+0.0011275i,0.0061316+0.0041211i,-0.015513+0.034838i,-0.082084+0.035882i,-0.051917+0.038497i,-0.037385+0.060671i,-0.018779+0.073317i,-0.0081098+0.051784i,0.010645+0.038246i,0.0036816-0.00051238i,-0.036871+0.0091863i,-0.045295+0.01901i,0.0013461+0.024628i,-0.0082894+0.0021961i,-0.010756-0.00051339i,-0.013689-0.0022137i,0.0018564+0.00046317i,0.0063613+0.0095815i,-0.0019112+0.0080455i,-0.0073622-0.012258i,0.0054328-0.0063053i,-0.0065483-0.0070146i,0.0019603-0.0063076i,0.0035908-0.0042389i,-0.0015752+0.01032i,0.0090238-0.0041122i,0.0051597-0.0061893i,0.0030275-0.0056452i,0.003258-0.0002776i,-0.0012796-0.0044887i,-0.0036169-0.00061292i,0.0022561-0.00042162i,-0.0092207+0.025353i,-0.0041375-0.0035105i,0.0020027+0.00033037i,0.00029337-0.0067379i,0.0025173-0.0017216i,-0.015914-0.003752i,0.00076615+0.0001441i,0.00533-0.0029592i,0.0031442-0.00099466i,0.00057347-0.004974i,-0.00042948+0.0055849i,-0.001429+0.0063565i,-0.0030631+0.0045774i,-0.011821+0.0022683i,-0.01477-0.00116i,-0.041259+0.054966i,2.1412e-05+0.0039909i,-0.024763-0.017076i,-0.0066317-0.0073302i,0.01014+0.020251i,-0.0022615+0.022818i,-0.00053343-0.0010916i
0.010079+0.016353i,0.022309+0.048012i,0.030258+0.032008i,0.02267+0.025641i,0.031262+0.023989i,0.030376-0.020459i,0.015915-0.012183i,0.031117+0.0014313i,0.014256+0.011019i,0.0035911+0.0040807i,0.0056007+0.0015499i,0.0042576+0.0031616i,0.0062707+0.0015963i,0.0057373+0.0024352i,0.0021051-0.0040027i,0.0068822-0.0031261i,0.0060765-0.006903i,-0.00096357-0.00093717i,-0.0027902+0.0014497i,0.00076603+0.00065295i,-0.0012854-0.00026084i,-0.00246+0.0020521i,-0.001437+0.0010429i,0.0083638+0.0050024i,0.0015903+0.0014311i,0.0027992-0.00026789i,0.0020807+0.00020006i,0.0015643+0.00092278i,0.0002769+7.2731e-05i,-0.00018762+0.0010417i,-0.0023894-0.0015018i,-0.0012387-0.0005343i,-0.0010335+0.0012099i,-0.00091692+0.00069297i,-0.0015418-0.00062604i,-0.0037694+0.0091195i,0.0011985-0.00019688i,0.00096755-0.00090566i,0.00041052+0.0021763i,-0.0012261-0.0029184i,-0.0011604+0.00039035i,-0.0022301+0.00045084i,0.0020704+0.0010386i,0.0065633+0.0032445i,-0.0085762+0.036606i,-0.070259+0.049971i,-0.047683+0.047446i,-0.027044+0.064482i,-0.0025717+0.070438i,0.0025785+0.049638i,0.011683+0.032183i,-0.0014905-0.0050645i,-0.038307+0.011712i,-0.036867+0.020738i,0.0073322+0.022457i,-0.0087451+0.0047981i,-0.0098448+0.0050531i,-0.013224+0.0018949i,0.00091614-0.00072634i,0.0076128+0.0087781i,0.0021461+0.011012i,-0.013326-0.0099774i,0.0012494-0.0075362i,-0.0061663-0.0031284i,-0.0015113-0.0059408i,0.001264-0.0055332i,0.0030895+0.0079268i,0.0058975-0.0063927i,0.00071539-0.0067625i,0.00050457-0.0033947i,0.0040502-0.0015363i,-0.0023808-0.0037331i,-0.0013113+0.0014173i,0.0024241-0.0005884i,0.0039038+0.025501i,-0.0049964-0.002782i,0.0025588-0.001798i,-0.0030173-0.0060454i,0.0028508-0.0024103i,-0.015016+0.0034538i,0.0011866+0.00026417i,0.0033936-0.0028206i,0.0031674-0.0023264i,-0.0008154-0.0048865i,0.0017187+0.0028682i,0.0015825+0.005395i,-0.00016422+0.0057466i,-0.010376+0.0058466i,-0.015844+0.002179i,-0.030895+0.056812i,-7.0934e-05+0.0051733i,-0.028267-0.011776i,-0.0093183-0.010145i,0.013301+0.018587i,0.0021016+0.024623i,-0.0030363-0.0020967i
0.010903+0.013576i,0.02859+0.041412i,0.036033+0.025307i,0.028522+0.020786i,0.037087+0.018125i,0.025633-0.026046i,0.012255-0.015326i,0.031046-0.004739i,0.015779+0.0081805i,0.0041245+0.00272i,0.005353-0.0003512i,0.0050727+0.0029482i,0.0062117-3.9645e-05i,0.0061354+0.00068145i,0.00086058-0.0041957i,0.005196-0.0041198i,0.0034838-0.0075163i,-0.0012513-0.0011529i,-0.0024973+0.0021053i,0.0006067-0.0004819i,-0.0018527-0.00017171i,-0.0016783+0.0025338i,-0.0013495+0.001106i,0.0091018+0.00067881i,0.002359+0.00074453i,0.0021396-0.0013249i,0.0016441-0.00058806i,0.0019818+6.9027e-07i,0.00021922+0.00014262i,-8.9691e-05+0.0012355i,-0.0027658-0.00019437i,-0.0019131+0.00038537i,-0.00034972+0.0016326i,-0.00053603+0.0009444i,-0.0012464+0.00049549i,-0.00095311+0.0095765i,0.00083402-0.00037997i,0.00047111-0.0012381i,0.00096043+0.0014396i,-0.0022414-0.0023617i,-0.0010914+0.00049539i,-0.0019024+0.001045i,0.0021541+0.0013451i,0.0075005+0.0018813i,-0.00036833+0.036677i,-0.057306+0.060684i,-0.039312+0.05567i,-0.015784+0.065147i,0.011802+0.063607i,0.012193+0.047599i,0.011326+0.028784i,-0.0069441-0.00616i,-0.039045+0.017164i,-0.030106+0.019758i,0.012174+0.017785i,-0.0080994+0.0071055i,-0.0076351+0.0081032i,-0.012284+0.0049792i,-0.00086387-0.0024247i,0.0097184+0.0069194i,0.0070076+0.010714i,-0.01733-0.0050804i,-0.0012352-0.0053728i,-0.0053213-0.00043379i,-0.0032712-0.0038588i,-0.0012383-0.0047922i,0.0051685+0.0065904i,0.0036901-0.0067148i,-0.0031103-0.0046714i,0.00074358-0.0014735i,0.0036571-0.0041561i,-0.0039617-0.0026671i,-0.00012948+0.00085682i,0.0022838-0.00121i,0.014349+0.019504i,-0.0061855-0.0010711i,0.0023421-0.0030071i,-0.0033537-0.0039388i,0.003166-0.0038565i,-0.010435+0.0089018i,0.0021214+0.00016093i,0.0022423-0.0033004i,0.0017489-0.0028663i,-0.0023922-0.0039973i,0.0010352+0.0017479i,0.0034987+0.0034092i,0.0025489+0.0052275i,-0.0084329+0.0080936i,-0.015844+0.0065059i,-0.022231+0.057088i,0.0035349+0.0057256i,-0.030082-0.0064809i,-0.01288-0.011586i,0.017374+0.014702i,0.0081983+0.02558i,-0.0051423-0.0013769i
0.011194+0.011505i,0.032185+0.035226i,0.038914+0.01721i,0.032187+0.013398i,0.041095+0.0098415i,0.01945-0.030032i,0.0079313-0.017024i,0.029076-0.010802i,0.017011+0.0050059i,0.00411+0.001915i,0.0044278-0.0010263i,0.0059231+0.0019445i,0.005391-0.0010577i,0.0056398-0.0010022i,-0.00047036-0.0040648i,0.0035651-0.0044245i,0.0010538-0.0070929i,-0.0014672-0.00072806i,-0.0012945+0.0025858i,-0.00022373-0.00092316i,-0.0021289+0.0007269i,-0.00097577+0.0029962i,-0.0012425+0.0014079i,0.0076445-0.0027849i,0.0021988-0.00025509i,0.0012102-0.0015953i,0.0011015-0.00085985i,0.0014175-0.0010579i,0.00027539-6.0388e-06i,0.00026965+0.001384i,-0.0025763+0.0013221i,-0.0014764+0.0013767i,0.00043272+0.0014999i,-0.00020544+0.0010258i,-0.00064916+0.001154i,0.001997+0.0092109i,0.00056448-0.00056243i,-9.2921e-05-0.0013782i,0.0010456+0.0012498i,-0.0028115-0.001464i,-0.0010195+0.00082597i,-0.001568+0.0013651i,0.0027244+0.0013189i,0.0080891+8.7964e-05i,0.0069992+0.033654i,-0.041704+0.068282i,-0.029949+0.061495i,-0.0068374+0.064675i,0.023995+0.052637i,0.022035+0.041799i,0.010421+0.027308i,-0.01347-0.0046728i,-0.037459+0.024465i,-0.025966+0.017285i,0.015242+0.011702i,-0.0063318+0.0098895i,-0.0044626+0.011547i,-0.010662+0.0077678i,-0.0044454-0.0015107i,0.011769+0.0037564i,0.011347+0.0079933i,-0.019321+0.0010825i,-0.0022716-0.0038642i,-0.0035188+0.00097688i,-0.003895-0.0014889i,-0.0026987-0.0034843i,0.007078+0.0035276i,0.001584-0.0069263i,-0.0046452-0.00030302i,0.0016926-0.0008241i,0.0013815-0.0057865i,-0.0044524-0.00046184i,0.00083371+0.00097566i,0.0022482-0.0019358i,0.02029+0.0098455i,-0.0062713+0.0019287i,0.0017607-0.0044251i,-0.003434-0.0023462i,0.0015962-0.0059628i,-0.0045839+0.010303i,0.0032339-0.0010224i,0.0011035-0.0025453i,0.00080769-0.0027628i,-0.0024106-0.0022872i,0.00043762+0.001528i,0.0035769+0.0012538i,0.004635+0.0039793i,-0.0059072+0.009448i,-0.014315+0.011092i,-0.014416+0.057934i,0.010293+0.0018993i,-0.029162-0.00053585i,-0.018456-0.011347i,0.018112+0.0094232i,0.01517+0.023525i,-0.0054459-0.00077444i
0.012152+0.010127i,0.035643+0.030283i,0.040274+0.010005i,0.033512+0.0058006i,0.042457+0.00092926i,0.013361-0.032487i,0.0038765-0.017017i,0.026085-0.015824i,0.01772+0.001657i,0.004173+0.0012447i,0.0038591-0.0012535i,0.0065077+0.00058376i,0.0048247-0.001415i,0.004763-0.0022086i,-0.0016128-0.0032159i,0.0022422-0.0040018i,-0.00064983-0.0061609i,-0.001865-0.00030601i,-0.00061961+0.002247i,-0.00098526-0.00073099i,-0.0019008+0.0014286i,0.00022212+0.0032255i,-0.00098779+0.0018461i,0.0053379-0.0049926i,0.0015622-0.00083166i,0.00064462-0.0016001i,0.0007043-0.0010909i,0.00054343-0.001238i,0.00010787+2.59e-06i,0.0010047+0.0013191i,-0.0015372+0.0022786i,-0.00068008+0.0018751i,0.00088453+0.0010094i,0.00019217+0.0012252i,0.00020547+0.0014594i,0.0045008+0.0078224i,0.00018856-0.00057992i,-0.00069956-0.0012163i,0.0015645+0.00085244i,-0.0029335-0.00043771i,-0.0007149+0.00087955i,-0.0010948+0.0015804i,0.0033496+0.00086104i,0.0075155-0.0021864i,0.011952+0.029012i,-0.025208+0.070955i,-0.018293+0.066214i,0.0028318+0.06421i,0.029954+0.039712i,0.028259+0.03404i,0.011109+0.02852i,-0.017508+0.002018i,-0.033638+0.033695i,-0.025209+0.015323i,0.014045+0.0057767i,-0.0029776+0.01185i,0.00096247+0.011851i,-0.008616+0.010172i,-0.0055506+0.0018061i,0.012104-0.0015668i,0.01429+0.003416i,-0.01914+0.0070634i,-0.0023228-0.0017479i,-0.0025261+0.0014612i,-0.0027025+0.00017905i,-0.0040014-0.0011858i,0.006995+0.00074002i,-0.00041608-0.0064475i,-0.003019+0.003313i,0.0030031-0.0017124i,-0.0013393-0.0060567i,-0.0035211+0.001185i,0.0021456-1.6171e-05i,0.0018367-0.0024248i,0.02074+0.00016855i,-0.0041303+0.0042848i,5.7843e-05-0.005629i,-0.0027156-0.0018205i,-0.00077216-0.0065767i,-0.0004596+0.0091556i,0.0027985-0.0027256i,0.0010657-0.0014905i,0.00069332-0.0022678i,-0.0013981-0.0016378i,0.00099933+0.0020853i,0.0023062-0.0001668i,0.0053487+0.0015772i,-0.0035932+0.0092326i,-0.010459+0.01545i,-0.0057132+0.057943i,0.012545-0.0086397i,-0.025666+0.0017786i,-0.023967-0.0085012i,0.01831+0.0049483i,0.020555+0.01724i,-0.0065849-0.00094355i
0.013515+0.0082563i,0.03934+0.024721i,0.041342+0.0025405i,0.033422-0.0017332i,0.042283-0.0076762i,0.0069417-0.033998i,0.0009578-0.016318i,0.022533-0.020122i,0.018068-0.0022681i,0.0039471+0.00050632i,0.0038998-0.0014491i,0.0067376-0.00085697i,0.0050107-0.0019597i,0.003715-0.0030375i,-0.0022119-0.0022401i,0.0016431-0.0032994i,-0.0014885-0.0055557i,-0.0017005+0.00014588i,-0.00014894+0.0020938i,-0.0013841-0.00024814i,-0.0013146+0.0018925i,0.0014932+0.0027019i,-0.00037963+0.0021878i,0.0023826-0.0059338i,0.0012493-0.0010368i,0.00011766-0.0016604i,0.00027739-0.0011969i,-3.3435e-05-0.001124i,4.3607e-05+0.00011134i,0.0014451+0.00067437i,-0.00039842+0.0025837i,0.00017993+0.0019279i,0.0010333+0.00060614i,0.00077348+0.0010075i,0.00080264+0.0008388i,0.0060188+0.0057937i,-2.7179e-06-0.00036928i,-0.0010098-0.00070278i,0.0015467+0.00032606i,-0.0026794+0.00038292i,-0.00054652+0.00097309i,-0.0005895+0.0015518i,0.0037807+0.00027811i,0.0063194-0.0037368i,0.015453+0.02424i,-0.010253+0.069261i,-0.0045345+0.066684i,0.012879+0.061869i,0.031989+0.027861i,0.031986+0.026154i,0.014361+0.03036i,-0.016441+0.010802i,-0.024918+0.043079i,-0.026298+0.016098i,0.011924+0.0027464i,0.0010148+0.012072i,0.0046685+0.0099386i,-0.0056196+0.012429i,-0.0044901+0.0040882i,0.0095554-0.006974i,0.014478-0.0025791i,-0.016413+0.011994i,-0.0014021-0.0008328i,-0.0014266+0.0013295i,-0.001688+0.00047459i,-0.0032177+0.0015633i,0.0055216-0.0011212i,-0.001834-0.0052641i,0.0002517+0.0046889i,0.0029301-0.00363i,-0.0034957-0.0046906i,-0.0025089+0.0018582i,0.0021706-0.001423i,0.0018006-0.0026515i,0.017298-0.0079645i,-0.0015618+0.0049909i,-0.0022108-0.0053069i,-0.002688-0.001541i,-0.0031966-0.0058401i,0.0020402+0.0072517i,0.0022358-0.0036565i,0.0023976-0.0015738i,0.00079984-0.0030843i,-0.00081659-0.0022709i,0.0016987+0.0019507i,0.00094453+0.00033791i,0.0048553+0.00016635i,-0.0024321+0.0086279i,-0.0046379+0.017477i,0.0029155+0.056477i,0.0071638-0.017886i,-0.023986+0.00050869i,-0.028946-0.0024915i,0.016507-0.00078965i,0.022036+0.010554i,-0.007658+0.00033527i
0.01484+0.0060876i,0.042016+0.018331i,0.040153-0.0060401i,0.030948-0.0096654i,0.04047-0.016795i,0.00013529-0.033904i,-0.0011534-0.015585i,0.018262-0.023915i,0.017086-0.0061535i,0.0036512+0.00047333i,0.003442-0.0019549i,0.0065352-0.0029591i,0.0047816-0.0032028i,0.0024965-0.0035618i,-0.0025458-0.0012318i,0.001536-0.0029877i,-0.002548-0.00491i,-0.0019112+0.00060555i,0.00050158+0.0017982i,-0.0018724+0.00041645i,-0.00089024+0.0020543i,0.0022674+0.0016784i,0.00020935+0.002264i,-0.0007177-0.0054732i,0.00072577-0.0018211i,-0.00054843-0.00132i,-0.00033211-0.0011689i,-0.00035903-0.00081528i,0.00025157+0.00021282i,0.0013471+4.6597e-05i,0.00087545+0.0023913i,0.00083883+0.0017085i,0.00095411+0.00023145i,0.0010677+0.00057919i,0.00071035+8.9393e-05i,0.0067626+0.0037945i,-0.00020766-0.00025772i,-0.0011367-0.00031495i,0.0014328+5.9168e-05i,-0.0021133+0.00084943i,-0.00035697+0.0010631i,-0.0001112+0.0014616i,0.0041108-0.00087077i,0.0048045-0.0048263i,0.017474+0.01969i,0.0024311+0.065191i,0.007497+0.062863i,0.022447+0.057917i,0.030744+0.017762i,0.033873+0.019242i,0.020137+0.030355i,-0.0095396+0.016727i,-0.011694+0.047677i,-0.026324+0.020168i,0.010138+0.0010843i,0.0044548+0.010421i,0.0069294+0.0068637i,-0.0019699+0.013241i,-0.0038526+0.0054022i,0.0033528-0.0095693i,0.011093-0.0074113i,-0.012504+0.015652i,-0.00064384-0.0012789i,-0.0010001+0.00078844i,-0.0012861+0.00038326i,-0.00086967+0.0029323i,0.0042448-0.0012225i,-0.0025601-0.0043708i,0.0031501+0.0037522i,0.0014427-0.0053912i,-0.0044931-0.0028121i,-0.0012924+0.002175i,0.0013642-0.0025318i,0.0014775-0.0037025i,0.01138-0.012551i,0.00058322+0.0045604i,-0.0034982-0.0041608i,-0.0023889-0.0013683i,-0.0048683-0.0046006i,0.0034858+0.0054338i,0.0015009-0.0048559i,0.0029485-0.0031022i,-0.0002944-0.003701i,-0.0015141-0.0029059i,0.0024938+0.0018522i,0.00096539+0.0018703i,0.0042794-0.0008195i,-0.0017178+0.0086925i,0.00051422+0.01627i,0.01132+0.054517i,-0.0014261-0.023179i,-0.026518-0.00082642i,-0.030249+0.0055839i,0.010789-0.0042406i,0.022474+0.004721i,-0.0067399+0.0010524i
0.016119+0.0029845i,0.044279+0.012277i,0.036569-0.013113i,0.025629-0.015646i,0.035843-0.025223i,-0.0058007-0.032105i,-0.0027217-0.014892i,0.013225-0.02643i,0.015605-0.0097095i,0.0041788+0.00054566i,0.0031794-0.0021006i,0.0051269-0.0047886i,0.0040126-0.0042973i,0.0013995-0.0035737i,-0.0023855-0.00022525i,0.0013827-0.0027509i,-0.0041304-0.0036475i,-0.0016836+0.0014192i,0.00085492+0.0010922i,-0.0017586+0.0016849i,-0.00025921+0.002363i,0.0023042+0.00050353i,0.0008572+0.0021889i,-0.002834-0.0035241i,-0.00063756-0.0016605i,-0.00082232-0.00079592i,-0.00070378-0.00092439i,-0.00059641-0.00047748i,0.00031042-4.0344e-05i,0.0012036-0.00040543i,0.0018268+0.0016298i,0.0013692+0.0011842i,0.00091645+2.148e-05i,0.001106+0.00017373i,0.0003404+2.0899e-05i,0.0067836+0.0017661i,-0.00022346-8.7294e-05i,-0.0012771+0.0001503i,0.0013434-0.00018886i,-0.0013945+0.0011529i,-6.8338e-05+0.0012895i,0.00012507+0.0011714i,0.0036909-0.0022931i,0.0030785-0.0050249i,0.018568+0.015487i,0.013268+0.058841i,0.016388+0.057578i,0.031425+0.052341i,0.027878+0.010628i,0.034346+0.01274i,0.026059+0.027659i,-0.0016712+0.017453i,0.0025003+0.047244i,-0.023885+0.024978i,0.0093214+0.00031644i,0.0070385+0.0078853i,0.0074532+0.003929i,0.0019334+0.012669i,-0.0024676+0.0072908i,-0.0025451-0.0079322i,0.0067696-0.009416i,-0.0077733+0.017975i,-0.001146-0.0022444i,-0.001424+0.0008036i,-0.0011908+0.00056331i,0.0016201+0.0027364i,0.0035376-0.001538i,-0.0034918-0.0035482i,0.0046846+0.0015672i,-0.0013378-0.0061879i,-0.0044505-0.00089503i,1.3745e-05+0.0016351i,0.0010052-0.0031473i,0.00022334-0.0049277i,0.0053225-0.013901i,0.0021465+0.0035721i,-0.0044374-0.0031306i,-0.0031943-0.0014197i,-0.0062083-0.0026993i,0.0038964+0.0040319i,-0.00027717-0.0061003i,0.0027003-0.0048743i,-0.0011913-0.003204i,-0.0020549-0.0028211i,0.0028921+0.001651i,0.0020138+0.0025358i,0.0031785-0.0014509i,-0.00068671+0.0091549i,0.0044393+0.013965i,0.020486+0.051282i,-0.011673-0.025429i,-0.030353+0.00099568i,-0.027458+0.013636i,0.0062307-0.003558i,0.02046-0.0017148i,-0.0061024-0.00026554i
0.016606-0.00079386i,0.046175+0.0047881i,0.032593-0.018371i,0.020279-0.01868i,0.02983-0.03187i,-0.010514-0.029794i,-0.0038945-0.014718i,0.0084273-0.027987i,0.013347-0.013152i,0.0049337-0.00024236i,0.0032942-0.0026232i,0.0032405-0.005582i,0.0027851-0.0054652i,0.00056949-0.0034171i,-0.0019116+0.00045236i,0.0014065-0.0024942i,-0.0048035-0.001563i,-0.001079+0.0015198i,0.00067331+0.00047506i,-0.00086903+0.0023538i,0.00039997+0.0022691i,0.0019292-0.00035722i,0.00151+0.0017861i,-0.003664-0.00088037i,-0.0011353-0.00084763i,-0.000809-0.00040122i,-0.00091907-0.00066631i,-0.00058707-0.0001327i,7.8772e-05+3.7589e-06i,0.0008228-0.00074132i,0.0024821+0.00052698i,0.0015307+0.00066852i,0.00089098-0.00028756i,0.0012373-8.9503e-05i,0.00020564+0.0003011i,0.0061623+0.00011949i,-0.00014385+0.00011451i,-0.0011499+0.00070661i,0.0011192-0.00063845i,-0.00066997+0.0013145i,0.00045535+0.0011211i,0.00023923+0.00092089i,0.0025257-0.0032592i,0.0015757-0.004721i,0.019155+0.011553i,0.020586+0.050903i,0.023611+0.052283i,0.038916+0.04451i,0.024702+0.0051999i,0.033911+0.008216i,0.031164+0.023666i,0.0048538+0.016243i,0.01451+0.04208i,-0.019387+0.029524i,0.0090142-0.0011503i,0.0086398+0.004394i,0.0076788+0.0017i,0.0055501+0.010553i,0.0002853+0.0078081i,-0.0057765-0.0044976i,0.0024768-0.0097793i,-0.0024129+0.018021i,-0.0025868-0.0022742i,-0.0023575+0.0018471i,-0.00098817+0.00078454i,0.0031934+0.0013056i,0.0029066-0.00088363i,-0.0039664-0.0020739i,0.0046156-0.00074868i,-0.0038614-0.0049642i,-0.0034402+0.00045734i,0.00036175+0.00050587i,0.00025406-0.0041585i,-0.0018156-0.0049437i,0.00023988-0.013141i,0.0033282+0.0019318i,-0.0054278-0.0017059i,-0.0037507-4.2527e-05i,-0.0062994-0.00022595i,0.0044523+0.0032456i,-0.0032533-0.0061246i,0.0014615-0.0067891i,-0.0016293-0.0028979i,-0.0027562-0.0030923i,0.0039694+0.0015724i,0.0032465+0.0022919i,0.002305-0.00084385i,0.00083353+0.0092424i,0.0069897+0.010659i,0.029245+0.04543i,-0.023133-0.022535i,-0.033392+0.0044134i,-0.021847+0.018349i,0.0041002-0.0021949i,0.015848-0.0057198i,-0.008182-0.0010503i
0.015684-0.0046009i,0.046382-0.0034988i,0.028472-0.022913i,0.015757-0.020455i,0.022926-0.037057i,-0.015049-0.02722i,-0.0055077-0.015419i,0.0035401-0.028998i,0.010282-0.015993i,0.0052998-0.0015043i,0.0031603-0.0037242i,0.0014815-0.0056385i,0.00093178-0.0060962i,-0.00011817-0.0032655i,-0.0015219+0.00065022i,0.0016325-0.002581i,-0.0043007+0.00024961i,-0.00070664+0.0014185i,0.00051033+0.00026949i,1.4088e-05+0.0024699i,0.00099318+0.0020491i,0.0014473-0.00078363i,0.0019737+0.0011052i,-0.0028874+0.0015653i,-0.0010061-0.00015383i,-0.000741-3.2444e-06i,-0.0010854-0.00031513i,-0.00057169+1.0461e-05i,9.6769e-05+0.00010091i,0.00027916-0.00088228i,0.0025729-0.00070011i,0.0016099+0.00025832i,0.00070078-0.00056829i,0.0011486-0.00072777i,0.00038242+0.0005345i,0.005415-0.00099379i,3.0194e-05+0.00012607i,-0.00074332+0.0011817i,0.00040822-0.00067458i,8.7317e-05+0.0010707i,0.00080325+0.00093684i,0.00021029+0.00081383i,0.0011416-0.0034253i,0.00066274-0.0037898i,0.01916+0.0083399i,0.024879+0.044442i,0.030295+0.04676i,0.043695+0.036766i,0.020711+0.00072924i,0.034973+0.0045724i,0.035326+0.01839i,0.011134+0.012637i,0.024184+0.033611i,-0.012595+0.032713i,0.0082821-0.0028117i,0.008122-0.00022545i,0.0077415-0.00088922i,0.0074663+0.0071282i,0.0020737+0.0070839i,-0.007096-0.00010921i,-0.0013845-0.0084658i,0.0017227+0.015599i,-0.0038163-0.0011435i,-0.0020368+0.0039565i,-0.00084175+0.001038i,0.0039472-0.00079637i,0.0038671+0.00038159i,-0.0034261-0.00085561i,0.0041256-0.0015341i,-0.0051134-0.0030176i,-0.0022843+0.00088756i,8.4718e-05+0.0001455i,-0.0021625-0.0047835i,-0.0034691-0.0037799i,-0.0038152-0.011821i,0.0035316+2.8727e-05i,-0.005556+0.00027755i,-0.0029412+0.0010352i,-0.0052722+0.0016537i,0.0054421+0.0024895i,-0.0055695-0.0042376i,-0.0011428-0.0079146i,-0.0024685-0.0023382i,-0.0044002-0.0027723i,0.0051578-0.00030954i,0.0046807+0.0020415i,0.0027881-0.0005493i,0.0027942+0.0093969i,0.0072191+0.0071004i,0.036326+0.03753i,-0.030417-0.013727i,-0.036548+0.010635i,-0.015952+0.020929i,0.0024227-0.00017343i,0.0117-0.006334i,-0.0094578-0.00034968i
