-0.023595-0.019233i,-0.031216-0.034556i,-0.022689-0.019823i,-0.032103-0.020657i,-0.024216+0.003793i,-0.028833-0.018177i,-0.055307-0.048353i,-0.040346-0.044452i,-0.030448-0.015741i,0.0054993+0.0055185i,-0.0034318+0.0061523i,-0.010362+0.011319i,0.0038604+0.0072424i,-0.003755-0.0024964i,0.0028828+0.0019283i,0.0017656+0.028839i,0.018156+0.013894i,-0.00017334+0.00022023i,-0.003073-0.0027579i,0.0080724+0.0036229i,0.0017202+0.00057888i,-0.00068536+0.0023823i,-0.0006143+0.00031795i,-0.028662-0.0023535i,-0.0035745-0.0046902i,-0.000113+0.0025135i,0.0049865-0.0011222i,0.00093368-0.00016853i,-0.00062552-0.00045066i,-0.0012059-0.0019505i,-0.0022801-0.00045541i,-0.0037394-0.0041556i,-0.0032435-0.0056694i,0.00056054-0.0012359i,0.00044425-0.002862i,-0.0044651+0.024744i,0.001882-0.0031823i,0.0024572-0.0037278i,0.0043912-0.0023208i,-0.0076468-0.0015586i,0.00047793+0.0013414i,0.0086653-0.0016859i,-0.002086+0.00059122i,-0.0032721+0.00087231i,-0.0086922-0.003625i,-0.018349+0.021777i,-0.0080109-0.08679i,-0.0027688-0.06102i,-0.02074-0.054145i,-0.011323-0.045811i,0.053545-0.026819i,0.023583-0.067186i,0.039957-0.054069i,0.019141-0.039848i,0.026593-0.020116i,0.012124+0.011784i,0.025235-0.028262i,-0.011064-0.0024517i,-0.0013301-0.00047666i,-0.0086742-0.0016467i,-0.0050399-0.030207i,-0.021408+0.025438i,0.0071224-0.0095311i,-0.010727-0.0030894i,-0.0028125-0.001842i,0.00016086-0.014787i,-0.0083039+0.0054571i,0.0062386+0.010683i,-0.012683+0.029381i,0.0068623+0.0079188i,-0.0033565-0.0014162i,-0.0021842-0.0015568i,-0.013039-0.005389i,0.00067275-0.0043843i,-0.030801+0.0016039i,0.0035943-0.0090052i,-0.0077624-0.0019422i,-0.0048868-0.003109i,0.0074734+0.002035i,-0.0097981+0.00064234i,0.002263-0.00037464i,0.0063681+0.007462i,0.0054047+0.0013714i,-0.0073953-0.0095648i,0.0031635+0.0075568i,-0.019011+0.0087172i,0.0029673+0.006045i,-0.021488-0.0093728i,-0.026448-0.0050855i,0.010265-0.060618i,0.019066-0.014946i,-0.050051-0.028574i,-0.021912+0.0015788i,0.018681+0.009846i,-0.027791+0.011507i,-0.012586-0.0077751i
0.0059581+0.0049839i,0.03723+0.015022i,0.020054-0.004202i,0.0133+0.0020908i,0.0088325-0.0018193i,0.016013-0.0072217i,0.011848+0.01457i,0.017329+0.020057i,0.0012663-0.0025961i,0.0012553+0.00070875i,0.002536-0.0012406i,0.0013261-0.0040804i,3.8831e-05-0.0011952i,0.0022674-0.00015171i,0.0052487-0.0011556i,0.0052056+0.00060254i,0.0052925-0.0045776i,-3.7599e-05-0.0011361i,-0.0023367-0.00019169i,0.00078022+0.00082671i,0.0001762-0.00013824i,-0.0021435-0.00045025i,-0.0015735-0.00018052i,0.0063493+0.0076122i,-0.00073441+0.00018691i,0.00042988+0.00078629i,0.0010002+0.00093687i,-8.8951e-05+0.001249i,-0.00037468-0.00033848i,-0.001238+7.419e-05i,0.00071441-0.0012728i,-0.000754+0.00048891i,0.00023167+0.00053993i,-9.9405e-05+0.00051952i,-0.00024091-0.0011631i,-0.010039+0.006322i,0.00061386+9.7887e-05i,-0.00053388-3.2195e-05i,-0.00033087+0.001837i,0.00036308-0.0032513i,-0.00067048+0.000435i,-0.00038632-0.00027936i,0.00055196+0.0013682i,0.0033197-0.0022395i,9.2654e-05+0.0032298i,-0.050253+0.010466i,-0.0033673+0.029699i,-0.013696+0.041394i,-0.0085918+0.064926i,-0.017577+0.044026i,-0.0072038+0.018804i,-0.0088095+0.012929i,-0.047728+0.0025673i,-0.025137-0.0075217i,0.014788+0.025376i,0.00051563+0.0056119i,-0.0072117+0.00154i,-0.013738-0.002135i,0.0038122-0.0003714i,0.005647+0.014043i,-0.0064319+0.007325i,-0.0055076-0.0073542i,0.0056069-0.0029i,-0.006721-0.0052255i,0.0038815-0.0067541i,0.0043213-0.002112i,-0.0021661+0.010501i,0.012199-0.0056448i,0.0054502-0.0048254i,0.0055344-0.0077995i,0.0032043+0.00076118i,-0.0017093-0.0057362i,-0.00351-0.0014214i,0.0021309-0.0017543i,-0.012606+0.032206i,-0.0042501-0.0050912i,0.0034097+0.0003151i,-0.00045454-0.006516i,0.0034354-0.0015154i,-0.013556-0.0059625i,0.00088779+0.00088872i,0.0041601-0.0019683i,0.002866-0.0011208i,0.00121-0.0058428i,-0.0022549+0.0055983i,-0.00044543+0.0063717i,-0.0047424+0.0071423i,-0.004588+0.002143i,-0.0057382+6.3373e-05i,-0.023728+0.019085i,-0.0088411+0.013896i,-0.022152-0.01146i,-0.010003-0.0093842i,0.0088089+0.02032i,-0.00059081+0.020053i,-0.0085178-0.0033174i
0.0063101+0.0028879i,0.038849+0.0073768i,0.019008-0.008041i,0.013752+0.00066473i,0.0095674-0.0032681i,0.014609-0.010422i,0.012688+0.011785i,0.020244+0.015771i,0.00014726-0.0028735i,0.0015318+0.00020188i,0.0023363-0.0016094i,-0.00032284-0.0029094i,-9.9251e-05-0.00067251i,0.0020618-0.00011208i,0.0046124-0.0022837i,0.0047864+0.00014536i,0.003477-0.005209i,2.8495e-05-0.00094602i,-0.0026354+0.000225i,0.00089731+0.00015308i,2.1161e-05-0.00053722i,-0.0022115+0.00010722i,-0.0015784+7.9576e-05i,0.0098835+0.0045615i,-0.00089929+0.0010204i,0.0009693+0.00050123i,0.00107+0.00028395i,0.00048083+0.0011636i,-0.00078478+0.00022684i,-0.001256+0.00052366i,-0.00022578-0.0014482i,-0.00080869+6.8468e-05i,0.0001704+0.00042884i,0.00023634+0.00046585i,-0.00079379-0.00017275i,-0.0065349+0.0083376i,0.00025577-8.6887e-05i,-0.00042279+0.00044571i,0.00024625+0.001425i,-0.00089873-0.0029i,-0.00070778+0.00027486i,-0.00054872+2.6548e-05i,0.00064452+0.0013874i,0.0023883-0.0024724i,0.0013286+0.003301i,-0.044574+0.018408i,-0.00038939+0.030721i,-0.0049185+0.041754i,0.0077847+0.06194i,-0.0067892+0.043506i,-0.0092915+0.01575i,-0.012374+0.010852i,-0.04969+0.0063424i,-0.020806-0.0085994i,0.020622+0.019332i,0.00046849+0.0054156i,-0.006167+0.0068702i,-0.013368+0.0034691i,0.0023345-0.001864i,0.0093376+0.012575i,-0.0017933+0.011846i,-0.0093799-0.005311i,0.0023022-0.0045864i,-0.0067984-0.0018116i,-0.00082594-0.0066077i,0.0027215-0.0039858i,0.0026486+0.0082182i,0.0078519-0.0090743i,0.0015442-0.0059505i,0.0011478-0.005647i,0.0042213-0.00043493i,-0.0027968-0.0046554i,-0.0019193+0.00087225i,0.0017832-0.0015939i,0.0037478+0.031277i,-0.0057845-0.0044027i,0.0038781-0.0018234i,-0.0036022-0.0059663i,0.0035593-0.002401i,-0.013528+0.00068507i,0.0018911+0.001296i,0.0029964-0.0020469i,0.0029362-0.0023167i,-0.00055515-0.0056163i,-0.00055603+0.0030268i,0.0022665+0.005163i,-0.0010344+0.0082263i,-0.0037366+0.0044499i,-0.0062852+0.00091594i,-0.018662+0.018118i,-0.0068295+0.016541i,-0.02485-0.0063184i,-0.012304-0.011791i,0.011706+0.01969i,0.0035348+0.021982i,-0.010978-0.0033522i
0.0058287+0.001291i,0.038519-0.0008955i,0.017548-0.012637i,0.015033-0.0020853i,0.010528-0.0054974i,0.01221-0.013632i,0.012831+0.0090785i,0.022425+0.011112i,-0.00051046-0.0024343i,0.0013001-0.00033166i,0.0019861-0.0025784i,-0.00051741-0.0013229i,-0.00010084-0.00063972i,0.0021033-0.00048652i,0.0036657-0.0031572i,0.0043836-0.0003242i,0.0016494-0.005529i,-0.00017024-0.0011222i,-0.0025732+0.0012895i,0.0007283-0.00070556i,-0.00056571-0.00085514i,-0.0019441+0.00072876i,-0.0016508+0.00039588i,0.010465-0.0004537i,-0.00018356+0.0014833i,0.00098075-9.7555e-05i,0.00081231-9.2058e-05i,0.00096214+0.0005499i,-0.00046093+0.00068078i,-0.0010946+0.0009989i,-0.00080699-0.00099682i,-0.0015081+0.00062207i,0.00041902+0.00039059i,0.0004602+0.00017852i,-0.00036507+0.00050445i,-0.0030309+0.011586i,2.9418e-05+0.00017569i,-7.2139e-05+0.00044179i,0.00052749+0.001069i,-0.0021612-0.0021086i,-0.00062921+0.00014436i,-0.00038357+0.00024707i,0.00092896+0.0015827i,0.0017387-0.0024285i,0.0032913+0.0026511i,-0.038026+0.024388i,0.0039742+0.031666i,0.0039697+0.038655i,0.022843+0.05326i,0.0031718+0.042593i,-0.012165+0.015057i,-0.015277+0.012082i,-0.050701+0.014373i,-0.01895-0.012103i,0.023093+0.011456i,0.00081785+0.0052124i,-0.003787+0.0088328i,-0.012402+0.0061148i,5.6653e-06-0.0037854i,0.012587+0.0094883i,0.0038468+0.012235i,-0.012029-0.0020846i,0.00028179-0.0031838i,-0.0059854+0.00092562i,-0.002907-0.0040747i,0.00060144-0.0039517i,0.005008+0.0071391i,0.0047529-0.0095631i,-0.0017292-0.0040197i,0.00063629-0.0029871i,0.0043186-0.0026171i,-0.0044016-0.0038936i,-0.0005602+0.00068173i,0.0010795-0.001972i,0.018533+0.023249i,-0.0074425-0.0023457i,0.0031948-0.0033019i,-0.0037316-0.0041912i,0.0040064-0.0041089i,-0.010374+0.0059609i,0.0036228+0.00091639i,0.0020102-0.0022956i,0.0017002-0.0028946i,-0.0021962-0.0041135i,-0.0013154+0.0027386i,0.0033777+0.0029765i,0.0023236+0.0079136i,-0.0022111+0.0052109i,-0.0069823+0.0026494i,-0.016277+0.017005i,-0.00033652+0.017421i,-0.025663-0.0019819i,-0.015403-0.012834i,0.016925+0.016699i,0.0090841+0.022812i,-0.013583-0.0018131i
0.0051588+0.00036492i,0.035346-0.0078116i,0.013984-0.017053i,0.014976-0.0062333i,0.010303-0.0087217i,0.0089262-0.015789i,0.012681+0.0072078i,0.022739+0.0066984i,-0.00056343-0.002339i,0.00073478-0.00041833i,0.0005602-0.003108i,-3.3691e-05-0.0006513i,-0.00051586-0.00038363i,0.0017418-0.00075208i,0.0023999-0.0036803i,0.0041064-0.00054848i,3.8492e-05-0.0048735i,-0.00038041-0.0010586i,-0.0013713+0.001995i,9.9574e-05-0.0010702i,-0.0011274-0.00036191i,-0.0016069+0.0012695i,-0.0015715+0.00091565i,0.0084159-0.0042611i,0.000338+0.0013135i,0.00059583-0.00033416i,0.00069703-0.00015864i,0.0007012-2.1483e-05i,-8.448e-05+0.00063492i,-0.00068209+0.0015155i,-0.0012182-0.00036638i,-0.00091862+0.001436i,0.00053401+0.00015437i,0.00040895-3.2698e-05i,0.00015268+0.00058463i,-0.0021544+0.0091244i,0.0002736+0.00025035i,-5.5753e-05+0.00028914i,0.00053455+0.0009114i,-0.0024572-0.00065107i,-0.00061639+0.00013122i,-0.00034174+0.0003226i,0.001471+0.0015269i,0.0011878-0.002059i,0.0051169+0.0006732i,-0.030596+0.028819i,0.0095364+0.031582i,0.0092035+0.034567i,0.034474+0.039779i,0.012969+0.037692i,-0.015648+0.017492i,-0.018182+0.015573i,-0.048509+0.023256i,-0.02064-0.015513i,0.023756+0.003419i,0.0014362+0.0054868i,-0.0010406+0.011475i,-0.011446+0.0095996i,-0.0042916-0.0027977i,0.015084+0.0043934i,0.0091426+0.010063i,-0.013245+0.0020197i,-0.00039545-0.0025123i,-0.0041496+0.0026396i,-0.0035925-0.0012462i,-0.00043448-0.0034931i,0.0068601+0.0037224i,0.0021246-0.0095765i,-0.0031816-0.001258i,0.0014557-0.0018405i,0.0030036-0.0045629i,-0.0052415-0.00060253i,0.00041008+0.0010356i,0.00072599-0.0019674i,0.02692+0.011075i,-0.0076774+0.0011886i,0.0023166-0.0046243i,-0.0042002-0.0026492i,0.0022677-0.0065312i,-0.0057732+0.0079909i,0.0047707-0.000972i,0.0012862-0.0017681i,0.0011505-0.0025727i,-0.0024185-0.002699i,-0.0013849+0.0035403i,0.003176+0.0010545i,0.0056195+0.0060152i,-0.00082468+0.0048087i,-0.0071689+0.0049142i,-0.014416+0.018085i,0.0085716+0.012664i,-0.024286+0.0032532i,-0.020766-0.012477i,0.018532+0.011622i,0.015762+0.021291i,-0.013451+9.3253e-06i
0.0050296-0.00011104i,0.032157-0.012621i,0.0098384-0.019541i,0.013619-0.01031i,0.0087431-0.011833i,0.0057795-0.017046i,0.012801+0.0060985i,0.022656+0.0031989i,-0.00026277-0.0025688i,0.00033157-0.00026987i,-0.00069085-0.0024234i,0.00035713-0.00053358i,-0.00068287+0.0002521i,0.0013845-0.00091049i,0.0012346-0.0035742i,0.0042138-0.00057301i,-0.00077532-0.0038807i,-0.0008091-0.00089018i,-0.00061637+0.0018919i,-0.00058327-0.00096996i,-0.0011928+6.4672e-05i,-0.0009373+0.0017688i,-0.0012119+0.0014371i,0.0053919-0.0065775i,0.00055483+0.0012312i,0.00034955-0.00033039i,0.00052555-0.00036872i,0.00040273-0.00010937i,2.9545e-05+0.00062678i,3.8328e-05+0.0016892i,-0.0012037+0.00022396i,-0.00020514+0.0014487i,0.00045369-9.9988e-05i,0.00040756+0.00017589i,0.00061239+0.0005317i,-0.00080772+0.009856i,0.00019341+0.00023879i,-0.00021183+0.0003259i,0.0009522+0.00073757i,-0.0020094+0.00039457i,-0.00075833-9.0437e-05i,-0.00021492+0.00039353i,0.0020031+0.0010122i,0.000678-0.0011006i,0.0055539-0.0022845i,-0.0224+0.030913i,0.016034+0.029714i,0.014506+0.032i,0.038965+0.024497i,0.01897+0.030648i,-0.0165+0.023642i,-0.018138+0.022669i,-0.044407+0.032668i,-0.025067-0.016857i,0.01995-0.0035985i,0.0026683+0.0056049i,0.004114+0.011608i,-0.0082838+0.012732i,-0.0059075+0.00074007i,0.014547-0.0027184i,0.012751+0.0059231i,-0.012874+0.0065409i,-0.00063771-0.00098342i,-0.0024676+0.0035256i,-0.0019019+0.00065385i,-0.0022165-0.0023083i,0.0069695+0.00096983i,-0.0011318-0.0083016i,-0.0028196+0.0017137i,0.0026634-0.0023033i,0.0010405-0.005485i,-0.003673+0.0014154i,0.0019789+0.00031787i,0.00038194-0.0017506i,0.028043-0.0015439i,-0.0056869+0.0040023i,0.00046801-0.0055206i,-0.0036494-0.0019285i,-0.00062728-0.0071433i,-0.0019342+0.0076769i,0.0040333-0.0032082i,0.0013551-0.00086595i,0.0013543-0.0023467i,-0.0017456-0.0021268i,0.00048774+0.0044809i,0.0018482-6.2067e-06i,0.0061178+0.0014571i,-0.00041522+0.0035713i,-0.0056403+0.0078098i,-0.010665+0.019271i,0.012167+0.0014496i,-0.019998+0.0051073i,-0.026195-0.0095941i,0.01978+0.0069668i,0.020872+0.014367i,-0.01367-0.00010852i
0.0051257-0.0010457i,0.029376-0.017095i,0.0058998-0.021093i,0.011356-0.01417i,0.0065443-0.014286i,0.0023567-0.017931i,0.013944+0.0049794i,0.022733-0.00033172i,-0.00014701-0.0035209i,-0.00015202+4.4274e-05i,-0.0010626-0.0016238i,0.00051753-0.00052772i,-0.00021022+0.00091583i,0.0010606-0.000902i,0.00045985-0.0032653i,0.0047957-0.00097132i,-0.0010473-0.0034691i,-0.00088187-0.00056453i,-2.8773e-06+0.0017691i,-0.00097923-0.0006037i,-0.00090687+0.00044913i,3.4918e-05+0.0015703i,-0.00060517+0.0017033i,0.0019185-0.0073258i,0.0011651+0.0011108i,0.00017767-0.00034591i,0.0003196-0.00045653i,0.00026902-0.00017544i,0.00028498+0.00065536i,0.00065935+0.0013818i,-0.00091298+0.00060445i,0.00042508+0.0012856i,0.00029297-0.0001648i,0.0006341-3.6724e-05i,0.00080224-1.552e-05i,0.0020299+0.0094008i,0.00029384+0.00029968i,-9.0945e-05+0.00048627i,0.00099784+0.00032144i,-0.0011925+0.00076466i,-0.001038+9.0494e-05i,-2.4302e-05+0.00032008i,0.0022405+0.00042194i,-0.0048846-0.004974i,0.0049821-0.0050411i,-0.014912+0.030506i,0.02198+0.025439i,0.020391+0.028041i,0.038916+0.010585i,0.022012+0.023819i,-0.012872+0.030435i,-0.013484+0.030356i,-0.03617+0.04227i,-0.030169-0.014737i,0.01534-0.0070911i,0.0041064+0.0048668i,0.0078186+0.0088667i,-0.0042518+0.015106i,-0.0051431+0.0035036i,0.010092-0.0092808i,0.013813-0.00011188i,-0.010466+0.0094831i,0.00047769-0.00010126i,-0.0010831+0.0035781i,-0.00035512+0.00057371i,-0.0021993+3.0614e-05i,0.0056291-0.00093551i,-0.0029931-0.005669i,-0.00048168+0.0033953i,0.0026692-0.0041123i,-0.0011937-0.0050957i,-0.0025951+0.0018232i,0.0022877-0.0010716i,0.0007741-0.0016009i,0.02296-0.012284i,-0.0028601+0.0051717i,-0.0014729-0.0049619i,-0.0036602-0.0011611i,-0.0031972-0.006481i,0.00074011+0.0065685i,0.0031602-0.0046165i,0.0023303-0.0013106i,0.0013045-0.0033926i,-0.0011406-0.0025076i,0.0022707+0.0042182i,0.00074696+0.00026406i,0.0095499+0.004181i,-0.00098146+0.0028167i,-0.0024322+0.0093332i,-0.0068334+0.018971i,0.008011-0.0079819i,-0.017735+0.002615i,-0.031667-0.0040445i,0.01837+0.0004173i,0.021445+0.00739i,-0.014202+0.0020116i
0.0050067-0.0019163i,0.025535-0.02168i,0.0013744-0.022715i,0.0074363-0.017941i,0.0037823-0.016558i,-0.0012868-0.017822i,0.015571+0.0030215i,0.022111-0.0040871i,-0.00059243-0.0044472i,-0.00037131+0.00093736i,-0.0012934-0.0011529i,0.00058037-0.0011117i,0.00034314+0.0010019i,0.00075137-0.00082292i,-0.0001277-0.0028355i,0.0051768-0.0021403i,-0.0015761-0.0032348i,-0.0012006-0.00037786i,0.00083597+0.0013743i,-0.0013446-6.6501e-05i,-0.0008817+0.00052157i,0.00058452+0.00092784i,-7.8361e-05+0.0017146i,-0.0014076-0.0066724i,0.001453+0.00035106i,-5.4485e-05-0.00018145i,-9.0211e-05-0.0005765i,0.00011718-0.00013369i,0.00064475+0.00037481i,0.00095724+0.0009041i,-0.00041851+0.00081178i,0.00087112+0.0016815i,7.6702e-05-6.9287e-05i,0.00056433-0.00029179i,0.00041637-0.00061063i,0.0048912+0.0083525i,0.00042949+0.00030601i,-2.329e-05+0.00044008i,0.0010068+0.00016718i,-0.00044661+0.00073801i,-0.00097841+0.00061429i,2.0225e-05+0.00026327i,0.0022107-0.00027879i,-0.0013685-0.0027847i,0.0032225-0.0076199i,-0.0089199+0.028864i,0.025971+0.019649i,0.02556+0.022825i,0.034592-0.00096007i,0.023203+0.018644i,-0.0064457+0.03448i,-0.0038296+0.034748i,-0.024087+0.048145i,-0.034804-0.009426i,0.010658-0.0085859i,0.0049883+0.0034108i,0.009525+0.0049237i,0.00058016+0.015011i,-0.0043009+0.0051366i,0.0021358-0.01143i,0.011092-0.0051449i,-0.0083319+0.011731i,0.0015729-0.00093396i,0.001474+0.00059191i,9.9296e-05-0.00019435i,-0.00031169+0.0014539i,0.0045056-0.0012885i,-0.0032191-0.0041647i,0.0018495+0.0030187i,0.001313-0.0060942i,-0.0027093-0.0038913i,-0.001622+0.0021762i,0.0015104-0.0025236i,0.00082131-0.0024818i,0.013748-0.01824i,-0.00017913+0.0050838i,-0.0022821-0.0040157i,-0.0030693-0.00078539i,-0.0048493-0.0053514i,0.002302+0.0050249i,0.0019069-0.0063968i,0.0025291-0.0025419i,-9.9969e-05-0.003825i,-0.0018374-0.0034277i,0.0033623+0.0038245i,0.00056812+0.001439i,0.0068615-0.0009105i,-0.001744+0.0029181i,0.00051731+0.0087619i,-0.0033097+0.018578i,0.00064655-0.014148i,-0.020411-0.00010439i,-0.034063+0.0044969i,0.012593-0.0039691i,0.021233+0.0017299i,-0.013622+0.0041628i
0.0050692-0.0029412i,0.02138-0.024761i,-0.0040521-0.022796i,0.001901-0.0198i,1.8643e-05-0.017935i,-0.0042579-0.016697i,0.017147+5.1595e-05i,0.020824-0.007657i,-0.0010682-0.0055853i,0.00035628+0.0019648i,-0.0013966-0.00032709i,-0.00029332-0.0015499i,0.00092558+0.0010487i,0.00071643-0.00054677i,-0.00041956-0.0024459i,0.0048526-0.003216i,-0.0025006-0.002568i,-0.001314+0.00024556i,0.001089+0.00049133i,-0.0013139+0.00072368i,-0.00075334+0.0008263i,0.00049166+0.00014158i,0.00040601+0.0016066i,-0.0039256-0.0046489i,0.00070972+8.2762e-05i,-0.00012-2.197e-05i,-0.00093478+7.6839e-05i,2.8317e-05+2.2619e-05i,0.00054225-7.7557e-05i,0.001067+0.00049826i,-7.9277e-06+0.000739i,0.0010461-0.00019845i,6.8469e-05+0.00013539i,0.00038093-0.00031231i,-0.00020912-0.00036767i,0.0058341+0.0068348i,0.00052495+7.9763e-05i,-4.6575e-05+0.00061181i,0.0010831-4.2826e-05i,0.000153+0.00037846i,-0.0010211+0.00084237i,0.00015003+0.00024488i,0.0017903-0.00096595i,-0.0016046-0.0017312i,0.00063908-0.0093266i,-0.0042649+0.026376i,0.028097+0.014038i,0.029886+0.01633i,0.028698-0.00842i,0.023625+0.014416i,0.00088633+0.036441i,0.0057553+0.03395i,-0.011323+0.049736i,-0.036002-0.0015357i,0.0077378-0.0088697i,0.0055788+0.0019928i,0.0092942+0.0014567i,0.0050963+0.01339i,-0.002799+0.0069039i,-0.0045401-0.0084792i,0.00761-0.0072748i,-0.004986+0.014017i,0.0014305-0.0025989i,0.0013311+0.0012781i,-0.00012627-0.00032669i,0.0016508+0.0012736i,0.0038417-0.0016052i,-0.0039539-0.0031166i,0.0030418+0.0017886i,-0.0020176-0.0071097i,-0.0034824-0.0022413i,-0.00022552+0.0017428i,0.00074085-0.0032408i,0.00025336-0.0034282i,0.0057937-0.019019i,0.0016319+0.004007i,-0.0028753-0.0034745i,-0.0035584-0.00066696i,-0.0065208-0.0033866i,0.0026382+0.0037679i,-0.00096754-0.0076531i,0.0024931-0.0036953i,-0.00092298-0.0031139i,-0.0027331-0.0031738i,0.0047943+0.0031255i,0.0013409+0.0021047i,0.0049658-0.0027069i,-0.0018706+0.0035815i,0.0026642+0.0072155i,0.0011576+0.017845i,-0.0093498-0.016657i,-0.024491+0.00056307i,-0.031857+0.013858i,0.0071806-0.0034287i,0.018685-0.0039019i,-0.012725+0.0043496i
0.0048832-0.0045564i,0.01728-0.027767i,-0.0086366-0.021094i,-0.0032057-0.019222i,-0.0037301-0.018287i,-0.0064751-0.015504i,0.018108-0.0040411i,0.019072-0.011071i,-0.0021358-0.0067278i,0.0016825+0.0018732i,-0.0010094+0.00035732i,-0.0010561-0.00095515i,0.0015056+0.00051218i,0.00083-0.00053601i,-0.00060726-0.0021585i,0.0043287-0.0040027i,-0.0029053-0.0013745i,-0.00097943+0.00046523i,0.00071666-0.00013902i,-0.00082602+0.0012368i,-0.00044404+0.0010056i,0.00012564-0.00018429i,0.00085237+0.0013262i,-0.0050037-0.0017045i,9.4972e-05+7.0541e-05i,-6.8625e-05+8.8619e-05i,-0.0004388-7.5407e-06i,0.00011595+9.0783e-05i,0.00019765-2.4159e-05i,0.0010309-2.1228e-05i,0.00032065+0.00055014i,0.00086826+0.00015167i,0.00032451+9.8329e-05i,0.00033161-0.00013837i,-0.00029767+0.00014493i,0.007823+0.0058104i,0.00037116+3.5111e-05i,0.000276+0.00077795i,0.00105-0.00035916i,0.0005186-8.6159e-05i,-0.00066971+0.00071488i,0.00025053-1.7841e-05i,0.0010758-0.0014408i,-0.0017077-0.00092282i,-0.0024048-0.010075i,-0.0013129+0.023346i,0.029286+0.0089644i,0.032045+0.0081661i,0.022435-0.013529i,0.023787+0.012209i,0.0087026+0.036293i,0.013649+0.031108i,0.00055902+0.047269i,-0.033857+0.0057008i,0.0049617-0.0093814i,0.0060214-5.4901e-05i,0.0087775-0.0010533i,0.0088379+0.010201i,-4.051e-05+0.0073433i,-0.0077025-0.0038625i,0.0038301-0.0079754i,-0.00033401+0.01424i,-0.00011205-0.0037999i,0.0004703+0.0020964i,-0.00026307-8.8488e-05i,0.0026982+4.9661e-05i,0.0034756-0.0010639i,-0.0041416-0.0016234i,0.0034882+0.00016632i,-0.0051092-0.0053406i,-0.0031684-0.0004558i,0.00013289+0.00053124i,-0.00017587-0.0037897i,-0.0010743-0.0036722i,-0.0012351-0.017762i,0.0031115+0.0024127i,-0.0038188-0.0026776i,-0.003677+0.00066373i,-0.0064957-0.00073882i,0.0031918+0.0032391i,-0.0043794-0.0071536i,0.0019259-0.0052009i,-0.0014502-0.0028327i,-0.0032046-0.0031006i,0.0059807+0.0018891i,0.0022694+0.0020523i,0.0030728-0.0026595i,-0.0017521+0.0040999i,0.0038901+0.0053733i,0.0055367+0.015337i,-0.019686-0.013698i,-0.0283+0.0034786i,-0.026418+0.019201i,0.0052219-0.0019324i,0.012783-0.0079225i,-0.014296+0.0047327i
0.0038218-0.0061674i,0.01261-0.030475i,-0.012152-0.018852i,-0.0073372-0.017523i,-0.007508-0.017832i,-0.0087376-0.014342i,0.017714-0.0092594i,0.016693-0.014251i,-0.0040238-0.0075514i,0.0027272+0.00093133i,-0.0003754+0.00066238i,-0.0012512-8.5166e-06i,0.0014878-0.00016414i,0.00085755-0.0006599i,-0.00089568-0.0020333i,0.003727-0.0048187i,-0.0028619-0.00024221i,-0.00071251+0.00037977i,0.0004722-0.00031893i,-0.00022921+0.001401i,-0.00021888+0.0012829i,-0.00016156-0.00025204i,0.0010891+0.00087216i,-0.0045192+0.0010086i,-5.6157e-06+2.7428e-05i,7.0623e-06+0.00016291i,-0.00033603+0.00013525i,0.00014776+9.2749e-05i,0.00018596+6.8016e-05i,0.00067489-0.00040814i,0.00052516+0.00019015i,0.0010026+0.00024772i,0.00031255+9.6646e-06i,0.00033479-0.00048193i,-2.303e-05+0.00043814i,0.0082111+0.0021467i,0.00040679+4.0715e-05i,0.00065785+0.00076797i,0.00028343-0.00072243i,0.0007905-0.00053545i,-0.0004604+0.00064791i,0.00015661-0.00016466i,0.00017437-0.0012736i,-0.0015945+0.00017755i,-0.0051951-0.0094815i,-0.00032665+0.021644i,0.029849+0.0040022i,0.031092+0.0016278i,0.015526-0.017215i,0.026222+0.010916i,0.016158+0.033569i,0.021413+0.026336i,0.01095+0.041638i,-0.029145+0.011463i,0.0024179-0.0090465i,0.0051271-0.00306i,0.0081153-0.0038027i,0.010409+0.0055525i,0.0016504+0.0064397i,-0.0086137+0.0016292i,0.00034395-0.0073543i,0.0027055+0.011244i,-0.0024961-0.0031311i,4.5299e-05+0.0030348i,-0.00030086+0.00014106i,0.0031502-0.0016353i,0.0043572-0.00014971i,-0.0031784-0.00042646i,0.0035139-0.00023672i,-0.0058217-0.0027778i,-0.0013496-0.0010621i,-0.00022847+0.00014683i,-0.0021357-0.0042235i,-0.0022678-0.0029469i,-0.0073163-0.015089i,0.0035507+3.6035e-05i,-0.0043957-0.0015782i,-0.0028033+0.0016803i,-0.005764+0.00084972i,0.0041842+0.0025386i,-0.0067763-0.0047489i,0.00017713-0.0067029i,-0.0022491-0.0023291i,-0.0047893-0.0024319i,0.0069114-0.00034249i,0.0031696+0.0020297i,0.0027655-0.0022514i,-0.00072485+0.0054341i,0.0039394+0.003266i,0.0089309+0.011359i,-0.025179-0.0053852i,-0.031332+0.0091618i,-0.020557+0.023305i,0.0035521-0.00059065i,0.0084392-0.0068998i,-0.014727+0.0066802i
