-0.025201-0.0049489i,-0.021846-0.0071652i,-0.012621-0.013393i,-0.035188-0.0078568i,-0.026993+0.001515i,-0.036043-0.0029075i,-0.068976-0.036642i,-0.033713-0.014816i,-0.022246+0.0027577i,0.0060738+0.0062635i,-0.0050977+0.0074367i,-0.0086452+0.018045i,0.0058643+0.0082486i,-0.0013778+0.0032825i,0.004133+0.0037791i,0.0052076+0.025063i,0.023616+0.020205i,0.0011639-0.00050127i,0.0011491-0.0045262i,0.0088398+0.00013503i,0.005475-0.00039699i,0.0022479+0.0014646i,0.0014142-0.00068423i,-0.024705+2.7998e-05i,-0.0048328-0.0040874i,-0.00031676+0.0033628i,0.0050754-0.0043123i,-0.0017919-0.00047226i,-0.00033888+0.0011364i,-0.0020337-0.001535i,-0.0037252-0.00039516i,-0.0068192-0.0085518i,-0.0053627-0.0076587i,-0.00066095+0.0001927i,-0.00022196-0.0022761i,0.00047982+0.022055i,0.0028533-0.0041616i,0.00077722-0.0043352i,0.0029546-0.0020105i,-0.0030606-0.0027991i,0.0008766+1.6715e-05i,0.0077389-0.002142i,0.0031669-0.0023132i,-1.1183e-05+0.002487i,-0.01389+0.015817i,-0.026402+0.05284i,-0.0065371-0.036996i,-0.01536-0.018504i,-0.040095-0.01634i,-0.02743-0.012198i,0.036342-0.01268i,0.0059148-0.030028i,0.012428-0.038332i,-0.009212-0.029845i,0.025623-0.023069i,0.013496+0.0069535i,0.02782-0.036132i,-0.0016577-0.0040183i,0.0054796-0.0089302i,-0.00031883-0.0058836i,-0.00025373-0.035373i,-0.013402+0.029002i,0.0087213-0.01159i,-0.008637-0.0046551i,-0.0025802-0.0020332i,-0.00031721-0.015819i,-0.0076987+0.0059214i,0.0042914+0.0067633i,-0.00066242+0.028819i,0.0025107+0.00078928i,-0.0072191-0.0043865i,-0.0039296-0.0064239i,-0.014883-0.010197i,-0.0025635-0.0060497i,-0.034123+0.0060559i,-0.0047843-0.0085447i,-0.01319-0.00096857i,-0.010431-0.005826i,0.0016262-0.0017129i,-0.014025+0.0024304i,-0.0020177-0.00030265i,0.0053533+0.0059305i,0.0035564-0.0051534i,-0.013879-0.014139i,0.0075054+0.0083963i,-0.016157+0.0052268i,0.0049579-0.0003023i,-0.019209-0.0031714i,-0.016243-0.0042469i,-0.015245-0.035446i,0.020838-0.0098359i,-0.039353-0.023957i,-0.0094994+0.0051916i,0.017805+0.015297i,-0.02214+0.017323i,-0.0043464-0.0034412i
0.006441-0.010304i,0.01113+0.0017103i,0.0079006+0.0033273i,0.014507-0.0036553i,0.018538-0.0014431i,0.016469-0.013391i,0.016245-0.0048689i,0.013-0.0020302i,0.001799-0.0093801i,-0.0029635+0.003416i,-0.00079411-1.6373e-06i,-0.001445-4.6026e-05i,-0.0010901+0.0040466i,-0.0018122+0.0026238i,0.0003826+0.0024443i,0.00093931-0.0004911i,0.0030969-0.0018815i,0.00073017-0.0012318i,-0.00018627-0.00049144i,-0.00012895-0.00017936i,0.00060977-0.0027246i,-0.0012952-0.0014154i,-0.00072274-0.00050597i,0.0036697+0.0042571i,-0.0017092+0.00083043i,-0.0012502+0.0014293i,-0.0024464+0.00034833i,-0.0020109-4.3982e-05i,-0.0026494-0.0011086i,-0.002198+0.00030384i,0.0014469-0.0011983i,0.00063044+0.0012735i,0.001256+0.00015097i,0.0014208-0.00034737i,0.0010503-0.00059952i,-0.010521+0.0063352i,-0.0015595-0.00042939i,-0.0010727+0.00026597i,-0.0027475-9.2148e-05i,0.0018446-0.0031914i,0.00012529-0.0010297i,0.00052269-0.0013367i,-0.0010946+0.0022928i,0.0020901+0.00048235i,0.0011158-0.01311i,-0.023035-0.0093273i,-0.0016752-0.0056339i,-0.0070715+0.002184i,0.017262+0.020986i,0.0013655+0.0047093i,0.013149-0.01393i,-0.011422-0.027102i,-0.003998-0.012555i,0.0076156-0.0087501i,0.018058+0.018057i,0.0019932+0.0012296i,-0.00089913+0.00026878i,-0.0059126-0.00064074i,0.010649-0.0031671i,0.013654+0.0082693i,0.0029084+0.0047756i,-0.0050295-0.0067619i,0.006467-0.002977i,-0.0035925-0.006561i,0.0032712-0.011403i,0.0064046-0.0065165i,-0.00046437+0.0074014i,0.010114-0.008468i,0.0043806-0.0078487i,0.00078275-0.0066662i,-0.0026033-0.0014636i,-0.0060399-0.0066078i,-0.0084825-0.00061803i,-0.00016885-0.0013921i,-0.0085247+0.028133i,-0.0094843-0.0024496i,0.00043953+0.0032666i,-0.0037343-0.0044524i,0.00034799+0.00085306i,-0.016472+0.00094906i,-0.0031239+0.0019874i,-0.0015825-0.001807i,-0.0041174-0.00029057i,-0.0061242-0.0039452i,-0.0015288+0.0054314i,-0.0018714+0.0020888i,-0.0051099+0.0059642i,-0.0057504+0.00016673i,-0.0025174-0.0016502i,0.0079878-0.0020627i,-0.0049201+0.018517i,-0.02829-0.0018787i,-0.010455-0.0033083i,0.012153+0.016026i,-0.0021734+0.016711i,-0.0065476-0.0047146i
0.004907-0.011859i,0.011637-0.0021018i,0.0083994+0.0022231i,0.013217-0.0052433i,0.018345-0.0045413i,0.013937-0.016048i,0.013525-0.0078736i,0.012236-0.0041587i,-6.2346e-05-0.0098558i,-0.0017873+0.0036862i,-0.00038952+0.00049472i,-0.0015987+0.0012621i,8.7673e-05+0.0041685i,-0.00071323+0.0032023i,0.0009458+0.0023486i,0.00066322-7.8157e-05i,0.0018576-0.0025276i,0.00078888-0.0012441i,-0.00026375-0.0010994i,0.00022829-0.00069594i,-0.00012548-0.0028245i,-0.0015847-0.0010293i,-0.00077297-0.00066587i,0.0058505+0.0022585i,-0.0017918+0.0020187i,-0.00048818+0.001863i,-0.0024707+0.001131i,-0.002139+0.00077064i,-0.0034688+0.00030882i,-0.0020429+0.0014574i,0.00075838-0.0014928i,0.00067864+0.00022988i,0.00078772-0.00041435i,0.00098297-0.00082886i,0.00059225-0.00043283i,-0.0077047+0.009237i,-0.0020536+0.00030229i,-0.0011033+0.0009728i,-0.0027116+0.0011481i,0.00076333-0.0033544i,2.1078e-05-0.0011405i,-2.7878e-05-0.001318i,-0.00061828+0.0025557i,0.0015284+0.00044125i,-0.00055011-0.012496i,-0.021118-0.0064428i,-0.0033551-0.0030764i,-0.0040153+0.00064663i,0.026073+0.014196i,0.0050921+0.0022711i,0.006784-0.016988i,-0.019465-0.026473i,-0.0088002-0.013444i,0.010457-0.015971i,0.020087+0.01131i,0.00057166+0.00020118i,-0.00031311+0.0025095i,-0.0056315+0.0011327i,0.0076891-0.0066594i,0.015079+0.0040614i,0.0056323+0.0053527i,-0.0090935-0.0051874i,0.0029324-0.0048302i,-0.0046777-0.004422i,-0.0023428-0.010357i,0.0035728-0.0079587i,0.0030516+0.0054589i,0.0052363-0.010219i,0.00031576-0.0074774i,-0.0026748-0.0035827i,-0.0017998-0.00050518i,-0.0075734-0.0044544i,-0.0057536+0.0032729i,0.00011817-0.00086999i,0.0054804+0.027084i,-0.01032+0.00082155i,0.001225+0.0019285i,-0.0059301-0.0022226i,0.00087414+0.00039417i,-0.014281+0.0084046i,-0.0020092+0.0032113i,-0.0022482-0.00022743i,-0.0029438+0.00076883i,-0.0070956-0.001265i,9.6706e-05+0.0027542i,-0.00079829+0.0018671i,-0.0015064+0.0073111i,-0.0042206+0.0017988i,-0.0037413-0.0014735i,0.0088261-0.0082687i,-0.00096303+0.020282i,-0.028383+0.0037844i,-0.011755-0.0047436i,0.014038+0.013713i,0.0004875+0.018333i,-0.0088684-0.0039523i
0.0024281-0.012888i,0.0098301-0.0064266i,0.0093543+0.00027041i,0.012382-0.0069305i,0.017876-0.00773i,0.010895-0.018651i,0.010319-0.010417i,0.011316-0.0063131i,-0.0018739-0.0093351i,-0.0011657+0.003842i,-7.2677e-07+0.00025787i,-0.00090601+0.0022806i,0.001162+0.0036971i,0.00035396+0.0028807i,0.0015216+0.0021239i,0.00057579+0.00025337i,0.00062775-0.0025599i,0.00073916-0.0017191i,-0.00076495-0.0012967i,-0.00015436-0.0015055i,-0.0010972-0.0029099i,-0.0014904-0.00050477i,-0.0011061-0.00079259i,0.0060437-0.00081543i,-0.00072937+0.0029646i,2.6387e-05+0.0019082i,-0.0022472+0.0023569i,-0.0017892+0.0016381i,-0.0032261+0.0022337i,-0.001332+0.0023993i,0.00010976-0.0014067i,-0.00011491+0.00045316i,0.00044987-0.00047566i,0.0004381-0.0010452i,0.0005642-0.00024003i,-0.0043388+0.011042i,-0.0020403+0.0016529i,-0.00058245+0.0014243i,-0.0021239+0.0024825i,-0.00027169-0.0033122i,-9.6706e-05-0.0013042i,-0.00029695-0.0011929i,-9.6876e-05+0.0028918i,0.0016623+0.00080581i,-0.0013737-0.011684i,-0.019885-0.003108i,-0.002099+0.00062102i,-0.0013871-0.0022502i,0.033057+0.0036654i,0.0080936+0.00058586i,0.00040276-0.017196i,-0.026038-0.022989i,-0.012865-0.010841i,0.0087893-0.024242i,0.019446+0.0044863i,-0.001167+0.00024752i,-0.00045664+0.0017941i,-0.0058679+0.0023478i,0.0025253-0.0097387i,0.01514-0.00084992i,0.0080076+0.0040009i,-0.011608-0.001796i,0.0010728-0.0039592i,-0.005329-0.0018152i,-0.0053126-0.0072625i,0.00086283-0.007853i,0.0049611+0.0044615i,0.0020061-0.0097287i,-0.0028595-0.005387i,-0.0023198-0.00038753i,-0.0016095-0.00070655i,-0.0095038-0.0012059i,-0.0028828+0.0039173i,-0.00046955-0.0014983i,0.015829+0.019941i,-0.009877+0.0050986i,0.0017535+0.0012001i,-0.0045051+0.00024911i,0.0012957-0.00075359i,-0.0078156+0.013358i,-0.00022743+0.0040424i,-0.002393+0.00066111i,-0.0023936+0.0019085i,-0.00703+0.0022415i,-0.00071268+0.0024296i,-0.00024628+0.001349i,0.0015092+0.0070174i,-0.0031029+0.0014851i,-0.0052338+3.7964e-06i,0.0059669-0.013623i,0.0085551+0.018763i,-0.02656+0.0071194i,-0.013697-0.0052572i,0.016654+0.0092976i,0.0049133+0.019715i,-0.010154-0.0025947i
-0.0002257-0.012816i,0.0060744-0.0084504i,0.0091045-0.0022845i,0.011207-0.0089587i,0.016443-0.011055i,0.0069842-0.020318i,0.0067544-0.011483i,0.0098497-0.0082867i,-0.003079-0.0087107i,-0.00053496+0.0042816i,-0.0001431+0.00014034i,0.00015672+0.0025714i,0.0015942+0.0030633i,0.00081149+0.0025983i,0.001916+0.0017161i,0.00054901+0.00064465i,-0.0003881-0.0019711i,0.00043096-0.0020485i,-0.00089947-0.0012857i,-0.0010573-0.001751i,-0.0019097-0.0022933i,-0.0014458-0.00028245i,-0.0015895-0.00058759i,0.0046952-0.0030571i,0.00055325+0.0031002i,0.00064062+0.0020714i,-0.00094702+0.0034353i,-0.0011864+0.0022355i,-0.0018432+0.0035112i,-0.00020449+0.0028009i,-0.00038829-0.0011269i,0.00030371+0.00098226i,0.00021223-0.00050621i,-0.00017366-0.0010086i,0.00052288-0.00028563i,-0.0006556+0.011687i,-0.0010506+0.0027107i,-0.00013814+0.0015141i,-0.00099003+0.003338i,-0.0012429-0.0030368i,-0.00054035-0.001468i,-0.0004492-0.0011605i,0.00066718+0.0031417i,0.0020163+0.00091228i,-0.0016189-0.011725i,-0.016323-0.00017129i,0.0015256+0.002632i,-0.0023658-0.0062388i,0.035626-0.010354i,0.010413-0.0039949i,-0.0054719-0.014316i,-0.031848-0.016743i,-0.01489-0.0056595i,0.0027734-0.030757i,0.017142-0.00093751i,-0.0019286+0.0016726i,-0.00086925+0.0040076i,-0.0054699+0.0042927i,-0.0038979-0.008122i,0.013534-0.0062251i,0.00991+0.0013796i,-0.012348+0.002503i,-0.00015516-0.0039198i,-0.004481+0.00035964i,-0.0064414-0.0032951i,-0.0011729-0.0075504i,0.0061089+0.0012784i,-0.00061346-0.0090776i,-0.0039141-0.0016164i,-0.00092399+0.00123i,-0.0020903-0.00052454i,-0.0089444+0.002989i,-0.00054026+0.0042961i,-0.0013265-0.0015021i,0.021034+0.0097794i,-0.0068169+0.0095177i,0.0019844+0.00014539i,-0.0032441+0.0018352i,0.00048709-0.0018861i,-0.0010653+0.013319i,0.0019276+0.0034178i,-0.0019824+0.0024018i,-0.0012849+0.0029992i,-0.0043386+0.0052868i,-0.00060239+0.0031293i,-0.00041234+0.00085734i,0.0046629+0.0061447i,-0.0033201+0.00079827i,-0.0060238+0.0022324i,0.0020409-0.015123i,0.018034+0.0092707i,-0.023448+0.010839i,-0.016947-0.0041022i,0.015377+0.0049024i,0.010116+0.01855i,-0.0098202-0.001427i
-0.0022371-0.01225i,0.0035766-0.0082829i,0.0081027-0.0041834i,0.00982-0.010766i,0.014483-0.013924i,0.0032066-0.02119i,0.0037643-0.011288i,0.0081052-0.009687i,-0.0039883-0.0079149i,0.00038554+0.0044565i,-0.00036387+0.00022685i,0.0010681+0.0023575i,0.0017968+0.002798i,0.0010779+0.0023399i,0.0022008+0.0013773i,0.00096277+0.0011805i,-0.00075818-0.0011889i,-0.00011516-0.0023782i,-0.0013795-0.0014661i,-0.0019476-0.0014193i,-0.0024055-0.0017783i,-0.00136-3.4777e-05i,-0.001912-8.2069e-05i,0.0028093-0.0042577i,0.0016979+0.0027852i,0.0014874+0.0019358i,0.00051594+0.0036725i,-0.00048402+0.0026739i,-0.00023138+0.004029i,0.001002+0.0027478i,-0.00053433-0.00078904i,0.00074804+0.00099766i,-8.1828e-05-0.00039979i,-0.00069615-0.00043835i,0.00053825-0.00022225i,0.0029201+0.011363i,0.00012585+0.0031892i,0.00024758+0.0016609i,0.00049716+0.0036939i,-0.0019228-0.0025013i,-0.0009154-0.0015279i,-0.00081986-0.0011917i,0.0016135+0.0029616i,0.0022459+0.00048564i,-0.0027029-0.012278i,-0.012093+0.00041259i,0.006119+0.0019633i,-0.0046459-0.0070137i,0.03147-0.023443i,0.0098833-0.0086329i,-0.0080138-0.0095448i,-0.034138-0.0081756i,-0.014331+0.00032828i,-0.0055741-0.032976i,0.013152-0.0042677i,-0.0013726+0.0029863i,0.0018527+0.0047194i,-0.0042962+0.0057924i,-0.006733-0.0038154i,0.0092684-0.01125i,0.01054-0.0022014i,-0.011595+0.0065133i,-0.0010414-0.0025593i,-0.0031091+0.0013582i,-0.0050404-0.00093862i,-0.0039518-0.0061209i,0.0054424-0.00090144i,-0.0028387-0.0076133i,-0.0026201+0.00097279i,0.0009546+0.0014968i,-0.0021546+4.042e-05i,-0.0061528+0.0058765i,0.0019533+0.0032681i,-0.0017443-0.00031689i,0.020985-0.00017732i,-0.001385+0.011087i,0.0014657-0.00057781i,-0.001411+0.0019729i,-0.00063643-0.0015645i,0.0032588+0.011085i,0.0029076+0.0021229i,-0.00026329+0.0042032i,0.00093285+0.0036006i,-0.00030172+0.0057303i,0.00074462+0.0035601i,-0.0013258+0.0010895i,0.0063665+0.0034876i,-0.0043937+0.00080026i,-0.0050286+0.0047953i,-0.00019409-0.014948i,0.018745-0.0055538i,-0.018147+0.011018i,-0.019571-0.0015142i,0.014837+0.0016425i,0.014442+0.014191i,-0.0107-0.0015555i
-0.003892-0.011488i,0.002371-0.008196i,0.0073362-0.0056339i,0.0082694-0.012757i,0.012206-0.016562i,-0.00084273-0.021551i,0.0018771-0.010477i,0.006359-0.010722i,-0.0044621-0.007261i,0.0011252+0.0043307i,-0.00039897+0.00063597i,0.0018607+0.001991i,0.0023065+0.002764i,0.0014311+0.0022703i,0.0025578+0.00087223i,0.0018763+0.0014842i,-0.00064157-0.00070547i,-0.00093164-0.0025759i,-0.0021812-0.0012586i,-0.0026039-0.00072225i,-0.0027597-0.0012025i,-0.0011624+8.0986e-05i,-0.0019923+0.00054072i,0.00054956-0.0046976i,0.0027789+0.0020265i,0.0022431+0.0013247i,0.0019002+0.0032667i,0.00054106+0.0030091i,0.0013674+0.0038745i,0.0020558+0.0021649i,-0.00058858-0.00056741i,0.0013292+0.00088788i,-0.00023859+4.8785e-05i,-0.00061054+0.00020864i,0.0006598-0.00040105i,0.0060426+0.0099214i,0.0015586+0.0031413i,0.00088246+0.0017432i,0.001991+0.0032496i,-0.0023383-0.0018945i,-0.0015124-0.0013761i,-0.0013121-0.0011196i,0.0023384+0.0025259i,0.0023938+0.00020337i,-0.0039491-0.012799i,-0.0088969-0.00080315i,0.0095526-0.0013737i,-0.0062533-0.0061979i,0.024038-0.033529i,0.0075767-0.011959i,-0.0075794-0.0051097i,-0.032324+0.00049736i,-0.0094927+0.0064724i,-0.013389-0.030843i,0.0097851-0.0054986i,-0.00028097+0.003671i,0.0036367+0.0034259i,-0.0028222+0.007323i,-0.0073366-0.00030421i,0.0027336-0.014207i,0.0086646-0.0062989i,-0.0097349+0.0094137i,-0.00066887-0.0016569i,-0.0021263+0.0013147i,-0.0040172-0.00020974i,-0.0050249-0.0032719i,0.0039859-0.0020149i,-0.0040808-0.0057737i,-0.00046293+0.0016603i,0.0024759+7.9981e-05i,-0.0019945+0.00079429i,-0.0033277+0.0068048i,0.0026382+0.0013038i,-0.00085856+0.0006483i,0.017148-0.0079334i,0.0033409+0.010106i,0.0011481-0.00026964i,-0.00067881+0.0017546i,-0.0011559-0.00045734i,0.0063718+0.0083407i,0.0038133+0.00098514i,0.0026273+0.0040206i,0.0024777+0.0022925i,0.0028674+0.0042796i,0.0017023+0.0032066i,-0.0014318+0.0024444i,0.0064453+0.0011897i,-0.0055927+0.0016534i,-0.0026663+0.0061771i,-0.0016854-0.015573i,0.010829-0.01607i,-0.01545+0.0070431i,-0.022224+0.0027188i,0.012553-0.0029673i,0.016184+0.0094012i,-0.012031-0.00026139i
-0.0054134-0.010298i,0.00089696-0.0084191i,0.0060922-0.0078297i,0.0058069-0.014877i,0.0093163-0.018977i,-0.0052401-0.020792i,0.00080332-0.0098899i,0.0046527-0.01173i,-0.0049388-0.0067645i,0.0018035+0.0046177i,-0.00040175+0.00088848i,0.0021864+0.0010356i,0.0029457+0.0024221i,0.0018201+0.0020902i,0.0027109+0.00030677i,0.0028168+0.001079i,-0.00067013-0.00046315i,-0.0020022-0.0024569i,-0.0026659-0.00055069i,-0.003115+0.00028274i,-0.0032045-0.00055336i,-0.0010232-5.3126e-05i,-0.0018969+0.0011765i,-0.0016161-0.0041245i,0.0034779+0.00049089i,0.002602+0.000484i,0.0028453+0.0024494i,0.0018066+0.0028016i,0.0029526+0.0030299i,0.0027437+0.0011449i,-0.00056917-0.00039161i,0.0016505+0.00056371i,-0.00012913+0.00049506i,-0.00020908+0.00061019i,0.00056243-0.00075907i,0.0084942+0.0074975i,0.0026984+0.0023273i,0.0015251+0.0013912i,0.0032446+0.0022139i,-0.0024939-0.0012606i,-0.0020901-0.00087113i,-0.0016093-0.00070579i,0.0030472+0.0018217i,0.0023991-0.00016634i,-0.0057645-0.013009i,-0.0069896-0.0030613i,0.010975-0.00565i,-0.0059805-0.0045052i,0.013958-0.040232i,0.0045622-0.013732i,-0.0058515-0.0030498i,-0.027264+0.0061764i,-0.0016885+0.0084931i,-0.019374-0.026012i,0.0070782-0.0057381i,0.00088694+0.0035124i,0.0038107+0.0016121i,-0.00040645+0.0080002i,-0.0072585+0.0028944i,-0.0051354-0.012988i,0.0051917-0.0083066i,-0.0070662+0.011801i,-0.00014318-0.0021749i,-0.001798+0.001148i,-0.0038523+5.1277e-05i,-0.0045604-0.0012008i,0.0029959-0.0020864i,-0.0048121-0.0045508i,0.00067147+0.001091i,0.0025819-0.0021646i,-0.0016633+0.0015393i,-0.00017162+0.0069464i,0.002105+2.6902e-06i,-8.6946e-05+0.00028878i,0.011365-0.012429i,0.0069997+0.0074623i,0.0016505-0.00046919i,0.00061106+0.0009547i,-0.0004315+0.00011796i,0.0079245+0.0051036i,0.0045577-0.0013384i,0.0046137+0.0024944i,0.0030252+0.0011325i,0.0041944+0.0016581i,0.0033208+0.0028463i,-0.00031382+0.0037062i,0.006257-0.00065939i,-0.0060891+0.0036742i,-0.0005792+0.0060606i,-0.0032224-0.015678i,0.00051024-0.02203i,-0.018027+0.0036007i,-0.021902+0.008341i,0.0063796-0.0056302i,0.017094+0.0050479i,-0.011788+0.00105i
-0.0060651-0.0089976i,0.00015676-0.007852i,0.0038031-0.0091472i,0.0023478-0.016196i,0.005795-0.020745i,-0.0089642-0.018775i,0.0003088-0.0096143i,0.0027811-0.012472i,-0.0053545-0.0065712i,0.0032336+0.004811i,-0.00028692+0.0015055i,0.0020777+0.000466i,0.0035711+0.0018631i,0.0023507+0.0018762i,0.0027311-0.00034441i,0.0033271+0.00048471i,-0.00093164-0.0001362i,-0.0030159-0.001654i,-0.0026966+0.0002043i,-0.0029983+0.001608i,-0.0033986+0.00050044i,-0.0014287-0.00029401i,-0.0015276+0.0018166i,-0.0032764-0.0025852i,0.0030777-0.00098621i,0.0025885-0.00046751i,0.0037499+0.0012304i,0.0028795+0.0020245i,0.0038856+0.0014419i,0.0029161+3.5588e-05i,-0.00055647-0.00029153i,0.0018215-0.00016784i,0.00037446+0.00073431i,0.00034419+0.00067669i,0.00016829-0.00076209i,0.0098976+0.0043613i,0.0033883+0.0010319i,0.0019974+0.00087161i,0.0039431+0.00067416i,-0.0025578-0.00061372i,-0.0023619-4.1811e-05i,-0.0017167-0.00031072i,0.0033245+0.00077389i,0.0023868-0.00058699i,-0.0077361-0.01283i,-0.0062546-0.0062332i,0.0102-0.0099037i,-0.0043673-0.0041371i,0.0033376-0.042423i,0.0012377-0.014031i,-0.0045339-0.0019196i,-0.022393+0.0084216i,0.0059288+0.0060825i,-0.022085-0.019577i,0.0055858-0.0056366i,0.0019553+0.0027639i,0.0032834+0.00058324i,0.0024824+0.0074315i,-0.0056184+0.0062336i,-0.010694-0.0076209i,0.0016894-0.0084418i,-0.003567+0.013203i,-0.0011625-0.0031311i,-0.00165+0.0013145i,-0.0039671+0.00084247i,-0.0035345+0.00017544i,0.0020863-0.0021816i,-0.0056087-0.0030422i,0.001173+0.00027598i,0.00028647-0.0037045i,-0.00071535+0.0020525i,0.0026996+0.0052868i,0.0023148-0.00072258i,0.00011299+8.8925e-06i,0.0050931-0.013889i,0.0089898+0.0037082i,0.0017589-0.0013723i,0.00032519-0.00020011i,0.00042374+0.00015073i,0.0080013+0.0021539i,0.0034596-0.0041519i,0.0060178+0.00036431i,0.0035874+5.3334e-05i,0.0044127-0.00064915i,0.0043957+0.0014687i,0.0014282+0.0039797i,0.0050329-0.0023113i,-0.0053998+0.0061279i,0.0010949+0.0049894i,-0.0040757-0.015161i,-0.012063-0.022975i,-0.021923+0.0039737i,-0.018429+0.013158i,0.0017004-0.0033026i,0.016058-5.4496e-05i,-0.011571+0.0012301i
-0.0062296-0.0083994i,7.2845e-05-0.0083224i,0.0018123-0.0093213i,-0.0011378-0.016115i,0.0021051-0.021804i,-0.011584-0.016407i,8.9125e-05-0.01026i,0.00080452-0.012992i,-0.0059805-0.0063608i,0.004852+0.0040239i,0.00044181+0.0020132i,0.0019802+0.00030309i,0.0041165+0.00091631i,0.0028464+0.0013696i,0.002583-0.0010073i,0.0037879+1.9349e-05i,-0.00088301+0.0003978i,-0.0033719-0.00061802i,-0.0026593+0.00080027i,-0.0022802+0.002601i,-0.0032344+0.0014409i,-0.0019422+0.00018413i,-0.00087607+0.0022817i,-0.0041581-0.0004515i,0.0023132-0.0018417i,0.0022151-0.0013055i,0.0039087-0.0003752i,0.0035675+0.00081661i,0.0038423-2.6677e-05i,0.0027462-0.001008i,-0.00044935-9.7121e-05i,0.0012855-0.00074007i,0.00096873+0.0004994i,0.00084018+0.00049694i,-1.9579e-05-0.00055373i,0.0098368+0.0011893i,0.0033713-0.00036569i,0.0023483+0.00014132i,0.0038376-0.00098338i,-0.0024042+0.00014719i,-0.0020981+0.00079156i,-0.0018261+8.032e-05i,0.0031303-0.00027172i,0.0022301-0.0010217i,-0.0098481-0.012244i,-0.0086061-0.0090897i,0.0078143-0.013009i,-0.0034893-0.0051433i,-0.0056253-0.041605i,-0.0010056-0.012162i,-0.0028798-0.0011374i,-0.018657+0.0098788i,0.010385+0.00095554i,-0.021497-0.01376i,0.0043438-0.0063775i,0.0024821+0.0012507i,0.003602-0.00039533i,0.0048203+0.0053913i,-0.0024167+0.0074256i,-0.012205-0.0013573i,-0.0012429-0.007563i,0.00021201+0.0129i,-0.0031201-0.0028953i,-0.001883+0.0018997i,-0.003711+0.0019606i,-0.002636+0.0010012i,0.0016166-0.0012408i,-0.0057925-0.0010055i,0.00093527-0.00053026i,-0.0017115-0.0028004i,0.00036871+0.0020475i,0.0038302+0.0028086i,0.0024257-0.0019404i,0.00032699+0.00021331i,-0.00025963-0.012834i,0.0093529-0.00046516i,0.0011771-0.0021496i,-7.8899e-05-9.1538e-05i,0.0012669-0.00048268i,0.0076234+5.8321e-05i,0.00075983-0.0057463i,0.006251-0.0026959i,0.0033831-0.0018392i,0.0035673-0.0032148i,0.0048351-5.3743e-05i,0.0027593+0.0033841i,0.0031534-0.0025528i,-0.0035953+0.0077008i,0.0018645+0.0035813i,-0.0040609-0.015685i,-0.023371-0.017529i,-0.025135+0.0069731i,-0.013658+0.014447i,0.00077407-0.00097437i,0.012841-0.0035275i,-0.013135+0.001815i
-0.007038-0.008005i,-0.00071687-0.0095974i,0.00046955-0.0092351i,-0.0041249-0.015155i,-0.0018618-0.022318i,-0.013936-0.013923i,-0.00078576-0.011972i,-0.0013321-0.013298i,-0.0068594-0.0060227i,0.006026+0.0026835i,0.0014136+0.0019414i,0.0020097+0.00023862i,0.0042256-0.00029743i,0.0033128+0.00072089i,0.0022277-0.0016732i,0.0041509-0.0007234i,-0.00061992+0.00082777i,-0.0034776+0.00036015i,-0.002475+0.0015893i,-0.0012674+0.0032115i,-0.0028255+0.0024685i,-0.0020112+0.0010137i,-0.00021489+0.0024111i,-0.003839+0.0018718i,0.0014946-0.0023421i,0.0015692-0.0018979i,0.0033459-0.0018643i,0.0036162-0.00062427i,0.0034817-0.001303i,0.0021632-0.0019997i,-0.00021496-7.8163e-05i,0.00089443-0.00070843i,0.0012466-5.7071e-05i,0.0012336-0.00011652i,4.0663e-05-0.00044603i,0.0089486-0.001534i,0.0030342-0.0015456i,0.0024216-0.00078467i,0.0030076-0.0024103i,-0.0018848+0.00082918i,-0.0016671+0.0015242i,-0.0018235+0.00057455i,0.002535-0.00092905i,0.0019553-0.001096i,-0.012011-0.011221i,-0.012442-0.0089551i,0.0051032-0.014512i,-0.0037056-0.0054062i,-0.01389-0.040067i,-0.0010545-0.010129i,-0.0011346-0.0014575i,-0.014238+0.010699i,0.013071-0.0052325i,-0.018861-0.0102i,0.0026179-0.0068962i,0.0017086-0.00094102i,0.0033533-0.001972i,0.0052598+0.0025483i,-0.00034506+0.0069345i,-0.011241+0.0042855i,-0.00376-0.0058465i,0.0030394+0.010768i,-0.0047064-0.0012901i,-0.0016181+0.0031219i,-0.0030571+0.0030541i,-0.0012193+0.0012827i,0.0024534+0.00019284i,-0.0048848+0.0004502i,0.00065879-0.0003756i,-0.002389-0.0016402i,0.0012611+0.0015841i,0.0038196+0.00091627i,0.00084006-0.003407i,0.00072303+1.5766e-05i,-0.0045271-0.010676i,0.0080767-0.0040658i,0.00039075-0.0024648i,0.00046992-0.00015213i,0.0011087-0.0015963i,0.0072395-0.0020197i,-0.0018254-0.0052466i,0.0046525-0.0056276i,0.0019638-0.0029353i,0.0011932-0.0045187i,0.0047298-0.001872i,0.0039005+0.0024924i,0.0025154-0.0023092i,-0.00088169+0.0082411i,0.0014918+0.0020181i,-0.0048388-0.017533i,-0.028148-0.0074566i,-0.027319+0.011742i,-0.0099232+0.014646i,5.5658e-05+0.00084751i,0.009541-0.004691i,-0.014002+0.0037979i
