-0.024421-0.0029392i,-0.024849+0.0016175i,-0.018172-0.0095036i,-0.032292-0.012109i,-0.029862+0.0038206i,-0.038306+1.6503e-05i,-0.061909-0.023612i,-0.032998-0.016803i,-0.032401-0.0030663i,0.0061572+0.0036213i,-0.0035653+0.0061407i,-0.0062874+0.015901i,0.0057099+0.010338i,-0.00057476+0.004125i,0.0054888+0.0037196i,0.0045696+0.023626i,0.022839+0.021214i,0.00075632-0.00070403i,0.00069508-0.005478i,0.0061979-0.00097775i,0.0045045+8.8561e-05i,0.002184+0.0013412i,0.00087031-0.00074695i,-0.02988-0.00025233i,-0.0053092-0.0055828i,-0.0010308+0.0028304i,0.002483-0.0023i,-0.0012713-4.9516e-05i,-0.001329+0.0011224i,-0.0020926-0.0030222i,-0.0044713-0.0012084i,-0.007447-0.0051845i,-0.0054831-0.0024312i,-0.00063694-2.4762e-06i,0.0014411-0.003776i,0.0023537+0.018968i,0.00030999-0.0027372i,6.6642e-07-0.0028209i,0.004167-0.0023599i,-0.002637-0.00094581i,0.00067341-3.9462e-05i,0.0067892-0.0028899i,0.0039646-0.00241i,-0.0004387+0.0023202i,-0.014309+0.015929i,-0.028446+0.060015i,-0.0020805-0.039062i,-0.014275-0.018983i,-0.037826-0.017581i,-0.027932-0.014051i,0.040457-0.0056613i,0.0081038-0.03083i,0.012961-0.039748i,-0.011665-0.030686i,0.024262-0.019696i,0.014372+0.0081229i,0.028493-0.032783i,-0.0027206-0.0045043i,0.006077-0.0078386i,-0.0022221-0.0070506i,0.0026144-0.035069i,-0.01324+0.029837i,0.0087208-0.011539i,-0.0096239-0.0047397i,-0.0030238-0.0018043i,0.00054576-0.014954i,-0.0084177+0.0054414i,0.0033123+0.0068991i,-0.00187+0.02832i,0.002084-2.7457e-05i,-0.007676-0.0052451i,-0.0031568-0.0064659i,-0.015029-0.0095929i,-0.0025351-0.0064466i,-0.036843+0.0065885i,-0.0041238-0.0092777i,-0.013102-0.0023734i,-0.0098618-0.0060201i,0.0016363-0.0016363i,-0.013765+0.0015065i,-0.0011027+4.4314e-05i,0.0063626+0.0072924i,0.0045989-0.0055191i,-0.013983-0.013496i,0.0081854+0.009118i,-0.017914+0.0062387i,0.0052979-2.6039e-05i,-0.019873-0.0020987i,-0.01858-0.0045154i,-0.016372-0.034272i,0.019557-0.0078794i,-0.038428-0.023827i,-0.0085936+0.0022873i,0.017796+0.015887i,-0.0225+0.016685i,-0.0041435-0.0038734i
0.0056781-0.0096305i,0.010841-0.0080866i,0.009104-0.0020138i,0.014128+0.0012743i,0.018393-0.004574i,0.01384-0.018021i,0.023707-0.0057239i,0.013776+0.0026544i,0.0036272-0.010683i,-0.0014103+0.0022546i,-0.0012454+0.00045787i,-0.0016249+0.0004542i,-0.0014224+0.0040704i,-0.0026321+0.0026834i,0.0010397+0.0026762i,0.00042258-0.00030999i,0.0016346-0.0012554i,-3.854e-05-0.0016209i,-0.00028312-0.00048751i,-0.00031158-0.00016837i,0.00098372-0.001815i,-0.0010448-0.000958i,-0.0013923-0.00028304i,0.0050399+0.0047529i,-0.0025573+2.2552e-05i,-0.0013138+0.0023128i,-0.0019505+0.00055288i,-0.0024264+0.00033248i,-0.0020355-0.0018861i,-0.0033271+0.00062447i,0.00087335-0.001494i,0.00023873+0.0005131i,0.0010895-0.00041439i,0.0014388+0.00024505i,0.00036734+8.2989e-05i,-0.0096688+0.0051763i,-0.0021412-0.00065258i,-0.0010902+0.00083047i,-0.0025548-0.0004183i,0.0013638-0.0024169i,0.00015236-0.0010994i,0.00023665-0.0017081i,-0.0013497+0.0021075i,0.0042173+0.00030197i,-0.0020204-0.014573i,-0.03347-0.0070764i,-0.0056343-0.0083894i,-0.0078387+0.0036621i,0.017778+0.023126i,-0.00023533+0.0054842i,0.011885-0.019078i,-0.0088621-0.02837i,-0.0054261-0.012441i,0.0083947-0.0067772i,0.01945+0.020851i,0.0024736+0.002901i,-0.00050553-4.1383e-05i,-0.0063182-0.0009958i,0.011283-0.0028903i,0.012177+0.0091519i,0.0014497+0.0050126i,-0.0050519-0.0072214i,0.0054056-0.0024352i,-0.0043992-0.0071955i,0.0032112-0.012444i,0.0065097-0.0062781i,-0.0011341+0.0074989i,0.01064-0.0082551i,0.0048083-0.0085334i,0.00061834-0.0069747i,-0.0028512-0.0020687i,-0.006001-0.0069566i,-0.0085346-0.0010911i,-0.00044927-0.0016589i,-0.0083503+0.030286i,-0.010219-0.0038338i,0.00042661+0.0030271i,-0.0040871-0.0057785i,-0.00011151+0.0010724i,-0.017247+0.00083862i,-0.0030482+0.0012317i,-0.0011131-0.0034332i,-0.0037825-0.0015938i,-0.0061775-0.0043502i,-0.0015471+0.0054392i,-0.0014806+0.0024139i,-0.0049241+0.0061627i,-0.0052664+0.00080615i,-0.0033908-0.0014331i,0.0072235-0.0037183i,-0.0073472+0.019391i,-0.028052-0.0020735i,-0.011109-0.0036119i,0.011896+0.016736i,-0.003471+0.017547i,-0.0075029-0.0052861i
0.0041435-0.011103i,0.0094074-0.010126i,0.0088397-0.0033001i,0.013703-0.00050421i,0.017978-0.007699i,0.01035-0.020213i,0.02115-0.0096746i,0.013721+0.00033533i,0.0016116-0.01157i,-0.0006842+0.002379i,-0.00077136+0.0010136i,-0.0018706+0.0016545i,-0.00015063+0.0042614i,-0.00164+0.0034972i,0.0015599+0.0023581i,3.9627e-05+0.00022822i,0.00072825-0.0014896i,-5.4364e-05-0.0014537i,-0.00035236-0.0010523i,-1.0955e-05-0.00062628i,0.00047678-0.0020971i,-0.0011956-0.00084211i,-0.001287-0.00032861i,0.0073162+0.0019345i,-0.0030207+0.0017388i,-9.8859e-05+0.0027253i,-0.0017972+0.0013458i,-0.0023355+0.0012501i,-0.0033784-0.00068784i,-0.0030275+0.0023235i,2.5621e-05-0.0015005i,0.00021185-4.2069e-05i,0.00057062-0.00078877i,0.001229-0.00034319i,0.00012716+0.00058721i,-0.0073622+0.0079658i,-0.0026655+0.00026695i,-0.00087311+0.0013236i,-0.0027507+0.00058333i,0.00056757-0.0026286i,6.0836e-05-0.0012579i,-0.00046088-0.0016257i,-0.0011099+0.0024284i,0.0035559-0.00028639i,-0.0033881-0.013545i,-0.030568-0.0030976i,-0.0079669-0.0049467i,-0.0042991+0.0023148i,0.026881+0.015663i,0.0039936+0.0029719i,0.003994-0.021873i,-0.017863-0.028388i,-0.010117-0.01273i,0.011506-0.013855i,0.022034+0.0134i,0.0013361+0.00154i,-0.00032426+0.0026006i,-0.0057673+0.0011123i,0.0083592-0.0067105i,0.014591+0.0057441i,0.0049184+0.0064893i,-0.0093098-0.0053034i,0.0026006-0.0042045i,-0.0053419-0.0046784i,-0.0030104-0.011172i,0.0036219-0.0077543i,0.0026238+0.0058617i,0.005687-0.010269i,0.00013556-0.0082097i,-0.0031251-0.0037867i,-0.0018039-0.0011545i,-0.0076733-0.004687i,-0.0062213+0.0030105i,-0.00025394-0.0010185i,0.0068111+0.028744i,-0.011659-9.9228e-05i,0.0011196+0.0013371i,-0.0066632-0.0033479i,0.00058164+0.00042933i,-0.015053+0.008728i,-0.0022579+0.0024395i,-0.0022629-0.0017555i,-0.0029233-0.00036977i,-0.0069649-0.0017119i,0.00028381+0.002679i,-0.00014886+0.001997i,-0.00088049+0.00769i,-0.0036332+0.002216i,-0.0045336-0.0011531i,0.0073565-0.00954i,-0.0034793+0.021833i,-0.028181+0.0033125i,-0.012278-0.0047627i,0.013826+0.014346i,-0.00050926+0.019407i,-0.010099-0.0044703i
0.0017252-0.012048i,0.0070202-0.012528i,0.0085238-0.0051567i,0.013636-0.0026764i,0.017384-0.011019i,0.0064534-0.021947i,0.018001-0.013163i,0.013348-0.0021006i,-0.00049538-0.011383i,-0.00034784+0.0023579i,-0.00031942+0.00091507i,-0.0011855+0.0028152i,0.00089857+0.0037901i,-0.00051453+0.0035729i,0.0019774+0.0019479i,-4.1784e-05+0.00079715i,0.00015506-0.0012186i,-0.00021285-0.001662i,-0.0008469-0.0011101i,-0.00034931-0.0012897i,-0.00022418-0.0023494i,-0.0012588-0.00055512i,-0.0014891-0.00042896i,0.0071003-0.0019417i,-0.0019817+0.0032369i,0.00083503+0.0025126i,-0.0013352+0.0023165i,-0.0018265+0.0022008i,-0.0036815+0.0013851i,-0.00196+0.003697i,-0.00060171-0.0010475i,-0.00042656+0.00019725i,0.00011435-0.0007133i,0.0008305-0.00076196i,0.00049145+0.001101i,-0.0044893+0.0098541i,-0.0026577+0.0017622i,-0.00029352+0.0016032i,-0.0026669+0.0020265i,-0.0003403-0.0026394i,-0.00014379-0.0014148i,-0.00084703-0.0013321i,-0.00075638+0.0030251i,0.0033399-0.00046422i,-0.0038966-0.012587i,-0.028218+0.0017198i,-0.007125+9.0112e-05i,-0.0010896-0.00051576i,0.033753+0.0048243i,0.0074839+0.0012147i,-0.0036568-0.021371i,-0.025536-0.025158i,-0.013819-0.0097108i,0.010222-0.022588i,0.021629+0.0058792i,-0.00032677+0.0014451i,-0.00030826+0.0019662i,-0.0060183+0.0022496i,0.0031378-0.01004i,0.015507+0.0010049i,0.0081747+0.0052368i,-0.011722-0.0015432i,0.00094122-0.0035441i,-0.0057661-0.0018229i,-0.0059776-0.007704i,0.00082336-0.0077833i,0.0049373+0.0050897i,0.0024281-0.010093i,-0.0032485-0.0056876i,-0.0028504-0.00036887i,-0.0019183-0.0015977i,-0.0096699-0.0014878i,-0.0033029+0.0038886i,-0.00087543-0.0014895i,0.01791+0.020695i,-0.011616+0.004841i,0.0012421+0.00060012i,-0.005366-0.00040554i,0.0011017-0.00059157i,-0.0080586+0.013695i,-0.00066453+0.0034446i,-0.0031825-0.000812i,-0.0027125+0.00081635i,-0.0069082+0.001733i,-0.00024747+0.0021954i,0.00035672+0.0011063i,0.0023681+0.0071219i,-0.0025658+0.0017047i,-0.0059819+0.00078125i,0.0043532-0.01416i,0.006924+0.020896i,-0.026167+0.0067432i,-0.013866-0.005166i,0.01674+0.010069i,0.0046927+0.021079i,-0.011558-0.0024644i
-0.00079764-0.011969i,0.0035351-0.013433i,0.0073556-0.0069969i,0.01301-0.0053599i,0.015616-0.014768i,0.0020628-0.022625i,0.014261-0.015442i,0.012433-0.0042718i,-0.0019161-0.011155i,-4.1485e-05+0.0025827i,-0.00022284+0.0009467i,7.2648e-05+0.0033359i,0.0013334+0.0033065i,0.00022228+0.0035854i,0.0022051+0.0014595i,0.00014754+0.0013694i,-0.00027676-0.00072436i,-0.00050439-0.0017106i,-0.00085282-0.0009059i,-0.0011812-0.0014432i,-0.00089047-0.002209i,-0.0013713-0.0003658i,-0.0018955-0.00023184i,0.0049245-0.0045233i,-0.0004703+0.0039208i,0.0016279+0.0022344i,-0.00023699+0.0029884i,-0.00090546+0.0028547i,-0.0026176+0.0030227i,-0.00029331+0.004395i,-0.00089331-0.00042397i,-0.00025876+0.00076747i,-9.6847e-05-0.00053035i,0.0002187-0.00094844i,0.0010308+0.0010117i,-0.0011039+0.010751i,-0.001591+0.0030147i,0.00021918+0.0015309i,-0.0016983+0.0032663i,-0.0011727-0.0023575i,-0.00058755-0.0015502i,-0.00099562-0.0011081i,-1.0635e-06+0.0036453i,0.0031658-0.00072232i,-0.0037895-0.012962i,-0.022999+0.0061503i,-0.003084+0.0034773i,-0.0014123-0.0048542i,0.036431-0.0093881i,0.010111-0.0038382i,-0.010604-0.017393i,-0.032779-0.018739i,-0.015625-0.0047754i,0.0044169-0.02962i,0.019711-0.00026578i,-0.00075689+0.0027574i,-0.00071554+0.0040894i,-0.0057431+0.0044664i,-0.0034836-0.0088328i,0.015006-0.0048909i,0.01069+0.0022676i,-0.012115+0.0029846i,-0.00014131-0.0035076i,-0.0045495+0.00051441i,-0.0072018-0.0034173i,-0.0013757-0.0075138i,0.0065786+0.0018319i,-0.00052216-0.0097125i,-0.0041002-0.0018101i,-0.001611+0.0015007i,-0.0029607-0.001051i,-0.0092597+0.0027322i,-0.0011304+0.0044958i,-0.0017471-0.0013804i,0.023069+0.0093839i,-0.0086882+0.01018i,0.0014551-0.00053459i,-0.0045123+0.0013531i,0.00042579-0.0015797i,-0.0013356+0.013442i,0.0016879+0.0028314i,-0.0032198+0.0017985i,-0.0020842+0.002236i,-0.0044049+0.0047125i,-0.0001253+0.0025806i,-0.0002706+0.00029794i,0.0054712+0.005819i,-0.0027941+0.00098057i,-0.0066054+0.0033736i,0.00052808-0.01507i,0.017339+0.011667i,-0.022832+0.010737i,-0.016855-0.0043554i,0.015784+0.0051978i,0.010427+0.01984i,-0.010759-0.00091536i
-0.0027905-0.01137i,0.00063948-0.012872i,0.0057829-0.0082076i,0.011966-0.0078257i,0.012937-0.018023i,-0.001995-0.022473i,0.010706-0.016515i,0.011294-0.0058917i,-0.0031553-0.010715i,0.00053062+0.0027052i,-0.00016647+0.0010437i,0.0013445+0.0032255i,0.0016361+0.0032091i,0.00089154+0.003457i,0.0023404+0.0010509i,0.00082712+0.0020731i,-0.00029254-0.00019373i,-0.0009642-0.0017485i,-0.0011008-0.0011099i,-0.0019739-0.0010365i,-0.0015388-0.00207i,-0.0013459-9.8861e-05i,-0.0021606+0.00034607i,0.0022575-0.0056803i,0.0010453+0.0039153i,0.0024842+0.001612i,0.0010064+0.0030976i,0.0001242+0.0030631i,-0.0011312+0.0039749i,0.0016672+0.0042917i,-0.00067675+7.8872e-05i,0.00013541+0.0010548i,-0.00025582-0.00033331i,-0.00036999-0.00054399i,0.0015196+0.00080919i,0.0023599+0.010661i,-0.00025145+0.0036364i,0.00052172+0.0014473i,-0.00013967+0.0039518i,-0.0017479-0.0018518i,-0.00097697-0.0015593i,-0.0012488-0.00099035i,0.0011562+0.003776i,0.0028449-0.0013155i,-0.0052178-0.013937i,-0.016587+0.0071489i,0.0024533+0.0039339i,-0.0035472-0.0061448i,0.03214-0.022733i,0.0094007-0.0089309i,-0.013621-0.011092i,-0.036162-0.0090344i,-0.015146+0.0014786i,-0.0043692-0.032254i,0.015537-0.0043439i,0.00026241+0.0037715i,0.0021628+0.0047907i,-0.0044866+0.006433i,-0.0066725-0.0044524i,0.011167-0.011339i,0.011426-0.0018784i,-0.010825+0.0069035i,-0.0010742-0.0025555i,-0.0029647+0.0013418i,-0.0055376-0.00068612i,-0.0043313-0.0060631i,0.0060926-0.00069311i,-0.0030693-0.0083024i,-0.0027808+0.00070594i,0.00039933+0.0023085i,-0.0030647-8.3327e-05i,-0.0066239+0.0057588i,0.0016569+0.0038737i,-0.0021831-0.00020334i,0.022422-0.001454i,-0.0026312+0.01246i,0.00056901-0.001337i,-0.0027747+0.0020147i,-0.00064612-0.0012693i,0.003103+0.011379i,0.0025568+0.0015212i,-0.0012078+0.0043534i,-7.075e-06+0.0032331i,-0.00079264+0.0053298i,0.00090019+0.0028509i,-0.0014367+0.00071051i,0.0072387+0.002914i,-0.0037512+0.0011209i,-0.0051025+0.0062159i,-0.0014246-0.014764i,0.019155-0.0033028i,-0.017179+0.010657i,-0.019489-0.0020797i,0.015058+0.0017105i,0.015305+0.015083i,-0.011349-0.00089356i
-0.0044183-0.010608i,-0.0012761-0.011954i,0.0043359-0.0089822i,0.010593-0.010465i,0.009837-0.020672i,-0.0060916-0.021777i,0.0077964-0.016874i,0.010251-0.007325i,-0.0041733-0.010479i,0.0010205+0.0025493i,2.413e-05+0.0012781i,0.0024471+0.0027228i,0.0023336+0.0032344i,0.0016292+0.0033941i,0.0025087+0.00062995i,0.0021279+0.0023639i,9.1155e-05+7.0393e-05i,-0.001538-0.0016425i,-0.0016668-0.0010345i,-0.002533-0.00027597i,-0.002209-0.0017624i,-0.0012653+1.5694e-05i,-0.0021224+0.00099236i,-0.00066077-0.0056887i,0.0026349+0.0033508i,0.0030031+0.00060924i,0.0022477+0.002623i,0.0012468+0.003052i,0.00055197+0.0041898i,0.0032989+0.0032565i,-0.0003827+0.00028246i,0.000765+0.0011662i,-0.00026065-4.1428e-05i,-0.00037556+2.6487e-05i,0.0019353+0.00021363i,0.0054509+0.0093445i,0.0013135+0.0036721i,0.00099046+0.0014297i,0.0014119+0.0038525i,-0.0020555-0.0012292i,-0.0015545-0.0013603i,-0.00161-0.00071555i,0.0022246+0.0035592i,0.0025164-0.0014543i,-0.0071426-0.014611i,-0.011607+0.0053722i,0.0073532+0.0010586i,-0.005171-0.0058151i,0.024701-0.03268i,0.0067054-0.012211i,-0.012934-0.0050252i,-0.034298+0.0011662i,-0.010302+0.0080187i,-0.012146-0.029907i,0.011835-0.0060614i,0.0015443+0.0037937i,0.0039088+0.00333i,-0.0025825+0.0081599i,-0.007427-0.00081423i,0.0036453-0.015627i,0.009396-0.0066152i,-0.0087343+0.0090426i,-0.00096779-0.0016006i,-0.00194+0.0011114i,-0.0041215+7.0308e-05i,-0.005347-0.0030967i,0.0046387-0.0021919i,-0.0044568-0.0061468i,-0.00070457+0.0016561i,0.0024398+0.0010593i,-0.0028351+0.0010083i,-0.0038724+0.0069353i,0.0026854+0.0019337i,-0.0012058+0.00098035i,0.017704-0.0097302i,0.0029512+0.011787i,-0.00019847-0.00053664i,-0.0014719+0.0024596i,-0.0011237-0.00022172i,0.0064002+0.0085971i,0.0032699+0.00052322i,0.0021733+0.0041684i,0.0015195+0.0021977i,0.0022203+0.0043037i,0.0015528+0.0024946i,-0.0016085+0.0022907i,0.0069749+0.00021687i,-0.0048112+0.0018748i,-0.0021151+0.0076191i,-0.0026405-0.014998i,0.012154-0.0146i,-0.014886+0.0062452i,-0.022403+0.0019608i,0.012667-0.0030993i,0.017009+0.0099623i,-0.012334+0.00057504i
-0.0059383-0.0093678i,-0.0030684-0.011214i,0.002757-0.0099447i,0.0080372-0.013286i,0.0061007-0.023056i,-0.010175-0.019925i,0.0053872-0.017058i,0.009132-0.0088851i,-0.0053118-0.010105i,0.0013132+0.0026247i,0.00016684+0.0013051i,0.0031947+0.0016065i,0.0031104+0.0028787i,0.0024237+0.003062i,0.0025838+0.00026495i,0.0033825+0.0016921i,0.00024517-4.9048e-05i,-0.0022871-0.0013052i,-0.0020102-0.00060541i,-0.0028576+0.00075315i,-0.0029539-0.0011888i,-0.0012168-4.5864e-06i,-0.0019728+0.0016365i,-0.0032758-0.0044542i,0.0038719+0.0016408i,0.0029983-0.00049613i,0.0031431+0.0016102i,0.0024673+0.0025939i,0.0023978+0.0036598i,0.0043013+0.0016274i,7.6097e-06+0.00026126i,0.0012964+0.00092801i,-8.3886e-05+0.00018749i,-6.9932e-05+0.00040208i,0.0019086-0.00062376i,0.0078499+0.0070073i,0.0027562+0.0028899i,0.0014657+0.0011057i,0.0029762+0.0032057i,-0.0021223-0.00053968i,-0.0021054-0.0008202i,-0.0017599-0.00016276i,0.003331+0.0027635i,0.002229-0.0015598i,-0.0097745-0.014724i,-0.0086095+0.0028389i,0.0099471-0.0034256i,-0.0051724-0.0045874i,0.014833-0.039261i,0.0034555-0.013749i,-0.010479-0.0019258i,-0.028473+0.0079266i,-0.0019465+0.010263i,-0.017434-0.02507i,0.0090038-0.0067407i,0.0024219+0.0031346i,0.0039867+0.0011914i,4.7366e-05+0.0086463i,-0.007487+0.0023715i,-0.0058253-0.014325i,0.0052512-0.0089774i,-0.006481+0.01097i,-0.00058015-0.0019827i,-0.0017814+0.00080591i,-0.0037946+0.00017337i,-0.0047349-0.00082132i,0.0034143-0.002389i,-0.0051754-0.0048589i,0.00064873+0.0010748i,0.0029593-0.0013778i,-0.0025274+0.0021145i,-0.00059211+0.0074722i,0.002474+0.00036556i,-0.00014809+0.00074125i,0.01089-0.01402i,0.0073046+0.0090667i,0.00042624-9.5609e-05i,0.00016243+0.0017047i,-0.00043849+0.0003162i,0.0078907+0.0052476i,0.0041553-0.0015119i,0.0041863+0.0027728i,0.0020031+0.0013973i,0.0037175+0.0019955i,0.0028423+0.0023409i,-0.0003761+0.0036626i,0.0061674-0.0016414i,-0.0050826+0.0038216i,0.00029097+0.0070922i,-0.0037227-0.014995i,0.002188-0.021225i,-0.01801+0.0027789i,-0.022395+0.0076665i,0.0067101-0.0053864i,0.018125+0.0053292i,-0.011722+0.0017886i
-0.0066512-0.0080137i,-0.0044542-0.0097687i,0.00072522-0.01036i,0.0042746-0.015049i,0.0015579-0.024637i,-0.013331-0.017166i,0.0033534-0.017063i,0.0077722-0.010282i,-0.0063417-0.010009i,0.0020371+0.0027859i,0.00033319+0.0015973i,0.003296+0.00058293i,0.003918+0.0022823i,0.0032323+0.0025373i,0.0027268-0.00019942i,0.0040349+0.00066068i,-0.00021597-0.00015867i,-0.0028717-0.00043196i,-0.002091-0.00012686i,-0.0025737+0.0020414i,-0.0034077-0.00019481i,-0.0015865-0.00015209i,-0.0014736+0.002338i,-0.0049653-0.0020917i,0.0037727-9.7321e-05i,0.0025665-0.0015157i,0.0037005+0.00021637i,0.0034351+0.0015393i,0.0036642+0.002114i,0.0045303-0.00014094i,0.00023065-9.5306e-06i,0.0016582+0.00030244i,0.00024091+0.00024455i,0.00037621+0.00046278i,0.001456-0.00097965i,0.0091895+0.0039933i,0.0036845+0.0015419i,0.0018178+0.0006508i,0.0042118+0.0017237i,-0.0019853+7.3526e-05i,-0.0023455-4.693e-05i,-0.001724+0.00030814i,0.00383+0.0014487i,0.0019551-0.0017633i,-0.012382-0.014011i,-0.0066833-0.00069123i,0.0099704-0.0083221i,-0.004104-0.0043568i,0.0042919-0.041484i,5.2346e-05-0.01374i,-0.0083835-0.00014408i,-0.022436+0.010535i,0.0064668+0.0075988i,-0.019499-0.019318i,0.0072156-0.0071015i,0.0033396+0.0018231i,0.0033409+0.00015965i,0.0031416+0.0079471i,-0.0059675+0.0058744i,-0.012003-0.0080729i,0.0010806-0.0088368i,-0.0034981+0.012502i,-0.0012964-0.0028342i,-0.0019744+0.00097333i,-0.0039291+0.00086481i,-0.003485+0.00064231i,0.0022028-0.0024301i,-0.0061861-0.0032818i,0.0011879-0.0001183i,0.00079685-0.0032305i,-0.0013055+0.0030384i,0.0025745+0.0058426i,0.002486-0.00068047i,0.00035757+0.00034413i,0.0040083-0.014979i,0.0099374+0.0048908i,0.00084594-0.00068362i,8.555e-05+0.00059076i,0.00038031+0.00056504i,0.0078596+0.0025422i,0.0032671-0.0042902i,0.0059493+0.00066503i,0.0027673+0.0008464i,0.0041757-0.0003335i,0.003596+0.0014634i,0.0014248+0.0040061i,0.004658-0.0030751i,-0.004473+0.0059858i,0.0021549+0.0054792i,-0.0042507-0.014955i,-0.010386-0.022998i,-0.022439+0.0034491i,-0.019108+0.012845i,0.0019462-0.0036132i,0.016813-0.00038311i,-0.011309+0.0016001i
-0.0068774-0.0072421i,-0.0050529-0.0085887i,-0.00108-0.010059i,0.00058134-0.015104i,-0.0031491-0.025067i,-0.015517-0.014275i,0.0017997-0.017483i,0.0061973-0.011591i,-0.0077331-0.0096992i,0.0029874+0.0024005i,0.00090709+0.0018424i,0.0031267-0.00015194i,0.0045904+0.0011696i,0.0038505+0.0016493i,0.0027376-0.00080252i,0.0043135-0.00024259i,-0.00049274+0.00032156i,-0.0028009+0.00050154i,-0.0022141+0.00030342i,-0.0017029+0.0028904i,-0.003533+0.0008542i,-0.0021146+0.00035728i,-0.00065216+0.0027511i,-0.0053339+0.00079447i,0.003202-0.0013119i,0.001853-0.0022971i,0.0035235-0.0013363i,0.0037796+0.00011183i,0.0038637+0.00059057i,0.0041553-0.0019156i,0.00033924-0.00020595i,0.001543-0.00032475i,0.00055082+4.5525e-05i,0.00080324+0.0002733i,0.0011603-0.0010585i,0.0091629+0.00094374i,0.0038484+2.9503e-05i,0.0021111+4.3729e-05i,0.0044866-0.00011425i,-0.001622+0.0006404i,-0.0021338+0.00071167i,-0.001644+0.00074766i,0.0036652+0.00019266i,0.0014921-0.0020167i,-0.015038-0.012579i,-0.0084914-0.0045514i,0.0077182-0.012045i,-0.0036388-0.0051912i,-0.0046723-0.040816i,-0.002098-0.011563i,-0.0058051+0.0011661i,-0.017641+0.011843i,0.011248+0.0021252i,-0.019046-0.014151i,0.0053743-0.0080377i,0.0034545-0.00025242i,0.0033313-0.00075353i,0.0055975+0.0055825i,-0.0028196+0.007241i,-0.013543-0.0010327i,-0.0019959-0.0074774i,1.3757e-05+0.012184i,-0.00307-0.0028659i,-0.002472+0.0019449i,-0.0036299+0.0020831i,-0.0024113+0.0014708i,0.0015978-0.0012711i,-0.0064043-0.0010372i,0.00057215-0.0010394i,-0.0011279-0.0026231i,0.00050444+0.0029344i,0.0039182+0.0033003i,0.0025444-0.0019839i,0.00066486+0.00040031i,-0.0015667-0.013284i,0.010655+8.3044e-05i,0.00039582-0.0010278i,0.00012168+0.00086952i,0.0013439+9.116e-05i,0.0078134+0.000639i,0.00031751-0.0057114i,0.0061464-0.0025985i,0.00302-0.00080591i,0.0034097-0.0027998i,0.0040647+0.00037246i,0.0029717+0.0034325i,0.0027353-0.0031533i,-0.0027638+0.0072498i,0.0027908+0.003538i,-0.0044005-0.015866i,-0.021908-0.018111i,-0.025646+0.0066653i,-0.014281+0.014491i,0.00071882-0.001346i,0.013139-0.0041225i,-0.013046+0.0019731i
-0.007602-0.0066475i,-0.005457-0.0080051i,-0.0024815-0.0095488i,-0.0024586-0.014228i,-0.0080441-0.024624i,-0.017399-0.01128i,-0.00020285-0.018677i,0.0042382-0.012755i,-0.0094717-0.0090223i,0.0036822+0.001634i,0.0017121+0.0016424i,0.0028259-0.0006867i,0.0047508-0.00017635i,0.0041871+0.00066237i,0.0025474-0.0014085i,0.0042697-0.001268i,-0.00034946+0.00086296i,-0.0025033+0.0012569i,-0.0021816+0.001054i,-0.00067699+0.0033081i,-0.0032829+0.002084i,-0.00218+0.0013169i,0.00015905+0.0027297i,-0.0042214+0.0033398i,0.0024905-0.0021292i,0.00088926-0.0026762i,0.0027263-0.0026986i,0.003535-0.0012593i,0.0037074-0.00080548i,0.0029572-0.0034517i,0.00040505-0.00057358i,0.001361-0.00066587i,0.00067151-0.00032589i,0.0011264-0.00027657i,0.0011676-0.0012595i,0.0082543-0.0017199i,0.0035842-0.0012917i,0.0022139-0.00071868i,0.0039002-0.0017608i,-0.0010231+0.0011105i,-0.0018238+0.001422i,-0.0013614+0.0012413i,0.0030418-0.00061688i,0.00095736-0.0017046i,-0.017325-0.010604i,-0.01243-0.0048329i,0.0050139-0.01405i,-0.0038746-0.0052155i,-0.012857-0.039424i,-0.0018474-0.0093397i,-0.0031861+0.00087749i,-0.012375+0.011908i,0.014303-0.0044829i,-0.016385-0.011012i,0.0032021-0.0086857i,0.0018909-0.0027906i,0.0030364-0.0018169i,0.0057873+0.0024916i,-0.0009276+0.0069161i,-0.012315+0.0053744i,-0.0043519-0.0053944i,0.0024469+0.010109i,-0.004683-0.0011362i,-0.0021724+0.003611i,-0.0028351+0.0031719i,-0.00083157+0.0015549i,0.0024365+0.00034302i,-0.0054016+0.00058884i,0.00016999-0.00061306i,-0.0018384-0.0017588i,0.0017477+0.0019788i,0.0040064+0.0013475i,0.00079766-0.0033997i,0.0011157+6.7911e-05i,-0.0058168-0.010563i,0.0093152-0.0041934i,6.6617e-05-0.001088i,0.00097454+0.00069216i,0.001555-0.001177i,0.0075949-0.0016421i,-0.0023473-0.0049577i,0.0044844-0.0056692i,0.0020401-0.0018297i,0.0013577-0.0039966i,0.004388-0.0011501i,0.0041862+0.0024153i,0.0019355-0.0027202i,-0.00029192+0.0075104i,0.0020602+0.0019139i,-0.0049891-0.017729i,-0.027351-0.0083962i,-0.027572+0.011765i,-0.010356+0.014948i,-1.4045e-05+0.00040559i,0.0094515-0.00521i,-0.014053+0.0037879i
