-0.0015909-0.042192i,-0.00018788-0.046259i,-0.0081833-0.047778i,-0.030288-0.022458i,-0.023129+0.010895i,-0.03673-0.032915i,-0.062655-0.058436i,-0.02097-0.06901i,-0.022377-0.07821i,-0.0012868+0.016744i,-0.010365+0.012424i,-0.015308+0.013135i,0.0032948+0.015345i,-0.0026438-0.0019738i,0.0020714+0.0063139i,-0.00037969+0.035007i,0.028151+0.05133i,0.001231-0.0005684i,-0.0035561-0.0098043i,0.0063788+0.0041578i,0.0017349+0.0014066i,0.0012779+0.0037602i,-0.00038212-0.0004966i,-0.036485-0.011279i,-0.0027722-0.0073566i,-0.0010294+0.004785i,0.0039187-0.0065773i,-0.00033174+0.00018941i,0.0007168-0.0005522i,4.5618e-05-0.0024185i,-0.0018433-0.0055111i,-0.0035481-0.0063716i,-0.0015599-0.0067192i,0.0031741+0.00021026i,0.0030378-0.0016035i,-0.0026517+0.040837i,0.0067823-0.0045557i,0.0031461-0.00036246i,0.0052932-0.00041928i,-0.018009+0.0015948i,-0.00088982+6.4972e-05i,0.0074861-0.0017788i,0.0043425+0.0014374i,-0.0043747+0.0016224i,-3.6473e-05+0.0093374i,-0.0057457+0.017873i,0.027568-0.080587i,0.00016552-0.054835i,-0.023314-0.043486i,-0.018663-0.03762i,0.063021-0.016183i,0.030526-0.058918i,0.038771-0.043776i,0.033491-0.05272i,0.01974-0.015748i,0.0080668+0.012302i,0.022245-0.034034i,-0.0067094-0.0052114i,0.002862-0.0011772i,-0.0024341-0.0044521i,0.0053343-0.032128i,-0.025923+0.031321i,0.0091954-0.010258i,-0.012311-0.0027794i,-0.0046379-0.0013725i,0.00029996-0.014729i,-0.0099324+0.0055185i,0.003597+0.0061497i,-0.014133+0.030471i,0.0048469+0.0066306i,-0.0053446-0.0027769i,-0.0010275-0.0025078i,-0.013255-0.0083331i,0.00027989-0.0034583i,-0.043324+0.0081127i,0.0013199-0.012803i,-0.0092433-0.0028893i,-0.0071189-0.0033849i,0.0064501+0.0026571i,-0.0094726+0.0023906i,0.00019906+0.0017528i,0.0049739+0.010466i,0.0049721+0.0009081i,-0.0093188-0.0092927i,0.0015871+0.0083253i,-0.020273+0.0050963i,0.0064625+0.003243i,-0.028086-0.0089235i,-0.035989-0.0024123i,0.024004-0.077614i,0.014321-0.008961i,-0.042505-0.028411i,-0.025217-0.0075748i,0.017265+0.012517i,-0.027218+0.011191i,-0.012074-0.010014i
-0.015977+0.026004i,-0.0012694+0.056605i,0.02903+0.03998i,0.0038604+0.013609i,-0.0026108+0.0048036i,0.03143-0.0053771i,0.010195+0.015932i,0.010107+0.047465i,0.0079217+0.019764i,-0.00078331+0.0074226i,-0.0001455+0.0013602i,0.0021248-0.0043031i,0.0022252-0.0019521i,0.003182-0.0013671i,0.0036088-0.0014064i,0.0063344+0.0010667i,0.010131-0.0072325i,-0.0013137+1.4537e-05i,-0.004621+0.00092858i,-0.00011161+0.0027891i,-0.0012846-0.00012355i,-0.0043484-0.0012587i,-0.0023495+0.00038817i,0.0051666+0.0087079i,0.002978+0.0027389i,0.0022197+0.0010454i,0.0017898+0.0013886i,-0.001165+0.0030938i,-3.9199e-05+0.00090886i,-0.00091128+0.0012725i,0.0015273-0.0033542i,-0.0010762-0.0010123i,-0.0014055-0.00086531i,0.00023263+0.0002194i,-6.2056e-05-0.0024051i,-0.0079768+0.012181i,0.0025091-0.00073812i,0.00078336-0.00046505i,-0.00018805+0.0021325i,-0.00060471-0.0038967i,-0.0017153-0.00048128i,-0.0019273-0.0027988i,-0.00010302+0.0052886i,0.00453+0.00257i,-0.032927+0.013391i,-0.074607+0.015414i,-0.042794+0.039521i,-0.020529+0.033781i,-0.0030616+0.049563i,-0.0078026+0.028839i,0.0089276+0.0081552i,-0.0089067-0.0095776i,-0.038537-0.006434i,-0.043469+0.014766i,0.0073778+0.022169i,-0.0034182+0.0045735i,-0.0034035+0.0032105i,-0.013479-0.0032992i,0.0097468+0.0020349i,0.011959+0.017019i,-0.0038574+0.010164i,-0.0082802-0.01102i,0.0066678-0.0040651i,-0.0070492-0.0049183i,0.0035636-0.0083176i,0.0060218-0.0021642i,-0.00066543+0.010443i,0.015231-0.0072003i,0.0072245-0.0070962i,0.0055074-0.006356i,0.0035861-0.0011474i,-0.0027047-0.0073331i,-0.003821-0.002224i,0.0021717-0.0010437i,-0.010027+0.037478i,-0.007106-0.0057963i,0.0013309+0.00071105i,0.00047206-0.0083755i,0.0037855-0.0010434i,-0.013378-0.0045954i,0.0012208-0.00046369i,0.0039305-0.0042433i,0.0022268-0.0023335i,-0.00010345-0.0056103i,0.00042006+0.0047689i,-9.6047e-05+0.0043536i,-0.0033326+0.0046672i,-0.012587-0.0017162i,-0.009404+0.0021449i,-0.034315+0.040031i,-0.0077846+0.015742i,-0.023576-0.0074912i,-0.0015723-0.00030892i,0.0098196+0.020459i,-0.001215+0.020758i,-0.0058382-0.00069505i
-0.012212+0.025274i,0.0076743+0.05415i,0.036049+0.034361i,0.0062317+0.01376i,0.00093257+0.0057267i,0.030185-0.012142i,0.011299+0.013152i,0.016719+0.044865i,0.010697+0.017679i,0.00012799+0.0080249i,0.00082087+0.001535i,5.2551e-05-0.0033375i,0.0014226-0.0018939i,0.0026418-0.0011206i,0.0031022-0.0018742i,0.0061678+0.00014106i,0.0069407-0.0088431i,-0.00048598+0.00043513i,-0.0045986+0.0015801i,0.0013588+0.0017542i,-0.001399-9.0503e-05i,-0.0044707-8.2554e-05i,-0.0021974+0.00059477i,0.0095602+0.0060566i,0.0033062+0.0028971i,0.002904-8.9794e-05i,0.0018873+0.00042347i,0.0002357+0.0033926i,-0.00015163+0.0011806i,-0.00059855+0.0016243i,-0.00018401-0.0035833i,-0.0016117-0.0011388i,-0.0016559-0.00077859i,0.00032818-7.1153e-05i,-0.0012761-0.000972i,-0.002646+0.013011i,0.0015278-0.0011999i,0.00050918-0.00039593i,0.00081054+0.0019834i,-0.0017325-0.002861i,-0.0017226-0.00018568i,-0.0023822-0.0027711i,0.00095971+0.005534i,0.0038712+0.0017952i,-0.0289+0.019672i,-0.067957+0.027646i,-0.037766+0.046651i,-0.01299+0.036044i,0.010455+0.045436i,0.0032687+0.023794i,0.0038962+0.0019852i,-0.016498-0.011893i,-0.041178-0.0040775i,-0.034315+0.015643i,0.012895+0.018936i,-0.0030042+0.0050845i,-0.002308+0.006373i,-0.013577+0.0021727i,0.0083645-0.0018722i,0.015998+0.012793i,0.0010083+0.014184i,-0.013746-0.0084643i,0.0022304-0.0049147i,-0.0065168-0.0013766i,-0.001106-0.0072913i,0.0041417-0.0046999i,0.0039212+0.0077908i,0.0086429-0.010969i,0.0021544-0.0078987i,0.0022754-0.0053964i,0.0040927-0.0024841i,-0.004175-0.0061215i,-0.002757+0.00067156i,0.0028421-0.0010322i,0.012744+0.035859i,-0.0080007-0.0037287i,0.0021646-0.0011643i,-0.0038664-0.0070171i,0.0041777-0.0024033i,-0.013115+0.0016825i,0.0014879-2.4504e-05i,0.0015262-0.0035726i,0.0023964-0.0031625i,-0.0012126-0.0050723i,0.0014498+0.0019515i,0.0015704+0.0033435i,-0.00048293+0.0059704i,-0.011435+0.0034955i,-0.00896+0.0037952i,-0.026329+0.040588i,-0.00596+0.019109i,-0.02502-8.1743e-05i,-0.0020927-0.004368i,0.012533+0.019533i,0.0035926+0.02234i,-0.0080357-0.00063945i
-0.0099003+0.025169i,0.014889+0.049998i,0.042368+0.027225i,0.0099728+0.010886i,0.0055238+0.0046616i,0.027112-0.01897i,0.011596+0.010334i,0.024059+0.04136i,0.013837+0.015909i,0.0020151+0.0078861i,0.0012441+0.0009823i,-0.00059594-0.0015733i,0.00061344-0.0021411i,0.0026512-0.0014659i,0.0025887-0.0022961i,0.0058402-0.00063288i,0.0040227-0.0094719i,-0.00021971+0.00013749i,-0.0046062+0.0038506i,0.0013792+0.00011498i,-0.0017916-0.00017892i,-0.0040788+0.0012093i,-0.0022519+0.00090369i,0.010797+0.00091578i,0.0050261+0.0013939i,0.0023443-0.0014414i,0.0017828-0.0002861i,0.001604+0.0025496i,0.00029489+0.0013855i,-0.00027598+0.0018883i,-0.0017465-0.0027443i,-0.0022955+0.0001014i,-0.0018377-0.00012154i,0.00010552-0.00033266i,-0.0008518+0.00034201i,0.00043804+0.01203i,0.00072204-0.0012636i,0.00037071-0.00058575i,0.0013574+0.0013679i,-0.0024192-0.0016823i,-0.0016639+0.00016935i,-0.0070447-0.0058503i,0.0026137+0.0057708i,0.0039082+0.0016708i,-0.021983+0.024017i,-0.059527+0.038208i,-0.029111+0.053007i,-0.004652+0.035587i,0.022155+0.036547i,0.0023577+0.033506i,-0.0026736-0.00011176i,-0.023036-0.010028i,-0.044295+0.0019036i,-0.027702+0.012745i,0.016744+0.013016i,-0.0022526+0.0056707i,-0.0009206+0.0066552i,-0.012494+0.0063525i,0.0049639-0.0058115i,0.018946+0.0076421i,0.0075051+0.014569i,-0.016666-0.0038661i,0.00043744-0.0029673i,-0.005506+0.0015709i,-0.0028786-0.0049242i,0.0015899-0.0053296i,0.0057604+0.0064371i,0.0033633-0.011191i,-0.0023496-0.0066029i,0.0014766-0.0038653i,0.003256-0.0050746i,-0.0056849-0.0041193i,-0.00082187+0.0012158i,0.0021732-0.0025139i,0.023208+0.022404i,-0.0091126-0.00028051i,0.0020272-0.0022845i,-0.0036939-0.0048966i,0.0043089-0.0043353i,-0.0095064+0.0065646i,0.0026683-2.5825e-05i,0.00011654-0.0035694i,0.0011136-0.0034095i,-0.0023394-0.0044304i,0.00039521+0.0013566i,0.0026479+0.0019622i,0.0021248+0.0061079i,-0.0092357+0.0064207i,-0.0086489+0.0060921i,-0.01982+0.039923i,0.0020714+0.02124i,-0.024263+0.0036912i,-0.0038634-0.0080061i,0.017571+0.016112i,0.0094266+0.022945i,-0.0099036+0.00081612i
-0.0074202+0.02588i,0.019847+0.04598i,0.046219+0.017517i,0.012062+0.0061898i,0.0088893+0.00083056i,0.021921-0.024282i,0.011441+0.0084336i,0.030515+0.035474i,0.016951+0.012756i,0.0033383+0.0068064i,0.0014664+0.0010571i,-2.8209e-05-0.00073438i,-0.00071475-0.0014828i,0.0019816-0.0015009i,0.0018252-0.0029i,0.0054724-0.0012153i,0.00090031-0.0087449i,0.00022671+0.00016683i,-0.0020624+0.0058523i,0.00064387-0.00065105i,-0.0020777+0.00069105i,-0.0034489+0.0023566i,-0.0021546+0.0015268i,0.0091745-0.003841i,0.0047911-0.00069605i,0.0012601-0.0019276i,0.0013858-0.00069516i,0.0019083+0.0014898i,0.0009531+0.00099553i,0.00028726+0.0021821i,-0.0026659-0.001228i,-0.0015345+0.0011468i,-0.0013394+0.00029513i,-0.00028981-0.00017744i,-0.00044113+0.00066471i,0.0034867+0.011104i,0.00029812-0.0012592i,-3.9085e-05-0.00080128i,0.0014833+0.0010125i,-0.0023691-0.00097383i,-0.001571+0.00066875i,3.6688e-05-0.0048559i,0.0046694+0.0052609i,0.004255+0.0014482i,-0.014625+0.024292i,-0.048195+0.046212i,-0.020116+0.056574i,0.0013232+0.033157i,0.030457+0.023811i,0.012975+0.021967i,-0.0097023+0.0025958i,-0.030048-0.004475i,-0.044799+0.011053i,-0.024806+0.0088248i,0.018258+0.0055883i,-0.0015816+0.0065746i,0.00045753+0.0089937i,-0.010398+0.01059i,-0.000657-0.0054922i,0.020637-5.6772e-05i,0.014011+0.01157i,-0.017978+0.00077062i,-0.00012633-0.0020974i,-0.0030624+0.0030912i,-0.0037992-0.0021238i,-0.00017965-0.0049648i,0.0075466+0.0028645i,-0.00088036-0.011326i,-0.0051578-0.002802i,0.0014919-0.0031132i,0.00073742-0.006521i,-0.0065355-0.0011555i,0.0010542+0.0016621i,0.0011696-0.0028627i,0.028727+0.010182i,-0.0081843+0.0036065i,0.0014853-0.0038833i,-0.0043453-0.003573i,0.0025938-0.0071132i,-0.0047647+0.0078639i,0.0037566-0.0016804i,-0.00092496-0.002208i,0.00061791-0.0029957i,-0.0033942-0.0025777i,-0.00015325+0.001567i,0.0024924+8.6028e-05i,0.0056606+0.0060437i,-0.0064655+0.0077993i,-0.0078798+0.008431i,-0.014813+0.040262i,0.013289+0.016561i,-0.021859+0.0082825i,-0.0091645-0.010461i,0.019608+0.010449i,0.015401+0.020642i,-0.0090673+0.0026547i
-0.0039529+0.026514i,0.025065+0.043245i,0.047735+0.0079589i,0.012666+0.0016882i,0.009483-0.0040917i,0.016477-0.028056i,0.011702+0.0073944i,0.035099+0.029198i,0.019336+0.0081222i,0.0038796+0.0061701i,0.0014823+0.00065378i,0.00081976-0.00074984i,-0.0011143+0.00012158i,0.0015273-0.0015625i,0.00080441-0.0028203i,0.0054574-0.0016621i,-0.0010081-0.0073846i,0.00021119+7.5804e-05i,-0.0012595+0.0061373i,-0.00021302-0.00074636i,-0.0017684+0.0013176i,-0.0021334+0.0032366i,-0.0016834+0.002136i,0.0055617-0.0068548i,0.0036612-0.0022172i,0.0004675-0.0019683i,0.00091341-0.00097994i,0.0018069+0.00085245i,0.0010194+0.00045677i,0.0012533+0.0020613i,-0.0023845+0.00013859i,-0.00071384+0.0014172i,-0.00064703+0.00046375i,-0.0002286+0.00023902i,0.0001686+0.00091266i,0.005635+0.0086183i,-0.00017587-0.0010838i,-0.00052534-0.00062362i,0.0017368+0.00070639i,-0.0020439-0.00038714i,-0.0012124+0.0007806i,-0.002332-0.0074018i,0.0060561+0.0037795i,0.004141+0.00041582i,-0.010335+0.023013i,-0.036047+0.05064i,-0.0091846+0.060011i,0.0066581+0.03131i,0.031944+0.0099915i,0.015613+0.013669i,-0.012795+0.0101i,-0.033134+0.0055701i,-0.042682+0.020976i,-0.026157+0.0055621i,0.014732-0.00089743i,0.0002829+0.0076522i,0.004951+0.0087454i,-0.0068071+0.013467i,-0.0032376-0.0023881i,0.017609-0.0088936i,0.018689+0.0056175i,-0.018252+0.0060527i,4.6134e-05-0.00040544i,-0.00093581+0.003405i,-0.0024924-4.5019e-05i,-0.0025997-0.0036388i,0.0069615+0.00047962i,-0.0043938-0.010401i,-0.0038254+0.0018391i,0.0018361-0.0034481i,-0.0019992-0.0066244i,-0.0052511+0.0020751i,0.0029469-0.00020302i,0.00075773-0.0025403i,0.028441-0.0037732i,-0.0050898+0.0060725i,-0.0001487-0.0046643i,-0.0043267-0.0025029i,-0.00018375-0.0077926i,-0.0014113+0.0072269i,0.0025947-0.0036104i,-0.00076133-0.00082427i,0.00075995-0.0027978i,-0.0022131-0.0010604i,0.00010492+0.0016516i,0.00115-0.00088587i,0.014599-0.001913i,-0.0044626+0.0077294i,-0.005493+0.011206i,-0.0090914+0.040531i,0.018552+0.0039776i,-0.016837+0.0089924i,-0.015728-0.0099337i,0.020657+0.0051538i,0.02027+0.014791i,-0.0090009+0.0027001i
-0.00013137+0.026084i,0.031083+0.039645i,0.047691-0.0018682i,0.012451-0.0029031i,0.0088319-0.0080704i,0.010143-0.030907i,0.012956+0.0064574i,0.038475+0.022482i,0.02058+0.0024927i,0.005229+0.0060035i,0.0019245+0.00056844i,0.0013104-0.00086814i,-4.4181e-05+0.0012887i,0.0011803-0.0013673i,0.00015832-0.0024987i,0.0055493-0.0023292i,-0.0018505-0.0063422i,0.00068258-0.00014337i,-0.00037024+0.0054694i,-0.00077158-0.00044996i,-0.0010275+0.0016236i,-0.00059996+0.0032234i,-0.00093793+0.0024328i,0.0010525-0.0079824i,0.0028666-0.0030374i,-0.00036452-0.0017863i,0.0004236-0.0010547i,0.001861+0.00047543i,0.00085227+2.541e-05i,0.0018059+0.0012513i,-0.0018273+0.00094851i,-1.8729e-05+0.0014943i,0.00017624+0.00057435i,1.4647e-05+0.00024854i,0.00057353+0.00029342i,0.0065868+0.0061776i,-0.0004822-0.00086887i,-0.00069912-0.00016645i,0.0014947-0.00010915i,-0.0017038-0.00019325i,-0.0011342+0.00090666i,-0.0022911-0.00038749i,0.006766+0.0022343i,0.003874+0.00010763i,-0.0070549+0.021359i,-0.02466+0.051701i,0.0036661+0.058744i,0.012108+0.029251i,0.029304-0.0019264i,0.015568+0.0076396i,-0.0099213+0.0181i,-0.030563+0.017258i,-0.036009+0.032187i,-0.029674+0.0064985i,0.010228-0.0031874i,0.0028539+0.0073437i,0.0074696+0.0061836i,-0.0017627+0.015007i,-0.003685+9.011e-05i,0.010175-0.016017i,0.019052-0.0026671i,-0.016299+0.010727i,0.0014688-9.0526e-05i,0.00079343+0.0027477i,-0.00081448+0.0001951i,-0.0029448-0.00079191i,0.0056367-0.0011136i,-0.0049349-0.0086825i,-0.00046747+0.0039125i,0.0012937-0.0047368i,-0.0042453-0.0048353i,-0.0036549+0.0028481i,0.0026995-0.0022971i,0.00099173-0.0024755i,0.022287-0.015219i,-0.0015979+0.0068055i,-0.0018712-0.0044174i,-0.0043594-0.00094979i,-0.0029923-0.0073663i,0.00067891+0.0061674i,0.004112-0.0022147i,0.0003404-0.00054344i,0.00061635-0.0038396i,-0.00080318-0.0014437i,0.0016049-0.010319i,-8.4996e-05-0.00017933i,0.0030845-0.00022836i,-0.0034874+0.0072499i,-0.001521+0.012521i,-0.0032144+0.039964i,0.01566-0.0076132i,-0.014425+0.0054962i,-0.022286-0.0055514i,0.01898-0.0013744i,0.021737+0.0080619i,-0.0091811+0.003987i
0.0037309+0.025511i,0.036507+0.034485i,0.044829-0.011872i,0.0099153-0.008125i,0.007117-0.012414i,0.0031198-0.03183i,0.014842+0.0045148i,0.041094+0.015444i,0.019269-0.0024385i,0.0062012+0.0053655i,0.0021288+0.00028361i,0.0015377-0.0019866i,0.0010053+0.0013825i,0.0009504-0.0013395i,-0.00020067-0.00202i,0.0053957-0.0033309i,-0.0030217-0.0056184i,0.00025811-0.00069916i,0.001095+0.0044071i,-0.0012936+0.000104i,-0.00071313+0.0014749i,0.00059913+0.0023209i,-0.00030202+0.0025332i,-0.0043161-0.0069031i,0.0012387-0.0045722i,-0.00084978-0.0010781i,-0.00011964-0.0010772i,0.0018518+0.00014964i,0.00084146-0.00020083i,0.0018951+0.00032692i,-0.0009893+0.0014514i,0.00040955+0.0015604i,0.0001415+0.00052916i,-7.602e-05+0.00051395i,0.00019118-0.00031851i,0.0058596+0.0033608i,-0.00072436-0.00058451i,-0.00075471+0.00014922i,0.0012092-0.00037989i,-0.0012075-0.00013498i,-0.00093815+0.0012176i,-0.00079289+0.00044901i,0.0071441+0.00038776i,0.0038379-0.00022857i,-0.0047706+0.019936i,-0.01461+0.050787i,0.014499+0.053208i,0.018001+0.026105i,0.023041-0.010914i,0.014063+0.0038139i,-0.0036778+0.022746i,-0.021248+0.025601i,-0.02405+0.039577i,-0.032267+0.011361i,0.0068636-0.0033719i,0.0048129+0.0056629i,0.0083959+0.002959i,0.0035666+0.014768i,-0.0036832+0.0021345i,-0.00039339-0.017077i,0.014932-0.0094755i,-0.013099+0.014517i,0.002517-0.0018907i,0.00096987+0.0011619i,-0.0006426-0.00070307i,-0.0012853+0.00095568i,0.0045992-0.0014924i,-0.0047255-0.0067655i,0.0023426+0.0033265i,-0.00024693-0.0059651i,-0.0053534-0.0026962i,-0.0021272+0.0034093i,0.0012887-0.0038073i,0.00080349-0.0034711i,0.013152-0.020487i,0.0011889+0.0060632i,-0.0031777-0.0035272i,-0.0033785-0.00060645i,-0.0052755-0.0062881i,0.0018926+0.0048026i,0.0028185-0.0064964i,0.0010631-0.0012556i,-0.00082026-0.0041007i,-0.0011501-0.0026144i,0.0058008+0.0030956i,-8.4425e-05+0.0011255i,0.0044757-0.00078618i,-0.0029815+0.0074681i,0.0019407+0.011553i,0.0030989+0.039042i,0.0081224-0.01627i,-0.017238+0.0022967i,-0.025195+0.0025068i,0.01321-0.0060326i,0.022018+0.0019703i,-0.0076847+0.0045993i
0.0079505+0.023514i,0.041724+0.029029i,0.039203-0.020217i,0.004925-0.011325i,0.0035081-0.015883i,-0.0032097-0.030648i,0.016722+0.0015371i,0.042106+0.007815i,0.017301-0.0066128i,0.0079876+0.0045969i,0.0023655+0.00010408i,0.00057434-0.0031491i,0.0019571+0.0010525i,0.00078008-0.0012195i,-0.00019492-0.0017905i,0.0048396-0.0041479i,-0.0047939-0.0041937i,-0.00016445-0.00071998i,0.0022253+0.0027311i,-0.0012595+0.0011746i,-0.00066483+0.0016975i,0.00057694+0.00088677i,0.00042924+0.0024815i,-0.0075553-0.00072607i,-0.0017969-0.0041262i,-0.00096236-0.00054246i,-0.00054739-0.00076386i,0.0015932-0.00029305i,0.00064532-0.00073685i,0.0016359-0.00036061i,-8.3053e-05+0.0013987i,0.00092444+0.00137i,0.00016496+0.00098983i,-0.0003261+0.00045631i,-0.00025595+0.00016193i,0.0049539+0.0017595i,-0.00071318-6.8706e-05i,-0.00047023+0.00050901i,0.00096817-0.00053018i,-0.00079656-0.00039037i,-0.00057422+0.0016022i,-0.00064155+0.0005028i,0.0067624-0.0015892i,0.0035912-0.00064399i,-0.0029064+0.018955i,-0.005627+0.047902i,0.021895+0.046403i,0.023759+0.021239i,0.01571-0.015498i,0.012276+0.0016696i,0.0035919+0.024222i,-0.010941+0.02779i,-0.0099963+0.041585i,-0.03179+0.018406i,0.0054475-0.0026599i,0.0060799+0.0033528i,0.0079797+0.00022259i,0.0082673+0.012076i,-0.0028481+0.0044381i,-0.0088435-0.012381i,0.0091756-0.012364i,-0.008828+0.016923i,0.0010558-0.0037156i,0.00075891+0.0005535i,-0.0013175-0.00075857i,0.00089347+0.0014051i,0.0040436-0.0017561i,-0.0061254-0.0047506i,0.004312+0.0012759i,-0.0029174-0.0061078i,-0.0051942-0.00038332i,-9.68e-05+0.0026697i,-9.5874e-05-0.0043464i,-0.00012632-0.0042862i,0.0044182-0.021922i,0.0031286+0.0045599i,-0.0039439-0.0025695i,-0.0038924-0.00050922i,-0.007199-0.0034805i,0.0020447+0.0039366i,-0.00030193-0.0087622i,0.0012157-0.0023217i,-0.001882-0.0033179i,-0.0019091-0.0029145i,0.0054011+0.001763i,0.0006863+0.0018924i,0.0037746-0.0023347i,-0.00213+0.0082298i,0.0045597+0.0096445i,0.010076+0.037205i,-0.003032-0.020775i,-0.021441+0.0028331i,-0.02296+0.010652i,0.007239-0.0059039i,0.019499-0.0045732i,-0.0064995+0.0033984i
0.011169+0.020128i,0.046513+0.021813i,0.033264-0.02586i,0.00023996-0.011282i,-0.00094937-0.017889i,-0.0081492-0.028926i,0.017832-0.0028535i,0.041662+0.00047233i,0.014877-0.0096968i,0.0096767+0.0024566i,0.003036-0.00047017i,-0.00090756-0.0029328i,0.0025299-5.1565e-05i,0.00083338-0.0013046i,-0.00035614-0.0017153i,0.0041896-0.004639i,-0.0050401-0.0021446i,-0.00046575-0.0010071i,0.0021755+0.0011487i,-0.00050973+0.0017921i,-8.2632e-05+0.0018692i,5.4165e-05+0.00042921i,0.0011585+0.0020917i,-0.0029643+0.0037801i,-0.0030601-0.0019798i,-0.00096313-0.00011177i,-0.00069478-0.00044578i,0.0011318-0.00062085i,-3.3752e-05-0.00052686i,0.0011193-0.0010106i,0.00065494+0.0010061i,0.0012351+0.0010731i,0.00081722+0.00095346i,0.00020901+0.00066389i,0.00022742+0.00062455i,0.0042976-0.00056023i,-0.0006751+0.00046703i,-8.7951e-05+0.00064906i,0.00061498-0.00087048i,-0.00060643-0.00079751i,5.4966e-05+0.0016804i,-0.00037567+0.0014967i,0.0055467-0.0029196i,0.003074-0.0010623i,-0.0010997+0.018699i,0.00076272+0.043616i,0.027146+0.04006i,0.027797+0.014064i,0.0095503-0.017134i,0.011559+0.0018684i,0.011044+0.023241i,-0.0021668+0.027205i,0.0019711+0.038764i,-0.028016+0.025575i,0.0048778-0.002715i,0.0064143+0.00057746i,0.0073837-0.002226i,0.011626+0.007529i,-0.00061321+0.0050467i,-0.013096-0.0055657i,0.0036563-0.01309i,-0.0038396+0.01778i,-0.00084293-0.0038259i,0.00028919+0.00066692i,-0.0016892-0.00026095i,0.0025493+0.00027929i,0.0037598-0.0012543i,-0.0065134-0.0021465i,0.003963-0.0011758i,-0.005143-0.004445i,-0.0035565+0.0013512i,0.00042643+0.0011568i,-0.0011244-0.004628i,-0.0015579-0.0042935i,-0.0033971-0.019997i,0.0047898+0.0022825i,-0.0049113-0.0012492i,-0.0039883+0.00093276i,-0.0070658-0.00056495i,0.0027275+0.0038046i,-0.0047472-0.0088717i,0.00075954-0.0034795i,-0.0024618-0.0026187i,-0.0027607-0.003524i,0.0058368+0.00062369i,0.0016501+0.0020743i,0.0023378-0.0019593i,-0.00087568+0.0083659i,0.0061759+0.0071579i,0.017289+0.032941i,-0.015122-0.018385i,-0.025052+0.0055149i,-0.017597+0.014717i,0.0041797-0.0044288i,0.014569-0.0087264i,-0.0081706+0.0025154i
0.012743+0.016915i,0.049564+0.013172i,0.027112-0.030572i,-0.0027606-0.010036i,-0.0056385-0.01832i,-0.013107-0.026915i,0.017246-0.0082879i,0.040135-0.0068104i,0.011668-0.012542i,0.010363-0.00020702i,0.0033972-0.001851i,-0.0018498-0.0020546i,0.0021894-0.0012928i,0.00069352-0.0014168i,-0.00072784-0.001724i,0.0036359-0.0050851i,-0.0045415-0.00054774i,-0.001194-0.0011858i,0.0019361+0.00028606i,0.00029243+0.0018957i,0.00020149+0.0018646i,-0.00032082+0.00052541i,0.0015432+0.0015433i,-0.0011518+0.0031562i,-0.0027497-3.7863e-05i,-0.00087874+0.00036269i,-0.00071248-0.00018738i,0.00021701-0.00060257i,-0.00020844-9.8309e-05i,0.00024358-0.0011022i,0.0010493+0.00040282i,0.0015657+0.00078433i,0.0012317+0.0004391i,0.00054194+0.00026995i,0.0010117+0.0003706i,0.0031172-0.0018195i,-0.00033081+0.0008006i,0.00017924+0.00070642i,-0.00017754-0.00086663i,-0.00060568-0.0011076i,0.00061429+0.001664i,0.00045075+0.0016437i,0.0045932-0.0039839i,0.002796-0.00050892i,0.0010039+0.018116i,0.0049801+0.040227i,0.031523+0.033634i,0.029131+0.0079709i,0.0039876-0.018357i,0.013519+0.0021527i,0.017918+0.019346i,0.0063402+0.024762i,0.01266+0.03257i,-0.020248+0.031324i,0.004243-0.002997i,0.0050666-0.0029525i,0.0061323-0.004511i,0.011907+0.0020646i,0.00051696+0.004494i,-0.014155+0.0021048i,-0.0015421-0.011714i,2.2545e-05+0.015989i,-0.0027018-0.0029077i,0.00012861+0.0013463i,-0.0017168+0.00044941i,0.0034476-0.0015246i,0.0047069-0.00082931i,-0.0045847+0.00020831i,0.0030856-0.001256i,-0.0060289-0.0023795i,-0.0018668+0.0015183i,0.00021043+0.00056111i,-0.003224-0.0047634i,-0.0028974-0.0033735i,-0.0099397-0.016161i,0.0050181-0.00048488i,-0.0052937+0.00064537i,-0.0028799+0.001976i,-0.0063182+0.0013663i,0.0040616+0.0032666i,-0.008148-0.0059089i,-0.00056566-0.0045611i,-0.0030226-0.0017458i,-0.0046003-0.0032348i,0.006328-0.0011705i,0.0027327+0.0020476i,0.0023006-0.0015177i,0.00089095+0.0085802i,0.0062813+0.004346i,0.023218+0.026551i,-0.021706-0.010042i,-0.027914+0.010974i,-0.011972+0.017413i,0.0019158-0.0022713i,0.010371-0.0095829i,-0.0089042+0.0031439i
