-0.024691-0.038742i,-0.012165-0.048894i,-0.018133-0.044284i,-0.03099-0.034999i,-0.030156-0.01581i,-0.050365-0.026904i,-0.057356-0.026038i,-0.045496-0.037725i,-0.028924-0.03708i,0.0076468+0.012726i,-0.004691+0.015357i,-0.004774+0.013988i,0.0099779+0.021261i,0.00074039+0.0043223i,0.0031817+0.0034684i,0.0053668+0.01858i,0.026706+0.038705i,-0.0026022-0.00075489i,-0.0040649-0.0061411i,0.0078768+0.0014352i,-0.00040838-0.0007896i,-0.0010108+0.001363i,-6.7331e-05-0.00055931i,-0.030285-0.0030259i,-0.0016835-0.005557i,0.0015798+0.0044574i,0.0035558-5.7828e-05i,-0.00062773+0.00054178i,0.00046987-0.00040199i,-0.0011003-0.0025339i,-0.0020454-0.0062503i,-0.0043976-0.0039502i,-0.0020346-0.004958i,0.0019477-0.00085243i,0.0021245-0.0030493i,0.0027212+0.025216i,0.0017582-0.0025954i,0.0029894+0.00045237i,0.0060945+0.00083692i,-0.010031-0.0040331i,-0.0028596+0.00081965i,0.006565+0.0017981i,0.0053369-0.00015576i,-0.0031041+0.0055643i,0.00036346-0.0091964i,-0.011461+0.018008i,0.035998-0.090686i,0.011772-0.069757i,-0.015799-0.059978i,-0.016431-0.054911i,0.038673-0.045111i,0.017409-0.062209i,0.03413-0.055532i,0.029755-0.060256i,0.016599-0.013683i,0.0046562+0.016304i,0.016759-0.025753i,-0.011069+0.0058881i,-0.00012853+0.0059421i,-0.0049275-0.0014148i,-0.0018605-0.029701i,-0.024066+0.031882i,0.010545-0.011476i,-0.012723-0.002785i,5.8003e-05-0.0049435i,-0.0011256-0.016158i,-0.0073316+0.0048999i,0.0051012+0.0062767i,-0.009356+0.029697i,0.0050849+0.0057656i,-0.0050418-0.00069415i,-0.0030253-0.00073128i,-0.012215-0.0077306i,-0.0012556-0.0046769i,-0.030334+0.0064373i,-8.4082e-06-0.010128i,-0.0096783-0.0019646i,-0.0064416-0.0027833i,0.0071799+0.0024873i,-0.0079477+0.0013081i,4.3832e-05+0.00029036i,0.0057701+0.010786i,0.0043159+0.0014602i,-0.0094907-0.010077i,0.0030563+0.0080468i,-0.021908+0.0058685i,0.0080819+0.00062724i,-0.028846-0.0042514i,-0.042691+0.0022968i,0.019259-0.096588i,-0.0019848-0.012641i,-0.052151-0.020983i,-0.022576-0.0016506i,0.017802+0.01108i,-0.025086+0.013107i,-0.01844-0.01302i
0.0082917+0.020394i,0.015337+0.050817i,0.024426+0.034516i,0.017152+0.026829i,0.024577+0.026272i,0.03208-0.014473i,0.017283-0.0092619i,0.029522+0.005838i,0.012251+0.013302i,0.0025416+0.0046476i,0.0048468+0.0027778i,0.0041902+0.0031997i,0.0059216+0.0028528i,0.0051102+0.0034255i,0.0030134-0.0033234i,0.0080693-0.0013048i,0.008876-0.0047587i,-0.0012472-0.00141i,-0.0030012+0.0011768i,-9.4381e-05+0.001361i,-0.0010695-0.00019036i,-0.0026844+0.0012356i,-0.0018498+0.00098855i,0.0045242+0.0079725i,0.0015924+0.0010553i,0.0022146+0.00040182i,0.0018502+0.0011967i,0.0010559+0.0013899i,0.0007488+0.00013999i,-0.00030575+0.00079732i,-0.0015812-0.0022436i,-0.00083665-0.00045695i,-0.0011412+0.00086763i,-0.0010369+0.00029244i,-0.00076321-0.0017607i,-0.00679+0.0072688i,0.0013657+0.00034377i,0.0012099-0.00052717i,-0.00071838+0.0025473i,-4.8899e-05-0.0033944i,-0.0013873+0.0003501i,-0.0018758-0.00031125i,0.0023094+0.0010603i,0.0064133+0.0034513i,-0.01339+0.03401i,-0.080871+0.035517i,-0.051255+0.037762i,-0.037099+0.059245i,-0.018703+0.072335i,-0.0087595+0.051219i,0.0098406+0.03654i,0.002937-0.0027911i,-0.037075+0.010367i,-0.044433+0.02004i,0.0018675+0.024241i,-0.0077758+0.002528i,-0.010352-0.00081848i,-0.013677-0.0024127i,0.0023339+0.00060452i,0.0061308+0.010273i,-0.0020871+0.0086357i,-0.0074073-0.011226i,0.005343-0.0065864i,-0.0065703-0.0067918i,0.0020846-0.0061358i,0.0037791-0.0042797i,-0.0016715+0.010268i,0.0099829-0.0042395i,0.0050145-0.0061711i,0.0032907-0.0058984i,0.0032965-0.00056807i,-0.0013249-0.0046499i,-0.0036062-0.00072266i,0.00242-0.00037692i,-0.0091836+0.025772i,-0.0041345-0.0033617i,0.0022521+0.00037313i,7.47e-05-0.0067252i,0.0024545-0.0013857i,-0.015357-0.0034112i,0.00037867+5.3237e-05i,0.0051261-0.0028586i,0.0025632-0.0011723i,0.00054219-0.0053082i,-0.00073742+0.0056948i,-0.00084665+0.0050095i,-0.0030924+0.0044738i,-0.012407+0.0021408i,-0.01466-0.0017645i,-0.039916+0.056313i,0.00039438+0.0047951i,-0.025116-0.016486i,-0.0070013-0.0068259i,0.0097114+0.019436i,-0.0024436+0.0227i,-0.00042142-0.0005665i
0.010714+0.016871i,0.023369+0.045967i,0.030019+0.030011i,0.021933+0.024562i,0.030247+0.022167i,0.028818-0.020131i,0.014504-0.012484i,0.030004+0.00033811i,0.014088+0.010473i,0.0038624+0.0035827i,0.0054867+0.0016099i,0.0040227+0.0029832i,0.0060801+0.0017467i,0.0056606+0.0020667i,0.0018855-0.0038029i,0.0066841-0.0028382i,0.0064283-0.0063495i,-0.00095967-0.0012029i,-0.002408+0.0012228i,0.00053852+0.00063046i,-0.0012862-0.00022698i,-0.0023256+0.0017747i,-0.0014796+0.0010502i,0.0082204+0.0054823i,0.0015523+0.0010178i,0.0025262-0.00051802i,0.0020045+0.00015706i,0.001505+0.00088432i,0.00029389-3.0042e-05i,-0.00019468+0.00090654i,-0.0024008-0.0011762i,-0.0012263-0.00053664i,-0.00090272+0.0011565i,-0.00077784+0.00061172i,-0.0015865-0.00053123i,-0.00405+0.0086073i,0.0011246-0.00021204i,0.00085781-0.00085425i,0.00051021+0.0021803i,-0.0010741-0.0030211i,-0.0012344+0.00050793i,-0.0020335+0.00033837i,0.0020859+0.00089475i,0.0066705+0.0026515i,-0.0069751+0.035518i,-0.069184+0.049515i,-0.047125+0.046665i,-0.026835+0.063163i,-0.0027681+0.069787i,0.0020201+0.049179i,0.010493+0.030856i,-0.003111-0.0070124i,-0.037832+0.01232i,-0.035825+0.021385i,0.0078725+0.022292i,-0.0080581+0.0048626i,-0.0096214+0.0046823i,-0.013216+0.0018927i,0.0013261-0.00086058i,0.0081844+0.0092606i,0.0024384+0.011865i,-0.012747-0.0090968i,0.00095689-0.0073865i,-0.0062758-0.0029841i,-0.0013117-0.0058515i,0.0013577-0.0056866i,0.0027686+0.0079716i,0.0064543-0.0069537i,0.00094385-0.0064915i,0.00053325-0.003533i,0.0039633-0.0016218i,-0.0024088-0.0039354i,-0.0017345+0.0015843i,0.0026601-0.00042657i,0.0042727+0.025806i,-0.0049416-0.0026713i,0.0028792-0.0019159i,-0.0031008-0.0059133i,0.0029567-0.0022967i,-0.01441+0.0033974i,0.00078308+0.0003799i,0.0034327-0.0027901i,0.0026055-0.0021441i,-0.00088132-0.0049911i,0.0011649+0.0029579i,0.0013918+0.0044104i,-0.00044465+0.0055484i,-0.010973+0.0061366i,-0.015993+0.0014303i,-0.029165+0.057638i,0.00055001+0.0054326i,-0.028678-0.011049i,-0.0095402-0.009688i,0.012131+0.017944i,0.002087+0.024689i,-0.0028807-0.0020452i
0.011903+0.014025i,0.029483+0.039312i,0.0354+0.023268i,0.027417+0.019908i,0.035747+0.016502i,0.024268-0.02544i,0.010961-0.01541i,0.029748-0.0055962i,0.015544+0.0076537i,0.0041635+0.0021494i,0.0053515-0.00013445i,0.0048103+0.0028911i,0.0060492+8.5392e-05i,0.0058895+0.00037195i,0.00071178-0.0039678i,0.005098-0.0038344i,0.0040039-0.0071288i,-0.0014008-0.0012889i,-0.0022702+0.0015477i,0.00043502-0.0004371i,-0.001865-0.00016438i,-0.001659+0.0024025i,-0.0013505+0.0011116i,0.0091895+0.0010624i,0.0020459+0.00046973i,0.0018049-0.0014819i,0.0015595-0.00065786i,0.0019159-5.6632e-06i,0.00015982+9.7756e-05i,-5.5132e-05+0.0010306i,-0.0025933+0.00011889i,-0.0019212+0.00036428i,-0.00030554+0.0015339i,-0.0004976+0.00080843i,-0.001255+0.0004877i,-0.0013033+0.0091759i,0.0008087-0.00038076i,0.00044356-0.0011198i,0.00094981+0.001462i,-0.0020878-0.0023269i,-0.0010838+0.00068959i,-0.0017026+0.00099386i,0.0021358+0.0011355i,0.0071801+0.0012308i,0.0007787+0.035515i,-0.056504+0.059608i,-0.038989+0.054677i,-0.015499+0.063919i,0.011732+0.063049i,0.011702+0.047114i,0.010274+0.027592i,-0.0087368-0.0072228i,-0.037868+0.0182i,-0.029235+0.020117i,0.01281+0.017685i,-0.0074114+0.0068872i,-0.0074083+0.0077606i,-0.012303+0.0048313i,-0.00063457-0.002652i,0.010282+0.0071074i,0.0077527+0.010977i,-0.016902-0.0049988i,-0.0011823-0.0051011i,-0.0054946-0.00022412i,-0.0031369-0.0039148i,-0.0011659-0.0048217i,0.0050843+0.0067132i,0.0037413-0.0073509i,-0.0026931-0.0046459i,0.00078047-0.0016304i,0.0035716-0.0041019i,-0.0041615-0.002975i,-8.9564e-05+0.0011938i,0.0023685-0.0012502i,0.014977+0.019522i,-0.006234-0.00089936i,0.0024201-0.0029939i,-0.0032248-0.0039572i,0.0032301-0.0040432i,-0.0099187+0.0085969i,0.0020711+0.0004734i,0.0022563-0.0034012i,0.0015923-0.0023937i,-0.0022056-0.0037306i,0.0007033+0.0023247i,0.0027779+0.00293i,0.0022839+0.0052507i,-0.0088119+0.0085203i,-0.01611+0.0060386i,-0.020659+0.057113i,0.004302+0.0053439i,-0.030148-0.0057079i,-0.01266-0.011099i,0.016109+0.014793i,0.0082607+0.025374i,-0.0051505-0.0013125i
0.01265+0.011768i,0.032786+0.032955i,0.037978+0.01539i,0.031117+0.012957i,0.039488+0.0085145i,0.018268-0.029234i,0.0067286-0.016934i,0.027612-0.0113i,0.016665+0.0045151i,0.0040457+0.0013097i,0.0045741-0.0008651i,0.0057119+0.0019752i,0.0051937-0.00098307i,0.0053029-0.0011763i,-0.00055111-0.0037631i,0.0034855-0.0040898i,0.0017324-0.0071179i,-0.0016124-0.00077105i,-0.0014265+0.0020051i,-0.00038707-0.00079264i,-0.0021511+0.00069211i,-0.00089892+0.0028444i,-0.0012559+0.001401i,0.0075968-0.0025203i,0.0018918-0.00024229i,0.00095376-0.0015507i,0.0010165-0.00093722i,0.0013592-0.00098998i,0.00018855-1.2872e-05i,0.00019626+0.0013264i,-0.0021521+0.0014287i,-0.0013972+0.0014055i,0.00040829+0.0013204i,-0.00023857+0.00089347i,-0.00068551+0.0010926i,0.0016234+0.0088953i,0.00061439-0.00056854i,-8.0601e-05-0.0012503i,0.0010879+0.0012503i,-0.0027741-0.0013697i,-0.00088834+0.00098257i,-0.0013677+0.001311i,0.002638+0.0011856i,0.0073919-0.00013526i,0.0078068+0.032383i,-0.041395+0.067008i,-0.029642+0.060627i,-0.0065997+0.063003i,0.0238+0.052128i,0.021422+0.041265i,0.0090218+0.026143i,-0.014988-0.004929i,-0.035619+0.025045i,-0.025058+0.017534i,0.015784+0.011468i,-0.0058121+0.0095556i,-0.0043582+0.011095i,-0.010824+0.0077652i,-0.0044509-0.0016007i,0.012489+0.0037441i,0.011987+0.0077734i,-0.018978+0.00086158i,-0.0019894-0.0038948i,-0.0035101+0.0012878i,-0.0038855-0.001419i,-0.002568-0.0033913i,0.0072219+0.0034506i,0.0013796-0.0074015i,-0.0045394-0.00070651i,0.0017067-0.00099663i,0.0013969-0.0057505i,-0.0047265-0.0005454i,0.0010067+0.001061i,0.0022207-0.0017448i,0.020634+0.0095673i,-0.0061705+0.0020377i,0.0018278-0.0044057i,-0.0034528-0.0025915i,0.0014872-0.0061651i,-0.0044978+0.0098052i,0.0032171-0.00075459i,0.0010925-0.0027241i,0.0011968-0.0022535i,-0.0021832-0.002233i,0.00062857+0.0019822i,0.0028413+0.0011956i,0.0041753+0.0041521i,-0.0059418+0.0099241i,-0.014557+0.010748i,-0.013139+0.057804i,0.010715+0.0010343i,-0.02908-0.00020471i,-0.018021-0.011021i,0.017131+0.0099452i,0.015143+0.023519i,-0.00506-0.00051261i
0.013855+0.010054i,0.035855+0.027897i,0.039003+0.0084655i,0.032537+0.0055127i,0.040732-1.4747e-05i,0.012362-0.031504i,0.002752-0.016759i,0.024501-0.015966i,0.017503+0.0013345i,0.0039331+0.00067952i,0.003972-0.0012864i,0.0063852+0.00065068i,0.0046274-0.0012887i,0.0043841-0.0022664i,-0.0016358-0.002893i,0.0022276-0.0036923i,8.0284e-05-0.0064057i,-0.0019393-0.00031727i,-0.0008831+0.0018991i,-0.0010761-0.00061018i,-0.0019319+0.0013724i,0.00023596+0.0030899i,-0.0010158+0.0018739i,0.0050809-0.0047375i,0.0014033-0.00075821i,0.00047367-0.0015136i,0.00060316-0.0010955i,0.00052913-0.0012033i,5.0924e-06+1.5225e-05i,0.00081181+0.0013247i,-0.0010653+0.0021529i,-0.00060276+0.0018112i,0.00072547+0.00087248i,0.0001154+0.0011379i,0.00014175+0.0014344i,0.0040644+0.0076437i,0.00018289-0.00057535i,-0.00066698-0.0011177i,0.0014703+0.00089318i,-0.0029089-0.00027279i,-0.0005076+0.00098815i,-0.0009475+0.0014816i,0.0032112+0.00066011i,0.0070446-0.0019676i,0.012554+0.028069i,-0.025247+0.069847i,-0.017915+0.065215i,0.0025314+0.062473i,0.029884+0.039116i,0.027546+0.033618i,0.0095023+0.027661i,-0.018843+0.0020863i,-0.031778+0.032635i,-0.024604+0.015327i,0.014693+0.0054818i,-0.0025457+0.011764i,0.00089925+0.011669i,-0.0086842+0.010299i,-0.0055672+0.0016906i,0.012773-0.0017396i,0.01457+0.0030646i,-0.018584+0.007051i,-0.0023488-0.0021177i,-0.0023784+0.0017861i,-0.0026796+0.00023667i,-0.0038124-0.0012777i,0.0070191+0.0002878i,-0.00084652-0.0067128i,-0.0029223+0.0031866i,0.0029218-0.001736i,-0.0013017-0.0059694i,-0.0035969+0.0011549i,0.0021549+0.00011704i,0.0018949-0.0021489i,0.021074-0.00017602i,-0.004048+0.0041983i,0.00010633-0.0055861i,-0.0027283-0.0019512i,-0.00078598-0.0064824i,-0.0005723+0.008681i,0.0028419-0.0025447i,0.0010322-0.0013951i,0.0012403-0.0022358i,-0.0012245-0.0017503i,0.00098866+0.0021096i,0.0017445+0.00017495i,0.005188+0.0022174i,-0.0037262+0.0095524i,-0.010844+0.015208i,-0.0045956+0.057656i,0.012622-0.0095332i,-0.025823+0.0021912i,-0.023606-0.0081807i,0.017521+0.0057662i,0.020661+0.017409i,-0.0059503-0.0010189i
0.015269+0.0076157i,0.039059+0.022371i,0.039737+0.0013076i,0.032465-0.0019358i,0.040504-0.008331i,0.0061615-0.032884i,-2.1924e-05-0.015892i,0.021087-0.019885i,0.017875-0.0025355i,0.0035243+7.6415e-05i,0.003902-0.0016205i,0.0066149-0.00087149i,0.0048586-0.0017828i,0.0033492-0.0029438i,-0.0021441-0.0019918i,0.0017582-0.0030178i,-0.0012334-0.0058656i,-0.0017759+0.00018114i,-0.00046105+0.0019523i,-0.0014523-0.0001144i,-0.0012897+0.0018465i,0.0014646+0.0026617i,-0.00037182+0.0021831i,0.0022514-0.005455i,0.0011214-0.00094066i,-5.3048e-05-0.0015054i,0.0002047-0.0011966i,-7.5206e-06-0.00107i,-6.7029e-05+0.00014055i,0.0012617+0.00070978i,-3.8391e-06+0.0022081i,0.0002112+0.0018171i,0.00086128+0.00053506i,0.00065484+0.00098125i,0.00080696+0.00075411i,0.0055201+0.0057679i,1.6456e-05-0.00045806i,-0.0010121-0.00065723i,0.0014357+0.00027805i,-0.0024826+0.00052659i,-0.00028834+0.00094003i,-0.00045506+0.0014673i,0.003613-1.8841e-05i,0.0061774-0.0033789i,0.016228+0.023419i,-0.01075+0.068223i,-0.0043827+0.065582i,0.012257+0.06032i,0.032086+0.027133i,0.031336+0.025733i,0.012694+0.029783i,-0.017446+0.011122i,-0.023983+0.041322i,-0.025716+0.01622i,0.01263+0.0023068i,0.0015736+0.011768i,0.0046872+0.0098528i,-0.0056701+0.012516i,-0.0047091+0.0040427i,0.0098832-0.0075619i,0.014313-0.002982i,-0.015958+0.011632i,-0.001712-0.00092505i,-0.0010605+0.0014915i,-0.0015411+0.00047643i,-0.0032507+0.0014826i,0.0053603-0.0014233i,-0.0022895-0.0050919i,0.00050832+0.0044995i,0.002815-0.0036569i,-0.0035208-0.0046337i,-0.0025439+0.0017656i,0.0022719-0.0012729i,0.0019825-0.0026146i,0.017582-0.008419i,-0.0016488+0.0048816i,-0.0021005-0.0052801i,-0.0028224-0.0015828i,-0.002936-0.0058557i,0.0019298+0.0070932i,0.0023678-0.0035173i,0.0025597-0.001644i,0.0011913-0.0031096i,-0.00063987-0.0021054i,0.0013817+0.0023403i,0.00083485+0.00080723i,0.0051889+0.00046233i,-0.0025227+0.0091884i,-0.0050458+0.017606i,0.0038152+0.055973i,0.0070461-0.018914i,-0.024148+0.00092991i,-0.028463-0.0024222i,0.016189+0.00016637i,0.022505+0.010505i,-0.0070788-0.00013331i
0.016522+0.0049394i,0.041312+0.016128i,0.038478-0.0067999i,0.029948-0.0098375i,0.038637-0.017165i,-0.00038826-0.032705i,-0.0021111-0.014993i,0.017022-0.023409i,0.017036-0.0063732i,0.0031675+0.00016071i,0.0034009-0.002138i,0.006374-0.0029259i,0.004627-0.0029682i,0.0022008-0.003367i,-0.0023953-0.0010686i,0.0017376-0.0027641i,-0.0026046-0.0051742i,-0.0019578+0.00067617i,0.0003443+0.0017683i,-0.0018681+0.00056522i,-0.00088347+0.001987i,0.0022823+0.0016784i,0.00022433+0.0021983i,-0.00054237-0.004956i,0.00065388-0.0016972i,-0.00060424-0.0010676i,-0.00036584-0.0011854i,-0.00035376-0.00080203i,0.00020798+0.00024324i,0.0011304+6.0323e-05i,0.0011541+0.0018291i,0.00082234+0.0016126i,0.00085924+0.00022075i,0.0010348+0.0006978i,0.00068992-1.6693e-05i,0.0062493+0.0039388i,-0.00013826-0.00031312i,-0.0011786-0.0002504i,0.0013516+3.0267e-05i,-0.0019074+0.00099782i,-9.5867e-05+0.00093933i,-0.00011127+0.0012607i,0.0038102-0.0011227i,0.0048029-0.0045196i,0.018422+0.018619i,0.0019015+0.064534i,0.0075983+0.061625i,0.021598+0.056509i,0.030539+0.016824i,0.033065+0.019003i,0.018533+0.029766i,-0.0099572+0.017047i,-0.01121+0.04626i,-0.025937+0.020064i,0.010514+0.00051632i,0.0047872+0.0097863i,0.0067866+0.006788i,-0.0020223+0.013298i,-0.0039568+0.0054734i,0.0031994-0.010256i,0.010837-0.0076852i,-0.012717+0.015539i,-0.0008151-0.0011369i,-0.00074279+0.00060509i,-0.0011855+0.00031579i,-0.0008754+0.0028245i,0.0041714-0.0014121i,-0.0026027-0.0039576i,0.0031615+0.0033809i,0.0013558-0.0054581i,-0.0046014-0.0027402i,-0.0014058+0.0021109i,0.0015395-0.0027266i,0.0014457-0.0038514i,0.011413-0.013072i,0.00053517+0.0044788i,-0.0033592-0.0041236i,-0.0025496-0.0012113i,-0.0044692-0.0046865i,0.0034737+0.0053417i,0.0016067-0.004999i,0.0029896-0.0032308i,-1.2463e-05-0.0038671i,-0.0013533-0.0028964i,0.0026456+0.0025121i,0.0010242+0.0020166i,0.0048835-0.00091471i,-0.0015047+0.0092807i,0.00054768+0.016795i,0.011935+0.05384i,-0.0017682-0.024159i,-0.026537-0.00062742i,-0.029709+0.0055532i,0.011139-0.003406i,0.02263+0.0042555i,-0.0063347+0.00061626i
0.017472+0.0014875i,0.043189+0.010249i,0.034906-0.013518i,0.024675-0.015768i,0.03399-0.025305i,-0.0060745-0.030848i,-0.0035823-0.014105i,0.012205-0.025753i,0.015753-0.010045i,0.0035924+0.000399i,0.0030758-0.0022562i,0.0049104-0.0047706i,0.0039604-0.0039674i,0.0011934-0.003319i,-0.002179-0.00012012i,0.0016612-0.0026804i,-0.0042344-0.0037335i,-0.0017056+0.0014205i,0.00076775+0.0011304i,-0.0016782+0.0017451i,-0.00026234+0.0023026i,0.0023756+0.00042229i,0.00085141+0.0021427i,-0.0025605-0.003318i,-0.00057332-0.0015958i,-0.00077615-0.00062373i,-0.00075773-0.00088927i,-0.0005918-0.00045707i,0.00031247-4.8818e-05i,0.00090771-0.00022954i,0.0018774+0.00096942i,0.0013463+0.0011183i,0.00082708-4.8467e-05i,0.001178+0.00024218i,0.00014278+5.9432e-05i,0.0063797+0.0020347i,-0.00017292-0.00013933i,-0.0012554+0.00019565i,0.0012761-0.00022778i,-0.0012376+0.0012167i,9.7914e-05+0.00099333i,9.8457e-05+0.0010375i,0.0032459-0.0023848i,0.003286-0.0048655i,0.019477+0.013948i,0.012794+0.058657i,0.016367+0.056172i,0.030345+0.051154i,0.02742+0.009736i,0.033545+0.012691i,0.024335+0.027333i,-0.00226+0.017463i,0.0023505+0.045318i,-0.023617+0.024747i,0.009514-0.00041994i,0.0070702+0.0073224i,0.0072329+0.0040483i,0.0019611+0.012611i,-0.0025482+0.0073254i,-0.0028277-0.0083157i,0.0065198-0.0093185i,-0.0078986+0.018546i,-0.0011594-0.0022653i,-0.0013335+0.0004847i,-0.00116+0.00047425i,0.0015312+0.0024914i,0.0035761-0.0015292i,-0.003189-0.0030801i,0.0045654+0.0013843i,-0.0014768-0.0062002i,-0.0045132-0.00077137i,-2.8305e-05+0.0017155i,0.00082053-0.0034569i,0.0001244-0.0050551i,0.0051159-0.014358i,0.0021944+0.0034456i,-0.0042214-0.0032344i,-0.0031952-0.0012076i,-0.0058717-0.0027487i,0.003779+0.003756i,-0.00051128-0.006369i,0.0025971-0.0048202i,-0.0010989-0.0034125i,-0.0021806-0.0028027i,0.0036192+0.0019083i,0.0021636+0.0027232i,0.0034901-0.0020278i,-6.6239e-06+0.009596i,0.0045565+0.014176i,0.02097+0.050795i,-0.012491-0.025665i,-0.030485+0.0010272i,-0.027102+0.013295i,0.0066749-0.0031069i,0.020258-0.0016325i,-0.0058382-0.00086903i
0.017443-0.0025827i,0.044768+0.0032364i,0.030967-0.018526i,0.019244-0.018707i,0.027901-0.031695i,-0.010515-0.028525i,-0.0046091-0.013739i,0.0075815-0.027276i,0.013595-0.013443i,0.00431-0.00021278i,0.0031123-0.0027796i,0.0031162-0.0054285i,0.0028695-0.0051285i,0.00043898-0.0031518i,-0.0017054+0.00048587i,0.0016388-0.0026396i,-0.0047323-0.0015991i,-0.0010376+0.0015499i,0.00062768+0.00047809i,-0.00078394+0.0022608i,0.0004398+0.0022287i,0.0019711-0.00042328i,0.0015339+0.0017745i,-0.0034556-0.00088275i,-0.001114-0.00082562i,-0.00081734-0.00030928i,-0.00097508-0.00058614i,-0.00058292-0.00013793i,5.7908e-05-2.3131e-05i,0.00061895-0.00056146i,0.0021839-4.9137e-05i,0.0014045+0.00059669i,0.00079558-0.00028828i,0.0012375-6.8474e-05i,0.0001082+0.00039663i,0.0058122+0.00041754i,-0.0002135+8.4361e-05i,-0.001101+0.00076819i,0.0010557-0.00071023i,-0.00051804+0.0011947i,0.00045863+0.00085252i,0.00013926+0.00076595i,0.0021289-0.0032395i,0.001862-0.0047887i,0.01971+0.0099288i,0.020576+0.050794i,0.023306+0.050931i,0.037807+0.043682i,0.024028+0.0046326i,0.033106+0.0083595i,0.029459+0.023713i,0.0040398+0.016023i,0.013723+0.040215i,-0.019247+0.029277i,0.0087994-0.0018353i,0.0085528+0.0039424i,0.0076794+0.0018113i,0.0054937+0.010418i,0.00024858+0.0078656i,-0.0061853-0.004848i,0.002575-0.0095223i,-0.0019709+0.018656i,-0.0026251-0.0022893i,-0.0022453+0.0016536i,-0.00097489+0.0007229i,0.0030003+0.0010609i,0.002869-0.00095372i,-0.0034685-0.0018979i,0.0046822-0.00059894i,-0.0040845-0.0047626i,-0.003477+0.00049225i,0.00037805+0.00058402i,-4.943e-05-0.0041969i,-0.0019004-0.0049656i,0.0001119-0.013456i,0.0033781+0.001843i,-0.0053545-0.0017282i,-0.0036554+0.00012492i,-0.0058675-0.00021725i,0.0041544+0.00301i,-0.0036036-0.0063048i,0.0014967-0.0065774i,-0.001732-0.0029566i,-0.00277-0.0027782i,0.0045146+0.0011448i,0.0036115+0.002397i,0.0022671-0.0015467i,0.0013836+0.0093348i,0.0067581+0.010766i,0.029733+0.044891i,-0.023284-0.022405i,-0.033817+0.0049773i,-0.021962+0.017584i,0.0046409-0.0018673i,0.015726-0.0055242i,-0.0081859-0.0016592i
0.016087-0.0065212i,0.0449-0.004496i,0.02689-0.022891i,0.014683-0.020287i,0.020907-0.036512i,-0.014788-0.026015i,-0.0059584-0.01433i,0.002867-0.028238i,0.010351-0.016519i,0.0046434-0.0012583i,0.0029595-0.0037367i,0.0014182-0.0054715i,0.001146-0.0058009i,-0.00017724-0.0029962i,-0.0013091+0.00061965i,0.0016869-0.002827i,-0.0044201+0.00020518i,-0.00066693+0.0013975i,0.00042036+0.00028182i,5.2127e-05+0.0023957i,0.0010251+0.0020058i,0.0015094-0.00086944i,0.0019585+0.0010655i,-0.0027854+0.0014571i,-0.00095704-0.00010194i,-0.00077216+7.3924e-05i,-0.001065-0.00023857i,-0.00056243+4.9074e-05i,0.00011525+8.092e-05i,0.00011848-0.00065871i,0.0020301-0.0011699i,0.0014567+0.0002938i,0.00066773-0.00051107i,0.0011821-0.00068764i,0.00035354+0.00050172i,0.0052311-0.00061736i,9.8766e-06+0.00018571i,-0.000682+0.0012495i,0.00038055-0.00083782i,0.00021131+0.00088577i,0.00065921+0.00075327i,0.00010335+0.00074431i,0.0008355-0.0032224i,0.00080331-0.0040276i,0.019345+0.0065533i,0.024629+0.043986i,0.029806+0.045515i,0.042507+0.036059i,0.020048+0.00034695i,0.034225+0.0048799i,0.033857+0.018672i,0.010206+0.012624i,0.022827+0.032295i,-0.012123+0.032642i,0.0078259-0.0032601i,0.0080034-0.00056444i,0.0077937-0.00086342i,0.0072818+0.0069689i,0.0020814+0.0070558i,-0.007742-0.00032029i,-0.0010474-0.0083795i,0.0023577+0.015806i,-0.0039035-0.00096879i,-0.0018668+0.003535i,-0.00084805+0.00095259i,0.0037444-0.00079472i,0.0038116+0.00060863i,-0.0030074-0.00085356i,0.0041712-0.0015375i,-0.0050709-0.0028276i,-0.0023398+0.00083787i,8.8545e-05+0.00012802i,-0.002101-0.0048593i,-0.0034983-0.0038587i,-0.0040816-0.012076i,0.0036195-0.00017351i,-0.0055328+0.00027443i,-0.0028203+0.0012187i,-0.0050801+0.0013863i,0.0051626+0.0024584i,-0.0058787-0.0041584i,-0.0011876-0.0080104i,-0.0025678-0.0023426i,-0.0042129-0.0022507i,0.0053738-0.00072644i,0.0049465+0.0019491i,0.0025145-0.0011954i,0.0034462+0.0094674i,0.0071225+0.0075966i,0.036946+0.036939i,-0.030147-0.013565i,-0.036363+0.011142i,-0.016488+0.020408i,0.0029569-0.00041859i,0.011647-0.0063198i,-0.0097061-0.00075715i
