-0.024501-0.0047402i,-0.020716-0.007408i,-0.013077-0.013727i,-0.035419-0.0089082i,-0.026689+0.0017767i,-0.036035-0.0025308i,-0.067145-0.036278i,-0.034296-0.014723i,-0.023177+0.0032352i,0.0063083+0.0061748i,-0.0049344+0.0073841i,-0.0078739+0.018387i,0.0059737+0.0065354i,-0.0010999+0.0036318i,0.0042071+0.0040347i,0.0047747+0.025887i,0.021661+0.019438i,0.0011882-0.00077818i,0.00058511-0.0050733i,0.0093143+0.0012261i,0.0051353-0.0023076i,0.0030945+0.0021731i,0.0011098-0.00044515i,-0.022693-5.4473e-05i,-0.0058115-0.003145i,-0.0014453+0.0034505i,0.0030319-0.0032077i,-0.0016742+0.00023294i,-0.00060623+0.0010051i,-0.0024716-0.0016731i,-0.0037178-0.00033948i,-0.0065978-0.0086956i,-0.0060286-0.0027526i,-0.00057673-8.6594e-05i,-0.00065739-0.0022096i,-0.0006729+0.020307i,0.0028158-0.0037564i,0.0013539-0.0044222i,0.0025684-0.0021743i,-0.0025265-0.0033426i,0.0010729-0.000199i,0.0083923-0.00014422i,0.0047712-0.0024272i,0.00053422+0.002262i,-0.013685+0.01557i,-0.026434+0.053442i,-0.0059299-0.037024i,-0.015212-0.018586i,-0.040231-0.016246i,-0.027889-0.012393i,0.035244-0.011629i,0.0057699-0.030004i,0.01323-0.037587i,-0.0084296-0.03003i,0.025504-0.022309i,0.013408+0.007127i,0.032611-0.034405i,-0.0020154-0.0040408i,0.0059568-0.0088622i,-0.00081473-0.006267i,-0.00056924-0.034254i,-0.014419+0.028887i,0.0085595-0.012142i,-0.0071607-0.0051977i,-0.0026627-0.001882i,-0.00051771-0.015428i,-0.0083566+0.0058932i,0.0039781+0.0065153i,-0.00063879+0.026005i,0.0026388+0.00096352i,-0.0066435-0.0043439i,-0.0040986-0.0059367i,-0.013747-0.0094933i,-0.00234-0.0062233i,-0.037176+0.014928i,-0.0053225-0.0091004i,-0.012584-0.00075413i,-0.01062-0.0044833i,0.0020045-0.0010915i,-0.013412+0.0022199i,-0.0013048-0.00066326i,0.0053498+0.0052213i,0.0036664-0.0057445i,-0.013182-0.016027i,0.0074834+0.0084718i,-0.015175+0.006899i,0.0047774+0.00049764i,-0.019656-0.0028435i,-0.015954-0.0037576i,-0.015625-0.035496i,0.019861-0.010722i,-0.041217-0.023965i,-0.0093034+0.005553i,0.018402+0.01512i,-0.021865+0.01673i,-0.0042938-0.0041362i
0.0080745-0.0098858i,0.011233+0.00068665i,0.0078801+0.0035441i,0.014819-0.0036247i,0.018487-0.001631i,0.015804-0.013729i,0.016949-0.0058534i,0.012547-0.0011971i,0.0015178-0.0097106i,-0.00025645+0.002677i,-0.00092152-0.000604i,-0.0012969+0.00015535i,-0.00095544+0.0042285i,-0.0018517+0.0020921i,0.0014329+0.0023161i,0.0013567+2.978e-06i,0.0029108-0.0023943i,0.00039893-9.1637e-05i,-0.0007451+0.0045439i,6.9002e-05+2.4895e-05i,0.00094606-0.0030328i,-0.0011471-0.0022417i,-0.00067607-0.00036898i,0.0021183+0.0042996i,-0.0016369+0.00081793i,-0.0017691+0.0014362i,-0.0025338+0.00011315i,-0.0020018+7.9083e-05i,-0.0020427-0.00073864i,-0.0023043+0.00073955i,0.00038823-0.0019289i,0.00075756+0.0013286i,0.001661+0.00034096i,0.0019042+0.00035277i,0.0010291-0.00027003i,-0.0058445+0.0066088i,-0.0013053-0.00034615i,-0.0011025+0.00043458i,-0.0026997+0.00055425i,0.00039813-0.0020028i,8.0147e-05-0.0010577i,0.00048177-0.00099015i,-0.00097512+0.0014233i,0.0028978+0.00021352i,0.0012343-0.013455i,-0.026877-0.006248i,-0.0017765-0.0058285i,-0.0067736+0.0021296i,0.015836+0.022581i,0.0017029+0.0044915i,0.013812-0.01416i,-0.011429-0.027255i,-0.0049186-0.012626i,0.0069389-0.0086685i,0.020301+0.016435i,0.0017393+0.0011205i,-0.0012021+0.00049295i,-0.0056788-0.00061853i,0.010784-0.0034163i,0.013851+0.0089665i,0.0031308+0.0042531i,-0.004254-0.0081538i,0.0063518-0.0035407i,-0.0041221-0.0066053i,0.0026912-0.011081i,0.0062374-0.0062045i,-0.00093686+0.0076915i,0.0089659-0.0070358i,0.0062224-0.0088651i,0.0011178-0.0062707i,-0.0029435-0.0014345i,-0.0060809-0.0064771i,-0.0065305-0.0034291i,-0.00058391-0.0014495i,-0.00086691+0.032339i,-0.011061-0.0013052i,2.4957e-05+0.0028877i,-0.0083883-0.0054794i,0.00011308+0.00056218i,-0.014586+0.0013405i,-0.0023716+0.0013513i,-0.0020589-0.0018699i,-0.0032104-0.00016688i,-0.0047876-0.0042858i,-0.0028914+0.0058161i,-0.0015456+0.0021678i,-0.0056858+0.0055484i,-0.0084442-0.00060481i,-0.0021421-0.0010299i,0.0083137-0.0019951i,-0.005716+0.017703i,-0.028838-0.0027991i,-0.010262-0.0039567i,0.012343+0.016107i,-0.0018906+0.01683i,-0.0074542-0.004543i
0.0063827-0.011905i,0.011255-0.0029404i,0.0085369+0.0023871i,0.013562-0.0051717i,0.018216-0.0047064i,0.013167-0.016234i,0.013749-0.008881i,0.012145-0.0033314i,-0.00027504-0.010003i,0.0010561+0.0028391i,-0.00082874+0.00016537i,-0.0014287+0.0013563i,0.00027233+0.0042942i,-0.0010085+0.0027651i,0.0017275+0.0013803i,0.001042+0.00026629i,0.001493-0.0028819i,0.0011056-0.00086943i,-0.0012324-0.00067813i,0.00046849-0.00061989i,2.787e-05-0.0032571i,-0.0019782-0.0015368i,-0.00070934-0.00061779i,0.0042438+0.0030371i,-0.0014581+0.0019699i,-0.00088612+0.0021731i,-0.0025719+0.00089392i,-0.0020505+0.00089607i,-0.0026765+0.00040798i,-0.00196+0.0018997i,-0.0012034-0.0025181i,0.00060283+0.00027207i,0.0012124-0.00020734i,0.0024295-0.00070466i,0.00050522-0.0001546i,-0.0042088+0.0085126i,-0.0018586+0.00036437i,-0.00098931+0.0011135i,-0.0026273+0.0016231i,0.00019925-0.0018802i,-0.00011471-0.0010982i,0.00030931-0.0010988i,-0.00097656+0.0014604i,0.0021696+2.8767e-05i,-0.00052693-0.012834i,-0.025355-0.0036774i,-0.0034787-0.0028067i,-0.0038031+0.00033629i,0.025488+0.015414i,0.0051677+0.0019187i,0.0073827-0.017509i,-0.018796-0.027173i,-0.0093925-0.01341i,0.01014-0.015816i,0.020083+0.0054313i,0.00070836+0.0003692i,-0.00036616+0.0028289i,-0.0053085+0.0010385i,0.0076059-0.0069116i,0.01507+0.0041843i,0.0055841+0.0050694i,-0.0085257-0.0068003i,0.0029827-0.0054338i,-0.005029-0.0041532i,-0.0026347-0.0098446i,0.0034391-0.0076652i,0.0027052+0.0060322i,0.0046573-0.0086935i,0.0026601-0.01071i,-0.0019977-0.0039084i,-0.002178-0.0004085i,-0.0074888-0.0041242i,-0.0092466-0.0012299i,-0.00023216-0.0008875i,0.014278+0.027836i,-0.011592+0.0040278i,0.00070176+0.0017889i,-0.01205-0.0035073i,0.00049958+0.00021514i,-0.012871+0.0079415i,-0.0013832+0.0024171i,-0.002451+0.00019811i,-0.0022574+0.00045431i,-0.0051852-0.0020146i,-0.00053204+0.0032013i,-0.00049298+0.0017676i,-0.0020463+0.0072067i,-0.0052079+0.002658i,-0.0033923-0.0012097i,0.0091404-0.0087848i,-0.0021499+0.02011i,-0.029282+0.003416i,-0.011686-0.0056027i,0.014045+0.013524i,0.00068082+0.018343i,-0.0095213-0.0032446i
0.0036132-0.013206i,0.009172-0.0070485i,0.0094777+0.00034569i,0.012828-0.0070052i,0.017669-0.0077933i,0.010036-0.018589i,0.010203-0.011259i,0.01144-0.0055334i,-0.0020614-0.009442i,0.0019897+0.0016083i,-0.00057312+0.00022507i,-0.00076968+0.0023159i,0.0013161+0.0037501i,1.1606e-06+0.002667i,0.0013932+0.00085067i,0.00089786+0.00045004i,0.00018319-0.0026131i,0.001079-0.0014734i,-0.0015397-0.00072167i,0.00011758-0.0015195i,-0.0012231-0.0033216i,-0.0018216-0.0006947i,-0.0010811-0.0008211i,0.0049308+0.00061259i,-0.0005185+0.0025369i,-0.00019932+0.0023949i,-0.0024632+0.0021188i,-0.0016375+0.0016856i,-0.0023958+0.0019224i,-0.001052+0.0027849i,-0.00051393-0.0002291i,0.00052294+0.001205i,0.00095997-0.00027723i,2.6953e-05-0.0024818i,0.00031559+0.00027521i,-0.0016032+0.009941i,-0.0017695+0.0015476i,-0.00046218+0.001459i,-0.001887+0.002949i,-8.5475e-05-0.0020371i,-0.00028127-0.0011772i,4.4523e-05-0.0012447i,-0.00077909+0.0021019i,0.0021657+0.00047117i,-0.0013402-0.011997i,-0.028745-0.0016742i,-0.0016745+0.00052257i,-0.0014329-0.0024916i,0.033596+0.0043809i,0.0079106+0.0002269i,0.00051866-0.017618i,-0.025565-0.025002i,-0.013246-0.010758i,0.0087353-0.024411i,0.01829+0.0067241i,-0.0012322+0.00043847i,-0.00035033+0.0019461i,-0.0055061+0.0021991i,0.0025577-0.0098982i,0.014497-0.00044875i,0.008058+0.0039854i,-0.012303-0.0040428i,0.00088335-0.0043603i,-0.0053877-0.0016317i,-0.0052453-0.0065566i,0.0011054-0.0076716i,0.0049662+0.0050654i,0.0016815-0.0086371i,-0.0044465-0.0079103i,-0.0025022-0.0013159i,-0.0019806-0.00051295i,-0.0088299-0.0010702i,-0.0049678+0.0030014i,-0.00085684-0.0013503i,0.022633+0.0183i,-0.010017+0.009508i,0.0011218+0.0011989i,-0.0066879-0.001i,0.00094233-0.0008551i,-0.0069097+0.012639i,9.5328e-05+0.0029157i,-0.002451+0.0012224i,-0.002164+0.0013783i,-0.0044456+0.00058172i,-0.0022824+0.0034359i,-0.00010601+0.0010884i,0.00064487+0.0076402i,-0.003384+0.0018617i,-0.0048392-1.6116e-05i,0.0058408-0.014139i,0.0073897+0.018933i,-0.027612+0.0070595i,-0.013657-0.0062413i,0.016517+0.0093228i,0.0052014+0.019708i,-0.010702-0.0015443i
0.0008275-0.013171i,0.0053609-0.00869i,0.0092669-0.0022142i,0.011575-0.0091658i,0.016284-0.011076i,0.0061941-0.019978i,0.0064098-0.012241i,0.010177-0.0076442i,-0.0032999-0.0088019i,0.0013853+0.0014265i,-0.00066287+0.00033694i,0.00023341+0.0026408i,0.0017134+0.0030148i,0.00043088+0.0025372i,0.0010315+0.00092756i,0.00070459+0.00069576i,-0.00081438-0.0016963i,0.0010026-0.0023105i,-0.0012778-0.0006143i,-0.00086774-0.0018569i,-0.0021912-0.0025462i,-0.0017021-0.0004312i,-0.0016451-0.0006344i,0.0043247-0.001343i,0.00038822+0.0026138i,0.00056795+0.0026476i,-0.00128+0.0033815i,-0.0010357+0.0021309i,-0.0012621+0.0028892i,0.00019456+0.0030674i,-0.00048762-0.00014596i,0.0021908+0.0011425i,0.00068958-0.00040834i,-0.0010863-0.00080491i,0.00036598+0.0006647i,0.0016743+0.010565i,-0.00091681+0.0023966i,-2.7316e-05+0.0015297i,-0.00052301+0.0036942i,-0.00089525-0.0021441i,-0.00057966-0.0012657i,-0.00017239-0.0013629i,-0.00023091+0.0025741i,0.0025364+0.00045145i,-0.0016059-0.012076i,-0.017306-0.0045626i,0.0017062+0.0021439i,-0.0023879-0.0063517i,0.036232-0.009561i,0.010264-0.0041107i,-0.0054026-0.014514i,-0.032384-0.019025i,-0.015085-0.0059049i,0.0021613-0.030889i,0.016739-0.0002769i,-0.0019181+0.0018576i,-0.00042045+0.0042312i,-0.0052134+0.0040122i,-0.0039006-0.0082849i,0.01308-0.0055792i,0.010058+0.0016553i,-0.015518+0.0017144i,-0.00020233-0.0039179i,-0.0045387+0.00048487i,-0.0059727-0.0029128i,-0.00091403-0.0075395i,0.0063842+0.0017995i,-0.00076-0.0077889i,-0.0054262-0.0026578i,-0.0017577+0.00084522i,-0.0023149-0.0001373i,-0.0083786+0.0028012i,-0.0020886+0.0044056i,-0.0016054-0.0011889i,0.025512+0.0082115i,-0.005665+0.013617i,0.0014386+0.00035449i,-0.0044884+0.001631i,2.6171e-05-0.0018257i,-0.00053587+0.012509i,0.0019043+0.0022725i,-0.0016227+0.0028792i,-0.0013578+0.0027579i,-0.0012414+0.0033487i,0.0013511+0.0075141i,-0.00041681+0.00039662i,0.0049644+0.0068948i,-0.0032328+0.0008897i,-0.0057535+0.0020188i,0.0019219-0.015526i,0.017041+0.01001i,-0.024254+0.011392i,-0.017518-0.0055351i,0.015471+0.0050114i,0.010212+0.018433i,-0.010077-0.00035372i
-0.0011517-0.012823i,0.002923-0.0082734i,0.0082834-0.004111i,0.01012-0.011113i,0.014325-0.013917i,0.0026464-0.020674i,0.0032804-0.011807i,0.0085036-0.0091712i,-0.0042274-0.0079972i,0.0010461+0.0017202i,-0.00076711+0.000555i,0.0011767+0.0025311i,0.0017994+0.0026924i,0.00075739+0.0024835i,0.0014326+0.0012514i,0.00061805+0.0012829i,-0.0010071-0.00076043i,2.1434e-06-0.0030252i,-0.0016041-0.00078809i,-0.0018387-0.0015344i,-0.0028937-0.0017841i,-0.0016458-0.00021712i,-0.0020204-8.4412e-05i,0.0031388-0.0026688i,0.0013066+0.0024686i,0.0016404+0.0024976i,0.0001859+0.0038091i,-0.00041137+0.0024692i,1.3958e-05+0.0032654i,0.0014782+0.0027959i,-0.00030426-7.6866e-06i,0.0052143-5.113e-05i,0.00038597-0.00023893i,-0.00048243+0.0003257i,0.00052808+0.0017205i,0.0047048+0.0098579i,0.00013804+0.0028555i,0.00033592+0.0016818i,0.0011178+0.003804i,-0.0014834-0.0018073i,-0.00092444-0.0013063i,-0.00062169-0.0014837i,0.00046105+0.0026563i,0.0025963-0.00022758i,-0.0028141-0.012684i,-0.011646-0.00041048i,0.0059492+0.0013933i,-0.0046272-0.0071088i,0.032389-0.023536i,0.009733-0.0085906i,-0.0079953-0.0097954i,-0.035521-0.0096842i,-0.01478+5.1235e-05i,-0.0064177-0.032961i,0.013127-0.0040549i,-0.0015061+0.0029171i,0.0024821+0.0047751i,-0.0042447+0.0054412i,-0.0066643-0.0039618i,0.0095599-0.010867i,0.010612-0.0020988i,-0.013151+0.0075039i,-0.0010318-0.0026971i,-0.0030422+0.0015425i,-0.0046326-0.00074912i,-0.0036557-0.0060338i,0.0059246-0.00070974i,-0.0029848-0.0059911i,-0.0041406+0.00057892i,-6.4444e-05+0.0019523i,-0.002216+0.00039553i,-0.0057233+0.0054891i,0.00068547+0.0038016i,-0.0018419+5.6759e-05i,0.025207-0.0031207i,0.0017274+0.014574i,0.00099889-0.00018131i,-0.0023071+0.0018726i,-0.0010187-0.0013264i,0.0034873+0.010406i,0.0025021+0.001293i,0.00040382+0.0045658i,0.00096378+0.0032911i,0.0022404+0.0046311i,0.0026954+0.0031783i,-0.0014979+0.00047567i,0.0063834+0.0037771i,-0.004411+0.00094735i,-0.0049859+0.0045075i,-0.00054342-0.015658i,0.0184-0.0042024i,-0.018106+0.011684i,-0.020833-0.0027634i,0.0151+0.0017569i,0.014568+0.014058i,-0.010783-0.00018814i
-0.0029635-0.012308i,0.0018354-0.0080113i,0.0075426-0.0056079i,0.0084432-0.013153i,0.012026-0.016474i,-0.0010938-0.020823i,0.0013075-0.010835i,0.0068256-0.010355i,-0.0047521-0.0072987i,0.001107+0.0021589i,-0.00075289+0.0010436i,0.0020635+0.0021602i,0.0021895+0.0027003i,0.0012252+0.0025332i,0.0019835+0.00097496i,0.00032148+0.0024293i,-0.00066765-0.00016404i,-0.0011928-0.003083i,-0.0021975-0.00052167i,-0.0025383-0.00083383i,-0.0032793-0.00085605i,-0.0014922-2.0314e-05i,-0.0021292+0.00055197i,0.001582-0.0034985i,0.0022788+0.0019354i,0.0025617+0.0017432i,0.0017729+0.0036093i,0.00047838+0.0027625i,0.0012951+0.0030046i,0.0025005+0.0019884i,-0.00017854+2.5085e-05i,-0.0062456+0.0018401i,-0.00011945+0.00017286i,0.0001293+0.00051988i,0.0021608+0.0035538i,0.0074804+0.0081909i,0.0014128+0.0027925i,0.0010694+0.0017661i,0.0025434+0.0031234i,-0.0018998-0.0013209i,-0.0014516-0.0011576i,-0.0011856-0.001452i,0.001079+0.0026181i,0.0025797-0.00059521i,-0.0042546-0.013162i,-0.0081017-0.0009178i,0.0091915-0.0018373i,-0.0061687-0.0064659i,0.024534-0.034119i,0.0074713-0.011791i,-0.0076934-0.005311i,-0.034094+0.00021457i,-0.010364+0.0065178i,-0.014442-0.030425i,0.0094478-0.0055401i,-0.00063752+0.0036103i,0.0042076+0.0032687i,-0.0030428+0.0069439i,-0.0073633-0.00040315i,0.0030942-0.014148i,0.0088351-0.0063367i,-0.010719+0.010016i,-0.00092932-0.0016388i,-0.0020089+0.0014649i,-0.003481-0.00023505i,-0.0046347-0.0033702i,0.004508-0.0019534i,-0.0048378-0.0033146i,-0.001518+0.001876i,0.0021538+0.0013167i,-0.0019953+0.0011932i,-0.003132+0.0062631i,0.0016503+0.0021277i,-0.00082821+0.0010262i,0.019728-0.011594i,0.010972+0.0094303i,0.00065997+6.6623e-05i,-0.0012769+0.0013785i,-0.0014578-0.00013228i,0.0064356+0.0077727i,0.003419+0.00052701i,0.0035471+0.0041995i,0.0024514+0.0018091i,0.00431+0.0034935i,0.0025397+0.0029179i,-0.0020591+0.0019821i,0.0065162+0.0031125i,-0.0055133+0.0019603i,-0.0029371+0.0060638i,-0.0026714-0.016308i,0.011231-0.01526i,-0.015409+0.0072089i,-0.02379+0.0019538i,0.012945-0.0031992i,0.016283+0.0092497i,-0.011959+0.0011239i
-0.0049489-0.011216i,0.00055611-0.0081497i,0.0062528-0.0078515i,0.0058593-0.015285i,0.0091676-0.018848i,-0.0051276-0.019949i,0.00023577-0.010095i,0.0051513-0.011474i,-0.0052424-0.0066949i,0.0011627+0.0025072i,-0.0006153+0.0013953i,0.0025051+0.001089i,0.0027563+0.0024856i,0.0017387+0.0024245i,0.0022338+0.00052559i,0.00030403+0.0038619i,-0.00049278+8.3879e-05i,-0.0024621-0.0028991i,-0.0024085+8.6807e-05i,-0.0030692+0.00021153i,-0.0033316+0.00018363i,-0.0014656-9.315e-05i,-0.0020986+0.0012267i,-0.00011864-0.0036183i,0.0028956+0.00072564i,0.002958+0.00078861i,0.0028968+0.0027568i,0.0015932+0.0025721i,0.0024967+0.0022303i,0.0030414+0.00080118i,-1.4304e-05-1.9246e-05i,-0.00036721+0.0026047i,-0.00016992+0.00030591i,0.00068746+0.00042271i,0.025934-0.019223i,0.0095577+0.0055905i,0.0024638+0.0019857i,0.001787+0.0013739i,0.003785+0.00185i,-0.0020433-0.00076531i,-0.0019391-0.00062231i,-0.0016887-0.001024i,0.001791+0.002388i,0.0023235-0.0010284i,-0.0061985-0.013398i,-0.0059607-0.0028809i,0.010479-0.0058786i,-0.0060102-0.0046055i,0.014-0.040866i,0.0047829-0.013397i,-0.0060527-0.0030701i,-0.02956+0.0063659i,-0.0023922+0.0087985i,-0.020562-0.024791i,0.0066157-0.0057546i,0.00034683+0.0036116i,0.0041348+0.0011352i,-0.00088728+0.0076629i,-0.0072292+0.0028661i,-0.0047566-0.013011i,0.0052773-0.0086395i,-0.0080454+0.012503i,-0.00031965-0.0020836i,-0.0015605+0.0011771i,-0.0034801-0.00018335i,-0.0041916-0.001447i,0.0035097-0.0023282i,-0.006243-0.001561i,5.9421e-06+0.0014681i,0.0030158-0.0010126i,-0.0015177+0.001897i,0.0001892+0.0060775i,0.00060689+0.0014766i,1.6588e-05+0.00061329i,0.012484-0.01547i,0.0086472+0.0043533i,0.00089337-0.00010425i,-0.00057088+0.00096089i,-0.0005339+0.00037076i,0.0078677+0.0045687i,0.0042123-0.0016851i,0.0055051+0.0025209i,0.0029735+0.00056363i,0.0049163+0.0012853i,0.0038003+0.0025887i,-0.00088967+0.0036616i,0.0081032-0.00038827i,-0.0059339+0.003786i,-0.00078193+0.0062841i,-0.0049114-0.015626i,0.0008459-0.021676i,-0.018312+0.0037694i,-0.023397+0.0084247i,0.0068007-0.0056474i,0.017295+0.0045354i,-0.011734+0.0022954i
-0.0057197-0.0099721i,-0.00019535-0.007619i,0.0040195-0.0091548i,0.0022784-0.016579i,0.0057173-0.020563i,-0.0085647-0.018i,-0.000231-0.0096685i,0.003377-0.01237i,-0.0056063-0.0063679i,0.0019644+0.0031069i,-0.00040423+0.0019032i,0.0024405+0.00033543i,0.0034758+0.0020146i,0.0023581+0.0022472i,0.0023918+3.3989e-05i,0.0016253+0.0036471i,-0.00057642+0.00033241i,-0.0037562-0.0019361i,-0.0022338+0.00070974i,-0.0029657+0.0015443i,-0.0030464+0.00089283i,-0.0020318-0.00010346i,-0.0018002+0.0019237i,-0.00178-0.0029713i,0.0027569-0.00042846i,0.0030195-0.00034432i,0.0038441+0.0015502i,0.0024925+0.0019024i,0.0030823+0.00097709i,0.0030273-0.00041907i,5.684e-05-0.00016868i,0.0013411+0.0014717i,0.00010372+0.00047518i,0.0010526-0.00025183i,-0.0024613-0.0036882i,0.01049+0.0024338i,0.0030086+0.00080202i,0.0022919+0.00077386i,0.0042714-3.2765e-05i,-0.0020554-0.00011098i,-0.0021102+5.3609e-05i,-0.0019366-0.00050665i,0.0023438+0.0019457i,0.0019071-0.0013264i,-0.0084774-0.013032i,-0.005175-0.0061812i,0.0099358-0.0096452i,-0.0043614-0.0042237i,0.0024298-0.04289i,0.0018429-0.014125i,-0.0046243-0.001937i,-0.024758+0.0084969i,0.0055435+0.0065117i,-0.022466-0.018126i,0.0052916-0.005703i,0.0015959+0.0032439i,0.0033559+0.00010731i,0.0020516+0.007244i,-0.0055631+0.0061959i,-0.010339-0.007934i,0.0015136-0.0087405i,-0.0042282+0.014128i,-0.0013125-0.0031958i,-0.0015219+0.0012467i,-0.0036434+0.00044634i,-0.0032456-9.7088e-06i,0.0023881-0.0025013i,-0.0092847-0.00081634i,0.00082152+0.00064294i,0.0011843-0.0031021i,-0.00043757+0.0023007i,0.00245+0.0046214i,-0.001149+0.0017137i,0.00024904+0.00026122i,0.0054438-0.015708i,0.0095923+0.0018774i,-0.00066488-0.00066263i,0.00013878-0.0001166i,0.00043167+0.00035007i,0.0080092+0.0015729i,0.0030052-0.0044185i,0.0066647-2.4401e-06i,0.0035547-0.00047477i,0.0054588-0.0010433i,0.0045831+0.0012196i,0.0010137+0.0042793i,0.0052007-0.0027378i,-0.0057668+0.0059467i,0.0013825+0.0053861i,-0.0052262-0.014008i,-0.011742-0.022701i,-0.022036+0.0044519i,-0.019614+0.014194i,0.0021247-0.0036201i,0.015952-0.00078615i,-0.011405+0.0022617i
-0.0063049-0.0095983i,-0.00034288-0.00796i,0.0020682-0.0094254i,-0.0013206-0.016437i,0.0021236-0.021555i,-0.010981-0.016018i,-0.00039857-0.010012i,0.0013996-0.013183i,-0.0060781-0.0060471i,0.0032221+0.0029389i,0.00030121+0.0024745i,0.0021996-5.6319e-06i,0.0040732+0.0010014i,0.0030149+0.0018079i,0.0024689-0.00052947i,0.0018415+0.0030977i,-0.0003836+0.00068347i,-0.0042331-0.00040256i,-0.0020546+0.0011593i,-0.0022571+0.0025307i,-0.0029327+0.0016056i,-0.0024631+0.00065231i,-0.0012904+0.0025201i,-0.0030676-0.001532i,0.0022849-0.0012463i,0.0026696-0.0013629i,0.004172-0.00013458i,0.0031151+0.00092464i,0.0029808-0.00013945i,0.0026139-0.0015174i,5.8509e-05-0.00025181i,0.0014941+0.00032139i,0.00057627+0.0004503i,0.00071469-0.00087823i,-0.002109-0.0010577i,0.0099162-0.00091501i,0.003005-0.00038009i,0.0026316-8.35e-05i,0.003763-0.0017963i,-0.0016326+0.00055739i,-0.0020113+0.00079893i,-0.0020698-2.5985e-05i,0.0026987+0.0012424i,0.0014935-0.0014421i,-0.010739-0.012078i,-0.0076777-0.0093281i,0.0079127-0.012845i,-0.0035848-0.0052472i,-0.0066802-0.041852i,-0.0011217-0.012901i,-0.0029625-0.0012076i,-0.020326+0.010291i,0.010403+0.0013i,-0.020561-0.012767i,0.0037067-0.0068829i,0.0023711+0.0017926i,0.0032629-0.00081444i,0.004441+0.0053174i,-0.0024928+0.0073925i,-0.01206-0.0017289i,-0.0016828-0.0079379i,-3.8459e-05+0.013492i,-0.0033623-0.0031782i,-0.0017283+0.0019949i,-0.0036511+0.0014533i,-0.0026247+0.0006944i,0.0017367-0.0014938i,-0.011054+0.0005428i,0.00077485-0.00021447i,-0.00082664-0.0026095i,0.00071414+0.0021131i,0.0037314+0.0026969i,0.0010471+0.00066085i,0.00055347+0.00033817i,0.00035769-0.013719i,0.0098933-0.0021021i,0.0013221+0.0021387i,0.00017898+0.00010148i,0.0011373-0.00021977i,0.0074138-0.00060475i,0.00022272-0.0058181i,0.0063501-0.003112i,0.0033851-0.0025461i,0.0049492-0.0042894i,0.0048035-0.00028073i,0.0026414+0.0040553i,0.0029695-0.0023652i,-0.0041093+0.0078247i,0.0023034+0.0036742i,-0.0048093-0.014663i,-0.023235-0.01692i,-0.025324+0.0072774i,-0.014231+0.015583i,0.0011771-0.0014159i,0.011414-0.0043456i,-0.012591+0.0026648i
-0.0075235-0.0088994i,-0.0010551-0.0091297i,0.00070257-0.0094334i,-0.0044373-0.015361i,-0.0016499-0.022103i,-0.013458-0.013785i,-0.0010115-0.011537i,-0.00099614-0.013743i,-0.0067962-0.0057057i,0.0043058+0.0021392i,0.0014598+0.0026971i,0.0020604-0.00013312i,0.0042809-0.00019738i,0.0036268+0.0011048i,0.0023124-0.001227i,0.0028248+0.0024566i,-9.9882e-05+0.00087349i,-0.0042284+0.00099374i,-0.0017007+0.0017307i,-0.0013084+0.0031058i,-0.0025738+0.0025625i,-0.0022642+0.0017311i,-0.00069542+0.0027644i,-0.0032986+0.00015349i,0.0016597-0.001738i,0.0019845-0.0021114i,0.0037779-0.0017942i,0.0032232-0.00032354i,0.002657-0.001142i,0.0017883-0.0023952i,4.9801e-05-0.00036556i,0.0013646-0.00012781i,0.00087113+3.3093e-05i,0.00015246-0.00092602i,-0.0011791-0.00031008i,0.0084506-0.0034232i,0.0027447-0.0014364i,0.0026844-0.0011427i,0.0024919-0.0031493i,-0.0010305+0.0009866i,-0.0016542+0.0015518i,-0.0020552+0.00055971i,0.002795+0.00061961i,0.0011666-0.0011468i,-0.01275-0.010658i,-0.011608-0.0093902i,0.0053532-0.014635i,-0.0037985-0.0054552i,-0.014968-0.039471i,-0.0023204-0.010289i,-0.0012319-0.0015006i,-0.015004+0.011352i,0.013197-0.005382i,-0.017551-0.0099699i,0.0018695-0.0084716i,0.0018221-0.00051808i,0.002771-0.0020027i,0.0049491+0.0026743i,-0.00039187+0.0069755i,-0.011424+0.0042178i,-0.0042541-0.005881i,0.0026466+0.01134i,-0.0048173-0.0011389i,-0.0013296+0.0032545i,-0.0033855+0.0025336i,-0.0012152+0.0011915i,0.0025676-3.9884e-05i,-0.003992+0.006721i,0.00062723+0.00021652i,-0.0015521-0.0016252i,0.0015326+0.0015352i,0.0037985+0.0009144i,0.00055312-0.0012111i,0.00099362-3.289e-05i,-0.0038963-0.011844i,0.0078127-0.005497i,0.00036013-0.00090474i,0.00052598-0.00021959i,0.0011805-0.0011642i,0.0068382-0.0026442i,-0.0023629-0.0051161i,0.0046527-0.0058499i,0.0017207-0.0036039i,0.0020031-0.0062827i,0.004846-0.0020147i,0.0044754+0.0032333i,0.0024113-0.0018842i,-0.0015288+0.008186i,0.0020868+0.001984i,-0.0054023-0.016592i,-0.027821-0.0065178i,-0.027708+0.01211i,-0.0099418+0.015811i,0.00018689+8.3845e-05i,0.018912+0.0025378i,-0.013392+0.0042993i
