-0.032293-0.038297i,-0.021422-0.01965i,-0.01269-0.035748i,-0.03012-0.019959i,-0.022087+8.8365e-05i,-0.013793-0.0058069i,-0.056416-0.058453i,-0.047695-0.017269i,-0.038014-0.014574i,0.012104+0.01195i,-0.0075136+0.0048253i,-0.019663+0.019414i,0.0022879+0.011074i,-0.0060379-0.0025139i,0.00013632+0.0012814i,-0.0019278+0.030313i,0.023925+0.024364i,0.0023783-0.0024093i,-0.0021387-0.0071559i,0.0076897+0.0034174i,0.0026607+0.00076191i,-0.00051737+0.0039753i,-0.00034386+0.00019315i,-0.037029-0.012672i,0.0004785-0.0078596i,0.0015116+0.0020913i,0.0062509+0.0012276i,0.0020655+0.00050857i,0.0010269-0.00062441i,-0.00043214-0.0025277i,0.0013526-0.0024981i,-0.0020914-0.0061752i,-0.0010032-0.0047378i,0.0029262-0.00059131i,0.0045422-0.0033764i,2.2111e-05+0.030126i,0.0039342-0.0037627i,0.0029731-0.0016958i,0.0080377-0.0016346i,-0.0061821-0.0029263i,-0.00014178+0.0008177i,0.0083335+0.00052542i,0.0047112-0.0023057i,-0.0012722+0.0080346i,-0.017992-0.0073854i,-0.018425+0.015925i,-0.0038371-0.061302i,-0.0050967-0.027203i,-0.026623-0.032064i,-0.011396-0.026481i,0.05509-0.020604i,0.016496-0.042692i,0.0226-0.048873i,0.0041492-0.054397i,0.026372-0.021451i,0.0083652+0.0060131i,0.02425-0.035465i,-0.0077239-0.0068913i,0.0037583-0.0048966i,-0.004963-0.0070447i,-0.0019796-0.032998i,-0.018113+0.028905i,0.0084338-0.011934i,-0.0085691-0.0041605i,-0.004146-0.0010478i,0.00071768-0.013269i,-0.011296+0.0047108i,0.002356+0.010027i,-0.0046723+0.027041i,0.0053666+0.0026656i,-0.0053172-0.0017632i,-0.001969-0.0020319i,-0.012494-0.0082169i,-0.0007143-0.0043743i,-0.030595+0.0028063i,0.0010458-0.010592i,-0.008523-0.00045364i,-0.0066554-0.0024669i,0.0051738+0.0014081i,-0.0082436+0.00032587i,0.0023422+9.1305e-05i,0.003735+0.0070813i,0.0043611+0.00043192i,-0.007508-0.012565i,0.002674+0.0092551i,-0.015571+0.0051303i,0.0065063-0.00026733i,-0.022352-9.9799e-05i,-0.017424+0.006521i,-0.0069014-0.067532i,0.0083882-0.012567i,-0.049792-0.023675i,-0.020714+0.00039237i,0.017517+0.011551i,-0.022155+0.014255i,-0.019254-0.0042315i
0.027881+0.034055i,0.014149+0.014666i,0.017786+0.024612i,0.0065289+0.018961i,0.0084543+0.0071303i,0.0043999-0.00096091i,0.015187+0.011424i,0.015941-0.0026188i,0.0084868-0.0079163i,0.0026338+0.0037554i,0.0019643-0.0026175i,0.00069021-0.0052029i,-0.0017206+0.00079432i,0.001389-0.0016301i,0.0018093-0.00062068i,0.0051623-0.0028279i,0.0054003-0.0052609i,0.00022049+0.00017538i,-0.0044167+0.00018339i,7.9811e-05+0.00059595i,-0.00083223-0.0010586i,-0.0025999-0.0010157i,-0.0016235+0.0008102i,0.0057233+0.009317i,-0.0010313+0.0011027i,0.00047477+0.0016799i,0.0012141+0.00096057i,-0.0016847+0.0027419i,-0.00091007+0.00037084i,-0.0014511+0.00052468i,-0.001356-0.0014438i,-0.0024368-0.00040408i,-0.00021053+0.00018752i,0.00028575+0.0003391i,-6.5964e-05-0.00090183i,-0.009899+0.0091294i,0.0016683-0.00021039i,0.00065852+0.0010208i,0.0023816+0.0023032i,0.00039372-0.0014596i,-0.00050481-0.0006506i,-0.00058148-0.0018146i,0.00092394+0.0010006i,-0.000638+0.0013802i,0.019409+0.011854i,-0.022926+0.012945i,-0.011196+0.016443i,-0.022979+0.011467i,-0.0033383+0.037661i,-0.020306+0.015184i,0.0015632-0.0052297i,-0.011931-0.017749i,-0.019411-0.0010065i,-0.0074075+0.014513i,0.019147+0.020179i,-0.00035357+0.0023871i,-0.0035172+0.00070717i,-0.012437-0.0045308i,0.011446+0.0012044i,0.011047+0.0094482i,-0.0010467+0.0058596i,-0.0057279-0.0078378i,0.0061807-0.0026615i,-0.0033012-0.0042038i,0.0036919-0.0084575i,0.0089113-0.0027191i,-0.0014507+0.010622i,0.012068-0.0058958i,0.0038111-0.0088122i,0.0028982-0.0093973i,0.00238+0.00064907i,-0.0019424-0.0058258i,-0.0035817-0.0013904i,0.002718-0.00029131i,-0.0050946+0.032931i,-0.0072831-0.005513i,0.00018093+0.00119i,-0.0017288-0.0071889i,0.003219-0.00037603i,-0.017235-0.0057397i,-0.0014618-0.0037299i,0.0031168-0.0023604i,0.003031-0.0016128i,-0.0025752-0.0073682i,4.7186e-05+0.0069644i,0.00013566+0.0035227i,-0.0029848+0.0044896i,-0.0071807+0.002297i,-0.0060434-0.0012245i,-0.0043959+0.028068i,-0.0021428+0.014972i,-0.02753-0.010578i,-0.0016305-0.002922i,0.013514+0.017972i,-0.00038711+0.017981i,-0.00084152-0.0041039i
0.033128+0.027743i,0.016691+0.010881i,0.021778+0.02139i,0.0098547+0.018554i,0.010411+0.0058794i,0.0045394-0.0023557i,0.015101+0.0078583i,0.015139-0.0052668i,0.0066305-0.0098191i,0.0035455+0.0023679i,0.0017034-0.0026554i,-0.0012858-0.0035521i,-0.0013761+0.0012722i,0.00093332-0.00056707i,0.0016397-0.00088785i,0.0038855-0.003045i,0.0038637-0.0058856i,0.00065709+5.1664e-05i,-0.0038845+0.00013444i,0.00034796+2.9784e-05i,-0.00095797-0.0012048i,-0.0026124-0.00048246i,-0.001279+0.00096288i,0.010307+0.0057975i,-0.0010576+0.0023318i,0.0013974+0.0012374i,0.0011056+0.00011957i,-0.00052551+0.0029592i,-0.0012502+0.0008081i,-0.0012191+0.001171i,-0.001954-0.00082462i,-0.0021821+0.00013184i,-0.00034225+7.1761e-05i,0.00053057+9.8359e-05i,-0.00077214-0.00017386i,-0.0058778+0.011017i,0.0011392-0.00079543i,0.00094809+0.0010834i,0.001979+0.0010431i,4.9685e-05-0.0013163i,-0.00093957-0.00085391i,-0.00098469-0.001079i,0.00076797+0.00093438i,-0.0010362+0.001618i,0.022062+0.0085192i,-0.018406+0.016139i,-0.01026+0.018856i,-0.017974+0.013428i,0.0080477+0.033629i,-0.012426+0.016942i,-0.0053735-0.0080892i,-0.020173-0.018829i,-0.02191-0.00077327i,-0.0006876+0.010177i,0.021006+0.012289i,-0.001054+0.0023342i,-0.0023726+0.004224i,-0.01239-0.00016049i,0.0099865-0.0031817i,0.012948+0.0068996i,0.0022972+0.0086548i,-0.010321-0.005986i,0.002448-0.0044605i,-0.0036074-0.0020237i,-0.0014147-0.0079298i,0.0070676-0.0055507i,0.0033221+0.0086434i,0.0071448-0.0090186i,-0.0013895-0.0084896i,-0.0011181-0.0062679i,0.0037663-0.00017801i,-0.0034923-0.0054115i,-0.0018511+0.0010692i,0.0032419-0.00072397i,0.01076+0.030448i,-0.0093823-0.0034612i,0.0010586+0.00042735i,-0.0048586-0.0056999i,0.0038413-0.0018403i,-0.017641+0.0019853i,-0.0020417-0.0029734i,0.0017144-0.0024476i,0.0030844-0.0029084i,-0.0046714-0.00545i,0.0020627+0.0035783i,0.0015144+0.0027669i,-0.00017111+0.0056325i,-0.0050829+0.0047868i,-0.0066477-0.00016123i,0.0013566+0.023869i,0.00035485+0.016235i,-0.029129-0.0038494i,-0.0030724-0.0061573i,0.016258+0.01553i,0.0028965+0.018827i,-0.0032322-0.0044592i
0.036534+0.020453i,0.017555+0.0061312i,0.026231+0.016008i,0.014468+0.016026i,0.01265+0.0038879i,0.0042217-0.0040116i,0.014183+0.0044726i,0.013919-0.0082633i,0.0045397-0.010621i,0.003401+0.0010849i,0.0010229-0.0033883i,-0.0015067-0.0016826i,-0.00071764+0.0015326i,0.0016636-0.00036954i,0.0013986-0.001155i,0.0028276-0.0031587i,0.0020622-0.0069282i,0.00057067-0.00036123i,-0.0027919+0.0015624i,5.3065e-05-0.00065152i,-0.0017273-0.0015658i,-0.002428+2.1895e-06i,-0.00099941+0.0010753i,0.011344+4.0613e-05i,0.00019256+0.0030918i,0.0013585+0.00043857i,0.00051746-0.00026597i,0.00065639+0.0025594i,-0.00089595+0.0015059i,-0.00075767+0.001623i,-0.0022777+0.00022005i,-0.0018629+0.0014062i,-0.00039318+0.0001177i,0.00063686-0.0001667i,-0.00067508+0.00057762i,-0.0023983+0.011064i,0.00065234-0.00083667i,0.001358+0.00059458i,0.0017503+0.00050871i,-0.00047217-0.0012309i,-0.0016068-0.00072656i,-0.0010866-0.00081252i,0.00077705+0.0013091i,-0.00079125+0.0023727i,0.024957+0.0042278i,-0.01375+0.018116i,-0.0075809+0.022338i,-0.012135+0.012856i,0.018342+0.026406i,-0.0059187+0.017409i,-0.012471-0.0068476i,-0.027673-0.015414i,-0.022969+0.003109i,0.0027873+0.0038904i,0.02015+0.0055991i,-0.001523+0.0024162i,-0.00091136+0.0044606i,-0.012332+0.0029381i,0.0060879-0.0074693i,0.014242+0.0029711i,0.0065345+0.0085224i,-0.013566-0.0020852i,0.00052675-0.0030873i,-0.0034987-0.00024395i,-0.0039879-0.0051626i,0.0047205-0.0068213i,0.0060002+0.0076909i,0.0040331-0.0091092i,-0.006078-0.004518i,-0.0012733-0.0032107i,0.0042514-0.0025329i,-0.0063394-0.0036409i,-4.1006e-05+0.00092744i,0.0026116-0.0020098i,0.024683+0.020694i,-0.010604+0.00062286i,0.0015686-0.00019497i,-0.0039965-0.0036422i,0.0040909-0.0040359i,-0.013464+0.0086813i,-0.0019227-0.0021082i,0.00054022-0.0024412i,0.0016488-0.0036135i,-0.0054879-0.0029227i,0.0014783+0.002546i,0.0022445+0.0015245i,0.002453+0.0050085i,-0.0028637+0.0050026i,-0.0070967+0.0013944i,0.0038177+0.01951i,0.0072767+0.015644i,-0.028645+0.00086146i,-0.0054227-0.0084411i,0.019283+0.010486i,0.0075266+0.019185i,-0.0052604-0.0035595i
0.037917+0.013526i,0.016526+0.0026854i,0.02763+0.0090999i,0.017559+0.011024i,0.01413+0.00073883i,0.0030364-0.0054122i,0.012788+0.0024292i,0.011519-0.010762i,0.0028444-0.011269i,0.0028521+0.00052594i,-0.00042444-0.0030082i,-0.00087269-0.00083385i,-0.00050471+0.0016362i,0.0017589-0.00047293i,0.0010292-0.0013168i,0.001681-0.0027782i,-3.6039e-05-0.0065906i,0.00044004-0.00044393i,-0.0015594+0.0024637i,-0.00059591-0.00083494i,-0.0023936-0.00072667i,-0.0024228+0.00061201i,-0.00076332+0.0011744i,0.0097797-0.0040489i,0.0015016+0.0029282i,0.00051421+0.00081178i,2.7856e-05-0.00016475i,0.00114+0.0018648i,-0.0001848+0.0016244i,-9.7506e-05+0.0018178i,-0.001964+0.0013664i,-0.0010559+0.0017017i,-0.00031663+0.0002324i,0.00040163-0.00032965i,-0.00022471+0.00092757i,0.0007443+0.010597i,0.00036368-0.00087629i,0.0012855-0.00015025i,0.0015027+0.0004019i,-0.0009612-0.00072815i,-0.0019519-0.00023225i,-0.0016201-0.00075748i,0.0013352+0.0015068i,-0.00013565+0.0029547i,0.026326-0.001881i,-0.0086001+0.019344i,-0.0023609+0.024929i,-0.0099527+0.0098134i,0.026125+0.014345i,0.00034025+0.013779i,-0.018697-0.001902i,-0.034092-0.0086287i,-0.023504+0.011605i,0.0023845-0.0024545i,0.01885+0.00030877i,-0.0015658+0.0033926i,2.3343e-05+0.0060772i,-0.011546+0.0068244i,-0.0002938-0.0076021i,0.014393-0.0018236i,0.010338+0.0060839i,-0.015118+0.0025919i,-0.00049858-0.002285i,-0.0026124+0.0011879i,-0.0049763-0.0015989i,0.0025823-0.0073781i,0.0088099+0.0041376i,0.0016389-0.009422i,-0.0057897+0.0013732i,-0.00049533-0.0020754i,0.0027697-0.0047494i,-0.0064478-0.00028976i,0.00094301+0.00061754i,0.001746-0.002695i,0.030132+0.0045756i,-0.0089187+0.0051665i,0.0018235-0.0012914i,-0.003959-0.0022236i,0.0021403-0.0066007i,-0.0073879+0.011013i,-0.0014837-0.0014726i,-0.00027478-0.0015038i,0.00036672-0.0036799i,-0.0045734-0.0012054i,0.0011691+0.0022632i,0.0018063+0.00027189i,0.0044516+0.0037854i,-0.00098704+0.0039654i,-0.0073149+0.0030521i,0.0049258+0.017772i,0.015717+0.0088258i,-0.026318+0.0057107i,-0.0098474-0.0098585i,0.018263+0.0049924i,0.012496+0.017424i,-0.0055203-0.0025063i
0.038813+0.0071174i,0.015966+0.00063575i,0.027422+0.003395i,0.018734+0.0058353i,0.014499-0.0026501i,0.0016722-0.0062553i,0.011888+0.0015261i,0.0089139-0.012398i,0.0012245-0.011813i,0.0025963+0.0001636i,-0.00074663-0.001973i,-0.00030616-0.00078537i,-0.00028763+0.0020632i,0.0018126-0.00082307i,0.0006961-0.0012336i,0.0014537-0.0018291i,-0.0012451-0.0056661i,0.00019359-0.00045663i,-0.00052034+0.0023061i,-0.0011772-0.00064088i,-0.0025304-9.559e-05i,-0.0018301+0.0012908i,-0.0005018+0.0013025i,0.0065579-0.0070528i,0.0025259+0.0023215i,0.00027845-0.00020552i,-0.00016913-5.4476e-05i,0.0013863+0.0013922i,0.00021732+0.0015683i,0.00074427+0.0016971i,-0.0011217+0.0021329i,-0.00092782+0.0023082i,-0.00038887+0.00021184i,0.00031397-9.5452e-05i,0.00040898+0.0011088i,0.0035126+0.0087762i,3.8852e-05-0.00083091i,0.00086354-0.00056063i,0.0016873+0.00018876i,-0.00094482-0.00017126i,-0.0020157+0.00017763i,-0.0021762-0.00045549i,0.0019749+0.00093308i,0.00026185+0.0026941i,0.025435-0.0083418i,-0.0029939+0.018953i,0.0041288+0.024929i,-0.0095358+0.0093313i,0.026923+0.0012997i,0.0027376+0.0085316i,-0.020799+0.0064412i,-0.03663+0.0014129i,-0.02202+0.017087i,-0.001553-0.0067771i,0.014922-0.0041913i,-0.00080631+0.0042983i,0.0034786+0.0061516i,-0.0088496+0.010461i,-0.003623-0.0042665i,0.011879-0.0079098i,0.012659+0.0021223i,-0.015224+0.0095784i,-0.00081203-0.00073579i,-0.0015227+0.0018276i,-0.0030659+0.00069418i,-0.00051685-0.0071556i,0.0087373+0.00049653i,-0.0010149-0.0092483i,-0.0028577+0.0037142i,0.00044592-0.0020751i,0.00043198-0.0056616i,-0.0048429+0.0022471i,0.0021569-0.0003718i,0.0010961-0.0026644i,0.02447-0.010226i,-0.0049866+0.0076843i,0.0011437-0.0024362i,-0.0034317-0.0018434i,-0.00071658-0.0072795i,-0.0030323+0.010582i,-0.00072741-0.0024953i,-0.00017055-0.00017989i,1.4964e-05-0.0031257i,-0.0043323+0.00056233i,0.001843+0.0024722i,0.00079557-0.00027978i,0.0043675+0.00074896i,-0.0011077+0.00225i,-0.0065855+0.0053905i,0.0074254+0.016622i,0.017294-0.0038233i,-0.021809+0.0067126i,-0.015121-0.0087192i,0.01701+0.00074791i,0.016478+0.01258i,-0.0062835-0.002736i
0.03898+0.00036954i,0.015912-0.0018091i,0.02723-0.0019859i,0.018898+0.00049759i,0.014393-0.0059154i,0.00018827-0.006757i,0.01228+0.00068817i,0.0065938-0.013535i,-0.00054155-0.012351i,0.0019943-0.00013736i,-0.00052631-0.0017605i,-1.0432e-05-0.00085671i,0.00052824+0.0024922i,0.001623-0.00093532i,0.00055385-0.0012254i,0.002083-0.0011865i,-0.0020501-0.0053405i,0.00020224-0.00045589i,0.00020348+0.0018955i,-0.0014894-0.00017742i,-0.0020986+0.00058337i,-0.0010064+0.0014138i,-0.00017468+0.0013702i,0.0030489-0.0079291i,0.0035501+0.0012941i,0.00059534-0.0004939i,-0.00024398+3.624e-05i,0.0015285+0.00093931i,0.00069738+0.0014726i,0.0012964+0.0011377i,-5.5776e-05+0.0023558i,0.00033917+0.002538i,-0.00044788+0.00052839i,0.00045945-0.00013708i,0.00084889+0.00080392i,0.0044602+0.0064737i,-0.00022612-0.0006139i,0.00051319-0.00065725i,0.0015741-8.1788e-05i,-0.0005857+0.00015406i,-0.0019514+0.00078705i,-0.0024211+0.0003343i,0.0020663+0.00039885i,0.00052333+0.0029963i,0.023057-0.014076i,0.0019102+0.016873i,0.0097455+0.022693i,-0.0084084+0.010004i,0.023795-0.010045i,0.0021914+0.0048572i,-0.017802+0.015017i,-0.03366+0.012294i,-0.015944+0.023831i,-0.006783-0.0067367i,0.01091-0.0062161i,0.0005094+0.0045696i,0.0056906+0.0038163i,-0.0048937+0.013337i,-0.0045536-0.0013793i,0.0060552-0.013095i,0.012521-0.0031989i,-0.0086874+0.013398i,3.063e-05+0.00018806i,-0.00034838+0.0018047i,-0.0015013+0.00084671i,-0.0023994-0.0052543i,0.0072245-0.0019662i,-0.0028607-0.0076651i,0.0002587+0.0040664i,0.0006093-0.0033097i,-0.0018316-0.0051179i,-0.0031889+0.0032069i,0.0019516-0.002195i,0.0009042-0.0027365i,0.010809-0.017223i,-0.0010819+0.0082954i,6.821e-05-0.0025742i,-0.0037325-0.00096959i,-0.00375-0.0063125i,0.00013779+0.0098236i,-0.0012546-0.0007009i,0.0012303-2.1084e-05i,-0.00055717-0.0041063i,-0.0018857+0.0016523i,0.002515-0.00028339i,-4.7827e-05+0.00030297i,0.013028-0.0052055i,-0.0023823+0.0013589i,-0.0045315+0.0068678i,0.010278+0.014592i,0.011132-0.013615i,-0.01989+0.0035243i,-0.019994-0.0041444i,0.013825-0.0038036i,0.017164+0.0072613i,-0.0071125-0.002173i
0.03773-0.0063735i,0.015067-0.0045941i,0.025127-0.0085046i,0.016857-0.0054533i,0.01357-0.0095602i,-0.0014776-0.006761i,0.013291-0.00074041i,0.0039248-0.014642i,-0.0025838-0.012436i,0.0014444+0.00032922i,-0.0011838-0.0017313i,-0.00012075-0.0015986i,0.0013429+0.002325i,0.0014157-0.0012676i,0.00034041-0.0011965i,0.0028883-0.0015551i,-0.0032527-0.0049931i,-4.7583e-05-0.00058981i,0.00069357+0.0012735i,-0.0017657+0.00037651i,-0.0020431+0.0008128i,-0.00033375+0.0010582i,0.00013257+0.0013398i,0.00043384-0.0067975i,0.003765-0.00077177i,0.00028071-0.0008321i,-0.00057589+0.00021598i,0.0014764+0.00055127i,0.0012701+0.0010773i,0.0014616+0.00046809i,0.0010723+0.0021235i,0.0010955+0.0026496i,-0.00040163+0.0008609i,0.00049718-0.00019397i,0.00098422+0.0003395i,0.005315+0.004562i,-0.00043126-0.00041687i,0.00011541-0.00066168i,0.001827-0.00029417i,-0.0001775+0.00015898i,-0.0017289+0.0013729i,-0.0021051+0.00122i,0.0020917-3.8152e-05i,0.0014361+0.0036919i,0.019379-0.018992i,0.0056351+0.013645i,0.014443+0.019104i,-0.0057659+0.010926i,0.016859-0.018529i,0.00092909+0.0033301i,-0.011666+0.019994i,-0.025458+0.019451i,-0.0065286+0.026765i,-0.010173-0.0032094i,0.0077141-0.0065212i,0.0018487+0.0040084i,0.0057426+0.00084048i,-0.00029428+0.013676i,-0.0051541+0.00097974i,-0.0032702-0.013021i,0.009704-0.0074814i,-0.0056242+0.013526i,0.0014002-0.00047086i,0.00041812+0.0013474i,-0.0010585+0.00030609i,-0.0026398-0.0034755i,0.0056273-0.0027512i,-0.0038649-0.0068559i,0.0020167+0.0029488i,-0.00075239-0.004977i,-0.0034214-0.0038144i,-0.0013411+0.0038666i,0.00045034-0.0033384i,0.00033209-0.0032845i,0.0073507-0.011982i,0.002152+0.0069251i,-0.00046403-0.0023889i,-0.002973-0.00052493i,-0.0055967-0.0045748i,0.0026481+0.0084485i,-0.00063582-0.0016291i,0.0019349-0.0008898i,-0.0033797-0.004349i,-0.00053912+0.00086755i,0.0030896+0.0009953i,1.2476e-05+0.0013535i,0.0063172-0.00061197i,-0.0036967+0.0018704i,-0.0025905+0.0070482i,0.013166+0.012867i,0.0024461-0.019166i,-0.023245+0.0015222i,-0.021746+0.0020599i,0.0076025-0.0058891i,0.016904+0.002926i,-0.0068167-0.0020257i
0.03534-0.012389i,0.014315-0.006523i,0.020999-0.012967i,0.01229-0.0095818i,0.011454-0.013041i,-0.0028263-0.006292i,0.014475-0.0029976i,0.0010421-0.014971i,-0.0043991-0.012297i,0.0017024+0.00093038i,-0.0016837-0.00095228i,-0.0010757-0.0017194i,0.0020559+0.0019071i,0.00098228-0.0013979i,0.00019692-0.0011567i,0.0031591-0.0022086i,-0.0048143-0.0037081i,-0.00022852-0.00039971i,0.00086242+0.00061328i,-0.0015993+0.0012154i,-0.0019591+0.0015051i,-0.00037987+0.0004787i,0.00041086+0.0012768i,-0.0030359-0.0032875i,0.0025045-0.0021583i,-3.9854e-05-0.00070619i,-0.00050761+0.00064504i,0.0013894+0.00030899i,0.0013205+0.00031141i,0.0014234-5.7049e-05i,0.0019523+0.0014528i,0.0021359+0.0023511i,0.00012021+0.0013404i,0.00040815-0.00021853i,0.00089957+0.00041509i,0.0052669+0.0035959i,-0.00056372-0.00010723i,-0.00018247-0.00044421i,0.0019942-0.00092782i,0.00027737+5.2742e-05i,-0.0011876+0.0020432i,-0.0015641+0.0017298i,0.0020313-0.00057726i,0.0025338+0.0031093i,0.014522-0.022752i,0.0079806+0.009664i,0.017487+0.01452i,-0.002456+0.010445i,0.0081454-0.021524i,-0.00031136+0.0035306i,-0.0049453+0.021888i,-0.016896+0.021204i,0.0036072+0.02568i,-0.010307+0.0015407i,0.005996-0.0064564i,0.0030709+0.003077i,0.0045216-0.00099197i,0.0046777+0.012746i,-0.0043594+0.0039511i,-0.0099617-0.007627i,0.0056396-0.0093397i,-0.0028233+0.014305i,0.001187-0.0022755i,0.00085946+0.00087563i,-0.0011878+0.00031497i,-0.0021775-0.0023077i,0.004526-0.0036755i,-0.0052141-0.006372i,0.0028101+0.0010226i,-0.0039956-0.0054577i,-0.0041174-0.0020748i,0.0010379+0.0029418i,-0.00046591-0.0037233i,-0.00070186-0.0038453i,0.0049802-0.014419i,0.0040606+0.0046273i,-0.00097788-0.0025059i,-0.0036205-0.00032426i,-0.0068198-0.0018142i,0.0038284+0.0070279i,-0.0015005-0.0026119i,0.0023681-0.0019081i,-0.013543+0.0066753i,-8.4142e-05+0.00011928i,0.0036164+0.00042395i,0.00080515+0.0018313i,0.0042052-0.001987i,-0.0045039+0.0033708i,-0.0011015+0.0066741i,0.017277+0.010184i,-0.0083756-0.020818i,-0.027266+0.003751i,-0.019778+0.0083921i,0.003351-0.0036433i,0.014225-0.0012744i,-0.0069892-0.0033256i
0.032416-0.018122i,0.013819-0.0092002i,0.017391-0.015455i,0.0079402-0.010681i,0.0085061-0.01586i,-0.0038229-0.0056345i,0.015569-0.006609i,-0.0016838-0.014796i,-0.0063449-0.012046i,0.0022245+0.0010746i,-0.0012738-0.00018301i,-0.0017338-0.00082618i,0.0025985+0.0011351i,0.00055438-0.0014416i,0.00013168-0.00113i,0.0032653-0.0027385i,-0.0056716-0.0018538i,-0.00010966-0.00035296i,0.00072384+5.3363e-05i,-0.0010589+0.0017081i,-0.0013498+0.0019109i,-0.00059354+0.00038566i,0.00075788+0.0011263i,-0.0045953-0.0014285i,0.0012286-0.0026105i,-0.00021771-0.00056913i,-9.8768e-05+0.0006888i,0.0014691+6.5631e-06i,0.00099738+0.00014897i,0.001213-0.00051815i,0.0024844+0.00050169i,0.0027405+0.001573i,0.00080155+0.0013823i,0.00049726-0.00017632i,0.0012467+0.00060757i,0.0060341+0.0012579i,-0.00053944+0.00046034i,-0.00021507-0.0002202i,0.0015494-0.0017126i,0.0006955-0.00030215i,-0.00022109+0.0023211i,-0.00075392+0.0022034i,0.0016936-0.00096938i,0.0029064+0.0026597i,0.009149-0.025105i,0.00833+0.0054742i,0.01909+0.010233i,6.0565e-05+0.008761i,0.002469-0.022456i,-0.00018306+0.0055143i,0.001738+0.022051i,-0.0097798+0.021353i,0.011821+0.020586i,-0.0074905+0.0052786i,0.004626-0.0071282i,0.003928+0.0013748i,0.0038357-0.0021846i,0.0086704+0.0092461i,-0.00168+0.0052159i,-0.012197-0.0011106i,0.0017062-0.0095187i,0.00076795+0.013639i,0.00069089-0.0031758i,0.00051829+0.00030162i,-0.0011275+0.00075918i,-0.0018347-0.0019428i,0.0032037-0.0033696i,-0.006267-0.0048327i,0.0022716-0.00018961i,-0.0066282-0.0028683i,-0.00367-0.00038906i,0.0016613+0.0010618i,-0.001383-0.0039178i,-0.0021482-0.0035058i,-0.0010892-0.014854i,0.0051849+0.0020974i,-0.0018998-0.0023513i,-0.0037007+0.00094506i,-0.00583+0.00085504i,0.0052938+0.006187i,-0.0034206-0.0027736i,0.0021953-0.0034693i,-0.00060564-0.0033095i,-0.00029857-0.0010895i,0.0043379-0.00020295i,0.0015341+0.0017753i,0.0024517-0.0018026i,-0.0046148+0.0053624i,-3.8157e-05+0.0060489i,0.021615+0.0052702i,-0.018456-0.017046i,-0.0298+0.0075716i,-0.014923+0.01177i,0.0023784-0.0016539i,0.010823-0.0031002i,-0.00946-0.0037643i
0.028129-0.02339i,0.012568-0.012394i,0.014168-0.017576i,0.004846-0.010647i,0.0048551-0.017952i,-0.0046387-0.0049364i,0.015277-0.011897i,-0.00424-0.014221i,-0.0085756-0.011397i,0.0026651+0.0013466i,-0.00058474-7.8578e-05i,-0.0018286+0.00031214i,0.0026412+0.00021668i,0.00027366-0.0011786i,-3.9616e-05-0.0012377i,0.0030011-0.003612i,-0.0057836+3.0422e-06i,-5.7063e-05-0.00047232i,0.00046342-0.00017071i,-0.00040902+0.0018773i,-0.00091521+0.0022257i,-0.00074853+0.00050405i,0.0010129+0.00079701i,-0.0040996+0.0014196i,0.00012443-0.0027545i,-0.00038667-0.00035408i,9.8186e-05+0.00060515i,0.0012166-0.00048896i,0.0010626+5.5121e-05i,0.00076926-0.00094522i,0.0026278-0.00061527i,0.0031189+0.00069046i,0.0013922+0.0011617i,0.00053143-0.00050736i,0.0018913+0.00030249i,0.005581-0.00089526i,-0.00028594+0.0010785i,-0.00020789+3.647e-06i,0.00060265-0.0018834i,0.00097055-0.00080057i,0.000613+0.0023569i,0.00018883+0.0022846i,0.0013586-0.0011797i,0.0034636+0.0026763i,0.0038424-0.025858i,0.007096+0.0028446i,0.01967+0.0063302i,0.0015637+0.007875i,-0.0033759-0.023549i,0.0028167+0.0076896i,0.0078527+0.019706i,-0.0027435+0.01972i,0.016872+0.013631i,-0.0027601+0.0071008i,0.0030879-0.0076155i,0.0036256-0.0012551i,0.0029744-0.003717i,0.0097192+0.0039568i,-9.8359e-05+0.0046671i,-0.011658+0.0056454i,-0.0019321-0.0085186i,0.0035002+0.011289i,-0.0045265-0.0041066i,-0.00010536+0.00056733i,-0.0008888+0.0014025i,-0.0013612-0.0020157i,0.0032429-0.0021273i,-0.0065434-0.0023262i,0.0021062+6.6686e-05i,-0.0069141+0.00040763i,-0.0027794+0.00039673i,0.0012776-0.00013468i,-0.0031858-0.0040485i,-0.0031902-0.0023023i,-0.0065488-0.012798i,0.0049983-0.00064041i,-0.0026971-0.0016166i,-0.0025727+0.0020056i,-0.0043618+0.0022626i,0.0072533+0.0049619i,-0.00488-0.00096567i,0.00086063-0.0049727i,-0.0026633-0.0023946i,-0.001381-0.0015088i,0.0047158-0.0019704i,0.0024711+0.001783i,0.0020706-0.0013915i,-0.0022029+0.0073732i,0.00056949+0.0051476i,0.02416-0.0021319i,-0.023531-0.0088457i,-0.031651+0.013178i,-0.010401+0.012788i,0.0016069+0.00016846i,0.0090116-0.002397i,-0.01142-0.0026472i
