-0.021686-0.037472i,-0.010476-0.050494i,-0.017574-0.045779i,-0.030732-0.036226i,-0.029841-0.017384i,-0.050665-0.028831i,-0.060019-0.025922i,-0.045081-0.039248i,-0.028434-0.035291i,0.0074961+0.012182i,-0.0065509+0.016193i,-0.0051201+0.014888i,0.010106+0.022763i,6.5768e-06+0.0048377i,0.0035817+0.0032599i,0.0069062+0.018535i,0.025703+0.038711i,-0.0026238-0.0017974i,-0.0052542-0.0056976i,0.0062721+0.0011797i,-6.6153e-05-0.00092996i,-0.0011392+0.0011039i,0.00017282-0.00040298i,-0.029727-0.0021671i,-0.0024809-0.0063958i,0.0013363+0.0041792i,0.0038952-0.00018835i,-0.0007141+0.00051996i,0.00048019-0.0005471i,-0.00085842-0.0028018i,-0.0015734-0.0060698i,-0.0048762-0.0044116i,-0.0024128-0.0049632i,0.0024081-0.0004839i,0.0024326-0.0028164i,0.0022023+0.027511i,0.0014319-0.0031735i,0.0025262+0.001059i,0.0052986+0.00091628i,-0.011225-0.0029606i,-0.0033504+0.00066599i,0.0058688+0.00026615i,0.0064352+0.00053179i,-0.0028428+0.004718i,0.0022399-0.0090956i,-0.011941+0.018028i,0.035929-0.091362i,0.012633-0.071346i,-0.01566-0.059523i,-0.016668-0.05626i,0.037675-0.048082i,0.016732-0.062885i,0.035149-0.055835i,0.031569-0.059913i,0.014816-0.014149i,0.0035125+0.016424i,0.016166-0.026973i,-0.011915+0.00784i,-0.00087303+0.0064461i,-0.0050385-0.00070931i,-0.0024151-0.028178i,-0.024456+0.031296i,0.01064-0.012285i,-0.012879-0.0031179i,-6.2446e-05-0.0048864i,-0.00099534-0.016175i,-0.0074252+0.0046375i,0.0053151+0.0061446i,-0.0075393+0.031272i,0.0056414+0.0070049i,-0.0042489-0.00043955i,-0.0032581-0.00054589i,-0.012148-0.0061389i,-0.00059396-0.0046272i,-0.026049-0.010236i,0.00063617-0.0096049i,-0.0093981-0.0015325i,-0.0066055-0.002543i,0.0070715+0.0030663i,-0.0091378+0.00059538i,0.00043286+0.00034506i,0.005499+0.0097974i,0.0039593+0.0012637i,-0.010478-0.0097495i,0.0031125+0.0081062i,-0.021985+0.0049949i,0.0086979-0.00015234i,-0.029494-0.0033856i,-0.044032+0.0026934i,0.022674-0.10423i,-0.0021861-0.012203i,-0.052401-0.022818i,-0.022932+0.0016824i,0.017743+0.0098577i,-0.025616+0.013699i,-0.020845-0.014761i
0.007365+0.02175i,0.013175+0.052761i,0.023982+0.036254i,0.017867+0.028431i,0.025083+0.028279i,0.034131-0.014583i,0.018661-0.0085388i,0.03018+0.0070229i,0.011961+0.01429i,0.0028724+0.0043893i,0.0050538+0.0031364i,0.004388+0.0033584i,0.0061907+0.0028506i,0.0049845+0.0039849i,0.0031416-0.0034086i,0.008361-0.0015619i,0.0091883-0.0046796i,-0.001484-0.0013367i,-0.0034356+0.0011351i,0.00011027+0.0012304i,-0.0010631-0.00021257i,-0.0028719+0.0012892i,-0.0019211+0.0011171i,0.004562+0.0076526i,0.0015188+0.0011015i,0.002407+0.0006276i,0.0020526+0.0011352i,0.0010754+0.0013813i,0.00077508+7.5174e-05i,-0.00049574+0.0008902i,-0.0017224-0.0037581i,-0.00066238-0.00043073i,-0.0011747+0.0009273i,-0.0010201+0.00014859i,-0.00060262-0.0017472i,-0.0076147+0.0073657i,0.0012713+0.00036308i,0.00152-0.00045642i,-0.00066098+0.0025958i,7.8374e-05-0.0035951i,-0.0013784+0.00040216i,-0.0022381-0.00071804i,0.0021735+0.00058981i,0.0057609+0.0056293i,-0.014918+0.033637i,-0.081688+0.034008i,-0.051574+0.038934i,-0.037266+0.060726i,-0.019095+0.07328i,-0.007888+0.051494i,0.011869+0.038845i,0.0039739-0.00018678i,-0.036335+0.0086276i,-0.045897+0.019718i,0.0023525+0.024461i,-0.0085315+0.0023554i,-0.01059-0.00050112i,-0.014567-0.0019362i,0.0019487+0.0005972i,0.0057463+0.0098178i,-0.0015257+0.0086955i,-0.0067448-0.012691i,0.0051298-0.007602i,-0.006384-0.0072256i,0.0018558-0.0061995i,0.0037908-0.0040933i,-0.001513+0.0098177i,0.0094092-0.0041411i,0.0054518-0.0065797i,0.0023691-0.0062343i,0.0028936-0.0003038i,-0.00081897-0.0047157i,-0.0035636-0.00068102i,0.0027386-0.00032067i,-0.0075803+0.025481i,-0.0044539-0.0040207i,0.0019915+0.00017527i,0.00074885-0.006167i,0.0025435-0.0016701i,-0.015972-0.0030648i,0.00056639-0.00014751i,0.0039044-0.0038955i,0.0029129-0.0011624i,0.00026749-0.0046802i,-3.8945e-05+0.0053085i,-0.0016847+0.0057707i,-0.0033766+0.003937i,-0.010957+0.0030396i,-0.014968-0.0021806i,-0.039188+0.057135i,0.00095153+0.0052377i,-0.024842-0.017243i,-0.00078784-0.0032064i,0.0094603+0.020056i,-0.0014045+0.022747i,-0.00072915-0.00072653i
0.010024+0.018248i,0.021672+0.048211i,0.029825+0.031847i,0.022943+0.02596i,0.031123+0.024098i,0.030562-0.020665i,0.015883-0.012143i,0.030931+0.0013379i,0.01413+0.011352i,0.0042033+0.0031116i,0.0058015+0.0017214i,0.0042919+0.0030962i,0.0061386+0.0016701i,0.0058491+0.002613i,0.0020637-0.0039564i,0.0068947-0.0032074i,0.0068739-0.0065809i,-0.0010838-0.0012608i,-0.0026678+0.0016226i,0.00057969+0.00043495i,-0.0013339-0.00026223i,-0.0024747+0.0018343i,-0.0015351+0.0011707i,0.0083906+0.0051126i,0.0015993+0.0012534i,0.0027977-0.00048025i,0.0020589+1.5265e-05i,0.0014182+0.00066208i,0.00031574+3.8993e-05i,-0.00033569+0.00099129i,-0.0034774-0.0022397i,-0.0012218-0.00055555i,-0.0008199+0.0011295i,-0.00082693+0.00067701i,-0.0013111-0.00065151i,-0.0050212+0.0087436i,0.0010846-0.0001769i,0.001202-0.00086452i,0.00044947+0.0021587i,-0.0012688-0.0032853i,-0.0010625+0.00044927i,-0.0024659+0.00016073i,0.0017814+0.00061766i,0.0065531+0.0045493i,-0.008507+0.03501i,-0.069937+0.048904i,-0.047389+0.047828i,-0.027035+0.064555i,-0.0029494+0.070539i,0.0027607+0.049562i,0.01376+0.033141i,-0.0012293-0.00494i,-0.037961+0.010844i,-0.036642+0.021708i,0.0077725+0.021652i,-0.0088148+0.0049658i,-0.0099726+0.0049956i,-0.012734+0.0019901i,0.0009496-0.00084468i,0.007525+0.0092473i,0.0026838+0.011247i,-0.01283-0.01019i,8.0672e-05-0.0077279i,-0.0060275-0.0035372i,-0.0015019-0.0057475i,0.0014259-0.0056106i,0.0028057+0.0077512i,0.0063122-0.0064547i,0.0011522-0.0068344i,-0.00020481-0.0038919i,0.0037874-0.0014198i,-0.0015276-0.0041242i,-0.0012509+0.0014473i,0.0028866-0.00074179i,0.0086172+0.022764i,-0.0053234-0.0032046i,0.0024094-0.0018353i,-0.00293-0.0059644i,0.0028699-0.0023911i,-0.014421+0.0041653i,0.00080171+0.00057037i,0.0024169-0.0030322i,0.0030426-0.0022472i,-0.00068995-0.0041177i,0.0016135+0.0023992i,0.0013318+0.0054041i,-0.00083214+0.0054544i,-0.0097239+0.0062435i,-0.016382+0.0011171i,-0.028521+0.058172i,0.0012421+0.0055939i,-0.028982-0.012199i,-0.0065611-0.0086403i,0.012173+0.018883i,0.0030085+0.02429i,-0.0026563-0.0018221i
0.011539+0.015523i,0.028123+0.041566i,0.03556+0.025227i,0.028811+0.020947i,0.037084+0.018265i,0.02575-0.026111i,0.012258-0.015327i,0.030831-0.0048613i,0.015693+0.0084782i,0.0043711+0.0015978i,0.0056043-0.00032345i,0.0051074+0.0028026i,0.0061316+0.0001771i,0.0062353+0.00065195i,0.00082057-0.0042017i,0.0051905-0.0042104i,0.0041473-0.0077331i,-0.0015167-0.0014754i,-0.0025213+0.0020959i,0.00046717-0.00049438i,-0.0019169-0.00012656i,-0.0018232+0.0024688i,-0.0013651+0.0012149i,0.0092786+0.00068134i,0.0023489+0.00058984i,0.001891-0.0015874i,0.0016-0.00056008i,0.0017892+0.00013127i,0.00024354+0.00011748i,-0.00020535+0.0011698i,-0.003829-0.00033031i,-0.0019271+0.00045525i,-0.00011521+0.0014707i,-0.0004916+0.00091018i,-0.0010817+0.00032626i,-0.0022961+0.0096383i,0.0007952-0.00035657i,0.0007857-0.0013712i,0.00095015+0.0015615i,-0.0023282-0.0023361i,-0.00099283+0.0005405i,-0.0022439+0.00084124i,0.0017562+0.001064i,0.007734+0.0033442i,-0.0010799+0.035051i,-0.057082+0.059372i,-0.039006+0.055967i,-0.015569+0.065333i,0.011433+0.063697i,0.012303+0.047625i,0.013921+0.029639i,-0.0064511-0.005913i,-0.038845+0.016428i,-0.029616+0.020253i,0.011665+0.017638i,-0.0079373+0.0072393i,-0.0079463+0.0081803i,-0.012198+0.0046965i,-0.0010886-0.0024213i,0.0096691+0.0074161i,0.0074164+0.010726i,-0.016575-0.0056219i,-0.0017097-0.0047505i,-0.0055912-0.00071482i,-0.0031664-0.003817i,-0.0013036-0.0049059i,0.0050867+0.0066956i,0.0041969-0.0068525i,-0.0036538-0.005087i,-2.4731e-05-0.0016897i,0.0035894-0.0038508i,-0.0026797-0.001877i,-5.1542e-05+0.00075359i,0.0023966-0.0014545i,0.012507+0.016601i,-0.0069502-0.0013312i,0.0019404-0.0027382i,-0.0031334-0.003949i,0.0031507-0.0039118i,-0.0097479+0.0086348i,0.0020328+0.00066964i,0.0014409-0.0032544i,0.0017726-0.002754i,-0.0014122-0.0033149i,0.00072272+0.0015176i,0.0034747+0.0035037i,0.0018123+0.0053947i,-0.0076097+0.0079523i,-0.016817+0.0061671i,-0.019468+0.057924i,0.0048685+0.0051285i,-0.030636-0.006529i,-0.010393-0.010729i,0.016549+0.015546i,0.0090397+0.024989i,-0.004714-0.0014294i
0.012599+0.013163i,0.031817+0.035426i,0.038561+0.017436i,0.032485+0.013349i,0.041176+0.0099324i,0.019571-0.030146i,0.0079487-0.017019i,0.028826-0.01092i,0.017058+0.0052759i,0.0039893+0.00070432i,0.0046466-0.0009415i,0.0059119+0.0018552i,0.0053381-0.00089343i,0.005689-0.00098115i,-0.00056031-0.0040011i,0.0034291-0.004452i,0.0014334-0.0076938i,-0.0018519-0.00088747i,-0.0014829+0.0022577i,-0.00040102-0.00091944i,-0.0021645+0.00079162i,-0.0010388+0.0030587i,-0.0012464+0.0014745i,0.0077837-0.0027123i,0.0020633-0.00042898i,0.001008-0.0017124i,0.0011229-0.00081557i,0.001191-0.0011041i,0.00027876+4.0095e-06i,0.00021947+0.0013376i,-0.0034716+0.001657i,-0.0015339+0.0013892i,0.0005279+0.0011692i,-0.00031375+0.00099645i,-0.00056737+0.00086843i,0.0017507+0.010076i,0.00055441-0.00054965i,0.00011825-0.001564i,0.0011004+0.0013311i,-0.0027017-0.0014058i,-0.00087206+0.00081381i,-0.0019278+0.0015023i,0.002268+0.0011364i,0.009032+0.0018431i,0.0055516+0.032462i,-0.04214+0.066727i,-0.029602+0.06188i,-0.0065857+0.064798i,0.023574+0.052972i,0.022071+0.041811i,0.012301+0.027866i,-0.012787-0.0044898i,-0.037857+0.02331i,-0.025281+0.017921i,0.014915+0.012386i,-0.0060295+0.0099484i,-0.0045334+0.011639i,-0.010193+0.0076098i,-0.0045626-0.0013369i,0.011914+0.003924i,0.011585+0.0078012i,-0.018775+0.00055237i,-0.0020615-0.0034262i,-0.003406+0.0011548i,-0.0037774-0.001544i,-0.0027337-0.0033102i,0.0071814+0.0033992i,0.0022391-0.0069262i,-0.0045091+0.00087709i,0.0010311-0.0010475i,0.0015679-0.0057311i,-0.0035556+0.0001534i,0.00072074+0.00087321i,0.0021724-0.0019967i,0.018143+0.011061i,-0.0070508+0.0021256i,0.0016365-0.0038116i,-0.0033461-0.0025017i,0.0015439-0.0061143i,-0.0042708+0.0097756i,0.0033527-0.00037001i,0.00043813-0.0022202i,0.00079984-0.0024781i,-0.0017658-0.0028523i,0.0002586+0.0015092i,0.0034987+0.0010088i,0.0041508+0.0046478i,-0.0057069+0.0087442i,-0.015158+0.011127i,-0.011537+0.058006i,0.010759+0.00068662i,-0.029597-0.00065949i,-0.016761-0.012062i,0.017813+0.010559i,0.015855+0.022196i,-0.004961-0.00077661i
0.01405+0.011217i,0.035406+0.030566i,0.040369+0.010318i,0.033564+0.0055956i,0.042621+0.0010644i,0.013319-0.032616i,0.0039697-0.017012i,0.025801-0.015864i,0.017758+0.0017915i,0.0035406+0.00016703i,0.0042771-0.0013223i,0.0064463+0.00047235i,0.0048196-0.0012636i,0.0047734-0.0022056i,-0.0016322-0.0030958i,0.0021935-0.0039225i,-0.00062267-0.0065194i,-0.0023393-8.3041e-05i,-0.00094414+0.0019036i,-0.0011941-0.00068869i,-0.0018903+0.0014456i,0.00023827+0.0032603i,-0.00099294+0.0019137i,0.0053397-0.0051984i,0.0014622-0.00085493i,0.00041863-0.0017126i,0.00076358-0.0010267i,0.00015581-0.0010256i,0.0001077+3.4102e-05i,0.00099802+0.0011946i,-0.0021245+0.0030569i,-0.00077863+0.0019737i,0.00076273+0.00079537i,5.0584e-05+0.001296i,0.00015084+0.0011453i,0.0055961+0.0082693i,0.00020892-0.000548i,-0.00056634-0.0014662i,0.0016199+0.00095616i,-0.0027809-0.00053079i,-0.00058353+0.00079087i,-0.0013339+0.0019004i,0.00299+0.0007629i,0.0094415-0.0010273i,0.010382+0.028688i,-0.02608+0.069752i,-0.017798+0.066601i,0.0029447+0.064224i,0.029783+0.039948i,0.028233+0.034104i,0.012225+0.029468i,-0.016576+0.0020943i,-0.034538+0.033541i,-0.024071+0.015667i,0.014247+0.0062345i,-0.0025758+0.011883i,0.00087603+0.012002i,-0.0084143+0.0098258i,-0.0055232+0.0019578i,0.01215-0.001266i,0.013893+0.00303i,-0.018543+0.00684i,-0.0022801-0.0018815i,-0.0021642+0.001371i,-0.0027086+0.00019522i,-0.0040466-0.0012807i,0.0068129+0.00046527i,0.00035041-0.0063585i,-0.0023294+0.0031474i,0.0021489-0.0017083i,-0.00097458-0.0059979i,-0.0029616+0.0013266i,0.00221+0.00010731i,0.0017897-0.0023471i,0.020191+0.0023386i,-0.0044477+0.0047267i,0.00037887-0.0051365i,-0.002652-0.0019614i,-0.0010314-0.0067285i,-0.000429+0.0086552i,0.0042197-0.0024169i,0.00077364-0.00091803i,0.00095241-0.0017047i,-0.0012468-0.0017439i,0.00039945+0.0020014i,0.0021274-0.00025168i,0.0054614+0.0023794i,-0.0038918+0.0090154i,-0.011158+0.015851i,-0.0032147+0.057158i,0.012276-0.010049i,-0.026112+0.0016534i,-0.023285-0.0090243i,0.018434+0.0059204i,0.020149+0.016015i,-0.0059034-0.0011224i
0.015651+0.0086565i,0.039288+0.025018i,0.041493+0.0026294i,0.033258-0.0018292i,0.042526-0.0076007i,0.0066969-0.034111i,0.0011289-0.016291i,0.022238-0.020138i,0.017971-0.0021535i,0.0029921-0.00023549i,0.0042182-0.0017178i,0.0066141-0.00093777i,0.0050765-0.0017773i,0.003705-0.0031095i,-0.002167-0.0022566i,0.0016387-0.0032275i,-0.0016167-0.0057339i,-0.0019642+0.00062649i,-0.00052832+0.0019356i,-0.0015967-6.9544e-05i,-0.0013062+0.0018669i,0.0015191+0.0026938i,-0.00035904+0.0022784i,0.0020758-0.0059787i,0.0012087-0.0010482i,-0.00021495-0.0016404i,0.000397-0.0012031i,0.00029374-0.0010562i,5.2472e-05+0.00012393i,0.001458+0.00059339i,-0.00051976+0.0033946i,0.0002052+0.0019457i,0.00083858+0.00064095i,0.00071925+0.0011269i,0.000608+0.0006301i,0.0068944+0.0051553i,4.9658e-05-0.00043011i,-0.00093633-0.00087232i,0.0016024+0.00026865i,-0.0027593+0.000238i,-0.00042355+0.00082282i,-0.00052638+0.0019186i,0.0033524+0.00025405i,0.0088233-0.0035796i,0.013939+0.024528i,-0.011436+0.068487i,-0.0040168+0.066963i,0.012953+0.062001i,0.031963+0.02804i,0.032034+0.026105i,0.015463+0.031278i,-0.015712+0.010585i,-0.02502+0.043238i,-0.025172+0.015986i,0.0122+0.0028417i,0.0013039+0.01178i,0.0047539+0.010038i,-0.0058169+0.012358i,-0.0046023+0.0041785i,0.0098178-0.0067708i,0.013853-0.0025609i,-0.015579+0.011592i,-0.0015034-0.0007151i,-0.0013724+0.0011997i,-0.0015572+0.00053792i,-0.0034405+0.0016692i,0.0053713-0.0010089i,-0.0016528-0.0053636i,0.000137+0.0037409i,0.0021986-0.0031961i,-0.0031515-0.0048727i,-0.0023023+0.0016133i,0.0024094-0.0014013i,0.001636-0.0026596i,0.017481-0.0066433i,-0.0017085+0.0053287i,-0.0015732-0.005275i,-0.0028776-0.0014447i,-0.0033583-0.0057803i,0.0019547+0.0069822i,0.0028612-0.0040488i,0.0025338-0.0011933i,0.0014566-0.0031706i,-0.00042165-0.0022344i,0.00086425+0.0037762i,0.00078464+0.00028543i,0.0053913+0.00050637i,-0.002496+0.0085609i,-0.0049887+0.018181i,0.0048926+0.055223i,0.0060629-0.018915i,-0.024364+0.00053198i,-0.029198-0.0031566i,0.016655+6.157e-05i,0.021679+0.010201i,-0.0068282-0.00025519i
0.01705+0.0057642i,0.041987+0.018446i,0.040205-0.005934i,0.030853-0.0096519i,0.040715-0.016847i,6.797e-05-0.033918i,-0.00096108-0.015596i,0.017983-0.023835i,0.016932-0.0058535i,0.0025073+4.5708e-05i,0.0036433-0.002344i,0.0064297-0.0029228i,0.0049684-0.0030649i,0.0023963-0.0036193i,-0.0025492-0.001215i,0.0015096-0.0029121i,-0.0026553-0.0049611i,-0.0018901+0.0012373i,0.00022009+0.0018586i,-0.0018994+0.00063512i,-0.00087993+0.0020161i,0.0022744+0.0017364i,0.00027116+0.0022862i,-0.001112-0.0053059i,0.00061046-0.0017992i,-0.00079292-0.0011261i,-0.00017276-0.0012073i,-0.00022901-0.00089218i,0.0002719+0.00017394i,0.0013233-5.908e-05i,0.0010088+0.0031476i,0.00078554+0.0016111i,0.00089165+0.00037769i,0.0012261+0.00088289i,0.00045941+7.3847e-06i,0.0066237+0.0031668i,-0.00016983-0.00036424i,-0.0010955-0.00043891i,0.0014164-6.1933e-05i,-0.0021246+0.0008184i,-0.00028869+0.00089747i,-4.2256e-06+0.0016443i,0.003631-0.00072555i,0.0072197-0.0064794i,0.016461+0.020522i,0.0011556+0.064918i,0.0081165+0.062832i,0.022732+0.05795i,0.030819+0.017946i,0.033807+0.019065i,0.021413+0.031005i,-0.0087781+0.016513i,-0.011979+0.047536i,-0.025484+0.019615i,0.010258+0.00098791i,0.0043743+0.010177i,0.0069742+0.0068253i,-0.0016778+0.013385i,-0.0038031+0.0056078i,0.0036121-0.0095686i,0.011023-0.0073052i,-0.011939+0.014994i,-0.00041889-0.0012618i,-0.001039+0.000835i,-0.0012206+0.00032993i,-0.00091263+0.0030194i,0.004191-0.0012101i,-0.0025445-0.0043154i,0.0022116+0.0033038i,0.0010925-0.0048706i,-0.0043956-0.0029678i,-0.0013495+0.002117i,0.0015344-0.0026397i,0.0012613-0.0035359i,0.011551-0.011468i,0.00055716+0.0049539i,-0.0030436-0.004647i,-0.0024697-0.0011833i,-0.0048842-0.0044297i,0.0034248+0.0051106i,0.001606-0.0054862i,0.0031017-0.0029323i,-9.7354e-05-0.0040296i,-0.0012352-0.0030834i,0.0035135+0.0021272i,0.00067682+0.0019901i,0.0043422-0.0013554i,-0.0019207+0.0083578i,0.0004746+0.017062i,0.012918+0.052989i,-0.0027116-0.023446i,-0.026803-0.00071138i,-0.031233+0.0052261i,0.011474-0.0036065i,0.021791+0.0038923i,-0.0064205+0.00032151i
0.018098+0.00197i,0.044227+0.012542i,0.036706-0.013015i,0.02562-0.015598i,0.035996-0.025332i,-0.0058216-0.032209i,-0.0025757-0.014996i,0.012964-0.026248i,0.015833-0.0092889i,0.0029316+0.00055498i,0.0031703-0.0025587i,0.0050587-0.0047233i,0.0041432-0.0042307i,0.0013832-0.0036079i,-0.002307-0.00024246i,0.0013538-0.0026922i,-0.0041789-0.0036097i,-0.0013553+0.0019356i,0.00069099+0.0011715i,-0.0016892+0.0017697i,-0.00032541+0.0023736i,0.0023478+0.0004949i,0.00091775+0.002141i,-0.003103-0.0032458i,-0.00063794-0.0016092i,-0.00089052-0.00060298i,-0.00057737-0.0010642i,-0.00064206-0.00063501i,0.00030907-0.00010475i,0.0010841-0.00043821i,0.0023418+0.0022241i,0.0012161+0.0011589i,0.00090643+7.4533e-05i,0.0016321-5.9699e-05i,0.00012713+0.00011187i,0.0061774+0.0016064i,-0.00027077-0.00020003i,-0.0012062+1.027e-05i,0.0012539-0.00036287i,-0.0014167+0.0010773i,-0.00012221+0.00091206i,0.00035323+0.0014502i,0.0032288-0.002017i,0.0035591-0.0073635i,0.018141+0.016276i,0.012152+0.058877i,0.016779+0.05724i,0.031776+0.051961i,0.028117+0.01083i,0.034301+0.012519i,0.02717+0.02763i,-0.0010675+0.016981i,0.00193+0.047343i,-0.023391+0.024424i,0.0095887+9.1283e-05i,0.0067616+0.0077545i,0.0075134+0.0039048i,0.0022544+0.012641i,-0.0022506+0.0073421i,-0.0023231-0.0080952i,0.0067153-0.0096393i,-0.0075144+0.016804i,-0.0014222-0.0025648i,-0.0013932+0.00069227i,-0.0011836+0.00049566i,0.0016014+0.0028263i,0.0034222-0.0015364i,-0.0034432-0.0035029i,0.0038102+0.0018921i,-0.0016279-0.0055341i,-0.0045474-0.00098352i,-7.6075e-06+0.001616i,0.0010016-0.0033061i,0.00018438-0.0047905i,0.0062076-0.013498i,0.0022083+0.0039121i,-0.0043134-0.0036767i,-0.00331-0.0012319i,-0.0058678-0.0024425i,0.0038215+0.0038449i,-0.000287-0.0063689i,0.002995-0.0045885i,-0.0012438-0.003308i,-0.0019939-0.0030142i,0.0042156+0.0014649i,0.0017705+0.0028168i,0.0034506-0.0016463i,-0.0013699+0.0091323i,0.0046413+0.01424i,0.021319+0.049406i,-0.012649-0.025105i,-0.030676+0.0013714i,-0.028449+0.01529i,0.0068052-0.0034259i,0.018807-0.0011451i,-0.0059137-0.0009069i
0.017994-0.0023944i,0.046359+0.0053596i,0.032618-0.018569i,0.020377-0.018621i,0.029837-0.03192i,-0.010527-0.029856i,-0.0038394-0.014836i,0.0082081-0.027744i,0.013844-0.012822i,0.0038415+0.00024504i,0.0030847-0.0031099i,0.0032117-0.0054994i,0.002965-0.0054535i,0.00061522-0.0034643i,-0.0018518+0.00033542i,0.0013986-0.0024975i,-0.0046258-0.0015312i,-0.00054639+0.0018497i,0.0005661+0.00058215i,-0.00085953+0.002323i,0.00044928+0.0023303i,0.0019702-0.00038537i,0.0016038+0.0017035i,-0.0039122-0.00062196i,-0.0010397-0.00083767i,-0.0008779-0.00028076i,-0.00092516-0.00090105i,-0.00053359-0.00052168i,3.5011e-05-6.1931e-05i,0.0006706-0.00075411i,0.002928+0.00070652i,0.001467+0.00063691i,0.00085364-0.00017763i,0.0012554-0.00023601i,0.00019631+0.00044383i,0.0051507-0.00073647i,-0.00023888+3.0458e-05i,-0.0012287+0.00055901i,0.00096089-0.00084079i,-0.00078182+0.0012059i,8.967e-05+0.00077323i,0.00067704+0.001166i,0.0022465-0.0028343i,0.0010661-0.0063222i,0.019081+0.011988i,0.019869+0.051082i,0.023756+0.051907i,0.038937+0.044099i,0.024999+0.0053158i,0.033825+0.0079767i,0.031996+0.023384i,0.0052991+0.015705i,0.014379+0.04189i,-0.019073+0.028982i,0.0091332-0.0014811i,0.0082672+0.0044209i,0.0077351+0.0015773i,0.0055609+0.010282i,0.00047669+0.0077821i,-0.005563-0.0045938i,0.002486-0.0098662i,-0.0030282+0.017127i,-0.002916-0.0022335i,-0.002401+0.001767i,-0.0010133+0.0007106i,0.0031961+0.0014736i,0.002798-0.0009054i,-0.0040012-0.0022732i,0.0043851-0.00046171i,-0.0038711-0.0039036i,-0.0039593+0.00045436i,0.00023952+0.00050662i,0.00023923-0.0042593i,-0.0018198-0.004957i,0.00093118-0.013593i,0.0035226+0.0022012i,-0.0056572-0.0020955i,-0.0037756+0.00017311i,-0.0058762-0.00020477i,0.0043757+0.0031482i,-0.0033386-0.0063521i,0.0020155-0.0070467i,-0.0016811-0.0027858i,-0.0026597-0.0033573i,0.0049522+0.00070767i,0.0034252+0.003012i,0.002254-0.0012973i,0.00016413+0.0098082i,0.0067855+0.011106i,0.029363+0.043929i,-0.023594-0.021902i,-0.033574+0.0049574i,-0.020756+0.019039i,0.0045357-0.0020032i,0.01673-0.0040784i,-0.0083379-0.0016212i
0.016373-0.0064215i,0.04679-0.0031224i,0.028171-0.023125i,0.015949-0.020419i,0.02284-0.03706i,-0.015026-0.027316i,-0.0055338-0.015464i,0.0033835-0.028748i,0.010749-0.015727i,0.0044317-0.00057238i,0.0027392-0.0040295i,0.001565-0.0055698i,0.0011321-0.0062115i,-3.6238e-05-0.0033291i,-0.0015311+0.00058148i,0.0015915-0.002733i,-0.0040972-9.069e-05i,-0.0001159+0.0013755i,0.0004804+0.00043349i,-0.0001278+0.0025254i,0.0010667+0.0021305i,0.0014271-0.00080261i,0.0020007+0.00097284i,-0.0029665+0.0019442i,-0.00099585-0.00021674i,-0.00081041+9.8066e-05i,-0.0012054-0.00054784i,-0.0010961+0.0002624i,4.4835e-05+5.1196e-05i,5.7077e-05-0.00083249i,0.0028223-0.00072247i,0.0016373+0.00021441i,0.00072798-0.00042812i,0.001241-0.00075344i,0.00054559+0.0005467i,0.0020642-0.0054605i,-3.7733e-05+7.67e-05i,-0.00097857+0.00068216i,0.00014095-0.0009677i,-5.137e-05+0.0011042i,0.0002186+0.00087875i,0.00086236+0.00087453i,0.00089019-0.0028373i,-3.6276e-05-0.0046523i,0.01924+0.0085113i,0.024334+0.044709i,0.030234+0.046356i,0.043464+0.036762i,0.021016+0.00081877i,0.034831+0.0043261i,0.036029+0.018175i,0.011408+0.011883i,0.023746+0.033166i,-0.012347+0.032275i,0.0080213-0.0029117i,0.0080825+4.2255e-05i,0.0077108-0.0012107i,0.0072476+0.0070854i,0.0022937+0.006906i,-0.0070315-0.00026241i,-0.0010918-0.008731i,0.0011731+0.015064i,-0.0038517-0.00067863i,-0.0021157+0.0040336i,-0.00089517+0.00098037i,0.0040076-0.00096696i,0.003845+0.00063479i,-0.0035873-0.00097838i,0.0037657-0.001411i,-0.0045511-0.0021294i,-0.0023593+0.00055127i,-3.086e-05+0.00026236i,-0.002126-0.0048543i,-0.0035039-0.0037236i,-0.0033946-0.012743i,0.0037812+0.00015828i,-0.0059081+0.00017363i,-0.0029214+0.0011621i,-0.0050112+0.0015782i,0.0054901+0.0024147i,-0.005929-0.0042884i,-0.0011313-0.0089864i,-0.0023325-0.0022595i,-0.0045913-0.0031909i,0.0056236-0.0015244i,0.0056352+0.0021905i,0.0025988-0.0009303i,0.0024244+0.010413i,0.0072113+0.0077807i,0.036587+0.03635i,-0.030747-0.012939i,-0.036311+0.011028i,-0.014814+0.020781i,0.0030164-0.0001222i,0.01212-0.0075181i,-0.0098417-0.00067977i
