-0.030784-0.040246i,-0.021973-0.01868i,-0.012965-0.035751i,-0.029839-0.02014i,-0.022232-7.1297e-05i,-0.013814-0.0056963i,-0.055644-0.058454i,-0.047653-0.017481i,-0.038005-0.013462i,0.010157+0.011714i,-0.0077246+0.005444i,-0.019694+0.019121i,0.0025677+0.011425i,-0.0062066-0.0031803i,0.0002092+0.0011303i,-0.0017742+0.030064i,0.027075+0.027104i,0.0025477-0.0019658i,-0.0021705-0.0064898i,0.0079197+0.00265i,0.0027577+0.0012547i,0.00013884+0.0038518i,-0.0003573+0.00014387i,-0.037866-0.011262i,-0.00010828-0.0077324i,0.0013084+0.002222i,0.0056185+0.001499i,0.0020678+0.00042691i,0.0010916-0.00070217i,-0.00052933-0.0025564i,0.0014812-0.0027907i,-0.0027097-0.0058442i,-0.00044591-0.0045522i,0.0029386-0.00084968i,0.0045301-0.002793i,0.002194+0.029973i,0.003925-0.0034668i,0.0030005-0.0016942i,0.0085239-0.0013504i,-0.0048287-0.0025574i,-0.00011387+0.0010385i,0.009262+2.4418e-05i,0.0040706-0.0021546i,-0.0015302+0.008694i,-0.018118-0.0075046i,-0.019051+0.015115i,-0.003961-0.060896i,-0.0053048-0.027151i,-0.026524-0.032595i,-0.011358-0.02668i,0.054305-0.021009i,0.016179-0.042957i,0.022529-0.049165i,0.0050254-0.055324i,0.02606-0.021351i,0.0083579+0.0059991i,0.025057-0.034375i,-0.0081472-0.006249i,0.0038334-0.0047814i,-0.0050096-0.0072579i,-0.0018987-0.033256i,-0.018308+0.029414i,0.0084068-0.012219i,-0.0089951-0.0035489i,-0.0039891-0.0013367i,0.00054428-0.013037i,-0.011228+0.0046544i,0.0027296+0.010078i,-0.0055266+0.026752i,0.0048861+0.0027818i,-0.0053913-0.0017268i,-0.0019274-0.0020554i,-0.012255-0.0074924i,-0.00067504-0.0045632i,-0.035897+0.0010432i,0.0009239-0.010621i,-0.0082813+2.7387e-05i,-0.0068607-0.0025394i,0.0051241+0.0012951i,-0.0083473-0.00039483i,0.0019854-6.5787e-05i,0.0038357+0.0069976i,0.0043821+0.00056014i,-0.008619-0.012965i,0.0027399+0.0092998i,-0.015242+0.0051613i,0.006608-2.1156e-05i,-0.022165+0.00049846i,-0.017653+0.0057227i,-0.0091891-0.065823i,0.0076643-0.012739i,-0.04983-0.02227i,-0.021346+0.00018414i,0.017011+0.011224i,-0.022807+0.014681i,-0.018894-0.0053628i
0.029557+0.030893i,0.013754+0.015497i,0.017157+0.02471i,0.0064207+0.019083i,0.0083745+0.0068655i,0.0044895-0.00097827i,0.015268+0.01122i,0.016215-0.0023969i,0.0076208-0.0078417i,0.0010608+0.0041829i,0.0022056-0.0026538i,0.00052506-0.0052739i,-0.0018239+0.00076279i,0.001201-0.0015048i,0.0018968-0.00067013i,0.0050265-0.0029584i,0.0052892-0.0066392i,0.00054936+0.00043724i,-0.0035521+0.00052157i,2.7592e-05+0.0006733i,-0.00089361-0.0010891i,-0.0025504-0.00099554i,-0.0015681+0.00078666i,0.0064426+0.0098371i,-0.00086372+0.0018931i,0.00085461+0.0015804i,0.0012206+0.0011286i,-0.0017722+0.0026909i,-0.0010492+0.00024125i,-0.00118+0.00068113i,-0.00094899-0.0010801i,-0.0016067-0.00085067i,-0.00011518+0.00030366i,0.00050595+0.00065997i,4.0318e-06-0.00078226i,-0.0092856+0.010339i,0.0016004+7.3437e-05i,0.00071738+0.0008476i,0.00072982+0.0023948i,0.000949-0.0015697i,-5.5879e-06-0.0005299i,-0.0009316-0.00039141i,0.00021715+0.0012111i,0.00052952+0.0014325i,0.019845+0.01404i,-0.022765+0.013204i,-0.011228+0.016959i,-0.02238+0.011398i,-0.003611+0.038436i,-0.020059+0.017747i,0.0017585-0.0048306i,-0.011786-0.018017i,-0.01898-0.00045929i,-0.0066864+0.015544i,0.017518+0.020665i,-0.00028477+0.0023182i,-0.0036616+0.00093408i,-0.012338-0.0043963i,0.011347+0.0011506i,0.011136+0.0098893i,-0.0010447+0.0060207i,-0.0052451-0.0073659i,0.0060035-0.0028945i,-0.003023-0.0041707i,0.0036232-0.0085126i,0.0089155-0.0025634i,-0.0014166+0.010493i,0.01281-0.0056699i,0.0032688-0.007949i,0.0032238-0.0083235i,0.0024691+0.00059989i,-0.0022992-0.0056848i,-0.0036298-0.001546i,0.0026246-0.0002367i,-0.0088668+0.036198i,-0.0073445-0.0054995i,0.00026858+0.0011081i,-0.0010392-0.0071036i,0.0033385-0.00041829i,-0.017907-0.0061582i,-0.0017041-0.0030967i,0.0030475-0.002203i,0.003599-0.0016409i,-0.0030458-0.0070994i,0.00014089+0.0073335i,0.00018489+0.00349i,-0.003283+0.0048754i,-0.0074771+0.0013713i,-0.0063907-0.00049032i,-0.00776+0.026284i,-0.0020071+0.01392i,-0.027036-0.010024i,-0.0018941-0.0029666i,0.013117+0.017111i,-0.00057642+0.018749i,-0.00057742-0.0043436i
0.033732+0.024363i,0.016574+0.011736i,0.021359+0.021722i,0.0097277+0.018618i,0.010324+0.0056218i,0.0046175-0.0023754i,0.0151+0.0076706i,0.0155-0.0052094i,0.0058106-0.0094628i,0.0022241+0.0033518i,0.0018759-0.0027852i,-0.0014355-0.0035239i,-0.0012949+0.0014371i,0.00089641-0.0004167i,0.0017089-0.00097367i,0.0036663-0.0030494i,0.0031635-0.0070857i,0.00099565+0.00022668i,-0.0032536+0.0010059i,0.00036316+0.00012876i,-0.00097531-0.0011804i,-0.0025837-0.00046805i,-0.0012323+0.00092733i,0.011403+0.0062277i,-0.00052957+0.0028423i,0.0016511+0.0010316i,0.0011509+0.00016877i,-0.00061408+0.0029785i,-0.0014781+0.00069063i,-0.00092047+0.001178i,-0.0014147-0.00048852i,-0.0020659-0.00077025i,-0.00024344+0.00021166i,0.00065543+0.00042212i,-0.00083006+7.1833e-06i,-0.0052117+0.012138i,0.0012324-0.00056749i,0.00093062+0.00070167i,0.0012979+0.0017976i,0.00028551-0.0014548i,-0.00016494-0.00082765i,-0.001248+7.9119e-05i,0.00013776+0.0013474i,0.00032683+0.0015831i,0.023089+0.010645i,-0.01825+0.016324i,-0.0099368+0.019656i,-0.017578+0.013058i,0.0081309+0.034365i,-0.012677+0.017894i,-0.0051041-0.0077428i,-0.020116-0.01866i,-0.022004-0.00037633i,8.2191e-05+0.010489i,0.021032+0.013647i,-0.00082707+0.0021421i,-0.0024756+0.0045844i,-0.012296-8.2459e-05i,0.0097562-0.0030007i,0.013075+0.0070598i,0.0024873+0.0089511i,-0.0094595-0.0055129i,0.0019949-0.004631i,-0.003312-0.0021634i,-0.0015177-0.0079638i,0.0071329-0.0053425i,0.0034729+0.0085065i,0.0080033-0.0087178i,-0.0015093-0.0073327i,-0.00084602-0.0057333i,0.0037322-0.00017417i,-0.0037566-0.0048512i,-0.0020769+0.00097955i,0.0031023-0.00076963i,0.0097299+0.034299i,-0.0089796-0.0033072i,0.0010775+0.00035066i,-0.0041429-0.0058701i,0.0040274-0.0019691i,-0.018367+0.0023163i,-0.0020638-0.0023853i,0.0018159-0.0023077i,0.0035625-0.0033222i,-0.0049189-0.005544i,0.0023967+0.0038135i,0.0014698+0.0027066i,-0.00044389+0.0062831i,-0.0058167+0.0041287i,-0.0070033+0.0006152i,-0.001995+0.022759i,0.00041417+0.015268i,-0.028909-0.0038224i,-0.0036191-0.0063126i,0.015538+0.014794i,0.003003+0.019734i,-0.002986-0.0047142i
0.036183+0.017293i,0.017657+0.0068412i,0.025999+0.016486i,0.014342+0.016023i,0.012523+0.0036999i,0.0042958-0.0040458i,0.014207+0.0042883i,0.014234-0.0082779i,0.0039125-0.010147i,0.0025235+0.0024491i,0.0012585-0.0035796i,-0.0016074-0.0015411i,-0.00070246+0.001473i,0.0016202-0.00034314i,0.0014701-0.0012277i,0.002611-0.0031313i,0.0012128-0.0073187i,0.00093782-0.00031661i,-0.0028687+0.0019026i,8.5458e-05-0.00057048i,-0.0017334-0.0015692i,-0.0023124+6.063e-05i,-0.0010099+0.0010449i,0.012335-0.00014196i,0.00072902+0.0032122i,0.001695+8.1508e-05i,0.0005102-0.00019203i,0.00054832+0.0026045i,-0.0011327+0.001504i,-0.00047509+0.0015391i,-0.0015749+0.00033881i,-0.0030989+0.00061497i,-0.00019049+0.00022791i,0.00068688+0.00012113i,-0.00075862+0.00093204i,-0.0011454+0.012457i,0.00078732-0.00061348i,0.0011372+0.00017902i,0.0014854+0.0012757i,-0.00034662-0.0013548i,-0.00061388-0.0010721i,-0.0012149+0.00038747i,0.00025895+0.0018747i,0.00069347+0.0018527i,0.026539+0.0060204i,-0.013621+0.018484i,-0.0067761+0.022625i,-0.012136+0.01267i,0.018543+0.026683i,-0.0061699+0.018021i,-0.012237-0.0064877i,-0.027154-0.015365i,-0.024277+0.0034154i,0.0031651+0.0035053i,0.021508+0.006221i,-0.001283+0.0020584i,-0.00093071+0.0048693i,-0.012233+0.0029041i,0.0060029-0.0072491i,0.014312+0.0030619i,0.0067724+0.0086809i,-0.012292-0.0019441i,0.00010541-0.0030672i,-0.0033476-0.00048721i,-0.0039748-0.0051597i,0.0048079-0.0067089i,0.0060849+0.0074329i,0.0049283-0.0089128i,-0.0049482-0.0040561i,-0.00094259-0.0027552i,0.004201-0.0024005i,-0.0060247-0.003137i,-4.068e-05+0.0010091i,0.002581-0.0019123i,0.023222+0.023785i,-0.010133+0.00040013i,0.0015333-0.00026884i,-0.0039694-0.0038237i,0.0041895-0.0038886i,-0.01388+0.009487i,-0.0021068-0.0016039i,0.00076877-0.0024504i,0.0017984-0.0039169i,-0.0064825-0.0030743i,0.0019899+0.0025774i,0.0022597+0.001595i,0.0024826+0.0056752i,-0.0036396+0.0048831i,-0.0072527+0.0023792i,0.00050139+0.018919i,0.0072655+0.014583i,-0.028622+0.0004495i,-0.0062455-0.0085902i,0.018332+0.010132i,0.0080243+0.02005i,-0.0050058-0.0039241i
0.036737+0.010835i,0.016735+0.0032142i,0.027763+0.0096485i,0.017308+0.011042i,0.013993+0.00055398i,0.0031302-0.0054652i,0.012718+0.0022215i,0.011935-0.01093i,0.0022538-0.010656i,0.0026141+0.0019944i,-3.6973e-05-0.0033926i,-0.0009109-0.00062664i,-0.00053941+0.0015832i,0.0016782-0.00046639i,0.001052-0.0014184i,0.0016397-0.0027473i,-0.00080319-0.006445i,0.00082013-0.0004771i,-0.001601+0.0025337i,-0.00054887-0.00076354i,-0.0023353-0.00068604i,-0.0023195+0.00057921i,-0.00079114+0.0011864i,0.010054-0.0049785i,0.0018695+0.0029192i,0.0012494-0.00043946i,0.00012729-3.4496e-05i,0.001063+0.0019357i,-0.00042295+0.0016451i,0.00019809+0.0016839i,-0.0012723+0.0011635i,-0.0023994+0.0022064i,-0.00013273+0.00020341i,0.00049062-0.00013373i,-4.5108e-05+0.0013306i,0.0024936+0.01158i,0.00058163-0.00066968i,0.00091676-0.00036872i,0.0014015+0.0010297i,-0.00086643-0.00093561i,-0.0012588-0.00086763i,-0.0013822+0.0006168i,0.00086256+0.0022785i,0.0012898+0.0017816i,0.028413-0.0005742i,-0.0083334+0.019809i,-0.0020503+0.024773i,-0.0097991+0.009955i,0.026039+0.014687i,0.00041561+0.01422i,-0.018346-0.0015589i,-0.033836-0.0089323i,-0.024352+0.0088833i,0.0018149-0.003053i,0.019979-0.00064172i,-0.0016866+0.0028766i,0.00033241+0.0064105i,-0.011538+0.0068178i,-0.00023608-0.0073901i,0.014465-0.0017829i,0.010346+0.0062062i,-0.013312+0.0026779i,-0.00076835-0.0021688i,-0.0024883+0.00093843i,-0.0048667-0.0016865i,0.0025408-0.0074982i,0.0085454+0.00385i,0.0023908-0.0091068i,-0.0053505+0.00051179i,5.3193e-05-0.0016714i,0.0028148-0.0045609i,-0.0064454+0.00013078i,0.00093014+0.00062493i,0.0017897-0.0026555i,0.029221+0.0094071i,-0.0088321+0.0049801i,0.0016892-0.0013314i,-0.0041063-0.0022905i,0.0025068-0.0062255i,-0.0074777+0.01182i,-0.0017449-0.00091899i,-7.3921e-05-0.0016358i,0.00042689-0.0037152i,-0.0060778+8.4506e-05i,0.0017264+0.0020247i,0.0019872+0.00040958i,0.004857+0.0042662i,-0.00166+0.0042019i,-0.0071727+0.0040963i,0.0017354+0.017582i,0.015168+0.0078095i,-0.02672+0.0054428i,-0.011138-0.0094644i,0.017435+0.0050937i,0.013338+0.017933i,-0.0052003-0.0030557i
0.036984+0.0049999i,0.016287+0.0010512i,0.027755+0.0038847i,0.018461+0.0059104i,0.014259-0.0028295i,0.0018031-0.0063334i,0.011824+0.0013008i,0.0092868-0.012698i,0.00067151-0.011079i,0.0027787+0.0014927i,-0.00090266-0.0026967i,-0.00026484-0.00056569i,-0.00033713+0.0019653i,0.0018013-0.00079861i,0.00067029-0.0013297i,0.0014306-0.0017889i,-0.0018386-0.0054116i,0.00048152-0.00059463i,-0.00058497+0.002225i,-0.0011023-0.00057494i,-0.0024813-9.2081e-05i,-0.0018331+0.0011995i,-0.00048242+0.001331i,0.0064298-0.0076399i,0.0027744+0.0022871i,0.00093658-0.00070646i,-5.5981e-05-5.5146e-06i,0.0013238+0.001408i,-7.0998e-06+0.0016522i,0.00095657+0.0014577i,-0.00052651+0.0016329i,-0.0013435+0.0030715i,-0.0002672+0.00018678i,0.00032646+1.7777e-05i,0.00072098+0.00152i,0.0052856+0.0098288i,0.00026994-0.00068911i,0.00051952-0.00061521i,0.0016946+0.00085499i,-0.00098546-0.00034348i,-0.001603-0.00053582i,-0.0014196+0.0010162i,0.0016851+0.0022502i,0.0013814+0.0011613i,0.027828-0.0076042i,-0.0023794+0.019535i,0.0041605+0.025062i,-0.0091215+0.0094173i,0.026829+0.0016367i,0.0027965+0.0087971i,-0.020386+0.0067429i,-0.036399+0.0013448i,-0.022187+0.015762i,-0.0028125-0.0067959i,0.015275-0.0054875i,-0.0011163+0.0038726i,0.0038192+0.0062287i,-0.0091325+0.010316i,-0.0035404-0.0040853i,0.011975-0.0079125i,0.013047+0.0021906i,-0.012662+0.0068828i,-0.00077261-0.00041426i,-0.0014844+0.0015704i,-0.0030567+0.00050966i,-0.00056722-0.0071109i,0.0086856+0.00043369i,-0.0004316-0.008489i,-0.0032457+0.0034643i,0.0010217-0.0018709i,0.00060401-0.0054653i,-0.0047888+0.0026838i,0.0020907-0.00030936i,0.0011364-0.0026855i,0.028024-0.0039873i,-0.0047781+0.0075881i,0.0010449-0.0024318i,-0.0035203-0.0018483i,-6.6336e-05-0.0070067i,-0.0028559+0.011339i,-0.0016359-0.0005125i,-9.0078e-06-0.0003557i,0.0001544-0.0031423i,-0.0039374+0.0019408i,0.0020579+0.0018217i,0.0010187-0.00026386i,0.0058564+0.0016454i,-0.001419+0.0026118i,-0.0062471+0.0063694i,0.0039475+0.016819i,0.016579-0.0040858i,-0.022143+0.0066095i,-0.016045-0.0076261i,0.016481+0.0011492i,0.017309+0.012526i,-0.0060348-0.003341i
0.03674-0.00098906i,0.016307-0.001527i,0.027625-0.0017134i,0.018798+0.00065022i,0.014025-0.0059827i,0.00028986-0.0068948i,0.012163+0.00051504i,0.0067993-0.01393i,-0.00095645-0.011506i,0.002608+0.00095715i,-0.001001-0.0018945i,0.00012048-0.00068361i,0.00034727+0.0024297i,0.0016324-0.00097627i,0.00049011-0.0012845i,0.0020497-0.0011587i,-0.0025671-0.0050564i,0.0004136-0.00066796i,3.3932e-05+0.0017293i,-0.0014206-0.00013126i,-0.0020971+0.00055039i,-0.0010162+0.0013355i,-0.00013781+0.0013853i,0.0023243-0.0085154i,0.0036557+0.0013114i,0.00058005-0.00092813i,-0.00018562+1.2148e-05i,0.0014906+0.00097089i,0.00046795+0.0016264i,0.0013968+0.00081859i,0.00026399+0.001677i,2.3744e-05+0.0033771i,-0.00025787+0.00045244i,0.00047131-6.1088e-07i,0.0012712+0.001087i,0.0069951+0.0076903i,2.686e-05-0.00053242i,0.00022796-0.0006071i,0.0017267+0.00039705i,-0.00064528+4.8379e-05i,-0.0019238+1.2158e-05i,-0.0012549+0.0013267i,0.002409+0.0018709i,0.0013285+0.00096051i,0.025608-0.013977i,0.0028601+0.017285i,0.010009+0.022777i,-0.0081223+0.0099869i,0.023463-0.0091806i,0.0023446+0.0050736i,-0.017403+0.0151i,-0.033235+0.012325i,-0.016185+0.022808i,-0.0082424-0.0059515i,0.010798-0.0070446i,0.00010948+0.0043001i,0.006022+0.0037611i,-0.0054512+0.013286i,-0.0044668-0.001206i,0.0059728-0.013003i,0.012865-0.003446i,-0.010527+0.0099602i,0.00035228+0.00043728i,-0.0004698+0.0016156i,-0.0015048+0.00072214i,-0.0023684-0.0052302i,0.0072854-0.0020793i,-0.0022266-0.0066499i,-0.00024486+0.0044444i,0.0011984-0.0031832i,-0.0015798-0.0049923i,-0.0029592+0.0035418i,0.0019549-0.0020782i,0.00092876-0.0028087i,0.021625-0.014418i,-0.00082747+0.0077931i,-1.8445e-07-0.0026236i,-0.0038772-0.0010052i,-0.0029787-0.0063417i,0.00062057+0.010367i,-0.00098819-0.00028578i,0.0012957-0.00031701i,-9.5159e-05-0.0038074i,-0.0015959+0.0022711i,0.0023284+0.0017064i,0.00018645+0.00022066i,0.0052997-0.0002699i,-0.0022623+0.0016486i,-0.0040267+0.0079126i,0.00665+0.015416i,0.010718-0.013633i,-0.020351+0.0034876i,-0.02033-0.0030677i,0.013396-0.0034598i,0.017904+0.0072448i,-0.0068473-0.0026126i
0.035345-0.0068778i,0.015492-0.0044746i,0.025418-0.0083145i,0.016927-0.0054026i,0.013158-0.0095296i,-0.0013951-0.0069472i,0.01311-0.00092203i,0.0040689-0.015008i,-0.0028625-0.01154i,0.0023012+0.0011549i,-0.0012786-0.0015839i,5.5585e-05-0.0015184i,0.001175+0.0023868i,0.0014042-0.0013244i,0.0002877-0.0012024i,0.0028686-0.0014948i,-0.003767-0.0045683i,2.9753e-06-0.00086325i,0.00047618+0.001178i,-0.0016459+0.00038462i,-0.0020646+0.00077283i,-0.00035906+0.0010261i,0.00016328+0.0013409i,-0.0017428-0.0075292i,0.0039887-0.00055126i,8.1065e-05-0.00092385i,-0.00057457+0.00022318i,0.001484+0.00052985i,0.0010918+0.0013547i,0.0014259+0.00015105i,0.0010782+0.0013798i,0.0011559+0.0033194i,-0.00024589+0.0007036i,0.00052823-4.8065e-05i,0.0014251+0.00041408i,0.0080717+0.0056836i,-0.000167-0.00040083i,-7.0031e-05-0.00059395i,0.0018764+6.3362e-05i,-0.00021195+8.1435e-05i,-0.0019515+0.00080407i,-0.00093861+0.0017597i,0.0031209+0.0010746i,0.0012486+0.0010037i,0.021785-0.01963i,0.0068748+0.013731i,0.014378+0.01896i,-0.0055019+0.011094i,0.017338-0.017038i,0.0010924+0.0034633i,-0.011242+0.019963i,-0.025141+0.019269i,-0.0065853+0.025956i,-0.011184-0.0020047i,0.0074001-0.0070595i,0.001326+0.004012i,0.0058863+0.00051976i,-0.00072621+0.014175i,-0.0049232+0.0010732i,-0.0031074-0.013044i,0.009508-0.0076632i,-0.007811+0.012552i,0.0019493-0.00062889i,0.00029168+0.0013223i,-0.0010279+0.0001862i,-0.0025992-0.0035131i,0.0056237-0.0030195i,-0.0029366-0.0055827i,0.0020256+0.003674i,-0.00013875-0.0050446i,-0.0031885-0.0038105i,-0.0009759+0.0040394i,0.00054572-0.0032556i,0.0003609-0.0033463i,0.012405-0.019769i,0.0022781+0.0063849i,-0.00053893-0.0024386i,-0.0031258-0.00062656i,-0.0048977-0.0047512i,0.0031271+0.0087155i,-0.00029205-0.0009707i,0.0018666-0.001125i,-0.0014602-0.0037603i,-0.00026839+0.0014093i,0.0034611+0.001475i,0.00021849+0.0012274i,0.004658-0.0015376i,-0.0033842+0.0017976i,-0.0017959+0.0080202i,0.0094956+0.014355i,0.002357-0.019223i,-0.023551+0.0016i,-0.021549+0.0033172i,0.0074239-0.0054774i,0.017687+0.0026354i,-0.0065782-0.002435i
0.033232-0.012123i,0.014691-0.0065267i,0.021168-0.012801i,0.012438-0.0096111i,0.011048-0.012965i,-0.0027967-0.0064656i,0.014205-0.0031194i,0.0010856-0.015414i,-0.0045024-0.01135i,0.0028941+0.0015085i,-0.0015457-0.00079934i,-0.00090046-0.0017868i,0.0019897+0.0020985i,0.00094164-0.0014091i,0.00014598-0.001143i,0.0031802-0.0021231i,-0.0051635-0.003129i,-0.00033355-0.00060342i,0.00058145+0.00062686i,-0.0014878+0.0011525i,-0.0017998+0.0014524i,-0.00044092+0.00045804i,0.00046357+0.0012626i,-0.0044647-0.0047895i,0.0029931-0.0020812i,-0.00024892-0.00072172i,-0.0004715+0.00061907i,0.001425+0.00025063i,0.0012853+0.00064706i,0.0012501-0.0003456i,0.0016324+0.00075451i,0.0023446+0.0026488i,9.7162e-05+0.0011484i,0.00054541-0.00011492i,0.0010974+0.00038238i,0.0085816+0.0034562i,-0.00025848-0.00028468i,-0.00034729-0.00033699i,0.0019794-0.0004529i,0.00019837+5.2308e-05i,-0.0015687+0.0016204i,-0.00039147+0.0020483i,0.0032679-0.00016089i,0.0013225+0.0011485i,0.016541-0.023987i,0.009262+0.0092641i,0.017107+0.014837i,-0.0019719+0.010586i,0.010219-0.021145i,-0.00010486+0.0035306i,-0.0045629+0.021799i,-0.016725+0.021261i,0.0034082+0.024758i,-0.010902+0.0028077i,0.005667-0.0068063i,0.0025827+0.0033587i,0.0044689-0.0013895i,0.0043869+0.012871i,-0.0042812+0.0040103i,-0.0099438-0.0077355i,0.0055-0.0092376i,-0.0043228+0.014051i,0.001436-0.0026495i,0.0007683+0.00089221i,-0.0011956+0.00019104i,-0.002094-0.002385i,0.0043285-0.0038937i,-0.0042025-0.0046548i,0.0032867+0.0019086i,-0.003422-0.0055538i,-0.0038676-0.0021069i,0.0012468+0.0030108i,-0.00038976-0.0035974i,-0.00076095-0.003915i,0.0034181-0.020299i,0.0039652+0.0042048i,-0.0010802-0.0024942i,-0.0038112-0.00042354i,-0.0062058-0.0024919i,0.0045502+0.0071076i,-0.00059161-0.0021352i,0.0021422-0.0021607i,-0.0021768-0.0028424i,0.00046621+0.00045178i,0.0038915+0.00043458i,0.00096564+0.0017709i,0.0031885-0.002406i,-0.0042563+0.0029221i,-0.00016063+0.0074683i,0.013449+0.01242i,-0.0083152-0.020861i,-0.027481+0.003899i,-0.019149+0.0092811i,0.0032075-0.0031883i,0.015492-0.0020912i,-0.0068126-0.0036799i
0.03066-0.017301i,0.014146-0.0093313i,0.017432-0.015352i,0.0081239-0.010814i,0.0081275-0.015691i,-0.003802-0.005783i,0.01531-0.0066365i,-0.0018096-0.01521i,-0.0062583-0.011069i,0.0037959+0.0010433i,-0.0010593-0.00022569i,-0.0016341-0.00099199i,0.0026049+0.0013004i,0.00055394-0.0014574i,8.259e-05-0.0010992i,0.003296-0.002732i,-0.0058266-0.0012586i,-0.00026534-0.00061149i,0.00048743+0.00014769i,-0.00098238+0.0016i,-0.0013715+0.0017085i,-0.00064314+0.00038596i,0.00081115+0.0010746i,-0.0054771-0.001296i,0.0017932-0.0026625i,-0.00041083-0.000463i,-0.00010132+0.00068522i,0.0014611-9.505e-05i,0.0010144+0.00047315i,0.00090716-0.00072534i,0.0019122+1.0802e-05i,0.0028675+0.0017245i,0.00074798+0.0011804i,0.00071374-0.00013642i,0.0012547+0.00070841i,0.0083271+0.0013838i,-0.00047301-1.0376e-05i,-0.00034226-4.2437e-05i,0.0017354-0.0011545i,0.0006551-0.00018697i,-0.00081189+0.0020794i,0.00031667+0.001965i,0.002798-0.0011709i,0.0014134+0.0012456i,0.010726-0.0267i,0.00952+0.0047914i,0.018682+0.010903i,0.00056391+0.0087653i,0.0037494-0.022727i,-6.5077e-05+0.0054829i,0.0020235+0.021902i,-0.009575+0.021476i,0.011214+0.020047i,-0.0076442+0.0065365i,0.0042401-0.0072894i,0.0037257+0.001843i,0.0036276-0.0025419i,0.0084649+0.0091462i,-0.0017039+0.0052641i,-0.012152-0.0011672i,0.0018395-0.0094954i,-0.00036605+0.013777i,-0.00042918-0.0035524i,0.00032779+0.00048167i,-0.0011291+0.00073688i,-0.001707-0.0020536i,0.0030709-0.0034297i,-0.0048858-0.0029737i,0.0031201+0.00048641i,-0.0061449-0.0031739i,-0.0034203-0.0005523i,0.0018616+0.001021i,-0.0011624-0.0037934i,-0.0022861-0.0035138i,-0.0036335-0.01783i,0.0050017+0.001869i,-0.0019328-0.0023127i,-0.0038652+0.0010358i,-0.0058151+1.9392e-05i,0.0059051+0.0057968i,-0.0022675-0.0028141i,0.0017637-0.0036502i,-0.002521-0.0023697i,0.00037851-0.0011152i,0.0044168-0.00029496i,0.0019037+0.0017014i,0.0018693-0.0018219i,-0.0045407+0.0044463i,0.0011406+0.0066841i,0.017476+0.0084136i,-0.018412-0.017067i,-0.02996+0.0076868i,-0.014398+0.012049i,0.0023199-0.001255i,0.011434-0.004709i,-0.0094109-0.004071i
0.026842-0.022104i,0.012735-0.012701i,0.014201-0.017435i,0.0049803-0.010819i,0.0045856-0.017642i,-0.0046719-0.0050861i,0.015015-0.011836i,-0.0044627-0.014552i,-0.0082813-0.01046i,0.0044196+0.00011524i,-0.00046725-0.00022531i,-0.001813+0.0001081i,0.0026874+0.0003837i,0.00024156-0.0011972i,-6.1244e-05-0.00119i,0.0030042-0.0036644i,-0.0057898+0.00074267i,-0.00038813-0.0008055i,0.0003131+5.5455e-06i,-0.00041119+0.0017868i,-0.00094282+0.0020585i,-0.00081301+0.00049122i,0.001036+0.0007285i,-0.004331+0.0017861i,0.00087546-0.0027302i,-0.00050586-0.00015668i,0.0001303+0.00061488i,0.0012264-0.00053891i,0.001098+0.00036597i,0.00043867-0.00099111i,0.0019307-0.00079078i,0.0033163+0.00087153i,0.0012778+0.00089454i,0.00076446-0.00056781i,0.0020114+0.00049085i,0.0078849-0.00025834i,-0.00032383+0.00033754i,-0.00027603+0.00021101i,0.0010452-0.0015845i,0.0010159-0.00067141i,-8.6065e-05+0.0023534i,0.0010002+0.0017911i,0.0019777-0.00166i,0.0016801+0.0016595i,0.0049223-0.027679i,0.0081098+0.0019188i,0.019528+0.0072919i,0.0020293+0.0077286i,-0.0024814-0.023694i,0.0028836+0.0077219i,0.0081014+0.019489i,-0.0026121+0.019727i,0.016689+0.01305i,-0.0026154+0.007972i,0.0026897-0.0077077i,0.0037648-0.00082767i,0.0025922-0.0039373i,0.0095622+0.004094i,-8.8545e-05+0.004686i,-0.011615+0.0056643i,-0.0018715-0.008562i,0.002731+0.011584i,-0.0026116-0.0027975i,-0.00019054+0.00095025i,-0.00078231+0.0012495i,-0.0013791-0.0022885i,0.0031668-0.0021554i,-0.0043706-0.0016057i,0.0030355+0.00040225i,-0.0065821-2.4786e-05i,-0.0024191+0.00018305i,0.0014803-0.00023216i,-0.0030471-0.0038122i,-0.0032773-0.0023953i,-0.0091945-0.014326i,0.0048734-0.00074642i,-0.002637-0.0015265i,-0.0026576+0.0020817i,-0.0046919+0.0017581i,0.0076132+0.0043799i,-0.0039951-0.0015088i,0.00035967-0.0048627i,-0.0033725-0.0015522i,-0.0010044-0.0018956i,0.004897-0.0021897i,0.0027833+0.0013447i,0.0019176-0.0013968i,-0.0031182+0.0062198i,0.0019766+0.0054296i,0.020367+0.0027619i,-0.023537-0.0088721i,-0.031834+0.013264i,-0.010114+0.012939i,0.0015335+0.00059344i,0.0079309-0.0045881i,-0.011338-0.0028536i
