-0.023662-0.037839i,-0.012219-0.04986i,-0.018085-0.044027i,-0.030618-0.035169i,-0.029999-0.015957i,-0.050595-0.027424i,-0.057559-0.024588i,-0.044099-0.036948i,-0.027253-0.033557i,0.0086406+0.011825i,-0.0061617+0.01506i,-0.0046977+0.014278i,0.0093443+0.020458i,0.00024683+0.0044783i,0.0034899+0.0031944i,0.006809+0.017955i,0.026123+0.039839i,-0.0024913-0.0014957i,-0.0049586-0.0059512i,0.0065324+0.0012336i,-0.00033041-0.00092576i,-0.00060516+0.0010625i,0.00029051-0.00025298i,-0.030056-0.0029454i,-0.0022153-0.006542i,0.001463+0.00409i,0.0036024-0.0005725i,-0.00070459+0.0009208i,0.00056062-0.00046222i,-0.00095916-0.0026356i,-0.0019208-0.0059452i,-0.0043132-0.0044821i,-0.0024666-0.0047061i,0.0022904-0.00020607i,0.0020221-0.0031508i,0.00041048+0.027196i,0.0014721-0.0030837i,0.0025967+0.00078823i,0.0055209+0.0012063i,-0.010431-0.0033055i,-0.0033691+0.00039179i,0.0061788+0.00028076i,0.0055763+5.3466e-05i,-0.0031205+0.0049747i,0.001221-0.0090762i,-0.011727+0.018014i,0.035176-0.091039i,0.012148-0.070331i,-0.015673-0.059874i,-0.016171-0.05544i,0.039491-0.046181i,0.016652-0.062436i,0.034397-0.055704i,0.029117-0.060295i,0.015239-0.014507i,0.0044611+0.016493i,0.016782-0.026135i,-0.011692+0.0056051i,-0.0001994+0.0054i,-0.0048016-0.001557i,-0.002435-0.028827i,-0.024116+0.031582i,0.010304-0.011254i,-0.013226-0.0022856i,-0.00012434-0.0050134i,-0.0015246-0.016269i,-0.0073462+0.0042981i,0.005415+0.0068683i,-0.0076514+0.030754i,0.0050377+0.0063866i,-0.0053943-0.00042412i,-0.0033838-0.00054838i,-0.012811-0.0072895i,-0.00035934-0.0043351i,-0.034918-0.0097547i,-5.478e-05-0.010093i,-0.0094877-0.0018819i,-0.0069351-0.0025466i,0.0069594+0.0024944i,-0.0075737+0.0010823i,2.0185e-05+0.00047085i,0.0063482+0.010612i,0.0039487+0.0013067i,-0.0091041-0.0092414i,0.0032237+0.0082979i,-0.019507+0.0053773i,0.0088849+0.00088042i,-0.029404-0.003293i,-0.042269+0.0019451i,0.017153-0.091701i,-0.0021228-0.012624i,-0.054106-0.02213i,-0.022966-0.0002938i,0.017756+0.010853i,-0.024815+0.013355i,-0.017226-0.011658i
0.0083956+0.021477i,0.014275+0.050984i,0.02395+0.034515i,0.017208+0.02733i,0.024249+0.026743i,0.032209-0.014219i,0.017417-0.0088184i,0.029088+0.0056859i,0.011546+0.01341i,0.0029456+0.0040622i,0.0047507+0.0028443i,0.0042781+0.0033002i,0.0059138+0.002743i,0.0049764+0.003482i,0.0029708-0.0033067i,0.0081622-0.0012543i,0.00971-0.0040551i,-0.0017425-0.0013046i,-0.003387+0.00060244i,1.6198e-05+0.0013479i,-0.0010051-0.00021161i,-0.0027522+0.001078i,-0.0019346+0.0010164i,0.0047468+0.0079107i,0.0013736+0.00082714i,0.0023023+0.00053549i,0.0019019+0.0011758i,0.0010706+0.0012634i,0.00057036+0.00012844i,-0.00051151+0.00083169i,-0.0021281-0.0030935i,-0.00087967-0.00054727i,-0.00098041+0.00081657i,-0.0012127+0.00024037i,-0.00062404-0.0015376i,-0.0073189+0.007558i,0.0012268+0.00024273i,0.0014101-0.00049275i,-0.00043976+0.0026924i,4.2052e-05-0.0036172i,-0.0010885+0.00039168i,-0.0019892-0.00049594i,0.0020643+0.00081287i,0.0065886+0.004799i,-0.012427+0.032461i,-0.080653+0.035395i,-0.051572+0.037771i,-0.036871+0.059361i,-0.018635+0.072326i,-0.0086196+0.051115i,0.007807+0.035643i,0.0031218-0.0019156i,-0.036106+0.010427i,-0.045543+0.019623i,0.001202+0.023985i,-0.0080673+0.0025188i,-0.010483-0.00051603i,-0.01497-0.0024844i,0.0022959+0.0005959i,0.0069856+0.0099464i,-0.0017088+0.0082876i,-0.0058455-0.011695i,0.005418-0.0070448i,-0.0063858-0.006806i,0.0018585-0.0064634i,0.0036669-0.0041079i,-0.0015254+0.0097859i,0.0098962-0.0045665i,0.0047021-0.0053407i,0.0030418-0.0073457i,0.0028537-0.00032325i,-0.0014445-0.0046243i,-0.0034541-0.0007625i,0.0028019-0.00027445i,-0.0085562+0.022524i,-0.0045234-0.0037367i,0.0021+0.00030625i,0.00042118-0.0067114i,0.0021544-0.0015417i,-0.014212-0.0025763i,0.00069998+0.00026063i,0.0052441-0.0027748i,0.0027527-0.001141i,0.00039986-0.0038269i,-0.00031661+0.0058036i,-0.0008358+0.0061572i,-0.0031149+0.0042437i,-0.012012+0.0031305i,-0.01456-0.0016727i,-0.037172+0.056656i,0.00051379+0.0058242i,-0.024462-0.015937i,-0.0084223-0.0053062i,0.010052+0.02003i,-0.0020196+0.022831i,-0.00059778-0.00060448i
0.011067+0.017678i,0.022494+0.046515i,0.029515+0.030284i,0.021976+0.024906i,0.030013+0.022754i,0.029046-0.019873i,0.014723-0.01218i,0.029589+0.00030446i,0.013725+0.010789i,0.0041005+0.0026449i,0.0053834+0.0017049i,0.0041951+0.0030283i,0.0060156+0.0016439i,0.0055599+0.0022643i,0.0018937-0.0038122i,0.0068795-0.002769i,0.0077244-0.0063328i,-0.0013626-0.00094972i,-0.0029641+0.00057582i,0.00063336+0.00054978i,-0.0012614-0.00023424i,-0.0024973+0.0016151i,-0.0015541+0.0011082i,0.0083076+0.0051425i,0.0012875+0.00094137i,0.0026796-0.00048613i,0.0020203+0.00012526i,0.0012869+0.0004818i,0.00027031+7.7366e-05i,-0.00040678+0.00093132i,-0.0031732-0.001861i,-0.0013027-0.00056773i,-0.00074624+0.0011337i,-0.00095869+0.00063809i,-0.0012-0.00045471i,-0.004542+0.0096262i,0.00094587-0.00018249i,0.001042-0.00080182i,0.00067185+0.00214i,-0.0012206-0.0032034i,-0.0010125+0.00049055i,-0.0023243+3.5471e-05i,0.0017789+0.00067191i,0.0069371+0.0037767i,-0.0063175+0.033542i,-0.069089+0.049207i,-0.047271+0.047153i,-0.026943+0.063065i,-0.0027618+0.069702i,0.0022007+0.049231i,0.011408+0.029763i,-0.002603-0.0061793i,-0.036878+0.012392i,-0.036755+0.021025i,0.0069458+0.022358i,-0.0082968+0.0049337i,-0.0097295+0.0050015i,-0.014955+0.0027702i,0.0012433-0.00071149i,0.0086417+0.008868i,0.0026388+0.011272i,-0.011605-0.010172i,0.00067442-0.0077895i,-0.0060778-0.0030243i,-0.0016012-0.0059206i,0.0014053-0.0053119i,0.0029257+0.0075281i,0.0063179-0.0068463i,0.0012942-0.0052665i,-0.00037556-0.0044286i,0.0038075-0.0012509i,-0.0028731-0.0034601i,-0.0017619+0.0012551i,0.0031939-0.00086448i,0.0021263+0.026271i,-0.0052099-0.00299i,0.002657-0.0017665i,-0.0030931-0.0061115i,0.0026052-0.0021811i,-0.013308+0.0030867i,0.0010845+0.00055549i,0.0033986-0.0028588i,0.0028776-0.0023447i,-6.0786e-05-0.003581i,0.0015722+0.0026737i,0.0018926+0.0050852i,-0.00053582+0.0053083i,-0.010088+0.0067959i,-0.015936+0.0014576i,-0.026776+0.057538i,0.0015779+0.0061489i,-0.028067-0.011277i,-0.0098421-0.0090797i,0.012569+0.018508i,0.0025677+0.02454i,-0.0026227-0.0022605i
0.012384+0.014527i,0.028869+0.040159i,0.034864+0.023615i,0.027617+0.020217i,0.03572+0.017222i,0.02456-0.025226i,0.011316-0.015215i,0.029383-0.0056509i,0.015558+0.0079085i,0.0041247+0.0011756i,0.0054984-1.7652e-05i,0.0049495+0.0027064i,0.0059296+7.2124e-05i,0.0059416+0.00055785i,0.00072385-0.0039133i,0.0053371-0.003888i,0.0050572-0.0084446i,-0.0014791-0.0010023i,-0.0026038+0.0012547i,0.00049042-0.0005358i,-0.0017601-0.00015795i,-0.0019039+0.0022613i,-0.0014085+0.001213i,0.0090214+0.00075372i,0.001875+0.00048627i,0.0020015-0.0015586i,0.0015808-0.00067298i,0.0015584+7.1441e-05i,0.00023647+0.00014326i,-0.00025874+0.0011414i,-0.0035662-0.00023928i,-0.0019612+0.00039931i,-4.9524e-05+0.0014958i,-0.00062717+0.00082404i,-0.00093566+0.0004687i,-0.00047824+0.010089i,0.00073529-0.0002654i,0.00067771-0.0011731i,0.0010788+0.0015267i,-0.0024847-0.0024408i,-0.0009103+0.00051071i,-0.0022019+0.00083604i,0.0017417+0.0010138i,0.0080807+0.0027004i,0.00077148+0.033307i,-0.056463+0.059471i,-0.038603+0.055356i,-0.015805+0.063884i,0.011681+0.06301i,0.01194+0.047183i,0.010921+0.02691i,-0.0078951-0.0065895i,-0.037242+0.01678i,-0.030073+0.020065i,0.012042+0.018048i,-0.0073602+0.0070114i,-0.007504+0.0079606i,-0.012338+0.0048844i,-0.00057312-0.0026369i,0.010573+0.0066983i,0.0077145+0.010697i,-0.01587-0.0061068i,-0.0017554-0.005313i,-0.0053278-0.00038894i,-0.003258-0.0038942i,-0.0011407-0.0046208i,0.0050459+0.0064375i,0.003769-0.0071207i,-0.0012788-0.0042768i,-0.00024603-0.0018924i,0.0034661-0.0037388i,-0.0048211-0.0021652i,-0.0001814+0.0010214i,0.0023523-0.001799i,0.013312+0.020022i,-0.0067153-0.001227i,0.002258-0.0029142i,-0.003493-0.0038478i,0.0031195-0.0035816i,-0.0095958+0.0079112i,0.0022836+0.00055455i,0.0022799-0.0036852i,0.0015861-0.0026388i,-0.00014177-0.0039195i,0.0010792+0.0018725i,0.0035936+0.0034863i,0.0020148+0.0050666i,-0.0078287+0.0085203i,-0.016283+0.0060292i,-0.018312+0.057022i,0.0055998+0.0053897i,-0.029817-0.006007i,-0.012807-0.011205i,0.016544+0.015206i,0.0089381+0.025183i,-0.0047076-0.0018055i
0.013097+0.012108i,0.032581+0.033921i,0.037668+0.01577i,0.031161+0.013178i,0.039711+0.0090245i,0.01861-0.029097i,0.0071045-0.016914i,0.027346-0.01145i,0.016769+0.0045548i,0.0036158+0.00040569i,0.0047898-0.00089641i,0.0056949+0.0017709i,0.0051564-0.00090554i,0.0053533-0.0010863i,-0.00052862-0.0037956i,0.0037287-0.0042918i,0.0015392-0.00825i,-0.0016159-0.00060051i,-0.001484+0.0019119i,-0.00035483-0.00096545i,-0.0021114+0.00066274i,-0.0011911+0.0028277i,-0.0012609+0.0015194i,0.0076738-0.0029097i,0.0017097-0.00027039i,0.0010485-0.0016662i,0.0010804-0.00093583i,0.0012482-0.00082489i,0.00028994-5.7206e-06i,0.00012241+0.0014447i,-0.0033425+0.0015723i,-0.0013613+0.0014819i,0.00055352+0.0012155i,-0.00035149+0.0009982i,-0.0004737+0.00096531i,0.0028645+0.0089898i,0.00061999-0.0005644i,0.00016353-0.0014672i,0.0010919+0.001147i,-0.0028878-0.0012104i,-0.00074279+0.00071474i,-0.001854+0.0013588i,0.0022479+0.0010798i,0.0091492+0.001072i,0.0069846+0.03031i,-0.041421+0.066849i,-0.029303+0.061147i,-0.0068725+0.063112i,0.02382+0.052187i,0.021687+0.04132i,0.0095585+0.025602i,-0.013837-0.0046748i,-0.036542+0.023363i,-0.025641+0.017717i,0.015563+0.011674i,-0.0058755+0.0095001i,-0.0042929+0.011465i,-0.010672+0.0074329i,-0.0043793-0.0015322i,0.012462+0.0031927i,0.012044+0.0076483i,-0.018879-0.00048601i,-0.0024808-0.0038537i,-0.0034642+0.0010698i,-0.0038646-0.0013886i,-0.0024868-0.0034589i,0.0069582+0.0030777i,0.0013934-0.0071509i,-0.0037467-0.0015473i,0.00088666-0.00093049i,0.0012598-0.0055715i,-0.0054038-0.00043467i,0.0010014+0.00095589i,0.001923-0.0021855i,0.019564+0.011387i,-0.0069213+0.0020778i,0.0017956-0.0042734i,-0.0035533-0.0022557i,0.0014875-0.0058855i,-0.0044395+0.0092659i,0.0033001-0.0005616i,0.00072118-0.0030763i,0.0008954-0.0022265i,-0.0023322-0.0038198i,0.00085603+0.0019653i,0.0034748+0.0012961i,0.0042634+0.0042131i,-0.0055137+0.0096191i,-0.014658+0.010311i,-0.011023+0.057476i,0.01179+0.00033478i,-0.028958-0.00049234i,-0.018274-0.010327i,0.017603+0.010174i,0.015769+0.022878i,-0.0046751-0.00099699i
0.014316+0.010121i,0.035969+0.028791i,0.038816+0.0089367i,0.03257+0.0057801i,0.04099+0.00041023i,0.012667-0.031402i,0.0030536-0.016952i,0.024148-0.016256i,0.017342+0.0010353i,0.0031588-7.6428e-05i,0.0042077-0.0014118i,0.0062804+0.0004079i,0.0045634-0.0012081i,0.0044412-0.0022617i,-0.0015956-0.0029932i,0.0023712-0.0040147i,-0.00071473-0.0071343i,-0.0018367-0.00012413i,-0.00088401+0.0019196i,-0.0011592-0.00073338i,-0.0019201+0.0012976i,6.4434e-05+0.00318i,-0.00093581+0.0019432i,0.0052975-0.0051238i,0.0013067-0.00065423i,0.00047767-0.0016583i,0.00065591-0.0010604i,0.00026723-0.00096736i,0.00011366-1.8736e-05i,0.00083657+0.0013358i,-0.0021429+0.0028621i,-0.0005049+0.0018744i,0.00080553+0.00085742i,0.00014872+0.0013395i,0.00021646+0.0010366i,0.0051416+0.0077634i,0.00027954-0.00059637i,-0.00054938-0.0013519i,0.0014514+0.00078788i,-0.0029523-3.8819e-05i,-0.00049049+0.00068852i,-0.0013061+0.0017449i,0.0028003+0.00079867i,0.0090063-0.0015016i,0.011284+0.026212i,-0.025304+0.069654i,-0.017367+0.065727i,0.0023559+0.062691i,0.029988+0.039179i,0.027815+0.033587i,0.010071+0.026941i,-0.017417+0.0017207i,-0.033593+0.032634i,-0.02478+0.015477i,0.014891+0.0052529i,-0.0025509+0.011448i,0.001016+0.011757i,-0.00852+0.010184i,-0.0054206+0.0017842i,0.012383-0.0022094i,0.014729+0.0027485i,-0.018971+0.0060667i,-0.0025721-0.0017022i,-0.0023594+0.0015948i,-0.0027188+0.00022123i,-0.0040114-0.0014577i,0.0065551+0.00045861i,-0.00078208-0.0066089i,-0.0032742+0.0022472i,0.0022277-0.00137i,-0.0010951-0.0057844i,-0.0038319+0.0013275i,0.0020498+5.2758e-05i,0.0015574-0.002514i,0.020809+0.0015018i,-0.0044463+0.0046697i,6.2275e-05-0.005087i,-0.0027185-0.0016863i,-0.00087868-0.0063321i,-0.00065622+0.0083414i,0.0032648-0.0026947i,0.00074427-0.0013237i,0.0010793-0.0020448i,-0.001384-0.0021177i,0.00117+0.0020422i,0.0023036-0.0001821i,0.0049188+0.0021363i,-0.0033733+0.0094185i,-0.011254+0.014531i,-0.0026566+0.057111i,0.012741-0.010747i,-0.026099+0.0015341i,-0.023572-0.0081061i,0.01807+0.0058084i,0.020988+0.016498i,-0.0054889-0.0013403i
0.015573+0.0075954i,0.039537+0.023072i,0.039784+0.0018798i,0.032501-0.0017759i,0.040746-0.0079874i,0.0064992-0.032907i,6.6793e-05-0.016169i,0.020539-0.020266i,0.01739-0.0026955i,0.0025473-0.00040107i,0.0041655-0.0018432i,0.006515-0.0010309i,0.004807-0.001635i,0.0033972-0.0030209i,-0.0021604-0.0021084i,0.0016607-0.003442i,-0.0019955-0.0061242i,-0.0015643+0.00034841i,-0.00045438+0.0019332i,-0.0015573-0.000134i,-0.0013355+0.0017727i,0.0014133+0.0027359i,-0.00026199+0.002213i,0.0021965-0.0060508i,0.0011786-0.00085311i,-0.00017659-0.0015942i,0.00026524-0.0011993i,0.00054881-0.0009594i,1.7486e-05+9.7606e-05i,0.0013569+0.00076208i,-0.00069875+0.0032589i,0.00030116+0.0019206i,0.00088131+0.00054165i,0.00079104+0.0011481i,0.00062028+0.00045437i,0.0060771+0.0064565i,3.9222e-05-0.00045748i,-0.0010087-0.00090676i,0.0012792+0.00016624i,-0.0024068+0.00068729i,-0.00041966+0.00066907i,-0.00066341+0.001807i,0.0031773+0.00037816i,0.0084495-0.0037714i,0.014419+0.022108i,-0.010794+0.068547i,-0.0036259+0.065804i,0.012262+0.060535i,0.032217+0.027222i,0.03153+0.025769i,0.013045+0.028778i,-0.016672+0.010136i,-0.0249+0.042565i,-0.026089+0.015817i,0.01241+0.0020222i,0.0012758+0.011551i,0.0047434+0.0097815i,-0.0056623+0.012489i,-0.0045405+0.0041251i,0.0094812-0.00775i,0.014368-0.0033977i,-0.01685+0.011255i,-0.0015567-0.00050706i,-0.001301+0.0014708i,-0.0016531+0.00042921i,-0.0033896+0.00142i,0.0051562-0.00099136i,-0.0022494-0.0049868i,-0.00017428+0.0044717i,0.0025243-0.0029276i,-0.0030511-0.0046461i,-0.0023492+0.0018572i,0.0024857-0.0012147i,0.0014468-0.0027297i,0.017167-0.0072496i,-0.0017053+0.0052752i,-0.0017364-0.0047848i,-0.0027947-0.0014915i,-0.0032116-0.0057367i,0.0016865+0.0067646i,0.0020812-0.0038262i,0.0022649-0.0015025i,0.0011208-0.0030465i,-0.00052388-0.0026936i,0.0017765+0.0027649i,0.00095313+0.00025148i,0.0046848+0.0011924i,-0.0018991+0.008839i,-0.0057656+0.017183i,0.0058568+0.055137i,0.0062316-0.019437i,-0.024653+0.00063991i,-0.028477-0.00292i,0.016383+0.00014341i,0.022226+0.0095197i,-0.0067167-0.0004262i
0.016726+0.0047904i,0.041876+0.016366i,0.038739-0.0063693i,0.030042-0.0095814i,0.038925-0.016886i,-7.3996e-05-0.032879i,-0.0020455-0.01524i,0.016235-0.023727i,0.016354-0.0064226i,0.0020241-2.2206e-05i,0.0036253-0.0025491i,0.0062502-0.0030293i,0.0046706-0.0027511i,0.0022538-0.0034645i,-0.0024666-0.0010891i,0.0014083-0.0030615i,-0.0032401-0.0051937i,-0.0015963+0.00069857i,0.00020988+0.0018235i,-0.0019567+0.00061735i,-0.00095244+0.0019594i,0.0023352+0.0016668i,0.00031339+0.0021729i,-0.0009432-0.0054333i,0.00075129-0.0015379i,-0.00081134-0.0011238i,-0.00028192-0.0011937i,-0.0002612-0.00082042i,0.00021144+0.00020033i,0.0013152+7.349e-05i,0.00088195+0.0030522i,0.00096743+0.0016731i,0.0008106+0.00021975i,0.0013195+0.00075593i,0.00043663-0.00011574i,0.0066769+0.0041566i,-0.00014901-0.00035243i,-0.0012721-0.00054181i,0.0012289-0.00017717i,-0.0017874+0.00088356i,-0.00026583+0.00071593i,-3.8499e-06+0.0016674i,0.0035777-0.00050222i,0.0071094-0.0065867i,0.01646+0.018052i,0.0019842+0.064827i,0.0082657+0.061499i,0.021751+0.056643i,0.030703+0.01692i,0.033359+0.018903i,0.018402+0.028842i,-0.010045+0.016154i,-0.011383+0.047495i,-0.026568+0.019513i,0.010113+0.00038034i,0.0045093+0.0098382i,0.0069716+0.0067763i,-0.0020639+0.01325i,-0.0037957+0.0056412i,0.0028258-0.010104i,0.010732-0.0080973i,-0.01332+0.015563i,-0.00049293-0.001145i,-0.00092257+0.0007322i,-0.001204+0.00029708i,-0.00093117+0.0028067i,0.0040906-0.0010375i,-0.0027036-0.0039766i,0.0030561+0.0039862i,0.0013968-0.0047653i,-0.0044028-0.0029748i,-0.0012515+0.002147i,0.0018313-0.0026401i,0.0010002-0.0035299i,0.011761-0.01229i,0.00037599+0.0048793i,-0.0029172-0.00414i,-0.002414-0.0012409i,-0.0048793-0.0044412i,0.0031847+0.005278i,0.0011778-0.0048629i,0.0027915-0.0028756i,-6.4626e-05-0.0038571i,-0.001573-0.0032441i,0.0033455+0.0019307i,0.00072603+0.0017975i,0.0054671-0.0015743i,-0.0010206+0.0087285i,-0.00046816+0.016896i,0.01382+0.052671i,-0.0026698-0.023986i,-0.026847-0.00034852i,-0.03034+0.0049922i,0.011365-0.0034813i,0.022324+0.0032128i,-0.0063629+0.00043504i
0.017595+0.0013641i,0.043666+0.010273i,0.035307-0.01322i,0.024775-0.015529i,0.034279-0.025121i,-0.005875-0.031073i,-0.0036019-0.014284i,0.011174-0.025921i,0.014916-0.0097359i,0.0023303+0.0006079i,0.0031004-0.0028144i,0.0047643-0.0046962i,0.0040856-0.0037998i,0.0011908-0.0034117i,-0.0021947-0.00014829i,0.0012507-0.0027386i,-0.004858-0.0034542i,-0.0014123+0.0014015i,0.00067072+0.0011694i,-0.0017079+0.0018363i,-0.00040545+0.0022923i,0.0023744+0.00037284i,0.00091083+0.0020654i,-0.0028802-0.0033925i,-0.00037971-0.0015623i,-0.0010036-0.00056911i,-0.00063839-0.00093005i,-0.00056368-0.00047223i,0.0002919-6.4888e-05i,0.0010963-0.00040078i,0.0020441+0.0021623i,0.0013834+0.0011034i,0.00076618-2.1796e-05i,0.0016997-0.0012112i,6.7172e-05+3.9134e-06i,0.0060509+0.001354i,-0.00018884-0.00021293i,-0.0014789-7.1995e-05i,0.0010389-0.00047957i,-0.0012813+0.001074i,-8.9283e-05+0.0008345i,0.0003559+0.0014364i,0.0032105-0.0017287i,0.0033249-0.0074139i,0.017677+0.01397i,0.013206+0.059076i,0.016584+0.055769i,0.030285+0.051165i,0.027621+0.0097893i,0.03381+0.012515i,0.024102+0.026474i,-0.0026535+0.016974i,0.0028966+0.047101i,-0.024388+0.024525i,0.0090519-0.0003298i,0.0069226+0.0074068i,0.0074602+0.0039382i,0.0018159+0.012726i,-0.0023231+0.0075686i,-0.0030751-0.0081127i,0.0063155-0.009791i,-0.008304+0.018379i,-0.0011841-0.0021587i,-0.0016124+0.0004902i,-0.0010727+0.00046533i,0.0015097+0.0024885i,0.0037134-0.0014235i,-0.0033994-0.0031891i,0.0047521+0.0016618i,-0.0014856-0.0056199i,-0.0044582-0.00094303i,3.7109e-05+0.0016315i,0.0010969-0.0034125i,-4.7793e-05-0.0045974i,0.0055323-0.014025i,0.0020729+0.0040615i,-0.004097-0.0033417i,-0.0030681-0.0013452i,-0.0057927-0.0025606i,0.0037928+0.0040136i,-0.00048829-0.0060557i,0.0025526-0.0045064i,-0.0011562-0.0034539i,-0.0023267-0.0029509i,0.0036669+0.0013186i,0.0015224+0.0025598i,0.0032078-0.0019692i,6.585e-05+0.0090453i,0.0041827+0.014599i,0.022501+0.049025i,-0.012926-0.025208i,-0.030372+0.0014985i,-0.02726+0.014152i,0.0068265-0.0032721i,0.018821-0.0028436i,-0.0058172-0.00094846i
0.017547-0.0027813i,0.045049+0.0031333i,0.031271-0.01841i,0.019447-0.018536i,0.028181-0.031392i,-0.010442-0.028703i,-0.0046922-0.013861i,0.0063998-0.027157i,0.012787-0.012926i,0.0032361+0.0005066i,0.0028572-0.0031923i,0.0030282-0.0053591i,0.0031021-0.0050937i,0.00044256-0.0031565i,-0.001648+0.00047644i,0.0013201-0.0024377i,-0.0051795-0.0012573i,-0.00056312+0.001554i,0.0005213+0.00056302i,-0.00080916+0.0024508i,0.00032077+0.0022464i,0.0020177-0.00046904i,0.0015417+0.0016932i,-0.0036463-0.0008621i,-0.00091904-0.00096687i,-0.00098071-0.00020924i,-0.0009103-0.0007358i,-0.00086966+0.0001081i,3.4842e-06-3.2615e-05i,0.00070878-0.00084842i,0.0028055+0.00091717i,0.0014241+0.00059787i,0.00076055-0.00022479i,0.00099297-0.00014774i,0.00010902+0.00030096i,0.0052972-0.001515i,-0.00020044+5.7864e-05i,-0.0013025+0.00046901i,0.00072998-0.00086364i,-0.00067355+0.0012018i,9.8185e-05+0.00072734i,0.00059213+0.0010877i,0.0023195-0.0024724i,0.00083528-0.0063729i,0.018134+0.010164i,0.020916+0.05097i,0.023196+0.050613i,0.037669+0.043894i,0.024217+0.0045624i,0.033249+0.0082369i,0.029203+0.023003i,0.0035169+0.015924i,0.015018+0.041875i,-0.020334+0.029432i,0.0084236-0.0013615i,0.0084977+0.0040748i,0.0077544+0.0015553i,0.0054605+0.010648i,0.00047598+0.0080624i,-0.0063943-0.0043933i,0.0020053-0.0098204i,-0.0023301+0.018488i,-0.002776-0.0021357i,-0.0025757+0.0017748i,-0.00093653+0.00068503i,0.0030661+0.001209i,0.0031269-0.00083646i,-0.0035804-0.0018732i,0.0047483-0.00048238i,-0.0040169-0.0041825i,-0.0033156+0.00039211i,0.0004258+0.00054771i,0.00015425-0.0043399i,-0.0018405-0.0046259i,0.00035464-0.013127i,0.0036399+0.0022973i,-0.0052954-0.0020365i,-0.0037427-0.0001638i,-0.0055898-0.00017235i,0.0045224+0.0031643i,-0.0033927-0.0064199i,0.0017116-0.0062332i,-0.0018144-0.0028659i,-0.0029438-0.0032685i,0.0041761+0.00072451i,0.0029042+0.0025183i,0.0022973-0.0011301i,0.0015378+0.0088551i,0.006883+0.011383i,0.030858+0.042716i,-0.023671-0.021785i,-0.03321+0.0053113i,-0.021599+0.017996i,0.0047861-0.0019792i,0.01384-0.0054954i,-0.0083243-0.0017956i
0.016109-0.0066974i,0.045104-0.0048444i,0.027167-0.022782i,0.014894-0.020169i,0.021319-0.036245i,-0.014668-0.026119i,-0.0061131-0.014301i,0.0017722-0.027829i,0.009918-0.015579i,0.004016-0.00017111i,0.0025417-0.0039643i,0.0013584-0.005375i,0.0013685-0.0058375i,-0.00015231-0.0029291i,-0.0012787+0.00060159i,0.0015991-0.0024832i,-0.0044867+0.00065013i,-0.00012868+0.0011669i,0.00041711+0.00038073i,4.6247e-05+0.0025471i,0.00092902+0.0021204i,0.0014923-0.00093897i,0.0019121+0.0010294i,-0.0029616+0.0015436i,-0.00098082-0.00027436i,-0.00085227+0.00019325i,-0.0010915-0.00040675i,-0.0007653+0.00031377i,1.4907e-05+7.6733e-05i,7.4478e-05-0.00093618i,0.0028843-0.00059494i,0.0015329+0.00033071i,0.00063979-0.00049273i,0.00094863-0.00068773i,0.00037698+0.00049946i,0.007052-0.001819i,-3.3966e-05+0.0001247i,-0.00099769+0.00082997i,8.769e-05-0.00087811i,8.8479e-05+0.00098009i,0.00010175+0.00076751i,0.00070049+0.00086514i,0.0013337-0.0027084i,-0.00039237-0.0046344i,0.018087+0.0071689i,0.024988+0.044232i,0.029476+0.045473i,0.042497+0.036117i,0.020201+0.00027774i,0.034284+0.0047357i,0.033597+0.017916i,0.0096299+0.012823i,0.024804+0.033622i,-0.013091+0.033031i,0.0076951-0.0027548i,0.0079043-0.00030036i,0.0076673-0.0011899i,0.0073701+0.0071525i,0.0022471+0.0072917i,-0.0076076+0.00040078i,-0.0015278-0.0083256i,0.0020471+0.015805i,-0.0040351-0.00077531i,-0.0022159+0.0039157i,-0.00084332+0.00089921i,0.003875-0.0008796i,0.0041581+0.0003437i,-0.0030322-0.00098244i,0.0041136-0.0011622i,-0.0048866-0.0022684i,-0.0025242+0.00063934i,0.00012097+0.00015827i,-0.0020806-0.0049827i,-0.0033327-0.0034396i,-0.003542-0.011634i,0.0038832+0.00011881i,-0.0058608-0.00020785i,-0.0029868+0.0010661i,-0.0047683+0.00133i,0.0057955+0.0021533i,-0.0057848-0.0046507i,-0.00090191-0.0077894i,-0.0025699-0.0022086i,-0.0048009-0.0030523i,0.0050147-0.00068317i,0.0042765+0.0025365i,0.0028127-0.00084504i,0.003395+0.008662i,0.007318+0.0078087i,0.037486+0.034651i,-0.030491-0.012964i,-0.035406+0.011198i,-0.015736+0.020198i,0.003012-0.0004824i,0.0095866-0.0046277i,-0.010149-0.00081601i
