-0.030346-0.03884i,-0.021858-0.018669i,-0.013174-0.035574i,-0.029861-0.019948i,-0.022196-4.8752e-05i,-0.013583-0.0055425i,-0.055311-0.05821i,-0.046763-0.017367i,-0.038061-0.014022i,0.010824+0.011564i,-0.0078413+0.0053532i,-0.019435+0.018788i,0.0026002+0.011439i,-0.0061396-0.0031671i,0.00020478+0.0012202i,-0.0014988+0.030412i,0.027806+0.027778i,0.0026295-0.002366i,-0.0023577-0.0066089i,0.0080396+0.0024139i,0.0029251+0.0012089i,0.00026048+0.0037093i,-0.0003028+0.00031572i,-0.03745-0.011059i,-8.9474e-05-0.0078222i,0.0014111+0.0022087i,0.0062007+0.0017942i,0.0020088+0.00046318i,0.0011115-0.0005496i,-0.00031106-0.0025591i,0.0016131-0.0026362i,-0.0024124-0.00586i,-0.00027794-0.004878i,0.0028507-0.00082601i,0.0046573-0.0028899i,0.0022002+0.029875i,0.003906-0.0034334i,0.0030068-0.0017523i,0.0082092-0.001406i,-0.0050585-0.0024343i,-0.00018048+0.0011295i,0.0093985+0.0001923i,0.0038402-0.0027064i,-0.0014392+0.008936i,-0.018069-0.0063008i,-0.018613+0.015285i,-0.0035581-0.060897i,-0.0051411-0.027142i,-0.02686-0.032852i,-0.011079-0.026931i,0.054974-0.020396i,0.01656-0.04311i,0.022729-0.049065i,0.0053826-0.054812i,0.026373-0.021236i,0.0082935+0.0059651i,0.024748-0.034335i,-0.0081183-0.0066428i,0.0039552-0.004806i,-0.0043781-0.0072662i,-0.002193-0.033463i,-0.018613+0.029754i,0.0081404-0.011883i,-0.0091616-0.0039825i,-0.0041012-0.001705i,0.00079447-0.012931i,-0.011153+0.0047882i,0.0024389+0.010244i,-0.0051628+0.027227i,0.0050881+0.0025524i,-0.0052622-0.0018801i,-0.002167-0.0019609i,-0.012587-0.0072968i,-0.00048627-0.0040273i,-0.035997+0.0011569i,0.00061293-0.010925i,-0.0083515+0.00020034i,-0.0066819-0.002335i,0.0052487+0.0011687i,-0.0082284-0.00067912i,0.0021547-0.00029771i,0.0036728+0.0070585i,0.0043603+0.00050292i,-0.0081016-0.013324i,0.0026791+0.0090408i,-0.015137+0.0047916i,0.0070713+0.0001254i,-0.022213+0.00038027i,-0.017339+0.0055547i,-0.0093041-0.065554i,0.0081498-0.012873i,-0.049537-0.022421i,-0.021059+0.0011773i,0.017449+0.011352i,-0.022838+0.014552i,-0.018762-0.0054537i
0.029265+0.03262i,0.013433+0.015412i,0.017286+0.024434i,0.0067176+0.018962i,0.0083297+0.0067503i,0.0045342-0.0010618i,0.015386+0.011873i,0.015609-0.002169i,0.0073675-0.0082653i,0.0012574+0.0032764i,0.0021901-0.0024347i,0.00066221-0.0051773i,-0.0017778+0.00073572i,0.001176-0.0014679i,0.0019415-0.00060199i,0.0053737-0.0024721i,0.0053335-0.0071854i,0.00014854+0.00044446i,-0.0038159+0.00069149i,3.5464e-05+0.00058808i,-0.00081867-0.0010841i,-0.0025728-0.0010366i,-0.0015648+0.00080243i,0.0058777+0.0095494i,-0.0012862+0.0018254i,0.00083621+0.0017108i,0.0011935+0.0010055i,-0.0018109+0.0026821i,-0.0010435+0.00016047i,-0.0011912+0.00060851i,-0.0011848-0.0010034i,-0.0017835-0.00075079i,-6.0359e-05+0.00030279i,0.00055706+0.00064927i,-6.8406e-05-0.00068836i,-0.0093068+0.010236i,0.0016154+7.0233e-05i,0.00073678+0.00091554i,0.00089849+0.0024245i,0.00092502-0.0012744i,-0.00013965-0.00048649i,-0.0010456-0.00057559i,-5.948e-05+0.0014905i,0.00031231+0.0016754i,0.018785+0.013571i,-0.023992+0.013313i,-0.011516+0.016874i,-0.022185+0.011446i,-0.0038092+0.038196i,-0.019948+0.017812i,0.0023066-0.0042339i,-0.011894-0.016909i,-0.019487+7.4382e-05i,-0.0068362+0.014846i,0.017875+0.021092i,-0.00030758+0.002278i,-0.0037589+0.0010152i,-0.012589-0.0042611i,0.011312+0.0012505i,0.01254+0.010001i,-0.00047905+0.0056383i,-0.0049568-0.0068971i,0.0062371-0.002981i,-0.0030638-0.0042293i,0.0035348-0.008466i,0.0088374-0.0028322i,-0.0014261+0.010438i,0.012523-0.0063586i,0.0035277-0.0073967i,0.0031914-0.0081235i,0.0022687+0.00063236i,-0.0022285-0.0058508i,-0.0035246-0.0016358i,0.0025708-6.9802e-05i,-0.0087825+0.036396i,-0.0071528-0.005626i,0.00035351+0.0010261i,-0.0012683-0.0070928i,0.0033434-0.00042464i,-0.017938-0.006363i,-0.0018402-0.0034585i,0.0030248-0.0021408i,0.0034476-0.0013387i,-0.0030104-0.0074122i,0.00014665+0.0074886i,0.00016567+0.0034272i,-0.0034128+0.0046027i,-0.0075625+0.0011276i,-0.0068363-0.00046528i,-0.0074235+0.023803i,-0.0018622+0.014636i,-0.026296-0.010254i,-0.0010797-0.0027881i,0.014348+0.01727i,-0.00063729+0.018382i,-0.00086475-0.0047098i
0.03391+0.02605i,0.016193+0.01171i,0.021395+0.021455i,0.0099173+0.018479i,0.010276+0.0055334i,0.0046258-0.0024453i,0.015389+0.0081559i,0.015031-0.0046838i,0.0052271-0.0095844i,0.0020865+0.0025197i,0.0019613-0.0026919i,-0.0013178-0.0035997i,-0.00127+0.0014161i,0.00091271-0.00034552i,0.0017856-0.0009308i,0.0042617-0.0028633i,0.0027707-0.0076471i,0.00065178+0.00045665i,-0.0033568+0.001204i,0.00035121+2.2111e-05i,-0.0009507-0.0012403i,-0.0026873-0.00047023i,-0.0012277+0.00093427i,0.010892+0.0063167i,-0.00095757+0.0029896i,0.0016633+0.0011666i,0.0011386+8.9795e-05i,-0.00065019+0.0029377i,-0.001492+0.00064683i,-0.00097483+0.0011519i,-0.0016049-0.00031671i,-0.0021594-0.00052891i,-0.00016522+0.00019161i,0.00070072+0.00039853i,-0.00081381+0.00011217i,-0.0052602+0.011978i,0.0012186-0.00052196i,0.0010255+0.00074839i,0.0014187+0.0017474i,0.00040898-0.0012003i,-0.00029511-0.00069177i,-0.0014162-0.00012593i,7.8411e-05+0.0016392i,0.00017411+0.0019895i,0.021791+0.010585i,-0.019044+0.016513i,-0.010301+0.019561i,-0.017427+0.01295i,0.0079554+0.034168i,-0.012529+0.017898i,-0.0041156-0.0077093i,-0.019455-0.018035i,-0.021968+0.00038546i,-0.00029901+0.0098172i,0.021529+0.013898i,-0.0008273+0.0022006i,-0.0025698+0.0046545i,-0.01255+0.00021742i,0.0098376-0.0029529i,0.014207+0.0063154i,0.0025797+0.0081632i,-0.0090001-0.0055068i,0.0019866-0.0046905i,-0.0033136-0.0021724i,-0.0015389-0.0077894i,0.0069176-0.0054611i,0.003315+0.0083031i,0.0074007-0.0089946i,-0.00087223-0.0070619i,-0.00077933-0.0055273i,0.0035833-0.00015479i,-0.0038164-0.0050099i,-0.0020155+0.00085316i,0.0032869-0.00059357i,0.0099155+0.034294i,-0.0087394-0.003496i,0.001054+0.00022605i,-0.0040965-0.0057117i,0.0039975-0.0018874i,-0.018495+0.0021019i,-0.0022188-0.0024674i,0.0017435-0.0022058i,0.0034619-0.0029291i,-0.0050417-0.0056391i,0.0023676+0.0036467i,0.0014525+0.0025501i,-0.00046952+0.0059188i,-0.005968+0.0038555i,-0.0074623+0.0007095i,-0.0020656+0.020561i,0.00060653+0.015854i,-0.028361-0.0040881i,-0.002835-0.0066045i,0.016708+0.014561i,0.0027626+0.019579i,-0.0034102-0.0048748i
0.036811+0.018826i,0.017393+0.0070584i,0.025919+0.01619i,0.014397+0.01581i,0.012453+0.0036462i,0.0042899-0.0040974i,0.014668+0.0045539i,0.014071-0.0076169i,0.0033173-0.0097462i,0.0022025+0.0017676i,0.001303-0.0035652i,-0.0015289-0.0016904i,-0.00065877+0.0014668i,0.0017144-0.00035847i,0.0015324-0.0012229i,0.0032717-0.0032801i,0.00066062-0.0075011i,0.00073883-5.6715e-06i,-0.002906+0.0020463i,8.6758e-05-0.00069125i,-0.0018469-0.0016096i,-0.0023778+0.00016622i,-0.0010112+0.0010379i,0.012177+0.0003697i,0.00042033+0.0035196i,0.0017656+0.00022244i,0.00059249-0.00029756i,0.00057349+0.002639i,-0.00117+0.0014919i,-0.00049303+0.0015394i,-0.0016987+0.00055759i,-0.0030022+0.00085242i,-0.00015291+0.00021674i,0.0006986+8.3181e-05i,-0.0005773+0.0010616i,-0.0013076+0.012267i,0.00075098-0.000573i,0.0012462+0.00016457i,0.0014526+0.0010975i,-7.1489e-05-0.0012193i,-0.00066501-0.00092214i,-0.0013837+0.00026285i,0.00032673+0.002026i,0.00071074+0.0023759i,0.025458+0.0065719i,-0.01414+0.018578i,-0.0071028+0.022668i,-0.012043+0.012541i,0.018308+0.026784i,-0.0059618+0.017866i,-0.011481-0.0069486i,-0.026279-0.015219i,-0.023758+0.0039607i,0.0025034+0.0030351i,0.0217+0.006002i,-0.0013148+0.0021608i,-0.001038+0.0047484i,-0.012268+0.0033299i,0.0060419-0.007445i,0.014701+0.0019207i,0.0062673+0.008115i,-0.011823-0.0026018i,5.4828e-05-0.0030499i,-0.0033298-0.0004239i,-0.0040179-0.0050719i,0.0046727-0.0066379i,0.0059991+0.0072972i,0.0043559-0.0086873i,-0.0042817-0.0043839i,-0.0010202-0.0026232i,0.0040325-0.002322i,-0.0061312-0.0031375i,-0.00025699+0.00089345i,0.0028081-0.0019193i,0.023279+0.023686i,-0.010104+1.9403e-05i,0.0014956-0.0004106i,-0.0040761-0.0038181i,0.0042016-0.0037503i,-0.014149+0.00935i,-0.0020639-0.0015633i,0.00076667-0.0023555i,0.0018287-0.0037654i,-0.006609-0.003063i,0.0015608+0.0024088i,0.0020943+0.0015168i,0.0024031+0.0054918i,-0.0038486+0.0047036i,-0.0077997+0.0026359i,0.00017989+0.016909i,0.0075688+0.015284i,-0.028233+0.00044231i,-0.0058463-0.0092559i,0.019234+0.0094771i,0.0077513+0.020196i,-0.0053864-0.0039563i
0.037729+0.011993i,0.016579+0.003427i,0.027627+0.009395i,0.017454+0.010756i,0.013943+0.0005586i,0.0031091-0.0055233i,0.013248+0.0021439i,0.01217-0.01033i,0.0020172-0.009991i,0.0020511+0.0015175i,1.4234e-05-0.003396i,-0.00087034-0.00077766i,-0.00050412+0.0015684i,0.0017379-0.00049656i,0.0010892-0.0014581i,0.0020992-0.0031858i,-0.0011795-0.0063774i,0.00067305-0.00018049i,-0.0015113+0.0026944i,-0.00058644-0.00087776i,-0.0024456-0.00066536i,-0.0022637+0.00058214i,-0.00079996+0.0011538i,0.010287-0.0045604i,0.0016694+0.0033057i,0.0013776-0.00032815i,0.0002284-0.0001611i,0.0011632+0.0019671i,-0.00044695+0.0016527i,0.00015851+0.001689i,-0.0013069+0.0014113i,-0.0022087+0.0023488i,-8.7353e-05+0.0002539i,0.00047192-9.4846e-05i,5.254e-05+0.0014046i,0.0022718+0.011507i,0.00060967-0.00065368i,0.0010251-0.00043374i,0.001355+0.00095609i,-0.00058714-0.00092718i,-0.0012166-0.00075317i,-0.0015536+0.00052094i,0.00095077+0.0022739i,0.0014209+0.0023317i,0.027629+0.00023953i,-0.0089015+0.019916i,-0.0023909+0.02483i,-0.0097449+0.009912i,0.025925+0.014739i,0.00032478+0.014068i,-0.01788-0.0020897i,-0.032636-0.0092315i,-0.023623+0.0087649i,0.0010274-0.0031604i,0.020031-0.00090739i,-0.0016022+0.0029616i,0.00017783+0.006322i,-0.011462+0.0070641i,-0.00024204-0.0075639i,0.014103-0.0031179i,0.0097907+0.0061335i,-0.013242+0.0018431i,-0.00086721-0.0021529i,-0.0025656+0.00093581i,-0.004982-0.0015375i,0.0025809-0.0074338i,0.0086183+0.0037944i,0.0021059-0.0085172i,-0.0051115-1.1509e-05i,9.5793e-05-0.0015862i,0.0027431-0.0044038i,-0.0064302+0.0001363i,0.00089855+0.00059067i,0.0019323-0.0027348i,0.029128+0.0092878i,-0.0089896+0.0047077i,0.0016546-0.0014188i,-0.0041197-0.0020308i,0.0025281-0.0061657i,-0.0077035+0.011724i,-0.0016043-0.0010783i,1.2788e-05-0.0016441i,0.00050215-0.0036944i,-0.0061727+0.00010556i,0.0013445+0.0022259i,0.0018702+0.00040444i,0.0049012+0.0042721i,-0.0019793+0.0040633i,-0.0076198+0.004555i,0.001087+0.015488i,0.015683+0.0083257i,-0.026233+0.0052633i,-0.011089-0.010124i,0.018015+0.004309i,0.013182+0.018293i,-0.0056946-0.0029971i
0.03814+0.0057769i,0.016252+0.0011271i,0.027608+0.0037088i,0.018536+0.0055868i,0.014197-0.0027803i,0.0017712-0.0063801i,0.012167+0.00095671i,0.0097617-0.012327i,0.00086608-0.010485i,0.0021659+0.0012983i,-0.00085402-0.0027167i,-0.00025098-0.0006669i,-0.00032954+0.0019495i,0.0017698-0.00087505i,0.00067009-0.0014018i,0.0015322-0.0024177i,-0.0019573-0.0051956i,0.00048566-0.00023504i,-0.00038377+0.0023602i,-0.00118-0.00060816i,-0.0025249-5.8155e-05i,-0.0017915+0.001215i,-0.00051479+0.0013233i,0.0068643-0.007577i,0.0027319+0.0026873i,0.001099-0.00065493i,-3.3566e-05-3.6166e-05i,0.0014218+0.0013916i,-4.1658e-05+0.001654i,0.00093901+0.0014965i,-0.00044714+0.0018893i,-0.0011302+0.0030448i,-0.00018325+0.00023735i,0.00036343+9.4478e-05i,0.00076282+0.0015185i,0.0050724+0.0099234i,0.00028192-0.00076015i,0.00057949-0.00073981i,0.0015545+0.00082928i,-0.00078074-0.00048538i,-0.0014987-0.00050743i,-0.0015662+0.0010025i,0.0016782+0.0021248i,0.0016075+0.0017613i,0.027336-0.0068012i,-0.0031325+0.019742i,0.0038931+0.025238i,-0.0090885+0.0093341i,0.026761+0.001754i,0.0027058+0.0087775i,-0.020166+0.0059948i,-0.035399+0.00032759i,-0.021904+0.015065i,-0.003499-0.0068013i,0.015134-0.0057789i,-0.0010115+0.0039046i,0.0036468+0.0062524i,-0.0089346+0.010396i,-0.0035448-0.0042843i,0.01091-0.0087943i,0.012494+0.0023195i,-0.013101+0.0062895i,-0.0011111-0.00034124i,-0.0015626+0.001599i,-0.0031751+0.00066275i,-0.00052666-0.0070461i,0.0086021+0.00046893i,-0.00016983-0.007904i,-0.0032905+0.0030857i,0.0010177-0.0019138i,0.00062583-0.0054397i,-0.0048433+0.0025653i,0.0019474-0.00040734i,0.0011715-0.0027792i,0.027718-0.0040697i,-0.0049482+0.0075808i,0.0010082-0.0024191i,-0.0032359-0.0016364i,-9.3689e-05-0.0068913i,-0.0031437+0.011355i,-0.0016834-0.000671i,5.8817e-05-0.00044812i,0.00010155-0.0030879i,-0.0040701+0.0019082i,0.0018912+0.0019527i,0.0010226-0.0001558i,0.0058269+0.0014842i,-0.0017706+0.002593i,-0.0065526+0.0067656i,0.0028861+0.015067i,0.017096-0.003971i,-0.022234+0.0064281i,-0.016328-0.0082098i,0.016737+0.00049995i,0.01725+0.012809i,-0.006429-0.0030902i
0.037921-0.00048601i,0.016361-0.0014775i,0.02745-0.0018161i,0.018793+0.00033938i,0.014018-0.0059543i,0.00026674-0.0069522i,0.012196+0.0001468i,0.0072813-0.013801i,-0.00056685-0.011178i,0.0020475+0.000997i,-0.00098345-0.0019816i,4.6583e-05-0.00079705i,0.00034988+0.0024336i,0.0015542-0.0010409i,0.00047069-0.0013412i,0.0017266-0.0017925i,-0.0025273-0.0048645i,0.00060771-0.00033893i,0.000281+0.0017839i,-0.0014691-0.00010615i,-0.0021074+0.00059803i,-0.00096894+0.0013144i,-0.00016092+0.0014064i,0.0027117-0.008811i,0.0037166+0.0016969i,0.00075395-0.00098145i,-8.1315e-05+7.0857e-05i,0.001542+0.00093577i,0.0004177+0.0016428i,0.00141+0.0008748i,0.00045963+0.0018693i,0.00017109+0.0033792i,-0.00028661+0.00053581i,0.00052305+5.7256e-05i,0.0012876+0.0010323i,0.0068695+0.0079239i,-5.9748e-05-0.00066068i,0.00017901-0.00070122i,0.0016079+0.00049181i,-0.00057943-6.3807e-05i,-0.0018777-1.4069e-05i,-0.0012928+0.0013442i,0.0022618+0.0018204i,0.0018394+0.0014941i,0.025186-0.013249i,0.0021376+0.017717i,0.0099268+0.022935i,-0.0080757+0.0099494i,0.023476-0.0090365i,0.0022899+0.0051613i,-0.01756+0.014401i,-0.033243+0.010646i,-0.016209+0.022109i,-0.0087632-0.0061456i,0.010541-0.0071344i,0.00014105+0.0043135i,0.0058636+0.0038763i,-0.0053494+0.013193i,-0.0045739-0.001454i,0.004861-0.013088i,0.012395-0.0028659i,-0.011307+0.0098139i,2.6947e-05+0.00071092i,-0.00048435+0.0015932i,-0.0015715+0.00094007i,-0.0022624-0.0051014i,0.0073112-0.0019247i,-0.0016961-0.006578i,-0.00042302+0.0039319i,0.0011089-0.0032506i,-0.0015642-0.0049492i,-0.0031349+0.0034781i,0.0018237-0.002034i,0.00090264-0.0028079i,0.021337-0.014318i,-0.00096722+0.0078485i,2.1056e-05-0.0024866i,-0.0035454-0.0011865i,-0.003092-0.0063481i,0.00034403+0.010541i,-0.0010421-0.00015265i,0.0013304-0.00030046i,-0.00026667-0.0036931i,-0.0017431+0.0021063i,0.0020071+0.0016133i,0.0002962+0.0002697i,0.0051775-0.00052292i,-0.0026166+0.0018098i,-0.0042727+0.0082946i,0.0052571+0.014022i,0.011065-0.013502i,-0.020521+0.0037222i,-0.020847-0.003391i,0.013712-0.0042261i,0.01786+0.0075062i,-0.0072462-0.0022484i
0.036525-0.0067007i,0.015635-0.0044172i,0.025347-0.0084206i,0.016868-0.0056211i,0.013165-0.0095206i,-0.0014461-0.006977i,0.013024-0.0011606i,0.0045024-0.015112i,-0.0024254-0.011503i,0.0018099+0.0013375i,-0.0013211-0.0017017i,-7.7253e-05-0.0014778i,0.001203+0.0023952i,0.0012707-0.001305i,0.00025622-0.0012688i,0.0022055-0.0018405i,-0.0035811-0.004394i,0.00029013-0.00066484i,0.00068592+0.0011345i,-0.0016737+0.00046868i,-0.0020126+0.00080839i,-0.00037718+0.00090883i,0.00016468+0.0013588i,-0.0014988-0.008097i,0.0041397-0.00015269i,0.00021921-0.0010539i,-0.00044813+0.00026091i,0.0015365+0.00055221i,0.0010337+0.0013519i,0.0014825+0.00017502i,0.0013409+0.0014858i,0.0012827+0.003297i,-0.0002434+0.00084329i,0.00059666+1.5094e-05i,0.0014017+0.00039041i,0.0080688+0.0060196i,-0.00025748-0.000508i,-0.00019254-0.00059833i,0.0018979+0.00017308i,-0.00019762+2.0963e-05i,-0.0019636+0.00078168i,-0.00097633+0.0017832i,0.0029048+0.0011816i,0.0019005+0.0012534i,0.021394-0.018886i,0.0062378+0.014358i,0.014357+0.01907i,-0.0054769+0.011142i,0.017377-0.016946i,0.001071+0.0035593i,-0.011781+0.019643i,-0.026051+0.018154i,-0.0070184+0.025506i,-0.011935-0.0022465i,0.0070822-0.0070437i,0.0013736+0.0040284i,0.0058605+0.00073717i,-0.00073336+0.013948i,-0.0050611+0.00094146i,-0.0039022-0.012706i,0.0097706-0.0069861i,-0.0083558+0.012608i,0.0016733-0.00030889i,0.00023003+0.0012339i,-0.00095112+0.00038336i,-0.0023368-0.0034966i,0.0057689-0.0028267i,-0.0027152-0.005928i,0.0014105+0.00332i,-0.00012595-0.0050577i,-0.0030995-0.0037701i,-0.0010601+0.0040827i,0.00052502-0.0030412i,0.00027112-0.0033337i,0.012441-0.019567i,0.0020783+0.0065711i,-0.00042649-0.0023739i,-0.0031284-0.0008611i,-0.0048876-0.0048566i,0.0029724+0.0090159i,-0.00019145-0.00096533i,0.0019513-0.0011303i,-0.0014887-0.0036249i,-0.00054369+0.0013269i,0.003103+0.0015852i,0.00026341+0.001302i,0.0045309-0.0016565i,-0.0035803+0.0020927i,-0.0020451+0.0084715i,0.0078728+0.013175i,0.0026068-0.019065i,-0.023619+0.0019065i,-0.022007+0.003268i,0.0074296-0.0063506i,0.017907+0.0028412i,-0.0069951-0.0019284i
0.03435-0.012246i,0.014903-0.0065198i,0.021126-0.012921i,0.012404-0.0098199i,0.011043-0.012923i,-0.002842-0.0064653i,0.014009-0.0032416i,0.0013796-0.01569i,-0.0041851-0.011655i,0.0024907+0.0018449i,-0.0015761-0.00087857i,-0.00095497-0.0016525i,0.0019856+0.0020916i,0.00086863-0.0013065i,0.00010237-0.0012049i,0.0024574-0.0020008i,-0.0049414-0.0030124i,-1.7704e-05-0.00053234i,0.00077981+0.00055016i,-0.0014921+0.0012764i,-0.0017603+0.0014621i,-0.00050418+0.00035342i,0.00047207+0.0012872i,-0.0045173-0.0053868i,0.0032747-0.0017043i,-0.00020702-0.0009001i,-0.00045728+0.00067595i,0.0014443+0.0002799i,0.00123+0.00067331i,0.0013273-0.00033155i,0.0019275+0.00075331i,0.0024053+0.0026033i,0.00014016+0.0012572i,0.00061562-6.3677e-05i,0.0010388+0.00040834i,0.0087004+0.0038281i,-0.00036485-0.00034157i,-0.00042444-0.00030212i,0.0020658-0.0003458i,0.00018637-1.5859e-06i,-0.0015861+0.0016422i,-0.00039997+0.0021096i,0.0031107+0.00011833i,0.0019093+0.0011994i,0.016112-0.023231i,0.0087605+0.010223i,0.017098+0.014901i,-0.0020219+0.010783i,0.010263-0.021157i,-0.00012189+0.0035937i,-0.0051454+0.021829i,-0.018008+0.020831i,0.0028533+0.024937i,-0.012025+0.0027646i,0.0054132-0.0066187i,0.0026273+0.0033515i,0.0046029-0.0011578i,0.0042666+0.012715i,-0.0042926+0.0040544i,-0.01044-0.0072392i,0.006077-0.0090276i,-0.0047777+0.014223i,0.0012943-0.0023193i,0.00068082+0.00081029i,-0.0010256+0.0002715i,-0.0020282-0.0024668i,0.004749-0.0036838i,-0.0042163-0.0049584i,0.0025676+0.0020946i,-0.0034643-0.0056963i,-0.0037617-0.0021415i,0.0012503+0.0030263i,-0.00021252-0.0034697i,-0.00085849-0.0038404i,0.0036426-0.020279i,0.0039611+0.0045079i,-0.00093099-0.0024871i,-0.0037604-0.00057023i,-0.006197-0.0026653i,0.0045979+0.0074169i,-0.00073013-0.0020832i,0.0022689-0.0021448i,-0.0021272-0.0027315i,0.00016474+0.0004561i,0.0036533+0.00072347i,0.0010832+0.0017792i,0.00312-0.0025091i,-0.0043774+0.0031588i,-0.00022267+0.00803i,0.011663+0.011687i,-0.0079117-0.0209i,-0.027382+0.0038859i,-0.019495+0.0093235i,0.0030306-0.003918i,0.01561-0.0020453i,-0.0071919-0.003002i
0.031633-0.01755i,0.014385-0.0093186i,0.017408-0.015451i,0.0079837-0.010937i,0.0081339-0.015642i,-0.0038247-0.005742i,0.015008-0.0065128i,-0.0017715-0.015538i,-0.0062398-0.011557i,0.0036059+0.0015251i,-0.0011001-0.00026624i,-0.001628-0.00087217i,0.0025874+0.0013095i,0.00053012-0.0013385i,2.765e-05-0.0011299i,0.0027667-0.0022736i,-0.0055218-0.00122i,2.6717e-05-0.00065399i,0.00060417+2.2673e-05i,-0.00092658+0.0017069i,-0.0013055+0.0016819i,-0.00070982+0.00032839i,0.00081803+0.001115i,-0.0058558-0.0016333i,0.0021914-0.0024572i,-0.00044856-0.00061549i,-0.00011048+0.00077646i,0.0014825-7.6635e-05i,0.00098771+0.00050532i,0.0010181-0.00074291i,0.0021912-8.005e-05i,0.0029062+0.0017233i,0.00079953+0.0012227i,0.00076688-0.00019485i,0.0012415+0.000764i,0.0085875+0.0016594i,-0.00056563-4.6351e-05i,-0.00040811+3.0793e-07i,0.0018746-0.0011135i,0.00062422-0.00022829i,-0.00080619+0.0021368i,0.00030222+0.0021283i,0.0028662-0.00081451i,0.0020074+0.0012139i,0.010335-0.025783i,0.0092986+0.0057965i,0.018715+0.010838i,0.00056098+0.008996i,0.0037949-0.022634i,-3.0487e-05+0.0055844i,0.0015064+0.022012i,-0.011136+0.021633i,0.010787+0.020934i,-0.0087031+0.0070218i,0.0040782-0.0070302i,0.0036994+0.001835i,0.0037611-0.0023913i,0.0084102+0.0091496i,-0.0016702+0.0052582i,-0.012391-0.00045269i,0.0022963-0.0097267i,-0.00075672+0.014008i,-0.00043126-0.003281i,0.000262+0.00043717i,-0.0010642+0.0006237i,-0.0017497-0.0020685i,0.0034699-0.0034397i,-0.0050387-0.0031383i,0.002878+0.00082569i,-0.0063146-0.0031839i,-0.0033539-0.0006239i,0.0019201+0.00097659i,-0.0010167-0.0037785i,-0.002223-0.0033582i,-0.0034971-0.017919i,0.005038+0.001969i,-0.0018337-0.0024306i,-0.0039075+0.00083523i,-0.0060292-3.3034e-05i,0.0058864+0.0060656i,-0.002444-0.0024979i,0.0018827-0.0036006i,-0.002468-0.0023238i,0.00023187-0.00086152i,0.0042576-3.4029e-05i,0.002002+0.0016786i,0.0017218-0.0019401i,-0.0046336+0.0046103i,0.0011514+0.0072122i,0.015792+0.0081997i,-0.018121-0.017317i,-0.029998+0.0075936i,-0.014665+0.012152i,0.0018621-0.0016828i,0.011577-0.0046986i,-0.0095605-0.0031807i
0.027804-0.02249i,0.013011-0.012641i,0.014159-0.017552i,0.004866-0.010879i,0.0046001-0.017591i,-0.0046377-0.0050507i,0.014799-0.011473i,-0.0046396-0.014791i,-0.0085463-0.010831i,0.0043942+0.00056665i,-0.00053594-0.00026535i,-0.0017602+0.00020349i,0.0026922+0.00038893i,0.00028895-0.0010809i,-0.00010445-0.0011776i,0.0028221-0.0030348i,-0.0055715+0.00057789i,-0.00015419-0.00091959i,0.00038945-0.00017121i,-0.00034014+0.0018458i,-0.00085478+0.0020362i,-0.00086146+0.00048505i,0.0010358+0.00077124i,-0.0048111+0.001872i,0.0012847-0.0026872i,-0.00060115-0.00030364i,0.00011766+0.00068766i,0.0012218-0.00054116i,0.0011125+0.00040929i,0.00052709-0.0010418i,0.0021583-0.00097605i,0.0034393+0.00091393i,0.0013179+0.00091965i,0.00074818-0.00062393i,0.0020224+0.00062568i,0.0082004-0.00014618i,-0.00042921+0.00037273i,-0.00028231+0.00029174i,0.0011792-0.0015744i,0.00095069-0.00067861i,-1.2867e-05+0.002417i,0.00095354+0.0019281i,0.0022116-0.0014189i,0.0023124+0.0015222i,0.0047717-0.026501i,0.0081691+0.0029495i,0.019517+0.0072437i,0.0021361+0.0080038i,-0.0023202-0.023694i,0.0029877+0.0077904i,0.007661+0.019727i,-0.003967+0.020577i,0.01689+0.014429i,-0.0033228+0.0087513i,0.0026883-0.0073372i,0.003738-0.00079089i,0.0027223-0.0038478i,0.00946+0.0040944i,-7.4436e-05+0.0046731i,-0.01143+0.0063547i,-0.0015669-0.0087597i,0.0025538+0.011786i,-0.0024062-0.0026691i,-0.00028504+0.00096573i,-0.00075163+0.0011065i,-0.0013584-0.0022016i,0.0035345-0.0021848i,-0.0045867-0.0016241i,0.0031957+0.00057507i,-0.0066975+8.8624e-05i,-0.0024394+0.00020677i,0.0014983-0.000252i,-0.0029249-0.0039708i,-0.0031398-0.002281i,-0.0090521-0.014444i,0.0047819-0.00063226i,-0.0026641-0.0017268i,-0.0027812+0.0019588i,-0.0048074+0.0017682i,0.0075705+0.0046212i,-0.0038817-0.0012022i,0.00050681-0.0048444i,-0.0032389-0.001589i,-0.00097511-0.0016166i,0.0049089-0.0018952i,0.0028098+0.0013034i,0.0017042-0.0012425i,-0.0033186+0.0065454i,0.0020718+0.0059992i,0.018819+0.0024492i,-0.023383-0.0090624i,-0.031793+0.013298i,-0.010324+0.013088i,0.00094226+0.00035394i,0.0081828-0.004728i,-0.011259-0.0019187i
