-0.0078371-0.039657i,-0.013148-0.043304i,0.0010453-0.045969i,-0.027296-0.027163i,-0.020416+0.014105i,-0.033389-0.03101i,-0.06075-0.059467i,-0.023026-0.071604i,-0.033915-0.050464i,0.0015946+0.014938i,-0.0067409+0.010722i,-0.014564+0.013657i,0.0018699+0.016066i,-0.0037126-0.0034232i,0.00079746+0.0063668i,0.00088996+0.037077i,0.020277+0.057929i,0.00080636-0.00020406i,-0.004767-0.0082303i,0.0081962+0.0045796i,0.0016821+0.0010041i,-0.0010588+0.0036133i,-7.5055e-05-0.0012066i,-0.036274-0.0091691i,-0.0024518-0.0070734i,-6.5179e-06+0.004498i,0.0049536+0.00023422i,0.00029048+0.0008507i,-0.00012331-0.0010893i,1.0084e-05-0.00271i,-0.0012362-0.0057096i,-0.0023888-0.0038635i,-0.00080496-0.0079668i,0.0031157-0.0013356i,0.0032494-0.0025241i,-0.0010416+0.034002i,0.0058701-0.0046132i,0.0034068-0.0021994i,0.0049482-0.00012108i,-0.0134-0.0040639i,-0.00014131+0.00036064i,0.0096136-0.00073169i,0.0061915-0.00044736i,-0.0033819+0.0037386i,0.0030147+0.0018539i,-0.0029874+0.0072833i,0.01312-0.088117i,-0.007599-0.047953i,-0.024726-0.039216i,-0.020905-0.041784i,0.06176-0.019381i,0.025721-0.06237i,0.038123-0.046641i,0.028629-0.057378i,0.018995-0.015817i,0.0087716+0.009549i,0.023829-0.031687i,-0.0074616-0.0047179i,0.0024379-0.0028309i,-0.0049539-0.0058781i,0.00034253-0.031994i,-0.024042+0.031525i,0.0078288-0.010399i,-0.011139-0.0013303i,-0.0053056-0.001153i,-0.0014848-0.013573i,-0.010231+0.0045554i,0.0038727+0.0080918i,-0.0098944+0.030972i,0.0055548+0.007394i,-0.0052455-0.0012643i,-0.0019726-0.0019256i,-0.011423-0.0073771i,0.00061482-0.0036256i,-0.034983+0.0049943i,0.0021709-0.012394i,-0.0090515-0.001878i,-0.0063471-0.0027687i,0.0063831+0.0013165i,-0.0095868+0.0018749i,0.0012596+0.00092214i,0.0053461+0.0091339i,0.0044333+0.00027577i,-0.009021-0.0093209i,0.0031631+0.0085553i,-0.019+0.0068727i,0.006432+0.0028531i,-0.029381-0.0080725i,-0.034015+0.0035182i,0.024628-0.078137i,0.012286-0.010421i,-0.043608-0.026499i,-0.023362-0.0029742i,0.018317+0.012502i,-0.026583+0.013078i,-0.011822-0.0085455i
-0.013215+0.020971i,0.012817+0.046906i,0.026821+0.044657i,0.00029409+0.017295i,-0.0022714+0.0065974i,0.027038+0.0010027i,0.014211+0.016238i,0.013696+0.044046i,0.0062375+0.019535i,-0.0018861+0.004855i,0.0010486+0.0016433i,0.0027539-0.0042641i,0.0026477-0.0025049i,0.0035608-0.00041563i,0.0030453-0.0022685i,0.0050519-0.0011127i,0.012701-0.0066392i,-0.00059717-0.000611i,-0.0048617+0.00045573i,-0.00020106+0.002383i,-0.00061725-0.00099312i,-0.005243-0.0017379i,-0.0024459+0.00059932i,0.0047684+0.0079599i,0.0017937+0.0014691i,0.0024805+0.00069401i,0.0019928+0.0014822i,-0.0015437+0.0033589i,-0.00039768+0.00086101i,-0.00069576+0.0011879i,0.00019752-0.0036825i,-0.0011361-0.0012931i,-0.00060083-0.00051823i,-0.00011012+0.00073792i,-0.00046217-0.001868i,-0.0058233+0.010306i,0.0030066+0.00011979i,0.00088552+4.7454e-05i,-0.00097004+0.0025388i,-0.00042262-0.0035376i,-0.0021996+0.00044133i,-0.0024676-0.001835i,0.0011405+0.0083483i,0.0037364+0.00069968i,-0.027141+0.021284i,-0.054506+0.026426i,-0.028531+0.048143i,-0.017237+0.032739i,-0.0035745+0.049414i,-0.006666+0.032098i,0.0098741+0.011462i,-0.0048013-0.0062828i,-0.039337-0.0064388i,-0.042473+0.017819i,0.0092146+0.02049i,-0.0016539+0.0028369i,-0.0051995+0.0023993i,-0.011365-0.0027688i,0.0096727+0.0013569i,0.012021+0.014036i,-0.0028435+0.0083897i,-0.006498-0.012195i,0.0052123-0.0024452i,-0.0047062-0.0042249i,0.0038631-0.007391i,0.0048344-0.0024152i,-0.0010686+0.0097902i,0.012473-0.004562i,0.0070929-0.0069323i,0.0052997-0.0069072i,0.0032882-0.00054493i,-0.0030152-0.0060674i,-0.0036686-0.0015935i,0.0028334-0.0011433i,-0.012188+0.035325i,-0.0054131-0.0049241i,0.0014285+0.00074619i,-0.00083497-0.0073693i,0.003185-0.0010384i,-0.014354-0.0046843i,0.0013062-0.0006137i,0.0031178-0.0030406i,0.0024747-0.0022527i,-9.4765e-05-0.0057174i,-0.001198+0.006765i,-0.00047033+0.0030259i,-0.0022355+0.0054567i,-0.011389-0.0017924i,-0.0087157+0.0030237i,-0.039074+0.04001i,-0.0072526+0.015881i,-0.022695-0.0051846i,-0.00014043-0.0017104i,0.0099256+0.019401i,-0.0010001+0.019458i,-0.0063251-0.00081364i
-0.010393+0.020626i,0.019668+0.042663i,0.034305+0.039179i,0.0042014+0.019247i,0.0013797+0.0069407i,0.026803-0.0047718i,0.015247+0.012829i,0.021072+0.039399i,0.0085066+0.01781i,-0.00029933+0.0046866i,0.0018697+0.0015606i,0.0003109-0.0032443i,0.0013218-0.0024989i,0.003306-0.00053388i,0.0023916-0.0027252i,0.0041289-0.0011528i,0.0092365-0.0090274i,3.6423e-05-0.00035396i,-0.0046072+0.001058i,0.00077255+0.0014855i,-0.0010752-0.0011707i,-0.0054712-0.00028146i,-0.0022289+0.00071567i,0.0085126+0.0047957i,0.0015044+0.0017883i,0.0029154-0.00045925i,0.002135+0.00048104i,-0.00010936+0.0035992i,-0.00067784+0.0014126i,-0.00035223+0.0014361i,-0.0012994-0.003219i,-0.0017665-0.0010984i,-0.0010185-0.00034224i,0.00029134+0.00048397i,-0.001331-0.00041868i,-0.0020906+0.010942i,0.0025251-0.0010402i,0.00087979-6.8901e-05i,0.0004221+0.0021772i,-0.0011306-0.0028714i,-0.0018217+0.00069357i,-0.003113-0.00072762i,0.0029206+0.0084971i,0.0030373+0.00016099i,-0.022516+0.025526i,-0.046629+0.03492i,-0.02215+0.052512i,-0.010211+0.034045i,0.0093614+0.045334i,0.0024641+0.029439i,0.0053334+0.0048843i,-0.011563-0.010131i,-0.043205-0.0041249i,-0.033778+0.018707i,0.013738+0.016493i,-0.0022686+0.0032012i,-0.0039201+0.006243i,-0.011491+0.0018154i,0.0081607-0.0021582i,0.014382+0.011268i,0.001386+0.011931i,-0.012227-0.010244i,0.0023457-0.0034511i,-0.0045043-0.0016537i,-0.00072146-0.0070642i,0.0032826-0.0041993i,0.0035926+0.0075407i,0.0085354-0.0078709i,0.0022214-0.0084962i,0.002069-0.005258i,0.0041478-0.0015959i,-0.0043264-0.0043354i,-0.0018793+0.00067088i,0.0029192-0.0017069i,0.0064748+0.035568i,-0.0069109-0.0038273i,0.0020035-0.00090823i,-0.0040118-0.0061231i,0.0036909-0.0018908i,-0.013885+0.0020105i,0.0016011-0.00021017i,0.0015733-0.0028649i,0.0023365-0.0034265i,-0.0018253-0.0053246i,0.00096004+0.0035762i,0.00095789+0.0025722i,0.00092202+0.0062331i,-0.010839+0.0020836i,-0.0083459+0.0045349i,-0.030502+0.041318i,-0.0044366+0.018498i,-0.02438-0.00037247i,-0.0015553-0.005821i,0.012517+0.018505i,0.0030787+0.02136i,-0.0084651-0.0005119i
-0.0084842+0.020703i,0.02519+0.037283i,0.042171+0.031264i,0.011013+0.017913i,0.0057005+0.0055593i,0.025156-0.010697i,0.015411+0.00924i,0.027351+0.03313i,0.011336+0.016851i,0.00061817+0.0042718i,0.0024749+0.00052946i,-0.00013894-0.0013137i,-1.0129e-05-0.0024227i,0.0033426-0.0010129i,0.0017198-0.0028765i,0.0033081-0.0011368i,0.0059135-0.010394i,-7.3159e-05-0.00082178i,-0.0044503+0.0024655i,0.00074709+0.00027507i,-0.0019568-0.00125i,-0.0051558+0.0013942i,-0.0023125+0.00095784i,0.0089538+8.5321e-06i,0.0024618+0.0013812i,0.0022282-0.0017228i,0.0019123-0.00023311i,0.0014446+0.0028513i,0.00030953+0.001768i,-6.0427e-05+0.0016463i,-0.002508-0.0020479i,-0.00238+0.00010872i,-0.0010279+0.00020639i,0.00021545+0.00013214i,-0.00071522+0.00059186i,0.0011017+0.010399i,0.0017083-0.0015637i,0.00079575-0.0005508i,0.00094518+0.0012424i,-0.0020789-0.0023236i,-0.0017118+0.00089135i,-0.0029957+0.00042145i,0.0052751+0.0085131i,0.0029139-0.000119i,-0.015906+0.028522i,-0.037603+0.041383i,-0.013712+0.055989i,-0.0025698+0.032517i,0.020427+0.037103i,0.010372+0.026996i,-0.00075608+0.0024596i,-0.018139-0.0092694i,-0.046473+0.0020681i,-0.027013+0.016582i,0.016414+0.010814i,-0.00242+0.0038912i,-0.0022195+0.0074578i,-0.010671+0.0054385i,0.0048951-0.0056662i,0.016863+0.0072777i,0.0071095+0.012145i,-0.016401-0.0059922i,0.0010798-0.0021899i,-0.0039198+0.00039214i,-0.0029384-0.0048164i,0.0011355-0.0045142i,0.0054951+0.0059574i,0.0054797-0.0086798i,-0.0025645-0.0068899i,0.0013801-0.0036643i,0.0038446-0.004126i,-0.0059807-0.0024551i,-0.00037559+0.00060791i,0.0018153-0.0026783i,0.021242+0.026717i,-0.0084095-0.0010775i,0.0019309-0.0019228i,-0.0039237-0.0038539i,0.0041239-0.003756i,-0.010109+0.0070487i,0.0026481-0.00024356i,0.00015315-0.0030865i,0.00085032-0.0035675i,-0.0034896-0.0037542i,0.00014534+0.0027293i,0.0020894+0.0014848i,0.0035495+0.0054152i,-0.0095828+0.0045038i,-0.0077826+0.0067529i,-0.024275+0.041469i,0.0030313+0.019636i,-0.023714+0.0039207i,-0.004199-0.0088654i,0.017151+0.015167i,0.0092131+0.022193i,-0.0097058+0.0012485i
-0.0065245+0.021177i,0.02859+0.031995i,0.046605+0.020703i,0.016185+0.012315i,0.008894+0.0017655i,0.02166-0.015657i,0.014809+0.0067984i,0.031098+0.025799i,0.014726+0.014433i,0.0012763+0.0041111i,0.0021939+5.7253e-05i,0.00049936-0.00043042i,-0.0013278-0.0012034i,0.0028877-0.0014606i,0.00089228-0.0029989i,0.0028635-0.00071029i,0.0022486-0.010069i,-4.8909e-05-0.0007042i,-0.0028034+0.0037494i,5.5739e-05-0.00023609i,-0.0026178-0.00030923i,-0.004341+0.0031507i,-0.0021376+0.0015935i,0.0068703-0.0035991i,0.0025308+0.00040305i,0.0011212-0.0020826i,0.0014974-0.00070592i,0.001939+0.0017354i,0.0010606+0.00091293i,0.00054642+0.0019158i,-0.0029396-0.00034151i,-0.0018973+0.0012905i,-0.00082941+0.00052297i,-0.00010539+0.0001589i,-0.00017217+0.00084103i,0.0039583+0.0091792i,0.001178-0.0018945i,0.00034883-0.00088075i,0.00096763+0.0010847i,-0.0027518-0.0014685i,-0.0013837+0.0012258i,-0.0027133+0.0012133i,0.0080243+0.0073338i,0.0027966-0.000423i,-0.0088446+0.028338i,-0.027399+0.045403i,-0.0045884+0.058243i,0.0020026+0.029874i,0.02845+0.025641i,0.017548+0.020334i,-0.0074199+0.004294i,-0.025192-0.0052222i,-0.047779+0.01063i,-0.023618+0.012775i,0.017372+0.0045598i,-0.0018576+0.0051809i,0.00028681+0.0096889i,-0.0086745+0.0086277i,-0.00053867-0.0057182i,0.018747+0.0011016i,0.01244+0.0094299i,-0.018633-0.00043427i,0.0006573-0.0018141i,-0.0026896+0.0015378i,-0.0038697-0.0017749i,-0.00013467-0.0041776i,0.0074259+0.0029143i,0.0025422-0.0092567i,-0.0050076-0.0022839i,0.001658-0.0029239i,0.0017042-0.0060241i,-0.0060078+0.00047214i,0.00068662+0.00078641i,0.0010209-0.002738i,0.029441+0.012926i,-0.0080262+0.0029656i,0.0016202-0.0031643i,-0.0039745-0.0024024i,0.0023397-0.0062694i,-0.0049944+0.0085223i,0.0034869-0.0016508i,-0.0010752-0.0019962i,-0.00010711-0.0031706i,-0.0034132-0.0015114i,-4.8002e-05+0.0032903i,0.0019795+0.00012874i,0.0056824+0.0037978i,-0.0079799+0.0063126i,-0.0066064+0.0086832i,-0.018829+0.042918i,0.013073+0.014439i,-0.021382+0.007922i,-0.0098304-0.010301i,0.018752+0.010186i,0.015716+0.019828i,-0.0088889+0.0025828i
-0.0038942+0.021704i,0.03193+0.027728i,0.047854+0.010892i,0.018329+0.005616i,0.0094384-0.0029379i,0.01784-0.019279i,0.014463+0.0055302i,0.032946+0.019145i,0.017852+0.011061i,0.0020274+0.0038532i,0.0019354+2.6046e-05i,0.0014085-0.00047173i,-0.0014701+0.00066033i,0.00236-0.0018795i,0.00012234-0.0025551i,0.0030796-0.00014774i,-0.00018173-0.0085828i,-0.00030274-0.00068291i,-0.0014232+0.0037467i,-0.00057821-0.0001167i,-0.0026715+0.00059417i,-0.0024202+0.0042267i,-0.0015543+0.0021037i,0.0039301-0.0054465i,0.0022804-0.00048658i,0.0003292-0.0021534i,0.0010585-0.0010676i,0.0017511+0.00080647i,0.00088642+0.00028115i,0.0014954+0.0016799i,-0.0022258+0.00088872i,-0.0010652+0.0018953i,-0.00056135+0.0006662i,0.00016566+0.00082424i,0.00051066+0.001044i,0.0061972+0.0073604i,0.00042717-0.0019538i,-0.00016967-0.00076499i,0.0017298+0.00079725i,-0.0029311-0.00044786i,-0.0010146+0.0012042i,-0.0022036+0.0019559i,0.010009+0.0047311i,0.0021361-0.0011284i,-0.00397+0.026702i,-0.016723+0.046708i,0.0069087+0.058592i,0.0065872+0.028258i,0.030693+0.012969i,0.020393+0.012681i,-0.010485+0.010848i,-0.029589+0.004003i,-0.046798+0.021667i,-0.0242+0.0099068i,0.014532-0.00094472i,-0.00028038+0.0062712i,0.004757+0.0090785i,-0.0059391+0.011258i,-0.0032932-0.002547i,0.017054-0.006575i,0.016131+0.0044031i,-0.018916+0.0058819i,0.00065431-0.00067854i,-0.0014184+0.002245i,-0.0023203+0.00019679i,-0.0020363-0.0030658i,0.0070013+0.00020777i,-0.0004281-0.0087507i,-0.0039918+0.0017892i,0.0023443-0.0035806i,-0.00081546-0.0064299i,-0.0041145+0.0023667i,0.0019247+1.9128e-05i,0.00053897-0.0023027i,0.030091-0.0012611i,-0.0047958+0.00564i,0.0002611-0.0039917i,-0.0034537-0.00193i,-0.00030104-0.0070295i,-0.001345+0.007686i,0.0028764-0.0031855i,-0.0010243-0.00019896i,-0.00013682-0.0024024i,-0.0018355-0.00062019i,0.0013935+0.0037414i,0.00084354-0.00079691i,0.0060652+0.0010499i,-0.0064661+0.0069369i,-0.0042275+0.010777i,-0.012013+0.044084i,0.017314+0.0020529i,-0.016837+0.0090485i,-0.015724-0.0086639i,0.019754+0.0051859i,0.020694+0.013353i,-0.0091726+0.0025641i
-0.0010178+0.021398i,0.035524+0.022758i,0.048165+0.0017512i,0.018875-0.00097194i,0.0088833-0.0067538i,0.013539-0.022272i,0.015341+0.004349i,0.033905+0.012886i,0.020599+0.0062639i,0.0024768+0.0033089i,0.0023409-8.5314e-05i,0.0019151-0.00083676i,-5.347e-05+0.0020853i,0.0018752-0.0020765i,-0.00011151-0.0022274i,0.003894+9.1645e-05i,-0.0012073-0.0077059i,-6.4112e-05-0.00082316i,-0.00040123+0.0036665i,-0.00090187+0.00030634i,-0.0020622+0.0012474i,-0.00033953+0.0039584i,-0.00091584+0.0023078i,0.00060398-0.0058328i,0.0020202-0.00098998i,-0.0005596-0.0020315i,0.00047231-0.0012621i,0.0016555+0.00043072i,0.00071323+0.00017267i,0.0019965+0.00077075i,-0.0014329+0.0015367i,-0.00018302+0.0020829i,-0.00034162+0.00099081i,0.00079657+0.0003875i,0.0009489+0.00015898i,0.0072594+0.0050683i,-0.00024604-0.0018332i,-0.00033113-0.00039496i,0.0015523-9.1394e-05i,-0.0024146+0.00013998i,-0.0009737+0.001423i,-0.0015149+0.0024421i,0.010934+0.00201i,0.0013405-0.00095159i,0.00033592+0.02436i,-0.0069227+0.045065i,0.01842+0.05448i,0.01125+0.026024i,0.029107+0.0020195i,0.020334+0.0060175i,-0.0082731+0.018117i,-0.028109+0.015657i,-0.039841+0.034111i,-0.026843+0.010639i,0.010798-0.003498i,0.0017191+0.0060762i,0.0074959+0.0066448i,-0.0023354+0.013248i,-0.0037681+7.1014e-05i,0.011576-0.013664i,0.016407-0.0024691i,-0.016594+0.010752i,0.0015103-0.00058298i,-8.8097e-05+0.0020614i,-0.0007524+0.00026267i,-0.0022377-0.00067246i,0.0057243-0.0013628i,-0.0025307-0.0071001i,-0.0011701+0.0038828i,0.0017664-0.0049335i,-0.0031906-0.0052042i,-0.0027745+0.0026437i,0.0019267-0.0015987i,0.00085735-0.0020219i,0.024686-0.0133i,-0.0016263+0.0059498i,-0.0012983-0.0036969i,-0.0034296-0.0011581i,-0.0029414-0.0065395i,0.00079947+0.0064836i,0.0023463-0.0043031i,0.00037544+0.00028138i,-0.00011396-0.002948i,-0.00071543-0.0012484i,0.0023547+0.0035887i,-0.00035575-0.00023583i,0.0051779-0.00048468i,-0.0054784+0.0072626i,-0.0006195+0.011736i,-0.0050189+0.043796i,0.013421-0.0085985i,-0.013925+0.0063505i,-0.020942-0.0037346i,0.018061-0.0014518i,0.02138+0.006542i,-0.0094155+0.0042306i
0.0018545+0.020936i,0.038204+0.016761i,0.046454-0.008308i,0.016292-0.0086524i,0.0073379-0.010867i,0.0085431-0.024114i,0.016988+0.0023116i,0.034011+0.0068405i,0.021173+0.00062417i,0.0028572+0.0033026i,0.0023495-0.00070034i,0.0022183-0.0020725i,0.0014952+0.0021237i,0.00125-0.0021999i,-0.00030437-0.0019222i,0.0048832-0.00042535i,-0.0025992-0.0071123i,-0.00067375-0.0010915i,0.0008204+0.0032036i,-0.001136+0.00090069i,-0.0017287+0.0014566i,0.0008077+0.002765i,-0.00045261+0.0023272i,-0.0023974-0.0046211i,0.0013999-0.002213i,-0.0013395-0.0013292i,-0.00020553-0.0012304i,0.0016061+0.00011065i,0.00093743-6.1635e-05i,0.0018654-0.00014093i,-0.00031016+0.001849i,0.00055452+0.0020505i,-0.00014658+0.0012168i,0.00068691+8.3582e-05i,0.0005112-0.0006424i,0.0076085+0.0029865i,-0.0010417-0.0014405i,-0.00035332-0.00027343i,0.0012988-0.00035528i,-0.0017894+0.00034542i,-0.00063563+0.0018681i,-0.00061434+0.0026552i,0.011239-0.0012444i,0.00088295-0.00058033i,0.0034466+0.021605i,0.0011554+0.041774i,0.027295+0.047501i,0.016054+0.023091i,0.024654-0.0067804i,0.018651+0.0014964i,-0.0022747+0.022401i,-0.019272+0.024764i,-0.026717+0.042049i,-0.028441+0.014969i,0.0075794-0.0041698i,0.0032937+0.0049344i,0.0086108+0.0032336i,0.0023598+0.013135i,-0.0039253+0.0018864i,0.0016073-0.016325i,0.013078-0.0080613i,-0.01345+0.014338i,0.0019558-0.0018553i,0.00071603+0.0014177i,-0.00057753-0.00048719i,-0.00086896+0.00058002i,0.004511-0.0016567i,-0.0036435-0.0057704i,0.0016434+0.0037545i,0.00020408-0.0062641i,-0.0045557-0.0034827i,-0.0012902+0.0028458i,0.00099093-0.0029227i,0.0010461-0.0028243i,0.015383-0.020235i,0.00078763+0.0053908i,-0.0021677-0.0030229i,-0.0029334-0.00090643i,-0.0049385-0.0053277i,0.0020155+0.0051282i,0.0012948-0.0060143i,0.0013377-0.00024061i,-0.0010497-0.0031395i,-0.0011286-0.0021526i,0.0041178+0.0034382i,-0.0006515+0.0011169i,0.0046547-0.0015202i,-0.0047407+0.0080199i,0.0025873+0.010786i,0.0020175+0.042937i,0.006209-0.015684i,-0.015798+0.0029476i,-0.022566+0.0033791i,0.012668-0.0057542i,0.021083+0.00077132i,-0.007758+0.0051036i
0.004777+0.019674i,0.040127+0.011082i,0.04178-0.016891i,0.010191-0.01361i,0.0039244-0.014219i,0.0038005-0.02453i,0.018661-0.00085705i,0.03303+0.0014233i,0.020437-0.0051199i,0.003897+0.0033683i,0.0020337-0.00081129i,0.0010623-0.003293i,0.0028801+0.0014293i,0.00076086-0.0021141i,-0.00028543-0.0019169i,0.0054642-0.0013595i,-0.0047049-0.005516i,-0.0011611-0.00067352i,0.0015097+0.0022036i,-0.00072612+0.0018318i,-0.001319+0.0019012i,0.00091837+0.0013265i,-1.6964e-05+0.0023959i,-0.0041731-0.0021498i,-0.00038256-0.0022659i,-0.0016042-0.0004813i,-0.00068483-0.00090768i,0.0014205-6.3541e-05i,0.00051024-0.00066788i,0.0014388-0.00076538i,0.00075143+0.0014914i,0.0011879+0.0016736i,0.00041677+0.0013676i,0.00052814+3.2827e-05i,-0.00023282-0.00020629i,0.0074192+0.0010205i,-0.0014291-0.00072606i,-0.00043913+5.8352e-05i,0.0012955-0.00025549i,-0.0012268+0.0002872i,3.2726e-05+0.0022125i,0.00023747+0.0025464i,0.0099904-0.0045781i,0.0006766+7.1136e-07i,0.0059078+0.018555i,0.0074865+0.037218i,0.033192+0.039897i,0.020734+0.018849i,0.018753-0.012285i,0.016374-0.0012173i,0.0042794+0.023702i,-0.00901+0.027326i,-0.012329+0.044306i,-0.027051+0.020734i,0.0060482-0.0039479i,0.0043884+0.0034212i,0.0081401+0.0004053i,0.0066179+0.010789i,-0.0031741+0.0041373i,-0.0073422-0.012428i,0.0081827-0.010979i,-0.0094727+0.017229i,0.0011933-0.0032848i,0.00092816+0.00076812i,-0.0010248-0.00042954i,0.00097017+0.00085471i,0.0041302-0.0018902i,-0.004865-0.004249i,0.0035536+0.0021111i,-0.0028544-0.0064938i,-0.0049122-0.0014605i,0.00013764+0.0019318i,0.00019066-0.003567i,0.00038945-0.0039712i,0.0057111-0.021944i,0.0025805+0.0041353i,-0.0027279-0.002554i,-0.0036466-0.00081101i,-0.0064777-0.0032615i,0.0022866+0.0041388i,-0.001217-0.0074653i,0.0020885-0.0012541i,-0.0016195-0.0022937i,-0.0017227-0.0023027i,0.0053133+0.0022846i,-0.00021019+0.0020759i,0.0032555-0.0025628i,-0.0036207+0.0092159i,0.0051456+0.0087502i,0.009833+0.04095i,-0.0042067-0.019435i,-0.019812+0.0028972i,-0.02014+0.01016i,0.007353-0.0058781i,0.017963-0.0052282i,-0.0063064+0.0036969i
0.0071749+0.017658i,0.04156+0.0044229i,0.036318-0.022995i,0.0042971-0.014389i,-0.00020514-0.016056i,-0.0001501-0.024475i,0.019585-0.0055107i,0.032051-0.0034768i,0.017937-0.010219i,0.0052121+0.0024578i,0.0023591-0.0010019i,-0.00036197-0.0031109i,0.0034828-0.00022818i,0.00046657-0.0020284i,-0.0005455-0.0021083i,0.0058796-0.0023281i,-0.0053838-0.0031138i,-0.0010948-0.00076128i,0.0014981+0.0011836i,0.00020499+0.0020529i,-0.00074754+0.0021065i,0.00054352+0.00048147i,0.00053402+0.0023067i,-0.0046216+0.0010352i,-0.0012084-0.0012079i,-0.00156+0.00025191i,-0.0009152-0.00052849i,0.001175-0.00039373i,-0.00018215-0.0003378i,0.00082382-0.0012083i,0.0014325+0.00073051i,0.001589+0.0011747i,0.0011426+0.0011211i,0.00075814-1.7352e-06i,-0.0001202+0.0005694i,0.0066512-0.00067013i,-0.0016419+9.176e-05i,-0.00024409+0.00031309i,0.0012908-0.00079555i,-0.0006271+8.3231e-05i,0.00087259+0.0021199i,0.0010263+0.0021829i,0.0074927-0.0069757i,0.0007402+0.00042812i,0.0069611+0.015847i,0.011618+0.031943i,0.037511+0.032494i,0.023919+0.01287i,0.012909-0.015335i,0.014739-0.001414i,0.01116+0.023089i,0.00041021+0.027405i,0.000743+0.041585i,-0.023194+0.026516i,0.0049911-0.0047342i,0.0051121+0.00136i,0.007546-0.0018556i,0.0096887+0.0069764i,-0.00084358+0.0049844i,-0.011713-0.0057886i,0.002987-0.01192i,-0.0041119+0.018515i,-0.00058622-0.0036811i,0.00035851+0.00064998i,-0.0011432-5.7092e-05i,0.0020098-3.3025e-05i,0.0035891-0.0016624i,-0.0052103-0.0020053i,0.003959+0.00010875i,-0.0052427-0.0045306i,-0.004076+0.00021743i,0.00035212+0.0006854i,-0.00079522-0.0042089i,-0.0011612-0.0043918i,-0.0026117-0.020246i,0.0040516+0.0020239i,-0.0037121-0.0016667i,-0.0039191+0.00083941i,-0.0065425-0.00041488i,0.0030187+0.0037506i,-0.004713-0.0073332i,0.0023713-0.0029419i,-0.0017075-0.0021338i,-0.0023419-0.0026921i,0.0063941+0.00063438i,0.00081664+0.002546i,0.0018548-0.0018674i,-0.0017806+0.009624i,0.0064591+0.0062966i,0.017502+0.036661i,-0.015329-0.017328i,-0.02308+0.0053665i,-0.015091+0.013517i,0.0043779-0.004717i,0.012674-0.0084128i,-0.0076672+0.0028049i
0.0086549+0.015769i,0.041676-0.0027735i,0.03097-0.028063i,0.00035491-0.0136i,-0.004357-0.016653i,-0.0044337-0.024348i,0.01878-0.011298i,0.030679-0.008629i,0.013959-0.014471i,0.0059918+0.0009787i,0.002695-0.0019196i,-0.0013715-0.0023122i,0.0028951-0.0017252i,0.00022717-0.0018959i,-0.001201-0.0022344i,0.0060461-0.003784i,-0.0052785-0.0011863i,-0.001554-0.00088886i,0.0013458+0.0006701i,0.0009616+0.0018606i,-0.00023465+0.0022492i,-0.00012634+0.00028499i,0.00097467+0.0020499i,-0.0031716+0.0037782i,-0.0010947-0.00012534i,-0.0012496+0.0010104i,-0.0010365-0.00014728i,0.00086293-0.0004591i,-0.00023928+4.046e-06i,-3.8391e-06-0.0012678i,0.0016175-0.00014478i,0.0019033+0.00066201i,0.0014489+0.0005936i,0.00065937-0.00067349i,0.00050712+0.00076252i,0.0057244-0.0019751i,-0.0013695+0.00079258i,5.3947e-05+0.00043024i,0.00026782-0.0010635i,-0.00017745-0.00049547i,0.0015811+0.0017519i,0.0015229+0.0016377i,0.004619-0.0076738i,0.0011117+0.0012638i,0.0076868+0.013823i,0.013825+0.027907i,0.040612+0.02502i,0.024725+0.007528i,0.0068966-0.017183i,0.016083-0.0010702i,0.017561+0.019818i,0.010354+0.024232i,0.011886+0.034736i,-0.016098+0.030836i,0.0034561-0.0053021i,0.0044726-0.001696i,0.0064997-0.0041365i,0.010103+0.0021651i,0.00047828+0.0044117i,-0.012749+0.0014693i,-0.0018489-0.010773i,0.00040332+0.016652i,-0.0023079-0.0029754i,4.6572e-05+0.0013028i,-0.0011492+0.00035626i,0.0027804-0.001366i,0.0043546-0.00081856i,-0.0040839-0.00038339i,0.0037948-0.0006765i,-0.0060293-0.0021375i,-0.0029685+0.0010093i,1.6384e-05+0.00030278i,-0.0031373-0.0047317i,-0.0026286-0.0036817i,-0.00936-0.016567i,0.004202-0.00055922i,-0.0040084-0.00035618i,-0.0026323+0.0020006i,-0.0055932+0.0015553i,0.0041861+0.0031531i,-0.007532-0.0048512i,0.0010547-0.0046323i,-0.0025267-0.0016142i,-0.0040536-0.0024185i,0.0067998-0.0018971i,0.0021505+0.0027466i,0.0022343-0.0014972i,0.00053612+0.010189i,0.0065497+0.0038365i,0.023865+0.030155i,-0.021912-0.0092504i,-0.025807+0.010084i,-0.01017+0.015007i,0.0018628-0.0026827i,0.0081904-0.0082468i,-0.0085557+0.0032442i
