-0.024526-0.0045912i,-0.020674-0.0078684i,-0.012589-0.013315i,-0.035245-0.0077977i,-0.026977+0.0018858i,-0.035439-0.0023532i,-0.065881-0.038102i,-0.032936-0.014667i,-0.021272+0.0029699i,0.0066173+0.0057361i,-0.0050752+0.0068202i,-0.00818+0.017987i,0.0049352+0.007458i,-0.0010171+0.0034754i,0.0039577+0.0041248i,0.0042335+0.026126i,0.019455+0.019326i,0.0011875-0.00069641i,0.00037395-0.0051654i,0.0088622+0.00017776i,0.0047342-0.0012918i,0.0022372+0.0020344i,0.0010425-0.00048079i,-0.023531-0.0018788i,-0.0059708-0.0035055i,-0.001049+0.0031142i,0.0034505-0.0036931i,-0.0021091-0.0001516i,-0.00049946+0.00095227i,-0.0024224-0.0015777i,-0.0038697-0.00034539i,-0.0066567-0.0089386i,-0.0049256-0.005397i,-0.00065409-2.3998e-05i,-0.00068242-0.0023392i,-0.001512+0.020536i,0.0026389-0.0040574i,0.0010198-0.0043777i,0.0025861-0.0021981i,-0.0024626-0.003644i,0.0010811-0.00027326i,0.0076231-0.00045957i,0.0038532-0.0032365i,-9.8975e-06+0.0021427i,-0.013449+0.015048i,-0.027263+0.053459i,-0.0052322-0.03723i,-0.014851-0.018578i,-0.039963-0.016722i,-0.027297-0.012684i,0.037225-0.011501i,0.0063695-0.029796i,0.013862-0.037525i,-0.007923-0.029742i,0.026039-0.022872i,0.013355+0.0071361i,0.028011-0.036961i,-0.0017445-0.0045221i,0.0057735-0.0091614i,-0.00084965-0.0059179i,0.00011904-0.036178i,-0.01465+0.028649i,0.0090292-0.011654i,-0.0082423-0.0055648i,-0.0027184-0.0020259i,-0.00047865-0.015317i,-0.0076996+0.0061174i,0.0040256+0.0063895i,-0.0014284+0.028582i,0.0024679+0.00081744i,-0.0070953-0.0045275i,-0.0039954-0.0063114i,-0.01478-0.0099904i,-0.0022598-0.0057054i,-0.03974+0.0074395i,-0.0047559-0.0087404i,-0.01288-0.00094154i,-0.010327-0.0062293i,0.001913-0.0017949i,-0.013583+0.002377i,-0.0015793-0.000699i,0.0055564+0.0062567i,0.0037206-0.0052547i,-0.011955-0.015286i,0.0075731+0.0088185i,-0.015921+0.006768i,0.0047405+0.0003406i,-0.019695-0.0031784i,-0.016255-0.0039608i,-0.015575-0.035333i,0.020206-0.0095537i,-0.039673-0.026232i,-0.010402+0.0046966i,0.017975+0.016078i,-0.021983+0.016657i,-0.0042698-0.0036363i
0.0078584-0.0099354i,0.010491+0.00092693i,0.007451+0.0036789i,0.014582-0.0035047i,0.018562-0.0017903i,0.015588-0.013291i,0.016124-0.0055724i,0.011978-0.0018442i,0.0012299-0.0095427i,-0.0016813+0.001754i,-0.0014464-0.00037071i,-0.0012967+0.00025097i,-0.00057882+0.0041589i,-0.0018424+0.0024743i,0.0010909+0.0021178i,0.00085671+8.6748e-05i,0.0034224-0.0017691i,0.00055285-0.0013564i,0.0015513-0.00077505i,4.24e-05+7.7144e-06i,0.00056293-0.0025761i,-0.00095634-0.0016195i,-0.00069746-0.00042494i,0.0024625+0.004245i,-0.0020096+0.0006331i,-0.0018739+0.0018339i,-0.0024928+0.00045894i,-0.0019151+0.00019923i,-0.0021907-0.0006894i,-0.0023012+0.0007006i,0.00062989-0.0013919i,0.00044351+0.0012244i,0.0013202+0.00033665i,0.0016519+0.0004115i,0.00085162-0.00046429i,-0.0081241+0.0063389i,-0.0015474-0.00035412i,-0.0012273+0.00039571i,-0.0027447+0.00021876i,0.00067248-0.002557i,3.719e-05-0.0010937i,0.0007778-0.001229i,-0.0008801+0.0014381i,0.0029919+8.3695e-05i,0.00086241-0.012951i,-0.025836-0.0072035i,-0.0020761-0.0063783i,-0.0070763+0.0017611i,0.016249+0.022409i,0.0017484+0.0047939i,0.012903-0.014013i,-0.012697-0.028218i,-0.0042425-0.012831i,0.0078898-0.0075449i,0.020019+0.017562i,0.0018093+0.0009869i,-0.00095215+0.0004584i,-0.0057765-0.0011343i,0.010701-0.003298i,0.013534+0.0095025i,0.0030422+0.0048967i,-0.0043593-0.0073289i,0.0063425-0.0035267i,-0.0041809-0.0065141i,0.0029577-0.011535i,0.0063722-0.0061491i,-0.00068945+0.0077408i,0.0094323-0.0082997i,0.0042504-0.0081862i,0.0010434-0.0066325i,-0.0030151-0.0014637i,-0.0061662-0.0069676i,-0.0066268-0.0019069i,-0.00042793-0.0015426i,-0.0051936+0.032476i,-0.010602-0.0030604i,0.00022418+0.0029937i,-0.0042385-0.0069442i,0.000272+0.00057819i,-0.016404+0.0011546i,-0.0028313+0.0013784i,-0.0017239-0.0022358i,-0.0034874-0.00042947i,-0.0056211-0.0041563i,-0.0021258+0.0052428i,-0.0013863+0.0022612i,-0.0051519+0.0060704i,-0.0061082+0.0002064i,-0.0024351-0.0013501i,0.0075906-0.0020309i,-0.0061388+0.018802i,-0.028156-0.0020627i,-0.010299-0.0028804i,0.012203+0.016614i,-0.0020687+0.017049i,-0.0071391-0.0046449i
0.0061581-0.01179i,0.01075-0.0025131i,0.0081116+0.0026445i,0.013315-0.0051846i,0.018231-0.004907i,0.013111-0.015703i,0.013226-0.0086426i,0.011353-0.003785i,-0.00065669-0.0099209i,-0.00060419+0.0018769i,-0.00098805+0.00034063i,-0.0013799+0.0014718i,0.00062597+0.0040647i,-0.00082878+0.003144i,0.0011131+0.0015396i,0.00072715+0.00050358i,0.0022252-0.0025825i,0.00069343-0.0015626i,-0.00063926-0.00081274i,0.00042622-0.00050985i,-0.00014292-0.0026823i,-0.0014368-0.001331i,-0.0007266-0.00064166i,0.00451+0.0028355i,-0.0020489+0.0018567i,-0.00078127+0.0025326i,-0.0024934+0.0012155i,-0.0019289+0.0010056i,-0.0027771+0.00049743i,-0.0019727+0.0018732i,-0.0005602-0.0014779i,0.00043207+0.00034284i,0.00087238-0.0001703i,0.0022132-0.00058453i,0.00037422-0.00018916i,-0.0059319+0.008801i,-0.0020881+0.00036453i,-0.0011033+0.0010949i,-0.0027685+0.0013633i,7.1478e-05-0.002443i,-0.00017785-0.0011412i,0.00040142-0.0014906i,-0.00064468+0.0015353i,0.0022248-5.2936e-05i,-0.00072792-0.012394i,-0.024296-0.0046818i,-0.0042377-0.0036434i,-0.0043135+1.1583e-05i,0.025202+0.015186i,0.0053821+0.0021315i,0.0064903-0.017142i,-0.020908-0.027132i,-0.0089995-0.013771i,0.010926-0.014602i,0.019062+0.007332i,0.00061494+0.00032904i,-0.00027786+0.0027374i,-0.0057835+0.0008822i,0.0077109-0.0069072i,0.01539+0.0051278i,0.0058815+0.0054716i,-0.008717-0.0057023i,0.0026139-0.0053949i,-0.0051368-0.0041538i,-0.0026658-0.010107i,0.0035698-0.0078116i,0.0029936+0.0057962i,0.004674-0.0097625i,0.00076971-0.0066405i,-0.0024143-0.0037594i,-0.0022243-0.00043013i,-0.0078132-0.0046527i,-0.0060682-6.2228e-05i,-8.4252e-05-0.00088183i,0.009006+0.03065i,-0.011856+0.0010393i,0.000926+0.001764i,-0.0065915-0.0034596i,0.00060555+0.0002609i,-0.014134+0.0083112i,-0.0017825+0.0025667i,-0.0023499-0.00045052i,-0.0025982+0.00014426i,-0.0060934-0.0017192i,-1.0073e-05+0.0028489i,-0.00040091+0.0017524i,-0.0013886+0.0074954i,-0.0042187+0.0019364i,-0.0035938-0.0013269i,0.0085252-0.0086245i,-0.0019684+0.020958i,-0.028466+0.0034106i,-0.011295-0.0041855i,0.014445+0.014125i,0.00098915+0.01868i,-0.0094391-0.0036495i
0.0034873-0.012997i,0.0088412-0.0064802i,0.0092493+0.00069813i,0.012544-0.0069494i,0.017665-0.008069i,0.010137-0.01804i,0.009747-0.011193i,0.010586-0.0057986i,-0.0025035-0.0093248i,-0.00053248+0.0012843i,-0.0006316+0.00029422i,-0.00058217+0.0023807i,0.0015879+0.0033554i,0.00028431+0.0028844i,0.0012235+0.0015291i,0.00078739+0.00075545i,0.00073614-0.0027799i,0.00049995-0.002082i,-0.0010992-0.00083619i,0.00017808-0.0013417i,-0.0010569-0.0026333i,-0.0014966-0.00080451i,-0.0010888-0.00082243i,0.005134+0.00037111i,-0.0011142+0.0028007i,-7.6186e-06+0.0025792i,-0.0022482+0.0025082i,-0.0014651+0.0017488i,-0.0024722+0.0020655i,-0.0010864+0.0027483i,-0.0002491-0.00053848i,0.00011398+0.00090587i,0.0006767-0.00023517i,6.6201e-05-0.0018459i,0.00034392+0.00022544i,-0.0029002+0.010703i,-0.0020337+0.0016407i,-0.00052002+0.0015009i,-0.0020957+0.0027146i,-0.00047478-0.0023871i,-0.00030766-0.0011501i,-4.3061e-05-0.0015971i,-0.00063831+0.0018463i,0.0023205+0.0002747i,-0.0015945-0.011548i,-0.025224-0.0025136i,-0.0025486+0.00092579i,-0.0019337-0.0028639i,0.033057+0.0045209i,0.0081381+0.00022425i,4.7355e-05-0.017311i,-0.027447-0.023399i,-0.012991-0.011217i,0.0097774-0.023063i,0.020344+0.0049978i,-0.0010304+0.00041538i,-0.000407+0.0021233i,-0.0059717+0.0022321i,0.0024941-0.0098904i,0.015808-0.00020597i,0.0080429+0.0039931i,-0.011171-0.0019247i,0.00074225-0.0043541i,-0.0055078-0.0015163i,-0.0052675-0.006944i,0.00077733-0.0076431i,0.005034+0.0047372i,0.0013929-0.0093475i,-0.0021008-0.0059338i,-0.0025401-0.00076081i,-0.0020418-0.00051184i,-0.0093494-0.0012447i,-0.0037459+0.0031082i,-0.00070512-0.0013013i,0.0186+0.022328i,-0.011114+0.0066032i,0.0013393+0.0011366i,-0.0047224-0.00012849i,0.0011566-0.00081642i,-0.0079573+0.013254i,-0.000126+0.0035143i,-0.0025653+0.00039261i,-0.0024252+0.0013392i,-0.0057242+0.0013787i,-0.00096071+0.0024703i,4.6395e-06+0.0011753i,0.0016294+0.0069699i,-0.0030989+0.0014662i,-0.0050516+0.00024656i,0.0053625-0.014059i,0.0076396+0.019861i,-0.026904+0.0071513i,-0.01268-0.0049219i,0.017023+0.0095514i,0.0059251+0.019809i,-0.010751-0.0021072i
0.00080917-0.013002i,0.0053125-0.0081149i,0.009143-0.001922i,0.01129-0.009127i,0.016171-0.011342i,0.0065054-0.019495i,0.0058704-0.012114i,0.0093183-0.0076517i,-0.0037569-0.0085184i,-0.00082094+0.0019736i,-0.00074839+0.00037512i,0.0004811+0.002552i,0.0018223+0.0026095i,0.00074339+0.0026167i,0.0015769+0.0014292i,0.00076711+0.0010016i,-0.00055748-0.002025i,8.0089e-05-0.0024377i,-0.001034-0.00074336i,-0.00066727-0.0017414i,-0.0017582-0.0020878i,-0.0015698-0.00051962i,-0.0015899-0.0006771i,0.0044574-0.0016614i,5.6867e-05+0.0031545i,0.00084148+0.0026537i,-0.00089639+0.0037489i,-0.0008411+0.0021779i,-0.0012482+0.0030452i,0.00013402+0.0030167i,-0.0004582-0.00037646i,0.00086198+0.00084399i,0.0005745-0.00037957i,-0.00085001-0.00074537i,0.00039692+0.00045326i,0.00068029+0.011222i,-0.0011125+0.002638i,-6.3821e-05+0.0015916i,-0.0008363+0.0034841i,-0.0012504-0.0023279i,-0.00053744-0.0012002i,-0.00033909-0.0016384i,-0.00025995+0.0023593i,0.0025959+0.00022006i,-0.0019041-0.011697i,-0.017459-0.0024237i,0.00097199+0.0024377i,-0.0033403-0.0062728i,0.035969-0.010013i,0.010205-0.004273i,-0.0058572-0.014417i,-0.033673-0.016798i,-0.015085-0.0064045i,0.0041459-0.030326i,0.018253-0.0015362i,-0.0018304+0.001683i,-0.00037015+0.0043556i,-0.005614+0.0041758i,-0.0039922-0.0082997i,0.014273-0.0058151i,0.00993+0.0015472i,-0.011503+0.0020463i,-0.00048476-0.0041247i,-0.0044786+0.00068669i,-0.0062957-0.0031197i,-0.0010306-0.0075952i,0.0063972+0.001544i,-0.0013971-0.0084747i,-0.0036743-0.0024838i,-0.0014398+0.00094695i,-0.0023917-0.00023523i,-0.0085513+0.0028819i,-0.0014082+0.0043112i,-0.0014503-0.0011979i,0.0241+0.012598i,-0.006976+0.01151i,0.0016344+0.00024324i,-0.0036122+0.001637i,0.00015004-0.001964i,-0.0013443+0.013536i,0.0018686+0.0027125i,-0.0020844+0.0023087i,-0.0015923+0.002641i,-0.0022571+0.0046925i,-0.00068598+0.0037845i,-0.00028719+0.00063091i,0.0044734+0.0059648i,-0.003156+0.00078531i,-0.0059083+0.0023984i,0.0011013-0.015312i,0.017896+0.010264i,-0.023541+0.011151i,-0.016019-0.0043218i,0.015581+0.0050082i,0.011279+0.018318i,-0.010125-0.00082798i
-0.0011686-0.012602i,0.0030105-0.0078478i,0.0082421-0.0038533i,0.0097858-0.010969i,0.014153-0.014163i,0.0030751-0.02037i,0.0027338-0.011663i,0.007724-0.0089251i,-0.00466-0.0076495i,-0.00064532+0.002676i,-0.0008894+0.00067762i,0.0013499+0.0022463i,0.0018138+0.0023035i,0.00109+0.0023798i,0.0019184+0.0011863i,0.00083468+0.0014957i,-0.00094022-0.0010528i,-0.00078716-0.0026511i,-0.0013027-0.00090169i,-0.0016019-0.001584i,-0.00217-0.0016269i,-0.0015328-0.00019434i,-0.0019817-0.00016859i,0.0031461-0.0028746i,0.001226+0.0031077i,0.0018783+0.0023667i,0.00076916+0.0040309i,-0.00022802+0.0024989i,0.00013116+0.0033798i,0.0013855+0.0027859i,-0.00034726-0.00014046i,0.0015384+3.4187e-05i,0.00033746-0.00030308i,-0.00047643+0.00022092i,0.00065739+0.0010833i,0.0039343+0.010656i,4.6505e-05+0.003165i,0.00033336+0.001757i,0.00069677+0.0037091i,-0.0018083-0.0019121i,-0.00085223-0.0012176i,-0.00086017-0.0017001i,0.00040362+0.0024635i,0.0026317-0.00037668i,-0.0031207-0.012261i,-0.011526+0.0007515i,0.0055404+0.0018432i,-0.0053645-0.0066828i,0.031922-0.023307i,0.0094975-0.0089428i,-0.0084579-0.0095007i,-0.035972-0.0074398i,-0.014939-0.00039831i,-0.0045817-0.032982i,0.013794-0.0047011i,-0.0012225+0.0030986i,0.0023567+0.0047623i,-0.0044644+0.0057422i,-0.0068377-0.0039195i,0.010209-0.011368i,0.01068-0.0022003i,-0.010879+0.0054027i,-0.0014204-0.0025884i,-0.0029056+0.0016716i,-0.0048005-0.0007693i,-0.0041415-0.0062092i,0.0058389-0.00059715i,-0.0036637-0.0067904i,-0.0032074+0.00041643i,7.8466e-05+0.0016306i,-0.0022957+0.00035206i,-0.005773+0.0059372i,0.0013925+0.0034642i,-0.0017884-0.00010603i,0.023901+0.00078534i,-0.001612+0.014042i,0.0010649-0.00051371i,-0.0017602+0.0018777i,-0.0010082-0.0014681i,0.0032314+0.011333i,0.0025404+0.0017383i,-0.00025558+0.0041395i,0.00068428+0.0035658i,0.0013875+0.0053264i,0.0010072+0.0033318i,-0.0013035+0.00076692i,0.0059227+0.0033379i,-0.0040179+0.00066396i,-0.0049335+0.005061i,-0.0011525-0.015226i,0.018858-0.0046007i,-0.018123+0.011141i,-0.018698-0.0021004i,0.015171+0.0015806i,0.015258+0.013551i,-0.010901-0.00084977i
-0.0028883-0.012064i,0.0019208-0.007686i,0.0075454-0.0053676i,0.0080794-0.012968i,0.011742-0.016695i,-0.00069992-0.02081i,0.00073108-0.010625i,0.0062846-0.0098655i,-0.005159-0.006829i,-7.2625e-05+0.0030747i,-0.00076782+0.0012058i,0.0020661+0.0017964i,0.0021044+0.0022949i,0.0015029+0.0022689i,0.0022132+0.00076019i,0.0012518+0.0024466i,-0.00072593-0.00049889i,-0.0017388-0.0025332i,-0.0018794-0.00072877i,-0.0023204-0.0010135i,-0.0023399-0.0011761i,-0.0013617-3.6134e-06i,-0.0021259+0.00048217i,0.0015255-0.0035698i,0.0024516+0.0025125i,0.0028059+0.0016197i,0.0023503+0.0034233i,0.00070975+0.0027626i,0.0014688+0.0031726i,0.0024079+0.0020127i,-0.00019979-3.5273e-05i,-0.0028788+0.0035789i,3.4598e-05+0.00013868i,-2.0045e-06+0.00050562i,0.0022812+0.0019582i,0.0067798+0.0092613i,0.0015203+0.0030623i,0.0010497+0.0018421i,0.0021027+0.0031652i,-0.0021575-0.0013303i,-0.0013583-0.0011339i,-0.0015447-0.0016081i,0.00092258+0.0024652i,0.0024802-0.00073709i,-0.0044543-0.012622i,-0.0083073-2.4984e-05i,0.0090011-0.0016626i,-0.006601-0.0058218i,0.024659-0.033777i,0.0068492-0.012157i,-0.0079974-0.0050427i,-0.034434+0.0011949i,-0.010309+0.0061242i,-0.012142-0.031097i,0.010274-0.0059072i,-8.8614e-05+0.0037566i,0.0040481+0.0031385i,-0.0030299+0.0073092i,-0.0073967-0.00044675i,0.0033493-0.014662i,0.0087796-0.0063971i,-0.0096224+0.0082614i,-0.00083913-0.0015937i,-0.0018753+0.0015012i,-0.0036799-9.6011e-05i,-0.0050519-0.0033021i,0.0044369-0.0018838i,-0.0052772-0.005017i,-0.0011267+0.001659i,0.0017948+0.00069123i,-0.0019681+0.0011129i,-0.0029457+0.0071696i,0.0019731+0.0013951i,-0.00085632+0.00094227i,0.01916-0.0079313i,0.0078253+0.011051i,0.00067668-4.5353e-05i,-0.0009933+0.0017658i,-0.0015595-0.00017873i,0.0063816+0.0084297i,0.0033917+0.00076542i,0.0027814+0.0039704i,0.0022731+0.0022887i,0.0037624+0.0042529i,0.0016985+0.0028901i,-0.0015794+0.0020947i,0.0053733+0.0015768i,-0.0053574+0.0014043i,-0.0025277+0.0063758i,-0.0030478-0.015433i,0.011159-0.015319i,-0.015607+0.0070142i,-0.021639+0.0017784i,0.012943-0.0031733i,0.016618+0.0085331i,-0.012084+0.00032676i
-0.0046636-0.011174i,0.00055967-0.0078412i,0.0063264-0.0076753i,0.0055358-0.014999i,0.0087842-0.018947i,-0.0048605-0.020309i,-0.00040201-0.0097336i,0.0048878-0.010929i,-0.0055199-0.006145i,0.00034858+0.0037361i,-0.00060496+0.0015554i,0.0023209+0.00081404i,0.002569+0.0021166i,0.0018879+0.0020033i,0.0023841+0.00032106i,0.0022878+0.0028638i,-0.00071932-0.00021829i,-0.0028574-0.0021131i,-0.002158-0.00011975i,-0.0029605-0.00012632i,-0.0028996-0.00086913i,-0.0012469-0.00010492i,-0.0021073+0.0011608i,-0.00013718-0.0035814i,0.0033079+0.001199i,0.0032661+0.00052648i,0.0033144+0.002394i,0.0018371+0.0024622i,0.0027345+0.0023845i,0.0030095+0.00084136i,-1.6571e-06-4.4567e-05i,0.0014584+0.0024973i,6.0851e-05+0.00034995i,0.00052829+0.00056157i,0.0063441-0.014168i,0.009017+0.0067708i,0.0026586+0.0022153i,0.0016819+0.001464i,0.003391+0.0020891i,-0.0022306-0.00070508i,-0.0018563-0.00065653i,-0.0020321-0.0010201i,0.0015683+0.0023074i,0.0021378-0.0010596i,-0.0063176-0.012699i,-0.0063617-0.0021596i,0.0099916-0.0056805i,-0.006179-0.0041438i,0.014199-0.040953i,0.0037339-0.013591i,-0.0062902-0.0028194i,-0.029492+0.0065655i,-0.0023725+0.0083948i,-0.018082-0.026801i,0.0074062-0.0062414i,0.0009831+0.0036437i,0.0038748+0.0012472i,-0.00044869+0.0079251i,-0.0073494+0.0027983i,-0.0048366-0.013606i,0.0052769-0.0084365i,-0.0073008+0.010709i,-0.00015974-0.0022714i,-0.0015305+0.0012782i,-0.0035377-3.2688e-05i,-0.0045871-0.0012161i,0.0032846-0.0021253i,-0.006702-0.0040361i,0.00026019+0.0012944i,0.0024472-0.0014116i,-0.0015026+0.0017827i,0.00047052+0.0069275i,0.0010358+0.00034198i,-3.4104e-06+0.00052734i,0.012638-0.012212i,0.0081939+0.0061782i,0.0012034-0.00023917i,2.761e-05+0.0010388i,-0.0006801+0.00048779i,0.0079223+0.0052528i,0.0041538-0.0014345i,0.004586+0.0024356i,0.0028855+0.0013013i,0.0044061+0.0015764i,0.0031522+0.0025767i,-0.00050507+0.0035302i,0.0062928-3.3671e-05i,-0.0058545+0.0034254i,-0.00033398+0.0062911i,-0.0042675-0.014873i,0.00089145-0.021471i,-0.018304+0.0037865i,-0.021774+0.00703i,0.0068905-0.0058047i,0.016882+0.0034507i,-0.011975+0.0015863i
-0.0057241-0.010101i,-3.5948e-05-0.007228i,0.0041062-0.0090859i,0.0019948-0.016213i,0.0052925-0.020578i,-0.0085829-0.018586i,-0.00085925-0.0090838i,0.0032857-0.011815i,-0.0057494-0.0057713i,0.0017601+0.0044898i,-0.00027814+0.0022585i,0.0021603+0.00019728i,0.0031527+0.001779i,0.0023403+0.0017517i,0.0024431-0.00020565i,0.0028795+0.0021633i,-0.00085637+0.00020767i,-0.0037697-0.0009285i,-0.0020654+0.00045567i,-0.003065+0.0011658i,-0.0034207+9.9262e-05i,-0.0017461-0.00022143i,-0.0018024+0.0018422i,-0.0017182-0.0028644i,0.003267-0.0002039i,0.0031902-0.00068381i,0.0041398+0.00096006i,0.0026789+0.0017146i,0.0034319+0.00099176i,0.0030381-0.00039278i,0.00011401-0.00019756i,0.0023884+0.00090489i,0.00042308+0.00053442i,0.0010015+0.00013365i,-0.0014222-0.0020742i,0.010241+0.0034935i,0.0032975+0.0010113i,0.0021662+0.00090701i,0.0040027+0.00040423i,-0.0021745-3.4026e-05i,-0.0021021+3.466e-06i,-0.0021929-0.00038478i,0.002191+0.001754i,0.0017685-0.001321i,-0.008317-0.012296i,-0.0056937-0.0052058i,0.0095654-0.0092821i,-0.0043601-0.0037722i,0.0032491-0.042997i,0.0005786-0.013659i,-0.0048346-0.0016393i,-0.023968+0.0080292i,0.0054386+0.0062303i,-0.021416-0.020803i,0.0057881-0.006252i,0.0020944+0.002712i,0.0032817+0.00037848i,0.0024634+0.0072918i,-0.0056882+0.0061528i,-0.010668-0.0082624i,0.0018457-0.008595i,-0.004143+0.012249i,-0.0013481-0.0032873i,-0.0014956+0.0014284i,-0.0037081+0.00058141i,-0.0033991+0.00017954i,0.0023063-0.0022257i,-0.0082405-0.0032066i,0.0008124+0.00052026i,0.00064728-0.0031827i,-0.00044177+0.0022508i,0.0028682+0.004955i,0.00047879-0.0016851i,0.00021553+0.00012804i,0.0060142-0.013616i,0.0094178+0.0028917i,0.00060175-0.0012352i,0.00022884+5.4576e-05i,0.00032071+0.00047403i,0.0081828+0.0024106i,0.0031474-0.0041673i,0.0059618+0.00021925i,0.0036715+0.00019285i,0.0045837-0.00066249i,0.0041234+0.0013494i,0.0012866+0.0037664i,0.0051375-0.0016294i,-0.0051785+0.0055143i,0.0015711+0.0051114i,-0.0045078-0.014264i,-0.011445-0.02247i,-0.022035+0.0044059i,-0.019266+0.011838i,0.0023038-0.0037795i,0.013533-0.0020478i,-0.011384+0.001889i
-0.0064214-0.0095193i,-5.0642e-05-0.0076777i,0.0020696-0.00937i,-0.0015046-0.015964i,0.0017113-0.021498i,-0.011474-0.016336i,-0.00085177-0.0093939i,0.0014865-0.012659i,-0.0060842-0.0054294i,0.0033258+0.0040548i,0.00074097+0.0028084i,0.0019543-2.8907e-05i,0.0037194+0.0010122i,0.0027936+0.0012793i,0.0024083-0.00075777i,0.0031943+0.0017912i,-0.00063665+0.00064831i,-0.0038151+0.00044741i,-0.0019795+0.00083068i,-0.0024801+0.0022228i,-0.0034334+0.0011219i,-0.0021937+0.00038299i,-0.0012506+0.002389i,-0.0029016-0.0014913i,0.0027738-0.0011597i,0.0027222-0.0017314i,0.0041992-0.00084427i,0.00321+0.00063979i,0.0033084-0.00027134i,0.0026746-0.0014933i,0.00015978-0.00027739i,0.002021-0.00027881i,0.00094566+0.0003655i,0.00099098-0.0004476i,-0.0010375-0.00068395i,0.0098898+0.00016973i,0.0033628-0.00027748i,0.002594+0.0001019i,0.0036394-0.0012445i,-0.0018049+0.00064551i,-0.002014+0.00073433i,-0.0022368+0.00018138i,0.0024818+0.0011107i,0.0013756-0.0014645i,-0.010199-0.011359i,-0.0077903-0.0081157i,0.0074903-0.012305i,-0.0033477-0.0049476i,-0.0060616-0.042169i,-0.0017489-0.011792i,-0.0031216-0.0007779i,-0.019159+0.0097642i,0.010092+0.0013667i,-0.021291-0.014525i,0.0041198-0.0072317i,0.0024176+0.0012102i,0.0034687-0.00060461i,0.004938+0.0053463i,-0.0024565+0.0073805i,-0.012456-0.0021203i,-0.0013491-0.0079184i,-0.00066001+0.012048i,-0.0034851-0.0031555i,-0.0016757+0.0020169i,-0.003586+0.0015699i,-0.0025527+0.0010039i,0.0016799-0.0013008i,-0.0097605-0.0019923i,0.0006466-0.00010203i,-0.0012098-0.0025632i,0.0007371+0.0021253i,0.0037406+0.0026825i,0.0012332-0.0012072i,0.00037265+0.00030363i,0.00046666-0.012924i,0.0094656-0.0011317i,0.00037924-1.2755e-05i,0.00011926+0.00020529i,0.0010594-0.0002717i,0.0080423-1.2765e-05i,0.0003913-0.0055561i,0.0062322-0.0027492i,0.0035297-0.0019426i,0.0036781-0.0033421i,0.0045696-6.1428e-05i,0.0024686+0.0033129i,0.0034216-0.0022631i,-0.0035174+0.0070902i,0.0023265+0.0035107i,-0.0042715-0.01514i,-0.022585-0.017201i,-0.025116+0.0074453i,-0.014728+0.013705i,0.0011879-0.0015936i,0.0079117-0.0020717i,-0.012629+0.0022615i
-0.0076691-0.0089123i,-0.00063684-0.0088936i,0.00063953-0.0094021i,-0.0044739-0.014886i,-0.0021344-0.021944i,-0.013952-0.013706i,-0.0014325-0.010839i,-0.00064574-0.013325i,-0.0066593-0.0050403i,0.0045033+0.0032431i,0.0021248+0.0025535i,0.001853-0.00010107i,0.0039622-6.5918e-05i,0.0031708+0.00068792i,0.0021672-0.0013657i,0.0036382+0.0010979i,-0.00029804+0.00094963i,-0.0033813+0.0015385i,-0.0017917+0.0013843i,-0.0015991+0.0029019i,-0.0031502+0.002326i,-0.0021545+0.0012831i,-0.00063073+0.0025842i,-0.0031598+0.00023118i,0.0021872-0.0018817i,0.0019615-0.0024551i,0.0034331-0.0024878i,0.0032366-0.00063543i,0.0028957-0.0013495i,0.0018945-0.0024134i,0.00022896-0.00045832i,0.0016603-0.00063101i,0.0011831-0.00019743i,0.00071854-0.00083951i,-0.0004479-0.00036156i,0.0086939-0.0024239i,0.0030768-0.001499i,0.0026832-0.00095927i,0.0026873-0.0025312i,-0.0011662+0.0011413i,-0.0016872+0.0014336i,-0.0021703+0.00078551i,0.0026459+0.00063316i,0.001039-0.0011773i,-0.012026-0.010086i,-0.011518-0.0083275i,0.0048386-0.013965i,-0.0034433-0.0053052i,-0.014627-0.040083i,-0.0020308-0.0091998i,-0.0012189-0.0011249i,-0.014294+0.01072i,0.013109-0.0048342i,-0.018729-0.010856i,0.0023885-0.0077839i,0.0015494-0.00089619i,0.0031199-0.0020932i,0.0052866+0.0024444i,-0.0003806+0.0069576i,-0.01183+0.0037755i,-0.0041139-0.005993i,0.0019235+0.010283i,-0.0051571-0.0011784i,-0.0013932+0.0031235i,-0.0031391+0.0025244i,-0.0011452+0.0011774i,0.0024422+0.00012347i,-0.0071379+0.0020457i,0.00069683+0.0001347i,-0.0018825-0.0015969i,0.0016317+0.0014871i,0.0037919+0.00068568i,0.00034449-0.0026942i,0.00084717+0.00011017i,-0.0039066-0.010907i,0.0076819-0.0047943i,8.0363e-05-0.0015525i,0.00062308-9.6297e-05i,0.00095393-0.0013772i,0.0075626-0.0022236i,-0.0020648-0.0049921i,0.0046259-0.0055777i,0.0020109-0.0031586i,0.0013409-0.0046561i,0.0046174-0.0016003i,0.0037907+0.0026062i,0.00258-0.0020923i,-0.00086489+0.0073475i,0.0019675+0.0018316i,-0.0051223-0.017032i,-0.027313-0.007253i,-0.027228+0.012264i,-0.011102+0.014293i,0.0002274+0.00010475i,0.028381+0.016721i,-0.013608+0.0041302i
