-0.024319-0.0036736i,-0.020912-0.0080107i,-0.012764-0.012847i,-0.03534-0.0074429i,-0.026839+0.0020739i,-0.035915-0.0027953i,-0.065987-0.03905i,-0.032863-0.014868i,-0.023702+0.0029541i,0.0069487+0.005281i,-0.0049422+0.0069871i,-0.0076315+0.018066i,0.006147+0.0078109i,-0.0010741+0.0033929i,0.0040961+0.0042604i,0.0043029+0.026317i,0.016396+0.01803i,0.0012291-0.00077534i,0.0006374-0.0051447i,0.0089794+0.00027925i,0.0049785-0.0014087i,0.0026013+0.0026983i,0.00098291-0.00048407i,-0.02293+0.00045615i,-0.0060597-0.0029359i,-0.0013272+0.0029167i,0.0030748-0.0035585i,-0.0019095+0.00013233i,-0.00068015+0.00093813i,-0.0025867-0.0014806i,-0.0038469-0.00025046i,-0.0065434-0.0086499i,-0.0074075-0.0027358i,-0.00060577-2.8638e-05i,-0.00051395-0.0024063i,-0.002208+0.019231i,0.0023305-0.0038i,0.0015076-0.0040877i,0.0023482-0.0021798i,-0.00054838-0.0035556i,0.00089027-0.00022672i,0.007072+0.0027174i,0.0045922-0.0020773i,-1.4254e-05+0.0023897i,-0.013519+0.015742i,-0.027503+0.05201i,-0.0057907-0.03769i,-0.014141-0.017922i,-0.039569-0.017276i,-0.027448-0.01335i,0.036992-0.011215i,0.0065593-0.030062i,0.013715-0.037488i,-0.0083804-0.030086i,0.026909-0.023161i,0.013041+0.0073584i,0.032-0.035541i,-0.0015837-0.0042188i,0.0065578-0.0088347i,-0.00098022-0.0058496i,0.00092829-0.036363i,-0.014383+0.030198i,0.0088867-0.011204i,-0.0069726-0.0044639i,-0.0026723-0.0021116i,0.00057736-0.015509i,-0.0079357+0.0059542i,0.0040132+0.0067592i,-0.0029631+0.028448i,0.0026758+0.00054463i,-0.0068921-0.0042284i,-0.0042294-0.0065325i,-0.013453-0.0089406i,-0.0022412-0.0061811i,-0.03576+0.017726i,-0.0048497-0.0085982i,-0.012975-0.00085932i,-0.0087658-0.0062988i,0.0016352-0.0017025i,-0.013346+0.0019818i,-0.001489-0.00055241i,0.0054485+0.0059553i,0.0039514-0.0050067i,-0.012217-0.016012i,0.0075245+0.0091147i,-0.015487+0.0041457i,0.0051021-7.4415e-05i,-0.019623-0.0028491i,-0.015659-0.0041637i,-0.016088-0.036159i,0.020435-0.010294i,-0.037522-0.025096i,-0.01072+0.0045095i,0.018548+0.016122i,-0.022796+0.016336i,-0.0038222-0.0041937i
0.0079228-0.010738i,0.011258-5.583e-05i,0.0074979+0.002784i,0.014413-0.0039593i,0.018414-0.0022143i,0.015989-0.013695i,0.016954-0.0051922i,0.011975-0.00081158i,0.0010737-0.0089765i,-0.0024935+0.00046541i,-0.0012359-0.00086423i,-0.0015618+0.00012045i,-0.0013814+0.0044296i,-0.0018901+0.0020288i,0.0014769+0.0024882i,0.00099167+0.00021793i,0.0032431-0.0037549i,0.0023754-0.0012421i,-0.0019822+0.0054333i,7.1868e-05-2.8851e-05i,0.001038-0.0031485i,-0.00095968-0.0022527i,-0.00067373-0.0004234i,0.0019059+0.0054507i,-0.0016273+0.00014356i,-0.0019651+0.0012361i,-0.0024014-0.00014204i,-0.0018603-6.948e-05i,-0.0018099-0.00098032i,-0.0023016+0.00061079i,-8.4403e-05-0.0015803i,0.00064468+0.0015964i,0.0018559+0.00050913i,0.0026308+0.00051472i,0.001002-0.00078349i,-0.0065517+0.0048118i,-0.0012317+9.5901e-06i,-0.00092914+0.00020831i,-0.0017462+5.5059e-05i,0.0011865-0.000585i,0.0005533-0.0011871i,0.0014481-0.001715i,-0.0017716+0.0011475i,0.0025112-0.00042252i,0.0020652-0.01215i,-0.028045-0.0080786i,-0.0013759-0.0058224i,-0.0074688+0.0037643i,0.015041+0.02368i,0.0012941+0.0047722i,0.012944-0.013827i,-0.013034-0.026608i,-0.0041895-0.011834i,0.0066079-0.0076644i,0.018508+0.014814i,0.0018126+0.0016416i,-0.0012895-0.00045701i,-0.0059528-0.00017787i,0.010968-0.0036332i,0.014852+0.0101i,0.0030895+0.0044737i,-0.0053031-0.0086063i,0.0070489-0.0032696i,-0.0041012-0.0065562i,0.0029069-0.011534i,0.0059774-0.006267i,-0.0011101+0.0078912i,0.0099616-0.0068186i,0.0061458-0.010238i,0.0020151-0.0065677i,-0.003083-0.0018486i,-0.0058997-0.0065425i,-0.0068987-0.0057779i,-0.00045342-0.0015596i,0.00029645+0.029988i,-0.01102-0.00067257i,-0.00015454+0.0029715i,-0.014837-0.00084391i,1.2614e-05+0.00047073i,-0.015137+0.00065433i,-0.0020414+0.00082925i,-0.0017044-0.0015805i,-0.003487-0.00088948i,-0.0051921-0.0049195i,-0.0014235+0.0069021i,-0.0012478+0.0020276i,-0.0055647+0.0059829i,-0.0057117+0.00058773i,-0.0023683-0.00129i,0.008192-0.0017835i,-0.0057576+0.018686i,-0.028736-0.001535i,-0.010811-0.0033615i,0.012072+0.016397i,-0.0018877+0.017379i,-0.0073031-0.0046669i
0.0061112-0.012644i,0.011149-0.0035565i,0.0078307+0.0018666i,0.013032-0.0055357i,0.018029-0.0052107i,0.013328-0.016206i,0.014005-0.0084635i,0.011654-0.0027489i,-0.00047423-0.0091238i,-0.0014812+0.00054048i,-0.0011011+7.2042e-05i,-0.0018358+0.0014881i,-2.4575e-05+0.0044849i,-0.0010794+0.0027954i,0.0017028+0.0016671i,0.00068042+0.00055818i,0.0011137-0.0041468i,0.0016903-0.00222i,-0.0012233-0.00034464i,0.0004155-0.00070315i,9.6172e-05-0.0033909i,-0.0017563-0.001732i,-0.00074051-0.00065823i,0.0046818+0.0043277i,-0.0018163+0.0011263i,-0.0011868+0.0020701i,-0.0025316+0.00061905i,-0.0019423+0.00069399i,-0.0025868+4.1151e-05i,-0.001986+0.0018009i,-0.0021432-0.0016171i,0.00068081+0.00041368i,0.0013097-0.00024513i,0.0038377-0.00093652i,0.00039699-0.00038626i,-0.0050852+0.0072654i,-0.0016275+0.00067157i,-0.00091325+0.00081867i,-0.0020779+0.00084141i,0.0012865-0.0010288i,0.0002874-0.0012097i,0.00063042-0.0022368i,-0.0019527+0.0016455i,0.0018033-0.00041124i,0.00042578-0.011762i,-0.027131-0.0055056i,-0.0032205-0.0035275i,-0.0036033+0.0023366i,0.023683+0.015922i,0.005+0.0023103i,0.0065081-0.016993i,-0.020473-0.025821i,-0.0084489-0.013207i,0.0098434-0.014914i,0.016264+0.0011771i,0.00060867+0.00031083i,-0.00098652+0.0025127i,-0.005299+0.0017608i,0.007814-0.0072499i,0.016325+0.0048786i,0.0058097+0.0049773i,-0.010826-0.0071334i,0.0034089-0.0054505i,-0.005074-0.0043392i,-0.0028179-0.010459i,0.0029833-0.0076362i,0.0027961+0.0062968i,0.0054363-0.0087899i,0.00086946-0.012296i,-0.0014626-0.0046236i,-0.0023641-0.00064791i,-0.0071088-0.0043172i,-0.010788-0.0011565i,-0.00012236-0.0011246i,0.013916+0.024554i,-0.011268+0.0049019i,0.00075873+0.0018008i,-0.016333-0.0034639i,0.00046129+0.00010808i,-0.013251+0.0072418i,-0.0010725+0.0017165i,-0.0020507-1.283e-05i,-0.0024021+0.00016667i,-0.0059987-0.0026174i,0.00050953+0.0032977i,-0.00040547+0.0015122i,-0.0018996+0.0076796i,-0.0042126+0.0022692i,-0.0034796-0.0011924i,0.0089986-0.008259i,-0.0020335+0.020774i,-0.028682+0.0038745i,-0.011825-0.0046427i,0.014057+0.014193i,0.00099981+0.018811i,-0.0095633-0.0037505i
0.0032818-0.013945i,0.0089952-0.0073857i,0.0087314+0.00014116i,0.012177-0.0070796i,0.017441-0.008255i,0.010216-0.018608i,0.01055-0.011228i,0.011166-0.0048043i,-0.0018782-0.0085677i,-0.0018129-8.5647e-05i,-0.00071927+0.00023433i,-0.0010613+0.0026456i,0.0010838+0.0040132i,-3.9993e-05+0.0027437i,0.0017617+0.0013524i,0.00058609+0.00080433i,-0.00081886-0.0035051i,0.0012016-0.0029461i,-0.0014411-0.00051143i,-7.2252e-05-0.0015787i,-0.0010857-0.0036118i,-0.0017792-0.00097315i,-0.0011363-0.00080969i,0.0059505+0.001556i,-0.0013567+0.0020295i,-0.00048327+0.0023508i,-0.0024981+0.0018408i,-0.0015869+0.0014618i,-0.0025563+0.0015725i,-0.001102+0.0026981i,5.5957e-05+3.7803e-05i,0.0001073+0.0016864i,0.0010154-0.00033743i,-0.0028035-0.0023247i,0.00041472+0.00024015i,-0.0024775+0.0092275i,-0.0013223+0.0017818i,-0.00048374+0.0012344i,-0.0016471+0.0020072i,0.0011665-0.0018171i,0.00022031-0.001337i,-7.7617e-05-0.0021928i,-0.0016159+0.0029617i,0.0018495-5.0249e-05i,-0.00029102-0.011027i,-0.0296-0.0076718i,-0.00096837+0.0019132i,-4.7624e-05-0.00071042i,0.032256+0.0052615i,0.0079767+0.00048122i,-0.00010185-0.017137i,-0.026544-0.022687i,-0.012563-0.011464i,0.0084866-0.023852i,0.023479+0.0080214i,-0.0010781+9.9467e-05i,-0.00074262+0.0021667i,-0.0052299+0.002616i,0.002472-0.010263i,0.016258-0.00055874i,0.0080248+0.0036442i,-0.014354-0.0018507i,0.0013798-0.004615i,-0.0056499-0.0016785i,-0.0056631-0.007143i,0.00077057-0.0073893i,0.005203+0.0053589i,0.0022958-0.0083712i,-0.0055552-0.0071685i,-0.0028106-0.0017359i,-0.0021759-0.00062214i,-0.0084968-0.0013922i,-0.0057875+0.0031953i,-0.00095064-0.0015337i,0.02224+0.015096i,-0.0089464+0.010297i,0.0011707+0.0011627i,-0.0084209-0.00087627i,0.00086586-0.00075845i,-0.0076549+0.012167i,-7.3179e-05+0.0022814i,-0.0020795+0.00079529i,-0.0021208+0.0011003i,-0.005816-0.00016493i,-0.00043062+0.0042729i,-4.2872e-05+0.0010288i,0.0010463+0.0077485i,-0.0029651+0.0019013i,-0.0048573+0.00026738i,0.0057199-0.013746i,0.0077526+0.019613i,-0.026692+0.0074125i,-0.013736-0.0054044i,0.017115+0.0097546i,0.0056819+0.019841i,-0.010865-0.0020805i
0.00036968-0.014058i,0.0052497-0.00892i,0.0085552-0.0021248i,0.011072-0.0090384i,0.016004-0.011414i,0.0063118-0.020076i,0.0065829-0.012318i,0.010245-0.0068064i,-0.002738-0.0080551i,-0.0025391+0.00087553i,-0.00077264+0.0003455i,0.00018751+0.0031189i,0.0016858+0.0033311i,0.00037845+0.0026239i,0.0017066+0.0011007i,0.00041942+0.0010385i,-0.0019005-0.0017576i,0.00029245-0.0036995i,-0.0012877-0.00046899i,-0.0011251-0.001796i,-0.0023309-0.0027864i,-0.0017799-0.0006284i,-0.0016737-0.00061479i,0.0055221-0.0010895i,-0.00047772+0.0026265i,0.00032982+0.0025648i,-0.0015479+0.0031903i,-0.001047+0.0019536i,-0.0015095+0.0026452i,0.00013626+0.0029791i,-0.0002532-0.0001094i,0.0020258+0.0018894i,0.0010091-0.00051251i,-0.0015558+4.584e-05i,0.00067336+0.00066986i,0.00087611+0.0096539i,-0.00030698+0.0022924i,-0.00011307+0.0013132i,-0.00071386+0.0026629i,0.00029114-0.0024877i,-5.7858e-05-0.0016923i,-0.0005502-0.0022261i,-0.00051254+0.0037155i,0.002082-2.0355e-05i,-0.00036287-0.01141i,-0.014241-0.0050286i,0.0015934+0.0023532i,-0.00034387-0.0055822i,0.035415-0.0093461i,0.010244-0.0041418i,-0.0060828-0.014121i,-0.032676-0.016728i,-0.015194-0.0068779i,0.0023878-0.030671i,0.019067-0.00089617i,-0.0020125+0.0014716i,-0.00060707+0.0044237i,-0.0048609+0.0042223i,-0.0041214-0.0085322i,0.014617-0.0062305i,0.009868+0.0010668i,-0.013095+0.0046558i,2.9483e-05-0.0047097i,-0.004742+0.00047743i,-0.0064853-0.0031405i,-0.001015-0.0071572i,0.0069056+0.0020154i,-0.00015019-0.0078413i,-0.0057305-0.0015565i,-0.002295+0.001165i,-0.0024794-0.00028253i,-0.007763+0.002395i,-0.0024594+0.0045981i,-0.0018211-0.0012078i,0.025425+0.004297i,-0.0037653+0.01468i,0.0014826+0.00032914i,-0.0057652+0.0013983i,-0.00013493-0.0017504i,-0.0014691+0.012479i,0.0015963+0.0019816i,-0.0014887+0.0024119i,-0.0013914+0.0022081i,-0.0029579+0.0026306i,0.0038095+0.0043275i,-0.00033714+0.00047668i,0.0048547+0.007063i,-0.0030089+0.00092322i,-0.0057332+0.0023743i,0.001686-0.015184i,0.017561+0.010124i,-0.023517+0.011561i,-0.017133-0.0045266i,0.015909+0.0053705i,0.011007+0.018433i,-0.010519-0.00075924i
-0.0020031-0.013645i,0.0028248-0.008491i,0.0077234-0.0037817i,0.0098049-0.010913i,0.014017-0.014208i,0.0026197-0.020805i,0.0032774-0.011912i,0.0088908-0.0084456i,-0.0034966-0.0075268i,-0.0023829+0.0023901i,-0.0009144+0.00054079i,0.0013817+0.0028782i,0.0019481+0.0029962i,0.00074498+0.0025376i,0.0017612+0.0010259i,0.00014835+0.0016146i,-0.0017119-0.00023143i,-0.0011432-0.0037122i,-0.0015886-0.0005721i,-0.0020671-0.0013397i,-0.0030804-0.0019331i,-0.0017138-0.00029706i,-0.0020438-9.0016e-05i,0.0042532-0.0028883i,0.00053545+0.0027746i,0.0013412+0.0024581i,-9.5765e-05+0.0038354i,-0.00046174+0.0023003i,-0.00023735+0.0031086i,0.0013932+0.0027692i,-0.00019084-1.7521e-05i,0.0039722+0.0016968i,0.00078534-0.00036819i,-0.00015775+0.00057859i,0.0014051+0.001591i,0.0038195+0.0090574i,0.00058049+0.0023784i,0.00024906+0.0014561i,0.00042312+0.0029072i,-0.00057006-0.002619i,-0.00054909-0.0018826i,-0.0012265-0.0021603i,0.00057633+0.0037049i,0.0021142-0.00049558i,-0.0013217-0.012428i,-0.010602-0.00044919i,0.0059562+0.0019144i,-0.0027888-0.0074756i,0.031377-0.022866i,0.0097704-0.0088015i,-0.0086596-0.0091554i,-0.035041-0.0080508i,-0.015445-0.00063939i,-0.0061096-0.032545i,0.014349-0.00496i,-0.0016388+0.002842i,0.0021597+0.0049724i,-0.0038605+0.0056286i,-0.0070065-0.0040031i,0.010125-0.011964i,0.010628-0.0023318i,-0.010476+0.0074786i,-0.0011624-0.0034886i,-0.0033042+0.0017086i,-0.0050663-0.00091314i,-0.0036736-0.0058673i,0.0065579-0.00059704i,-0.0025539-0.0065483i,-0.0035824+0.0013769i,-0.00022872+0.0026568i,-0.0023433+0.00028525i,-0.0052948+0.0052023i,0.00038322+0.004014i,-0.0020925+4.0876e-05i,0.023613-0.0066264i,0.0049608+0.016269i,0.00096764-0.0003018i,-0.0029418+0.0023507i,-0.00097914-0.0013194i,0.0027909+0.010602i,0.002307+0.0012402i,0.00032443+0.0040477i,0.00056939+0.003036i,0.00051704+0.0037168i,0.0017419+0.0017704i,-0.0014409+0.00062142i,0.0070061+0.0041701i,-0.0041422+0.0008086i,-0.0049659+0.0050454i,-0.00059743-0.015159i,0.018553-0.0047253i,-0.017792+0.011607i,-0.020276-0.0019978i,0.015609+0.0018366i,0.015299+0.013859i,-0.011232-0.00077726i
-0.0041067-0.012973i,0.0016031-0.0081639i,0.0071822-0.0051216i,0.0082104-0.012919i,0.011724-0.016731i,-0.0013786-0.020952i,0.0011924-0.010821i,0.0074883-0.0098653i,-0.0039879-0.0071115i,-0.0015253+0.0031352i,-0.00093663+0.0010987i,0.0024102+0.0023504i,0.0024782+0.0029475i,0.00122+0.0025463i,0.0021047+0.00075969i,-0.00063493+0.0025899i,-0.00097112+0.00034394i,-0.0024765-0.0032509i,-0.0020364-0.0003284i,-0.0026458-0.00049691i,-0.0034956-0.00088131i,-0.0015564-9.4174e-05i,-0.0021838+0.00059284i,0.0025436-0.0042038i,0.0016669+0.0024768i,0.0023105+0.0018626i,0.0014975+0.0036717i,0.00035256+0.0025913i,0.0010226+0.0030291i,0.0023968+0.0019915i,-0.00011246+8.1585e-06i,-0.022481-0.0038291i,-8.0688e-05+6.4439e-05i,0.00030577+0.00035598i,0.0042746+0.0021504i,0.0063615+0.0076742i,0.0015443+0.0022166i,0.0008998+0.0015005i,0.0015684+0.0026458i,-0.0013296-0.0022881i,-0.0012853-0.0019065i,-0.0020052-0.0019471i,0.0017527+0.0037086i,0.0019477-0.00072614i,-0.0027312-0.013308i,-0.0077006-0.00078222i,0.0094889-0.0015027i,-0.0049002-0.0075437i,0.023679-0.033068i,0.007382-0.012257i,-0.0081853-0.0045551i,-0.032932+0.0010556i,-0.011015+0.0062833i,-0.013623-0.030519i,0.010407-0.0066776i,-0.00064024+0.0034349i,0.003964+0.0036416i,-0.0025043+0.0070301i,-0.0076143-0.00044465i,0.0030166-0.01541i,0.0087319-0.0065427i,-0.0088697+0.0092915i,-0.0011063-0.0025778i,-0.0021302+0.0017055i,-0.0039995-0.00026879i,-0.00469-0.0031825i,0.0049781-0.0021202i,-0.0047963-0.0039175i,-0.0010136+0.0020037i,0.002369+0.0016997i,-0.00207+0.00099354i,-0.0024618+0.0062132i,0.0011956+0.002579i,-0.0010075+0.0010821i,0.016907-0.013781i,0.013419+0.0032913i,0.00057081+1.6892e-05i,-0.0017398+0.0023i,-0.0013333-0.00022051i,0.0059821+0.0079616i,0.0030291+0.00041358i,0.0030926+0.0035311i,0.0021857+0.0020244i,0.0033109+0.0030485i,0.0020456+0.0019443i,-0.0018307+0.0020852i,0.0073656+0.0010048i,-0.0056445+0.0015284i,-0.0025027+0.0066747i,-0.0023689-0.016016i,0.011098-0.015174i,-0.015129+0.0072198i,-0.023084+0.002665i,0.013369-0.0032241i,0.016834+0.0089022i,-0.01236+0.00053185i
-0.0061035-0.011582i,0.00018556-0.0081619i,0.0062335-0.0073711i,0.0057714-0.015031i,0.0088802-0.019055i,-0.0054473-0.01996i,3.3151e-05-0.0099939i,0.0060124-0.011361i,-0.004449-0.0067194i,-0.001159+0.0042054i,-0.00082604+0.0014216i,0.0028706+0.001047i,0.0031447+0.0026025i,0.0017514+0.0023875i,0.0022846+0.00036118i,-0.00046913+0.0041376i,-0.00060445+0.00052404i,-0.0038313-0.0023959i,-0.0022129+0.00018325i,-0.0029815+0.000535i,-0.0034606+0.0003259i,-0.0014844-0.00016097i,-0.0021138+0.0012608i,0.00031003-0.0048686i,0.0025809+0.0015497i,0.0028659+0.00097316i,0.0026676+0.0029753i,0.0014059+0.0024742i,0.0022863+0.0023621i,0.0029777+0.00084607i,-1.5474e-06-1.6706e-05i,-0.0014366+0.0023949i,-0.00031377+0.00020092i,0.00066369+0.00010352i,-0.0057582-0.033927i,0.0082103+0.0053048i,0.0023553+0.0014673i,0.0014804+0.0011313i,0.0026625+0.0018082i,-0.0017835-0.0017428i,-0.0020126-0.0015181i,-0.0025614-0.0012627i,0.00323+0.0033776i,0.001642-0.00086436i,-0.0047736-0.013953i,-0.0059486-0.0026279i,0.010638-0.0056809i,-0.0056242-0.0061807i,0.01356-0.039794i,0.0042647-0.014201i,-0.0062776-0.002275i,-0.027818+0.00726i,-0.0030346+0.0089863i,-0.019686-0.025847i,0.0072194-0.0067729i,0.0003458+0.0033201i,0.0041095+0.0016273i,-0.0003857+0.007466i,-0.0075505+0.002894i,-0.0056307-0.014264i,0.0050262-0.0083987i,-0.0067105+0.01167i,-0.00070177-0.0028247i,-0.0016292+0.0014745i,-0.0038897-9.7239e-06i,-0.0042259-0.0010743i,0.0036537-0.0024284i,-0.0068504-0.00077038i,0.00018029+0.0011927i,0.0035148-0.0010824i,-0.0016892+0.001715i,0.00074147+0.0060463i,0.00048031+0.0020537i,-2.2845e-05+0.0006356i,0.010324-0.015906i,0.0076597+0.001637i,0.00070949-0.0001453i,-0.00056194+0.0016292i,-0.00060161+0.00035744i,0.0074711+0.0048707i,0.0037387-0.0016816i,0.0048077+0.0016027i,0.0026694+0.00096162i,0.0044346+0.0011979i,0.0034007+0.0018555i,-0.00083547+0.0038801i,0.0067209-0.001587i,-0.0064071+0.0038465i,-0.00011632+0.0065735i,-0.004737-0.015706i,0.0012089-0.021378i,-0.018314+0.0035856i,-0.022638+0.0085941i,0.0070974-0.0060455i,0.017628+0.0040159i,-0.012098+0.0018042i
-0.0072147-0.0098344i,-0.00047916-0.0074169i,0.0041439-0.0088392i,0.0023257-0.016437i,0.0054225-0.020771i,-0.0088058-0.017929i,-0.00047917-0.0093867i,0.0041883-0.012669i,-0.0048691-0.0066128i,0.00039885+0.0053918i,-0.00073412+0.0020606i,0.0026428+0.00019631i,0.0039081+0.0019229i,0.002318+0.0021749i,0.0023386-0.00011093i,0.0012759+0.0039804i,-0.00040972+0.00083195i,-0.0047961-0.00061163i,-0.0021139+0.00066402i,-0.0026777+0.0017666i,-0.0031245+0.0010536i,-0.0020413-0.0001979i,-0.0017839+0.0019012i,-0.0021138-0.004324i,0.0028049+0.00036982i,0.0030437-0.00013169i,0.0037516+0.0018135i,0.0022922+0.0018585i,0.0030028+0.0011853i,0.0029873-0.00035542i,5.708e-05-0.0001122i,0.00080303+0.0014905i,-0.00010098+0.00039746i,0.00070815-0.0005486i,-0.0037329-0.00085227i,0.0090963+0.0023991i,0.0027395+0.00044567i,0.0018877+0.00062627i,0.0031341+0.00035507i,-0.0020419-0.0010574i,-0.0026576-0.00078294i,-0.0027739-0.00053722i,0.0041489+0.0021401i,0.0014083-0.0010389i,-0.0071175-0.014033i,-0.0052587-0.0056547i,0.010164-0.0097187i,-0.0048905-0.0054739i,0.0027481-0.041734i,0.00053235-0.014793i,-0.004681-0.0011448i,-0.022938+0.010152i,0.005101+0.007248i,-0.022139-0.018904i,0.0056004-0.0063411i,0.0014671+0.003016i,0.0035081+0.00053554i,0.00221+0.0070981i,-0.0058312+0.0064012i,-0.011687-0.0085066i,0.0015776-0.0085973i,-0.0036556+0.012935i,-0.0019008-0.0036529i,-0.0013777+0.0016079i,-0.0040786+0.00075481i,-0.0032449+0.00029827i,0.0025447-0.0024833i,-0.01002+0.0014492i,0.00076483+0.00031598i,0.0014001-0.0037262i,-0.00064899+0.0022097i,0.0028915+0.0043389i,-0.0023849+0.0020866i,0.00023224+0.0001985i,0.0038357-0.015799i,0.0082236+3.7179e-05i,-0.00096657-0.0010001i,-0.00010304-1.2639e-05i,0.00032199+0.0003655i,0.0075449+0.0022081i,0.002584-0.0041934i,0.0058459-0.00062613i,0.0033488-8.5605e-05i,0.0048644-0.00097417i,0.0038875+0.00079647i,0.0012343+0.0044386i,0.0049471-0.0030159i,-0.0052251+0.0064946i,0.0017399+0.0051553i,-0.0051871-0.014274i,-0.011269-0.022764i,-0.022204+0.0040776i,-0.01905+0.013634i,0.0020807-0.0037711i,0.015739-0.0015028i,-0.011637+0.0020899i
-0.0075744-0.0087075i,-0.00049105-0.0076252i,0.0022135-0.0092253i,-0.0012718-0.016418i,0.0017504-0.021812i,-0.011069-0.01584i,-0.00047015-0.0097432i,0.0019114-0.013823i,-0.005518-0.0064709i,0.0025052+0.0053172i,-3.791e-05+0.0029625i,0.0023515-0.00016315i,0.0044726+0.00077005i,0.0029375+0.0016764i,0.0023354-0.00060729i,0.0020275+0.0034557i,5.612e-06+0.00095976i,-0.0044626+0.0010838i,-0.0020123+0.0011167i,-0.0018888+0.0025547i,-0.0029366+0.0017069i,-0.0025865+0.00055424i,-0.0011873+0.0024202i,-0.004045-0.002575i,0.0025993-0.00057022i,0.0028145-0.0011351i,0.004204+7.2153e-05i,0.0029208+0.00097046i,0.0030132+2.6428e-05i,0.0025831-0.0013781i,4.3846e-05-0.00014677i,0.0012121+0.00036709i,0.0003222+0.00043613i,0.0001518-0.0008769i,-0.0018374+0.00065281i,0.0085912-0.00045549i,0.0026813-0.00057467i,0.0022106-7.9134e-05i,0.0028166-0.00090425i,-0.0019583-0.00024856i,-0.0028562+0.00024777i,-0.0029495+0.00022965i,0.0043649+0.00063289i,0.0011344-0.0011467i,-0.0097705-0.013536i,-0.0072939-0.0085941i,0.0078523-0.013108i,-0.0045546-0.0059281i,-0.0061257-0.040418i,-0.0027336-0.01318i,-0.0028515-0.000372i,-0.018914+0.011764i,0.010429+0.0024933i,-0.020719-0.012953i,0.0043526-0.0069677i,0.0023888+0.0017026i,0.0035602-0.00044131i,0.0046251+0.0053495i,-0.0024941+0.0076325i,-0.013507-0.0017291i,-0.0015181-0.0078795i,-0.00014498+0.012578i,-0.0038611-0.0029997i,-0.0015556+0.0021792i,-0.0039006+0.0019866i,-0.0023058+0.00097807i,0.0018045-0.0015598i,-0.011178+0.002634i,0.00056958-0.00030278i,-0.0010528-0.0033257i,0.00045827+0.0021238i,0.0036301+0.0023097i,0.00015109+0.00059372i,0.00048262+0.00031274i,-0.00114-0.013873i,0.0077288-0.003316i,-0.0012268+0.0026255i,0.00017774-1.1764e-06i,0.0011439-8.5457e-05i,0.0074617+9.6824e-05i,-7.3783e-05-0.0054708i,0.0058096-0.0035924i,0.0033049-0.0020081i,0.0039497-0.0038399i,0.0041901-0.00015799i,0.0031929+0.0037346i,0.0029093-0.0030125i,-0.0031805+0.0078926i,0.0023831+0.0033742i,-0.004505-0.014974i,-0.022501-0.01723i,-0.025314+0.0069074i,-0.013995+0.01528i,0.0011193-0.0014714i,0.010811-0.0044786i,-0.012951+0.0025355i
-0.0083432-0.0078559i,-0.00095469-0.0086273i,0.00080934-0.0093203i,-0.0044342-0.015363i,-0.0021383-0.022323i,-0.01336-0.013685i,-0.0010717-0.011367i,-0.00069351-0.014426i,-0.0063945-0.0062379i,0.0041501+0.0044722i,0.0015029+0.0033939i,0.0021828-0.00033005i,0.0044645-0.00058226i,0.0034841+0.001002i,0.0022291-0.0012052i,0.0031293+0.0026415i,0.00042791+0.00089494i,-0.0038242+0.0023117i,-0.00167+0.0017177i,-0.00095139+0.0029502i,-0.0025483+0.0025849i,-0.0024919+0.0016549i,-0.00052666+0.0027097i,-0.0046447-0.00028971i,0.0022473-0.0012743i,0.0022593-0.0019199i,0.0038313-0.0016652i,0.0030965-0.00024017i,0.0027351-0.0010138i,0.0018325-0.0022164i,8.8294e-05-0.00012911i,0.0011362-5.4713e-05i,0.00063917+7.8247e-05i,-0.00029747-0.00052335i,-0.00059496+0.00067249i,0.00738-0.0026425i,0.0023359-0.0014864i,0.0021784-0.0010378i,0.002146-0.0018849i,-0.0015896+0.00049364i,-0.0026232+0.001297i,-0.0028913+0.0011346i,0.004366-0.00075372i,0.00082143-0.00089259i,-0.012381-0.012233i,-0.010901-0.0088003i,0.0047485-0.014733i,-0.0049088-0.0055092i,-0.013795-0.038337i,-0.0059158-0.0081331i,-0.00088226-0.00076525i,-0.014045+0.012179i,0.013785-0.0042604i,-0.018037-0.010191i,0.0029099-0.0075623i,0.0018007-0.00079404i,0.0033977-0.0018535i,0.0052165+0.0025398i,-0.00040043+0.0071249i,-0.012689+0.0044745i,-0.0042672-0.0058514i,0.0024972+0.010877i,-0.0053517-0.0010944i,-0.0012007+0.0032772i,-0.0032231+0.0035478i,-0.0012428+0.0012339i,0.0024354+0.00017154i,-0.0044281+0.0061666i,0.00064945-6.361e-06i,-0.0020095-0.0022505i,0.0013425+0.0016004i,0.0037318+0.00056134i,0.00013191-0.0009191i,0.0010011+7.1928e-05i,-0.0053969-0.011545i,0.0053968-0.0056506i,-0.00027399-3.3001e-05i,0.00048878-0.00032025i,0.0012477-0.0010546i,0.0070902-0.0021279i,-0.0024781-0.0048722i,0.0039619-0.0064074i,0.001838-0.0031048i,0.0010838-0.0054593i,0.0044572-0.0017716i,0.0043892+0.0021798i,0.0022533-0.0026965i,-0.0006596+0.0077371i,0.0019535+0.0017496i,-0.0051907-0.016821i,-0.02749-0.0072956i,-0.027503+0.011566i,-0.0098643+0.015508i,0.00032075+0.0002423i,0.011843+0.0022479i,-0.013699+0.0042462i
