-0.00061178-0.041367i,-0.00057719-0.046252i,-0.0072742-0.0479i,-0.030292-0.023731i,-0.022669+0.010473i,-0.036191-0.033811i,-0.062896-0.059041i,-0.018827-0.071274i,-0.024285-0.043726i,-0.00086437+0.016268i,-0.010545+0.013154i,-0.014384+0.013266i,0.0034899+0.013754i,-0.0028105-0.0021961i,0.001749+0.0058411i,-0.00016703+0.033818i,0.019474+0.056796i,0.0013196-0.00073584i,-0.0034477-0.0092848i,0.0075447+0.0042779i,0.0018012+0.0014229i,-0.0004806+0.003025i,1.0299e-06-0.00065062i,-0.037759-0.0094188i,-0.0023372-0.0076294i,-0.0012063+0.0044202i,0.0055441-0.0004057i,7.4855e-05+0.00024934i,0.00062273-0.00085273i,0.00050103-0.0022219i,-0.0013708-0.0059558i,-0.003189-0.0059784i,-0.00080181-0.007118i,0.0032925-0.00047247i,0.0033092-0.0017116i,-0.0022661+0.038622i,0.0066866-0.0037445i,0.0032506-0.00085564i,0.0054269-0.00034988i,-0.012451-0.0062435i,-0.0010552+0.00025527i,0.0097241-0.00028254i,0.0033404+0.0015327i,-0.0048295+0.0021007i,-8.9854e-05+0.010491i,-0.0056044+0.018358i,0.026747-0.081744i,0.00027964-0.054721i,-0.023026-0.043447i,-0.019394-0.037403i,0.063315-0.015732i,0.030848-0.057989i,0.038985-0.044252i,0.034234-0.051804i,0.019852-0.015886i,0.0076721+0.012146i,0.024283-0.033905i,-0.0083959-0.0054876i,0.0030424-0.0014219i,-0.0029465-0.0057983i,0.0054071-0.032125i,-0.025754+0.030429i,0.0088636-0.010212i,-0.012674-0.0026602i,-0.0046622-0.0016817i,0.00052141-0.01472i,-0.010632+0.0049749i,0.0032132+0.0069317i,-0.01489+0.030421i,0.0052464+0.0069377i,-0.0060346-0.0019429i,-0.0012116-0.0026015i,-0.011968-0.0078186i,0.00031615-0.0035435i,-0.036438+0.0057938i,0.0017649-0.012574i,-0.0093564-0.0029075i,-0.0071844-0.003341i,0.0063066+0.0021236i,-0.0091953+0.0020398i,-7.2584e-05+0.0017175i,0.0058394+0.010227i,0.0049741+0.00058263i,-0.0088311-0.010366i,0.0018056+0.0084455i,-0.020288+0.0052323i,0.0064872+0.0032107i,-0.027795-0.0089605i,-0.035986-0.0027316i,0.027322-0.077019i,0.014144-0.0093714i,-0.042319-0.028554i,-0.02443-0.0062694i,0.017091+0.012158i,-0.02704+0.010833i,-0.01159-0.010073i
-0.015873+0.029215i,-0.0016004+0.058094i,0.032034+0.038553i,0.0037497+0.012602i,-0.0024522+0.0053427i,0.0319-0.0059925i,0.010309+0.016255i,0.011517+0.049483i,0.0050133+0.018962i,-0.0040546+0.0069988i,0.00039374+0.0015217i,0.0027066-0.0043387i,0.002477-0.0023915i,0.003136-0.0012307i,0.0037287-0.0015034i,0.0065633+0.0003704i,0.011235-0.006857i,-0.0015427-6.3251e-05i,-0.0045899+0.0010699i,0.00024925+0.002225i,-0.0014305-0.00014725i,-0.0044521-0.0013478i,-0.0025514+0.00048582i,0.0057991+0.0083451i,0.0020264+0.0028278i,0.0024613+0.0010867i,0.0017549+0.0015817i,-0.00091377+0.0032186i,3.6788e-05+0.0010856i,-0.00080349+0.001042i,0.0010129-0.0033263i,-0.00090737-0.0016537i,-0.00078217-0.00047547i,0.00029325+0.00016501i,-0.00011554-0.001919i,-0.0072712+0.013771i,0.0029327+2.2823e-05i,0.00059287-0.00045445i,0.00034612+0.0028514i,-0.00058723-0.0043268i,-0.0016025-0.00029803i,-0.0028017-0.0020379i,0.00020009+0.0060238i,0.0038352+0.0023999i,-0.030899+0.01308i,-0.074997+0.01573i,-0.044406+0.039229i,-0.020005+0.035041i,-0.002672+0.050357i,-0.0097345+0.030408i,0.010022+0.0081695i,-0.0079197-0.008782i,-0.035904-0.0047397i,-0.043486+0.012901i,0.0087558+0.02194i,-0.0030203+0.0040091i,-0.0036589+0.0035058i,-0.01352-0.0027231i,0.0098298+0.0017064i,0.011668+0.015473i,-0.0038943+0.0091089i,-0.0070542-0.011806i,0.0064735-0.0038001i,-0.0064793-0.0045246i,0.0035221-0.0081865i,0.0060311-0.0021807i,-0.00059938+0.0097147i,0.013479-0.0051333i,0.0079595-0.0073128i,0.005394-0.00692i,0.0034979-0.00088186i,-0.0027124-0.007219i,-0.0043765-0.0019822i,0.0023523-0.00083515i,-0.010986+0.037426i,-0.0061776-0.0050555i,0.0011229+0.00068648i,-9.0758e-05-0.0080428i,0.0036777-0.0013653i,-0.013837-0.0053827i,0.001208-0.0003841i,0.0038406-0.0037164i,0.0026406-0.0020566i,0.0006125-0.0057384i,-0.00055486+0.0064199i,-0.00013777+0.0040153i,-0.0033347+0.0052842i,-0.011334-0.0011541i,-0.0093577+0.0020724i,-0.036096+0.038901i,-0.0080408+0.015911i,-0.023437-0.0058604i,-0.00040329-0.00069105i,0.0097331+0.020711i,-0.00131+0.020538i,-0.0058401-0.0010231i
-0.011012+0.028453i,0.0075985+0.055518i,0.038179+0.032541i,0.0065239+0.012863i,0.001268+0.0062738i,0.030325-0.012952i,0.011448+0.013484i,0.019302+0.045992i,0.0079582+0.017573i,-0.0015541+0.0075046i,0.0013959+0.0015687i,0.00049637-0.003614i,0.0014126-0.0023434i,0.0026517-0.00097863i,0.003151-0.0020526i,0.0060957-0.00046559i,0.0080199-0.0088404i,-0.00083192+0.00050662i,-0.0044127+0.0013183i,0.0012431+0.0013007i,-0.0014667-6.0474e-05i,-0.0045673-0.00020237i,-0.0023606+0.00068989i,0.0095032+0.0046325i,0.0024789+0.0031463i,0.0032363-7.3314e-05i,0.0020141+0.00059027i,0.00031192+0.003241i,-0.00012492+0.0012414i,-0.00047939+0.0014666i,-0.00054778-0.0030726i,-0.0017561-0.0016812i,-0.0010914-0.00025035i,0.00041379-5.3954e-05i,-0.00082585-0.00064206i,-0.0020457+0.014642i,0.0022339-0.0011015i,0.00040133-0.00034306i,0.0015279+0.0020536i,-0.0016367-0.0033806i,-0.0014257-7.6932e-05i,-0.003582-0.0010401i,0.0013533+0.0060962i,0.003218+0.0018201i,-0.026668+0.018332i,-0.068137+0.027845i,-0.039821+0.047124i,-0.012568+0.036945i,0.010871+0.046002i,-0.0011097+0.027947i,0.0050545+0.0012194i,-0.015085-0.012141i,-0.038469-0.0039308i,-0.034526+0.014161i,0.013928+0.017546i,-0.0028097+0.0046033i,-0.0022092+0.0066753i,-0.013365+0.0026765i,0.0082935-0.0019865i,0.015098+0.011995i,0.00077628+0.013454i,-0.012654-0.009573i,0.0020577-0.0048i,-0.0059701-0.0012457i,-0.0010611-0.0073973i,0.004213-0.0046918i,0.0035116+0.0072214i,0.0088487-0.0085456i,0.0027767-0.0089742i,0.0018515-0.0055211i,0.0042145-0.0021495i,-0.004462-0.0055703i,-0.0027957+0.0007968i,0.0029042-0.0011937i,0.0086008+0.036527i,-0.0073704-0.0035795i,0.0018704-0.0010854i,-0.0037749-0.0072651i,0.0038575-0.0025821i,-0.013892+0.0013237i,0.0015591+3.7179e-05i,0.0020083-0.003497i,0.0027515-0.0033109i,-0.00086946-0.0057919i,0.0012952+0.0028036i,0.0015405+0.0032034i,-0.00035092+0.0065652i,-0.010416+0.0027042i,-0.0090492+0.0037714i,-0.027836+0.039551i,-0.0059183+0.0188i,-0.024961-0.00059923i,-0.0013129-0.0052851i,0.012743+0.019719i,0.0029676+0.022179i,-0.0082883-0.00085965i
-0.0075429+0.027909i,0.01501+0.051187i,0.044085+0.024292i,0.010625+0.010448i,0.0060651+0.0051121i,0.026864-0.019785i,0.011764+0.010566i,0.026649+0.040872i,0.011129+0.016238i,0.00020157+0.0073693i,0.0017566+0.00059778i,-0.00039544-0.0019896i,0.00036171-0.0024994i,0.0026511-0.001365i,0.0025415-0.0024859i,0.0055461-0.0012671i,0.0050713-0.0099787i,-0.00057146+0.00030435i,-0.0044857+0.0027239i,0.0012763-0.00014965i,-0.0019277-4.6184e-05i,-0.0041583+0.0011245i,-0.0023933+0.00098678i,0.0097911-0.00054446i,0.0042775+0.0020317i,0.0025966-0.0016012i,0.001881-0.00012549i,0.0015706+0.0024572i,0.00035798+0.0014488i,-0.00017116+0.0016638i,-0.0017417-0.0020912i,-0.0027915-0.0002588i,-0.0010156+0.00028566i,0.00020384-0.00030109i,-0.00054021+0.00039204i,0.002302+0.013668i,0.0013714-0.0013615i,0.00029551-0.0004928i,0.0018764+0.0012024i,-0.0025342-0.002488i,-0.001456+5.6936e-05i,-0.0036369+0.00026853i,0.0029052+0.0063538i,0.0033723+0.0018492i,-0.020717+0.021622i,-0.05991+0.038349i,-0.031206+0.054451i,-0.0041182+0.036527i,0.022856+0.03721i,0.0064293+0.025815i,-0.0019424-0.0012713i,-0.022318-0.01103i,-0.04171+0.00036462i,-0.027794+0.011686i,0.016643+0.011464i,-0.0024835+0.0051399i,-0.00081118+0.0065891i,-0.012232+0.0067766i,0.0049929-0.0059368i,0.017866+0.0074138i,0.0070446+0.013818i,-0.016134-0.0055297i,0.00031175-0.0027558i,-0.0050509+0.0014707i,-0.003156-0.0050433i,0.0016136-0.005287i,0.0053906+0.0062295i,0.0054576-0.0092443i,-0.0024319-0.0073914i,0.0011722-0.0037027i,0.0035525-0.0048979i,-0.006665-0.0035447i,-0.00080577+0.0012455i,0.0019392-0.002504i,0.023782+0.026535i,-0.008642-0.00073678i,0.0018413-0.0021507i,-0.0041951-0.0048256i,0.0042554-0.0043174i,-0.010162+0.0066234i,0.0027425+7.0337e-05i,0.00053099-0.0040546i,0.0012237-0.0037657i,-0.0031391-0.0047382i,5.4216e-05+0.0022493i,0.0025312+0.0019229i,0.0030707+0.006387i,-0.0087747+0.0052256i,-0.0087163+0.0062813i,-0.021456+0.038899i,0.0016333+0.020693i,-0.024209+0.0034374i,-0.0038312-0.0091409i,0.017911+0.016455i,0.0089647+0.023474i,-0.010392+0.00090783i
-0.0042516+0.027534i,0.020079+0.047007i,0.046971+0.014411i,0.012687+0.0057683i,0.0096078+0.00097692i,0.021317-0.02502i,0.011543+0.0086302i,0.032128+0.034195i,0.014239+0.013521i,0.0017178+0.0073117i,0.0013501+0.00038562i,-5.6134e-05-0.00095642i,-0.0010685-0.0015932i,0.0020102-0.0014822i,0.0016805-0.0028715i,0.0048908-0.0017195i,0.001593-0.0097082i,-0.00017155+0.00047649i,-0.0025908+0.0040029i,0.00043238-0.00086967i,-0.002091+0.00083412i,-0.0035293+0.002411i,-0.0022455+0.0016034i,0.0074026-0.0043125i,0.0042835+0.000237i,0.001354-0.0020247i,0.0015271-0.00058403i,0.0018999+0.0014233i,0.0010335+0.0009031i,0.00032495+0.0019734i,-0.0022391-0.00056604i,-0.0022334+0.001173i,-0.00076312+0.00056834i,-0.0001277-0.00035044i,-1.6675e-05+0.00068119i,0.0061338+0.011795i,0.0009447-0.0014685i,-3.0041e-05-0.00061429i,0.0018812+0.00073988i,-0.0030894-0.0015323i,-0.0014618+0.00049531i,-0.0032924+0.0012804i,0.0049238+0.0058394i,0.0038348+0.0016811i,-0.014199+0.021932i,-0.048873+0.04666i,-0.021436+0.059509i,0.0020125+0.033746i,0.031266+0.023939i,0.012995+0.019416i,-0.0094096+0.0011942i,-0.02971-0.0062533i,-0.043465+0.0072904i,-0.024783+0.0074482i,0.01741+0.0051325i,-0.0017747+0.0064518i,0.00055449+0.0090081i,-0.0096626+0.010742i,-0.00074803-0.005721i,0.019371+0.0002573i,0.012939+0.011026i,-0.018496-0.00050639i,-0.00026334-0.0020282i,-0.0027867+0.0028565i,-0.004152-0.0020214i,-0.00017298-0.0047831i,0.0072852+0.0028775i,0.0023466-0.0095192i,-0.0050289-0.0025393i,0.0014113-0.0029623i,0.001074-0.0066134i,-0.0071864+2.7338e-05i,0.0008104+0.0015831i,0.00098448-0.0027237i,0.031312+0.011557i,-0.0082801+0.0033539i,0.0014775-0.0035719i,-0.0044772-0.0030082i,0.0027109-0.0069423i,-0.0050994+0.0082217i,0.0038901-0.0015365i,-0.00089536-0.0030024i,0.00035489-0.0034642i,-0.0035845-0.0023507i,-0.00012169+0.0028375i,0.0025292+0.0002911i,0.0060182+0.0047189i,-0.0068407+0.0066212i,-0.0077287+0.0088282i,-0.016326+0.039556i,0.012875+0.016365i,-0.021905+0.0079163i,-0.009628-0.011332i,0.019957+0.01082i,0.015668+0.02146i,-0.0094056+0.0028284i
-0.00046267+0.027216i,0.025439+0.044162i,0.047497+0.0052872i,0.013052+0.0011907i,0.010139-0.0042493i,0.015497-0.028461i,0.011636+0.0076627i,0.035891+0.02776i,0.016758+0.010065i,0.0033481+0.0068319i,0.0011983+0.0006073i,0.00060033-0.0008531i,-0.0013834+0.00014564i,0.0015652-0.001619i,0.00081145-0.0026268i,0.004573-0.0019024i,-0.00073146-0.0082075i,-0.00017196+0.00062759i,-0.0011533+0.0038196i,-0.00042153-0.00087267i,-0.0017454+0.001427i,-0.0021854+0.003305i,-0.0016782+0.0022407i,0.0041391-0.0061608i,0.003508-0.0011535i,0.00063389-0.0020684i,0.0010748-0.0010024i,0.0017012+0.0007534i,0.00096588+0.00030265i,0.0012374+0.0018783i,-0.0016371+0.00049798i,-0.0013629+0.0018214i,-0.00050059+0.00065063i,-0.00025127+0.00013329i,0.00049842+0.00077904i,0.0090034+0.0089514i,0.00033898-0.0013416i,-0.00040558-0.00047372i,0.0021302+0.00033765i,-0.0031376-0.00054069i,-0.0011558+0.000619i,-0.0027753+0.0021905i,0.006475+0.0042525i,0.0037691+0.00065916i,-0.01046+0.020702i,-0.036386+0.0514i,-0.0088683+0.062871i,0.007341+0.031604i,0.032619+0.009661i,0.015225+0.012518i,-0.01299+0.008492i,-0.034192+0.0035067i,-0.044349+0.016928i,-0.026378+0.0042674i,0.014405-0.00069322i,0.00024053+0.0075246i,0.0049784+0.0089356i,-0.0059054+0.013388i,-0.0033634-0.0022944i,0.0169-0.0080925i,0.017241+0.0058777i,-0.018746+0.0056984i,-0.00019547-0.00046103i,-0.0008947+0.0029877i,-0.0025205-8.0805e-05i,-0.0024569-0.0035182i,0.0068376+0.00063792i,-0.00054999-0.00859i,-0.0040026+0.001393i,0.0018609-0.0034587i,-0.0018134-0.0067281i,-0.0050871+0.0025757i,0.0026369+0.00044843i,0.00057892-0.0024485i,0.030853-0.0031852i,-0.0049605+0.0061639i,-5.9582e-05-0.0046581i,-0.0036427-0.0020999i,0.00012523-0.0079112i,-0.0014806+0.0075149i,0.003569-0.0034104i,-0.0011763-0.0011651i,0.00012702-0.0028195i,-0.0023576-0.0011409i,0.00081713+0.0033927i,0.0015058-0.00080741i,0.0070006+0.0014156i,-0.0051484+0.0070142i,-0.0051455+0.011496i,-0.010435+0.039963i,0.018215+0.0035695i,-0.017111+0.0089713i,-0.016746-0.010321i,0.02107+0.0054864i,0.021052+0.014977i,-0.0094699+0.0028321i
0.0035506+0.025937i,0.031653+0.040331i,0.047007-0.0035922i,0.012589-0.003439i,0.0093545-0.0084714i,0.0092206-0.030811i,0.012864+0.0069347i,0.038725+0.021199i,0.018603+0.0056614i,0.0046387+0.0059362i,0.0018777+0.00070402i,0.0009838-0.0010842i,-0.00022658+0.0014033i,0.0012318-0.0015181i,0.00032924-0.0023319i,0.0046014-0.0020661i,-0.0018142-0.0071875i,0.00052949+0.00062177i,-0.00011369+0.0036282i,-0.00095443-0.00048046i,-0.001031+0.001702i,-0.00069064+0.0032773i,-0.00086884+0.0025672i,0.00041889-0.0065751i,0.0028571-0.0020357i,-0.00019571-0.0021183i,0.00049445-0.0011945i,0.0017185+0.0003436i,0.00074916+3.0545e-05i,0.0017628+0.0010925i,-0.00099452+0.00093009i,-0.00039094+0.0020981i,-0.00027099+0.00081673i,1.409e-05+0.00015039i,0.00083724+8.7922e-05i,0.010269+0.0055858i,-2.8254e-05-0.0011892i,-0.00051837-0.00011714i,0.0017203-0.00038696i,-0.0026742+0.00022957i,-0.001161+0.00073315i,-0.0019077+0.0026524i,0.007353+0.0024825i,0.0035407+0.00038011i,-0.0078585+0.019219i,-0.024711+0.052342i,0.0047625+0.060968i,0.012737+0.029069i,0.029451-0.0022624i,0.01503+0.0071574i,-0.011047+0.016613i,-0.032647+0.015634i,-0.039742+0.030023i,-0.030147+0.00518i,0.010141-0.003064i,0.0026605+0.0071613i,0.0078777+0.0063108i,-0.0013391+0.015013i,-0.0037106+0.00019302i,0.010181-0.014971i,0.018217-0.0016852i,-0.016568+0.010554i,0.0011091+1.2501e-05i,0.00037372+0.0021609i,-0.00084169+7.427e-05i,-0.0028921-0.00084492i,0.0056766-0.0007331i,-0.0022819-0.0068549i,-0.0011616+0.0036311i,0.0013977-0.0046942i,-0.004099-0.0050714i,-0.0033533+0.0029603i,0.0027749-0.0016536i,0.00090275-0.0023125i,0.02439-0.015333i,-0.0013757+0.0067809i,-0.0020129-0.004254i,-0.0036014-0.0013469i,-0.0029593-0.0075787i,0.00068605+0.0063828i,0.0027408-0.0048735i,9.2849e-05-0.00052114i,-2.6189e-05-0.0034946i,-0.0010595-0.0013758i,0.0017525+0.0035306i,0.00017355-0.00041363i,0.0060278-0.00067774i,-0.0041618+0.0068687i,-0.0010913+0.012664i,-0.004516+0.039441i,0.014478-0.0078044i,-0.014547+0.0058453i,-0.023548-0.0049294i,0.019249-0.0016638i,0.022334+0.0077995i,-0.0098868+0.0043538i
0.0074025+0.024228i,0.037169+0.034937i,0.044331-0.013053i,0.009792-0.0085901i,0.0074332-0.012943i,0.0025271-0.031427i,0.014887+0.0051315i,0.040772+0.014204i,0.018745+0.0010663i,0.0055489+0.0053523i,0.0022198+0.00023174i,0.0011297-0.0019904i,0.00096577+0.0015448i,0.00094087-0.0015338i,8.1054e-06-0.0019552i,0.0046572-0.0026816i,-0.0032572-0.0064485i,0.00045495+3.7441e-05i,0.0012132+0.0031751i,-0.001482+0.00014859i,-0.00079026+0.0015974i,0.00046707+0.0023988i,-0.00020132+0.0025992i,-0.0028333-0.0051267i,0.0015995-0.0034099i,-0.0010066-0.0014782i,-0.00025157-0.0011684i,0.0016285-8.5667e-05i,0.00076777-0.00011133i,0.0017623+0.00024127i,-0.00016921+0.0010643i,0.00030573+0.0021908i,-8.8043e-05+0.001054i,-4.5727e-05+0.00016254i,0.00022367-0.00064945i,0.010333+0.0026117i,-0.00045706-0.00079755i,-0.00053734+5.7897e-05i,0.0014135-0.00072163i,-0.0018389+0.00054744i,-0.0010958+0.0011314i,-0.00089337+0.0029785i,0.0078562+0.00038379i,0.0033259+0.00014604i,-0.0060509+0.018211i,-0.014432+0.051425i,0.016011+0.055006i,0.018313+0.02567i,0.02311-0.010992i,0.013775+0.003666i,-0.0050392+0.021901i,-0.024268+0.025467i,-0.027651+0.040304i,-0.033027+0.0098211i,0.0065337-0.0030862i,0.0045112+0.0058058i,0.0086807+0.0027046i,0.0035002+0.014251i,-0.003715+0.0022087i,-0.00037474-0.0165i,0.014967-0.0081697i,-0.013651+0.014141i,0.0021541-0.0016085i,0.00084029+0.0012771i,-0.00064059-0.00071084i,-0.0012619+0.00096422i,0.0049196-0.0011009i,-0.0031271-0.0058766i,0.0017059+0.0035911i,0.00010697-0.0059122i,-0.0052884-0.0029029i,-0.0016957+0.0032374i,0.0015764-0.0033598i,0.00077539-0.0033367i,0.014318-0.021778i,0.0013876+0.0060649i,-0.0030397-0.0032743i,-0.0032038-0.0011668i,-0.0052037-0.0061097i,0.0019522+0.0050289i,0.0015349-0.0067876i,0.00088908-0.0011229i,-0.0010844-0.003665i,-0.0012148-0.0021911i,0.0034367+0.0035667i,-0.0001806+0.00087037i,0.0052668-0.001914i,-0.0036372+0.0072912i,0.0024099+0.011483i,0.001672+0.038731i,0.0074094-0.015486i,-0.016971+0.0027355i,-0.025646+0.0038212i,0.013141-0.0061382i,0.022467+0.0017974i,-0.0081089+0.0051418i
0.011045+0.021271i,0.042389+0.029386i,0.039215-0.020852i,0.0045848-0.011479i,0.0035609-0.01649i,-0.0034156-0.030407i,0.016935+0.0021898i,0.041194+0.0070785i,0.018198-0.0034507i,0.0071679+0.0047055i,0.0024428+1.0548e-05i,0.00035859-0.0029218i,0.002074+0.0012183i,0.0007323-0.0013869i,-9.3298e-06-0.0018173i,0.0043875-0.0032944i,-0.0051854-0.0047569i,0.00028395-0.00010279i,0.0021059+0.0019188i,-0.0013384+0.0013501i,-0.00043007+0.001809i,0.00045546+0.0010535i,0.00047659+0.0025619i,-0.0047664-0.0023366i,-0.00087014-0.0032426i,-0.0012538-0.00073253i,-0.00069632-0.00078705i,0.0014062-0.00036542i,0.00060302-0.00063029i,0.0014886-0.00029807i,0.00053795+0.00067847i,0.0010102+0.0019106i,0.00039228+0.0012238i,1.0595e-05+0.00029797i,-0.00051741-7.7263e-05i,0.0098382-0.0001077i,-0.00053817-0.00031873i,-0.00046881+0.0003427i,0.0010927-0.00097897i,-0.0011755+0.00041158i,-0.00069003+0.0016155i,-5.971e-06+0.0028242i,0.0073505-0.0020176i,0.0030888-1.4896e-05i,-0.0042445+0.01759i,-0.0052327+0.048238i,0.023627+0.047705i,0.023797+0.020627i,0.015686-0.015635i,0.012275+0.0016456i,0.0020693+0.023952i,-0.013733+0.029165i,-0.012164+0.044265i,-0.032914+0.01686i,0.0051999-0.0021729i,0.0058682+0.0037573i,0.0079788+2.5939e-05i,0.0079395+0.011584i,-0.0027643+0.0047116i,-0.0092185-0.011825i,0.009772-0.011759i,-0.010054+0.017251i,0.0012215-0.0033759i,0.00071848+0.00067017i,-0.0011639-0.00077515i,0.0010571+0.0014028i,0.0044945-0.0016703i,-0.0044895-0.0045163i,0.0038149+0.0017856i,-0.0026619-0.006281i,-0.0052483-0.00056713i,7.6799e-05+0.0023475i,0.00048514-0.0043339i,-8.6934e-05-0.0042077i,0.0041506-0.022885i,0.0033576+0.0044713i,-0.0037208-0.0024843i,-0.0039851-0.00098618i,-0.0069026-0.0038081i,0.0022104+0.0040735i,-0.0011058-0.0083106i,0.0012656-0.0019101i,-0.0019163-0.0028069i,-0.0016167-0.0024806i,0.0046462+0.0024125i,0.00037096+0.0018402i,0.0035405-0.0028666i,-0.0028812+0.0080814i,0.0049351+0.0092957i,0.0086633+0.037289i,-0.0030122-0.020111i,-0.021001+0.0031144i,-0.022806+0.012091i,0.0071476-0.0058199i,0.019855-0.0050555i,-0.0063072+0.0036395i
0.01351+0.017257i,0.04719+0.021977i,0.033412-0.026342i,0.00011985-0.011101i,-0.0010802-0.018356i,-0.0082803-0.028738i,0.018288-0.0022495i,0.040768+0.00054384i,0.016576-0.0074662i,0.0087671+0.0028928i,0.0030758-0.00056181i,-0.00086913-0.0027854i,0.002822-5.8824e-05i,0.00074288-0.0014516i,-0.00018785-0.0018277i,0.004243-0.0037392i,-0.005483-0.0024796i,0.00022145-0.00064062i,0.0019219+0.000625i,-0.00044914+0.0019092i,4.9438e-05+0.0017392i,5.4765e-05+0.00055258i,0.0012245+0.0022599i,-0.0051973+0.00094665i,-0.0019425-0.0015822i,-0.001253-0.00011809i,-0.00081253-0.00044918i,0.0011983-0.00061548i,6.4337e-06-0.00042758i,0.0010445-0.00082314i,0.00095194+4.3202e-05i,0.0013725+0.0015223i,0.0010446+0.000936i,0.00035197+0.00046186i,-0.00043449+0.00070578i,0.0085412-0.0022786i,-0.00063716+0.00013767i,-0.00020122+0.00059709i,0.000776-0.0012639i,-0.0006589+0.00012273i,4.4262e-05+0.0016872i,0.00070705+0.0024414i,0.0058525-0.0039118i,0.0028168-9.3398e-05i,-0.0029397+0.017199i,0.0011699+0.043617i,0.029005+0.04089i,0.027179+0.01361i,0.0093374-0.01722i,0.011656+0.0018226i,0.0096529+0.023622i,-0.0042382+0.030255i,0.0019637+0.042256i,-0.029288+0.024407i,0.0048258-0.0023028i,0.0063883+0.00098013i,0.0073658-0.0022877i,0.010967+0.0072724i,-0.0003493+0.0052377i,-0.013322-0.0045269i,0.0043611-0.013019i,-0.0047091+0.01866i,-0.0007124-0.003772i,-5.6845e-06+0.00079503i,-0.0015994-0.00031914i,0.0025287+0.00013723i,0.0041404-0.0014352i,-0.0050746-0.0024821i,0.0038815-0.00031739i,-0.0050932-0.004469i,-0.003896+0.0010137i,0.00055494+0.00078904i,-0.00077184-0.0049459i,-0.0015213-0.004332i,-0.004122-0.020289i,0.0048342+0.0020499i,-0.0047747-0.0012335i,-0.0043997+0.00074136i,-0.0072907-0.0008337i,0.0028139+0.0037582i,-0.0050311-0.0082159i,0.0010537-0.0032447i,-0.0022367-0.0023618i,-0.0023852-0.0031951i,0.0057133+0.0013925i,0.001395+0.0021777i,0.001948-0.002242i,-0.0017417+0.0085376i,0.0063585+0.006781i,0.015895+0.033262i,-0.01509-0.01852i,-0.024566+0.0057324i,-0.016775+0.016237i,0.0042814-0.0043002i,0.01437-0.0092407i,-0.0077974+0.0023927i
0.014198+0.013498i,0.050263+0.013319i,0.027635-0.030699i,-0.0026851-0.0098444i,-0.0058899-0.018701i,-0.013106-0.026796i,0.017981-0.0078598i,0.039533-0.0060546i,0.013835-0.011075i,0.009605+0.00055886i,0.0034431-0.0018543i,-0.0017648-0.0019874i,0.0024083-0.0013728i,0.00059967-0.0015592i,-0.00064882-0.0019259i,0.0040867-0.0044707i,-0.005124-0.00084924i,-0.00039103-0.0010918i,0.0016183-3.7081e-05i,0.0003871+0.0019712i,0.00037965+0.001735i,-0.0003485+0.0005904i,0.0016216+0.0016696i,-0.003679+0.0038985i,-0.0016508-9.8531e-05i,-0.0010695+0.0005297i,-0.00085234-0.00016809i,0.00082765-0.00077695i,-9.4321e-05-7.5684e-05i,0.00035922-0.00094215i,0.00092343-0.00057361i,0.0019009+0.0011706i,0.001278+0.00045537i,0.00059128+7.637e-05i,0.00036265+0.0010391i,0.0069982-0.0038439i,-0.00037759+0.00046616i,0.00012467+0.0007045i,-8.0173e-05-0.0013496i,-0.00021717-0.00024422i,0.00057066+0.001621i,0.0012232+0.0019457i,0.0039661-0.0046931i,0.0028225+0.0006209i,-0.0014579+0.017232i,0.0053262+0.040088i,0.033453+0.034059i,0.028035+0.0076994i,0.0036081-0.018029i,0.013747+0.0019825i,0.016644+0.020054i,0.0062188+0.028136i,0.014857+0.035404i,-0.021615+0.030169i,0.0043045-0.0027073i,0.0051438-0.0026172i,0.0060927-0.0045547i,0.011035+0.0021673i,0.00079383+0.0044542i,-0.013736+0.0036384i,-0.0010301-0.012072i,-0.00034899+0.01686i,-0.0025206-0.0028295i,-0.00023254+0.0018281i,-0.0015955+0.00032311i,0.0033961-0.0015656i,0.0048956-0.00098673i,-0.0041722-0.00088345i,0.0036085-0.00078886i,-0.0059598-0.0022001i,-0.0025466+0.0014596i,0.00012507+0.00023507i,-0.0032673-0.0051118i,-0.0029407-0.0034228i,-0.010542-0.016259i,0.0047846-0.000795i,-0.0050972+0.00053887i,-0.0032414+0.0021264i,-0.0065362+0.0015579i,0.00394+0.0033625i,-0.0082814-0.0055612i,-0.00030914-0.0045781i,-0.0029407-0.0016955i,-0.0042291-0.0029965i,0.0068697-0.00089454i,0.0024913+0.0022778i,0.001967-0.0016274i,0.00015672+0.0091508i,0.0064692+0.0041701i,0.021879+0.02715i,-0.022047-0.01013i,-0.027196+0.010961i,-0.010577+0.018142i,0.0020357-0.0021214i,0.009291-0.0093856i,-0.008533+0.0026985i
