-0.028472-0.043385i,-0.021992-0.021502i,-0.013302-0.037745i,-0.029775-0.022089i,-0.022797-0.0016386i,-0.014653-0.0064064i,-0.055157-0.060802i,-0.048157-0.01874i,-0.03883-0.015963i,0.010847+0.012876i,-0.0082894+0.005431i,-0.020328+0.019466i,0.002385+0.012244i,-0.0058693-0.0034401i,0.00043568+0.0012496i,-0.0021386+0.031333i,0.027114+0.028166i,0.0028133-0.0024735i,-0.0021282-0.0072231i,0.008054+0.0027186i,0.002703+0.0011662i,5.2142e-06+0.003868i,-0.00037842+0.00010036i,-0.038267-0.012504i,0.00035155-0.0083887i,0.001529+0.0023058i,0.0062761+0.0017077i,0.0022372+0.00044573i,0.0011094-0.00074262i,-0.00039916-0.0027871i,0.0015285-0.0027237i,-0.0028069-0.0062283i,-0.00072098-0.0047281i,0.0031625-0.00093131i,0.0047678-0.0029334i,0.0019127+0.031612i,0.00413-0.0039248i,0.0030071-0.0016219i,0.0087243-0.0010188i,-0.0050492-0.0026181i,-0.00028446+0.00090443i,0.0096152-5.2642e-05i,0.0047344-0.0024862i,-0.0021578+0.00909i,-0.016939-0.0077547i,-0.01768+0.015464i,-0.0017098-0.062928i,-0.0047893-0.026885i,-0.0253-0.03307i,-0.010651-0.027226i,0.054999-0.020601i,0.017431-0.043246i,0.023075-0.049195i,0.0071186-0.055463i,0.026957-0.020247i,0.0084751+0.0061468i,0.025639-0.033499i,-0.0078641-0.006403i,0.0033527-0.0044982i,-0.004786-0.0070158i,-0.0019074-0.033872i,-0.019138+0.029344i,0.0086106-0.011774i,-0.0093029-0.0040412i,-0.0041363-0.0017398i,0.0008198-0.012885i,-0.011075+0.0042486i,0.0024686+0.010028i,-0.0055014+0.026889i,0.0047431+0.0020465i,-0.0054964-0.0018076i,-0.0020537-0.0023381i,-0.012791-0.0073781i,-0.00060178-0.0043085i,-0.036586+0.00026565i,0.0012341-0.010626i,-0.0086185-1.4762e-05i,-0.0067969-0.0024211i,0.004964+0.0012033i,-0.0083244-0.00059035i,0.0019583-6.9643e-05i,0.004108+0.0075872i,0.0042029+0.00034091i,-0.0082073-0.013326i,0.0030592+0.0095501i,-0.015523+0.0049897i,0.0064937-0.0001753i,-0.022676+1.2644e-05i,-0.017768+0.0057735i,-0.0088116-0.065437i,0.0082287-0.012507i,-0.049365-0.023656i,-0.021039+0.00036622i,0.017724+0.011929i,-0.023301+0.01432i,-0.019594-0.0059027i
0.028688+0.037703i,0.014357+0.018148i,0.017987+0.026492i,0.0070217+0.021238i,0.0092231+0.0084556i,0.0052734-0.00064196i,0.016756+0.01427i,0.017069-0.0018699i,0.0085034-0.0073412i,0.0013178+0.004126i,0.0025487-0.0025823i,0.0007261-0.0053954i,-0.0019014+0.00067128i,0.0014805-0.001568i,0.0020854-0.0006333i,0.0051157-0.0029791i,0.005387-0.0069526i,4.1302e-05+0.00069221i,-0.0037485+0.00061926i,-2.8741e-05+0.00056643i,-0.00097948-0.0012467i,-0.0025605-0.0010156i,-0.0017267+0.00079578i,0.0067085+0.01021i,-0.0010476+0.0018488i,0.00087104+0.0017424i,0.0013038+0.00086062i,-0.0019051+0.0028286i,-0.0010851+0.0001324i,-0.0011709+0.00053093i,-0.0010667-0.0013629i,-0.0018381-0.00090733i,-0.00019152+0.00032789i,0.00065704+0.00077251i,4.7856e-06-0.001002i,-0.0095671+0.010597i,0.001741+7.7135e-05i,0.00084358+0.00077091i,0.00079888+0.002562i,0.0010052-0.0014632i,8.921e-06-0.00028347i,-0.00095203-0.00045813i,0.00022709+0.0014195i,0.0003617+0.0016026i,0.017908+0.016496i,-0.024837+0.01634i,-0.013444+0.018108i,-0.02303+0.01127i,-0.005008+0.03815i,-0.021208+0.018368i,0.0014655-0.0037272i,-0.011847-0.017549i,-0.019492-0.00046166i,-0.0082325+0.015724i,0.017897+0.021796i,-0.00038171+0.0023044i,-0.004052+0.00087371i,-0.012353-0.0045625i,0.011437+0.0013179i,0.011129+0.010019i,-0.0013812+0.0058587i,-0.0051448-0.0076347i,0.0064723-0.0020619i,-0.0031577-0.0043336i,0.003724-0.0085941i,0.0088495-0.0025652i,-0.0015613+0.01054i,0.012826-0.0058582i,0.0038537-0.0076623i,0.0036981-0.0078083i,0.0023123+0.00060626i,-0.0023681-0.0058431i,-0.0036866-0.001452i,0.002752-4.942e-05i,-0.0096524+0.037077i,-0.0068401-0.0058112i,0.00021404+0.0010827i,-0.0010742-0.0072299i,0.0035328-8.1528e-05i,-0.018193-0.0066335i,-0.0016235-0.00347i,0.0031836-0.0023919i,0.0034042-0.0015698i,-0.0031127-0.0073991i,6.3504e-05+0.0076699i,0.0003938+0.0036303i,-0.0034197+0.0046501i,-0.0083346+0.0017846i,-0.007265+0.00047119i,-0.009749+0.023003i,-0.0018811+0.014269i,-0.026085-0.010787i,-0.0016392-0.0030555i,0.014402+0.017479i,-0.00068327+0.018648i,-0.00085239-0.0050978i
0.034097+0.030931i,0.017653+0.014312i,0.022415+0.02337i,0.010667+0.020626i,0.011477+0.0070832i,0.005494-0.0021665i,0.017159+0.010413i,0.016381-0.0048056i,0.0066423-0.0091043i,0.0024042+0.0033192i,0.0023957-0.0027899i,-0.0013386-0.0037761i,-0.001408+0.0013806i,0.0010791-0.00058019i,0.001916-0.00098163i,0.0037906-0.0031133i,0.0029911-0.0072807i,0.00056356+0.00066931i,-0.0034457+0.001088i,0.00025524+4.1351e-06i,-0.0011074-0.0013407i,-0.0025716-0.00053428i,-0.0014237+0.00099149i,0.011835+0.0064171i,-0.00083721+0.0028601i,0.0017288+0.0011575i,0.0011195-8.3382e-05i,-0.00067083+0.0030821i,-0.0015148+0.00071204i,-0.00099685+0.0011355i,-0.0016262-0.00073341i,-0.0023043-0.00071539i,-0.00032041+0.00020669i,0.00083105+0.00045455i,-0.00081384-0.00015089i,-0.0054927+0.012591i,0.0013376-0.00058342i,0.0010612+0.00057143i,0.0014889+0.0018324i,0.00041718-0.00142i,3.9184e-06-0.00060343i,-0.0012961+1.487e-05i,0.00019789+0.0015539i,0.0001274+0.001929i,0.021705+0.013633i,-0.019504+0.019769i,-0.012209+0.021142i,-0.018073+0.013306i,0.0067709+0.034523i,-0.013471+0.018779i,-0.0052677-0.0068438i,-0.019953-0.018425i,-0.022553+0.0001789i,-0.0013781+0.011094i,0.022027+0.014536i,-0.00081106+0.0022314i,-0.0027245+0.0047155i,-0.012595-0.00018471i,0.0098749-0.0029471i,0.013069+0.0073476i,0.0022039+0.0088182i,-0.009451-0.0061537i,0.0027032-0.0042079i,-0.0034758-0.002307i,-0.0016002-0.007879i,0.0070419-0.0053745i,0.0031956+0.0084659i,0.0079217-0.0089154i,-0.0010487-0.0074493i,-4.0278e-05-0.0054274i,0.0037561-0.00019431i,-0.0038395-0.0050481i,-0.0021225+0.00089071i,0.0033913-0.00045687i,0.0097674+0.035498i,-0.0088903-0.0038226i,0.00097965+0.00035562i,-0.0040655-0.0057311i,0.0041026-0.0015671i,-0.018812+0.0019273i,-0.0021066-0.0024799i,0.0018002-0.0025975i,0.0034493-0.003148i,-0.0048733-0.005674i,0.0024945+0.0039923i,0.0017746+0.0027938i,-0.00057344+0.006155i,-0.0065083+0.0045658i,-0.0074245+0.0016851i,-0.004521+0.020315i,0.00035074+0.015592i,-0.028323-0.0046443i,-0.0033777-0.0065739i,0.016809+0.01476i,0.0029665+0.019946i,-0.0035149-0.0051488i
0.037701+0.023501i,0.019146+0.0092055i,0.027285+0.017883i,0.015651+0.017856i,0.01395+0.0049502i,0.0051962-0.0039924i,0.016841+0.0065232i,0.01522-0.0080815i,0.0046713-0.009754i,0.0027537+0.0024891i,0.001822-0.0037798i,-0.0016078-0.0017919i,-0.00086329+0.0014898i,0.0017893-0.00046883i,0.0016631-0.0013271i,0.0027508-0.0031647i,0.00095901-0.0072613i,0.00068784+0.0001825i,-0.0030135+0.0020495i,-6.3314e-05-0.00069176i,-0.0018977-0.0017158i,-0.0024278-4.9345e-05i,-0.0011772+0.0011537i,0.012934-2.0667e-05i,0.00042495+0.0033325i,0.001832+0.00013066i,0.00054502-0.00052646i,0.00048001+0.0027444i,-0.0012856+0.0015431i,-0.00056538+0.0015843i,-0.0018292+0.00023291i,-0.0032519+0.0007473i,-0.0003045+0.00026121i,0.00081204+7.3531e-05i,-0.00071122+0.00082776i,-0.0012916+0.013073i,0.00088823-0.00068024i,0.0012348+2.9379e-05i,0.00156+0.0012261i,-0.00021058-0.0013683i,-0.00037119-0.00088999i,-0.0013444+0.00035946i,0.00038476+0.0019804i,0.00055192+0.0023231i,0.025835+0.0093237i,-0.014118+0.021892i,-0.0087442+0.024583i,-0.012382+0.01289i,0.01731+0.027213i,-0.0066914+0.018891i,-0.012343-0.0057158i,-0.026963-0.015452i,-0.024428+0.0041582i,0.0019474+0.0040711i,0.022509+0.0063704i,-0.0012575+0.0022192i,-0.0011746+0.0047524i,-0.012534+0.0029079i,0.0060474-0.007204i,0.014237+0.0032635i,0.0063969+0.0085894i,-0.012389-0.0028676i,0.00063094-0.0030669i,-0.0033706-0.00047253i,-0.0041358-0.0050705i,0.0047545-0.0066689i,0.0060232+0.0075069i,0.0047532-0.0089704i,-0.0046165-0.0044775i,-0.00036643-0.0029054i,0.0040643-0.0025364i,-0.0062421-0.0032336i,-0.00011705+0.00090146i,0.0028064-0.0018758i,0.023873+0.02489i,-0.010132-0.00016504i,0.0014675-0.00028207i,-0.0038126-0.003946i,0.0042845-0.0037797i,-0.014162+0.0094371i,-0.0021322-0.0014341i,0.00070654-0.0027331i,0.0018809-0.0040101i,-0.0064582-0.0030887i,0.001924+0.0026469i,0.0024507+0.0015994i,0.0023264+0.0059129i,-0.0041169+0.0054248i,-0.00748+0.0035913i,-0.0021911+0.016913i,0.0073688+0.015147i,-0.028043-0.00014173i,-0.0060687-0.008981i,0.01945+0.0097357i,0.0080745+0.02043i,-0.0055936-0.0041677i
0.039308+0.016343i,0.018534+0.0052082i,0.029316+0.010745i,0.018963+0.012519i,0.015662+0.0015638i,0.0039545-0.0055499i,0.015765+0.0038344i,0.012986-0.010906i,0.0031485-0.01044i,0.0028016+0.0020741i,0.00034144-0.0037702i,-0.00089777-0.00086022i,-0.00072493+0.0016477i,0.0018186-0.00055153i,0.0012059-0.0015634i,0.0017071-0.0028195i,-0.00081502-0.0062786i,0.00075656-2.2591e-05i,-0.0015712+0.0027646i,-0.00075247-0.00081062i,-0.0025988-0.00070507i,-0.0023809+0.00049i,-0.00091332+0.0013407i,0.010567-0.0050478i,0.0015659+0.0031043i,0.0014033-0.00043667i,7.8009e-05-0.00042693i,0.0010798+0.0020634i,-0.00058633+0.0017085i,5.3036e-05+0.0017432i,-0.0015557+0.0012098i,-0.0024179+0.0023805i,-0.00022445+0.00024977i,0.000541-0.00017123i,-0.00023385+0.0012628i,0.0027007+0.012185i,0.00072895-0.00074696i,0.00094135-0.00050597i,0.0014892+0.0010512i,-0.00092745-0.0010543i,-0.00099202-0.00078113i,-0.001412+0.00056979i,0.0009633+0.0023588i,0.0011774+0.0023642i,0.02874+0.0026944i,-0.0082354+0.022994i,-0.0036436+0.027101i,-0.010085+0.010193i,0.025158+0.015685i,-1.7705e-05+0.015092i,-0.018497-0.00076425i,-0.033707-0.009176i,-0.024425+0.0094803i,0.00083086-0.0027159i,0.020793-0.00079408i,-0.0014675+0.0031126i,-0.00011083+0.0065954i,-0.011831+0.006862i,-1.7926e-05-0.0072978i,0.014333-0.0015478i,0.010164+0.0063389i,-0.013634+0.0018644i,-0.00051972-0.0024435i,-0.0025359+0.00087231i,-0.0049969-0.001645i,0.0026714-0.0075244i,0.0087571+0.0038478i,0.0023238-0.0090872i,-0.0051962+0.00026368i,0.00043633-0.0018524i,0.0025692-0.004615i,-0.0066717+0.00012524i,0.00083797+0.00051347i,0.0019223-0.0026503i,0.030382+0.01012i,-0.0089839+0.0045402i,0.0016219-0.0013555i,-0.0040444-0.0025022i,0.0024948-0.0061717i,-0.0076481+0.011825i,-0.0017156-0.00090896i,-8.9749e-05-0.0020076i,0.00051986-0.0038796i,-0.0058043+9.2934e-05i,0.0018952+0.0021185i,0.002229+0.00035798i,0.0050435+0.0046837i,-0.0019052+0.0047861i,-0.0071698+0.0053881i,-0.00097389+0.015946i,0.015526+0.0083374i,-0.026023+0.0046708i,-0.011167-0.0098855i,0.018444+0.0043882i,0.0135+0.018418i,-0.0058804-0.003026i
0.040339+0.009883i,0.018472+0.0026743i,0.029439+0.0046835i,0.020384+0.0069111i,0.01608-0.0021679i,0.0025999-0.0065163i,0.014995+0.0022751i,0.010419-0.012816i,0.0016442-0.011078i,0.0030699+0.0016072i,-0.00076753-0.0031323i,-0.00029321-0.00079897i,-0.00045459+0.002109i,0.001805-0.00092401i,0.00077601-0.0015091i,0.00139-0.001966i,-0.0016514-0.0053634i,0.00060344-0.00019243i,-0.00048351+0.0024546i,-0.0012974-0.00049588i,-0.0026718+5.2467e-05i,-0.0018947+0.0012052i,-0.00057432+0.0015116i,0.0067838-0.0079943i,0.0024828+0.0025916i,0.0010837-0.00075371i,-0.00024589-0.00024868i,0.00141+0.0015318i,-0.00010383+0.0017634i,0.00083098+0.0016373i,-0.0007833+0.001798i,-0.0012777+0.0032006i,-0.00029176+0.00024722i,0.00037131+5.1703e-06i,0.000468+0.0014771i,0.0056646+0.010381i,0.00036933-0.00077485i,0.00045968-0.00073625i,0.0016514+0.00083172i,-0.0011154-0.00038599i,-0.0012956-0.00052482i,-0.0015423+0.0009424i,0.0017307+0.0022637i,0.0013218+0.0017993i,0.028756-0.0046404i,-0.0017737+0.022373i,0.0031578+0.027707i,-0.0093532+0.0097082i,0.026289+0.0026641i,0.00259+0.0096524i,-0.020605+0.0076351i,-0.036624+0.0010996i,-0.022827+0.015876i,-0.003736-0.0067119i,0.015731-0.0056676i,-0.00073076+0.0041258i,0.0037602+0.0064403i,-0.0093595+0.010452i,-0.0033057-0.0040299i,0.011941-0.0076362i,0.012889+0.0024548i,-0.013151+0.006509i,-0.0008206-0.0007051i,-0.0014782+0.0016044i,-0.0031783+0.00056406i,-0.00049766-0.0073301i,0.0087587+0.00038621i,-0.0003976-0.0085261i,-0.0029856+0.0031796i,0.0012489-0.0022993i,0.00041651-0.0054492i,-0.0049583+0.0026082i,0.0020368-0.00036619i,0.00127-0.0027388i,0.029226-0.0038948i,-0.0051134+0.0072812i,0.00093386-0.0023397i,-0.0034117-0.0019151i,-0.0002426-0.0069928i,-0.0030184+0.011392i,-0.0016666-0.00046789i,-0.00013409-0.0007025i,0.00016375-0.0031823i,-0.0035421+0.0017721i,0.0022869+0.0017372i,0.0013733-0.00028845i,0.0062347+0.0017935i,-0.0013595+0.0032011i,-0.0058196+0.0076655i,0.0012584+0.01579i,0.017455-0.0037652i,-0.021675+0.0056969i,-0.016209-0.0079104i,0.017284+0.00020076i,0.017524+0.01299i,-0.0066287-0.0028956i
0.040733+0.0031928i,0.018722-0.0003491i,0.029392-0.0011944i,0.020731+0.0012206i,0.01595-0.0056757i,0.0010705-0.00724i,0.01527+0.0010315i,0.0078417-0.014312i,-7.4045e-06-0.011846i,0.002996+0.00096023i,-0.00099655-0.0023615i,-8.143e-06-0.00085962i,0.00030708+0.0026005i,0.0016464-0.0010997i,0.00055622-0.0014851i,0.0019675-0.0013251i,-0.002289-0.0051135i,0.00063494-0.00037222i,0.00017292+0.0019567i,-0.0015333+1.1216e-05i,-0.0022102+0.00071108i,-0.0010953+0.0013873i,-0.0001684+0.0015779i,0.0022879-0.0091285i,0.0034803+0.0016878i,0.0007129-0.0010002i,-0.00035344-0.00010073i,0.0015594+0.0010199i,0.0004237+0.0017353i,0.0013564+0.0010387i,0.00012874+0.0019663i,0.00014502+0.0035308i,-0.00030823+0.00048162i,0.00049651+2.2845e-05i,0.0010362+0.0011133i,0.0074903+0.0081342i,8.2593e-05-0.00065665i,0.00010854-0.00061983i,0.0016463+0.0003401i,-0.00079436+6.2777e-05i,-0.0017062-9.3407e-05i,-0.0014364+0.001279i,0.0024085+0.0020003i,0.0014554+0.0016517i,0.026871-0.011573i,0.0037795+0.01975i,0.009623+0.025459i,-0.0080372+0.010314i,0.023372-0.0080466i,0.0021657+0.0059252i,-0.017626+0.016079i,-0.033661+0.012208i,-0.016997+0.023223i,-0.0091282-0.0058718i,0.010975-0.0073079i,0.00052345+0.0044312i,0.0060251+0.0039213i,-0.005744+0.013292i,-0.0042153-0.0013247i,0.0060501-0.012846i,0.012987-0.0031534i,-0.011015+0.0099674i,0.00024046+0.00016564i,-0.00034936+0.0015968i,-0.0014946+0.000874i,-0.0022908-0.0054471i,0.0072747-0.0019378i,-0.0022599-0.0068599i,-7.6692e-05+0.0040925i,0.0012777-0.0039219i,-0.0016443-0.0049441i,-0.0032529+0.0034067i,0.0017858-0.0020789i,0.00088382-0.00296i,0.022677-0.014833i,-0.0011899+0.0076728i,-4.3075e-05-0.0022414i,-0.0037207-0.0011085i,-0.0031214-0.0064036i,0.00049838+0.010402i,-0.0010124-7.7502e-05i,0.0010279-0.00052574i,-0.00020198-0.0037299i,-0.001329+0.0018627i,0.0023282+0.0012068i,0.00061335+0.00010421i,0.0054399-0.00017682i,-0.0020769+0.0021992i,-0.0032078+0.0088996i,0.003949+0.014885i,0.011723-0.013519i,-0.020088+0.0027125i,-0.020762-0.0033473i,0.013781-0.0045959i,0.0182+0.007494i,-0.0075387-0.0017958i
0.039927-0.003488i,0.018042-0.0038527i,0.027277-0.0081682i,0.018833-0.0051895i,0.015121-0.009634i,-0.00071778-0.0074085i,0.016229-0.00089467i,0.0050159-0.015642i,-0.0020782-0.012096i,0.0027663+0.0010319i,-0.0014538-0.0020191i,-9.9223e-05-0.001568i,0.0011935+0.0025588i,0.0014192-0.0014498i,0.0003065-0.0014287i,0.0026547-0.0015663i,-0.0035972-0.0047739i,0.00024-0.00068748i,0.00067674+0.0013022i,-0.0017113+0.00059541i,-0.0020736+0.00096697i,-0.00044212+0.0010675i,0.00019123+0.0015052i,-0.0019778-0.0080683i,0.00394-0.00011956i,0.00018189-0.0010204i,-0.00072238+0.00013048i,0.0015882+0.00060637i,0.0010764+0.0014194i,0.0015197+0.00033897i,0.0010351+0.0017247i,0.0013057+0.0034288i,-0.00027453+0.0007474i,0.00054785-1.7781e-05i,0.0011571+0.00051821i,0.0086523+0.005884i,-0.00017685-0.0005466i,-0.00022407-0.00052305i,0.001866+3.5767e-07i,-0.00029765+0.00016187i,-0.0018164+0.00062519i,-0.0010381+0.0017318i,0.0031695+0.0012851i,0.0015062+0.0016151i,0.023376-0.017661i,0.007889+0.015813i,0.014446+0.021525i,-0.005377+0.011281i,0.017422-0.016077i,0.00093875+0.0042269i,-0.011402+0.021034i,-0.025746+0.019605i,-0.0075158+0.026804i,-0.012426-0.0018722i,0.0073249-0.0072892i,0.0016692+0.0039893i,0.0059567+0.00077656i,-0.00099386+0.014055i,-0.0046975+0.00095097i,-0.003008-0.01307i,0.0099835-0.0075427i,-0.0082776+0.01258i,0.0014762-0.00069108i,0.00038674+0.0011989i,-0.0011041+0.00022545i,-0.0024939-0.0038326i,0.0058603-0.0028576i,-0.0031276-0.005859i,0.0021526+0.0032875i,-0.00010497-0.0057677i,-0.0032542-0.0037088i,-0.0012395+0.0040434i,0.00050393-0.0031941i,0.00032454-0.0036345i,0.012971-0.020494i,0.0020091+0.0064409i,-0.00041363-0.0021436i,-0.0031717-0.00091171i,-0.0050668-0.0049005i,0.0029383+0.0087398i,-0.00022015-0.00083132i,0.0016199-0.001134i,-0.001564-0.003736i,-0.00035295+0.0008792i,0.003065+0.00099681i,0.00056494+0.0010347i,0.0047987-0.0014055i,-0.003074+0.0022709i,-0.00090811+0.0087163i,0.0070364+0.014072i,0.0035348-0.019413i,-0.023626+0.00070236i,-0.022025+0.0031503i,0.007382-0.0065965i,0.01794+0.0027176i,-0.007028-0.0014868i
0.038212-0.0096876i,0.017351-0.0063965i,0.02301-0.012934i,0.01419-0.0098103i,0.012929-0.013413i,-0.0022589-0.0070562i,0.01719-0.0035732i,0.0017987-0.01624i,-0.0039317-0.012198i,0.0033438+0.0012525i,-0.0018449-0.0010698i,-0.0010136-0.0017309i,0.0020461+0.0022162i,0.00094394-0.0015716i,9.4428e-05-0.0013456i,0.0029537-0.0021136i,-0.0051951-0.0035088i,-9.5753e-05-0.00061492i,0.00078823+0.00061484i,-0.0014687+0.0013656i,-0.0017832+0.0016352i,-0.00047859+0.00053591i,0.0005232+0.0013915i,-0.0049159-0.0050663i,0.0030669-0.0016018i,-0.00020573-0.00083896i,-0.00070958+0.00064924i,0.00154+0.0003072i,0.0013355+0.00073048i,0.0013863-0.0001859i,0.0017059+0.0010822i,0.0024472+0.0027277i,4.9519e-05+0.0011401i,0.00057627-6.422e-05i,0.00092075+0.00062945i,0.0091312+0.003427i,-0.00036983-0.00040658i,-0.00043571-0.00017548i,0.0019674-0.00048425i,0.0001087+0.00014586i,-0.0015024+0.0014106i,-0.00033978+0.0019984i,0.0034657+0.00015512i,0.00171+0.0016445i,0.018424-0.022536i,0.01048+0.011219i,0.017486+0.017237i,-0.0019126+0.010781i,0.010363-0.020361i,-0.00019056+0.0043129i,-0.0045878+0.023053i,-0.017346+0.021982i,0.0028221+0.025971i,-0.012292+0.0031295i,0.005566-0.006804i,0.0028163+0.0032676i,0.0047018-0.0011282i,0.0040991+0.012803i,-0.0040025+0.0037775i,-0.0097541-0.0075764i,0.0058661-0.0094796i,-0.0047605+0.014367i,0.0010438-0.002401i,0.00072158+0.00073149i,-0.0012675+0.00025195i,-0.0021429-0.0027334i,0.004586-0.0037047i,-0.0042369-0.0047921i,0.0034409+0.0015513i,-0.0036073-0.0062438i,-0.0038147-0.0019904i,0.0011137+0.003011i,-0.00035611-0.0034687i,-0.00083103-0.0041639i,0.0035645-0.02111i,0.0038716+0.0044607i,-0.00092889-0.0022532i,-0.003954-0.00051275i,-0.0062822-0.0025267i,0.0042238+0.0070578i,-0.00062136-0.002083i,0.0019653-0.0021137i,-0.0022898-0.0027283i,0.00016919+3.0291e-05i,0.0033849+0.00020578i,0.0012949+0.0014616i,0.0033006-0.0022754i,-0.0038224+0.0031408i,0.00092116+0.0077953i,0.011294+0.012615i,-0.007203-0.021491i,-0.027704+0.0027652i,-0.019582+0.0094912i,0.0028765-0.0042836i,0.015755-0.0021465i,-0.0071136-0.0025543i
0.035793-0.015721i,0.016768-0.0097209i,0.01918-0.015704i,0.0096308-0.011267i,0.0098789-0.016509i,-0.0033714-0.0064741i,0.018092-0.0074696i,-0.0013173-0.016127i,-0.0059281-0.012017i,0.0042295+0.00065148i,-0.0013228-0.00029541i,-0.0017045-0.00091404i,0.0026889+0.0013766i,0.00054278-0.0016043i,-1.7918e-05-0.0012714i,0.0032002-0.0026249i,-0.0060149-0.0016972i,-0.00010035-0.00075077i,0.00056966+6.5199e-05i,-0.00085155+0.0017257i,-0.001226+0.0018396i,-0.00064972+0.00045674i,0.00087401+0.0011837i,-0.0059185-0.0013524i,0.0020729-0.0022076i,-0.00041977-0.00059003i,-0.00034652+0.00084408i,0.0015667-5.1452e-05i,0.0011072+0.00053925i,0.0011745-0.00062517i,0.0021281+0.00030993i,0.002974+0.0017997i,0.00068064+0.0011564i,0.00075856-0.00013876i,0.0013164+0.0010058i,0.008706+0.0012876i,-0.00061124-0.00011055i,-0.0003837+0.0001362i,0.0016581-0.001199i,0.00064672-0.00010923i,-0.00080925+0.0017927i,0.00030476+0.0019273i,0.0030862-0.00092295i,0.0019258+0.0017442i,0.012652-0.02555i,0.010914+0.0064517i,0.019344+0.013022i,0.00061436+0.0089503i,0.0039665-0.022033i,-3.106e-05+0.0063647i,0.0021685+0.023054i,-0.0099584+0.022289i,0.010947+0.021498i,-0.0090631+0.0073784i,0.0041703-0.007284i,0.0038074+0.0016531i,0.0038511-0.0024257i,0.008252+0.00918i,-0.001619+0.0049342i,-0.011936-0.00097279i,0.0019554-0.0098696i,-0.0006038+0.014281i,-0.00056271-0.0031819i,0.00028434+0.00041446i,-0.0012799+0.00074454i,-0.0019761-0.0022556i,0.0033187-0.0034166i,-0.0049744-0.0030607i,0.0032273-5.0058e-05i,-0.006572-0.003719i,-0.0032924-0.00046131i,0.0018292+0.0010211i,-0.0011929-0.0036791i,-0.0023586-0.0037901i,-0.0039467-0.018581i,0.0049884+0.0019677i,-0.0017443-0.0020786i,-0.004029+0.0010704i,-0.0059668+0.00019546i,0.0054809+0.0058778i,-0.0022671-0.0027542i,0.0015908-0.0034783i,-0.0026035-0.0023182i,-0.00010778-0.0012774i,0.0037967-0.00017767i,0.0021332+0.0013352i,0.0018676-0.0017457i,-0.0043417+0.0044489i,0.0021818+0.0066097i,0.015783+0.0090529i,-0.017567-0.018109i,-0.030489+0.0066926i,-0.014495+0.01246i,0.001538-0.0020627i,0.011651-0.0049818i,-0.0093124-0.0028253i
0.032078-0.021403i,0.015175-0.013563i,0.015795-0.018067i,0.0062814-0.011493i,0.0061117-0.018735i,-0.0044004-0.0058757i,0.017729-0.01299i,-0.0042363-0.015486i,-0.0083086-0.01136i,0.004732-0.00046811i,-0.00068673-0.00024851i,-0.0018384+0.0001677i,0.0027339+0.00041307i,0.00022853-0.0013243i,-0.00017633-0.001321i,0.0030552-0.0035468i,-0.0061249+0.00031996i,-0.00036342-0.00095736i,0.00034258-0.00012622i,-0.00025494+0.0017989i,-0.00081656+0.002124i,-0.00079687+0.00057178i,0.0011152+0.00083089i,-0.0048101+0.0019747i,0.0012995-0.0024159i,-0.00055402-0.00027441i,-3.0262e-05+0.0007802i,0.0012808-0.00053178i,0.0012095+0.00042419i,0.00074875-0.00099093i,0.0022912-0.00057161i,0.0035002+0.00093298i,0.0011688+0.0008932i,0.00078442-0.00062184i,0.0022276+0.00084285i,0.0082066-0.00040005i,-0.00050032+0.00027236i,-0.00018202+0.00040047i,0.00098965-0.001543i,0.0010316-0.0006293i,-0.00018755+0.0020666i,0.00095227+0.0017544i,0.0023721-0.0015521i,0.0024563+0.0020505i,0.0068831-0.027005i,0.0095446+0.0033906i,0.020405+0.0092098i,0.0020809+0.0080606i,-0.0021234-0.023055i,0.0030263+0.0086677i,0.0084025+0.020587i,-0.0024537+0.020553i,0.017098+0.014575i,-0.0038284+0.0093575i,0.0026821-0.0076549i,0.0036149-0.00098118i,0.0028609-0.0038741i,0.0094087+0.0041832i,-0.00018708+0.0043592i,-0.011372+0.0056974i,-0.0017875-0.0089764i,0.0025022+0.011912i,-0.0025783-0.0025455i,-0.00022106+0.00094192i,-0.0009325+0.0012615i,-0.0015967-0.002167i,0.0034179-0.0021192i,-0.0044207-0.0016092i,0.003006-0.00016254i,-0.007132-0.00038484i,-0.0023437+0.00023648i,0.0015098-0.00014383i,-0.0031223-0.0037677i,-0.0035346-0.0025145i,-0.009788-0.014861i,0.0047893-0.00065284i,-0.0024577-0.0014042i,-0.0027832+0.002081i,-0.0046551+0.0019736i,0.0070128+0.0045538i,-0.0038797-0.001624i,0.00028163-0.0047236i,-0.0034184-0.0016032i,-0.0014322-0.0018328i,0.0045061-0.0018475i,0.0028436+0.00093625i,0.0018079-0.0012324i,-0.0031383+0.0064095i,0.0027291+0.0051599i,0.019024+0.0032452i,-0.023298-0.0099168i,-0.03261+0.012688i,-0.0099847+0.013258i,0.00062159-1.9353e-05i,0.0081459-0.0049698i,-0.010837-0.0017233i
