-0.023715+0.00014944i,-0.024824-5.6657e-05i,-0.015076-0.012i,-0.034848-0.01487i,-0.030607+0.00029114i,-0.032818+0.0056595i,-0.055852-0.019625i,-0.033782-0.019401i,-0.028694+0.00071698i,0.0068271+0.0037304i,-0.0034884+0.0068064i,-0.0068636+0.016473i,0.0059748+0.011124i,0.0022438+0.0034393i,0.00467+0.0034746i,0.0050662+0.018364i,0.0214+0.021884i,0.0011091-0.00087882i,0.00027454-0.0056918i,0.0068403-0.00085752i,0.0043422-0.00042876i,0.0022701+0.0019803i,0.00065178-0.00021125i,-0.018516+0.0022779i,-0.0059574-0.0040318i,-0.0014082+0.0028584i,0.0011146-0.0019138i,-0.0012886-0.00055113i,-0.0010216+0.0013243i,-0.0024389-0.0021762i,-0.0042109-0.00018122i,-0.0052658-0.0025575i,-0.0023127-0.0026547i,-0.00021042-0.0003258i,0.0004866-0.003078i,0.0010596+0.012837i,0.0011481-0.0030541i,0.0009328-0.0033649i,0.0043754-0.0023743i,-0.0032292-0.0025224i,0.00055006-0.00027563i,0.0070678-0.00063579i,0.0053916-0.0029893i,0.00057336+0.0019375i,-0.014694+0.014546i,-0.028517+0.054276i,-0.0094274-0.036532i,-0.016849-0.018558i,-0.040672-0.017i,-0.028887-0.013062i,0.037344-0.013492i,0.0061625-0.031674i,0.013891-0.039041i,-0.010849-0.030146i,0.025272-0.022287i,0.014508+0.0065148i,0.026156-0.036947i,-0.0023215-0.0040995i,0.004367-0.0091135i,-0.00018726-0.0063765i,-0.00095811-0.034429i,-0.013689+0.028287i,0.008649-0.011943i,-0.0081182-0.0047346i,-0.0030758-0.0019846i,-0.00073717-0.015057i,-0.0081468+0.006694i,0.0034375+0.0081947i,-0.00016929+0.026835i,0.0027231+0.00011904i,-0.0074483-0.0048301i,-0.004125-0.0058146i,-0.014339-0.0097436i,-0.0028733-0.0061459i,-0.030954+0.0023159i,-0.003948-0.009229i,-0.013335-0.00070887i,-0.011493-0.0060651i,0.0013436-0.0018162i,-0.014103+0.0021728i,-0.001454-0.00038701i,0.0060465+0.0060196i,0.003712-0.0052259i,-0.013861-0.014627i,0.0082133+0.009007i,-0.01674+0.0057442i,0.0052274-0.00049951i,-0.01911-0.0028757i,-0.015957-0.0035125i,-0.017463-0.034276i,0.020034-0.0097965i,-0.05234-0.022469i,-0.0066415+0.0032194i,0.01824+0.015704i,-0.020911+0.017869i,-0.0035676-0.0039829i
0.0064457-0.010276i,0.011147-0.0072083i,0.0088637+0.0012715i,0.015791+0.0017932i,0.021664-0.0038104i,0.014847-0.016394i,0.020654-0.0076895i,0.011829+0.00014884i,0.0016548-0.010823i,-0.0015724+0.0025322i,-0.0017822+0.00053472i,-0.0016731+0.00045599i,-0.0019494+0.0040619i,-0.0018995+0.0027003i,0.0007728+0.0019657i,-5.2024e-05+0.00098864i,0.0023877-0.0018395i,0.00063837-0.001561i,6.4538e-05-0.00065376i,-0.00010136-0.00010072i,0.00048977-0.0017819i,-0.0012773-0.0012878i,-0.0010706-0.00025102i,0.0011147+0.0026213i,-0.0022944+0.00032167i,-0.0015008+0.0019061i,-0.0020329+0.00066006i,-0.0021614+0.00054137i,-0.0020391-0.0016601i,-0.0026895+9.4763e-05i,0.0016076-0.001194i,0.00048793-0.00020098i,0.00092525-0.00025045i,0.0012063+0.001354i,0.00060153-0.00016394i,-0.0068297+0.002542i,-0.001888-0.00029885i,-0.001093+0.00062899i,-0.002875+9.3056e-05i,0.0012942-0.0023789i,-6.7391e-05-0.00095522i,0.00019749-0.0014295i,-0.0010553+0.0016354i,0.0030765+7.39e-05i,0.0010102-0.012571i,-0.024092-0.0097456i,0.00085606-0.0057181i,-0.0053689+0.0041689i,0.019688+0.021625i,0.00082592+0.0053245i,0.012059-0.016983i,-0.010376-0.027654i,-0.0050543-0.010975i,0.0069235-0.0067374i,0.01797+0.019227i,0.0023104+0.0010782i,-0.0010556+9.5471e-05i,-0.0063562-0.0012394i,0.0104-0.0037598i,0.01268+0.01071i,0.0012748+0.0043428i,-0.003578-0.0081566i,0.0059591-0.0031091i,-0.0038053-0.0065349i,0.0028994-0.01187i,0.0056211-0.0059982i,-0.0010037+0.0078513i,0.010477-0.0080023i,0.0049039-0.008137i,0.00016876-0.0070756i,-0.0030095-0.0012542i,-0.0058525-0.0060787i,-0.007007-0.0012091i,-0.00079523-0.0014821i,-0.010259+0.030676i,-0.010442-0.0039166i,-0.0001172+0.0030091i,-0.0035375-0.0062323i,-0.00018576+0.00099196i,-0.017099+0.0010999i,-0.0038237+0.0010094i,-0.0017401-0.0023257i,-0.00389-0.0012213i,-0.0060221-0.003978i,-0.002254+0.0054521i,-0.00094293+0.0018745i,-0.0042242+0.0062335i,-0.0053961+0.0014988i,-0.0022773-0.00059725i,0.0075968-0.0035937i,-0.005705+0.01723i,-0.026946-0.0036877i,-0.010713-0.0031333i,0.010857+0.015939i,-0.0025306+0.017177i,-0.0079039-0.0049366i
0.0047702-0.011637i,0.0097701-0.0094655i,0.0094268+3.4001e-05i,0.015517-0.00032429i,0.020984-0.0074044i,0.011832-0.018356i,0.018182-0.011239i,0.011301-0.0021279i,-0.00039021-0.011183i,-0.00084478+0.0026051i,-0.0012448+0.0013243i,-0.001813+0.0017562i,-0.00066069+0.0043537i,-0.0011136+0.0031736i,0.0011664+0.0019491i,-0.00016469+0.0013074i,0.0011337-0.0022186i,0.0006137-0.0017386i,-0.00040479-0.0013309i,0.00023796-0.00054552i,0.00010132-0.0018877i,-0.0014651-0.0010206i,-0.00095317-0.00039335i,0.0026209+0.001802i,-0.002578+0.0018336i,-0.0004903+0.0024618i,-0.0017996+0.0014938i,-0.0020148+0.0013346i,-0.0031605-0.00042934i,-0.0026592+0.001506i,0.00068295-0.0012931i,0.00028923-0.00063243i,0.00038268-0.00054518i,0.001943-0.00078672i,0.00012576+0.00028045i,-0.005822+0.0047539i,-0.0022181+0.000523i,-0.00094873+0.0011952i,-0.0030141+0.0012306i,0.00055519-0.0025897i,-0.00013636-0.0010211i,-0.00030091-0.0013711i,-0.00091794+0.0017866i,0.0024893-0.00035351i,-0.00036171-0.011934i,-0.022936-0.0062715i,-0.00060975-0.0040383i,-0.0016182+0.0020404i,0.028187+0.01349i,0.0048921+0.002575i,0.0043909-0.019479i,-0.018769-0.026613i,-0.0093016-0.01182i,0.010133-0.013287i,0.01959+0.015242i,0.00068648+6.6934e-05i,-0.00059296+0.0024504i,-0.0061099+0.00076629i,0.0071646-0.0071975i,0.014904+0.0060672i,0.004339+0.0060336i,-0.0083743-0.0062102i,0.0027304-0.0047234i,-0.0049369-0.0042552i,-0.0028389-0.010523i,0.0030479-0.007418i,0.0027526+0.0059718i,0.0059463-0.010042i,0.00062332-0.0079713i,-0.0031532-0.0035719i,-0.0019419-0.00030287i,-0.0073062-0.0039072i,-0.0060033+0.00086968i,-0.00028566-0.00080359i,0.0047679+0.030564i,-0.012312-1.3892e-05i,0.00071467+0.0019783i,-0.0063719-0.0036808i,0.00061666+0.00054658i,-0.014802+0.0087013i,-0.0029382+0.0024848i,-0.0023237-0.00076831i,-0.003238-0.0001265i,-0.0067898-0.0013458i,-0.00038273+0.0031747i,7.0618e-05+0.0012173i,-0.0001176+0.0073071i,-0.0037409+0.0027897i,-0.0032474-0.00063862i,0.0080045-0.0094644i,-0.0020244+0.019198i,-0.028234+0.0020275i,-0.011647-0.0042854i,0.012768+0.014282i,0.0004617+0.018823i,-0.010162-0.0038536i
0.0023414-0.012487i,0.0073257-0.012095i,0.010012-0.0024097i,0.015591-0.0029655i,0.02007-0.010967i,0.0085261-0.020057i,0.015079-0.014474i,0.010422-0.0041968i,-0.0022517-0.010651i,-0.00051176+0.0025482i,-0.00069789+0.0013309i,-0.00099122+0.0028729i,0.00040895+0.0039381i,-0.00024805+0.003112i,0.0016051+0.0017384i,-0.00013328+0.0017355i,0.00014402-0.0018258i,0.00024464-0.0021247i,-0.00092214-0.0013156i,-2.3498e-05-0.0012286i,-0.00033765-0.0020694i,-0.0015294-0.00059322i,-0.0011949-0.00057755i,0.0030046-3.7054e-05i,-0.0016072+0.0030535i,0.00043109+0.0024686i,-0.0012292+0.0023675i,-0.0015018+0.0020647i,-0.0032832+0.0014636i,-0.0019192+0.0027753i,-4.8606e-06-0.00095952i,-0.00045963-0.00057935i,3.7326e-05-0.00040276i,0.00096312-0.00071977i,0.00027236+0.00068919i,-0.0041941+0.0065562i,-0.0020291+0.0018029i,-0.00033828+0.0015149i,-0.0025753+0.002736i,-0.00028339-0.0026927i,-0.00025255-0.0011292i,-0.00060467-0.0012147i,-0.00089374+0.0022672i,0.0023207-0.0003069i,-0.00096007-0.011299i,-0.01829+0.0058556i,0.00019082-0.00076722i,0.0012723-0.0015205i,0.034539+0.0020835i,0.008203+0.00057395i,-0.0026549-0.018528i,-0.025144-0.022889i,-0.012785-0.0091138i,0.0091472-0.021861i,0.019897+0.0029489i,-0.0011671+0.00016899i,-0.00068832+0.0020026i,-0.0063323+0.0020204i,0.0018927-0.009894i,0.015725+0.0011582i,0.0076569+0.0048193i,-0.011695-0.0034953i,0.001062-0.003899i,-0.0054069-0.0016299i,-0.0055577-0.0071314i,0.00043508-0.0072935i,0.0050684+0.0050822i,0.0029013-0.010559i,-0.0025364-0.005569i,-0.002681-0.00044714i,-0.0017193-0.00046262i,-0.0087476-0.0011429i,-0.003448+0.002756i,-0.00091297-0.0012899i,0.016805+0.023177i,-0.011667+0.0055262i,0.001244+0.0014086i,-0.0051954+0.0001333i,0.00094933-0.00044512i,-0.0080814+0.013623i,-0.0012118+0.0038308i,-0.0029003+0.00020799i,-0.0030372+0.0010785i,-0.0065623+0.0023992i,-0.0012262+0.0031855i,0.00019968+0.00043857i,0.0025144+0.0061056i,-0.0024648+0.0019277i,-0.0044646+0.00056056i,0.0054085-0.014199i,0.0071905+0.017944i,-0.026619+0.0061044i,-0.012907-0.0051102i,0.015505+0.010197i,0.0054979+0.020244i,-0.011556-0.0022321i
-0.00011548-0.012339i,0.0037431-0.013159i,0.0091426-0.0049737i,0.014937-0.0063094i,0.018156-0.014689i,0.0048462-0.021013i,0.011127-0.016548i,0.0093202-0.0059352i,-0.0035931-0.010101i,-0.0002165+0.0028385i,-0.00047895+0.0014583i,0.00028247+0.0032558i,0.00078702+0.0034897i,0.00027718+0.003062i,0.0018573+0.0013987i,-4.2432e-05+0.0021821i,-0.00048536-0.0010717i,-9.8001e-05-0.0022641i,-0.0010074-0.0010988i,-0.00078005-0.0014777i,-0.00089253-0.0019586i,-0.0015936-0.00025349i,-0.0016259-0.00050296i,0.0023071-0.0014886i,-0.000251+0.0035258i,0.0012374+0.0023488i,-0.00015115+0.0029032i,-0.00072619+0.0025299i,-0.0022435+0.0028721i,-0.00058165+0.003459i,-0.00039311-0.00052636i,-0.00067532+0.00015055i,-6.801e-05-0.00027942i,0.00029423-0.00076479i,0.000491+0.00072944i,-0.0019039+0.0077399i,-0.00094341+0.0027478i,0.00013221+0.0014293i,-0.0013581+0.0039066i,-0.001223-0.0025543i,-0.00064739-0.0012652i,-0.00076736-0.0010861i,-0.00038664+0.0029543i,0.0022686-0.0003867i,-0.0010938-0.011763i,-0.014366-0.0029902i,0.00334+0.00061468i,0.00028484-0.0060285i,0.036322-0.011876i,0.010629-0.0044829i,-0.0084225-0.014549i,-0.03129-0.017136i,-0.014447-0.0046089i,0.0033275-0.028696i,0.017642-0.0017562i,-0.0020233+0.0015997i,-0.00061471+0.0040942i,-0.0060265+0.0042275i,-0.004266-0.0081073i,0.015217-0.0048913i,0.0096954+0.0018829i,-0.01326+0.0027562i,1.0242e-05-0.0038274i,-0.0044725+0.00050335i,-0.0065797-0.0031358i,-0.0015923-0.0068593i,0.0063356+0.001828i,-0.00084025-0.011157i,-0.0037516-0.0022023i,-0.0014477+0.0013759i,-0.0021142-0.00017493i,-0.0081799+0.0025489i,-0.0016191+0.0034702i,-0.0016473-0.0010247i,0.022668+0.011874i,-0.0085678+0.010718i,0.0016791+0.00052879i,-0.0035772+0.0013951i,0.00017423-0.0013151i,-0.0013975+0.013465i,0.0011771+0.0034794i,-0.0026108+0.0021271i,-0.0021802+0.0026189i,-0.0040024+0.0052574i,0.00047624+0.001505i,-0.00045937-0.00011209i,0.0050975+0.0048755i,-0.0025969+0.00098179i,-0.005535+0.0024911i,0.00177-0.015655i,0.016238+0.0090829i,-0.023228+0.010473i,-0.016288-0.0044327i,0.014787+0.0058849i,0.010763+0.018342i,-0.010925-0.00092759i
-0.0021276-0.011805i,0.0008503-0.012655i,0.0077325-0.0067402i,0.013584-0.0094002i,0.015565-0.017909i,0.0013061-0.021431i,0.0072867-0.017336i,0.0079121-0.0072631i,-0.0047233-0.0094617i,0.00035802+0.0029424i,-0.00035554+0.0016009i,0.0014588+0.0030539i,0.001122+0.0034083i,0.00077368+0.0029777i,0.0020329+0.0011012i,-0.00037525+0.0024721i,-0.00051651-0.00038729i,-0.00073339-0.0024981i,-0.0013157-0.0011601i,-0.0015627-0.00123i,-0.0014807-0.0018216i,-0.0014622+3.5285e-05i,-0.001985-9.0607e-05i,0.0011553-0.0022297i,0.0010436+0.0035093i,0.0021441+0.0018769i,0.0010493+0.0029531i,4.117e-05+0.0027539i,-0.00086015+0.0036766i,0.00097021+0.0035611i,-0.00040114-0.000117i,-0.0005868+0.0007532i,-0.00022698-9.01e-05i,-3.9826e-05-0.00016475i,0.00068258+0.0009309i,0.0007712+0.0081161i,0.00029011+0.0030985i,0.00040925+0.0014384i,0.00033787+0.0043308i,-0.0019156-0.0020343i,-0.0010549-0.0011867i,-0.0010837-0.0010492i,0.00056015+0.0032517i,0.0021103-0.00082197i,-0.0023157-0.012778i,-0.011795-0.001516i,0.0071742-0.00025089i,-0.0021809-0.0074309i,0.031546-0.02524i,0.0097078-0.0096666i,-0.010532-0.0090041i,-0.034375-0.0080735i,-0.013748+0.0011697i,-0.0047263-0.030765i,0.013588-0.0049987i,-0.0015186+0.0030564i,0.0019492+0.0044728i,-0.0048795+0.0062583i,-0.0070592-0.0037075i,0.011155-0.0115i,0.010478-0.0017919i,-0.011235+0.0064422i,-0.00096598-0.0027475i,-0.00311+0.0014473i,-0.0049405-0.00077381i,-0.004079-0.0055544i,0.0057594-0.0003589i,-0.004566-0.0094973i,-0.0027735+0.00044921i,0.0004567+0.0019904i,-0.0019217+0.00033549i,-0.0057095+0.0054804i,0.00099066+0.0032562i,-0.0019069+0.00017016i,0.023967+0.001274i,-0.0027586+0.012644i,0.0013592-0.00014156i,-0.0022962+0.0014091i,-0.00068246-0.00091037i,0.0031619+0.01139i,0.0022665+0.0022088i,-0.0011462+0.0041998i,-2.8446e-05+0.0037067i,-0.0006817+0.0059515i,0.00097613+0.0023638i,-0.001634+0.00020501i,0.0063253+0.0022663i,-0.0038501+0.001195i,-0.0047455+0.0051706i,-0.00046843-0.015884i,0.017018-0.0048494i,-0.017685+0.010045i,-0.018731-0.0020066i,0.014401+0.0025485i,0.014924+0.013921i,-0.011619-0.00073128i
-0.0037835-0.011039i,-0.0011359-0.011809i,0.0064563-0.0081717i,0.011748-0.01256i,0.01259-0.020694i,-0.0023589-0.021419i,0.0039794-0.01732i,0.0065818-0.0083004i,-0.0055674-0.0089222i,0.00077735+0.0028491i,-4.2263e-05+0.0018858i,0.0024585+0.0025458i,0.001795+0.0035105i,0.0013786+0.0029529i,0.0022611+0.00068502i,-0.004364+0.0033666i,-0.00020527-9.6943e-06i,-0.0015763-0.0025014i,-0.0018491-0.00098777i,-0.0021778-0.0006451i,-0.0020547-0.0015823i,-0.0012735+0.00010986i,-0.0021149+0.00045199i,-0.00023396-0.0024995i,0.0024936+0.0029893i,0.0028337+0.00098929i,0.0022045+0.0024813i,0.0010745+0.0028521i,0.0007075+0.0038087i,0.0024301+0.0029333i,-0.00024186+4.4401e-05i,-0.00013593+0.00090332i,-9.747e-06+0.00015941i,0.00022785+0.00029947i,0.001183+0.0011707i,0.0033611+0.0074104i,0.0016336+0.0029227i,0.00090728+0.0014761i,0.0019388+0.0039579i,-0.0022357-0.0013243i,-0.001501-0.00088801i,-0.0014639-0.00084241i,0.0013676+0.0031285i,0.0018249-0.0010735i,-0.0040443-0.013534i,-0.0089135-0.0025466i,0.0099991-0.003335i,-0.0041396-0.0071963i,0.023324-0.035072i,0.0066508-0.013222i,-0.0093497-0.0040419i,-0.033536+0.0016996i,-0.0091119+0.0068263i,-0.011934-0.028826i,0.0095492-0.0060123i,-0.00042985+0.0037128i,0.0034683+0.0031993i,-0.0031472+0.0082643i,-0.0073578+4.6406e-05i,0.0039664-0.015743i,0.0086623-0.006029i,-0.009528+0.0090637i,-0.00085061-0.0017359i,-0.0020706+0.0014513i,-0.0038006-0.00012441i,-0.0049884-0.0029368i,0.0045592-0.0017084i,-0.0077446-0.0072019i,-0.00078554+0.001231i,0.0022476+0.00087749i,-0.0016734+0.00088041i,-0.0026999+0.0065548i,0.0022706+0.0016053i,-0.0009179+0.0012844i,0.020458-0.0084447i,0.0031738+0.01213i,0.0012482+0.00011098i,-0.0018042+0.001397i,-0.00091887+3.7546e-05i,0.0064114+0.0086151i,0.003216+0.0011603i,0.0020388+0.0046678i,0.0017449+0.0027873i,0.0022636+0.0048241i,0.0016808+0.0021688i,-0.0020164+0.0017079i,0.0058658+0.00040607i,-0.0047989+0.0020005i,-0.0024874+0.006713i,-0.0022755-0.016701i,0.00985-0.015092i,-0.015578+0.0054058i,-0.02145+0.0019915i,0.012503-0.001799i,0.017022+0.00884i,-0.012693+0.00085843i
-0.0053402-0.0098117i,-0.0029119-0.011055i,0.004525-0.010033i,0.008516-0.015716i,0.0090302-0.023232i,-0.0062577-0.020471i,0.0012358-0.016777i,0.005262-0.0094066i,-0.006466-0.0084315i,0.0010928+0.0030657i,0.00027002+0.0019192i,0.0031188+0.0014079i,0.0025948+0.0033072i,0.0020129+0.002653i,0.0023751+0.0002702i,0.017358-0.024089i,4.0209e-05+1.4219e-05i,-0.0026204-0.0021151i,-0.0021917-0.0004751i,-0.0026225+0.00022666i,-0.0027722-0.0011045i,-0.0011934-5.0422e-06i,-0.0021661+0.0011006i,-0.0017185-0.002124i,0.0035881+0.0014237i,0.0030061-8.3891e-05i,0.0031261+0.0015147i,0.0022207+0.002507i,0.0023624+0.0032313i,0.0034496+0.0016946i,-2.2436e-06+5.8346e-05i,0.00044423+0.00090812i,0.00017199+0.00034724i,0.00067679+0.0003983i,-0.0014809+0.0038285i,0.0054854+0.0057301i,0.0027122+0.0020576i,0.0014152+0.0011427i,0.0035201+0.0030236i,-0.0022355-0.00061808i,-0.0019024-0.00035739i,-0.0016539-0.0003732i,0.0022869+0.002697i,0.0015145-0.0011175i,-0.0063397-0.013869i,-0.0071777-0.0047316i,0.011097-0.0072478i,-0.0045782-0.0059287i,0.013061-0.040946i,0.0029694-0.01457i,-0.0068783-0.0020027i,-0.028447+0.0079243i,-0.0012465+0.0088044i,-0.016985-0.024651i,0.0068538-0.006033i,0.00067341+0.0037049i,0.0035324+0.001445i,-0.0004016+0.008891i,-0.007063+0.0032212i,-0.0051383-0.014905i,0.0048391-0.0083683i,-0.0070985+0.011914i,-0.00033952-0.0022705i,-0.0016904+0.0012216i,-0.0036742+7.0762e-05i,-0.0044138-0.00085949i,0.0035358-0.0020043i,-0.008367-0.0090086i,0.00052771+0.00066214i,0.0025993-0.0014788i,-0.001399+0.001542i,0.0004127+0.0065312i,0.0021618+0.00021015i,0.00018888+0.0010328i,0.012846-0.013366i,0.0076207+0.0087303i,0.0017965-0.00025985i,-0.00072441+0.0010199i,-0.00025828+0.00034558i,0.0079637+0.0052517i,0.0041632-0.00089437i,0.00425+0.0032795i,0.002515+0.0017459i,0.0037821+0.0023054i,0.0030405+0.0019061i,-0.0010919+0.0032622i,0.0054601-0.00085453i,-0.0053083+0.0036106i,-0.00014881+0.0069205i,-0.0044908-0.016242i,-0.00035129-0.020816i,-0.018988+0.0019159i,-0.021667+0.0077596i,0.0069131-0.004323i,0.017955+0.0039173i,-0.012226+0.0020759i
-0.0060927-0.0084249i,-0.004164-0.0096351i,0.0018575-0.010752i,0.0040066-0.01756i,0.0048046-0.02498i,-0.0095322-0.018569i,-0.00085389-0.015915i,0.0037084-0.010416i,-0.0072256-0.008002i,0.0019538+0.0033339i,0.00058488+0.002197i,0.0031556+0.00042255i,0.0034676+0.00285i,0.0026056+0.0022629i,0.0024459-0.00021253i,0.0051374+0.0055457i,-0.00023281-0.00011523i,-0.0034606-0.0011335i,-0.0022497+0.00012326i,-0.0025879+0.0013821i,-0.0032903-7.3116e-05i,-0.0016055-0.00018333i,-0.0018872+0.0018759i,-0.0029056-0.0010208i,0.0035415-0.00012629i,0.0027024-0.0011608i,0.0036313+0.00012343i,0.0031836+0.0016105i,0.0034493+0.0017985i,0.0038118+0.00020445i,0.00014968-0.00011914i,0.00097992+0.00054695i,0.00053843+0.00036618i,0.0011133+7.726e-05i,-0.00019922-0.0015499i,0.0067537+0.0033598i,0.00326+0.0007813i,0.0017448+0.00068244i,0.0046002+0.0013127i,-0.0020465+8.9516e-07i,-0.0020106+0.00035832i,-0.00166+0.0001758i,0.002893+0.0018319i,0.0012876-0.0012206i,-0.0087755-0.013437i,-0.0066917-0.007818i,0.010226-0.011182i,-0.0037927-0.0055987i,0.0024486-0.042734i,-0.00074305-0.014347i,-0.0052546-0.0011835i,-0.02204+0.0087561i,0.0065075+0.0063314i,-0.018846-0.019092i,0.0054438-0.0059979i,0.0018325+0.0030279i,0.0029906+0.00058524i,0.0027416+0.0080611i,-0.0053368+0.0063851i,-0.011988-0.0093028i,0.001085-0.0079713i,-0.0028455+0.013337i,-0.0013376-0.003272i,-0.0016239+0.0013331i,-0.0038827+0.00084318i,-0.0032768+0.00047118i,0.0025485-0.0022935i,-0.007433-0.0088225i,0.00074264-0.00023474i,0.00040313-0.0031872i,-0.00048704+0.0020037i,0.0030621+0.005099i,0.0021684-0.0007341i,0.00080188+0.00044484i,0.0059468-0.014473i,0.0094251+0.004702i,0.001513-0.00098296i,0.00023127+0.00042778i,0.00061774+0.00030647i,0.0080243+0.0023259i,0.0031888-0.0037031i,0.0058999+0.0011298i,0.0033503+0.00077801i,0.0044712-0.00033422i,0.0036231+0.00068397i,0.00049669+0.0038372i,0.0045437-0.0025921i,-0.0051645+0.0061132i,0.0019947+0.0057176i,-0.0051552-0.01503i,-0.01248-0.021373i,-0.023642+0.0028369i,-0.018302+0.012901i,0.0026097-0.0026536i,0.015922-0.0019929i,-0.011738+0.0020209i
-0.0063964-0.0075919i,-0.0047552-0.0085709i,-0.00027632-0.010466i,-0.00032601-0.017389i,0.00031327-0.02588i,-0.012109-0.016463i,-0.0023481-0.01533i,0.0018607-0.011245i,-0.0082437-0.0075338i,0.0030513+0.002842i,0.0013758+0.0023902i,0.0029449-0.00021849i,0.0042731+0.0018948i,0.0031137+0.0016296i,0.0024224-0.00078871i,0.0044378+0.0030249i,-0.00040762+0.00019754i,-0.0035797+3.894e-05i,-0.0022952+0.00067447i,-0.0020266+0.0022942i,-0.00336+0.00099304i,-0.0021311+0.00033722i,-0.0012115+0.0024723i,-0.0034649+0.00067256i,0.0030329-0.0012371i,0.0021076-0.002002i,0.0033853-0.0013908i,0.0036061+0.00030818i,0.0035366+0.00041329i,0.0036294-0.0012804i,0.00025856-0.00024117i,0.0011643-6.5375e-05i,0.00088284+9.9662e-05i,0.0012362-0.00043963i,5.9238e-05-0.00084664i,0.0068433+0.00084314i,0.0031562-0.00049765i,0.0019885+0.00012901i,0.0046033-0.00067261i,-0.0016343+0.0005444i,-0.0016949+0.0010704i,-0.0015824+0.00059413i,0.0030075+0.00077509i,0.0009808-0.0014193i,-0.011088-0.012463i,-0.0091888-0.01072i,0.0078805-0.014119i,-0.003513-0.0062925i,-0.0063222-0.041842i,-0.0032293-0.011819i,-0.0034502-0.00042616i,-0.017009+0.0098492i,0.01085+0.00099408i,-0.018491-0.01478i,0.0038629-0.0066907i,0.0024825+0.0015707i,0.0030774-0.00027161i,0.0052438+0.0057181i,-0.002277+0.0074827i,-0.014144-0.001824i,-0.0014415-0.0067544i,0.0010115+0.012587i,-0.0033281-0.0031344i,-0.0018107+0.0020519i,-0.0036915+0.0020954i,-0.0022454+0.0012119i,0.0018691-0.0014117i,-0.0054858-0.005186i,-6.3867e-05-0.00098575i,-0.0014427-0.0023042i,0.00064505+0.0018361i,0.0038637+0.0026868i,0.0018815-0.0019224i,0.0010267+0.00022668i,-1.2973e-05-0.013112i,0.010315+0.00022905i,0.001292-0.0017382i,0.00028776+0.00068271i,0.0014846-0.00040772i,0.0079301+0.00041243i,0.00060895-0.005194i,0.0062369-0.00169i,0.003426-0.0011175i,0.0034989-0.0029891i,0.0038079-0.00034019i,0.0019009+0.003673i,0.0025495-0.0028722i,-0.0033061+0.0076956i,0.0031954+0.0037812i,-0.0046658-0.015722i,-0.023144-0.015813i,-0.026893+0.0062646i,-0.013679+0.013882i,0.0015885-0.00081369i,0.012247-0.0039474i,-0.013227+0.0025098i
-0.0070251-0.0068994i,-0.005197-0.0080927i,-0.0018465-0.0099918i,-0.0037957-0.016147i,-0.0044143-0.026072i,-0.01452-0.014069i,-0.0038793-0.015398i,-0.00022493-0.01176i,-0.0094398-0.0067179i,0.0038348+0.0020438i,0.0023958+0.002058i,0.0026776-0.00068657i,0.0046558+0.00068336i,0.0034668+0.00090329i,0.0022022-0.0013929i,0.0046295+0.0020208i,-0.00029091+0.00064687i,-0.0034226+0.0010538i,-0.0021036+0.0014202i,-0.0011837+0.0028993i,-0.0030766+0.0021785i,-0.0022245+0.0012577i,-0.00040396+0.0027093i,-0.0028975+0.0024205i,0.0023783-0.0019813i,0.0012235-0.0025156i,0.0025854-0.0026429i,0.0034204-0.0010636i,0.0033069-0.00082273i,0.0027924-0.0026749i,0.00036791-0.00053125i,0.0010431-0.00054663i,0.0010079-0.00037161i,0.001085-0.001083i,0.00031077-0.00081637i,0.0060266-0.0012692i,0.0027476-0.001512i,0.0020989-0.0005707i,0.0037899-0.0022815i,-0.0010415+0.00094494i,-0.0011703+0.0016338i,-0.0013758+0.0010746i,0.0026077+0.00012221i,0.00057528-0.0012075i,-0.013223-0.011007i,-0.013357-0.01066i,0.0051073-0.015659i,-0.003846-0.0061689i,-0.014292-0.039891i,-0.0029369-0.0085277i,-0.001524-0.00088691i,-0.012161+0.010211i,0.012989-0.0051801i,-0.016767-0.012096i,0.002085-0.007649i,0.0018226-0.00074934i,0.0027737-0.0014673i,0.0056313+0.0027393i,-0.00036385+0.0070663i,-0.012988+0.0047168i,-0.0036082-0.0050724i,0.0034829+0.010324i,-0.0049335-0.0013431i,-0.0015077+0.0033268i,-0.0030451+0.0032022i,-0.00087786+0.0013443i,0.0026811+0.0001041i,-0.0031626-0.003026i,-0.00054895-0.00028112i,-0.001907-0.0012935i,0.0014569+0.0012625i,0.0039061+0.00081308i,0.00038586-0.0033467i,0.001282-0.00016927i,-0.004635-0.010768i,0.0093974-0.0037704i,0.00066153-0.0023661i,0.0011243+0.00035908i,0.0014391-0.0017118i,0.0076831-0.0017813i,-0.0018055-0.0045975i,0.0053408-0.0046961i,0.0021784-0.0021596i,0.0013952-0.0043612i,0.0039573-0.0017212i,0.0033895+0.0027593i,0.0018463-0.0024318i,-0.00028962+0.0079392i,0.002702+0.0016992i,-0.0052607-0.017533i,-0.027764-0.006102i,-0.029098+0.011824i,-0.010035+0.014259i,0.00066987+0.00069991i,0.0083374-0.0057918i,-0.013932+0.0042947i
