-0.026269-0.0043753i,-0.022741-0.0076692i,-0.014785-0.015396i,-0.03674-0.0098963i,-0.027435+0.00058165i,-0.036594-0.002866i,-0.068821-0.036233i,-0.034826-0.015602i,-0.024174+0.0035342i,0.0070737+0.0065727i,-0.0056353+0.0081895i,-0.0081797+0.01886i,0.006529+0.0089655i,-0.00070708+0.0036177i,0.0045371+0.0040834i,0.0056452+0.025463i,0.024471+0.019978i,0.0014622-0.0004969i,0.00078568-0.0042937i,0.0090888+4.5175e-05i,0.0055261-0.00010571i,0.0024432+0.0015092i,0.0013719-0.0005952i,-0.024361+0.00056747i,-0.0049402-0.0039739i,-0.00038327+0.0034505i,0.0049806-0.0039105i,-0.0017294-0.00050491i,-0.00032358+0.0012217i,-0.0020933-0.0016473i,-0.0037873-0.00027881i,-0.0072718-0.0080214i,-0.0050432-0.0075479i,-0.00061728+0.00022815i,-0.00011328-0.002253i,0.00087273+0.021119i,0.0028842-0.0037173i,0.00090009-0.0045454i,0.0032717-0.0019051i,-0.0028455-0.002635i,0.00094637+0.00016416i,0.0083102-0.0021871i,0.0034038-0.0021083i,0.00036843+0.0028748i,-0.014585+0.016192i,-0.024207+0.05154i,-0.0097558-0.037022i,-0.01685-0.019075i,-0.041045-0.016077i,-0.028277-0.010971i,0.030299-0.012887i,0.0037552-0.029157i,0.010087-0.039043i,-0.011197-0.02955i,0.024853-0.024097i,0.01367+0.0064614i,0.026881-0.036597i,-0.0013743-0.0041088i,0.0053521-0.0088989i,-0.0005952-0.0055449i,-0.001688-0.03436i,-0.011152+0.029208i,0.007986-0.012102i,-0.0085024-0.0043864i,-0.0025584-0.0022905i,-0.00090583-0.015413i,-0.0075522+0.0061182i,0.0042224+0.0057753i,0.0010788+0.027875i,0.0017532+0.0001329i,-0.0072925-0.0038019i,-0.0045069-0.0061692i,-0.015185-0.0097058i,-0.0027893-0.005723i,-0.032712+0.0072639i,-0.0060344-0.0078794i,-0.013134-0.00039104i,-0.011079-0.0058476i,0.0012573-0.001629i,-0.013951+0.0021568i,-0.0017031-0.00082226i,0.0052498+0.0049808i,0.0030405-0.0057674i,-0.014476-0.013777i,0.0079257+0.0075958i,-0.015168+0.0056044i,0.0054093-0.00046619i,-0.01875-0.0014939i,-0.014959-0.0037862i,-0.017831-0.034551i,0.019894-0.011523i,-0.039741-0.022419i,-0.0087947+0.0063469i,0.018221+0.01424i,-0.020805+0.017956i,-0.004138-0.0024692i
0.0071919-0.010926i,0.011919+0.0013929i,0.010251+0.0035493i,0.016809-0.002984i,0.020271-0.00096429i,0.017305-0.013759i,0.01759-0.005349i,0.013952-0.0014355i,0.0022517-0.010188i,-0.0027321+0.0032997i,-0.0009621+7.7294e-05i,-0.0012382+0.00021683i,-0.00090504+0.0042814i,-0.0018431+0.0027479i,0.00053088+0.002572i,0.00082474-0.0002127i,0.002816-0.0018976i,0.00058695-0.00152i,-0.00060653-0.00043159i,-4.0249e-05-9.3943e-05i,0.00071792-0.0026089i,-0.0012042-0.0013784i,-0.00062096-0.00036651i,0.0031981+0.0044589i,-0.0020195+0.00066093i,-0.0013536+0.001598i,-0.0023789+0.00042932i,-0.0019462+2.3034e-05i,-0.0027727-0.0012022i,-0.0023043+0.00043929i,0.0012841-0.0011013i,0.00049974+0.001489i,0.0013136+0.0002191i,0.0015283-0.00014649i,0.00092448-0.00036819i,-0.010423+0.0061869i,-0.0016202-0.00046765i,-0.0011873+0.00020859i,-0.0029279-0.00027256i,0.0017268-0.0031124i,0.00015793-0.0010233i,0.00046232-0.001571i,-0.0009871+0.0023284i,0.002172+0.00056842i,0.0019287-0.013619i,-0.020068-0.0090542i,-0.00015782-0.0046819i,-0.0050849+0.003331i,0.018626+0.020418i,0.0026838+0.0035928i,0.014996-0.012967i,-0.0096391-0.025769i,-0.0035702-0.011763i,0.0081241-0.0087309i,0.018335+0.016489i,0.0020465+0.0015469i,-0.0011487+0.00095148i,-0.0052487-0.00045324i,0.010202-0.0034606i,0.012956+0.0073356i,0.0027889+0.0047884i,-0.0046532-0.0060841i,0.0061155-0.0037468i,-0.0032337-0.0057981i,0.0031351-0.011019i,0.0061364-0.0063184i,-0.00061316+0.0070577i,0.0087669-0.0080472i,0.0035752-0.0078592i,-0.0001372-0.0066887i,-0.0032372-0.00096479i,-0.0065733-0.0061531i,-0.0086246-0.00062241i,-0.00052425-0.0012141i,-0.0084311+0.025593i,-0.0094488-0.0017922i,-4.8546e-05+0.003385i,-0.003912-0.0041837i,-0.00021218+0.00082698i,-0.016181+0.0017669i,-0.0037963+0.0018588i,-0.0018933-0.0017691i,-0.0044324-0.00034212i,-0.006758-0.0031038i,-0.00084506+0.0050356i,-0.0015787+0.0016189i,-0.0052947+0.0057386i,-0.0053409+0.00075567i,-0.0022893-0.0012952i,0.0090867-0.0028017i,-0.0040705+0.017533i,-0.027315-0.0021216i,-0.010188-0.00368i,0.011061+0.015136i,-0.002472+0.016338i,-0.0064497-0.0044215i
0.0054045-0.012603i,0.012249-0.0025697i,0.010754+0.002038i,0.015615-0.0050858i,0.02001-0.0044797i,0.014636-0.016582i,0.014733-0.0085939i,0.013303-0.0037281i,0.00028516-0.010608i,-0.0015659+0.0035342i,-0.00052553+0.00058398i,-0.0012623+0.0015009i,0.00033346+0.0042935i,-0.00071982+0.0032764i,0.0010993+0.0024122i,0.0006311+0.00018141i,0.0015611-0.0024791i,0.00055193-0.0014648i,-0.00064191-0.00087439i,0.00040211-0.00069375i,-1.0373e-05-0.00274i,-0.0014414-0.0010168i,-0.00061036-0.00058298i,0.00542+0.0026529i,-0.002158+0.002028i,-0.00052642+0.0020567i,-0.0024397+0.0011851i,-0.0020715+0.0007797i,-0.0036531+0.00027563i,-0.0021094+0.0016457i,0.00061887-0.0013238i,0.00059793+0.00052109i,0.00085854-0.00032843i,0.0011011-0.00070002i,0.00059779-0.00024495i,-0.0076441+0.0090923i,-0.0021739+0.00028766i,-0.0012798+0.00095304i,-0.0030171+0.0010524i,0.00067773-0.0032691i,8.5403e-05-0.0011586i,-0.00016742-0.0015405i,-0.00051155+0.0025506i,0.0017254+0.00049502i,0.00013894-0.013092i,-0.018398-0.0069888i,-0.0014553-0.0024138i,-0.0019462+0.00094756i,0.026795+0.013261i,0.0059338+0.00099998i,0.0091094-0.016343i,-0.017302-0.025467i,-0.0080134-0.012649i,0.010596-0.015599i,0.019776+0.0095239i,0.00069094+0.00055488i,-0.00031372+0.0030624i,-0.0048243+0.0010816i,0.0071692-0.006827i,0.014029+0.0034117i,0.0054044+0.0052115i,-0.0083188-0.0046348i,0.0022687-0.0053056i,-0.0041798-0.0038921i,-0.002229-0.0099722i,0.0033498-0.0077336i,0.0027592+0.0052572i,0.0043695-0.0093295i,-0.00027542-0.0072673i,-0.0034901-0.0032742i,-0.002329+0.00011105i,-0.0079942-0.0037512i,-0.0061508+0.0031619i,-9.9404e-05-0.00077885i,0.0040988+0.0248i,-0.010041+0.001474i,0.00079088+0.0023377i,-0.0058363-0.0019502i,0.00025603+0.00043551i,-0.013726+0.0088858i,-0.0028187+0.0032618i,-0.0023509-0.00018283i,-0.0032769+0.00093086i,-0.0071006-0.00068496i,0.00049239+0.0022434i,-0.00070178+0.0013334i,-0.0015785+0.0071533i,-0.0037972+0.0021007i,-0.0034906-0.00097833i,0.0097454-0.0091181i,-0.00042832+0.018972i,-0.027447+0.0030157i,-0.011615-0.0051433i,0.012965+0.013362i,9.4454e-05+0.017889i,-0.0085096-0.0036591i
0.0026249-0.013754i,0.010191-0.0070562i,0.011597-0.00037305i,0.014693-0.0073327i,0.019423-0.0079748i,0.011428-0.019265i,0.011368-0.011352i,0.012418-0.0060819i,-0.001612-0.010123i,-0.0010325+0.003637i,-0.00022486+0.00030673i,-0.00049597+0.0023114i,0.0014056+0.0036966i,0.00037502+0.0029367i,0.001653+0.0021186i,0.00061823+0.0004262i,0.00035798-0.0024004i,0.00041356-0.0018816i,-0.0010048-0.00087268i,5.5336e-06-0.0016071i,-0.00092406-0.0028537i,-0.0013257-0.00054985i,-0.00093119-0.0007766i,0.0057918-0.00032409i,-0.0010915+0.003149i,5.1794e-05+0.0021477i,-0.0021787+0.0025091i,-0.0017574+0.0016086i,-0.0034189+0.0022961i,-0.0013078+0.0026257i,4.8037e-05-0.0011811i,-5.045e-05+0.00079336i,0.00053922-0.00039732i,0.00058262-0.00098816i,0.00055445-0.00011206i,-0.0043403+0.010884i,-0.0021778+0.0016242i,-0.00074591+0.0014498i,-0.0024996+0.0025164i,-0.00036347-0.0032235i,-6.2395e-05-0.0013796i,-0.00043833-0.0013248i,-3.6013e-06+0.0028086i,0.0018499+0.00081304i,-0.00079709-0.012336i,-0.017385-0.0043883i,4.1421e-07+0.00058438i,0.00031527-0.0022889i,0.033361+0.0031051i,0.0084438-0.00081929i,0.0030338-0.017075i,-0.02371-0.02242i,-0.01198-0.010312i,0.0090082-0.023297i,0.018363+0.0032356i,-0.0009508+0.00048019i,-0.00045338+0.0021468i,-0.0049758+0.0018992i,0.0020737-0.0096182i,0.013941-0.0010689i,0.0077291+0.0039349i,-0.010894-0.0016055i,0.00048668-0.004139i,-0.004621-0.001576i,-0.0049549-0.0069565i,0.00076733-0.0076545i,0.0046765+0.0043403i,0.0015441-0.0088041i,-0.0031762-0.0051653i,-0.0028366+0.00017798i,-0.0020304+2.5889e-05i,-0.0095278-0.00041299i,-0.0033571+0.0040925i,-0.00069525-0.0011292i,0.013499+0.018679i,-0.0092133+0.0055879i,0.0014548+0.0018128i,-0.0046096+0.00045067i,0.00075749-0.00046138i,-0.0071844+0.013479i,-0.00095674+0.0043985i,-0.0025933+0.00065875i,-0.0026967+0.0019131i,-0.0069171+0.0025567i,-0.00041909+0.0019489i,-0.00037597+0.00092585i,0.0015544+0.0068823i,-0.0029514+0.0016328i,-0.0046709+0.00028064i,0.0063134-0.014385i,0.0082122+0.017189i,-0.025739+0.0061591i,-0.013645-0.0056986i,0.015685+0.0093431i,0.0045773+0.019413i,-0.0098389-0.0024585i
-0.00018749-0.013677i,0.0062987-0.008961i,0.011123-0.0033064i,0.013234-0.0098801i,0.017874-0.011558i,0.0073896-0.020961i,0.007586-0.01268i,0.010972-0.0082599i,-0.0029627-0.0095323i,-0.00050509+0.0040644i,-0.00036321+0.00037212i,0.00049977+0.0025135i,0.0017674+0.0029724i,0.00079446+0.0026089i,0.0020069+0.0016776i,0.0006705+0.0007532i,-0.00058082-0.0017118i,7.0707e-05-0.0021032i,-0.00088553-0.00081766i,-0.00096806-0.0019137i,-0.0017386-0.0023084i,-0.0013056-0.00037627i,-0.0014188-0.00065484i,0.0046982-0.0025801i,0.00028703+0.0034528i,0.00074498+0.0022836i,-0.00082434+0.0035811i,-0.0012009+0.0022208i,-0.0020071+0.0036913i,-0.00011192+0.0030465i,-0.00031832-0.00088264i,0.00044726+0.0012505i,0.00025478-0.00045242i,-5.8629e-05-0.00099459i,0.00060684-0.00015658i,-0.00070048+0.011569i,-0.0013331+0.0027555i,-0.00031079+0.0015699i,-0.0013435+0.0036222i,-0.00132-0.0029621i,-0.00060526-0.0015737i,-0.00061438-0.0012306i,0.00067402+0.0029908i,0.0022514+0.00081388i,-0.0012502-0.012454i,-0.014803-0.0019465i,0.0033538+0.0020311i,-0.00067862-0.0062297i,0.035789-0.010754i,0.010297-0.0050176i,-0.0024728-0.014868i,-0.029474-0.016752i,-0.013842-0.0054841i,0.0032617-0.029782i,0.015849-0.0014926i,-0.0018172+0.0017824i,-0.00045008+0.0043928i,-0.004774+0.0034189i,-0.0040536-0.0079783i,0.012298-0.0059874i,0.0094839+0.0013905i,-0.011808+0.0024223i,-0.00077029-0.0038337i,-0.0037634+0.00024072i,-0.0059992-0.0033149i,-0.0012285-0.0073714i,0.005888+0.0012639i,-0.00071138-0.0082353i,-0.0041182-0.0016351i,-0.0012248+0.0018839i,-0.0021359+0.00041717i,-0.0086212+0.0035147i,-0.0010317+0.0045723i,-0.0014001-0.0010471i,0.018347+0.009863i,-0.0059786+0.00956i,0.0019557+0.00096404i,-0.0033847+0.0022338i,8.8425e-05-0.0012961i,-0.00069856+0.013373i,0.0014472+0.0039011i,-0.0022417+0.0025326i,-0.0017047+0.0030976i,-0.0041844+0.0053734i,-0.00032748+0.0024627i,-0.00066423+0.0004751i,0.0048187+0.0056701i,-0.0030986+0.0010476i,-0.0054356+0.0021955i,0.0024203-0.015416i,0.016882+0.0080729i,-0.023079+0.0099326i,-0.016992-0.0044954i,0.014624+0.0052934i,0.0097901+0.018219i,-0.0096227-0.0014195i
-0.0023854-0.013043i,0.0036679-0.008703i,0.0098498-0.0055042i,0.011485-0.012084i,0.015739-0.014628i,0.0034809-0.021862i,0.004297-0.012655i,0.0092064-0.0099134i,-0.0040445-0.0087743i,0.00032537+0.0043096i,-0.00051465+0.0006038i,0.0013652+0.0022212i,0.0018838+0.0026891i,0.0010554+0.0023638i,0.0022545+0.0012984i,0.0010979+0.0012284i,-0.00085298-0.00091305i,-0.00050681-0.0023434i,-0.0011529-0.0010979i,-0.0019288-0.0016066i,-0.0022865-0.0018734i,-0.0012591-0.00020667i,-0.0017985-0.0001957i,0.0029991-0.003913i,0.0015843+0.0032146i,0.0016436+0.0021044i,0.00065773+0.0037511i,-0.00049612+0.0026991i,-0.00027501+0.004285i,0.0011853+0.0029659i,-0.00035962-0.00056946i,0.00094258+0.0011957i,-4.3084e-05-0.0003364i,-0.00058414-0.00039i,0.00068645-0.00011676i,0.0028419+0.011269i,-0.00016468+0.0033827i,3.1068e-05+0.0018239i,0.00028184+0.0041256i,-0.0020287-0.0024152i,-0.0010723-0.0015438i,-0.0010131-0.0011851i,0.0015019+0.0028498i,0.0024284+0.00028945i,-0.0024617-0.013094i,-0.011315-0.0011743i,0.0075956+0.00095467i,-0.0028776-0.007511i,0.031572-0.023673i,0.0097286-0.0093078i,-0.0051173-0.011031i,-0.032132-0.0087911i,-0.01326+0.0003123i,-0.0047359-0.032224i,0.012094-0.004416i,-0.0012703+0.0030848i,0.0022567+0.0047614i,-0.004043+0.0047872i,-0.0067967-0.0036591i,0.0084229-0.010504i,0.010059-0.0021055i,-0.010966+0.0062816i,-0.0015832-0.0023916i,-0.0025493+0.00091941i,-0.0048456-0.0010549i,-0.0040011-0.0061571i,0.0052393-0.00076669i,-0.0026724-0.0069887i,-0.0029106+0.00081187i,0.00078707+0.0021402i,-0.00182+0.00090394i,-0.0057995+0.0061902i,0.0017504+0.0037318i,-0.0016498+0.0001929i,0.018667+0.0012031i,-0.00084455+0.010929i,0.0017763+0.00019058i,-0.0014343+0.0025377i,-0.0006949-0.00089772i,0.003577+0.011183i,0.0026333+0.0026741i,-0.00051381+0.0043773i,0.00050951+0.0038562i,-0.00046316+0.0057114i,0.00074739+0.0028022i,-0.0014879+0.00073605i,0.0061476+0.0028647i,-0.0040154+0.001207i,-0.0044699+0.0044912i,0.00039375-0.01522i,0.017018-0.0057708i,-0.018132+0.01025i,-0.019591-0.0019884i,0.014388+0.0022478i,0.01394+0.013967i,-0.010558-0.0013882i
-0.0042229-0.012158i,0.0023669-0.0085095i,0.0087521-0.0071987i,0.0094666-0.014356i,0.013258-0.017387i,-0.00068384-0.022246i,0.0021712-0.011909i,0.0073976-0.011184i,-0.0047314-0.008067i,0.0010777+0.0042782i,-0.00039309+0.0010602i,0.0020876+0.0018081i,0.002306+0.0026719i,0.0013954+0.002317i,0.0025816+0.00079638i,0.0019739+0.0014913i,-0.00065104-0.0003534i,-0.0013065-0.0024277i,-0.0018427-0.0010385i,-0.0026745-0.00087291i,-0.0027126-0.0013613i,-0.0011397-0.0001128i,-0.0019449+0.00039759i,0.00082342-0.0044967i,0.0028331+0.0025006i,0.0024639+0.0014262i,0.0020422+0.0033668i,0.00056022+0.0030551i,0.0014623+0.0041198i,0.0023037+0.002306i,-0.00035462-0.00040955i,0.0015442+0.0010116i,-0.00017555+0.00011339i,-0.00043664+0.00024564i,0.00081785-0.00032293i,0.0059742+0.0098751i,0.0013823+0.0034066i,0.00075063+0.0020161i,0.0019429+0.0037972i,-0.0024256-0.0017532i,-0.0016847-0.0013657i,-0.001477-0.00097731i,0.0021852+0.0025083i,0.0024974-1.1725e-05i,-0.0039333-0.013574i,-0.0083802-0.0021256i,0.010778-0.0025093i,-0.0046776-0.0072642i,0.024049-0.033644i,0.0074631-0.012391i,-0.0052868-0.0073787i,-0.030592-0.00056028i,-0.0086582+0.0060961i,-0.012124-0.030247i,0.0087083-0.0054525i,-0.00021429+0.0035942i,0.0039846+0.0034365i,-0.0030233+0.0063665i,-0.0073011-0.00020701i,0.0023449-0.013206i,0.0081896-0.0059873i,-0.0090856+0.0089153i,-0.0011497-0.0012596i,-0.0017977+0.00077285i,-0.0038997-0.00030022i,-0.005112-0.0034075i,0.0039593-0.0017575i,-0.0038304-0.0052829i,-0.0008512+0.0015282i,0.0025761+0.00077858i,-0.0014855+0.001366i,-0.0029984+0.007047i,0.0026778+0.0018015i,-0.00069893+0.0011863i,0.015746-0.0058512i,0.0037035+0.0099829i,0.0016996+0.00017008i,-0.00032016+0.002185i,-0.00098721+0.00016922i,0.006827+0.0083306i,0.0037305+0.001574i,0.0024687+0.0042873i,0.0022715+0.0027157i,0.0024932+0.0044303i,0.0015671+0.0024663i,-0.0017025+0.0020837i,0.0061211+0.00067543i,-0.0051067+0.0020614i,-0.002446+0.0057167i,-0.001163-0.015841i,0.0094947-0.015275i,-0.015641+0.006483i,-0.022047+0.0022686i,0.012461-0.0026713i,0.015569+0.0095504i,-0.011792-0.0001197i
-0.0059013-0.01088i,0.00090996-0.0085631i,0.0070742-0.0095631i,0.0064725-0.01656i,0.01021-0.019911i,-0.0051842-0.02149i,0.00080632-0.01137i,0.0055654-0.01235i,-0.0053673-0.0074378i,0.001714+0.0045327i,-0.00021404+0.001283i,0.0022856+0.00082042i,0.0029256+0.0024073i,0.0017733+0.0021786i,0.0027349+0.0002501i,0.0029204+0.0010183i,-0.00050576-0.00010048i,-0.0023148-0.0022171i,-0.0022936-0.00049031i,-0.0032623+0.00022235i,-0.0032648-0.00069984i,-0.001129-0.00025088i,-0.0019213+0.0010341i,-0.0013149-0.004102i,0.0036899+0.00095334i,0.0028594+0.00047594i,0.003044+0.0025391i,0.001826+0.0028803i,0.0031293+0.0032133i,0.0030471+0.0011796i,-0.00027992-0.00032161i,0.001925+0.00058466i,-5.6904e-05+0.00051688i,-4.1252e-06+0.00059837i,0.0007566-0.00071944i,0.0084597+0.0074545i,0.0027078+0.0026194i,0.0015387+0.0017067i,0.0034133+0.0027773i,-0.0025253-0.0010975i,-0.0022652-0.00079478i,-0.0017699-0.00047439i,0.0028989+0.0018781i,0.0024046-0.0003674i,-0.0059378-0.013776i,-0.0065886-0.0041667i,0.011898-0.0069298i,-0.0049198-0.0057072i,0.014135-0.040085i,0.0045603-0.01406i,-0.0043089-0.0057283i,-0.026079+0.0049247i,-0.00098723+0.0078795i,-0.017654-0.02591i,0.0060812-0.005377i,0.00078874+0.0035844i,0.0041408+0.0014003i,-0.0010539+0.0072615i,-0.0071708+0.0029322i,-0.0049283-0.012079i,0.0048505-0.0078518i,-0.0066457+0.01115i,-0.00027728-0.0017149i,-0.0016467+0.00060414i,-0.0037773-3.488e-05i,-0.0046755-0.0012522i,0.0031075-0.0019771i,-0.0044868-0.0041548i,0.00030823+0.0010784i,0.0028754-0.0016259i,-0.00098043+0.0018058i,0.00025214+0.0070615i,0.0023789+0.00047927i,0.00018695+0.00073674i,0.010954-0.010153i,0.0073043+0.0073303i,0.0022541-0.00022116i,0.00091772+0.0012247i,-2.1052e-05+0.0007057i,0.0084323+0.0049945i,0.0047838-0.00064861i,0.0044267+0.0029047i,0.0030745+0.001552i,0.0038969+0.0023048i,0.0028517+0.0021241i,-0.00076462+0.0034285i,0.0057057-0.0010452i,-0.0054834+0.0039687i,-0.00049472+0.0055403i,-0.0026406-0.015793i,-0.00015374-0.020648i,-0.018416+0.003605i,-0.02176+0.0078025i,0.0064706-0.00533i,0.016507+0.005429i,-0.011868+0.0011173i
-0.0066715-0.0094257i,0.00031669-0.007878i,0.0043863-0.010956i,0.0025864-0.017814i,0.0065067-0.021783i,-0.0089779-0.019443i,5.7493e-06-0.010993i,0.0035341-0.013275i,-0.0058704-0.0070658i,0.0031079+0.0047544i,8.9166e-05+0.0017964i,0.0021556+0.00036474i,0.0035775+0.0018977i,0.0022917+0.0020303i,0.0027639-0.00038258i,0.0033819+0.00036682i,-0.00061806+9.1443e-05i,-0.0032444-0.001323i,-0.0023929+0.00012568i,-0.0031327+0.0016431i,-0.0035189+0.00041322i,-0.0016417-0.0004094i,-0.0016189+0.0016905i,-0.0030511-0.0026953i,0.0034832-0.00065385i,0.0028124-0.00057959i,0.0039092+0.0012272i,0.0029316+0.0021451i,0.0041123+0.0015606i,0.0032223-6.0023e-05i,-0.00024683-0.00032615i,0.0020695-0.00023405i,0.0004409+0.00073024i,0.0005356+0.00061839i,0.00043518-0.00076937i,0.0099062+0.0042997i,0.0035449+0.0013236i,0.0021236+0.0011866i,0.0043258+0.0011442i,-0.002551-0.00043383i,-0.002513+0.00011381i,-0.0018932-2.7026e-05i,0.0032427+0.00091752i,0.0023322-0.00075473i,-0.0080708-0.013464i,-0.0061409-0.0070991i,0.010928-0.011109i,-0.0035639-0.0054585i,0.0038092-0.042232i,0.0013307-0.014378i,-0.0037289-0.0048057i,-0.021643+0.0071791i,0.0062942+0.0052867i,-0.020392-0.020171i,0.0049116-0.0051387i,0.0018821+0.0029318i,0.0035425+0.0002293i,0.0015208+0.0071445i,-0.005472+0.0061981i,-0.010078-0.0071163i,0.0014828-0.0079069i,-0.0033476+0.012536i,-0.0010856-0.0026816i,-0.0016962+0.00085025i,-0.0039446+0.00070549i,-0.0036268+0.00019545i,0.0020504-0.0021242i,-0.0051405-0.0027366i,0.00076742+0.0003378i,0.0006431-0.0031705i,-2.922e-05+0.0020684i,0.0030999+0.00528i,0.0026876-0.00042922i,0.00042896+0.00024308i,0.0055449-0.011871i,0.0092284+0.0034705i,0.0023905-0.0013817i,0.00071257+0.00015128i,0.0010963+0.00052713i,0.0084551+0.0018859i,0.0039938-0.0035477i,0.0059623+0.00085853i,0.0037859+0.00036348i,0.0046088-2.5242e-05i,0.0036108+0.00094788i,0.00089856+0.0037469i,0.0043342-0.0025271i,-0.0046186+0.0062748i,0.0010857+0.0045824i,-0.0031656-0.015604i,-0.011942-0.021263i,-0.021975+0.004352i,-0.01839+0.012625i,0.0018068-0.0031718i,0.015536+0.00042821i,-0.01157+0.0015359i
-0.0069866-0.0086706i,0.00029883-0.0083589i,0.0020113-0.011134i,-0.0012146-0.017553i,0.0026066-0.022838i,-0.011719-0.017035i,-0.00040693-0.011408i,0.0013145-0.013981i,-0.0064757-0.0066516i,0.0047925+0.0040076i,0.00092846+0.0021266i,0.0020533+0.00013796i,0.0041635+0.00098699i,0.0028552+0.0015997i,0.0026077-0.0010504i,0.0037592-9.2382e-05i,-0.00051446+0.00045953i,-0.0034708-0.00022978i,-0.0024662+0.0006789i,-0.0023695+0.0026706i,-0.0033737+0.0013902i,-0.0021686+0.00014632i,-0.0010266+0.0022029i,-0.0040257-0.0005971i,0.0028039-0.001733i,0.0023916-0.0015089i,0.0040416-0.00047103i,0.0037002+0.00091213i,0.0040956-2.1581e-05i,0.0030046-0.0012245i,-0.00019168-0.00023777i,0.001521-0.00089484i,0.0010602+0.00046753i,0.0010004+0.00038891i,0.00020348-0.00065696i,0.0098605+0.0010479i,0.0036718-0.00013003i,0.0026204+0.00041324i,0.0043332-0.00072175i,-0.002302+0.00032544i,-0.0022023+0.00097i,-0.00193+0.00041717i,0.0031214-8.8171e-05i,0.0021124-0.0011365i,-0.010279-0.012709i,-0.0083539-0.0098605i,0.0084293-0.014339i,-0.0030649-0.0065218i,-0.0048718-0.041592i,-0.00095284-0.012704i,-0.0028685-0.0039788i,-0.018226+0.0087141i,0.010506+0.00027687i,-0.019898-0.014625i,0.0038322-0.0058459i,0.0025386+0.0015279i,0.0034147-0.00082433i,0.0039066+0.0056226i,-0.0023477+0.0074042i,-0.011487-0.0012597i,-0.0013303-0.0070914i,0.00029464+0.012285i,-0.0027527-0.0026123i,-0.0020621+0.00151i,-0.0037343+0.0017913i,-0.0027203+0.0010721i,0.0015137-0.0010917i,-0.0053312-0.00087886i,0.00051755-0.0002811i,-0.0010866-0.0024422i,0.00088619+0.0017475i,0.0042329+0.0027175i,0.0028423-0.0018144i,0.00062633+0.00026447i,0.00086517-0.011411i,0.009477-0.00065165i,0.0017228-0.0023762i,0.00048665+7.1045e-05i,0.0018874-0.00036083i,0.0079786-0.00040844i,0.0014487-0.0052873i,0.0062672-0.0021773i,0.0036464-0.0015778i,0.0039965-0.0027313i,0.0039175-0.00020495i,0.002226+0.0033404i,0.0025751-0.0026591i,-0.0027982+0.0075707i,0.0017985+0.0032491i,-0.0036389-0.016639i,-0.022631-0.016061i,-0.024735+0.0070809i,-0.013703+0.014076i,0.00099002-0.00083567i,0.012576-0.0029605i,-0.012888+0.0021642i
-0.0078724-0.0080978i,-0.00044161-0.0097554i,0.00025774-0.010948i,-0.004434-0.016357i,-0.0014778-0.023396i,-0.014203-0.014502i,-0.0013446-0.01291i,-0.0010839-0.014343i,-0.0073056-0.0061833i,0.0059822+0.0026947i,0.0019655+0.0018493i,0.0020357+3.3902e-05i,0.0043733-0.0002177i,0.0034126+0.00096376i,0.0022425-0.0016958i,0.0040583-0.00076512i,-0.00032267+0.00073201i,-0.0034332+0.00076826i,-0.0023167+0.0014606i,-0.0013864+0.0033103i,-0.0029327+0.0024961i,-0.0022374+0.0010773i,-0.0003915+0.0023949i,-0.0037917+0.0017139i,0.0019758-0.0024324i,0.0016909-0.0021884i,0.0033926-0.0020107i,0.0037674-0.00060922i,0.0036974-0.0013871i,0.0023229-0.0023006i,-4.3665e-05-0.00031406i,0.0011039-0.00094082i,0.0013298-0.00011432i,0.0013058-0.00026279i,0.00022255-0.00060235i,0.0089544-0.0017309i,0.0034342-0.0014607i,0.0028454-0.00066976i,0.0035374-0.0023401i,-0.0017359+0.0010047i,-0.0017224+0.0016638i,-0.0017953+0.00098689i,0.0026049-0.00075306i,0.0017791-0.0011149i,-0.012487-0.011443i,-0.012006-0.0099886i,0.0054681-0.015941i,-0.003482-0.0067533i,-0.013018-0.040265i,-0.0012432-0.010823i,-0.0017692-0.0039941i,-0.014024+0.0097355i,0.013018-0.0058408i,-0.017544-0.011484i,0.0023433-0.0063371i,0.0019692-0.00068929i,0.0028945-0.0021022i,0.0046111+0.0031323i,-0.00025266+0.0069059i,-0.010618+0.0040592i,-0.0036863-0.0053725i,0.0029176+0.010211i,-0.0042774-0.0012304i,-0.0019675+0.0028703i,-0.0031322+0.0028293i,-0.0012811+0.0014078i,0.0024495+0.00029675i,-0.0044962+0.00048891i,0.00045737+0.00010527i,-0.0017418-0.0015005i,0.001533+0.0012373i,0.0041149+0.00071073i,0.0010928-0.003444i,0.00099352-0.00012555i,-0.0030048-0.0099584i,0.0081575-0.0041225i,0.00092023-0.0028909i,0.00099015-0.00025351i,0.0017228-0.0016831i,0.0074757-0.0024894i,-0.0010244-0.0050228i,0.0047269-0.0051099i,0.0023071-0.0027231i,0.0018528-0.0042298i,0.0039191-0.001767i,0.0032785+0.0025513i,0.0019772-0.0022725i,-0.0003109+0.0078164i,0.0015485+0.0018665i,-0.0049774-0.018393i,-0.02729-0.0066796i,-0.026845+0.011639i,-0.0099797+0.01431i,5.2369e-05+0.00089858i,0.0094243-0.00424i,-0.013604+0.0039305i
