-0.023894-0.03793i,-0.012401-0.048845i,-0.017856-0.044543i,-0.030902-0.035252i,-0.030104-0.016161i,-0.050092-0.027039i,-0.05764-0.025287i,-0.044276-0.036683i,-0.029797-0.036125i,0.0073859+0.012613i,-0.0054505+0.015725i,-0.0045419+0.013983i,0.0099611+0.021491i,0.00043731+0.0042874i,0.0032977+0.0031825i,0.0069277+0.018065i,0.026619+0.038373i,-0.002447-0.0012718i,-0.0043958-0.0057521i,0.0078978+0.0016765i,-0.00032362-0.00097121i,-0.00102+0.0012969i,0.00012344-0.00032969i,-0.030992-0.0032131i,-0.0012584-0.0057377i,0.0014025+0.0046093i,0.0039283-0.00025058i,-0.00057171+0.00069839i,0.00055127-0.00066302i,-0.00019246-0.0024829i,-0.0013811-0.0061855i,-0.0044901-0.0039929i,-0.0016914-0.0048172i,0.0022821-0.00067732i,0.0023296-0.0028593i,0.0025452+0.025643i,0.0019422-0.0027456i,0.0027056+0.00060475i,0.0062524+0.0011819i,-0.010542-0.0041101i,-0.0031571+0.00071295i,0.0066425+0.0014522i,0.0056165+4.6884e-06i,-0.0033692+0.0054383i,0.00096572-0.0082394i,-0.011806+0.018744i,0.036228-0.090496i,0.012217-0.069929i,-0.015962-0.059554i,-0.016512-0.055541i,0.040078-0.04579i,0.017486-0.062158i,0.034605-0.055375i,0.029807-0.059853i,0.015645-0.014075i,0.0045444+0.016531i,0.016785-0.026552i,-0.011508+0.0055543i,-0.00022469+0.0056124i,-0.0047997-0.001836i,-0.0023698-0.029337i,-0.023781+0.031941i,0.01021-0.01151i,-0.013109-0.0022765i,-1.9247e-05-0.0049674i,-0.0010845-0.016211i,-0.0075289+0.0047261i,0.0050194+0.0068058i,-0.0089261+0.03113i,0.0048791+0.0063251i,-0.0050482-0.00083136i,-0.0032499-0.00064479i,-0.011842-0.007664i,-0.00050346-0.0046176i,-0.030014+0.006508i,-8.1807e-05-0.010044i,-0.0095935-0.0023057i,-0.0067347-0.0026831i,0.0073055+0.0026825i,-0.0078587+0.0011055i,-2.9374e-05+0.00038476i,0.0058899+0.010566i,0.004176+0.0015794i,-0.0093505-0.0097555i,0.0030541+0.0085337i,-0.02167+0.0060596i,0.0083923+0.0007256i,-0.028838-0.0037467i,-0.041619+0.0017823i,0.019429-0.09637i,-0.0015455-0.012796i,-0.053011-0.021779i,-0.023388-0.00068365i,0.01765+0.010833i,-0.024631+0.0134i,-0.017871-0.012514i
0.0083541+0.020422i,0.014876+0.051006i,0.024358+0.034653i,0.017277+0.027066i,0.024401+0.026464i,0.031993-0.014446i,0.017433-0.0088848i,0.029049+0.0058063i,0.011764+0.013324i,0.002498+0.0044292i,0.0047912+0.0026999i,0.0044271+0.0032628i,0.0058832+0.0027394i,0.0049539+0.0034203i,0.0029892-0.0032923i,0.008144-0.0012068i,0.0082231-0.0047949i,-0.0012621-0.0013359i,-0.0032626+0.00095197i,-3.8726e-05+0.0012306i,-0.0010594-0.0002057i,-0.0027763+0.0012922i,-0.0019696+0.00090266i,0.0048182+0.007794i,0.0014047+0.001115i,0.0024482+0.00055855i,0.0018662+0.0011826i,0.0011448+0.001418i,0.0006507+0.0001722i,-0.00013732+0.00080147i,-0.0019153-0.0021824i,-0.00076388-0.00045083i,-0.0011782+0.00089426i,-0.0011413+0.00022597i,-0.00082709-0.0018186i,-0.0068478+0.0075987i,0.0013024+0.00033044i,0.0012092-0.00061228i,-0.00070463+0.0025676i,-0.00025576-0.0033213i,-0.0012496+0.00037514i,-0.0019994-0.00042507i,0.0020962+0.0012306i,0.0063762+0.0037952i,-0.013654+0.034539i,-0.082087+0.033717i,-0.051452+0.037528i,-0.036971+0.059163i,-0.018666+0.072657i,-0.0088296+0.051146i,0.0097991+0.036945i,0.0028522-0.0019699i,-0.035839+0.010749i,-0.043948+0.019294i,0.0023981+0.024346i,-0.0078639+0.0025439i,-0.010433-0.00058919i,-0.013723-0.0023384i,0.0024658+0.00053721i,0.00706+0.010211i,-0.0017907+0.0081917i,-0.0068014-0.011523i,0.0054467-0.0069532i,-0.0064909-0.0069107i,0.0018341-0.0062779i,0.003628-0.0041943i,-0.0017191+0.0099289i,0.0095079-0.0048204i,0.0051129-0.0057761i,0.0030948-0.0056841i,0.0030693-0.00052879i,-0.0013337-0.0046078i,-0.0038691-0.00084942i,0.0026217-0.00027079i,-0.0088171+0.02583i,-0.0042398-0.003346i,0.0021155+0.00025449i,0.00034436-0.0069194i,0.0024721-0.0016862i,-0.015463-0.0034908i,0.0005209+0.00013437i,0.0051288-0.0029476i,0.0028291-0.00087151i,0.00055656-0.0047116i,-0.00042207+0.0055652i,-0.0010143+0.0061674i,-0.0031147+0.0046507i,-0.011866+0.0020198i,-0.014857-0.0011969i,-0.03973+0.05464i,0.00058616+0.0055228i,-0.024987-0.016807i,-0.0068291-0.0067328i,0.010052+0.019708i,-0.0023268+0.022939i,-0.00094923-0.00059067i
0.010887+0.01681i,0.022969+0.046258i,0.029878+0.03032i,0.022049+0.024664i,0.030149+0.022412i,0.02874-0.020096i,0.014785-0.012213i,0.029697+0.00033492i,0.013749+0.010666i,0.0038253+0.0033205i,0.0054608+0.0014416i,0.004284+0.0029711i,0.0060073+0.0016704i,0.0055126+0.0021693i,0.0018855-0.003779i,0.0068584-0.0027151i,0.0059785-0.0062929i,-0.0010491-0.0011399i,-0.0027399+0.0011733i,0.00053078+0.00057331i,-0.001306-0.00024863i,-0.0023244+0.0018541i,-0.0016196+0.0010472i,0.0083081+0.0051356i,0.001326+0.0012093i,0.0027663-0.00052792i,0.0020029+0.0001455i,0.0016111+0.00080204i,0.00030546+4.8594e-05i,-0.00011993+0.00080671i,-0.0026137-0.0010108i,-0.0011695-0.00055368i,-0.0008839+0.0011296i,-0.00089805+0.00058567i,-0.0014822-0.00056596i,-0.0039442+0.0088798i,0.0010751-0.00015902i,0.00088532-0.00092264i,0.00040094+0.0021295i,-0.0012253-0.0028664i,-0.0011081+0.00048231i,-0.0023121+0.00026405i,0.0020017+0.0011224i,0.0068169+0.0027054i,-0.0069419+0.036026i,-0.070548+0.048324i,-0.047247+0.046499i,-0.027133+0.062962i,-0.0026064+0.070133i,0.0020285+0.049162i,0.010785+0.031001i,-0.0028012-0.0063244i,-0.036274+0.012207i,-0.035542+0.020353i,0.0081774+0.021849i,-0.0081077+0.0047815i,-0.0097741+0.004919i,-0.013265+0.0018802i,0.0012926-0.00081292i,0.0088873+0.0089353i,0.0022219+0.01126i,-0.012472-0.0096467i,0.00066889-0.0075872i,-0.0060484-0.0029086i,-0.0014506-0.005846i,0.0013771-0.0054776i,0.0025859+0.0075488i,0.0059645-0.0070381i,0.0010364-0.0064308i,0.00017814-0.0036425i,0.0037742-0.0015325i,-0.0026664-0.0038669i,-0.0018485+0.0015487i,0.0029924-0.00077073i,0.0044008+0.025708i,-0.0049298-0.0025855i,0.0026635-0.0017744i,-0.002805-0.0062908i,0.0025909-0.0024991i,-0.014433+0.0036021i,0.00087699+0.00061382i,0.0035277-0.0027046i,0.0029808-0.0022199i,-0.00075966-0.0048555i,0.0013472+0.0023396i,0.0016857+0.0052106i,-0.00030946+0.0060385i,-0.010432+0.0056339i,-0.016084+0.0018997i,-0.029084+0.056091i,0.0012074+0.0059191i,-0.028801-0.011408i,-0.0093129-0.0096979i,0.012839+0.018184i,0.0021443+0.024581i,-0.0032254-0.0016644i
0.012052+0.013828i,0.029218+0.039679i,0.035496+0.023661i,0.027634+0.019943i,0.035742+0.016785i,0.02417-0.025385i,0.011385-0.015225i,0.029474-0.0056752i,0.015474+0.0079507i,0.004013+0.00199i,0.0052602-0.0002746i,0.004989+0.0027575i,0.0060285+6.1643e-05i,0.0058163+0.00045242i,0.00070519-0.0039297i,0.005344-0.0038125i,0.0037795-0.0071676i,-0.0013811-0.0011846i,-0.0025437+0.0018367i,0.00043524-0.00044118i,-0.0018393-0.00018292i,-0.0016642+0.0023835i,-0.0014862+0.0011826i,0.0090833+0.0007351i,0.0020294+0.00064514i,0.0020306-0.0016077i,0.0015827-0.00067807i,0.0019386-6.2146e-05i,0.00023656+0.00017013i,-0.00012511+0.0010021i,-0.0027786+0.00028453i,-0.0018499+0.00031348i,-0.00028865+0.0014573i,-0.00057034+0.00087719i,-0.0011373+0.00054545i,-0.0010943+0.0093037i,0.00078632-0.00033596i,0.00042596-0.0012288i,0.00092146+0.0014982i,-0.002171-0.0022851i,-0.00099799+0.00064643i,-0.0019067+0.0010543i,0.0021931+0.0013337i,0.0076014+0.0013274i,0.00092241+0.035988i,-0.057716+0.059119i,-0.03886+0.054612i,-0.016068+0.063875i,0.012063+0.063261i,0.011748+0.047102i,0.010336+0.027478i,-0.0082311-0.0068504i,-0.036802+0.016562i,-0.029308+0.018828i,0.012519+0.017251i,-0.0074929+0.0068547i,-0.0075896+0.0079538i,-0.012238+0.0048787i,-0.00058946-0.0024821i,0.010868+0.0065614i,0.0072392+0.010782i,-0.016649-0.0053162i,-0.0014065-0.0051839i,-0.0052762-0.00035093i,-0.0032737-0.003978i,-0.0011898-0.0047158i,0.0048142+0.0065116i,0.0034808-0.0072288i,-0.0027034-0.004755i,0.00032179-0.001405i,0.0034765-0.003977i,-0.0043109-0.0026341i,-9.2653e-05+0.0011021i,0.0022834-0.0015751i,0.015074+0.019533i,-0.0061178-0.0010087i,0.002321-0.0029143i,-0.0033405-0.0042056i,0.0028203-0.0037942i,-0.009842+0.0086722i,0.0022441+0.00041516i,0.002398-0.0034913i,0.0017843-0.0025981i,-0.0021352-0.0038105i,0.0003887+0.0019032i,0.003451+0.0036418i,0.0024748+0.005621i,-0.0084722+0.0077932i,-0.016088+0.0065962i,-0.020813+0.0556i,0.0048734+0.0055439i,-0.030389-0.0059498i,-0.012847-0.011292i,0.01694+0.014545i,0.0082461+0.025715i,-0.0052877-0.00082444i
0.012672+0.011524i,0.03268+0.033358i,0.038037+0.015689i,0.031318+0.012756i,0.039583+0.0087261i,0.018177-0.029166i,0.0071683-0.016951i,0.027341-0.011415i,0.016778+0.0046839i,0.0037691+0.0012282i,0.0044168-0.00094288i,0.0058163+0.0018427i,0.0051993-0.0010035i,0.0053201-0.0010976i,-0.00054412-0.0037777i,0.0037721-0.0042789i,0.001469-0.0070793i,-0.0015422-0.00075073i,-0.0014056+0.0023475i,-0.00038602-0.00082065i,-0.0021127+0.00063373i,-0.0010251+0.0029189i,-0.0013324+0.0015141i,0.0075881-0.0027354i,0.0019997-0.00028838i,0.0010223-0.001763i,0.0010078-0.00092865i,0.0013838-0.001031i,0.00030837+1.2824e-05i,0.0001768+0.0012516i,-0.0023383+0.0016593i,-0.0013781+0.0013151i,0.00038467+0.001256i,-0.00027807+0.0010089i,-0.00056987+0.0011425i,0.001793+0.0089136i,0.00062783-0.00056118i,-0.0001259-0.0013576i,0.0010549+0.0011955i,-0.0027788-0.0014101i,-0.0008107+0.00088059i,-0.0013857+0.0014132i,0.0028322+0.0012542i,0.0079957-0.00030445i,0.0082944+0.032869i,-0.04259+0.067041i,-0.029707+0.060405i,-0.0072094+0.063281i,0.024189+0.052243i,0.021441+0.041227i,0.0091257+0.026062i,-0.014473-0.0048117i,-0.036017+0.022957i,-0.025605+0.016657i,0.01544+0.011355i,-0.0059247+0.0096076i,-0.0044427+0.01141i,-0.010709+0.0076668i,-0.0042748-0.001709i,0.012607+0.0028826i,0.011654+0.0078847i,-0.019135+0.00058267i,-0.002213-0.0037398i,-0.0034631+0.0011095i,-0.0039884-0.0015058i,-0.0025303-0.003362i,0.0069948+0.0034527i,0.0012425-0.0071333i,-0.0044196-0.00056492i,0.0015534-0.00064354i,0.0014001-0.0057673i,-0.0047548-0.00037101i,0.0010168+0.0011125i,0.0020896-0.0020293i,0.020781+0.0095579i,-0.0062636+0.002018i,0.0018538-0.004294i,-0.0034943-0.0024492i,0.0013935-0.0059345i,-0.0043458+0.0099056i,0.0031495-0.0010092i,0.0011097-0.0028381i,0.0010526-0.0023977i,-0.002299-0.0021951i,0.00033007+0.0020685i,0.0035608+0.0013497i,0.0047373+0.0043261i,-0.0061736+0.0091758i,-0.014151+0.011154i,-0.013804+0.056301i,0.011078+0.0012859i,-0.029536-0.00038463i,-0.018632-0.011151i,0.017761+0.0096723i,0.015379+0.023878i,-0.0050703-7.9867e-05i
0.013798+0.0097141i,0.035892+0.028242i,0.039051+0.0087568i,0.032591+0.0053483i,0.040877+0.00015248i,0.012268-0.031437i,0.003113-0.016931i,0.024226-0.016097i,0.017446+0.0012393i,0.0036465+0.00067121i,0.003886-0.0012579i,0.0063674+0.00049757i,0.0046187-0.0013107i,0.0044454-0.0022604i,-0.0016097-0.0029495i,0.0024354-0.004031i,-0.00034691-0.0062645i,-0.0019067-0.00031505i,-0.00076628+0.0020931i,-0.0011431-0.00056343i,-0.0019061+0.0013262i,0.00018756+0.003146i,-0.00096874+0.0019705i,0.0051517-0.0048508i,0.0014844-0.00081528i,0.00044022-0.0017289i,0.00061258-0.0010665i,0.00058091-0.0012238i,0.0001101-4.259e-05i,0.00079079+0.0012294i,-0.0011488+0.0024621i,-0.00057504+0.0017494i,0.00077403+0.00086545i,0.00017544+0.0012486i,0.00022517+0.001357i,0.0042232+0.0076204i,0.00025223-0.00058063i,-0.00073022-0.0011858i,0.0014308+0.0007575i,-0.0029466-0.00040329i,-0.00048492+0.00086096i,-0.00091416+0.0016452i,0.0033492+0.00068586i,0.007453-0.0023853i,0.013217+0.02831i,-0.026264+0.070058i,-0.018014+0.064977i,0.0021157+0.062863i,0.030176+0.039083i,0.027619+0.033604i,0.0096141+0.027518i,-0.018279+0.0017779i,-0.032992+0.031544i,-0.025045+0.014869i,0.014466+0.0055296i,-0.0026656+0.011632i,0.00090987+0.011825i,-0.0085459+0.01016i,-0.0055383+0.0015788i,0.012368-0.0024636i,0.014388+0.0030869i,-0.019107+0.0067959i,-0.0023708-0.0018171i,-0.0024301+0.0015272i,-0.002657+0.00019768i,-0.0039044-0.0012385i,0.0067949+0.00052462i,-0.00074483-0.0063184i,-0.0029922+0.002855i,0.0030461-0.0014607i,-0.0012403-0.0060487i,-0.0035464+0.0012545i,0.0021543-1.1258e-05i,0.0017736-0.0023063i,0.021008-0.00025663i,-0.0039851+0.0043553i,0.00016913-0.0053847i,-0.0027851-0.0017071i,-0.00086482-0.0064541i,-0.00045857+0.0088776i,0.0027972-0.0026775i,0.0010879-0.0015924i,0.0011489-0.0021482i,-0.0013537-0.0016855i,0.00095427+0.0022111i,0.0024733+2.7647e-05i,0.0055205+0.0018474i,-0.003862+0.0092041i,-0.010402+0.015382i,-0.0055094+0.056341i,0.012609-0.0093788i,-0.026128+0.0019272i,-0.024155-0.0081646i,0.018108+0.0053006i,0.02109+0.017387i,-0.0058317-0.00058796i
0.015049+0.0073216i,0.039231+0.022638i,0.039936+0.001711i,0.032419-0.0020655i,0.040612-0.008224i,0.0060935-0.032812i,0.00017694-0.016161i,0.020718-0.02001i,0.017722-0.0026i,0.0032138+0.00019237i,0.0038717-0.001526i,0.0064916-0.00093732i,0.0048559-0.0017688i,0.0034015-0.0030252i,-0.0021481-0.002083i,0.0016865-0.0034667i,-0.0013305-0.005672i,-0.0016712+0.00021974i,-0.00028903+0.0020111i,-0.0014723-9.9195e-06i,-0.0013189+0.0018124i,0.0014849+0.0026506i,-0.00030198+0.0022544i,0.0022431-0.0056046i,0.0011737-0.00096823i,-0.00017318-0.0017023i,0.00019301-0.001162i,2.3247e-05-0.0011417i,-1.1432e-05+7.591e-05i,0.0012504+0.00073829i,7.4065e-05+0.0025716i,0.00019525+0.0017815i,0.00088633+0.00051578i,0.0007701+0.00099947i,0.00084571+0.00068261i,0.0056554+0.0057235i,3.3019e-05-0.00046126i,-0.0011001-0.00070869i,0.001311+0.00021091i,-0.0026831+0.00036891i,-0.00032422+0.00081069i,-0.00037828+0.0016189i,0.0036626+3.963e-05i,0.0063378-0.0039201i,0.016736+0.023249i,-0.011407+0.068602i,-0.0045246+0.065318i,0.011921+0.060858i,0.032157+0.0271i,0.03141+0.025882i,0.012817+0.029484i,-0.017302+0.010178i,-0.025176+0.040962i,-0.02599+0.015864i,0.012182+0.0024213i,0.0013348+0.011614i,0.0047327+0.0099532i,-0.0056613+0.012314i,-0.0047626+0.0039916i,0.0092341-0.0078187i,0.014175-0.0030936i,-0.016832+0.011775i,-0.0015001-0.00080515i,-0.0013657+0.0013634i,-0.0016174+0.00043212i,-0.0031657+0.0015581i,0.0053943-0.0011187i,-0.001972-0.004803i,0.00016904+0.0042643i,0.0030868-0.003409i,-0.0034306-0.0047283i,-0.0024976+0.001882i,0.0022708-0.0012823i,0.0017598-0.0026376i,0.017367-0.0083051i,-0.0013709+0.0049303i,-0.0019658-0.0051821i,-0.0026863-0.0014857i,-0.0031176-0.0059404i,0.002123+0.0072682i,0.0023373-0.0036451i,0.0023775-0.0016859i,0.0011067-0.0031131i,-0.00073284-0.0022494i,0.0015011+0.0024034i,0.0011511+0.0004516i,0.0050466+0.00011143i,-0.002552+0.0087135i,-0.0047679+0.017394i,0.0028493+0.054765i,0.0068234-0.018412i,-0.024369+0.00074453i,-0.028773-0.0021377i,0.016523-0.00060046i,0.02237+0.010347i,-0.0069741+0.0003216i
0.01619+0.004747i,0.041482+0.016242i,0.038828-0.0065926i,0.029917-0.0098466i,0.038755-0.017037i,-0.00042756-0.032612i,-0.0019991-0.015316i,0.016547-0.023502i,0.016823-0.0065221i,0.0028471+0.00043461i,0.0034571-0.0020914i,0.0062727-0.0028455i,0.0046259-0.0029585i,0.0021716-0.0034688i,-0.0024159-0.0011102i,0.0013876-0.0031397i,-0.0027257-0.004978i,-0.0017783+0.00061779i,0.00044221+0.0017609i,-0.0018005+0.00062689i,-0.00087272+0.0019701i,0.0022656+0.0015846i,0.00033029+0.0022543i,-0.00067427-0.0052173i,0.00072176-0.0016696i,-0.00079171-0.0012154i,-0.0003245-0.0011232i,-0.00036546-0.00083136i,0.00020374+0.00016922i,0.0011769+0.00012088i,0.0012971+0.0021242i,0.00081072+0.0016128i,0.00085409+0.00021384i,0.0010973+0.0006453i,0.00069983-7.4998e-05i,0.0063578+0.0038945i,-0.00014733-0.00031296i,-0.001296-0.00026328i,0.0013423-2.0062e-05i,-0.0021843+0.00088341i,-0.00019624+0.00084528i,0.00011768+0.0014644i,0.0038353-0.001028i,0.0045509-0.0049501i,0.018786+0.018385i,0.0014344+0.064912i,0.0073328+0.061343i,0.021517+0.057015i,0.030609+0.016873i,0.033221+0.019051i,0.018417+0.029619i,-0.010546+0.016139i,-0.012291+0.046552i,-0.026199+0.019445i,0.010271+0.00077965i,0.0045121+0.0099704i,0.006988+0.0068087i,-0.0019456+0.013146i,-0.0039595+0.0054405i,0.00245-0.010108i,0.010799-0.0078662i,-0.013244+0.015949i,-0.00055256-0.0014673i,-0.00093206+0.00067454i,-0.0012592+0.00031601i,-0.00080673+0.002909i,0.0043042-0.0010901i,-0.0023758-0.00397i,0.0029106+0.0035298i,0.0016597-0.0053223i,-0.0046007-0.0028447i,-0.0012164+0.0023351i,0.001587-0.0025904i,0.0012702-0.0036946i,0.011464-0.012899i,0.00073515+0.0044918i,-0.0032476-0.004166i,-0.0024026-0.0013897i,-0.0047499-0.0047753i,0.0037663+0.0054967i,0.0014603-0.0051044i,0.0028079-0.0030652i,-6.4101e-05-0.0036649i,-0.0016059-0.0028001i,0.0028945+0.0025716i,0.00096411+0.001789i,0.0044547-0.0010485i,-0.0016305+0.0087925i,0.000455+0.016476i,0.010809+0.052866i,-0.0019592-0.023311i,-0.026584-0.00057541i,-0.030068+0.0058446i,0.010924-0.0042764i,0.022506+0.0047698i,-0.0064769+0.001046i
0.017099+0.0014224i,0.043326+0.010314i,0.035233-0.013461i,0.024622-0.015712i,0.034075-0.025219i,-0.0060599-0.030782i,-0.0036232-0.01439i,0.011619-0.025811i,0.015262-0.010004i,0.0034233+0.00072434i,0.0031138-0.0022845i,0.0049038-0.0045653i,0.0039303-0.0039527i,0.001153-0.0033649i,-0.0021903-0.00019966i,0.0011551-0.0027799i,-0.0043688-0.0034544i,-0.0015618+0.0012889i,0.00083592+0.0010002i,-0.0015823+0.0017922i,-0.0002843+0.0022928i,0.0022829+0.00037805i,0.00094832+0.0021315i,-0.0027197-0.0033495i,-0.00050891-0.0015734i,-0.0009308-0.0006691i,-0.00070196-0.0008375i,-0.00059431-0.00048572i,0.00028439-7.8539e-05i,0.0010329-0.00027699i,0.0021108+0.0012015i,0.0013254+0.0011323i,0.0008209-1.2628e-06i,0.0012237+0.0002294i,0.00015114-1.6748e-05i,0.0064886+0.0020255i,-0.00019376-0.00011917i,-0.0013425+0.00028132i,0.0011545-0.00034424i,-0.00153+0.0012605i,-2.2904e-05+0.00099681i,0.00030857+0.0010884i,0.0032817-0.0022257i,0.002693-0.0050648i,0.0197+0.013715i,0.012511+0.058735i,0.015898+0.055894i,0.030474+0.051617i,0.027468+0.0098875i,0.033669+0.012691i,0.024261+0.027312i,-0.0031578+0.016997i,0.0017872+0.046351i,-0.02385+0.024363i,0.0092889-0.00011182i,0.0069696+0.0075364i,0.0073982+0.0039175i,0.0019717+0.01253i,-0.0025846+0.0073394i,-0.0035252-0.0080964i,0.0064692-0.0096833i,-0.0080364+0.018695i,-0.0010472-0.0024051i,-0.0014882+0.00054825i,-0.0011188+0.00046796i,0.0016905+0.0026505i,0.0037849-0.0013932i,-0.003195-0.003224i,0.0044386+0.0016774i,-0.0012314-0.0061358i,-0.0045283-0.00089582i,0.00015729+0.0017785i,0.00094486-0.003352i,9.1025e-05-0.0048083i,0.0052265-0.014343i,0.002313+0.0034868i,-0.0041993-0.0033005i,-0.0031298-0.0014717i,-0.0060241-0.0029523i,0.0040012+0.0038996i,-0.00058209-0.0062437i,0.0026402-0.0046597i,-0.0010539-0.0032012i,-0.0022168-0.0027229i,0.0036228+0.0018086i,0.0019139+0.0024493i,0.0032962-0.0018409i,-0.00058954+0.0093696i,0.004335+0.014052i,0.01985+0.050017i,-0.012129-0.024985i,-0.030216+0.0011046i,-0.027172+0.013566i,0.006085-0.0036476i,0.020496-0.0016224i,-0.0058054-0.00028668i
0.017059-0.0025688i,0.044875+0.0031864i,0.031241-0.018563i,0.019263-0.01866i,0.028033-0.03155i,-0.010484-0.028436i,-0.0047358-0.013932i,0.0068962-0.027176i,0.013005-0.013299i,0.0042692+0.00011253i,0.0031489-0.0027598i,0.003157-0.0052956i,0.0028977-0.0050875i,0.00041838-0.0031696i,-0.0017205+0.00041735i,0.0011963-0.0023567i,-0.0047805-0.0011775i,-0.00097734+0.0013758i,0.00061107+0.00039864i,-0.00067699+0.002317i,0.00042735+0.0022741i,0.0019625-0.00043107i,0.0015754+0.0017076i,-0.0036089-0.00080344i,-0.0011022-0.00076819i,-0.00092478-0.00031198i,-0.00086686-0.0005527i,-0.00060886-0.0001278i,2.9108e-05-3.3353e-05i,0.00071297-0.00061821i,0.0025411+4.1577e-05i,0.0014083+0.00066082i,0.00082948-0.00023579i,0.0013027-0.00016035i,9.0721e-05+0.00036748i,0.0059573+0.00043636i,-0.0002221+0.00011237i,-0.00116+0.00080524i,0.00092953-0.00071817i,-0.00071342+0.0014252i,0.00037036+0.00092351i,0.00039944+0.00073866i,0.0022545-0.0029946i,0.0011637-0.0045261i,0.019734+0.0094501i,0.020038+0.050588i,0.022663+0.05079i,0.038008+0.043906i,0.024096+0.00464i,0.033226+0.0083899i,0.029382+0.023641i,0.0030282+0.015976i,0.013813+0.041748i,-0.019452+0.028879i,0.008778-0.0013979i,0.0084812+0.0040817i,0.0076796+0.0016405i,0.0054763+0.010438i,0.00021353+0.0079892i,-0.0067275-0.0042471i,0.0022051-0.010001i,-0.0020784+0.018657i,-0.0026583-0.0024518i,-0.0024214+0.0017696i,-0.00093279+0.00069516i,0.0031402+0.0012506i,0.0031621-0.00093814i,-0.0035806-0.0019724i,0.0045723-0.00049827i,-0.0038427-0.0049066i,-0.0034901+0.00046586i,0.00051777+0.00060268i,5.3603e-05-0.004351i,-0.0018312-0.0048799i,0.00013122-0.013497i,0.0036136+0.0017365i,-0.0054115-0.0019515i,-0.003815-0.00023039i,-0.0060672-0.00027073i,0.0043802+0.0031453i,-0.0034201-0.0061942i,0.001618-0.0065272i,-0.0016678-0.0028994i,-0.0027551-0.0030003i,0.0044822+0.0012434i,0.0032469+0.0024024i,0.0021787-0.0012766i,0.000862+0.0093762i,0.0064257+0.010908i,0.028924+0.044297i,-0.023058-0.021936i,-0.033293+0.0047536i,-0.021634+0.017912i,0.0040842-0.0022453i,0.0158-0.005737i,-0.0080414-0.0011815i
0.015678-0.0063573i,0.044874-0.0046781i,0.02714-0.022925i,0.014778-0.020254i,0.021131-0.036412i,-0.0147-0.025894i,-0.006086-0.014371i,0.0021668-0.027945i,0.0098956-0.016039i,0.004739-0.00089409i,0.0029412-0.0037302i,0.0015095-0.0053608i,0.0011607-0.0058135i,-0.00021271-0.0030091i,-0.0013617+0.00059039i,0.0015006-0.0023691i,-0.0041635+0.00059922i,-0.00067305+0.0012809i,0.00044601+0.00023748i,0.00015101+0.0023544i,0.0010253+0.0020715i,0.0014996-0.00087685i,0.001907+0.0010174i,-0.0028297+0.0015649i,-0.00099021-5.6227e-05i,-0.00085419+0.00013768i,-0.00103-0.00023474i,-0.00055306+2.5586e-05i,7.6673e-05+8.3899e-05i,0.00020334-0.00065796i,0.002382-0.0012572i,0.0014794+0.00032172i,0.00067231-0.00049655i,0.0011325-0.00079271i,0.00036856+0.00059611i,0.0053648-0.00068926i,-4.4493e-05+0.00020861i,-0.00072732+0.0012601i,0.00037342-0.0007705i,0.00014631+0.0011521i,0.000671+0.00078279i,0.00033888+0.00053624i,0.0011089-0.0031213i,0.00029504-0.0034887i,0.019213+0.0060826i,0.024226+0.044135i,0.029112+0.045614i,0.042762+0.036203i,0.020096+0.0004065i,0.03435+0.0048952i,0.033726+0.018612i,0.0093395+0.012914i,0.02381+0.033425i,-0.012371+0.032134i,0.0079994-0.0029774i,0.0078648-0.00048453i,0.0076827-0.0011005i,0.0073843+0.0070665i,0.0020466+0.0072437i,-0.0078542+0.00059017i,-0.0016484-0.008651i,0.001924+0.015794i,-0.0039458-0.001082i,-0.002068+0.0038633i,-0.00084162+0.0009355i,0.0039512-0.00079475i,0.0041063+0.00034638i,-0.0031265-0.00094985i,0.0041891-0.0012598i,-0.0050376-0.0029405i,-0.0024456+0.00082568i,9.0734e-05+0.00016938i,-0.0020806-0.0049228i,-0.0034017-0.0038326i,-0.0039883-0.012028i,0.0037545-0.00037343i,-0.0056927+2.5028e-05i,-0.003002+0.0010471i,-0.0052624+0.0015761i,0.0054304+0.0024389i,-0.0057664-0.0042351i,-0.0011409-0.007887i,-0.0025337-0.0022893i,-0.0043878-0.0026383i,0.0054545-0.00045579i,0.0044923+0.0021896i,0.0025873-0.00090513i,0.0027956+0.0094159i,0.006904+0.0076503i,0.035992+0.036316i,-0.03021-0.013332i,-0.035962+0.010737i,-0.016182+0.020422i,0.002409-0.00033247i,0.011609-0.006379i,-0.0096456-0.00033582i
