-0.029608-0.040528i,-0.021545-0.019465i,-0.012798-0.035845i,-0.029804-0.020492i,-0.02221-0.00035614i,-0.013652-0.0059451i,-0.055701-0.059246i,-0.047318-0.018019i,-0.037887-0.014094i,0.010255+0.012064i,-0.0078185+0.0053628i,-0.019948+0.019207i,0.0024322+0.01168i,-0.0063585-0.0034644i,0.00021435+0.0012386i,-0.0020681+0.030574i,0.027368+0.028647i,0.0023081-0.0019185i,-0.0020292-0.006794i,0.0080041+0.0025719i,0.00308+0.001137i,0.00026285+0.0038153i,-0.00035088+0.00020336i,-0.037136-0.011105i,9.3669e-05-0.0077292i,0.0014911+0.0021799i,0.005844+0.0018319i,0.002182+0.00040271i,0.0010719-0.00055663i,-0.00052874-0.0025181i,0.0015275-0.0027711i,-0.0026942-0.0057843i,-0.00036643-0.0046039i,0.0029927-0.00075591i,0.0046968-0.0026732i,0.0022958+0.030601i,0.0040496-0.0035347i,0.0030116-0.0015921i,0.0083548-0.001289i,-0.0051075-0.0025395i,-0.00029101+0.0010737i,0.0095521+4.0971e-05i,0.0042349-0.0023939i,-0.001282+0.0091546i,-0.017319-0.0064473i,-0.018744+0.015298i,-0.0025959-0.061005i,-0.004929-0.027285i,-0.026458-0.032396i,-0.011079-0.026597i,0.055337-0.020321i,0.016668-0.043064i,0.022893-0.048907i,0.0059766-0.055327i,0.026209-0.020964i,0.0084098+0.0060471i,0.025576-0.034099i,-0.0080376-0.006478i,0.0035222-0.0050853i,-0.0046764-0.007342i,-0.001844-0.033236i,-0.018567+0.028695i,0.0086482-0.011971i,-0.0091712-0.0038524i,-0.0042037-0.0013809i,0.0013666-0.012663i,-0.011062+0.0043546i,0.0027672+0.010379i,-0.0054305+0.026605i,0.0050545+0.0023918i,-0.0051225-0.0019849i,-0.0018993-0.0019666i,-0.01229-0.0070395i,-0.00053809-0.0042075i,-0.035977+0.0010501i,0.0015019-0.010871i,-0.0081744-5.3957e-05i,-0.0065403-0.0023059i,0.0053321+0.00093539i,-0.008556-0.00049236i,0.0020296-0.00036835i,0.0036633+0.0072993i,0.0043532+0.0004981i,-0.0087068-0.013241i,0.0026221+0.0093911i,-0.015444+0.0046649i,0.0066314+4.7769e-05i,-0.022014-8.5487e-05i,-0.017353+0.0050386i,-0.0078265-0.064618i,0.0081899-0.013197i,-0.049312-0.022766i,-0.020868+0.00061911i,0.017015+0.011648i,-0.023325+0.014538i,-0.018766-0.0055897i
0.031388+0.033651i,0.013731+0.016432i,0.017019+0.02506i,0.0064302+0.019381i,0.0082611+0.0072493i,0.0045608-0.00085581i,0.015008+0.011719i,0.016182-0.0022403i,0.00772-0.0075947i,-8.4361e-05+0.0038031i,0.0023017-0.0025869i,0.00066676-0.0052338i,-0.0017646+0.00064347i,0.0014277-0.0015787i,0.0019422-0.00068096i,0.00509-0.0029709i,0.0053892-0.0066662i,0.00014818+0.00077855i,-0.0036638+0.00055634i,7.2548e-05+0.00069929i,-0.00097778-0.0011437i,-0.0025091-0.00088202i,-0.0016268+0.00074415i,0.0066314+0.0096711i,-0.00091906+0.0023006i,0.00090274+0.0016317i,0.0012897+0.0011378i,-0.0018403+0.0027003i,-0.0010277+0.00018304i,-0.0010485+0.00067733i,-0.00086629-0.00081644i,-0.0015358-0.00066476i,-8.4849e-05+0.00040934i,0.00054517+0.00065631i,0.00018862-0.00066597i,-0.0096302+0.010298i,0.0016354+0.00014068i,0.0007751+0.00070902i,0.00068821+0.0025937i,0.0011821-0.0014279i,-0.00015847-0.0002418i,-0.0014772-0.00032004i,-0.00034754+0.0010163i,0.0011981+0.0014535i,0.018466+0.015331i,-0.024042+0.012861i,-0.011893+0.016436i,-0.023066+0.011293i,-0.0039977+0.038245i,-0.020618+0.017597i,0.0017094-0.0052273i,-0.012023-0.018614i,-0.019438-0.0006957i,-0.0072398+0.015694i,0.017572+0.021546i,-0.00028854+0.0023389i,-0.0036844+0.0008581i,-0.012458-0.0047427i,0.011316+0.0012403i,0.010889+0.0098687i,-0.0013238+0.0059963i,-0.0055992-0.0076829i,0.0063897-0.0026033i,-0.0031798-0.0043327i,0.0036503-0.0085977i,0.0090208-0.0025913i,-0.001571+0.010586i,0.013036-0.0056627i,0.0037532-0.0077634i,0.0035263-0.0081624i,0.0024232+0.000589i,-0.0022946-0.0057385i,-0.0037858-0.0014945i,0.0027814-0.00027259i,-0.0093109+0.036748i,-0.0070113-0.0057863i,0.00025786+0.0011735i,-0.0010177-0.0070279i,0.0031307-0.00043858i,-0.017928-0.0060768i,-0.0017955-0.0034261i,0.0030273-0.0022662i,0.0035448-0.0017055i,-0.0028772-0.0071479i,-0.00019201+0.0076255i,0.00017062+0.0035126i,-0.0033888+0.0046156i,-0.007346+0.0012757i,-0.0063813-0.00016629i,-0.0095268+0.02526i,-0.0022855+0.01483i,-0.026999-0.010296i,-0.0018885-0.0028411i,0.014492+0.017195i,-0.00057413+0.018937i,-0.0007931-0.0045115i
0.036034+0.02652i,0.016822+0.012596i,0.02129+0.022143i,0.0097314+0.01896i,0.010292+0.0060315i,0.0046886-0.0022814i,0.014933+0.0081505i,0.015461-0.0050436i,0.0059283-0.0092699i,0.0010614+0.0034826i,0.0020492-0.0027258i,-0.0013278-0.0035646i,-0.0013092+0.0013553i,0.0010753-0.00050778i,0.0017432-0.0010137i,0.0037306-0.0031131i,0.0031613-0.0071169i,0.00081211+0.00071475i,-0.0033273+0.00095491i,0.00039704+0.00014272i,-0.0010376-0.0012183i,-0.002567-0.00045802i,-0.0013079+0.00091409i,0.011472+0.0059307i,-0.00046213+0.0032634i,0.0017113+0.0010442i,0.0011412+0.00021459i,-0.00066719+0.0030059i,-0.0014922+0.00065643i,-0.00079973+0.0011483i,-0.0012468-0.00025231i,-0.001959-0.00060814i,-0.00015834+0.00029232i,0.00065527+0.00044592i,-0.00068824+0.00015209i,-0.0056372+0.0123i,0.0012499-0.00051266i,0.00096423+0.00053205i,0.0013997+0.0019782i,0.00055793-0.0014859i,-0.00022675-0.00048607i,-0.0016488+0.00021531i,-0.00050474+0.0012998i,0.0010861+0.0015322i,0.021971+0.012218i,-0.019391+0.016251i,-0.010782+0.01915i,-0.018053+0.013173i,0.0077906+0.034197i,-0.013044+0.017844i,-0.0053063-0.0082768i,-0.020568-0.019296i,-0.02247-0.00030843i,-0.00035832+0.010791i,0.021131+0.014345i,-0.00089894+0.0021113i,-0.0024917+0.004672i,-0.012682-0.00042784i,0.0098062-0.0029754i,0.012901+0.007295i,0.0023418+0.0090543i,-0.0098217-0.0055895i,0.0025138-0.0044114i,-0.003492-0.002309i,-0.0015227-0.0078423i,0.0072655-0.0054113i,0.0033691+0.0086611i,0.0081554-0.008898i,-0.001205-0.0074702i,-0.00044579-0.0056555i,0.0036703-0.00022203i,-0.003719-0.0050243i,-0.0020247+0.00093786i,0.0032381-0.00080415i,0.0098363+0.034939i,-0.0087578-0.0036836i,0.0011406+0.00032005i,-0.0041634-0.0057681i,0.0038976-0.0019404i,-0.018319+0.0024282i,-0.0022955-0.0025411i,0.0017608-0.0022314i,0.0034219-0.0031481i,-0.0049537-0.0055571i,0.0021506+0.0040733i,0.0014856+0.0026487i,-0.00040371+0.0057825i,-0.0057692+0.0041973i,-0.0068597+0.00086112i,-0.0038226+0.022204i,0.00037434+0.016223i,-0.028918-0.0040626i,-0.0036196-0.0063452i,0.016727+0.014317i,0.0030099+0.020064i,-0.0033354-0.004737i
0.03879+0.018738i,0.018203+0.0075617i,0.025949+0.016826i,0.01435+0.016331i,0.012572+0.004059i,0.0043767-0.0039626i,0.014145+0.004829i,0.01428-0.0080701i,0.0039933-0.0099123i,0.001509+0.0029677i,0.0014525-0.0037036i,-0.001466-0.0015989i,-0.0007277+0.0013949i,0.0017763-0.0004857i,0.0014694-0.0012682i,0.0026258-0.0032589i,0.0012297-0.007374i,0.00096877+0.0001904i,-0.0030266+0.00187i,0.0001529-0.00061303i,-0.0017605-0.0016076i,-0.0023672+2.0015e-05i,-0.0010878+0.0010796i,0.012283-0.00035176i,0.00093986+0.003546i,0.0017452+6.438e-05i,0.00059732-0.00018602i,0.00053543+0.0026303i,-0.0011977+0.0015182i,-0.0003492+0.0015287i,-0.0013261+0.00048057i,-0.0029503+0.00077862i,-0.00011588+0.0002878i,0.00071519+0.000189i,-0.00050726+0.00095963i,-0.001437+0.012872i,0.00078702-0.00061227i,0.001089+1.371e-05i,0.0016409+0.0013704i,-0.00011739-0.0014949i,-0.00055854-0.00072488i,-0.0014961+0.0006778i,-0.00038101+0.0020014i,0.0014948+0.0016487i,0.025742+0.0078446i,-0.0145+0.018532i,-0.0077154+0.022408i,-0.012381+0.012544i,0.018149+0.026673i,-0.0064064+0.017977i,-0.012576-0.0070517i,-0.027675-0.015888i,-0.024306+0.0035973i,0.0029402+0.0038294i,0.021884+0.0066381i,-0.0014598+0.0021787i,-0.00088147+0.0048764i,-0.012629+0.002863i,0.006093-0.0072945i,0.014184+0.0033763i,0.0066725+0.00863i,-0.012693-0.0019962i,0.0004076-0.0031619i,-0.00356-0.00051209i,-0.0039406-0.0051235i,0.0047881-0.0067375i,0.0061971+0.0075505i,0.0049486-0.0090369i,-0.004798-0.0042771i,-0.00070352-0.0028392i,0.004144-0.0024988i,-0.0060462-0.0033804i,-6.3076e-05+0.00079577i,0.0027616-0.0020589i,0.023618+0.024349i,-0.010196+4.361e-06i,0.0015623-0.00041419i,-0.0040384-0.003717i,0.0041632-0.0039558i,-0.013713+0.0095893i,-0.0020241-0.0015632i,0.00082895-0.0023496i,0.0017222-0.0036737i,-0.0066046-0.0029165i,0.0017179+0.002854i,0.002166+0.0015576i,0.0022556+0.0052326i,-0.0037238+0.0048504i,-0.0071139+0.0024898i,-0.001166+0.018923i,0.0075359+0.015748i,-0.028528+0.00054656i,-0.0062784-0.0086749i,0.019189+0.0093433i,0.0079999+0.020424i,-0.005281-0.0037227i
0.039451+0.011548i,0.017369+0.0036603i,0.027746+0.0098793i,0.017391+0.01126i,0.014102+0.00087893i,0.0032031-0.0054379i,0.012807+0.0026564i,0.012089-0.010723i,0.0023661-0.010434i,0.001809+0.0028682i,3.8186e-05-0.0036838i,-0.00075395-0.00068105i,-0.00058445+0.0015237i,0.0017075-0.00056638i,0.0010577-0.0014412i,0.0015879-0.0028523i,-0.00070402-0.006622i,0.00094774-3.6908e-05i,-0.0017336+0.0026001i,-0.00053268-0.00085601i,-0.0024315-0.00066731i,-0.0023712+0.00055372i,-0.00083161+0.0012385i,0.0099192-0.0050725i,0.0020984+0.0031203i,0.0012687-0.00049051i,0.00016925-0.00011637i,0.0010685+0.001953i,-0.0004801+0.0016751i,0.00023699+0.0015709i,-0.00099317+0.0011859i,-0.0022131+0.0022976i,-4.6863e-05+0.00021704i,0.00051205-4.1148e-05i,0.00014369+0.0013004i,0.0024655+0.012142i,0.00058282-0.0006957i,0.00082564-0.00048616i,0.0016604+0.0011169i,-0.00076704-0.0011236i,-0.0010714-0.00055382i,-0.0014553+0.00096175i,0.0002363+0.002603i,0.001888+0.0013054i,0.028167+0.0014249i,-0.0091691+0.019916i,-0.0031248+0.024793i,-0.010132+0.00981i,0.025877+0.014851i,0.0001134+0.014195i,-0.018837-0.0020106i,-0.034314-0.0094017i,-0.024472+0.0087631i,0.0017004-0.002783i,0.020397-0.00049051i,-0.0017866+0.003083i,0.000324+0.006398i,-0.011875+0.0068865i,-0.00014145-0.007375i,0.014443-0.0015257i,0.010268+0.0062263i,-0.013605+0.002703i,-0.00059005-0.0023149i,-0.0026792+0.00086888i,-0.004879-0.0017559i,0.0027157-0.0073614i,0.0087165+0.0037714i,0.0023363-0.0092268i,-0.0052387+0.00033758i,0.00019917-0.0017583i,0.0027477-0.0045892i,-0.0065833-3.1449e-05i,0.00085729+0.00045184i,0.0019281-0.0028148i,0.029943+0.0096262i,-0.009059+0.0046613i,0.0016593-0.0014915i,-0.0041758-0.0021927i,0.0024488-0.0063817i,-0.0072735+0.01176i,-0.0017048-0.0010293i,1.4009e-05-0.0016747i,0.00045024-0.0035339i,-0.0059414+0.00027776i,0.0016155+0.0024573i,0.0019139+0.00042843i,0.004518+0.0040081i,-0.001763+0.0042635i,-0.0070674+0.0042417i,0.00022171+0.01761i,0.016014+0.0089155i,-0.026191+0.0052662i,-0.01125-0.0096176i,0.017959+0.0041425i,0.01339+0.018356i,-0.005394-0.0027272i
0.039686+0.0050743i,0.016952+0.0012677i,0.027815+0.0040822i,0.018604+0.0060958i,0.014428-0.0025309i,0.0018701-0.006305i,0.01197+0.0017369i,0.0095294-0.012617i,0.00087354-0.010842i,0.0024139+0.0026291i,-0.00091074-0.0029032i,-0.00014107-0.00068999i,-0.0004002+0.0019346i,0.0017798-0.00090346i,0.00066727-0.0013631i,0.0013176-0.0018316i,-0.0018768-0.0056104i,0.00077458-0.00021547i,-0.00064336+0.0023519i,-0.0011209-0.00063997i,-0.002514-1.5309e-05i,-0.0018844+0.001155i,-0.00049878+0.0014013i,0.0062388-0.007626i,0.0030142+0.0024278i,0.00091413-0.00072802i,-8.8576e-05-2.956e-05i,0.0013248+0.0014384i,-4.637e-05+0.0016753i,0.00093395+0.0013524i,-0.00025384+0.0015617i,-0.001141+0.003087i,-0.00018774+0.00019313i,0.00039286+0.00012978i,0.00081871+0.0014876i,0.0054784+0.010382i,0.00021869-0.00067135i,0.00036783-0.00069041i,0.0019119+0.00082831i,-0.00095036-0.00048382i,-0.0012967-0.00028937i,-0.0012226+0.0013567i,0.0012209+0.0027833i,0.0017635+0.00063395i,0.028103-0.0056726i,-0.0031672+0.0197i,0.0032019+0.025431i,-0.0095674+0.0093558i,0.026681+0.0016761i,0.0027163+0.0087653i,-0.021034+0.0062641i,-0.036995+0.001069i,-0.022402+0.015686i,-0.0029653-0.0067506i,0.015486-0.0054892i,-0.0011235+0.0041507i,0.0037729+0.006023i,-0.0093897+0.010495i,-0.0034478-0.0040896i,0.012062-0.0076802i,0.012909+0.0021413i,-0.012993+0.0068906i,-0.00078717-0.00066432i,-0.0016528+0.0015712i,-0.0031252+0.00057174i,-0.00043815-0.0071238i,0.0088726+0.00037067i,-0.00043837-0.0086228i,-0.0032043+0.00334i,0.0011035-0.0021286i,0.00053826-0.0054613i,-0.0048959+0.0025937i,0.0020834-0.0005511i,0.0011365-0.0027657i,0.028513-0.0041651i,-0.0051463+0.0074963i,0.00096194-0.0025394i,-0.0035128-0.0018526i,-0.00017099-0.0072272i,-0.0026613+0.011158i,-0.0016943-0.0005929i,3.6374e-05-0.00043989i,0.00022286-0.0029586i,-0.0037636+0.0020591i,0.0022379+0.0021626i,0.0010308-0.00016904i,0.0054768+0.0016429i,-0.0014985+0.0027439i,-0.0059921+0.0065393i,0.002334+0.017236i,0.017669-0.0038285i,-0.021864+0.0061354i,-0.016181-0.0078271i,0.016544+0.0002615i,0.017437+0.012918i,-0.0062327-0.0029498i
0.039235-0.0014999i,0.016944-0.0015602i,0.027731-0.0015449i,0.018939+0.00080057i,0.01429-0.0057436i,0.00035209-0.0068557i,0.012357+0.00089987i,0.0069569-0.013974i,-0.00063643-0.011325i,0.0026214+0.0020355i,-0.0011284-0.002118i,0.00020725-0.00080339i,0.00031095+0.0024193i,0.0016165-0.0010486i,0.00047016-0.0012965i,0.0019616-0.0012106i,-0.002671-0.0052043i,0.00087152-0.00044633i,3.5006e-05+0.001901i,-0.0014289-0.00021889i,-0.0020537+0.00059074i,-0.0011075+0.0013065i,-0.00011489+0.001456i,0.0020697-0.0085315i,0.0039223+0.0014253i,0.00055905-0.00094311i,-0.00016279+2.1437e-06i,0.0015385+0.00099363i,0.00043888+0.0016663i,0.0013206+0.00073619i,0.000498+0.0015009i,0.00020025+0.0033299i,-0.00021344+0.00045372i,0.00056593+9.8142e-05i,0.0012997+0.0010268i,0.0073517+0.00812i,1.973e-05-0.00051754i,3.5372e-05-0.00057548i,0.0018727+0.00037034i,-0.00063932-5.6588e-05i,-0.0015495+0.00014319i,-0.00089245+0.0015994i,0.0021581+0.0025895i,0.0015729+0.00044087i,0.026211-0.012191i,0.002078+0.017453i,0.0093101+0.023323i,-0.0083634+0.0099355i,0.023418-0.0090576i,0.0022955+0.0049859i,-0.018219+0.01496i,-0.033893+0.012362i,-0.016391+0.022761i,-0.0084535-0.0059544i,0.011005-0.0069584i,0.0001614+0.0045168i,0.0058111+0.0035201i,-0.0055084+0.013551i,-0.0044383-0.0012502i,0.0063263-0.012937i,0.012662-0.0035025i,-0.010765+0.010002i,0.00031059+0.00017931i,-0.00057539+0.0016872i,-0.0015166+0.00081982i,-0.0022589-0.0051921i,0.0074463-0.0021332i,-0.002249-0.0067364i,-0.00027252+0.0043971i,0.0011721-0.0034602i,-0.0015485-0.0049735i,-0.0030786+0.0034639i,0.0019386-0.0023115i,0.00089636-0.0028007i,0.021932-0.014685i,-0.0011922+0.0078362i,-0.00014203-0.0026735i,-0.0038969-0.0010631i,-0.0030911-0.0065353i,0.00064306+0.010092i,-0.00089892-0.00021198i,0.0013478-0.00029155i,3.7637e-05-0.003685i,-0.0014494+0.0021418i,0.002453+0.0017926i,0.00022662+0.00028853i,0.0047815-0.00014167i,-0.0023385+0.0018447i,-0.0036183+0.0078862i,0.0050846+0.016161i,0.011678-0.013746i,-0.020147+0.0034069i,-0.020605-0.0032288i,0.013209-0.0043245i,0.018035+0.007453i,-0.0070053-0.0020846i
0.037581-0.0079399i,0.01599-0.0046682i,0.025548-0.0082489i,0.017123-0.0052482i,0.013462-0.0093724i,-0.0012968-0.0068949i,0.013417-0.00054466i,0.0042062-0.015017i,-0.0024046-0.011442i,0.0025692+0.0021013i,-0.0015108-0.0017696i,0.00011085-0.0016402i,0.0011823+0.0023617i,0.0013529-0.0013668i,0.00026725-0.0012148i,0.0027678-0.0015167i,-0.0038565-0.0046324i,0.00045059-0.00087458i,0.00054318+0.001333i,-0.0016913+0.00028964i,-0.0020265+0.0007969i,-0.00042485+0.00098232i,0.0002176+0.0013809i,-0.0018529-0.007454i,0.0042569-0.00052133i,6.9584e-05-0.0009184i,-0.0005327+0.00015792i,0.0015562+0.000549i,0.001117+0.0013929i,0.001325+9.1341e-05i,0.0012299+0.0011347i,0.0013147+0.0032386i,-0.0002336+0.00072482i,0.00066855-2.9234e-05i,0.0014176+0.000366i,0.0085068+0.0059856i,-0.000152-0.00038556i,-0.00026196-0.00045817i,0.0019753+1.3113e-05i,-0.00024323+3.1768e-05i,-0.0015518+0.00077194i,-0.00050863+0.0019863i,0.0031481+0.0018597i,0.0013169+0.00039489i,0.022793-0.017981i,0.0059788+0.01399i,0.013883+0.019611i,-0.005759+0.01096i,0.017318-0.01706i,0.0009205+0.0033855i,-0.012018+0.020096i,-0.025549+0.019582i,-0.0067114+0.025948i,-0.01167-0.0019026i,0.0077049-0.0070556i,0.0014603+0.0041841i,0.0056507+0.00055291i,-0.00071651+0.014368i,-0.0048984+0.0010151i,-0.002976-0.013275i,0.0094251-0.007735i,-0.0080472+0.012345i,0.0016937-0.00086541i,0.00030204+0.0014087i,-0.0010669+0.00023986i,-0.0024348-0.0036052i,0.0057818-0.0029454i,-0.0030421-0.0056383i,0.0020756+0.00367i,-0.00010267-0.0052899i,-0.003044-0.0037739i,-0.0010889+0.0041292i,0.00051222-0.0033315i,0.00027981-0.0033633i,0.01255-0.020152i,0.0019002+0.0065655i,-0.00067174-0.0024263i,-0.0032077-0.00071723i,-0.0049486-0.0049118i,0.0030307+0.0084615i,-1.9338e-06-0.00095082i,0.0019658-0.0011298i,-0.0012632-0.0037198i,-0.00027904+0.0012535i,0.0034595+0.0015852i,0.00022028+0.001282i,0.0042205-0.0010443i,-0.0033779+0.0020388i,-0.0013676+0.0079721i,0.0080709+0.015222i,0.0030195-0.019565i,-0.023317+0.0015003i,-0.021746+0.0033512i,0.0070054-0.0060389i,0.017916+0.0027595i,-0.0066214-0.0017919i
0.035093-0.013618i,0.015091-0.006805i,0.021335-0.012771i,0.012689-0.0095213i,0.011413-0.012835i,-0.0026869-0.0064612i,0.014554-0.0028676i,0.0012095-0.015411i,-0.00404-0.011372i,0.0034497+0.0023732i,-0.0017895-0.00083763i,-0.00092544-0.001907i,0.0019825+0.0020702i,0.0009306-0.0014178i,0.00014479-0.0011509i,0.0031171-0.0020699i,-0.0053528-0.0031334i,6.718e-05-0.00077904i,0.00070761+0.00074457i,-0.00159+0.0011112i,-0.0017874+0.0014927i,-0.00049372+0.00043826i,0.00052089+0.0012683i,-0.0044091-0.0046703i,0.0032174-0.0020422i,-0.00025442-0.00068695i,-0.00049963+0.00059466i,0.0014358+0.00025741i,0.001353+0.00064838i,0.0010958-0.00040822i,0.0016951+0.00047114i,0.0024061+0.0024764i,0.00010353+0.0011192i,0.0006034-0.00015718i,0.0010112+0.00034413i,0.0090119+0.0036063i,-0.00022885-0.00024534i,-0.00048937-0.00014949i,0.0019953-0.00051676i,0.00018706+8.0244e-06i,-0.0012011+0.0014326i,0.000223+0.0021178i,0.0035862+0.0005623i,0.0010958+0.00049988i,0.017909-0.022583i,0.0082861+0.0097631i,0.016794+0.015409i,-0.0023399+0.010656i,0.010151-0.021236i,-0.00032194+0.0034599i,-0.0052508+0.022199i,-0.017111+0.021673i,0.0032055+0.024849i,-0.011396+0.0030033i,0.0058653-0.006909i,0.0026739+0.0034744i,0.0043721-0.0011375i,0.0044149+0.013057i,-0.0042311+0.0039569i,-0.010001-0.0079111i,0.0054512-0.0092831i,-0.0047989+0.013971i,0.0012485-0.0026596i,0.00083889+0.000946i,-0.0012056+0.00025766i,-0.0020137-0.0025571i,0.0045588-0.0038063i,-0.0043447-0.0046391i,0.003349+0.0018463i,-0.0034257-0.00593i,-0.0037674-0.0020855i,0.001239+0.003084i,-0.00040223-0.0036507i,-0.00086997-0.0038237i,0.0032705-0.020769i,0.0038257+0.0044769i,-0.001159-0.0024436i,-0.0039005-0.0004364i,-0.0062995-0.0026426i,0.0043837+0.0069981i,-0.00043279-0.0022429i,0.0023052-0.0022184i,-0.0020495-0.002874i,0.00044724+0.00020808i,0.003776+0.00069608i,0.00093489+0.0018115i,0.0031037-0.0017616i,-0.0040643+0.0031313i,0.00038427+0.0071987i,0.012069+0.013495i,-0.0077815-0.021464i,-0.027455+0.0035578i,-0.019293+0.0094185i,0.0027366-0.0037209i,0.015612-0.0021623i,-0.0068177-0.0030465i
0.032039-0.019064i,0.014393-0.009695i,0.017613-0.015273i,0.0083093-0.010776i,0.0085507-0.015654i,-0.0037126-0.0057947i,0.015626-0.0064096i,-0.0017545-0.01527i,-0.0057682-0.011265i,0.0045996+0.0016706i,-0.0012551-8.4615e-05i,-0.0017206-0.0010652i,0.0025806+0.0012711i,0.00059242-0.0014949i,7.709e-05-0.0011161i,0.0032893-0.0026528i,-0.0059428-0.0011117i,2.2627e-05-0.00095089i,0.00057314+0.00021696i,-0.0010633+0.0016022i,-0.0013172+0.0017238i,-0.00068426+0.0003538i,0.00085164+0.0010665i,-0.0053679-0.0012173i,0.0020146-0.0026753i,-0.00038342-0.00042531i,-0.00015687+0.00075657i,0.0014524-5.1371e-05i,0.0010611+0.00045211i,0.00078045-0.00067591i,0.0018492-0.00025041i,0.002849+0.0015866i,0.00071284+0.0011445i,0.00073587-0.00015353i,0.0011627+0.00071897i,0.0087031+0.0014133i,-0.00037758+1.7751e-05i,-0.00043505+0.0001867i,0.0017436-0.0012117i,0.00062104-0.00025086i,-0.00052711+0.0017677i,0.00086376+0.0018779i,0.0033501-0.0006243i,0.001116+0.00070366i,0.012322-0.025565i,0.0085987+0.0055404i,0.018522+0.011325i,0.00016716+0.008896i,0.0036771-0.022897i,-0.00030321+0.0055192i,0.0015103+0.022365i,-0.0098949+0.02193i,0.011046+0.020269i,-0.0082313+0.0069053i,0.0044111-0.0074822i,0.0038467+0.0019197i,0.0035979-0.0022341i,0.0086166+0.0093377i,-0.0016319+0.0050501i,-0.012191-0.0012202i,0.0017852-0.0095836i,-0.0009206+0.014004i,-0.00056417-0.0035809i,0.00045368+0.00056839i,-0.001227+0.00075508i,-0.0017893-0.0022438i,0.0032673-0.0033441i,-0.0049919-0.0028625i,0.003351+0.00033962i,-0.0063028-0.0035408i,-0.0033395-0.00058241i,0.0019278+0.001033i,-0.0011419-0.0037896i,-0.002307-0.0033896i,-0.0040253-0.018133i,0.0049205+0.002053i,-0.0019447-0.0022207i,-0.0039118+0.0010732i,-0.0059935+7.1124e-05i,0.0057569+0.0058554i,-0.0021468-0.0028234i,0.0018591-0.0037346i,-0.0024883-0.0025492i,0.00018867-0.0011902i,0.004383+8.1825e-05i,0.001847+0.0017208i,0.0019341-0.0013279i,-0.0042879+0.0044841i,0.0016065+0.0061637i,0.016352+0.0099456i,-0.018304-0.017801i,-0.03009+0.007446i,-0.01444+0.012289i,0.0016573-0.0014597i,0.011499-0.0048283i,-0.0093209-0.0033695i
0.027789-0.024011i,0.012827-0.012999i,0.014384-0.017444i,0.0051204-0.01078i,0.0049638-0.017741i,-0.0045561-0.0051144i,0.015373-0.011643i,-0.0044521-0.014562i,-0.0079087-0.010795i,0.0053216+0.00040193i,-0.00060164-7.4633e-05i,-0.0019082+0.00012061i,0.0026792+0.00036307i,0.00026314-0.0012482i,-5.3023e-05-0.0012012i,0.0030618-0.0035531i,-0.0057966+0.0008748i,-0.00029036-0.0012225i,0.00039512+3.3105e-05i,-0.00048845+0.0018124i,-0.00086334+0.002028i,-0.00085259+0.00046403i,0.0010532+0.0007118i,-0.0041727+0.0017913i,0.0010564-0.0028057i,-0.00045909-0.00013033i,0.00011606+0.00071522i,0.0012415-0.00051864i,0.001148+0.00037495i,0.00035953-0.00084242i,0.0017657-0.00099919i,0.0032878+0.00075084i,0.0012074+0.00090007i,0.0007937-0.00060343i,0.0019513+0.00059258i,0.00829-0.00025385i,-0.00025978+0.00031285i,-0.00023007+0.00045419i,0.00099241-0.0015887i,0.00091108-0.00073813i,8.6871e-05+0.0019368i,0.0013501+0.0015352i,0.0025914-0.0013502i,0.0012237+0.0011393i,0.0066688-0.02689i,0.0073528+0.0029251i,0.019451+0.0076739i,0.001683+0.007953i,-0.0024653-0.023756i,0.002697+0.0078728i,0.0077+0.020073i,-0.0028309+0.02009i,0.016586+0.013292i,-0.0031203+0.0086641i,0.0028224-0.0079457i,0.0038249-0.00087916i,0.0027867-0.0035915i,0.0097196+0.0041499i,-0.0001301+0.0045254i,-0.011689+0.005583i,-0.0019023-0.0085108i,0.002297+0.011945i,-0.0026752-0.0027109i,9.6191e-05+0.0009697i,-0.0008139+0.0013779i,-0.0014464-0.0022922i,0.0032959-0.002062i,-0.0043655-0.0014473i,0.0032799-1.2308e-05i,-0.0069286-0.00027129i,-0.0023984+0.00012083i,0.001506-0.00026754i,-0.0029838-0.0038147i,-0.003253-0.0023817i,-0.0095585-0.014439i,0.0048112-0.0005598i,-0.0025432-0.0014562i,-0.0027341+0.0021563i,-0.0046664+0.0018621i,0.0073131+0.0044882i,-0.0037904-0.0016185i,0.00041383-0.0048777i,-0.0034159-0.001741i,-0.0011551-0.0018451i,0.0049023-0.0017591i,0.0026477+0.0013864i,0.0020315-0.00091304i,-0.0029121+0.0063683i,0.0021498+0.004786i,0.019792+0.0043084i,-0.023457-0.0095207i,-0.032065+0.013375i,-0.010048+0.013232i,0.00088709+0.00054284i,0.0079569-0.0048159i,-0.010963-0.0021569i
