-0.03129-0.038866i,-0.021478-0.019137i,-0.013484-0.035589i,-0.029818-0.020031i,-0.022366+3.8275e-05i,-0.013679-0.0055783i,-0.054944-0.058035i,-0.046828-0.017464i,-0.038749-0.012066i,0.011371+0.010713i,-0.0079373+0.0045705i,-0.019471+0.018985i,0.0018494+0.010988i,-0.0064728-0.0024742i,0.00015095+0.0013987i,-0.0016878+0.030464i,0.025448+0.030312i,0.0024903-0.0022186i,-0.002562-0.0070416i,0.0072502+0.0024575i,0.0026767+0.00097925i,0.00038226+0.0045006i,-0.00031344+0.00025183i,-0.033337-0.011622i,-0.00057145-0.0082279i,0.0012852+0.0021049i,0.0077164+0.00094i,0.0016974+0.0009236i,0.0010981-0.00028476i,-0.00062824-0.0025742i,0.001525-0.0025086i,-0.0024452-0.0063062i,-0.00050886-0.0047746i,0.0029561-0.00057519i,0.0045836-0.0027977i,0.00070194+0.031142i,0.0038895-0.0035098i,0.0031199-0.0016495i,0.0075159-0.0014258i,-0.0068481-0.002329i,-0.00020722+0.0008487i,0.0093617-8.9229e-05i,0.0043791-0.0027863i,-0.0013775+0.0089135i,-0.017899-0.0073366i,-0.018441+0.015284i,-0.00349-0.061182i,-0.0049715-0.026908i,-0.027128-0.032234i,-0.010647-0.026823i,0.055205-0.020009i,0.016483-0.042804i,0.022942-0.047904i,0.0047831-0.05499i,0.026386-0.021711i,0.0081675+0.0059362i,0.025359-0.033249i,-0.0077147-0.0066233i,0.0039449-0.0050412i,-0.0044782-0.0073233i,-0.0015247-0.033247i,-0.017525+0.029815i,0.0090196-0.012017i,-0.0092774-0.0043663i,-0.0042789-0.0012961i,0.00084674-0.013163i,-0.010813+0.0041756i,0.0025723+0.010455i,-0.0037013+0.02587i,0.0048911+0.0026216i,-0.0057015-0.0017239i,-0.0021779-0.0022273i,-0.012866-0.0077065i,-0.00061022-0.0039081i,-0.036001+0.006757i,0.00083457-0.010861i,-0.0085652+0.00039765i,-0.0068676-0.0024963i,0.0049843+0.0012646i,-0.0079379-0.00027503i,0.0022017+0.00019862i,0.0039995+0.0071569i,0.0043158+0.00059177i,-0.0088546-0.012493i,0.002522+0.0096319i,-0.014848+0.0063119i,0.0065685+0.00066199i,-0.022418-2.7389e-05i,-0.017525+0.0063074i,-0.0096227-0.068005i,0.0080964-0.013519i,-0.0487-0.022746i,-0.021646+0.00068112i,0.018004+0.011183i,-0.023053+0.013855i,-0.01927-0.0051718i
0.028083+0.033219i,0.014137+0.014373i,0.017444+0.024397i,0.0067354+0.018834i,0.0084056+0.0070091i,0.0044756-0.0009848i,0.015131+0.011838i,0.015957-0.0017487i,0.0076811-0.0081582i,0.0024135+0.003708i,0.0019168-0.0024945i,0.00060458-0.0050451i,-0.0019509+0.00074754i,0.001231-0.001512i,0.0019134-0.00054816i,0.0053667-0.0023166i,0.0059597-0.0066044i,0.00019234+0.00015465i,-0.0041635+0.00096844i,-2.0503e-06+0.00059088i,-0.00079343-0.001053i,-0.0027034-0.0010349i,-0.0016204+0.00082917i,0.0045422+0.0095833i,-0.0011864+0.0008469i,0.00065987+0.0016475i,0.0010984+0.00088567i,-0.0016853+0.0024951i,-0.0010305+0.00035776i,-0.0014975+0.00038656i,-0.0016233-0.0014513i,-0.0029994-0.00013445i,-0.00012015+0.00019201i,0.00032932+0.00043353i,-0.00034606-0.0010929i,-0.009583+0.0089308i,0.0017023-0.0001346i,0.0006647+0.0010036i,0.0020027+0.0026461i,0.00036426-0.0014407i,-0.00017176-0.00076382i,-0.00040375-0.0016141i,0.0005999+0.0018409i,-0.00035068+0.0013094i,0.019389+0.01304i,-0.022686+0.013152i,-0.011738+0.016465i,-0.022705+0.011519i,-0.0035203+0.037272i,-0.020453+0.017384i,0.0023946-0.0044416i,-0.011772-0.01653i,-0.018526-0.000408i,-0.0057912+0.014245i,0.017176+0.021719i,-0.00051435+0.0023182i,-0.0035532+0.00097913i,-0.012739-0.0045743i,0.011393+0.0013798i,0.012372+0.0098616i,-0.00030362+0.005915i,-0.0047553-0.0070777i,0.0061036-0.0030428i,-0.0032686-0.004324i,0.0036351-0.0082598i,0.0088648-0.0030451i,-0.001606+0.010497i,0.012073-0.0069799i,0.0039804-0.0078915i,0.0030753-0.0087741i,0.0022311+0.00083525i,-0.0023823-0.0057672i,-0.0036472-0.001252i,0.002523+3.6659e-05i,-0.0064723+0.037002i,-0.0067857-0.0069281i,0.00025284+0.0010342i,-0.0021205-0.0075031i,0.0030259-0.00021889i,-0.016999-0.0061546i,-0.0013915-0.0038757i,0.0027538-0.0023128i,0.0032076-0.0013i,-0.0033761-0.0077686i,0.00014022+0.0069121i,-0.00017604+0.0033456i,-0.0027304+0.0045632i,-0.0075703+0.0012032i,-0.0063983-0.0012244i,-0.005982+0.027834i,-0.0032217+0.014588i,-0.027044-0.010543i,-0.0013519-0.0025209i,0.013778+0.018423i,-0.00035335+0.018462i,-0.00091774-0.0044314i
0.03312+0.027173i,0.016479+0.010629i,0.021696+0.021374i,0.0098778+0.018285i,0.010381+0.0058708i,0.0046161-0.0023455i,0.015166+0.0081513i,0.015421-0.0043789i,0.0056252-0.0095183i,0.0032117+0.0024966i,0.0018161-0.0026169i,-0.0014376-0.0033898i,-0.0015923+0.0015461i,0.00095537-0.00044803i,0.001765-0.00086773i,0.0042551-0.0027234i,0.0037696-0.0070321i,0.00064423+2.5671e-05i,-0.0042687+0.0008153i,0.00035681+2.2494e-05i,-0.0009796-0.0012843i,-0.0027943-0.00041122i,-0.0012372+0.00096174i,0.0095468+0.0073469i,-0.0013112+0.0020536i,0.0015156+0.0011519i,0.0010425+5.3356e-05i,-0.00066572+0.0028387i,-0.0013828+0.00085817i,-0.0013357+0.0010904i,-0.0021002-0.00066619i,-0.001931+2.0721e-05i,-0.00029432+0.00010361i,0.00051951+0.00010873i,-0.0010149-0.00021177i,-0.0058844+0.010668i,0.0012365-0.00076756i,0.00085383+0.00089174i,0.0021649+0.0013342i,3.3598e-05-0.0012566i,-0.0005086-0.0010274i,-0.00070946-0.00091126i,0.00082421+0.0017722i,-0.00059784+0.0016304i,0.02224+0.0099985i,-0.01815+0.016166i,-0.010792+0.019282i,-0.01756+0.013348i,0.0077174+0.033257i,-0.01235+0.017746i,-0.0042429-0.0079721i,-0.018623-0.017852i,-0.020194+0.00046589i,0.00016294+0.0096977i,0.020434+0.014022i,-0.0010514+0.0022419i,-0.0023833+0.0045122i,-0.01283+5.1462e-05i,0.010007-0.0029838i,0.014132+0.0063516i,0.0026332+0.0081208i,-0.0090383-0.0059745i,0.002122-0.0045827i,-0.0035207-0.0020201i,-0.0014146-0.0077634i,0.0069562-0.0054697i,0.0033301+0.0085811i,0.0068798-0.0098128i,-0.0009729-0.0075872i,-0.00090693-0.0062576i,0.0037049+8.5385e-07i,-0.0036535-0.0048043i,-0.0019421+0.00097167i,0.0032106-0.00043893i,0.013191+0.032567i,-0.0083332-0.0042067i,0.0010122+0.00034728i,-0.0046474-0.0052609i,0.0040352-0.001556i,-0.017766+0.0015762i,-0.0021936-0.0030881i,0.0015152-0.0021831i,0.0033541-0.0029588i,-0.0054338-0.0053783i,0.0020764+0.003173i,0.0013855+0.0027915i,-3.6139e-05+0.0057083i,-0.0058302+0.0040725i,-0.007222+1.4514e-05i,-0.00024932+0.024167i,-0.00035339+0.016821i,-0.028652-0.0045437i,-0.0030436-0.0064571i,0.017131+0.015691i,0.0029397+0.019491i,-0.0032111-0.0046215i
0.036236+0.02015i,0.017321+0.0059129i,0.026284+0.015821i,0.014224+0.01576i,0.012615+0.0039953i,0.0042734-0.0040184i,0.014442+0.0046062i,0.014526-0.0074265i,0.0037354-0.0098157i,0.0031809+0.0013226i,0.0013803-0.0034769i,-0.0015488-0.001525i,-0.00080355+0.0015988i,0.0016816-0.0005135i,0.001547-0.001142i,0.003297-0.0032057i,0.0013622-0.0073802i,0.00058049-0.00034261i,-0.0033689+0.0018632i,8.1346e-05-0.00071446i,-0.0018314-0.0016369i,-0.0024743+0.0001745i,-0.00098859+0.0010546i,0.011402+0.0019401i,-0.0002695+0.0029434i,0.0016773+0.00014049i,0.00052003-0.00028716i,0.00043136+0.0025817i,-0.00097957+0.0016421i,-0.00083815+0.0016289i,-0.0023103+0.00032547i,-0.0020836+0.0013878i,-0.00030439+0.00022984i,0.0005675-0.00012584i,-0.00079414+0.00088595i,-0.0026894+0.01139i,0.00067004-0.00079117i,0.0012401+0.00050998i,0.0018237+0.00055706i,-0.00035564-0.0011272i,-0.0010722-0.0011692i,-0.00079604-0.00069564i,0.0009407+0.0018713i,-0.00025136+0.0023672i,0.025837+0.0058207i,-0.013382+0.018187i,-0.0076154+0.022877i,-0.011865+0.012589i,0.017854+0.025846i,-0.0060856+0.018079i,-0.011571-0.007054i,-0.025493-0.015908i,-0.019485+0.0047223i,0.0028218+0.0036544i,0.021179+0.0074399i,-0.0015076+0.0022841i,-0.00091886+0.004534i,-0.012534+0.0032283i,0.0060516-0.0075411i,0.014775+0.0019035i,0.0059758+0.0079003i,-0.012392-0.0031172i,0.00042991-0.0030322i,-0.0033984-0.00015139i,-0.0038883-0.0051414i,0.0047738-0.0066019i,0.0061341+0.0074516i,0.003533-0.0096215i,-0.0039437-0.0047327i,-0.001359-0.003369i,0.0042413-0.0024191i,-0.0064786-0.0028939i,-0.00012598+0.00083794i,0.002829-0.0019137i,0.02555+0.020233i,-0.0098599-0.00088286i,0.0015371-0.00022733i,-0.004202-0.0032831i,0.004513-0.0036581i,-0.013644+0.0088522i,-0.0022985-0.0020161i,0.00069003-0.0022325i,0.0018491-0.00393i,-0.0061097-0.0023455i,0.0014578+0.002113i,0.0021244+0.0015504i,0.0025618+0.0051277i,-0.0033602+0.0049681i,-0.0075929+0.0016994i,0.0023003+0.020395i,0.0074305+0.016574i,-0.028648+0.00031638i,-0.0061284-0.0090687i,0.019949+0.009952i,0.0076592+0.020421i,-0.005042-0.0037013i
0.037662+0.013259i,0.016189+0.0025282i,0.027666+0.0089794i,0.017297+0.010884i,0.014134+0.00086961i,0.0030841-0.00545i,0.013066+0.0022257i,0.012555-0.010278i,0.00243-0.010114i,0.0027503+0.00077374i,0.00025782-0.0034485i,-0.00081454-0.00072449i,-0.00071492+0.0017628i,0.0015633-0.00060876i,0.0011524-0.001417i,0.0021077-0.0031454i,-0.00072303-0.0064111i,0.00045848-0.00045093i,-0.0018164+0.0028305i,-0.00059392-0.00090886i,-0.0024311-0.0007468i,-0.0023373+0.00070916i,-0.00077676+0.001139i,0.01017-0.003346i,0.00095562+0.003194i,0.0013614-0.00044594i,0.00014715-0.00013875i,0.0010056+0.0020297i,-0.00022981+0.0017265i,-0.00018554+0.0018472i,-0.0019552+0.0015092i,-0.0013296+0.0022962i,-0.00023212+0.00028326i,0.00041337-0.00027369i,-0.00020673+0.0012095i,0.001223+0.011176i,0.00048709-0.00082905i,0.0011753-0.00016132i,0.0014599+0.00059529i,-0.00077649-0.00079665i,-0.0016718-0.00084529i,-0.001131-0.00057681i,0.0014099+0.0019378i,0.00055804+0.0027487i,0.027912-0.00067892i,-0.0081135+0.01917i,-0.0027125+0.025255i,-0.0097365+0.0096412i,0.025092+0.014439i,0.00043228+0.014222i,-0.018084-0.0022484i,-0.032249-0.010126i,-0.023483+0.016393i,0.0017455-0.0019839i,0.020239-0.00014821i,-0.0017027+0.0031793i,7.821e-05+0.0061746i,-0.011851+0.007147i,-0.0003375-0.0074945i,0.014079-0.0032146i,0.0093328+0.0059031i,-0.013995+0.00080557i,-0.00046542-0.0023639i,-0.0025223+0.0012298i,-0.0048639-0.0017174i,0.0026977-0.0075581i,0.00877+0.0039297i,0.0014798-0.0094871i,-0.005473-0.00050285i,-0.00047141-0.0020926i,0.0028342-0.0046982i,-0.0065494+0.00013693i,0.00093015+0.00060264i,0.001812-0.0028789i,0.030223+0.0044245i,-0.0092732+0.0043325i,0.0018052-0.0011923i,-0.0040006-0.0016721i,0.0026218-0.0064724i,-0.0074346+0.011012i,-0.0017871-0.0012809i,-8.9309e-05-0.0016571i,0.00058531-0.0040384i,-0.0047336+0.00035993i,0.00097496+0.0018028i,0.0018309+0.00032635i,0.005204+0.0037092i,-0.0011638+0.0040231i,-0.0076442+0.0034616i,0.0037374+0.018777i,0.016252+0.0096208i,-0.026056+0.0054214i,-0.011582-0.010229i,0.018454+0.004346i,0.013222+0.019046i,-0.0051745-0.002639i
0.038367+0.0069451i,0.015652+0.0005051i,0.027606+0.0033i,0.018568+0.0057173i,0.014356-0.0025028i,0.0017469-0.0063006i,0.011983+0.0011224i,0.010064-0.012272i,0.0012688-0.01074i,0.0026357+0.00029511i,-0.00052247-0.0030711i,-0.00022851-0.00067256i,-0.00045901+0.0021747i,0.0015716-0.00092924i,0.00072157-0.001392i,0.0015627-0.0024018i,-0.0015956-0.0052357i,0.00021446-0.00042459i,-0.00059066+0.0026158i,-0.0012015-0.00061236i,-0.0025256-0.00011153i,-0.001862+0.0013577i,-0.00050675+0.001294i,0.0071-0.0063283i,0.0021567+0.0029655i,0.0012172-0.00028258i,-7.9777e-05+2.2541e-05i,0.0013268+0.0014931i,0.00020587+0.0016654i,0.00063969+0.0018239i,-0.0010294+0.0022664i,-0.0010443+0.0026196i,-0.0002241+0.00026517i,0.00036137+6.0201e-06i,0.00051543+0.0014794i,0.0041457+0.0092059i,0.00012933-0.00087799i,0.00079009-0.00053761i,0.0016871+0.00048757i,-0.00088248-0.00029873i,-0.002059-0.00051039i,-0.0014205-0.00037115i,0.0019665+0.0016339i,0.0010276+0.0024506i,0.027304-0.0078283i,-0.0026607+0.01872i,0.0038875+0.025719i,-0.009396+0.0091752i,0.026284+0.0019075i,0.002764+0.0088283i,-0.020476+0.0058783i,-0.035074-0.00042329i,-0.024568+0.018159i,-0.0020446-0.0052883i,0.015591-0.0051414i,-0.00090338+0.0042435i,0.003365+0.0060569i,-0.0091958+0.010528i,-0.0035874-0.0042482i,0.010946-0.0087444i,0.012161+0.0022183i,-0.015284+0.0052239i,-0.00084312-0.00078429i,-0.001362+0.0018579i,-0.003184+0.00040128i,-0.00051604-0.0072036i,0.0088291+0.00056825i,-0.00085835-0.0091487i,-0.0031436+0.0026355i,0.00052161-0.0021761i,0.00064263-0.0057309i,-0.0044705+0.0023038i,0.0021663-0.00030186i,0.0010705-0.0027748i,0.024592-0.0096017i,-0.0055994+0.0074726i,0.0011642-0.0023009i,-0.0031132-0.0014563i,-0.00019282-0.0071819i,-0.0030701+0.010501i,-0.0016821-0.0016714i,-0.00015153-0.00025998i,0.00038086-0.0037i,-0.0032229+0.0015185i,0.0012321+0.0016565i,0.00096216-0.00023417i,0.0066183-8.4902e-05i,-0.0011557+0.0022888i,-0.0066444+0.0058114i,0.0061115+0.017893i,0.018365-0.0035921i,-0.021714+0.006258i,-0.017547-0.008087i,0.016774+0.00066073i,0.018091+0.013307i,-0.0058231-0.0028347i
0.038369+0.0005599i,0.015662-0.0018938i,0.027272-0.0021995i,0.018821+0.00044243i,0.014202-0.0058032i,0.00026709-0.0068773i,0.012084+0.0003285i,0.0076042-0.013741i,-0.00020404-0.011465i,0.0020197-5.5799e-05i,-0.0012527-0.0022558i,8.5483e-05-0.00080441i,0.00039023+0.0025687i,0.0014343-0.0010987i,0.0005162-0.0013174i,0.0018143-0.0017841i,-0.0022133-0.0049645i,0.00024977-0.00050091i,0.00022769+0.0020778i,-0.0015022-9.9018e-05i,-0.0021526+0.00049838i,-0.00098431+0.0014363i,-0.00015738+0.0013488i,0.003741-0.0076355i,0.0034285+0.0021282i,0.00084924-0.00039732i,-0.00011527+0.00014018i,0.0014685+0.00099667i,0.00069232+0.0015779i,0.0012827+0.0012827i,4.8873e-05+0.0024933i,0.00018381+0.0029782i,-0.00032323+0.00056753i,0.00055782-3.6959e-05i,0.0010729+0.0010649i,0.0053354+0.0067916i,-0.000234-0.00070008i,0.00051262-0.00062586i,0.0015734+0.00017604i,-0.00057304+3.8325e-05i,-0.0023785+0.00013518i,-0.0017495+0.00010742i,0.0024407+0.0011875i,0.0013572+0.0023991i,0.025019-0.014164i,0.0022271+0.016445i,0.010354+0.02325i,-0.0083695+0.0097915i,0.023072-0.0091528i,0.0021901+0.0052069i,-0.017965+0.014406i,-0.032821+0.0097979i,-0.018628+0.024005i,-0.0064284-0.0048278i,0.011142-0.0065809i,0.00044133+0.0045965i,0.0054588+0.0038791i,-0.0052799+0.013072i,-0.0046568-0.0015213i,0.0048804-0.013046i,0.012219-0.0032804i,-0.01383+0.010582i,0.00011807+2.9542e-05i,-0.0001671+0.0018244i,-0.0016084+0.00078017i,-0.0022014-0.0051866i,0.0075605-0.0019473i,-0.001958-0.0074501i,-0.00034424+0.0030087i,0.00068861-0.003297i,-0.0015699-0.0052497i,-0.0028573+0.0031621i,0.0021247-0.0020904i,0.00079403-0.0027956i,0.012891-0.019668i,-0.0014513+0.0080154i,5.4519e-05-0.0023797i,-0.0034433-0.0011945i,-0.0033263-0.006594i,-9.2188e-05+0.0095952i,-0.0013309-0.00037333i,0.0011129+6.7697e-07i,-0.00035459-0.0044985i,-0.0013219+0.0018945i,0.0019561+0.0020077i,0.00014054+0.00038336i,0.0024013+0.023444i,-0.0022306+0.0014008i,-0.0043401+0.0072776i,0.008984+0.016438i,0.012068-0.013994i,-0.020178+0.0035237i,-0.022038-0.0026048i,0.013581-0.0040028i,0.018667+0.0075257i,-0.0066068-0.0022793i
0.037104-0.0061826i,0.014914-0.0046983i,0.025052-0.0086044i,0.016857-0.0055206i,0.013451-0.0094419i,-0.0014677-0.0068713i,0.012976-0.00098082i,0.004864-0.015131i,-0.0021525-0.011853i,0.0014758+0.0003315i,-0.0016196-0.0016899i,-6.4059e-05-0.0015418i,0.0012629+0.0024158i,0.0011482-0.0013561i,0.00033447-0.0012737i,0.0023324-0.0019157i,-0.0033353-0.0045542i,-0.00012421-0.00071614i,0.00073157+0.0013612i,-0.0017367+0.00048591i,-0.002197+0.00065969i,-0.00027892+0.00095036i,0.00013642+0.0012998i,0.00059951-0.0066077i,0.0040495+0.0003908i,0.00035894-0.00081253i,-0.00049652+0.00033702i,0.0014666+0.00063284i,0.0012677+0.0012216i,0.0015136+0.00054768i,0.0012304+0.002206i,0.0012211+0.0029406i,-0.00037723+0.00087671i,0.00059024-0.00014484i,0.0011732+0.00050034i,0.0064797+0.004751i,-0.00048174-0.00050019i,0.00012968-0.00070593i,0.0016765-3.5372e-06i,-0.00022743+8.3039e-05i,-0.0023227+0.001032i,-0.001561+0.00078381i,0.0028346+0.0003643i,0.0016058+0.0025384i,0.021085-0.019669i,0.0058309+0.012984i,0.014873+0.019296i,-0.0058169+0.010875i,0.017094-0.016473i,0.00094059+0.0036292i,-0.011967+0.019706i,-0.02606+0.017231i,-0.009423+0.027154i,-0.0091233-0.0018373i,0.0081595-0.0071017i,0.0017186+0.0041i,0.0055901+0.00095714i,-0.00053684+0.013866i,-0.0051829+0.00088638i,-0.0038595-0.012804i,0.0094259-0.0072699i,-0.0099628+0.014215i,0.0014515-0.00090972i,0.00039537+0.0012456i,-0.0010967+0.0003066i,-0.0024724-0.0036077i,0.0058628-0.0027675i,-0.0027585-0.0069917i,0.0011364+0.0026053i,-0.00041052-0.0049524i,-0.0031853-0.0041485i,-0.00083937+0.0037225i,0.0008381-0.0033552i,0.00018696-0.0033021i,0.0058322-0.01226i,0.0018137+0.0069107i,-0.00032573-0.0022376i,-0.0030344-0.0008586i,-0.0052858-0.0049979i,0.0023057+0.0082938i,-0.00055296-0.0013077i,0.0019581-0.00072879i,-0.0031503-0.0052369i,-0.00031452+0.00083541i,0.0029398+0.0019052i,0.0003175+0.0014865i,0.0037308+0.00049113i,-0.0033484+0.0015371i,-0.0021494+0.0071642i,0.012108+0.014877i,0.0029399-0.020054i,-0.023828+0.0016591i,-0.022396+0.0044532i,0.0075912-0.0058381i,0.018511+0.0020976i,-0.0065605-0.0020807i
0.035077-0.011865i,0.014118-0.006675i,0.020929-0.012915i,0.012392-0.0096877i,0.011382-0.013009i,-0.0028477-0.0063625i,0.014006-0.0030565i,0.0017245-0.01572i,-0.0040053-0.011984i,0.0018409+0.00092205i,-0.0017272-0.00081773i,-0.0010967-0.0016814i,0.0020434+0.0021058i,0.00073715-0.0012901i,0.0001705-0.0012528i,0.0025275-0.002117i,-0.0047038-0.0032887i,-0.00046751-0.00048831i,0.00083744+0.00068138i,-0.0015441+0.0012676i,-0.0020317+0.001661i,-0.00045564+0.0003404i,0.00043274+0.0012215i,-0.0075808-0.004584i,0.0034302-0.0012059i,-4.0724e-05-0.00071234i,-0.00042316+0.00071946i,0.0014629+0.00041217i,0.0013947+0.00050006i,0.0014277-2.2025e-05i,0.0020915+0.0014284i,0.0021461+0.0023722i,-6.5042e-05+0.0013494i,0.00052994-0.0002047i,0.00097895+0.00053547i,0.0074393+0.0028129i,-0.00057485-0.00026523i,-0.00021999-0.00044749i,0.0019342-0.00042932i,0.0001567+2.3041e-05i,-0.0018868+0.0020099i,-0.0010909+0.0010967i,0.0028213-0.00050701i,0.0021178+0.0023811i,0.015711-0.023755i,0.0078819+0.0090439i,0.017488+0.014741i,-0.0025502+0.010708i,0.010481-0.020876i,-0.00015609+0.0036594i,-0.0053472+0.021917i,-0.018401+0.020352i,0.00061368+0.027113i,-0.0093637+0.0023719i,0.0061079-0.0073382i,0.0028744+0.0032795i,0.0044803-0.00089099i,0.0045281+0.012697i,-0.0043797+0.0040974i,-0.010357-0.0073422i,0.0060707-0.0090301i,-0.004957+0.015677i,0.00081327-0.0024842i,0.00084675+0.00080599i,-0.0011664+0.00030656i,-0.0021976-0.0024935i,0.0048718-0.0035414i,-0.0046119-0.0066223i,0.0020535+0.0013249i,-0.0037447-0.0055832i,-0.0040178-0.0023273i,0.0011141+0.0027426i,-0.00013363-0.0036858i,-0.00091394-0.003761i,0.0027707-0.015095i,0.0038687+0.0048783i,-0.00082081-0.0024338i,-0.0036671-0.00053762i,-0.006551-0.0026567i,0.0038795+0.0071467i,-0.0011441-0.0023741i,0.0024314-0.0020795i,-0.0071309+0.0080694i,-0.00014355+2.992e-05i,0.0033549+0.0013242i,0.0013028+0.00171i,0.0032475-0.0015103i,-0.0045313+0.0026062i,-0.00068755+0.0065763i,0.016194+0.01223i,-0.0084652-0.021675i,-0.027848+0.0038061i,-0.019232+0.010299i,0.0036348-0.0035165i,0.01527-0.0040416i,-0.0067685-0.0031616i
0.032482-0.017516i,0.013522-0.0093266i,0.0173-0.015409i,0.0079969-0.010786i,0.0084045-0.015869i,-0.0038128-0.0056905i,0.015064-0.0063566i,-0.0013803-0.015685i,-0.0061472-0.011816i,0.0026153+0.00084205i,-0.00123-0.00010185i,-0.0017674-0.00079453i,0.0026694+0.0012532i,0.00044035-0.0013075i,7.9696e-05-0.0011808i,0.0027668-0.0023686i,-0.0053637-0.0015756i,-0.00044439-0.00048075i,0.00067804+0.00018977i,-0.00098466+0.0017565i,-0.0013082+0.0018141i,-0.00071888+0.00029587i,0.0007523+0.0010794i,-0.0062183-0.0017759i,0.002689-0.0021047i,-0.00018694-0.00053822i,-6.3622e-05+0.00072276i,0.0015762+9.5511e-06i,0.0010798+0.00037847i,0.0012527-0.00049972i,0.0025649+0.0004838i,0.0026764+0.0015188i,0.00072807+0.0014141i,0.00064719-0.00024552i,0.0013489+0.00082192i,0.0077524+0.00050046i,-0.00073814+0.00020836i,-0.00021857-0.00023201i,0.0017783-0.0012377i,0.0006051-0.00024592i,-0.00094258+0.0025872i,-0.0010478+0.0016347i,0.0024743-0.0014121i,0.0022624+0.0022006i,0.0099085-0.02609i,0.0080671+0.0050633i,0.018961+0.010255i,0.0001002+0.0090637i,0.004033-0.022617i,-3.6299e-05+0.0056107i,0.0015196+0.022068i,-0.011581+0.021526i,0.0084699+0.023569i,-0.0064065+0.0061073i,0.0044455-0.0079931i,0.0038166+0.0016495i,0.0038028-0.0021179i,0.0087798+0.0091929i,-0.0016739+0.0052665i,-0.012144-0.00066389i,0.0023923-0.0097765i,-0.00053914+0.014725i,-7.2317e-05-0.0026793i,0.00058751+0.00030346i,-0.0011526+0.00076778i,-0.0019454-0.0019425i,0.0036379-0.0033578i,-0.0059803-0.0050397i,0.0020315+0.00026209i,-0.0068199-0.0029304i,-0.003628-0.0006073i,0.0016913+0.00093278i,-0.00088391-0.0038604i,-0.0022133-0.0032274i,-0.0031155-0.014647i,0.0051464+0.002415i,-0.0017272-0.0024075i,-0.0038163+0.00083466i,-0.0060854+0.00026705i,0.0054536+0.0062611i,-0.002991-0.0028462i,0.0018403-0.0036394i,-0.001197-0.0021728i,-0.0004682-0.00097869i,0.00435+0.00061044i,0.0018622+0.0012777i,0.0021682-0.0016809i,-0.0053501+0.0043747i,0.00037346+0.0057526i,0.020073+0.0077295i,-0.018797-0.017392i,-0.030817+0.0078278i,-0.014099+0.012694i,0.002933-0.0014792i,0.0084071-0.0061639i,-0.0092417-0.0036399i
0.028507-0.022879i,0.012148-0.012365i,0.014027-0.017624i,0.004885-0.010774i,0.0048472-0.017849i,-0.0046481-0.0050183i,0.014953-0.011337i,-0.0043724-0.015012i,-0.0085247-0.011112i,0.0029522+0.00035708i,-0.00058095-1.0068e-05i,-0.0018181+0.00029793i,0.0028566+0.00028465i,0.00025088-0.0010309i,-8.4071e-05-0.0012408i,0.002773-0.0030546i,-0.0055405+0.00023532i,-0.00059306-0.00059164i,0.00051546-5.8489e-05i,-0.00034759+0.0018913i,-0.00082088+0.0021994i,-0.00086845+0.00044901i,0.00098472+0.00078667i,-0.005008+0.001741i,0.0017158-0.0027169i,-0.00032582-0.00040268i,0.00012649+0.00055766i,0.0013343-0.00049349i,0.0011938+0.00026893i,0.00085201-0.00095223i,0.0026903-0.00062746i,0.0031904+0.00067161i,0.0012951+0.0012079i,0.00060359-0.00063184i,0.0022149+0.00052511i,0.0069765-0.0011358i,-0.00051734+0.00085361i,-0.00021632-1.0708e-05i,0.0010289-0.0016829i,0.00096481-0.00077074i,2.6423e-05+0.0027844i,-0.00029197+0.0021781i,0.0016651-0.001878i,0.0025337+0.0024276i,0.004445-0.026738i,0.0066754+0.0025608i,0.019555+0.0067256i,0.0017638+0.0081303i,-0.0018216-0.023837i,0.0029981+0.0077303i,0.007803+0.019803i,-0.0043703+0.020543i,0.014815+0.017438i,-0.0015348+0.0073361i,0.0026578-0.0085727i,0.0035749-0.00092697i,0.0030513-0.003651i,0.0095435+0.0040493i,-5.7942e-05+0.0046895i,-0.011436+0.0059942i,-0.0016015-0.0087875i,0.0027513+0.012713i,-0.0024149-0.0042315i,1.525e-05+0.00053029i,-0.00079311+0.0013428i,-0.0014338-0.0019465i,0.0037023-0.0021645i,-0.0057874-0.0022321i,0.0021779+0.00040982i,-0.0072904+0.00076077i,-0.0027621+0.00018934i,0.0012771-0.00020513i,-0.0028961-0.0040866i,-0.0031364-0.0022575i,-0.0079365-0.012072i,0.0050708-0.00047491i,-0.0024775-0.0018076i,-0.0026647+0.0020109i,-0.004739+0.0019602i,0.0072824+0.0050121i,-0.0046562-0.0013193i,0.00061396-0.0048869i,-0.0025549-0.0015869i,-0.0016827-0.0012934i,0.0053048-0.0016614i,0.0021279+0.0010697i,0.0019537-0.0015035i,-0.0036938+0.0069413i,0.00068547+0.0047286i,0.023341+0.0013625i,-0.023832-0.008824i,-0.032667+0.013978i,-0.009489+0.013343i,0.0020436-0.00026034i,0.0053116-0.0023696i,-0.0113-0.0025785i
