-0.024849-0.0043374i,-0.021351-0.007915i,-0.012851-0.013588i,-0.035345-0.0082835i,-0.027177+0.0016816i,-0.035892-0.0026279i,-0.069041-0.035323i,-0.033681-0.014928i,-0.022964+0.0031714i,0.0066766+0.0056233i,-0.0054771+0.0070285i,-0.0083458+0.017968i,0.0053366+0.0079017i,-0.0012595+0.0035151i,0.0040895+0.0041122i,0.0052012+0.025246i,0.023453+0.019629i,0.0013089-0.00070814i,0.00047484-0.0051924i,0.0089346+0.00032601i,0.0051757-0.0016247i,0.0024068+0.0023359i,0.0010514-0.00050407i,-0.023622-1.0948e-06i,-0.0063512-0.0036137i,-0.0012803+0.0030272i,0.0034681-0.0038218i,-0.0018127-0.00010919i,-0.00066558+0.0011182i,-0.0024874-0.0016867i,-0.0037675-0.00053763i,-0.0070491-0.0091702i,-0.0045491-0.006089i,-0.00074195+9.7908e-05i,-0.00064973-0.0023208i,-0.00094419+0.020764i,0.0027261-0.00405i,0.0011252-0.0045467i,0.002529-0.0021859i,-0.0025933-0.003785i,0.00081596-0.00011744i,0.0066173-0.00052146i,0.0038882-0.002087i,0.00020201+0.0022176i,-0.013759+0.015247i,-0.025864+0.052535i,-0.0068566-0.037302i,-0.014994-0.018621i,-0.040403-0.016405i,-0.027888-0.012282i,0.035423-0.011926i,0.005432-0.030232i,0.012465-0.039075i,-0.0080303-0.030129i,0.025828-0.023729i,0.01319+0.0068271i,0.028525-0.037111i,-0.0016075-0.0039246i,0.005689-0.0084981i,-0.00053235-0.0060724i,-0.00021128-0.035397i,-0.014352+0.028505i,0.0087673-0.011695i,-0.0085941-0.0048923i,-0.0027233-0.0019522i,-0.00087233-0.015416i,-0.0079184+0.0059553i,0.0040263+0.0069011i,-0.0010855+0.028099i,0.0024388+0.00037783i,-0.0073611-0.0046043i,-0.0040968-0.0065334i,-0.015161-0.0098607i,-0.0022941-0.0058292i,-0.04047+0.014676i,-0.0050869-0.0089739i,-0.013234-0.00096552i,-0.010602-0.0054917i,0.0016663-0.0017201i,-0.013151+0.001917i,-0.0014893-0.00058387i,0.0058904+0.0055678i,0.0038145-0.0050992i,-0.012385-0.016703i,0.0077117+0.0086366i,-0.014758+0.0086447i,0.0047221+0.0007262i,-0.019517-0.002833i,-0.016003-0.0039254i,-0.016025-0.034798i,0.020509-0.010893i,-0.039143-0.029307i,-0.0090375+0.0056085i,0.018618+0.014621i,-0.022686+0.016191i,-0.0041299-0.0033174i
0.0079707-0.010159i,0.01108+0.00037204i,0.0076837+0.0035705i,0.014635-0.0032053i,0.018684-0.0015347i,0.015869-0.013109i,0.016693-0.0062212i,0.012637-0.00060948i,0.0011479-0.0094355i,-0.0012133+0.0021632i,-0.0011093-0.00065619i,-0.0013735+0.00027403i,-0.0010016+0.0044707i,-0.0018562+0.0023163i,0.0010033+0.0017609i,0.0014309-9.2142e-05i,0.0028046-0.0025763i,0.00058811-0.000866i,-1.8934e-06+0.0026726i,7.5017e-05+1.0183e-05i,0.00074865-0.0028715i,-0.0014286-0.0016964i,-0.0006443-0.00034986i,0.0026223+0.0047244i,-0.0018509+0.00061037i,-0.0018584+0.0014299i,-0.0025297+0.00032707i,-0.0020025+0.00011847i,-0.0022042-0.00098086i,-0.002336+0.00065163i,0.00052365-0.0014706i,0.00042783+0.001261i,0.00154+0.00032782i,0.001754+8.316e-05i,0.00091655-0.00048966i,-0.0085192+0.005491i,-0.0015097-0.00040484i,-0.0011734+0.00033227i,-0.0026065+0.00011928i,0.0012093-0.0023113i,0.0002019-0.0010888i,0.00082118-0.0012701i,-0.0012155+0.0014567i,0.002812-2.2172e-05i,0.00089196-0.0129i,-0.02164-0.0087941i,-0.0016365-0.0061693i,-0.0067077+0.0024054i,0.015699+0.02223i,0.0017468+0.0044977i,0.013291-0.014656i,-0.010023-0.027102i,-0.0046053-0.012725i,0.0077836-0.0087891i,0.020417+0.016461i,0.0013081+0.0010654i,-0.0011904+0.00044761i,-0.0059207-0.0008086i,0.011102-0.0030449i,0.015043+0.0090026i,0.0029033+0.004073i,-0.0038204-0.0076993i,0.0068557-0.0030042i,-0.0040798-0.0064501i,0.0028078-0.011622i,0.0062186-0.0062375i,-0.00069673+0.0079287i,0.0088583-0.0075678i,0.0058849-0.0085888i,0.00089528-0.0064593i,-0.0030123-0.0015257i,-0.0060514-0.0067047i,-0.0076569-0.0021845i,-0.00052294-0.001443i,-0.0030209+0.031974i,-0.010833-0.002583i,0.00010209+0.0028509i,-0.0056032-0.0050821i,0.00020822+0.00071504i,-0.015854+0.0016679i,-0.0026645+0.0012403i,-0.0018921-0.0021612i,-0.0036732-0.00059328i,-0.005708-0.0038294i,-0.0023322+0.0056913i,-0.0012358+0.0021013i,-0.0050198+0.0052192i,-0.0059206+0.00018489i,-0.0024781-0.0012811i,0.0078803-0.001747i,-0.005589+0.018462i,-0.02883-0.002207i,-0.0092804-0.0034696i,0.012112+0.015733i,-0.0023251+0.016912i,-0.0075115-0.0043848i
0.0062517-0.012017i,0.011066-0.0031571i,0.0083254+0.0024718i,0.013504-0.0048791i,0.0184-0.0046544i,0.01346-0.01555i,0.013325-0.0091258i,0.012532-0.0028798i,-0.00069981-0.0096809i,0.00011338+0.0022917i,-0.00092053+0.00015292i,-0.0014717+0.0015092i,0.00033011+0.00446i,-0.00089364+0.0030066i,0.00090808+0.0013872i,0.0011136+0.00018516i,0.0012694-0.0029821i,0.00082737-0.0013144i,-0.0010448-0.00064905i,0.00044665-0.00060842i,-0.00012867-0.00306i,-0.0017623-0.0010758i,-0.00067885-0.00058713i,0.0050681+0.0031007i,-0.0018559+0.0017597i,-0.0010235+0.0022338i,-0.0025348+0.0010706i,-0.0020479+0.00092736i,-0.00295+0.00020593i,-0.0020153+0.0018348i,-0.00078644-0.0013692i,0.00046048+0.00043889i,0.0009982-0.00029082i,0.001737-0.0012812i,0.00042194-0.00014928i,-0.0063157+0.0082339i,-0.0020729+0.00035438i,-0.0011152+0.0010362i,-0.002662+0.0011903i,0.0005447-0.0025039i,4.3462e-05-0.0011229i,0.00042289-0.0014825i,-0.0011413+0.0016939i,0.0020282-0.00011111i,-0.00059879-0.012267i,-0.020157-0.0064342i,-0.0040607-0.0033536i,-0.0036021+0.00044467i,0.02436+0.015174i,0.0053309+0.0019563i,0.0065246-0.017497i,-0.019068-0.026982i,-0.0089218-0.013434i,0.011048-0.015815i,0.020053+0.0016693i,0.00050204+0.00044513i,-0.00040042+0.002636i,-0.0055217+0.0011108i,0.0080632-0.0068794i,0.015964+0.0035801i,0.0052767+0.0049523i,-0.0082802-0.007023i,0.0034766-0.0052638i,-0.0050413-0.0040666i,-0.0028165-0.01028i,0.0035227-0.0076998i,0.0031195+0.005929i,0.0045957-0.0087917i,0.0021574-0.0088153i,-0.0023541-0.0038197i,-0.0021136-0.00046913i,-0.0075723-0.0041722i,-0.006003+0.0019464i,-6.7745e-05-0.00097491i,0.011454+0.028245i,-0.012258+0.0017791i,0.00084529+0.0017621i,-0.0077596-0.0031i,0.00068126+0.00026741i,-0.013643+0.0085067i,-0.0018497+0.0025968i,-0.0027876-0.0003748i,-0.0025125+0.00037145i,-0.006088-0.00094034i,0.00029198+0.0031339i,-0.00043404+0.0015221i,-0.0015825+0.006639i,-0.0041074+0.0020616i,-0.0035978-0.0011598i,0.008639-0.0082276i,-0.0012559+0.020816i,-0.028422+0.0035565i,-0.010568-0.0051342i,0.01357+0.013641i,0.00076499+0.018689i,-0.0096464-0.0033i
0.0037866-0.013295i,0.008915-0.0071794i,0.0093426+0.00052i,0.01277-0.0067232i,0.017874-0.0077693i,0.010542-0.018008i,0.0097256-0.011337i,0.011986-0.0053348i,-0.0023953-0.0090475i,0.00092855+0.000964i,-0.00061121+0.00016868i,-0.00072022+0.0024619i,0.0014659+0.0037974i,0.00014515+0.0028399i,0.00080358+0.0015136i,0.00099163+0.00040131i,-3.8301e-05-0.0026338i,0.00079751-0.0019008i,-0.0014014-0.00070543i,5.7806e-05-0.0014332i,-0.0013525-0.0030846i,-0.0015135-0.000553i,-0.0010486-0.0007468i,0.0056095+0.00031129i,-0.0010033+0.0025102i,-0.00026749+0.0024553i,-0.0024008+0.0023116i,-0.0016379+0.0017311i,-0.00282+0.0018947i,-0.0011335+0.0027145i,-0.00017846-0.00042905i,8.1144e-05+0.0010865i,0.00075513-0.00037595i,-0.00011344-0.0013466i,0.00044886+0.00025823i,-0.0032406+0.010153i,-0.0020033+0.0017036i,-0.00056757+0.0014803i,-0.0020831+0.0025548i,-0.00014766-0.0025372i,-7.4181e-05-0.0012754i,-7.4964e-06-0.0015644i,-0.00075312+0.0022403i,0.0022632+0.00037319i,-0.0013595-0.01141i,-0.019518-0.0031774i,-0.0017235+0.00076643i,-0.0012629-0.0028075i,0.032468+0.0052272i,0.0080907+0.00021249i,-2.8769e-05-0.017368i,-0.025763-0.022934i,-0.013007-0.011176i,0.0097627-0.024311i,0.017986+0.0079744i,-0.0010382+0.00057698i,-0.00068543+0.0018616i,-0.0055347+0.0023098i,0.0027048-0.010177i,0.015239-0.0018298i,0.0075885+0.0040122i,-0.012723-0.0036009i,0.0013163-0.0043952i,-0.0055422-0.0014694i,-0.0055413-0.0069956i,0.00090262-0.0076151i,0.0051932+0.0048296i,0.0018446-0.0084577i,-0.0029151-0.0065466i,-0.0024176-0.00095066i,-0.0019184-0.00056009i,-0.0091044-0.00086325i,-0.003559+0.00319i,-0.00085418-0.0015178i,0.019869+0.020164i,-0.011281+0.0069911i,0.001286+0.0012054i,-0.00491-0.0002715i,0.0010984-0.00091337i,-0.0073527+0.013119i,3.9894e-05+0.0034754i,-0.0028243+0.00086256i,-0.0023511+0.0012264i,-0.0054042+0.0019523i,-0.0009481+0.0028286i,-0.00012031+0.0010464i,0.0013749+0.0065011i,-0.0028085+0.001465i,-0.0049742+0.00018102i,0.0054969-0.013662i,0.0084943+0.019455i,-0.026296+0.0070344i,-0.012513-0.0059862i,0.016016+0.0093272i,0.0054242+0.020194i,-0.010749-0.0016661i
0.0010286-0.013525i,0.0051107-0.0087459i,0.009114-0.0019735i,0.011645-0.0089891i,0.016459-0.01109i,0.0068912-0.019515i,0.0060025-0.012046i,0.010745-0.0077093i,-0.0034628-0.0083014i,4.887e-05+0.0009454i,-0.00072294+0.0002572i,0.00038667+0.0027395i,0.0019359+0.0030216i,0.00058557+0.002606i,0.0011342+0.0018993i,0.00084262+0.00075043i,-0.00092816-0.0016812i,0.00046617-0.0024367i,-0.0012717-0.00062897i,-0.00086308-0.0017546i,-0.0020887-0.0022734i,-0.0015028-0.00034809i,-0.0015416-0.00055342i,0.0047131-0.0018576i,2.8461e-05+0.0028811i,0.00059291+0.0026122i,-0.0011559+0.0035895i,-0.0010288+0.0022198i,-0.001597+0.0030602i,6.6485e-05+0.0030215i,-0.00038188-0.00030311i,0.0011441+0.0011636i,0.00068415-0.00045316i,-0.00065511-0.00049258i,0.00058049+0.00050314i,0.00033464+0.010747i,-0.00099433+0.0026755i,-0.00013479+0.0015439i,-0.00089398+0.0033803i,-0.00097499-0.0024744i,-0.0004316-0.001432i,-0.00030855-0.0016269i,-0.00017845+0.0026358i,0.002652+0.00033435i,-0.0016775-0.011453i,-0.016443-0.00039766i,0.0014216+0.0024273i,-0.0025348-0.0066088i,0.035808-0.0092933i,0.01019-0.0042165i,-0.0057594-0.014201i,-0.031648-0.016485i,-0.015289-0.0061257i,0.0034532-0.03156i,0.017267+0.000157i,-0.0017905+0.0016195i,-0.00077657+0.0044972i,-0.0050883+0.0041396i,-0.0041287-0.0084731i,0.01323-0.0065444i,0.0095459+0.001398i,-0.014159+0.0024507i,-4.2137e-05-0.0042038i,-0.0044813+0.00082833i,-0.0065345-0.0031095i,-0.0010249-0.0072828i,0.006477+0.0013684i,-0.00088149-0.0077369i,-0.0044906-0.002687i,-0.0016222+0.00086893i,-0.0022439-0.00015749i,-0.008535+0.0034037i,-0.0014914+0.0042021i,-0.0016397-0.0012737i,0.024238+0.010226i,-0.007593+0.011956i,0.0015676+0.00035942i,-0.0035688+0.0015454i,0.00010144-0.001939i,-0.0010048+0.013082i,0.0020435+0.0027333i,-0.0020872+0.0023912i,-0.0016897+0.0027999i,-0.0022921+0.0046948i,-0.00046814+0.0041942i,-0.00029474+0.00057276i,0.0042219+0.0059982i,-0.0029846+0.00052376i,-0.0058512+0.0024811i,0.0016691-0.014754i,0.01836+0.0098943i,-0.022712+0.010899i,-0.015823-0.0053229i,0.014501+0.0053303i,0.011402+0.018899i,-0.010319-0.00053728i
-0.0011296-0.013264i,0.0026635-0.0082375i,0.0082152-0.0038775i,0.010254-0.010967i,0.014516-0.01395i,0.0034196-0.020365i,0.002978-0.011548i,0.0090241-0.0094057i,-0.0042598-0.0074583i,-0.00019644+0.001625i,-0.00088398+0.00050452i,0.001401+0.0024659i,0.0019949+0.0026274i,0.0008974+0.0024499i,0.0019806+0.0016618i,0.00092941+0.0015767i,-0.0010881-0.00069108i,-0.00047355-0.0028419i,-0.0015236-0.0007833i,-0.0017963-0.00148i,-0.0025761-0.0016699i,-0.0014178-0.00011304i,-0.0018739-5.5884e-05i,0.0033561-0.0031941i,0.0011262+0.0028658i,0.0016235+0.0024443i,0.00041332+0.0039108i,-0.00034335+0.0025822i,-0.00019032+0.0035472i,0.0013383+0.0028396i,-0.00029073-9.1002e-05i,0.0021467+0.0004764i,0.00047748-0.00030903i,-0.00031166+0.00019224i,0.0010264+0.001312i,0.0037373+0.010317i,0.00017205+0.0031095i,0.000223+0.001681i,0.0006379+0.0036576i,-0.0015516-0.0021359i,-0.00086162-0.0014604i,-0.00082277-0.0017266i,0.00043369+0.0028005i,0.0025889-0.0003686i,-0.0027914-0.012023i,-0.012121+0.00029643i,0.005908+0.0019052i,-0.0048131-0.007204i,0.031867-0.022794i,0.0096584-0.0087133i,-0.0081463-0.0092693i,-0.034067-0.0079182i,-0.014798+7.4673e-05i,-0.0051804-0.033726i,0.013723-0.0039405i,-0.0012715+0.0028243i,0.0021359+0.0050505i,-0.0039964+0.0056287i,-0.006938-0.0039321i,0.0092304-0.01141i,0.010296-0.00198i,-0.012385+0.0065229i,-0.001009-0.0028977i,-0.0029958+0.0016896i,-0.0050018-0.00061383i,-0.0037074-0.0060103i,0.0057045-0.0009191i,-0.0030324-0.0057364i,-0.0036064+0.00036757i,7.4295e-05+0.0016948i,-0.0021692+0.0004504i,-0.0056275+0.0061186i,0.0011841+0.0036065i,-0.0018931-5.8439e-06i,0.024482-0.00011494i,-0.00095392+0.015196i,0.0010754-0.00029648i,-0.0017742+0.0016322i,-0.0010438-0.0014528i,0.0033657+0.010853i,0.0026431+0.0015347i,-0.0003962+0.0042627i,0.00053991+0.0039656i,0.0015674+0.0049177i,0.0015101+0.0037613i,-0.001195+0.00080116i,0.0057211+0.0034456i,-0.0041608+0.00049311i,-0.0046278+0.0051363i,-0.00039767-0.01457i,0.019072-0.0055572i,-0.017449+0.010583i,-0.018949-0.0032006i,0.014227+0.0024711i,0.015805+0.013719i,-0.011293-0.00055607i
-0.0030727-0.012799i,0.0015559-0.0079556i,0.0075353-0.0053637i,0.0085726-0.0131i,0.012294-0.016562i,-0.00036648-0.020866i,0.0011563-0.01047i,0.0073014-0.010706i,-0.0046326-0.0067754i,0.00031328+0.0021443i,-0.00088735+0.0010702i,0.0022721+0.0019665i,0.0023653+0.0025244i,0.0013267+0.002453i,0.0024968+0.0010163i,0.0017304+0.0031771i,-0.00066387-0.0001488i,-0.0016249-0.0028581i,-0.0020404-0.00056332i,-0.0024801-0.00081288i,-0.0028405-0.00088128i,-0.0012637-3.859e-05i,-0.0019834+0.00056968i,0.0016189-0.004008i,0.002253+0.0023278i,0.0025631+0.0017775i,0.0020028+0.003508i,0.00058867+0.0028264i,0.0012023+0.0034497i,0.0024015+0.0020846i,-0.00017407-6.6559e-06i,-0.0038522+0.001382i,-8.2216e-06+0.00015101i,2.9046e-05+0.00041068i,0.0029468+0.0020211i,0.0067081+0.0090271i,0.0015391+0.002944i,0.00089138+0.0017865i,0.0020521+0.003165i,-0.0019623-0.0015664i,-0.0014712-0.0013405i,-0.0014709-0.0016688i,0.001027+0.00284i,0.0024561-0.000781i,-0.0040661-0.012482i,-0.0088196-0.00081316i,0.0093111-0.0014588i,-0.0063446-0.006532i,0.024513-0.033348i,0.0073562-0.01175i,-0.0076218-0.0048645i,-0.032077+0.0012877i,-0.010082+0.0063754i,-0.013236-0.031907i,0.010333-0.0057053i,-0.00021433+0.0033336i,0.0039393+0.0036966i,-0.0026135+0.0071919i,-0.0075018-0.00032736i,0.0027863-0.014435i,0.0086724-0.0062057i,-0.010359+0.0090444i,-0.00084636-0.0019843i,-0.0018838+0.0015972i,-0.0037608-8.914e-06i,-0.0049032-0.0032819i,0.0041834-0.0019438i,-0.0045347-0.0033183i,-0.0014349+0.0017448i,0.0019097+0.00086915i,-0.0018495+0.0011246i,-0.0028899+0.0066264i,0.0017277+0.0017018i,-0.00085515+0.0011768i,0.019259-0.0085743i,0.0077889+0.012039i,0.00079948+5.5119e-05i,-0.00091342+0.001503i,-0.0014531-0.00025455i,0.0064478+0.008072i,0.0034076+0.00060717i,0.0024654+0.0042123i,0.0025327+0.0027419i,0.0038745+0.0033559i,0.0020215+0.0029906i,-0.0014255+0.0022464i,0.0056163+0.0019483i,-0.0053828+0.0014673i,-0.0022848+0.0062509i,-0.0018754-0.015079i,0.010609-0.01612i,-0.015138+0.0066063i,-0.022306+0.00097439i,0.012505-0.0023316i,0.016848+0.0087383i,-0.012435+0.00076662i
-0.0049565-0.0118i,0.00016975-0.0080234i,0.0063764-0.0076108i,0.0059339-0.015292i,0.0094367-0.018971i,-0.0045959-0.020423i,0.00020013-0.0096854i,0.0055351-0.012077i,-0.0049165-0.0062222i,0.00047348+0.002629i,-0.00072529+0.0014631i,0.0025759+0.00082532i,0.0028631+0.0022035i,0.0017865+0.0023097i,0.0026585+0.00041418i,0.0036699+0.0048345i,-0.00043367+6.3697e-05i,-0.0027474-0.0025451i,-0.0022905+7.1884e-05i,-0.0029894+0.00015229i,-0.0028133-0.00028522i,-0.0012617-0.00012192i,-0.0019474+0.0011838i,-0.00032467-0.0040413i,0.0030458+0.0011183i,0.0030593+0.00073869i,0.0030736+0.0026619i,0.0017204+0.0025996i,0.0025999+0.0027254i,0.003029+0.00091277i,1.9419e-06-2.3823e-05i,0.00089932+0.0021467i,-7.0577e-05+0.00039925i,0.00046667+0.00044747i,-0.0022124-0.028069i,0.0088652+0.0065166i,0.0026061+0.0020946i,0.0015845+0.0014402i,0.0033401+0.0020967i,-0.0021171-0.00096824i,-0.0019803-0.00087774i,-0.0020344-0.0010822i,0.0019373+0.0027711i,0.0021022-0.001045i,-0.0059008-0.012629i,-0.0068736-0.0029332i,0.010453-0.0052911i,-0.0063564-0.0047427i,0.014474-0.040463i,0.0045797-0.013408i,-0.005792-0.0028378i,-0.026856+0.0077859i,-0.002296+0.0086954i,-0.019884-0.027103i,0.0069779-0.0062753i,0.00067853+0.0031928i,0.0041906+0.0017022i,-0.00034076+0.0078985i,-0.0073983+0.002988i,-0.0050912-0.012825i,0.005388-0.008452i,-0.0077304+0.011708i,-0.00024502-0.0024216i,-0.0014286+0.0012901i,-0.0036593+3.5095e-05i,-0.0045069-0.0010476i,0.0033163-0.0019818i,-0.0058192-0.001916i,7.5472e-05+0.0014725i,0.0025582-0.0011932i,-0.0014514+0.0018026i,0.00028582+0.0061216i,0.00084474+0.0004231i,0.00010083+0.00080532i,0.012085-0.01282i,0.0092417+0.0068445i,0.0013988-0.00029108i,0.00022491+0.00069004i,-0.00069804+0.00029041i,0.0079101+0.0048876i,0.004239-0.0014969i,0.0045224+0.0028525i,0.0033039+0.0012912i,0.0042616+0.0011202i,0.0033088+0.0024286i,-0.00041205+0.0036467i,0.0064166+0.00024489i,-0.0058732+0.0034074i,-0.0003967+0.0060324i,-0.0030725-0.015321i,2.7798e-05-0.021378i,-0.018006+0.0034495i,-0.022502+0.0067133i,0.0068801-0.0050647i,0.017403+0.0035036i,-0.012072+0.0018095i
-0.0061214-0.010554i,-0.00045507-0.0072975i,0.0041716-0.0090476i,0.0023447-0.0166i,0.0059233-0.020834i,-0.0082621-0.018761i,-0.0001788-0.0092375i,0.003465-0.013164i,-0.0051817-0.0060507i,0.0013699+0.0034956i,-0.00045517+0.0020957i,0.0023651+0.0001384i,0.003432+0.0017492i,0.002398+0.0020812i,0.0026553-0.00027119i,0.0047951+0.0037095i,-0.00048325+0.0002938i,-0.0038442-0.0014377i,-0.0021706+0.00066103i,-0.0028773+0.0014122i,-0.0030218+0.00021104i,-0.0017855-0.00015956i,-0.0016695+0.0018174i,-0.0021031-0.0032122i,0.0030148-0.00014817i,0.0030822-0.00042905i,0.0041194+0.0013097i,0.0026583+0.0018773i,0.0034365+0.0013444i,0.0030779-0.0003125i,9.3568e-05-0.00017064i,0.0018147+0.00096681i,0.00028451+0.00060219i,0.00081836+1.1536e-05i,-0.0020164-0.0016073i,0.0099493+0.0032199i,0.0032033+0.00092052i,0.0021012+0.00086381i,0.0039664+0.00043815i,-0.0021269-0.00032717i,-0.0022824-0.00015862i,-0.0022038-0.000467i,0.0027651+0.0022175i,0.0017653-0.0013367i,-0.0077408-0.012355i,-0.0062079-0.0059825i,0.010352-0.0090884i,-0.0047277-0.004062i,0.0035198-0.042728i,0.0013413-0.013906i,-0.0043865-0.0018267i,-0.022275+0.009817i,0.0057824+0.0064948i,-0.022672-0.019771i,0.0052577-0.0062108i,0.00152+0.0025356i,0.0037181+0.0005263i,0.0023387+0.0074859i,-0.0056715+0.0063522i,-0.010276-0.0074824i,0.0015786-0.0087889i,-0.0043388+0.013165i,-0.0013278-0.0034801i,-0.001337+0.0013413i,-0.0038839+0.00073692i,-0.003282+0.00026793i,0.0024471-0.002307i,-0.0074481-0.001047i,0.00086217+0.00067418i,0.00080114-0.0029363i,-0.00037699+0.0022643i,0.0026054+0.0047028i,0.00032202-0.00040392i,0.00042778+0.00034766i,0.0053648-0.013762i,0.010323+0.0035479i,0.00077552-0.0026925i,0.0003466-0.00017398i,0.00018166+0.0002547i,0.0079658+0.0021714i,0.0032674-0.0043196i,0.0059208+0.00067542i,0.0038361+6.4631e-05i,0.0044594-0.00071258i,0.0042664+0.00099687i,0.0013256+0.0039125i,0.0052019-0.0018938i,-0.0052827+0.0055826i,0.001406+0.0050118i,-0.0036284-0.015224i,-0.012019-0.021869i,-0.021838+0.0040289i,-0.019817+0.012037i,0.0024684-0.0031935i,0.014526-0.0027326i,-0.011709+0.0018652i
-0.0068752-0.0099134i,-0.00043282-0.0075533i,0.0022226-0.0094052i,-0.0012988-0.01645i,0.0022379-0.021885i,-0.011196-0.016674i,-0.00024906-0.0097002i,0.0012111-0.013915i,-0.0056727-0.0058941i,0.0028825+0.0033925i,0.00036002+0.0027501i,0.0021228-0.00010199i,0.0039484+0.00086i,0.0029602+0.0015665i,0.0024778-0.00090863i,0.0053127+0.0028959i,-0.00030724+0.00059589i,-0.0041016+4.5723e-05i,-0.002023+0.0010664i,-0.0022309+0.0023219i,-0.0030516+0.0011143i,-0.002246+0.00051191i,-0.0011658+0.0023424i,-0.0035141-0.0016548i,0.0025618-0.0010449i,0.0026893-0.0014528i,0.0043098-0.0005053i,0.0032873+0.00081618i,0.0034093+1.2477e-05i,0.0027522-0.0014044i,0.00011935-0.00023727i,0.0017018-1.8014e-05i,0.00082736+0.00046977i,0.00068464-0.0004066i,-0.0011431-0.0002675i,0.0094929+8.5246e-05i,0.0031919-0.00036247i,0.0024688+9.7405e-05i,0.0036946-0.0012415i,-0.0018206+0.00036152i,-0.0022163+0.00063576i,-0.0023353+4.12e-05i,0.0033239+0.0013237i,0.0013448-0.0014788i,-0.0095251-0.011706i,-0.0084157-0.0088162i,0.0086857-0.01241i,-0.0038237-0.0049086i,-0.0057329-0.041824i,-0.00056956-0.012308i,-0.0027663-0.0010601i,-0.018345+0.011273i,0.010556+0.0012488i,-0.021204-0.013953i,0.0036433-0.0070119i,0.0021043+0.001436i,0.0038811-0.00068075i,0.0046652+0.0055822i,-0.0023296+0.007488i,-0.011944-0.0017634i,-0.0015324-0.0076224i,-0.0003875+0.013017i,-0.0033717-0.0030351i,-0.0017428+0.0018578i,-0.0036248+0.0018439i,-0.0024409+0.00089426i,0.0018057-0.001387i,-0.0097617+0.0015111i,0.00067341-9.4313e-05i,-0.0010972-0.0023429i,0.00071148+0.0020884i,0.0037217+0.0025373i,0.0015714-0.0010794i,0.00064327+0.00036053i,0.00015264-0.012598i,0.010779-0.0007573i,0.00054165+0.0012088i,-2.9442e-05+0.0002261i,0.00098111-0.0002461i,0.0078519-2.9179e-05i,0.00049284-0.0059481i,0.0060861-0.002139i,0.0036182-0.0021349i,0.003912-0.003166i,0.0046737-0.00037015i,0.0025198+0.0030274i,0.0034609-0.0025695i,-0.0043553+0.0073588i,0.0021619+0.0032043i,-0.00413-0.016067i,-0.023047-0.016391i,-0.024811+0.0067479i,-0.015104+0.014348i,0.0015774-0.0012334i,0.0072477-0.0039953i,-0.013067+0.0022535i
-0.0082565-0.0091305i,-0.00091132-0.0086237i,0.00082948-0.0094803i,-0.0044418-0.015349i,-0.0016986-0.02247i,-0.013868-0.014078i,-0.00083996-0.011274i,-0.0012938-0.014329i,-0.0064238-0.005657i,0.0039707+0.002684i,0.0016498+0.0028606i,0.0020072-0.00022058i,0.0040615-0.00028729i,0.0035243+0.00088948i,0.0021378-0.0014921i,0.0061102+0.0014887i,-8.5713e-06+0.00077296i,-0.0039178+0.0012161i,-0.0017023+0.0016775i,-0.0013733+0.0028957i,-0.0027426+0.0021692i,-0.0021417+0.0014758i,-0.00056465+0.0025905i,-0.0038833+0.00036718i,0.0020077-0.0016869i,0.0019898-0.0022191i,0.0036692-0.0021589i,0.0033698-0.00051281i,0.0030686-0.0011408i,0.0020012-0.0023506i,0.00017557-0.00036984i,0.0013777-0.00040686i,0.001148-5.2554e-05i,0.00051046-0.00053721i,-0.00034113-0.00011716i,0.0082905-0.0024672i,0.0028752-0.0014396i,0.0025784-0.00087632i,0.0026355-0.0025669i,-0.0013155+0.00089298i,-0.001911+0.0013912i,-0.0023759+0.00071912i,0.0035425+0.00029871i,0.0010507-0.0011913i,-0.011415-0.010794i,-0.012193-0.008713i,0.0061269-0.014842i,-0.0037763-0.0050226i,-0.014285-0.039943i,-0.00096927-0.010977i,-0.00097996-0.001348i,-0.013593+0.011793i,0.013378-0.005154i,-0.018755-0.010729i,0.0014736-0.0082229i,0.001569-0.00048629i,0.0034664-0.0024751i,0.0051029+0.0028155i,-0.00033953+0.0069073i,-0.011373+0.003999i,-0.0039815-0.0057948i,0.0024343+0.011043i,-0.0049786-0.0011539i,-0.0015433+0.0030696i,-0.0030482+0.0028667i,-0.0012489+0.0012081i,0.002592+0.00012488i,-0.0038621+0.0045642i,0.00063236+0.00019355i,-0.0017335-0.001454i,0.001582+0.0014767i,0.0037495+0.00074629i,0.0006405-0.0027632i,0.0010069+4.2037e-05i,-0.0039012-0.010773i,0.0086244-0.0049445i,-7.1634e-05-0.0017681i,0.00072297-7.5221e-05i,0.0010367-0.001282i,0.007374-0.0022957i,-0.002166-0.0052245i,0.0045931-0.0050369i,0.0021937-0.0032997i,0.0014394-0.0046321i,0.0045222-0.002131i,0.0033016+0.0022519i,0.0027313-0.0024814i,-0.0017154+0.008787i,0.0015028+0.0015878i,-0.0050829-0.017645i,-0.027573-0.0065943i,-0.026996+0.011342i,-0.010998+0.015068i,0.00055419+2.9815e-05i,0.0082063+0.013613i,-0.013776+0.0040194i
