-0.023867-0.03756i,-0.012097-0.049818i,-0.018079-0.044597i,-0.030667-0.035471i,-0.030002-0.01565i,-0.050221-0.02723i,-0.057755-0.025588i,-0.044016-0.03613i,-0.033546-0.030834i,0.0079994+0.012628i,-0.0050958+0.01505i,-0.0044511+0.014228i,0.0092678+0.021131i,0.00055633+0.0041375i,0.0033687+0.003532i,0.0072647+0.018017i,0.022593+0.044008i,-0.0025768-0.0010266i,-0.0046337-0.0061309i,0.0083597+0.003036i,-0.00031394-0.00072983i,-0.0010126+0.0015053i,0.00014613-0.00033116i,-0.029722-0.0019622i,-0.0014732-0.0059091i,0.0016642+0.0045635i,0.0032289-9.5062e-06i,-0.0003352+0.00090232i,0.00076737-0.00025939i,-0.00074239-0.0027557i,-0.0017224-0.0058975i,-0.0046036-0.0045314i,-0.0021-0.0044103i,0.0025528-0.00031695i,0.0020421-0.0027464i,-0.0011525+0.026161i,0.0014546-0.0032711i,0.002586+0.00070841i,0.0058953+0.0013574i,-0.011171-0.0036399i,-0.0034149+0.00037069i,0.0060053+0.0015876i,0.0056887-0.00078138i,-0.0033353+0.0048782i,0.0021578-0.0082425i,-0.011848+0.018166i,0.035869-0.090277i,0.012142-0.06997i,-0.01575-0.059598i,-0.016697-0.055402i,0.040499-0.04518i,0.016862-0.062801i,0.035124-0.05501i,0.029234-0.059433i,0.016103-0.013539i,0.0046798+0.016577i,0.01663-0.026478i,-0.012063+0.0056144i,-3.6046e-05+0.005297i,-0.0049458-0.0020199i,-0.0021996-0.029088i,-0.023642+0.031586i,0.010218-0.011662i,-0.012985-0.0024047i,5.6881e-05-0.0049634i,-0.0012889-0.016266i,-0.0075108+0.0046179i,0.0049876+0.0069125i,-0.0096082+0.031405i,0.0050992+0.0061183i,-0.0053679-0.00073298i,-0.0029821-0.00066202i,-0.012362-0.0086511i,-0.00069064-0.0043573i,-0.024971+0.022417i,0.00056526-0.010211i,-0.0095777-0.001947i,-0.0066114-0.0028798i,0.00717+0.00281i,-0.0077985+0.0017494i,-0.00018932+0.00029178i,0.0061948+0.011705i,0.0038123+0.0014312i,-0.0091386-0.010511i,0.0032047+0.008224i,-0.02223+0.0061325i,0.0082767+0.0005385i,-0.028628-0.0038905i,-0.041697+0.003475i,0.0184-0.09979i,-0.0012278-0.012327i,-0.052896-0.022059i,-0.023029-0.0013462i,0.017637+0.010953i,-0.024504+0.013494i,-0.019562-0.012141i
0.0082359+0.021336i,0.015115+0.050807i,0.024483+0.034657i,0.017167+0.026942i,0.024392+0.026496i,0.031978-0.014517i,0.017517-0.0088809i,0.029376+0.0060687i,0.01175+0.013222i,0.0028363+0.0039033i,0.0051103+0.0028123i,0.0043198+0.0033136i,0.0057008+0.0026875i,0.0050591+0.0035008i,0.0029575-0.0033138i,0.0078348-0.0011501i,0.0098813-0.0034454i,-0.0015047-0.001398i,-0.0029198+0.00055621i,5.6735e-05+0.0012846i,-0.0010914-0.0001793i,-0.0027554+0.0010662i,-0.0019676+0.0010016i,0.0046466+0.0078313i,0.0016273+0.00095867i,0.0023314+0.00056052i,0.0020138+0.0011498i,0.0012504+0.0013566i,0.00055791+1.8647e-05i,-0.00044845+0.0008221i,-0.0020858-0.0031081i,-0.00085978-0.00045618i,-0.00099243+0.0008708i,-0.0010932+0.00011403i,-0.00084996-0.0014419i,-0.006547+0.0078696i,0.0012085+0.0002472i,0.0014432-0.00053821i,-0.00091455+0.0023245i,-0.00028479-0.0031012i,-0.0012845+0.00037336i,-0.0020173-0.00050069i,0.0019087+0.00079457i,0.0069493+0.0046328i,-0.012519+0.033319i,-0.081138+0.034562i,-0.051103+0.037716i,-0.037226+0.059317i,-0.018603+0.072529i,-0.0089094+0.051329i,0.010746+0.036178i,0.0029562-0.0018812i,-0.035392+0.010347i,-0.04414+0.018739i,0.0023283+0.024312i,-0.0077165+0.0025404i,-0.01058-0.00064631i,-0.013365-0.0023725i,0.0024999+0.00054134i,0.0072555+0.010024i,-0.0019419+0.008575i,-0.0057981-0.010859i,0.0052971-0.0069131i,-0.0065468-0.0067683i,0.0019546-0.0061362i,0.0035841-0.0044004i,-0.0017005+0.0097256i,0.0098082-0.0047229i,0.0053651-0.0055785i,0.0027237-0.0067064i,0.0030562-0.00032589i,-0.0012619-0.0045801i,-0.0039379-0.00072097i,0.0026341-0.0002761i,-0.0072809+0.021293i,-0.0040839-0.0041756i,0.0021255+0.00022929i,0.00038049-0.0070899i,0.002326-0.0017095i,-0.014646-0.0020078i,0.0006305+0.00015993i,0.0055992-0.0029655i,0.0025848-0.00058437i,0.00036441-0.0044614i,-0.00013573+0.0055329i,-0.0011236+0.0064139i,-0.0030794+0.004519i,-0.012207+0.002977i,-0.015-0.0017245i,-0.039975+0.056212i,0.00021167+0.0050916i,-0.024874-0.016677i,-0.00762-0.006036i,0.009352+0.020439i,-0.001328+0.022656i,-0.00098906-0.00069349i
0.010887+0.017689i,0.023105+0.046073i,0.030092+0.030111i,0.021904+0.024636i,0.030096+0.022492i,0.028751-0.020141i,0.014775-0.012225i,0.030144+0.00055447i,0.013714+0.010503i,0.0039739+0.0027319i,0.0057238+0.0014255i,0.0041868+0.0030608i,0.0058261+0.0017026i,0.0056401+0.002157i,0.0018867-0.0037519i,0.0066297-0.0027499i,0.0082892-0.0058991i,-0.0012773-0.0011444i,-0.0024543+0.0006026i,0.00062137+0.00054463i,-0.0013226-0.00019104i,-0.0024896+0.0016903i,-0.0015917+0.0011053i,0.0082789+0.0051536i,0.001438+0.00095582i,0.0027026-0.00045501i,0.0020921+0.00011764i,0.0017589+0.00050913i,0.00023454+4.3311e-05i,-0.00029581+0.00094254i,-0.0030957-0.0018593i,-0.0012687-0.00048103i,-0.00077691+0.0011117i,-0.00088156+0.0004747i,-0.0012876-0.00031707i,-0.0035334+0.0092543i,0.00097914-0.00018844i,0.0010646-0.00083727i,0.00023261+0.002341i,-0.0011278-0.00277i,-0.0011365+0.00048119i,-0.0023287+0.00025043i,0.0017483+0.00068041i,0.0073052+0.0034069i,-0.0061005+0.034731i,-0.069345+0.048595i,-0.04719+0.046524i,-0.027275+0.063253i,-0.0025372+0.069807i,0.0020517+0.049449i,0.011429+0.031711i,-0.002594-0.0061602i,-0.035966+0.011682i,-0.03568+0.020144i,0.0079621+0.021954i,-0.0080352+0.0047125i,-0.0098846+0.0050271i,-0.012758+0.0021113i,0.0013581-0.00079853i,0.0088379+0.0089299i,0.0025493+0.011463i,-0.011157-0.0095359i,0.00075199-0.007352i,-0.0060746-0.0028464i,-0.0011765-0.005836i,0.001204-0.0055364i,0.0025852+0.0074407i,0.0060379-0.0073322i,0.0013136-0.0055409i,-8.8415e-05-0.0041939i,0.0038988-0.0014622i,-0.0023035-0.0040683i,-0.0016016+0.0017709i,0.00306-0.00060959i,0.00050991+0.025779i,-0.0053037-0.0031726i,0.0027717-0.0017131i,-0.0031804-0.0061376i,0.0025173-0.0024169i,-0.013011+0.0037113i,0.00096472+0.00051814i,0.0036651-0.0029594i,0.0030615-0.0018707i,-0.00087437-0.0039649i,0.0016311+0.0025857i,0.0020715+0.0056573i,-0.00033451+0.0056699i,-0.010645+0.0066393i,-0.016045+0.0015678i,-0.029105+0.057753i,0.00067863+0.0059297i,-0.028768-0.011297i,-0.0096941-0.0094829i,0.012429+0.018909i,0.0029125+0.024096i,-0.0033292-0.0015i
0.012243+0.014707i,0.029279+0.039593i,0.035613+0.023292i,0.027473+0.020035i,0.035659+0.016893i,0.02422-0.025522i,0.011335-0.015202i,0.029877-0.005621i,0.015468+0.00787i,0.0039958+0.0013477i,0.0055176-0.00040193i,0.0050064+0.002924i,0.0058182+0.00010156i,0.0059667+0.00044504i,0.00072388-0.003888i,0.0051612-0.0037868i,0.0051174-0.0082613i,-0.0017121-0.0011758i,-0.00217+0.0012771i,0.00048703-0.00049652i,-0.0018439-0.00016222i,-0.0017866+0.0023996i,-0.0014591+0.0012047i,0.0090564+0.00071354i,0.0020107+0.00048237i,0.0019987-0.00162i,0.0016242-0.0006426i,0.001577-0.00026466i,0.0002212+0.00019608i,-0.00018191+0.0011138i,-0.0036441-0.00024375i,-0.001846+0.00031593i,-0.00014772+0.0014713i,-0.00050957+0.00079927i,-0.00093295+0.0005239i,-0.00060804+0.0096445i,0.00070431-0.0003394i,0.00067497-0.0012003i,0.00099247+0.0015883i,-0.0021574-0.0022775i,-0.00096309+0.00062248i,-0.0019034+0.0010137i,0.0018062+0.0010006i,0.0079945+0.0022877i,0.0014802+0.034291i,-0.056571+0.05899i,-0.039155+0.054767i,-0.015818+0.064151i,0.011899+0.06288i,0.011941+0.047386i,0.010322+0.027891i,-0.0080038-0.0068144i,-0.036451+0.015868i,-0.029345+0.018867i,0.012538+0.017223i,-0.0076339+0.0068263i,-0.0074123+0.0079334i,-0.012035+0.0051219i,-0.0005474-0.0025384i,0.010921+0.0067304i,0.0073944+0.010652i,-0.015448-0.0057026i,-0.0011248-0.0050854i,-0.0052116-2.5988e-05i,-0.0031152-0.0040322i,-0.0012184-0.0046685i,0.0047876+0.0064882i,0.0032782-0.0076242i,-0.0012175-0.0053755i,0.00012292-0.001987i,0.003461-0.0039948i,-0.0040157-0.0028563i,-3.1477e-05+0.0010963i,0.0023735-0.0016307i,0.015374+0.020413i,-0.0067512-0.0011689i,0.0025079-0.002935i,-0.0033289-0.0038238i,0.0027695-0.0037821i,-0.0092708+0.0080061i,0.0021376+0.00046524i,0.0024226-0.003725i,0.0020093-0.002405i,-0.0013929-0.0026836i,0.00078521+0.0017719i,0.0039756+0.0037074i,0.0022637+0.0053803i,-0.0084009+0.0088434i,-0.016078+0.0059965i,-0.020344+0.057185i,0.0045741+0.0059044i,-0.030483-0.0056963i,-0.01344-0.010697i,0.016886+0.015443i,0.0088275+0.024827i,-0.0051989-0.00078707i
0.013113+0.01233i,0.032677+0.033368i,0.038088+0.015401i,0.031205+0.012793i,0.039523+0.0089158i,0.018159-0.029331i,0.0071425-0.016855i,0.027742-0.01161i,0.016817+0.004644i,0.0035356+0.00062747i,0.0046721-0.0012543i,0.0058815+0.0019443i,0.00507-0.0008886i,0.0055006-0.0011581i,-0.00052155-0.0037267i,0.0036478-0.0041003i,0.0018185-0.0081642i,-0.001787-0.00050651i,-0.0014215+0.0019215i,-0.0004009-0.00088614i,-0.0021595+0.00065545i,-0.0011028+0.0029305i,-0.0013238+0.0015449i,0.0075972-0.0027699i,0.0019168-0.00034097i,0.00095381-0.0017808i,0.0010347-0.00094136i,0.00098667-0.00096831i,0.00032402+6.6312e-05i,0.00019504+0.0014003i,-0.0033593+0.0016012i,-0.0013931+0.0012864i,0.00043872+0.0011961i,-0.00019927+0.00097636i,-0.00041259+0.00098511i,0.001997+0.008995i,0.00053939-0.00055964i,8.584e-05-0.0014415i,0.0011259+0.0012451i,-0.0027713-0.001277i,-0.0007883+0.00080562i,-0.0015114+0.0013384i,0.0024077+0.001096i,0.0085761+0.00081222i,0.0081547+0.030864i,-0.041573+0.066539i,-0.029946+0.060835i,-0.0071606+0.063212i,0.024178+0.052018i,0.021611+0.041371i,0.009041+0.026195i,-0.01435-0.0049718i,-0.035921+0.022135i,-0.025497+0.016595i,0.015364+0.011307i,-0.0059383+0.0097953i,-0.0044854+0.011128i,-0.011133+0.0076368i,-0.0042637-0.0015337i,0.012764+0.003147i,0.01171+0.0075281i,-0.018273-0.00038042i,-0.0019705-0.0040314i,-0.0033326+0.0013338i,-0.0038002-0.0015304i,-0.0026303-0.0034878i,0.0067439+0.003388i,0.00093933-0.0075432i,-0.0046697-0.0014242i,0.0010936-0.0010765i,0.0013997-0.0058027i,-0.0045573-0.00074269i,0.0010815+0.0010754i,0.0020634-0.002138i,0.020486+0.0089133i,-0.0068316+0.0020284i,0.0019887-0.0042799i,-0.0034966-0.0022811i,0.0011754-0.0058746i,-0.0042843+0.0093589i,0.0033408-0.00071099i,0.0010055-0.0028088i,0.0013334-0.0025318i,-0.0016713-0.0027446i,0.00049401+0.0017859i,0.0038669+0.0013214i,0.0044593+0.0039709i,-0.0057547+0.0099956i,-0.014539+0.010644i,-0.012893+0.05786i,0.011056+0.0014277i,-0.029561-0.00013521i,-0.018924-0.010182i,0.017887+0.010442i,0.015703+0.022859i,-0.0051122-0.00029095i
0.014444+0.0104i,0.035877+0.028306i,0.039066+0.0084591i,0.032551+0.0054605i,0.040898+0.00028884i,0.012218-0.031487i,0.0031329-0.016856i,0.024453-0.016349i,0.0175+0.0011243i,0.0032739+0.00016955i,0.0039828-0.0015959i,0.006532+0.0004988i,0.004546-0.0011799i,0.0045872-0.0023383i,-0.0015915-0.0028733i,0.0024078-0.0039058i,-0.00035167-0.0070712i,-0.0019541+9.6241e-06i,-0.00075269+0.0018867i,-0.0011432-0.0006992i,-0.0019077+0.0013966i,0.00012267+0.0032149i,-0.00094243+0.0019561i,0.0051844-0.0049911i,0.0014409-0.00075741i,0.00031865-0.0017178i,0.00063058-0.0010586i,0.00033488-0.00084423i,0.00014465-4.0307e-05i,0.00093828+0.001386i,-0.0020853+0.0027762i,-0.00054478+0.0017993i,0.00077049+0.00081161i,0.00018453+0.0012506i,0.00033323+0.0010351i,0.0044689+0.0071426i,0.00021876-0.00057766i,-0.00052668-0.0012047i,0.0016973+0.00085111i,-0.0028185-0.00025879i,-0.00050681+0.00081446i,-0.0011007+0.0016839i,0.0028916+0.00073467i,0.0085221-0.0016056i,0.012456+0.026557i,-0.025543+0.069391i,-0.018142+0.065379i,0.0020856+0.062897i,0.030105+0.038866i,0.02784+0.033747i,0.0095499+0.027783i,-0.018073+0.0016942i,-0.033649+0.030593i,-0.024707+0.014825i,0.014312+0.005801i,-0.0024522+0.011741i,0.00085386+0.011629i,-0.0087988+0.010009i,-0.0055404+0.0017269i,0.012377-0.0024536i,0.014517+0.0029784i,-0.018504+0.00558i,-0.0022049-0.0021105i,-0.0022647+0.0017157i,-0.0026149+0.00020275i,-0.0038927-0.0013023i,0.0066724+0.00064479i,-0.00095102-0.0067565i,-0.0031627+0.0025807i,0.0024192-0.0016286i,-0.0011235-0.0060181i,-0.0034529+0.0012224i,0.0022625+6.2903e-05i,0.0016397-0.0023307i,0.021006-0.00016355i,-0.0045132+0.0045414i,0.00042691-0.0055633i,-0.002784-0.0015268i,-0.0010708-0.0062207i,-0.00043306+0.0083857i,0.0033312-0.0026285i,0.00092762-0.0015426i,0.0014323-0.0026582i,-0.0010991-0.0016578i,0.0011334+0.0022292i,0.0024289+4.0131e-05i,0.005293+0.0014719i,-0.0034371+0.0097372i,-0.010747+0.015367i,-0.0044537+0.057693i,0.012922-0.0091919i,-0.026041+0.0020943i,-0.023873-0.0066245i,0.018401+0.0059781i,0.021056+0.016344i,-0.0059342-0.00084198i
0.015824+0.0077839i,0.03932+0.022845i,0.039727+0.0014896i,0.032426-0.0020734i,0.04073-0.0081528i,0.0060428-0.032802i,0.00024397-0.016139i,0.020841-0.020278i,0.017641-0.0028122i,0.0026963-0.00019362i,0.0038817-0.0019041i,0.0066465-0.0010074i,0.0048398-0.0016768i,0.003568-0.0030692i,-0.0020664-0.0019717i,0.0017496-0.0034427i,-0.0016538-0.0062429i,-0.0016159+0.0004474i,-0.00030461+0.0018696i,-0.0015692-0.00013265i,-0.0012931+0.0018286i,0.0015096+0.0027744i,-0.00030311+0.0021961i,0.0021841-0.0058045i,0.0011909-0.0009696i,-0.00021287-0.0015981i,0.00019442-0.0012274i,0.00058453-0.0012933i,1.6189e-05+5.6454e-05i,0.0014075+0.0007861i,-0.00069445+0.0031944i,0.00021599+0.0018212i,0.00087654+0.00043456i,0.00076946+0.0010469i,0.00074851+0.00039864i,0.0054398+0.0043873i,2.7489e-05-0.00050116i,-0.00078812-0.00095138i,0.0014875+1.6143e-05i,-0.0023606+0.00056201i,-0.00041625+0.00075098i,-0.00047363+0.0017706i,0.0032558+0.00026264i,0.0078655-0.0034881i,0.015581+0.02208i,-0.011065+0.067797i,-0.0045686+0.065846i,0.011963+0.060857i,0.032129+0.027046i,0.03156+0.025771i,0.012707+0.029904i,-0.017159+0.0099524i,-0.02601+0.04085i,-0.025357+0.015522i,0.012254+0.002608i,0.0015826+0.011642i,0.0045371+0.0098647i,-0.0058285+0.012341i,-0.0047009+0.0040197i,0.0091999-0.0079633i,0.014234-0.0031014i,-0.016719+0.01033i,-0.001352-0.0011608i,-0.0010678+0.0014208i,-0.0016345+0.00043737i,-0.0031372+0.0015391i,0.005299-0.00093333i,-0.0021134-0.0050033i,-7.2118e-05+0.0041748i,0.0024652-0.0032139i,-0.0034478-0.0047161i,-0.0024858+0.0018832i,0.0024117-0.00122i,0.0016326-0.0026369i,0.017449-0.0078355i,-0.0018893+0.0053944i,-0.0018992-0.0053896i,-0.0026916-0.0013945i,-0.0032605-0.0054555i,0.0020143+0.006737i,0.0024276-0.0039116i,0.0024003-0.0015103i,0.0005773-0.0035685i,-0.00028789-0.0023472i,0.0018366+0.0023892i,0.0011699+0.00051207i,0.0047533-0.00034438i,-0.0020624+0.0092303i,-0.0049509+0.017203i,0.0040574+0.055938i,0.0071437-0.018716i,-0.024175+0.00079362i,-0.027935-0.00039771i,0.016683-7.1185e-05i,0.022485+0.0095385i,-0.0071238-4.4282e-05i
0.017023+0.0049237i,0.041931+0.016354i,0.038479-0.0065109i,0.029935-0.0098688i,0.03887-0.017051i,-0.00047452-0.032647i,-0.0019319-0.015295i,0.016616-0.02376i,0.016551-0.0066946i,0.0022766+0.00014909i,0.0033434-0.0024089i,0.0063181-0.0030246i,0.0046706-0.0029211i,0.0023646-0.0035357i,-0.0023416-0.0010524i,0.0013271-0.0030648i,-0.0030387-0.0054564i,-0.0016682+0.00087723i,0.00032228+0.0016568i,-0.0019369+0.00060231i,-0.00086454+0.0019403i,0.0024149+0.0016917i,0.00026885+0.002238i,-0.00085136-0.0052563i,0.00077019-0.001755i,-0.00080959-0.001136i,-0.00034341-0.0011806i,-0.00031439-0.00075531i,0.00018261+0.00016676i,0.0013534+6.9253e-05i,0.00093758+0.0029863i,0.00082121+0.0016229i,0.0008261+0.00017565i,0.0012716+0.00086078i,0.00044642-0.00017632i,0.0056879+0.0026109i,-0.00017758-0.00034478i,-0.0011607-0.00077813i,0.0012725-0.00028114i,-0.0017717+0.00085855i,-0.00027578+0.00086895i,4.5302e-05+0.0016036i,0.0035146-0.00068883i,0.0062948-0.0055852i,0.017518+0.017809i,0.0013799+0.064092i,0.0075698+0.061923i,0.021432+0.057106i,0.030622+0.016774i,0.033175+0.018951i,0.018491+0.029924i,-0.010672+0.015975i,-0.012967+0.046347i,-0.025745+0.018979i,0.010402+0.00094052i,0.0047007+0.0097872i,0.0068769+0.0068787i,-0.0019338+0.012999i,-0.0039503+0.0055841i,0.0026009-0.010102i,0.010776-0.0078425i,-0.013776+0.015i,-0.00038815-0.0016988i,-0.00073293+0.00072945i,-0.0013238+0.00024248i,-0.00077189+0.0029526i,0.004172-0.00096546i,-0.0025216-0.0040264i,0.0028001+0.0037464i,0.0011672-0.0049895i,-0.0046458-0.0026302i,-0.0013925+0.0023475i,0.0016247-0.0025585i,0.0011808-0.0036943i,0.011547-0.012548i,0.00046723+0.0051556i,-0.0032881-0.004331i,-0.002346-0.0012958i,-0.0047566-0.0042561i,0.0035508+0.0051072i,0.0013789-0.0053218i,0.0028953-0.002849i,-0.00048803-0.0033556i,-0.0013752-0.0034869i,0.0030018+0.0022708i,0.0010043+0.0018249i,0.0042295-0.00094859i,-0.0010896+0.00894i,0.00036145+0.016511i,0.012457+0.053676i,-0.0016503-0.023844i,-0.026701-0.00059133i,-0.028923+0.0074244i,0.011285-0.0036272i,0.022524+0.0033292i,-0.0065139+0.00075958i
0.017925+0.0013796i,0.043811+0.010258i,0.034984-0.013233i,0.024638-0.015774i,0.03421-0.025267i,-0.0061449-0.030743i,-0.0035677-0.014387i,0.011625-0.025925i,0.014932-0.01005i,0.002728+0.00066781i,0.0029073-0.002439i,0.0048182-0.0047577i,0.0040179-0.003933i,0.0012858-0.0035135i,-0.0021136-0.00016872i,0.0011204-0.0027051i,-0.0046549-0.0037374i,-0.0011156+0.0016073i,0.00069267+0.0010741i,-0.0017344+0.0017687i,-0.00029173+0.0023016i,0.0023959+0.0003904i,0.00088631+0.002126i,-0.0028848-0.0033807i,-0.0004946-0.0016777i,-0.001006-0.00057849i,-0.00071175-0.0009323i,-0.00051905-0.00039971i,0.0002892-6.7572e-05i,0.0011312-0.00032637i,0.0021253+0.0020339i,0.0012817+0.0012267i,0.00080245-4.6951e-05i,0.001166-0.0017276i,4.7955e-05+5.6799e-05i,0.0057334+0.00021775i,-0.00019782-0.00015401i,-0.0013962-0.00016657i,0.001041-0.00047826i,-0.0012583+0.0010354i,-7.7924e-05+0.00092346i,0.00033377+0.0013659i,0.0030597-0.0019032i,0.0034506-0.0065772i,0.018628+0.013531i,0.012107+0.058042i,0.016477+0.056428i,0.030195+0.051715i,0.027476+0.0097728i,0.033634+0.012628i,0.024027+0.027811i,-0.0030958+0.016977i,0.0013194+0.046385i,-0.02366+0.023704i,0.0094128-1.8407e-05i,0.0070611+0.0073051i,0.0073406+0.0040773i,0.0020299+0.012385i,-0.0025534+0.0075634i,-0.003356-0.0081477i,0.0063712-0.0097148i,-0.0089274+0.017939i,-0.0011981-0.0028053i,-0.0012775+0.00048137i,-0.001224+0.00048718i,0.0016557+0.0025913i,0.0038044-0.0013179i,-0.0032438-0.0033672i,0.0042452+0.0016662i,-0.0016856-0.0056883i,-0.0045317-0.00063459i,6.1056e-05+0.0018225i,0.0010363-0.0032931i,-1.5164e-05-0.0048471i,0.0051898-0.013993i,0.0022802+0.0041206i,-0.0042135-0.003356i,-0.0030542-0.0014485i,-0.0059343-0.0024365i,0.003859+0.0035863i,-0.00060114-0.006375i,0.0028738-0.0044682i,-0.0013332-0.0029636i,-0.0020219-0.0032536i,0.0037658+0.0015461i,0.0019592+0.0024964i,0.0030765-0.0016652i,-4.0663e-06+0.0093703i,0.0042448+0.014095i,0.02159+0.050353i,-0.012302-0.025492i,-0.030502+0.0011929i,-0.025397+0.014341i,0.0063942-0.0031783i,0.020173-0.0032106i,-0.0058532-0.00059047i
0.017806-0.002826i,0.045423+0.002941i,0.031071-0.018328i,0.019309-0.01864i,0.028035-0.031658i,-0.010521-0.028381i,-0.0046718-0.013947i,0.0068999-0.027236i,0.012566-0.013283i,0.0036046+0.00036397i,0.0028633-0.0028381i,0.0030758-0.0054001i,0.0029968-0.0051019i,0.00047627-0.0032928i,-0.0016474+0.00041287i,0.0011538-0.0023267i,-0.0051404-0.0013282i,-0.00042862+0.0014418i,0.00056758+0.00051187i,-0.00084808+0.0023778i,0.00043388+0.0022896i,0.0020251-0.00042976i,0.0015811+0.0016746i,-0.0037598-0.00080533i,-0.0010239-0.0009514i,-0.00090522-0.00017796i,-0.00096379-0.00062052i,-0.00027206-2.9525e-05i,6.131e-05-6.2552e-05i,0.00076148-0.00073167i,0.0028679+0.00081314i,0.0014238+0.00071501i,0.00080856-0.00025569i,0.00096138-0.00022158i,0.00016401+0.0003936i,0.0068444-0.0012558i,-0.0001853+6.5677e-05i,-0.0013336+0.00035328i,0.00072587-0.00093305i,-0.00060202+0.0011378i,0.00020035+0.00079537i,0.00060283+0.0010441i,0.0020552-0.0025551i,0.0012438-0.0059402i,0.01883+0.0096091i,0.019476+0.050225i,0.023452+0.051042i,0.037911+0.044031i,0.024041+0.004645i,0.033207+0.0082634i,0.029009+0.024136i,0.0030916+0.016026i,0.013467+0.041773i,-0.019392+0.028371i,0.0088973-0.0014324i,0.0084766+0.003908i,0.0077192+0.0017823i,0.005575+0.01041i,0.00030116+0.0079959i,-0.0067739-0.0044541i,0.0021684-0.0098698i,-0.0028453+0.018318i,-0.0028138-0.0024325i,-0.0022474+0.0015568i,-0.00102+0.0007175i,0.0031898+0.0010882i,0.0031974-0.00078262i,-0.0036926-0.0020185i,0.0044073-0.0002604i,-0.0041783-0.0041039i,-0.0035493+0.0010558i,0.00038325+0.00067452i,5.6878e-05-0.0042562i,-0.0019136-0.0048843i,0.00034052-0.013003i,0.0037727+0.0024321i,-0.0054278-0.0018745i,-0.0036762-0.0002297i,-0.0057243+4.953e-05i,0.0044918+0.0028344i,-0.0035774-0.0063397i,0.0020248-0.0065072i,-0.0017682-0.0026356i,-0.0026623-0.0035969i,0.0045548+0.00076728i,0.0033587+0.0022396i,0.0023268-0.0011018i,0.0012686+0.0092452i,0.0063642+0.010926i,0.030381+0.044204i,-0.023298-0.02219i,-0.033535+0.0049358i,-0.020236+0.017886i,0.0044446-0.0018427i,0.014606-0.0072008i,-0.0081587-0.0015012i
0.01629-0.0067934i,0.045378-0.0050692i,0.027081-0.022725i,0.014825-0.020257i,0.021072-0.036416i,-0.01464-0.02584i,-0.0060399-0.01442i,0.0021807-0.027921i,0.0095106-0.015871i,0.0041241-0.00048746i,0.0026841-0.0036676i,0.0013517-0.0054479i,0.0012697-0.0058847i,-0.00018865-0.0031561i,-0.0013159+0.00055626i,0.0014096-0.0022995i,-0.0045492+0.00059848i,-0.00013966+0.0011814i,0.00041795+0.00035299i,5.2002e-05+0.0025367i,0.00098962+0.0020895i,0.0015173-0.00091931i,0.0018906+0.00099609i,-0.0029818+0.001672i,-0.0010074-0.00028833i,-0.00080089+0.00020153i,-0.00105-0.00031171i,-0.0005752-0.00014269i,7.4286e-05+5.2177e-05i,0.00014151-0.00084529i,0.0029062-0.00066117i,0.0015073+0.00030545i,0.00065966-0.00047223i,0.00096023-0.00075795i,0.00049745+0.00052844i,0.0073615-0.00091466i,-1.301e-05+0.00014787i,-0.0010461+0.00065891i,-6.0122e-05-0.00095856i,0.00010238+0.0009272i,0.00033899+0.00068046i,0.00067834+0.0007981i,0.0011236-0.0026469i,-4.6996e-05-0.0045169i,0.018513+0.0063011i,0.023751+0.043863i,0.029925+0.045664i,0.042833+0.036235i,0.020033+0.00049159i,0.034273+0.0047555i,0.033577+0.01891i,0.0093118+0.012981i,0.023495+0.033612i,-0.012448+0.031587i,0.0080826-0.0031313i,0.007762-0.00052676i,0.0077657-0.001015i,0.0074912+0.0070163i,0.0020252+0.0072143i,-0.0079181+0.00048799i,-0.0015907-0.0086574i,0.001491+0.015621i,-0.0041035-0.0011457i,-0.0019342+0.0033761i,-0.00090784+0.001019i,0.0039622-0.00085361i,0.004073+0.00042821i,-0.0032338-0.0009334i,0.0039896-0.00077441i,-0.004868-0.0020936i,-0.001814+0.001352i,2.5852e-05+0.0002252i,-0.0020241-0.0048563i,-0.0035058-0.0037832i,-0.0036121-0.01161i,0.0040856+0.00017696i,-0.0055651+0.00018193i,-0.0029807+0.0010112i,-0.00502+0.001618i,0.0056092+0.0018596i,-0.0060249-0.0042853i,-0.00085325-0.0079987i,-0.0025336-0.0021694i,-0.004537-0.0032751i,0.0054553-0.0009683i,0.0045621+0.0019255i,0.0027123-0.00087511i,0.0031443+0.0092508i,0.0068382+0.0077214i,0.037453+0.036083i,-0.030525-0.013388i,-0.036079+0.010784i,-0.015+0.020174i,0.0028177-0.0002678i,0.0097287-0.0059072i,-0.0098542-0.00067245i
