-0.023241-0.018826i,-0.03217-0.034205i,-0.022526-0.019628i,-0.032285-0.020195i,-0.023974+0.0039935i,-0.029054-0.017519i,-0.05939-0.04106i,-0.039873-0.043383i,-0.032307-0.019848i,0.0055844+0.0054394i,-0.0037398+0.0060113i,-0.010786+0.011249i,0.0039308+0.0072178i,-0.0038968-0.0026434i,0.0026436+0.0017612i,0.0049055+0.030251i,0.02225+0.027264i,-5.8067e-05+0.00017378i,-0.0030553-0.0027478i,0.0078626+0.004506i,0.0019456+0.00050629i,-0.00035862+0.0022668i,-0.00062557+0.0004748i,-0.031814-0.00090817i,-0.0033001-0.005253i,7.1146e-05+0.0024836i,0.0042605-0.00036311i,0.00084-0.00051928i,-0.00036927-0.000579i,-0.001216-0.001552i,-0.0023692-0.00089553i,-0.0038759-0.0040605i,-0.0027076-0.0052413i,0.00022601-0.0014168i,0.00031151-0.0025982i,-0.0044943+0.025349i,0.0019891-0.0030477i,0.0022145-0.0045457i,0.0040621-0.002274i,-0.0085598-0.0028412i,0.00084236+0.00099928i,0.0037082+0.0038306i,-0.0026866-3.731e-05i,-0.0030221+0.00094683i,-0.0090511-0.0030782i,-0.018975+0.021397i,-0.0077991-0.085937i,-0.0018541-0.06075i,-0.021799-0.054075i,-0.01039-0.045476i,0.053741-0.025902i,0.02441-0.067509i,0.04117-0.053073i,0.018598-0.039431i,0.026168-0.019757i,0.012248+0.011924i,0.024643-0.028613i,-0.012976-0.0017233i,-0.00078334-0.00094766i,-0.0070703-0.0018829i,-0.0050535-0.029078i,-0.02116+0.027202i,0.0078368-0.0091662i,-0.0098776-0.0029157i,-0.0023227-0.0018532i,-0.00066024-0.014377i,-0.0079643+0.0049456i,0.0051084+0.010377i,-0.010331+0.031164i,0.0064679+0.0072895i,-0.003369-0.001735i,-0.0024002-0.0017625i,-0.012707-0.0063699i,5.4749e-05-0.0038494i,-0.030185+0.0047047i,0.0037295-0.0088487i,-0.0077096-0.0017267i,-0.0053558-0.002718i,0.0064623+0.0020688i,-0.010391+0.00084763i,0.0024595-0.00034593i,0.0070457+0.0080798i,0.0052535+0.0015563i,-0.0079298-0.0099355i,0.0025205+0.0078074i,-0.01955+0.0080778i,0.0032051+0.0057765i,-0.021304-0.0088481i,-0.026957-0.0054008i,0.011034-0.061294i,0.018542-0.015027i,-0.051884-0.030089i,-0.02318+0.0021673i,0.01908+0.010345i,-0.026937+0.011532i,-0.012666-0.0078941i
0.0060786+0.0050386i,0.03688+0.014475i,0.019891-0.0041268i,0.012786+0.0020972i,0.0085353-0.0018011i,0.015839-0.0074159i,0.012131+0.01427i,0.018327+0.021394i,0.001214-0.0023478i,0.0013119+0.00082436i,0.0023779-0.0012838i,0.00098532-0.0039937i,1.6559e-05-0.001239i,0.0020638-7.2728e-05i,0.0050385-0.00083529i,0.0059584+0.00019325i,0.0062648-0.0048332i,0.00012626-0.0010341i,-0.0022309-8.9956e-05i,0.00044159+0.00094888i,0.0001564-0.00019319i,-0.0022001-0.00056319i,-0.0014857-5.2444e-05i,0.0058626+0.007853i,-0.00057328+0.00029104i,0.00034918+0.00085915i,0.0010154+0.00094777i,5.75e-05+0.0013364i,-0.00035489-0.0003362i,-0.0011804-4.3984e-05i,0.00081816-0.0011232i,-0.00044321+0.00050468i,-8.7446e-05+0.00068658i,4.0849e-05+0.00055751i,-0.00048484-0.0011215i,-0.010068+0.0092002i,0.00048726+0.00010189i,-0.00051976-7.852e-07i,-0.00055088+0.0018223i,-0.00017445-0.0029701i,-0.00064759+0.00063253i,-0.00028276-0.0003322i,0.00064125+0.0013534i,0.0034117-0.0021291i,0.00051548+0.0024552i,-0.05025+0.0088233i,-0.003537+0.029196i,-0.014243+0.041008i,-0.0087119+0.064585i,-0.01766+0.043608i,-0.0065565+0.019156i,-0.0087948+0.013644i,-0.046018+0.0038516i,-0.024391-0.0076069i,0.01506+0.025894i,0.00051779+0.0055167i,-0.0076148+0.0015525i,-0.013854-0.0018699i,0.0037573-0.00034635i,0.0066323+0.014256i,-0.0058613+0.0069122i,-0.0053468-0.0064953i,0.0055853-0.002538i,-0.0068042-0.0051942i,0.0038622-0.0068915i,0.0042433-0.0019588i,-0.0021027+0.010284i,0.011851-0.0056873i,0.0056339-0.0045631i,0.0054006-0.0087401i,0.00313+0.00080023i,-0.0020332-0.006068i,-0.0036419-0.0015904i,0.002209-0.0017241i,-0.013652+0.028206i,-0.0043607-0.0053266i,0.0034002+0.00022768i,-7.0713e-05-0.0070464i,0.0034832-0.0018823i,-0.013191-0.0060319i,0.00093021+0.00071698i,0.0038418-0.0019006i,0.0026034-0.00082257i,0.0014939-0.0056487i,-0.0018124+0.0053617i,-0.00055306+0.0058854i,-0.0050079+0.0074902i,-0.0048935+0.002637i,-0.0055068-0.00016475i,-0.024008+0.01915i,-0.009235+0.013951i,-0.022375-0.011472i,-0.0099188-0.0099273i,0.009211+0.020529i,-0.0011367+0.019728i,-0.0082773-0.0032639i
0.0064158+0.0028876i,0.038233+0.0069239i,0.018814-0.0079804i,0.013363+0.00091229i,0.0093638-0.0032028i,0.014365-0.010566i,0.012896+0.011384i,0.022018+0.017487i,0.00029967-0.0025216i,0.0015702+0.00018724i,0.0023291-0.0015419i,-0.00056686-0.0026444i,-0.00015715-0.0006615i,0.0019755-4.7694e-05i,0.004495-0.0018799i,0.0053899-0.00048169i,0.0033681-0.0056074i,0.00014621-0.00094123i,-0.0024633+0.00022522i,0.00089991+0.00028337i,-2.1385e-06-0.00054859i,-0.0023056-7.4836e-06i,-0.0014642+0.00011472i,0.0093607+0.0047835i,-0.00087458+0.0010867i,0.0010029+0.00057399i,0.0010368+0.0003802i,0.00059739+0.0011072i,-0.00082548+0.00024204i,-0.0012361+0.00043192i,-0.00029603-0.0012735i,-0.00062617+1.459e-05i,2.0995e-05+0.00052845i,0.00033413+0.00036886i,-0.00087061-2.4563e-05i,-0.007106+0.012531i,0.00025574-4.3506e-05i,-0.00034531+0.00041071i,0.0001174+0.0013571i,-0.000663-0.0025011i,-0.0004835+0.00049639i,-0.00057568-4.1058e-05i,0.00073945+0.0013319i,0.0023415-0.0024264i,0.0015179+0.0025022i,-0.045128+0.01727i,-0.00070969+0.030182i,-0.0053031+0.041485i,0.0072688+0.061511i,-0.0066311+0.042986i,-0.008667+0.015726i,-0.011919+0.011409i,-0.047613+0.0076527i,-0.020066-0.0094563i,0.021036+0.020018i,0.00037654+0.0051973i,-0.0065857+0.0069385i,-0.01385+0.0028277i,0.0021447-0.0018471i,0.010147+0.012194i,-0.0019366+0.01114i,-0.0089866-0.0050197i,0.0023555-0.0043913i,-0.0066178-0.001631i,-0.00056384-0.0067471i,0.0027886-0.0039386i,0.002602+0.0081371i,0.0074836-0.0086448i,0.0026519-0.0052215i,0.00088736-0.0057444i,0.0042434-0.00035962i,-0.0033917-0.0050686i,-0.0020994+0.00075524i,0.0020263-0.0019079i,0.0034388+0.035416i,-0.0057515-0.0042703i,0.0037584-0.0018043i,-0.0033277-0.0065245i,0.0032688-0.0026519i,-0.013396+0.00065969i,0.0017264+0.0010059i,0.0029749-0.001874i,0.0030098-0.0021365i,-0.00034553-0.0058943i,-0.00019014+0.0029132i,0.0017986+0.00488i,-0.0012444+0.008482i,-0.0032805+0.0046818i,-0.0062927+0.00064169i,-0.01882+0.018229i,-0.0072054+0.016888i,-0.025552-0.0061369i,-0.01273-0.011996i,0.012214+0.019715i,0.0027148+0.021792i,-0.010848-0.0034843i
0.0059228+0.0012614i,0.037979-0.0013556i,0.017338-0.012451i,0.014871-0.0017295i,0.010299-0.0054621i,0.012035-0.013614i,0.01303+0.0086009i,0.025255+0.012415i,-0.00014464-0.0022302i,0.0012295-0.00034894i,0.0022-0.0024688i,-0.0006689-0.0011058i,-8.2431e-05-0.00063798i,0.0020958-0.00045628i,0.0037738-0.0026762i,0.00484-0.0012058i,0.0014176-0.0053044i,-8.3792e-05-0.0011273i,-0.0024501+0.001135i,0.00075311-0.00071374i,-0.00058146-0.00086498i,-0.0020345+0.00071412i,-0.001567+0.00035834i,0.010205-3.9309e-05i,-9.0671e-05+0.0014787i,0.00091604-0.00012866i,0.00086546+1.3774e-05i,0.00095986+0.00051827i,-0.00045749+0.00070239i,-0.0011386+0.00086294i,-0.00078804-0.00091488i,-0.0013551+0.00076404i,0.00023237+0.00050022i,0.00042712+5.8171e-05i,-0.00047671+0.00066221i,0.0043768+0.014065i,8.8938e-05+0.00011472i,-3.806e-05+0.00032049i,0.00036391+0.0012634i,-0.0018384-0.0022448i,-0.0004414+0.00029812i,-0.00040033+0.00024832i,0.001006+0.0013758i,0.0019895-0.0025292i,0.0031714+0.0016746i,-0.038828+0.023868i,0.0037196+0.031135i,0.0037096+0.03864i,0.022237+0.053219i,0.0029012+0.042169i,-0.011784+0.015053i,-0.014422+0.012278i,-0.048169+0.014076i,-0.018721-0.012918i,0.023777+0.0116i,0.00060779+0.0050997i,-0.0039717+0.0089141i,-0.013036+0.0064683i,-0.00012745-0.0036682i,0.013118+0.0087794i,0.0032873+0.011965i,-0.011599-0.0021487i,0.00051863-0.0030613i,-0.0057596+0.00094879i,-0.0028975-0.0043198i,0.00067381-0.0039459i,0.0049828+0.0070606i,0.0041598-0.0090826i,-0.0012705-0.005312i,0.00065794-0.0030341i,0.0043745-0.0026418i,-0.0059997-0.0035052i,-0.00072186+0.00059996i,0.0009065-0.0023394i,0.020114+0.025542i,-0.0075107-0.0024322i,0.0030855-0.0032348i,-0.0039007-0.0045353i,0.0035109-0.0041567i,-0.010484+0.0058338i,0.0033161+0.00056593i,0.0021476-0.0022682i,0.0019004-0.002772i,-0.0021597-0.0046698i,-0.00089018+0.002583i,0.003116+0.0032002i,0.002462+0.0084082i,-0.001715+0.0050736i,-0.0069875+0.0023879i,-0.016241+0.016847i,-0.0004633+0.017968i,-0.026192-0.0015774i,-0.016683-0.012648i,0.017279+0.016757i,0.0084625+0.022742i,-0.013215-0.0020444i
0.0052079+0.0002914i,0.034752-0.0080469i,0.013832-0.016658i,0.014897-0.006033i,0.01002-0.0086393i,0.008817-0.015774i,0.012835+0.006636i,0.025321+0.0064341i,-0.0001457-0.0024074i,0.00067284-0.00028877i,0.0012039-0.0032954i,-0.00020954-0.00054276i,-0.00053425-0.00037378i,0.0017647-0.00069259i,0.0028166-0.0033088i,0.0041358-0.0015641i,0.00021362-0.0044097i,-0.00036481-0.0011063i,-0.001455+0.0019372i,3.4817e-05-0.0010777i,-0.0011057-0.00039479i,-0.0015609+0.0014615i,-0.0014979+0.00083292i,0.0086337-0.0041684i,0.00039396+0.001305i,0.00056016-0.00031785i,0.00068321-0.00015485i,0.00077925+2.1062e-05i,-7.4648e-05+0.00063007i,-0.00081967+0.0014161i,-0.001147-0.00034792i,-0.00063555+0.0013605i,0.00053085+0.0003324i,0.00030881-9.2272e-05i,0.0001247+0.00078543i,0.002234+0.0083977i,0.0001878+0.00020162i,-6.2087e-05+0.00019946i,0.00058042+0.0011615i,-0.002273-0.00062217i,-0.00044112+0.00031047i,-0.00030413+0.00025047i,0.0013873+0.0012701i,0.0015246-0.0026763i,0.0046871-0.00015408i,-0.031174+0.028626i,0.0091434+0.031225i,0.0091105+0.034525i,0.034174+0.039927i,0.012745+0.037572i,-0.015521+0.01724i,-0.017292+0.015059i,-0.047011+0.021912i,-0.020525-0.01643i,0.024135+0.0037738i,0.001192+0.0053702i,-0.0011519+0.011571i,-0.01091+0.0098439i,-0.0043838-0.0029555i,0.015515+0.0037371i,0.0084852+0.010156i,-0.013151+0.0016156i,-0.00020692-0.002385i,-0.0042539+0.0024413i,-0.0036086-0.00136i,-0.00029848-0.0032679i,0.0071223+0.0035882i,0.0012548-0.0090556i,-0.0034455-0.0017275i,0.0013931-0.0019482i,0.0029422-0.0045081i,-0.0052177-0.00080128i,0.00040579+0.0010153i,0.00040973-0.002019i,0.027622+0.012056i,-0.0080344+0.0013178i,0.002155-0.0045223i,-0.0042991-0.0025306i,0.0019928-0.0063488i,-0.0060586+0.0079325i,0.0045515-0.0011113i,0.0013357-0.0019707i,0.0011893-0.0027593i,-0.0024983-0.0029606i,-0.0010016+0.0034324i,0.0032296+0.0014429i,0.0060322+0.0064664i,-0.00053815+0.0044658i,-0.0072134+0.004854i,-0.014502+0.018015i,0.0086658+0.012993i,-0.024693+0.0035149i,-0.021622-0.011293i,0.01893+0.011848i,0.015443+0.020827i,-0.013471-0.00019838i
0.0050185-0.00021968i,0.031572-0.012643i,0.0096772-0.019155i,0.013566-0.01009i,0.0084914-0.011637i,0.0055859-0.016995i,0.012788+0.0053588i,0.024501+0.0014898i,-1.0673e-05-0.0028968i,0.00030354-0.00014152i,-0.00058729-0.0027771i,0.00022647-0.00047068i,-0.00069076+0.00030627i,0.0014727-0.00092642i,0.0017134-0.0034801i,0.0039802-0.0017208i,-0.00030633-0.003472i,-0.00082173-0.00096679i,-0.00054749+0.0018374i,-0.00063543-0.0009679i,-0.001248+0.00010552i,-0.00071525+0.0017599i,-0.0011776+0.0013418i,0.0057997-0.0069095i,0.00069924+0.0011119i,0.00035959-0.00034668i,0.00052427-0.00037545i,0.00043409-0.0001649i,2.9773e-05+0.0006174i,-8.6549e-05+0.0017356i,-0.0010847+0.00025093i,4.2625e-05+0.0013076i,0.00059522-0.00019777i,0.00027424+0.00014149i,0.00069914+0.00068076i,0.0023647+0.0077258i,0.00013711+0.00031296i,-0.00016036+0.00022946i,0.0010675+0.00083784i,-0.0016848+0.0003855i,-0.00052685+0.00016456i,-0.00025066+0.00029624i,0.0016939+0.0008934i,0.00076096-0.0022853i,0.0048247-0.0027761i,-0.022606+0.030901i,0.01573+0.02949i,0.014523+0.031826i,0.038723+0.024646i,0.018668+0.030531i,-0.016415+0.023292i,-0.017792+0.021724i,-0.043697+0.030669i,-0.02577-0.017565i,0.020636-0.0034907i,0.002476+0.0055584i,0.0042367+0.011424i,-0.0078217+0.012372i,-0.0060304+0.00073136i,0.014982-0.0032441i,0.012496+0.0062548i,-0.013672+0.0055978i,-0.00039626-0.00099483i,-0.0026975+0.0033456i,-0.0020155+0.00050247i,-0.0019201-0.0022184i,0.006891+0.00054205i,-0.0014658-0.0084758i,-0.0028042+0.0013323i,0.0028191-0.002382i,0.00091122-0.005533i,-0.0037386+0.0012378i,0.001893+0.00032057i,0.00033047-0.0015514i,0.027925-0.0012304i,-0.0056936+0.0042717i,0.00048967-0.0053781i,-0.0035783-0.001481i,-0.00037227-0.0071501i,-0.0021047+0.0078982i,0.0040701-0.0036413i,0.0013979-0.0011336i,0.0011305-0.0024424i,-0.0016411-0.0022475i,0.00092954+0.0039907i,0.002122+0.00022693i,0.0067074+0.0022977i,-0.00029509+0.0031626i,-0.0055076+0.0076834i,-0.01103+0.019133i,0.012231+0.0015703i,-0.020422+0.0052435i,-0.026438-0.0085083i,0.019679+0.0068226i,0.020772+0.014428i,-0.013788+9.405e-05i
0.0050425-0.0011587i,0.02872-0.016967i,0.0058032-0.020756i,0.011269-0.013938i,0.0063532-0.014062i,0.0021893-0.017767i,0.013723+0.0043786i,0.023832-0.002619i,-0.00011207-0.0039342i,-0.00014686+0.00017225i,-0.00098433-0.001688i,0.00052912-0.00045559i,-0.00018728+0.00097083i,0.0011133-0.00093721i,0.00082482-0.0033499i,0.0040044-0.0020568i,-0.00041066-0.0032711i,-0.00087568-0.00061887i,0.00011117+0.0016304i,-0.00099582-0.00063186i,-0.00094218+0.00045008i,0.00017734+0.0015044i,-0.00060823+0.0016499i,0.0020501-0.0079757i,0.0011862+0.00078241i,0.00020515-0.00040146i,0.00030712-0.00054729i,0.00027086-0.00020549i,0.00025371+0.0005985i,0.00062097+0.0014606i,-0.00085891+0.00061408i,0.00048602+0.0010824i,0.00029309-0.0002727i,0.00048871-6.7994e-06i,0.00093084-2.9788e-06i,0.0034724+0.0065314i,0.00029427+0.00036875i,-5.3394e-05+0.00037445i,0.0010477+0.00035447i,-0.0010405+0.00053908i,-0.00057294+0.00036164i,-9.5739e-05+0.00026381i,0.0018656+0.00048928i,-0.00084227-0.0044194i,0.004146-0.0050841i,-0.015087+0.030453i,0.021639+0.025265i,0.020148+0.027711i,0.038974+0.010771i,0.022017+0.023696i,-0.013093+0.030051i,-0.013751+0.029456i,-0.036536+0.040334i,-0.031063-0.014977i,0.015386-0.0070958i,0.0039697+0.0047001i,0.0079401+0.0088906i,-0.0038911+0.014525i,-0.0051983+0.0035499i,0.010546-0.0096777i,0.013496+0.00036453i,-0.011979+0.010281i,0.00047838-0.000193i,-0.00056905+0.0034054i,-0.00051832+0.00049322i,-0.0022288+2.2636e-05i,0.0053972-0.00099812i,-0.0032266-0.0061781i,-0.00087089+0.0030662i,0.0028269-0.0042672i,-0.0010883-0.004995i,-0.0027272+0.0017788i,0.0021314-0.0011079i,0.00082918-0.0015375i,0.022982-0.012199i,-0.002789+0.0053517i,-0.0012872-0.0049677i,-0.0033022-0.00086843i,-0.002991-0.0066084i,0.00079289+0.0065988i,0.0030784-0.0049174i,0.0022686-0.0012834i,0.00083887-0.0033788i,-0.0011233-0.0025861i,0.0013721+0.0037885i,0.00093579+0.00033747i,0.0072173+0.0020415i,-0.0010338+0.0023502i,-0.0023008+0.0093305i,-0.0072926+0.018891i,0.007867-0.0078288i,-0.017981+0.0029056i,-0.031631-0.0024544i,0.01807+0.00036706i,0.021713+0.0076434i,-0.014569+0.001933i
0.0048623-0.0020149i,0.024915-0.021304i,0.0013887-0.022429i,0.0074041-0.01764i,0.003613-0.016338i,-0.0014326-0.017634i,0.015344+0.0024294i,0.02217-0.0061712i,-0.0007359-0.0048334i,-0.00031129+0.0010889i,-0.0012195-0.0012249i,0.00067711-0.0011347i,0.00041067+0.0010429i,0.00077301-0.00087022i,0.00010813-0.0030536i,0.0038269-0.0027675i,-0.00072692-0.0032299i,-0.0011729-0.00039764i,0.00076179+0.0012513i,-0.001407-0.00015178i,-0.00091583+0.00047688i,0.00065706+0.0008516i,-9.9189e-05+0.0016913i,-0.0014573-0.0075514i,0.0011647-0.00026137i,-5.4971e-05-0.00023558i,-0.00013366-0.00068769i,6.68e-05-0.00013439i,0.00055962+0.0003475i,0.00097543+0.00094856i,-0.00039977+0.00077793i,0.00044447+0.00079443i,4.2033e-06-0.00015144i,0.00040128-0.00015698i,0.00045945-0.00071892i,0.0040063+0.0057229i,0.00041176+0.00027869i,-4.5003e-05+0.00038337i,0.0010966+0.00013347i,-0.00039103+0.00058459i,-0.0003766+0.00061806i,-2.8913e-06+0.00025596i,0.0018849-2.8964e-05i,-0.00099212-0.0027839i,0.0025464-0.0073976i,-0.0090238+0.0287i,0.025679+0.019634i,0.025241+0.022558i,0.034885-0.00087824i,0.023138+0.018268i,-0.0068239+0.034276i,-0.0043371+0.034274i,-0.025481+0.046817i,-0.035202-0.0095888i,0.010966-0.008381i,0.0048716+0.0032931i,0.0095923+0.0048085i,0.0003778+0.014973i,-0.0042594+0.0050059i,0.0022132-0.011778i,0.01134-0.0045094i,-0.007807+0.012867i,0.0015832-0.00099022i,0.00051311+0.0031322i,-0.00012751-0.00017945i,-0.00049746+0.0016446i,0.0043251-0.0010341i,-0.0036228-0.0045579i,0.0014913+0.0031335i,0.0013551-0.0062864i,-0.0026548-0.0039914i,-0.0017328+0.0020641i,0.0014797-0.0024368i,0.00089772-0.0022897i,0.01411-0.018389i,-0.00012255+0.0050998i,-0.0021924-0.0042933i,-0.0028766-0.00074027i,-0.004631-0.0053418i,0.0021651+0.0052333i,0.0015167-0.0066996i,0.0025687-0.0021433i,-0.00034788-0.0036987i,-0.0018502-0.0032046i,0.0034175+0.0048861i,0.00069004+0.0013541i,0.005794-0.00077165i,-0.0020016+0.0026579i,0.0007815+0.0087091i,-0.0036539+0.018705i,0.00082981-0.013805i,-0.020239+0.00026805i,-0.032643+0.0058658i,0.012344-0.0039848i,0.021758+0.0022133i,-0.014084+0.0041067i
0.0048988-0.0029793i,0.020788-0.024303i,-0.0039815-0.022569i,0.0018618-0.019527i,-8.7477e-05-0.017679i,-0.004348-0.016504i,0.016769-0.00064557i,0.020216-0.009248i,-0.0013877-0.0058585i,0.00044857+0.0020519i,-0.0014161-0.00033956i,-0.00023878-0.0016084i,0.00093593+0.0010233i,0.00069168-0.00060061i,-0.00032443-0.0026656i,0.0034444-0.0031158i,-0.0018104-0.0031146i,-0.0012946+0.00020426i,0.0009992+0.00051295i,-0.0013889+0.00070466i,-0.00074118+0.00082094i,0.00052074+0.00015375i,0.00035456+0.0016423i,-0.0028822-0.0059055i,0.00029869-0.00068291i,-9.0302e-05-3.2791e-05i,-0.00023117+0.00045887i,-7.0199e-07+2.7164e-06i,0.00043848-5.1351e-05i,0.0011212+0.00053487i,-4.3104e-05+0.00073513i,0.0013457+0.00029203i,5.7363e-05+9.1964e-05i,0.00031114-0.00015092i,-0.00020856-0.0004433i,0.0051163+0.0049752i,0.00048533+0.00012793i,-7.5142e-05+0.00052907i,0.0012378-0.00013698i,0.00020148+0.00019589i,-0.00047445+0.0010678i,0.0001109+0.00017186i,0.0015352-0.00053781i,-0.0014696-0.0018887i,0.0001257-0.0088245i,-0.0042497+0.025896i,0.027815+0.014062i,0.029496+0.015953i,0.028937-0.0085654i,0.023345+0.014105i,0.00066847+0.036284i,0.0052389+0.033674i,-0.012669+0.049365i,-0.03624-0.0024972i,0.007757-0.0086805i,0.0055784+0.0018931i,0.0090909+0.0014861i,0.005275+0.013606i,-0.0028338+0.0068364i,-0.0046712-0.0086151i,0.0079718-0.0071061i,-0.0042133+0.013621i,0.001261-0.0026913i,0.000837+0.0018853i,-0.00039661-0.00022582i,0.0016202+0.0014815i,0.0038751-0.0012368i,-0.0042106-0.0030548i,0.003077+0.0018681i,-0.0019373-0.00709i,-0.0034279-0.0024375i,-0.00029323+0.0016735i,0.00082947-0.003228i,0.000371-0.0034119i,0.0052588-0.019354i,0.0016621+0.0039784i,-0.0030334-0.003564i,-0.0035591-0.00077903i,-0.0059389-0.003521i,0.0026992+0.0040857i,-0.0011489-0.0078523i,0.0026903-0.0032088i,-0.0012927-0.0032023i,-0.0025262-0.0030787i,0.0050861+0.0037302i,0.001319+0.0019782i,0.0045155-0.0021309i,-0.0022132+0.0037391i,0.0027724+0.0072459i,0.00083853+0.018029i,-0.0091772-0.016594i,-0.024342+0.00052837i,-0.029728+0.013658i,0.0072548-0.0033702i,0.019563-0.0046811i,-0.012981+0.0041912i
0.0047787-0.0046124i,0.016734-0.027187i,-0.0085234-0.020884i,-0.0031895-0.018966i,-0.0037796-0.017978i,-0.0064901-0.015299i,0.017418-0.0048045i,0.018066-0.012255i,-0.0024354-0.0067344i,0.0017636+0.0020769i,-0.00097101+0.0004407i,-0.0010353-0.0010201i,0.0014111+0.0005065i,0.0007528-0.00057207i,-0.00061508-0.0023526i,0.0032233-0.0033278i,-0.0027024-0.0020947i,-0.0008289+0.00045203i,0.00077661-0.00011728i,-0.00085727+0.001194i,-0.00031263+0.00095766i,0.00017747-0.00024053i,0.00079974+0.0014328i,-0.0046066-0.002274i,-0.00017764-0.00023572i,-6.4051e-05+3.1408e-05i,-0.00041696+0.00025905i,5.799e-05+6.3227e-05i,0.00017126-2.6383e-06i,0.0010914-2.3166e-05i,0.00033655+0.00059431i,0.00087824+0.00023677i,0.00021394+5.6187e-05i,0.00038572-5.3985e-05i,-0.00032959+0.00010313i,0.0064083+0.0040114i,0.00036375+4.7943e-05i,0.00021305+0.00071069i,0.0012326-0.0005862i,0.00032528-0.00028085i,-5.1363e-05+0.001061i,0.00017949-3.1042e-05i,0.0010658-0.00088416i,-0.0017204-0.0010196i,-0.0026798-0.0095076i,-0.0015995+0.022823i,0.028909+0.00907i,0.031275+0.0079568i,0.022563-0.013766i,0.023505+0.012011i,0.0086198+0.036246i,0.013019+0.031285i,-0.0003769+0.04775i,-0.034699+0.0045311i,0.0051262-0.0091484i,0.0060116-0.00019657i,0.0087365-0.00083478i,0.0093161+0.01013i,-0.00020712+0.0073324i,-0.0079159-0.0037938i,0.0040432-0.0083655i,-0.00045059+0.013362i,-0.00021462-0.0036496i,0.0001008+0.0019877i,-0.00038057+4.413e-05i,0.0026377+0.00017974i,0.0036528-0.00066446i,-0.004163-0.001231i,0.0034795+0.0003606i,-0.0045927-0.0054079i,-0.0032118-0.0011314i,8.171e-05+0.00051696i,-0.00021177-0.0040149i,-0.00091017-0.0037625i,-0.0016465-0.017647i,0.0030574+0.0023518i,-0.0039446-0.0026223i,-0.0039014+0.00055003i,-0.0061895-0.001072i,0.0033408+0.0034502i,-0.0047215-0.0071758i,0.0022394-0.0046206i,-0.0016998-0.0027879i,-0.0031935-0.0032602i,0.0066308+0.0021121i,0.0020594+0.0019884i,0.003194-0.0023635i,-0.0018929+0.0045596i,0.0039607+0.0053141i,0.0054156+0.015408i,-0.019711-0.013626i,-0.028196+0.0033905i,-0.024903+0.01802i,0.00509-0.0021051i,0.012854-0.0078387i,-0.01451+0.0047623i
0.0037288-0.0062097i,0.012228-0.029806i,-0.011987-0.018635i,-0.0072246-0.017234i,-0.0075285-0.01755i,-0.0086827-0.014173i,0.016806-0.0097649i,0.015398-0.014829i,-0.0042739-0.0074193i,0.0029095+0.001541i,-0.00030417+0.00071008i,-0.0012676-2.582e-05i,0.0014812-0.00016972i,0.00082116-0.00058885i,-0.0010074-0.0021776i,0.0029858-0.0037835i,-0.0031182-0.00098699i,-0.00061526+0.00030697i,0.00051923-0.00038105i,-0.00027105+0.0013372i,-0.00026147+0.0011998i,-0.00021848-0.00029645i,0.0010856+0.00096956i,-0.0046064+0.0011496i,-0.0001534+0.00012591i,-2.4879e-05+0.00011861i,-0.00037037+0.00016768i,0.00010415+9.263e-05i,0.00019448+7.5383e-05i,0.00068377-0.00042229i,0.00052912+0.00017336i,0.00088008+0.00049215i,0.00026527-4.0533e-05i,0.00046632-0.0004039i,-2.8135e-05+0.00043495i,0.0065167+0.0021933i,0.00041844-4.0613e-05i,0.0005906+0.00067295i,0.00049119-0.0010104i,0.00050478-0.00054913i,0.00057489+0.00059715i,0.00011232-9.7008e-05i,0.00035738-0.00092669i,-0.0016464+0.00011528i,-0.0052649-0.0090094i,-0.00079346+0.021231i,0.029628+0.00419i,0.030179+0.0017238i,0.015634-0.017319i,0.026057+0.010883i,0.016073+0.033541i,0.021007+0.026821i,0.010556+0.042327i,-0.02966+0.010226i,0.0024494-0.0090631i,0.0051344-0.0031422i,0.0080987-0.0037987i,0.01027+0.0053841i,0.0015681+0.0065434i,-0.0086254+0.001639i,-5.5198e-05-0.007723i,0.0024401+0.011316i,-0.0024288-0.0034303i,-0.0004583+0.0028178i,-0.00026944+0.00033917i,0.0031682-0.0014745i,0.0046805+0.00010732i,-0.0031761-0.0002405i,0.003529-3.9765e-05i,-0.0058133-0.0030099i,-0.0020294-0.0006016i,-0.00026872+0.00018925i,-0.0022832-0.0042687i,-0.0022548-0.0031735i,-0.0072451-0.015021i,0.0034417+0.00018197i,-0.0045796-0.0012174i,-0.0030576+0.0014167i,-0.0056011+0.00082484i,0.0043739+0.0027819i,-0.0071182-0.0046381i,0.00048962-0.0059969i,-0.0024689-0.0024387i,-0.0050153-0.0025454i,0.0076367-0.00042361i,0.0027602+0.0019092i,0.0028228-0.0022809i,-0.00061796+0.0056563i,0.0040035+0.0032351i,0.0090197+0.011492i,-0.025172-0.0051934i,-0.031223+0.0089368i,-0.019945+0.021637i,0.0033806-0.00029677i,0.0088456-0.0066251i,-0.014624+0.0067596i
